English,Hindi
Uncoursed squared rubble masonry,बेतरतीब चौकोर रद्देदार ढोका चिनाई
Undercroft,तहखाना
Unfilled porosity,अपूरित संरंध्रता
Uniform flow,सम्प्रवाह
Unit frame type scaffold,एकल ढाँचे की तरह का पाड़
Unproductive work,अनउत्पादक कार्य
Unsaturated soil,असंतृप्त मृदा
Unsteady flow,अधीर प्रवाह
Upper plastic limit,ऊपरी सुघट्यता सीमा
Valley gutter,द्रोणी वाहिका
Vault,चापछद
Vetarium,सायबान
Ventilation,संवाहन
Ventilator,रोशनदान
Veramdah,बरामदा
Vestibule,ड्योढ़ी
Villa,विला
