English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Converter,"परिवर्तक, परिवर्तित्र","પરિવર્તક, પરિવર્તિત્ર","परिवर्तक, परिवर्तित्र","ਪਰਿਵਰ੍ਤਕ, ਪਰਿਵਰ੍ਤਿਤ੍ਰ","পরিবর্তক, পরিবর্তিত্র","परिवर्तक, परिवर्तित्र","ಪರಿವರ್ತಕ, ಪರಿವರ್ತಿತ್ರ","പരിവര്തക, പരിവര്തിത്ര","பரிவர்தக, பரிவர்தித்ர","పరివర్తక, పరివర్తిత్ర",کنورٹر,"পরির্তক, পরির্তিত্র","ପରିବର୍ତକ, ପରିବର୍ତିତ୍ର","परिवर्तक, परिवर्तित्र"
Converter coupling,परिवर्तित्र युग्मक,પરિવર્તિત્ર યુગ્મક,परिवर्तित्र युग्मक,ਪਰਿਵਰ੍ਤਿਤ੍ਰ ਯੁਗ੍ਮਕ,পরিবর্তিত্র যুগ্মক,परिवर्तित्र युग्मक,ಪರಿವರ್ತಿತ್ರ ಯುಗ್ಮಕ,പരിവര്തിത്ര യുഗ്മക,பரிவர்தித்ர யுக்மக,పరివర్తిత్ర యుగ్మక,پرورتتر یگمک,পরির্তিত্র যুগ্মক,ପରିବର୍ତିତ୍ର ଯୁଗ୍ମକ,परिवर्तित्र युग्मक
Converter impedance,परिवर्तित्र प्रतिबाधा,પરિવર્તિત્ર પ્રતિબાધા,परिवर्तित्र प्रतिबाधा,ਪਰਿਵਰ੍ਤਿਤ੍ਰ ਪ੍ਰਤਿਬਾਧਾ,পরিবর্তিত্র প্রতিবাধা,परिवर्तित्र प्रतिबाधा,ಪರಿವರ್ತಿತ್ರ ಪ್ರತಿಬಾಧಾ,പരിവര്തിത്ര പ്രതിബാധാ,பரிவர்தித்ர ப்ரதிபாதா,పరివర్తిత్ర ప్రతిబాధా,پرورتتر پرتبادھا,পরির্তিত্র প্রতিবাধা,ପରିବର୍ତିତ୍ର ପ୍ରତିବାଧା,परिवर्तित्र प्रतिबाधा
Convertibility equation,परिवर्त्यता समीकरण,પરિવર્ત્યતા સમીકરણ,परिवर्त्यता समीकरण,ਪਰਿਵਰ੍ਤ੍ਯਤਾ ਸਮੀਕਰਣ,পরিবর্ত্যতা সমীকরণ,परिवर्त्यता समीकरण,ಪರಿವರ್ತ್ಯತಾ ಸಮೀಕರಣ,പരിവര്ത്യതാ സമീകരണ,பரிவர்த்யதா ஸமீகரண,పరివర్త్యతా సమీకరణ,پرورتیتا سمیکرن,পরির্ত্যতা সমীকরণ,ପରିବର୍ତ୍ଯତା ସମୀକରଣ,परिवर्त्यता समीकरण
Conveyor,"वाहक, वाहित्र","વાહક, વાહિત્ર","वाहक, वाहित्र","ਵਾਹਕ, ਵਾਹਿਤ੍ਰ","বাহক, বাহিত্র","वाहक, वाहित्र",ಸಾಗಣೆ ಸಾಧನ,"വാഹക, വാഹിത്ര","வாஹக, வாஹித்ர","వాహక, వాహిత్ర",واہک، واہتر,"াহক, াহিত্র","ବାହକ, ବାହିତ୍ର","वाहक, वाहित्र"
Convex contour,उत्तल रूपरेखा,ઉત્તલ રૂપરેખા,उत्तल रूपरेखा,ਉਤ੍ਤਲ ਰੂਪਰੇਖਾ,উত্তল রূপরেখা,उत्तल रूपरेखा,ಉತ್ತಲ ರೂಪರೇಖಾ,ഉത്തല രൂപരേഖാ,உத்தல ரூபரேகா,ఉత్తల రూపరేఖా,اتل روپریکھا,উত্তল রূপরখা,ଉତ୍ତଲ ରୂପରେଖା,उत्तल रूपरेखा
Convex curvature,उत्तल वक्रता,ઉત્તલ વક્રતા,उत्तल वक्रता,ਉਤ੍ਤਲ ਵਕ੍ਰਤਾ,উত্তল বক্রতা,उत्तल वक्रता,ಉತ್ತಲ ವಕ್ರತಾ,ഉത്തല വക്രതാ,உத்தல வக்ரதா,ఉత్తల వక్రతా,اتل وکرتا,উত্তল ক্রতা,ଉତ୍ତଲ ବକ୍ରତା,उत्तल वक्रता
Convolution,संवलन,સંવલન,संवलन,ਸਂਵਲਨ,সংবলন,संवलन,ಸಂವಲನ,സംവലന,ஸங்வலந,సంవలన,سنولن,সংলন,ସଂବଳନ,संवलन
Coolant,शीतक द्रव्य,શીતક દ્રવ્ય,शीतक द्रव्य,ਸ਼ੀਤਕ ਦ੍ਰਵ੍ਯ,শীতক দ্রব্য,शीतक द्रव्य,ತಣ್ಣಗೆ ಮಾಡುವ,ശീതക ദ്രവ്യ,சீதக த்ரவ்ய,శీతక ద్రవ్య,خنکار,শীতক দ্র্য,ଶୀତକ ଦ୍ରବ୍ଯ,शीतक द्रव्य
Coolant pump,शीतक द्रव्य पम्प,શીતક દ્રવ્ય પમ્પ,शीतक द्रव्य पम्प,ਸ਼ੀਤਕ ਦ੍ਰਵ੍ਯ ਪਮ੍ਪ,শীতক দ্রব্য পম্প,शीतक द्रव्य पम्प,ಶೀತಕ ದ್ರವ್ಯ ಪಮ್ಪ,ശീതക ദ്രവ്യ പമ്പ,சீதக த்ரவ்ய பம்ப,శీతక ద్రవ్య పమ్ప,شیتک درویہ پمپ,শীতক দ্র্য পম্প,ଶୀତକ ଦ୍ରବ୍ଯ ପମ୍ପ,शीतक द्रव्य पम्प
Cooler,"शीतित्र, शीतक","શીતિત્ર, શીતક","शीतित्र, शीतक","ਸ਼ੀਤਿਤ੍ਰ, ਸ਼ੀਤਕ","শীতিত্র, শীতক","शीतित्र, शीतक","ಶೀತಿತ್ರ, ಶೀತಕ","ശീതിത്ര, ശീതക","சீதித்ர, சீதக","శీతిత్ర, శీతక",کولر۔ خنکارہ,"শীতিত্র, শীতক","ଶୀତିତ୍ର, ଶୀତକ","शीतित्र, शीतक"
Cooling fin,शीतन फिन,શીતન ફિન,शीतन फिन,ਸ਼ੀਤਨ ਫਿਨ,শীতন ফিন,शीतन फिन,ಶೀತನ ಫಿನ,ശീതന ഫിന,சீதந பிந,శీతన ఫిన,شیتن پھن,শীতন ফিন,ଶୀତନ ଫିନ,शीतन फिन
Cooling stress,शीतन प्रतिबल,શીતન પ્રતિબલ,शीतन प्रतिबल,ਸ਼ੀਤਨ ਪ੍ਰਤਿਬਲ,শীতন প্রতিবল,शीतन प्रतिबल,ಶೀತನ ಪ್ರತಿಬಲ,ശീതന പ്രതിബല,சீதந ப்ரதிபல,శీతన ప్రతిబల,شیتن پرتبل,শীতন প্রতিবল,ଶୀତନ ପ୍ରତିବଲ,शीतन प्रतिबल
Cope,"उपरि अर्ध, शीर्षार्ध","ઉપરિ અર્ધ, શીર્ષાર્ધ","उपरि अर्ध, शीर्षार्ध","ਟਾਕਰਾ ਕਰਨਾ,ਸੰਘਰਸ਼ ਕਰਨਾ,ਨਜਿੱਠਣਾ","উপরি অর্ধ, শীর্ষার্ধ","उपरि अर्ध, शीर्षार्ध","ಉಪರಿ ಅರ್ಧ, ಶೀರ್ಷಾರ್ಧ","ഉപരി അര്ധ, ശീര്ഷാര്ധ","உபரி அர்த, சீர்ஷார்த","ఉపరి అర్ధ, శీర్షార్ధ",اپری اردھ، شیرشاردھ,"উপরি অর্ধ, শীর্ষার্ধ","ଉପରି ଅର୍ଧ, ଶୀର୍ଷାର୍ଧ","उपरि अर्ध, शीर्षार्ध"
Cope,2. कोप,૨. કોપ,२. कोप,"ਟਾਕਰਾ ਕਰਨਾ,ਸੰਘਰਸ਼ ਕਰਨਾ,ਨਜਿੱਠਣਾ",২. কোপ,२. कोप,೨. ಕೋಪ,൨. കോപ,௨. கோப,౨. కోప,۲۔ کوپ,২. কপ,୨. କୋପ,२. कोप
Cope and drag pattern,शीर्षार्ध एवं तलार्ध प्रतिरूप,શીર્ષાર્ધ એવં તલાર્ધ પ્રતિરૂપ,शीर्षार्ध एवं तलार्ध प्रतिरूप,ਸ਼ੀਰ੍਷ਾਰ੍ਧ ਏਵਂ ਤਲਾਰ੍ਧ ਪ੍ਰਤਿਰੂਪ,শীর্ষার্ধ এবং তলার্ধ প্রতিরূপ,शीर्षार्ध एवं तलार्ध प्रतिरूप,ಶೀರ್ಷಾರ್ಧ ಏವಂ ತಲಾರ್ಧ ಪ್ರತಿರೂಪ,ശീര്ഷാര്ധ ഏവം തലാര്ധ പ്രതിരൂപ,சீர்ஷார்த ஏவங் தலார்த ப்ரதிரூப,శీర్షార్ధ ఏవం తలార్ధ ప్రతిరూప,شیرشاردھ ایوں تلاردھ پرتروپ,শীর্ষার্ধ ং তলার্ধ প্রতিরূপ,ଶୀର୍ଷାର୍ଧ ଏବଂ ତଲାର୍ଧ ପ୍ରତିରୂପ,शीर्षार्ध एवं तलार्ध प्रतिरूप
Coplaner,समतलीय,સમતલીય,समतलीय,ਸਮਤਲੀਯ,সমতলীয,समतलीय,ಸಮತಲೀಯ,സമതലീയ,ஸமதலீய,సమతలీయ,سمتلیہ,সমতলীয,ସମତଲୀଯ,समतलीय
Copper bit,ताम्र अणि,તામ્ર અણિ,ताम्र अणि,ਤਾਮ੍ਰ ਅਣਿ,তাম্র অণি,ताम्र अणि,ತಾಮ್ರ ಅಣಿ,താമ്ര അണി,தாம்ர அணி,తామ్ర అణి,تامر انی,তাম্র অণি,ତାମ୍ର ଅଣି,ताम्र अणि
Copper bronze,"तांबा कांसा, ताम्र कांस्य","તાંબા કાંસા, તામ્ર કાંસ્ય","तांबा कांसा, ताम्र कांस्य","ਤਾਂਬਾ ਕਾਂਸਾ, ਤਾਮ੍ਰ ਕਾਂਸ੍ਯ","তাংবা কাংসা, তাম্র কাংস্য","तांबा कांसा, ताम्र कांस्य","ತಾಂಬಾ ಕಾಂಸಾ, ತಾಮ್ರ ಕಾಂಸ್ಯ","താംബാ കാംസാ, താമ്ര കാംസ്യ","தாங்பா காங்ஸா, தாம்ர காங்ஸ்ய","తాంబా కాంసా, తామ్ర కాంస్య",تانبا کانسا، تامر کانسیہ,"তাংবা কাংসা, তাম্র কাংস্য","ତାଂବା କାଂସା, ତାମ୍ର କାଂସ୍ଯ","तांबा कांसा, ताम्र कांस्य"
Copper conductor,ताम्र चालक,તામ્ર ચાલક,ताम्र चालक,ਤਾਮ੍ਰ ਚਾਲਕ,তাম্র চালক,ताम्र चालक,ತಾಮ್ರ ಚಾಲಕ,താമ്ര ചാലക,தாம்ர சாலக,తామ్ర చాలక,تامر چالک,তাম্র চালক,ତାମ୍ର ଚାଲକ,ताम्र चालक
Copper smith,ताम्रकार,તામ્રકાર,ताम्रकार,ਤਾਮ੍ਰਕਾਰ,তাম্রকার,ताम्रकार,ತಾಮ್ರಕಾರ,താമ്രകാര,தாம்ரகார,తామ్రకార,تامرکار,তাম্রকার,ତାମ୍ରକାର,ताम्रकार
Copying lathe,"नकल खराद, अनुकारी खराद","નકલ ખરાદ, અનુકારી ખરાદ","नकल खराद, अनुकारी खराद","ਨਕਲ ਖਰਾਦ, ਅਨੁਕਾਰੀ ਖਰਾਦ","নকল খরাদ, অনুকারী খরাদ","नकल खराद, अनुकारी खराद","ನಕಲ ಖರಾದ, ಅನುಕಾರೀ ಖರಾದ","നകല ഖരാദ, അനുകാരീ ഖരാദ","நகல கராத, அநுகாரீ கராத","నకల ఖరాద, అనుకారీ ఖరాద",نقل خراد، انوکاری خراد,"নকল খরাদ, অনুকারী খরাদ","ନକଲ ଖରାଦ, ଅନୁକାରୀ ଖରାଦ","नकल खराद, अनुकारी खराद"
Core,क्रोड,ક્રોડ,क्रोड,ਕਿਸੇ ਚੀਜ ਦਾ ਵਿਚਕਾਰਲਾ ਹਿਸਾ,ক্রোড,क्रोड,"ದಿಂಡು, ತಿರುಳು",കാമ്പ്,க்ரோட,క్రోడ,کور,ক্রড,କ୍ରୋଡ,क्रोड
Core blowing machine,क्रोड आध्मक यंत्र,ક્રોડ આધ્મક યંત્ર,क्रोड आध्मक यंत्र,ਕ੍ਰੋਡ ਆਧ੍ਮਕ ਯਂਤ੍ਰ,ক্রোড আধ্মক যংত্র,क्रोड आध्मक यंत्र,ಕ್ರೋಡ ಆಧ್ಮಕ ಯಂತ್ರ,ക്രോഡ ആധ്മക യംത്ര,க்ரோட ஆத்மக யங்த்ர,క్రోడ ఆధ్మక యంత్ర,کروڈ آدھمک ینتر,ক্রড আধ্মক যংত্র,କ୍ରୋଡ ଆଧ୍ମକ ଯଂତ୍ର,क्रोड आध्मक यंत्र
Core boring,क्रोड वेधन,ક્રોડ વેધન,क्रोड वेधन,ਕ੍ਰੋਡ ਵੇਧਨ,ক্রোড বেধন,क्रोड वेधन,ಕ್ರೋಡ ವೇಧನ,ക്രോഡ വേധന,க்ரோட வேதந,క్రోడ వేధన,کروڈ ویدھن,ক্রড ধন,କ୍ରୋଡ ବେଧନ,क्रोड वेधन
Core box,क्रोड पेटी,ક્રોડ પેટી,क्रोड पेटी,ਕ੍ਰੋਡ ਪੇਟੀ,ক্রোড পেটী,क्रोड पेटी,ಕ್ರೋಡ ಪೇಟೀ,ക്രോഡ പേടീ,க்ரோட பேடீ,క్రోడ పేటీ,کروڈ پیٹی,ক্রড পটী,କ୍ରୋଡ ପେଟୀ,क्रोड पेटी
Core drill,क्रोड बरमा,ક્રોડ બરમા,क्रोड बरमा,ਕ੍ਰੋਡ ਬਰਮਾ,ক্রোড বরমা,क्रोड बरमा,ಕೇಂದ್ರ ಭೇದಕ,ക്രോഡ ബരമാ,க்ரோட பரமா,క్రోడ బరమా,کروڈ برما,ক্রড বরমা,କ୍ରୋଡ ବରମା,क्रोड बरमा
Core drying,क्रोड-शुष्कीकरण,ક્રોડ-શુષ્કીકરણ,क्रोड-शुष्कीकरण,ਕ੍ਰੋਡ-ਸ਼ੁ਷੍ਕੀਕਰਣ,ক্রোড-শুষ্কীকরণ,क्रोड-शुष्कीकरण,ಕ್ರೋಡ-ಶುಷ್ಕೀಕರಣ,ക്രോഡ-ശുഷ്കീകരണ,க்ரோட-சுஷ்கீகரண,క్రోడ-శుష్కీకరణ,کروڈ-ششکیکرن,ক্রড-শুষ্কীকরণ,କ୍ରୋଡ-ଶୁଷ୍କୀକରଣ,क्रोड-शुष्कीकरण
Cork,"कॉर्क, डाट","કૉર્ક, ડાટ","कॉर्क, डाट","ਡਾਟ,ਕਾਕ","কৌর্ক, ডাট","कॉर्क, डाट","ಕೌರ್ಕ, ಡಾಟ","കൌര്ക, ഡാട","கௌர்க, டாட","కౌర్క, డాట",کارک,"কর্ক, ডাট","କୌର୍କ, ଡାଟ","कॉर्क, डाट"
Corner joint,कोना जोड़,કોના જોડ઼,कोना जोड़,ਕੋਨਾ ਜੋਡ਼,কোনা জোড়,कोना जोड़,ಕೋನಾ ಜೋಡ಼,കോനാ ജോഡ,கோநா ஜோட,కోనా జోడ,کونا جوڑ,কনা জড়,କୋନା ଜୋଡ଼,कोना जोड़
Correction,संशोधन,"શુદ્ધિ, સુધાર",1. सुधार 2. दुरूस्ती,"ਸੁਧਾਈ, ਸੁਧਾਰ","সংশোধন,শুদ্ধি","सुदारणा,दुरुस्ती","ಸುಧಾರಣೆ, ಸರಿಪಡಿಸುವಿಕೆ",തിരുത്തല്‍,திருத்தம்,"దిద్దుబాటు,సరిచేయడం",تصحیح,"শুদ্ধকৰণ, সংস্কাৰ, সংশোধন","ସଂଶୋଧନ, ଭ୍ରମଶୁଦ୍ଧି","शुद्धि, सुधार;सच्याउने काम"
Correction,2. संशुद्धि,"શુદ્ધિ, સુધાર",1. सुधार 2. दुरूस्ती,"ਸੁਧਾਈ, ਸੁਧਾਰ","সংশোধন,শুদ্ধি","सुदारणा,दुरुस्ती","ಸುಧಾರಣೆ, ಸರಿಪಡಿಸುವಿಕೆ",തിരുത്തല്‍,திருத்தம்,"దిద్దుబాటు,సరిచేయడం",تصحیح,"শুদ্ধকৰণ, সংস্কাৰ, সংশোধন","ସଂଶୋଧନ, ଭ୍ରମଶୁଦ୍ଧି","शुद्धि, सुधार;सच्याउने काम"
Correlation,सहसंबंध,સહસંબંધ,सहसंबंध,ਸਹਸਂਬਂਧ,সহসংবংধ,सहसंबंध,ಸಹಸಂಬಂಧ.,സഹസംബംധ,ஸஹஸங்பங்த,సహసంబంధ,ہم رشتگی,সহসংবংধ,ସହସମ୍ବନ୍ଧ,सहसंबंध
Corrosion,संक्षारण,સંક્ષારણ,संक्षारण,ਸਂਕ੍਷ਾਰਣ,সংক্ষারণ,संक्षारण,"ಸವೆತ, ಕೊರೆತ, ಜಂಗು ಹಿಡಿಯುವಿಕೆ",സംക്ഷാരണ,ஸங்க்ஷாரண,సంక్షారణ,تحلیلی فرسائش,সংক্ষারণ,ସଂକ୍ଷାରଣ,संक्षारण
Corrosion fatigue,संक्षारण श्रांति,સંક્ષારણ શ્રાંતિ,संक्षारण श्रांति,ਸਂਕ੍਷ਾਰਣ ਸ਼੍ਰਾਂਤਿ,সংক্ষারণ শ্রাংতি,संक्षारण श्रांति,ಸಂಕ್ಷಾರಣ ಶ್ರಾಂತಿ,സംക്ഷാരണ ശ്രാംതി,ஸங்க்ஷாரண ச்ராங்தி,సంక్షారణ శ్రాంతి,سنکشارن شرانتی,সংক্ষারণ শ্রাংতি,ସଂକ୍ଷାରଣ ଶ୍ରାଂତି,संक्षारण श्रांति
Corrosion resistance,संक्षारण प्रतिरोध,સંક્ષારણ પ્રતિરોધ,संक्षारण प्रतिरोध,ਸਂਕ੍਷ਾਰਣ ਪ੍ਰਤਿਰੋਧ,সংক্ষারণ প্রতিরোধ,संक्षारण प्रतिरोध,ಸಂಕ್ಷಾರಣ ಪ್ರತಿರೋಧ,സംക്ഷാരണ പ്രതിരോധ,ஸங்க்ஷாரண ப்ரதிரோத,సంక్షారణ ప్రతిరోధ,سنکشارن پرترودھ,সংক্ষারণ প্রতিরধ,ସଂକ୍ଷାରଣ ପ୍ରତିରୋଧ,संक्षारण प्रतिरोध
Corrugated,"नालीदार, वलीयित, लहरदार","નાલીદાર, વલીયિત, લહરદાર","नालीदार, वलीयित, लहरदार","ਨਾਲੀਦਾਰ, ਵਲੀਯਿਤ, ਲਹਰਦਾਰ","নালীদার, বলীযিত, লহরদার","नालीदार, वलीयित, लहरदार",ಉಬ್ಬು ತಗ್ಗಿನ,"നാലീദാര, വലീയിത, ലഹരദാര","நாலீதார, வலீயித, லஹரதார","నాలీదార, వలీయిత, లహరదార",نالیدار، ولیت، لہردار,"নালীদার, লীযিত, লহরদার","ନାଲୀଦାର, ବଲୀଯିତ, ଲହରଦାର","नालीदार, वलीयित, लहरदार"
Corrugation,वलीयन/वलीकरण,વલીયન/વલીકરણ,वलीयन/वलीकरण,ਵਲੀਯਨ/ਵਲੀਕਰਣ,বলীযন/বলীকরণ,वलीयन/वलीकरण,ಉಬ್ಬು ತಗ್ಗು.,വലീയന/വലീകരണ,வலீயந/வலீகரண,వలీయన/వలీకరణ,ولین/ولیکرن,লীযন/লীকরণ,ବଲୀଯନ/ବଲୀକରଣ,वलीयन/वलीकरण
Costing,लागत निर्धारण/लागत आकलन,લાગત નિર્ધારણ/લાગત આકલન,लागत निर्धारण/लागत आकलन,ਲਾਗਤ ਨਿਰ੍ਧਾਰਣ/ਲਾਗਤ ਆਕਲਨ,লাগত নির্ধারণ/লাগত আকলন,लागत निर्धारण/लागत आकलन,ಲಾಗತ ನಿರ್ಧಾರಣ/ಲಾಗತ ಆಕಲನ,ലാഗത നിര്ധാരണ/ലാഗത ആകലന,லாகத நிர்தாரண/லாகத ஆகலந,లాగత నిర్ధారణ/లాగత ఆకలన,لاگت نردھارن/لاگت آکلن,লাগত নির্ধারণ/লাগত আকলন,"ପରିବ୍ୟୟ ନିର୍ଦ୍ଧାରଣ, ପରିବ୍ୟୟ ଆକଳନ",लागत निर्धारण/लागत आकलन
Cotter,कॉटर,કૉટર,कॉटर,ਕ੉ਟਰ,কৌটর,कॉटर,ಕೌಟರ,കൌടര,கௌடர,కౌటర,کاٹر,কটর,କୌଟର,कॉटर
Cotter joint,कॉटर जोड़,કૉટર જોડ઼,कॉटर जोड़,ਕ੉ਟਰ ਜੋਡ਼,কৌটর জোড়,कॉटर जोड़,ಕೌಟರ ಜೋಡ಼,കൌടര ജോഡ,கௌடர ஜோட,కౌటర జోడ,کاٹر جوڑ,কটর জড়,କୌଟର ଜୋଡ଼,कॉटर जोड़
Cotter pin,"कॉटर-कील, कॉटर-पिन","કૉટર-કીલ, કૉટર-પિન","कॉटर-कील, कॉटर-पिन","ਕ੉ਟਰ-ਕੀਲ, ਕ੉ਟਰ-ਪਿਨ","কৌটর-কীল, কৌটর-পিন","कॉटर-कील, कॉटर-पिन","ಕೌಟರ-ಕೀಲ, ಕೌಟರ-ಪಿನ","കൌടര-കീല, കൌടര-പിന","கௌடர-கீல, கௌடர-பிந","కౌటర-కీల, కౌటర-పిన",کاٹر-کیل، کاٹر-پن,"কটর-কীল, কটর-পিন","କୌଟର-କୀଲ, କୌଟର-ପିନ","कॉटर-कील, कॉटर-पिन"
Cotter slot,कॉटर-खॉचा,કૉટર-ખૉચા,कॉटर-खॉचा,ਕ੉ਟਰ-ਖ੉ਚਾ,কৌটর-খৌচা,कॉटर-खॉचा,ಕೌಟರ-ಖೌಚಾ,കൌടര-ഖൌചാ,கௌடர-கௌசா,కౌటర-ఖౌచా,کاٹر-کھاچا,কটর-খচা,କୌଟର-ଖୌଚା,कॉटर-खॉचा
Cotton waste,सूतर,સૂતર,सूतर,ਸੂਤਰ,সূতর,सूतर,ಸೂತರ,സൂതര,ஸூதர,సూతర,سوتر,সূতর,ସୂତର,सूतर
Counter,पटल,"ગલ્લો, થડો, કાઉન્ટર, વિરોધી, વિરુદ્ધ, પ્રતિ,જવાબી","1. गणित्र 2. गणना-फलक 3. फलक, खिडकी, गल्ला","ਕਾਉਂਟਰ, ਜਵਾਬੀ","বিপরীতদিকে,প্রতিকূলে,বিরুদ্ধে","1. काऊंटर,नाब 2. विरोध करप 3. गणित्र",ಗಣಕ.,കൌണ്ടര്‍,"1. எதிராக, 2. செயலிட முகப்பு","కౌంటరు,లెక్క యంత్రం,ప్రతివాదం",کاونٹر جوابی,"1. সম্পদ, অনুকূল বস্তু 2. বিপণী পট্টক 3. বাতায়ন 4. গণনাকাৰী ব্যক্তি বা যন্ত্র 5. বিৰোধ, বিপক্ষ 6.প্র","ବିରୋଧ କରିବା, ଖଣ୍ଡନ କରିବା, କାଉଣ୍ଟର, ଗଣନାର ସାଧନ, ଖଣ୍ଡନପତ୍ର, ପ୍ରତିକୂଳ, ପାଲଟା","1. पटल 2. विरोध गर्नु, प्रत्युत्‍तर दिनु"
Counter,2. गणित्र,"ગલ્લો, થડો, કાઉન્ટર, વિરોધી, વિરુદ્ધ, પ્રતિ,જવાબી","1. गणित्र 2. गणना-फलक 3. फलक, खिडकी, गल्ला","ਕਾਉਂਟਰ, ਜਵਾਬੀ","বিপরীতদিকে,প্রতিকূলে,বিরুদ্ধে","1. काऊंटर,नाब 2. विरोध करप 3. गणित्र",ಗಣಕ.,കൌണ്ടര്‍,"1. எதிராக, 2. செயலிட முகப்பு","కౌంటరు,లెక్క యంత్రం,ప్రతివాదం",کاونٹر جوابی,"1. সম্পদ, অনুকূল বস্তু 2. বিপণী পট্টক 3. বাতায়ন 4. গণনাকাৰী ব্যক্তি বা যন্ত্র 5. বিৰোধ, বিপক্ষ 6.প্র","ବିରୋଧ କରିବା, ଖଣ୍ଡନ କରିବା, କାଉଣ୍ଟର, ଗଣନାର ସାଧନ, ଖଣ୍ଡନପତ୍ର, ପ୍ରତିକୂଳ, ପାଲଟା","1. पटल 2. विरोध गर्नु, प्रत्युत्‍तर दिनु"
Counter,3. प्रति,"ગલ્લો, થડો, કાઉન્ટર, વિરોધી, વિરુદ્ધ, પ્રતિ,જવાબી","1. गणित्र 2. गणना-फलक 3. फलक, खिडकी, गल्ला","ਕਾਉਂਟਰ, ਜਵਾਬੀ","বিপরীতদিকে,প্রতিকূলে,বিরুদ্ধে","1. काऊंटर,नाब 2. विरोध करप 3. गणित्र",ಗಣಕ.,കൌണ്ടര്‍,"1. எதிராக, 2. செயலிட முகப்பு","కౌంటరు,లెక్క యంత్రం,ప్రతివాదం",کاونٹر جوابی,"1. সম্পদ, অনুকূল বস্তু 2. বিপণী পট্টক 3. বাতায়ন 4. গণনাকাৰী ব্যক্তি বা যন্ত্র 5. বিৰোধ, বিপক্ষ 6.প্র","ବିରୋଧ କରିବା, ଖଣ୍ଡନ କରିବା, କାଉଣ୍ଟର, ଗଣନାର ସାଧନ, ଖଣ୍ଡନପତ୍ର, ପ୍ରତିକୂଳ, ପାଲଟା","1. पटल 2. विरोध गर्नु, प्रत्युत्‍तर दिनु"
Counter base,घंटामुखी आधार,ઘંટામુખી આધાર,घंटामुखी आधार,ਘਂਟਾਮੁਖੀ ਆਧਾਰ,ঘংটামুখী আধার,घंटामुखी आधार,ಘಂಟಾಮುಖೀ ಆಧಾರ,ഘംടാമുഖീ ആധാര,கங்டாமுகீ ஆதார,ఘంటాముఖీ ఆధార,گھنٹامکھی آدھار,ঘংটামুখী আধার,ଘଂଟାମୁଖୀ ଆଧାର,घंटामुखी आधार
Counter bore,प्रतिवेध,પ્રતિવેધ,प्रतिवेध,ਪ੍ਰਤਿਵੇਧ,প্রতিবেধ,प्रतिवेध,ಪ್ರತಿವೇಧ,പ്രതിവേധ,ப்ரதிவேத,ప్రతివేధ,پرتویدھ,প্রতিধ,ପ୍ରତିବେଧ,प्रतिवेध
Counter bore,2. प्रतिवेधन,૨. પ્રતિવેધન,२. प्रतिवेधन,੨. ਪ੍ਰਤਿਵੇਧਨ,২. প্রতিবেধন,२. प्रतिवेधन,೨. ಪ್ರತಿವೇಧನ,൨. പ്രതിവേധന,௨. ப்ரதிவேதந,౨. ప్రతివేధన,۲۔ پرتویدھن,২. প্রতিধন,୨. ପ୍ରତିବେଧନ,२. प्रतिवेधन
Counter brace,प्रतिबंधनी,પ્રતિબંધની,प्रतिबंधनी,ਪ੍ਰਤਿਬਂਧਨੀ,প্রতিবংধনী,प्रतिबंधनी,ಪ್ರತಿಬಂಧನೀ,പ്രതിബംധനീ,ப்ரதிபங்தநீ,ప్రతిబంధనీ,پرتبندھنی,প্রতিবংধনী,ପ୍ରତିବଂଧନୀ,प्रतिबंधनी
Counter current heat exchanger,प्रतिधारा ऊष्मा विनिमयित्र,પ્રતિધારા ઊષ્મા વિનિમયિત્ર,प्रतिधारा ऊष्मा विनिमयित्र,ਪ੍ਰਤਿਧਾਰਾ ਊ਷੍ਮਾ ਵਿਨਿਮਯਿਤ੍ਰ,প্রতিধারা ঊষ্মা বিনিমযিত্র,प्रतिधारा ऊष्मा विनिमयित्र,ಪ್ರತಿಧಾರಾ ಊಷ್ಮಾ ವಿನಿಮಯಿತ್ರ,പ്രതിധാരാ ഊഷ്മാ വിനിമയിത്ര,ப்ரதிதாரா ஊஷ்மா விநிமயித்ர,ప్రతిధారా ఊష్మా వినిమయిత్ర,پرتدھارا اوشما ونمیتر,প্রতিধারা ঊষ্মা িনিমযিত্র,ପ୍ରତିଧାରା ଊଷ୍ମା ବିନିମଯିତ୍ର,प्रतिधारा ऊष्मा विनिमयित्र
Counter flow,प्रति प्रवाह,પ્રતિ પ્રવાહ,प्रति प्रवाह,ਪ੍ਰਤਿ ਪ੍ਰਵਾਹ,প্রতি প্রবাহ,प्रति प्रवाह,ಪ್ರತಿ ಪ್ರವಾಹ,പ്രതി പ്രവാഹ,ப்ரதி ப்ரவாஹ,ప్రతి ప్రవాహ,پرتی پرواہ,প্রতি প্রাহ,ପ୍ରତି ପ୍ରବାହ,प्रति प्रवाह
