English,Bengali
Coaxial cable,কোক্সিয়াল কেবল
Coaxial line,কোক্সিয়াল লাইন
Coaxial transmission line,কোক্সিয়াল ট্রান্সমিশন লাইন
Co-channel,সহ-চ্যানেল
Co-channel interference,সহ-চ্যানেল হস্তক্ষেপ
Cochlea,কোচলিয়া
Code,কোড
Code number,কোড নম্বর
Code rate,কোড হার
Code word,কোড শব্দ
Codec (coding decoding),কোডেক (কোডিং ডিকোডিং)
Coded audio,কোডেড অডিও
Coder,কোডার
Coding,কোডিং
Coding decoding technique,কোডিং ডিকোডিং কৌশল
Coding error,কোডিং ত্রুটি
Coding rate,কোডিং হার
Coding technique,কোডিং কৌশল
Coefficient,গুণাঙ্ক
Coercivity,জবরদস্তি
Coherent modulation,সুসংগত মড্যুলেশন
Coil,কয়েল
Collaboration,সহযোগিতা
Collapse,ধসে
Collector,সংগ্রাহক
Collector current,সংগ্রাহক বর্তমান
Collector to base conductance,বেস কন্ডাক্টেন্সে সংগ্রাহক
Collector-base junction,সংগ্রাহক-বেস জংশন
Colour,রঙ
Colour analyzer,রঙ বিশ্লেষক
Colour balance,রঙ ভারসাম্য
Colour burst,রঙ ফেটে
Colour chart,রঙ চার্ট
Colour combination,রঙ সংমিশ্রণ
Colour constant,রঙ ধ্রুবক
Colour control      (chrome control),রঙ নিয়ন্ত্রণ (ক্রোম নিয়ন্ত্রণ)
Colour depth,রঙ গভীরতা
Colour fatigue,রঙ ক্লান্তি
Colour filter,রঙ ফিল্টার
Colour killer circuit,রঙিন কিলার সার্কিট
Colour kinescope,রঙিন কাইনেসপ
Colour mixer,রঙ মিশ্রণ
Colour pattern,রঙিন প্যাটার্ন
Colour perception,রঙ উপলব্ধি
Colour picture screen,রঙিন চিত্রের স্ক্রিন
Colour space,রঙ স্থান
Colour subcarrier,রঙ সাবকারিয়ার
Colour temperature,রঙের তাপমাত্রা
Colour transmission,রঙ সংক্রমণ
Colour tube,রঙ টিউব
Colouration,রঙিন
Colourless,বর্ণহীন
Combination,সংমিশ্রণ
Combiner,কম্বাইনার
Combining process,সংমিশ্রণ প্রক্রিয়া
Combustion,দহন
Command,কমান্ড
Commencement,শুরু
Commercial broadcasting,বাণিজ্যিক সম্প্রচার
Commercial television,বাণিজ্যিক টেলিভিশন
Common collector circuit,সাধারণ সংগ্রাহক সার্কিট
Communication,যোগাযোগ
Communication satellite,যোগাযোগ স্যাটেলাইট
Community radio centre,সম্প্রদায় রেডিও কেন্দ্র
Community radio station,সম্প্রদায় রেডিও স্টেশন
Compact disc (CD),কমপ্যাক্ট ডিস্ক (সিডি)
Compact disc player,কমপ্যাক্ট ডিস্ক প্লেয়ার
Compander,সামরিক
Companding,তুলনা করা
Compatibility,সামঞ্জস্যতা
Compatible,উপযুক্ত
Compiler,সংকলক
Complementary,পরিপূরক
Complementary transistor,পরিপূরক ট্রানজিস্টর
Complex wave,জটিল তরঙ্গ
Component,উপাদান
Composite,সংমিশ্রণ
Composite circuit,যৌগিক সার্কিট
Composite digital,যৌগিক ডিজিটাল
Composite radio frequency signal,যৌগিক রেডিও ফ্রিকোয়েন্সি সিগন্যাল
Composite signal,যৌগিক সংকেত
Composite video,যৌগিক ভিডিও
Composite video signal,যৌগিক ভিডিও সংকেত
Composition,গঠন
Compressed data,সংকুচিত ডেটা
Compressed digitized video,সংকুচিত ডিজিটাইজড ভিডিও
Compressed video,সংকুচিত ভিডিও
Compression,সঙ্কোচন
Compression artifact,সংক্ষেপণ শিল্পকর্ম
Compression hazard,সংকোচনের ঝুঁকি
Compression technique,সংক্ষেপণ কৌশল
Compressor,সংক্ষেপক
Compute,গণনা
Computer,কম্পিউটার
Computer based multimedia,কম্পিউটার ভিত্তিক মাল্টিমিডিয়া
Computer programming,কম্পিউটার প্রোগ্রামিং
Computer technology,কম্পিউটার প্রযুক্তি
Concave lens,অবতল লেন্স
Concave mirror,অবতল আয়না
Concealment,গোপন
Concentrated,কেন্দ্রীভূত
Concentration,একাগ্রতা
Concentric lens,কেন্দ্রীভূত লেন্স
Condenser microphone,কনডেনসার মাইক্রোফোন
Condition of equilibrium,ভারসাম্য শর্ত
Conduction,চালনা
Conduction current,পরিবাহিতা বর্তমান
Conductivity,পরিবাহিতা
Conductor,কন্ডাক্টর
Configuration,কনফিগারেশন
Connection,সংযোগ
Connectivity,সংযোগ
Connector,সংযোগকারী
Consistency,ধারাবাহিকতা
Consistently,ধারাবাহিকভাবে
Console,কনসোল
Constant,ধ্রুবক
Constant  amplitude,ধ্রুবক প্রশস্ততা
Contact microphone,মাইক্রোফোনের সাথে যোগাযোগ করুন
Container format,ধারক ফর্ম্যাট
Contamination,দূষণ
Content,বিষয়বস্তু
Contiguous,সংলগ্ন
Continuity,ধারাবাহিকতা
Continuity booth,ধারাবাহিকতা বুথ
Continuity knob,ধারাবাহিকতা গিঁট
Continuous,একটানা
Continuous arc,অবিচ্ছিন্ন চাপ
Continuous wave,অবিচ্ছিন্ন তরঙ্গ
Contour line,কনট্যুর লাইন
Contour plan,কনট্যুর পরিকল্পনা
Contract,চুক্তি
Contraction,সংকোচন
Contrast ratio,বৈপরীত্য অনুপাত
Control circuit,নিয়ন্ত্রণ বর্তনী
Control electrode,বৈদ্যুতিন নিয়ন্ত্রণ করুন
Control equipment,নিয়ন্ত্রণ সরঞ্জাম
Control grid,গ্রিড নিয়ন্ত্রণ করুন
Control line,নিয়ন্ত্রণ লাইন
Control panel,নিয়ন্ত্রণ প্যানেল
Control room,নিয়ন্ত্রণ কক্ষ
Control table,নিয়ন্ত্রণ টেবিল
Control tower,নিয়ন্ত্রণ টাওয়ার
Controller,নিয়ামক
Convergence,রূপান্তর
Convergent lens,কনভারজেন্ট লেন্স
Convertor,রূপান্তরকারী
Convex lens,উত্তল লেন্স
Convolution,সমঝোতা
Convolution coded,কনভোলিউশন কোডড
Convolutional interleave,কনভোলিউশনাল ইন্টারলিভ
Convolutional interleaving,কনভোলিউশনাল ইন্টারলিভিং
Cookie,কুকি
Cookier,কুকিয়ার
Coprocessor,Coprocessor
Cord,কর্ড
Corona,করোনা
Corona discharge,করোনার স্রাব
Correlation,পারস্পরিক সম্পর্ক
Cosine component,কোসাইন উপাদান
Cosine wave,কোসাইন ওয়েভ
Cosmic noise,মহাজাগতিক শব্দ
Counter,কাউন্টার
Counter clockwise,ঘড়ির কাঁটার বিপরীতে
Coupler,কাপলার
Coupling,কাপলিং
Coupling condenser,কাপলিং কনডেনসার
Coupling network,কাপলিং নেটওয়ার্ক
Coupling resistance,কাপলিং প্রতিরোধের
Covalent bond,সমযোজী বন্ধন
Coverage,কভারেজ
Crash,ক্র্যাশ
Critical band,সমালোচনামূলক ব্যান্ড
Critical condition,গুরুতর অবস্থায়
Critical coupling,সমালোচনামূলক কাপলিং
Critical frequency,সমালোচনামূলক ফ্রিকোয়েন্সি
Critical parameter,সমালোচনামূলক প্যারামিটার
Crocodile clip,কুমির ক্লিপ
Cross fading,ক্রস বিবর্ণ
Cross modulation,ক্রস মড্যুলেশন
Cross talk,ক্রস টক
Crossfade,ক্রসফ্যাড
Cryptography,ক্রিপ্টোগ্রাফি
Crystal,স্ফটিক
Crystal filter,স্ফটিক ফিল্টার
Cue,কিউ
Cue marks,কিউ চিহ্ন
Cueing device,কিউইং ডিভাইস
Current drain,বর্তমান ড্রেন
Current meter,বর্তমান মিটার
Current transformer,বর্তমান ট্রান্সফরমার
Cursor,কার্সার
Curve,বক্ররেখা
Cut off frequency,ফ্রিকোয়েন্সি কেটে ফেলুন
Cutter,কাটার
Cyber cafe,সাইবার ক্যাফে
Cyber security,সাইবার নিরাপত্তা
Cyber space,সাইবার স্পেস
Cycle,সাইকেল
Cyclic,চক্রীয়
D.c. component,ডিসি উপাদান
D.c. plate power,ডিসি প্লেট পাওয়ার
D.c. restoration,ডিসি পুন: প্রতিষ্ঠা
Damper diode,ড্যাম্পার ডায়োড
Damping,স্যাঁতসেঁতে
Dark,অন্ধকার
Data,ডেটা
Data broadcasting,ডেটা সম্প্রচার
Data compression,তথ্য সংকোচন
Data drilling,ডেটা ড্রিলিং
Data encryption,তথ্য এনক্রিপশন
Data file,আমার স্নাতকের
Data handling,ডেটা হ্যান্ডলিং
Data mining,ডেটা মাইনিং
Data processing,তথ্য প্রক্রিয়াজাতকরণ
Data processor,ডাটা প্রসেসর
Data reduced bit system,ডেটা হ্রাস বিট সিস্টেম
Data service,তথ্য সেবা
Data sheet,তথ্য তালিকা
Data storage,তথ্য ভান্ডার
Data stream,তথ্য প্রবাহ
Data transformation,ডেটা রূপান্তর
Data transmission,ডেটা ট্রান্সমিশন
Database,তথ্যশালা
Datacasting,ডেটাকাস্টিং
Datagram,ডেটাগ্রাম
DB meter,ডিবি মিটার
Dead air,মৃত বায়ু
Dead short circuit,মৃত শর্ট সার্কিট
Dead spot,ডেড স্পট
Deadlock,অচলাবস্থা
Debug programme,ডিবাগ প্রোগ্রাম
Debugging,ডিবাগিং
Decay of sound,শব্দ ক্ষয়
Decibel (dB),ডেসিবেল (ডিবি)
Decimal,দশমিক
Decimal code,দশমিক কোড
Decimal digit,দশমিক অঙ্ক
Deciphering,ডেসিফারিং
Decoder,ডিকোডার
Decoding,ডিকোডিং
Decoding in digital transmission,ডিজিটাল সংক্রমণে ডিকোডিং
Decompression,ডিকম্প্রেশন
Decoupling,ডিকোপলিং
Decoupling circuit,ডিকোপলিং সার্কিট
Decoupling network,ডিকোপলিং নেটওয়ার্ক
Decryption,ডিক্রিপশন
Dedicated line,ডেডিকেটেড লাইন
De-embedding,ডি-এমবেডিং
De-emphasis,ডি-জোর
Default,ডিফল্ট
Defect in quality,গুণমান ত্রুটি
Defective,ত্রুটিযুক্ত
Defective unit,ত্রুটিযুক্ত ইউনিট
Definition,সংজ্ঞা
Deflection,ডিফ্লেশন
Deformation,বিকৃতি
Defragmentation,ডিফ্র্যাগমেন্টেশন
De-gaussing coil,ডি-গাউসিং কয়েল
Degree,ডিগ্রি
De-interleaver,ডি-ইন্টারলিভার
Delay line,বিলম্ব লাইন
Delay time,বিলম্ব সময়
Delayed frame memory,বিলম্বিত ফ্রেম মেমরি
Delayed scanning,বিলম্বিত স্ক্যানিং
Delayed synchronization signal,বিলম্বিত সিঙ্ক্রোনাইজেশন সংকেত
Delivery,বিতরণ
Delivery system,বিতরণ ব্যবস্থাপনা
Demodulation,ডিমোডুলেশন
Demodulator card,ডেমোডুলেটর কার্ড
Demultiplexer,ডেমাল্টিপ্লেক্সার
Depth of field,মাঠের গভীরতা
Descending,অবতরণ
Design specification,নকশার সবিস্তার বিবরণী
Desktop,ডেস্কটপ
Detector output,ডিটেক্টর আউটপুট
Deviation,বিচ্যুতি
Device,যন্ত্র
Device driver,ডিভাইস ড্রাইভার
Diagnostics,কারণ নির্ণয়
Diagram,চিত্র
Dialog track,ডায়ালগ ট্র্যাক
Diameteral mode,ব্যাস মোড
Diamond stylus,ডায়মন্ড স্টাইলাস
Diaphragm,ডায়াফ্রাম
Diaphragmatic absorber,ডায়াফ্রাম্যাটিক শোষণকারী
Dichotic listening,ডাইচোটিক শ্রবণ
Dielectric,ডাইলেট্রিক
Dielectric break- down,ডাইলেট্রিক ব্রেক- ডাউন
Dielectric loss,ডাইলেট্রিক ক্ষতি
Difference frequency,পার্থক্য ফ্রিকোয়েন্সি
Difference frequency distortion (DFD),পার্থক্য ফ্রিকোয়েন্সি বিকৃতি (ডিএফডি)
Difference tone,পার্থক্য টোন
Differential amplifier,ডিফারেনশিয়াল এম্প্লিফায়ার
Diffraction,বিচ্ছুরণ
Diffuser,ডিফিউজার
Digit,অঙ্ক
Digital,ডিজিটাল
Digital artifact,ডিজিটাল আর্টিফ্যাক্ট
Digital audio,ডিজিটাল অডিও
Digital audio filter,ডিজিটাল অডিও ফিল্টার
Digital audio work station,ডিজিটাল অডিও ওয়ার্ক স্টেশন
Digital camera,ডিজিটাল ক্যামেরা
Digital computer,ডিজিটাল কম্পিউটার
Digital data,ডিজিটাল ডেটা
Digital editing,ডিজিটাল সম্পাদনা
Digital exciter,ডিজিটাল এক্সাইটার
Digital filter,ডিজিটাল ফিল্টার
Digital frame synchronizer,ডিজিটাল ফ্রেম সিঙ্ক্রোনাইজার
Digital heritage,ডিজিটাল heritage তিহ্য
Digital image,ডিজিটাল চিত্র
Digital library,ডিজিটাল লাইব্রেরি
Digital meter,ডিজিটাল মিটার
Digital modulation,ডিজিটাল মড্যুলেশন
Digital multiplex,ডিজিটাল মাল্টিপ্লেক্স
Digital network,ডিজিটাল নেটওয়ার্ক
Digital output,ডিজিটাল ফলাফল
Digital playback,ডিজিটাল প্লেব্যাক
Digital Radio Mondiale (DRM),ডিজিটাল রেডিও মন্ডিয়াল (ডিআরএম)
Digital recording,ডিজিটাল রেকর্ডিং
Digital revolution,ডিজিটাল বিপ্লব
Digital signal,ডিজিটাল সিগন্যাল
Digital signal processing (DSP),ডিজিটাল সিগন্যাল প্রসেসিং (ডিএসপি)
Digital signature,ডিজিটাল স্বাক্ষর
Digital technology,ডিজিটাল প্রযুক্তি
Digital to analog converter,অ্যানালগ রূপান্তরকারী ডিজিটাল
Digital video,ডিজিটাল ভিডিও
Digital voltmeter,ডিজিটাল ভোল্টমিটার
Digitalization,ডিজিটালাইজেশন
Digitization,ডিজিটাইজেশন
Digitized video,ডিজিটাইজড ভিডিও
Digitizer,ডিজিটাইজার
Dim,ম্লান
Dimension,মাত্রা
Dimmer,ডিমার
Diode,ডায়োড
Dip,ডুব
Diplexer,ডিপ্লেক্সার
Dipole antenna,ডিপোল অ্যান্টেনা
Direct broadcast,সরাসরি সম্প্রচার
Direct current (d c),সরাসরি কারেন্ট (ডি সি)
Direct pick up,সরাসরি বাছাই
Direct reading instrument,সরাসরি পড়ার যন্ত্র
Direct recording,সরাসরি রেকর্ডিং
Directional antenna,দিকনির্দেশক অ্যান্টেনা
Directional coupler,দিকনির্দেশক কাপলার
Directional microphone,দিকনির্দেশক মাইক্রোফোন
Directivity,নির্দেশিকা
Directory,ডিরেক্টরি
Disable,অক্ষম করুন
Disc antenna,ডিস্ক অ্যান্টেনা
Disc based storage,ডিস্ক ভিত্তিক স্টোরেজ
Discrete,বিচ্ছিন্ন
Disk,ডিস্ক
Disk drive,তথ্য ধারণ করে যে চাকতি
Disk quota,ডিস্ক কোটা
Diskette,ডিস্কেট
Dislocation,স্থানচ্যুতি
Dispersion,বিচ্ছুরণ
Displacement,উত্পাটন
Display,প্রদর্শন
Display unit (console),প্রদর্শন ইউনিট (কনসোল)
Dissipation,অপচয়
Dissonance,বিচ্ছিন্নতা
Distilled water,বিশুদ্ধ পানি
Distortion,বিকৃতি
Distribution,বিতরণ
Distribution amplifier,বিতরণ পরিবর্ধক
Division,বিভাগ
Divisor,বিভাজক
Document,নথি
Dolby digital,Dolby ডিজিটাল
Domain,ডোমেইন
Domain controller,ডোমেন নিয়ন্ত্রক
Doppler effect,ডপলার এফেক্ট
Double pole (dipole),ডাবল মেরু (ডিপোল)
Double pole single throw switch,ডাবল মেরু একক থ্রো সুইচ
Double sided disk,ডাবল পার্শ্বযুক্ত ডিস্ক
Doublet,ডাবল্ট
Down coming wave,ডাউন ওয়েভ ডাউন
Down stream,ডাউন স্ট্রিম
Downlink,ডাউনলিংক
Download,ডাউনলোড
Downloading,ডাউনলোড করা
Drawing,অঙ্কন
Drilling bit,ড্রিলিং বিট
Drilling machine,ড্রিলিং মেশিন
Drive,ড্রাইভ
Drum,ড্রাম
Dry bulb temperature,শুকনো বাল্ব তাপমাত্রা
Dry cell,শুকনো সেল
Dry solder,শুকনো সোল্ডার
Dual channel mode,দ্বৈত চ্যানেল মোড
Dubbing,ডাবিং
Dud,ডুড
Dump,ডাম্প
Duplex,দ্বৈত
Duration,সময়কাল
Dust,ধুলো
Dust bug,ডাস্ট বাগ
Dust proof,ধুলা প্রমাণ
Duster,ডাস্টার
Dynamic,গতিশীল
Dynamic bit allocation,গতিশীল বিট বরাদ্দ
Dynamic intermodulation distortion (DIM),গতিশীল ইন্টারমোডুলেশন বিকৃতি (ডিম)
Dynamic quantization,গতিশীল পরিমাণ
Dynamic range,গতিশীল পরিসীমা
Dynamic range control,গতিশীল পরিসীমা নিয়ন্ত্রণ
Dynamo,ডায়নামো
Ear phone,কানের ফোন
Earth,পৃথিবী
Earth bulge,পৃথিবী বাল্জ
Earth resistance,পৃথিবী প্রতিরোধ
Earth rod,আর্থ রড
Earth satellite,আর্থ স্যাটেলাইট
Earth station,আর্থ স্টেশন
Earth terminal,আর্থ টার্মিনাল
Earthing,আর্থিং
Echo,প্রতিধ্বনি
Echo chamber,প্রতিধ্বনির কামরা
Eddy current,এডি কারেন্ট
Eddy current loss,এডি বর্তমান ক্ষতি
Edgewise meter,এজওয়াইজ মিটার
Editing,সম্পাদনা
Effective antenna height,কার্যকর অ্যান্টেনা উচ্চতা
Effective antenna length,কার্যকর অ্যান্টেনার দৈর্ঘ্য
Effective voltage,কার্যকর ভোল্টেজ
Efficiency,দক্ষতা
Elasticity,স্থিতিস্থাপকতা
Electric discharge,বৈদ্যুতিক স্রাব
Electric field,বৈদ্যুতিক ক্ষেত্র
Electric flash,বৈদ্যুতিন ফ্ল্যাশ
Electric heater,বৈদ্যুতিক চুলা
Electric meter,বৈদ্যুতিক মিটার
Electric motor,বৈদ্যুতিক মটর
Electric shock,বৈদ্যুতিক শক
Electric spark,বৈদ্যুতিক স্পার্ক
Electrical appliance,বৈদ্যুতিক সরঞ্জাম
Electrical noise,বৈদ্যুতিক শব্দ
Electrical storm,বৈদ্যুতিক ঝড়
Electrically operated musical instrument,বৈদ্যুতিকভাবে পরিচালিত বাদ্যযন্ত্র
Electricity,বিদ্যুৎ
Electricity supply,বিদ্যুৎ সরবরাহ
Electrodynamic,ইলেক্ট্রোডাইনামিক
Electrolytic capacitor,তড়িৎ - ধারক
Electromagnetic,বৈদ্যুতিন চৌম্বক
Electromagnetic disturbance,বৈদ্যুতিন চৌম্বকীয় ব্যাঘাত
Electromagnetic interferrence,বৈদ্যুতিন চৌম্বকীয় হস্তক্ষেপ
Electromagnetic spectrum,ইলেক্ট্রোম্যাগনেটিক বর্ণালী
Electromagnetic wave,ইলেক্ট্রোম্যাগনেটিক তরঙ্গ
Electromagnetic wave propagtion,বৈদ্যুতিন চৌম্বকীয় তরঙ্গ প্রচার
Electron multiple phototube,ইলেক্ট্রন একাধিক ফটোোট ्यूब
Electronic calculator,বৈদ্যূতিক গণকযন্ত্র
Electronic data processing (EDP),বৈদ্যুতিন ডেটা প্রসেসিং (ইডিপি)
Electronic mail (e-mail),বৈদ্যুতিন মেল (ই-মেইল)
Electronic switching system,বৈদ্যুতিন স্যুইচিং সিস্টেম
Electronics,ইলেকট্রনিক্স
Electroplating,ইলেক্ট্রোপ্লেটিং
Electrostatic,ইলেক্ট্রোস্ট্যাটিক
Elevation,উচ্চতা
Embedded,এম্বেড
Embedded audio,এম্বেডড অডিও
Embedded system,এম্বেডেড সিস্টেম
Emblem,প্রতীক
Emerging trends,উঠতি প্রবণতা
Emission,নিঃসরণ
Emitter,ইমিটার
Emitter follower,ইমিটার অনুসরণকারী
Emitter terminal,ইমিটার টার্মিনাল
Emitter-base-junction,ইমিটার-বেস-জংশন
Enable,সক্ষম করুন
Enamelled wire,Enamelled তার
Encipher,এনসিফার
Enclosure,ঘের
Encode,এনকোড
Encoder,এনকোডার
Encoding,এনকোডিং
Encryption,জোড়া লাগানো
End mark,শেষ চিহ্ন
End user,শেষ ব্যবহারকারী
Energy,শক্তি
Energy dispersal,শক্তি ছত্রভঙ্গ
Energy distribution,শক্তি বিতরণ
Enforcement,প্রয়োগ
Engine,ইঞ্জিন
Engineer,প্রকৌশলী
Engineering,প্রকৌশল
Engineering store,ইঞ্জিনিয়ারিং স্টোর
Engraving,খোদাই করা
Enhance,উন্নত
Ensemble,এনসেম্বল
Enter key,কী প্রবেশ করান
Enterprise architecture,এন্টারপ্রাইজ আর্কিটেকচার
Enthalpy,এনথালপি
Entropy,এনট্রপি
Entropy coding,এনট্রপি কোডিং
Entropy redundancy,এনট্রপি অপ্রয়োজনীয়তা
Equalising,সমান
Equalization,সমতা
Equalizer,সমতুল্য
Equipment,সরঞ্জাম
Equipment cover,সরঞ্জাম কভার
Equivalent,সমতুল্য
Erase,মুছুন
Erase head,মাথা মুছুন
Erosion,ক্ষয়
Erratic,অনিশ্চিত
Error,ত্রুটি
Error control coding,ত্রুটি নিয়ন্ত্রণ কোডিং
Error correction,ত্রুটি সংশোধন
Error detection,ত্রুটি সনাক্তকরণ
Error handling,শিল্প খাত
Error probability,ত্রুটি সম্ভাবনা
Ethernet,ইথারনেট
Ethernet cable,ইথারনেট তারের
Eugenics,ইউজেনিক্স
Evacuate,খালি করা
Exchange,বিনিময়
Exciter,উত্তেজনাপূর্ণ
Execute,এক্সিকিউট
Execution time,সঞ্চালনের সময়
Exhaust,নিষ্কাশন
Exit,প্রস্থান
Expanded,প্রসারিত
Expansion valve,সম্প্রসারণ ভালভ
Experiment,পরীক্ষা
Expert system,দক্ষ পদ্ধতি
Explore,অন্বেষণ
Explorer,অনুসন্ধানকারী
Expo(exhibition),এক্সপো (প্রদর্শনী)
Extension of power supply,বিদ্যুৎ সরবরাহের বর্ধন
External control,বাহ্যিক নিয়ন্ত্রণ
External memory,বাহ্যিক স্মৃতি
External storage,বাহ্যিক সংগ্রহস্থল
External thread,বাহ্যিক থ্রেড
Extract,নির্যাস
Extranet,এক্সট্রানেট
Fabricate,বানোয়াট
Facet,দিক
Facsimile,ফ্যাসিমাইল
Factor,ফ্যাক্টর
Fade,বিবর্ণ
Fade in,বিবর্ণ
Fade out,বিবর্ণ
Fader,ফাদার
Fading,বিবর্ণ
Fading zone,বিবর্ণ অঞ্চল
Fantom (=phantom),ফ্যান্টম (= ফ্যান্টম)
Fast fourier transform (FFT) algorithm,ফাস্ট ফুরিয়ার ট্রান্সফর্ম (এফএফটি) অ্যালগরিদম
Fatal error,মারাত্মক ত্রুটি
Fault,দোষ
Feature,বৈশিষ্ট্য
Feed,ফিড
Feedback,প্রতিক্রিয়া
Feedback amplifier,প্রতিক্রিয়া পরিবর্ধক
Feedback circuit,প্রতিক্রিয়া সার্কিট
Feedback voltage,প্রতিক্রিয়া ভোল্টেজ
Feeder,ফিডার
Feeder cable,ফিডার কেবল
Feeder hut,ফিডার হাট
Feeder line,ফিডার লাইন
Feeder system,ফিডার সিস্টেম
Feeder wire,ফিডার তার
Fibre,ফাইবার
Fibre optics,ফাইবার অপটিক
Fidelity,বিশ্বস্ততা
Fidelity range extension,বিশ্বস্ততা পরিসীমা এক্সটেনশন
Field,ক্ষেত্র
Field drive,ফিল্ড ড্রাইভ
Field effect transistor,ফিল্ড এফেক্ট ট্রানজিস্টর
Field strength,ক্ষেত্রের শক্তি
Field strength meter,ক্ষেত্র শক্তি মিটার
Field strength survey,ক্ষেত্র শক্তি জরিপ
Figure,চিত্র
Figure of merit,মেধার চিত্র
Filament,ফিলামেন্ট
File,ফাইল
File server,ফাইল সার্ভার
File system,নথি ব্যবস্থা
Filler,ফিলার
Film recorder,ফিল্ম রেকর্ডার
Film speed,ফিল্মের গতি
Filter,ছাঁকনি
Filter choke,ফিল্টার চোক
Filter circuit,ফিল্টার সার্কিট
Filtering,ফিল্টারিং
Fine tuning control,ফাইন টিউনিং নিয়ন্ত্রণ
Finite field,সীমাবদ্ধ ক্ষেত্র
Fire wall,আগুনের প্রাচীর
Firefox,ফায়ারফক্স
Firing angle,ফায়ারিং কোণ
Firmware,ফার্মওয়্যার
Fittings,ফিটিংস
Fixed point chart,স্থির পয়েন্ট চার্ট
Fixed point item,স্থির পয়েন্ট আইটেম
Flash,ফ্ল্যাশ
Flat,সমান
Flicker,ঝাঁকুনি
Flip flop,ফ্লিপ ফ্লপ
Float valve,ভাসমান ভালভ
Floating,ভাসমান
Floating  battery,ভাসমান ব্যাটারি
Floating point,ভাসমান পয়েন্ট
Floating port,ভাসমান বন্দর
Flood light,বন্যার আলো
Flood lighting,বন্যার আলো
Floor,মেঝে
Floppy,ফ্লপি
Flow chart,প্রবাহ চার্ট
Fluctuation,ওঠানামা
Fluid,তরল
Fluorescent lamp,প্রতিপ্রভ বাতি
Fluorescent tube,প্রতিপ্রভ টিউব
Flutter,ঝাপটায়
Flux,ফ্লাক্স
Flux linkage,ফ্লাক্স লিঙ্কেজ
FM network,এফএম নেটওয়ার্ক
FM tower,এফএম টাওয়ার
Focus,ফোকাস
Focus control,ফোকাস নিয়ন্ত্রণ
Focussing,ফোকাসিং
Focussing magnet,ফোকাসিং চৌম্বক
Fog,কুয়াশা
Foil,ফয়েল
Fold back,ভাজ করা
Folded dipole,ভাঁজ ডিপোল
Folder,ফোল্ডার
Footage,ফুটেজ
Footer,ফুটার
Forced oscillation,জোর করে দোলনা
Forced ventilation,জোর করে বায়ুচলাচল
Forced vibration,জোর করে কম্পন
Forge,জাল
Format,ফর্ম্যাট
Format shifting,ফর্ম্যাট শিফটিং
Format tunes,ফর্ম্যাট সুর
Formatting,ফর্ম্যাটিং
Forward bias,এগিয়ে পক্ষপাত
Forward biased,ফরোয়ার্ড পক্ষপাতদুষ্ট
Forward current,ফরোয়ার্ড বর্তমান
Forward direction,ফরোয়ার্ড দিক
Forward resistance,ফরোয়ার্ড প্রতিরোধ
Fourier transform,ফুরিয়ার রুপান্তর
Fractal,ফ্র্যাক্টাল
Fragmentation,খণ্ডন
Frame,ফ্রেম
Frame formatting,ফ্রেম ফর্ম্যাটিং
Frame synchroniser,ফ্রেম সিঙ্ক্রোনাইজার
Framing,ফ্রেমিং
Free electron,বিনামূল্যে ইলেক্ট্রন
Free space loss,মুক্ত স্থান ক্ষতি
Free space path loss,মুক্ত স্থান পথ ক্ষতি
Frequency,ফ্রিকোয়েন্সি
Frequency allocation,ফ্রিকোয়েন্সি বরাদ্দ
Frequency changer,ফ্রিকোয়েন্সি চেঞ্জার
Frequency converter,ফ্রিকোয়েন্সি রূপান্তরকারী
Frequency counter,ফ্রিকোয়েন্সি কাউন্টার
Frequency distortion,ফ্রিকোয়েন্সি বিকৃতি
Frequency divider,ফ্রিকোয়েন্সি ডিভাইডার
Frequency domain,কম্পাঙ্ক এলাকা
Frequency doubler,ফ্রিকোয়েন্সি ডাবল
Frequency modulation,কম্পাংক একক
Frequency monitor,ফ্রিকোয়েন্সি মনিটর
Frequency multiplex,ফ্রিকোয়েন্সি মাল্টিপ্লেক্স
Frequency multiplier,ফ্রিকোয়েন্সি গুণক
Frequency range,কম্পাংক সীমা
Frequency response,ফ্রিকোয়েন্সি প্রতিক্রিয়া
Frequency shift,ফ্রিকোয়েন্সি শিফট
Frequency spectrum,ফ্রিকোয়েন্সি স্পেকট্রাম
Frequency synthesizer,ফ্রিকোয়েন্সি সিনথেসাইজার
Frequency tolerance,ফ্রিকোয়েন্সি সহনশীলতা
Frequency translator box,ফ্রিকোয়েন্সি অনুবাদক বাক্স
Frequency variation,ফ্রিকোয়েন্সি প্রকরণ
Fresnel zone,ফ্রেসেল জোন
Fringe-area,ফ্রঞ্জ-অঞ্চল
Front porch,সামনের বারান্দা
Full adder,সম্পূর্ণ অ্যাডার
Full wave rectification,পূর্ণ তরঙ্গ সংশোধন
Full wave rectifier,পূর্ণ তরঙ্গ সংশোধনকারী
Function,ফাংশন
Function key,ফাংশন কী
Functional testing,কার্যকরী পরীক্ষা
Fundamental,মৌলিক
Fundamental frequency,মৌলিক ফ্রিকোয়েন্সি
Fundamental velocity,মৌলিক বেগ
Funnel,ফানেল
Fuse,ফিউজ
Fuse wire,ফিউজ তার
Fuzzy logic,ঝাপসা যুক্তিবিজ্ঞান
Gain,লাভ করা
Gain control,নিয়ন্ত্রণ লাভ
Galois field,গ্যালোইস ফিল্ড
