Bengali,Kannada
1. কোএনজাইম 2. কো-এনজাইম,1. ಕೋಎಂಜೈಮ್ 2. ಸಹ-ಕಿಣ್ವ
সংহতি,ಒಗ್ಗಟ್ಟು
1. ফাইবার (পাট পাট) 2. নারকেল মোটা,1. ಫೈಬರ್ (ಸೆಣಬು) 2. ತೆಂಗಿನಕಾಯಿ ಒರಟು
মুলাঙ্কুর চোলা,ಮುಳಂಕೂರು ಚೋಳ
,
কলয়েড (মাটি),ಕೊಲೊಯ್ಡ್ (ಮಣ್ಣು)
1.কলাম 2.columella,1.ಕಾಲಮ್ 2.ಕೊಲುಮೆಲ್ಲಾ
1. শাস্তি 2. কলাম 3. কলাম,1. ಪೆನಾಲ್ಟಿ 2. ಕಾಲಮ್ 3. ಕಾಲಮ್
যোগাযোগ,ಕಮ್ಯುನಿಯನ್
বাণিজ্যিক ব্যাংক,ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್
1. পণ্য 2. পণ্যদ্রব্য,1. ಸರಕು 2. ಸರಕು
সম্প্রদায়,ಸಮುದಾಯ
কম্প্যাকশন (মাটির),ಸಂಕೋಚನ (ಮಣ್ಣಿನ)
1. সামঞ্জস্যতা 2. সামঞ্জস্য,1. ಹೊಂದಾಣಿಕೆ 2. ಹೊಂದಾಣಿಕೆ
সামঞ্জস্য,ಹೊಂದಾಣಿಕೆ
1. ক্ষতিপূরণ 2. ক্ষতিপূরণ,1. ಪರಿಹಾರ 2. ಪರಿಹಾರ
প্রতিযোগিতামূলক মিথস্ক্রিয়া,ಸ್ಪರ್ಧಾತ್ಮಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ
সম্পূরক ফসল,ಪೂರಕ ಬೆಳೆ
1. যৌগিক 2. জটিল,1.ಸಂಯೋಜಿತ 2.ಸಂಕೀರ್ಣ
গঠনকারী,ಘಟಕ
গঠন,ಸಂಯೋಜನೆ
কম্পোস্ট,ಗೊಬ್ಬರ
চক্রবৃদ্ধিহারে সুদ,ಚಕ್ರಬಡ್ಡಿ
গণনা,ಗಣನೆ
1. কম্পিউটার 2. কম্পিউটার,1. ಕಂಪ್ಯೂಟರ್ 2. ಕಂಪ್ಯೂಟರ್
1. একাগ্রতা 2. একাগ্রতা,1. ಏಕಾಗ್ರತೆ 2. ಏಕಾಗ್ರತೆ
1. অপ্টিমাইজার 2. পুনরুজ্জীবিতকারী,1. ಆಪ್ಟಿಮೈಜರ್ 2. ರಿವೈಟಲೈಸರ್
পরিবাহিতা,ವಾಹಕತೆ
1. কনফিগারেশন 2. কনফিগারেশন,1. ಕಾನ್ಫಿಗರೇಶನ್ 2. ಕಾನ್ಫಿಗರೇಶನ್
1. সামঞ্জস্য 2. কনফিগারেশন 3. সামঞ্জস্য,1. ಅನುಸರಣೆ 2. ಸಂರಚನೆ 3. ಅನುಸರಣೆ
1. ইন্টিগ্রেশন 2. হাইব্রিডাইজেশন,1. ಏಕೀಕರಣ 2. ಹೈಬ್ರಿಡೈಸೇಶನ್
সংযোজন,ಸಂಯೋಗ
1. সংযোজক 2. সংযোগকারী,1. ಸಂಯೋಜಕ 2. ಸಂಯೋಜಕ
সুরক্ষা,ರಕ್ಷಣೆ
একত্রীকরণের,ಬಲವರ್ಧನೆ
1. উপাদান 2. উপাদান,1. ಪದಾರ್ಥ 2. ಪದಾರ್ಥಗಳು
ভোক্তা,ಗ್ರಾಹಕ
খরচ,ಬಳಕೆ
দূষণ,ಮಾಲಿನ್ಯ
কনট্যুর রোপণ,ಬಾಹ್ಯರೇಖೆ ನೆಟ್ಟ
কনট্যুর লাইন,ಬಾಹ್ಯರೇಖೆ ರೇಖೆ
1. কন্ট্রাক্ট ফার্মিং 2. কন্ট্রাক্ট ফার্মিং 3. কন্ট্রাক্ট ফার্মিং,1. ಗುತ್ತಿಗೆ ಕೃಷಿ 2. ಗುತ್ತಿಗೆ ಕೃಷಿ 3. ಗುತ್ತಿಗೆ ಕೃಷಿ
নিয়ন্ত্রিত বায়ুমণ্ডলীয় স্টোরেজ,ನಿಯಂತ್ರಿತ ವಾತಾವರಣದ ಶೇಖರಣೆ
সমবায় ব্যাংক,ಸಹಕಾರಿ ಬ್ಯಾಂಕ್
সমবায় সমিতির সদস্য,ಸಹಕಾರ ಸಂಘದ ಸದಸ್ಯ
গুলমাভান,ಗುಲ್ಮಾವನ್
cubed,ಘನಾಕೃತಿಯ
1. ডালপুঞ্জ 2. করোলা,1. ದಾಲ್ಪುಂಜ್ 2. ಕೊರೊಲ್ಲಾ
1. কর্টেক্স 2. কর্টেক্স,1. ಕಾರ್ಟೆಕ್ಸ್ 2. ಕಾರ್ಟೆಕ್ಸ್
খরচ,ವೆಚ್ಚ
cotyledon,ಕೋಟಿಲ್ಡನ್
ক্রেডিট কমিটি,ಕ್ರೆಡಿಟ್ ಸಮಿತಿ
1. ঋণ 2. ক্রেডিট,1. ಸಾಲ ನೀಡಿಕೆ 2. ಕ್ರೆಡಿಟ್
1. ঋণদাতা 2. পাওনাদার,1. ಸಾಲದಾತ 2. ಸಾಲಗಾರ
1. ক্রেস্ট 2. শীর্ষবিন্দু 3. স্পায়ার,1. ಕ್ರೆಸ್ಟ್ 2. ಶೃಂಗ 3. ಶಿಖರ
প্রত্যাহার,ಹಿಂತೆಗೆದುಕೊಳ್ಳುವಿಕೆ
সমস্যা,ಸಮಸ್ಯೆ
পরীক্ষা,ಪರೀಕ್ಷೆ
সমালোচনামূলক,ನಿರ್ಣಾಯಕ
শস্য বীমা,ಬೆಳೆ ವಿಮೆ
ফসল ঋণ,ಬೆಳೆ ಸಾಲ
1. ফসল 2. ফসল,1. ಬೆಳೆ 2. ಬೆಳೆ
চাষ এলাকা,ಕೃಷಿ ಪ್ರದೇಶ
ক্রস বেমানান,ಅಡ್ಡ ಹೊಂದಾಣಿಕೆಯಾಗುವುದಿಲ್ಲ
1. মুকুট 2. চূড়া (উদ্ভিদ),1. ಕಿರೀಟ 2. ಪಿನಾಕಲ್ (ಸಸ್ಯ)
নরম কণা,ಮೃದು ಕಣಗಳು
ভূত্বক,ಕ್ರಸ್ಟ್
1. ক্রিপ্টোগাম 2. নন-ফ্লোরিফর্ম,1. ಕ್ರಿಪ್ಟೋಗಮ್ 2. ಫ್ಲೋರಿಫಾರ್ಮ್ ಅಲ್ಲದ
ছাঁটাই (ফল),ಕತ್ತರಿಸು (ಹಣ್ಣು)
কলম,ಪೆನ್ನು
চাষের বৈচিত্র্য,ತಳಿ ವೈವಿಧ್ಯ
1. ট্র্যাকশন 2. কৃষি 3. কৃষিকাজ,1. ಎಳೆತ 2. ಕೃಷಿ 3. ಬೇಸಾಯ
1. কৃষক 2. চাষী,1. ರೈತ 2. ಕೃಷಿಕ
1. চাষ 2. চাষ 3. লালনপালন,1. ಸಾಗುವಳಿ 2. ಸಾಗುವಳಿ 3. ಪಾಲನೆ
1.সম্পদ 2.প্রস্তুতি,1.ಸಂಪನ್ಮೂಲ 2.ತಯಾರಿಕೆ
1.কুন্তালন 2.কুঞ্চন,1.ಕುಂತಲನ್ 2.ಕುಂಚೋನ್
ভঙ্গি,ಭಂಗಿ
1. এপিডার্মিস 2. কিউটিকল,1. ಎಪಿಡರ್ಮಿಸ್ 2. ಹೊರಪೊರೆ
1. কলম 2. কাটিং 3. কাটিং 4. কাটিং 5. কাটিং,1. ಪೆನ್ 2. ಕತ್ತರಿಸುವುದು 3. ಕತ್ತರಿಸುವುದು 4. ಕತ್ತರಿಸುವುದು 5. ಕತ್ತರಿಸುವುದು
1. কৃমি কর্পাস 2. সিস্ট 3. সিস্ট 4. বিকৃত পিণ্ড 5. নিওপ্লাজম,1. ವರ್ಮ್ ಕಾರ್ಪಸ್ 2. ಚೀಲ 3. ಚೀಲ 4. ವಿರೂಪಗೊಂಡ ಗಡ್ಡೆ 5. ನಿಯೋಪ್ಲಾಸಂ
সাইটোক্রোম,ಸೈಟೋಕ್ರೋಮ್
সেল কাপলিং,ಜೀವಕೋಶದ ಜೋಡಣೆ
কোষের প্রজনন,ಜೀವಕೋಶದ ಸಂತಾನೋತ್ಪತ್ತಿ
কোষ জেনেটিক্স,ಜೀವಕೋಶದ ತಳಿಶಾಸ್ತ್ರ
সাইটোপ্লাজমিক বিভাগ,ಸೈಟೋಪ್ಲಾಸ್ಮಿಕ್ ವಿಭಾಗ
কোষ বিদ্যা,ಜೀವಕೋಶದ ಜೀವಶಾಸ್ತ್ರ
কোষের লাইসিস,ಜೀವಕೋಶದ ವಿಘಟನೆ
1. সাইটোমের 2. কোষ বিভাজন,1. ಸೈಟೋಮಿಯರ್ 2. ಕೋಶ ವಿಭಜನೆ
সাইটোপ্লাজম,ಸೈಟೋಪ್ಲಾಸಂ
1. ডেইরি 2. ডেইরি,1. ಡೈರಿ 2. ಡೈರಿ
দুগ্ধ শিল্প,ಡೈರಿ ಉದ್ಯಮ
1. বাঁধ 2. ব্রিডার,1. ಅಣೆಕಟ್ಟು 2. ತಳಿಗಾರ
দিন পরম উদ্ভিদ,ದಿನ ಸಂಪೂರ್ಣ ಸಸ್ಯ
ফুল ফোটার পর দিন,ಹೂಬಿಡುವ ನಂತರ ದಿನ
ফুল ফোটার পর দিন,ಪೂರ್ಣ ಹೂಬಿಡುವ ನಂತರ ದಿನ
অদক্ষতা,ಅಸಮರ್ಥತೆ
decalcification,ಡಿಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್
1. অপসারণ 2. অপসারণ,1. ಹೊರಹಾಕು 2. ಹೊರಹಾಕು
ক্ষয়,ಕೊಳೆತ
পর্ণমোচী,ಪತನಶೀಲ
1. দশমিক 2. দশমিক,1. ದಶಮಾಂಶ 2. ದಶಮಾಂಶ
হীনমন্যতা,ಕೀಳರಿಮೆ
অনুরান (মাটি),ಅನುರಾನ್ (ಮಣ್ಣು)
বিপুষ্পন,ವಿಪುಷ್ಪನ್
বিলিং,ಬಿಲ್ಲಿಂಗ್
বন নিধন,ಅರಣ್ಯನಾಶ
অসম্মান,ಅವಮಾನ
অধঃপতন,ಅವನತಿ
অংশ দিন,ಭಾಗ ದಿನ
1. পরিমাণ 2. অংশ,1. ಪ್ರಮಾಣ 2. ಭಾಗ
dehiscence,ಅಳಿವು
ভুসি অপসারণ,ಹೊಟ್ಟು ತೆಗೆಯುವುದು
ভুসি অপসারণ,ಹೊಟ್ಟು ತೆಗೆಯುವುದು
পানিশূন্যতা,ನಿರ್ಜಲೀಕರಣ
নির্জল,ಜಲರಹಿತ
চাহিদা,ಬೇಡಿಕೆ
1. বিকৃতকরণ 2. গুণ,1. ಡಿನಾಟರೇಶನ್ 2. ಗುಣಾಕಾರ
বর্জন,ನಿಂದನೆ
1. জমা (মাটি) 2. জমা (অর্থনীতি),1. ಠೇವಣಿ (ಮಣ್ಣು) 2. ಠೇವಣಿ (ಅರ್ಥಶಾಸ್ತ್ರ)
আমানত,ಠೇವಣಿ
1. অবচয় 2. অবচয়,1. ಸವಕಳಿ 2. ಸವಕಳಿ
বিশুদ্ধকরণ,ನಿರ್ಲವಣೀಕರಣ
1. জল শুকিয়ে যাওয়া 2. ডিহাইড্রেশন,1. ನೀರು ಒಣಗಿಸುವುದು 2. ನಿರ್ಜಲೀಕರಣ
1. ডিজাইন 2. ডিজাইন,1. ವಿನ್ಯಾಸ 2. ವಿನ್ಯಾಸ
শুষ্ক,ಒಣ
কার্নেল অপসারণ,ಕರ್ನಲ್ ತೆಗೆಯುವಿಕೆ
de-intercalation,ಡಿ-ಇಂಟರ್ಕಲೇಶನ್
সংযোজন,ಸಂಯೋಗ
1. পুরুষ মঞ্জরি নিষ্কাশন (ভুট্টা) 2. বলর নিষ্কাশন,1. ಗಂಡು ಮಂಜರಿ ಉದ್ಧರಣ (ಮೆಕ್ಕೆಜೋಳ) 2. ಬಲ್ಲರ್ ಹೊರತೆಗೆಯುವಿಕೆ
বল্লার বা কুন্দন কাটিং,ಬಲ್ಲರ್ ಅಥವಾ ಕುಂದನ್ ಕತ್ತರಿಸುವುದು
নির্ধারক,ನಿರ್ಣಯಕ
অবমূল্যায়ন,ಅಪಮೌಲ್ಯೀಕರಣ
উদ্ভিজ্জ,ಸಸ್ಯರಹಿತ
বিচ্যুতি,ವಿಚಲನ
দ্বিগুণ,ದುಪ್ಪಟ್ಟು
রোগ নির্ণয়,ರೋಗನಿರ್ಣಯ
বিভিন্ন পরিপক্কতা,ವಿಭಿನ್ನ ಪ್ರಬುದ್ಧತೆ
বিভাজন,ಕವಲೊಡೆಯುವಿಕೆ
1. ডাইকোটাইলেডন 2. ডাইকোটাইলেডন (বীজ),1. ಡೈಕೋಟಿಲ್ಡನ್ 2. ಡೈಕೋಟಿಲ್ಡನ್ (ಬೀಜ)
পিঠের রোগ,ಬೆನ್ನು ರೋಗ
1. ডিফিউশন 2. ডিফিউশন,1. ಪ್ರಸರಣ 2. ಪ್ರಸರಣ
হজম ক্ষমতা,ಜೀರ್ಣಸಾಧ್ಯತೆ
ডাইহাইব্রিড,ಡೈಹೈಬ್ರಿಡ್
1. বাঁধ 2. ড্রেন 3. পরিবার,1. ಅಣೆಕಟ್ಟು 2. ಚರಂಡಿ 3. ಕುಟುಂಬ
সামান্য,ಅತ್ಯಲ್ಪ
1. একগামী 2. একগামী,1. ಏಕಪತ್ನಿ 2. ಏಕಪತ್ನಿ
ডিপ্লয়েড,ಡಿಪ್ಲಾಯ್ಡ್
1. ডিপ্লয়েড 2. ডিপ্লয়েড,1. ಡಿಪ್ಲಾಯ್ಡ್ 2. ಡಿಪ್ಲಾಯ್ಡ್
ডাইপোল,ದ್ವಿಧ್ರುವಿ
1. নিষ্কাশন 2. কুঁড়ি অপসারণ,1. ಹೊರತೆಗೆಯುವಿಕೆ 2. ಬಡ್ ತೆಗೆಯುವಿಕೆ
1. লাঙ্গল চাষ 2. স্পিনিং,1. ನೇಗಿಲು ಉಳುಮೆ 2. ನೂಲುವ
ছাড়,ರಿಯಾಯಿತಿ
জীবাণুমুক্তকরণ,ಸೋಂಕುಗಳೆತ
1. বিচ্ছুরণ 2. বিক্ষিপ্তকরণ,1. ಪ್ರಸರಣ 2. ಸ್ಕ್ಯಾಟರಿಂಗ್
1. বিক্ষিপ্তকরণ 2. ভিন্নতা,1. ಚದುರುವಿಕೆ 2. ವ್ಯತ್ಯಾಸ
বৈচিত্রতা,ವೈವಿಧ್ಯೀಕರಣ
বৈচিত্র্যময় কৃষি,ವೈವಿಧ್ಯಮಯ ಕೃಷಿ
ডিএনএ পদক্ষেপ,ಡಿಎನ್ಎ ಹೆಜ್ಜೆ
ডিএনএ রিসিভার,ಡಿಎನ್ಎ ರಿಸೀವರ್
ডক ভাড়া,ಡಾಕ್ ಬಾಡಿಗೆ
কার্যকর,ಪರಿಣಾಮಕಾರಿ
সুপ্ততা,ಸುಪ್ತಾವಸ್ಥೆ
1. পরিমাণ 2. ডোজ 3. ডোজ,1. ಪ್ರಮಾಣ 2. ಡೋಸೇಜ್ 3. ಡೋಸೇಜ್
ডবল সিগমায়েড বক্ররেখা,ಡಬಲ್ ಸಿಗ್ಮೋಯ್ಡ್ ಕರ್ವ್
1. দমকা 2. প্রসারিত,1. ಬಿರುಗಾಳಿ 2. ಹಿಗ್ಗಿಸಿ
1. নিষ্কাশন ড্রেন 2. বর্জ্য,1. ಎಕ್ಸಾಸ್ಟ್ ಡ್ರೈನ್ 2. ಎಫ್ಲುಯೆಂಟ್
নিষ্কাশন,ಒಳಚರಂಡಿ
আকর্ষণ,ಎಳೆತ
1. ওষুধ দিন 2. ভিজিয়ে দিন,1. ಔಷಧಿ ಕೊಡು 2. ಕುಡಿಸು
প্রসাধনী (বীজ),ಸೌಂದರ್ಯವರ್ಧಕಗಳು (ಬೀಜಗಳು)
1. auger 2. অগভীর ফল্ট 3. ড্রিল 4. auger,1. ಆಗರ್ 2. ಆಳವಿಲ್ಲದ ದೋಷ 3. ಡ್ರಿಲ್ 4. ಆಗರ್
1. গর্ত 2. ড্রিল 3. ড্রিল,1. ರಂಧ್ರ 2. ಡ್ರಿಲ್ 3. ಡ್ರಿಲ್
1. ড্রিলিং 2. একটি ড্রিল দিয়ে বপন করা 3. একটি ড্রিল দিয়ে ঢালা,1. ಕೊರೆಯುವುದು 2. ಡ್ರಿಲ್ನೊಂದಿಗೆ ಬಿತ್ತನೆ 3. ಡ್ರಿಲ್ನೊಂದಿಗೆ ಸುರಿಯುವುದು
ড্রিপ সেচ,ಹನಿ ನೀರಾವರಿ
শুকনো চাষ,ಒಣ ಬೇಸಾಯ
1.ধুলো 2.বুকনি,1.ಧೂಳು 2.ಬುಕ್ನೆ
1. ডাস্টার 2. বিক্ষিপ্তকারী,1. ಡಸ್ಟರ್ 2. ಸ್ಕ್ಯಾಟರರ್
ছিটানো,ಚಿಮುಕಿಸಲು
1. বামন 2. বামন,1. ಕುಬ್ಜ 2. ವಾಮನ
বামন পিরামিড,ವಾಮನ ಪಿರಮಿಡ್
ভামিনী ভবন,ವಾಮಿನಿ ಭವನ
বাস্তুশাস্ত্র,ಪರಿಸರ ವಿಜ್ಞಾನ
অর্থনীতি,ಅರ್ಥಶಾಸ್ತ್ರ
অর্থনৈতিক দক্ষতা,ಆರ್ಥಿಕ ದಕ್ಷತೆ
পরিস্থিতিগত প্রকার,ಸಾಂದರ್ಭಿಕ ಪ್ರಕಾರ
অতিরিক্ত স্তরিত,ಹೆಚ್ಚುವರಿ ಶ್ರೇಣೀಕೃತ
নরম,ಮೃದು
মৃত্তিকা বিজ্ঞান,ಮಣ್ಣಿನ ವಿಜ್ಞಾನ
1. ব্রিজিং 2. এজিং 3. স্ট্র্যান্ড ক্লোজার,1. ಸೇತುವೆ 2. ಅಂಚು 3. ಸ್ಟ್ರಾಂಡ್ ಮುಚ್ಚುವಿಕೆ
খাদ্য অংশ,ಆಹಾರ ಭಾಗ
চাহিদার স্থিতিস্থাপকতা,ಬೇಡಿಕೆಯ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
উত্পাদন স্থিতিস্থাপকতা,ಉತ್ಪಾದನಾ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
তড়িৎ বিশ্লেষণ,ವಿದ್ಯುದ್ವಿಭಜನೆ
ইলেক্ট্রোফোরেসিস,ಎಲೆಕ್ಟ್ರೋಫೋರೆಸಿಸ್
বাষ্পীভবন,ಆವಿಯಾಗುವಿಕೆ
1. শিরশ্ছেদ 2. বন্দী 3. শিরশ্ছেদ 4. জীবাণুমুক্ত,1. ಶಿರಚ್ಛೇದಕ 2. ಕ್ರಿಮಿನಾಶಕ 3. ಶಿರಚ್ಛೇದಕ 4. ಕ್ರಿಮಿನಾಶಕ
1. উইয়ার বান্দি 2. স্ট্রবান্ডি,1. ವೀರ್ ಬಂಡಿ 2. ಸ್ಟ್ರಾಬಂಡಿ
ভ্রূণ,ಭ್ರೂಣ
1. ভ্রূণবিদ্যা 2. পদার্থবিদ্যা,1. ಭ್ರೂಣಶಾಸ್ತ್ರ 2. ಭೌತಶಾಸ್ತ್ರ
1. প্রস্থান 2. প্রস্থান,1. ನಿರ್ಗಮನ 2. ನಿರ್ಗಮನ
ইমালসিফায়ার,ಎಮಲ್ಸಿಫೈಯರ್
অন্তঃসত্ত্বা,ಅಂತರ್ವರ್ಧಕ
আন্তঃবিন্দু বিভাগ,ಇಂಟ್ರಾ ಪಾಯಿಂಟ್ ವಿಭಾಗ
অন্তঃপরজীবী,ಒಳ-ಪರಾವಲಂಬಿ
এন্ডোস্পার্ম,ಎಂಡೋಸ್ಪರ್ಮ್
এন্টারপ্রাইজ,ಉದ್ಯಮ
কীটতত্ত্ব,ಕೀಟಶಾಸ್ತ್ರ
পরিবেশ,ಪರಿಸರ
1. এনজাইম 2. এনজাইম,1. ಕಿಣ್ವ 2. ಕಿಣ್ವ
ক্লাস্টার গ্রাফটিং,ಕ್ಲಸ್ಟರ್ ಕಸಿ
1. এপিফাইট 2. এপিফাইট,1. ಎಪಿಫೈಟ್ 2. ಎಪಿಫೈಟ್
ইক্যুইটি,ಈಕ್ವಿಟಿ
নির্মূল,ನಿವಾರಣೆ
অত্যাবশ্যক পুষ্টি,ಅಗತ್ಯ ಪೋಷಕಾಂಶಗಳು
1. পরিমাপ 2. জাম্প 3. মূল্যায়ন,1. ಅಳತೆ 2. ಜಂಪ್ 3. ಮೌಲ್ಯಮಾಪನ
সূক্ষ্মতা,ಕೈಚಳಕ
সুজনিক,ಸುಜನ್ನಿಕ್
মূল্যায়ন,ಮೌಲ್ಯಮಾಪನ
বাষ্প গেজ,ಉಗಿ ಮಾಪಕ
বাষ্পীভবন,ಆವಿಯಾಗುವಿಕೆ
চিরন্তন বিপ্লব,ಶಾಶ್ವತ ಕ್ರಾಂತಿ
1. চিরসবুজ 2. চিরসবুজ,1. ನಿತ್ಯಹರಿದ್ವರ್ಣ 2. ನಿತ್ಯಹರಿದ್ವರ್ಣ
উন্নয়ন,ಅಭಿವೃದ್ಧಿ
বিছিন্ন করা,ಕತ್ತರಿಸಿದ
পরিক্ষয় (উর্বরতা),ಪರೀಕ್ಷಯ್ (ಫಲವತ್ತತೆ)
শোষণ,ಶೋಷಣೆ
1. অন্বেষণ 2. অন্বেষণ,1. ಅನ್ವೇಷಣೆ 2. ಪರಿಶೋಧನೆ
1. এক্সট্রুশন 2. নির্গমন,1. ಹೊರತೆಗೆಯುವಿಕೆ 2. ಹೊರಸೂಸುವಿಕೆ
আই,ಕಣ್ಣು
1. ফ্যাক্টর 2. কম্পোনেন্ট 3. ফ্যাক্টর 4. রিসোর্স,1. ಅಂಶ 2. ಘಟಕ 3. ಅಂಶ 4. ಸಂಪನ್ಮೂಲ
ফ্যাক্টর উত্পাদনশীলতা,ಅಂಶ ಉತ್ಪಾದಕತೆ
ব্যবসায়ীদের ডিসকাউন্ট,ವ್ಯಾಪಾರಿಯ ರಿಯಾಯಿತಿ
ফ্যাক্টরিয়াল ব্লক ডিজাইন,ಅಪವರ್ತನೀಯ ಬ್ಲಾಕ್ ವಿನ್ಯಾಸ
বিকল্প,ಪರ್ಯಾಯ
1. পট্টি 2. পালিহার,1. ಪಟ್ಟಿ 2. ಪಲಿಹಾರ್
স্থূল,ಒಟ್ಟು
ক্ষেত্রের মূল্যায়ন,ಕ್ಷೇತ್ರ ಮೌಲ್ಯಮಾಪನ
খামার বাজেট,ಕೃಷಿ ಬಜೆಟ್
কৃষি ব্যবসা,ಕೃಷಿ ವ್ಯಾಪಾರ
ক্ষেত্রের পরিকল্পনা,ಕ್ಷೇತ್ರ ಯೋಜನೆ
1. কৃষক 2. কৃষক,1. ರೈತ 2. ರೈತ
1. কৃষি 2. কৃষিকাজ,1. ಕೃಷಿ 2. ಕೃಷಿ
সংঘর্ষ,ಘರ್ಷಣೆ
একাধিক প্রজনন,ಬಹು ಸಂತಾನೋತ್ಪತ್ತಿ
গাঁজন,ಹುದುಗುವಿಕೆ
উর্বরতা,ಫಲವತ್ತತೆ
সার,ಗೊಬ್ಬರ
সার ব্যবহারের দক্ষতা,ರಸಗೊಬ್ಬರ ಬಳಕೆಯ ದಕ್ಷತೆ
তন্তুযুক্ত,ನಾರಿನಂತಿರುವ
1. খামার 2. এলাকা 3. অবস্থান,1. ಫಾರ್ಮ್ 2. ಪ್ರದೇಶ 3. ಸ್ಥಳ
মাটির জল ধরে রাখা,ಮಣ್ಣಿನ ನೀರನ್ನು ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುವುದು
ক্ষেত্র প্রদর্শন,ಕ್ಷೇತ್ರ ಪ್ರದರ್ಶನ
1. ইমোবিলাইজেশন 2. ফিক্সেশন 3. ফিক্সেশন,1. ನಿಶ್ಚಲತೆ 2. ಸ್ಥಿರೀಕರಣ 3. ಸ್ಥಿರೀಕರಣ
1. প্লাবন 2. গর্ভধারণ,1. ಮುಳುಗುವಿಕೆ 2. ಒಳಸೇರಿಸುವಿಕೆ
প্রবাহ চিত্র,ನಿರ್ವಹಣಾ ಚಿತ್ರ
খাদ্য মূল্য,ಆಹಾರ ಮೌಲ್ಯ
পশুখাদ্য,ಮೇವು
পূর্বাভাস,ಮುನ್ಸೂಚನೆ
বন। জংগল,ಅರಣ್ಯ
বনায়ন,ಅರಣ್ಯೀಕರಣ
1. তাদপার্ন 2. ফর্ম,1. ತಾಡ್ಪರ್ನ್ 2. ಫಾರ್ಮ್
হিম প্রতিরোধী,ಹಿಮ ನಿರೋಧಕ
1. পাল 2. ব্লাইট,1. ಪಾಲಾ 2. ಬ್ಲೈಟ್
1. হিমায়িত 2. হিমায়িত,1. ಹೆಪ್ಪುಗಟ್ಟಿದ 2. ಹೆಪ್ಪುಗಟ್ಟಿದ
ফাংশন,ಕಾರ್ಯ
1. ফল পতন 2. ফল পতন,1. ಹಣ್ಣಿನ ಪತನ 2. ಹಣ್ಣಿನ ಪತನ
ফল হত্তয়া,ಹಣ್ಣಾಗುತ್ತವೆ
1. ফিউমিগেশন 2. ফিউমিগেশন,1. ಧೂಮೀಕರಣ 2. ಧೂಮೀಕರಣ
ছত্রাকনাশক,ಶಿಲೀಂಧ್ರನಾಶಕ
অ্যান্টিফাঙ্গাল,ಶಿಲೀಂಧ್ರನಾಶಕ
ছত্রাক,ಶಿಲೀಂಧ್ರ
1. খুদ 2. সীতা,1. ಖುದ್ 2. ಸೀತಾ
1. ফিউশন 2. ফিউশন,1. ಫ್ಯೂಷನ್ 2. ಫ್ಯೂಷನ್
সুতি পশম,ಹತ್ತಿ ಉಣ್ಣೆ
লোমশ,ಕೂದಲುಳ್ಳ
1. গাছের আলসার 2. পিটিকা,1. ಮರದ ಹುಣ್ಣು 2. ಪಿಟಿಕಾ
1. গ্যামেট 2. গেমেট,1. ಗ್ಯಾಮೆಟ್‌ಗಳು 2. ಗ್ಯಾಮೆಟ್‌ಗಳು
1. বাগান 2. বাগান,1. ಉದ್ಯಾನ 2. ಉದ್ಯಾನ
1. পানসাল 2. হাইড্রোমিটার,1. ಪಾನ್ಸಾಲ್ 2. ಹೈಡ್ರೋಮೀಟರ್
জিন সংগ্রহ,ಜೀನ್ ಸಂಗ್ರಹ
জিন ট্যাগন,ಜೀನ್ ಟ್ಯಾಗನ್
বংশতালিকা,ವಂಶಾವಳಿ
জিন মানচিত্র,ಜೀನ್ ನಕ್ಷೆ
জেনেটিক্স,ಆನುವಂಶಿಕ
1. জিনোম 2. সংগেন,1. ಜಿನೋಮ್ 2. ಸಂಜೀನ್
সঞ্জিনী কালেকশন,ಸಂಜಿನಿ ಸಂಗ್ರಹ
জিনোমিক্স,ಜೀನೋಮಿಕ್ಸ್
জিনোটাইপ,ಜೀನೋಟೈಪ್
1. জিনের গঠন 2. জিনের ধরন,1. ಜೀನ್ ರಚನೆ 2. ಜೀನ್ ಪ್ರಕಾರ
লিনেজ,ವಂಶಾವಳಿ
1. বংশ 2. বংশ,1. ಕುಲ 2. ವಂಶ
1. জীবাণু 2. জীবাণু,1. ಸೂಕ್ಷ್ಮಾಣು 2. ಸೂಕ್ಷ್ಮಾಣು
জীবাণু নাশক,ಕ್ರಿಮಿನಾಶಕ
অঙ্কুরোদগম,ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ
1. জার্মপ্লাজম 2. জার্মপ্লাজম,1. ಜರ್ಮ್ಪ್ಲಾಸಂ 2. ಜರ್ಮ್ಪ್ಲಾಸಂ
জিবেরেলিক অ্যাসিড,ಗಿಬ್ಬರೆಲಿಕ್ ಆಮ್ಲ
কুড়ানো,ಕೊಯ್ಲು
টুশ,ತುಶ್
1. গ্লুটেন 2. পেটুক,1. ಅಂಟು 2. ಹೊಟ್ಟೆಬಾಕತನ
গ্লাইকোলাইসিস,ಗ್ಲೈಕೋಲಿಸಿಸ್
চমৎকার,Sundara
