English,Punjabi
diagrammatic method,ਚਿੱਤਰਕਾਰੀ ਢੰਗ
diagrammatic presentation,ਚਿੱਤਰਕਾਰੀ ਪੇਸ਼ਕਾਰੀ
diameter,ਵਿਆਸ
diameter of a set,ਇੱਕ ਸੈੱਟ ਦਾ ਵਿਆਸ
diametrically opposite,ਵਿਆਸ ਦੇ ਉਲਟ
dice throw,ਪਾਸਾ ਸੁੱਟਣਾ
dichotomous classification,ਵਿਭਾਜਨ ਵਰਗੀਕਰਣ
dichotomy,ਦੁਵਿਧਾ
dictionary order,ਡਿਕਸ਼ਨਰੀ ਆਰਡਰ
difference calculus,ਅੰਤਰ ਕੈਲਕੂਲਸ
difference equation,ਅੰਤਰ ਸਮੀਕਰਨ
difference formula,ਅੰਤਰ ਫਾਰਮੂਲਾ
difference method,ਅੰਤਰ ਢੰਗ
difference of sets,ਸੈੱਟ ਦਾ ਅੰਤਰ
differentiable,ਵੱਖ ਕਰਨ ਯੋਗ
differentiable curve,ਵਿਭਿੰਨ ਕਰਵ
differentiable function,ਵੱਖ ਕਰਨ ਯੋਗ ਫੰਕਸ਼ਨ
differential,ਅੰਤਰ
differential calculus,ਵਿਭਾਜਨ ਕੈਲਕੂਲਸ
differential coefficient,ਵਿਭਿੰਨ ਗੁਣਾਂਕ
differential equation,ਅੰਤਰ ਸਮੀਕਰਨ
differential form,ਵਿਭਿੰਨ ਰੂਪ
differential formula,ਅੰਤਰ ਫਾਰਮੂਲਾ
differential function,ਅੰਤਰ ਫੰਕਸ਼ਨ
differential geometry,ਵਿਭਿੰਨ ਜਿਓਮੈਟਰੀ
differential of higher order,ਉੱਚ ਕ੍ਰਮ ਦਾ ਅੰਤਰ
differential quotient,ਫਰਕ ਭਾਗ
differentiate,ਵੱਖਰਾ
differentiation,ਭਿੰਨਤਾ
differentiation formula,ਵਿਭਿੰਨਤਾ ਫਾਰਮੂਲਾ
differentiation of vector,ਵੈਕਟਰ ਦਾ ਅੰਤਰ
diffusion,ਫੈਲਾ
digit,ਅੰਕ
digital computer,ਡਿਜ਼ੀਟਲ ਕੰਪਿਊਟਰ
digital data,ਡਿਜ਼ੀਟਲ ਡਾਟਾ
dimension,ਮਾਪ
dimensionality,ਆਯਾਮ
dimensionless,ਅਯਾਮ ਰਹਿਤ
dimension of an equation,ਇੱਕ ਸਮੀਕਰਨ ਦਾ ਮਾਪ
diophantine equation,diophantine ਸਮੀਕਰਨ
dip angle,ਡਿੱਪ ਕੋਣ
dipolar coordinates,ਡਿਪੋਲਰ ਕੋਆਰਡੀਨੇਟਸ
dipole,dipole
dipyramid (bipyramid),ਡਿਪਾਈਰਾਮਿਡ (ਬਾਈਪਾਈਰਾਮਿਡ)
Dirac delta function,ਡਾਇਰਾਕ ਡੈਲਟਾ ਫੰਕਸ਼ਨ
direct common tangent,ਸਿੱਧੀ ਸਾਂਝੀ ਸਪਰਸ਼
directed angle,ਨਿਰਦੇਸ਼ਿਤ ਕੋਣ
directed line,ਨਿਰਦੇਸ਼ਿਤ ਲਾਈਨ
directional derivative,ਦਿਸ਼ਾਤਮਕ ਡੈਰੀਵੇਟਿਵ
direction cosine,ਦਿਸ਼ਾ ਕੋਸਾਈਨ
direction of maxima,ਅਧਿਕਤਮ ਦੀ ਦਿਸ਼ਾ
direction of projection,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦੀ ਦਿਸ਼ਾ
direction ratio,ਦਿਸ਼ਾ ਅਨੁਪਾਤ
director circle,ਡਾਇਰੈਕਟਰ ਸਰਕਲ
director sphere,ਨਿਰਦੇਸ਼ਕ ਖੇਤਰ
direct product,ਸਿੱਧਾ ਉਤਪਾਦ
direct proof,ਸਿੱਧਾ ਸਬੂਤ
direct proportion,ਸਿੱਧਾ ਅਨੁਪਾਤ
directrix,directrix
direct sum,ਸਿੱਧੀ ਰਕਮ
disconncted sets,ਡਿਸਕਨੈਕਟ ਕੀਤੇ ਸੈੱਟ
discontinuity,ਨਿਰੰਤਰਤਾ
discontinuity of derivative,ਡੈਰੀਵੇਟਿਵ ਦੀ ਖੰਡਨਤਾ
discontinuity of the first kind,ਪਹਿਲੀ ਕਿਸਮ ਦੀ ਰੁਕਾਵਟ
discontinuity of the second kind,ਦੂਜੀ ਕਿਸਮ ਦੀ ਰੁਕਾਵਟ
discontinuous distribution,ਲਗਾਤਾਰ ਵੰਡ
discontinuous function,ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
discontinuous variate,ਲਗਾਤਾਰ ਪਰਿਵਰਤਨ
discrete,ਵੱਖਰਾ
discrete distribution,ਵੱਖਰੀ ਵੰਡ
discrete probability distribution,ਵੱਖਰੀ ਸੰਭਾਵਨਾ ਵੰਡ
discrete random variable,ਵੱਖਰਾ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
discrete sample space,ਵੱਖ ਨਮੂਨਾ ਸਪੇਸ
discrete set,ਵੱਖਰਾ ਸੈੱਟ
discrete space,ਵੱਖਰੀ ਸਪੇਸ
discrete topology,ਡਿਸਕਰੀਟ ਟੌਪੋਲੋਜੀ
discrete variate,ਵੱਖ ਵੱਖ
discriminant,ਵਿਤਕਰਾ ਕਰਨ ਵਾਲਾ
discriminatory analysis (=discriminant analysis),ਪੱਖਪਾਤੀ ਵਿਸ਼ਲੇਸ਼ਣ (= ਵਿਤਕਰੇ ਵਾਲਾ ਵਿਸ਼ਲੇਸ਼ਣ)
disjoint,ਟੁੱਟਣਾ
disjoint events,ਵੱਖ-ਵੱਖ ਘਟਨਾਵਾਂ
disjoint sets,ਵੱਖ-ਵੱਖ ਸੈੱਟ
disjoint union,ਯੂਨੀਅਨ ਨੂੰ ਤੋੜੋ
disjunction,ਵਿਛੋੜਾ
dispersion,ਫੈਲਾਅ
dispersion chart,ਫੈਲਾਅ ਚਾਰਟ
dispersion constant,ਫੈਲਾਅ ਸਥਿਰ
dispersion diagram,ਫੈਲਾਅ ਚਿੱਤਰ
dispersion matrix (=covariance matrix),ਡਿਸਪਰਸ਼ਨ ਮੈਟਰਿਕਸ (=ਕੋਵੇਰੀਅੰਸ ਮੈਟਰਿਕਸ)
displacement,ਵਿਸਥਾਪਨ
display,ਡਿਸਪਲੇ
display unit (=consol),ਡਿਸਪਲੇ ਯੂਨਿਟ (=ਕੰਸੋਲ)
dissimilar,ਭਿੰਨ
dissipative forces,dissipative ਤਾਕਤਾਂ
distance function,ਦੂਰੀ ਫੰਕਸ਼ਨ
distance modulus,ਦੂਰੀ ਮਾਡਿਊਲਸ
distribution-free method,ਵੰਡ-ਮੁਕਤ ਢੰਗ
distributive law,ਵੰਡਣ ਵਾਲਾ ਕਾਨੂੰਨ
diverge,ਵੱਖ ਕਰਨਾ
divergence,ਭਿੰਨਤਾ
divergence theorem,ਵਿਭਿੰਨਤਾ ਪ੍ਰਮੇਯ
divergent,ਵੱਖਰੇ
divergent series,ਵੱਖ-ਵੱਖ ਲੜੀ
divided difference,ਵੰਡਿਆ ਅੰਤਰ
divisibility,ਵੰਡਣਯੋਗਤਾ
divisible,ਵੰਡਣਯੋਗ
division,ਵੰਡ
division algorithm,ਡਿਵੀਜ਼ਨ ਐਲਗੋਰਿਦਮ
division ring,ਡਿਵੀਜ਼ਨ ਰਿੰਗ
dodecagon,dodecagon
dodecahedron,dodecahedron
domain,ਡੋਮੇਨ
domain of a function,ਇੱਕ ਫੰਕਸ਼ਨ ਦਾ ਡੋਮੇਨ
domain of definition,ਪਰਿਭਾਸ਼ਾ ਦਾ ਡੋਮੇਨ
domain of existence,ਮੌਜੂਦਗੀ ਦਾ ਡੋਮੇਨ
dominant strategy,ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਰਣਨੀਤੀ
doppler effect,ਡੋਪਲਰ ਪ੍ਰਭਾਵ
dot product,ਬਿੰਦੀ ਉਤਪਾਦ
dotted curve,ਬਿੰਦੀ ਵਾਲਾ ਕਰਵ
double differentiation,ਡਬਲ ਫਰਕ
double exponential distribution,ਡਬਲ ਘਾਤ ਅੰਕੀ ਵੰਡ
double helix,ਡਬਲ ਹੈਲਿਕਸ
double integral,ਡਬਲ ਅਟੁੱਟ
double integration,ਡਬਲ ਏਕੀਕਰਣ
double limit,ਡਬਲ ਸੀਮਾ
double sampling plan,ਡਬਲ ਨਮੂਨਾ ਯੋਜਨਾ
double sequence,ਡਬਲ ਕ੍ਰਮ
double series,ਡਬਲ ਸੀਰੀਜ਼
double suffix notation,ਡਬਲ ਪਿਛੇਤਰ ਸੰਕੇਤ
double summation,ਡਬਲ ਸਮੇਸ਼ਨ
downward acceleration,ਹੇਠਾਂ ਵੱਲ ਪ੍ਰਵੇਗ
downward displacement,ਹੇਠਾਂ ਵੱਲ ਵਿਸਥਾਪਨ
downward motion,ਹੇਠਾਂ ਵੱਲ ਮੋਸ਼ਨ
downward velocity,ਹੇਠਾਂ ਵੱਲ ਗਤੀ
drag,ਖਿੱਚੋ
drag force,ਡਰੈਗ ਫੋਰਸ
dual,ਦੋਹਰਾ
dual basis,ਦੋਹਰਾ ਆਧਾਰ
dual inner product,ਦੋਹਰਾ ਅੰਦਰੂਨੀ ਉਤਪਾਦ
dual linear programming problem,ਦੋਹਰੀ ਲੀਨੀਅਰ ਪ੍ਰੋਗਰਾਮਿੰਗ ਸਮੱਸਿਆ
dual operation,ਦੋਹਰਾ ਕਾਰਵਾਈ
dual problem,ਦੋਹਰੀ ਸਮੱਸਿਆ
dual simplex algorithm,ਦੋਹਰਾ ਸਿੰਪਲੈਕਸ ਐਲਗੋਰਿਦਮ
dual simplex technique,ਦੋਹਰੀ ਸਿੰਪਲੈਕਸ ਤਕਨੀਕ
dual space,ਦੋਹਰੀ ਸਪੇਸ
dual variable,ਦੋਹਰਾ ਵੇਰੀਏਬਲ
dual vector space,ਦੋਹਰੀ ਵੈਕਟਰ ਸਪੇਸ
dummy index,ਡਮੀ ਸੂਚਕਾਂਕ
dummy subscript,ਡਮੀ ਸਬਸਕ੍ਰਿਪਟ
dummy suffix,ਡਮੀ ਪਿਛੇਤਰ
dummy variable,ਡਮੀ ਵੇਰੀਏਬਲ
duplicator process,ਡੁਪਲੀਕੇਟਰ ਪ੍ਰਕਿਰਿਆ
dynamical,ਗਤੀਸ਼ੀਲ
dynamical system,ਗਤੀਸ਼ੀਲ ਸਿਸਟਮ
dynamic demand function,ਗਤੀਸ਼ੀਲ ਮੰਗ ਫੰਕਸ਼ਨ
dynamic model,ਗਤੀਸ਼ੀਲ ਮਾਡਲ
dynamic programming,ਗਤੀਸ਼ੀਲ ਪ੍ਰੋਗਰਾਮਿੰਗ
dynamic programming approach,ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ ਪਹੁੰਚ
dynamic programming technique,ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ ਤਕਨੀਕ
dynamics,ਗਤੀਸ਼ੀਲਤਾ
dynamics of a particle,ਇੱਕ ਕਣ ਦੀ ਗਤੀਸ਼ੀਲਤਾ
dynamics of rigid bodies,ਸਖ਼ਤ ਸਰੀਰ ਦੀ ਗਤੀਸ਼ੀਲਤਾ
earth,ਧਰਤੀ
earthquake intensity,ਭੂਚਾਲ ਦੀ ਤੀਬਰਤਾ
eccentricity,ਸਨਕੀਤਾ
eclipse,ਗ੍ਰਹਿਣ
econometric forecast,ਆਰਥਿਕ ਪੂਰਵ ਅਨੁਮਾਨ
econometrician,ਅਰਥ ਸ਼ਾਸਤਰੀ
econometrics,ਅਰਥ ਗਣਿਤ
economics,ਅਰਥ ਸ਼ਾਸਤਰ
edge,ਕਿਨਾਰਾ
edge of a convex set,ਇੱਕ ਕਨਵੈਕਸ ਸੈੱਟ ਦਾ ਕਿਨਾਰਾ
efficiency factor,ਕੁਸ਼ਲਤਾ ਕਾਰਕ
eigen element,eigen ਤੱਤ
eigen function,eigen ਫੰਕਸ਼ਨ
eigen value,eigen ਮੁੱਲ
eigen value equation,eigen ਮੁੱਲ ਸਮੀਕਰਨ
eigen vector,eigen ਵੈਕਟਰ
elastic,ਲਚਕੀਲੇ
elastic constant,ਲਚਕੀਲੇ ਸਥਿਰ
elastic equilibrium,ਲਚਕੀਲੇ ਸੰਤੁਲਨ
elasticity,ਲਚਕਤਾ
elasticity surface,ਲਚਕੀਲਾ ਸਤਹ
electronic computer,ਇਲੈਕਟ੍ਰਾਨਿਕ ਕੰਪਿਊਟਰ
element,ਤੱਤ
elementary column operation,ਮੁੱਢਲੀ ਕਾਲਮ ਕਾਰਵਾਈ
elementary event,ਮੁੱਢਲੀ ਘਟਨਾ
elementary function,ਮੁੱਢਲੀ ਫੰਕਸ਼ਨ
elementary operation,ਮੁੱਢਲੀ ਕਾਰਵਾਈ
elementary outcome,ਮੁੱਢਲਾ ਨਤੀਜਾ
elementary probability law,ਮੁਢਲੀ ਸੰਭਾਵਨਾ ਕਾਨੂੰਨ
elementary row operation,ਮੁੱਢਲੀ ਕਤਾਰ ਕਾਰਵਾਈ
eliminate,ਨੂੰ ਖਤਮ
elemination procedure,ਖ਼ਤਮ ਕਰਨ ਦੀ ਪ੍ਰਕਿਰਿਆ
ellipse,ਅੰਡਾਕਾਰ
ellipsoid,ਅੰਡਾਕਾਰ
ellipsoidal,ਅੰਡਾਕਾਰ
ellipsoidal surface,ਅੰਡਾਕਾਰ ਸਤਹ
elliptical body,ਅੰਡਾਕਾਰ ਸਰੀਰ
embedding,ਏਮਬੈਡਿੰਗ
emission,ਨਿਕਾਸ
empirical data,ਅਨੁਭਵੀ ਡਾਟਾ
empirical formula,ਅਨੁਭਵੀ ਫਾਰਮੂਲਾ
empirical probability,ਅਨੁਭਵੀ ਸੰਭਾਵਨਾ
empirical relation,ਅਨੁਭਵੀ ਸਬੰਧ
empty set,ਖਾਲੀ ਸੈੱਟ
enclosed,ਨੱਥੀ
encoding,ਇੰਕੋਡਿੰਗ
endomorphism,endomorphism
end point,ਅੰਤ ਬਿੰਦੂ
end point of class interval,ਕਲਾਸ ਅੰਤਰਾਲ ਦਾ ਅੰਤ ਬਿੰਦੂ
energy,ਊਰਜਾ
energy momentum component,ਊਰਜਾ ਮੋਮੈਂਟਮ ਕੰਪੋਨੈਂਟ
entering variable,ਵੇਰੀਏਬਲ ਦਾਖਲ ਕਰਨਾ
enumerable set,ਅਣਗਿਣਤ ਸੈੱਟ
enumeration,ਗਣਨਾ
equal,ਬਰਾਬਰ
equality,ਸਮਾਨਤਾ
equally likely,ਬਰਾਬਰ ਸੰਭਾਵਨਾ
equal probability selection method (=epsem),ਬਰਾਬਰ ਸੰਭਾਵਨਾ ਚੋਣ ਵਿਧੀ (= epsem)
equate,ਬਰਾਬਰ
equation,ਸਮੀਕਰਨ
equation of first degree,ਪਹਿਲੀ ਡਿਗਰੀ ਦੇ ਸਮੀਕਰਨ
equation of second degree,ਦੂਜੀ ਡਿਗਰੀ ਦਾ ਸਮੀਕਰਨ
equation of third degree,ਤੀਜੀ ਡਿਗਰੀ ਦੇ ਸਮੀਕਰਨ
equator,ਭੂਮੱਧ
equicontinuous,ਬਰਾਬਰ
equilateral,ਬਰਾਬਰ
equilibrium,ਸੰਤੁਲਨ
equilibrium of forces,ਤਾਕਤਾਂ ਦਾ ਸੰਤੁਲਨ
equilibrium point,ਸੰਤੁਲਨ ਬਿੰਦੂ
equivalence,ਸਮਾਨਤਾ
equivalence class,ਸਮਾਨਤਾ ਵਰਗ
equivalence relation,ਸਮਾਨਤਾ ਸਬੰਧ
equivalent,ਬਰਾਬਰ
equivalent matrix,ਬਰਾਬਰ ਮੈਟ੍ਰਿਕਸ
equivalent set,ਬਰਾਬਰ ਸੈੱਟ
ergodicity,ergodicity
error,ਗਲਤੀ
error analysis,ਗਲਤੀ ਵਿਸ਼ਲੇਸ਼ਣ
error code,ਗਲਤੀ ਕੋਡ
error coefficient,ਗਲਤੀ ਗੁਣਾਂਕ
error of mean square,ਮੱਧ ਵਰਗ ਦੀ ਗਲਤੀ
error of the first kind,ਪਹਿਲੀ ਕਿਸਮ ਦੀ ਗਲਤੀ
error of the second kind,ਦੂਜੀ ਕਿਸਮ ਦੀ ਗਲਤੀ
escape probability,ਬਚਣ ਦੀ ਸੰਭਾਵਨਾ
escape velocity,ਬਚਣ ਦੀ ਗਤੀ
E. Schmidt's orthogonalization process,ਈ. ਸ਼ਮਿਟ ਦੀ ਆਰਥੋਗੋਨਲਾਈਜ਼ੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ
escribed circle,ਲਿਖਿਆ ਚੱਕਰ
essential,ਜ਼ਰੂਰੀ
essentially unique,ਅਸਲ ਵਿੱਚ ਵਿਲੱਖਣ
estimate,ਅੰਦਾਜ਼ਾ
estimation method,ਅੰਦਾਜ਼ਾ ਵਿਧੀ
Euclidean coordinate,ਯੂਕਲੀਡੀਅਨ ਕੋਆਰਡੀਨੇਟ
Euclidean domain,ਯੂਕਲੀਡੀਅਨ ਡੋਮੇਨ
Euclidean geometry,ਯੂਕਲੀਡੀਅਨ ਜਿਓਮੈਟਰੀ
Euclidean n-space,ਯੂਕਲੀਡੀਅਨ ਐਨ-ਸਪੇਸ
Euclidean plane,ਯੂਕਲੀਡੀਅਨ ਜਹਾਜ਼
Euler's theorem,ਯੂਲਰ ਦਾ ਸਿਧਾਂਤ
evaluate,ਪੜਤਾਲ
even,ਵੀ
even curve,ਵੀ ਕਰਵ
even function,ਵੀ ਫੰਕਸ਼ਨ
even multiple,ਇੱਥੋਂ ਤੱਕ ਕਿ ਕਈ
even number,ਸਮ ਸੰਖਿਆ
even odd symmetry,ਵੀ ਅਜੀਬ ਸਮਰੂਪਤਾ
even permutation,ਵੀ ਕ੍ਰਮ-ਕ੍ਰਮ
event,ਘਟਨਾ
even term,ਵੀ ਮਿਆਦ
exact,ਸਹੀ
exact chi-square test,ਸਹੀ ਚੀ-ਵਰਗ ਟੈਸਟ
exact differential,ਸਹੀ ਅੰਤਰ
exact equation,ਸਹੀ ਸਮੀਕਰਨ
example,ਉਦਾਹਰਨ
exchange,ਵਟਾਂਦਰਾ
exhaustive event,ਸੰਪੂਰਨ ਘਟਨਾ
existence axiom,ਮੌਜੂਦਗੀ axiom
existence probability(= a priori probability),ਮੌਜੂਦਗੀ ਦੀ ਸੰਭਾਵਨਾ (= ਇੱਕ ਤਰਜੀਹੀ ਸੰਭਾਵਨਾ)
existence theorem,ਮੌਜੂਦਗੀ ਦਾ ਸਿਧਾਂਤ
exogenous variable,exogenous ਵੇਰੀਏਬਲ
expansion,ਵਿਸਥਾਰ
expectation function,ਉਮੀਦ ਫੰਕਸ਼ਨ
expected frequency,ਉਮੀਦ ਕੀਤੀ ਬਾਰੰਬਾਰਤਾ
expected value,ਅਨੁਮਾਨਿਤ ਮੁੱਲ
experiment,ਪ੍ਰਯੋਗ
experimental error,ਪ੍ਰਯੋਗਾਤਮਕ ਗਲਤੀ
explanation,ਵਿਆਖਿਆ
explicit equation,ਸਪਸ਼ਟ ਸਮੀਕਰਨ
explicit form,ਸਪੱਸ਼ਟ ਰੂਪ
explicit function,ਸਪਸ਼ਟ ਫੰਕਸ਼ਨ
explicit solution,ਸਪੱਸ਼ਟ ਹੱਲ
exponent,ਘਾਤਕ
exponential curve,ਘਾਤਕ ਵਕਰ
exponential density function,ਘਾਤਕ ਘਣਤਾ ਫੰਕਸ਼ਨ
exponential distribution,ਘਾਤਕ ਵੰਡ
exponential equation,ਘਾਤਕ ਸਮੀਕਰਨ
exponential function,ਘਾਤਕ ਫੰਕਸ਼ਨ
exponential growth,ਘਾਤਕ ਵਾਧਾ
exponential law,ਘਾਤਕ ਕਾਨੂੰਨ
exponential map,ਘਾਤਕ ਨਕਸ਼ਾ
exponential series,ਘਾਤਕ ਲੜੀ
expression,ਸਮੀਕਰਨ
extended interval,ਵਿਸਤ੍ਰਿਤ ਅੰਤਰਾਲ
extended real line,ਵਿਸਤ੍ਰਿਤ ਅਸਲ ਲਾਈਨ
extended real number system,ਵਿਸਤ੍ਰਿਤ ਅਸਲ ਨੰਬਰ ਸਿਸਟਮ
extension of a mapping,ਇੱਕ ਮੈਪਿੰਗ ਦਾ ਵਿਸਥਾਰ
exterior angle,ਬਾਹਰੀ ਕੋਣ
exterior area,ਬਾਹਰੀ ਖੇਤਰ
exterior point,ਬਾਹਰੀ ਬਿੰਦੂ
external,ਬਾਹਰੀ
extrapolation of trend value,ਰੁਝਾਨ ਮੁੱਲ ਦਾ ਐਕਸਟਰਪੋਲੇਸ਼ਨ
extrapolation technique,ਐਕਸਟਰਪੋਲੇਸ਼ਨ ਤਕਨੀਕ
extremal value,ਅਤਿ ਮੁੱਲ
extreme,ਅਤਿ
extreme point,ਅਤਿ ਬਿੰਦੂ
extreme point of convex set,ਕਨਵੈਕਸ ਸੈੱਟ ਦਾ ਚਰਮ ਬਿੰਦੂ
extremum of a function,ਇੱਕ ਫੰਕਸ਼ਨ ਦੀ ਸੀਮਾ
extremum property,ਅਤਿ ਦੀ ਸੰਪਤੀ
face,ਚਿਹਰਾ
face value,ਅੰਕਿਤ ਮੁੱਲ
factor,ਕਾਰਕ
factor analysis,ਕਾਰਕ ਵਿਸ਼ਲੇਸ਼ਣ
factored,ਕਾਰਕ
factorial,ਕਾਰਕ ਸੰਬੰਧੀ
factorial design,ਫੈਕਟੋਰੀਅਲ ਡਿਜ਼ਾਈਨ
factorization,ਕਾਰਕੀਕਰਨ
factorise,ਫੈਕਟਰੀਜ਼
fair game,ਨਿਰਪੱਖ ਖੇਡ
FALSE,ਗਲਤ
family,ਪਰਿਵਾਰ
family of circles,ਚੱਕਰ ਦੇ ਪਰਿਵਾਰ
family curves,ਪਰਿਵਾਰ ਵਕਰ
family of functions,ਫੰਕਸ਼ਨਾਂ ਦਾ ਪਰਿਵਾਰ
family of lines,ਲਾਈਨਾਂ ਦਾ ਪਰਿਵਾਰ
facsimile,ਨਕਲ
F-distribution,F-ਵੰਡ
feasible basic solution,ਸੰਭਵ ਬੁਨਿਆਦੀ ਹੱਲ
feasible solution,ਸੰਭਵ ਹੱਲ
feed back,ਸੁਝਾਅ
Fermat principle,ਫਰਮੈਟ ਸਿਧਾਂਤ
Fermat's theorem,ਫਰਮੈਟ ਦਾ ਸਿਧਾਂਤ
Fermi-Dirac statistics,ਫਰਮੀ-ਡੀਰਾਕ ਅੰਕੜੇ
Fibonacci number,ਫਿਬੋਨਾਚੀ ਨੰਬਰ
Fibonacci series,ਫਿਬੋਨਾਚੀ ਲੜੀ
field,ਖੇਤਰ
final velocity,ਅੰਤਮ ਵੇਗ
finite,ਸੀਮਿਤ
finite basis,ਸੀਮਿਤ ਆਧਾਰ
finite decimal,ਸੀਮਿਤ ਦਸ਼ਮਲਵ
finite difference,ਸੀਮਤ ਅੰਤਰ
finite difference method,ਸੀਮਿਤ ਅੰਤਰ ਢੰਗ
finite dimensional,ਸੀਮਿਤ ਆਯਾਮੀ
finite dimensional vector space,ਸੀਮਿਤ ਅਯਾਮੀ ਵੈਕਟਰ ਸਪੇਸ
finite game,ਸੀਮਿਤ ਖੇਡ
finite geometry,ਸੀਮਿਤ ਜਿਓਮੈਟਰੀ
finite intersection,ਸੀਮਿਤ ਇੰਟਰਸੈਕਸ਼ਨ
finite many,ਸੀਮਿਤ ਬਹੁਤ ਸਾਰੇ
finite Markov chain,ਸੀਮਿਤ ਮਾਰਕੋਵ ਚੇਨ
finiteness proof,ਸੀਮਿਤਤਾ ਦਾ ਸਬੂਤ
finite number,ਸੀਮਤ ਸੰਖਿਆ
finite population,ਸੀਮਤ ਆਬਾਦੀ
finite probability,ਸੀਮਤ ਸੰਭਾਵਨਾ
finite series,ਸੀਮਿਤ ਲੜੀ
finite set,ਸੀਮਿਤ ਸੈੱਟ
finite velocity,ਸੀਮਤ ਵੇਗ
finite volume,ਸੀਮਤ ਵਾਲੀਅਮ
fitting,ਫਿਟਿੰਗ
fitting of curve,ਕਰਵ ਦੀ ਫਿਟਿੰਗ
fitting of straight line,ਸਿੱਧੀ ਲਾਈਨ ਦੀ ਫਿਟਿੰਗ
fixed point theorem,ਸਥਿਰ ਬਿੰਦੂ ਥਿਊਰਮ
fixed sample,ਸਥਿਰ ਨਮੂਨਾ
flight velocity,ਉਡਾਣ ਦੀ ਗਤੀ
floating point arithmetic,ਫਲੋਟਿੰਗ ਬਿੰਦੂ ਗਣਿਤ
floating point system,ਫਲੋਟਿੰਗ ਪੁਆਇੰਟ ਸਿਸਟਮ
flow chart,ਵਹਾਅ ਚਾਰਟ
flow velocity,ਵਹਾਅ ਦੀ ਗਤੀ
fluid dynamics,ਤਰਲ ਗਤੀਸ਼ੀਲਤਾ
focal,ਫੋਕਲ
focal chord,ਫੋਕਲ ਕੋਰਡ
focal distance,ਫੋਕਲ ਦੂਰੀ
focal length,ਫੋਕਲ ਲੰਬਾਈ
focus,ਫੋਕਸ
foot,ਪੈਰ
foot of perpendicular,ਲੰਬਕਾਰੀ ਦਾ ਪੈਰ
force of gravity,ਗੰਭੀਰਤਾ ਦੀ ਸ਼ਕਤੀ
forecasting,ਪੂਰਵ ਅਨੁਮਾਨ
formula,ਫਾਰਮੂਲਾ
formulate,ਤਿਆਰ ਕਰਨਾ
formulation,ਬਣਤਰ
forward difference,ਅੱਗੇ ਫਰਕ
forward interpolation,ਅੱਗੇ ਇੰਟਰਪੋਲੇਸ਼ਨ
foundation of mathematics,ਗਣਿਤ ਦੀ ਬੁਨਿਆਦ
Fourier's analysis,ਫੁਰੀਅਰ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
Fourier's series,ਫੁਰੀਅਰ ਦੀ ਲੜੀ
Fourier's transform,ਫੁਰੀਅਰ ਦਾ ਪਰਿਵਰਤਨ
fraction,ਅੰਸ਼
fractional coordinate,ਫਰੈਕਸ਼ਨਲ ਕੋਆਰਡੀਨੇਟ
fractional number,ਅੰਸ਼ਿਕ ਸੰਖਿਆ
fractional programming,ਫਰੈਕਸ਼ਨਲ ਪ੍ਰੋਗਰਾਮਿੰਗ
free path,ਮੁਫ਼ਤ ਮਾਰਗ
free vector,ਮੁਫ਼ਤ ਵੈਕਟਰ
frequency,ਬਾਰੰਬਾਰਤਾ
frequency column,ਬਾਰੰਬਾਰਤਾ ਕਾਲਮ
frequency curve,ਬਾਰੰਬਾਰਤਾ ਵਕਰ
frequency distribution,ਬਾਰੰਬਾਰਤਾ ਵੰਡ
frequency histogram,ਬਾਰੰਬਾਰਤਾ ਹਿਸਟੋਗ੍ਰਾਮ
frequency of occurrence,ਵਾਪਰਨ ਦੀ ਬਾਰੰਬਾਰਤਾ
frequency polygon,ਬਾਰੰਬਾਰਤਾ ਬਹੁਭੁਜ
frequency table,ਬਾਰੰਬਾਰਤਾ ਸਾਰਣੀ
frustum,ਨਿਰਾਸ਼ਾ
frustum of a pyramid,ਇੱਕ ਪਿਰਾਮਿਡ ਦਾ frustum
frustum of a sphere,ਇੱਕ ਗੋਲੇ ਦੀ ਨਿਰਾਸ਼ਾ
full expansion,ਪੂਰਾ ਵਿਸਥਾਰ
function,ਫੰਕਸ਼ਨ
functional analysis,ਕਾਰਜਾਤਮਕ ਵਿਸ਼ਲੇਸ਼ਣ
fundamental,ਬੁਨਿਆਦੀ
fundamental theorem,ਬੁਨਿਆਦੀ ਸਿਧਾਂਤ
fundamental theorem of algebra,ਅਲਜਬਰੇ ਦਾ ਮੂਲ ਪ੍ਰਮੇਯ
galaxy,ਗਲੈਕਸੀ
Galois field,ਗੈਲੋਇਸ ਖੇਤਰ
Galois group,ਗੈਲੋਇਸ ਸਮੂਹ
gambler's ruin,ਜੂਏਬਾਜ਼ ਦੀ ਬਰਬਾਦੀ
game and move,ਖੇਡ ਅਤੇ ਚਾਲ
game of chance,ਮੌਕਾ ਦੀ ਖੇਡ
