Punjabi,Odiya
ਡੈਸਕਟਾਪ ਵੀਡੀਓ,ଡେସ୍କଟପ୍ ଭିଡିଓ
ਮੰਜ਼ਿਲ ਪਤਾ,ଗନ୍ତବ୍ୟସ୍ଥଳ ଠିକଣା
ਵਿਨਾਸ਼ਕਾਰੀ,ବିନାଶକାରୀ |
ਨਿਰਧਾਰਕ ਆਟੋਮੈਟਿਕ,ନିର୍ଣ୍ଣୟକାରୀ ସ୍ୱୟଂଚାଳିତ |
ਵਿਕਾਸਕਾਰ,ବିକାଶକାରୀ
ਵਿਕਾਸ ਸਿਸਟਮ,ବିକାଶ ବ୍ୟବସ୍ଥା
ਜੰਤਰ,ଉପକରଣ
ਜੰਤਰ ਕੰਟਰੋਲ ਯੂਨਿਟ,ଉପକରଣ ନିୟନ୍ତ୍ରଣ ଏକକ
ਜੰਤਰ ਕੰਟਰੋਲਰ,ଉପକରଣ ନିୟନ୍ତ୍ରକ
ਜੰਤਰ ਪ੍ਰਬੰਧਨ,ଉପକରଣ ପରିଚାଳନା
ਜੰਤਰ ਮੋਡ,ଉପକରଣ ମୋଡ୍
ਨਿਦਾਨ,ନିରାକରଣ
ਡਾਇਗਨੌਸਟਿਕ ਸਿਸਟਮ,ଡାଇଗ୍ନୋଷ୍ଟିକ୍ ସିଷ୍ଟମ୍ |
ਡਾਇਗਨੌਸਟਿਕਸ,ନିଦାନ
ਚਿੱਤਰ,ଚିତ୍ର
ਡਾਇਲ,ଡାଏଲ୍ କରନ୍ତୁ |
ਡਾਇਲ ਲਾਈਨ,ଡାଏଲ୍ ଲାଇନ୍ |
ਡਾਇਲ ਟੋਨ,ଡାଏଲ୍ ସ୍ୱର
ਡਾਇਲ ਕਰੋ,ଡାଏଲ୍ ଅପ୍ କରନ୍ତୁ |
ਡਾਇਲਾਗ,ସଂଳାପ
ਡਾਇਲਾਗ ਬਾਕਸ,ଡାୟଲଗ୍ ବକ୍ସ
ਡਾਇਲਅੱਪ ਮਾਡਮ,ଡାଏଲଅପ୍ ମୋଡେମ୍ |
ਮਾਪ,ହୀରା
ਸ਼ਬਦਕੋਸ਼,ଅଭିଧାନ
ਭਿੰਨਤਾ,ଭିନ୍ନତା
ਡਿਜੀਟਲ,ଡିଜିଟାଲ୍ |
ਡਿਜ਼ੀਟਲ ਚੈਨਲ,ଡିଜିଟାଲ୍ ଚ୍ୟାନେଲ୍ |
ਡਿਜ਼ੀਟਲ ਸਰਕਟ,ଡିଜିଟାଲ୍ ସର୍କିଟ୍ |
ਡਿਜ਼ੀਟਲ ਕੰਪਿਊਟਰ,ଡିଜିଟାଲ୍ କମ୍ପ୍ୟୁଟର |
ਡਿਜ਼ੀਟਲ ਡਾਟਾ,ଡିଜିଟାଲ୍ ତଥ୍ୟ |
ਡਿਜੀਟਲ ਸਹੂਲਤ,ଡିଜିଟାଲ୍ ସୁବିଧା
ਡਿਜ਼ੀਟਲ ਫਿਲਟਰ,ଡିଜିଟାଲ୍ ଫିଲ୍ଟର୍ |
ਡਿਜੀਟਲ ਲਾਇਬ੍ਰੇਰੀ,ଡିଜିଟାଲ୍ ଲାଇବ୍ରେରୀ |
ਡਿਜ਼ੀਟਲ ਮੋਡੂਲੇਸ਼ਨ,ଡିଜିଟାଲ୍ ମୋଡ୍ୟୁଲେସନ୍
ਡਿਜ਼ੀਟਲ ਮਾਨੀਟਰ,ଡିଜିଟାଲ୍ ମନିଟର |
ਡਿਜ਼ੀਟਲ ਤਸਵੀਰ,ଡିଜିଟାଲ୍ ଚିତ୍ର |
ਡਿਜੀਟਲ ਦਸਤਖਤ,ଡିଜିଟାଲ୍ ଦସ୍ତଖତ |
ਡਿਜ਼ੀਟਲ ਸਵਿੱਚ,ଡିଜିଟାଲ୍ ସୁଇଚ୍ |
ਡਿਜੀਟਲ ਤੋਂ ਐਨਾਲਾਗ (D/A) ਕਨਵਰਟਰ,ଡିଜିଟାଲ୍ ଟୁ ଆନାଗଲ୍ (D / A) କନଭର୍ଟର |
ਡਿਜੀਟਾਈਜ਼ੇਸ਼ਨ,ଡିଜିଟାଇଜେସନ୍
digitize,ଡିଜିଟାଇଜେସନ୍
ਡਿਜੀਟਾਈਜ਼ਰ,ଡିଜିଟାଇଜର୍
ਡਾਇਓਡ,ଡାୟୋଡ୍
ਸਿੱਧਾ,ସିଧାସଳଖ |
ਸਿੱਧਾ ਪਤਾ,ପ୍ରତ୍ୟକ୍ଷ ଠିକଣା
ਸਿੱਧਾ ਪਰਿਵਰਤਨ,ସିଧାସଳଖ ରୂପାନ୍ତର |
ਸਿੱਧੀ ਜੋੜੀ,ସିଧାସଳଖ ଯୋଡି |
ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ (DMA),ସିଧାସଳଖ ସ୍ମୃତି ପ୍ରବେଶ (DMA)
ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ (DMA),ସିଧାସଳଖ ମେମୋରୀ ଆକସେସ୍ (DMA)
ਸਿੱਧੀ ਵਿਧੀ,ପ୍ରତ୍ୟକ୍ଷ ପଦ୍ଧତି |
ਨਿਰਦੇਸ਼,ନିର୍ଦ୍ଦେଶନାମା
ਡਾਇਰੈਕਟਰੀ,ଡିରେକ୍ଟୋରୀ
ਡਾਇਰੈਕਟਰੀ ਸਰਵਰ,ଡିରେକ୍ଟୋରୀ ସର୍ଭର |
ਡਾਇਰੈਕਟਰੀ ਸੇਵਾ,ଡିରେକ୍ଟୋରୀ ସେବା
ਅਯੋਗ,ଅକ୍ଷମ କରନ୍ତୁ |
ਅਸਮਰੱਥ ਸਿਗਨਲ,ସଙ୍କେତ ଅକ୍ଷମ କରିବା |
ਡਿਸਕਨੈਕਟ ਕਰੋ,ସଂଯୋଗ ବିଚ୍ଛିନ୍ନ କରନ୍ତୁ |
ਵੱਖਰਾ,ବିଚ୍ଛିନ୍ନ
ਡਿਸਕ,ଡିସ୍କ
ਡਿਸਕ ਪਤਾ,ଡିସ୍କ ଠିକଣା
ਡਿਸਕ ਐਰੇ,ଡିସ୍କ ଆରେ
ਡਿਸਕ ਸਮਰੱਥਾ,ଡିସ୍କ କ୍ଷମତା
ਡਿਸਕ ਡਰਾਈਵ,ଡିସ୍କ ଡ୍ରାଇଭ
ਡਿਸਕ ਫਾਈਲ,ଡିସ୍କ ଫାଇଲ୍ |
ਡਿਸਕ ਮੈਮੋਰੀ,ଡିସ୍କ ମେମୋରୀ
ਡਿਸਕ ਓਪਰੇਟਿੰਗ ਸਿਸਟਮ (DOS),ଡିସ୍କ ଅପରେଟିଂ ସିଷ୍ଟମ୍ (DOS)
ਡਿਸਕ ਪੈਕ,ଡିସ୍କ ପ୍ୟାକ୍ |
ਡਿਸਕ ਸਰਵਰ,ଡିସ୍କ ସର୍ଭର |
ਡਿਸਕ ਸਟੋਰੇਜ਼,ଡିସ୍କ ସଂରକ୍ଷଣ
ਡਿਸਕੇਟ,ଡିସ୍କେଟ୍ |
ਡਿਸਪਲੇ ਫਾਇਲ,ଫାଇଲ୍ ପ୍ରଦର୍ଶନ କରନ୍ତୁ |
ਡਿਸਪਲੇ ਚਿੱਤਰ,ପ୍ରତିଛବି ପ୍ରଦର୍ଶନ କରନ୍ତୁ |
ਨਿਪਟਾਰੇ,ନିଷ୍କାସନ
ਦੂਰੀ,ଦୂରତା
ਦੂਰੀ ਫੰਕਸ਼ਨ,ଦୂରତା କାର୍ଯ୍ୟ
ਵਿਗਾੜ,ବିକୃତି
ਵੰਡਿਆ,ବଣ୍ଟିତ |
ਵੰਡਿਆ ਡਾਟਾ,ବଣ୍ଟିତ ତଥ୍ୟ |
ਵੰਡਿਆ ਸਰਵਰ,ବଣ୍ଟିତ ସର୍ଭର |
ਵੰਡਿਆ ਸਿਸਟਮ,ବଣ୍ଟିତ ସିଷ୍ଟମ୍ |
ਵੰਡਣ ਵਾਲਾ,ବଣ୍ଟନକାରୀ
ਦਸਤਾਵੇਜ਼,ଡକ୍ୟୁମେଣ୍ଟ୍
ਦਸਤਾਵੇਜ਼ ਮੁੜ ਪ੍ਰਾਪਤ ਕੀਤਾ,ଡକ୍ୟୁମେଣ୍ଟ ପୁନରୁଦ୍ଧାର ହେଲା |
ਦਸਤਾਵੇਜ਼ ਵਿੰਡੋ,ଡକ୍ୟୁମେଣ୍ଟ୍ ୱିଣ୍ଡୋ |
ਦਸਤਾਵੇਜ਼,ଡକ୍ୟୁମେଣ୍ଟେସନ୍
ਡੋਮੇਨ,ଡୋମେନ୍
ਡੋਮੇਨ ਨਾਮ,ଡୋମେନ୍ ନାମ
ਡਾਟ ਮੈਟਰਿਕਸ ਪ੍ਰਿੰਟਰ,ଡଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ ପ୍ରିଣ୍ଟର୍ |
"ਥੱਲੇ, ਹੇਠਾਂ, ਨੀਂਵਾ",ତଳକୁ
ਡਾਊਨ ਲਿੰਕ,ଡାଉନ୍ ଲିଙ୍କ୍ |
ਡਾਊਨ ਲੋਡਿੰਗ,ଡାଉନ୍ ଲୋଡିଙ୍ଗ୍ |
ਘੱਟ ਸਮਾਂ,ଡାଉନ୍ ଟାଇମ୍ |
ਖਿੱਚਣਾ,ଡ୍ରାଗ୍
DRAM (ਡਾਇਨਾਮਿਕ ਰੈਮ),DRAM (ଗତିଶୀଳ RAM)
ਵਹਿਣਾ,drift
ਡਰਾਈਵਰ,ଡ୍ରାଇଭର |
ਸੁੱਟੋ,ଡ୍ରପ୍
ਡ੍ਰੌਪ ਡਾਊਨ ਸੂਚੀ ਬਾਕਸ,ତାଲିକା ବାକ୍ସ ଡ୍ରପ୍ କରନ୍ତୁ |
ਡਰੱਮ ਡਰਾਈਵ,ଡ୍ରମ୍ ଡ୍ରାଇଭ୍ |
ਡਰੱਮ ਪ੍ਰਿੰਟਰ,ଡ୍ରମ୍ ପ୍ରିଣ୍ଟର୍ |
ਡਰੱਮ ਯੂਨਿਟ,ଡ୍ରମ୍ ୟୁନିଟ୍ |
ਦੋਹਰਾ,ଡୁଆଲ୍ |
ਦੋਹਰੀ ਘਣਤਾ,ଦ୍ୱ ual ତ ଘନତା |
ਨਕਲੀ ਪਤਾ,ଡମି ଠିକଣା
ਡੰਪ,ଡମ୍ପିଂ
ਡੁਪਲੈਕਸ ਸਰਕਟ,ଡୁପ୍ଲେକ୍ସ ସର୍କିଟ |
ਡੁਪਲੈਕਸਿੰਗ,ନକଲ
ਡੁਪਲੀਕੇਟ,ନକଲ
DVD R/W,DVD R / W
DVD ROM,DVD ROM
ਗਤੀਸ਼ੀਲ ਹਦਾਇਤ,ଗତିଶୀଳ ନିର୍ଦ୍ଦେଶ
ਗਤੀਸ਼ੀਲ ਮੈਮੋਰੀ,ଗତିଶୀଳ ସ୍ମୃତି
ਗਤੀਸ਼ੀਲਤਾ,ଗତିଶୀଳତା |
ਈ.ਬੀ.ਸੀ.ਡੀ.ਆਈ.ਸੀ,EBCDIC |
ਈ-ਕਾਰੋਬਾਰ,ଇ-ବ୍ୟବସାୟ |
echo,ଇକୋ
ਈ-ਕਾਮਰਸ,ଇ-ବାଣିଜ୍ୟ |
ਸੰਪਾਦਿਤ ਕਰੋ,ସମ୍ପାଦନ କରନ୍ତୁ |
ਸੰਪਾਦਕ,ସମ୍ପାଦକ
ਵਿਦਿਅਕ ਤਕਨਾਲੋਜੀ,ଶିକ୍ଷାଗତ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
EEP ਰੋਮ,EEP ରୋମ୍
ਪ੍ਰਭਾਵੀ ਪਤਾ (ਫਲੋਟਿੰਗ ਪਤਾ),ପ୍ରଭାବଶାଳୀ ଠିକଣା (ଭାସମାନ ଠିକଣା)
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਸੰਚਾਲਨ ਪਤਾ,ପ୍ରଭାବଶାଳୀ ଅପରେଣ୍ଡ୍ ଠିକଣା |
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਵਿਧੀ,ପ୍ରଭାବଶାଳୀ ପ୍ରଣାଳୀ |
ਪ੍ਰਭਾਵਸ਼ਾਲੀ UID (ਉਪਭੋਗਤਾ ਪਛਾਣ),ପ୍ରଭାବଶାଳୀ UID (ବ୍ୟବହାରକାରୀ ପରିଚୟ)
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਪ੍ਰਸਾਰਣ ਸੰਚਾਲਨ,ପ୍ରଭାବଶାଳୀ ଟ୍ରାନ୍ସମିସନ୍ ଅପରେଣ୍ଡ୍ |
ਅੱਠ-ਬਿੱਟ ਬਾਈਟ,ଆଠ-ବିଟ୍ ବାଇଟ୍ |
ਈ-ਲਰਨਿੰਗ,ଇ-ଶିକ୍ଷା
ਚੋਣ-ਅਲਗਰਥਮ,ନିର୍ବାଚନ-ଆଲଗିର୍ଥମ୍ |
ਇਲੈਕਟ੍ਰਿਕ ਮੇਲਿੰਗ (ਈ-ਮੇਲ),ଇଲେକ୍ଟ୍ରିକ୍ ମେଲିଂ (ଇ-ମେଲ୍)
ਇਲੈਕਟ੍ਰਿਕ ਪ੍ਰਿੰਟਰ,ଇଲେକ୍ଟ୍ରିକ୍ ପ୍ରିଣ୍ଟର୍
ਇਲੈਕਟ੍ਰੀਕਲ ਲੇਖਾ ਮਸ਼ੀਨ,ବ electrical ଦୁତିକ ଆକାଉଣ୍ଟିଂ ମେସିନ୍ |
ਇਲੈਕਟ੍ਰਾਨਿਕ,ଇଲେକ୍ଟ୍ରୋନିକ୍ |
ਇਲੈਕਟ੍ਰਾਨਿਕ ਕਲੀਅਰੈਂਸ ਸਿਸਟਮ (ECS),ଇଲେକ୍ଟ୍ରୋନିକ୍ କ୍ଲିୟରାନ୍ସ ସିଷ୍ଟମ୍ (ECS)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਡਾਟਾ ਇੰਟਰਚੇਂਜ (EDI),ଇଲେକ୍ଟ୍ରୋନିକ୍ ଡାଟା ଆଦାନ ପ୍ରଦାନ (EDI)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,ବ electronic ଦ୍ୟୁତିକ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
ਇਲੈਕਟ੍ਰਾਨਿਕ ਫਾਈਲਿੰਗ,ଇଲେକ୍ଟ୍ରୋନିକ୍ ଫାଇଲ୍
ਇਲੈਕਟ੍ਰਾਨਿਕ ਫੰਡ ਟ੍ਰਾਂਸਫਰ ਸਿਸਟਮ (EFTS),ଇଲେକ୍ଟ୍ରୋନିକ୍ ପାଣ୍ଠି ସ୍ଥାନାନ୍ତର ସିଷ୍ଟମ୍ (EFTS)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਰਸਾਲੇ,ବ electronic ଦ୍ୟୁତିକ ପତ୍ରିକା
ਇਲੈਕਟ੍ਰਾਨਿਕ ਪ੍ਰਕਾਸ਼ਨ,ବ electronic ଦ୍ୟୁତିକ ପ୍ରକାଶନ |
ਇਲੈਕਟ੍ਰਾਨਿਕ ਸਵਿੱਚ,ଇଲେକ୍ଟ୍ରୋନିକ୍ ସୁଇଚ୍ |
ਤੱਤ,ଉପାଦାନ
ਈ - ਮੇਲ,ଇ-ମେଲ୍ |
ਈਮੇਲ ਖਾਤਾ,ଈମୈଲ ଠିକଣା
ਏਮਬੈਡਡ ਸਿਸਟਮ,ଏମ୍ବେଡ୍ ସିଷ୍ଟମ୍ |
ਏਮਬੈਡਿੰਗ,ଏମ୍ବେଡିଂ
ਐਮੀਟਰ ਜੋੜੇ ਤਰਕ (ECL),ନିର୍ଗତ ଦମ୍ପତି ତର୍କ (ECL)
ਖਾਲੀ ਸਟੈਕ,ଖାଲି ଷ୍ଟାକ |
ਖਾਲੀ ਸਤਰ,ଖାଲି ଷ୍ଟ୍ରିଙ୍ଗ୍ |
ਇਮੂਲੇਸ਼ਨ,ଅନୁକରଣ
encapsulation,ଏନକାପସୁଲେସନ୍ |
ਐਨਸਾਈਫਰ,ଏନକାଇଫର୍
ਇੰਕੋਡ,ଏନକୋଡ୍
ਏਨਕੋਡਰ,ଏନକୋଡର୍ |
ਐਨਕ੍ਰਿਪਟਡ ਡੇਟਾ,ସଂଗୁପ୍ତ ତଥ୍ୟ
ਐਨਕ੍ਰਿਪਟਿੰਗ ਫਾਈਲ ਸਿਸਟਮ,ଏନକ୍ରିପ୍ଟିଂ ଫାଇଲ୍ ସିଷ୍ଟମ୍ |
ਇਨਕ੍ਰਿਪਸ਼ਨ,ଏନକ୍ରିପସନ୍
ਬਲਾਕ ਦਾ ਅੰਤ,ବ୍ଲକର ଶେଷ
ਫਾਈਲ ਦਾ ਅੰਤ (EOF),ଫାଇଲର ଶେଷ (EOF)
ਆਖਰੀ ਉਪਭੋਗਤਾ,ଶେଷ-ଉପଭୋକ୍ତା |
ਦਾਖਲ ਕਰੋ,ପ୍ରବେଶ କର |
ਐਂਟਰ-ਕੁੰਜੀ,ଏଣ୍ଟର୍-କି
ਐਂਟਰਪ੍ਰਾਈਜ਼ ਸਰਵਰ,ଏଣ୍ଟରପ୍ରାଇଜ୍ ସର୍ଭର |
ਐਂਟਰਪ੍ਰਾਈਜ਼ ਸਿਸਟਮ,ଏଣ୍ଟରପ୍ରାଇଜ୍ ସିଷ୍ଟମ୍ |
ਹਸਤੀ,ସଂସ୍ଥା
ਹਸਤੀ-ਰਿਸ਼ਤਾ,ସଂସ୍ଥା-ସମ୍ପର୍କ |
ਦਾਖਲਾ ਸਮਾਂ,ପ୍ରବେଶ ସମୟ
ਇੰਦਰਾਜ਼ ਵੇਰੀਏਬਲ,ଏଣ୍ଟ୍ରି ଭେରିଏବଲ୍ |
ਅਣਗਿਣਤ,ଅସଂଖ୍ୟ |
ਵਾਤਾਵਰਣ,ପରିବେଶ
ਯੁੱਗ,ଯୁଗ
EPROM,EPROM
epsilon ਬੰਦ,ଏପସିଲନ୍ ବନ୍ଦ |
ਬਰਾਬਰੀ ਕਰਨ ਵਾਲਾ,ସମାନତା
ਉਪਕਰਨ,ଉପକରଣ
ਸਮਾਨਤਾ ਵਰਗ,ସମାନତା ଶ୍ରେଣୀ
ਸਮਾਨਤਾ ਸਬੰਧ,ସମାନତା ସମ୍ପର୍କ
ਮਿਟਾਓ,ଲିଭାନ୍ତୁ
ਗਲਤੀ ਠੀਕ ਕਰਨ ਵਾਲਾ ਕੋਡ,ତ୍ରୁଟି ସଂଶୋଧନ କୋଡ୍
ਗਲਤੀ ਸੁਧਾਰ,ତ୍ରୁଟି ସଂଶୋଧନ
ਗਲਤੀ ਖੋਜ,ତ୍ରୁଟି ଚିହ୍ନଟ
ਗਲਤੀ ਹੈਂਡਲਿੰਗ,ତ୍ରୁଟି ନିୟନ୍ତ୍ରଣ
ਗਲਤੀ ਸੁਨੇਹਾ,ତ୍ରୁଟି ସନ୍ଦେଶ |
ਗਲਤੀ ਦਰ,ତ୍ରୁଟି ହାର
ਗਲਤੀ ਰਿਕਵਰੀ,ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
ਗਲਤੀ ਰੁਟੀਨ,ତ୍ରୁଟି ରୁଟିନ୍ |
ਬਚਣ ਦਾ ਕਿਰਦਾਰ,ପଳାୟନ ଚରିତ୍ର |
ਈਥਰਨੈੱਟ,ଇଥରନେଟ୍ |
ਘਟਨਾ,ଇଭେଣ୍ଟ
ਘਟਨਾ ਲੜੀ,ଇଭେଣ୍ଟ ଶୃଙ୍ଖଳା |
ਘਟਨਾ ਨਿਯੰਤਰਣ,ଇଭେଣ୍ଟ ନିୟନ୍ତ୍ରଣ |
ਘਟਨਾ ਕਾਊਂਟਰ,ଇଭେଣ୍ଟ କାଉଣ୍ଟର
ਅਪਵਾਦ ਹੈਂਡਲਿੰਗ,ବ୍ୟତିକ୍ରମ ନିୟନ୍ତ୍ରଣ |
ਐਕਸਚੇਂਜਯੋਗ ਡਿਸਕ ਸਟੋਰੇਜ,ଅଦଳବଦଳ ଡିସ୍କ ସଂରକ୍ଷଣ ସ୍ଥାନ |
ਬੇਦਖਲੀ,ବହିଷ୍କାର
ਵਿਸ਼ੇਸ਼ ਜਾਂ (XOR),ସ୍ୱତନ୍ତ୍ର କିମ୍ବା (XOR)
ਚੱਲਣਯੋਗ ਪ੍ਰੋਗਰਾਮ,ଏକଜେକ୍ୟୁଟେବଲ୍ ପ୍ରୋଗ୍ରାମ୍
ਕਾਰਜਕਾਰੀ ਬਿਆਨ,କାର୍ଯ୍ୟନିର୍ବାହୀ ବିବୃତ୍ତି
ਪੂਰੀ ਖੋਜ,ସମ୍ପୁର୍ଣ୍ଣ ସନ୍ଧାନ |
ਮੌਜੂਦ ਹੈ,ବିଦ୍ୟମାନ ଅଛି |
ਨਿਕਾਸ,ପ୍ରସ୍ଥାନ
ਮਾਹਰ ਸਿਸਟਮ,ବିଶେଷଜ୍ଞ ବ୍ୟବସ୍ଥା |
ਸਮੀਕਰਨ,ଅଭିବ୍ୟକ୍ତି
ਵਿਸਤ੍ਰਿਤ ਗ੍ਰਾਫਿਕ ਐਰੇ (XGA),ବିସ୍ତୃତ ଗ୍ରାଫିକ୍ ଆରେ (XGA)
ਵਿਸਤ੍ਰਿਤ ਉਦਯੋਗ ਮਿਆਰ (EIS),ବିସ୍ତାରିତ ଶିଳ୍ପ ମାନକ (EIS)
ਵਿਸਤ੍ਰਿਤ ਮਸ਼ੀਨ,ବିସ୍ତୃତ ଯନ୍ତ୍ର
ਵਿਸਤ੍ਰਿਤ ਮੈਮੋਰੀ,ବିସ୍ତୃତ ସ୍ମୃତି
ਵਿਸਤ੍ਰਿਤ ਸ਼ੁੱਧਤਾ,ବିସ୍ତୃତ ସଠିକତା |
ਵਿਸਤ੍ਰਿਤ ਛਾਂਟੀ,ବିସ୍ତୃତ ସର୍ଟିଂ
ਬਾਹਰੀ ਕਾਲ,ବାହ୍ୟ କଲ୍
ਬਾਹਰੀ ਗਲਤੀ,ବାହ୍ୟ ତ୍ରୁଟି |
ਬਾਹਰੀ ਫੰਕਸ਼ਨ,ବାହ୍ୟ କାର୍ଯ୍ୟ
ਬਾਹਰੀ ਰੁਕਾਵਟ,ବାହ୍ୟ ବାଧା
ਬਾਹਰੀ ਮੈਮੋਰੀ,ବାହ୍ୟ ସ୍ମୃତି
ਬਾਹਰੀ ਮੈਮੋਰੀ,ବାହ୍ୟ ସ୍ମୃତି
ਬਾਹਰੀ ਮਾਡਮ,ବାହ୍ୟ ମୋଡେମ୍ |
ਬਾਹਰੀ ਹਵਾਲਾ,ବାହ୍ୟ ସନ୍ଦର୍ଭ
ਬਾਹਰੀ ਖੋਜ,ବାହ୍ୟ ସନ୍ଧାନ |
ਬਾਹਰੀ ਸਟੋਰੇਜ਼ ਜੰਤਰ,ବାହ୍ୟ ସଂରକ୍ଷଣ ଉପକରଣ
ਕੱਢਣਾ,ନିଷ୍କାସନ
ਐਕਸਟਰਪੋਲੇਸ਼ਨ,ବହିଷ୍କାର
ਚਿਹਰਾ-ਚਰਿੱਤਰ ਪ੍ਰਿੰਟਰ,ଚେହେରା-ଅକ୍ଷର ପ୍ରିଣ୍ଟର୍ |
ਅਸਫਲ-ਸੁਰੱਖਿਅਤ ਕਾਰਵਾਈ,ବିଫଳ-ନିରାପଦ କାର୍ଯ୍ୟ
ਅਸਫਲਤਾ ਦੀ ਦਰ,ବିଫଳତା ହାର
ਅਸਫਲਤਾ ਰਿਕਵਰੀ,ବିଫଳତା ପୁନରୁଦ୍ଧାର
ਗਲਤ ਕੋਡ,ମିଥ୍ୟା କୋଡ୍
ਗਲਤ ਗਲਤੀ,ମିଥ୍ୟା ତ୍ରୁଟି |
ਪੱਖਾ-ਵਿੱਚ,ପ୍ରଶଂସକ
ਪੱਖਾ-ਬਾਹਰ,ପ୍ରଶଂସକ
fascimile I/O ਡਿਵਾਈਸ,ଆକର୍ଷଣୀୟ I / O ଉପକରଣ |
ਫਾਸਟ ਫੋਰੀਅਰ ਟ੍ਰਾਂਸਫਾਰਮ (FFT),ଦ୍ରୁତ ଫୁରିଅର୍ ଟ୍ରାନ୍ସଫର୍ମ (FFT)
ਘਾਤਕ ਗਲਤੀ,ସାଂଘାତିକ ତ୍ରୁଟି |
ਨੁਕਸ ਖੋਜ,ତ୍ରୁଟି ଚିହ୍ନଟ
ਨੁਕਸ ਨਿਦਾਨ,ତ୍ରୁଟି ନିଦାନ
ਨੁਕਸ ਸਹਿਣਸ਼ੀਲਤਾ,ଦୋଷ ସହନଶୀଳତା |
ਫੈਕਸ,ଫ୍ୟାକ୍ସ
ਫੈਕਸ ਸੁਨੇਹਾ,ଫ୍ୟାକ୍ସ ବାର୍ତ୍ତା |
FDC,FDC
ਵਿਸ਼ੇਸ਼ਤਾ ਖੋਜ,ବ feature ଶିଷ୍ଟ୍ୟ ଚିହ୍ନଟ
ਫੀਡ ਚੱਕਰ,ଫିଡ୍ ଚକ୍ର |
ਸੁਝਾਅ,ମତାମତ
ਫੀਡਰ,ଫିଡର୍ |
ਪ੍ਰਾਪਤ ਕਰੋ,ଆଣ |
ਫਿਬੋਨਾਚੀ ਖੋਜ,ଫାଇବୋନାକ୍ସି ସନ୍ଧାନ |
ਫਿਬੋਨਾਚੀ ਕ੍ਰਮ,ଫାଇବୋନାକ୍ସି କ୍ରମ |
ਫਿਬੋਨਾਚੀ ਲੜੀ,ଫାଇବୋନାକ୍ସି ସିରିଜ୍ |
ਫਾਈਬਰ ਆਪਟਿਕਸ,ଫାଇବର ଅପ୍ଟିକ୍ସ |
ਫਿਡੋ ਜਾਲ,ଫିଡୋ ନେଟ୍ |
ਖੇਤਰ,କ୍ଷେତ୍ର
ਪੰਜਵੀਂ ਪੀੜ੍ਹੀ ਦੇ ਕੰਪਿਊਟਰ,ପଞ୍ଚମ ପି generation ଼ିର କମ୍ପ୍ୟୁଟରଗୁଡିକ |
ਫਾਈਲ,ଫାଇଲ୍ |
ਫਾਇਲ ਪਹੁੰਚ ਵਿਧੀ,ଫାଇଲ୍ ପ୍ରବେଶ ପଦ୍ଧତି |
ਫਾਇਲ ਵੰਡ ਸਾਰਣੀ,ଫାଇଲ୍ ଆବଣ୍ଟନ ସାରଣୀ |
ਫਾਈਲ ਕੰਪਰੈਸ਼ਨ,ଫାଇଲ୍ ସଙ୍କୋଚନ |
ਫਾਇਲ ਦੀ ਨਕਲ,ଫାଇଲ୍ କପି
ਫਾਈਲ ਲੇਆਉਟ,ଫାଇଲ୍ ଲେଆଉଟ୍ |
ਫਾਈਲ ਅਭੇਦ,ଫାଇଲ୍ ମିଶ୍ରଣ |
ਫਾਇਲ ਰਿਕਵਰੀ,ଫାଇଲ୍ ପୁନରୁଦ୍ଧାର
ਫਾਇਲ ਸਟੋਰੇਜ਼,ଫାଇଲ୍ ଷ୍ଟୋରେଜ୍ |
ਫਾਇਲ ਬਣਤਰ,ଫାଇଲ୍ ଗଠନ
ਫਾਇਲ ਸਿਸਟਮ,ଫାଇଲ୍ ସିଷ୍ଟମ୍ |
ਫਾਈਲ ਟ੍ਰਾਂਸਫਰ,ଫାଇଲ୍ ସ୍ଥାନାନ୍ତର |
ਫਾਈਲ ਟ੍ਰਾਂਸਫਰ ਪ੍ਰੋਟੋਕੋਲ (FTP),ଫାଇଲ୍ ସ୍ଥାନାନ୍ତର ପ୍ରୋଟୋକଲ୍ (FTP)
ਫਿਲਟਰ,ଫିଲ୍ଟର୍
ਅੰਤਮ ਰਾਜ,ଅନ୍ତିମ ଅବସ୍ଥା |
ਲੱਭੋ,ଖୋଜ |
ਸੀਮਿਤ ਰਾਜ ਮਸ਼ੀਨ,ସୀମିତ ରାଜ୍ୟ ଯନ୍ତ୍ର |
ਅੱਗ ਦੀ ਕੰਧ,ଅଗ୍ନି କାନ୍ଥ
