English,Telugu
Client relationship  (server relationship),క్లయింట్ సంబంధం (సర్వర్ సంబంధం)
Cliff effect,క్లిఫ్ ప్రభావం
Clip board,క్లిప్ బోర్డు
Clipping,క్లిప్పింగ్
Clock pulse,క్లాక్ పల్స్
Clocked flip flop,క్లాక్డ్ ఫ్లిప్ ఫ్లాప్
Clockfaced mike,క్లాక్ఫేస్డ్ మైక్
Clock-frequency,గడియారం-ఫ్రీక్వెన్సీ
Clockwise,సవ్యదిశలో
Closed circuit,క్లోజ్డ్ సర్క్యూట్
Closed loop,నిర్భంద వలయం
Cluster,క్లస్టర్
Clustering,క్లస్టరింగ్
Clutter,అస్తవ్యస్తంగా
Clutter loss,అయోమయ నష్టం
Coating,పూత
Coaxial cable,ఏకాక్షక కేబుల్
Coaxial line,ఏకాక్షక రేఖ
Coaxial transmission line,ఏకాక్షక ప్రసార రేఖ
Co-channel,కో-ఛానెల్
Co-channel interference,కో-ఛానెల్ జోక్యం
Cochlea,కోక్లియా
Code,కోడ్
Code number,కోడ్ సంఖ్య
Code rate,కోడ్ రేటు
Code word,కోడ్ పదం
Codec (coding decoding),కోడెక్ (కోడింగ్ డీకోడింగ్)
Coded audio,కోడెడ్ ఆడియో
Coder,కోడర్
Coding,కోడింగ్
Coding decoding technique,కోడింగ్ డీకోడింగ్ టెక్నిక్
Coding error,కోడింగ్ లోపం
Coding rate,కోడింగ్ రేటు
Coding technique,కోడింగ్ టెక్నిక్
Coefficient,గుణకం
Coercivity,బలవంతపు
Coherent modulation,పొందికైన మాడ్యులేషన్
Coil,కాయిల్
Collaboration,సహకారం
Collapse,కూలిపోతుంది
Collector,కలెక్టర్
Collector current,కలెక్టర్ కరెంట్
Collector to base conductance,బేస్ కండక్టెన్స్ నుండి కలెక్టర్
Collector-base junction,కలెక్టర్-బేస్ జంక్షన్
Colour,రంగు
Colour analyzer,కలర్ ఎనలైజర్
Colour balance,రంగు సమతుల్యత
Colour burst,రంగు పేలుడు
Colour chart,రంగు చార్ట్
Colour combination,రంగు కలయిక
Colour constant,రంగు స్థిరాంకం
Colour control      (chrome control),రంగు నియంత్రణ (క్రోమ్ నియంత్రణ)
Colour depth,రంగు లోతు
Colour fatigue,రంగు అలసట
Colour filter,కలర్ ఫిల్టర్
Colour killer circuit,కలర్ కిల్లర్ సర్క్యూట్
Colour kinescope,కలర్ కైన్‌కోప్
Colour mixer,కలర్ మిక్సర్
Colour pattern,రంగు నమూనా
Colour perception,రంగు అవగాహన
Colour picture screen,కలర్ పిక్చర్ స్క్రీన్
Colour space,రంగు స్థలం
Colour subcarrier,రంగు సబ్‌కారియర్
Colour temperature,రంగు ఉష్ణోగ్రత
Colour transmission,రంగు ప్రసారం
Colour tube,కలర్ ట్యూబ్
Colouration,రంగు
Colourless,రంగులేని
Combination,కలయిక
Combiner,కాంబినర్
Combining process,కలయిక ప్రక్రియ
Combustion,దహన
Command,కమాండ్
Commencement,ప్రారంభం
Commercial broadcasting,వాణిజ్య ప్రసారం
Commercial television,వాణిజ్య టెలివిజన్
Common collector circuit,సాధారణ కలెక్టర్ సర్క్యూట్
Communication,కమ్యూనికేషన్
Communication satellite,కమ్యూనికేషన్ ఉపగ్రహం
Community radio centre,కమ్యూనిటీ రేడియో సెంటర్
Community radio station,కమ్యూనిటీ రేడియో స్టేషన్
Compact disc (CD),కాంపాక్ట్ డిస్క్ (సిడి)
Compact disc player,కాంపాక్ట్ డిస్క్ ప్లేయర్
Compander,కంపాండర్
Companding,కంపాండింగ్
Compatibility,అనుకూలత
Compatible,అనుకూలంగా
Compiler,కంపైలర్
Complementary,పరిపూరకరమైనది
Complementary transistor,కాంప్లిమెంటరీ ట్రాన్సిస్టర్
Complex wave,సంక్లిష్ట తరంగం
Component,భాగం
Composite,మిశ్రమ
Composite circuit,మిశ్రమ సర్క్యూట్
Composite digital,మిశ్రమ డిజిటల్
Composite radio frequency signal,మిశ్రమ రేడియో ఫ్రీక్వెన్సీ సిగ్నల్
Composite signal,మిశ్రమ సిగ్నల్
Composite video,మిశ్రమ వీడియో
Composite video signal,మిశ్రమ వీడియో సిగ్నల్
Composition,కూర్పు
Compressed data,కంప్రెస్డ్ డేటా
Compressed digitized video,కంప్రెస్డ్ డిజిటలైజ్డ్ వీడియో
Compressed video,కంప్రెస్డ్ వీడియో
Compression,కుదింపు
Compression artifact,కంప్రెషన్ ఆర్టిఫ్యాక్ట్
Compression hazard,కుదింపు ప్రమాదం
Compression technique,కంప్రెషన్ టెక్నిక్
Compressor,కంప్రెసర్
Compute,కంప్యూట్
Computer,కంప్యూటర్
Computer based multimedia,కంప్యూటర్ ఆధారిత మల్టీమీడియా
Computer programming,కంప్యూటర్ ప్రోగ్రామింగ్
Computer technology,"కంప్యూటర్ సాంకేతిక పరిజ్ఞానం, కంప్యూటర్ విజ్ఞానం, ధీయంత్ర పరిజ్ఞానం, ధీయంత్ర విజ్ఞానం"
Concave lens,పుటాకార లెన్స్
Concave mirror,పుటాకార అద్దం
Concealment,దాచడం
Concentrated,సాంద్రీకృత
Concentration,ఏకాగ్రత
Concentric lens,కేంద్రీకృత లెన్స్
Condenser microphone,కండెన్సర్ మైక్రోఫోన్
Condition of equilibrium,సమతుల్యత యొక్క పరిస్థితి
Conduction,ప్రసరణ
Conduction current,ప్రసరణ ప్రస్తుత
Conductivity,వాహకత
Conductor,కండక్టర్
Configuration,ఆకృతీకరణ
Connection,కనెక్షన్
Connectivity,కనెక్టివిటీ
Connector,కనెక్టర్
Consistency,స్థిరత్వం
Consistently,స్థిరంగా
Console,కన్సోల్
Constant,స్థిరాంకం
Constant  amplitude,స్థిరమైన వ్యాప్తి
Contact microphone,మైక్రోఫోన్‌ను సంప్రదించండి
Container format,కంటైనర్ ఫార్మాట్
Contamination,కాలుష్యం
Content,విషయము
Contiguous,పరస్పర
Continuity,కొనసాగింపు
Continuity booth,కొనసాగింపు బూత్
Continuity knob,కొనసాగింపు నాబ్
Continuous,నిరంతర
Continuous arc,నిరంతర ఆర్క్
Continuous wave,నిరంతర వేవ్
Contour line,ఆకృతి రేఖ
Contour plan,ఆకృతి ప్రణాళిక
Contract,ఒప్పందం
Contraction,సంకోచం
Contrast ratio,కాంట్రాస్ట్ రేషియో
Control circuit,కంట్రోల్ సర్క్యూట్
Control electrode,కంట్రోల్ ఎలక్ట్రోడ్
Control equipment,నియంత్రణ పరికరాలు
Control grid,కంట్రోల్ గ్రిడ్
Control line,నియంత్రణ రేఖ
Control panel,నియంత్రణ ప్యానెల్
Control room,నియంత్రణ గది
Control table,నియంత్రణ పట్టిక
Control tower,కంట్రోల్ టవర్
Controller,నియంత్రిక
Convergence,కన్వర్జెన్స్
Convergent lens,కన్వర్జెంట్ లెన్స్
Convertor,కన్వర్టర్
Convex lens,కుంభాకార లెన్స్
Convolution,కన్విల్యూషన్
Convolution coded,కన్వల్యూషన్ కోడెడ్
Convolutional interleave,కన్వల్యూషనల్ ఇంటర్‌లీవ్
Convolutional interleaving,కన్వల్యూషనల్ ఇంటర్‌లీవింగ్
Cookie,కుకీ
Cookier,కుకీయర్
Coprocessor,కోప్రాసెసర్
Cord,త్రాడు
Corona,కరోనా
Corona discharge,కరోనా ఉత్సర్గ
Correlation,సహసంబంధం
Cosine component,కొసైన్ భాగం
Cosine wave,కొసైన్ వేవ్
Cosmic noise,విశ్వ శబ్దం
Counter,కౌంటర్
Counter clockwise,కౌంటర్ సవ్యదిశలో
Coupler,కప్లర్
Coupling,కలపడం
Coupling condenser,కప్లింగ్ కండెన్సర్
Coupling network,కలపడం నెట్‌వర్క్
Coupling resistance,కలపడం నిరోధకత
Covalent bond,సమయోజనీయ బంధం
Coverage,కవరేజ్
Crash,క్రాష్
Critical band,క్రిటికల్ బ్యాండ్
Critical condition,క్లిష్ట పరిస్థితి
Critical coupling,క్లిష్టమైన కలపడం
Critical frequency,క్లిష్టమైన ఫ్రీక్వెన్సీ
Critical parameter,క్లిష్టమైన పరామితి
Crocodile clip,క్రోకోడైల్ క్లిప్
Cross fading,క్రాస్ ఫేడింగ్
Cross modulation,క్రాస్ మాడ్యులేషన్
Cross talk,క్రాస్ టాక్
Crossfade,క్రాస్ఫేడ్
Cryptography,క్రిప్టోగ్రఫీ
Crystal,క్రిస్టల్
Crystal filter,క్రిస్టల్ ఫిల్టర్
Cue,క్యూ
Cue marks,క్యూ మార్కులు
Cueing device,క్యూయింగ్ పరికరం
Current drain,ప్రస్తుత కాలువ
Current meter,ప్రస్తుత మీటర్
Current transformer,ప్రస్తుత ట్రాన్స్ఫార్మర్
Cursor,కర్సర్
Curve,వక్రరేఖ
Cut off frequency,ఫ్రీక్వెన్సీని కత్తిరించండి
Cutter,కట్టర్
Cyber cafe,సైబర్ కేఫ్
Cyber security,సైబర్ భద్రతా
Cyber space,సైబర్ స్థలం
Cycle,చక్రం
Cyclic,చక్రీయ
D.c. component,డి.సి. భాగం
D.c. plate power,డి.సి. ప్లేట్ శక్తి
D.c. restoration,డి.సి. పునరుద్ధరణ
Damper diode,డంపర్ డయోడ్
Damping,డంపింగ్
Dark,చీకటి
Data,సమాచారం
Data broadcasting,డేటా ప్రసారం
Data compression,డేటా కుదింపు
Data drilling,డేటా డ్రిల్లింగ్
Data encryption,డేటా గుప్తీకరణ
Data file,సమాచార దస్తా
Data handling,డేటా నిర్వహణ
Data mining,డేటా మైనింగ్
Data processing,డేటా ప్రాసెసింగ్
Data processor,డేటా ప్రాసెసర్
Data reduced bit system,డేటా తగ్గించిన బిట్ సిస్టమ్
Data service,డేటా సేవ
Data sheet,సమాచార పట్టిక
Data storage,డేటా నిల్వ
Data stream,డేటా స్ట్రీమ్
Data transformation,డేటా పరివర్తన
Data transmission,డేటా ప్రసారం
Database,డేటాబేస్
Datacasting,డేటాకాస్టింగ్
Datagram,డేటాగ్రామ్
DB meter,DB మీటర్
Dead air,చనిపోయిన గాలి
Dead short circuit,డెడ్ షార్ట్ సర్క్యూట్
Dead spot,డెడ్ స్పాట్
Deadlock,డెడ్లాక్
Debug programme,డీబగ్ ప్రోగ్రామ్
Debugging,డీబగ్గింగ్
Decay of sound,ధ్వని క్షయం
Decibel (dB),డిసిబెల్
Decimal,దశాంశం
Decimal code,దశాంశ కోడ్
Decimal digit,దశాంశ అంకె
Deciphering,డెసిఫరింగ్
Decoder,డీకోడర్
Decoding,డీకోడింగ్
Decoding in digital transmission,డిజిటల్ ట్రాన్స్మిషన్లో డీకోడింగ్
Decompression,డికంప్రెషన్
Decoupling,డికప్లింగ్
Decoupling circuit,డికప్లింగ్ సర్క్యూట్
Decoupling network,డికప్లింగ్ నెట్‌వర్క్
Decryption,డిక్రిప్షన్
Dedicated line,అంకితమైన పంక్తి
De-embedding,డి-ఎంబెడింగ్
De-emphasis,డి-ఎంఫాసిస్
Default,డిఫాల్ట్
Defect in quality,నాణ్యతలో లోపం
Defective,లోపభూయిష్ట
Defective unit,లోపభూయిష్ట యూనిట్
Definition,నిర్వచనం
Deflection,విక్షేపం
Deformation,వైకల్యం
Defragmentation,డీఫ్రాగ్మెంటేషన్
De-gaussing coil,డి-గాస్సింగ్ కాయిల్
Degree,డిగ్రీ
De-interleaver,డి-ఇంటర్‌లీవర్
Delay line,ఆలస్యం లైన్
Delay time,సమయం ఆలస్యం
Delayed frame memory,ఫ్రేమ్ మెమరీ ఆలస్యం
Delayed scanning,ఆలస్యం స్కానింగ్
Delayed synchronization signal,ఆలస్యం సమకాలీకరణ సిగ్నల్
Delivery,డెలివరీ
Delivery system,బట్వాడా వ్యవస్థ
Demodulation,డెమోడ్యులేషన్
Demodulator card,డెమోడ్యులేటర్ కార్డ్
Demultiplexer,డెమల్టిప్లెక్సర్
Depth of field,ఫీల్డ్ యొక్క లోతు
Descending,అవరోహణ
Design specification,డిజైన్ స్పెసిఫికేషన్
Desktop,డెస్క్‌టాప్
Detector output,డిటెక్టర్ అవుట్పుట్
Deviation,విచలనం
Device,పరికరం
Device driver,పరికర డ్రైవర్
Diagnostics,విశ్లేషణ
Diagram,రేఖాచిత్రం
Dialog track,డైలాగ్ ట్రాక్
Diameteral mode,వ్యాసమైన మోడ్
Diamond stylus,డైమండ్ స్టైలస్
Diaphragm,ఉదరవితానం
Diaphragmatic absorber,డయాఫ్రాగ్మాటిక్ అబ్జార్బర్
Dichotic listening,డైకోటిక్ లిజనింగ్
Dielectric,విద్యుద్వాహక
Dielectric break- down,విద్యుద్వాహక విచ్ఛిన్నం- డౌన్
Dielectric loss,విద్యుద్వాహక నష్టం
Difference frequency,తేడా ఫ్రీక్వెన్సీ
Difference frequency distortion (DFD),తేడా ఫ్రీక్వెన్సీ వక్రీకరణ (DFD)
Difference tone,తేడా టోన్
Differential amplifier,అవకలన యాంప్లిఫైయర్
Diffraction,విక్షేపం
Diffuser,డిఫ్యూజర్
Digit,అంకె
Digital,డిజిటల్
Digital artifact,డిజిటల్ ఆర్టిఫ్యాక్ట్
Digital audio,డిజిటల్ ఆడియో
Digital audio filter,డిజిటల్ ఆడియో ఫిల్టర్
Digital audio work station,డిజిటల్ ఆడియో వర్క్ స్టేషన్
Digital camera,డిజిటల్ కెమెరా
Digital computer,డిజిటల్ కంప్యూటర్
Digital data,డిజిటల్ డేటా
Digital editing,డిజిటల్ ఎడిటింగ్
Digital exciter,డిజిటల్ ఎక్సైటర్
Digital filter,డిజిటల్ ఫిల్టర్
Digital frame synchronizer,డిజిటల్ ఫ్రేమ్ సింక్రొనైజర్
Digital heritage,డిజిటల్ వారసత్వం
Digital image,డిజిటల్ చిత్రం
Digital library,డిజిటల్ లైబ్రరీ
Digital meter,డిజిటల్ మీటర్
Digital modulation,డిజిటల్ మాడ్యులేషన్
Digital multiplex,డిజిటల్ మల్టీప్లెక్స్
Digital network,డిజిటల్ నెట్‌వర్క్
Digital output,డిజిటల్ అవుట్పుట్
Digital playback,డిజిటల్ ప్లేబ్యాక్
Digital Radio Mondiale (DRM),డిజిటల్ రేడియో మొండియాల్ (DRM)
Digital recording,డిజిటల్ రికార్డింగ్
Digital revolution,డిజిటల్ విప్లవం
Digital signal,డిజిటల్ సిగ్నల్
Digital signal processing (DSP),డిజిటల్ సిగ్నల్ ప్రాసెసింగ్ (DSP)
Digital signature,డిజిటల్ సంతకం
Digital technology,డిజిటల్ టెక్నాలజీ
Digital to analog converter,డిజిటల్ టు అనలాగ్ కన్వర్టర్
Digital video,డిజిటల్ వీడియో
Digital voltmeter,డిజిటల్ వోల్టమీటర్
Digitalization,డిజిటలైజేషన్
Digitization,డిజిటలైజేషన్
Digitized video,డిజిటలైజ్డ్ వీడియో
Digitizer,డిజిటైజర్
Dim,మసక
Dimension,పరిమాణం
Dimmer,మసకబారిన
Diode,డయోడ్
Dip,ముంచు
Diplexer,డిప్లెక్సర్
Dipole antenna,డైపోల్ యాంటెన్నా
Direct broadcast,ప్రత్యక్ష ప్రసారం
Direct current (d c),ప్రత్యక్ష కరెంట్
Direct pick up,ప్రత్యక్ష పికప్
Direct reading instrument,ప్రత్యక్ష పఠన పరికరం
Direct recording,ప్రత్యక్ష రికార్డింగ్
Directional antenna,డైరెక్షనల్ యాంటెన్నా
Directional coupler,డైరెక్షనల్ కప్లర్
Directional microphone,డైరెక్షనల్ మైక్రోఫోన్
Directivity,డైరెక్టివిటీ
Directory,డైరెక్టరీ
Disable,డిసేబుల్
Disc antenna,డిస్క్ యాంటెన్నా
Disc based storage,డిస్క్ ఆధారిత నిల్వ
Discrete,వివిక్త
Disk,డిస్క్
Disk drive,డిస్క్ డ్రైవ్
Disk quota,డిస్క్ కోటా
Diskette,డిస్కెట్
Dislocation,తొలగుట
Dispersion,చెదరగొట్టడం
Displacement,స్థానభ్రంశం
Display,ప్రదర్శన
Display unit (console),ప్రదర్శన యూనిట్ (కన్సోల్)
Dissipation,వెదజల్లడం
Dissonance,వైరుధ్యం
Distilled water,పరిశుద్ధమైన నీరు
Distortion,వక్రీకరణ
Distribution,పంపిణీ
Distribution amplifier,పంపిణీ యాంప్లిఫైయర్
Division,విభజన
Divisor,విభజన
Document,పత్రం
Dolby digital,డాల్బీ డిజిటల్
Domain,డొమైన్
Domain controller,డొమైన్ కంట్రోలర్
Doppler effect,డాప్లర్ ప్రభావం
Double pole (dipole),ద్వారం)
Double pole single throw switch,డబుల్ పోల్ సింగిల్ త్రో స్విచ్
Double sided disk,డబుల్ సైడెడ్ డిస్క్
Doublet,డబుల్
Down coming wave,డౌన్ రాబోయే వేవ్
Down stream,డౌన్ స్ట్రీమ్
Downlink,డౌన్‌లింక్
Download,డౌన్‌లోడ్
Downloading,డౌన్‌లోడ్
Drawing,డ్రాయింగ్
Drilling bit,డ్రిల్లింగ్ బిట్
Drilling machine,డ్రిల్లింగ్ మెషిన్
Drive,డ్రైవ్
Drum,డ్రమ్
Dry bulb temperature,పొడి బల్బ్ ఉష్ణోగ్రత
Dry cell,పొడి సెల్
Dry solder,డ్రై టంకము
Dual channel mode,ద్వంద్వ ఛానల్ మోడ్
Dubbing,డబ్బింగ్
Dud,డడ్
Dump,డంప్
Duplex,డ్యూప్లెక్స్
Duration,వ్యవధి
Dust,దుమ్ము
Dust bug,డస్ట్ బగ్
Dust proof,డస్ట్ ప్రూఫ్
Duster,డస్టర్
Dynamic,డైనమిక్
Dynamic bit allocation,డైనమిక్ బిట్ కేటాయింపు
Dynamic intermodulation distortion (DIM),డైనమిక్ ఇంటర్మోడ్యులేషన్ వక్రీకరణ (DIM)
Dynamic quantization,డైనమిక్ పరిమాణీకరణ
Dynamic range,డైనమిక్ పరిధి
Dynamic range control,డైనమిక్ పరిధి నియంత్రణ
Dynamo,డైనమో
Ear phone,చెవి ఫోన్
Earth,భూమి
Earth bulge,భూమి ఉబ్బెత్తు
Earth resistance,భూమి నిరోధకత
Earth rod,ఎర్త్ రాడ్
Earth satellite,ఎర్త్ ఉపగ్రహం
Earth station,ఎర్త్ స్టేషన్
Earth terminal,ఎర్త్ టెర్మినల్
Earthing,ఎర్తింగ్
Echo,ఎకో
Echo chamber,ఎకో చాంబర్
Eddy current,ఎడ్డీ కరెంట్
Eddy current loss,ఎడ్డీ కరెంట్ నష్టం
Edgewise meter,ఎడ్జ్వైస్ మీటర్
Editing,ఎడిటింగ్
Effective antenna height,ప్రభావవంతమైన యాంటెన్నా ఎత్తు
Effective antenna length,ప్రభావవంతమైన యాంటెన్నా పొడవు
Effective voltage,ప్రభావవంతమైన వోల్టేజ్
Efficiency,సామర్థ్యం
Elasticity,స్థితిస్థాపకత
Electric discharge,విద్యుత్ ఉత్సర్గ
Electric field,ఎలక్ట్రిక్ ఫీల్డ్
Electric flash,ఎలక్ట్రిక్ ఫ్లాష్
Electric heater,విద్యుత్ హీటర్
Electric meter,ఎలక్ట్రిక్ మీటర్
Electric motor,విద్యుత్ మోటారు
Electric shock,విద్యుదాఘాతం
Electric spark,ఎలక్ట్రిక్ స్పార్క్
Electrical appliance,విద్యుత్ ఉపకరణం
Electrical noise,విద్యుత్ శబ్దం
Electrical storm,విద్యుత్ తుఫాను
Electrically operated musical instrument,విద్యుత్తుతో పనిచేసే సంగీత పరికరం
Electricity,విద్యుత్
Electricity supply,విద్యుత్ సరఫరా
Electrodynamic,ఎలెక్ట్రోడైనమిక్
Electrolytic capacitor,ఎలక్ట్రోలైటిక్ కెపాసిటర్
Electromagnetic,విద్యుదయస్కాంత
Electromagnetic disturbance,విద్యుదయస్కాంత భంగం
Electromagnetic interferrence,విద్యుదయస్కాంత ఇంటర్‌ఫెరెన్స్
Electromagnetic spectrum,విద్యుదయస్కాంత వర్ణపటం
Electromagnetic wave,విద్యుదయస్కాంత తరంగం
Electromagnetic wave propagtion,విద్యుదయస్కాంత తరంగ ప్రచారం
Electron multiple phototube,ఎలక్ట్రాన్ మల్టిపుల్ ఫోటోట్యూబ్
Electronic calculator,ఎలక్ట్రానిక్ కాలిక్యులేటర్
Electronic data processing (EDP),ఎలక్ట్రనిక్ డేటా ప్రాసెసింగ్ (ఇడిపి)
Electronic mail (e-mail),ఇ-మెయిల్
Electronic switching system,ఎలక్ట్రానిక్ స్విచింగ్ సిస్టమ్
Electronics,ఎలక్ట్రానిక్స్
Electroplating,ఎలక్ట్రోప్లేటింగ్
Electrostatic,ఎలెక్ట్రోస్టాటిక్
Elevation,ఎలివేషన్
Embedded,పొందుపరచబడింది
Embedded audio,పొందుపరిచిన ఆడియో
Embedded system,పొందుపర్చిన వ్యవస్థ
Emblem,చిహ్నం
Emerging trends,అభివృద్ధి చెందుతున్న పోకడలు
Emission,ఉద్గార
Emitter,ఉద్గారిణి
Emitter follower,ఉద్గారిణి అనుచరుడు
Emitter terminal,ఉద్గారిణి టెర్మినల్
Emitter-base-junction,ఉద్గారిణి-బేస్-జంక్షన్
Enable,ఎనేబుల్
Enamelled wire,ఎనామెల్డ్ వైర్
Encipher,ఎన్‌సిఫర్
Enclosure,ఆవరణ
Encode,ఎన్కోడ్
Encoder,ఎన్కోడర్
Encoding,ఎన్కోడింగ్
Encryption,గుప్తీకరణ
End mark,ముగింపు గుర్తు
End user,తుది వినియోగదారుడు
Energy,శక్తి
Energy dispersal,శక్తి వ్యాప్తి
Energy distribution,శక్తి పంపిణీ
Enforcement,అమలు
Engine,ఇంజిన్
Engineer,ఇంజనీర్
Engineering,ఇంజనీరింగ్
Engineering store,ఇంజనీరింగ్ స్టోర్
Engraving,చెక్కడం
Enhance,మెరుగుపరచండి
Ensemble,సమిష్టి
Enter key,కీని నమోదు చేయండి
Enterprise architecture,ఎంటర్ప్రైజ్ ఆర్కిటెక్చర్
Enthalpy,ఎంథాల్పీ
Entropy,ఎంట్రోపీ
Entropy coding,ఎంట్రోపీ కోడింగ్
Entropy redundancy,ఎంట్రోపీ రిడెండెన్సీ
Equalising,సమం
Equalization,ఈక్వలైజేషన్
Equalizer,ఈక్వలైజర్
Equipment,పరికరాలు
Equipment cover,పరికరాల కవర్
Equivalent,సమానం
Erase,చెరిపివేయండి
Erase head,తల తొలగించండి
Erosion,ఎరోషన్
Erratic,అవాంఛనీయ
Error,లోపం
Error control coding,లోపం నియంత్రణ కోడింగ్
Error correction,లోపం దిద్దుబాటు
Error detection,లోపం గుర్తించడం
Error handling,లోపం నిర్వహణ
Error probability,లోపం సంభావ్యత
Ethernet,ఈథర్నెట్
Ethernet cable,ఈథర్నెట్ కేబుల్
Eugenics,యూజెనిక్స్
Evacuate,ఖాళీ చేయండి
Exchange,మార్పిడి
Exciter,ఎక్సైటర్
Execute,అమలు చేయండి
Execution time,అమలు సమయం
Exhaust,ఎగ్జాస్ట్
Exit,బయటకి దారి
Expanded,విస్తరించబడింది
Expansion valve,విస్తరణ వాల్వ్
Experiment,ప్రయోగం
Expert system,నిపుణుల వ్యవస్థ
Explore,అన్వేషించండి
Explorer,ఎక్స్‌ప్లోరర్
Expo(exhibition),గుడ్డ
Extension of power supply,విద్యుత్ సరఫరా పొడిగింపు
External control,బాహ్య నియంత్రణ
External memory,బాహ్య మెమరీ
External storage,బాహ్య నిల్వ
External thread,బాహ్య థ్రెడ్
Extract,సారం
Extranet,ఎక్స్‌ట్రానెట్
Fabricate,కల్పించండి
Facet,ముఖభాగం
Facsimile,ఫేస్‌సిమైల్
Factor,కారకం
Fade,వాడిపోవు
Fade in,ఫేడ్ ఇన్
Fade out,వెళ్లి పోవడం
Fader,ఫేడర్
Fading,క్షీణించడం
Fading zone,క్షీణిస్తున్న జోన్
Fantom (=phantom),ఫాంటమ్
Fast fourier transform (FFT) algorithm,ఫాస్ట్ ఫోరియర్ ట్రాన్స్ఫార్మ్ (FFT) అల్గోరిథం
Fatal error,తీవ్రమైన దోషం
Fault,తప్పు
Feature,లక్షణం
Feed,ఫీడ్
Feedback,అభిప్రాయం
Feedback amplifier,ఫీడ్‌బ్యాక్ యాంప్లిఫైయర్
Feedback circuit,ఫీడ్‌బ్యాక్ సర్క్యూట్
Feedback voltage,ఫీడ్‌బ్యాక్ వోల్టేజ్
Feeder,ఫీడర్
Feeder cable,ఫీడర్ కేబుల్
Feeder hut,ఫీడర్ హట్
Feeder line,ఫీడర్ లైన్
Feeder system,ఫీడర్ వ్యవస్థ
Feeder wire,ఫీడర్ వైర్
Fibre,ఫైబర్
Fibre optics,ఫైబర్ ఆప్టిక్స్
Fidelity,విశ్వసనీయత
Fidelity range extension,విశ్వసనీయత పరిధి పొడిగింపు
Field,ఫీల్డ్
Field drive,ఫీల్డ్ డ్రైవ్
Field effect transistor,ఫీల్డ్ ఎఫెక్ట్ ట్రాన్సిస్టర్
Field strength,క్షేత్ర బలం
Field strength meter,ఫీల్డ్ బలం మీటర్
Field strength survey,ఫీల్డ్ స్ట్రెంత్ సర్వే
Figure,మూర్తి
Figure of merit,మెరిట్ యొక్క సంఖ్య
Filament,ఫిలమెంట్
File,ఫైల్
File server,ఫైల్ సర్వర్
File system,ఫైల్ సిస్టమ్
Filler,ఫిల్లర్
Film recorder,ఫిల్మ్ రికార్డర్
Film speed,ఫిల్మ్ స్పీడ్
Filter,ఫిల్టర్
Filter choke,ఫిల్టర్ చౌక్
Filter circuit,ఫిల్టర్ సర్క్యూట్
Filtering,ఫిల్టరింగ్
Fine tuning control,చక్కటి ట్యూనింగ్ నియంత్రణ
Finite field,పరిమిత క్షేత్రం
Fire wall,ఫైర్ వాల్
Firefox,ఫైర్‌ఫాక్స్
Firing angle,ఫైరింగ్ కోణం
Firmware,ఫర్మ్‌వేర్
Fittings,ఫిట్టింగులు
Fixed point chart,స్థిర పాయింట్ చార్ట్
Fixed point item,స్థిర పాయింట్ అంశం
Flash,ఫ్లాష్
Flat,ఫ్లాట్
Flicker,ఫ్లికర్
Flip flop,ఫ్లిప్ ఫ్లాప్
Float valve,ఫ్లోట్ వాల్వ్
Floating,తేలియాడే
Floating  battery,ఫ్లోటింగ్ బ్యాటరీ
Floating point,ఫ్లోటింగ్ పాయింట్
Floating port,ఫ్లోటింగ్ పోర్ట్
Flood light,అతి ప్రకాశవంతమైన దీపం
Flood lighting,వరద లైటింగ్
Floor,అంతస్తు
Floppy,ఫ్లాపీ
Flow chart,ఫ్లో చార్ట్
Fluctuation,హెచ్చుతగ్గులు
Fluid,ద్రవం
Fluorescent lamp,ఫ్లూరోసెంట్ దీపం
Fluorescent tube,ఫ్లోరోసెంట్ ట్యూబ్
Flutter,అల్లాడు
Flux,ఫ్లక్స్
Flux linkage,ఫ్లక్స్ అనుసంధానం
FM network,FM నెట్‌వర్క్
FM tower,FM టవర్
Focus,దృష్టి
Focus control,ఫోకస్ కంట్రోల్
Focussing,ఫోకస్
Focussing magnet,ఫోకస్ చేసే అయస్కాంతం
Fog,పొగమంచు
Foil,రేకు
Fold back,తిరిగి భాగాల్లో
Folded dipole,ముడుచుకున్న ద్విధ్రువం
Folder,ఫోల్డర్
Footage,ఫుటేజ్
Footer,ఫుటరు
Forced oscillation,బలవంతపు డోలనం
Forced ventilation,బలవంతపు వెంటిలేషన్
Forced vibration,బలవంతపు వైబ్రేషన్
Forge,ఫోర్జ్
Format,ఫార్మాట్
Format shifting,ఫార్మాట్ షిఫ్టింగ్
Format tunes,ఫార్మాట్ ట్యూన్లు
Formatting,ఫార్మాటింగ్
Forward bias,ఫార్వర్డ్ బయాస్
Forward biased,ఫార్వర్డ్ బయాస్డ్
Forward current,ఫార్వర్డ్ కరెంట్
Forward direction,ఫార్వర్డ్ డైరెక్షన్
Forward resistance,ఫార్వర్డ్ రెసిస్టెన్స్
Fourier transform,ఫోరియర్ ట్రాన్స్ఫార్మ్
Fractal,ఫ్రాక్టల్
Fragmentation,ఫ్రాగ్మెంటేషన్
Frame,ఫ్రేమ్
Frame formatting,ఫ్రేమ్ ఫార్మాటింగ్
Frame synchroniser,ఫ్రేమ్ సింక్రోనిజర్
Framing,ఫ్రేమింగ్
