Odiya,Punjabi
ସମାପ୍ତ ତାରିଖ,ਮੁਕੰਮਲ ਹੋਣ ਦੀ ਮਿਤੀ
ମୃତ ଭାର,ਡੈੱਡ ਲੋਡ
ମୃତ ଜଳ |,ਮਰੇ ਹੋਏ ਪਾਣੀ
ଡେସିବେଲ୍ |,ਡੈਸੀਬਲ
ଡିଫ୍ଲୋକ୍କୁଲେସନ୍ |,Deflocculation
ବାୟୁମଣ୍ଡଳ କିମ୍ବା ବାୟୁ ସ୍ଥାନ ଅନୁପାତର ଡିଗ୍ରୀ |,ਹਵਾਬਾਜ਼ੀ ਜਾਂ ਏਅਰ ਸਪੇਸ ਅਨੁਪਾਤ ਦੀ ਡਿਗਰੀ
ଏକୀକରଣର ଡିଗ୍ରୀ |,ਏਕੀਕਰਣ ਦੀ ਡਿਗਰੀ
ବିଚ୍ଛେଦର ଡିଗ୍ରୀ |,ਫੈਲਾਅ ਦੀ ਡਿਗਰੀ
ପରିପୃଷ୍ଠାର ଡିଗ୍ରୀ |,ਸੰਤ੍ਰਿਪਤਾ ਦੀ ਡਿਗਰੀ
ଘନତା,ਘਣਤਾ
ମରୁଭୂମି ରାସ୍ତା,ਮਾਰੂਥਲ ਫੁੱਟਪਾਥ
ମରୁଭୂମି ମାଟି |,ਮਾਰੂਥਲ ਦੀ ਮਿੱਟੀ
ବିବରଣୀ,ਵੇਰਵੇ
ବିକାଶ ଅବଧି,ਵਿਕਾਸ ਦੀ ਮਿਆਦ
ଡି-ରାଶି,ਡੀ-ਹੋਰੀਜ਼ਨ
ତ୍ରିକୋଣୀୟ ବନ୍ଧନ |,ਵਿਕਰਣ ਬੰਧਨ
ଚିତ୍ର,ਚਿੱਤਰ
ଡିଜିଟାଲ୍ ଡକ୍ |,ਡਿਜੀਟਲ ਡੌਕ
ଭିନ୍ନ ଭିନ୍ନ ଜଳ ହାର |,ਵਿਭਿੰਨ ਪਾਣੀ ਦੀ ਦਰ
ଦିଲ୍ୟୁସନ୍ ଭେଣ୍ଟିଲେସନ୍ |,ਪਤਲਾ ਹਵਾਦਾਰੀ
ଦିଲୁଭିୟମ୍,ਡਾਇਲੁਵੀਅਮ
ଭୋଜନ ଗୃହ,ਭੋਜਨ ਕਕਸ਼
ଦିଗ ପେଗ୍ |,ਦਿਸ਼ਾ ਪੈਗ
ବିଚ୍ଛେଦ |,ਫੈਲਾਅ
ବିଭ୍ରାନ୍ତକାରୀ |,ਡਿਸਟੈਂਪਰ
ଡକ୍ |,ਡੌਕ
ଦ୍ୱାର,ਦਰਵਾਜ਼ਾ
ଛାତ୍ରାବାସ,ਡੋਰਮਰ
ଛାତ୍ରାବାସ ଯାଞ୍ଚ |,ਡੋਰਮਰ ਜਾਂਚ
ଡବଲ୍ ଫ୍ଲେମିଶ୍ ବଣ୍ଡ୍ |,ਡਬਲ ਫਲੇਮਿਸ਼ ਬਾਂਡ
ଡବଲ୍ ସ୍ତର |,ਡਬਲ ਪਰਤ
ଡୋଭେଲ୍ |,ਡੌਲ
ଚିତ୍ରାଙ୍କନ ବୋର୍ଡ |,ਡਰਾਇੰਗ ਬੋਰਡ
ଚିତ୍ରାଙ୍କନ କକ୍ଷ |,ਡਰਾਇੰਗ ਰੂਮ
ଡ୍ରାଇଫ୍,ਵਹਿਣਾ
ଶୁଖିଲା ବଲ୍ବ ତାପମାତ୍ରା |,ਸੁੱਕੇ ਬੱਲਬ ਦਾ ਤਾਪਮਾਨ
ଶୁଖିଲା ଡକ୍ |,ਸੁੱਕੀ ਡੌਕ
ଶୁଖିଲା ରବର ନିର୍ମାଣ,ਸੁੱਕੀ ਰਬੜ ਦੀ ਚਿਣਾਈ
ଡଚ୍ ବନ୍ଧନ |,ਡੱਚ ਬਾਂਡ
ବାଣ୍ଡ କାନ୍ଥ |,ਬੌਣੀ ਕੰਧ
ବାସସ୍ଥାନ ଏକକ,ਨਿਵਾਸ ਯੂਨਿਟ
ଇଭ୍,ਈਵ
ଗୁପ୍ତାଙ୍ଗ,ਈਵਸ ਗਟਰ
ଆର୍ଥିକ ସମ୍ଭାବ୍ୟତା |,ਆਰਥਿਕ ਵਿਵਹਾਰਕਤਾ
ଏକ୍ଟୋଡାଇନାମୋରଫିକ୍ ମାଟି |,ਐਕਟੋਡਾਇਨਾਮੋਰਫਿਕ ਮਿੱਟੀ
ଏଡି,ਐਡੀ
ପ୍ରଭାବଶାଳୀ ଆକାର |,ਪ੍ਰਭਾਵੀ ਆਕਾਰ
ଇଫ୍ଲୋରସେନ୍ସ |,ਪ੍ਰਫੁੱਲਤ
ପ୍ରଭାବଶାଳୀ |,ਪ੍ਰਵਾਹ
ଉଚ୍ଚତା,ਉਚਾਈ
ବହିଷ୍କାର,ਐਲੂਵੀਏਸ਼ਨ
ଇଲୁଭିୟମ୍ |,ਐਲੂਵਿਅਮ
ଏଣ୍ଡୋଡାଇନାମୋରଫିକ୍ ମାଟି |,ਐਂਡੋਡਾਇਨਾਮੋਰਫਿਕ ਮਿੱਟੀ
ଇଞ୍ଜିନିୟରିଂ ସମ୍ଭାବ୍ୟତା |,ਇੰਜੀਨੀਅਰਿੰਗ ਵਿਵਹਾਰਕਤਾ
ଇଂରାଜୀ ବନ୍ଧନ |,ਅੰਗਰੇਜ਼ੀ ਬਾਂਡ
ଇଂରାଜୀ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |,ਅੰਗਰੇਜ਼ੀ ਬਾਗ ਦੀ ਕੰਧ ਬਾਂਡ
"ଇପିଏମ୍ (ପ୍ରତି ମିଲିୟନ୍ ସହିତ ସମାନ), &quot;","EPM (ਪ੍ਰਤੀ ਮਿਲੀਅਨ ਦੇ ਬਰਾਬਰ),&quot;"
ସମାନ ଓଜନ,ਬਰਾਬਰ ਭਾਰ
Erg,ਅਰਗ
ଅଦଳବଦଳଯୋଗ୍ୟ |,ਵਟਾਂਦਰੇਯੋਗ
ଅଦଳବଦଳ ଅମ୍ଳତା |,ਬਦਲਣਯੋਗ ਐਸਿਡਿਟੀ
ଅଦଳବଦଳ ସୋଡିୟମ୍ ପ୍ରତିଶତ (ESP),ਬਦਲਣਯੋਗ ਸੋਡੀਅਮ ਪ੍ਰਤੀਸ਼ਤ (ESP)
E. S P.,ਈ.ਐੱਸ.ਪੀ.
ଅମ୍ଳତା ବିନିମୟ କରନ୍ତୁ |,ਐਕਸਚੇਂਜ ਐਸਿਡਿਟੀ
ଏକ୍ସଚେଞ୍ଜ୍ କମ୍ପ୍ଲେକ୍ସ |,ਐਕਸਚੇਂਜ ਕੰਪਲੈਕਸ
ନିଷ୍କାସନ,ਨਿਕਾਸ
ପ୍ରକାଶିତ ସମାପ୍ତ,ਪ੍ਰਗਟ ਮੁਕੰਮਲ
ଆଖି,ਆਈ
ଆଖି ବ୍ରୋ,ਅੱਖ ਦਾ ਭਾਂਡਾ
ସାମ୍ନା କରିବା |,ਸਾਹਮਣਾ ਕਰਨਾ
ବନ୍ଧନର ସମ୍ମୁଖୀନ |,ਬਾਂਡ ਦਾ ਸਾਹਮਣਾ ਕਰਨਾ
ନିରାପତ୍ତା କାରକ,ਸੁਰੱਖਿਆ ਦਾ ਕਾਰਕ
ପତନ,ਗਿਰਾਵਟ
ଫେସିଆ |,ਫੇਸੀਆ
ଫେସିଆ ବୋର୍ଡ |,ਫੇਸੀਆ ਬੋਰਡ
ତ୍ରୁଟି,ਨੁਕਸ
କ୍ଷେତ୍ର ଆର୍ଦ୍ରତା |,ਖੇਤ ਦੀ ਨਮੀ
ଅନ୍ତିମ ଆର୍ଦ୍ରତା ସମାନ |,ਅੰਤਮ ਨਮੀ ਦੇ ਬਰਾਬਰ
ଫିଲେଟ୍ (ମୋର୍ଟାର),ਫਿਲਟ (ਮੋਰਟਾਰ ਦਾ)
ଅନ୍ତିମ,ਫਾਈਨਲ
ଅନ୍ତିମ ମାପ |,ਅੰਤਮ ਮਾਪ
ଅନ୍ତିମ ଦେୟ,ਅੰਤਿਮ ਭੁਗਤਾਨq
ଅନ୍ତିମ ପୂର୍ବ ଚାପ |,ਅੰਤਮ ਪ੍ਰੀ ਤਣਾਅ
ଅନ୍ତିମ ଟେନସନ |,ਅੰਤਮ ਤਣਾਅ
ଆର୍ଥିକ ସମ୍ଭାବନା |,ਵਿੱਤੀ ਵਿਵਹਾਰਕਤਾ
ଭଲ ଏଗ୍ରିଗେଟ୍ |,ਵਧੀਆ ਕੁੱਲ
ଖଣ୍ଡ ଖଣ୍ଡ |,ਫਿਸਰਡ ਚੱਟਾਨ
ପତାକା ପଥର |,ਝੰਡਾ ਪੱਥਰ
ଫ୍ଲେମିସ୍ ବନ୍ଧନ |,ਫਲੇਮਿਸ਼ ਬਾਂਡ
ଫ୍ଲାସ୍,ਫਲੈਸ਼ਿੰਗ
ଚମତ୍କାର ଷ୍ଟ୍ରିମ୍ |,ਚਮਕਦਾਰ ਸਟ੍ਰੀਮ
ଫ୍ଲାଟ ଛାତ |,ਫਲੈਟ ਛੱਤ
ଫ୍ଲେଚେ,ਫਲੇਚੇ
ଫ୍ଲେମିସ୍ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |,ਫਲੇਮਿਸ਼ ਗਾਰਡਨ ਵਾਲ ਬਾਂਡ
ଫ୍ଲିଣ୍ଟ |,Flint
ଫ୍ଲିଣ୍ଟ କାନ୍ଥ |,Flint ਕੰਧ
ଭାସମାନ ଚଟାଣ |,ਫਲੋਟਿੰਗ ਮੰਜ਼ਿਲ
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ |,ਫਲੋਕੂਲੇਸ਼ਨ
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ସୀମା |,ਫਲੋਕੂਲੇਸ਼ਨ ਸੀਮਾ
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ଅନୁପାତ |,ਫਲੋਕੂਲੇਸ਼ਨ ਅਨੁਪਾਤ
ଫ୍ଲୋକ୍ୟୁଲ୍ସ |,ਫਲੋਕੂਲਸ
ଚଟାଣ,ਮੰਜ਼ਿਲ
ଚଟାଣ ସିଲ୍ |,ਮੰਜ਼ਿਲ ਸੀਲ
ପ୍ରବାହ,ਪ੍ਰਵਾਹ
ଅସ୍ଥିରତା |,ਉਤਰਾਅ-ਚੜ੍ਹਾਅ
ଫୁଟିଂ,ਫੁੱਟਿੰਗ
ଫାଉଣ୍ଡେସନ୍,ਬੁਨਿਆਦ
ମାଗଣା ପତନ ବାରୋ ଟପିଙ୍ଗ୍ ମିକ୍ସର୍ |,ਫਰੀ ਫਾਲ ਬੈਰੋ ਟਾਪਿੰਗ ਮਿਕਸਰ
ମାଗଣା ପତନ ମିକ୍ସର୍ (ଡ୍ରମ୍ ପ୍ରକାର),ਫਰੀ ਫਾਲ ਮਿਕਸਰ (ਡਰੱਮ ਦੀ ਕਿਸਮ)
ମାଗଣା ପଥର |,ਮੁਫ਼ਤ ਪੱਥਰ
ଫ୍ରେଶେଟ୍ |,ਫਰੈੱਸਟ
ଘର୍ଷଣ ଗଦା |,ਰਗੜ ਢੇਰ
ବେଙ୍ଗ,ਡੱਡੂ
ଗେବୁଲ୍ |,ਗੇਬਲ
ଗାବଲେଟ୍ |,ਗੈਬਲੇਟ
ଗାମ୍ବ୍ରେଲ୍ ଛାତ |,Gambrel ਛੱਤ
ଗେଜ୍,ਗੇਜ
ଗଗିଂ ବିଭାଗ |,ਗੇਜਿੰਗ ਸੈਕਸ਼ਨ
ଗଗିଂ ଷ୍ଟେସନ୍ |,ਗੇਜਿੰਗ ਸਟੇਸ਼ਨ
ସାଧାରଣ ଅବସ୍ଥାନ ଯୋଜନା |,ਆਮ ਟਿਕਾਣਾ ਯੋਜਨਾ
ସାଧାରଣ ଭେଣ୍ଟିଲେସନ୍ |,ਆਮ ਹਵਾਦਾਰੀ
ଜି ରାଶି କିମ୍ବା ଗଲି ରାଶି |,G ਹੋਰੀਜ਼ਨ ਜਾਂ ਗਲੇ ਹੋਰੀਜ਼ਨ
ଗ୍ଲାସିଆଲ୍ ପର୍ଯ୍ୟନ୍ତ,ਤੱਕ ਗਲੇਸ਼ੀਅਲ
ଗ୍ନିସ୍ |,ਗਨੀਸ
ଦ୍ରବ୍ୟ ପ୍ରାଙ୍ଗଣ,ਮਾਲ ਵਿਹੜਾ
ଗ୍ରେଡିଏଣ୍ଟ୍ ପ୍ରତିରୋଧ |,ਗਰੇਡੀਐਂਟ ਪ੍ਰਤੀਰੋਧ
ଗ୍ରାନାଇଟ୍ |,ਗ੍ਰੇਨਾਈਟ
ଗ୍ରାନୁଲାର୍ ଗଠନ |,ਦਾਣੇਦਾਰ ਬਣਤਰ
ଗ୍ରାନୁଲେସନ୍ |,ਗ੍ਰੇਨੂਲੇਸ਼ਨ
ଗ୍ରାନୁଲ୍ |,ਗ੍ਰੈਨਿਊਲ
ମାଧ୍ୟାକର୍ଷଣ ଜଳ ମୁକ୍ତ ଜଳ |,ਗ੍ਰੈਵੀਟੇਸ਼ਨਲ ਪਾਣੀ ਮੁਕਤ ਪਾਣੀ
ମାଧ୍ୟାକର୍ଷଣ ପ୍ରାଙ୍ଗଣ |,ਗ੍ਰੈਵੀਟੇਸ਼ਨਲ ਯਾਰਡ
ମହାନ ମାଟି ଗୋଷ୍ଠୀ |,ਮਹਾਨ ਮਿੱਟੀ ਸਮੂਹ
ଗ୍ରିଲେଜ୍ ଫାଉଣ୍ଡେସନ୍ |,ਗ੍ਰਿਲੇਜ ਬੁਨਿਆਦ
ଗ୍ରାଉଣ୍ଡ ହ୍ୟାଣ୍ଡ ମୋଲିଡିଂ |,ਜ਼ਮੀਨੀ ਹੱਥ ਮੋਲਡਿੰਗ
ଗ୍ରୁପ୍ ଡକ୍ |,ਸਮੂਹਬੱਧ ਡੌਕ
ଗୋଷ୍ଠୀ ଗୃହ,ਗਰੁੱਪ ਹਾਊਸਿੰਗ
ଅତିଥି ଗୃହ,ਮਹਿਮਾਨ ਕਮਰਾ
ଗୁଟର୍ |,ਗਟਰ
ଗୁଟର ଧାରକ |,ਗਟਰ ਚੁੱਕਣ ਵਾਲਾ
ଗୁଟର ଯାଞ୍ଚ |,ਗਟਰ ਚੈੱਕ
ହାମର ଡ୍ରେସିଂ |,ਹੈਮਰ ਡਰੈਸਿੰਗ
ହାରବର୍,ਬੰਦਰਗਾਹ
ଆଶ୍ରୟସ୍ଥଳ,ਪਨਾਹ ਦੀ ਬੰਦਰਗਾਹ
ହାର୍ଡ ପ୍ୟାନ |,ਹਾਰਡ ਪੈਨ
ହେଡର୍,ਸਿਰਲੇਖ
ହେଡର୍ ବଣ୍ଡ୍ |,ਹੈਡਰ ਬਾਂਡ
ହେଡର୍ ପାଠ୍ୟକ୍ରମ,ਹੈਡਰ ਕੋਰਸ
ହେଡ୍ ଗେଟ୍ ଗଠନ |,ਮੁੱਖ ਗੇਟ ਬਣਤਰ
କେନାଲର ମୁଖ୍ୟ |,ਨਹਿਰ ਦਾ ਮੁਖੀ
ମୁଖ୍ୟ ନିୟନ୍ତ୍ରକ |,ਹੈੱਡ ਰੈਗੂਲੇਟਰ
ହେରିଙ୍ଗ ହାଡ ବନ୍ଧନ |,ਹੈਰਿੰਗ ਹੱਡੀ ਬੰਧਨ
ହୃଦୟ,ਦਿਲਦਾਰ
ଓଦା ଗରମ |,ਗਿੱਲਾ ਕਰਨ ਦੀ ਗਰਮੀ
ଉଚ୍ଚ ଆଲୁମିନା ସିମେଣ୍ଟ |,ਉੱਚ ਐਲੂਮਿਨਾ ਸੀਮਿੰਟ
ହିପ୍,ਕਮਰ
ହିପ୍ କ୍ୟାପିଙ୍ଗ୍ |,ਹਿੱਪ ਕੈਪਿੰਗ
ହିପ୍ ଶେଷ,ਛੁਪੇ ਸਿਰੇ
ହୁଡ୍ |,ਹੁੱਡ
ହୁଡ୍ ମୋଲିଡିଂ |,ਹੁੱਡ ਮੋਲਡਿੰਗ
ହୁକର ନିୟମ |,ਹੁੱਕ ਦਾ ਕਾਨੂੰਨ
ଲୁହା ହୁପ୍ |,ਹੂਪ ਲੋਹਾ
ରାଶି,ਹੋਰੀਜ਼ਨ
ଆର୍ଦ୍ରତା,ਨਮੀ
"ଆର୍ଦ୍ରତା, ସଂପୂର୍ଣ୍ଣ |","ਨਮੀ, ਪੂਰਨ"
"ଆର୍ଦ୍ରତା, ଆପେକ୍ଷିକ |","ਨਮੀ, ਰਿਸ਼ਤੇਦਾਰ"
ହମ୍ପ୍ ୟାର୍ଡ |,ਹੰਪ ਵਿਹੜਾ
ହାଇଡ୍ରୋଲିକ୍ ଚାପ |,ਹਾਈਡ੍ਰੌਲਿਕ ਦਬਾਅ
ହାଇଡ୍ରେସନ୍ |,ਹਾਈਡ੍ਰੇਸ਼ਨ
ହାଇଡ୍ରୋଲାଇସିସ୍ |,ਹਾਈਡ੍ਰੌਲਿਸਿਸ
ହାଇଡ୍ରୋଲାଇଟିକ୍ ଅମ୍ଳତା |,ਹਾਈਡਰੋਲਾਈਟਿਕ ਐਸਿਡਿਟੀ
ହାଇଡ୍ରୋମୋର୍ଫିକ୍ ମାଟି |,ਹਾਈਡ੍ਰੋਮੋਰਫਿਕ ਮਿੱਟੀ
ହାଇଡ୍ରୋଫିଲିକ୍ କୋଲଏଡ୍ |,ਹਾਈਡ੍ਰੋਫਿਲਿਕ ਕੋਲਾਇਡ
ହାଇଡ୍ରୋଫୋବିକ୍ କୋଲଏଡ୍ |,ਹਾਈਡ੍ਰੋਫੋਬਿਕ ਕੋਲਾਇਡ
ହାଇଡ୍ରୋଷ୍ଟାଟିକ୍ ଚାପ ଅନୁପାତ |,ਹਾਈਡ੍ਰੋਸਟੈਟਿਕ ਦਬਾਅ ਅਨੁਪਾਤ
ହାଇଗ୍ରୋସ୍କାପ୍ଟିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,ਹਾਈਗਰੋਸਕੈਪਟਿਕ ਗੁਣਾਂਕ
ହାଇଗ୍ରୋସ୍କୋପିକ୍ ଆର୍ଦ୍ରତା |,ਹਾਈਗ੍ਰੋਸਕੋਪਿਕ ਨਮੀ
ହାଇଡ୍ରୋସ୍କୋପିକ୍ଟି |,ਹਾਈਡ੍ਰੋਸਕੋਪੀਸੀਟੀ
ହାଇଗ୍ରୋସ୍କୋପିକ୍ ଆର୍ଦ୍ରତା |,ਹਾਈਗ੍ਰੋਸਕੋਪਿਕ ਨਮੀ
ହାଇପରବାରିକ୍ ଚାମ୍ବର |,ਹਾਈਪਰਬਰਿਕ ਚੈਂਬਰ
ହାଇପରଷ୍ଟାଟିକ୍ ଫ୍ରେମ୍ |,ਹਾਈਪਰਸਟੈਟਿਕ ਫਰੇਮ
ହାଇପୋସୋମିଟର |,ਹਾਈਪਸੋਮੀਟਰ
ଆଲୋକ,ਪ੍ਰਕਾਸ਼
ଇମ୍ବିବେସନ୍ ଆର୍ଦ୍ରତା |,ਇਮਬਿਬੇਸ਼ਨ ਨਮੀ
ଅପରିପକ୍ୱ ମାଟି |,ਅਸ਼ੁੱਧ ਮਿੱਟੀ
ପ୍ରଭାବିତ ଡକ୍ |,ਜਬਤ ਡੌਕ
ଜମି ରାଜସ୍ୱ ବୃଦ୍ଧି,ਜ਼ਮੀਨੀ ਮਾਲੀਏ ਵਿੱਚ ਵਾਧਾ
ସ୍ Independ ାଧୀନ ସ୍କାଫୋଲ୍ଡ |,ਸੁਤੰਤਰ ਪਾੜ
ପ୍ରେରିତ |,ਇੰਡਿਊਰੇਟਿਡ
ପ୍ରାରମ୍ଭିକ ସମ୍ମାନ,ਸ਼ੁਰੂਆਤੀ ਪ੍ਰੀਸਟਰੈਸ
ପ୍ରାରମ୍ଭିକ ଟେନସନ |,ਸ਼ੁਰੂਆਤੀ ਤਣਾਅ
ଆଭ୍ୟନ୍ତରୀଣ ଜଳପଥ ବନ୍ଦର |,ਅੰਦਰੂਨੀ ਜਲ ਮਾਰਗ ਬੰਦਰਗਾਹ
ଇନସୁଲେଟିଂ ବୋର୍ଡ |,ਇੰਸੂਲੇਟਿੰਗ ਬੋਰਡ
ମଧ୍ୟବର୍ତ୍ତୀ ବନ୍ଦର |,ਵਿਚਕਾਰਲਾ ਪੋਰਟ
ଆଭ୍ୟନ୍ତରୀଣ ଘର୍ଷଣ |,ਅੰਦਰੂਨੀ ਰਗੜ
ଇଣ୍ଟ୍ରାଜୋନାଲ ମାଟି |,ਇੰਟਰਾਜ਼ੋਨਲ ਮਿੱਟੀ
ଆଇନ୍,ਆਇਨ
ଆଇନ୍ ବିନିମୟ |,ਆਇਨ ਐਕਸਚੇਂਜ
ଲୁହା ପ୍ୟାନ |,ਲੋਹੇ ਦਾ ਪੈਨ
ଜଳସେଚିତ ଜମି |,ਸਿੰਜਾਈ ਵਾਲੀ ਜ਼ਮੀਨ
ଜଳସେଚନ,ਸਿੰਚਾਈ
ଜଳସେଚନ ବନ୍ଦ,ਸਿੰਚਾਈ ਸੈੱਸ
ଜାମ୍,ਜਾਮ
ଜୋଗଲ୍ |,ਜੌਗਲ
ଜୋଗଲ୍ ପିନ୍ |,ਜੌਗਲ ਪਿੰਨ
ଜୁଲେ |,ਜੂਲ
ଜମ୍ପର୍ |,ਜੰਪਰ
କିଲୋଗ୍ରାମ |,ਕਿਲੋਗ੍ਰਾਮ
କିଲୋଗ୍ରାମ ଫୋର୍ସ |,ਕਿਲੋਗ੍ਰਾਮ ਬਲ
କିଲୋଗ୍ରାମ ଫୋର୍ସ ମିଟର |,ਕਿਲੋਗ੍ਰਾਮ ਫੋਰਸ ਮੀਟਰ
କିଲୋୱାଟ ଘଣ୍ଟା |,ਕਿਲੋਵਾਟ ਘੰਟਾ
ରାଜା ବନ୍ଦ,ਰਾਜਾ ਬੰਦ
ରୋଷେଇ ଘର |,ਰਸੋਈ
ସ୍ତମ୍ଭ,ਲੇਸਡ ਕਾਲਮ
ଲଗିଂ,ਪਛੜ ਰਿਹਾ ਹੈ
ଲାମେଲା ମୂଳ |,ਲਮੇਲਾ ਜੜ੍ਹ
ଲାମିନାର୍ ପ୍ରବାହ |,ਲੈਮਿਨਰ ਵਹਾਅ
ଦୀପ ଗର୍ତ୍ତ |,ਲੈਂਪ ਮੋਰੀ
ଜମି ଅଧିଗ୍ରହଣ,ਜ਼ਮੀਨ ਦਾ ਵਾਧਾ
ଭୂମି ସ୍ଲାଇଡିଂ |,ਲੈਂਡ ਸਲਾਈਡਿੰਗ
ଲାଟେରାଇଟ୍ |,ਲੈਟਰਾਈਟ
ଲାଟେରାଇଟ୍ ମାଟି |,ਲੈਟਰਾਈਟ ਮਿੱਟੀ
ବହୁ ସଂଖ୍ୟକ ନିୟମ |,ਵੱਡੀ ਗਿਣਤੀ ਦਾ ਕਾਨੂੰਨ
ଲେଆଉଟ୍ ଯୋଜନା |,ਖਾਕਾ ਯੋਜਨਾ
ଲେଜର,ਲੇਜ਼ਰ
ଚୂନ ପ୍ୟାନ |,ਚੂਨਾ ਪੈਨ
ଲିନଟେଲ୍ |,ਲਿੰਟਲ
ତରଳ ସୀମା |,ਤਰਲ ਸੀਮਾ
ଲାଇଭ୍ ଲୋଡ୍ |,ਲਾਈਵ ਲੋਡ
ଲୋମ୍ |,ਲੋਮ
ସ୍ଥାନୀୟ ନିଷ୍କାସନ ଭେଣ୍ଟିଲେସନ୍ |,ਸਥਾਨਕ ਨਿਕਾਸ ਹਵਾਦਾਰੀ
ଲୋକୋ ଅଗଣା |,ਲੋਕੋ ਵਿਹੜਾ
ଲୋସ୍ |,ਲੋਸ
ନିମ୍ନ ପ୍ଲାଷ୍ଟିକ୍ ସୀମା |,ਘੱਟ ਪਲਾਸਟਿਕ ਸੀਮਾ
କମ୍ ଉତ୍ତାପ ସିମେଣ୍ଟ |,ਘੱਟ ਗਰਮੀ ਸੀਮਿੰਟ
ମେସିନ୍ ମୋଲିଡିଂ |,ਮਸ਼ੀਨ ਮੋਲਡਿੰਗ
ମାକ୍ରୋଷ୍ଟ୍ରକଚର |,ਮੈਕਰੋਸਟ੍ਰਕਚਰ
ମୁଖ୍ୟ ମୁଖ୍ୟ ନିୟନ୍ତ୍ରକ |,ਮੁੱਖ ਹੈੱਡ ਰੈਗੂਲੇਟਰ
ମୁଖ୍ୟ ବନ୍ଦର,ਮੁੱਖ ਪੋਰਟ
ମେକ୍ଅପ୍ ବାୟୁ |,ਮੇਕਅਪ ਏਅਰ
ମାନସାର୍ଡ |,ਮਾਨਸਾਰਡ
ମାର୍ଶାଘାଇ ଅଗଣା |,ਮਾਰਸ਼ਲਿੰਗ ਯਾਰਡ
ମାନସ,ਚਿਣਾਈ
ପରିପକ୍ୱ ତାପମାତ୍ରା |,ਪਰਿਪੱਕ ਤਾਪਮਾਨ
ମେଜଜାନାଇନ୍ ଚଟାଣ |,ਮੇਜ਼ਾਨਾਈਨ ਮੰਜ਼ਿਲ
ଯାନ୍ତ୍ରିକ ବିଶ୍ଳେଷଣ |,ਮਕੈਨੀਕਲ ਵਿਸ਼ਲੇਸ਼ਣ
ଯାନ୍ତ୍ରିକ ଭେଣ୍ଟିଲେସନ୍ |,ਮਕੈਨੀਕਲ ਹਵਾਦਾਰੀ
ମେଟ୍ରିକ୍ ସିଷ୍ଟମ୍ |,ਮੈਟ੍ਰਿਕ ਸਿਸਟਮ
ମାଇକ୍ରୋସ୍ଟ୍ରଷ୍ଟ୍ରକଚର |,ਮਾਈਕਰੋਸਟ੍ਰਕਚਰ
ମିଲି ସମାନ |,ਮਿਲਿ ਬਰਾਬਰ
ଲିଟର ପିଛା ମିଲି ସମାନ |,ਮਿਲੀ ਬਰਾਬਰ ਪ੍ਰਤੀ ਲੀਟਰ
ମିନେରାଲ୍ |,ਖਣਿਜ
ଖଣିଜ ମାଟି |,ਖਣਿਜ ਮਿੱਟੀ
ଛୋଟ ବନ୍ଦର,ਮਾਮੂਲੀ ਪੋਰਟ
ମିତ୍ରେଡ୍ ବନ୍ଦ |,Mitred ਬੰਦ
ମୋବାଇଲ୍ ମାଟି କୋଲଏଡ୍ |,ਮੋਬਾਈਲ ਮਿੱਟੀ ਕੋਲਾਇਡ
ଆର୍ଦ୍ରତା ବିଷୟବସ୍ତୁ |,ਨਮੀ ਸਮੱਗਰੀ
ଆର୍ଦ୍ରତା ଗ୍ରେଡିଏଣ୍ଟ୍ |,ਨਮੀ ਗਰੇਡੀਐਂਟ
ମୋନୋଲିଥ୍ |,ਮੋਨੋਲਿਥ
ମୋନୋରାଇଲ୍ |,ਮੋਨੋਰੇਲ
ଜାତୀୟ ବନ୍ଦର ପରିଷଦ |,ਨੈਸ਼ਨਲ ਹਾਰਬਰ ਕੌਂਸਲ
ପ୍ରାକୃତିକ ଶଯ୍ୟା |,ਕੁਦਰਤੀ ਬਿਸਤਰਾ
ପ୍ରାକୃତିକ ସମାପ୍ତି |,ਕੁਦਰਤੀ ਮੁਕੰਮਲ
ପ୍ରାକୃତିକ ବନ୍ଦର,ਕੁਦਰਤੀ ਬੰਦਰਗਾਹ
ପ୍ରାକୃତିକ ଭେଣ୍ଟିଲେସନ୍ |,ਕੁਦਰਤੀ ਹਵਾਦਾਰੀ
ନାଭାଲ୍ ବନ୍ଦର,ਨੇਵਲ ਬੰਦਰਗਾਹ
ନ୍ୟୁଟନ୍ |,ਨਿਊਟਨ
ଅଣ ୟୁନିଫର୍ମ ପ୍ରବାହ |,ਗੈਰ ਇਕਸਾਰ ਵਹਾਅ
ଜଳ ହାର ଦଖଲ କରେ |,ਪਾਣੀ ਦੀ ਦਰ &#39;ਤੇ ਕਬਜ਼ਾ ਕਰਦਾ ਹੈ
ତେଲ ରଙ୍ଗ |,ਤੇਲ ਰੰਗਤ
ତେଲ କୂଅ ସିମେଣ୍ଟ |,ਤੇਲ ਖੂਹ ਸੀਮਿੰਟ
