Assamese,Bengali
ৰৈখিকতাৰ অৱস্থা,সমসাময়িকতার শর্ত
সামঞ্জস্যৰ অৱস্থা,ধারাবাহিকতার শর্ত
সংহতিযোগ্যতাৰ অৱস্থা,অখণ্ডতার শর্ত
স্পৰ্শকাতৰ অৱস্থা,স্পর্শক অবস্থা
শঙ্কু,শঙ্কু
আত্মবিশ্বাসৰ ব্যৱধান,আস্থা ব্যবধান
আস্থাৰ ব্যৱধানৰ অনুমান,আত্মবিশ্বাসের ব্যবধান অনুমান
আত্মবিশ্বাসৰ সীমা,আত্মবিশ্বাসের সীমা
আত্মবিশ্বাস অঞ্চল,আত্মবিশ্বাস অঞ্চল
সংঘাতৰ পৰিস্থিতি,সংঘর্ষ পরিস্থিতি
কনফ&#39;কেল কনিক্স,confocal conics
কনফ&#39;কেল উপবৃত্তাকাৰ,কনফোকাল উপবৃত্ত
কনফ&#39;কেল জ্যামিতি,কনফোকাল জ্যামিতি
কনফ&#39;কেল হাইপাৰব&#39;লা,কনফোকাল হাইপারবোলা
কনফ&#39;কেল হাইপাৰব&#39;ল&#39;ইড,কনফোকাল হাইপারবোলয়েড
কনফ&#39;কেল পেৰাব&#39;লা,কনফোকাল প্যারাবোলা
কনফ&#39;কেল পেৰাব&#39;ল&#39;ইডাল কৰ্ডিনেট,কনফোকাল প্যারাবোলয়েডাল স্থানাঙ্ক
কনফৰ্মেল,আনুষ্ঠানিক
কনফৰ্মেল মেপিং,কনফরমাল ম্যাপিং
সমন্বয়,সঙ্গতি
বৃত্তৰ সমন্বয়,বৃত্তের মিলন
সমন্বিত,সঙ্গতিপূর্ণ
সমন্বিত মেট্ৰিক্স,সঙ্গতিপূর্ণ ম্যাট্রিক্স
কনিক,কনিক
শংকু আকৃতিৰ ফ্ৰষ্টাম,conical frustum
শংকু আকৃতিৰ হেলিক্স,শঙ্কুযুক্ত হেলিক্স
শংকু আকৃতিৰ অংশ,শঙ্কুযুক্ত বিভাগ
কনিক্স,কনিক্স
শংকুযুক্ত অংশ,কনিক বিভাগ
সংযুক্ত,কনজুগেট
সংযুক্ত কোণ,সংযোজিত কোণ
সংযুক্ত অক্ষ,সংযোজিত অক্ষ
সংযুক্ত জটিল সংখ্যা,সংযুক্ত জটিল সংখ্যা
সংযোজিত দিশ,সংযোজিত দিকনির্দেশ
সংযুক্ত ফলন,কনজুগেট ফাংশন
মেট্ৰিক্সৰ সংযুক্ত,ম্যাট্রিক্সের সংযোজন
কনজুগেট পাৰ্মিউটেচন,কনজুগেট পারমুটেশন
কনজুগেট ট্ৰেন্সপ&#39;জ,সংযোজিত স্থানান্তর
conjuction,সংযোজন
একেৰাহে,ক্রমাগত
একেৰাহে সংখ্যা,ধারাবাহিক সংখ্যা
শক্তিৰ সংৰক্ষণ,শক্তির নিত্যতা
ভৰ সংৰক্ষণ,জনগনের আলাপ
ৰক্ষণশীল,রক্ষণশীল
স্থিৰতা,ধারাবাহিকতা
স্থায়িত্বৰ অৱস্থা,সামঞ্জস্য অবস্থা
সামঞ্জস্যপূৰ্ণ অনুমান,সামঞ্জস্যপূর্ণ অনুমান
সামঞ্জস্যপূৰ্ণ অনুমানক,সামঞ্জস্যপূর্ণ অনুমানকারী
সামঞ্জস্যপূৰ্ণ পৰিসংখ্যা,সামঞ্জস্যপূর্ণ পরিসংখ্যান
সামঞ্জস্যপূৰ্ণ ব্যৱস্থা,সামঞ্জস্যপূর্ণ সিস্টেম
কনছল,কনসোল
নেৰানেপেৰা,ধ্রুবক
স্থিৰ ত্বৰণ,ধ্রুবক ত্বরণ
ধ্ৰুৱক ফলন,ধ্রুবক ফাংশন
মাধ্যাকৰ্ষণৰ ধ্ৰুৱক,মহাকর্ষের ধ্রুবক
সংহতিৰ ধ্ৰুৱক,একীকরণের ধ্রুবক
সমানুপাতিকতাৰ ধ্ৰুৱক,সমানুপাতিকতার ধ্রুবক
ধ্ৰুৱক প্ৰাচল,ধ্রুবক পরামিতি
ধ্ৰুৱক বহুপদ,ধ্রুব বহুপদী
ধ্ৰুৱক অনুপাত,ধ্রুবক অনুপাত
স্থিৰ গতি,ধ্রুব গতি
ধ্ৰুৱক পদ,ধ্রুব মেয়াদ
ধ্ৰুৱক বেগ,ধ্রুব বেগ
গঠনমূলক সমীকৰণ,গঠনমূলক সমীকরণ
বাধা,বাধা
construct,নির্মাণ
নিৰ্মাণ,নির্মাণ
গ্ৰাহকৰ পছন্দ,ভোক্তা পছন্দ
খৰচ কাৰ্য্য,খরচ ফাংশন
সংস্পৰ্শ কোণ,যোগাযোগ কোণ
যোগাযোগ বিন্দু,যোগাযোগ বিন্দু
contained in,মধ্যে
আকস্মিকতা টেবুল,অনিশ্চিত টেবিল
কন্টিনিউম মেকানিক্স,ধারাবাহিক মেকানিক্স
অব্যাহত ভগ্নাংশ,অবিরত ভগ্নাংশ
অব্যাহত থকা পণ্য,অবিরত পণ্য
ধাৰাবাহিকতা,ধারাবাহিকতা
কাৰ্য্যৰ ধাৰাবাহিকতা,ফাংশনের ধারাবাহিকতা
ধাৰাবাহিকতা পৰীক্ষা,ধারাবাহিকতা পরীক্ষা
অবিৰত,একটানা
অবিৰত ব্যুৎপত্তি,ক্রমাগত ডেরিভেটিভ
অবিৰত বিতৰণ,ক্রমাগত বিতরণ
ওপৰৰ পৰা অবিৰত,উপর থেকে একটানা
অবিৰত কাৰ্য্য,ক্রমাগত ফাংশন
অবিৰতভাৱে পাৰ্থক্যযোগ্য,ক্রমাগত পার্থক্যযোগ্য
অবিৰত মানচিত্ৰ,ক্রমাগত মানচিত্র
অবিৰত মেপিং,ক্রমাগত ম্যাপিং
অবিৰত সম্ভাৱনা ঘনত্ব ফলন,ক্রমাগত সম্ভাব্যতা ঘনত্ব ফাংশন
অবিৰত সম্ভাৱনা বিতৰণ,ক্রমাগত সম্ভাব্যতা বন্টন
অবিৰত যাদৃচ্ছিক চলক,ক্রমাগত এলোমেলো পরিবর্তনশীল
অবিৰত নমুনা স্থান,ক্রমাগত নমুনা স্থান
অবিৰত চলক,ক্রমাগত পরিবর্তনশীল
অবিৰত তৰংগ,একটানা তরঙ্গ
ধাৰাবাহিকতা,ধারাবাহিকতা
ধাৰাবাহিকতা অনুমান (= ধাৰাবাহিক স্বতন্ত্ৰতা),ধারাবাহিক অনুমান (= ধারাবাহিক স্বতঃসিদ্ধ)
বাস্তৱ সংখ্যাৰ ধাৰাবাহিকতা (= বাস্তৱ সংখ্যাৰ গোট),বাস্তব সংখ্যার ধারাবাহিকতা (= বাস্তব সংখ্যার সেট)
ধাৰাবাহিকতা তত্ত্ব,ধারাবাহিক তত্ত্ব
কনট্যুৰ সংহতি,কনট্যুর ইন্টিগ্রেশন
সংকোচন মেপিং,সংকোচন ম্যাপিং
বৈপৰীত্য,দ্বন্দ্ব
বিপৰীতমুখী,বিপরীত
নিয়ন্ত্ৰণ,নিয়ন্ত্রণ
নিয়ন্ত্ৰণ লেখচিত্ৰ,নিয়ন্ত্রণ চার্ট
গড়ৰ বাবে নিয়ন্ত্ৰণ চাৰ্ট,গড় জন্য নিয়ন্ত্রণ চার্ট
দোষৰ বাবে নিয়ন্ত্ৰণ চাৰ্ট,ত্রুটির জন্য নিয়ন্ত্রণ চার্ট
পৰিসীমাৰ বাবে নিয়ন্ত্ৰণ লেখচিত্ৰ,রেঞ্জের জন্য নিয়ন্ত্রণ চার্ট
চলকৰ বাবে নিয়ন্ত্ৰণ লেখচিত্ৰ,ভেরিয়েবলের জন্য নিয়ন্ত্রণ চার্ট
converge,একত্রিত
গড়ত অভিসৰণ,মানে অভিসারন
গড় বৰ্গত অভিসৰণ,গড় বর্গক্ষেত্রে অভিসরণ
সম্ভাৱনাত অভিসৰণ,সম্ভাবনার মধ্যে অভিসারন
অভিসৰণ সীমা,অভিসার সীমা
অভিসৰণ ব্যাসাৰ্ধ,অভিসার ব্যাসার্ধ
অভিসৰণ অঞ্চল,অভিসারী অঞ্চল
অভিসৰণকাৰী,অভিসারী
অভিসৰণকাৰী ক্ৰম,অভিসারী ক্রম
অভিসৰণকাৰী শৃংখলা,অভিসারী সিরিজ
converse,কথোপকথন
ইয়াৰ বিপৰীতে,বিপরীতভাবে
ৰূপান্তৰ ভগ্নাংশ,রূপান্তর ভগ্নাংশ
ৰূপান্তৰ টেবুল,রূপান্তর টেবিল
উত্তল,উত্তল
উত্তল শৰীৰ,উত্তল শরীর
উত্তল সংমিশ্ৰণ,উত্তল সংমিশ্রণ
উত্তল আৱৰণ (=উত্তল ঢাল),উত্তল আবরণ (=উত্তল হুল)
উত্তল ফলন,উত্তল ফাংশন
উত্তল ৰৈখিক সংমিশ্ৰণ,উত্তল রৈখিক সমন্বয়
উত্তল ৰৈখিক প্ৰগ্ৰেমিং,উত্তল রৈখিক প্রোগ্রামিং
উত্তল মেট্ৰিক স্থান,উত্তল মেট্রিক স্থান
উত্তল বহুভুজ,উত্তল পলিহেড্রন
উত্তল প্ৰগ্ৰেমিং,উত্তল প্রোগ্রামিং
উত্তল অঞ্চল,উত্তল অঞ্চল
উত্তল গোট,উত্তল সেট
কনভল্যুচন,আবর্তন
কনভল্যুচন integral,অবিচ্ছেদ্য convolution
কনভল্যুচন উপপাদ্য (= faltung উপপাদ্য),আবর্তন উপপাদ্য (= ফাল্টুং উপপাদ্য)
স্থানাংক,সমন্বয়
স্থানাংক অক্ষ,সমন্বয় অক্ষ
স্থানাংক জ্যামিতি,স্থানাঙ্ক জ্যামিতি
স্থানাংক সমতল,সমতল তুল্য
স্থানাংক,স্থানাঙ্ক
স্থানাংক ব্যৱস্থা,তুল্য সিস্টেম
কপাৰনিকান ব্যৱস্থা,কোপারনিকান সিস্টেম
কোপ্লেনাৰ,কপ্ল্যানার
কোপ্লেনাৰ বল,সমতলীয় বাহিনী
সহযোগীতা,সমপ্ল্যানারিটি
ক&#39;প্ৰাইম সংখ্যা,কপ্রাইম সংখ্যা
সংশোধন কাৰক,সংশোধনের ব্যাপার
শুদ্ধ সমাধান,সঠিক সমাধান
সম্পৰ্ক,পারস্পরিক সম্পর্ক
সম্পৰ্ক সহগ,পারস্পরিক সম্পর্ক সহগ
সম্পৰ্কীয় ডায়েগ্ৰাম,পারস্পরিক সম্পর্ক চিত্র
সম্পৰ্কীয় ফলন,পারস্পরিক সম্পর্ক ফাংশন
সম্পৰ্কীয় মেট্ৰিক্স,পারস্পরিক সম্পর্ক ম্যাট্রিক্স
সম্পৰ্কীয় অনুপাত,পারস্পরিক সম্পর্ক অনুপাত
ক&#39;ৰেলোগ্ৰাম,কোরিলোগ্রাম
ক&#39;ৰেলোগ্ৰাম বিশ্লেষণ,কোরিলোগ্রাম বিশ্লেষণ
অনুৰূপ,অনুরূপ
চিঠিপত্ৰ নীতি,চিঠিপত্র নীতি
সংশ্লিষ্ট কোণ,সংশ্লিষ্ট কোণ
সংশ্লিষ্ট পক্ষ,সংশ্লিষ্ট পক্ষ
coset,coset
কোচাইন,কোসাইন
কোচাইন নিয়ম,কোসাইন আইন
খৰচ বিশ্লেষণ,খরচ বিশ্লেষণ
খৰচ সৰ্বাধিক কৰা,খরচ সর্বোচ্চকরণ
গণনাযোগ্যতা স্বতন্ত্ৰতা,গণনাযোগ্যতা স্বতঃসিদ্ধ
গণনাযোগ্য,গণনার যোগ্য
গণনাযোগ্য যোগকৰণ,গণনাযোগ্য সংযোজন
গণনাযোগ্য ভিত্তি,গণনাযোগ্য ভিত্তি
গণনাযোগ্য ভিত্তি,গণনাযোগ্য ভিত্তি
গণনাযোগ্য ছেট,গণনাযোগ্য সেট
গণনাযোগ্যভাৱে অসীম,গণনাযোগ্যভাবে অসীম
বিৰোধ,পাল্টা
ঘড়ীৰ কাঁটাৰ বিপৰীত দিশত,ঘড়ির কাঁটার বিপরীত দিকে
কাউণ্টাৰ উদাহৰণ,পাল্টা উদাহরণ
সহাৱস্থান,সহবাস
সহাৱস্থান আইন,সহবাস আইন
সহাৱস্থান মেট্ৰিক্স,সহভেদাংক ম্যাট্রিক্স
সহাৱস্থান পদ্ধতি,সহবাস পদ্ধতি
সহাৱস্থান কৌশল,সহবাস কৌশল
ক্ৰেমাৰৰ নিয়ম,ক্রেমারের নিয়ম
ক্ৰেমাৰ-ৰাওৰ বৈষম্য,ক্রেমার-রাও অসমতা
মাপকাঠী ফলন (=উদ্দেশ্যমূলক ফলন),মানদণ্ড ফাংশন (=উদ্দেশ্য ফাংশন)
জটিল কোণ,সংকটপূর্ণ কোণ
জটিল বিন্দু,সমালোচনামূলক পয়েন্ট
কাৰ্য্যৰ জটিল বিন্দু,ফাংশনের সমালোচনামূলক পয়েন্ট
জটিল মূল্য,সমালোচনামূলক মান
জটিল বেগ,সমালোচনামূলক বেগ
ক্ৰছ কোৰিলেচন ফাংচন,ক্রস পারস্পরিক সম্পর্ক ফাংশন
ক্ৰছ প্ৰডাক্ট,ক্রস পণ্য
ক্ৰছ ৰেচিঅ&#39;,ক্রস অনুপাত
ক্ৰছ ছেকচনিং,ক্রস সেকশনিং
crypt,ক্রিপ্ট
ঘনক,ঘনক্ষেত্র
ঘনক সংখ্যা,ঘনক সংখ্যা
ঘনক মূল,ঘনমূল
ঘন,ঘন
ঘনকীয়,ঘনক্ষেত্র
ঘন সমীকৰণ,ঘন সমীকরণ
ঘন ইঞ্চি,ঘন ইঞ্চি
ঘন মিটাৰ,ঘন মিটার
ঘন প্যাৰাবোলা,কিউবিক প্যারাবোলা
ঘনমূল,ঘনমূল
ঘন পদ,ঘন শব্দ
ঘনকীয়,ঘনক্ষেত্র
ক্ৰমবৰ্ধমান,ক্রমবর্ধমান
ক্ৰমবৰ্ধমান বক্ৰ,ক্রমবর্ধমান বক্ররেখা
ক্ৰমবৰ্ধমান বিতৰণ ফলন,ক্রমবর্ধমান বিতরণ ফাংশন
ক্ৰমবৰ্ধমান কম্পাঙ্ক,ক্রমোযোজিত গনসংখ্যা
ক্ৰমবৰ্ধমান কম্পাঙ্ক ফলন,ক্রমবর্ধমান ফ্রিকোয়েন্সি ফাংশন
ক্ৰমবৰ্ধমান কম্পাঙ্ক গ্ৰাফ,ক্রমবর্ধমান ফ্রিকোয়েন্সি গ্রাফ
ক্ৰমবৰ্ধমান সম্ভাৱনা ফলন,ক্রমবর্ধমান সম্ভাব্যতা ফাংশন
curl,কার্ল
কাৰ্ল অৱ দ্য কংগ্ৰুৱেন্স,সঙ্গতি কার্ল
ভেক্টৰৰ কাৰ্ল,ভেক্টরের কার্ল
কোঁচা বন্ধনী,কোঁকড়া বন্ধনী
সোঁত,বর্তমান
বৰ্তমান বিন্দু,বর্তমান বিন্দু
বক্ৰতা,বক্রতা
বক্ৰতা প্ৰভাৱ,বক্রতা প্রভাব
বক্ৰ,বক্ররেখা
বক্ৰ ৰেখা,বক্র রেখা
বক্ৰ ট্ৰেচিং,বক্ররেখা ট্রেসিং
বক্ৰৰেখাৰ এছিম্পটট,কার্ভিলিনিয়ার অ্যাসিম্পটোট
বক্ৰৰেখা স্থানাংক,বক্ররেখা স্থানাঙ্ক
বক্ৰৰেখাৰ ৰিগ্ৰেছন,বক্ররেখার রিগ্রেশন
cusp,cusp
চক্ৰ,সাইকেল
চক্ৰীয় তাৰতম্য,চক্রীয় প্রকরণ
চক্ৰীয় ক্ৰছ উৎপাদন,চক্রীয় ক্রস পণ্য
চক্ৰীয় চাহিদা,চক্রাকার চাহিদা
চক্ৰীয় প্ৰকাশ,চক্রীয় অভিব্যক্তি
চক্ৰীয় গোট,চক্রাকার গ্রুপ
চক্ৰীয় ক্ৰমবিন্যাস,চক্রীয় স্থানচ্যুতি
চাইক্ল&#39;ইড,সাইক্লয়েড
চিলিণ্ডাৰ,সিলিন্ডার
নলাকাৰ,নলাকার
নলাকাৰ পৃষ্ঠ,নলাকার পৃষ্ঠ
চাইফাৰ,সাইফার
D&#39;alembert ৰ নীতি,ডি&#39;আলেমবার্টের নীতি
ডেম্পড হাৰমনিক ফাংচন,স্যাঁতসেঁতে সুরেলা ফাংশন
ডেম্পিং ধ্ৰুৱক,স্যাঁতসেঁতে ধ্রুবক
তথ্য,তথ্য
তথ্যৰ উৎপত্তি,তথ্য উৎপত্তি
তথ্য প্ৰক্ৰিয়াকৰণ ব্যৱস্থা,ডেটা প্রসেসিং সিস্টেম
ডাটা প্ৰচেছৰ,ডাটা প্রসেসর
ডাটা শ্বীট,তথ্য তালিকা
decagon,দশভুজ
ডেকাগ্ৰাম,ডেকাগ্রাম
ডেকামিটাৰ,ডেকামিটার
ক্ষয় ধ্ৰুৱক,ক্ষয় ধ্রুবক
ক্ষয় বক্ৰ,ক্ষয় বক্ররেখা
ডিচেন্ট ফাংচন,শালীন ফাংশন
ডেচিগ্ৰাম,ডেসিগ্রাম
ডেচিল,decile
দশমিক,দশমিক
দশমিক ক&#39;ড,দশমিক কোড
দশমিক ক&#39;ডযুক্ত অংক,দশমিক কোডেড সংখ্যা
দশমিক প্ৰসাৰণ,দশমিক সম্প্রসারণ
দশমিক ভগ্নাংশ,দশমিক ভগ্নাংশ
দশমিক সংকেত,দশমিক স্বরলিপি
দশমিক সংখ্যাকৰণ ব্যৱস্থা,দশমিক সংখ্যা পদ্ধতি
দশমিক বিন্দু,দশমিক বিন্দু
দশমিক স্কেল,দশমিক স্কেল
দশমিক ব্যৱস্থা,দশমিক সিস্টেম
ডেচিমিটাৰ,ডেসিমিটার
ডিচিফাৰ কৰা,পাঠোদ্ধার
সিদ্ধান্তৰ আৰ্হি,সিদ্ধান্ত মডেল
সিদ্ধান্ত তত্ত্ব,সিদ্ধান্ত তত্ত্ব
সিদ্ধান্ত চলক,সিদ্ধান্ত পরিবর্তনশীল
ডিকোডাৰ,ডিকোডার
ডিকোডিং,ডিকোডিং
পচনযোগ্য ছেট,পচনযোগ্য সেট
হ্ৰাস পাইছে,হ্রাস
হ্ৰাস পোৱা কাৰ্য্য,ফাংশন হ্রাস
ডেডেকিণ্ডৰ কাট,Dedekind এর কাটা
ডেডেকাইণ্ডৰ উপপাদ্য,ডেডেকাইন্ডের উপপাদ্য
deduce,অনুমান করা
ডিডক্টিভ পদ্ধতি,ডিডাক্টিভ পদ্ধতি
ত্ৰুটিপূৰ্ণ,ত্রুটিপূর্ণ
সমীকৰণ সংজ্ঞায়িত কৰা,সংজ্ঞায়িত সমীকরণ
নিৰ্দিষ্ট অখণ্ড,নির্দিষ্ট অবিচ্ছেদ্য
নিৰ্দিষ্ট মেট্ৰিক্স,নির্দিষ্ট ম্যাট্রিক্স
সংজ্ঞা,সংজ্ঞা
বিকৃতি বক্ৰ,বিকৃতি বক্ররেখা
বিকৃত পৃষ্ঠ,বিকৃত পৃষ্ঠ
অৱক্ষয়,অধঃপতন
ট্ৰেন্সপ&#39;ৰেচন সমস্যাত অৱক্ষয়,পরিবহন সমস্যায় অধঃপতন
ডিগ্ৰী,ডিগ্রী
অৱভেদ্য সমীকৰণৰ ডিগ্ৰী,ডিফারেনশিয়াল সমীকরণ ডিগ্রী
স্বাধীনতাৰ মাত্ৰা,স্বাধীনতা ডিগ্রী
বহুপদৰ ডিগ্ৰী,বহুপদ ডিগ্রী
মচি পেলোৱা চুবুৰী,মুছে ফেলা পাড়া
ডেল্টা ফাংচন,ডেল্টা ফাংশন
চাহিদা আৰু উপযোগিতা বক্ৰ,চাহিদা এবং ইউটিলিটি বক্ররেখা
চাহিদা সমীকৰণ,চাহিদা সমীকরণ
চাহিদা কাৰ্য্য,চাহিদা ফাংশন
জনগাঁথনিগত অধ্যয়ন,ডেমোগ্রাফিক অধ্যয়ন
ডেম&#39;গ্ৰাফী,জনসংখ্যা
ডি মইভ্ৰেৰ উপপাদ্য,De Moivre এর উপপাদ্য
প্ৰদৰ্শন,প্রদর্শন
প্ৰদৰ্শন,প্রদর্শন
প্ৰদৰ্শনমূলক জ্যামিতি,প্রদর্শনমূলক জ্যামিতি
হৰ,হর
ঘন গোট,ঘন সেট
ঘনত্ব,ঘনত্ব
denumerable set,গণনাযোগ্য সেট
প্ৰস্থানকাৰী চলকসমূহ,প্রস্থান ভেরিয়েবল
নিৰ্ভৰশীল ইভেন্ট,নির্ভরশীল ঘটনা
নিৰ্ভৰশীল যাদৃচ্ছিক চলক,নির্ভরশীল র্যান্ডম পরিবর্তনশীল
নিৰ্ভৰশীল চলক,নির্ভরশীল পরিবর্তনশীল
নিৰ্ভৰশীল ভিন্নতা,নির্ভরশীল বৈচিত্র
ডিপ্ৰেছন এংগেল,বিষণ্নতা কোণ
ব্যুৎপত্তি,ডেরিভেশন
ডেৰাইভেটিভ,অমৌলিক
ব্যুৎপন্ন শৃংখলা,প্রাপ্ত সিরিজ
ব্যুৎপত্তি কৰা গোট,প্রাপ্ত সেট
অৱতৰণ কৰা,অবরোহী
অৱনমিত ক্ৰম,অবরোহী ক্রম
অৱনমিত শৃংখলা,অবরোহী সিরিজ
বৰ্ণনাত্মক জ্যামিতি,বর্ণনামূলক জ্যামিতি
বৰ্ণনাত্মক আৰ্হি,বর্ণনামূলক মডেল
বৰ্ণনাত্মক পৰিসংখ্যা,বর্ণনামূলক পরিসংখ্যান
ডিজাইন,নকশা
পৰীক্ষাৰ ডিজাইন,পরীক্ষার নকশা
ডেস্ক কেলকুলেটৰ,ডেস্ক ক্যালকুলেটর
ধৰা পেলোৱা,সনাক্তকরণ
নিৰ্ণায়ক,নির্ধারক
নিৰ্ণায়ক ৰেংক,নির্ধারক পদমর্যাদা
নিৰ্দ্ধাৰণ কৰা,নির্ধারণ
নিৰ্ধাৰিত আৰ্হি,নির্ধারক মডেল
নিৰ্ধাৰিত সমস্যা,নির্ধারক সমস্যা
বিচ্যুতি,বিচ্যুতি
বিচ্যুতি সহগ,বিচ্যুতি সহগ
ডায়েডিক ব্যৱস্থা,ডায়াডিক সিস্টেম
তিৰ্যক,তির্যক
এটা মেট্ৰিক্সৰ তিৰ্যকীকৰণ,একটি ম্যাট্রিক্সের তির্যককরণ
তিৰ্যক মেট্ৰিক্স,তির্যক ম্যাট্রিক্স
তিৰ্যক সাদৃশ্য,তির্যক সাদৃশ্য
ডায়েগ্ৰাম,চিত্র
ডায়েগ্ৰামমেটিক পদ্ধতি,ডায়াগ্রামেটিক পদ্ধতি
ডায়াগ্ৰামমেটিক উপস্থাপন,ডায়াগ্রামেটিক উপস্থাপনা
ব্যাস,ব্যাস
এটা গোটৰ ব্যাস,একটি সেটের ব্যাস
ডায়েমেট্ৰিকভাৱে বিপৰীত,diametrically বিপরীত
পাশা নিক্ষেপ,পাশা নিক্ষেপ
দ্বৈত শ্ৰেণীবিভাজন,দ্বিমুখী শ্রেণীবিভাগ
দ্বৈতবিভাজন,দ্বিধাবিভক্তি
অভিধানৰ ক্ৰম,অভিধান আদেশ
পাৰ্থক্য কেলকুলাছ,পার্থক্য ক্যালকুলাস
পাৰ্থক্য সমীকৰণ,পার্থক্য সমীকরণ
পাৰ্থক্য সূত্ৰ,পার্থক্য সূত্র
পাৰ্থক্য পদ্ধতি,পার্থক্য পদ্ধতি
গোটৰ পাৰ্থক্য,সেটের পার্থক্য
ভিন্নতামূলক,পার্থক্যযোগ্য
ভিন্নতাযোগ্য বক্ৰ,পার্থক্যযোগ্য বক্ররেখা
ডিফাৰেন্সিয়েবল ফাংচন,পার্থক্যযোগ্য ফাংশন
ডিফাৰেন্সিয়েল,ডিফারেনশিয়াল
ডিফাৰেন্সিয়েল কেলকুলাছ,অন্তরীকরণ ক্যালকুলাস
ডিফাৰেন্সিয়েল সহগ,ডিফারেনশিয়াল সহগ
অৱভেদ্য সমীকৰণ,আঙ্গক
ভিন্নতামূলক ৰূপ,ডিফারেনশিয়াল ফর্ম
ডিফাৰেন্সিয়েল সূত্ৰ,ডিফারেনশিয়াল সূত্র
ডিফাৰেন্সিয়েল ফাংচন,ডিফারেনশিয়াল ফাংশন
ডিফাৰেন্সিয়েল জ্যামিতি,ডিফারেনশিয়াল জ্যামিতি
উচ্চ ক্ৰমৰ ডিফাৰেন্সিয়েল,উচ্চ ক্রম ডিফারেনশিয়াল
ডিফাৰেন্সিয়েল ভাগফল,ডিফারেনশিয়াল ভাগফল
পাৰ্থক্য কৰা,পার্থক্য করা
পাৰ্থক্য,পৃথকীকরণ
পাৰ্থক্য সূত্ৰ,পার্থক্য সূত্র
ভেক্টৰৰ পাৰ্থক্য,ভেক্টরের পার্থক্য
প্ৰসাৰণ,বিস্তার
অংক,অঙ্ক
ডিজিটেল কম্পিউটাৰ,ডিজিটাল কম্পিউটার
ডিজিটেল ডাটা,ডিজিটাল তথ্য
মাত্ৰা,মাত্রা
মাত্ৰাগততা,মাত্রিকতা
মাত্ৰাহীন,মাত্রাহীন
সমীকৰণৰ মাত্ৰা,একটি সমীকরণের মাত্রা
ডাইফেন্টাইন সমীকৰণ,ডায়োফ্যান্টাইন সমীকরণ
ডিপ এংগেল,ডুব কোণ
ডাইপোলাৰ স্থানাংক,দ্বিপোলার স্থানাঙ্ক
ডাইপোল,ডাইপোল
ডাইপিৰামিড (bipyramid),ডিপিরামিড (বাইপিরামিড)
Dirac ডেল্টা ফাংচন,ডিরাক ডেল্টা ফাংশন
প্ৰত্যক্ষ সাধাৰণ স্পৰ্শক,সরাসরি সাধারণ স্পর্শক
নিৰ্দেশিত কোণ,নির্দেশিত কোণ
নিৰ্দেশিত ৰেখা,নির্দেশিত লাইন
দিশগত ব্যুৎপত্তি,নির্দেশমূলক ডেরিভেটিভ
দিশ কোচাইন,দিক কোসাইন
maxima ৰ দিশ,ম্যাক্সিমা এর দিক
প্ৰক্ষেপণৰ দিশ,অভিক্ষেপের দিক
দিশ অনুপাত,দিক অনুপাত
পৰিচালক বৃত্ত,পরিচালক চক্র
পৰিচালক ক্ষেত্ৰ,পরিচালক ক্ষেত্র
প্ৰত্যক্ষ উৎপাদন,সরাসরি পণ্য
প্ৰত্যক্ষ প্ৰমাণ,সরাসরি প্রমাণ
প্ৰত্যক্ষ অনুপাত,সরাসরি সমানুপাত
ডাইৰেক্টিক্স,directrix
প্ৰত্যক্ষ যোগফল,সরাসরি যোগফল
disconncted ছেটসমূহ,সংযোগ বিচ্ছিন্ন সেট
বিচ্ছিন্নতা,বিরতি
ডেৰাইভেটিভৰ বিচ্ছিন্নতা,ডেরিভেটিভের বিচ্ছিন্নতা
প্ৰথম ধৰণৰ বিচ্ছিন্নতা,প্রথম ধরনের বিচ্ছিন্নতা
দ্বিতীয় প্ৰকাৰৰ বিচ্ছিন্নতা,দ্বিতীয় ধরনের বিচ্ছিন্নতা
বিচ্ছিন্ন বিতৰণ,অবিচ্ছিন্ন বিতরণ
বিচ্ছিন্ন কাৰ্য্য,অবিচ্ছিন্ন ফাংশন
বিচ্ছিন্ন ভেৰিয়েট,অবিচ্ছিন্ন বৈচিত্র্য
বিচ্ছিন্ন,বিযুক্ত
বিচ্ছিন্ন বিতৰণ,বিচ্ছিন্ন বন্টন
বিচ্ছিন্ন সম্ভাৱনা বিতৰণ,বিচ্ছিন্ন সম্ভাব্যতা বন্টন
বিচ্ছিন্ন যাদৃচ্ছিক চলক,বিচ্ছিন্ন এলোমেলো পরিবর্তনশীল
বিচ্ছিন্ন নমুনা স্থান,বিচ্ছিন্ন নমুনা স্থান
বিচ্ছিন্ন গোট,বিযুক্ত সেট
বিচ্ছিন্ন স্থান,পৃথক স্থান
বিচ্ছিন্ন টপোলজি,বিচ্ছিন্ন টপোলজি
বিচ্ছিন্ন ভিন্নতা,বিযুক্ত বৈচিত্র
বৈষম্যমূলক,বৈষম্যমূলক
বৈষম্যমূলক বিশ্লেষণ (=বৈষম্যমূলক বিশ্লেষণ),বৈষম্যমূলক বিশ্লেষণ (=বৈষম্যমূলক বিশ্লেষণ)
disjoint,বিচ্ছিন্ন করা
অসংলগ্ন পৰিঘটনা,বিচ্ছিন্ন ঘটনা
