Assamese,Tamil
ডাটা প্ৰচেছৰ,தரவு செயலி
তথ্য সুৰক্ষা,தரவு பாதுகாப்பு
ডাটা ৰেকৰ্ড,தரவு பதிவு
তথ্য উদ্ধাৰ কৰা,தரவு மீட்பு
ডাটা ৰুটিন,தரவு வழக்கமான
ডাটা সুৰক্ষা,தரவு பாதுகாப்பு
ডাটা ছেট,தரவு தொகுப்பு
ডাটা সংকেত,தரவு சமிக்ஞை
ডাটা ডুব যোৱা,தரவு மடு
তথ্যৰ উৎস,தரவு மூலம்
তথ্যৰ নিৰ্দিষ্টকৰণ,தரவு விவரக்குறிப்பு
ডাটা ষ্টেচন,தரவு நிலையம்
ডাটা সংৰক্ষণ,தரவு சேமிப்பு
তথ্য সংৰক্ষণ গঠন,தரவு சேமிப்பு அமைப்பு
তথ্যৰ গঠন,தரவு அமைப்பு
ডাটা চুইচ,தரவு சுவிட்ச்
ডাটা টেবুল,தரவு அட்டவணை
ডাটা টাৰ্মিনেল,தரவு முனையம்
ডাটা ট্ৰান্সক্ৰিপচন,தரவு படியெடுத்தல்
ডাটা ট্ৰেন্সফাৰ,தரவு பரிமாற்ற
ডাটা ট্ৰেন্সমিছন,தரவு பரிமாற்றம்
ডাটা ট্ৰেন্সমিছন চেনেল,தரவு பரிமாற்ற சேனல்
তথ্যৰ ধৰণ,தரவு வகை
ডাটা ইউনিট,தரவு அலகு
তথ্য বৈধকৰণ,தகவல் மதிப்பீடு
ডাটাবেছ,தரவுத்தளம்
ডাটাবেছ প্ৰশাসন,தரவுத்தள நிர்வாகம்
ডাটাবেছ ডিজাইন,தரவுத்தள வடிவமைப்பு
ডাটাবেছ ব্যৱস্থাপনা ব্যৱস্থা,தரவுத்தள மேலாண்மை அமைப்பு
ডাটাগ্ৰাভ,டேட்டாகிராவ்
ডাটাম,தரவு
ডেড জ&#39;ন,இறந்த மண்டலம்
ডেডলক,முட்டுக்கட்டை
ডেডলক প্ৰতিৰোধ,முட்டுக்கட்டை தடுப்பு
ডিবাগ কৰক,பிழைத்திருத்தம்
সিদ্ধান্ত বাকচ,முடிவு பெட்டி
সিদ্ধান্ত গ্ৰহণ প্ৰক্ৰিয়া,முடிவெடுக்கும் செயல்முறை
সিদ্ধান্ত সমৰ্থন ব্যৱস্থা,முடிவு ஆதரவு அமைப்பு
সিদ্ধান্ত গছ,முடிவு மரம்
ডিকোডাৰ,குறிவிலக்கி
পচন নীতি,சிதைவு கொள்கை
ডিক্ৰিপচন,மறைகுறியாக்கம்
ডেডিকেটেড চেনেল,அர்ப்பணிக்கப்பட்ட சேனல்
নিবেদিত বন্দৰ,அர்ப்பணிக்கப்பட்ட துறைமுகம்
প্ৰতিৰক্ষা ডাটা নেটৱৰ্ক (DDN),பாதுகாப்பு தரவு நெட்வொர்க் (DDN)
প্ৰতিৰক্ষা তথ্য ব্যৱস্থা,பாதுகாப்பு தகவல் அமைப்பு
ডিফ্ৰেগমেণ্টেচন,defragmentation
পলম কৰা,தாமதம்
বিলম্ব কাউণ্টাৰ,தாமத கவுண்டர்
বিলম্বৰ সময়,தாமத நேரம்
বিলোপ,அழி
ডিলিচন ৰেকৰ্ড,நீக்குதல் பதிவு
সীমা নিৰ্ধাৰণকাৰী,பிரிப்பான்
ডেল্টা মডুলেচন,டெல்டா பண்பேற்றம்
ডিমাণ্ড পেজিং,கோரிக்கை பேஜிங்
ডেমো,டெமோ
ডিমডুলেচন,டிமாடுலேஷன்
ডিমাল্টিপ্লেক্সাৰ,demultiplexer
ডিনৰ্মেলাইজেচন,இயல்புநிலைப்படுத்தல்
ঘনত্ব,அடர்த்தி
নিৰ্ভৰশীলতা,சார்பு
নিৰ্ভৰশীল একক,சார்பு அலகு
ডিকিউ,வரிசை
ডিৰেফাৰেন্সিং,புறக்கணிப்பு
ব্যুৎপত্তি গছ,வழித்தோன்றல் மரம்
ব্যুৎপত্তি কৰা ক্ষেত্ৰ,பெறப்பட்ட புலம்
অৱনমিত সজাই পৰাই তোলা,இறங்கு வகை
ডিজাইন,வடிவமைப்பு
ডেস্ক কেলকুলেটৰ,மேசை கால்குலேட்டர்
ডেস্ক টপ কম্পিউটাৰ,மேசை கணினி
ডেস্কটপ উপস্থাপন,டெஸ்க்டாப் விளக்கக்காட்சி
ডেস্কটপ প্ৰকাশন (DTP),டெஸ்க்டாப் பப்ளிஷிங் (டிடிபி)
ডেস্কটপ ভিডিঅ&#39;,டெஸ்க்டாப் வீடியோ
গন্তব্যস্থানৰ ঠিকনা,இலக்கு முகவரி
ধ্বংসকাৰী,அழிப்பவர்
ডিটাৰ্মিনিষ্ট্ৰিক অটোমেটসমূহ,நிர்ணயிக்கும் தானியங்கிகள்
ডেভেলপাৰ,டெவலப்பர்
উন্নয়ন ব্যৱস্থা,வளர்ச்சி அமைப்பு
ডিভাইচ,சாதனம்
ডিভাইচ নিয়ন্ত্ৰণ একক,சாதன கட்டுப்பாட்டு அலகு
ডিভাইচ নিয়ন্ত্ৰক,சாதனம் கட்டுப்படுத்தி
ডিভাইচ ব্যৱস্থাপনা,சாதன மேலாண்மை
ডিভাইচ ধৰণ,சாதன முறை
নিদান,நோய் கண்டறிதல்
ডায়েগনষ্টিক চিষ্টেম,கண்டறியும் அமைப்பு
ডায়েগনষ্টিকছ,பரிசோதனை
ডায়েগ্ৰাম,வரைபடம்
ডায়েল কৰক,டயல்
ডায়েল লাইন,டயல் வரி
ডায়েল টোন,டயல் தொனி
ডায়েল আপ কৰক,அழைக்கவும்
সংলাপ,உரையாடல்
সংলাপ বাকচ,உரையாடல் பெட்டி
ডায়েলআপ মডেম,டயல்அப் மோடம்
ব্যাস,பரிமாணம்
অভিধান,அகராதி
পাৰ্থক্য,வேறுபாடு
ডিজিটেল,டிஜிட்டல்
ডিজিটেল চেনেল,டிஜிட்டல் சேனல்
ডিজিটেল বৰ্তনী,டிஜிட்டல் சுற்று
ডিজিটেল কম্পিউটাৰ,டிஜிட்டல் கணினி
ডিজিটেল ডাটা,டிஜிட்டல் தரவு
ডিজিটেল সুবিধা,டிஜிட்டல் வசதி
ডিজিটেল ফিল্টাৰ,டிஜிட்டல் வடிகட்டி
ডিজিটেল লাইব্ৰেৰী,டிஜிட்டல் நூலகம்
ডিজিটেল মডুলেচন,டிஜிட்டல் பண்பேற்றம்
ডিজিটেল মনিটৰ,டிஜிட்டல் மானிட்டர்
ডিজিটেল ছবি,டிஜிட்டல் படம்
ডিজিটেল স্বাক্ষৰ,டிஜிட்டல் கையொப்பம்
ডিজিটেল চুইচ,டிஜிட்டல் சுவிட்ச்
ডিজিটেলৰ পৰা এনালগলৈ (D/A) ৰূপান্তৰক,டிஜிட்டல் முதல் அனலாக் (D/A) மாற்றி
ডিজিটাইজেচন,டிஜிட்டல் மயமாக்கல்
ডিজিটেলাইজ কৰক,இலக்கமாக்கு
ডিজিটাইজাৰ,இலக்கமாக்கி
ডাইঅ&#39;ড,டையோடு
পোনপটীয়া,நேரடி
প্ৰত্যক্ষ ঠিকনা,நேரடி முகவரி
প্ৰত্যক্ষ ৰূপান্তৰ,நேரடி மாற்றம்
প্ৰত্যক্ষ সংযোজন,நேரடி இணைப்பு
প্ৰত্যক্ষ মেমৰি অভিগম (DMA),நேரடி நினைவக அணுகல் (DMA)
প্ৰত্যক্ষ স্মৃতিশক্তি প্ৰৱেশ (DMA),நேரடி நினைவக அணுகல் (DMA)
প্ৰত্যক্ষ পদ্ধতি,நேரடி முறை
নিৰ্দেশনা,உத்தரவு
ডাইৰেকটৰী,அடைவு
ডাইৰেকটৰি চাৰ্ভাৰ,அடைவு சேவையகம்
ডাইৰেকটৰি সেৱা,அடைவு சேவை
অক্ষম,முடக்கு
সংকেত নিষ্ক্ৰিয় কৰা,சமிக்ஞையை முடக்குகிறது
সংযোগ বিচ্ছিন্ন কৰক,துண்டிக்கவும்
বিচ্ছিন্ন,தனித்தனி
ডিস্ক,வட்டு
ডিষ্কৰ ঠিকনা,வட்டு முகவரி
ডিষ্ক এৰে,வட்டு வரிசை
ডিষ্কৰ ক্ষমতা,வட்டு திறன்
ডিষ্ক ড্ৰাইভ,வட்டு இயக்கி
ডিষ্ক নথিপত্ৰ,வட்டு கோப்பு
ডিষ্ক মেমৰি,வட்டு நினைவகம்
ডিষ্ক কাৰ্য্যকৰপ্ৰণালী (DOS),வட்டு இயக்க முறைமை (DOS)
ডিষ্ক পেক,வட்டு தொகுப்பு
ডিষ্ক চাৰ্ভাৰ,வட்டு சேவையகம்
ডিষ্ক সংৰক্ষণ,வட்டு சேமிப்பு
ডিস্কেট,வட்டு
ফাইল প্ৰদৰ্শন কৰক,காட்சி கோப்பு
ছবি প্ৰদৰ্শন কৰক,காட்சி படத்தை
নিষ্পত্তি,அகற்றல்
দূৰত্ব,தூரம்
দূৰত্বৰ ফলন,தூர செயல்பாடு
বিকৃতি,திரித்தல்
বিতৰণ কৰা হৈছে,விநியோகிக்கப்பட்டது
বিতৰণ কৰা তথ্য,விநியோகிக்கப்பட்ட தரவு
বিতৰণ কৰা চাৰ্ভাৰ,விநியோகிக்கப்பட்ட சேவையகம்
বিতৰণ কৰা ব্যৱস্থা,விநியோகிக்கப்பட்ட அமைப்பு
বিতৰণমূলক,விநியோகிக்கக்கூடிய
নথিপত্ৰ,ஆவணம்
নথিপত্ৰ উদ্ধাৰ কৰা হৈছে,ஆவணம் மீட்டெடுக்கப்பட்டது
নথিপত্ৰ উইন্ডো,ஆவண சாளரம்
নথিপত্ৰ,ஆவணங்கள்
ডমেইন,களம்
ডমেইনৰ নাম,டொமைன் பெயர்
ডট মেট্ৰিক্স প্ৰিন্টাৰ,டாட் மேட்ரிக்ஸ் பிரிண்டர்
তললৈ,கீழ்
ডাউন লিংক,கீழ் இணைப்பு
ডাউন লোডিং,பதிவிறக்கம்
ডাউন টাইম,செயலற்ற நேரம்
ড্ৰেগিং কৰা,இழுத்தல்
DRAM (ডাইনামিক ৰেম),DRAM (டைனமிக் ரேம்)
ড্ৰিফ্ট,சறுக்கல்
ড্ৰাইভাৰ,இயக்கி
টোপাল,கைவிட
ড্ৰপ ডাউন তালিকা বাকচ,கீழ்தோன்றும் பட்டியல் பெட்டி
ড্ৰাম ড্ৰাইভ,டிரம் டிரைவ்
ড্ৰাম প্ৰিন্টাৰ,டிரம் பிரிண்டர்
ড্ৰাম ইউনিট,டிரம் அலகு
দ্বৈত,இரட்டை
দ্বৈত ঘনত্ব,இரட்டை அடர்த்தி
ডামি ঠিকনা,போலி முகவரி
ভাণ্ডাৰ,திணிப்பு
ডুপ্লেক্স বৰ্তনী,இரட்டை சுற்று
ডুপ্লেক্সিং,டூப்ளெக்சிங்
ডুপ্লিকেট কৰক,நகல்
ডিভিডি R/W,டிவிடி ஆர்/டபிள்யூ
DVD ROM,டிவிடி ரோம்
গতিশীল নিৰ্দেশনা,மாறும் அறிவுறுத்தல்
গতিশীল স্মৃতিশক্তি,மாறும் நினைவகம்
গতিশীলতা,இயக்கவியல்
ইবিচিডিআইচি,EBCDIC
ই-ব্যৱসায়,மின் வணிகம்
প্ৰতিধ্বনি,எதிரொலி
ই-কমাৰ্চ,மின் வணிகம்
সম্পাদনা কৰক,தொகு
সম্পাদক,ஆசிரியர்
শৈক্ষিক প্ৰযুক্তি,கல்வி தொழில்நுட்பம்
ইইপি ৰম,EEP ரோம்
ফলপ্ৰসূ ঠিকনা (ভাসমান ঠিকনা),பயனுள்ள முகவரி (மிதக்கும் முகவரி)
ফলপ্ৰসূ অপাৰেণ্ড ঠিকনা,பயனுள்ள செயல்பாட்டு முகவரி
ফলপ্ৰসূ পদ্ধতি,பயனுள்ள செயல்முறை
ফলপ্ৰসূ UID (ব্যৱহাৰকাৰী চিনাক্তকৰণ),பயனுள்ள UID (பயனர் அடையாளம்)
ফলপ্ৰসূ সংক্ৰমণ অপাৰেণ্ড,பயனுள்ள பரிமாற்ற செயல்பாடு
আঠ-বিট বাইট,எட்டு பிட் பைட்
ই-লাৰ্নিং,மின் கற்றல்
নিৰ্বাচন-algirthm,தேர்தல்-அல்கிரிதம்
বৈদ্যুতিক মেইলিং (ই-মেইল),மின் அஞ்சல் (மின்னஞ்சல்)
বৈদ্যুতিক প্ৰিন্টাৰ,மின்சார அச்சுப்பொறி
বৈদ্যুতিক একাউণ্টিং মেচিন,மின் கணக்கியல் இயந்திரம்
ইলেক্ট্ৰনিক,மின்னணு
ইলেক্ট্ৰনিক ক্লিয়াৰেন্স চিষ্টেম (ECS),மின்னணு அனுமதி அமைப்பு (ECS)
ইলেক্ট্ৰনিক ডাটা বিনিময় (EDI),மின்னணு தரவு பரிமாற்றம் (EDI)
ইলেক্ট্ৰনিক ডাটা প্ৰচেছিং,மின்னணு தரவு செயலாக்கம்
ইলেক্ট্ৰনিক ফাইলিং,மின்னணு தாக்கல்
ইলেক্ট্ৰনিক ধন হস্তান্তৰ ব্যৱস্থা (EFTS),மின்னணு நிதி பரிமாற்ற அமைப்பு (EFTS)
ইলেক্ট্ৰনিক জাৰ্নেল,மின்னணு இதழ்கள்
ইলেক্ট্ৰনিক প্ৰকাশন,மின்னணு வெளியீடு
ইলেক্ট্ৰনিক চুইচ,மின்னணு சுவிட்ச்
উপাদান,உறுப்பு
ই-মেইল,மின்னஞ்சல்
ই-মেইল ঠিকনা,மின்னஞ்சல் முகவரி
এম্বেডেড চিস্টেম,உட்பொதிக்கப்பட்ட அமைப்பு
এম্বেডিং,உட்பொதித்தல்
এমিটাৰ কাপল লজিক (ECL),உமிழ்ப்பான் ஜோடி தர்க்கம் (ECL)
খালী ষ্টেক,வெற்று அடுக்கு
খালী ষ্ট্ৰিং,வெற்று சரம்
অনুকৰণ,முன்மாதிரி
এনকেপচুলেচন,அடைப்பு
encipher,குறியாக்கி
এনকোড কৰক,குறியாக்கம்
এনকোডাৰ,குறியாக்கி
এনক্ৰেপ্ট কৰা তথ্য,மறைகுறியாக்கப்பட்ட தரவு
নথিপত্ৰপ্ৰণালীক এনক্ৰিপ্ট কৰা,என்கிரிப்ட் கோப்பு முறைமை
এনক্ৰিপচন,குறியாக்கம்
ব্লকৰ শেষ,தொகுதியின் முடிவு
ফাইলৰ শেষ (EOF),கோப்பின் முடிவு (EOF)
শেষ ব্যৱহাৰকাৰী,கடைசி பயனாளி
প্ৰৱেশ কৰা,நுழைய
এণ্টাৰ-কি,நுழைவு விசை
এণ্টাৰপ্ৰাইজ চাৰ্ভাৰ,நிறுவன சேவையகம்
উদ্যোগ ব্যৱস্থা,நிறுவன அமைப்பு
সত্তা,நிறுவனம்
সত্তা-সম্পৰ্ক,நிறுவனம்-உறவு
প্ৰৱেশৰ সময়,நுழைவு நேரம்
প্ৰৱেশ চলক,நுழைவு மாறி
গণনাযোগ্য,எண்ணத்தக்க
পৰিৱেশ,சூழல்
যুগ,சகாப்தம்
EPROM,EPROM
এপ্সিলন বন্ধ কৰা,எப்சிலன் மூடல்
ইকুৱেলাইজাৰ,சமநிலைப்படுத்தி
সঁজুলি,உபகரணங்கள்
সমতুল্যতা শ্ৰেণী,சமநிலை வகுப்பு
সমতুল্যতা সম্পৰ্ক,சமமான உறவு
মচি পেলাওক,அழிக்க
ক&#39;ড সংশোধন কৰাত ত্ৰুটি,பிழை திருத்தும் குறியீடு
ভুল সংশোধন,பிழை திருத்தம்
ভুল ধৰা পেলোৱা,பிழை கண்டறிதல்
ভুল নিয়ন্ত্ৰণ,பிழை கையாளுதல்
ভুল বাৰ্তা,பிழை செய்தி
ভুলৰ হাৰ,பிழை விகிதம்
ত্ৰুটি পুনৰুদ্ধাৰ,பிழை மீட்பு
ভুল ৰুটিন,பிழை வழக்கமான
পলায়ন চৰিত্ৰ,தப்பிக்கும் தன்மை
ইথাৰনেট,ஈதர்நெட்
কাৰ্যক্ৰম,நிகழ்வு
ইভেন্ট শৃংখল,நிகழ்வு சங்கிலி
ইভেন্ট নিয়ন্ত্ৰণ,நிகழ்வு கட்டுப்பாடு
ইভেন্ট কাউণ্টাৰ,நிகழ்வு கவுண்டர்
ব্যতিক্ৰম নিয়ন্ত্ৰণ,விதிவிலக்கு கையாளுதல்
বিনিময়যোগ্য ডিষ্ক সংৰক্ষণ,பரிமாற்றக்கூடிய வட்டு சேமிப்பு
বৰ্জন,விலக்குதல்
একচেটিয়া বা (XOR),பிரத்தியேக அல்லது (XOR)
এক্সিকিউটেবল প্ৰগ্ৰেম,இயங்கக்கூடிய நிரல்
কাৰ্য্যবাহী বিবৃতি,நிர்வாக அறிக்கை
বিস্তৃত অনুসন্ধান,முழுமையான தேடல்
উপলব্ধ,உள்ளன
প্ৰস্থান,வெளியேறு
বিশেষজ্ঞ ব্যৱস্থা,நிபுணர் அமைப்பு
অভিব্যক্তি,வெளிப்பாடு
সম্প্ৰসাৰিত গ্ৰাফিক এৰে (XGA),நீட்டிக்கப்பட்ட வரைகலை வரிசை (XGA)
বৰ্ধিত উদ্যোগ মানদণ্ড (EIS),விரிவாக்கப்பட்ட தொழில் தரநிலை (EIS)
বৰ্ধিত মেচিন,நீட்டிக்கப்பட்ட இயந்திரம்
বৰ্ধিত স্মৃতিশক্তি,நீட்டிக்கப்பட்ட நினைவகம்
বৰ্ধিত নিখুঁততা,நீட்டிக்கப்பட்ட துல்லியம்
বৰ্ধিত সজাই পৰাই তোলা,நீட்டிக்கப்பட்ட வரிசையாக்கம்
বাহ্যিক কল,வெளிப்புற அழைப்பு
বাহ্যিক ভুল,வெளிப்புற பிழை
বাহ্যিক কাৰ্য্য,வெளிப்புற செயல்பாடு
বাহ্যিক বাধা,வெளிப்புற குறுக்கீடு
বাহ্যিক স্মৃতিশক্তি,வெளிப்புற நினைவகம்
বাহ্যিক স্মৃতিশক্তি,வெளிப்புற நினைவகம்
বাহ্যিক মডেম,வெளிப்புற மோடம்
বাহ্যিক উল্লেখ,வெளிப்புற குறிப்பு
বাহ্যিক অনুসন্ধান,வெளிப்புற தேடல்
বাহ্যিক সংৰক্ষণ ডিভাইচ,வெளிப்புற சேமிப்பக சாதனம்
নিষ্কাশন,பிரித்தெடுத்தல்
বহিঃপ্ৰক্ষেপণ,எக்ஸ்ட்ராபோலேஷன்
মুখ-আখৰ প্ৰিন্টাৰ,முக எழுத்து அச்சுப்பொறி
বিফল-নিৰাপদ কাৰ্য্য,தோல்வி-பாதுகாப்பான செயல்பாடு
বিফলতাৰ হাৰ,தோல்வி விகிதம்
বিফলতা পুনৰুদ্ধাৰ,தோல்வி மீட்பு
মিছা ক&#39;ড,தவறான குறியீடு
মিছা ভুল,தவறான பிழை
ফেন-ইন,ரசிகர்-இன்
ফেন-আউট,ரசிகர்-அவுட்
fascimile I/O ডিভাইচ,பாசிமைல் I/O சாதனம்
দ্ৰুত ফোৰিয়াৰ ৰূপান্তৰ (FFT),வேகமான நான்கு உருமாற்றம் (FFT)
মাৰাত্মক ভুল,கொடிய பிழை
ত্ৰুটি ধৰা পেলোৱা,தவறு கண்டறிதல்
দোষ নিদান,தவறு கண்டறிதல்
দোষ সহনশীলতা,தவறு சகிப்புத்தன்மை
ফেক্স,தொலைநகல்
ফেক্স বাৰ্তা,தொலைநகல் செய்தி
এফ ডি চি,FDC
বৈশিষ্ট্য ধৰা পেলোৱা,அம்சம் கண்டறிதல்
ফিড চক্ৰ,உணவு சுழற்சி
মতামত,பின்னூட்டம்
ফিডাৰ,ஊட்டி
লৈ অনা,எடுக்க
fibonacci অনুসন্ধান,ஃபைபோனச்சி தேடல்
fibonacci ক্ৰম,ஃபைபோனச்சி வரிசை
fibonacci শৃংখলা,ஃபைபோனச்சி தொடர்
ফাইবাৰ অপটিক্স,ஃபைபர் ஆப்டிக்ஸ்
ফিডো নেট,fido net
ক্ষেত্ৰ,களம்
পঞ্চম প্ৰজন্মৰ কম্পিউটাৰ,ஐந்தாம் தலைமுறை கணினிகள்
ফাইল,கோப்பு
ফাইল অভিগম পদ্ধতি,கோப்பு அணுகல் முறை
ফাইল আবণ্টন টেবুল,கோப்பு ஒதுக்கீடு அட்டவணை
ফাইল সংকোচন,கோப்பு சுருக்கம்
ফাইল কপি কৰা,கோப்பு நகலெடுக்கிறது
ফাইল বিন্যাস,கோப்பு தளவமைப்பு
ফাইল মাৰ্জ কৰক,கோப்பு ஒன்றிணைத்தல்
ফাইল পুনৰুদ্ধাৰ,கோப்பு மீட்பு
নথিপত্ৰ সংৰক্ষণ,கோப்பு சேமிப்பு
নথিপত্ৰ গঠন,கோப்பு அமைப்பு
নথিপত্ৰপ্ৰণালী,கோப்பு முறை
ফাইল স্থানান্তৰ,கோப்பு பரிமாற்றம்
নথিপত্ৰ স্থানান্তৰ প্ৰটোকল (FTP),கோப்பு பரிமாற்ற நெறிமுறை (FTP)
ফিল্টাৰ,வடிகட்டி
চূড়ান্ত অৱস্থা,இறுதி நிலை
সন্ধান কৰা,கண்டுபிடிக்க
সসীম অৱস্থাৰ যন্ত্ৰ,வரையறுக்கப்பட்ட நிலை இயந்திரம்
জুইৰ দেৱাল,தீ சுவர்
ফাৰ্মৱেৰ,நிலைபொருள்
প্ৰথমে আহক প্ৰথমে পৰিবেশন কৰক,முதலில் வருபவர்களுக்கு முன்னுரிமை
প্ৰথম প্ৰজন্মৰ কম্পিউটাৰ,முதல் தலைமுறை கணினி
প্ৰথম ইন প্ৰথম আউট (FIFO),ஃபர்ஸ்ட் இன் ஃபர்ஸ்ட் அவுட் (FIFO)
প্ৰথম ক্ৰমৰ যুক্তি,முதல் வரிசை தர்க்கம்
প্ৰথম ক্ৰমৰ তত্ত্ব,முதல் வரிசை கோட்பாடு
স্থিৰ বিভাজন,நிலையான பகிர்வு
পতাকা,கொடி
নমনীয় ডিষ্ক,நெகிழ்வான வட்டு
ফ্লপি ডিস্ক,நெகிழ் வட்டு
ফ্লপি ডিষ্ক ড্ৰাইভ (Fdd),நெகிழ் வட்டு இயக்கி (Fdd)
ফ্ল&#39; চাৰ্ট,ஓட்ட விளக்கப்படம்
নিয়ন্ত্ৰণৰ প্ৰবাহ,கட்டுப்பாட்டு ஓட்டம்
ফ্লাছ,பறிப்பு
ফোল্ডাৰ,கோப்புறை
ফন্ট,எழுத்துரு
ফন্ট পৰিয়াল,எழுத்துரு குடும்பம்
বিদেশী চাবি,வெளிநாட்டு விசை
প্ৰপত্ৰ,வடிவம்
আনুষ্ঠানিক ভাষা,முறையான மொழி
আনুষ্ঠানিক ব্যৱস্থা,முறையான அமைப்பு
ফৰ্মেট,வடிவம்
ফৰ্মেটিং,வடிவமைத்தல்
fortran,ஃபோர்ட்ரான்
fortra প্ৰগ্ৰেমিং,fortran நிரலாக்க
ফৰৱাৰ্ড স্লেছ,முன்னோக்கி சாய்வு
চতুৰ্থ প্ৰজন্মৰ কম্পিউটাৰ,நான்காம் தலைமுறை கணினி
খণ্ড,துண்டு
ফ্ৰেম,சட்டகம்
মুক্ত নেট,இலவச வலை
মুক্ত চফ্টৱেৰ ভেটি,இலவச மென்பொருள் அடித்தளம்
বিনামূলীয়া সংৰক্ষণ,இலவச சேமிப்பு
ফ্ৰীৱেৰ,இலவச மென்பொருள்
আগশাৰীৰ,முன் முனை
ফ্ৰন্ট পেনেল,முன் குழு
অনুষ্ঠান,செயல்பாடு
ফাংচন কি&#39;,செயல்பாட்டு விசை
ফাংচন ৰেফাৰেন্স,செயல்பாடு குறிப்பு
কাৰ্য্যকৰী নিৰ্ভৰশীলতা,செயல்பாட்டு சார்பு
কাৰ্য্যকৰী পৰীক্ষণ,செயல்பாட்டு சோதனை
অস্পষ্ট যুক্তি,தெளிவற்ற தர்க்கம்
অস্পষ্ট ছেট,தெளிவற்ற தொகுப்பு
লাভ কৰা,ஆதாயம்
খেলা গছ,விளையாட்டு மரம்
ফাঁক চৰিত্ৰ,இடைவெளி பாத்திரம்
আৱৰ্জনা,குப்பை
জাবৰ সংগ্ৰহ,குப்பை சேகரிப்பு
জাবৰ সংগ্ৰহ,குப்பை சேகரிப்பு
জাবৰত জাবৰ বাহিৰলৈ ওলাই যোৱা (GIGO),குப்பையில் குப்பை (GIGO)
গেট,வாயில்
গেটৱে,நுழைவாயில்
সাধাৰণ কাৰ্যসূচী,பொது திட்டம்
সাধাৰণ কাৰ্যসূচী,பொது திட்டம்
সাধাৰণ উদ্দেশ্যৰ কম্পিউটাৰ,பொது நோக்கம் கணினி
সাধাৰণ উদ্দেশ্যৰ কম্পিউটাৰ,பொது நோக்கம் கணினி
সাধাৰণ পঞ্জীয়ন,பொது பதிவு
সাধাৰণীকৰণ,பொதுமைப்படுத்தல்
সাধাৰণীকৰণ,பொதுமைப்படுத்தல்
সাধাৰণ উদ্দেশ্যৰ ভাষা,பொது நோக்க மொழி
সাধাৰণ উদ্দেশ্যৰ অপাৰেটিং sysem,பொது நோக்க இயக்க முறைமை
সাধাৰণ উদ্দেশ্যৰ পঞ্জীয়ন,பொது நோக்கப் பதிவேடு
সৃষ্টি কৰা ভুল,உருவாக்கப்பட்ட பிழை
জেনেৰেটিং ফাংচন,செயல்பாடு உருவாக்கும்
জেনেৰিক ক্লাছ,பொதுவான வகுப்பு
জেনেৰিক ফাংচন,பொதுவான செயல்பாடு
জেনেৰিক নাম,பொதுப்பெயர்
gigo,ஜிகோ
সাৰ্বজনীন,உலகளாவிய
গ্লোবেল ক&#39;ড,உலகளாவிய குறியீடு
গ্লোবেল লক,உலகளாவிய பூட்டு
গ্লোবেল নেটৱৰ্ক,உலகளாவிய நெட்வொர்க்
গ্লোবেল নেটৱৰ্ক,உலகளாவிய நெட்வொர்க்
গ্লোবেল ব্যৱহাৰকাৰী,உலகளாவிய பயனர்
গ্লোবেল ভেৰিয়েবল,உலகளாவிய மாறி
বিশ্বায়ন,உலகமயமாக்கல்
gopher,கோபர்
gopher ক্লায়েন্ট,கோபர் வாடிக்கையாளர்
gopher চাৰ্ভাৰ,கோபர் சர்வர்
gopher চাইট,கோபர் தளம்
gopher স্থান,கோபர் விண்வெளி
graceful অৱক্ষয়,அழகான சீரழிவு
ব্যাকৰণ পৰীক্ষক,இலக்கண சரிபார்ப்பவர்
ব্যাকৰণ graceful প্ৰস্থান,இலக்கணம் நேர்த்தியான வெளியேற்றம்
সৰ্বমুঠ,பெரும் மொத்தம்
গ্ৰাফ,வரைபடம்
গ্ৰাফ প্লটিং,வரைபடம் வரைதல்
গ্ৰাফিক চৰিত্ৰ,வரைகலை பாத்திரம்
গ্রাফিক নিয়ন্ত্রক,வரைகலை கட்டுப்படுத்தி
গ্ৰাফিক ডাটা গঠন,வரைகலை தரவு அமைப்பு
গ্ৰাফিক প্ৰদৰ্শন প্ৰগ্ৰেম,வரைகலை காட்சி நிரல்
গ্ৰাফিক প্ৰদৰ্শন ৰিজ&#39;লিউচন,கிராஃபிக் காட்சி தீர்மானம்
গ্ৰাফিক ভাষা,வரைகலை மொழி
গ্ৰাফিক ভাষা,வரைகலை மொழி
গ্ৰাফিক পেনেল,வரைகலை குழு
গ্ৰাফিকেল এনিমেচন,வரைகலை அனிமேஷன்
চিত্ৰাঙ্কিত আন্তঃপৃষ্ঠ বিন্যাস (GIF),வரைகலை இடைமுக வடிவம் (GIF)
চিত্ৰাঙ্কিত ব্যৱহাৰকাৰী আন্তঃপৃষ্ঠ (GUI),வரைகலை பயனர் இடைமுகம் (GUI)
গ্রাফিক্স,கிராபிக்ஸ்
গ্ৰাফিক্স এপ্লিকেচন,கிராபிக்ஸ் பயன்பாடு
গ্ৰাফিক্স কাৰ্চাৰ,கிராபிக்ஸ் கர்சர்
গ্ৰাফিক্স মোড,கிராபிக்ஸ் முறை
গ্ৰাফিক্স পেকেজ,கிராபிக்ஸ் தொகுப்பு
গ্ৰাফিক্স চফ্টৱেৰ,வரைகலை மென்பொருள்
গ্ৰাফিক্স চফ্টৱেৰ,வரைகலை மென்பொருள்
