Tamil,English
மின் வெளியேற்றம்,Electrical discharge
மின் சாத்தியமான வேறுபாடு,Electrical potential difference
மின் சினாப்ஸ்,Electrical synapse
எலெக்ட்ரான் கார்டியோகிராம் (ஈ.சி.ஜி),Electrocardiogram (ECG)
எலெக்ட்ரோ கார்டியோகிராஃப்,Electrocardiograph
எலெக்ட்ரோ கார்டியோகிராபி,Electrocardiography
மின் வேதியியல் புரோட்டான் கிராடியண்ட்,Electrochemical proton gradiant
எலக்ட்ரோஎன்செபலோகிராம்,Electroencephalogram
எலக்ட்ரோஎன்செபலோகிராபி,Electroencephalography
மின்,Electrogenic
மின்காந்த லென்ஸ்,Electromagnetic lense
மின்காந்த கதிர்வீச்சு,Electromagnetic radiation
மின்காந்த கோட்பாடு,Electromagnetic theory
எலக்ட்ரான் ஏற்பி,Electron acceptor
எலக்ட்ரான் குண்டுவெடிப்பு,Electron bombardment
எலக்ட்ரான் குறைபாடு,Electron deficient
எலக்ட்ரான் நன்கொடையாளர்,Electron donor
எலக்ட்ரான் நுண்ணோக்கி,Electron microscope
எலக்ட்ரான் வெளிப்படைத்தன்மை,Electron transparency
எலக்ட்ரான் போக்குவரத்து சங்கிலி,Electron transport chain
எலக்ட்ரான் போக்குவரத்து அமைப்பு,Electron transport system
எலக்ட்ரோநெகேடிவ்,Electronegative
எலக்ட்ரோநெகேடிவ் அணு,Electronegative atom
மின்னணு கழிவுகள்,Electronic waste
எலக்ட்ரோபோரேசிஸ்,Electrophoresis
மின்முனை,Electroporation
மின்னியல் மழைப்பொழிவு,Electrostatic precipitator
உறுப்பு,Element
உறுப்பு,Element
எலிஃபாஸ்,Elephas
நீள்வட்ட துண்டு,Ellipsoid strip
நீள்வட்ட கூட்டு,Ellipsoidal joint
நீளமான இதயம்,Elongated heart
நீட்டிப்பு காரணி,Elongation factor
எல்பிடியம்,Elphidium
நீக்குதல்,Elution
Emarginate,Emarginate
Emasculation,Emasculation
கரு கலாச்சாரம்,Embryo culture
கரு வளர்ச்சி,Embryo development
கரு மீட்பு,Embryo rescue
கரு,Embryo
கரு சாக்,Embryo sac
கரு ஆராய்ச்சி,Embryological research
கரு,Embryology
கரு பிளாஸ்டோபோர்,Embryonic blastopore
கரு வளர்ச்சி,Embryonic development
கரு இறப்பு,Embryonic mortality
வெளிப்படையான ஹைட்ரோஃபைட்,Emergent hydrophyte
குடியேற்றம்,Emigration
எமிலியா சோன்சிஃபோலியா,Emilia sonchifolia
உணர்ச்சி கொந்தளிப்பு,Emotional turbulence
எம்பட்ரேசி,Empetraceae
எம்பிஸிமா,Emphysema
அனுபவ சூத்திரம்,Empirical formula
ஈமு,Emu
குழம்பாக்குதல்,Emulsifying
Enaima,Enaima
பற்சிப்பி,Enamel
குறியிடப்பட்ட நொதி,Encoded enzyme
என்சைஸ்டேஷன்,Encystation
இறுதி சுவர்,End wall
அருகிவரும்,Endangered
உள்ளூர்,Endemic
எண்டெமிசம்,Endemism
எண்டர்கோனிக் எதிர்வினை,Endergonic reaction
எண்டோகார்ப்,Endocarp
நாளமில்லா சுரப்பிகளை,Endocrine system
எண்டோசைட்டோசிஸ்,Endocytosis
எண்டோடெர்ம்,Endoderm
எண்டோலிம்ப்,Endolymph
எண்டோமெட்ரியம்,Endometrium
எண்டோமிகோரோயிசே,Endomycorrhizae
எண்டோனியூலீஸ் அங்கீகார தளம்,Endonuclease recognition site
எண்டோபிளாஸ்மிக் ரெட்டிகுலம்,Endoplasmic reticulum
எண்டிலோஸ்கோப்,Endoscope
எண்டோஸ்கோபி,Endoscopy
எண்டோஸ்கெலட்டன்,Endoskeleton
எண்டோசோம்,Endosome
எண்டோஸ்பெர்ம்,Endosperm
எண்டோஸ்பர்மிக்,Endospermic
எண்டோடெலியல் புறணி,Endothelial lining
எண்டோடெலியம்,Endothelium
எண்டோடெம் (eomoiotherm),Endotherm (eomoiotherm)
எண்டோதர்மிக்,Endothermic
எண்டோதர்மிக்,Endothermic
எண்டோடாக்சின்,Endotoxin
எண்ட் சாக்,End sac
எண்டோபிளாஸ்மிக்,Endoplasmic
எண்ட்ரோக்ரைன் அமைப்பு,Endrocrine system
ஆற்றல் ஒருங்கிணைந்த,Energy assimilated
ஆற்றல் ஓட்ட மாதிரி,Energy flow model
ஆற்றல் தோட்டம்,Energy plantation
ஆற்றல் தோட்டம்,Energy plantation
ஆற்றல் மூல,Energy source
பொறியியல்,Engineering
என்டமொபா ஹிஸ்டோலிடிகா,Entamoeba histolytica
என்டோரோபியஸ்,Enterobius
என்டோரோசைட்,Enterocyte
Enteron,Enteron
என்டல்பி,Enthalpy
என்டோமோபிலஸ்,Entomophilous
என்டோமோஃபிலி,Entomophily
என்ட்ரோபி,Entropy
சூழல்,Environment
சுற்றுச்சூழல் நிலை,Environmental condition
சுற்றுச்சூழல் நெறிமுறைகள்,Environmental ethics
சுற்றுச்சூழல் காரணி,Environmental factor
சுற்றுச்சூழல் செல்வாக்கு,Environmental influence
சுற்றுச்சூழல் மேலாண்மை,Environmental management
சுற்றுச்சூழல் திட்டமிடல் மற்றும் ஒருங்கிணைப்பு,Environmental planning and coordination
சுற்றுச்சூழல் எதிர்ப்பு,Environmental resistance
நொதி உள்ளடக்கம்,Enzymatic content
நொதி,Enzyme
நொதி அமைப்பு,Enzyme system
நொதி-இணைக்கப்பட்ட,Enzyme-linked
ஈசீன்,Eocene
ஈசினோபில்,Eosinophil
எபெட்ரா,Ephedra
இடைக்கால வருடாந்திர மூலிகை,Ephemeral annual herb
இடைக்கால,Ephemeral
எபிகலிக்ஸ்,Epicalyx
எபிகார்ப்,Epicarp
மேல்தோல் செல்,Epidermal cell
மேல்தோல்,Epidermis
எபிடெர்மோஃபைட்டன்,Epidermophyton
எபிடிடிமிஸ்,Epididymis
எபிஜினே,Epigynae
எபிகினஸ்,Epigynous
கால் -கை வலிப்பு,Epilepsy
எபிலிம்னியன்,Epilimnion
எபிமார்போசிஸ்,Epimorphosis
எபினெஃப்ரின்,Epinephrine
எபினூரியம்,Epineurium
எபிபெட்டலஸ்,Epipetalous
எபிபிசிஸ்,Epiphysis
எபிபைட்,Epiphyte
எபிசோடிக் மனச்சோர்வு,Episodic depression
எபிஸ்டாஸிஸ்,Epistasis
எபிஸ்டாஸிஸ்,Epistasis
புறவணியிழைமயம்,Epithelial tissue
சகாப்தம்,Epoch
எபுலோப்சியம் ஃபிஷ்சோனி,Epulopscium fishesoni
பூமத்திய ரேகை தட்டு,Equatorial plate
சமநிலை,Equilibrium
சமநிலை வண்டல்,Equilibrium sedimentation
ஈக்விசெட்டம்,Equisetum
சமம்,Equus
சகாப்தம்,Era
எர்கோஸ்டெரோல்,Ergosterol
எரிகல்ஸ்,Ericales
அரிப்பு,Erosion
எருசிக் அமிலம்,Erucic acid
எரித்ரினா,Erythrina
எரித்ரோசைட் (ஆர்.பி.சி),Erythrocyte (RBC)
எரித்ரோசைடிக்,Erythrocytic
எரித்ரோபாய்டிக் காரணி,Erythropoietic factor
எரித்ரோபொய்டின்,Erythropoietin
எரித்ராக்ஸிலம் கோகோ,Erythroxylum coca
எஸ்கெரிச்சியா கோலி,Escherichia coli
அத்தியாவசிய எண்ணெய்,Essential oil
எஸ்டர் பாண்ட்,Ester bond
பூப்பாக்கி,Estrogen
ஈஸ்ட்ரோஜன் மாற்று சிகிச்சை,Estrogen replacement therapy
தோட்டம்,Estuary
Etaerio,Etaerio
எத்தனால்,Ethanol
ஈதர்,Ether
எத்திடியம் புரோமைடு,Ethidium bromide
நெறிமுறை,Ethology
நெறிமுறை,Ethology
எத்திலீன்,Ethylene
எத்தில்மீதேன் சல்போனேட்,Ethylmethane sulphonate
Etiolation,Etiolation
யூபாக்டீரியா,Eubacteria
யூபாக்டீரியா செல்,Eubacteria cell
யூக்ரோமாடின்,Euchromatin
யூக்லினா,Euglena
யூக்லெனாய்டு,Euglenoid
யூகாரியோட் (யூகாரியோட்),Eukaryote (eucaryote)
யூகாரியோடிக் செல்,Eukaryotic cell
யூகாரியோடிக் இனங்கள்,Eukaryotic species
EUMETAZOA,Eumetazoa
யூமிடோசிஸ்,Eumitosis
மந்திரி,Eunuchoidism
யூபகுரஸ்,Eupagurus
யூபோர்பியா,Euphorbia
யூபோர்பியாசி,Euphorbiaceae
யூப்ளெக்டெல்லா,Euplectella
யூரிஹலின்,Euryhaline
யூரிதெர்மல்,Eurythermal
ஈஸ்போங்கியா,Euspongia
யூஸ்டாச்சியன் குழாய்,Eustachian tube
யூட்ரோபிக் நீர் உடல்,Eutrophic water body
யூட்ரோஃபிகேஷன்,Eutrophication
யூட்ரோஃபிகேஷன்,Eutrophication
வெளியேற்றப்பட்டது,Evacuated
மதிப்பீடு செய்யப்பட்டது,Evaluated
ஆவியாதல்,Evaporation
மாலை ப்ரிம்ரோஸ்,Evening primrose
பசுமையான வெப்பமண்டல மழைக்காடு,Evergreen tropical rain forest
பரிணாமம்,Evolution
வாழ்க்கையின் பரிணாமம்,Evolution of life
பரிணாம முகவர்,Evolutionary agent
பரிணாம உயிரியல்,Evolutionary biology
பரிணாம செயல்முறை,Evolutionary process
பரிணாம வரிசை,Evolutionary sequence
பரிணாம இனங்கள்,Evolutionary species
பரிணாம வகைபிரித்தல்,Evolutionary taxonomist
பரிணாம போக்கு,Evolutionary trend
மிகைப்படுத்துதல்,Exalbuminous
அதிகப்படியான வளர்ச்சி,Excessive growth
அதிகப்படியான தூக்கம்,Excessive sleeping
உற்சாகம்,Excitability
கழித்தல்,Excretion
வெளியேற்ற பிறப்புறுப்பு குழாய்,Excretory genital duct
வெளியேற்ற லாக்ட்பெரஸ் குழாய்,Excretory lactiferous duct
வெளியேற்ற துளை,Excretory pore
வெளியேற்றும் குழாய்,Excretory tubule
எக்செர்கோனிக் எதிர்வினை,Exergonic reaction
வெளிப்படையான வளங்கள்,Exhaustible resources
எக்ஸோபியாலஜி,Exobiology
எக்ஸோகாய்டஸ்,Exocoetus
எக்ஸோகிரைன் சுரப்பி,Exocrine gland
எக்சோசைட்டோசிஸ்,Exocytosis
வெளிப்புறம்,Exogenous
வெளிப்புற வளரும்,Exogenous budding
எக்ஸோனியூலீஸ்,Exonuclease
எக்ஸோபிராசைட்,Exoprasite
வெளிப்பாடு,Exoplasm
எக்ஸோஸ்கெலட்டன்,Exoskeleton
கவர்ச்சியான இனங்கள்,Exotic species
விரிவாக்கம்,Expansin
பரிசோதனை,Experiment
விளக்கமளிக்கும்,Explant
அதிவேகமாக,Exponentially
வெளிப்படுத்தப்பட்ட வரிசை குறிச்சொல் (EST),Expressed sequence tag (EST)
நீட்டிப்பு,Extensibility
வெளிப்புற காது,External ear
வெளிப்புற கருத்தரித்தல்,External fertilization
வெளிப்புற தூண்டுதல்,External stimulus
அழிவு,Extinction
இனங்களின் அழிவு,Extinction of species
கூடுதல் அடிவயிற்று சோதனைகள்,Extra-abdominal testes
புற -உயிரணு செரிமானம்,Extracellular digestion
புற -புற திரவம்,Extracellular fluid
புற -புற பொருள்,Extracellular material
எக்ஸ்ட்ராசெல்லுலர் மேட்ரிக்ஸ்,Extracellular matrix
பிரித்தெடுத்தல்,Extraction
எக்ஸ்ட்ரெம்பிரையோனிக் சவ்வு,Extraembryonic membrane
வேற்று கிரக தோற்றம்,Extraterrestrial origin
தீவிர பாலைவனம்,Extreme desert
வெளிப்புற புரதம்,Extrinsic protein
புறம்போக்கு,Extroception
புறம்போக்கு,Extrorse
வெளியேற்றும் (கம்மி) பொருள்,Exuding (gummy) substance
கண் அழற்சி,Eye inflammation
கண் லென்ஸ்,Eye lens
கண் துண்டு,Eye piece
கண் இமை,Eyelid
வெளியேற்றும் குழாய்,Excretory tubule
ஃபேபேசி,Fabaceae
ஃபேபேசியஸ்,Fabaceous
முகம்,Facet
முக எலும்பு,Facial bone
எளிதாக்கிய பரவல்,Facilitated diffusion
முக ஒட்டுண்ணி,Facultative parasite
மல விஷயம்,Faecal matter
மலம் துகள்கள்,Faecal pellet
பால்கன்,Falcon
கருமுட்டை குழாய்,Fallopian tube
தவறான பழம்,False fruit
தவறான செப்டம்,False septum
குடும்பம்,Family
திசுப்படலம்,Fascia
பாசிக்கிள்,Fascicle
ஃபாஸ்சிகுலர்,Fascicular
பாசிக்கூல்,Fascicule
ஃபாசியோலா,Fasciola
கொழுப்பு கரையக்கூடிய வைட்டமின்,Fat soluble vitamin
கொழுப்பு அமிலம்,Fatty acid
தவறான நகல்,Faulty copy
விலங்குகள்,Fauna
சாதகமான சுற்றுச்சூழல் நிலை,Favourable environmental condition
இறகு,Feather
இறகு நட்சத்திரம்,Feather star
இறகு களங்கம்,Feathery stigma
பின்னூட்டம்,Feedback
கருத்து தடுப்பு,Feedback inhibition
கருத்து வழிமுறை,Feedback mechanism
உணவு,Feeding
உணரி,Feeler
ஃபெலிஸ்,Felis
பெண் கூம்பு,Female cone
பெண் உச்சரிப்பு,Female pronucleus
தொடை எலும்பு,Femur
நொதித்தல்,Fermentation
ஃபெர்ன்,Fern
ஃபெரெடாக்சின்,Ferredoxin
வளமான கலப்பின,Fertile hybrid
வளமான,Fertile
வளமான,Fertile
வளமான,Fertile
உரங்கள்,Fertilin
கருவுறுதல்,Fertility
கருவுறுதல்,Fertility
கருத்தரித்தல்,Fertilization
கருத்தரித்தல்,Fertilization
உரம்,Fertilizer
குறு நடுக்கம்,Fibrillation
ஃபைப்ரோபிளாஸ்ட் வளர்ச்சி காரணி (FGFS),Fibroblast growth factor (FGFs)
ஃபைப்ரோபிளாஸ்ட்,Fibroblast
ஃபைப்ரோகார்டிலேஜ்,Fibrocartilage
ஃபைப்ரினோஜென்,Fibrinogen
ஃபைப்ரஸ் ரூட் சிஸ்டம்,Fibrous root system
ஃபைப்ரஸ்,Fibrous
ஃபைபுலா,Fibula
ஃபிகஸ்,Ficus
ஃபிகஸ் ஹீட்டோரோபில்லா,Ficus heterophylla
FICUS REIGIOSA (PIPAL),Ficus religiosa (pipal)
புல திறன்,Field capacity
கள நோட்புக்,Field notebook
புல எண்,Field number
இழை கொக்கி,Filament hook
இழை,Filament
இழை,Filamentous
இழை வகை,Filamentous type
ஃபிலாரியா புழு,Filaria worm
ஃபிலிஃபார்ம் ஆண்டெனா,Filiform antenna
வடிகட்டி உணவு,Filter feeding
வடிகட்டுதல் பிளவு,Filtration slit
துடுப்பு,Fin
சிறந்த சரிசெய்தல் குமிழ்,Fine adjustment knob
நல்ல மணல்,Fine sand
கைரேகை,Fingerprinting
வெப்ப இயக்கவியலின் முதல் சட்டம்,First law of thermodynamics
மீன் நெய்,Fish ghee
மீன் எண்ணெய்,Fish oil
மீன் பதப்படுத்தும் தொழில்,Fish processing industry
மீன் புரதம்,Fish protein
மீன்வளம்,Fishery
பிளவு,Fission
பிளவு (பெரிய பள்ளம்),Fissure (large groove)
ஃபிஷ்டுலர்,Fistular
ஐந்து இலக்கங்கள் (பென்டாடாக்டைல்),Five digits (pentadactyl)
ஐந்து இராச்சிய வகைப்பாடு,Five kingdom classification
மரபணு கிளஸ்டரை சரிசெய்யவும்,Fix gene cluster
சரிசெய்தல்,Fixative
நிலையான அல்லது அசையாத,Fixed or immovable
நிலையான மூல,Fixed source
சரிசெய்தல் முகவர்,Fixing agent
நுண்ணுயிரிகளை சரிசெய்தல்,Fixing microbe
ஃப்ளாசிட்,Flaccid
ஃபிளாஜெல்லா,Flagella
ஃபிளாஜலேட்,Flagellate
கொடி,Flagellated
ஃபிளாஜெலின்,Flagellin
ஃப்ளாஜெல்லம்,Flagellum
சுடர் விளக்கை,Flame bulb
சுடர் செல்,Flame cell
ஃபிளமிங்கோ,Flamingo
பிளாட் பீன்,Flat bean
தட்டையான எபிடெலியல் செல்,Flat epithelial cell
தட்டையான புழு,Flat worm
தட்டையான எலும்பு,Flattened bone
ஃபிளாவின் அடினீன் டைனுக்ளியோடைடு,Flavin adenine dinucleotide
சதைப்பற்றுள்ள பழம்,Fleshy fruit
ஃபிளிம்மர் ஃபிலமென்ட்,Flimmer filament
ஃபிளிப்பர்,Flipper
மிதக்கும் விலா,Floating rib
ஃப்ளாக்ஸ்,Flocs
ஃப்ளோரா,Flora
மலர் உருவவியல்,Floral morphology
மலர் அமைப்பு,Floral structure
மலர் சுழல்,Floral whorl
புளோரிஜென்,Florigen
ஓட்டம் சைட்டோமெட்ரி,Flow cytometry
மலர் மொட்டு,Flower bud
பூக்கும் ஆலை,Flowering plant
திரவ ஊட்டி,Fluid feeder
திரவ மொசைக் மாதிரி,Fluid mosaic model
ஃப்ளோரசன்ஸ் மைக்ரோஸ்கோபி,Fluorescence microscopy
ஃப்ளோரசன்ட் சாயம்,Fluorescent dye
ஒளிரும் திரை,Fluorescent screen
ஃவுளூரின்,Fluorine
ஃப்ளோரோக்ரோம்,Fluorochrome
ஃப்ளோரோக்ரோம் சாயம்,Fluorochrome dye
ஃப்ளக்ஸ்,Flux
சாம்பல் பறக்க,Fly ash
பறக்கும்-தவளை,Flying-frog
பறக்கும் மீன்,Flying fish
பறக்கும் பல்லி,Flying lizard
பறக்கும் ஃபாலங்கர்,Flying phalanger
பறக்கும் அணில்,Flying squirrel
கவனம் செலுத்துங்கள்,Focus
அபரட்டஸ் கவனம் செலுத்துதல்,Focussing aparatus
தீவனம்,Fodder
கரு வெளியேற்றம் ரிஃப்ளெக்ஸ்,Foetal ejection reflex
கரு (கரு),Foetus (fetus)
பசுமையாக,Foliage
ஃபோலியார் ரூட்,Foliar root
ஃபோலிக் அமிலம்,Folic acid
நுண்ணறை,Follicle
நுண்ணறை,Follicle
நுண்ணறை தூண்டுதல் ஹார்மோன் (FSH),Follicle stimulating hormone (FSH)
ஃபோலிகுலர் அட்ரேசியா,Follicular atresia
உணவு சங்கிலி,Food chain
உணவு நடத்தும் உறுப்பு,Food conducting element
உணவு விஷம்,Food poisoning
உணவு பிரமிட்,Food pyramid
உணவு வெற்றிடம்,Food vacuole
உணவு சங்கிலி,Food web
எலும்பு தலைசிறந்த,Foramen magnum
ஃபோரமென் ஓவல்,Foramen ovale
ஃபோராமினிஃபெரான்,Foraminiferan
ஒட்டுதலின் சக்தி,Force of adhesion
வெளிநாட்டு டி.என்.ஏ,Foreign DNA
ஃபோர்லிம்ப்,Forelimb
தடய அறிவியல்,Forensic science
மொட்டு முனைத்தோல்,Foreskin
மொட்டு முனைத்தோல்,Foreskin
காடு,Forest
வன சமூகம்,Forest community
வனப்பகுதி,Forest tract
வனவியல்,Forestry
உருவாக்கும் கட்டம்,Formative phase
ஃபோசா ஓவலிஸ்,Fossa ovalis
தொல்பொருள்,Fossil
புதைபடிவ,Fossilised
வளர்ப்பு தாய்,Foster mother
நிறுவனர் விளைவு,Founder effect
நிறுவனர்,Founder
நான்கு-ஓ-கடிகாரம் (மிராபிலிஸ் ஜலபா),Four-o-clock (mirabilis jalapa)
Fovea,Fovea
கோழி,Fowl
பலவீனம்,Fragility
துண்டாக்கும்,Fragmentation
மணம்,Fragrant
பிரேம்-ஷிப்ட் பிறழ்வு,Frame-shift mutation
பிரான்கியா,Frankia
இலவச ஆற்றல்,Free energy
இலவச மிதக்கும்,Free floating
இலவச வாழ்க்கை நுண்ணுயிர்,Free living microbe
இலவச-மத்திய,Free-central
சுதந்திரமான வாழ்க்கை,Free-living
முடக்கம்-பொறிக்கும் நுட்பம்,Freeze-etching technique
ஃப்ராண்ட்,Frond
முன் மடல்,Frontal lobe
உறைந்த நிலை,Frozen state
ஃப்ரூகிவோர்,Frugivore
பழ துளைப்பான்,Fruit borer
பழம் நுண்ணறை,Fruit follicle
பழம்தரும் உடல்,Fruiting body
பழம்,Fruitlet
ஃபுகோக்சாந்தின்,Fucoxanthin
எரிபொருள் பொருள்,Fuel material
ஃபனாரியா,Funaria
செயல்பாடு,Function
செயல்பாட்டு எஞ்சிய திறன்,Functional residual capacity
செயல்பாட்டு அலகு,Functional unit
ஃபண்டஸ்,Fundus
பூஞ்சை நோய்,Fungal disease
பூஞ்சை வடிவம்,Fungal form
பூஞ்சை ஹைபா,Fungal hypha
பூஞ்சை மைசீலியம்,Fungal mycelium
பூஞ்சை,Fungi
பூஞ்சைக் கொல்லி,Fungicide
ஃபன்ஜூர்வாட்டஸ்,Fungivorous
ஃபனிகல்,Funicle
ஃபர்,Fur
ஃபர்ரோ,Furrow
ஃபுசாரியம் உடம்,Fusarium udum
ஃபுசாரியம் வில்ட்,Fusarium wilt
இணைந்த சாக்ரல் முதுகெலும்பு,Fused sacral vertebra
பியூசிஃபார்ம் ரூட்,Fusiform root
இணைவு,Fusion
இணைவு,Fusion
கேலக்டன்,Galactan
கேலக்டோ யூரோனிக் அமிலம்,Galacto uronic acid
விண்மீன்,Galaxy
கால் குளவி,Gall wasp
பித்தப்பை,Gall-bladder
காலஸ்,Gallus
விளையாட்டு மீன்பிடித்தல்,Game fishing
கேமட்,Gamete
கேமடிக் இறப்பு,Gametic mortality
கேமடோஜெனெஸிஸ்,Gametogenesis
கேம்டோபிடிக்,Gametophytic
காமா பன்முகத்தன்மை,Gamma diversity
கமோபில்லஸ்,Gamophyllous
காமோசெபலஸ்,Gamosepalous
கங்கா செயல் திட்டம்,Ganga action plan
வாயு கலவை,Gaseous composition
வாயு மாசுபாடு,Gaseous pollution
இரைப்பை,Gastric
இரைப்பை தடுப்பு பெப்டைட்,Gastric inhibitory peptide
இரைப்பை சாறு,Gastric juice
இரைப்பை குடல் பெப்டைட் ஹார்மோன்,Gastrointestinal peptide hormone
இரைப்பை குடல்,Gastrointestinal tract
இரைப்பை குடல் ஹார்மோன்,Gastrointestinal hormone
காஸ்ட்ரோஸ்கோப்,Gastroscope
இரைப்பை குழி,Gastrovascular cavity
இரைப்பைரா,Gastrula
இரைப்பை கலேடியன்,Gastrulatian
காஸின் போட்டி விலக்கு கொள்கை,Gause's competitive exclusion principle
கவியாலிஸ்,Gavialis
ஜீடோனோகாமி,Geitonogamy
ஜெல் வடிகட்டுதல் குரோமடோகிராபி,Gel filtration chromatography
ஜெலட்டினஸ் அடுக்கு,Gelatinous layer
கெலிடியம்,Gelidium
ஜெம்மா,Gemma
ஜெம்முல்,Gemmule
மரபணு வங்கி,Gene bank
மரபணு குளோனிங்,Gene cloning
மரபணு வெளிப்பாடு,Gene expression
மரபணு துப்பாக்கி,Gene gun
மரபணு செருகல்,Gene insertion
மரபணு அறிமுகம்,Gene introduction
மரபணு லாக்,Gene lac
மரபணு நூலகம் (மரபணு வங்கி),Gene library (gene bank)
மரபணு வரைபடம்,Gene map
மரபணு இடம்பெயர்வு,Gene migration
மரபணு குளம்,Gene pool
மரபணு பிளவு,Gene splicing
மரபணு சின்னம்,Gene symbol
மரபணு சிகிச்சை,Gene therapy
மரபணு,Gene
பொது உடலியல்,General physiology
பொதுமைப்படுத்தல்,Generalisation
பொதுப்பெயர்,Generic name
பொதுப்பெயர்,Generic name
பொதுப்பெயர்,Generic name
மரபணு தடை,Genetic barrier
மரபணு அடிப்படை,Genetic basis
மரபணு தொகுதி,Genetic block
மரபணு குறியீடு,Genetic code
மரபணு தொடர்ச்சி,Genetic continuity
மரபணு ஆலோசனை,Genetic counseling
மரபணு கோளாறு,Genetic disorder
மரபணு வேறுபாடு,Genetic diversity
மரபணு சறுக்கல்,Genetic drift
மரபணு பொறியியல்,Genetic engineering
மரபணு சமநிலை,Genetic equilibrium
மரபணு தகவல்,Genetic information
மரபணு நிலை,Genetic level
மரபணு நிலை,Genetic level
மரபணு வரைபடம்,Genetic map
மரபியல் பொருள்,Genetic material
மரபணு தாய்,Genetic mother
மரபணு மாற்றம்,Genetic transformation
மரபணு மாறுபாடு,Genetic variability
மரபணு மாறுபாடு,Genetic variation
மரபணு ரீதியாக தழுவி,Genetically adapted
மரபுசார் வடிவமைப்பு,Genetically engineered
மரபணு மாற்றப்பட்ட பயிர் (ஜி.எம்.சி),Genetically modified crop (GMC)
மரபணு மாற்றப்பட்ட உணவு,Genetically modified food
மரபணு மாற்றப்பட்ட உயிரினம்,Genetically modified organism
மரபியலாளர்,Geneticist
மரபியல்,Genetics
மரபணு இருப்பு கோட்பாடு,Genic balance theory
பிறப்புறுப்பு,Genital
பிறப்புறுப்பு ஹெர்பெஸ்,Genital herpes
பிறப்புறுப்பு பாப்பிலா,Genital papilla
பிறப்புறுப்பு பை,Genital pouch
மரபணு,Genome
மரபணு,Genomics
மரபணு வகை,Genotype
ஜென்டியானல்ஸ்,Gentianales
வகை,Genus
புவியியல் இடம்,Geographical locality
புவியியல் ஹெசிட்டரி,Geological hsitory
புவியியல் பதிவு,Geological record
புவியியல் நேர அளவு,Geological time scale
வடிவியல்,Geometry
புவிவெப்ப சக்தி,Geothermal energy
ஜியோட்ரோபிசம்,Geotropism
ஜெரனியல்ஸ்,Geraniales
கிருமி,Germ
கிருமி (செக்ஸ்) செல்,Germ (sex) cell
கிருமி வரி குறைபாடு,Germ line defect
கிருமி தெரை,Germ theroy
கிருமி குழாய்,Germ tube
ஜெர்மினல் திசு,Germinal tissue
முளைப்பு,Germination
ஜெர்ம்ப்ளாஸ்,Germplasm
ஜெர்ம்ப்ளாஸ் சேகரிப்பு,Germplasm collection
ஜெஜன்டாலஜிஸ்ட்,Gerontologist
ஜெரண்டாலஜி,Gerontology
கர்ப்பகாலம் (கர்ப்ப காலம்),Gestation (gestation period)
பேய்,Ghost
ராட்சத சிலிண்டர் எல்க்ட்ரோமக்நெட்,Giant cylinder elctromagnet
மாபெரும் கரு,Giant nucleus
ராட்சத ஆமை,Giant tortoise
ஜியார்டியா,Giardia
கிப்பேன் மோதிரம்,Gibbane ring
கிபெரியல்லா புஜிகுரோய்,Gibberalla fujikuroi
கிபெரெல்லின்,Gibberellin
கிப்பன்,Gibbon
செதுக்குதல்,Gill
கில் இழை,Gill filament
கில் வடிகட்டி உணவு,Gill filter feeding
கில் பிளவு,Gill slit
ஜின்கோ,Ginkgo
இடுப்பு,Girdle
இடுப்பு எலும்பு,Girdle bone
கயிறு,Girdling
கிஸ்ஸார்ட்,Gizzard
உரோமங்களற்றது,Glabrous
பனிப்பாறை வைப்பு,Glacial deposit
பனிப்பாறை மொரைன்,Glacial moraine
சுரப்பி,Gland
சுரப்பி,Glandiferous
சுரப்பி எபிட்டிலியம்,Glandular epithelium
சுரப்பி முடி,Glandular hair
கிளான்ஸ் கிளிட்டோரிடிஸ்,Glans clitoridis
க்ளான்ஸ் ஆண்குறி,Glans penis
கண்ணாடி மற்றும் பீங்கான் கழிவுகள்,Glass and ceramic waste
க்ளெனாய்டு குழி,Glenoid cavity
கிளியா,Glia
கிளைல் செல் (நியூரோக்லியா செல்),Glial cell (neuroglia cell)
கிளைல் வளர்ச்சி காரணி (ஜி.ஜி.எஃப்),Glial growth factor (GGF)
சறுக்குதல்,Gliding
சறுக்கு மூட்டு,Gliding joint
உலகளாவிய பல்லுயிர்,Global biodiversity
உலக வெப்பமயமாதல்,Global warming
உலகளாவிய கரு,Globular embryo
உலகளாவிய புரதம்,Globular protein
குளோபுல்,Globule
குளோபுலின்,Globulin
குளோமருலர் வடிகட்டுதல்,Glomerular filtration
குளோமருலோனெப்ரிடிஸ்,Glomerulonephritis
குளோமருலஸ்,Glomerulus
க்ளோமஸ்,Glomus
குளோரியோசா,Gloriosa
குளோசபாலனம்,Glossobalanum
குளோடிஸ்,Glottis
கிளைகோஜன் கிரானுல்,Glycogen granule
குளுக்கோகார்ட்டிகாய்டு,Glucocorticoid
குளுகோகன்,Glucagon
குளுக்கோசமைன்,Glucosamine
குளுக்கோஸ்,Glucose
குளுக்கோசினோலேட்,Glucosinolate
க்ளுமேசி,Glumaceae
பளபளப்பு,Glume
குளுட்டமேட் டீஹைட்ரஜனேஸ்,Glutamate dehydrogenase
குளுட்டமிக் அமிலம்,Glutamic acid
குளுட்டமைன் சின்தேடேஸ்,Glutamine synthetase
