Tamil,Punjabi
போட்டி தொடர்பு,ਪ੍ਰਤੀਯੋਗੀ ਪਰਸਪਰ ਪ੍ਰਭਾਵ
துணை பயிர்,ਪੂਰਕ ਫਸਲ
1.கலவை 2. சிக்கலானது,1. ਸੰਯੁਕਤ 2. ਗੁੰਝਲਦਾਰ
தொகுதி,ਸੰਵਿਧਾਨਕ
கலவை,ਰਚਨਾ
உரம்,ਖਾਦ
கூட்டு வட்டி,ਮਿਸ਼ਰਿਤ ਵਿਆਜ
கணக்கீடு,ਗਣਨਾ
1. கணினி 2. கணினி,1. ਕੰਪਿਊਟਰ 2. ਕੰਪਿਊਟਰ
1. செறிவு 2. செறிவு,1. ਇਕਾਗਰਤਾ 2. ਇਕਾਗਰਤਾ
1. Optimizer 2. Revitalizer,1. ਆਪਟੀਮਾਈਜ਼ਰ 2. ਰੀਵਾਈਟਲਾਈਜ਼ਰ
கடத்துத்திறன்,ਚਾਲਕਤਾ
1. கட்டமைப்பு 2. கட்டமைப்பு,1. ਸੰਰਚਨਾ 2. ਸੰਰਚਨਾ
1. இணக்கம் 2. கட்டமைப்பு 3. இணக்கம்,1. ਅਨੁਕੂਲਤਾ 2. ਸੰਰਚਨਾ 3. ਅਨੁਕੂਲਤਾ
1. ஒருங்கிணைப்பு 2. கலப்பு,1. ਏਕੀਕਰਣ 2. ਹਾਈਬ੍ਰਿਡਾਈਜ਼ੇਸ਼ਨ
இணைத்தல்,ਸੰਜੋਗ
1. சேர்க்கை 2. இணைப்பு,1. ਜੋੜਨ ਵਾਲਾ 2. ਜੋੜਨ ਵਾਲਾ
பாதுகாப்பு,ਸੁਰੱਖਿਆ
ஒருங்கிணைப்பு,ਏਕੀਕਰਨ
1. மூலப்பொருள் 2. தேவையான பொருட்கள்,1. ਸਮੱਗਰੀ 2. ਸਮੱਗਰੀ
நுகர்வோர்,ਖਪਤਕਾਰ
நுகர்வு,ਖਪਤ
மாசுபடுதல்,ਗੰਦਗੀ
விளிம்பு நடவு,ਕੰਟੂਰ ਲਾਉਣਾ
விளிம்பு கோடு,ਕੰਟੋਰ ਲਾਈਨ
1. ஒப்பந்த விவசாயம் 2. ஒப்பந்த விவசாயம் 3. ஒப்பந்த விவசாயம்,1. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ 2. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ 3. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ
கட்டுப்படுத்தப்பட்ட வளிமண்டல சேமிப்பு,ਨਿਯੰਤਰਿਤ ਵਾਯੂਮੰਡਲ ਸਟੋਰੇਜ਼
கூட்டுறவு வங்கி,ਸਹਿਕਾਰੀ ਬੈਂਕ
கூட்டுறவு சங்க உறுப்பினர்,ਸਹਿਕਾਰੀ ਸਭਾ ਦੇ ਮੈਂਬਰ
குல்மவன்,ਗੁਲਮਾਵਨ
க்யூப்ஸ்,ਘਣ
1. தல்புஞ்ச் 2. கொரோலா,1. ਦਲਪੁੰਜ 2. ਕੋਰੋਲਾ
1. கோர்டெக்ஸ் 2. கார்டெக்ஸ்,1. ਕਾਰਟੈਕਸ 2. ਕਾਰਟੈਕਸ
செலவு,ਲਾਗਤ
கோட்டிலிடன்,cotyledon
கடன் குழு,ਕ੍ਰੈਡਿਟ ਕਮੇਟੀ
1. கடன் கொடுத்தல் 2. கடன்,1. ਉਧਾਰ 2. ਕ੍ਰੈਡਿਟ
1. கடன் கொடுத்தவர் 2. கடன் கொடுத்தவர்,1. ਰਿਣਦਾਤਾ 2. ਲੈਣਦਾਰ
1. முகடு 2. உச்சி 3. கோபுரம்,1. ਕਰੈਸਟ 2. ਸਿਰਾ 3. ਸਪਾਇਰ
திரும்பப் பெறுதல்,ਵਾਪਸੀ
பிரச்சனை,ਸਮੱਸਿਆ
சோதனை,ਟੈਸਟ
முக்கியமான,ਨਾਜ਼ੁਕ
பயிர் காப்பீடு,ਫਸਲ ਬੀਮਾ
பயிர் கடன்,ਫਸਲ ਕਰਜ਼ਾ
1. பயிர் 2. பயிர்,1. ਫਸਲ 2. ਫਸਲ
சாகுபடி பகுதி,ਕਾਸ਼ਤ ਖੇਤਰ
குறுக்கு இணக்கமற்ற,ਪਾਰ ਅਸੰਗਤ
1. கிரீடம் 2. உச்சம் (தாவரம்),1. ਤਾਜ 2. ਸਿਖਰ (ਪੌਦਾ)
மென்மையான துகள்கள்,ਨਰਮ ਕਣ
மேல் ஓடு,ਛਾਲੇ
1. கிரிப்டோகம் 2. புளோரிஃபார்ம் அல்லாதது,1. ਕ੍ਰਿਪਟੋਗਾਮ 2. ਗੈਰ-ਫਲੋਰੀਫਾਰਮ
கொடிமுந்திரி (பழம்),ਛਾਂਟੀ (ਫਲ)
பேனா,ਕਲਮ
சாகுபடி வகை,ਕਿਸਮ ਦੀ ਕਿਸਮ
1. இழுவை 2. விவசாயம் 3. விவசாயம்,1. ਟ੍ਰੈਕਸ਼ਨ 2. ਖੇਤੀਬਾੜੀ 3. ਖੇਤੀ
1. விவசாயி 2. உழவர்,1. ਕਿਸਾਨ 2. ਕਾਸ਼ਤਕਾਰ
1. சாகுபடி 2. சாகுபடி 3. வளர்ப்பு,1. ਕਾਸ਼ਤ 2. ਕਾਸ਼ਤ 3. ਪਾਲਣ
1.வளம் 2.தயாரிப்பு,1.ਸਰੋਤ 2.ਤਿਆਰੀ
1.குந்தலன் 2.குஞ்சன்,1.ਕੁੰਤਲਨ 2.ਕੁੰਚਨ
தோரணை,ਆਸਣ
1. மேல்தோல் 2. க்யூட்டிகல்,1. ਐਪੀਡਰਰਮਿਸ 2. ਛੱਲੀ
1. பேனா 2. வெட்டுதல் 3. வெட்டுதல் 4. வெட்டுதல் 5. வெட்டுதல்,1. ਕਲਮ 2. ਕੱਟਣਾ 3. ਕੱਟਣਾ 4. ਕੱਟਣਾ 5. ਕੱਟਣਾ
1. புழு கார்பஸ் 2. நீர்க்கட்டி 3. நீர்க்கட்டி 4. சிதைந்த கட்டி 5. நியோபிளாசம்,1. ਕੀੜਾ ਸਰੀਰ 2. ਸਿਸਟ 3. ਗੰਢ 4. ਵਿਗੜਿਆ ਗੰਢ 5. ਨਿਓਪਲਾਜ਼ਮ
சைட்டோக்ரோம்,cytochrome
செல் இணைப்பு,ਸੈੱਲ ਜੋੜਨਾ
செல் இனப்பெருக்கம்,ਸੈੱਲ ਪ੍ਰਜਨਨ
செல் மரபியல்,ਸੈੱਲ ਜੈਨੇਟਿਕਸ
சைட்டோபிளாஸ்மிக் பிரிவு,cytoplasmic ਡਿਵੀਜ਼ਨ
உயிரணு உயிரியல்,ਸੈੱਲ ਜੀਵ ਵਿਗਿਆਨ
செல் சிதைவு,ਸੈੱਲ lysis
1. சைட்டோமியர் 2. செல் பிரிவு,1. ਸਾਇਟੋਮੇਰ 2. ਸੈੱਲ ਸੈਗਮੈਂਟੇਸ਼ਨ
சைட்டோபிளாசம்,cytoplasm
1. பால்பண்ணை 2. பால்பண்ணை,1. ਡੇਅਰੀ 2. ਡੇਅਰੀ
பால் தொழில்,ਡੇਅਰੀ ਉਦਯੋਗ
1. அணை 2. வளர்ப்பவர்,1. ਡੈਮ 2. ਬਰੀਡਰ
நாள் முழுமையான தாவரம்,ਦਿਨ ਦਾ ਸੰਪੂਰਨ ਪੌਦਾ
பூக்கும் மறுநாள்,ਫੁੱਲ ਦੇ ਬਾਅਦ ਦਿਨ
முழு பூக்கும் மறுநாள்,ਪੂਰੇ ਫੁੱਲ ਦੇ ਬਾਅਦ ਦਿਨ
திறமையின்மை,ਅਕੁਸ਼ਲਤਾ
சுண்ணாம்பு நீக்கம்,decalcification
1. அப்புறப்படுத்து 2. அப்புறப்படுத்து,1. ਡਿਸਲੋਜ 2. ਡਿਸਲੋਜ
சிதைவு,ਸੜਨ
இலையுதிர்,ਪਤਝੜ
1. தசமம் 2. தசம,1. ਦਸ਼ਮਲਵ 2. ਦਸ਼ਮਲਵ
தாழ்வு மனப்பான்மை,ਘਟੀਆਪਨ
அனுரன் (மண்),ਅਨੁਰਾਨ (ਮਿੱਟੀ)
விபுஷ்பன்,ਵਿਪੁਸ਼ਪਨ
பில்லிங்,ਬਿਲਿੰਗ
காடழிப்பு,ਕਟਾਈ
அவமானம்,ਬਦਨਾਮੀ
சீரழிவு,ਪਤਨ
பகுதி நாள்,ਭਾਗ ਦਿਨ
1. அளவு 2. பகுதி,1. ਮਾਤਰਾ 2. ਹਿੱਸਾ
விலகல்,dehiscence
உமி அகற்றுதல்,ਭੂਸੀ ਨੂੰ ਹਟਾਉਣਾ
உமி அகற்றுதல்,ਭੂਸੀ ਨੂੰ ਹਟਾਉਣਾ
நீரிழப்பு,ਡੀਹਾਈਡਰੇਸ਼ਨ
நீரற்ற,ਨਿਹਾਈਡ੍ਰਸ
கோரிக்கை,ਮੰਗ
1. டினாட்டரேஷன் 2. பெருக்கல்,1. ਵਿਨਾਸ਼ਕਾਰੀ 2. ਗੁਣਾ
கண்டனம்,ਖੰਡਨ
1. வைப்பு (மண்) 2. வைப்பு (பொருளாதாரம்),1. ਜਮ੍ਹਾ (ਮਿੱਟੀ) 2. ਜਮ੍ਹਾ (ਆਰਥਿਕਤਾ)
வைப்பு,ਜਮ੍ਹਾ
1. தேய்மானம் 2. தேய்மானம்,1. ਘਟਾਓ 2. ਘਟਾਓ
உப்புநீக்கம்,ਡੀਸਲੀਨੇਸ਼ਨ
1. நீர் உலர்த்துதல் 2. நீரிழப்பு,1. ਪਾਣੀ ਸੁਕਾਉਣਾ 2. ਡੀਹਾਈਡਰੇਸ਼ਨ
1. வடிவமைப்பு 2. வடிவமைப்பு,1. ਡਿਜ਼ਾਈਨ 2. ਡਿਜ਼ਾਈਨ
உலர்,ਸੁੱਕਣ ਵਾਲਾ
கர்னல் அகற்றுதல்,ਕਰਨਲ ਹਟਾਉਣ
இடைக்கணிப்பு,ਡੀ-ਇੰਟਰਕਲੇਸ਼ਨ
இணைத்தல்,ਸੰਜੋਗ
1. ஆண் மஞ்சரி பிரித்தெடுத்தல் (சோளம்) 2. பல்லார் பிரித்தெடுத்தல்,1. ਨਰ ਮੰਜਰੀ ਐਕਸਟਰੈਕਸ਼ਨ (ਮੱਕੀ) 2. ਬੱਲਰ ਐਕਸਟਰੈਕਸ਼ਨ
பல்லார் அல்லது குந்தன் வெட்டுதல்,ਬੱਲਰ ਜਾਂ ਕੁੰਦਨ ਕੱਟਣਾ
தீர்மானிப்பவர்,ਨਿਰਧਾਰਕ
மதிப்பிழப்பு,devaluation
தாவரங்களை நீக்கும்,de-vegetate
விலகல்,ਭਟਕਣਾ
இரட்டை,ਡਬਲ
நோய் கண்டறிதல்,ਨਿਦਾਨ
வெவ்வேறு முதிர்ச்சி,ਵੱਖਰੀ ਪਰਿਪੱਕਤਾ
பிளவு,ਵੰਡ
1. டைகோடைலிடன் 2. டைகோடைலிடன் (விதை),1. ਡਾਇਕੋਟਾਈਲਡਨ 2. ਡਾਇਕੋਟਾਈਲਡਨ (ਬੀਜ)
முதுகு நோய்,ਪਿੱਠ ਦੀ ਬਿਮਾਰੀ
1. பரவல் 2. பரவல்,1. ਫੈਲਾਅ 2. ਪ੍ਰਸਾਰ
செரிமானம்,ਪਾਚਨ ਸਮਰੱਥਾ
இருகலப்பின,ਡਾਇਹਾਈਬ੍ਰਿਡ
1. அணை 2. வாய்க்கால் 3. குடும்பம்,1. ਡੈਮ 2. ਡਰੇਨ 3. ਪਰਿਵਾਰ
அற்ப,ਮਾਮੂਲੀ
1. தனிக்குடித்தனம் 2. ஒருதார மணம்,1. ਮੋਨੋਗੈਮਸ 2. ਮੋਨੋਗੈਮਸ
டிப்ளாய்டு,ਡਿਪਲੋਇਡ
1. டிப்ளாய்டு 2. டிப்ளாய்டு,1. ਡਿਪਲੋਇਡ 2. ਡਿਪਲੋਇਡ
இருமுனை,dipole
1. பிரித்தெடுத்தல் 2. மொட்டு அகற்றுதல்,1. ਕੱਢਣਾ 2. ਬਡ ਹਟਾਉਣਾ
1. கலப்பை உழுதல் 2. நூற்பு,1. ਹਲ ਵਾਹੁਣਾ 2. ਕਤਾਈ
தள்ளுபடி,ਛੂਟ
கிருமி நீக்கம்,ਕੀਟਾਣੂਨਾਸ਼ਕ
1. சிதறல் 2. சிதறல்,1. ਫੈਲਾਅ 2. ਖਿੰਡਾਉਣਾ
1. சிதறல் 2. மாறுபாடு,1. ਖਿੰਡਾਉਣਾ 2. ਪਰਿਵਰਤਨ
பல்வகைப்படுத்தல்,ਵਿਭਿੰਨਤਾ
பல்வகைப்பட்ட விவசாயம்,ਵਿਭਿੰਨ ਖੇਤੀਬਾੜੀ
டிஎன்ஏ படி,ਡੀਐਨਏ ਕਦਮ
டிஎன்ஏ பெறுபவர்,ਡੀ.ਐਨ.ਏ ਪ੍ਰਾਪਤਕਰਤਾ
கப்பல்துறை வாடகை,ਡੌਕ ਕਿਰਾਏ &#39;ਤੇ
பயனுள்ள,ਅਸਰਦਾਰ
செயலற்ற நிலை,ਸੁਸਤਤਾ
1. அளவு 2. அளவு 3. அளவு,1. ਮਾਤਰਾ 2. ਖੁਰਾਕ 3. ਖੁਰਾਕ
இரட்டை சிக்மாய்டு வளைவு,ਡਬਲ ਸਿਗਮੋਇਡ ਕਰਵ
1. புயல் 2. நீட்சி,1. ਝੱਖੜ 2. ਖਿੱਚੋ
1. வெளியேற்ற வடிகால் 2. கழிவுநீர்,1. ਐਗਜ਼ੌਸਟ ਡਰੇਨ 2. ਗੰਦਾ ਪਾਣੀ
வடிகால்,ਡਰੇਨੇਜ
இழுவை,ਖਿੱਚ
1. மருந்து கொடு 2. நனை,1. ਦਵਾਈ ਦਿਓ 2. ਭਿੱਜੋ
அழகுசாதனப் பொருட்கள் (விதைகள்),ਕਾਸਮੈਟਿਕਸ (ਬੀਜ)
1. ஆகர் 2. ஆழமற்ற தவறு 3. துளை 4. துருப்பு,1. auger 2. ਘੱਟ ਨੁਕਸ 3. ਡ੍ਰਿਲ 4. auger
1. துளை 2. துளை 3. துளை,1. ਮੋਰੀ 2. ਡ੍ਰਿਲ 3. ਡ੍ਰਿਲ
1. துளையிடுதல் 2. துரப்பணம் மூலம் விதைத்தல் 3. துரப்பணம் மூலம் ஊற்றுதல்,1. ਡ੍ਰਿਲਿੰਗ 2. ਇੱਕ ਮਸ਼ਕ ਨਾਲ ਬਿਜਾਈ 3. ਇੱਕ ਮਸ਼ਕ ਨਾਲ ਡੋਲ੍ਹਣਾ
சொட்டு நீர் பாசனம்,ਤੁਪਕਾ ਸਿੰਚਾਈ
உலர் விவசாயம்,ਸੁੱਕੀ ਖੇਤੀ
1.தூசி 2.புக்னி,1.ਧੂੜ 2.ਬੁਕਨੀ
1. டஸ்டர் 2. சிதறல்,1. ਡਸਟਰ 2. ਸਕੈਟਰਰ
தெளிக்க,ਛਿੜਕਣ ਲਈ
1. குள்ளன் 2. வாமனன்,1. ਬੌਣਾ 2. ਵਾਮਨ
வாமன பிரமிட்,ਵਾਮਨ ਪਿਰਾਮਿਡ
வாமினி பவன்,ਵਾਮਿਨੀ ਭਵਨ
சூழலியல்,ਵਾਤਾਵਰਣ
பொருளாதார அளவியல்,ਅਰਥ ਗਣਿਤ
பொருளாதார திறன்,ਆਰਥਿਕ ਕੁਸ਼ਲਤਾ
சூழ்நிலை வகை,ਸਥਿਤੀ ਦੀ ਕਿਸਮ
கூடுதல் அடுக்கு,ਵਾਧੂ ਪੱਧਰੀ
மென்மையான,ਨਰਮ
மண் அறிவியல்,ਮਿੱਟੀ ਵਿਗਿਆਨ
1. பாலம் 2. விளிம்பு 3. இழை மூடல்,1. ਬ੍ਰਿਜਿੰਗ 2. ਕਿਨਾਰਾ 3. ਸਟ੍ਰੈਂਡ ਕਲੋਜ਼ਰ
உணவு பகுதி,ਭੋਜਨ ਦਾ ਹਿੱਸਾ
தேவை நெகிழ்ச்சி,ਮੰਗ ਦੀ ਲਚਕਤਾ
உற்பத்தி நெகிழ்ச்சி,ਉਤਪਾਦਨ ਦੀ ਲਚਕਤਾ
மின்னாற்பகுப்பு,ਇਲੈਕਟ੍ਰੋਲਾਈਸਿਸ
எலக்ட்ரோபோரேசிஸ்,ਇਲੈਕਟ੍ਰੋਫੋਰੇਸਿਸ
ஆவியாதல்,ਵਾਸ਼ਪੀਕਰਨ
1. சிரச்சேதம் 2. பிடிப்பவர் 3. தலை துண்டிப்பவர் 4. ஸ்டெரிலைசர்,1. ਡੀਕੈਪੀਟੇਟਰ 2. ਨਸਬੰਦੀ 3. ਡੀਕੈਪੀਟੇਟਰ 4. ਨਸਬੰਦੀ
1. வெயிர் பாண்டி 2. ஸ்ட்ராபாண்டி,1. ਵੀਰ ਬੰਦੀ 2. ਤੂੜੀ
கரு,ਭਰੂਣ
1. கருவியல் 2. இயற்பியல்,1. ਭਰੂਣ ਵਿਗਿਆਨ 2. ਭੌਤਿਕ ਵਿਗਿਆਨ
1. வெளியேறு 2. வெளியேறு,1. ਨਿਕਾਸ 2. ਨਿਕਾਸ
குழம்பாக்கி,emulsifier
உட்புறம்,ਅੰਤਰਜਾਤੀ
உள்-புள்ளி பிரிவு,ਅੰਤਰ-ਪੁਆਇੰਟ ਡਿਵੀਜ਼ਨ
உள் ஒட்டுண்ணி,ਅੰਤਰ-ਪਰਜੀਵੀ
எண்டோஸ்பெர்ம்,ਐਂਡੋਸਪਰਮ
நிறுவன,ਉੱਦਮ
பூச்சியியல்,ਕੀਟ ਵਿਗਿਆਨ
சூழல்,ਵਾਤਾਵਰਣ
1. என்சைம் 2. என்சைம்,1. ਐਨਜ਼ਾਈਮ 2. ਐਨਜ਼ਾਈਮ
கொத்து ஒட்டுதல்,ਕਲੱਸਟਰ ਗ੍ਰਾਫਟਿੰਗ
1. எபிஃபைட் 2. எபிஃபைட்,1. ਐਪੀਫਾਈਟ 2. ਐਪੀਫਾਈਟ
பங்கு,ਇਕੁਇਟੀ
நீக்குதல்,ਖਾਤਮਾ
அத்தியாவசிய ஊட்டச்சத்துக்கள்,ਜ਼ਰੂਰੀ ਪੌਸ਼ਟਿਕ ਤੱਤ
1. அளவீடு 2. தாவி 3. மதிப்பீடு,1. ਮਾਪ 2. ਜੰਪ 3. ਮੁਲਾਂਕਣ
நேர்த்தியான,ਚੁਸਤ
சுஜன்னிக்,ਸੁਜਾਨਿਕ
மதிப்பீடு,ਮੁਲਾਂਕਣ
நீராவி மானி,ਭਾਫ਼ ਗੇਜ
ஆவியாதல்,evaportranspiration
நித்திய புரட்சி,ਸਦੀਵੀ ਇਨਕਲਾਬ
1. evergreen 2. evergreen,1. ਸਦਾਬਹਾਰ 2. ਸਦਾਬਹਾਰ
வளர்ச்சி,ਵਿਕਾਸ
துண்டிக்கப்பட்டது,ਬੰਦ ਕਰ ਦਿਓ
பரீக்ஷய் (கருவுறுதல்),ਪਰੀਕਸ਼ਯ (ਜਣਨ ਸ਼ਕਤੀ)
சுரண்டல்,ਸ਼ੋਸ਼ਣ
1. ஆய்வு 2. ஆய்வு,1. ਖੋਜ 2. ਖੋਜ
1. வெளியேற்றம் 2. உமிழ்வு,1. ਐਕਸਟਰਿਊਸ਼ਨ 2. ਨਿਕਾਸ
கண்,ਆਈ
1. காரணி 2. கூறு 3. காரணி 4. வளம்,1. ਫੈਕਟਰ 2. ਕੰਪੋਨੈਂਟ 3. ਫੈਕਟਰ 4. ਸਰੋਤ
காரணி உற்பத்தித்திறன்,ਕਾਰਕ ਉਤਪਾਦਕਤਾ
வர்த்தகர் தள்ளுபடி,ਵਪਾਰੀ ਦੀ ਛੋਟ
காரணி தொகுதி வடிவமைப்பு,ਫੈਕਟੋਰੀਅਲ ਬਲਾਕ ਡਿਜ਼ਾਈਨ
மாற்று,ਵਿਕਲਪਕ
1. பட்டி 2. பலிஹார்,1. ਪੱਟੀ 2. ਪਾਲੀਹਾਰ
மொத்த,ਕੁੱਲ
கள மதிப்பீடு,ਖੇਤਰ ਦਾ ਮੁਲਾਂਕਣ
பண்ணை பட்ஜெட்,ਖੇਤੀ ਬਜਟ
விவசாய வணிகம்,ਖੇਤੀਬਾੜੀ ਕਾਰੋਬਾਰ
கள திட்டமிடல்,ਖੇਤਰ ਦੀ ਯੋਜਨਾਬੰਦੀ
1. விவசாயி 2. விவசாயி,1. ਕਿਸਾਨ 2. ਕਿਸਾਨ
1. விவசாயம் 2. விவசாயம்,1. ਖੇਤੀ 2. ਖੇਤੀ
மோதல்,ਟੱਕਰ
பல இனப்பெருக்கம்,ਮਲਟੀਪਲ ਪ੍ਰਜਨਨ
நொதித்தல்,ਫਰਮੈਂਟੇਸ਼ਨ
கருவுறுதல்,ਜਣਨ
உரம்,ਖਾਦ
உர பயன்பாடு திறன்,ਖਾਦ ਵਰਤਣ ਦੀ ਕੁਸ਼ਲਤਾ
நார்ச்சத்து,ਰੇਸ਼ੇਦਾਰ
1. பண்ணை 2. பகுதி 3. இடம்,1. ਫਾਰਮ 2. ਖੇਤਰ 3. ਸਥਾਨ
மண் நீர் பிடித்து,ਮਿੱਟੀ ਦੇ ਪਾਣੀ ਨੂੰ ਰੱਖਣ
கள ஆர்ப்பாட்டம்,ਖੇਤਰ ਪ੍ਰਦਰਸ਼ਨ
1. அசையாமை 2. ஃபிக்சேஷன் 3. ஃபிக்சேஷன்,1. ਸਥਿਰਤਾ 2. ਫਿਕਸੇਸ਼ਨ 3. ਫਿਕਸੇਸ਼ਨ
1. ஊடுருவல் 2. செறிவூட்டல்,1. ਡੁੱਬਣਾ 2. ਗਰਭਪਾਤ
ஓட்ட வரைபடம்,ਵਹਾਅ ਚਿੱਤਰ
உணவு மதிப்பு,ਭੋਜਨ ਮੁੱਲ
தீவனம்,ਚਾਰਾ
முன்னறிவிப்பு,ਪੂਰਵ ਅਨੁਮਾਨ
காடு,ਜੰਗਲ
காடு வளர்ப்பு,ਜੰਗਲਾਤ
1. டாட்பார்ன் 2. படிவம்,1. ਤਾਦਪਰਨ 2. ਰੂਪ
உறைபனி எதிர்ப்பு,ਠੰਡ ਰੋਧਕ
1. பாலா 2. ப்ளைட்,1. ਪਾਲਾ 2. ਝੁਲਸ
1. உறைந்த 2. உறைந்த,1. ਜੰਮਿਆ ਹੋਇਆ 2. ਜੰਮਿਆ ਹੋਇਆ
செயல்பாடு,ਫੰਕਸ਼ਨ
1. பழம் வீழ்ச்சி 2. பழம் வீழ்ச்சி,1. ਫਰੂਟ ਫਾਲ 2. ਫਰੂਟ ਫਾਲ
பழங்கள் ஆக,ਫਲ ਬਣ
1. புகைத்தல் 2. புகைத்தல்,1. ਧੁਨੀ 2. ਧੁੰਦ
பூஞ்சைக் கொல்லி,ਉੱਲੀਨਾਸ਼ਕ
பூஞ்சை எதிர்ப்பு,ਐਂਟੀਫੰਗਲ
பூஞ்சை,ਉੱਲੀ
1. குத் 2. சீதா,1. ਖੁਦਾ 2. ਸੀਤਾ
1. இணைவு 2. இணைவு,1. ਫਿਊਜ਼ਨ 2. ਫਿਊਜ਼ਨ
பருத்தி கம்பளி,ਕਪਾਹ ਉੱਨ
முடிகள் நிறைந்த,ਵਾਲਾਂ ਵਾਲਾ
1. மரப்புண் 2. பிடிகா,1. ਰੁੱਖ ਦਾ ਫੋੜਾ 2. ਪਿਟਿਕਾ
1. கேமட்கள் 2. கேமட்கள்,1. ਗੇਮੇਟਸ 2. ਗੇਮੇਟਸ
1. தோட்டம் 2. தோட்டம்,1. ਬਾਗ 2. ਬਾਗ
1. பான்சால் 2. ஹைட்ரோமீட்டர்,1. ਪੰਸਲ 2. ਹਾਈਡਰੋਮੀਟਰ
மரபணு சேகரிப்பு,ਜੀਨ ਸੰਗ੍ਰਹਿ
ஜீன் டேகன்,ਜੀਨ ਟੈਗਨ
பரம்பரை,ਵੰਸ਼ਾਵਲੀ
மரபணு வரைபடம்,ਜੀਨ ਨਕਸ਼ਾ
மரபியல்,ਜੈਨੇਟਿਕਸ
1. ஜீனோம் 2. சங்கீன்,1. ਜੀਨੋਮ 2. ਸੰਗੀਨ
சஞ்சினி சேகரிப்பு,ਸੰਜੀਨੀ ਸੰਗ੍ਰਹਿ
மரபியல்,ਜੀਨੋਮਿਕਸ
மரபணு வகை,ਜੀਨੋਟਾਈਪ
1. மரபணு அமைப்பு 2. மரபணு வகை,1. ਜੀਨ ਬਣਤਰ 2. ਜੀਨ ਦੀ ਕਿਸਮ
பரம்பரை,ਲਿੰਗ
1. பேரினம் 2. பரம்பரை,1. ਜੀਨਸ 2. ਵੰਸ਼
1. கிருமி 2. கிருமி,1. ਜਰਮ 2. ਕੀਟਾਣੂ
கிருமி நாசினி,ਕੀਟਾਣੂਨਾਸ਼ਕ
முளைத்தல்,ਉਗਣਾ
1. ஜெர்ம்பிளாசம் 2. ஜெர்ம்பிளாசம்,1. ਜਰਮਪਲਾਜ਼ਮ 2. ਜਰਮਪਲਾਜ਼ਮ
ஜிபெரெலிக் அமிலம்,gibberellic ਐਸਿਡ
பொறுக்கி,ਇਕੱਠਾ ਕਰਨਾ
துஷ்,ਤੁਸ਼
1. பசையம் 2. பெருந்தீனி,1. ਗਲੁਟਨ 2. ਪੇਟੂ
கிளைகோலிசிஸ்,glycolysis
நைஸ்,ਵਧੀਆ
பொன் புரட்சி,ਸੁਨਹਿਰੀ ਇਨਕਲਾਬ
1. வகைப்பாடு 2. வகைப்பாடு 3. அடுக்குப்படுத்தல்,1. ਵਰਗੀਕਰਨ 2. ਵਰਗੀਕਰਨ 3. ਪੱਧਰੀਕਰਨ
1. ஒட்டு செடி 2. பெனும்பிரல் செடி,1. ਗ੍ਰਾਫਟਡ ਪੌਦਾ 2. ਪੇਨਮਬਰਲ ਪਲਾਂਟ
பேனா சீரற்ற,ਕਲਮ ਅਸੰਗਤ
கிரானா,ਗ੍ਰਾਨਾ
குருணையாக்கம்,ਦਾਣੇ
பச்சை உரம்,ਹਰੀ ਖਾਦ
பசுமைப் புரட்சி,ਹਰੀ ਕ੍ਰਾਂਤੀ
வளர்ச்சி மற்றும் வளர்ச்சி,ਵਿਕਾਸ ਅਤੇ ਵਿਕਾਸ
1. ஈறு நோய்,1. ਮਸੂੜਿਆਂ ਦੀ ਬਿਮਾਰੀ
வேற்றுபாலின,ਵਿਪਰੀਤ ਲਿੰਗੀ
1. பிரகிருதி 2. இயல்பு 3. ரூபகுணம் 4. தோற்றம்,1. ਪ੍ਰਕ੍ਰਿਤੀ 2. ਕੁਦਰਤ 3. ਰੂਪਗੁਣਾ 4. ਦਿੱਖ
1. ஓலா 2. கர்கபட் 3. கர்கா,1. ਓਲਾ 2. ਕਰਕਪਟ 3. ਕਰਕਾ
ரோமில்வாட்ச்,ਰੋਮਿਲਵਾਚ
உப்பு நீர்க்கட்டி,ਖਾਰੇ ਗੱਠ
ஹாரோ,ਹੈਰੋ
1. அறுவடை குறியீடு 2. அறுவடை குறியீடு,1. ਵਾਢੀ ਸੂਚਕਾਂਕ 2. ਵਾਢੀ ਸੂਚਕਾਂਕ
1. அறுவடை 2. அறுவடை செய்த பயிர் 3. முடிக்கப்பட்ட பயிர் 4. மகசூல்,1. ਵਾਢੀ 2. ਵਾਢੀ ਹੋਈ ਫ਼ਸਲ 3. ਮੁਕੰਮਲ ਫ਼ਸਲ 4. ਝਾੜ
1. பறித்தல் 2. அறுவடை 3. பறித்தல்,1. ਵੱਢਣਾ 2. ਵਾਢੀ 3. ਵੱਢਣਾ
1. முட்டை இடுதல் 2. முட்டை படை,1. ਅੰਡਾ ਦੇਣਾ 2. ਅੰਡੇ ਦੀ ਤਾਕਤ
உலர்ந்த புல்,ਸੁੱਕਾ ਘਾਹ
உலர் தீவனம்,ਸੁੱਕੀ ਫੀਡ
கஞ்சி,ਗੰਜੀ
மூடுபனி,ਧੁੰਦ
மங்கலான,ਧੁੰਦਲਾ
