English,Hindi,Assamese,Bengali,Gujarati,Kannada,Malayalam,Marathi,Odiya,Punjabi,Tamil,Telugu 
antler pick,शृंग-कुदाल,antler পিক,antler পিক,antler ચૂંટવું,ಕೊಂಬಿನ ಆಯ್ಕೆ,കൊമ്പ് പിക്ക്,antler निवड,ଆଣ୍ଟଲର୍ ପିକ୍ |,antler ਪਿਕ,கொம்பு தேர்வு,కొమ్ముల పిక్
antler sleeve,शृंग-नली (उपकरण),শিঙৰ হাতৰ আঁচল,antler হাতা,શિંગડાની સ્લીવ,ಕೊಂಬಿನ ತೋಳು,കൊമ്പ് സ്ലീവ്,antler आस्तीन,ଆଣ୍ଟଲର୍ ସ୍ଲିଭ୍ |,antler ਆਸਤੀਨ,கொம்பு ஸ்லீவ்,కొమ్ముల స్లీవ్
anvil,"निहाई, निघाति",এনভিল,anvil,એરણ,ಅಂವಿಲ್,ആൻവിൽ,एव्हील,anvil,ਐਨਵਿਲ,சொம்பு,చీలిక
anvil technique,"निहाई-तकनीक, निघाति-प्रविधि",এনভিল কৌশল,অ্যাভিল কৌশল,એરણ તકનીક,ಅಂವಿಲ್ ತಂತ್ರ,ആൻവിൽ ടെക്നിക്,एव्हील तंत्र,ଆନ୍ଭିଲ୍ କ techni ଶଳ |,ਐਨਵਿਲ ਤਕਨੀਕ,சொம்பு நுட்பம்,అన్విల్ టెక్నిక్
Anzac,ऐन्जेक,Anzac,আনজাক,એન્ઝેક,ಅಂಜಾಕ್,അൻസാക്ക്,अँझॅक,ଅଞ୍ଜାକ |,ਐਨਜ਼ੈਕ,அன்சாக்,అంజాక్
apartheid,नस्‍ल-भेद,বৰ্ণবৈষম্য,বর্ণবাদ,રંગભેદ,ವರ್ಣಭೇದ ನೀತಿ,വർണ്ണവിവേചനം,वर्णभेद,ଅପାର୍ଥିଡ଼ |,ਰੰਗਭੇਦ,நிறவெறி,వర్ణవివక్ష
apella,"एपेला, नागरिक सभा",আপেলা,অ্যাপেলা,અપેલા,ಅಪೆಲ್ಲಾ,അപ്പെല്ല,अपेला,ଆପେଲା |,ਅਪੇਲਾ,அப்பெல்லா,అపెల్లా
Apennine culture,एपिनाइन संस्कृति,এপেনিন সংস্কৃতি,এপেনাইন সংস্কৃতি,એપેનાઇન સંસ્કૃતિ,ಅಪೆನ್ನೈನ್ ಸಂಸ್ಕೃತಿ,അപെനൈൻ സംസ്കാരം,अपेनिन संस्कृती,ଆପେନାଇନ୍ ସଂସ୍କୃତି |,Apennine ਸਭਿਆਚਾਰ,அப்பென்னின் கலாச்சாரம்,అపెనైన్ సంస్కృతి
apes,कपि समूह,বান্দৰ,বানর,વાનરો,ಮಂಗಗಳು,കുരങ്ങുകൾ,वानर,ବାଇଗଣ,ਬਾਂਦਰ,குரங்குகள்,కోతులు
apex stone (=saddle stone),शीर्ष-प्रस्तर,শিখৰ শিল (=চেদল শিল),শীর্ষ পাথর (= স্যাডেল পাথর),સર્વોચ્ચ પથ્થર (=સાડલ પથ્થર),ತುದಿಯ ಕಲ್ಲು (=ತಡಿ ಕಲ್ಲು),അഗ്രം കല്ല് (=സാഡിൽ കല്ല്),शिखर दगड (= काठी दगड),ସର୍ବୋଚ୍ଚ ପଥର (= ସାଦର ପଥର),ਸਿਖਰ ਦਾ ਪੱਥਰ (= ਕਾਠੀ ਪੱਥਰ),உச்சி கல் (=சேணம் கல்),అపెక్స్ రాయి (=జీను రాయి)
aphorism,"नीति वचन, सूत्र, उपदेश वाक्‍य, सूत्रयुक्‍त",aphorism,এফোরিজম,એફોરિઝમ,ಪೌರುಷ,പഴഞ്ചൊല്ല്,सूत्र,ଆପୋରିଜିମ୍ |,ਸੂਤਰਵਾਦ,பழமொழி,అపోరిజం
apolitical,"अराजनीतिक, गैर राजनीति‍क",অৰাজনৈতিক,অরাজনৈতিক,અરાજકીય,ಅರಾಜಕೀಯ,അരാഷ്ട്രീയം,अराजकीय,ନୀତିନିୟମ,ਗੈਰ-ਸਿਆਸੀ,அரசியலற்ற,రాజకీయ రహితమైనది
apology,क्षमा याचना,ক্ষমাপ্ৰাৰ্থনা,ক্ষমা,માફી,ಕ್ಷಮೆ,ക്ഷമാപണം,माफी,କ୍ଷମା ପ୍ରାର୍ଥନା,ਮੁਆਫੀ,மன்னிப்பு,క్షమాపణ
apophyge,स्तंभ-संधि गोला,apophyge,apophyge,apophyge,ಅಪೋಫಿಜ್,അപ്പോഫിജ്,apophyge,apophyge,apophyge,அபோஃபிஜ்,అపోఫీజ్
apotheca,"सुरा-भंडार, तैल-भंडार",apotheca,apotheca,એપોથેકા,ಅಪೋಥೆಕಾ,അപ്പോത്തിക്ക,अपोथेका,apotheca,apotheca,அபோதிகா,అపోథెకా
apothesis (=apodyterium),परिधान-कक्ष,এপ&#39;থেছিছ (=এপ&#39;ডাইটেৰিয়াম),apothesis (= apodyterium),એપોથેસિસ (= એપોડિટેરિયમ),ಅಪೋಥೆಸಿಸ್ (=ಅಪೊಡಿಟೇರಿಯಮ್),അപ്പോത്തിസിസ് (=അപ്പോഡൈറ്റീരിയം),apothesis (= apodyterium),ଆପୋଥେସିସ୍ (= ଆପୋଡେରିୟମ୍),apothesis (= apodyterium),அபோதிசிஸ் (=அபோடிடீரியம்),అపోథెసిస్ (=అపోడిటీరియం)
apparel,"परिधान,नौकोपकरण",পোশাক,পোশাক,વસ્ત્ર,ಉಡುಪು,വസ്ത്രം,पोशाख,ପୋଷାକ,ਲਿਬਾਸ,ஆடை,దుస్తులు
appentice,द्वार-वितान,appentice,প্রবৃত্তি,એપેન્ટિસ,ಅಪೆಂಟಿಸ್,അപ്പന്റിസ്,अपेंटिस,ଆପେଣ୍ଟିସ୍ |,ਅਪੈਂਟਿਸ,அப்பெண்டிஸ்,అప్పెంటిస్
applied column (=engaged column),अनुप्रयुक्त स्तंभ,প্ৰয়োগ কৰা স্তম্ভ (=নিয়োজিত স্তম্ভ),প্রয়োগকৃত কলাম (= নিযুক্ত কলাম),લાગુ કરેલ કૉલમ (=સંલગ્ન કૉલમ),ಅನ್ವಯಿಸಲಾದ ಕಾಲಮ್ (= ತೊಡಗಿಸಿಕೊಂಡಿರುವ ಕಾಲಮ್),പ്രയോഗിച്ച കോളം (=ഏർപ്പെട്ട കോളം),लागू केलेला स्तंभ (= गुंतलेला स्तंभ),ପ୍ରୟୋଗ ସ୍ତମ୍ଭ (= ନିୟୋଜିତ ସ୍ତମ୍ଭ),ਲਾਗੂ ਕੀਤਾ ਕਾਲਮ (=ਰੁਝਿਆ ਹੋਇਆ ਕਾਲਮ),பயன்படுத்தப்பட்ட நெடுவரிசை (=ஈடுபட்ட நெடுவரிசை),దరఖాస్తు కాలమ్ (=నిశ్చితార్థం కాలమ్)
applied decoration,जड़ाउ अलंकरण; सजावट,প্ৰয়োগ কৰা সজ্জা,প্রয়োগকৃত সজ্জা,લાગુ શણગાર,ಅನ್ವಯಿಕ ಅಲಂಕಾರ,പ്രയോഗിച്ച അലങ്കാരം,लागू सजावट,ପ୍ରୟୋଗ ସାଜସଜ୍ଜା |,ਲਾਗੂ ਕੀਤੀ ਸਜਾਵਟ,பயன்படுத்தப்படும் அலங்காரம்,దరఖాస్తు అలంకరణ
applique,"जड़ाउ काम, ऐप्लिक",applique,applique,એપ્લીક,applique,applique,applique,ଆପ୍ଲିକ୍,ਐਪਲੀਕ,applique,applique
applique work,"सजावट का काम, ऐप्लीकी कार्य",এপ্লিকেচনৰ কাম,applique কাজ,એપ્લીક કામ,ಅಪ್ಲಿಕ್ ಕೆಲಸ,applique ജോലി,applique काम,ପ୍ରୟୋଗ କାର୍ଯ୍ୟ,ਐਪਲੀਕ ਕੰਮ,applique வேலை,applique పని
approach,उपागम,পদ্ধতি,পন্থা,અભિગમ,ಅನುಸಂಧಾನ,സമീപനം,दृष्टीकोन,ଉପାୟ,ਪਹੁੰਚ,அணுகுமுறை,విధానం
approach gradient,उपागम प्रवणता,এপ্ৰ&#39;চ গ্ৰেডিয়েন্ট,অ্যাপ্রোচ গ্রেডিয়েন্ট,અભિગમ ઢાળ,ಅನುಸಂಧಾನ ಗ್ರೇಡಿಯಂಟ್,സമീപന ഗ്രേഡിയന്റ്,दृष्टिकोन ग्रेडियंट,ଗ୍ରେଡିଏଣ୍ଟ୍ ନିକଟକୁ ଆସ |,ਪਹੁੰਚ ਗਰੇਡੀਐਂਟ,அணுகுமுறை சாய்வு,విధానం ప్రవణత
approach road,"पहुँच मार्ग, उप-सडक़",এপ্ৰ&#39;চ ৰোড,অ্যাপ্রোচ রোড,સંપર્ક માર્ગ,ಮಾರ್ಗ ರಸ್ತೆ,സമീപന റോഡ്,जवळचा रस्ता,ରାସ୍ତା ନିକଟକୁ,ਪਹੁੰਚ ਸੜਕ,அணுகுமுறை சாலை,అప్రోచ్ రోడ్డు
approaches,पहुँच-मार्ग,পদ্ধতিসমূহ,পন্থা,અભિગમ,ಸಮೀಪಿಸುತ್ತದೆ,സമീപിക്കുന്നു,दृष्टीकोन,ଆଭିମୁଖ୍ୟ,ਪਹੁੰਚ,அணுகுகிறது,విధానాలు
approximate,लगभग,আনুমানিক,আনুমানিক,અંદાજિત,ಅಂದಾಜು,ഏകദേശ,अंदाजे,ଆନୁମାନିକ,ਲਗਭਗ,தோராயமான,సుమారుగా
appui,"वेदिका-शीर्ष, प्राचीर-शीर्ष",appui,appui,appui,ಅಪ್ಪುಯಿ,അപ്പുയി,appui,appui,appui,அப்புய்,appui
appuie-main,टेक दंड,appuie-মূল,appuie-প্রধান,appuie-મુખ્ય,ಅಪ್ಪು-ಮುಖ್ಯ,അപ്പുയി-മെയിൻ,appuie-मुख्य,appuie-main,appuie-ਮੁੱਖ,appuie-முக்கிய,అప్పీ-మెయిన్
apse (=apsis),"गजपृष्ठ, एप्स",এপ্সি (=এপ্সিছ),apse (=apsis),apse (=apsis),ಆಪ್ಸೆ (=ಆಪ್ಸಿಸ್),apse (=apsis),apse (=apsis),apse (= apsis),apse (=apsis),apse (=apsis),apse (=apsis)
apsidal,गजपृष्ठाकार,apsidal,apsidal,અપસીડલ,ಅಪ್ಸಿಡಲ್,അപ്സൈഡൽ,अप्सिडल,ଆପସିଡାଲ୍ |,apsidal,அப்சைடல்,అప్సిడల్
apsidol,"अर्धवृत्‍ताकार, द्वत्रंश्र, गजपृठाकृति",এপ্সিডল,apsidol,એપ્સિડોલ,ಆಪ್ಸಿಡಾಲ್,apsidol,ऍप्सिडॉल,ଆପସିଡୋଲ୍ |,apsidol,அப்சிடோல்,అప్సిడోల్
apteral,"पक्षस्तंभहीन, पार्श्वस्तंभहीन",apteral,apteral,બાહ્ય,ಆಪ್ಟೆರಲ್,ആപ്റ്ററൽ,apteral,ଆପେଟେରାଲ୍ |,apteral,apteral,ఆప్టెరల్
aqueduct,"जल-प्रणाल, कुल्या",একুডাক্ট,জলাধার,જલવાહક,ಜಲಚರ,ജലസംഭരണി,जलवाहिनी,ଜଳ,aqueduct,நீர்வழி,జలధార
arabesque,"बेलबूटे का काम, अरवस्क",arabesque,arabesque,arabesque,ಅರೇಬಿಕ್,അറബിക്,arabesque,ଆରବିକ୍,arabesque,அரேபிய,అరబెస్క్యూ
araeostyle,सार्धत्रय व्यासांत,araeostyle,araeostyle,araeostyle,ಏರಿಯಾಸ್ಟೈಲ್,ഏരിയോസ്റ്റൈൽ,araeostyle,araeostyle,araeostyle,அரேயோஸ்டைல்,ఏరియాస్టైల్
aralu,"अरालू, मृतात्माओं का नि‍वास-स्थान",আৰালু,আরলু,અરાલુ,ಅರಳು,അരലു,अरलु,aralu,ਅਰਲੂ,அரலு,అరలు
arbitrary,"स्वच्छंद, मनमाना",স্বেচ্ছাচাৰী,ইচ্ছামত,મનસ્વી,ನಿರಂಕುಶ,ഏകപക്ഷീയമായ,अनियंत्रित,ଇଚ୍ଛାଧୀନ |,ਮਨਮਾਨੀ,தன்னிச்சையான,ఏకపక్ష
arbitrary level system,यदृच्छ स्तर पद्धति,ইচ্ছাকৃত স্তৰৰ ব্যৱস্থা,স্বেচ্ছাচারী স্তরের সিস্টেম,મનસ્વી સ્તરની સિસ્ટમ,ಅನಿಯಂತ್ರಿತ ಮಟ್ಟದ ವ್ಯವಸ್ಥೆ,ഏകപക്ഷീയമായ ലെവൽ സിസ്റ്റം,अनियंत्रित स्तर प्रणाली,ଇଚ୍ଛାଧୀନ ସ୍ତର ବ୍ୟବସ୍ଥା |,ਆਪਹੁਦਰੇ ਪੱਧਰ ਦਾ ਸਿਸਟਮ,தன்னிச்சையான நிலை அமைப்பு,ఏకపక్ష స్థాయి వ్యవస్థ
arbitrary stratigraphy,यादृच्छिक स्तरविज्ञान,স্বেচ্ছাচাৰী স্তৰবিন্যাস,নির্বিচারে স্ট্র্যাটিগ্রাফি,મનસ્વી સ્ટ્રેટેગ્રાફી,ಅನಿಯಂತ್ರಿತ ಸ್ಟ್ರಾಟಿಗ್ರಫಿ,ഏകപക്ഷീയമായ സ്ട്രാറ്റിഗ്രാഫി,अनियंत्रित स्ट्रॅटिग्राफी,ଇଚ୍ଛାଧୀନ ଷ୍ଟ୍ରାଟିଗ୍ରାଫି |,ਆਪਹੁਦਰੇ ਸਟ੍ਰੈਟਿਗ੍ਰਾਫੀ,தன்னிச்சையான stratigraphy,ఏకపక్ష స్ట్రాటిగ్రఫీ
arbitration,मध्यस्थ निर्णय,সালিসী,সালিশ,આર્બિટ્રેશન,ಮಧ್ಯಸ್ಥಿಕೆ,മാദ്ധസ്ഥം,लवाद,ଆର୍ବିଟ୍ରେସନ୍,ਸਾਲਸੀ,நடுவர் மன்றம்,మధ్యవర్తిత్వ
arbour,कुंज,arbor,arbor,આર્બર,ಆರ್ಬರ್,അർബർ,आर्बर,ଆର୍ବର୍ |,ਆਰਬਰ,மரக்கட்டை,అర్బోర్
arc,"चाप,दायरा",চাপ,চাপ,ચાપ,ಚಾಪ,ആർക്ക്,चाप,ଆର୍କ,ਚਾਪ,பரிதி,ఆర్క్
arc-bountant,अर्ध चाप वप्र,চাপ-বাউন্টেন্ট,arc-bountant,આર્ક-બાઉન્ટન્ટ,ಆರ್ಕ್-ಬೌಂಟಂಟ್,ആർക്ക്-ബൌണ്ടന്റ്,चाप-बाऊंटंट,arc-bountant,arc-bountant,வில்-பவுண்டன்ட்,ఆర్క్-బౌంటెంట్
arcade,"तोरणपथ, तोरणमंडल",আৰ্কেড,তোরণ - শ্রেণী,આર્કેડ,ಆರ್ಕೇಡ್,ആർക്കേഡ്,आर्केड,ଆର୍କେଡ୍ |,ਆਰਕੇਡ,ஆர்கேட்,ఆర్కేడ్
arcase (=carcass),ढाँचा; ढाँचा खड़ा करना,arcase (=মৃতদেহ),আর্কেস (=শব),આર્કેસ (=શબ),ಆರ್ಕೇಸ್ (=ಕಾರ್ಕ್ಯಾಸ್),ആർക്കേസ് (=മൃതശരീരം),तोरण (= शव),ଆର୍କେସ୍ (= ଶବ),ਆਰਕੇਸ (= ਲਾਸ਼),ஆர்கேஸ் (=பிணம்),ఆర్కేస్ (=కళేబరం)
arcased screen,तोरणी पर्दा,arcased পৰ্দা,arcased পর্দা,આર્કેસ સ્ક્રીન,ಆರ್ಕೇಸ್ಡ್ ಪರದೆ,ആർക്കേസ്ഡ് സ്ക്രീൻ,arcased स्क्रीन,ଆର୍କେଡ୍ ସ୍କ୍ରିନ୍ |,ਆਰਕਸਡ ਸਕਰੀਨ,வளைந்த திரை,ఆర్కేస్డ్ స్క్రీన్
arcature,"लघु तोरणपथ,छद्म तोरणपथ",আৰ্কচাৰ,আর্কেচার,આર્કેચર,ಆರ್ಕೇಚರ್,ആർക്കേച്ചർ,आर्केचर,ତର୍କ,ਆਰਕਚਰ,வளைவு,ఆర్కేచర్
arch,चाप-चिह्न,arch,খিলান,કમાન,ಕಮಾನು,കമാനം,कमान,ଆର୍କ,arch,வளைவு,వంపు
arch bishop,"आर्च बिशप, महाधर्माध्यक्ष",arch bishop,খিলান বিশপ,કમાન બિશપ,ಆರ್ಚ್ ಬಿಷಪ್,ആർച്ച് ബിഷപ്പ്,कमान बिशप,ଆର୍ ବିଶପ୍ |,arch ਬਿਸ਼ਪ,பேராயர்,ఆర్చ్ బిషప్
arch brick,"चाप इष्टिका, मेहराबीईंट",খিলান ইটা,খিলান ইট,કમાન ઇંટ,ಕಮಾನು ಇಟ್ಟಿಗೆ,കമാനം ഇഷ്ടിക,कमान वीट,ଆର୍କ ଇଟା |,arch ਇੱਟ,வளைவு செங்கல்,వంపు ఇటుక
arch duchy,आर्च डची,arch duchy,arch duchy,કમાન ડચી,ಕಮಾನು ಡಚಿ,ആർച്ച് ഡച്ചി,arch duchy,ଆର୍ ଡୁଚି |,arch duchy,பரம டச்சி,వంపు డచీ
arch duke,"आर्च ड्यूक, राजकुमार",arch duke,খিলান ডিউক,કમાન ડ્યુક,ಕಮಾನು ಡ್ಯೂಕ್,കമാന പ്രഭു,आर्च ड्यूक,ଆର୍କ ଡ୍ୟୁକ୍ |,arch duke,பரம பிரபு,వంపు డ్యూక్
arch pendant,चापलुंबी,খিলান লকেট,খিলান দুল,કમાન પેન્ડન્ટ,ಕಮಾನು ಪೆಂಡೆಂಟ್,ആർച്ച് പെൻഡന്റ്,कमान लटकन,ଆର୍ ପେଣ୍ଡାଲ୍ |,arch ਪੈਂਡੈਂਟ,வளைவு பதக்கம்,వంపు లాకెట్టు
arch rib,"चाप शलाका, मेहराबी शलाका",arch rib,খিলান পাঁজর,કમાન પાંસળી,ಕಮಾನು ಪಕ್ಕೆಲುಬು,കമാനം വാരിയെല്ല്,कमान बरगडी,ଆର୍କ୍ ରିବ୍ |,arch ਰਿਬ,வளைவு விலா எலும்பு,వంపు పక్కటెముక
archaean,आद्यकल्प,archaean,প্রাচীন,પ્રાચીન,ಆರ್ಕಿಯನ್,ആർക്കിയൻ,पुरातन,ପ୍ରତ୍ନତତ୍ତ୍ୱ,ਪੁਰਾਤੱਤਵ,தொல்காப்பியர்,ఆర్కియన్
Archaean Era,आद्य महाकल्प,আৰ্কিয়ান যুগ,আর্কিয়ান যুগ,આર્કિયન યુગ,ಆರ್ಕಿಯನ್ ಯುಗ,ആർക്കിയൻ യുഗം,आर्कियन युग,ପ୍ରତ୍ନତତ୍ତ୍ୱ ଯୁଗ,ਆਰਚੀਅਨ ਯੁੱਗ,ஆர்க்கியன் சகாப்தம்,ఆర్కియన్ యుగం
archaeolatry,"पुरातन पूजा, पुरावस्तु पूजा",পুৰাতত্ত্ববিদ্যা,প্রত্নতত্ত্ব,પુરાતત્વશાસ્ત્ર,ಪುರಾತತ್ವಶಾಸ್ತ್ರ,പുരാവസ്തുശാസ്ത്രം,पुरातत्वशास्त्र,ପ୍ରତ୍ନତତ୍ତ୍ୱ,ਪੁਰਾਤੱਤਵ ਵਿਗਿਆਨ,தொல்லியல்,ఆర్కియోలటరీ
archaeolithic,आदिपाषाणयुगीन,প্ৰত্নতাত্ত্বিক,প্রত্নতাত্ত্বিক,પુરાતત્વીય,ಪುರಾತನ ಶಿಲಾಯುಗದ,പുരാതന ശിലായുഗം,पुरातत्त्वीय,ପ୍ରତ୍ନତାତ୍ତ୍ୱିକ,ਪੁਰਾਤੱਤਵ,தொன்மைக் கற்காலம்,ప్రాచీన శిలాయుగం
archaeological,पुरातत्वीय,প্ৰত্নতাত্ত্বিক,প্রত্নতাত্ত্বিক,પુરાતત્વીય,ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರದ,പുരാവസ്തു,पुरातत्व,ପ୍ରତ୍ନତାତ୍ତ୍ୱିକ,ਪੁਰਾਤੱਤਵ,தொல்பொருள்,పురావస్తు
archaeological deposit,"पुरातत्वीय निक्षेप, पुरातत्वीय संचय",প্ৰত্নতাত্ত্বিক জমা,প্রত্নতাত্ত্বিক আমানত,પુરાતત્વીય થાપણ,ಪುರಾತತ್ವ ನಿಕ್ಷೇಪ,പുരാവസ്തു നിക്ഷേപം,पुरातत्व ठेव,ପ୍ରତ୍ନତାତ୍ତ୍ୱିକ ଜମା,ਪੁਰਾਤੱਤਵ ਡਿਪਾਜ਼ਿਟ,தொல்லியல் வைப்பு,పురావస్తు నిక్షేపం
archaeological evidence,पुरातात्विक साक्ष्य,প্ৰত্নতাত্ত্বিক প্ৰমাণ,প্রত্নতাত্ত্বিক প্রমাণ,પુરાતત્વીય પુરાવા,ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರದ ಪುರಾವೆಗಳು,പുരാവസ്തു തെളിവുകൾ,पुरातत्व पुरावा,ପ୍ରତ୍ନତାତ୍ତ୍ୱିକ ପ୍ରମାଣ |,ਪੁਰਾਤੱਤਵ ਸਬੂਤ,தொல்லியல் சான்றுகள்,పురావస్తు ఆధారాలు
archaeological salvage,"पुरातात्विक उद्धार, पुराजीर्णोद्धार",প্ৰত্নতাত্ত্বিক উদ্ধাৰ,প্রত্নতাত্ত্বিক উদ্ধার,પુરાતત્વીય બચાવ,ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರದ ರಕ್ಷಣೆ,പുരാവസ്തു സംരക്ഷണം,पुरातत्व संरक्षण,ପ୍ରତ୍ନତାତ୍ତ୍ୱିକ ଉଦ୍ଧାର,ਪੁਰਾਤੱਤਵ ਬਚਾਅ,தொல்லியல் காப்பு,పురావస్తు నివృత్తి
archaeological site,पुरास्‍थल,প্ৰত্নতাত্ত্বিক স্থান,প্রত্নতাত্ত্বিক সাইট,પુરાતત્વીય સ્થળ,ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರದ ಸ್ಥಳ,പുരാവസ്തു സൈറ്റ്,पुरातत्व साइट,ପ୍ରତ୍ନତାତ୍ତ୍ୱିକ ସ୍ଥାନ |,ਪੁਰਾਤੱਤਵ ਸਾਈਟ,தொல்லியல் தளம்,పురావస్తు ప్రదేశం
archaeological survey,पुरातात्‍विक सर्वेक्षण,প্ৰত্নতাত্ত্বিক জৰীপ,প্রত্নতাত্ত্বিক জরিপ,પુરાતત્વીય સર્વે,ಪುರಾತತ್ವ ಸಮೀಕ್ಷೆ,പുരാവസ്തു സർവേ,पुरातत्व सर्वेक्षण,ପ୍ରତ୍ନତାତ୍ତ୍ୱିକ ସର୍ବେକ୍ଷଣ |,ਪੁਰਾਤੱਤਵ ਸਰਵੇਖਣ,தொல்லியல் ஆய்வு,పురావస్తు సర్వే
archaeologist,"पुरातत्वज्ञ, पुरातत्वविद्",পুৰাতত্ত্ববিদ,প্রত্নতাত্ত্বিক,પુરાતત્વવિદ્,ಪುರಾತತ್ವಶಾಸ್ತ್ರಜ್ಞ,പുരാവസ്തു ഗവേഷകൻ,पुरातत्वशास्त्रज्ञ,ପ୍ରତ୍ନତତ୍ତ୍ୱବିତ୍,ਪੁਰਾਤੱਤਵ-ਵਿਗਿਆਨੀ,தொல்பொருள் ஆய்வாளர்,పురావస్తు శాస్త్రవేత్త
archaeology,"पुरातत्व, पुरातत्वविज्ञान",পুৰাতত্ত্ব,প্রত্নতত্ত্ব,પુરાતત્વ,ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರ,പുരാവസ്തുശാസ്ത്രം,पुरातत्व,ପ୍ରତ୍ନତତ୍ତ୍ୱ,ਪੁਰਾਤੱਤਵ,தொல்லியல்,పురావస్తు శాస్త్రం
archaeomagnetism,पुराचुंबकत्व,পুৰাচুম্বকত্ব,প্রত্নচৌম্বকত্ব,પુરાતત્વચુંબકત્વ,ಪುರಾತತ್ತ್ವ ಕಾಂತೀಯತೆ,ആർക്കിയോമാഗ്നറ്റിസം,पुरातत्व चुंबकत्व,ପ୍ରତ୍ନତତ୍ତ୍ୱ,archaeomagnetism,தொல்காந்தவியல்,ఆర్కియోమాగ్నెటిజం
archaeozoine,आदिकल्प,আৰ্কিঅ&#39;জ&#39;ইন,আর্কিওজোইন,પુરાતત્વીય,ಆರ್ಕಿಯೋಜೋಯಿನ್,ആർക്കിയോസോയിൻ,आर्किओझोइन,ପ୍ରତ୍ନତତ୍ତ୍ୱ,ਪੁਰਾਤੱਤਵ,ஆர்க்கியோசோயின்,ఆర్కియోజోయిన్
archaic,"पुरागत, आद्य,आर्ष",প্ৰাচীন,প্রাচীন,પ્રાચીન,ಪುರಾತನವಾದ,പുരാതനമായ,पुरातन,ପୁରାତନ,ਪੁਰਾਤਨ,தொன்மையான,ప్రాచీనమైన
archaic record,पुरातनिक अभिलेख,প্ৰাচীন ৰেকৰ্ড,প্রাচীন রেকর্ড,પ્રાચીન રેકોર્ડ,ಪುರಾತನ ದಾಖಲೆ,പുരാതന രേഖ,पुरातन रेकॉर्ड,ପୁରାତନ ରେକର୍ଡ |,ਪੁਰਾਤੱਤਵ ਰਿਕਾਰਡ,தொன்மையான பதிவு,ప్రాచీన రికార్డు
arched motif,चाप रचना,খিলানযুক্ত মটিফ,খিলান মোটিফ,કમાનવાળા મોટિફ,ಕಮಾನಿನ ಮೋಟಿಫ್,കമാന രൂപരേഖ,कमानदार आकृतिबंध,ଆର୍କେଡ୍ ମୋଟିଫ୍ |,arched ਨਮੂਨਾ,வளைந்த மையக்கருத்து,వంపు మూలాంశం
archeion,मंदिर कोशागार,archeion,archeion,કમાન,ಆರ್ಕಿಯಾನ್,ആർക്കിയോൺ,archeion,ପ୍ରତ୍ନତତ୍ତ୍ୱ,archeion,அர்ச்சியன்,ఆర్కియాన్
archief (=archival collection),पुरालेख संग्रह,archief (=আৰ্কাইভ সংগ্ৰহ),আর্কিফ (= আর্কাইভাল সংগ্রহ),આર્કાઇફ (=આર્કાઇવલ સંગ્રહ),ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ),ആർക്കീഫ് (=ആർക്കൈവൽ ശേഖരം),आर्काइफ (=अभिलेख संग्रह),ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ),ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),காப்பகம் (=காப்பக சேகரிப்பு),ఆర్చీఫ్ (=ఆర్కైవల్ సేకరణ)
archiepiscopate,"महाधर्माध्यक्ष का पद, प्रधान पादरी",আৰ্কিপিস্কোপেট,আর্কিপিস্কোপেট,આર્કીપીસ્કોપેટ,ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್,ആർക്കിപിസ്കോപ്പറ്റ്,archiepiscopate,ଆର୍କିପିସ୍କୋପେଟ୍ |,archiepiscopate,ஆர்க்கிபிஸ்கோபேட்,ఆర్కిపిస్కోపేట్
archisynagogos,पूजाध्यक्ष पीठ,আৰ্কিচিনাগোগোছ,আর্কিসিনাগোগোস,આર્કિસીનાગોગોસ,ಆರ್ಕಿಸಿನಾಗೊಗೊಸ್,ആർക്കിസിനാഗോഗോസ്,archisynagogos,archisynagogos,archisynagogos,ஆர்க்கிசினாகோகோஸ்,ఆర్కిసినాగోగోస్
architect,"वास्तुविद्, वास्तुकार",স্থপতিবিদ,স্থপতি,આર્કિટેક્ટ,ವಾಸ್ತುಶಿಲ್ಪಿ,ആർക്കിടെക്റ്റ്,वास्तुविशारद,ସ୍ଥପତି,ਆਰਕੀਟੈਕਟ,கட்டட வடிவமைப்பாளர்,వాస్తుశిల్పి
architectonics,"वास्तुविज्ञान, स्थापत्यविद्या",স্থাপত্যবিজ্ঞান,স্থাপত্যবিদ্যা,આર્કિટેકટોનિક,ಆರ್ಕಿಟೆಕ್ಟೋನಿಕ್ಸ್,ആർക്കിടെക്റ്റോണിക്സ്,वास्तुशास्त्र,ସ୍ଥାପତ୍ୟ,ਆਰਕੀਟੈਕਟੋਨਿਕਸ,கட்டிடக்கலை,ఆర్కిటెక్టోనిక్స్
