Punjabi,Telugu
ਬੰਦ ਲੂਪ,నిర్భంద వలయం
ਬੰਦ ਲੂਪ (ਕੰਟਰੋਲ) ਸਿਸਟਮ,క్లోజ్డ్ లూప్ (నియంత్రణ) వ్యవస్థ
ਬੰਦ ਰੁਟੀਨ,క్లోజ్డ్ రొటీన్
ਬੰਦ ਦੁਕਾਨ ਦਾ ਕੰਮ,క్లోజ్ షాప్ ఆపరేషన్
ਬੰਦ ਸਬਬਰੋਟਾਈਨ,క్లోజ్డ్ సబ్‌ట్రౌటిన్
ਬੰਦ-ਉਪਭੋਗਤਾ ਸਮੂਹ,క్లోజ్డ్ యూజర్ గ్రూప్
ਨੇੜਿਓਂ,దగ్గరగా కపుల్డ్
ਇੱਕ ਟਰਮੀਨਲ ਨੂੰ ਬੰਦ ਕਰਨਾ,టెర్మినల్ మూసివేయడం
ਇੱਕ ਫਾਈਲ ਨੂੰ ਬੰਦ ਕਰਨਾ,ఫైల్ మూసివేయడం
ਕਲੱਸਟਰ,క్లస్టర్
ਕਲੱਸਟਰ ਵਿਸ਼ਲੇਸ਼ਣ,క్లస్టర్ విశ్లేషణ
ਕਲੱਸਟਰ ਕੰਟਰੋਲਰ,క్లస్టర్ కంట్రోలర్
ਕਲੱਸਟਰ ਕੰਟਰੋਲਰ ਨੋਡ,క్లస్టర్ కంట్రోలర్ నోడ్
ਕਲੱਸਟਰ ਕੰਟਰੋਲ ਯੂਨਿਟ,క్లస్టర్ కంట్రోల్ యూనిట్
ਕਲੱਸਟਰਡ ਫਾਈਲ,క్లస్టర్డ్ ఫైల్
ਕਲੱਸਟਰਿੰਗ ਐਲਗੋਰਿਦਮ,క్లస్టరింగ్ అల్గోరిథం
ਕੋਲੇਸ,సహకరించండి
ਕੋਟੇਡ ਕਾਰਡ,పూత కార్డు
ਕੋਐਕਸਿਅਲ ਕੇਬਲ,ఏకాక్షక కేబుల్
ਕੋਬੋਲ,కోబోల్
ਕੋਬੋਲ ਅੱਖਰ,కోబోల్ పాత్ర
ਕੋਬੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ,కోబోల్ ప్రోగ్రామింగ్
ਕੋਡੇਲ,కోడాసిల్
ਕੋਡ,కోడ్
ਕੋਡ ਖੇਤਰ,కోడ్ ప్రాంతం
ਕੋਡ ਚੇਨ,కోడ్ గొలుసు
ਕੋਡ ਚੈੱਕ,కోడ్ చెక్
ਕੋਡਿਡ ਹਿਸਾਬ ਦਾ ਡੇਟਾ,కోడెడ్ అంకగణిత డేటా
ਕੋਡਡ ਅੱਖਰ ਸਮੂਹ,కోడెడ్ అక్షర సమితి
ਕੋਡਿਡ ਕਨਵਰਟਰ,కోడెడ్ కన్వర్టర్
ਕੋਡਿਡ ਦਸ਼ਮਲਵ ਸੰਕੇਤ,కోడెడ్ దశాంశ సంజ్ఞామానం
ਕੋਡ ਨਿਰਭਰ ਸਿਸਟਮ,కోడ్ డిపెండెంట్ సిస్టమ్
ਕੋਡਡ ਗ੍ਰਾਫਿਕਸ,కోడెడ్ గ్రాఫిక్స్
ਕੋਡਡ ਚਿੱਤਰ ਸਪੇਸ,కోడెడ్ ఇమేజ్ స్పేస్
ਕੋਡ ਡਾਇਰੈਕਟਿੰਗ ਅੱਖਰ,కోడ్ డైరెక్టింగ్ అక్షరం
ਕੋਡ ਪ੍ਰੋਗਰਾਮ,కోడెడ్ ప్రోగ్రామ్
ਕੋਡ ਦੀ ਨੁਮਾਇੰਦਗੀ,కోడెడ్ ప్రాతినిధ్యం
ਕੋਡ ਸਟਾਪ,కోడెడ్ స్టాప్
ਕੋਡ ਤੱਤ,కోడ్ మూలకం
ਕੋਡ ਐਕਸਟੈਂਸ਼ਨ ਅੱਖਰ,కోడ్ పొడిగింపు అక్షరం
ਕੋਡ ਫਰੇਮ,కోడ్ ఫ్రేమ్
ਕੋਡ ਹੋਲ,కోడ్ హోల్
ਕੋਡ-ਸੁਤੰਤਰ ਡੇਟਾ ਸੰਚਾਰ,కోడ్-స్వతంత్ర డేటా కమ్యూనికేషన్
ਕੋਡ-ਸੁਤੰਤਰ ਪ੍ਰਣਾਲੀ,కోడ్-స్వతంత్ర వ్యవస్థ
"ਕੋਡ-ਸੰਵੇਦਨਸ਼ੀਲ ਪ੍ਰਣਾਲੀ (= ਕੋਡ-ਇਨ- ਨਿਰਭਰ
 ਸਿਸਟਮ)","కోడ్-ఇన్సెన్సిటివ్ సిస్టమ్ (= కోడ్-ఇన్- డిపెండెంట్
 వ్యవస్థ)"
ਕੋਡ ਕੁੰਜੀ,కోడ్ కీ
ਕੋਡ ਦਾ ਪੱਧਰ,కోడ్ స్థాయి
ਕੋਡ ਲਾਈਨ,కోడ్ లైన్
ਕੋਡ ਲਾਈਨ ਇੰਡੈਕਸ,కోడ్ లైన్ సూచిక
ਕੋਡ ਪੁਆਇੰਟ ਅਨੁਵਾਦਕ,కోడ్ పాయింట్ అనువాదకుడు
ਕੋਡ ਸਥਿਤੀ,కోడ్ స్థానం
ਕੋਡਰ,కోడర్
ਕੋਡ-ਸੰਵੇਦਨਸ਼ੀਲ ਪ੍ਰਣਾਲੀ (= ਕੋਡ-ਨਿਰਭਰ ਸਿਸਟਮ),కోడ్-సెన్సిటివ్ సిస్టమ్ (= కోడ్-ఆధారిత వ్యవస్థ)
ਕੋਡ ਸੈਟ,కోడ్ సెట్
ਕੋਡ- ਪਾਰਦਰਸ਼ੀ ਡਾਟਾ ਸੰਚਾਰ,కోడ్- పారదర్శక డేటా కమ్యూనికేషన్
"ਕੋਡ-ਪਾਰਦਰਸ਼ੀ ਸਿਸਟਮ (= ਕੋਡ ਨਿਰਭਰ)
 ਸਿਸਟਮ)","కోడ్-ట్రాన్స్పరెంట్ సిస్టమ్ (= కోడ్ ఆధారితమైనది
 వ్యవస్థ)"
ਕੋਡ ਦਾ ਮੁੱਲ,కోడ్ విలువ
ਕੋਡ ਸ਼ਬਦ,కోడ్ పదం
ਕੋਡਿੰਗ,కోడింగ్
ਕੋਡਿੰਗ ਚੈੱਕ,కోడింగ్ చెక్
ਕੋਡਿੰਗ ਫਾਰਮ,కోడింగ్ రూపం
ਕੋਡਿੰਗ ਸਕੀਮ,కోడింగ్ పథకం
ਕੋਡਿੰਗ ਸ਼ੀਟ,కోడింగ్ షీట్
ਕਫਲ,గుణకం యూనిట్
Contherent ocalal ਲੈਕਟ ਸਿਸਟਮ,పొందికైన మాడ్యులేషన్ వ్యవస్థ
Cotherent HAES SHIF ਵਿੰਗ,పొందికైన దశ షిఫ్ట్ కీయింగ్
ਇਤਫ਼ਾਕ ਵਾਲੀ ਸਰਕਟ (= ਅਤੇ ਤੱਤ),యాదృచ్చిక సర్క్యూట్ (= మరియు మూలకం)
ਸੰਜੋਗ ਤੱਤ (= ਅਤੇ ਤੱਤ),యాదృచ్చిక మూలకం (= మరియు మూలకం)
ਸੰਜੋਗ ਗਲਤੀ,యాదృచ్చిక లోపం
ਇਤਫ਼ਾਕ ਗੇਟ (ਅਤੇ ਤੱਤ),యాదృచ్చిక గేట్ (మరియు మూలకం
ਸੰਮੇਲਨ-ਮੌਜੂਦਾ ਚੋਣ,యాదృచ్చిక-ప్రస్తుత ఎంపిక
ਠੰਡਾ ਨੁਕਸ,కోల్డ్ ఫాల్ట్
ਠੰਡਾ ਸ਼ੁਰੂਆਤ (= ਸ਼ੁਰੂਆਤ),కోల్డ్ స్టార్ట్ (= ప్రారంభం)
ਕੋਲੇਟ,కోల్లెట్
ਝੁਲਸਣਾ,కొల్లాటింగ్ సీక్వెన్స్
ਛਾਂਟਣਾ,సేకరణ సార్టింగ్
ਸਹਿਵਾੜ,కొలేటర్
ਟੱਕਰ,ఘర్షణ
ਕਾਲਮ,కాలమ్
ਕਾਲਮ ਬਾਈਨਰੀ,కాలమ్ బైనరీ
ਕਾਲਮ ਮੂਵ,కాలమ్ కదలిక
ਸੁਮੇਲ,కలయిక
"ਬੰਗਾਮੇ
 ਸਰਕਟ","కలయిక
 సర్క్యూట్"
"ਬੰਗਾਮੇ
 ਤਰਕ","కలయిక
 లాజిక్"
"ਬੰਗਾਮੇ
 ਤਰਕ ਤੱਤ","కలయిక
 లాజిక్ ఎలిమెంట్"
ਸੁਮੇਲ ਹੱਬ,కాంబినేషన్ హబ్
ਕੋਨੇਟਰਿਅਲ ਨੈਟਵਰਕ,కాంబినేటోరియల్ నెట్‌వర్క్
"ਕੋਮਲਤਾ
 ਸਰਕਟ","కాంబినేటోరియల్
 సర్క్యూట్"
"ਜੋੜ
 ਵੰਡ
 ਫਰੇਮ ਫਰੇਮ","కలిపి
 పంపిణీ
 ఫ్రేమ్"
ਸੰਯੁਕਤ ਸਿਰ,కంబైన్డ్ హెడ్
ਜੋੜ ਕੇ / ਲਿਖੋ ਸਿਰ,కంబైన్డ్ రీడ్/రైట్ హెడ్
ਸੰਯੁਕਤ ਸਟੇਸ਼ਨ,కంబైన్డ్ స్టేషన్
ਕੰਫਾਈਨਰ,కాంబినర్
ਕਮਾਂਡ,కమాండ్
"ਕਮਾਂਡ ਅਤੇ
 ਕੰਟਰੋਲ ਸਿਸਟਮ","కమాండ్ మరియు
 నియంత్రణ వ్యవస్థ"
ਕਮਾਂਡ ਚੇਨ,కమాండ్ గొలుసు
ਕਮਾਂਡ ਕੰਟਰੋਲ ਪ੍ਰੋਗਰਾਮ,కమాండ్ కంట్రోల్ ప్రోగ్రామ్
ਕਮਾਂਡ ਡਬਲ ਸ਼ਬਦ,కమాండ్ డబుల్ వర్డ్
ਕਮਾਂਡ ਫੰਕਸ਼ਨ,కమాండ్ ఫంక్షన్
ਕਮਾਂਡ ਦੁਭਾਸ਼ੀਆ,కమాండ్ ఇంటర్ప్రెటర్
ਕਮਾਂਡ ਭਾਸ਼ਾ,కమాండ్ లాంగ్వేజ్
ਕਮਾਂਡ ਸੂਚੀ,కమాండ్ జాబితా
ਕਮਾਂਡ ਦਾ ਨਾਮ,కమాండ్ పేరు
ਕਮਾਂਡ ਪੁਆਇੰਟਰ,కమాండ్ పాయింటర్
"ਕਮਾਂਡ
 ਕਾਰਵਾਈ","కమాండ్
 ప్రాసెసింగ్"
ਕਮਾਂਡ ਪ੍ਰੋਸੈਸਰ,కమాండ్ ప్రాసెసర్
ਕਮਾਂਡ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ,కమాండ్ రీటో
ਕਮਾਂਡ ਸਟੇਟਮੈਂਟ,కమాండ్ స్టేట్మెంట్
ਕਮਾਂਡ ਸਿਸਟਮ,కమాండ్ సిస్టమ్
ਟਿੱਪਣੀ,వ్యాఖ్య
ਟਿੱਪਣੀ ਫੀਲਡ,వ్యాఖ్య ఫీల్డ్
ਟਿੱਪਣੀ ਬਿਆਨ,వ్యాఖ్య ప్రకటన
ਵਪਾਰਕ ਕਾਰਜ,వాణిజ్య అనువర్తనం
ਵਪਾਰਕ ਚਰਿੱਤਰ,వాణిజ్య పాత్ర
ਵਪਾਰਕ ਨਿਰਦੇਸ਼ ਸੈੱਟ,వాణిజ్య సూచనల సెట్
ਆਮ ਖੇਤਰ,ఉమ్మడి ప్రాంతము
ਆਮ ਬਲਾਕ,సాధారణ బ్లాక్
ਆਮ ਕਾਰੋਬਾਰ-ਅਧਾਰਿਤ (ਕੋਬੋਲ),సాధారణ వ్యాపార-ఆధారిత (COBOL)
ਆਮ ਕੈਰੀਅਰ,సాధారణ క్యారియర్
ਆਮ ਕੈਰੀਅਰ ਬਿ Bureau ਰੋ,కామన్ క్యారియర్ బ్యూరో
ਆਮ ਕਮਾਂਡ ਭਾਸ਼ਾ,సాధారణ కమాండ్ భాష
ਸਾਂਝਾ ਸੰਚਾਰ ਅਡੈਪਟਰ,కామన్ కమ్యూనికేషన్ అడాప్టర్
ਆਮ ਨਿਯੰਤਰਣ,సాధారణ నియంత్రణ
ਆਮ ਕੰਟਰੋਲ ਸਵਿੱਚਿੰਗ ਪ੍ਰਬੰਧ,సాధారణ నియంత్రణ స్విచింగ్ అమరిక
ਸਾਂਝਾ ਕੰਟਰੋਲ ਸਿਸਟਮ,సాధారణ నియంత్రణ వ్యవస్థ
ਆਮ ਗਲਤੀ,సాధారణ లోపం
ਆਮ ਖੇਤਰ,సాధారణ క్షేత్రం
ਆਮ ਹੱਬ,సాధారణ హబ్
ਆਮ ਭਾਸ਼ਾ,సాధారణ భాష
ਆਮ ਭਾਸ਼ਾ ਕੋਡ,సాధారణ భాషా కోడ్
ਆਮ ਰੁਟੀਨ,సాధారణ దినచర్య
ਆਮ ਹਿੱਸੇ,సాధారణ విభాగం
ਆਮ ਸਾੱਫਟਵੇਅਰ,సాధారణ సాఫ్ట్‌వేర్
ਆਮ ਸਟੋਰੇਜ ਖੇਤਰ,సాధారణ నిల్వ ప్రాంతం
ਆਮ ਟੀਚਾ ਮਸ਼ੀਨ,సాధారణ లక్ష్య యంత్రం
ਆਮ ਉਪਭੋਗਤਾ ਸਰਕਟ,సాధారణ వినియోగదారు సర్క్యూట్
ਆਮ ਉਪਭੋਗਤਾ ਨੈਟਵਰਕ,సాధారణ వినియోగదారు నెట్‌వర్క్
ਕਮਿ Community ਨਿਟੀ,కమ్యూనిటీ
ਵਰਡ-ਪ੍ਰੋਸੈਸਿੰਗ ਉਪਕਰਣਾਂ ਨੂੰ ਸੰਚਾਰਿਤ ਕਰਨਾ,వర్డ్-ప్రాసెసింగ్ పరికరాలను కమ్యూనికేట్ చేయడం
ਸੰਚਾਰ,కమ్యూనికేషన్
ਸੰਚਾਰ ਅਡੈਪਟਰ,కమ్యూనికేషన్ అడాప్టర్
ਸੰਚਾਰ ਚੈਨਲ,కమ్యూనికేషన్ ఛానల్
ਸੰਚਾਰ ਆਮ ਕੈਰੀਅਰ,కమ్యూనికేషన్ సాధారణ క్యారియర్
ਸੰਚਾਰ ਨਿਯੰਤਰਣ ਚਰਿੱਤਰ,కమ్యూనికేషన్ నియంత్రణ పాత్ర
ਸੰਚਾਰ ਕੰਟਰੋਲਰ,కమ్యూనికేషన్ కంట్రోలర్
ਸੰਚਾਰ ਕੰਟਰੋਲਰ ਨੋਡ,కమ్యూనికేషన్ కంట్రోలర్ నోడ్
ਸੰਚਾਰ ਨਿਯੰਤਰਣ ਇਕਾਈ,కమ్యూనికేషన్ కంట్రోల్ యూనిట్
ਸੰਚਾਰ ਡਾਟਾ ਸਿਸਟਮ,కమ్యూనికేషన్ డేటా సిస్టమ్
ਸੰਚਾਰ ਇੰਟਰਫੇਸ,కమ్యూనికేషన్ ఇంటర్ఫేస్
ਸੰਚਾਰ ਲਾਈਨ,కమ్యూనికేషన్ లైన్
ਸੰਚਾਰ ਲਾਈਨ ਅਡੈਪਟਰ,కమ్యూనికేషన్ లైన్ అడాప్టర్
ਸੰਚਾਰ ਲਾਈਨ ਗੁਣ,కమ్యూనికేషన్ లైన్ లక్షణం
ਸੰਚਾਰ ਲਿੰਕ,కమ్యూనికేషన్ లింక్
ਸੰਚਾਰ ਮਿਸ਼ਰਣ,కమ్యూనికేషన్ మిక్స్
ਸੰਚਾਰ mode ੰਗ ਕੰਟਰੋਲ,కమ్యూనికేషన్ మోడ్ నియంత్రణ
ਸੰਚਾਰ ਮਾਡਮ,కమ్యూనికేషన్ మోడెమ్
ਸੰਚਾਰ ਨੈਟਵਰਕ,కమ్యూనికేషన్ నెట్‌వర్క్
ਸੰਚਾਰ ਕੇਂਦਰ,కమ్యూనికేషన్స్ సెంటర్
ਸੰਚਾਰ ਕੰਪਿ computer ਟਰ,కమ్యూనికేషన్ కంప్యూటర్
ਸੰਚਾਰ ਨਿਯੰਤਰਕ,కమ్యూనికేషన్స్ కంట్రోలర్
ਸੰਚਾਰ ਸੈਟੇਲਾਈਟ,కమ్యూనికేషన్స్ ఉపగ్రహం
ਸੰਚਾਰ ਸੁਰੱਖਿਆ ਉਪਕਰਣ,కమ్యూనికేషన్స్ సెక్యూరిటీ ఎక్విప్మెంట్
ਸੰਚਾਰ ਸਾੱਫਟਵੇਅਰ,కమ్యూనికేషన్ సాఫ్ట్‌వేర్
ਸੰਚਾਰ ਉਪ-ਪ੍ਰਣਾਲੀ,కమ్యూనికేషన్స్ ఉపవ్యవస్థ
ਸੰਚਾਰ ਟਰਮੀਨਲ,కమ్యూనికేషన్స్ టెర్మినల్
ਸੰਚਾਰ ਸਿਧਾਂਤ,కమ్యూనికేషన్ సిద్ధాంతం
ਕਮਿ Community ਨਿਟੀ ਆਟੋਮੈਟਿਕ ਐਕਸਚੇਂਜ,కమ్యూనిటీ ఆటోమేటిక్ ఎక్స్ఛేంజ్
ਕਮਿ Community ਨਿਟੀ ਡਾਇਲ ਦਫਤਰ,కమ్యూనిటీ డయల్ ఆఫీస్
ਕਮਿ ute ਟਟੇਟਰ ਪਲਸ,కమ్యుటేటర్ పల్స్
ਸੰਕੁਚਿਤ ਐਲਗੋਰਿਦਮ,సంపీడన అల్గోరిథం
ਰਚਨਾ,కంపాండింగ్
ਰਚਨਾ,కంపాండర్
ਰੀਡੈਂਡਰ ਮਿਸਿੰਗ,కంపాండర్ తప్పుగా మార్చడం
"ਸਾਥੀ ਸਟੋਰ
 ਬੈਕਅਪ","కంపానియన్ స్టోర్
 బ్యాకప్"
ਕੰਪੈਕਟਰਟਰ,పోలిక
ਕੰਪਰੇਟਰ ਪੜਤਾਲ,కంపారిటర్ ప్రోబ్
"ਯੂਨਿਟ ਦੀ ਤੁਲਨਾ ਕਰਨਾ
 (= ਕੰਪਿ uters ਟਰ)","యూనిట్ పోల్చడం
 (= కంపారిటర్)"
"ਤੁਲਨਾ
 ਓਪਰੇਸ਼ਨ","పోలిక
 ఆపరేషన్"
"ਤੁਲਨਾ
 ਓਪਰੇਟਰ","పోలిక
 ఆపరేటర్"
ਤੁਲਨਾਤਮਕ ਟੈਸਟ,పోలిక పరీక్ష
ਅਨੁਕੂਲਤਾ,అనుకూలత
ਅਨੁਕੂਲਤਾ ਟੈਸਟ,అనుకూలత పరీక్ష
ਅਨੁਕੂਲ,అనుకూలంగా
"ਅਨੁਕੂਲ ਸਮਾਂ
 ਸਾਂਝਾ ਕਰਨਾ ਸਿਸਟਮ","అనుకూల సమయం
 భాగస్వామ్య వ్యవస్థ"
ਸੰਗ੍ਰਹਿ,సంగ్రహం
ਸੰਕਲਨ ਸਹਾਇਤਾ,సంకలన సహాయం
ਕੰਪਾਈਲ,కంపైల్
ਕੰਪਾਈਲ ਅਵਧੀ,కంపైల్ వ్యవధి
ਕੰਪਾਈਲ ਪੜਾਅ,కంపైల్ దశ
ਕੰਪਾਈਲਰ,కంపైలర్
ਕੰਪਾਈਲਰ-ਕੰਪਾਈਲਰ,కంపైలర్-కంపైలర్
ਕੰਪਾਈਲਰ ਡਾਇਰੈਕਟਿੰਗ ਸਿਸਟਮ,కంపైలర్ డైరెక్టింగ్ సిస్టమ్
ਕੰਪਾਈਲਰ ਡਾਇਰੈਕਟਿਵ,కంపైలర్ డైరెక్టివ్
ਕੰਪਾਈਲਰ ਜਨਰੇਟਰ,కంపైలర్ జనరేటర్
ਕੰਪਾਈਲਰ ਇੰਟਰਫੇਸ,కంపైలర్ ఇంటర్ఫేస్
ਕੰਪਾਈਲਰ ਭਾਸ਼ਾ,కంపైలర్ భాష
ਕੰਪਾਈਲਰ ਵਿਕਲਪ,కంపైలర్ ఎంపిక
ਕੰਪਾਈਲ ਟਾਈਮ,కంపైల్ సమయం
ਕੰਪਾਈਲ ਟਾਈਮ ਡਾਇਗਨਿਕਸ,టైమ్ డయాగ్నోస్టిక్స్ కంపైల్
ਕੰਪਾਈਲ ਟਾਈਮ ਸਟੇਟਮੈਂਟ,సమయ ప్రకటనను కంపైల్ చేయండి
ਕੰਪਾਇਲ ਕਰਨ ਦੀ ਮਿਆਦ,కంపైల్ వ్యవధి
ਤਿਆਰ ਪੜਾਅ,కంపైలింగ్ దశ
ਕੰਪਾਇਲ ਕਰਨ ਦਾ ਪ੍ਰੋਗਰਾਮ (= ਸੰਸ਼ੋਧਨ),కంపైల్ ప్రోగ్రామ్ (= కంప్లైయర్)
ਸਮਾਂ ਕੰਪਾਈਲ ਕਰਨਾ,సమయం కంపైల్ చేయండి
ਸਹਾਇਕਣ,పూరక
ਪੂਰਕ ਕਾਰਵਾਈ,పరిపూరకరమైన ఆపరేషన్
ਪੂਰਕ ਓਪਰੇਟਰ,కాంప్లిమెంటరీ ఆపరేటర్
ਪੂਰਕ ਅਧਾਰ,కాంప్లిమెంట్ బేస్
ਪੂਰਕ ਨੰਬਰ ਸਿਸਟਮ,పరిపూరకరమైన సంఖ్య వ్యవస్థ
ਪੂਰਾ ਕਰਨ ਵਾਲਾ,కాంప్లిమెంటర్
ਪੂਰਕ,పూర్తి
ਅੱਗੇ-ਨੌਂ ਪੂਰਕ,కాంప్లిమెంట్-ఆన్-తొమ్మిది
ਇੱਕ 'ਤੇ ਪੂਰਕ,ఒకదానిపై పూరకంగా
ਦੇ ਪੂਰਕ ਦਸ,కాంప్లిమెంట్-ఆన్ టెన్
ਪੂਰਕ-ਦੋ,కాంప్లిమెంట్-ఆన్-టూ
ਪੂਰੀ ਕੈਰੀ,పూర్తి క్యారీ
ਸੰਪੂਰਨਤਾ ਜਾਂਚ,పరిపూర్ణత తనిఖీ
ਪੂਰੀ ਕਾਰਵਾਈ,పూర్తి ఆపరేషన్
ਪੂਰੀ ਰੁਟੀਨ,పూర్తి దినచర్య
ਮੁਕੰਮਲਤਾ ਕੋਡ,పూర్తి కోడ్
ਗੁੰਝਲਦਾਰ ਨਿਰੰਤਰ,కాంప్లెక్స్ స్థిరాంకం
ਗੁੰਝਲਦਾਰ ਡੇਟਾ,సంక్లిష్ట డేటా
ਗੁੰਝਲਦਾਰ ਡਾਟਾ ਕਿਸਮ,సంక్లిష్ట డేటా రకం
ਗੁੰਝਲਦਾਰ ਫੈਸਲਾ ਲੈਣ ਦਾ ਸਿਮੂਲੇਸ਼ਨ,సంక్లిష్ట నిర్ణయం తీసుకునే అనుకరణ
ਪੇਚੀਦਗੀ ਸਿਧਾਂਤ,సంక్లిష్టత సిద్ధాంతం
ਗੁੰਝਲਦਾਰ ਨੰਬਰ,సంక్లిష్ట సంఖ్య
ਭਾਗ,భాగం
ਭਾਗ ਦਾ ਪਤਾ,కాంపోనెంట్ చిరునామా
ਕੰਪੋਨੈਂਟ ਪ੍ਰੋਸੈਸਰ,కాంపోనెంట్ ప్రాసెసర్
ਕੰਪੋਜ਼ਿਟ ਕੰਸੋਲ,మిశ్రమ కన్సోల్
ਕੰਪੋਜ਼ਿਟਡ ਸਰਕਟ,కంపోజిటెడ్ సర్క్యూట్
ਕੰਪੋਜ਼ਿਟ ਬਾਹਰੀ ਸਿੰਬਲ ਡਿਕਸ਼ਨਰੀ,స్వర బాహ్య విభాగము
ਕੰਪੋਜ਼ਿਟ ਮੋਡੀ .ਲ,మిశ్రమ మాడ్యూల్
ਕੰਪੋਜ਼ਿਟ ਮੋਡੀ module ਲ ਡੇਟਾ ਸੈਟ,మిశ్రమ మాడ్యూల్ డేటా సెట్
ਕੰਪੋਜ਼ਿਟ ਆਪਰੇਟਰ,మిశ్రమ ఆపరేటర్
ਰਚਨਾ ਫਾਈਲ,కూర్పు ఫైల్
ਮਿਸ਼ਰਿਤ ਸਥਿਤੀ,సమ్మేళనం పరిస్థితి
ਮਿਸ਼ਰਿਤ ਲਾਜ਼ੀਕਲ ਐਲੀਮੈਂਟ,సమ్మేళనం తార్కిక మూలకం
ਮਿਸ਼ਰਿਤ ਬਿਆਨ,సమ్మేళనం ప్రకటన
ਸੰਕੁਚਿਤ,కంప్రెస్
ਕੰਪ੍ਰੈਸਰ,కంప్రెసర్
ਨਾਲ ਸਮਝੌਤਾ ਕਰੋ,రాజీ నెట్
ਕੰਪਿ utabuty ਟਿਪਟੀ,కంప్యూటబిలిటీ
ਕੰਪੇਟਬਲ ਫੰਕਸ਼ਨ,కంప్యూటబుల్ ఫంక్షన్
ਗਣਨਾ,గణన
ਕੰਪਿ ut ਟੈਟਿਕ ਪੇਚੀਦਗੀ,గణన సంక్లిష్టత
ਕੰਪਿ ut ਟੇਸ਼ਨਲ ਭਾਸ਼ਾਈ,గణన భాషాశాస్త్రం
ਕੰਪਿ ut ਟੇਸ਼ਨਲ ਮਾਡਲ,గణన నమూనా
ਕੰਪਿ ut ਟੇਸ਼ਨਲ ਸਥਿਰਤਾ,గణన స్థిరత్వం
ਕੰਪਿ ute ਟ ਸੀਮਿਤ,కంప్యూట్ లిమిటెడ్
ਗਣਨਾ ਮੋਡ,కంప్యూట్ మోడ్
ਕੰਪਿ computer ਟਰ,కంప్యూటర్
ਕੰਪਿ Computer ਟਰ ਪ੍ਰਬੰਧਕੀ ਰਿਕਾਰਡ,కంప్యూటర్ అడ్మినిస్ట్రేటివ్ రికార్డ్
ਕੰਪਿ computer ਟਰ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ ਡਿਜ਼ਾਇਨ,కంప్యూటర్ సహాయక రూపకల్పన
ਕੰਪਿ Computer ਟਰ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ ਇੰਜੀਨੀਅਰਿੰਗ,కంప్యూటర్-ఎయిడెడ్ ఇంజనీరింగ్
ਕੰਪਿ computer ਟਰ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ,కంప్యూటర్ ఎయిడెడ్ తయారీ
ਕੰਪਿ computer ਟਰ architect ਾਂਚਾ,కంప్యూటర్ ఆర్కిటెక్చర్
ਕੰਪਿ Computer ਟਰ ਹਿਸਾਬ,కంప్యూటర్ అంకగణితం
ਕੰਪਿ Computer ਟਰ ਕਲਾ,కంప్యూటర్ ఆర్ట్
ਕੰਪਿ computer ਟਰ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ ਸਿੱਖਿਆ,కంప్యూటర్ సహాయక విద్య
ਕੰਪਿ computer ਟਰ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ ਨਿਰਦੇਸ਼,కంప్యూటర్ సహాయక సూచన
ਕੰਪਿ computer ਟਰ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ ਸਿਖਲਾਈ,కంప్యూటర్ సహాయక అభ్యాసం
ਕੰਪਿ computer ਟਰ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ ਪ੍ਰਬੰਧਨ,కంప్యూటర్ సహాయక నిర్వహణ
ਕੰਪਿ computer ਟਰ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ ਸਿਖਾਉਣੀ,కంప్యూటర్ సహాయక బోధన
ਕੰਪਿ computer ਟਰ ਅਧਾਰਤ ਸਵੈਚਾਲਨ,కంప్యూటర్ ఆధారిత ఆటోమేషన్
ਕੰਪਿ computer ਟਰ ਅਧਾਰਤ ਸਿੱਖਿਆ,కంప్యూటర్ ఆధారిత విద్య
ਕੰਪਿ Computer ਟਰ ਅਧਾਰਤ ਸਿਖਲਾਈ,కంప్యూటర్ ఆధారిత అభ్యాసం
ਕੰਪਿ Computer ਟਰ ਬਿ Bureau ਰੋ,కంప్యూటర్ బ్యూరో
ਕੰਪਿ Computer ਟਰ ਸਰਕਟਰੀ,కంప్యూటర్ సర్క్యూట్రీ
ਕੰਪਿ computer ਟਰ ਕੋਡ,కంప్యూటర్ కోడ్
ਕੰਪਿ computer ਟਰ ਸੰਚਾਰ,కంప్యూటర్ కమ్యూనికేషన్
ਕੰਪਿ Computer ਟਰ ਕਾਨਫਰੰਸਿੰਗ,కంప్యూటర్ కాన్ఫరెన్సింగ్
ਕੰਪਿ Computer ਟਰ ਕੌਂਫਿਗਰੇਸ਼ਨ,కంప్యూటర్ కాన్ఫిగరేషన్
ਕੰਪਿ Computer ਟਰ ਕੰਸੋਲ,కంప్యూటర్ కన్సోల్
