ab initio,আৰম্ভৰপৰা
commission,"1. আজ্ঞাপত্র 2. কর্তৃত্ব, নিয়োগ, নিযুক্তি 3. আয়োগ 4. কার্য্যকৰণ, সম্পাদন 5. দস্তুৰি, কমিচন 6.দালালি"
commissioning,"প্রৱৰৰত্তন কৰা, আৰম্ভ কৰা"
commit,"1.ভাৰ দে 2. ৰাখ, সাঁচ 3. অর্পণ কৰ 4. সংঘটিত কৰ 5. প্রতিশ্রুতি দে, প্রতিজ্ঞাবদ্ধ হ"
commitment,দায়বদ্ধতা
commodity,"বস্তু, পণ্য"
common,1. উমৈহতীয়া 2. সাধাৰণ
communal,সাম্প্রদায়িক
communal harmony,"সাম্প্রদায়িক সদ্ভাৱ, সাম্প্রদায়িক সম্প্রীতি"
communicate,"1.জনা, অৱগত কৰ 2. যোগাযোগ ৰাখ 3. আদান-প্রদান কৰ"
communication,"1.সংবাদ প্রেৰণ 2. তথ্যৰ আদান-প্রদান 3. সংযোগ, যোগসূত্র 4. যাতায়ত ব্যৱস্থা, পৰিবহ্ণ ব্যৱস্থা"
communication gap,যোগাযোগৰ অভাৱ
communique,বিজ্ঞপ্তি
community,1.সম্প্রদায় 2. সমাজ
community centre,সামূহিক কেন্দ্র
community development project,সামূহিক বিকাশ প্রকল্প
community service,সামূহিক সেৱা
commutation,"1.সলনি কৰা, বিনিময় কৰা 2. পৰিৱর্ত্তন 3. (শাস্তি) লাঘৱ কৰা, লঘু কৰা 4. ক্ষতিপূৰণ কৰা"
commuted leave,পৰিৱর্ত্তিত ছুটী
commuted value,পৰিৱর্ত্তিত মূল্য
comparison,তুলনা
compassion,"অনুকম্পা, সহানুভূতি"
compassionate ground,সহানুভূতিশীল দৃষ্টিৰে
compassionate leave,অনুকম্পা ছুটী
compatible,"সংগত, অনুকূল"
compel,বাধ্য কৰ
compendium,সংক্ষিপ্ত সাৰ
compensation,1. ক্ষতিপূৰণ 2. প্রতিভাৰ 3. প্রতিকাৰ 4. সম্পূর্ত্তি
compensatory allowance,প্রতিকৰ ভাট্টা
compensatory leave,প্রতিপূৰক ছুটী
competence,1.সক্ষমতা 2. যোগ্যতা 3. সাধনক্ষমতা
Competent,সক্ষম
competent authority,সক্ষম প্রাধিকাৰী
competition,প্রতিযোগিতা
competitive examination,প্রতিযোগিতামূলক পৰীক্ষা
compilation,সংকলন
complaint,"1. আপত্তি কৰ, অভিযোগ কৰ 2. গোচৰ তৰ"
complaint book,অভিযোগ পুস্তিকা
complement,পৰিপূৰক
complementary,পৰিপূৰক
complete,"সম্পূর্ন কৰ, পৰিপূর্ণতা দে"
completion certificate,সমাপন প্রমাণপত্র
compliance,আজ্ঞা পালন
complicated,জটিল
compliment,1.অভিনন্দন 2. প্রশংসা 3. সন্মান
complimentary copy,মান্যার্থ প্রতি
comply with,আজ্ঞা পালন কৰ
composite culture,সংমিশ্রিত সংস্কৃতি
composition,"1.গাঁথনি, ৰচনাশৈলী 2. ৰচিত বস্তু 3. গঠন, সংযোজন 4. আপোছ, চুক্তি 5. শব্দ বা বাক্যৰ গঠন"
comprehensive,"ব্যাপক, সর্বাত্মক"
comprehensive insurance,সর্বাত্মক বীমা
compromise,"আপোচ, আপোচ কৰ"
compulsory,"অনিবার্য্য, বাধ্যতামূলক"
compulsory retirement,বাধ্যতামূলক অৱসৰ
computer,"কম্পিউটাৰ, পৰিকলন যন্ত্র"
computer centre,কম্পিউটাৰ কেন্দ্র
computer friendly,কম্পিউটাৰ অনুকূল
computer language,কম্পিউটাৰ ভাষা
computer literacy,কম্পিউটাৰ সাক্ষৰতা
computerization,কম্পিউটাৰকৃত
concept,"সংকল্পনা, অৱধাৰনা"
concern,"1.দায়িত্ব, লেঠা 2. চিন্তা, স্বার্থ 3. দুশ্চিন্তা, উদ্বেগ 4. ব্যৱসায়িক প্রতিষ্ঠান 5. যন্ত্র, কল"
concession,ৰেহাই
concession certificate,ৰেহাই প্রমাণপত্র
concessional rate,ৰেহাই দৰ
conciliation,"সন্ধিসূচক, আপোচমূলক"
concluding remarks,সমাপন মন্তব্য
conclusion,"সমাপন, সমাপ্তি"
conclusive,নিশ্চয়াত্মক
concur,"সহমত হ, ঐকমত্য হ"
concurrence,সন্মতি
condemn,"1.জগৰীয়া কৰ 2. ভর্ৎসনা কৰ, গৰিহণা দে 3. বাতিল কৰ 4. বাজেয়াপ্ত কৰ"
condition,"1.চর্ত 2. পৰিস্থিতি, অৱস্থা, দশা, স্থিতি 3. প্রয়োজনীয় যোগ্যতা 4. দেহৰ অৱস্থা 5. মর্য্যাদা, সম্ভ্রম6."
conditional,চর্তসাপেক্ষ
conditional acceptance,চর্তসাপেক্ষ স্বীকৃতি
conditions of contract,ঠিকাৰ চর্তাৱলী
conditions of service,সেৱাৰ চর্তাৱলী
condolence,"সমবেদনা, শোক"
condone,ক্ষমা কৰ
conduct,1.পৰিচালনা 2. আচৰণ
conduct rules,আচৰণ নিয়মাৱলী
confer,প্রদান কৰ
conference,সন্মিলন
conference room,সন্মিলন কক্ষ
conferencing facility,বহু সংলাপ সুবিধা
confidential,গোপনীয়
confinement,"1.কাৰাবাস 2. গৃহ অৱৰুদ্ধ অৱস্থা, প্রসূতি কাল"
confirm,"সাব্যস্ত কৰ, নিগাজী কৰ, স্থায়ী কৰ"
confirmation,স্থায়ীকৰণ
confirmation of service,সেৱাৰ স্থায়ীকৰণ
confirmation order,স্থায়ীকৰণ আদেশ
confiscation,"বাজেয়াপ্তকৰণ, ক্রোক কৰণ"
conflict,"সংঘর্ষ, বিৰোধ, সংঘাত"
conflicting views,পৰস্পৰ বিৰোধী মতামত
conformity,অনুৰূপতা
congratulation,অভিনন্দন
connection,1. সম্বন্ধ 2. সংযোজন
connivance,মৌন সমর্থন
conscience,অন্তঃকৰণ
consensus,সর্বসন্মতি
consent,সন্মতি
consequence,"পৰিণাম, ফল"
consequent,"অনুগামী, অনুৱর্ত্তী, আনুষঙ্গিক"
conservation,সংৰক্ষণ
consideration zone,বিবেচনা ক্ষেত্র
consignee,"প্রাপক, লভোতা"
consignment,"প্রেৰিত পণ্যদ্রব্য, চালানিমাল"
consignment note,চালানি টোকা
consistent,"1.ঘন, গাঢ় 2. অপৰিৱর্ত্তিত, অটল 3. সুসমঞ্জস, সঙ্গত, সঙ্গতিপূর্ণ 4. শান্তিপূর্ণ, সংঘর্ষহীন"
consolidated fund,"একত্র নিধি, সঞ্চিত নিধি"
consolidated pay,একত্র বেতন
consolidated statement,একত্র বিৱৰণ
consolidation,"1.সুদৃঢ়কৰণ 2. একগোট হওন 3. ঘনীভৱন, সংপিণ্ডন"
conspicuous,"1.দৃষ্টি আকর্ষক, প্রকাশ্য 2. মনোযোগ আকর্ষণকাৰী 3. চকুত ধৰা"
conspiracy,ষড়যন্ত্র
constant,"1.দৃঢ়, অবিচলিত 2. অনুগত 3. অবিৰত, নিয়মীয়া 4. অপৰিৱর্ত্তনীয়, নিয়ত"
constituency,"সমষ্টি, নির্বাচন ক্ষেত্র"
constituent,"1. গঠনকাৰী, অংশীদাৰ 2. সংবিধান ৰচক, সাংবিধানিক"
constitution,সংবিধান
constraint,"1.বাধ্যবাধকতা 2. বাধা, নিষেধ 3. অস্বস্তি, বিব্রত ভাব 4. সংযম"
construction,"নির্মণ, ৰচনা"
consultant,পৰামর্শদাতা
consultation,পৰামর্শ
consultative committee,পৰামর্শদাতা সমিতি
consumable item,উপভোগ্য বস্তু
consume,উপভোগ কৰ
consumer forum/council,উপভোক্তা মঞ্চ/পৰিষদ
consumer orientation,উপভোক্তা অভিবিন্যাসকৰণ
consumer's goods,উপভোক্তা সামগ্রী
consumption,"উপভোগ, খৰচ, ব্যয়"
contact,সম্পর্ক
contact programme,সম্পর্ক কার্য্যক্রম
contagious disease,"সংক্রামক ৰোগ, সোঁচৰা ৰোগ"
contain,"1.অন্তর্বিষ্ট হ, অন্তর্ভুক্ত কৰ 2. নিয়ন্ত্রণত ৰাখ, সংযত কৰি ৰাখ 3. আবদ্ধ কৰি ৰাখ"
contemplate,"গুণা-গঠা কৰ, গভীৰভাৱে চিন্তা কৰ"
contemporary,"সমসাময়িক, সমকালীন"
contempt of court,ন্যায়ালয়ৰ অৱমাননা
contention,"1.বিৰোধ, কন্দল 2. যুক্তি, দাবী"
contents,"1.বিষয়সূচী 2. অন্তর্বস্তু 3. তাৎপর্য্য, সাৰার্থ 4. উপাদান, উপকৰণ"
contest,1.বিবাদ 2. প্রতিযোগিতা 3. প্রতিদ্বন্দ্বিতা কৰ
context,"প্রসংগ, সন্দর্ভ (বিধি)"
contingencies,আকস্মিক ব্যয়
contingency,1.সম্ভাব্য স্থিতি 2. আকস্মিকতা3. প্রাসঙ্গিকতা
contingency allowance,আকস্মিকতা ভাট্টা
contingency fund,আকস্মিকতা নিধি
contingency grant,প্রাসঙ্গিক অনুদান
contingency plan,আকস্মিক স্থিতি আঁচনি
contingent charges,আকস্মিক ব্যয়
continuous appointment,অবিৰত নিযুক্তি
continuous development,অবিৰত বিকাশ
continuous process,অবিৰত প্রক্রিয়া
continuous service,অবিৰত সেৱা
contraband,"চোরাং, অবৈধ, নিষিদ্ধ"
contract,"চুক্তি, ঠিকা"
contract deed,চুক্তিপত্র
contract of employment,কর্মসংস্থান চুক্তি
contract period,"চুক্তিৰ অৱধি, ঠিকাৰ অৱধি"
contractual document,"চুক্তি নথিপত্র, ঠিকা নথিপত্র"
contractual liability,চুক্তিগত বাধ্যবাধকতা
contractual service,চুক্তিগত সেৱা
contradiction,1.খণ্ডন 2. পৰস্পৰ বিৰোধ
contradictory statement,পৰস্পৰ বিৰোধী বিবৃতি
contrary,"প্রতিকূল, বিপৰীত"
contravention,উলংঘন
contribution,"1.যোগদান 2. অৱদান, অংশদান 3. চান্দা"
contributory pension scheme,অংশদায়ী পেন্সন আঁচনি
contributory provident fund,অংশদায়ী ভৱিষ্য নিধি
control,নিয়ন্ত্রণ
controlling officer,নিয়ন্ত্রণ বিষয়া
controversial,"বিতর্কিত, বিবাদ্গ্রস্ত"
controversial matter,বিতর্কিত বিষয়
controversy,"বিতর্ক, বিবাদ"
convenience,সুবিধা
convention,"1.চুক্তি, সন্ধি 2. আচাৰ বিধি, প্রথা, ৰীতি, পৰম্পৰা 3. সন্মিলন, সভা"
conventional,পৰম্পৰাগত
conversant,"অৱগত, পৰিচিত"
convert,1. পৰিৱর্ত্তিত কৰ 2. ধর্মান্তৰিত কৰ
converted leave,পৰিৱর্ত্তিত ছুটী
conveyance,1.পৰিবহণ 2. পৰিবাহক 3. হস্তান্তৰণ (সম্পত্তি)
conveyance allowance,পৰিবহণ ভাট্টা
conveyance deed,হস্তান্তৰণ দলিল
conveyance expenses,পৰিবহণ ব্যয়
convict,"দোষী প্রমাণিত অপৰাধী, দণ্ডিত অপৰাধী"
conviction,1.দোষী সাব্যস্তকৰণ 2. দৃঢ় বিশ্বাস
Convocation,"সমাৱর্ত্তন, দীক্ষান্ত সমাৰোহ"
cooling off period,উপশমন অৱধি
cooperation,1.সহযোগ স্থাপন 2. সমবায় গঠন
cooperative,1.সহযোগিতাপূর্ণ 2. সমবায়ী 3. সমবায়
cooperative society,সমবায় সমিতি
copy,"1.প্রতিলিপি, নকল 2. প্রতি 3. কপি"
copying,1.প্রতিলিপিকৰণ 2. নকল কৰোতা
copyright,"স্বত্বাধিকাৰ, কপিৰাইট"
cordial,সৌহার্দ্যপূর্ণ
coroner,"আশুমৃত পৰীক্ষক, অপমৰণ অন্বেষক"
corporate body,নিগমিত নিকায়
corporate planning,কোম্পানি পৰিকল্পনা
corporation,নিগম
corporation tax,নিগম কৰ
correction,"শুদ্ধকৰণ, সংস্কাৰ, সংশোধন"
corrective measures (=correctives),সংশোধনমূলক উপায়
correspondence,"পত্রাৱলী, চিঠি-পত্রৰ আদান-প্রদান"
correspondence course,পত্রাচাৰ পাঠ্যক্রম
correspondence portion,পত্রাচাৰ ভাগ
correspondent,সংবাদদাতা
corresponding,"তদনুৰূপ, তদনুসাৰ"
corrigendum,"শুদ্ধিপত্র, শুধৰণি"
corroborate,"নিশ্চিত কৰ, প্রতিপাদন কৰ, প্রতিপুষ্টি কৰ"
corroboration,প্রতিপোষণ
corrupt,দুর্নীতিপৰায়ণ
corrupt practice,দুর্নীতিমূলক আচৰণ
corruption,দুর্নীতি
cosmopolitan city,সার্বজনীন মহানগৰ
cost,"খৰচ, ব্যয়"
cost accountant,ব্যয় লেখাকাৰ
cost analysis,ব্যয় বিশ্লেষণ
cost ceiling,ব্যয় সীমা
cost effectiveness,ব্যয় মতে ফল পোৱা
cost of living,নির্বাহ ব্যয়
cost overrun,ব্যয় অতিক্রমণ
cottage industry,কুটিৰ শিল্প
council,পৰিষদ
council of ministers,"মন্ত্রী পৰিষদ, মন্ত্রী সভা"
council of states,ৰাজ্য সভা
counsel,"পৰামর্শ দে, মন্ত্রণা দে"
counselling,পৰামর্শ সেৱা
counter,"1. সম্পদ, অনুকূল বস্তু 2. বিপণী পট্টক 3. বাতায়ন 4. গণনাকাৰী ব্যক্তি বা যন্ত্র 5. বিৰোধ, বিপক্ষ 6.প্র"
counter action,প্রতি কার্য্যব্যৱস্থা
counter affidavit,প্রতি হলফনামা
counter charge,প্রতি অভিযোগ
counter claim,প্রতি দাবী
counter offer,প্রতিপ্রস্তাৱ
counterfeit currency,জালী মুদ্রা
counterfeiting,"জালকৰণ, ছলকৰণ, কপটতা"
counterfoil,প্রতিপর্ণ
countersign,প্রতিস্বাক্ষৰ কৰ
coup (de etat),"ৰাজ বিপ্লৱ, সামৰিক অভ্যুত্থান"
coupon,"কুপন, পর্ণিকা"
courier,"সংবাদবাহক, বার্ত্তাবাহক, দূত"
courier service,সংবাদবাহক সেৱা
course,"1.গতি, প্রবাহ 2. গতিপথ 3. জীৱন যাত্রা 4. ব্যৱহাৰ, আচৰণ 5. অগ্রগতি6.ধাৰা7.ব্যঞ্জন8.লানি, শাৰী"
courses of study,পাঠ্যক্রম
court case,আদালতী গোচৰ
court of small causes,লঘুবাদ ন্যায়ালয়
courtesy,"সৌজন্যতা, শিষ্টাচাৰ"
covenant,"সন্ধিপত্র, চুক্তিনামা"
cover,"1.আৱৰণ, লেফাফা 2. সংৰক্ষণ"
coverage,1. আচ্ছাদন 2. বীমা নিৰাপত্তা 3. পৰিধি 4. সংবাদৰ বিস্তাৰ
covering letter,সহপত্র
covering memo,"সহজ্ঞাপন, সহমেমো"
covering note,সহটোকা
crash programme,দ্রুত কার্য্যক্রম
creamy layer,নবোন্নত বর্গ
creation,"সৃষ্টি, ৰচনা, নির্মাণ"
creative,সৃষ্টিশীল
creativity,সৃষ্টিশীলতা
creche,শিশু সদন
credentials committe,প্রত্যয়পত্র সমিতি
credibility,বিশ্বাসযোগ্যতা
credit,1.ঋণ 2. জমা 3. কৃর্তিত্ব
credit advice,জমা সংজ্ঞাপন
credit and thrift society,সঞ্চয় আৰু ঋণদান সমিতি
credit card,ক্রেডিট কার্ড
credit entry,জমা প্রৱিষ্টি
credit facilities,ঋণ সা-সুবিধা
credit note,জমা পত্র
creditable,প্রশংসনীয়
creditor,ঋণদাতা
cremation,শৱ সৎকাৰ
cremation ground,"শ্মশান ভূমি, শৱদাহগৃহ"
crew,1.কর্মী দল 2. চালক বাহিনী
crime,অপৰাধ
criminal breach of trust,অপৰাধমূলক বিশ্বাস ভংগ
criminal court,"দণ্ড ন্যায়ালয়, ফৌজদাৰী আদালত"
criminal negligence,"আপৰাধিক উপেক্ষা, ঘোৰ উপেক্ষা"
criminal offence,"ফৌজদাৰী অপৰাধ, দণ্ডনীয় অপৰাধ"
criminal procedure code,"দণ্ড প্রক্রিয়া সংহতি, ফৌজদাৰী প্রক্রিয়া সংহতি"
crisis,সংকট
crisis management,সংকট ব্যৱস্থাপনা
criterion,"মানদণ্ড, নির্ণায়ক"
criticism,সমালোচনা
cross,"1.ক্রুচ, ক্রুশ 2. ছেদন, কর্ত্তন 3. বাধা দান, প্রতিৰোধ 4. বর্ণসংকৰৰ সৃষ্টিকৰণ 5. ক্রচ কৰ (চেক, ড্রাফ্"
cross breed,বর্ণসংকৰ প্রজাতি
cross checking,পুনৰ পৰীক্ষা
cross examination,প্রতি পৰীক্ষা
cross reference,পাৰস্পৰিক সন্দর্ভ
cross voting,পক্ষান্তৰ মতদান
crossed cheque,ৰেখিত চেক
crucial date,নির্ণায়ক তিথি
crude,1.অপৰিষ্কাৰ 2. অশোধিত 3. অশিষ্ট
culpable homicide,আপৰাধিক নৰবধ
culprit,"1.অপৰাধী, দোষী 2. অভিযুক্ত"
cultivation,"1.কৃষি, খেতি 2. সংস্কৃতি, শিষ্টাচাৰ"
cultural exchange programme,সাংস্কৃতিক বিনিময় কার্য্যসূচী
cumulative,"সঞ্চয়ী, পুঞ্জীভূত"
currency,"মুদ্রা, কাৰেন্সী"
currency exchange,মুদ্রা বিনিময়
currency note,কাৰেন্সী নোট
current,"1.চলিত, চালু 2. সোঁত 3. বর্ত্তমান"
current account,চালু জমাবহী
current duties,বর্ত্তমানৰ কর্ত্তব্যভাৰ
current session,চলিত অধিৱেশন
curriculum vitae (cv),জীৱনবৃত্ত
curtail,কম কৰ
custodian,"সংৰক্ষক, অভিৰক্ষক"
custody,"অভিৰক্ষণ, জিম্মা"
custom,"প্রথা, আচাৰ, ৰীতি"
custom duty,সীমা শুল্ক
custom examination,সীমা-শুল্ক পৰীক্ষা
custom(s),সীমা শুল্ক
customary,"প্রথাগত, ৰীতিগত"
customary procedure,প্রথাগত প্রক্রিয়া
customer,"গ্রাহক, উপভোক্তা"
customer friendly,"গ্রাহক হিতৈষী, উপভোক্তা হিতৈষী"
cut down,কম কৰ
cut motion,কর্ত্তন প্রস্তাৱ
cut off date,বিভেদক তিথি
cycle,চক্র
daily,দৈনিক
daily allowance,"দৈনিকভাট্টা, দৈনিকঅধিদেয়"
daily diary,"দৈনিকদিনলিপি, দৈনিকদিনপঞ্জী"
daily register,দৈনিকপঞ্জী
daily report,দৈনিকপ্রতিবেদন
daily routine,"দৈনিকৰুটিন, প্রাত্যহিকী"
daily wages,"দৈনিকমজুৰী, দিনহাজিৰা"
dak stage,ডাকস্তৰ
dak tray,ডাকট্রে
damage,"ক্ষয়-ক্ষতি, অনিষ্ট, হানি, লোকচান"
damages,ক্ষতিপূৰণ
dangerous,"বিপদজনক, ভয়ানক, সাংঘাতিক"
daring,"দুঃসাহসী, নির্ভীক"
data,"তথ্য, উপাত্ত"
data bank,তথ্যবেংক
data base,তথ্যসঞ্চয়
data collection,তথ্যসংগ্রহ
data feeding,তথ্যভৰণ
data processing,তথ্যপ্রসংস্কৰণ
date,"তাৰিখ, দিনাংক"
date of arrival,"আগমনতিথি, অহাৰতাৰিখ"
date of birth,"জন্মদিন, জন্মতাৰিখ"
date of departure,"প্রস্থানতিথি, যোৱাৰতাৰিখ"
date of discharge,কর্মমুক্তিৰতাৰিখ
date of maturity,ম্যাদপূর্ণতাৰতাৰিখ
date of receipt,"প্রাপ্তিতিথি, প্রাপ্তিতাৰিখ"
date stamp,"তাৰিখমোহৰ, দিনাংকন"
day scholar,অনাবাসীছাত্র
day shift,দিবাকামৰপাল
day to day work,দৈনন্দিনকাম
days of grace,অনুগ্রহৰদিন
de facto,"বস্তুতঃ, কার্য্যতঃ"
de novo,নতুনকৈ
dead account,নিষ্ক্রিয়জমাবহী
dead line,সময়সীমা
dead stock register,জড়ষ্টকৰেজিষ্টাৰ
dead weight,মুঠভাৰ
deadlock,অচলাৱস্থা
deal,"লেন-দেন, চুক্তি, বন্দৱস্ত"
dealing,"লেন-দেন, ব্যৱহাৰ"
dealing assistant,সম্বন্ধসহায়ক
dearness allowance,মৰগীয়াভাট্টাবাবানচ
death anniversary,মৃত্যুবার্ষিকী
death benefit,মৃত্যুহিতদেয়
death in service,কার্য্যকালতহোৱামৃত্যু
death-cum-retirement gratuity,মৃত্যু-সহ-নিবৃত্তিপাৰিতোষিক
deauthorizatioin,অধিকাৰনিৰসন
debar,বাৰণকৰা
debit,"দেনা, দেয়ধন"
debit advice,দেনাসংজ্ঞাপন
debt,ঋণ
debt management,ঋণব্যৱস্থাপনা
debtor,ঋণী
deceased,মৃতক
decency,"শালীনতা, ভদ্রতা"
decentralization,বিকেন্দ্রীকৰণ
deciding factor,নির্ণায়ককাৰক
decision,সিদ্ধান্ত
decision making,সিদ্ধান্তগ্রহণ
decision making process,সিদ্ধান্তগ্রহণপ্রক্রিয়া
declaration,ঘোষণা
declaration of income,আয়ৰঘোষণা
declare on oath,শপতপূর্বকঘোষণাকৰা
declared value,ঘোষিতমূল্য
decode,"সংকেতোদ্ধাৰকৰ, বিসংকেতনকৰ"
decontrol,বিনিয়ন্ত্রণকৰ
decorum,"শিষ্টতা, শালীনতা, মর্য্যাদা"
decrease,"হ্রাস, ঘাটী"
decree,"আজ্ঞপ্তি, ডিগিৰি, ডিক্রী"
dedication,"উৎসর্গকৰণ, সমর্পণ"
deductible,বিয়োজনীয়
deduction,"বিয়োজন, বিয়োগ, কর্ত্তন"
deduction at source,উৎসতবিয়োজন
deduction from salary,বেতনৰপৰাবিয়োজন
deed,"বিলেখ, দলীল, খত, খতপত্র"
deed of mortgage,"বন্ধকবিলেখ, বন্ধকদলীল"
deemed university,বিবেচিতবিশ্ববিদ্যালয়
deface,বিকৃতকৰ
defalcation,"ব্যপহৰণ, তহবিলতছৰুপ"
defamation,মানহানি
default,"ব্যতিক্রম, গড়হাজিৰা, ত্রুটি, ঋণচুৰি"
defaulter,"ব্যতিক্রমী, গড়হাজিৰ, ঋণচুৰিকৰোতা"
defective,ত্রুটিযুক্ত
defence,প্রতিৰক্ষা
defence counsel,"পদকীয়াৰঅধিবক্তা, পদকীয়াৰমন্ত্রণাদাতা"
defence production,প্রতিৰক্ষাউৎপাদন
defendant,"পদকীয়া, প্রতিবাদী"
defer,"মূলতবিৰাখ, স্থগিতৰাখ"
deferred expenditure,"বিলম্বব্যয়, আস্থগিতব্যয়"
defiance,অৱজ্ঞা
deficit,ঘাটী
deficit budget,ঘাটীবাজেট
define,"সংজ্ঞাদে, পৰিভাষাদে"
defy,অৱজ্ঞাকৰ
degradation,"পদাৱনতিঘটা, অধঃপতন, অৱনতি"
degree,"ডিগ্রী, উপাধি, উপাধিপত্র2.মাত্রা3.অংশ4.ঘাত"
dejure,"আইনবশতঃ, আইনতঃ"
delay,বিলম্ব
delegate,প্রতিনিধি2.প্রত্যায়োজনকৰ
delegated authority,"প্রত্যায়োজিতঅধিকাৰ, প্রত্যায়োজিতকর্ত্তৃত্ব"
delegation,প্রতিনিধিদল2.প্রত্যায়োজন
delegation of powers,ক্ষমতাৰপ্রত্যায়োজন
delete,"নোহোৱাকৰ, মচিপেলা"
deletion,"নোহোৱাকৰা, মচিপেলোৱা"
deliberately,"জ্ঞাতসাৰে, স্বেচ্ছাকৃতভাৱে"
deliberation,"পর্যালোচনা, সমীক্ষণ"
delicencing,অনুজ্ঞাপত্রবাতিলকৰা
delimitation,সীমানির্দ্ধাৰণ
deliver,"অর্পণকৰ, 2.প্রসৱকৰ, জন্মদে"
delivery,"অর্পণ, 2. প্রসৱ, জন্ম"
demand,দাবী2.চাহিদা
demand note,"সাধনীপত্র, দাবীপত্র, অভিযাচনপত্র"
demarcation,"সীমানির্দ্ধাৰণ, সীমাংকন"
demi-official,"অর্দ্ধশাসকীয়, অর্দ্ধচৰকাৰী"
democracy,গণতন্ত্র
demonstration,"প্রদর্শন, নিৰূপণ2.বিক্ষোভপ্রদর্শন"
demoralization,"মনোবলহ্রাস, নৈতিকপতন"
demurrage,বিলম্বশুল্ক
denial,"নামঞ্জুৰ, অস্বীকাৰ2.পৰিত্যজন, বর্জন3.ত্যাগ4.বঞ্চিতকৰণ"
denomination,আখ্যা2.অংকিতমূল্য
deny,"অস্বীকাৰকৰ, প্রত্যাখ্যানকৰ"
depart,"প্রস্থানকৰ2.ৰাওনাহ3.বিচলিতহ4.মৃতহ, প্রয়াতহ"
department,বিভাগ
departmental,বিভাগীয়
departmental action,বিভাগীয়কার্য্যব্যৱস্থা
departmental enquiry,বিভাগীয়তদন্ত
departmental investigation,বিভাগীয়অনুসদ্ধান
departmental irregularity,বিভাগীয়অনিয়ম
departmental library,বিভাগীয়পুথিভঁৰাল
departmental negligence,"বিভাগীয়অৱহেলা, বিভাগীয়গাফিলতি"
departmental permission,বিভাগীয়অনুমতি
departmental qualifying examination,বিভাগীয়অর্হতাপৰীক্ষা
departure,প্রস্থান2.বিচলন
dependency certificate,অৱলম্বনৰপ্রমাণপত্র
dependent,আশ্রিত
dependent children,আশ্রিতসন্তান
deploy,বিস্তৃতকৰ2.বিন্যাসকৰ3.বেহুৰচনাকৰ4.কামতলগা
deponent,"সাক্ষী, অভিসাক্ষী"
deportation,নির্বাসনদান2.দেশান্তৰকৰণ
depose,সাক্ষ্যদে
deposit,"জমা2.নিক্ষেপ, অৱক্ষেপ"
depot,"মালখানা, বাহৰ, ডিপো, আড্ডা, ষ্টেছন"
depreciation,"অৱমূল্যন, মন্দাৱস্থা"
depressed class,"অৱনতশ্রেণী, অনুন্নতশ্রেণী"
deprive,বঞ্চিত কৰ
deputation,"1.প্রতিনিযুক্তি 2. প্রতিনিধি দল, সঁজাতী দল"
deputation allowance,প্রতিনিযুক্তি ভাট্টা
deputy,উপ
deregistered,বিপঞ্জীকৃত
dereliction of duty,কর্ত্তব্যৰ অৱহেলা
dereservation,বি-আৰক্ষণ
derogation,"1.হ্রাস কৰা, খর্ব কৰা 2. হেয় প্রতিপন্ন কৰা 3. সন্মান লাঘৱ কৰা"
derogatory,"অপমানজনক, অৱমাননাসূচক"
derogatory remark,"অপমানজনক মন্তব্য, অৱমাননাসূচক মন্তব্য"
descendant,"বংশধৰ, বংশজ"
description,"বর্ণ্না, বিৱৰণ"
deserving,সুপাত্র
design,"অভিকল্প, ডিজাইন"
designate,"1.মনোনীত কৰ 2. বুজা 3. আখ্যা দে, নাম দে 4. আছুতীয়াকৈ ৰাখ"
designation,"খিতাপ, পদবী"
despatch,"1. দ্রুত প্রেৰণ 2. হত্যা কৰণ 3. বিদায় কৰণ 4. প্রেৰিত দ্রব্য, প্রেৰিত বার্তা"
despatch note,প্রেৰণ টোকা
despatch register,প্রেৰণ পঞ্জী
destination,1.লক্ষ্য 2. গন্তব্য
destitute,"নিঠৰুৱা, নিৰাশ্রয়"
detail,1.বিতং বর্ণনা 2. কামলৈ পঠিওৱা
detailed,বিস্তৃত
detect,"উদ্ধাৰ কৰ, নিৰূপণ কৰ"
detention,"আটক, গ্রেপ্তাৰ"
detenu,"আটকবন্দী, বিচাৰাধীন বন্দী"
determination,"1.ৰায়, মীমাংসা 2. প্রতিজ্ঞা, দৃঢ়সংকল্প 3. নির্দ্ধাৰণ 4. প্রবণতা, ঢাল"
deterrence,"বাধাদান, নিবৃত্তকৰণ"
detriment,অহিত
detrimental,অহিতকৰ
devaluation,অৱমূল্যন
devastation,"বিধ্বংস, বিনাশ"
development,বিকাশ
deviate,বিচলিত হ
device,1.যুক্তি 2. যতন
devotion,"নিষ্ঠা, আত্মোৎসর্গা"
diagnose,নিদান কৰ
diagram,"অনুচিত্র, ৰেখাচিত্র, আৰেখ নক্সা"
diary,"ডায়েৰী, দিনলিপি"
dictation,শ্রুতলিপি
dies non,"অকার্য্য দিৱস, অদিন"
diet,আহাৰ
digest,"1.শ্রেণী বিভাজন কৰ 2. ভালকৈ বুজ, উপলব্ধি কৰ 3. হজম কৰ, জীণ নিয়া"
dignified,"সৌম্য, ভব্য, মার্জিত"
dignity,"মর্য্যাদা, গৰিমা"
digression,"বিক্ষিপ্ততা, চালে বেৰে কোবোৱা"
dilatory,বিলম্বকাৰী
dilemma,"উভয় সংকট, দোধোৰমোৰ"
