Punjabi,Kannada
ਡਿਜ਼ੀਟਲ ਮਾਨੀਟਰ,ಡಿಜಿಟಲ್ ಮಾನಿಟರ್
ਡਿਜ਼ੀਟਲ ਤਸਵੀਰ,ಡಿಜಿಟಲ್ ಚಿತ್ರ
ਡਿਜੀਟਲ ਦਸਤਖਤ,ಡಿಜಿಟಲ್ ಸಹಿ
ਡਿਜ਼ੀਟਲ ਸਵਿੱਚ,ಡಿಜಿಟಲ್ ಸ್ವಿಚ್
ਡਿਜੀਟਲ ਤੋਂ ਐਨਾਲਾਗ (D/A) ਕਨਵਰਟਰ,ಡಿಜಿಟಲ್ ಟು ಅನಲಾಗ್ (D/A) ಪರಿವರ್ತಕ
ਡਿਜੀਟਾਈਜ਼ੇਸ਼ਨ,ಡಿಜಿಟಲೀಕರಣ
digitize,ಡಿಜಿಟೈಜ್ ಮಾಡಿ
ਡਿਜੀਟਾਈਜ਼ਰ,ಡಿಜಿಟೈಸರ್
ਡਾਇਓਡ,ಡಯೋಡ್
ਸਿੱਧਾ,ನೇರ
ਸਿੱਧਾ ਪਤਾ,ನೇರ ವಿಳಾಸ
ਸਿੱਧਾ ਪਰਿਵਰਤਨ,ನೇರ ಪರಿವರ್ತನೆ
ਸਿੱਧੀ ਜੋੜੀ,ನೇರ ಜೋಡಣೆ
ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ (DMA),ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA)
ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ (DMA),ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA)
ਸਿੱਧੀ ਵਿਧੀ,ನೇರ ವಿಧಾನ
ਨਿਰਦੇਸ਼,ನಿರ್ದೇಶನ
ਡਾਇਰੈਕਟਰੀ,ಡೈರೆಕ್ಟರಿ
ਡਾਇਰੈਕਟਰੀ ਸਰਵਰ,ಡೈರೆಕ್ಟರಿ ಸರ್ವರ್
ਡਾਇਰੈਕਟਰੀ ਸੇਵਾ,ಡೈರೆಕ್ಟರಿ ಸೇವೆ
ਅਯੋਗ,ನಿಷ್ಕ್ರಿಯಗೊಳಿಸು
ਅਸਮਰੱਥ ਸਿਗਨਲ,ಸಂಕೇತವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುವುದು
ਡਿਸਕਨੈਕਟ ਕਰੋ,ಸಂಪರ್ಕ ಕಡಿತಗೊಳಿಸಿ
ਵੱਖਰਾ,ಪ್ರತ್ಯೇಕವಾದ
ਡਿਸਕ,ಡಿಸ್ಕ್
ਡਿਸਕ ਪਤਾ,ಡಿಸ್ಕ್ ವಿಳಾಸ
ਡਿਸਕ ਐਰੇ,ಡಿಸ್ಕ್ ಅರೇ
ਡਿਸਕ ਸਮਰੱਥਾ,ಡಿಸ್ಕ್ ಸಾಮರ್ಥ್ಯ
ਡਿਸਕ ਡਰਾਈਵ,ಡಿಸ್ಕ್ ಡ್ರೈವ್
ਡਿਸਕ ਫਾਈਲ,ಡಿಸ್ಕ್ ಫೈಲ್
ਡਿਸਕ ਮੈਮੋਰੀ,ಡಿಸ್ಕ್ ಮೆಮೊರಿ
ਡਿਸਕ ਓਪਰੇਟਿੰਗ ਸਿਸਟਮ (DOS),ಡಿಸ್ಕ್ ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಮ್ (DOS)
ਡਿਸਕ ਪੈਕ,ಡಿಸ್ಕ್ ಪ್ಯಾಕ್
ਡਿਸਕ ਸਰਵਰ,ಡಿಸ್ಕ್ ಸರ್ವರ್
ਡਿਸਕ ਸਟੋਰੇਜ਼,ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ
ਡਿਸਕੇਟ,ಡಿಸ್ಕೆಟ್
ਡਿਸਪਲੇ ਫਾਇਲ,ಪ್ರದರ್ಶನ ಫೈಲ್
ਡਿਸਪਲੇ ਚਿੱਤਰ,ಚಿತ್ರವನ್ನು ಪ್ರದರ್ಶಿಸಿ
ਨਿਪਟਾਰੇ,ವಿಲೇವಾರಿ
ਦੂਰੀ,ದೂರ
ਦੂਰੀ ਫੰਕਸ਼ਨ,ದೂರ ಕಾರ್ಯ
ਵਿਗਾੜ,ಅಸ್ಪಷ್ಟತೆ
ਵੰਡਿਆ,ವಿತರಣೆ
ਵੰਡਿਆ ਡਾਟਾ,ವಿತರಿಸಿದ ಡೇಟಾ
ਵੰਡਿਆ ਸਰਵਰ,ವಿತರಿಸಿದ ಸರ್ವರ್
ਵੰਡਿਆ ਸਿਸਟਮ,ವಿತರಿಸಿದ ವ್ಯವಸ್ಥೆ
ਵੰਡਣ ਵਾਲਾ,ವಿತರಕ
ਦਸਤਾਵੇਜ਼,ದಾಖಲೆ
ਦਸਤਾਵੇਜ਼ ਮੁੜ ਪ੍ਰਾਪਤ ਕੀਤਾ,ಡಾಕ್ಯುಮೆಂಟ್ ಹಿಂಪಡೆಯಲಾಗಿದೆ
ਦਸਤਾਵੇਜ਼ ਵਿੰਡੋ,ಡಾಕ್ಯುಮೆಂಟ್ ವಿಂಡೋ
ਦਸਤਾਵੇਜ਼,ದಸ್ತಾವೇಜನ್ನು
ਡੋਮੇਨ,ಡೊಮೇನ್
ਡੋਮੇਨ ਨਾਮ,ಕಾರ್ಯಕ್ಷೇತ್ರದ ಹೆಸರು
ਡਾਟ ਮੈਟਰਿਕਸ ਪ੍ਰਿੰਟਰ,ಡಾಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಪ್ರಿಂಟರ್
"ਥੱਲੇ, ਹੇਠਾਂ, ਨੀਂਵਾ",ಕೆಳಗೆ
ਡਾਊਨ ਲਿੰਕ,ಕೆಳಗೆ ಲಿಂಕ್
ਡਾਊਨ ਲੋਡਿੰਗ,ಡೌನ್ ಲೋಡ್ ಆಗುತ್ತಿದೆ
ਘੱਟ ਸਮਾਂ,ಕಡಿಮೆ ಸಮಯ
ਖਿੱਚਣਾ,ಎಳೆಯುವುದು
DRAM (ਡਾਇਨਾਮਿਕ ਰੈਮ),DRAM (ಡೈನಾಮಿಕ್ RAM)
ਵਹਿਣਾ,ಡ್ರಿಫ್ಟ್
ਡਰਾਈਵਰ,ಚಾಲಕ
ਸੁੱਟੋ,ಬಿಡಿ
ਡ੍ਰੌਪ ਡਾਊਨ ਸੂਚੀ ਬਾਕਸ,ಡ್ರಾಪ್ ಡೌನ್ ಪಟ್ಟಿ ಬಾಕ್ಸ್
ਡਰੱਮ ਡਰਾਈਵ,ಡ್ರಮ್ ಡ್ರೈವ್
ਡਰੱਮ ਪ੍ਰਿੰਟਰ,ಡ್ರಮ್ ಪ್ರಿಂಟರ್
ਡਰੱਮ ਯੂਨਿਟ,ಡ್ರಮ್ ಘಟಕ
ਦੋਹਰਾ,ದ್ವಂದ್ವ
ਦੋਹਰੀ ਘਣਤਾ,ಉಭಯ ಸಾಂದ್ರತೆ
ਨਕਲੀ ਪਤਾ,ನಕಲಿ ವಿಳಾಸ
ਡੰਪ,ಡಂಪ್
ਡੁਪਲੈਕਸ ਸਰਕਟ,ಡ್ಯುಪ್ಲೆಕ್ಸ್ ಸರ್ಕ್ಯೂಟ್
ਡੁਪਲੈਕਸਿੰਗ,ಡ್ಯುಪ್ಲೆಕ್ಸಿಂಗ್
ਡੁਪਲੀਕੇਟ,ನಕಲು
DVD R/W,DVD R/W
DVD ROM,ಡಿವಿಡಿ ರಾಮ್
ਗਤੀਸ਼ੀਲ ਹਦਾਇਤ,ಡೈನಾಮಿಕ್ ಸೂಚನೆ
ਗਤੀਸ਼ੀਲ ਮੈਮੋਰੀ,ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ
ਗਤੀਸ਼ੀਲਤਾ,ಡೈನಾಮಿಕ್ಸ್
ਈ.ਬੀ.ਸੀ.ਡੀ.ਆਈ.ਸੀ,EBCDIC
ਈ-ਕਾਰੋਬਾਰ,ಇ-ವ್ಯವಹಾರ
echo,ಪ್ರತಿಧ್ವನಿ
ਈ-ਕਾਮਰਸ,ಇ-ಕಾಮರ್ಸ್
ਸੰਪਾਦਿਤ ਕਰੋ,ತಿದ್ದು
ਸੰਪਾਦਕ,ಸಂಪಾದಕ
ਵਿਦਿਅਕ ਤਕਨਾਲੋਜੀ,ಶೈಕ್ಷಣಿಕ ತಂತ್ರಜ್ಞಾನ
EEP ਰੋਮ,ಇಇಪಿ ರೋಮ್
ਪ੍ਰਭਾਵੀ ਪਤਾ (ਫਲੋਟਿੰਗ ਪਤਾ),ಪರಿಣಾಮಕಾರಿ ವಿಳಾಸ (ತೇಲುವ ವಿಳಾಸ)
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਸੰਚਾਲਨ ਪਤਾ,ಪರಿಣಾಮಕಾರಿ ಕಾರ್ಯನಿರ್ವಹಣಾ ವಿಳಾಸ
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਵਿਧੀ,ಪರಿಣಾಮಕಾರಿ ವಿಧಾನ
ਪ੍ਰਭਾਵਸ਼ਾਲੀ UID (ਉਪਭੋਗਤਾ ਪਛਾਣ),ಪರಿಣಾಮಕಾರಿ UID (ಬಳಕೆದಾರ ಗುರುತಿಸುವಿಕೆ)
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਪ੍ਰਸਾਰਣ ਸੰਚਾਲਨ,ಪರಿಣಾಮಕಾರಿ ಪ್ರಸರಣ ಕಾರ್ಯ
ਅੱਠ-ਬਿੱਟ ਬਾਈਟ,ಎಂಟು-ಬಿಟ್ ಬೈಟ್
ਈ-ਲਰਨਿੰਗ,ಇ ಕಲಿಕೆ
ਚੋਣ-ਅਲਗਰਥਮ,ಚುನಾವಣಾ ಅಲ್ಜಿರ್ತಮ್
ਇਲੈਕਟ੍ਰਿਕ ਮੇਲਿੰਗ (ਈ-ਮੇਲ),ಎಲೆಕ್ಟ್ರಿಕ್ ಮೇಲಿಂಗ್ (ಇ-ಮೇಲ್)
ਇਲੈਕਟ੍ਰਿਕ ਪ੍ਰਿੰਟਰ,ವಿದ್ಯುತ್ ಮುದ್ರಕ
ਇਲੈਕਟ੍ਰੀਕਲ ਲੇਖਾ ਮਸ਼ੀਨ,ವಿದ್ಯುತ್ ಲೆಕ್ಕಪತ್ರ ಯಂತ್ರ
ਇਲੈਕਟ੍ਰਾਨਿਕ,ಎಲೆಕ್ಟ್ರಾನಿಕ್
ਇਲੈਕਟ੍ਰਾਨਿਕ ਕਲੀਅਰੈਂਸ ਸਿਸਟਮ (ECS),ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಕ್ಲಿಯರೆನ್ಸ್ ಸಿಸ್ಟಮ್ (ECS)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਡਾਟਾ ਇੰਟਰਚੇਂਜ (EDI),ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ಇಂಟರ್ಚೇಂಜ್ (EDI)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ಸಂಸ್ಕರಣೆ
ਇਲੈਕਟ੍ਰਾਨਿਕ ਫਾਈਲਿੰਗ,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಫೈಲಿಂಗ್
ਇਲੈਕਟ੍ਰਾਨਿਕ ਫੰਡ ਟ੍ਰਾਂਸਫਰ ਸਿਸਟਮ (EFTS),ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಹಣ ವರ್ಗಾವಣೆ ವ್ಯವಸ್ಥೆ (EFTS)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਰਸਾਲੇ,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ನಿಯತಕಾಲಿಕಗಳು
ਇਲੈਕਟ੍ਰਾਨਿਕ ਪ੍ਰਕਾਸ਼ਨ,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಪ್ರಕಾಶನ
ਇਲੈਕਟ੍ਰਾਨਿਕ ਸਵਿੱਚ,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸ್ವಿಚ್
ਤੱਤ,ಅಂಶ
ਈ - ਮੇਲ,ಇಮೇಲ್
ਈਮੇਲ ਖਾਤਾ,ಇಮೇಲ್ ವಿಳಾಸ
ਏਮਬੈਡਡ ਸਿਸਟਮ,ಎಂಬೆಡೆಡ್ ಸಿಸ್ಟಮ್
ਏਮਬੈਡਿੰਗ,ಎಂಬೆಡಿಂಗ್
ਐਮੀਟਰ ਜੋੜੇ ਤਰਕ (ECL),ಹೊರಸೂಸುವ ಜೋಡಿ ತರ್ಕ (ECL)
ਖਾਲੀ ਸਟੈਕ,ಖಾಲಿ ಸ್ಟಾಕ್
ਖਾਲੀ ਸਤਰ,ಖಾಲಿ ಸ್ಟ್ರಿಂಗ್
ਇਮੂਲੇਸ਼ਨ,ಅನುಕರಣೆ
encapsulation,ಆವರಿಸುವಿಕೆ
ਐਨਸਾਈਫਰ,ಎನ್ಸೈಫರ್
ਇੰਕੋਡ,ಎನ್ಕೋಡ್
ਏਨਕੋਡਰ,ಎನ್ಕೋಡರ್
ਐਨਕ੍ਰਿਪਟਡ ਡੇਟਾ,ಎನ್‌ಕ್ರಿಪ್ಟ್ ಮಾಡಿದ ಡೇಟಾ
ਐਨਕ੍ਰਿਪਟਿੰਗ ਫਾਈਲ ਸਿਸਟਮ,ಎನ್ಕ್ರಿಪ್ಟಿಂಗ್ ಫೈಲ್ ಸಿಸ್ಟಮ್
ਇਨਕ੍ਰਿਪਸ਼ਨ,ಗೂಢಲಿಪೀಕರಣ
ਬਲਾਕ ਦਾ ਅੰਤ,ಬ್ಲಾಕ್ನ ಅಂತ್ಯ
ਫਾਈਲ ਦਾ ਅੰਤ (EOF),ಕಡತದ ಅಂತ್ಯ (EOF)
ਆਖਰੀ ਉਪਭੋਗਤਾ,ಬಳಕೆದಾರ
ਦਾਖਲ ਕਰੋ,ನಮೂದಿಸಿ
ਐਂਟਰ-ਕੁੰਜੀ,ನಮೂದಿಸಿ-ಕೀಲಿ
ਐਂਟਰਪ੍ਰਾਈਜ਼ ਸਰਵਰ,ಎಂಟರ್ಪ್ರೈಸ್ ಸರ್ವರ್
ਐਂਟਰਪ੍ਰਾਈਜ਼ ਸਿਸਟਮ,ಉದ್ಯಮ ವ್ಯವಸ್ಥೆ
ਹਸਤੀ,ಘಟಕ
ਹਸਤੀ-ਰਿਸ਼ਤਾ,ಅಸ್ತಿತ್ವ-ಸಂಬಂಧ
ਦਾਖਲਾ ਸਮਾਂ,ಪ್ರವೇಶ ಸಮಯ
ਇੰਦਰਾਜ਼ ਵੇਰੀਏਬਲ,ಪ್ರವೇಶ ವೇರಿಯಬಲ್
ਅਣਗਿਣਤ,ಎಣಿಸಬಹುದಾದ
ਵਾਤਾਵਰਣ,ಪರಿಸರ
ਯੁੱਗ,ಯುಗ
EPROM,EPROM
epsilon ਬੰਦ,ಎಪ್ಸಿಲಾನ್ ಮುಚ್ಚುವಿಕೆ
ਬਰਾਬਰੀ ਕਰਨ ਵਾਲਾ,ಈಕ್ವಲೈಜರ್
ਉਪਕਰਨ,ಉಪಕರಣ
ਸਮਾਨਤਾ ਵਰਗ,ಸಮಾನತೆಯ ವರ್ಗ
ਸਮਾਨਤਾ ਸਬੰਧ,ಸಮಾನತೆಯ ಸಂಬಂಧ
ਮਿਟਾਓ,ಅಳಿಸಿಹಾಕು
ਗਲਤੀ ਠੀਕ ਕਰਨ ਵਾਲਾ ਕੋਡ,ಕೋಡ್ ಸರಿಪಡಿಸುವಲ್ಲಿ ದೋಷ
ਗਲਤੀ ਸੁਧਾਰ,ದೋಷ ತಿದ್ದುಪಡಿ
ਗਲਤੀ ਖੋਜ,ದೋಷ ಪತ್ತೆ
ਗਲਤੀ ਹੈਂਡਲਿੰਗ,ದೋಷ ನಿರ್ವಹಣೆ
ਗਲਤੀ ਸੁਨੇਹਾ,ತಪ್ಪು ಸಂದೇಶ
ਗਲਤੀ ਦਰ,ದೋಷ ದರ
ਗਲਤੀ ਰਿਕਵਰੀ,ದೋಷ ಚೇತರಿಕೆ
ਗਲਤੀ ਰੁਟੀਨ,ದೋಷ ದಿನಚರಿ
ਬਚਣ ਦਾ ਕਿਰਦਾਰ,ಪಾರು ಪಾತ್ರ
ਈਥਰਨੈੱਟ,ಈಥರ್ನೆಟ್
ਘਟਨਾ,ಘಟನೆ
ਘਟਨਾ ਲੜੀ,ಈವೆಂಟ್ ಸರಣಿ
ਘਟਨਾ ਨਿਯੰਤਰਣ,ಈವೆಂಟ್ ನಿಯಂತ್ರಣ
ਘਟਨਾ ਕਾਊਂਟਰ,ಈವೆಂಟ್ ಕೌಂಟರ್
ਅਪਵਾਦ ਹੈਂਡਲਿੰਗ,ವಿನಾಯಿತಿ ನಿರ್ವಹಣೆ
ਐਕਸਚੇਂਜਯੋਗ ਡਿਸਕ ਸਟੋਰੇਜ,ಬದಲಾಯಿಸಬಹುದಾದ ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ
ਬੇਦਖਲੀ,ಹೊರಗಿಡುವಿಕೆ
ਵਿਸ਼ੇਸ਼ ਜਾਂ (XOR),ವಿಶೇಷ ಅಥವಾ (XOR)
ਚੱਲਣਯੋਗ ਪ੍ਰੋਗਰਾਮ,ಕಾರ್ಯಗತಗೊಳಿಸಬಹುದಾದ ಪ್ರೋಗ್ರಾಂ
ਕਾਰਜਕਾਰੀ ਬਿਆਨ,ಕಾರ್ಯಕಾರಿ ಹೇಳಿಕೆ
ਪੂਰੀ ਖੋਜ,ಸಮಗ್ರ ಹುಡುಕಾಟ
ਮੌਜੂਦ ਹੈ,ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ
ਨਿਕਾਸ,ನಿರ್ಗಮಿಸಿ
ਮਾਹਰ ਸਿਸਟਮ,ತಜ್ಞ ವ್ಯವಸ್ಥೆ
ਸਮੀਕਰਨ,ಅಭಿವ್ಯಕ್ತಿ
ਵਿਸਤ੍ਰਿਤ ਗ੍ਰਾਫਿਕ ਐਰੇ (XGA),ವಿಸ್ತೃತ ಗ್ರಾಫಿಕ್ ಅರೇ (XGA)
ਵਿਸਤ੍ਰਿਤ ਉਦਯੋਗ ਮਿਆਰ (EIS),ವಿಸ್ತೃತ ಉದ್ಯಮ ಗುಣಮಟ್ಟ (EIS)
ਵਿਸਤ੍ਰਿਤ ਮਸ਼ੀਨ,ವಿಸ್ತೃತ ಯಂತ್ರ
ਵਿਸਤ੍ਰਿਤ ਮੈਮੋਰੀ,ವಿಸ್ತೃತ ಸ್ಮರಣೆ
ਵਿਸਤ੍ਰਿਤ ਸ਼ੁੱਧਤਾ,ವಿಸ್ತೃತ ನಿಖರತೆ
ਵਿਸਤ੍ਰਿਤ ਛਾਂਟੀ,ವಿಸ್ತೃತ ವಿಂಗಡಣೆ
ਬਾਹਰੀ ਕਾਲ,ಬಾಹ್ಯ ಕರೆ
ਬਾਹਰੀ ਗਲਤੀ,ಬಾಹ್ಯ ದೋಷ
ਬਾਹਰੀ ਫੰਕਸ਼ਨ,ಬಾಹ್ಯ ಕಾರ್ಯ
ਬਾਹਰੀ ਰੁਕਾਵਟ,ಬಾಹ್ಯ ಅಡಚಣೆ
ਬਾਹਰੀ ਮੈਮੋਰੀ,ಬಾಹ್ಯ ಸ್ಮರಣೆ
ਬਾਹਰੀ ਮੈਮੋਰੀ,ಬಾಹ್ಯ ಸ್ಮರಣೆ
ਬਾਹਰੀ ਮਾਡਮ,ಬಾಹ್ಯ ಮೋಡೆಮ್
ਬਾਹਰੀ ਹਵਾਲਾ,ಬಾಹ್ಯ ಉಲ್ಲೇಖ
ਬਾਹਰੀ ਖੋਜ,ಬಾಹ್ಯ ಹುಡುಕಾಟ
ਬਾਹਰੀ ਸਟੋਰੇਜ਼ ਜੰਤਰ,ಬಾಹ್ಯ ಶೇಖರಣಾ ಸಾಧನ
ਕੱਢਣਾ,ಹೊರತೆಗೆಯುವಿಕೆ
ਐਕਸਟਰਪੋਲੇਸ਼ਨ,ಹೊರತೆಗೆಯುವಿಕೆ
ਚਿਹਰਾ-ਚਰਿੱਤਰ ਪ੍ਰਿੰਟਰ,ಮುಖ ಅಕ್ಷರ ಮುದ್ರಕ
ਅਸਫਲ-ਸੁਰੱਖਿਅਤ ਕਾਰਵਾਈ,ವಿಫಲ-ಸುರಕ್ಷಿತ ಕಾರ್ಯಾಚರಣೆ
ਅਸਫਲਤਾ ਦੀ ਦਰ,ವಿಫಲತೆಯ ದರ
ਅਸਫਲਤਾ ਰਿਕਵਰੀ,ವೈಫಲ್ಯ ಚೇತರಿಕೆ
ਗਲਤ ਕੋਡ,ತಪ್ಪು ಕೋಡ್
ਗਲਤ ਗਲਤੀ,ತಪ್ಪು ದೋಷ
ਪੱਖਾ-ਵਿੱਚ,ಫ್ಯಾನ್-ಇನ್
ਪੱਖਾ-ਬਾਹਰ,ಫ್ಯಾನ್ ಔಟ್
fascimile I/O ਡਿਵਾਈਸ,ಫ್ಯಾಸಿಮೈಲ್ I/O ಸಾಧನ
ਫਾਸਟ ਫੋਰੀਅਰ ਟ੍ਰਾਂਸਫਾਰਮ (FFT),ವೇಗದ ಫೋರಿಯರ್ ರೂಪಾಂತರ (FFT)
ਘਾਤਕ ਗਲਤੀ,ಗಂಭೀರವಾದ ತಪ್ಪು
ਨੁਕਸ ਖੋਜ,ದೋಷ ಪತ್ತೆ
ਨੁਕਸ ਨਿਦਾਨ,ದೋಷ ರೋಗನಿರ್ಣಯ
ਨੁਕਸ ਸਹਿਣਸ਼ੀਲਤਾ,ದೋಷಸಹಿಷ್ಣುತೆ
ਫੈਕਸ,ಫ್ಯಾಕ್ಸ್
ਫੈਕਸ ਸੁਨੇਹਾ,ಫ್ಯಾಕ್ಸ್ ಸಂದೇಶ
FDC,FDC
ਵਿਸ਼ੇਸ਼ਤਾ ਖੋਜ,ವೈಶಿಷ್ಟ್ಯ ಪತ್ತೆ
ਫੀਡ ਚੱਕਰ,ಆಹಾರ ಚಕ್ರ
ਸੁਝਾਅ,ಪ್ರತಿಕ್ರಿಯೆ
ਫੀਡਰ,ಫೀಡರ್
ਪ੍ਰਾਪਤ ਕਰੋ,ತರಲು
ਫਿਬੋਨਾਚੀ ਖੋਜ,ಫಿಬೊನಾಕಿ ಹುಡುಕಾಟ
ਫਿਬੋਨਾਚੀ ਕ੍ਰਮ,ಫಿಬೊನಾಕಿ ಅನುಕ್ರಮ
ਫਿਬੋਨਾਚੀ ਲੜੀ,ಫಿಬೊನಾಕಿ ಸರಣಿ
ਫਾਈਬਰ ਆਪਟਿਕਸ,ಫೈಬರ್ ಆಪ್ಟಿಕ್ಸ್
ਫਿਡੋ ਜਾਲ,ಫಿಡೋ ನಿವ್ವಳ
ਖੇਤਰ,ಕ್ಷೇತ್ರ
ਪੰਜਵੀਂ ਪੀੜ੍ਹੀ ਦੇ ਕੰਪਿਊਟਰ,ಐದನೇ ತಲೆಮಾರಿನ ಕಂಪ್ಯೂಟರ್‌ಗಳು
ਫਾਈਲ,ಕಡತ
ਫਾਇਲ ਪਹੁੰਚ ਵਿਧੀ,ಫೈಲ್ ಪ್ರವೇಶ ವಿಧಾನ
ਫਾਇਲ ਵੰਡ ਸਾਰਣੀ,ಫೈಲ್ ಹಂಚಿಕೆ ಕೋಷ್ಟಕ
ਫਾਈਲ ਕੰਪਰੈਸ਼ਨ,ಫೈಲ್ ಕಂಪ್ರೆಷನ್
ਫਾਇਲ ਦੀ ਨਕਲ,ಫೈಲ್ ನಕಲು
ਫਾਈਲ ਲੇਆਉਟ,ಫೈಲ್ ಲೇಔಟ್
ਫਾਈਲ ਅਭੇਦ,ಫೈಲ್ ವಿಲೀನ
ਫਾਇਲ ਰਿਕਵਰੀ,ಫೈಲ್ ಚೇತರಿಕೆ
ਫਾਇਲ ਸਟੋਰੇਜ਼,ಫೈಲ್ ಸಂಗ್ರಹಣೆ
ਫਾਇਲ ਬਣਤਰ,ಫೈಲ್ ರಚನೆ
ਫਾਇਲ ਸਿਸਟਮ,ಕಡತ ವ್ಯವಸ್ಥೆ
ਫਾਈਲ ਟ੍ਰਾਂਸਫਰ,ಫೈಲ್ ವರ್ಗಾವಣೆ
ਫਾਈਲ ਟ੍ਰਾਂਸਫਰ ਪ੍ਰੋਟੋਕੋਲ (FTP),ಫೈಲ್ ವರ್ಗಾವಣೆ ಪ್ರೋಟೋಕಾಲ್ (FTP)
ਫਿਲਟਰ,ಫಿಲ್ಟರ್
ਅੰਤਮ ਰਾਜ,ಅಂತಿಮ ಸ್ಥಿತಿ
ਲੱਭੋ,ಕಂಡುಹಿಡಿಯಿರಿ
ਸੀਮਿਤ ਰਾਜ ਮਸ਼ੀਨ,ಸೀಮಿತ ಸ್ಥಿತಿಯ ಯಂತ್ರ
ਅੱਗ ਦੀ ਕੰਧ,ಬೆಂಕಿ ಗೋಡೆ
ਫਰਮਵੇਅਰ,ಫರ್ಮ್ವೇರ್
ਪਹਿਲਾਂ ਆਓ ਪਹਿਲਾਂ ਸੇਵਾ ਕਰੋ,ಮೊದಲು ಬಂದವರಿಗೆ ಮೊದಲ ಸೇವೆ
ਪਹਿਲੀ ਪੀੜ੍ਹੀ ਦਾ ਕੰਪਿਊਟਰ,ಮೊದಲ ತಲೆಮಾರಿನ ಕಂಪ್ಯೂಟರ್
ਫਸਟ ਇਨ ਫਸਟ ਆਊਟ (FIFO),ಫಸ್ಟ್ ಇನ್ ಫಸ್ಟ್ ಔಟ್ (FIFO)
ਪਹਿਲਾ ਆਰਡਰ ਤਰਕ,ಮೊದಲ ಆದೇಶದ ತರ್ಕ
ਪਹਿਲੀ ਆਰਡਰ ਥਿਊਰੀ,ಮೊದಲ ಆದೇಶದ ಸಿದ್ಧಾಂತ
ਸਥਿਰ ਭਾਗ,ಸ್ಥಿರ ವಿಭಾಗ
ਝੰਡਾ,ಧ್ವಜ
ਲਚਕਦਾਰ ਡਿਸਕ,ಹೊಂದಿಕೊಳ್ಳುವ ಡಿಸ್ಕ್
ਫਲਾਪੀ ਡਿਸਕ,ಫ್ಲಾಪಿ ಡಿಸ್ಕ್
ਫਲਾਪੀ ਡਿਸਕ ਡਰਾਈਵ (Fdd),ಫ್ಲಾಪಿ ಡಿಸ್ಕ್ ಡ್ರೈವ್ (ಎಫ್ಡಿಡಿ)
ਵਹਾਅ ਚਾਰਟ,ಹರಿವಿನ ಚಾರ್ಟ್
ਕੰਟਰੋਲ ਦਾ ਵਹਾਅ,ನಿಯಂತ್ರಣದ ಹರಿವು
ਫਲੱਸ਼,ಫ್ಲಶ್
ਫੋਲਡਰ,ಫೋಲ್ಡರ್
ਫੌਂਟ,ಫಾಂಟ್
ਫੌਂਟ ਪਰਿਵਾਰ,ಫಾಂಟ್ ಕುಟುಂಬ
ਵਿਦੇਸ਼ੀ ਕੁੰਜੀ,ವಿದೇಶಿ ಕೀ
ਫਾਰਮ,ರೂಪ
ਰਸਮੀ ਭਾਸ਼ਾ,ಔಪಚಾರಿಕ ಭಾಷೆ
ਰਸਮੀ ਸਿਸਟਮ,ಔಪಚಾರಿಕ ವ್ಯವಸ್ಥೆ
ਫਾਰਮੈਟ,ಸ್ವರೂಪ
ਫਾਰਮੈਟਿੰਗ,ಫಾರ್ಮ್ಯಾಟಿಂಗ್
fortran,ಫೋರ್ಟ್ರಾನ್
fortran ਪ੍ਰੋਗਰਾਮਿੰਗ,ಫೋರ್ಟ್ರಾನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ਅੱਗੇ ਸਲੈਸ਼,ಫಾರ್ವರ್ಡ್ ಸ್ಲ್ಯಾಷ್
