Malayalam,Assamese
1. വിള 2. വിള,১.শস্য ২.শস্য
കൃഷി പ്രദേശം,খেতি কৰা অঞ্চল
ക്രോസ് പൊരുത്തമില്ലാത്ത,ক্ৰছ অসঙ্গতিপূৰ্ণ
1. കിരീടം 2. പിനാക്കിൾ (സസ്യം),1. মুকুট 2. শিখৰ (উদ্ভিদ)
മൃദുവായ കണങ്ങൾ,কোমল কণা
പുറംതോട്,খোলা
1. ക്രിപ്‌റ്റോഗാം 2. നോൺ-ഫ്ലോറിഫോം,1. ক্ৰিপ্টোগাম 2. নন-ফ্ল&#39;ৰিফৰ্ম
അരിവാൾ (പഴം),ছাঁটনি (ফল)
പേന,কলম
കൃഷി ഇനം,জাত জাত
1. ട്രാക്ഷൻ 2. കൃഷി 3. കൃഷി,১.ট্ৰেকচন ২.কৃষি ৩.খেতি কৰা
1. കർഷകൻ 2. കൃഷിക്കാരൻ,১/ কৃষক ২/ খেতিয়ক
1. കൃഷി 2. കൃഷി 3. വളർത്തൽ,১.খেতি ২.খেতি ৩.পালন
1.വിഭവം 2.തയ്യാറെടുപ്പ്,১.সম্পদ ২.প্ৰস্তুতি
1.കുന്തളൻ 2.കുഞ്ചോൻ,১.কুন্তলন ২.কুঞ্চন
ഭാവം,মুদ্ৰা
1. പുറംതൊലി 2. പുറംതൊലി,১.এপিডাৰ্মিছ ২.কিউটিকল
1. പേന 2. മുറിക്കൽ 3. മുറിക്കൽ 4. മുറിക്കൽ 5. മുറിക്കൽ,1. কলম 2. কাটি 3. কাটি 4. কাটি 5. কাটিব
1. വിര കോർപ്പസ് 2. സിസ്റ്റ് 3. സിസ്റ്റ് 4. വികലമായ മുഴ 5. നിയോപ്ലാസം,১.কৃমিৰ কৰ্পাছ ২.চিষ্ট ৩.চিষ্ট ৪.বিকৃত গোট ৫.নিওপ্লাজম
സൈറ്റോക്രോം,চাইট&#39;ক্ৰ&#39;ম
സെൽ കപ്ലിംഗ്,কোষ সংযোজন
കോശ പുനരുൽപാദനം,কোষৰ প্ৰজনন
സെൽ ജനിതകശാസ്ത്രം,কোষৰ জিনীয় বিজ্ঞান
സൈറ്റോപ്ലാസ്മിക് ഡിവിഷൻ,চাইট’প্লাজমিক বিভাজন
സെൽ ബയോളജി,কোষ জীৱবিজ্ঞান
സെൽ ലിസിസ്,কোষৰ লাইছিছ
1. സൈറ്റോമിയർ 2. സെൽ സെഗ്മെന്റേഷൻ,১) চাইট’মিৰ ২) কোষৰ বিভাজন
സൈറ്റോപ്ലാസം,চাইট’প্লাজম
1. ഡയറി 2. ഡയറി,১/ দুগ্ধজাত সামগ্ৰী ২.দুগ্ধজাত সামগ্ৰী
ക്ഷീര വ്യവസായം,দুগ্ধ উদ্যোগ
1. ഡാം 2. ബ്രീഡർ,১.বান্ধ ২.প্ৰজননকাৰী
ദിവസം സമ്പൂർണ്ണ പ്ലാന്റ്,দিন নিৰপেক্ষ উদ্ভিদ
പൂവിടുമ്പോൾ ദിവസം,ফুল ফুলাৰ পিছদিনা
മുഴുവൻ പൂവിടുമ്പോൾ ഒരു ദിവസം,সম্পূৰ্ণ ফুল ফুলাৰ পিছত দিন
കാര്യക്ഷമതയില്ലായ്മ,অদক্ষতা
ഡീകാൽസിഫിക്കേഷൻ,ডিকেলচিফিকেশন
1. ഡിസ്ലോഡ്ജ് 2. ഡിസ്ലോഡ്ജ്,1. dislodge 2. dislodge কৰা
ക്ഷയം,পচি যোৱা
ഇലപൊഴിയും,পৰ্ণপাতী
1. ദശാംശം 2. ദശാംശം,১.দশমিক ২.দশমিক
അപകർഷത,হীনমন্যতা
അനുരൻ (മണ്ണ്),অনুৰণ (মাটি)
വിപുഷ്പൻ,বিপুষ্পন
ബില്ലിംഗ്,বিলিং
വനനശീകരണം,বনাঞ্চল ধ্বংস কৰা
അപമാനം,বদনাম
തരംതാഴ്ത്തൽ,অৱক্ষয়
ഭാഗം ദിവസം,অংশ দিন
1. അളവ് 2. ഭാഗം,১.পৰিমাণ ২.অংশ
അപചയം,ডিহিচেন্স
തൊണ്ട നീക്കം,খোলা আঁতৰোৱা
തൊണ്ട നീക്കം,খোলা আঁতৰোৱা
നിർജ്ജലീകരണം,পানীলগা
ജലരഹിതമായ,জলহীন
ആവശ്യം,দাবী কৰা
1. ഡീനാറ്ററേഷൻ 2. ഗുണനം,১.ডিনেচাৰেচন ২.গুণন
അപകീർത്തിപ്പെടുത്തൽ,ডেনুডেচন
1. നിക്ഷേപം (മണ്ണ്) 2. നിക്ഷേപം (സാമ്പത്തികശാസ്ത്രം),1. জমা (মাটি) 2. জমা (অৰ্থনীতি)
നിക്ഷേപം,জমা
1. മൂല്യത്തകർച്ച 2. മൂല്യത്തകർച്ച,১.মূল্য হ্ৰাস ২.মূল্য হ্ৰাস
ഉപ്പുനീക്കം,ডিচেলাইনেচন
1. വെള്ളം ഉണക്കൽ 2. നിർജ്ജലീകരണം,১/ পানী শুকুৱাই লোৱা ২/ পানীলগা
1. ഡിസൈൻ 2. ഡിസൈൻ,1. ডিজাইন 2. ডিজাইন
വരണ്ട,শুকান
കേർണൽ നീക്കം,কাৰ্ণেল আঁতৰোৱা
ഡി-ഇന്റർകലേഷൻ,ডি-ইণ্টাৰকেলেচন
സംയോജനം,সংযোজন
1. ആൺ മഞ്ജരി വേർതിരിച്ചെടുക്കൽ (ചോളം) 2. ബല്ലാർ വേർതിരിച്ചെടുക്കൽ,১/ মতা মাঞ্জাৰী নিষ্কাশন (মাকৈ) ২) বেলাৰ নিষ্কাশন
ബല്ലാർ അല്ലെങ്കിൽ കുന്ദൻ മുറിക്കൽ,বল্লাৰ বা কুন্দন কাটিব পৰা
നിർണ്ണയിക്കുന്നയാൾ,নিৰ্ণায়ক
മൂല്യച്യുതി,বিমুদ্ৰাকৰণ
സസ്യഭക്ഷണം,ডি-ভেজিটেট
വ്യതിയാനം,বিচ্যুতি
ഇരട്ടി,দুণ্ডণ
രോഗനിർണയം,নিদান
വ്യത്യസ്ത പക്വത,ভিন্ন পৰিপক্কতা
വിഭജനം,bifurcation
1. ഡൈക്കോട്ടിലിഡൺ 2. ഡൈക്കോട്ടിലിഡൺ (വിത്ത്),1. দ্বিবিষাক্ত (বীজ)
പുറം രോഗം,পিঠিৰ ৰোগ
1. ഡിഫ്യൂഷൻ 2. ഡിഫ്യൂഷൻ,১.প্ৰসাৰণ ২.প্ৰসাৰণ
ദഹനക്ഷമത,হজম ক্ষমতা
ഡൈഹൈബ്രിഡ്,ডাইহাইব্ৰিড
1. ഡാം 2. ഡ്രെയിൻ 3. കുടുംബം,১.বান্ধ ২.নলা ৩.পৰিয়াল
തുച്ഛമായ,সামান্য
1. ഏകഭാര്യ 2. ഏകഭാര്യ,১.একপত্নী ২.একপত্নী
ഡിപ്ലോയിഡ്,ডিপ্লয়ড
1. ഡിപ്ലോയിഡ് 2. ഡിപ്ലോയിഡ്,১.দ্বিগুণী ২.দ্বিগুণী
ദ്വിധ്രുവം,ডাইপোল
1. വേർതിരിച്ചെടുക്കൽ 2. ബഡ് നീക്കം,১.নিষ্কাশন ২.কলি আঁতৰোৱা
1. പ്ലോ പ്ലോവിംഗ് 2. സ്പിന്നിംഗ്,১.হালোৱা হাল বাই ২.ঘূৰোৱা
കിഴിവ്,ৰেহাই
അണുനശീകരണം,বীজাণুনাশক
1. ഡിസ്പർഷൻ 2. ചിതറിക്കൽ,১.বিক্ষিপ্ততা ২.বিক্ষিপ্ততা
1.ചിതറിക്കൽ 2.വ്യതിയാനം,1.বিক্ষিপ্ততা 2.ভেৰিয়েন্স
വൈവിധ്യവൽക്കരണം,বৈচিত্ৰ্যতা
വൈവിധ്യമാർന്ന കൃഷി,বৈচিত্ৰময় কৃষি
ഡിഎൻഎ ഘട്ടം,dna পদক্ষেপ
ഡിഎൻഎ റിസീവർ,ডি এন এ ৰিচিভাৰ
ഡോക്ക് വാടകയ്ക്ക്,ডক ভাড়া
ഫലപ്രദമായ,কাৰ্যকৰী
സുഷുപ്തി,নিদ্ৰাহীনতা
1. അളവ് 2. അളവ് 3. അളവ്,১/ পৰিমাণ ২. মাত্ৰা ৩. মাত্ৰা
ഇരട്ട സിഗ്മോയിഡ് കർവ്,ডাবল চিগম&#39;ইড বক্ৰ
1. കാറ്റ് 2. നീട്ടുക,1. gust 2. টানিব পৰা
1. എക്‌സ്‌ഹോസ്റ്റ് ഡ്രെയിൻ 2. മലിനജലം,1. এক্সজেষ্ট ড্ৰেইন 2. এফ্লুৱেণ্ট
ഡ്രെയിനേജ്,নিষ্কাশন
ട്രാക്ഷൻ,ট্ৰেকচন
1. മരുന്ന് കൊടുക്കുക 2. നനയ്ക്കുക,1. ঔষধ দিয়া 2. তিয়াই পেলোৱা
സൗന്ദര്യവർദ്ധക വസ്തുക്കൾ (വിത്തുകൾ),প্ৰসাধন সামগ্ৰী (বীজ)
1. ആഗർ 2. ആഴം കുറഞ്ഞ തകരാർ 3. ഡ്രിൽ 4. ആഗർ,1. অগাৰ 2. অগভীৰ দোষ 3. ড্ৰিল 4. অগাৰ
1. ദ്വാരം 2. ഡ്രിൽ 3. ഡ്രിൽ,১. ফুটা ২. ড্ৰিল ৩. ড্ৰিল
1. ഡ്രില്ലിംഗ് 2. ഡ്രിൽ ഉപയോഗിച്ച് വിതയ്ക്കൽ 3. ഡ്രിൽ ഉപയോഗിച്ച് ഒഴിക്കുക,১.ড্ৰিল কৰা ২.ড্ৰিলেৰে বীজ সিঁচা ৩.ড্ৰিলেৰে ঢালি দিয়া
ഡ്രിപ്പ് ഇറിഗേഷൻ,ড্ৰিপ জলসিঞ্চন
ഉണങ്ങിയ കൃഷി,শুকান খেতি কৰা
1.പൊടി 2.ബുക്നെ,১.ধূলি ২.বুকনি
1. ഡസ്റ്റർ 2. സ്കാറ്ററർ,১.ডাষ্টাৰ ২.বিকিৰণকাৰী
തളിക്കാൻ,ছটিয়াই দিয়া
1. വാമനൻ 2. വാമനൻ,১.বামন ২.ৱামন
വാമന പിരമിഡ്,বামন পিৰামিড
വാമിനി ഭവൻ,বামিণী ভৱন
പരിസ്ഥിതി ശാസ്ത്രം,পৰিৱেশ বিজ্ঞান
ഇക്കണോമെട്രിക്സ്,অৰ্থনীতি
സാമ്പത്തിക കാര്യക്ഷമത,অৰ্থনৈতিক দক্ষতা
സാഹചര്യ തരം,পৰিস্থিতিগত ধৰণ
അധിക-സ്ട്രാറ്റിഫൈഡ്,অতিৰিক্ত স্তৰযুক্ত
മൃദുവായ,কোমল
മണ്ണ് ശാസ്ത്രം,soil বিজ্ঞান
1. ബ്രിഡ്ജിംഗ് 2. എഡ്ജിംഗ് 3. സ്ട്രാൻഡ് ക്ലോഷർ,1. ব্ৰীজিং 2. এজিং 3. ষ্ট্ৰেণ্ড বন্ধ কৰা
ഭക്ഷണ ഭാഗം,খাদ্যৰ অংশ
ഡിമാൻഡിന്റെ ഇലാസ്തികത,চাহিদাৰ স্থিতিস্থাপকতা
ഉത്പാദന ഇലാസ്തികത,উৎপাদন স্থিতিস্থাপকতা
വൈദ്യുതവിശ്ലേഷണം,ইলেক্ট্ৰ&#39;লাইছিছ
ഇലക്ട്രോഫോറെസിസ്,ইলেক্ট্ৰ&#39;ফ&#39;ৰেচিছ
ആവിയായി,বাষ্পীভৱন
1. ശിരഛേദം 2. വന്ധ്യംകരണം 3. ശിരഛേദം 4. വന്ധ്യംകരണം,১.ডিকেপিটেটৰ ২.ষ্টেৰাইলাইজাৰ ৩.ডিকেপিটেটৰ ৪.ষ্টেৰাইলাইজাৰ
1. വീർ ബാൻഡി 2. സ്ട്രോബണ്ടി,১/ ৱেইৰ বাণ্ডি ২.ষ্ট্ৰবন্দী
ഭ്രൂണം,ভ্ৰূণ
1. ഭ്രൂണശാസ്ത്രം 2. ഭൗതികശാസ്ത്രം,১.ভ্ৰূণবিজ্ঞান ২.পদাৰ্থ বিজ্ঞান
1. പുറത്തുകടക്കുക 2. പുറത്തുകടക്കുക,1. প্ৰস্থান 2. প্ৰস্থান
എമൽസിഫയർ,ইমালচাইফায়াৰ
അന്തർജനകമായ,অন্তৰ্জাতীয়
ഇൻട്രാ പോയിന്റ് ഡിവിഷൻ,ইন্ট্ৰা-পইণ্ট ডিভিজন
ഇൻട്രാ-പാരാസിറ്റിക്,অন্তঃপৰজীৱী
എൻഡോസ്പേം,এণ্ডোস্পাৰ্ম
എന്റർപ്രൈസ്,উদ্যোগ
കീടശാസ്ത്രം,পতংগবিজ্ঞান
പരിസ്ഥിതി,পৰিৱেশ
1. എൻസൈം 2. എൻസൈം,১.এনজাইম ২.এনজাইম
ക്ലസ്റ്റർ ഗ്രാഫ്റ്റിംഗ്,ক্লাষ্টাৰ গ্ৰাফটিং
1. എപ്പിഫൈറ്റ് 2. എപ്പിഫൈറ്റ്,১.এপিফাইট ২.এপিফাইট
ഇക്വിറ്റി,ন্যায়
ഉന്മൂലനം,নিৰ্মূলকৰণ
അവശ്യ പോഷകങ്ങൾ,প্ৰয়োজনীয় পুষ্টিকৰ উপাদান
1. അളവ് 2. ജമ്പ് 3. വിലയിരുത്തൽ,1. জোখ-মাখ 2. জাম্প 3. মূল্যায়ন
സൂക്ഷ്മത,সূক্ষ্মতা
സുജനിക്,সুজাননিক
മൂല്യനിർണ്ണയം,মূল্যায়ন
സ്റ്റീം ഗേജ്,ভাপ গেজ
ബാഷ്പീകരണ പ്രചോദനം,বাষ্পীভৱন
ശാശ്വത വിപ്ലവം,চিৰন্তন বিপ্লৱ
1. നിത്യഹരിതം 2. നിത്യഹരിതം,১.চিৰসেউজ ২.চিৰসেউজ
വികസനം,বিকাশ
വിച്ഛേദിക്കുക,কাটি পেলোৱা
പരീക്ഷയ് (ഫെർട്ടിലിറ്റി),পৰীক্ষয় (উৰ্বৰতা)
ചൂഷണം,শোষণ
1. പര്യവേക്ഷണം 2. പര്യവേക്ഷണം,১.অন্বেষণ ২.অন্বেষণ
1. എക്സ്ട്രൂഷൻ 2. എമിഷൻ,১.এক্সট্ৰুচন ২.নিগমন
കണ്ണ്,নয়ন
1. ഘടകം 2. ഘടകം 3. ഘടകം 4. റിസോഴ്സ്,1. কাৰক 2. উপাদান 3. কাৰক 4. সম্পদ
ഘടകം ഉത്പാദനക്ഷമത,কাৰক উৎপাদনশীলতা
വ്യാപാരിയുടെ കിഴിവ്,ট্ৰেডছমেনৰ ৰেহাই
ഫാക്‌ടോറിയൽ ബ്ലോക്ക് ഡിസൈൻ,ফেক্টৰিয়েল ব্লক ডিজাইন
ബദൽ,বিকল্প
1. പട്ടി 2. പലിഹാർ,১.পট্টি ২.পালিহাৰ
മൊത്തത്തിലുള്ള,গোটেই অংশ
ഫീൽഡ് മൂല്യനിർണ്ണയം,ক্ষেত্ৰ মূল্যায়ন
കാർഷിക ബജറ്റിംഗ്,ফাৰ্ম বাজেট
കാർഷിക ബിസിനസ്സ്,কৃষি ব্যৱসায়
ഫീൽഡ് ആസൂത്രണം,ক্ষেত্ৰ পৰিকল্পনা
1. കർഷകൻ 2. കർഷകൻ,১.কৃষক ২.কৃষক
1. കൃഷി 2. കൃഷി,১.কৃষি ২.খেতি কৰা
കൂട്ടിയിടി,সংঘৰ্ষ
ഒന്നിലധികം പ്രജനനം,একাধিক প্ৰজনন
അഴുകൽ,কিম্বন
ഫെർട്ടിലിറ്റി,উৰ্বৰতা
വളം,সাৰ
വളം ഉപയോഗം കാര്യക്ഷമത,সাৰৰ ব্যৱহাৰৰ কাৰ্যক্ষমতা
നാരുകളുള്ള,আঁহযুক্ত
1. ഫാം 2. ഏരിയ 3. സ്ഥലം,১.পাম ২.এলেকা ৩.অৱস্থান
മണ്ണ് വെള്ളം പിടിക്കൽ,মাটিৰ পানী ধৰি ৰখা
ഫീൽഡ് പ്രദർശനം,ক্ষেত্ৰ প্ৰদৰ্শন
1. ഇമ്മൊബിലൈസേഷൻ 2. ഫിക്സേഷൻ 3. ഫിക്സേഷൻ,1. স্থিৰতা 2. স্থিৰকৰণ 3. স্থিৰতা
1. വെള്ളപ്പൊക്കം 2. ഇംപ്രെഗ്നേഷൻ,1. প্লাৱন 2. গৰ্ভধাৰণ
ഒഴുക്ക് ഡയഗ്രം,ফ্ল&#39; ডায়াগ্ৰাম
ഭക്ഷണ മൂല്യം,খাদ্য মূল্য
കാലിത്തീറ്റ,পশুখাদ্য
പ്രവചനം,পুৰ্বানুমান
വനം,অৰণ্য
വനവൽക്കരണം,বনানীকৰণ
1. ടാഡ്പാർൺ 2. ഫോം,১.তাদপৰ্ণ ২.ফৰ্ম
മഞ്ഞ് പ്രതിരോധം,হিম প্ৰতিৰোধী
1. പാലാ 2. ബ്ലൈറ്റ്,১.পালা ২.ব্লাইট
1. മരവിച്ച 2. മരവിച്ച,1. ফ্ৰ&#39;জেন 2. ফ্ৰ&#39;জেন
പ്രവർത്തനം,অনুষ্ঠান
1. ഫ്രൂട്ട് ഫാൾ 2. ഫ്രൂട്ട് ഫാൾ,১/ ফলৰ পতন ২.ফলৰ পতন
ഫലമായിത്തീരുന്നു,ফল হৈ পৰে
1. ഫ്യൂമിഗേഷൻ 2. ഫ്യൂമിഗേഷൻ,1. ধূমপান 2. ধূমপান
കുമിൾനാശിനി,ভেঁকুৰনাশক
ആന്റിഫംഗൽ,এন্টিফাংগেল
കുമിൾ,ভেঁকুৰ
1. ഖുദ് 2. സീത,১.খুদ ২.সীতা
1. ഫ്യൂഷൻ 2. ഫ്യൂഷൻ,1. সংযোজন 2. সংযোজন
പഞ്ഞി,কপাহী উল
രോമമുള്ള,লোমশ
1. ട്രീ അൾസർ 2. പിടിക,১/ গছৰ ঘা ২.পিতিকা
1. ഗേമറ്റുകൾ 2. ഗെയിമറ്റുകൾ,1. গেমেট 2. গেমেট
1. പൂന്തോട്ടം 2. പൂന്തോട്ടം,১.বাৰী ২.বাগিচা
1. പൻസാൽ 2. ഹൈഡ്രോമീറ്റർ,১.পান্সাল ২.হাইড্ৰমিটাৰ
ജീൻ ശേഖരണം,জিন সংগ্ৰহ
ജീൻ ടാഗൺ,জিন টেগন
വംശാവലി,বংশাৱলী
ജീൻ മാപ്പ്,জিন মেপ
ജനിതകശാസ്ത്രം,জেনেটিক্স
1. ജീനോം 2. സംഗീൻ,১/ জিনম ২.সাংগেনে
സഞ്ജിനി ശേഖരം,সঞ্জিনী সংগ্ৰহ
ജനിതകശാസ്ത്രം,জিনমিক্স
ജനിതകരൂപം,জিন প্ৰকাৰ
1. ജീൻ ഘടന 2. ജീൻ തരം,১.জিনৰ গঠন ২.জিনৰ প্ৰকাৰ
വംശാവലി,বংশ
1. ജനുസ്സ് 2. വംശം,১. প্ৰজাতি ২. বংশ
1. ബീജം 2. ബീജം,১.বীজাণু ২.বীজাণু
അണുനാശിനി,বীজাণুনাশক
മുളപ്പിക്കൽ,অংকুৰণ
1. ജെർംപ്ലാസ്ം 2. ജെർംപ്ലാസം,১/ জীৱাণুপ্লাজম ২.জীৱাণুপ্লাজম
ഗിബ്ബെറലിക് ആസിഡ്,জিবেৰেলিক এচিড
പെറുക്കുക,গোটাওক
തുഷ്,তুষ
1. ഗ്ലൂറ്റൻ 2. ഗ്ലൂട്ടണി,১/ গ্লুটেন ২
ഗ്ലൈക്കോളിസിസ്,গ্লাইকোলাইছিছ
കൊള്ളാം,বঢ়িয়া
സുവർണ്ണ വിപ്ലവം,সোণালী বিপ্লৱ
1. വർഗ്ഗീകരണം 2. വർഗ്ഗീകരണം 3. വർഗ്ഗീകരണം,1. শ্ৰেণীবিভাজন 2. শ্ৰেণীবিভাজন 3. স্তৰবিন্যাস
1. ഒട്ടിച്ച ചെടി 2. പെൻബ്രൽ ചെടി,1. গ্ৰাফ্ট কৰা উদ্ভিদ 2. পেনুম্ব্ৰেল উদ্ভিদ
പേന പൊരുത്തമില്ലാത്ത,কলম অসামঞ্জস্যপূৰ্ণ
ഗ്രാന,গ্ৰানা
ഗ്രാനുലേഷൻ,গ্ৰেনুলেচন
പച്ചിലവളം,সেউজীয়া গোবৰ
ഹരിത വിപ്ലവം,সেউজ বিপ্লৱ
വളർച്ചയും വികസനവും,বৃদ্ধি আৰু বিকাশ
1. മോണരോഗം,১/ আঁঠুৰ ৰোগ
ഭിന്നലിംഗക്കാരൻ,বিষমযৌন
1. പ്രകൃതി 2. പ്രകൃതി 3. രൂപഗുണ 4. ഭാവം,1. প্ৰকৃতি 2. প্ৰকৃতি 3. ৰূপগুণ 4. ৰূপ
1. ഓല 2. കർക്കപ്പട്ട് 3. കർക്ക,১.অলা ২.কৰকাপাট ৩.কৰ্কা
റോമിൽ വാച്ച്,ৰোমিলৱাচ
സലൈൻ സിസ്റ്റ്,চেলাইন চিষ্ট
ഹാരോ,harrow
1. വിളവെടുപ്പ് സൂചിക 2. വിളവെടുപ്പ് സൂചിക,১.চপোৱা সূচকাংক ২.চপোৱা সূচকাংক
1. വിളവെടുപ്പ് 2. വിളവെടുത്ത വിള 3. പൂർത്തിയായ വിള 4. വിളവ്,১.চপোৱা ২.চপোৱা শস্য ৩.সমাপ্ত শস্য ৪.উৎপাদন
1. പറിക്കൽ 2. വിളവെടുപ്പ് 3. പറിക്കൽ,১. ছিঙি যোৱা ২. চপোৱা ৩. ছিঙি যোৱা
1. മുട്ടയിടൽ 2. മുട്ട ശക്തി,১/ কণী পৰা ২) কণী বল
ഉണങ്ങിയ പുല്ല്,শুকান ঘাঁহ
ഉണങ്ങിയ തീറ്റ,শুকান খাদ্য
ഗഞ്ചി,গঞ্জি
മൂടൽമഞ്ഞ്,কুঁৱলী
മൂടൽമഞ്ഞ്,কুঁৱলীময়
1. ബാലി 2. സിത്ത 3. മുണ്ടക് 4. ടോപ്പ് 5. തല 6. സിറ,১.বালি ২.সিত্ত ৩.মুণ্ডক ৪.উপৰ ৫.মূৰ ৬.চিৰা
തോടിന്റെ അവസാനം,খাঁজৰ শেষ
മുകളിൽ അരിവാൾകൊണ്ടു,শীৰ্ষ ছাঁটনি
വേലി,বেৰা
കസ്റ്റഡി,জিম্মাত ৰখা
കുണ്ഡലിനി,কুণ্ডলিনী
ഹെമറ്റൈറ്റ്,হেমাটাইট
1. സസ്യം 2. സസ്യം,১.বনৌষধি ২.বনৌষধি
1.ബൊട്ടാണിക്കൽ ശേഖരം 2.ബൊട്ടാണിക്കൽ മ്യൂസിയം,১.উদ্ভিদ সংগ্ৰহ ২.উদ্ভিদ সংগ্ৰহালয়
കളനാശിനി,ঘাঁহনিনাশক
പാരമ്പര്യം,বংশগততা
പാരമ്പര്യം,বংশগততা
ബൈസെക്ഷ്വൽ,উভলিংগী
ഹെറ്ററോക്രോമാറ്റിക്,হেটেৰ&#39;ক্ৰ&#39;মেটিক
heterofertilization,হেটেৰ&#39;ফাৰ্টিলাইজেচন
1. ഹൈബ്രിഡോസ് 2. ഹെറ്ററോസിസ്,১.হাইব্ৰিড’জ ২.হেটেৰ’ছিছ
സെക്സ്ക്രോമസോമുകൾ,লিংগক্ৰম&#39;জম
വളർത്തി,লালন-পালন কৰা
ഹെക്സാഡെസിമൽ,হেক্সাডেচিমেল
തണുത്ത സുഷുപ്തി,ঠাণ্ডা নিদ্ৰা
ഉയർന്ന സാന്ദ്രത നടീൽ,উচ্চ ঘনত্বৰ ৰোপণ কৰা
1. പിൻഡ്ലക്ക് 2. കുന്ന് (നെല്ല്),১.পিণ্ডলক ২.পাহাৰ (ধান)
ഹിസ്റ്റോഗ്രാം,হিষ্টোগ্ৰাম
ഹൈടെക് ഹോർട്ടികൾച്ചർ,হাই টেক উদ্যান শস্য
1.തൈര് 2. കൂട്,১.দৈ ২.মৌচাক
1. കളനിയന്ത്രണം 2. കളനിയന്ത്രണം,1. অপতৃণ কাটিব পৰা 2. অপতৃণ কাটিব পৰা
പിടിക്കുന്നു,ধৰি ৰখা
സ്വകാര്യ ഫാം,ব্যক্তিগত পাম
ഹോമിയോസ്റ്റാസിസ്,হোমিঅ&#39;ষ্টেছিছ
മാതൃഭൂമി,গৃহভূমি
ഏകതാനത,সমতা
1. ഏകതാനമായ 2. ഏകതാനമായ,1. সমজাতীয় 2. সমজাতীয়
സഹതാപം,সহানুভূতিশীল
ഹോമോസൈഗസ്,সমযোজী
1. ഖുറിക്ക 2. ഭക്ഷണ പാത്രം 3. ഹാപ്പർ,১.খুৰিকা ২.খাদ্যৰ পাত্ৰ ৩.হাপাৰ
1. പാളി 2. ചക്രവാളം,১.স্তৰ ২.দিগন্ত
ഹോർട്ടികൾച്ചറൽ വിളകൾ,উদ্যান শস্য
1. ഹോർട്ടികൾച്ചർ 2. ഹോർട്ടികൾച്ചർ 3. ഹോർട്ടികൾച്ചർ 4. ഹോർട്ടികൾച്ചർ,১/ উদ্যান শস্য ২. উদ্যান শস্য ৩. উদ্যান শস্য ৪. উদ্যান শস্য
