Hindi,Telugu
विक्षेपण प्लेट,విక్షేపం ప్లేట్
विक्षेत्रण,డీగస్
विक्षेत्रक,డీగాస్సర్
अपभ्रष्टता,క్షీణత
ह्रास गुणक,క్షీణత కారకం
बहुक्रमादेशन कोटि,"బహుళ-డిగ్రీ యొక్క డిగ్రీ
 ప్రోగ్రామింగ్"
विलंब,ఆలస్యం
विलंब गणित्र,ఆలస్యం కౌంటర్
विलंबातर,ఆలస్యం అవకలన
विलंब अंक,ఆలస్యం అంకె
विलंब विरूपण,ఆలస్యం వక్రీకరణ
विलंबक अवयव,ఆలస్యం మూలకం
विलंब तुल्यकारी,ఆలస్యం ఈక్వలైజర్
विलंब लाइन,ఆలస్యం
विलंब लाइन स्मृति,లైన్ మెమరీ ఆలస్యం
विलंब लाइन पंजी,ఆలస్యం లైన్ రిజిస్టర్
विलंब लाइन भंडारण,ఆలస్యం లైన్ నిల్వ
विलंब पाश भंडार,ఆలస్యం లూప్ స్టోర్
विलंब क्रमादेशन,"ఆలస్యం
 ప్రోగ్రామింగ్"
विलंब काल,సమయం ఆలస్యం
विसमानुक्रमण,"డీలేవ్
 (= డికాల్)"
"विलोप, विलोपन",తొలగించు
विलोप संप्रतीक,అక్షరాన్ని తొలగించండి
विलोप कुंजी,కీని తొలగించండి
विलोपन अभिलेख,తొలగింపు రికార్డు
परिसीमक,డీలిమిటర్
परिसीमक कथन,"డీలిమిటర్
 ప్రకటన"
प्रदान काल,డెలివరీ సమయం
डेल्टा माडुलन,డెల్టా మాడ్యులేషన్
डेल्टा रव,డెల్టా శబ్దం
मांग,డిమాండ్
मांग आनयन,డిమాండ్ పొందడం
मांग पृष्ठन,డిమాండ్ పేజింగ్
मांग संसाधन,"డిమాండ్
 ప్రాసెసింగ్"
मांग संचन,డిమాండ్ స్టేజింగ్
सीमांकन पट्टी,సరిహద్దు స్ట్రిప్
विमाडुलन,డెమోడ్యులేషన్
विमाडुलक,డెమోడ్యులేటర్
जनसांख्यिकीय अनुप्रयोग,"జనాభా
 అప్లికేషన్"
अवरोहण,డెమౌంట్
विबहुसंकेतन,డెమల్టిప్లెక్సింగ్
सघन सूची,దట్టమైన జాబితా
"सघनता, घनत्व",సాంద్రత
आश्रितता सिद्धांत,డిపెండెన్సీ సిద్ధాంతం
आश्रित खंड,"ఆధారపడి ఉంటుంది
 విభాగం"
आश्रित एकक,డిపెండెంట్ యూనిట్
विपंक्तीयन,DEQUE
नयूनन क्षमता,డెర్నింగ్
अवरोहक,అవరోహణ
अवरोही शाटन,అవరోహణ విధమైన
वर्णन,వివరణ
वर्णन सूची,వివరణ జాబితా
निरूपक,వివరణ
अभिकल्पना,రూపకల్పన
अभिधान युक्ति,పరికరాన్ని నియమించడం
अभिकल्पना मोडेम,డిజైన్ మోడెమ్
अभिकल्पना इष्टतमीकरण,"రూపకల్పన
 సర్వోత్తమీకరణం"
अभिकल्पना गोपनीपता,డిజైన్ గోప్యత
अभिकल्पना अनुकार,డిజైన్ అనుకరణ
अपेक्षित मान,కావలసిన విలువ
डेस्क परिकलित्र,డెస్క్ కాలిక్యులేటర్
डेस्क जाँच,డెస్క్ తనిఖీ
डेस्क अभिकलित्र,డెస్క్టాప్ కంప్యూటర్
प्रेषण,డెస్పాచ్
गंतव्य,గమ్యం
गंतव्य पता,"గమ్యం
 చిరునామా"
गंतंव्य कूट,గమ్యం కోడ్
गंतव्य क्षेत्र,గమ్యం ఫీల్డ్
गंतव्य संचिका,గమ్యం ఫైల్
गंतव्य केन्द्र,గమ్యం స్టేషన్
विनाशी योग,విధ్వంసం
विनाशी प्रसंकेतक,విధ్వంసక కర్సర్
विनाशी पठन,విధ్వంసక చదవండి
विनाशी भंडारण,విధ్వంసక నిల్వ
विसारणीयन,Detab
विवरण पत्रक,వివరాలు కార్డు
विवरण संचिका,వివరాల ఫైల్
विटैपन,డిటాప్
संसूचनीय अवयव,గుర్తించదగిన మూలకం
निर्धारणात्मक स्वचल प्ररूप,"నిర్ణయాత్మక
 ఆటోమాటా"
निर्धारणात्मक मशीन,"నిర్ణయాత్మక
 యంత్రం"
निर्धारणात्मक निदर्श,"నిర్ణయాత్మక
 మోడల్"
निर्धारणात्मक समस्या,"నిర్ణయాత్మక
 సమస్య"
निर्धारणात्मक प्रक्रम,"నిర్ణయాత్మక
 ప్రక్రియ"
निर्धारणात्मक क्रमादेश,"నిర్ణయాత్మక
 ప్రోగ్రామ్"
निर्धारणात्मक क्रमादेशन,"నిర్ణయాత్మక
 ప్రోగ్రామింగ్"
निर्धारणात्मक अनुक्रमण समत्या,"నిర్ణయాత్మక
 సీక్వెన్సింగ్
 సమస్య"
निर्धारणात्मक स्थिति,"నిర్ణయాత్మక
 పరిస్థితి"
विकास तंत्र,"అభివృద్ధి
 వ్యవస్థ"
विकास काल,అభివృద్ధి సమయం
विकास उपकरण,అభివృద్ధి సాధనం
रैखिकता से विचलन,"నుండి విచలనం
 సరళత"
युक्ति,పరికరం
युक्ति पता,పరికర చిరునామా
युक्ति पूर्तिकर,పరికర బ్యాకప్
युक्ति नियंत्रक संप्रतीक,"పరికర నియంత్రణ
 పాత్ర"
युक्ति नियंत्रक,పరికర నియంత్రిక
युक्ति नियंत्रण एकक,పరికర నియంత్రణ యూనిట్
युक्ति निर्देशांक,పరికర సమన్వయం
युक्ति आश्रित,పరికర-ఆధారిత
युक्ति आश्रित क्रमादेश,"పరికరం ఆధారపడి ఉంటుంది
 ప్రోగ్రామ్"
युक्ति पताका,పరికర జెండా
युक्ति स्वतंत्रता,"పరికరం
 స్వాతంత్ర్యం"
युक्ति स्वतंत्र,"పరికరం
 స్వతంత్ర"
युक्ति स्वतंत्र क्रमादेश,"పరికరం
 స్వాతంత్ర్యం
 ప్రోగ్రామ్"
प्रदर्शरेखा,"పరికర రేఖ
 (= ప్రదర్శన రేఖ)"
युक्ति माध्यम नियंत्रण भाषा,"పరికర మీడియా
 నియంత్రణ భాష"
युक्ति नाम,పరికర పేరు
युक्ति संख्या,పరికర సంఖ్య
युक्ति पंक्ति,పరికర క్యూ
युक्ति अवस्थिति शब्द,పరికర స్థితి పదం
युक्ति प्रकार,పరికరం రకం
द्विक बूलीय संक्रिया,"డయాడిక్ బూలియన్
 ఆపరేషన్"
निदान,రోగ నిర్ధారణ
निदानार्य जाँच,డయాగ్నొస్టిక్ చెక్
निदानार्य फलन परीक्षण,"విశ్లేషణ ఫంక్షన్
 పరీక్ష"
निदान क्रियाविधि,విశ్లేషణ విధానం
निदान संदेश,"విశ్లేషణ
 సందేశం"
निदान क्रमादेश,"విశ్లేషణ
 ప్రోగ్రామ్"
निदान नेमका,విశ్లేషణ దినచర్య
निदानिकी,విశ్లేషణ
निदान तकनीक,"విశ్లేషణ
 టెక్నిక్"
निदानार्थ परीक्षण,విశ్లేషణ పరీక్ష
आरेख,రేఖాచిత్రం
डायल,డయల్
डायल लाइन,డయల్ చేసిన లైన్
डायल केन्द्र,డయల్ ఎక్స్ఛేంజ్
डायलन,డయలింగ్
डायल लाइन,డయల్ లైన్
संवाद,డైలాగ్
डायल स्पंद,డయల్ పల్స్
डायल पुनरावृत्ति ट्रंक,"డయల్ చేయండి పునరావృతం
 ట్రంక్"
डायल टोन,డయల్ టోన్
डायल टोन विलंब,టోన్ ఆలస్యం డయల్ చేయండి
डायल स्थानांतरण,డయల్ బదిలీ
डायलन,డయల్ చేయు
डायलन अंतक,డయల్-అప్ టెర్మినల్
द्विद्वयंक,డిబిట్
द्विभाजी खेज,డైకోటోమైజింగ్ శోధన
द्विभाजन,డైకోటోమి
कोश,నిఘంటువు
अंतर इंजन,తేడా ఇంజిన్
अंतर संक्रिया,"తేడా
 ఆపరేషన్"
अंतर प्रतिवेदन,తేడా నివేదిక
अवकल विश्लेषक,"అవకలన
 ఎనలైజర్"
विभेदी विलंब,అవకలన ఆలస్యం
विभेदी गियर,అవకలన గేర్
पूर्वाश्रित माडुलन,"అవకలన
 మాడ్యులేషన్"
अवकलक,భేదం
अंक,అంకె
अंकीय खंडक,డిజిటల్ బ్లాక్
अंकीय वाहक तंत्र,"డిజిటల్ క్యారియర్
 వ్యవస్థ"
अंकीय अभिलक्षण,"డిజిటల్
 లక్షణం"
अंकीय अभिकलित्र,డిజిటల్ కంప్యూటర్
अकीय आँकड़े,డిజిటల్ డేటా`
अंकीय आँकड़ा स्विचन,"డిజిటల్ డేటా
 మారడం"
अंकीय आँकड़ा तंत्र,డిజిటల్ డేటా సిస్టమ్
अंकीय सुविधा,డిజిటల్ సౌకర్యం
अंकीय सुविधा अंतक,"డిజిటల్ సౌకర్యం
 టెర్మినల్"
अंकीय निस्यंदक,డిజిటల్ ఫిల్టర్
अंकीय आलेखिकी,డిజిటల్ గ్రాఫిక్స్
अंकीय वार्धिक आलेखित्र,"డిజిటల్ ఇంక్రిమెంటల్
 ప్లాటర్"
अंकीय लाइन पथ,డిజిటల్ లైన్ మార్గం
अंकीय लाइन अनुभाग,డిజిటల్ లైన్ విభాగం
अंकीय बहुसंकेतन उपकरण,"డిజిటల్ మల్టీప్లెక్స్
 పరికరాలు"
अंकीय प्रकाशिकीय अभिलेखन,"డిజిటల్ ఆప్టికల్
 రికార్డింగ్"
अंकीय चित्र,డిజిటల్ చిత్రం
अंकीय रेडियो पथ,డిజిటల్ రేడియో మార్గం
अंकीय रेडियो अनुभाग,డిజిటల్ రేడియో విభాగం
अंकीय पठन,డిజిటల్ రీడ్-అవుట్
अंकीय अभिलेखित्र,డిజిటల్ రికార్డర్
अंकीय निरूपण,"డిజిటల్
 ప్రాతినిథ్యం"
अंकीय अनुभाग,డిజిటల్ విభాగం
अंकीय संकेत,డిజిటల్ సిగ్నల్
अंकीय चिह्नक,డిజిటల్ సంతకం
अंकीय शाटन,డిజిటల్ క్రమబద్ధీకరణ
अंकीय भंडारण अवयव,"డిజిటల్ నిల్వ
 మూలకం"
अंकीय भंडारण माध्यम,"డిజిటల్ నిల్వ
 మీడియా"
अंकीय स्विचन,డిజిటల్ మారడం
अंकीय अवसान तंत्र,"డిజిటల్ ముగింపు
 వ్యవస్థ"
अंक से अनुरूप रूपांतरित्र,"డిజిటల్ టు అనలాగ్
 కన్వర్టర్"
अंकीय संचरण,"డిజిటల్
 ప్రసార"
अंकीय गणित,అంకెల అంకగణితం
अंक संपीडन,అంకెల కుదింపు
अंक विलंब अवयव,డిజిట్ ఆలస్యం మూలకం
अंकरूपण,డిజిటలైజేషన్
अंकरूपण वाक्,డిజిటలైజేషన్ ప్రసంగం
"अंकरूपण, अंकीकरण",డిజిటలైజ్
अंकरूपक,డిజిటైజర్
अंक अवधि,అంకెల కాలం
अंक स्थान,అంకెల స్థలం
अंक स्थिति,అంకెల స్థానం
अंक छिद्र,అంకె పంచ్
अंकीय पुनर्विन्यास,"అంకె
 పునర్వ్యవస్థీకరణ"
अंक काल,అంకె సమయం
अंक से अनुरूप रूपांतरण,"డిజిట్-టు-అనలాగ్
 మార్పిడి"
अंकात्मक समूह,డిగ్రూప్
विमा,పరిమాణం
हासित मूलांक पूरक,"తగ్గిపోయిన రాడిక్స్
 పూరక"
द्विसंकेतक,డిప్లెక్సర్
द्विध्रुवी ऐन्टेना,డైపోల్ యాంటెన్నా
द्विध्रुवी मॉडुलन,డైపోల్ మాడ్యులేషన్
प्रत्यक्ष अभिगम,ప్రత్యక్ష ప్రాప్యత
प्रत्यक्ष अभिगम विन्यास,"ప్రత్యక్ష ప్రాప్యత
 అమరిక"
प्रत्यक्ष अभिगम पूछताछ,"ప్రత్యక్ష ప్రాప్యత
 విచారణ"
प्रत्यक्ष अभिगम द्रुतान्वेषण,ప్రత్యక్ష ప్రాప్యత హాష్
प्रत्यक्ष अभिगम विधि,"ప్రత్యక్ష ప్రాప్యత
 విధానం"
प्रत्यक्ष अभिगम भंडारण,"ప్రత్యక్ష ప్రాప్యత
 నిల్వ"
प्रत्यक्ष पता,ప్రత్యక్ష చిరునామా
प्रत्यक्ष पताभिगमन,ప్రత్యక్ష చిరునామా
प्रत्यक्ष आह्वान,ప్రత్యక్ష కాల్
प्रत्यक्ष कूट,ప్రత్యక్ష కోడ్
प्रत्यक्ष कूटलेखन,ప్రత్యక్ష కోడింగ్
प्रत्यक्ष युग्मित द्विमानित्र,"ప్రత్యక్ష కపుల్డ్
 ఫ్లిప్-ఫ్లాప్"
प्रत्यक्ष युग्मन,ప్రత్యక్ష కలపడం
प्रत्यक्ष आँकड़ा व्यवस्था,"ప్రత్యక్ష డేటా
 సంస్థ"
प्रत्यक्ष आँकड़ा समुच्चय,ప్రత్యక్ష డేటా సెట్
प्रत्यक्ष युक्ति,ప్రత్యక్ష పరికరం
प्रत्यक्ष अंकीय नियंत्रण,"డైరెక్ట్ డిజిటల్
 నియంత్రణ"
प्रत्यक्ष दूरी डायलन,"ప్రత్యక్ష దూరం
 డయలింగ్"
दिष्ट पुंज क्रमवीक्षण,"దర్శకత్వం వహించిన పుంజం
 స్కాన్"
दिष्ट आलेख,దర్శకత్వం వహించిన గ్రాఫ్
दिष्ट क्रमवीक्षण,దర్శకత్వం వహించిన స్కాన్
प्रत्यक्ष प्रविष्टि अंतक,"డైరెక్ట్-ఎంట్రీ
 టెర్మినల్"
प्रत्यक्ष पदानुक्रम नियंत्रण,"ప్రత్యక్ష సోపానక్రమం
 నియంత్రణ"
प्रत्यक्ष निवेश नेमका,"ప్రత్యక్ష చొప్పించు
 దినచర్య"
प्रत्यक्ष निवेश उपनेमका,"ప్రత్యక్ష చొప్పించు
 సబ్‌ట్రౌటిన్"
प्रत्यक्ष अनुदेश,ప్రత్యక్ష సూచన
दिशिक युग्मक,డైరెక్షనల్ కప్లర్
निर्देश,డైరెక్టివ్
प्रत्यक्ष कुंजीयन युक्ति,"ప్రత్యక్ష కీయింగ్
 పరికరం"
प्रत्यक्ष स्मृति अभिगम,"డైరెక్ట్ మెమరీ
 యాక్సెస్"
प्रत्यक्ष संख्यात्मक नियंत्रण,"ప్రత్యక్ష సంఖ్యా
 నియంత్రణ"
निर्देशिका,డైరెక్టరీ
निर्देशिका सहायता ब्यूरो,"డైరెక్టరీ
 అసిస్టెన్స్ బ్యూరో"
निर्देशिका सहायता प्रचालक,"డైరెక్టరీ
 సహాయం
 ఆపరేటర్"
निर्देशिका युक्ति,డైరెక్టరీ పరికరం
सीथे डायलन,"ప్రత్యక్ష బాహ్య
 డయలింగ్"
प्रत्यक्ष प्रतिशतता,ప్రత్యక్ష శాతం
प्रत्यक्ष बिन्दु पुनरावर्तित्र,"ప్రత్యక్ష పాయింట్
 రిపీటర్"
प्रत्यक्ष संचरण उपग्रह,"ప్రత్యక్ష ప్రసారం
 ఉపగ్రహ"
प्रत्यक्ष वाक् निवेश,ప్రత్యక్ష వాయిస్ ఇన్పుట్
असमर्थ प्रतिरूपक,వికలాంగ మాడ్యూల్
असमर्थकारी संकेत,సిగ్నల్‌ను నిలిపివేయడం
विपुंजन,విభజన
विकोंडातरक,విడదీయండి
विनाशी सन्निक्षेप,విపత్తు డంప్
असंतत आँकड़े,వివిక్త డేటా
असंतत युक्ति,వివిక్త పరికరం
अंसतत फुरिए रूपान्तरण,"వివిక్త ఫోరియర్
 పరివర్తన"
अंसतत क्रमादेशान,"వివిక్త
 ప్రోగ్రామింగ్"
असंतत निरूपण,"వివిక్త
 ప్రాతినిథ్యం"
स्वेच्छ हाइफन,"విచక్షణ
 అడ్డగీత"
असंततकरण,వివేచన
असंततकरण त्रुटि,"వివేచన
 లోపం"
विविक्तकर विश्लेषण,"వివక్ష
 విశ్లేషణ"
विवविक्तकरण अनुदेश,"వివక్ష
 సూచన"
विविक्तकर,వివక్షత
सम्मिलन,నిర్విరాశి
चक्रिका अभिगमन,డిస్క్ యాక్సెస్
चक्रिका आधारित प्रचालन,డిస్క్ ఆధారిత
चक्रिका नियंत्रक पत्रक,"డిస్క్ కంట్రోలర్
 కార్డు"
"नम्यिका, डिस्कट",డిస్కెట్
नम्यिका संरूपित टेप,"డిస్కెట్-ఫార్మాట్
 టేప్"
नम्यिका दृढ़ छिद्र,డిస్కెట్ హార్డ్ హోల్
नम्यिका भंडारण,డిస్కెట్ నిల్వ
नम्मिका भंडारण युक्ति,"డిస్కెట్ నిల్వ
 పరికరం"
चक्रिका संचिका,డిస్క్ ఫైల్
चक्रिका संचिका नियंत्रक,"సమాచారం
 కమ్యూనికేషన్
 ఇంటర్ఫేస్"
चक्रिका प्रचालन तंत्र,"డిస్క్ ఆపరేటింగ్
 వ్యవస్థ"
चक्रिका संकुल,డిస్క్ ప్యాక్
चक्रिका क्षेत्रक,డిస్క్ రంగం
चक्रिका शाटन,డిస్క్ సార్టింగ్
चक्रिका भंडारण,డిస్క్ నిల్వ
चक्रिका भंडारण युक्ति,డిస్క్ నిల్వ పరికరం
चक्रिका भंडारण प्रतिरूपक,"డిస్క్ నిల్వ
 మాడ్యూల్"
चक्रिका से मुद्रित उपयोगिता,"డిస్క్-టు-ప్రింటర్
 వినియోగ"
चक्रिका एकक,డిస్క్ యూనిట్
चक्रिका संकुल,డిస్క్ వాల్యూమ్
प्रेषण,పంపండి
प्रेषक,డిస్పాచర్
प्रेषण क्षेत्र,పంపించే ప్రాంతం
प्रेषण प्राथमिकता,"పంపడం
 ప్రాధాన్యత"
परिक्षिप्त बुद्धि,"చెదరగొట్టబడింది
 ఇంటెలిజెన్స్"
परिक्षेपण,చెదరగొట్టడం
प्रदर्श एवं मुद्रण परिकलित्र,"ప్రదర్శన మరియు
 ముద్రణ
 కాలిక్యులేటర్"
प्रदर्श गुण,ప్రదర్శన లక్షణం
प्रदर्श पृष्ठभूमि,"ప్రదర్శన
 నేపథ్య"
प्रदर्श परिकलित्र,డిస్ప్లే కాలిక్యులేటర్
प्रदर्श केन्द्र,ప్రదర్శన కేంద్రం
प्रदर्श संप्रतीक जनित्र,"ప్రదర్శన అక్షరం
 జనరేటర్"
प्रदर्श स्तंभ,ప్రదర్శన కాలమ్
प्रदर्श समादेश,ప్రదర్శన ఆదేశం
प्रदर्श घटक,ప్రదర్శన భాగం
प्रदर्श कन्सोल,ప్రదర్శన కన్సోల్
प्रदर्श चक्र,ప్రదర్శన చక్రం
प्रदर्श चक्र काल,ప్రదర్శన సైకిల్ సమయం
प्रदर्श युक्ति,పరికరాన్ని ప్రదర్శించండి
प्रदर्श ड्रम,ప్రదర్శన డ్రమ్
प्रदर्श अवयव,ప్రదర్శన మూలకం
प्रदर्श क्षेत्र,ప్రదర్శన ఫీల్డ్
प्रदर्श अग्रभूमि,ముందుభాగాన్ని ప్రదర్శించండి
प्रदर्श ढाँचा,ప్రదర్శన ఫ్రేమ్
प्रदर्श समूह,ప్రదర్శన సమూహం
प्रदर्श प्रतिबिंब,చిత్రం ప్రదర్శన
प्रदर्श रेखा,ప్రదర్శన రేఖ
प्रदर्श आदेश,ప్రదర్శన ఆర్డర్
प्रदर्श पट्टिका,ప్రదర్శన ప్యానెల్
प्रदर्श स्थिति,ప్రదర్శన స్థానం
प्रदर्श संसाधन एकक,"ప్రదర్శన ప్రాసెసింగ్
 యూనిట్"
प्रदर्श वापसी नियंत्रण,"ప్రదర్శన రీకాల్
 నియంత్రణ"
प्रदर्श खंड,ప్రదర్శన విభాగం
प्रदर्श स्थान,ప్రదర్శన స్థలం
प्रदर्श पृष्ठ,ప్రదర్శన ఉపరితలం
प्रदर्श अंतक,టెర్మినల్ ప్రదర్శన
प्रदर्श नलिका,డిస్ప్లే ట్యూబ్
प्रदर्श एकक,ప్రదర్శన యూనిట్
निरूत्साहन टोन,అసంతృప్తి టోన్
गांतव्य क्षेत्र,వ్యత్యాస క్షేత్రం
गंतव्य संचिका,వ్యత్యాస ఫైల్
विविक्तकारी ध्वनि,విలక్షణమైన రింగింగ్
विरूपण,వక్రీకరణ
वितरित अभिकलन,"పంపిణీ
 కంప్యూటింగ్"
विनतरीत आँकड़ा संसाधन,"పంపిణీ చేసిన డేటా
 ప్రాసెసింగ్"
वितरित आँकड़ा संसाधन जालक्रम,పంపిణీ చేసిన డేటా-ప్రాసెసింగ్ నెట్‌వర్క్
वितरित कार्य,"పంపిణీ
 ఫంక్షన్"
वितरित बुद्धि,"పంపిణీ
 ఇంటెలిజెన్స్"
वितरित तर्क,పంపిణీ లాజిక్
वितरित जालक्रम,"పంపిణీ
 నెట్‌వర్క్"
वितरित संसाधन,"పంపిణీ
 ప్రాసెసింగ్"
वितरित संसाधन जालक्रम,"పంపిణీ
 ప్రాసెసింగ్
 నెట్‌వర్క్"
वितरित संसाधित्र,"పంపిణీ
 ప్రాసెసర్"
वितरण ढांचा,పంపిణీ ఫ్రేమ్
वितरण केबल,పంపిణీ కేబుల్
वितरण ढांचा,పంపిణీ ఫ్రేమ్
"विभिन्नता, विविधता",వైవిధ్యం
विभिन्नता योजित्र,వైవిధ్య కలయిక
विभाजन जाँच,చెక్కును విభజించండి
विभआजित स्लिट क्रमविक्षण,డివైడెడ్ స్లిట్ స్కాన్
प्रभाग प्रवेशिका,డివిజన్ హెడర్
विभाजन शेष विधि,"డివిజన్-రిమైండర్
 విధానం"
भाजक,విభజన
प्रलेख,పత్రం
प्रलेख समाहार,"పత్రం
 అసెంబ్లీ"
प्रलेखन,డాక్యుమెంటేషన్
प्रलेखन पुस्तिका,"డాక్యుమెంటేషన్
 పుస్తకం"
प्रलेखन क्रमादेश,"డాక్యుమెంటేషన్
ప్రోగ్రామ్"
प्रलेखन प्रकार,"డాక్యుమెంటేషన్
 రకం"
प्रलेख हस्तन,"పత్రం
 నిర్వహణ"
प्रलेख अग्रग कोर,"డాక్యుమెంట్ లీడింగ్
 అంచు"
प्रलेख चिह्न,డాక్యుమెంట్ మార్క్
प्रलेख तैयारी,"పత్రం
 తయారీ"
प्रलेख पठित्र,డాక్యుమెంట్ రీడర్
प्रलेख संदर्भ कोर,"పత్రం
 రిఫరెన్స్ ఎడ్జ్"
प्रलेख प्रतिनयन,డాక్యుమెంట్ రిట్రీవల్
प्रलेख सूचक,డాక్యుటెర్మ్
देशीय उपग्रह वाहक,"దేశీయ ఉపగ్రహం
 క్యారియర్"
अप्रचालन अनुदेश,"డు ఏమీ లేదు
 ఆపరేషన్
 (= నో-ఆపరేషన్
 సూచన)"
मादक पदार्थ,డోపాంట్
बिंदु संप्रतीक मुद्रित्र,"డాట్- పాత్ర
 ప్రింటర్"
बिंदु मैट्रिक्स,బిందు మాత్రిక
मैट्रिक्स मुद्रित,"డాట్ ప్రింటర్
(= మాతృక
 ప్రింటర్)"
द्विक चयकन,డబుల్ బఫరింగ్
द्विक पत्रक,డబుల్ కార్డ్
द्विक सघन अभिलेखन,"డబుల్ దట్టమైన
 రికార్డింగ్"
द्विक सघनता अभिलेखन,"డబుల్ డెన్సిటీ
 రికార్డింగ్"
द्विक अंत पंक्ति,"డబుల్ ఎండ్
 క్యూ"
द्विप्रविष्टि पत्रक,డబుల్ ఎంట్రీ కార్డ్
द्विलंबाई पंजी,"డబుల్ పొడవు
 రిజిస్టర్"
द्विगुण परिशुद्धता,డబుల్ ఖచ్చితత్వం
द्विगुण परिशुद्धता अंकगणित,"డబుల్ ఖచ్చితత్వం
 అంకగణితం"
द्विगुण परिशुद्धता फलन,"డబుల్ ఖచ్చితత్వం
 ఫంక్షన్"
द्विगुण परिशुद्धता संख्या,"డబుల్ ఖచ్చితత్వం
 సంఖ్య"
द्विस्पंद अभिलेखन,"డబుల్ పల్స్
 రికార్డింగ్"
द्विक छिद्र,డబుల్ పంచ్
द्विपथ तर्क,డబుల్ రైల్ లాజిక్
द्विक पंजी,డబుల్ రిజిస్టర్
द्विपर्ण संसूचक,"డబుల్ షీట్
 డిటెక్టర్"
द्विपर्ण उत्क्षेपक,"డబుల్ షీట్
 ఎజెక్టర్"
द्विपार्श्व् चक्रिका,డబుల్ సైడెడ్ డిస్క్
द्विक टंकण,డబుల్ స్ట్రైక్
द्विशब्द,డబుల్ వర్డ్
युग्मबंधित वलय,డబుల్-లింక్డ్ రింగ్
अथःशृंखला,డౌన్ లింక్
अचेत कालावधि,డౌన్ సమయం
अधोमुखी संगतता,"క్రిందికి
 అనుకూలత"
अधोमुखी संदर्भ,"క్రిందికి
 సూచన"
कर्षण,లాగడం
अपवाह,డ్రిఫ్ట్
अपवाह त्रुटि,డ్రిఫ్ట్ లోపం
अपवाही संप्रतीक,డ్రిఫ్టింగ్ పాత్ర
आकस्मिक विराम,డ్రాప్-డెడ్ హాల్ట్
"दृयंक वर्धन, अंतःपात",డ్రాప్ ఇన్
"द्वयंक ह्रास, बहिःपात",వదిలివేయడం
पात पुनरावर्तित्र,డ్రాప్ రిపీటర్
उपभोक्ता तार,డ్రాప్ వైర్
ड्रम परिचालन,డ్రమ్ డ్రైవ్
ड्रम आलेखित्र,డ్రమ్ ప్లాటర్
ड्रम मुद्रित्र,డ్రమ్ ప్రింటర్
ड्रम मुद्रण,డ్రమ్ ప్రింటింగ్
ड्रम क्रमवीक्षण,డ్రమ్ స్కానింగ్
ड्रम शाटन,డ్రమ్ సార్ట్
ड्रम भंडारण,డ్రమ్ నిల్వ
ड्रम एकक,డ్రమ్ యూనిట్
पूर्व परीक्षण,డ్రై రన్నింగ్
द्वैत सघनता,ద్వంద్వ సాంద్రత
द्वैत तीव्रता,ద్వంద్వ తీవ్రత
द्वैती,ద్వంద్వత్వం
द्वैत प्रमेय,ద్వంద్వ సిద్ధాంతం
द्वैत संक्रिया,ద్వంద్వ ఆపరేషన్
द्वैत संद्वार स्मृति,ద్వంద్వ పోర్ట్ మెమరీ
द्वैत संसाधित्र तंत्र,"ద్వంద్వ ప్రాసెసర్
 వ్యవస్థ"
द्वैत एकल विधि,"ద్వంద్వ సింప్లెక్స్
 విధానం"
द्वैत तंत्र,ద్వంద్వ వ్యవస్థ
द्वादश छिद्रित पत्रक,"డుకోల్-పంచ్
 కార్డు"
मूल अंतक,మూగ టెర్మినల్
मूक पता,డమ్మీ చిరునామా
मूक स्वतंत्र चर,డమ్మీ వాదన
मूक जाँच,డమ్మీ చెక్
मूक नियन्त्रण अनुभाग,"డమ్మీ నియంత్రణ
 విభాగం"
मूक आँकड़ा समुच्चय,డమ్మీ డేటా సెట్
मूक अनुदेश,డమ్మీ బోధన
मूक अनुभाग,డమ్మీ విభాగం
मूक चर,డమ్మీ వేరియబుల్
सन्निक्षेप,డంప్
सन्निक्षेप और पुनःप्रारंभ,డంప్ మరియు పున art ప్రారంభించండి
सन्निक्षेप जाँच,డంప్ చెక్
सन्निक्षेप बिंदु,డంప్ పాయింట్
सन्निक्षेप नेमका,డంప్ రొటీన్
द्वादश आधारी,డుయోడెసిమల్
द्वैध प्रणाल,డ్యూప్లెక్స్ ఛానల్
द्वैध परिपथ,డ్యూప్లెక్స్ సర్క్యూట్
द्वैध संचार,"డ్యూప్లెక్స్
 కమ్యూనికేషన్"
द्वैध कंसोल,డ్యూప్లెక్స్ కన్సోల్
द्वैधीकृत तंत्र,డ్యూప్లెక్స్డ్ సిస్టమ్
"द्वैधीकरण, द्विसंकेतन",డ్యూప్లెక్సింగ్
द्वैध संक्रिया,డ్యూప్లెక్స్ ఆపరేషన్
द्वैध संचरण,"డ్యూప్లెక్స్
 ప్రసార"
अनुलिपि कुंजी,నకిలీ కీ
अतिरिक्त खंड,నకిలీ వాల్యూమ్
द्वि-आवृति जाँच,నకిలీ చెక్
गुणन कारक,నకిలీ కారకం
सुविधा-गुणन,"యొక్క నకిలీ
 సౌకర్యాలు"
अनुलिपित्र,నకిలీ
द्वैयकीय बूलीय संक्रिया,"డయాడిక్ బూలియన్
 ఆపరేషన్"
द्वयकीय संक्रिया,డయాడిక్ ఆపరేషన్
द्वैयकीय संकारक,డయాడిక్ ఆపరేటర్
गतिक परिशुद्धता,డైనమిక్ ఖచ్చితత్వం
