Gujarati,Bengali
પુનરાવૃત્તિ,পুনরাবৃত্তি
સર્કિટ,সার্কিট
સર્કિટરી,সার্কিটরি
"ગોળ, પરિપત્ર","বৃত্তাকার, বৃত্তাকার"
ફરતું,প্রচলন
"પરિભ્રમણ, પરિભ્રમણ","circulation, circulation"
પરિભ્રમણકર્તા,সংবহনকারী
પરિઘ,পরিধিমূলক
પરમાણુ ઇલેક્ટ્રોન,পারমাণবিক ইলেকট্রন
પરિભુ ઉપગ્રહ,পরিভু স্যাটেলাইট
નાગરિક આવર્તન બેન્ડ,বেসামরিক ফ্রিকোয়েন্সি ব্যান্ড
"વસ્ત્રો, વ્યવસાય","পোশাক, দখল"
બોન્ડ,বন্ধন
ક્લેપીરોન સમીકરણ,ক্লেপেয়ারন সমীকরণ
"ઉત્તમ, ઉત્તમ, ઉત્તમ","ক্লাসিক, ক্লাসিক, ক্লাসিক"
"અંતરાલ, દૂર કરવું (વિશેષ.)","ব্যবধান, অপসারণ (বিশেষণ)"
વિભાજન,খাঁজ
વાતાવરણ,জলবায়ু
માઉન્ટ,মাউন্ট
"પિરોમીટર, તબીબી થર્મોમીટર","পাইরোমিটার, মেডিকেল থার্মোমিটার"
ઘડિયાળ વોલ્ટેજ,ঘড়ির ভোল্টেজ
ઘડિયાળની દિશામાં,ঘড়ির কাঁটার দিকে
બંધ સર્કિટ,বন্ধ সার্কিট
બંધ સર્કિટ ટેલિવિઝન,ক্লোজড সার্কিট টেলিভিশন
"ચુસ્તપણે ભરેલું, ચુસ્તપણે ભરેલું","tightly packed, tightly packed"
સારી રીતે પેકેજ્ડ માળખું,ভাল প্যাকেজ গঠন
નજીકનો અભિગમ,নিকটতম পন্থা
નવીનતમ પેક્ડ,সর্বশেষ বস্তাবন্দী
નજીકનું દૃશ્ય,ঘনিষ্ঠ দৃশ্য
"વાદળો, વાદળો, અસ્પષ્ટતા, ફોલ્લીઓ","মেঘ, মেঘ, ঝাপসা, দাগ"
ટોળું,গুচ্ছ
"બરછટ, બરછટ, ક્રૂડ, સબસ્ટાન્ડર્ડ, અશુદ્ધ","মোটা, মোটা, অশোধিত, নিম্নমানের, অপরিশোধিত"
મેક્રો સ્ફટિકીય,ম্যাক্রো স্ফটিক
"કોસ્ટ, ટાર્ગેટ હાઉસ (રડાર)","উপকূল, টার্গেট হাউস (রাডার)"
"આવરણ, કોટ, કોટ","আবরণ, আবরণ, আবরণ, আবরণ"
"કોટિંગ, કોટિંગ, કોટિંગ","আবরণ, আবরণ, আবরণ"
મનાવવું,শান্ত করা
"કોડ, સાઇન, કોડ, કોડ, કોડ","কোড, সাইন, কোড, কোড, কোড"
કોડેડ,কোডেড
કોડિંગ પલ્સ,কোডিং পালস
ગુણાંક,গুণাঙ্ক
સંયમ,সংযম
સસ્પેન્સ,সাসপেন্স
"જોડાણ, જોડાણ","affiliation, affiliation"
"સંલગ્ન, જોડાયેલ","affiliated, attached"
સંયોગ,সংহতি
સાંસાનજી,সানসানজি
જન્માક્ષર,রাশিফল
વીંટળાયેલ,কুণ্ডলীকৃত
"કોઇલ, કોઇલ બિલ્ડીંગ, કોઇલિંગ","coiling, coil building, coiling"
ફ્લેટ,সমান
ઠંડી,ঠান্ডা
નીચા તાપમાનનું ઉત્સર્જન,নিম্ন তাপমাত্রা নির্গমন
સબથર્મલ ન્યુટ્રોન,সাবথার্মাল নিউট্রন
નાશ,ধ্বংস
"કોલેટરલ, શાખા, શાખા","জামানত, শাখা, শাখা"
"સંયોજક, સંયોજક, કોલેટર","সমন্বয়কারী, সমন্বয়কারী, সংগ্রাহক"
સંગ્રહ,সংগ্রহ
"સામૂહિક, વસ્તી","সমষ্টিগত, জনসংখ্যা"
"કલેક્ટર, કલેક્ટર, કલેક્ટર","সংগ্রাহক, সংগ্রাহক, সংগ্রাহক"
અથડાતા કણ,সংঘর্ষকারী কণা
સમાંતર,সমান্তরাল
"સમાંતર, દિશાહીન","সমান্তরাল, একমুখী"
સમાંતરગ્રામ,সমান্তরাল বৃত্ত
ગોઠવણી,প্রান্তিককরণ
ગોઠવણી,প্রান্তিককরণ
"અથડામણ, અથડામણ, અથડામણ","সংঘর্ষ, সংঘর্ষ, সংঘর্ষ"
કોલોઇડ,কোলয়েড
"રંગમાપક, રંગમાપક","কালারমিটার, কালারমিটার"
રંગ અંધત્વ,বর্ণান্ধতা
પાત્ર,চরিত্র
"કૉલમ, કૉલમ","কলাম, কলাম"
"અલ્પવિરામ, ટફ્ટ, પૂંછડી, પૂંછડી","কমা, টুফ্ট, লেজ, লেজ"
"સંયોજન, સંયોજન, સંચય","combination, combination, accumulation"
સંયુક્ત સ્વર,যৌগিক স্বরবর্ণ
સંયુક્ત સ્વર,যৌগিক স্বরবর্ণ
જવાબદારી,দায়
દહન,দহন
વ્યાપારી ફેરાઇટ,বাণিজ্যিক ফেরাইট
"સામાન્ય, સામાન્ય, સામાન્ય, સામાન્ય, સામાન્ય","সাধারণ, সাধারণ, সাধারণ, সাধারণ, সাধারণ"
કોમ્યુનિકેશન્સ,যোগাযোগ
"ડાયવર્ઝન, ડેટમ ચેન્જ, ક્રમચય","ডাইভারশন, ডেটাম পরিবর্তন, স্থানান্তর"
"કોમ્યુટેટર, કમ્યુટેટર, કમ્યુટેટર","কমিউটেটর, কম্যুটেটর, কম্যুটেটর"
"તુલના કરનાર, તુલના કરનાર","comparator, comparator"
સરખામણી,তুলনা
"હોકાયંત્ર, હોકાયંત્ર, હોકાયંત્ર","কম্পাস, কম্পাস, কম্পাস"
"સુસંગતતા, સુસંગતતા, સુસંગતતા, સુસંગતતા","সামঞ্জস্য, সামঞ্জস্য, সামঞ্জস্য, সামঞ্জস্য"
"વળતર આપવું, બદલો લેવો","ক্ষতিপূরণ, প্রতিশোধ"
"વળતર, વળતર, વળતર","ক্ষতিপূরণ, ক্ষতিপূরণ, ক্ষতিপূরণ"
વિરોધી પગલાં,পাল্টা ব্যবস্থা
"સંકલન, અર્થઘટન","সংকলন, ব্যাখ্যা"
"સંકલન, અર્થઘટન","সংকলন, ব্যাখ্যা"
પૂરકતા,পরিপূরকতা
પૂરક,সাপ্লিমেন্ট
પૂર્ણ,সম্পূর্ণ
સંપૂર્ણ કોષ,সম্পূর্ণ সেল
સંપૂર્ણ મોડ્યુલેશન,সম্পূর্ণ মড্যুলেশন
"જટિલ, જટિલ, પેકેજ","জটিল, জটিল, প্যাকেজ"
જટિલ અણુ,জটিল পরমাণু
જટિલ કાર્ય,জটিল ফাংশন
ફોર્મેટ,বিন্যাস
જટિલ મિકેનિઝમ,জটিল প্রক্রিয়া
ફોલો-અપ,ফলো-আপ
"ઘટક, સંકળાયેલ ઘટક","উপাদান, সংশ্লিষ্ট উপাদান"
"સંયુક્ત, મિશ્ર","যৌগিক, যৌগিক"
"મિશ્ર, મિશ્ર, સંયુક્ત, નાણા, સંયોજન","মিশ্র, মিশ্র, সম্মিলিত, অর্থ, যৌগিক"
asral લોલક,asral দুল
"સંકુચિત (સં.), સંકુચિત (વિ.)","কম্প্রেস (সম্পাদনা), কম্প্রেস (v.)"
સંકુચિત,সংকুচিত
સંકોચનક્ષમતા,সংকোচনযোগ্যতা
સંકુચિત,সংকোচনযোগ্য
સંકોચન,সঙ্কোচন
"કોમ્પ્રેસર, કોમ્પ્રેસર","কম্প্রেসার, কম্প্রেসার"
"કોમ્પટન ઇલેક્ટ્રોન, પ્રતિસંતુલિત ઇલેક્ટ્રોન","কম্পটন ইলেকট্রন, ভারসাম্যহীন ইলেকট্রন"
ગણતરી,গণনা
કોમ્પ્યુટેશનલ,গণনামূলক
"કમ્પ્યુટર, કમ્પ્યુટર, કમ્પ્યુટર","কম্পিউটার, কম্পিউটার, কম্পিউটার"
અંતર્મુખ,অবতল
બાયકોન્વેક્સ,দ্বিকনভেক্স
"ધ્યાન કેન્દ્રિત કરવું, જાડું કરવું, ધ્યાન કેન્દ્રિત કરવું (વિ.)","মনোনিবেশ করা, ঘন করা, মনোনিবেশ করা (adj.), মনোনিবেশ করা (v.)"
"કેન્દ્રિત, કેન્દ્રિત, કેન્દ્રિત","কেন্দ্রীভূত, কেন্দ্রীভূত, কেন্দ্রীভূত"
"એકાગ્રતા, એકાગ્રતા, એકાગ્રતા, એકાગ્રતા","একাগ্রতা, একাগ্রতা, একাগ্রতা, একাগ্রতা"
"એકકેન્દ્રી, કેન્દ્રિત","এককেন্দ্রিক, এককেন্দ্রিক"
ખ્યાલ,ধারণা
વૈચારિક,ধারণাগত
"આત્મીયતા, વાતચીત","অন্তরঙ্গতা, যোগাযোগ"
સુમેળ,সুরেলা
"સમવર્તી, પાછળનું","concurrent, trailing"
"ઘનીકરણ, ઘનીકરણ","ঘনীভবন, ঘনীভবন"
"ઘટ્ટ કરવું, પ્રવાહી કરવું, પ્રવાહી કરવું","to condense, to liquefy, to liquefy"
"કન્ડેન્સ્ડ, લિક્વિફાઇડ, કોમ્પેક્ટેડ","ঘনীভূত, তরলীকৃত, সংকুচিত"
"કન્ડેન્સર, કેપેસિટર, કલેક્ટર","কনডেন্সার, ক্যাপাসিটর, সংগ্রাহক"
"સ્થિતિ, સ્થિતિ, સ્થિતિ, સ્થિતિ","শর্ত, শর্ত, শর্ত, শর্ত"
વાહકતા,পরিবাহিতা
ડ્રાઈવર,ড্রাইভার
ડ્રાઇવિંગ,পরিচালনা
વાહકતા,পরিবাহিতা
વફાદારી,বিশ্বস্ততা
"રૂપરેખાંકન, રૂપરેખાંકન","কনফিগারেশন, কনফিগারেশন"
રૂપરેખાંકન,কনফিগারেশন
કોન્ફોકલ,কনফোকাল
"સુસંગતતા, દ્વિધ્રુવીતા, સમાનતા","সংগতি, দ্বিমেরুতা, সমতা"
"સુસંગત, સમાન","সঙ্গতিপূর্ণ, অভিন্ন"
શંકુ,কনিক
"સંયોજિત થવું (વિ.), સંયુકત થવું (વિ.)","conjugate (v.), to be conjugated (ver.)"
લેટરલ એસોસિયેટેડ,লেটারাল অ্যাসোসিয়েটেড
સાંકળ સંબંધિત,চেইন সম্পর্কিত
કનેક્ટર લાઇન,সংযোগকারী লাইন
જોડાણ,সংযোগ
"પ્રાયોજક, કનેક્ટર","পৃষ্ঠপোষক, সংযোগকারী"
સળંગ,একটানা
આશ્રયદાતા,পৃষ্ঠপোষক
આશ્રયદાતા,পৃষ্ঠপোষক
"સુસંગતતા, સુસંગતતા, જાડાઈ, જાડાઈ","ধারাবাহিকতা, সামঞ্জস্য, ঘনত্ব, পুরুত্ব"
"સુસંગત, વિરુદ્ધ","সামঞ্জস্যপূর্ণ, বিপরীত"
વાતચીત,কথোপকথন
વાતચીત,কথোপকথন
સ્થિરતા,স্থিতিশীলতা
"સ્થિર, સ્થિર, સ્થાવર, અપરિવર્તનશીલ, સમાન","স্থির, স্থির, অস্থাবর, অপরিবর্তনীয়, অভিন্ন"
કોન્સ્ટેન્ટન,কনস্ট্যান্টান
સતત પ્રવાહ,ধারাবাহিক প্রবাহ
સહવર્તી સંખ્યા,কোভারিয়েট সংখ্যা
સર્કિટની લાક્ષણિકતાઓ,সার্কিটের বৈশিষ্ট্য
નક્ષત્ર,নক্ষত্রপুঞ্জ
"રચના, રચના, રચના","রচনা, রচনা, গঠন"
પ્રતિબંધિત ગતિ,সীমাবদ্ধ গতি
અવરોધ,বাধা
સંકુચિત,সংকীর্ণ
ટકાઉ હસ્તક્ષેપ,টেকসই হস্তক্ষেপ
ઊર્જા વપરાય છે,শক্তি খরচ
"સ્પર્શ, સ્પર્શ, સ્પર્શ","স্পর্শ, স্পর্শ, স্পর্শ"
"સંપર્ક, સંપર્ક","যোগাযোগ, যোগাযোগ"
દૂષણ,দূষণ
"સામગ્રી, ભાગ, અડધો ભાગ","বিষয়বস্তু, অংশ, অর্ধেক"
"સાતત્ય, સાતત્ય","continuum, continuum"
રાજ્ય સાતત્ય,রাষ্ট্রীয় ধারাবাহিকতা
"સતત, અખંડ, અખંડ, સતત, સતત","অবিচ্ছিন্ন, অবিচ্ছিন্ন, অবিচ্ছিন্ন, অবিচ্ছিন্ন, অবিচ্ছিন্ন"
સાતત્ય,ধারাবাহিকতা
"સંકુચિત કરવું, સંકુચિત કરવું (ver.)","সংকুচিত করা, সংকুচিত করা (ver.)"
સંકોચો,সঙ্কুচিত
સંકોચન,সংকোচন
કાઉન્ટર-ઓર્બિટલ દિશા,কাউন্টার-অরবিটাল দিক
સંબંધિત શરીર,আপেক্ষিক শরীর
"વિપરીત, વિપરીત","বিপরীত, বিপরীত"
નિયંત્રણ,নিয়ন্ত্রণ
સંવહન,পরিচলন
પહોંચાડતી પોસ્ટ,প্রচার পোস্ট
વેસ્ક્યુલર,ভাস্কুলার
નિયમિત અણુ વજન,নিয়মিত পারমাণবিক ওজন
"એકરૂપ થવું, એકરૂપ થવું","to converge, to converge"
"કન્વર્જન્સ, કન્વર્જન્સ","convergence, convergence"
કન્વર્જિંગ લેન્સ,কনভারজিং লেন্স
"વિરુદ્ધ, વિરુદ્ધ","বিপরীত, বিপরীত"
VICA ઊલટું,বিপরীতভাবে
રૂપાંતર,রূপান্তর
રૂપાંતરિત,রূপান্তরিত
કન્વર્ટર,রূপান্তরকারী
કન્વર્ટિબલ લેન્સ,রূপান্তরযোগ্য লেন্স
બહિર્મુખ,উত্তল
બહિર્મુખતા,উত্তল
બહિર્મુખ,উত্তল
બાયકોન્વેક્સ,দ্বিকনভেক্স
શીતક,কুল্যান্ট
"રેફ્રિજન્ટ, ચિલર","রেফ্রিজারেন্ট, চিলার"
કૂલીજ ટ્યુબ,কুলিজ টিউব
ઠંડક,শীতল
શીતક,কুল্যান্ট
સહકારી ઘટના,সহযোগিতামূলক ঘটনা
"સંકલન, સંકલન","সমন্বয় করা, সমন্বয় করা"
ડિરેક્ટર અક્ષ,পরিচালক অক্ষ
પ્લેનર,প্ল্যানার
સપાટતા,সমতলতা
"નકલ, નકલ, નકલ","অনুলিপি, অনুলিপি, অনুলিপি"
કોર,মূল
કોર ઇલેક્ટ્રોન,মূল ইলেকট্রন
કોરિઓલિસ પ્રવેગક,কোরিওলিস ত্বরণ
કોરિઓલિસ બળ,কোরিওলিস বল
"કિરીટ, કોરોના","কিরিত, করোনা"
કોરોના ઓસ્ટ્રેલિયા,করোনা অস্ট্রেলিয়া
કોરોના બોરેલિસ,করোনা বোরিয়ালিস
સૌર જ્વાળા,সুর্যের আগুনের ফুল্কি
દાણા,দানা
દાણાદાર,দানাদার
"સાચું, સાચું","সঠিক, সঠিক"
સુધારેલા,সংশোধিত
"સુધારો, સુધારો","সংশোধন, সংশোধন"
સહ-સંબંધ,সহ- সম্পর্ক
"પત્રવ્યવહાર કરવો, પત્રવ્યવહાર કરવો","correspond, correspond"
સંગઠનના નિયમો,সমিতির নিয়ম
સાથ,অনুষঙ্গ
કોસાઇન નિયમ,কোসাইন নিয়ম
જગ્યા વિપુલતા,স্থান প্রাচুর্য
કોસ્મિક,মহাজাগতিক
અવકાશ કિરણ વિસ્ફોટ,মহাকাশ রশ্মি বিস্ফোরিত
"અવકાશ કિરણ, કોસ્મિક કિરણ","মহাকাশ রশ্মি, মহাজাগতিক রশ্মি"
અવકાશ વરસાદ,স্থান বৃষ্টিপাত
જગ્યા,স্থান
કોસ્મિક,মহাজাগতিক
"કોસ્મોલોજી, કોસ્મોલોજી","cosmology, cosmology"
અવકાશયાત્રી,মহাকাশচারী
અવકાશ વિજ્ઞાન,মহাকাশবিজ্ঞান
"કોસમોસ, બ્રહ્માંડ","কসমস, মহাবিশ্ব"
કુલોમ્બ,কুলম্ব
કુલોમી વિસ્તાર,কুলোমি এলাকা
કુલોમીટર,কুলমিটার
"ગણવું, ગણવું, ગણવું, ગણવું","গণনা, গণনা, গণনা, গণনা"
"ગણતરી, વ્યસ્ત ગણતરી","গণনা, বিপরীত গণনা"
"કેલ્ક્યુલેટર, કાઉન્ટર, પેનલ","ক্যালকুলেটর, কাউন্টার, প্যানেল"
ઘડિયાળની વિરુદ્ધ દિશામાં,ঘড়ির কাঁটার বিপরীত দিকে
"રિવર્સ કરંટ, કાઉન્ટર કરંટ","বিপরীত বর্তমান, বিপরীত বর্তমান"
વિરોધી ઇલેક્ટ્રોમોટિવ બળ,বিরোধী ইলেক্ট্রোমোটিভ ফোর্স
પ્રતિનિયુક્તિ,ডেপুটেশন
વિપરીત ધડ,বিপরীত ধড়
ગણતરી દર,গণনা হার
"ગણતરી, ગણતરી-સંખ્યા, ગણતરી, ગણતરી","গণনা, গণনা-সংখ্যা, গণনা, গণনা"
બળ જોડી,বল জোড়া
જોડી,যুগল
કપ્લર,সংযোজনকারী
જોડાણ,কাপলিং
"ઇચ્છિત દિશા, માર્ગ, માર્ગ","অভিপ্রেত দিক, পথ, পথ"
સહસંયોજકતા,সমযোজীতা
સહસંયોજકતા,সমযোজীতা
સહકારી,সহযোগী
સહપ્રવૃત્તિ,সহবাস
સહવર્તી,সহগামী
"કવરેજ વિસ્તાર, પ્રસારણ વિસ્તાર","কভারেজ এলাকা, সম্প্রচার এলাকা"
કવર શીટ,কভার শীট
બકબક,বকবক
પ્રજનન દર,উর্বরতার হার
સહેજ વિકૃતિ,সামান্য বিকৃতি
શિખર,চূড়া
"માપદંડ, માપદંડ","মাপকাঠি, মানদণ্ড"
જટિલ,সমালোচনামূলক
ટીકા,সমালোচনা
મકર ક્લિપ,মকর ক্লিপ
બદમાશનું શ્યામ સામ્રાજ્ય,দুর্বৃত্তদের অন্ধকার রাজ্য
ક્રોસ-હાઇબ્રિડ હાઇબ્રિડાઇઝેશન,ক্রস-হাইব্রিড হাইব্রিডাইজেশন
ક્રોસ બેન્ડ સંચાર,ক্রস ব্যান্ড যোগাযোগ
અપ્રસ્તુત પાત્ર અવતાર,অপ্রাসঙ্গিক চরিত্রের অবয়ব
ક્રોસ સંબંધો,ক্রস বন্ধন
ક્રોસ કરેલ વિસ્તાર,অতিক্রম করা এলাকা
ઓછામાં ઓછું વિચલન લેન્સ,ন্যূনতম বিকৃতি লেন্স
ક્રોસ ઉત્પાદન,ক্রস পণ্য
અપ્રસ્તુત સંકેત,অপ্রাসঙ্গিক সংকেত
માળનું અતિક્રમણ,মেঝে দখল
સંક્રમણ ઝોન,রূপান্তর জোন
સંક્રમણ બિંદુ,রূপান্তর বিন্দু
વિનિમય મૂલ્ય,বিনিময় মূল্য
વેક્ટર-ઉત્પાદન વેક્ટર-ઉત્પાદન,ভেক্টর-পণ্য ভেক্টর-পণ্য
"ક્રોસ સેક્શન, ક્રોસ સેક્શન","ক্রস বিভাগ, ক্রস বিভাগ"
"બહુવિધ શબ્દ, વર્ણસંકર શબ્દ","মাল্টিপল টার্ম, হাইব্রিড টার্ম"
ક્રોસ વાયર,ক্রস তারের
"ક્રાઉન ઓપ્ટિકલ ગ્લાસ, ક્રાઉન ઓપ્ટિકલ ગ્લાસ","মুকুট অপটিক্যাল গ্লাস, মুকুট অপটিক্যাল গ্লাস"
ઠંડકનું મિશ્રણ,শীতল মিশ্রণ
નીચા તાપમાન ઇલેક્ટ્રોનિક્સ,নিম্ন তাপমাত্রা ইলেকট্রনিক্স
હાયપોથર્મિયા,হাইপোথার্মিয়া
ક્રાયોજેનિક પ્રયોગશાળા,ক্রায়োজেনিক পরীক্ষাগার
નિમ્રતાપીકી,নিমরতাপিকি
ફ્રીઝિંગ ગેજ,হিমায়িত পরিমাপক
ક્રાયોમેટ્રિક સ્થિરાંક,ক্রাইমেট্রিক ধ্রুবক
સ્ફટિક,স্ফটিক
"સ્ફટિકીય, તંતુમય","স্ফটিক, তন্তুযুক্ত"
"સ્ફટિકીકરણ, સ્ફટિકીકરણ, સ્ફટિકીકરણ","স্ফটিককরণ, স্ফটিককরণ, স্ফটিককরণ"
સ્ફટિક વૈજ્ઞાનિક,স্ফটিক বিজ্ঞানী
સ્ફટિક-માળખાકીય,স্ফটিক-কাঠামোগত
સ્ફટિક માળખું,স্ফটিক গঠন
"ક્રિસ્ટલોગ્રાફી, સ્ફટિક વિજ્ઞાન","ক্রিস্টালোগ্রাফি, স্ফটিক বিজ্ঞান"
જાળી ટ્રાન્સફર કામગીરી,জালি স্থানান্তর অপারেশন
સ્ફટિક સ્મજ,স্ফটিক ধোঁয়া
ક્યુબ ક્યુબ,কিউব কিউব
"ઘન, ઘન, ઘન, ત્રિકોણ, ઘન, ત્રિકોણ","ঘনক, ঘনক, ঘনক, ত্রিভুজ, ঘনক, ত্রিভুজ"
ક્યુબિક ક્લીવેજ,কিউবিক ফাটল
ભ્રમણકક્ષા,অরবিটাল
સંચિત,ক্রমবর্ধমান
ક્યુરી સતત,কিউরি ধ্রুবক
ક્યુરી ઇફેક્ટ,কিউরি এফেক্ট
"ક્યુરી પોઈન્ટ, ક્યુરી ટેમ્પરેચર, ક્યુરી ડિમેગ્નેટાઈઝેશન પોઈન્ટ","কিউরি পয়েন্ট, কিউরি তাপমাত্রা, কুরি ডিম্যাগনেটাইজেশন পয়েন্ট"
ક્યુરી,কিউরি
પ્રવાહ,প্রবাহ
પ્રવાહની લઘુમતી,স্রোতের সংখ্যালঘু
વિતરણ,বিতরণ
વક્રતા,বক্রতা
વળાંક વળાંક રેખા,বক্ররেখা বক্ররেখা
વક્ર,বাঁকা
વળાંક બાર,বক্ররেখা বার
વક્ર પૃષ્ઠ,বাঁকা পাতা
વૃદ્ધિ વળાંક,বৃদ্ধি বক্ররেখা
વક્ર,বক্ররেখা
"છિદ્રક, કટીંગ","ছিদ্রকারী, কাটা"
અંત ઝોન,শেষ স্থান
અંતિમ આવર્તન,শেষ ফ্রিকোয়েন্সি
અંતિમ બિંદુ,শেষপ্রান্ত
ટર્મિનલ બિંદુ વેગ,টার্মিনাল পয়েন্ট বেগ
ટર્મિનલ વોલ્ટેજ,টার্মিনাল ভোল্টেজ
"કલાકાર, કલાકાર","অভিনয়কারী, অভিনয়কারী"
સાયબરનેટિક્સ,সাইবারনেটিক্স
"ચક્ર, ચક્ર, ચક્ર","চক্র, চক্র, চক্র"
ચક્ર પ્રતિ સેકન્ડ,প্রতি সেকেন্ডে চক্র
"ચક્રીય, ચક્રીય","চক্রাকার, চক্রীয়"
સ્પિન,স্পিন
ચક્રીય લોલક,চক্রীয় পেন্ডুলাম
સાયક્લોટ્રોન,সাইক্লোট্রন
સાયક્લોટ્રોન આવર્તન,সাইক্লোট্রন ফ্রিকোয়েন্সি
"સિલિન્ડર, સિલિન્ડર","সিলিন্ডার, সিলিন্ডার"
"નળાકાર, સિલિન્ડર આકાર, સિલિન્ડર, સિલિન્ડર","নলাকার, সিলিন্ডার আকৃতি, সিলিন্ডার, সিলিন্ডার"
સિલિન્ડર હાર્મોનિક,সিলিন্ডার সুরেলা
ભીનું,স্যাঁতসেঁতে
ભીના સરળ હાર્મોનિક ઓસિલેશન,স্যাঁতসেঁতে সহজ সুরেলা দোলন
ડેમ્પર,দাম্পার
ડેનિયલ સેલ,ড্যানিয়েল সেল
અંધારું,অন্ধকার
"દાન કરેલ સંસાધનો, ગૌણ સંસાધનો, ટ્રસ્ટ સંસાધનો","রিসোর্স রিসোর্স, রিসোর্স রিসোর্স, ট্রাস্ট রিসোর্স"
"વિઘટન ઉત્પાદક, દૂધ ઉત્પન્ન કરનાર, પિતૃ, સંતાન","পচন উৎপাদনকারী, দুধ উৎপাদিত, পিতামাতা, বংশধর"
ડેવિસન ગરમ પ્રયોગ,ডেভিসন গরম পরীক্ষা
D.C. (નિર્દેશક),ডিসি (নির্দেশক)
નિષ્ક્રિય ભાગ,নিষ্ক্রিয় অংশ
શાંત સ્થળ,নীরব জায়গা
ડી બ્રાગ્લી તરંગલંબાઇ,ডি ব্রাগ্লি তরঙ্গদৈর্ঘ্য
Debye લાક્ષણિકતા તાપમાન,Debye বৈশিষ্ট্যগত তাপমাত্রা
"ડેબાય લંબાઈ, ડેબાય અંતર","Debye দৈর্ঘ্য, Debye দূরত্ব"
દેવું-વિરામ,ঋণ অবকাশ
સડો,ক্ষয়
સડો સૂચકાંક,ক্ষয় সূচক
પાતળું,diluent
મંદી,স্থগিত করা
વિરામ સમય,বিরতি সময়
ડેસિબલ,ডেসিবেল
ડેસિબેલોમીટર,ডেসিবেলোমিটার
"દશાંશ, દશાંશ","দশমিক, দশমিক"
વર્ગીકરણ,শ্রেণীবিভাগ
"ઉથલપાથલ, ક્રાંતિ, ઉપક્રમ, પતન","উত্থান, বিপ্লব, উদ্যোগ, পতন"
આઇસોમેટ્રિક વર્તુળ,আইসোমেট্রিক বৃত্ত
ડીકોડર,ডিকোডার
"વિઘટન, વિસર્જન","পচন, দ্রবীভূতকরণ"
વિસંકોચન,ডিকম্প্রেশন
વિશુદ્ધીકરણ,দূষণ
સુશોભન,অলংকরণ
જોડાણ,সংযোজন
ઘટતું કાર્ય,হ্রাস ফাংশন
હવામાન,আবহাওয়া
ઉલ્લંઘન,লঙ্ঘন
સબફ્લોર,সাবফ্লোর
ઊંડી જગ્યા,গভীর স্থান
વ્યુત્પત્તિ,ডেরিভেশন
"ખામી, ભૂલ, નુકસાન, ઉણપ","ত্রুটি, ত্রুটি, ক্ষতি, ঘাটতি"
ખોટું,অন্যায়
રોગપ્રતિકારક શક્તિ,অনাক্রম্যতা
મર્યાદાનો દરવાજો,সীমাবদ্ধ দরজা
"વ્યાખ્યા, સ્પષ્ટતા","সংজ্ঞা, স্বচ্ছতা"
વિચલિત કરવું,বিচ্যুত
ડિફ્લેક્ટર,অপসারণকারী
"વિચલન, વિચલન","deflection, deflection"
વિચલિત ધ્યાન,বিচ্যুতিপূর্ণ ফোকাস
ડિફ્લેક્શન-ડબલ મિરર,প্রতিফলন-দ্বৈত আয়না
ડિફ્લેક્શન ઝોન,বিচ্যুতি অঞ্চল
ગુરુત્વાકર્ષણ પ્રભાવિત વિચલન,মাধ্যাকর্ষণ প্রভাবিত বিচ্যুতি
સંક્ષિપ્ત પ્લેટો,সংক্ষেপণ প্লেট
ફોકસ,ফোকাস
વિકૃતિ,বিকৃতি
"વિકૃતિ, વિકૃતિ","বিকৃতি, বিকৃতি"
વિગાસન,ভিগাসন
"વ્યભિચાર, બદનામી","debauchery, debauchery"
"અપવિત્ર થવું (વર.), અધોગતિ (n.), અધોગતિ (v.)","to be defiled (ver.), degraded (n.), degraded (v.)"
કચરો ગેસ,বর্জ্য গ্যাস
"વિચલન, અફસીયા, વંચિતતા, વંચિતતા","aberration, aphasia, deprivation, deprivation"
સંતોષકારક,সন্তোষজনক
"ડિગ્રી, ડિગ્રી, તીવ્રતા, ડિગ્રી, ડિગ્રી, જથ્થો, અંશ","ডিগ্রী, ডিগ্রী, মাত্রা, ডিগ্রী, ডিগ্রী, পরিমাণ, লব"
એકાગ્રતા-વોલ્યુમ,ঘনত্ব-ভলিউম
વિયોજન જથ્થો,বিয়োজন পরিমাণ
સ્વતંત્રતાની ડિગ્રી. સ્વતંત્રતાની ડિગ્રી,স্বাধীনতা ডিগ্রী। স্বাধীনতা ডিগ্রী
આયનીકરણની માત્રા,আয়নকরণের পরিমাণ
ધ્રુવીકરણની તીવ્રતા,মেরুকরণের মাত্রা
ચોકસાઇ જથ્થો,নির্ভুলতা পরিমাণ
ડિહ્યુમિડિફિકેશન,dehumidification
ડીયોનાઇઝેશન,ডিওনাইজেশন
વિલંબ,বিলম্ব
વિલંબિત,বিলম্বিত
સ્થાનિકીકરણ,স্থানীয়করণ
ડેલ્ટા કાર્ય,ডেল্টা ফাংশন
ડિમેગ્નેટાઇઝેશન,চুম্বকীয়করণ
ડિમેગ્નેટાઇઝ્ડ વળાંક,চুম্বকীয় বক্ররেখা
ડિમેગ્નેટાઇઝર,demagnetizer
ડિમોડ્યુલેશન,demodulation
ગાઢ ભીડ,ঘন যানজট
ઘનતા માપક,ঘনত্ব পরিমাপক
