Marathi,Hindi
अवतल,अवतल
द्विउत्तल,उभयावतल
"एकाग्र करणे, घट्ट करणे, एकाग्र करणे (adj.), एकाग्र करणे (v.)","सांद्र करना, गाढ़आ करना, सान्द्र (सं.), संकेन्द्रित करना (क्रि.)"
"एकाग्र, एकाग्र, एकाग्र","सांद्रित, गाढ़आ, संकेन्द्रित"
"एकाग्रता, एकाग्रता, एकाग्रता, एकाग्रता","सांद्रण, गाढ़आपन, सांद्रता, संकेन्द्रण"
"एककेंद्री, केंद्रीत","एककेन्द्रीय, संकेन्द्री"
संकल्पना,संकल्पना
वैचारिक,संकल्पनात्मक
"जवळीक, संवाद","अनुस्तरता, संवादिता"
सुसंवाद,"सुसंगत, अनुस्तरी, सुस्वर"
"समवर्ती, अनुगामी","संगामी, अनुगामी"
"संक्षेपण, संक्षेपण","संघनन, द्रवण"
"घनीभूत करणे, द्रव करणे, द्रव करणे","संघनित करना, द्रवित होना, द्रवित करना"
"घनरूप, द्रवरूप, संक्षिप्त","संघनित, द्रवित, संहत"
"कंडेनसर, कॅपेसिटर, कलेक्टर","द्रवणित्र, संधारित्र, संग्राही"
"स्थिती, स्थिती, स्थिती, स्थिती","प्रतिबंध, शर्त, दशा, अवस्था, परिस्थिति"
वाहकता,चालकत्व
चालक,चालक
ड्रायव्हिंग,चालन
वाहकता,चालकता
निष्ठा,विश्वास्यता
"कॉन्फिगरेशन, कॉन्फिगरेशन","विन्यास, संरूपण"
कॉन्फिगरेशन,विन्यासी
confocal,संनाभि
"एकरूपता, द्विध्रुवीयता, समानता","सर्वांगसमता, द्विप्रचालरेखा-कुल, समशेषता"
"एकरूप, समान","सर्वांगसम, समशेष"
कोनिक,शांकव
"संयुग्मित करणे (v.), संयुग्मित होणे (ver.)","संयुग्मी (वि.), संयुग्मन होना (क्रि.)"
लॅटरल असोसिएटेड,पार्श्व संबद्ध
साखळी संबंधित,"माला संबद्ध, श्रेणी संबद्ध"
कनेक्टर लाइन,संबंधक लाइन
कनेक्शन,संबंधन
"प्रायोजक, कनेक्टर","अनुयोजक, संबंधक"
सलग,क्रमागत
संरक्षक,संरक्षी
संरक्षक,संरक्षी
"सुसंगतता, सुसंगतता, जाडी, जाडी","संगति, अवरोध, गाढ़आपन, गाढ़ता"
"सुसंगत, विरुद्ध","संगत, अविरोधी"
संवादात्मक,संवादिता
संवादात्मक,संवादी
स्थिरता,स्थिरता
"स्थिर, स्थिर, अचल, न बदलणारा, एकसमान","नियत, स्थिर, अचल, अपरिवर्ती, एकसमान"
कॉन्स्टंटन,कॉन्स्टैन्टन
सतत प्रवाह,सतत प्रवाह
covariate संख्या,अपेरणांक
सर्किटची वैशिष्ट्ये,परिपथ के अभिलाक्षणिक
नक्षत्र,तारा-मंडल
"रचना, रचना, रचना","रचना, संघटन, गठन"
प्रतिबंधित गती,व्यवरुद्ध गति
मर्यादा,व्यवरोध
अरुंद करणे,संकीर्णन
शाश्वत हस्तक्षेप,संपोषी व्यतिकरण
ऊर्जा वापरली,उपभुक्त ऊर्जा
"स्पर्श, स्पर्श, स्पर्श","संस्पर्श, संपर्क, स्पर्श"
"संपर्क, संपर्क","संस्पर्शित्र, संपर्कक"
दूषित होणे,संदूषण
"सामग्री, भाग, अर्धा","अंतर्वस्तु, अंश, आधेय"
"सातत्य, सातत्य","सातत्य, सातत्य"
राज्य सातत्य,अवस्था-सातत्य
"अखंड, अखंड, अखंड, अखंड, अखंड","संतत, अखंड, अविछिन्न, अविरत, सतत"
सातत्य,सातत्यक
"संकुचित करणे, संकुचित करणे (ver.)","संकुचित करना, संकुचित होना (क्रि.)"
संकुचित,संकुचित
आकुंचन,संकुचन
काउंटर-ऑर्बिटल दिशा,प्रतिकक्षीय दिशा
संबंधित शरीर,प्रतिसम्बन्धित पिंड
"कॉन्ट्रास्ट, कॉन्ट्रास्ट","विपर्यास, व्यतिरेक"
नियंत्रण,नियंत्रण
संवहन,संवहन
पोचवणारी पोस्ट,संवहन-पद
रक्तवहिन्यासंबंधीचा,संवहनी
नियमित अणु वजन,रूढ़ परमाणु भार
"अभिसरण करणे, अभिसरण करणे","अभिसरित करना, अभिसरित होना"
"अभिसरण, अभिसरण","अभिसरण, अभिसारिता"
अभिसरण लेन्स,अभिसरणकारी लेन्स
"विरुद्ध, विरुद्ध","विलोम, विपरीत"
VICA उलट,विलोमतः
रूपांतरण,रूपांतरण
रूपांतरित,रूपान्तरित
कनवर्टर,परिवर्तक
परिवर्तनीय लेन्स,परिवर्तनीय लेन्स
उत्तल,उत्तल
बहिर्वक्रता,उत्तलता
उत्तल,उत्तलावतल
द्विउत्तल,उभयोत्तल
शीतलक,शीतक
"थंडगार, थंडगार","शीतक यंत्र, शीतित्र"
कूलिज ट्यूब,कूलिज नलिका
थंड करणे,शीतन
शीतलक,शीतक
सहकारी घटना,सहकारी परिघटना
"समन्वय, समन्वय","निर्देशी, निर्देशांक"
दिग्दर्शक अक्ष,निर्देशक अक्ष
प्लॅनर,समतलीय
सपाटपणा,समतलीयता
"कॉपी, कॉपी, कॉपी","प्रतिलिपिकरण, प्रतिलिपि, प्रति"
कोर,क्रोड
कोर इलेक्ट्रॉन,क्रोडीय इलेक्ट्रॉन
कोरिओलिस प्रवेग,कोरिऑलिस त्वरण
कोरिओलिस बल,कोरिऑलिस बल
"किरीट, कोरोना","किरीट, कोरोना"
कोरोना ऑस्ट्रेलिया,कोरोना ऑस्ट्रेलिस
कोरोना बोरेलिस,कोरोना बोरिएलिस
सौर भडकणे,किरीटीय सौर ज्वाला
ग्रेन्युल,कणिका
दाणेदार,"कणिकामय, कणिका"
"बरोबर, बरोबर","संशुद्ध, सही"
सुधारित,संशोधित
"सुधारणा, सुधारणा","संशुद्धि, संशोधन"
सह - संबंध,सहसंबंध
"पत्रव्यवहार करणे, पत्रव्यवहार करणे","संगत होना, तदनरूपी होना"
असोसिएशनचे नियम,संगति-नियम
साथीदार,संगत
कोसाइन नियम,कोसाइन नियम
जागा विपुलता,अंतरिक्षी बाहुल्य
वैश्विक,ब्रह्मांडीय
अंतराळ किरण फुटला,अंतरिक्ष किरणी प्रस्फोट
"अंतराळ किरण, वैश्विक किरण","अंतरिक्ष किरण, कॉस्मिक किरण"
जागा पर्जन्य,अंतरिक्ष किरणवर्षण
जागा,अंतरिक्ष
वैश्विक,ब्रह्मांडिकीय
"कॉस्मॉलॉजी, कॉस्मॉलॉजी","ब्रह्मांडिकी, ब्रह्मांड-विज्ञान"
अंतराळवीर,अंतरिक्षयात्री
अंतराळविज्ञान,अंतरिक्षयानिकी
"कॉसमॉस, ब्रह्मांड","कॉसमस, ब्रह्मांड"
कूलॉम्ब,कूलॉम
कुलोमी क्षेत्र,कूलॉमी क्षेत्र
क्युलोमीटर,कूलॉमीटर
"मोजणे, मोजणे, मोजणे, मोजणे","गिनती, गणना, गणनांक, काउंट"
"मोजणी, उलट मोजणी","अवगणनांक, विलोम गणन"
"कॅल्क्युलेटर, काउंटर, पॅनेल","गणित्र, काउंटर, फलक"
घड्याळाच्या उलट दिशेने,वामावर्त
"रिव्हर्स करंट, काउंटर करंट","विपरीत धारा, प्रति प्रवाह"
विरोधी इलेक्ट्रोमोटिव्ह शक्ती,विरोधी विद्युतवाहक-बल
प्रतिनियुक्ती,प्रतियुक्ति
उलट धड,"प्रतितोल, धड़आ"
गणना दर,गणन-दर
"मोजणे, मोजणे-संख्या, मोजणे, मोजणे","गणनांक, गणन-संख्या, गिनती, गणना"
सक्तीची जोडी,बल-युग्म
जोडलेले,युग्मित
जोडणारा,युग्मक
जोडणी,युग्मन
"इच्छित दिशा, मार्ग, मार्ग","अभीष्ट दिशा, पथ, मार्ग"
सहसंयोजकता,सहसंयोजकता
सहसंयोजकता,सहसंयोजकता
सहकारी,सहसंयोजक
सहप्रसरण,सहप्रसरण
सहवर्ती,सहपरिवर्ती
"कव्हरेज क्षेत्र, प्रसारण क्षेत्र","व्याप्ति क्षेत्र, प्रसारण क्षेत्र"
कव्हर शीट,आवरण-पट्टिका
बडबड,चटचटाहट
प्रजनन दर,जनन दर
किंचित विकृती,"मंद विरूपण, विसर्पण"
शिखर,"शिखर, कलगी"
"निकष, निकष","कसौटी, निकष"
गंभीर,क्रांतिक
गंभीरता,क्रांतिकता
मकर क्लिप,मकर क्लिप
बदमाशांचे गडद साम्राज्य,क्रुक्स का अदीप्त प्रदेश
क्रॉस क्रॉस हायब्रिडायझेशन,"क्रॉस, संकर संकरण"
क्रॉस बँड संप्रेषण,"क्रॉस बैंड, परस्पर संचार"
असंबद्ध व्यक्तिचित्रण,अप्रासंगिक वर्ण व्यक्तिकरण
क्रॉस संबंध,क्रॉस संबंधन
ओलांडलेले क्षेत्र,क्रॉसित क्षेत्र
किमान विकृती लेन्स,अल्पतम विपथी लेन्स
क्रॉस उत्पादन,तिर्यक् उत्पाद
असंबद्ध सिग्नल,अप्रासंगिक सिग्नल
मजल्यांचे अतिक्रमण,तलों का अतिक्रमण
संक्रमण क्षेत्र,संक्रमण क्षेत्र
संक्रमण बिंदू,संक्रमण बिंदु
विनिमय मूल्य,विनिमय मान
वेक्टर-उत्पादन वेक्टर-उत्पादन,"वेक्टर-गुणनफल, सदिश गुणनफल"
"क्रॉस सेक्शन, क्रॉस सेक्शन","अनुप्रस्थ काट, अनुप्रस्थ परिच्छेद"
"एकाधिक संज्ञा, संकरित संज्ञा","गुणित पद, संकरपद"
क्रॉस वायर,क्रॉस तार
"क्राउन ऑप्टिकल ग्लास, क्राउन ऑप्टिकल ग्लास","क्राऊन चाक्षुष काँच, क्राऊन प्रकाशिक काँच"
थंड मिश्रण,शीतजन मिश्रण
कमी तापमान इलेक्ट्रॉनिक्स,निम्नताप इलेक्ट्रॉनिकी
हायपोथर्मिया,निम्नतापी
क्रायोजेनिक प्रयोगशाळा,निम्नतापिकी प्रयोगशाला
निम्रतापिकी,निम्रतापिकी
अतिशीत गेज,हिमांकमापी
क्रायोमेट्रिक स्थिरांक,हिमांकमितीय स्थिरांक
क्रिस्टल,क्रिस्टल
"स्फटिक, तंतुमय","क्रिस्टलीय, रवेदार"
"क्रिस्टलायझेशन, क्रिस्टलायझेशन, क्रिस्टलायझेशन","क्रिस्टलन, क्रिस्टलीकरण, क्रिस्टलीभवन"
क्रिस्टल शास्त्रज्ञ,"क्रिस्टल वैज्ञानिक, क्रिस्टल विज्ञानवेत्ता"
क्रिस्टल-स्ट्रक्चरल,क्रिस्टल-संरचनात्मक
क्रिस्टल रचना,क्रिस्टल संरचनात्मक
"क्रिस्टलोग्राफी, क्रिस्टल सायन्स","क्रिस्टलिकी, क्रिस्टल विज्ञान"
जाळी हस्तांतरण ऑपरेशन,जालक स्थानांतरण संक्रिया
क्रिस्टल धुसफूस,क्रिस्टल श्मश्रु
घन घन,"घन, क्यूब"
"घन, घन, घन, त्रिकोण, घन, त्रिकोण","घन, घनाकृति, घनीय, त्रिघात, घनीय, त्रिसमलंबाक्ष"
क्यूबिक क्लीवेज,घनीय विदलन
कक्षीय,कक्षिका
संचयी,संचयी
क्युरी स्थिरांक,क्यूरी नियतांक
क्युरी इफेक्ट,क्यूरी प्रभाव
"क्युरी पॉइंट, क्युरी टेम्परेचर, क्युरी डिमॅग्नेटायझेशन पॉइंट","क्यूरी बिन्दु, क्यूरी तापांक, क्यूरी विचुबकतांक"
क्युरी,क्यूरी
प्रवाह,धारा
प्रवाहाचा अल्पसंख्याक,धारा का अल्पांश
वितरण,विरतीकरण
वक्रता,वक्रता
वक्र वक्र रेषा,"वक्र, वक्र रेखा"
वक्र,वक्रित
वक्र बार,वक्र दंड
वक्र पृष्ठ,वक्र पृष्ठ
वाढ वक्र,वृद्धि-वक्र
वक्र,वक्ररेखी
"छिद्र शेवट, कटिंग","छेदक अंतक, छाड़न"
शेवटचा झोन,अंतक क्षेत्र
शेवटची वारंवारता,अंतक आवृत्ति
शेवटचा बिंदू,अंतकीय बिंदु
टर्मिनल बिंदू वेग,अंतकीय बिंदु वेग
टर्मिनल व्होल्टेज,अंतक वोल्टता
"कलाकार, कलाकार","कर्तित्र, कर्तक"
सायबरनेटिक्स,साइबरनेटिक्स
"सायकल, सायकल, सायकल","चक्र, आवर्तन, साइकिल"
सायकल प्रति सेकंद,साइकिल प्रति सेकंड
"चक्रीय, चक्रीय","चक्रीय, चक्रिक"
फिरकी,चक्रण
चक्रीय लोलक,चक्रजीय लोलक
सायक्लोट्रॉन,साइक्लोट्रॉन
सायक्लोट्रॉन वारंवारता,साइक्लोट्रॉन आवृत्ति
"सिलेंडर, सिलेंडर","बेलन, सिलिन्डर"
"दंडगोलाकार, सिलेंडर आकार, सिलेंडर, सिलेंडर","बलेनाकार, सिलिन्डराकार, बेलनी, सिलिन्डरी"
सिलेंडर हार्मोनिक,सिलिंडरी हार्मोनिक
ओलसर,अवमंदित
ओलसर साधे हार्मोनिक दोलन,अवमंदित सरल आवर्त दोलन
डम्पर,अवमंदक
डॅनियल सेल,डेन्यल सेल
गडद,अदीप्त
"दान केलेली संसाधने, अधीनस्थ संसाधने, ट्रस्ट संसाधने","दत्त संसाधन, उपात्त संसाधन, न्यास संसाधन"
"विघटन उत्पादक, दूध उत्पादित, पालक, संतती","विघटन उत्पादक, दुहिता उत्पादत, मूलज, संतति"
डेव्हिसन अधिक गरम प्रयोग,डैविसन गर्मर प्रयोग
D.C. (निर्देशक),डी. सी. (दिष्टधारा)
निष्क्रिय भाग,निष्क्रिय भाग
शांत जागा,मूक स्थल
डी ब्रॅगली तरंगलांबी,दे ब्राग्ली तरंग दैर्घ्य
Debye वैशिष्ट्यपूर्ण तापमान,डेबाई अभिलाक्षणिक ताप
"Debye लांबी, Debye अंतर","डेबाई दैर्घ्य, डेबाई दूरी"
कर्ज-विराम,डेबाई-विश्रांति काल
क्षय,क्षय
क्षय निर्देशांक,क्षयांक
सौम्य,मंदक
मंद होणे,मंदन
विराम वेळ,अभिविराम काल
डेसिबल,डेसिबेल
डेसिबेलोमीटर,डेसिबेलमापी
"दशांश, दशांश","दशमलव, दशमिक"
वर्गीकरण,विवर्गीकरण
"उलथापालथ, क्रांती, उपक्रम, घट","दिक्पात, क्रांति, उपक्रम, डिक्लिनेशन"
सममितीय वर्तुळ,समक्रांतिक वृत्त
डिकोडर,"कूटवाचक, विकोडक"
"विघटन, विघटन","अपघटन, वियोजन"
डीकंप्रेशन,विसंपीडन
निर्जंतुकीकरण,विसंदूषण
अलंकार,अलंकरण
संयुग्मन,वियुग्मन
कमी करणारे कार्य,ह्रासमान फलन
हवामान,अपक्षय
उल्लंघन,विप्रबलन
उपमजला,अधस्थ तल
खोल जागा,गहन अंतरिक्ष
व्युत्पत्ती,व्युत्तेजन
"दोष, त्रुटी, नुकसान, कमतरता","दोष, त्रुटि, क्षति, कमी"
चुकीचे,सदोष
प्रतिकारशक्ती,प्रतिरक्षा
मर्यादा दरवाजा,सीमक द्वारक
"व्याख्या, स्पष्टता","परिभाषा, स्पष्टता, निश्चय"
विचलित करणे,विक्षेपित करना
डिफ्लेक्टर,विक्षेपक
"विक्षेपण, विक्षेपण","विक्षेप, विक्षेपण"
विचलित फोकस,विक्षेपी विफोकसन
विक्षेपन-दुहेरी आरसा,विक्षेप-द्विगुणन दर्पण
विक्षेपण क्षेत्र,विक्षेपक क्षेत्र
गुरुत्वाकर्षण-प्रभावित विक्षेपण,गुरुत्व-प्रभावित विक्षेप
संक्षेप प्लेट्स,विक्षेप पट्टिकाएँ
लक्ष केंद्रित,विफ़ओकसन
विकृती,विरूप्यता
"विकृती, विकृती","विरूपण, विकृति"
विगासन,विगैसन
"धिक्कार, लबाडी","अपभ्रष्टता, अपह्रास"
"अपवित्र (ver.), degraded (n.), degraded (v.)","अपभ्रष्ट होना (क्रि.), अपभ्रष्ट (सं.), अपह्रासित (वि.)"
कचरा वायू,अपभ्रष्ट गैस
"विकृती, वाचा, वंचितता, वंचितता","अपभ्रंशन, अपह्रासन, व्यपजनन, विपोषण"
समाधानकारक,वितोषी
"पदवी, पदवी, परिमाण, पदवी, पदवी, प्रमाण, अंश","डिग्री, अंश, परिमाण, घात, कोटि, मात्रा, अंशांक"
एकाग्रता - मात्रा,सांद्रता-मात्रा
पृथक्करण प्रमाण,वियोजन-मात्रा
स्वातंत्र्याची डिग्री. स्वातंत्र्याची डिग्री,स्वतंत्रता की कोटि. स्वातंत्र्य कोटि
आयनीकरणाचे प्रमाण,आयनन की मात्रा
ध्रुवीकरणाचे परिमाण,ध्रुवण का परिमाण
अचूकतेचे प्रमाण,परिशुद्धता की मात्रा
आर्द्रीकरण,निरार्द्रीकरण
डीआयनीकरण,विआयनन
विलंब,विलम्ब
उशीर झालेला,विलम्बित
स्थानिकीकरण,अस्थानीकरण
डेल्टा फंक्शन,डेल्टा फलन
विचुंबकीकरण,विचुम्बकन
चुंबकीय वक्र,विचुम्बकित वक्र
डिमॅग्नेटायझर,विचुम्बकित्र
demodulation,विमॉडुलन
दाट गर्दी,सघन संकुलन
घनता मापक,सघनतामापी
"घनता, घनता","घनत्व, सघनता"
घसारा पातळी,ह्रासी स्तर
क्षीणता क्षेत्र,अवक्षय जोन
अध्रुवीकरण,विध्रुवण
depolarized,विध्रुवित
डिपोलायझर,विध्रुवक
"फील्डची खोली, फील्डची तीव्रता","क्षेत्र की गहराई, क्षेत्र की गंभीरता"
"व्युत्पन्न polarogram, व्युत्पन्न polarogram","व्युत्पन्न पोलेरोग्राम, व्युत्पन्न ध्रुवण लेख"
साधित,व्युत्पन्न
"उतरते, उतरते","अवरोही, अवरोहण"
"वंश, वंश","अवरोहांक, अवरोहण"
"वर्णन करा, तयार करा, काढा","वर्णन करना, निर्माण करना, खींचना"
भाजक,निरूपक
"रचना करणे, रचना करणे (n.) रचना करणे, रचना करणे (n.)","अभिकल्प, डिजाइन, अभिकल्पना (सं.), अभिकल्पना करना, डिजाइन करना (क्रि.)"
नाश,विनाश
विध्वंसक हस्तक्षेप,विनाशी व्यतिकरण
"विध्वंसक, विध्वंसक","भंजक, विनाशात्मक"
"ओळख, ओळख","पहचान, संसूचन"
कलेक्टर,संसंचक
निर्धारवाद,निर्धार्यता
निर्धारक,निर्धारक
निर्धार,निर्धारण
ठरवण्यासाठी,निर्धारित करना
ठरवले,निर्धारित
ड्यूटरॉन,डयूटरॉन
"व्यक्त करणे, विकसित करणे, विकसित करणे","व्यक्त करना, विकसित करना, विकासन"
"विकसक, विकसक","विकासक, डेवेलपर"
"विकास, विकास","परिवर्धन, विकास"
विचलन,विचलन
दव,ओस
दव बिंदू,ओसांक
दक्षिण ध्रुवीकरण,दक्षिण ध्रुवण-घूर्णक
निदान चाचणी,निदानार्थ परीक्षण
कर्ण,विकर्ण
आकृती,आरेख
आकृती,आरेख
डायल,डायल
डायमॅग्नेटिक,प्रतिचुंबकीय
"डायमॅग्नेटोलॉजी, डायमॅग्नेटिक सामग्री","प्रतिचुबकत्व विज्ञान, प्रतिचुंबकीय पदार्थ"
डायमॅग्नेटिझम,प्रतिचुंबकत्व
व्यासाचा,व्यास
diametrically विरुद्ध,व्यासतः सम्मुख
"हिरा, हिरा","हीरक, हीरा"
"डायाफ्राम, डायाफ्राम","तनुपट, डायाफ्राम मध्यपट"
उष्णता विनिमय,ऊष्मा-पार्य
उष्णता विनिमय,ऊष्मा-पार्य
"डायटोनिक स्वरग्राम, डायटोनिक स्वरग्राम","डायाटोनिक स्वरग्राम, द्विटोनी स्वरग्राम"
"विभाजन, अर्ध-कला","द्विभाजन, अर्धक कला"
डायक्रोमेट सेल,डाइक्रोमेट सेल
"द्विविभाजन, दृश्‍य द्वंद्व, पातळी द्वंद्व","द्विवर्णता, दृष्टि द्विवर्णता, स्तरीय द्विवर्णता, द्विरंजकता"
डिक्टाफोन,डिक्टाफोन
डायलेक्ट्रिक,परावैद्युत
डायलेक्ट्रिक्स,परावैद्युतिकी
डिझेल सायकल,डीजल-चक्र
अंतर,अंतर
"विभेदक वारंवारता, विचलन वारंवारता","अंतर आवृत्ति, व्यवकलन आवृत्ति"
"भिन्नता, भिन्नता, भिन्नता, भिन्नता, अंतराळ, भिन्नता","विभेदक, भेददर्शी, अन्तरात्मक, अवकल, अन्तराश्रयी, विभेदी"
विभेदक शोषण,विभेदी अवशोषण
डिस्टिंक्शन एम्पलीफायर,भेद प्रवर्धक
"penetrative calorimeter, penetrative calorimeter","भेददर्शी ऊष्मामापी, भेददर्शी कैलॉरीमीटर"
विभेदक कॅपेसिटर,विभेदी संधारित्र
विभेदक झोन,विभेदी परिक्षेत्र
विभेदक प्रसार,विभेदी विसरण
विभेदक समीकरण,अवकल समीकरण
विभेदक विलोपन गुणांक,अवकलन विलोपन गुणांक
इंटरमीटर आयनीकरण कक्ष,अंतरमापी आयनन कोष्ठ
विभेदक समस्थानिक पद्धत,विभेदी समस्थानिक विधि
विभेदक वेग,विभेदी वेग
वेगळे करणे,अवकलन करना
"भिन्न, भिन्नता","अवकलित, विभेदित"
"भिन्नता, भिन्नता","विभेदन, अवकलन"
विवर्तन,विवर्तन
डिफ्रॅक्टोमीटर,विवर्तनमापी
"पसरलेले, पसरलेले","विसरित, विसारित"
पसरलेले,विसरित
प्रसार,"विसरण, विसार"
प्रसार,विसरणशीलता
"अंक, व्यास, बोट","अंक, व्यास का द्वादशांश, अंगुलि"
डिजिटल रेकॉर्डिंग,अंकीय अभिलेखन
डिजिटल व्होल्टमीटर,अंकक वोल्टतामापी
द्वि-समस्थानिक घटक,द्वि-समस्थानिक तत्व
प्रसार,विस्फारण
विस्तार विकृती,विस्फार विकृति
एक्सोथर्मोमीटर,विस्फारमापी
विसफरिणी,विस्फरिणी
"विस्तार, लांबी-रुंदी, परिमाण, शक्ती","विस्तार, लंबाई-चौड़आई, विमा, घात"
मितीय,विमीय
आयाम,विमीयता
विमा युनिट,विमा-इकाई
आकारहीन परिमाण,विमाहीन अविम
"घसारा, घट","ह्रास, न्यूनीकरण"
तेजस्वी,दीप्तिमंदक
डायोड,डायोड
diopter,डाइऑप्टर
अपवर्तन क्षेत्र,अपवर्तन क्षेत्र
अपवर्तक लेन्स,अपवर्तनी लेन्स
"नतमस्तक, नतमस्तक, कुंड","नमन, नति, निमज्जन, गर्त"
पडण्याचा कोन,नति कोण
द्विध्रुव,द्विध्रुव
द्विध्रुवीय थर,द्विध्रुवी परत
डायरॅक डेल्टा फंक्शन,डिरैक डेल्टा फलन
"सरळ, सरळ, सरळ, थेट, विरुद्ध","सरल, सीधा, ऋजु, प्रत्यक्ष, समक्ष"
अनुलोम सहसंबंध,अनुलोम सहसंबंध
थेट वर्तमान,दिष्ट धारा
थेट,दिष्ट
"थेट फटका, सरळ फटका","सीधा समाघात, सीधी टक्कर"
"दिशा, दिशा","दिशा, दिक्"
दिशात्मक,"दिशात्मक, दिशिक"
जागा स्थिरता,दिक् स्थायित्व
"डिकोसाइन, डिको-कोसाइन","दिक्कोज्या, दिक-कोसाइन"
"दिशात्मक, दिशात्मक, दिशात्मक","दैशिक, दिशिक, दिशात्मक"
दिशादर्शकता,दिशिकता
सामान्य जाळी,सामान्य जालक
सरळ रेषा,सीधी लाइन
अनुक्रमिक गुणोत्तर,अनुक्रमानुपात
थेट पद्धत,प्रत्यक्ष विधि
दिशा,दिशक
थेट वाचन साधन,प्रत्यक्ष पाठी यंत्र
समोर दुर्बीण,समक्ष दूरदर्शक
"ऑब्जेक्ट, वर्तुळ, डिस्क, डिस्क","बिंब, मंडलक, डिस्क, चक्रिका"
"विसर्जन, प्रवाह, ब्लीचिंग","विसर्जन, आस्राव, विरंजन"
पाण्यात विसर्जन,सोपानी विसर्जन
"खंडितता, खंडितता, फ्रॅक्चर","असातत्य, असातत्य, भंग"
खंडित,असंतत
"संशोधन, शोध","शोध, खोज"
विसंगती,विसंगति
कण,विविक्त
"अवतल अँटेना, डिश अँटेना","अवतल ऐन्टेना, डिश ऐन्टेना"
"विघटन, दाणेदार","विघटन, कणीकरण"
विघटन स्थिर,विघटन-स्थिरांक
अपव्यय ऊर्जा,विघटन ऊर्जा
विघटन अर्ध-जीवन,विघटन अर्धायु
विघटन श्रेणी,विघटन श्रेणी
"अव्यवस्था, अव्यवस्था, अव्यवस्था, अव्यवस्था","स्थान-भ्रंश, विस्थापन, प्रभ्रंश, संधिच्युति"
"फॉल्ट लाइन, फॉल्ट कोर","प्रभ्रंश रेखा, प्रभ्रंश कोर"
फॉल्ट लूप,प्रभ्रंश पाश
"अव्यवस्था, अव्यवस्था, अव्यवस्था","अव्यवस्था, अक्रम, विकार"
गोंधळ,अव्यवस्थापन
"गोंधळ, गोंधळ","अपविन्यास, स्थितिभ्रान्ति"
"विखुरलेले, विखुरलेले","परिक्षेपित, परिक्षिप्त"
"फैलाव, विखुरणे","परिक्षेपण, प्रकीर्णन"
प्रक्षेपण,परिक्षेप्यता
dispersant,परिक्षेपी
चिंतनशीलता,परिक्षेपकता
विस्थापन,विस्थापन
प्रदर्शन,प्रदर्श
कन्सोल,कन्सोल
विघटन शक्ती,विदारी बल
असमान,"असमरूप, असमान"
क्षय गुणांक,क्षय गुणांक
संक्षारक,क्षयकारी
क्षय प्रणाली,क्षयी तंत्र
वेगळे करण्यायोग्य,"वियोजनी, वियोज्य"
वेगळे केले,वियोजित
स्वभाव,वियोजन
विसंगतता,असंवादिता
अंतर,दूरी
दूरवर,दूरस्थ
"वेगळे, वेगळे, वेगळे, अर्थपूर्ण","भिन्न, अलग, सुस्पष्ट, सुव्यक्त"
भेदभाव,विभेद
स्वतंत्र मालमत्ता,विविक्तकारी गुणधर्म
"वेगळे करणे, वेगळे करणे","विभेदन, भेद करना"
विकृत,विकृत
विकृती,"विकृति, विरूपण"
विकृत लवचिकता,विरूपण प्रत्यास्थता
वितरित अॅम्प्लीफायर,वितरित प्रवर्धक
"वितरण, वितरण","वितरण, बंटन"
"वितरण नियम, वितरण नियम","वितरण-नियम, बंटन-नियम"
अडथळा,विक्षोभ
"व्यथित, विस्कळीत समतोल","विक्षुब्ध, विक्षुब्ध साम्यावस्था"
त्रासदायक शक्ती,विक्षोभी बल
"आहनिक, दिवाचार, दिवा, दैनिक","आह्निक, दिवाचर, दिवा, दैनिक"
रोजचा वेग,दैनिक गति
द्विसंवेदी,द्विसंयोजक
"उधळणे, उधळणे","अपसारित करना, अपसारित होना"
"भिन्नता, विचलन, भिन्नता","अपसरण, अपसारिता, डाइवर्जेन्स"
वळवणारा,अपसारी
वळवणे,दिक्परिवर्तन
"विभागलेला, विभागलेला","विभाजित, विभक्त"
"विभागणी, विभागणी, विभागणी","भाग, प्रभाग, विभाजन"
आयनोस्फियरचा डी थर,आयन मंडल की D परत
"प्रदेश, प्रांत, प्रदेश, डोमेन","प्रक्षेत्र, प्रान्त, प्रदेश, डोमेन"
"घुमट, घुमट","डोम, गुम्बद"
प्रभावशाली स्थिती,प्रभावशाली पद
दाता पातळी,दाता स्तर
मदित तह,मादित संधि
"भेसळ, भेसळ","मादन, अपमिश्रण"
डॉपलर प्रभाव,डॉप्लर प्रभाव
"डोस, डोस","डोज़, मात्रा"
क्वांटोमीटर,मात्रामापी
"ठिपके, ठिपके","बिन्दुकित, छिटकी"
"दुहेरी, द्विगुणित, जोडी, दुहेरी, सामान्य, द्विभाजक","द्वि, द्विगुण, युग्म, द्विक, उभय, द्विधा"
दुहेरी बाँड,द्वि-आबंध
द्विकोनव्हेक्स लेन्स,उभयावतल लेन्स
द्विकोनव्हेक्स लेन्स,उभयोत्तल लेन्स
बायनरी भिन्नता,द्विश:अवकलन
दुहेरी आयनीकरण,द्वि आयनन
दुहेरी रेणू,द्वि-अणु
दुहेरी अचूकता,द्विक परिशुद्धता
दुहेरी अपवर्तन,द्विअपवर्तन
दुहेरी मालिका,द्विक श्रेणी
तारे जोडी,युग्म तारे
दुप्पट,द्विक
