Marathi,Tamil
दुहेरी सिग्मॉइड वक्र,இரட்டை சிக்மாய்டு வளைவு
1. झोडप 2. ताणणे,1. புயல் 2. நீட்சி
1. एक्झॉस्ट ड्रेन 2. सांडपाणी,1. வெளியேற்ற வடிகால் 2. கழிவுநீர்
ड्रेनेज,வடிகால்
कर्षण,இழுவை
1. औषध द्या 2. भिजवा,1. மருந்து கொடு 2. நனை
सौंदर्य प्रसाधने (बिया),அழகுசாதனப் பொருட்கள் (விதைகள்)
1. औगर 2. उथळ फॉल्ट 3. ड्रिल 4. औगर,1. ஆகர் 2. ஆழமற்ற தவறு 3. துளை 4. துருப்பு
1. भोक 2. ड्रिल 3. ड्रिल,1. துளை 2. துளை 3. துளை
1. ड्रिलिंग 2. ड्रिलसह पेरणी 3. ड्रिलसह ओतणे,1. துளையிடுதல் 2. துரப்பணம் மூலம் விதைத்தல் 3. துரப்பணம் மூலம் ஊற்றுதல்
ठिबक सिंचन,சொட்டு நீர் பாசனம்
कोरडी शेती,உலர் விவசாயம்
1.धूळ 2.बुकनी,1.தூசி 2.புக்னி
1. डस्टर 2. स्कॅटरर,1. டஸ்டர் 2. சிதறல்
शिंपडणे,தெளிக்க
1. बटू 2. वामन,1. குள்ளன் 2. வாமனன்
वामन पिरॅमिड,வாமன பிரமிட்
वामिनी भवन,வாமினி பவன்
पर्यावरणशास्त्र,சூழலியல்
अर्थमिति,பொருளாதார அளவியல்
आर्थिक कार्यक्षमता,பொருளாதார திறன்
परिस्थितीजन्य प्रकार,சூழ்நிலை வகை
अतिरिक्त-स्तरीकृत,கூடுதல் அடுக்கு
मऊ,மென்மையான
माती विज्ञान,மண் அறிவியல்
1. ब्रिजिंग 2. एजिंग 3. स्ट्रँड क्लोजर,1. பாலம் 2. விளிம்பு 3. இழை மூடல்
अन्न भाग,உணவு பகுதி
मागणीची लवचिकता,தேவை நெகிழ்ச்சி
उत्पादन लवचिकता,உற்பத்தி நெகிழ்ச்சி
इलेक्ट्रोलिसिस,மின்னாற்பகுப்பு
इलेक्ट्रोफोरेसीस,எலக்ட்ரோபோரேசிஸ்
बाष्पीभवन,ஆவியாதல்
1. शिरच्छेद करणारा 2. निर्जंतुक करणारा 3. शिरच्छेद करणारा 4. निर्जंतुक करणारा,1. சிரச்சேதம் 2. பிடிப்பவர் 3. தலை துண்டிப்பவர் 4. ஸ்டெரிலைசர்
1. विर बंदी 2. स्ट्रॉबंडी,1. வெயிர் பாண்டி 2. ஸ்ட்ராபாண்டி
गर्भ,கரு
1. भ्रूणशास्त्र 2. भौतिकशास्त्र,1. கருவியல் 2. இயற்பியல்
1. बाहेर पडा 2. बाहेर पडा,1. வெளியேறு 2. வெளியேறு
emulsifier,குழம்பாக்கி
अंतर्जात,உட்புறம்
आंतर-बिंदू विभागणी,உள்-புள்ளி பிரிவு
आंतर-परजीवी,உள் ஒட்டுண்ணி
एंडोस्पर्म,எண்டோஸ்பெர்ம்
उपक्रम,நிறுவன
कीटकशास्त्र,பூச்சியியல்
वातावरण,சூழல்
1. एन्झाइम 2. एन्झाइम,1. என்சைம் 2. என்சைம்
क्लस्टर ग्राफ्टिंग,கொத்து ஒட்டுதல்
1. एपिफाइट 2. एपिफाइट,1. எபிஃபைட் 2. எபிஃபைட்
इक्विटी,பங்கு
निर्मूलन,நீக்குதல்
आवश्यक पोषक,அத்தியாவசிய ஊட்டச்சத்துக்கள்
1. मापन 2. उडी 3. मूल्यांकन,1. அளவீடு 2. தாவி 3. மதிப்பீடு
चातुर्य,நேர்த்தியான
सुजननिक,சுஜன்னிக்
मूल्यमापन,மதிப்பீடு
स्टीम गेज,நீராவி மானி
बाष्पीभवन,ஆவியாதல்
शाश्वत क्रांती,நித்திய புரட்சி
1. सदाहरित 2. सदाहरित,1. evergreen 2. evergreen
विकास,வளர்ச்சி
कापला,துண்டிக்கப்பட்டது
परिक्षय (प्रजनन क्षमता),பரீக்ஷய் (கருவுறுதல்)
शोषण,சுரண்டல்
1. अन्वेषण 2. अन्वेषण,1. ஆய்வு 2. ஆய்வு
1. एक्सट्रूजन 2. उत्सर्जन,1. வெளியேற்றம் 2. உமிழ்வு
डोळा,கண்
1. घटक 2. घटक 3. घटक 4. संसाधन,1. காரணி 2. கூறு 3. காரணி 4. வளம்
घटक उत्पादकता,காரணி உற்பத்தித்திறன்
व्यापारी सवलत,வர்த்தகர் தள்ளுபடி
फॅक्टोरियल ब्लॉक डिझाइन,காரணி தொகுதி வடிவமைப்பு
पर्यायी,மாற்று
1. पट्टी 2. पालिहार,1. பட்டி 2. பலிஹார்
स्थूल,மொத்த
फील्ड मूल्यांकन,கள மதிப்பீடு
शेती बजेट,பண்ணை பட்ஜெட்
कृषी व्यवसाय,விவசாய வணிகம்
क्षेत्र नियोजन,கள திட்டமிடல்
1. शेतकरी 2. शेतकरी,1. விவசாயி 2. விவசாயி
1. शेती 2. शेती,1. விவசாயம் 2. விவசாயம்
टक्कर,மோதல்
एकाधिक प्रजनन,பல இனப்பெருக்கம்
किण्वन,நொதித்தல்
प्रजनन क्षमता,கருவுறுதல்
खत,உரம்
खत वापर कार्यक्षमता,உர பயன்பாடு திறன்
तंतुमय,நார்ச்சத்து
1. शेत 2. क्षेत्रफळ 3. ठिकाण,1. பண்ணை 2. பகுதி 3. இடம்
माती पाणी धारण,மண் நீர் பிடித்து
फील्ड प्रात्यक्षिक,கள ஆர்ப்பாட்டம்
1. स्थिरीकरण 2. फिक्सेशन 3. फिक्सेशन,1. அசையாமை 2. ஃபிக்சேஷன் 3. ஃபிக்சேஷன்
1. पूर 2. गर्भाधान,1. ஊடுருவல் 2. செறிவூட்டல்
प्रवाह चित्र,ஓட்ட வரைபடம்
अन्न मूल्य,உணவு மதிப்பு
चारा,தீவனம்
अंदाज,முன்னறிவிப்பு
वन,காடு
वनीकरण,காடு வளர்ப்பு
1. तडपर्न 2. फॉर्म,1. டாட்பார்ன் 2. படிவம்
दंव प्रतिरोधक,உறைபனி எதிர்ப்பு
1. पाला 2. अनिष्ट,1. பாலா 2. ப்ளைட்
1. गोठलेले 2. गोठलेले,1. உறைந்த 2. உறைந்த
कार्य,செயல்பாடு
1. फ्रुट फॉल 2. फ्रुट फॉल,1. பழம் வீழ்ச்சி 2. பழம் வீழ்ச்சி
फळ बनणे,பழங்கள் ஆக
1. फ्युमिगेशन 2. फ्युमिगेशन,1. புகைத்தல் 2. புகைத்தல்
बुरशीनाशक,பூஞ்சைக் கொல்லி
बुरशीविरोधी,பூஞ்சை எதிர்ப்பு
बुरशी,பூஞ்சை
1. खुद 2. सीता,1. குத் 2. சீதா
1. फ्यूजन 2. फ्यूजन,1. இணைவு 2. இணைவு
कापूस लोकर,பருத்தி கம்பளி
केसाळ,முடிகள் நிறைந்த
1. झाडाचा व्रण 2. पिटिका,1. மரப்புண் 2. பிடிகா
1. गेमेट्स 2. गेमेट्स,1. கேமட்கள் 2. கேமட்கள்
1. बाग 2. बाग,1. தோட்டம் 2. தோட்டம்
1. पानसाल 2. हायड्रोमीटर,1. பான்சால் 2. ஹைட்ரோமீட்டர்
जनुक संग्रह,மரபணு சேகரிப்பு
जीन टॅगन,ஜீன் டேகன்
वंशावळी,பரம்பரை
जनुक नकाशा,மரபணு வரைபடம்
अनुवांशिक,மரபியல்
1. जीनोम 2. सांगेन,1. ஜீனோம் 2. சங்கீன்
संजिनी कलेक्शन,சஞ்சினி சேகரிப்பு
जीनोमिक्स,மரபியல்
जीनोटाइप,மரபணு வகை
1. जीन स्ट्रक्चर 2. जीन प्रकार,1. மரபணு அமைப்பு 2. மரபணு வகை
लिनेज,பரம்பரை
1. वंश 2. वंश,1. பேரினம் 2. பரம்பரை
1. जंतू 2. जंतू,1. கிருமி 2. கிருமி
जंतूनाशक,கிருமி நாசினி
उगवण,முளைத்தல்
1. जर्मप्लाझम 2. जर्मप्लाझम,1. ஜெர்ம்பிளாசம் 2. ஜெர்ம்பிளாசம்
गिबेरेलिक ऍसिड,ஜிபெரெலிக் அமிலம்
गोळा करणे,பொறுக்கி
तुष,துஷ்
1. ग्लूटेन 2. खादाड,1. பசையம் 2. பெருந்தீனி
ग्लायकोलिसिस,கிளைகோலிசிஸ்
छान,நைஸ்
सुवर्ण क्रांती,பொன் புரட்சி
1. वर्गीकरण 2. वर्गीकरण 3. स्तरीकरण,1. வகைப்பாடு 2. வகைப்பாடு 3. அடுக்குப்படுத்தல்
1. कलमी वनस्पती 2. पेनम्ब्रल वनस्पती,1. ஒட்டு செடி 2. பெனும்பிரல் செடி
पेन विसंगत,பேனா சீரற்ற
ग्राना,கிரானா
दाणेदार,குருணையாக்கம்
हिरवे खत,பச்சை உரம்
हरित क्रांती,பசுமைப் புரட்சி
वाढ आणि विकास,வளர்ச்சி மற்றும் வளர்ச்சி
1. हिरड्या रोग,1. ஈறு நோய்
विषमलिंगी,வேற்றுபாலின
1. प्रकृति 2. निसर्ग 3. रूपगुण 4. रूप,1. பிரகிருதி 2. இயல்பு 3. ரூபகுணம் 4. தோற்றம்
1. ओला 2. कर्कपट 3. कर्का,1. ஓலா 2. கர்கபட் 3. கர்கா
रोमिलवॉच,ரோமில்வாட்ச்
खारट गळू,உப்பு நீர்க்கட்டி
हॅरो,ஹாரோ
1. कापणी निर्देशांक 2. कापणी निर्देशांक,1. அறுவடை குறியீடு 2. அறுவடை குறியீடு
1. कापणी 2. काढणी केलेले पीक 3. पूर्ण झालेले पीक 4. उत्पन्न,1. அறுவடை 2. அறுவடை செய்த பயிர் 3. முடிக்கப்பட்ட பயிர் 4. மகசூல்
1. तोडणे 2. कापणी करणे 3. तोडणे,1. பறித்தல் 2. அறுவடை 3. பறித்தல்
1. अंडी घालणे 2. अंडी फोर्स,1. முட்டை இடுதல் 2. முட்டை படை
सुकलेले गवत,உலர்ந்த புல்
कोरडे खाद्य,உலர் தீவனம்
गंजी,கஞ்சி
धुके,மூடுபனி
धुके,மங்கலான
1. बाली 2. सित्त 3. मुंडक 4. शीर्ष 5. डोके 6. सिरा,1. பாலி 2. சித்தா 3. முண்டக் 4. மேல் 5. தலை 6. சிரா
खोबणीचा शेवट,பள்ளத்தின் முடிவு
शीर्ष रोपांची छाटणी,மேல் கத்தரித்து
कुंपण,வேலி
ताब्यात,காவலில்
कुंडलिनी,குண்டலினி
हेमॅटाइट,ஹெமாடைட்
1. औषधी वनस्पती 2. औषधी वनस्पती,1. மூலிகை 2. மூலிகை
1.बॉटनिकल कलेक्शन 2.बॉटनिकल म्युझियम,1.தாவரவியல் சேகரிப்பு 2.தாவரவியல் அருங்காட்சியகம்
तणनाशक,களைக்கொல்லி
आनुवंशिकता,பரம்பரை
आनुवंशिकता,பரம்பரை
उभयलिंगी,இருபாலினம்
heterochromatic,ஹீட்டோரோக்ரோமடிக்
heterofertilization,பன்முக கருத்தரித்தல்
1. हायब्रिडोज 2. हेटेरोसिस,1. ஹைபிரிடோஸ் 2. ஹெட்டோரோசிஸ்
सेक्सक्रोमोसोम,செக்ஸ்க்ரோமோசோம்கள்
पालनपोषण,பராமரிக்கவில்லை
हेक्साडेसिमल,பதினாறுமாதம்
थंड सुप्तता,குளிர் உறக்கம்
उच्च घनता लागवड,அதிக அடர்த்தி நடவு
1. पिंडलक 2. टेकडी (भात),1. பிண்டலாக் 2. மலை (நெல்)
हिस्टोग्राम,ஹிஸ்டோகிராம்
उच्च तंत्रज्ञान फलोत्पादन,உயர் தொழில்நுட்ப தோட்டக்கலை
1. दही 2. पोळ्या,1.தயிர் 2. ஹைவ்
1. खुरपणी 2. खुरपणी,1. களையெடுத்தல் 2. களையெடுத்தல்
धारण,வைத்திருக்கும்
खाजगी शेत,தனியார் பண்ணை
होमिओस्टॅसिस,ஹோமியோஸ்டாஸிஸ்
जन्मभुमी,தாயகம்
एकजिनसीपणा,ஒருமைப்பாடு
1. एकसंध 2. एकसंध,1. ஒரே மாதிரியான 2. ஒரே மாதிரியான
सहानुभूती,அனுதாபம்
एकसंध,ஓரினச்சேர்க்கை
1. खुर्लिका 2. अन्न कंटेनर 3. हापर,1. குர்லிகா 2. உணவுப் பாத்திரம் 3. ஹாப்பர்
1. थर 2. क्षितिज,1. அடுக்கு 2. அடிவானம்
बागायती पिके,தோட்டக்கலை பயிர்கள்
1. फलोत्पादन 2. फलोत्पादन 3. फलोत्पादन 4. फलोत्पादन,1. தோட்டக்கலை 2. தோட்டக்கலை 3. தோட்டக்கலை 4. தோட்டக்கலை
