Odiya,Gujarati
1. ବିନ୍ୟାସ 2. ବିନ୍ୟାସ କରନ୍ତୁ,1. રૂપરેખાંકન 2. રૂપરેખા
1. ଅନୁକୂଳତା 2. ବିନ୍ୟାସ 3. ସମାନତା |,1. અનુરૂપતા 2. રૂપરેખાંકન 3. અનુરૂપતા
1. ଏକୀକରଣ 2. ହାଇବ୍ରିଡାଇଜେସନ୍ |,1. એકીકરણ 2. હાઇબ્રિડાઇઝેશન
ସଂଯୋଗ,જોડાણ
1. ଯୋଗୀ 2. ସଂଯୋଜକ |,1. એડિટિવ 2. કનેક્ટિવ
ସୁରକ୍ଷା,રક્ષણ
ଏକୀକରଣ,એકીકરણ
1. ଉପାଦାନ 2. ଉପାଦାନଗୁଡ଼ିକ |,1. ઘટક 2. ઘટકો
ଗ୍ରାହକ,ઉપભોક્તા
ବ୍ୟବହାର,વપરાશ
ପ୍ରଦୂଷଣ,દૂષણ
କଣ୍ଟୁର ରୋପଣ |,સમોચ્ચ વાવેતર
ବିଷୟବସ୍ତୁ ରେଖା |,સમોચ્ચ રેખા
1. ଚୁକ୍ତିନାମା ଚାଷ 2. ଚୁକ୍ତିନାମା ଚାଷ 3. ଚୁକ୍ତିନାମା ଚାଷ |,1. કોન્ટ્રાક્ટ ફાર્મિંગ 2. કોન્ટ્રાક્ટ ફાર્મિંગ 3. કોન્ટ્રાક્ટ ફાર્મિંગ
ନିୟନ୍ତ୍ରିତ ବାୟୁମଣ୍ଡଳ ସଂରକ୍ଷଣ |,નિયંત્રિત વાતાવરણીય સંગ્રહ
ସମବାୟ ବ୍ୟାଙ୍କ,સહકારી બેંક
ସମବାୟ ସମାଜର ସଦସ୍ୟ |,સહકારી મંડળીના સભ્ય
ଗୁଲମାଭାନ୍ |,ગુલમાવન
କ୍ୟୁବ୍,ક્યુબ્ડ
1. ଡାଲପୁଞ୍ଜ 2. କରୋଲା |,1. દાલપુંજ 2. કોરોલા
1. କର୍ଟେକ୍ସ 2. କର୍ଟେକ୍ସ,1. કોર્ટેક્સ 2. કોર્ટેક્સ
ମୂଲ୍ୟ,ખર્ચ
କୋଟିଲଡନ୍ |,કોટિલેડોન
କ୍ରେଡିଟ୍ କମିଟି,ક્રેડિટ કમિટી
1. ending ଣ 2. କ୍ରେଡିଟ୍,1. ધિરાણ 2. ક્રેડિટ
1. ender ଣଦାତା 2. କ୍ରେଡିଟର୍,1. શાહુકાર 2. લેણદાર
1. କ୍ରେଷ୍ଟ 2. ଭର୍ଟେକ୍ସ 3. ସ୍ପାୟର୍ |,1. ક્રેસ્ટ 2. શિરોબિંદુ 3. સ્પાયર
ପ୍ରତ୍ୟାହାର,પાછું ખેંચવું
ସମସ୍ୟା,સમસ્યા
ପରୀକ୍ଷା,પરીક્ષણ
ଗୁରୁତର,જટિલ
ଫସଲ ବୀମା |,પાક વીમો
ଫସଲ loan ଣ,પાક લોન
1. ଫସଲ 2. ଫସଲ,1. પાક 2. પાક
ଚାଷ କ୍ଷେତ୍ର,ખેતી વિસ્તાર
କ୍ରସ୍ ଅସଙ୍ଗତ |,ક્રોસ અસંગત
1. ମୁକୁଟ 2. ଶିଖର (ଉଦ୍ଭିଦ),1. તાજ 2. શિખર (છોડ)
ନରମ କଣିକା |,નરમ કણો
ଭୂତଳ,પોપડો
1. କ୍ରିପ୍ଟୋଗାମ 2. ଅଣ-ଫ୍ଲୋରିଫର୍ମ |,1. ક્રિપ્ટોગમ 2. નોન-ફ્લોરીફોર્મ
ଛେଦନ (ଫଳ),કાપણી (ફળ)
କଲମ,પેન
କୃଷି ପ୍ରକାର,કલ્ટીવાર વિવિધ
1. ଟ୍ରାକ୍ସନ୍ 2. କୃଷି 3. ଚାଷ,1. ટ્રેક્શન 2. ખેતી 3. ખેતી
1. କୃଷକ 2. କୃଷକ,1. ખેડૂત 2. ખેડૂત
1. ଚାଷ 2. ଚାଷ 3. ପାଳିବା |,1. ખેતી 2. ખેતી 3. ઉછેર
1. ଉତ୍ସ 2. ପ୍ରସ୍ତୁତି,1.સંસાધન 2.તૈયારી
1. କୁଣ୍ଟାଲାନ୍ 2. କୁଞ୍ଚନ୍ |,1.કુંતલન 2.કુંચોન
ସ୍ଥିତି,મુદ્રા
1. ଏପିଡର୍ମିସ୍ 2. କଟିକଲ୍ |,1. બાહ્ય ત્વચા 2. ક્યુટિકલ
1. କଲମ 2. କାଟିବା 3. କାଟିବା 4. କାଟିବା 5. କାଟିବା |,1. પેન 2. કટિંગ 3. કટીંગ 4. કટીંગ 5. કટીંગ
1. ପୋକ କର୍ପସ୍ 2. ସିଷ୍ଟ 3. ସିଷ୍ଟ 4. ବିକୃତ ଲମ୍ପ 5. ନିଓପ୍ଲାଜମ୍ |,1. કૃમિ કોર્પસ 2. ફોલ્લો 3. ફોલ્લો 4. વિકૃત ગઠ્ઠો 5. નિયોપ્લાઝમ
ସାଇଟୋକ୍ରୋମ୍ |,સાયટોક્રોમ
କକ୍ଷ ଯୋଡି,કોષ જોડાણ
କକ୍ଷ ପ୍ରଜନନ |,સેલ પ્રજનન
କୋଷ ଜେନେଟିକ୍ସ |,સેલ જીનેટિક્સ
ସାଇଟୋପ୍ଲାଜାମିକ୍ ବିଭାଜନ |,સાયટોપ્લાઝમિક વિભાજન
କୋଷ ଜୀବ ବିଜ୍ଞାନ |,સેલ બાયોલોજી
ସେଲ୍ ଲାଇସିସ୍ |,સેલ લિસિસ
1. ସାଇଟୋମେର୍ 2. ସେଲ୍ ସେଗମେଣ୍ଟେସନ୍ |,1. સાયટોમેર 2. કોષ વિભાજન
ସାଇଟୋପ୍ଲାଜମ୍ |,સાયટોપ્લાઝમ
1. ଦୁଗ୍ଧ 2. ଦୁଗ୍ଧ,1. ડેરી 2. ડેરી
ଦୁଗ୍ଧ ଶିଳ୍ପ,ડેરી ઉદ્યોગ
1. ବନ୍ଧ 2. ପ୍ରଜନକ,1. ડેમ 2. સંવર્ધક
ଦିନ ସଂପୂର୍ଣ୍ଣ ଉଦ୍ଭିଦ |,ડે એબ્સોલ્યુટ પ્લાન્ટ
ଫୁଲର ଦିନ ପରେ |,ફૂલો પછીનો દિવસ
ପୂର୍ଣ୍ଣ ଫୁଲର ଦିନ ପରେ |,સંપૂર્ણ ફૂલો પછીનો દિવસ
ଅପାରଗତା |,બિનકાર્યક્ષમતા
decalcification,decalcification
1. ସ୍ଥାନାନ୍ତର 2. ସ୍ଥାନାନ୍ତର,1. ડિસ્લોજ 2. ડિસ્લોજ
କ୍ଷୟ,સડો
ପତଳା,પાનખર
1. ଦଶମିକ 2. ଦଶମିକ,1. દશાંશ 2. દશાંશ
ତୁଚ୍ଛତା,હીનતા
ଅନୁରାନ୍ (ମୃତ୍ତିକା),અનુરાન (માટી)
ଭିପୁଷ୍ପନ୍ |,વિપુષ્પન
ବିଲିଂ,બિલિંગ
ଜଙ୍ଗଲ ନଷ୍ଟ,વનનાબૂદી
ଅପମାନ,અપમાન
ଅବନତି |,અધોગતિ
ପାର୍ଟ ଦିନ,ભાગ દિવસ
1. ପରିମାଣ 2. ଭାଗ,1. જથ્થો 2. ભાગ
ଅବହେଳା |,અવક્ષય
ହଳ ଅପସାରଣ |,કુશ્કી દૂર કરવી
ହଳ ଅପସାରଣ |,કુશ્કી દૂર કરવી
ଡିହାଇଡ୍ରେସନ୍,નિર્જલીકરણ
ଆନ୍ହାଇଡ୍ରସ୍,નિર્જળ
ଚାହିଦା,માંગ
1. ଅବନତି 2. ଗୁଣନ,1. વિકૃતિકરણ 2. ગુણાકાર
ନିନ୍ଦା,નિંદા
1. ଜମା (ମୃତ୍ତିକା) 2. ଜମା (ଅର୍ଥନୀତି),1. થાપણ (માટી) 2. થાપણ (અર્થશાસ્ત્ર)
ଜମା,જમા
1. ଅବନତି 2. ଅବନତି,1. અવમૂલ્યન 2. અવમૂલ્યન
ନିଷ୍କାସନ,ડિસેલિનેશન
1. ଜଳ ଶୁଖିବା 2. ଡିହାଇଡ୍ରେସନ୍ |,1. પાણી સુકાઈ જવું 2. નિર્જલીકરણ
1. ଡିଜାଇନ୍ 2. ଡିଜାଇନ୍,1. ડિઝાઇન 2. ડિઝાઇન
ଶୁଖୁଆ |,સુકા
କର୍ଣ୍ଣଲ ଅପସାରଣ,કર્નલ દૂર કરવું
ଡି-ଇଣ୍ଟରକାଲେସନ୍ |,ડી-ઇન્ટરકલેશન
ସଂଯୋଗ,જોડાણ
1. ପୁରୁଷ ମଞ୍ଜରୀ ନିଷ୍କାସନ (ମକା) 2. ବଲାର୍ ନିଷ୍କାସନ |,1. પુરુષ મંજરી નિષ્કર્ષણ (મકાઈ) 2. બલ્લાર નિષ્કર્ષણ
ବଲାର୍ କିମ୍ବା କୁନ୍ଦନ କାଟିବା |,બલ્લાર અથવા કુંદન કટીંગ
ନିର୍ଣ୍ଣୟକାରୀ,નિર્ધારક
ମୂଲ୍ୟ ହ୍ରାସ,અવમૂલ્યન
ଡି-ଶାକାହାରୀ |,ડી-વનસ્પતિ
ବ୍ୟତିକ୍ରମ,વિચલન
ଦୁଇଥର |,ડબલ
ନିରାକରଣ,નિદાન
ଭିନ୍ନ ପରିପକ୍ .ତା |,વિવિધ પરિપક્વતા
ବିଭାଜନ,વિભાજન
1. ଡିକୋଟିଲଡନ୍ 2. ଡିକୋଟିଲଡନ୍ (ବିହନ),1. ડાઇકોટાઇલ્ડન 2. ડિકોટાઇલ્ડન (બીજ)
ପିଠି ରୋଗ,પીઠનો રોગ
1. ବିଭାଜନ 2. ବିଭେଦ |,1. પ્રસરણ 2. પ્રસરણ
ହଜମ ଯୋଗ୍ୟତା |,પાચનક્ષમતા
ଡିହାଇବ୍ରିଡ୍ |,દ્વિસંકર
1. ଡ୍ୟାମ୍ 2. ଡ୍ରେନ୍ 3. ପରିବାର |,1. ડેમ 2. ડ્રેઇન 3. કુટુંબ
ଅଳ୍ପ,અલ્પ
1. ଏକମାତ୍ର 2. ଏକମାତ୍ର |,1. મોનોગેમસ 2. મોનોગેમસ
ଡିପ୍ଲଏଡ୍ |,ડિપ્લોઇડ
1. ଡିପ୍ଲଏଡ୍ 2. ଡିପ୍ଲଏଡ୍ |,1. ડિપ્લોઇડ 2. ડિપ્લોઇડ
ଡିପୋଲ୍,દ્વિધ્રુવ
1. ନିଷ୍କାସନ 2. ବୁଡ୍ ଅପସାରଣ |,1. નિષ્કર્ષણ 2. બડ દૂર કરવું
1. ହଳ ହଳ କରିବା 2. ଘୂର୍ଣ୍ଣନ |,1. હળ ખેડવું 2. કાંતવું
ରିହାତି,ડિસ્કાઉન્ટ
ନିରାକରଣ,જીવાણુ નાશકક્રિયા
1. ବିଚ୍ଛେଦ 2. ବିଛାଇବା |,1. વિખેરવું 2. છૂટાછવાયા
1. ବିଛାଇବା 2. ଭିନ୍ନତା |,1.સ્કેટરિંગ 2.વિવિધતા
ବିବିଧକରଣ,વૈવિધ્યકરણ
ବିବିଧ କୃଷି |,વૈવિધ્યસભર કૃષિ
dna step,ડીએનએ પગલું
DNA | ରସିଦ,ડીએનએ રીસીવર
ଡକ୍ ନିଯୁକ୍ତି |,ગોદી ભાડે
ପ୍ରଭାବଶାଳୀ |,અસરકારક
ଶୋଇବା,નિષ્ક્રિયતા
1. ପରିମାଣ 2. ଡୋଜ୍ 3. ଡୋଜ,1. જથ્થો 2. માત્રા 3. માત્રા
ଡବଲ୍ ସିଗମଏଡ୍ ବକ୍ର,ડબલ સિગ્મોઇડ વળાંક
1. ଗସ୍ତ 2. ବିସ୍ତାର,1. ગસ્ટ 2. સ્ટ્રેચ
1. ନିଷ୍କାସନ ଡ୍ରେନ୍ 2. ପ୍ରବାହିତ,1. એક્ઝોસ્ટ ડ્રેઇન 2. પ્રવાહ
ଜଳ ନିଷ୍କାସନ,ડ્રેનેજ
ଟ୍ରାକ୍ସନ୍,ટ્રેક્શન
1. medicine ଷଧ ଦିଅ,1. દવા આપો 2. ભીંજાવો
ପ୍ରସାଧନ ସାମଗ୍ରୀ (ମଞ୍ଜି),સૌંદર્ય પ્રસાધનો (બીજ)
1. ଆଗର୍ 2. ଅସ୍ଥାୟୀ ଦୋଷ 3. ଡ୍ରିଲ୍ 4. ଆଗର୍ |,1. ઓગર 2. છીછરા ફોલ્ટ 3. ડ્રીલ 4. ઓગર
1. ଛିଦ୍ର 2. ଡ୍ରିଲ୍ 3. ଡ୍ରିଲ୍ |,1. છિદ્ર 2. કવાયત 3. કવાયત
1. ଡ୍ରିଲିଂ 2. ଡ୍ରିଲ ସହିତ ବୁଣିବା 3. ଡ୍ରିଲ ସହିତ ing ାଳିବା |,1. ડ્રિલિંગ 2. ડ્રિલ વડે વાવણી 3. ડ્રિલ વડે રેડવું
ଡ୍ରପ୍ ଜଳସେଚନ,ટપક સિંચાઈ
ଶୁଖିଲା ଚାଷ,સૂકી ખેતી
1. ଧୂଳି 2. ବୁକନି |,1.ધૂળ 2.બુકની
1. ଧୂଳି 2. ଛିନ୍ନଛତ୍ରକାରୀ |,1. ડસ્ટર 2. સ્કેટરર
ଛିଞ୍ଚିବା ପାଇଁ |,છંટકાવ કરવા માટે
1. ବଧୂ 2. ଭାମନା |,1. વામન 2. વામન
ଭାମନା ପିରାମିଡ୍ |,વામન પિરામિડ
ଭାମିନୀ ଭବନ,વામિની ભવન
ପରିବେଶ,ઇકોલોજી
ଅର୍ଥନୀତି,અર્થશાસ્ત્ર
ଅର୍ଥନ efficiency ତିକ ଦକ୍ଷତା |,આર્થિક કાર્યક્ષમતા
ପରିସ୍ଥିତି ପ୍ରକାର |,પરિસ્થિતિગત પ્રકાર
ଅତିରିକ୍ତ ସ୍ତରୀୟ |,વધારાનું સ્તરીકરણ
ନରମ,નરમ
ମୃତ୍ତିକା ବିଜ୍ଞାନ |,માટી વિજ્ઞાન
1. ବ୍ରିଜ୍ 2. ଏଡିଙ୍ଗ୍ 3. ଷ୍ଟ୍ରାଣ୍ଡ୍ ବନ୍ଦ |,1. બ્રિજિંગ 2. એજિંગ 3. સ્ટ્રાન્ડ ક્લોઝર
ଖାଦ୍ୟ ଅଂଶ,ખોરાકનો ભાગ
ଚାହିଦା,માંગની સ્થિતિસ્થાપકતા
ଉତ୍ପାଦନ ଇଲାସ୍ଟିସିଟି |,ઉત્પાદન સ્થિતિસ્થાપકતા
ଇଲେକ୍ଟ୍ରୋଲାଇସିସ୍,વિદ્યુત વિચ્છેદન-વિશ્લેષણ
ଇଲେକ୍ଟ୍ରୋଫୋରେସିସ୍ |,ઇલેક્ટ્રોફોરેસિસ
ବାଷ୍ପୀକରଣ,બાષ્પીભવન
1. ଡିକାପିଟେଟର୍ 2. ଷ୍ଟେରିଲାଇଜର୍ 3. ଡେକାପିଟେଟର୍ 4. ଷ୍ଟେରିଲାଇଜର |,1. શિરચ્છેદ કરનાર 2. જંતુમુક્ત કરનાર 3. શિરચ્છેદ કરનાર 4. જંતુમુક્ત કરનાર
1. ୱେର୍ ବାଣ୍ଡି 2. ଷ୍ଟ୍ରବାବାଣ୍ଡି |,1. વિયર બંડી 2. સ્ટ્રોબંદી
ଭ୍ରୁଣ,ગર્ભ
1. ଭ୍ରୁଣ ବିଜ୍ଞାନ 2. ପଦାର୍ଥ ବିଜ୍ଞାନ |,1. ગર્ભવિજ્ઞાન 2. ભૌતિકશાસ્ત્ર
1. ପ୍ରସ୍ଥାନ 2. ପ୍ରସ୍ଥାନ,1. બહાર નીકળો 2. બહાર નીકળો
ଏମୁଲେସିଫାୟର୍ |,ઇમલ્સિફાયર
ଏଣ୍ଡୋଜେନସ୍ |,અંતર્જાત
ଆନ୍ତ a- ବିନ୍ଦୁ ବିଭାଜନ |,આંતર-બિંદુ વિભાગ
ଆନ୍ତ a- ପରଜୀବୀ |,આંતર-પરજીવી
ଏଣ୍ଡୋସ୍ପର୍ମ |,એન્ડોસ્પર્મ
ଉଦ୍ୟୋଗ,એન્ટરપ્રાઇઝ
ଏଣ୍ଟୋମୋଲୋଜି |,કીટશાસ્ત્ર
ପରିବେଶ,પર્યાવરણ
1. ଏନଜାଇମ୍ 2. ଏନଜାଇମ୍ |,1. એન્ઝાઇમ 2. એન્ઝાઇમ
କ୍ଲଷ୍ଟର ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ |,ક્લસ્ટર કલમ બનાવવી
1. ଏପିଫାଇଟ୍ 2. ଏପିଫାଇଟ୍ |,1. એપિફાઇટ 2. એપિફાઇટ
ଇକ୍ୱିଟି,ઇક્વિટી
ବିଲୋପ,નાબૂદી
ଜରୁରୀ ପୋଷକ ତତ୍ତ୍ୱ |,આવશ્યક પોષક તત્વો
1. ମାପ 2. ଡେଇଁବା 3. ମୂଲ୍ୟାଙ୍କନ |,1. માપન 2. જમ્પ 3. આકારણી
ସୁନ୍ଦରତା,સુંદરતા
ସୁଜନିକ୍ |,સુજનનિક
ମୂଲ୍ୟାଙ୍କନ,મૂલ્યાંકન
ବାଷ୍ପ ଗେଜ୍ |,વરાળ માપક
ବାଷ୍ପୀକରଣ,બાષ્પીભવન
ଅନନ୍ତ ବିପ୍ଳବ |,શાશ્વત ક્રાંતિ
1. ଚିର ସବୁଜ 2. ଚିର ସବୁଜ |,1. સદાબહાર 2. સદાબહાર
ବିକାଶ,વિકાસ
ବିଛିନ୍ନ ହେବା,કાપી નાખવું
ପାରିକଶାୟ (ଉର୍ବରତା),પરિક્ષય (ફર્ટિલિટી)
ଶୋଷଣ,શોષણ
1. ଅନୁସନ୍ଧାନ 2. ଅନୁସନ୍ଧାନ,1. અન્વેષણ 2. અન્વેષણ
1. ନିର୍ବାହ 2. ନିର୍ଗମନ,1. ઉત્સર્જન 2. ઉત્સર્જન
ଆଖି,આંખ
1. କାରକ 2. ଉପାଦାନ 3. କାରକ 4. ଉତ୍ସ |,1. પરિબળ 2. ઘટક 3. પરિબળ 4. સંસાધન
କାରକ ଉତ୍ପାଦକତା |,પરિબળ ઉત્પાદકતા
ବ୍ୟବସାୟୀଙ୍କ ରିହାତି,વેપારીનું ડિસ્કાઉન્ટ
ଫ୍ୟାକ୍ଟୋରିଆଲ୍ ବ୍ଲକ୍ ଡିଜାଇନ୍ |,ફેક્ટોરિયલ બ્લોક ડિઝાઇન
ବିକଳ୍ପ,વૈકલ્પિક
1. ପାଟି 2. ପାଲିହାର |,1. પટ્ટી 2. પાલિહાર
ମୋଟ,સ્થૂળ
କ୍ଷେତ୍ର ମୂଲ୍ୟାଙ୍କନ |,ક્ષેત્ર મૂલ્યાંકન
ଚାଷ ବଜେଟ୍,ફાર્મ બજેટિંગ
କୃଷି ବ୍ୟବସାୟ,કૃષિ વ્યવસાય
କ୍ଷେତ୍ର ଯୋଜନା,ક્ષેત્ર આયોજન
1. କୃଷକ 2. କୃଷକ,1. ખેડૂત 2. ખેડૂત
1. କୃଷି 2. ଚାଷ,1. ખેતી 2. ખેતી
ଧକ୍କା |,અથડામણ
ଏକାଧିକ ପ୍ରଜନନ |,બહુવિધ સંવર્ધન
fermentation,આથો
ଉର୍ବରତା |,ફળદ્રુપતા
ସାର,ખાતર
ସାର ବ୍ୟବହାର ଦକ୍ଷତା |,ખાતર ઉપયોગ કાર્યક્ષમતા
ଫାଇବ୍ରସ୍ |,તંતુમય
1. ଚାଷ 2. କ୍ଷେତ୍ର 3. ସ୍ଥାନ,1. ફાર્મ 2. વિસ્તાર 3. સ્થાન
ମୃତ୍ତିକା ଜଳ ଧାରଣ,માટી પાણી હોલ્ડિંગ
କ୍ଷେତ୍ର ପ୍ରଦର୍ଶନ,ક્ષેત્ર પ્રદર્શન
1. ଅସ୍ଥିରତା 2. ସ୍ଥିରତା 3. ସ୍ଥିରତା |,1. સ્થિરીકરણ 2. ફિક્સેશન 3. ફિક્સેશન
1. ଅବନତି 2. ଗର୍ଭଧାରଣ,1. પાણી ભરવું 2. ગર્ભાધાન
ପ୍ରବାହ ଚିତ୍ର,પ્રવાહ રેખાકૃતિ
ଖାଦ୍ୟ ମୂଲ୍ୟ,ખોરાક મૂલ્ય
ଖାଇବାକୁ |,ચારો
ପୂର୍ବାନୁମାନ,આગાહી
ଜଙ୍ଗଲ,વન
ବୃକ୍ଷରୋପଣ,વનીકરણ
1. ତାଡପର୍ନ୍ 2. ଫର୍ମ |,1. તડપાર્ન 2. ફોર્મ
ବରଫ ପ୍ରତିରୋଧକ |,હિમ પ્રતિરોધક
1. ପାଲା 2. ବ୍ଲାଇଟ୍ |,1. પાલા 2. બ્લાઈટ
1. ଫ୍ରିଜ୍,1. સ્થિર 2. સ્થિર
କାର୍ଯ୍ୟ,કાર્ય
1. ଫଳ ପତନ 2. ଫଳ ପତନ |,1. ફ્રુટ ફોલ 2. ફ્રુટ ફોલ
ଫଳ ପାଅ |,ફળ બની જાય છે
1. ଧୂମପାନ,1. ધૂણી 2. ધૂણી
ଫଙ୍ଗିସାଇଡ୍ |,ફૂગનાશક
ଆଣ୍ଟିଫଙ୍ଗାଲ୍ |,ફૂગપ્રતિરોધી
କବକ,ફૂગ
1. ଖୁଦ୍ 2. ସୀତା |,1. ખુદ 2. સીતા
1. ଫ୍ୟୁଜନ୍ 2. ଫ୍ୟୁଜନ୍ |,1. ફ્યુઝન 2. ફ્યુઝન
ସୂତା ଲୋମ,કપાસ ઉન
ଲୋମଶାଳୀ |,રુવાંટીવાળું
1. ବୃକ୍ଷ ଅଲସର 2. ପିଟିକା |,1. ઝાડનું અલ્સર 2. પિટિકા
1. ଗ୍ୟାମେଟସ୍,1. ગેમેટ્સ 2. ગેમેટ્સ
1. ଉଦ୍ୟାନ 2. ଉଦ୍ୟାନ,1. બગીચો 2. બગીચો
1. ପାନ୍ସଲ୍ 2. ହାଇଡ୍ରୋମିଟର |,1. પંસલ 2. હાઇડ્રોમીટર
ଜିନ୍ ସଂଗ୍ରହ,જનીન સંગ્રહ
ଜିନ୍ ଟ୍ୟାଗନ୍ |,જીન ટેગોન
ବଂଶାନୁକ୍ରମିକ,વંશાવળી
ଜିନ୍ ମାନଚିତ୍ର,જનીન નકશો
ଜେନେଟିକ୍ସ,જીનેટિક્સ
1. ଜେନୋମ୍ 2. ସାଙ୍ଗେନ |,1. જીનોમ 2. સંગેન
ସଞ୍ଜିନୀ ସଂଗ୍ରହ |,સંજીની કલેક્શન
ଜେନୋମିକ୍ସ,જીનોમિક્સ
ଜେନୋଟାଇପ୍,જીનોટાઇપ
1. ଜିନ୍ ଗଠନ 2. ଜିନ୍ ପ୍ରକାର |,1. જનીન માળખું 2. જનીન પ્રકાર
ଲିନେଜ୍ |,લિનેજ
ବଂଶ 2. ବଂଶ,1. જીનસ 2. વંશ
1. ଜର୍ମ 2. ଜର୍ମ,1. જીવાણુ 2. જીવાણુ
ଜୀବାଣୁ,જીવાણુનાશક
ଅଙ୍କୁର,અંકુરણ
1. ଜର୍ମପ୍ଲାସ୍ 2. ଜର୍ମପ୍ଲାସ୍ |,1. જર્મપ્લાઝમ 2. જર્મપ્લાઝમ
ଗିବରେଲିକ୍ ଏସିଡ୍ |,ગીબેરેલિક એસિડ
ସଂଗ୍ରହ,ઉગાડવું
ତୁଷ,ટશ
1. ଗ୍ଲୁଟେନ୍ 2. ଗ୍ଲୁଟନ୍ |,1. ગ્લુટેન 2. ખાઉધરાપણું
ଗ୍ଲାଇକୋଲିସିସ୍,ગ્લાયકોલિસિસ
ଭଲ,સરસ
ସୁବର୍ଣ୍ଣ ବିପ୍ଳବ |,સુવર્ણ ક્રાંતિ
1. ବର୍ଗୀକରଣ 2. ବର୍ଗୀକରଣ 3. ସ୍ତରକରଣ,1. વર્ગીકરણ 2. વર્ગીકરણ 3. સ્તરીકરણ
1. ଗ୍ରାଫ୍ଟେଡ୍ ପ୍ଲାଣ୍ଟ 2. ପେନୁମ୍ବ୍ରାଲ୍ ପ୍ଲାଣ୍ଟ |,1. કલમી છોડ 2. પેનમ્બ્રલ પ્લાન્ટ
କଲମ ଅସଙ୍ଗତ |,પેન અસંગત
ଗ୍ରାନା,ગ્રેના
ଗ୍ରାନ୍ୟୁଲେସନ୍,દાણાદાર
ସବୁଜ ଖତ,લીલું ખાતર
ସବୁଜ ବିପ୍ଳବ |,હરિયાળી ક્રાંતિ
ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶ,વૃદ્ધિ અને વિકાસ
1. ଗୁଣ୍ଡ ରୋଗ,1. ગમ રોગ
ହେଟେରୋଜକ୍ସୁଆଲ୍ |,વિષમલિંગી
1. ପ୍ରକୃତି 2. ପ୍ରକୃତି 3. ରୂପଗୁନା 4. ଦୃଶ୍ୟ |,1. પ્રકૃતિ 2. પ્રકૃતિ 3. રૂપગુણ 4. દેખાવ
1. ଓଲା 2. କରକାପତ୍ 3. କର୍କା |,1. ઓલા 2. કરકપાટ 3. કાર્કા
ରୋମିଲୱାଚ୍ |,રોમિલવોચ
ସାଲାଇନ୍ ସିଷ୍ଟ୍ |,ખારા ફોલ્લો
harrow,હેરો
1. ଅମଳ ସୂଚକାଙ୍କ 2. ଅମଳ ସୂଚକାଙ୍କ |,1. હાર્વેસ્ટિંગ ઈન્ડેક્સ 2. હાર્વેસ્ટિંગ ઈન્ડેક્સ
1. ଅମଳ 2. ଅମଳ ହୋଇଥିବା ଫସଲ 3. ସମାପ୍ତ ଫସଲ 4. ଅମଳ |,1. લણણી 2. લણણી કરેલ પાક 3. સમાપ્ત પાક 4. ઉપજ
1. କାଟିବା 2. ଅମଳ 3. ଅମଳ କରିବା |,1. તોડવું 2. લણણી 3. તોડવું
1. ଅଣ୍ଡା ଦେବା 2. ଅଣ୍ଡା ବଳ |,1. એગ લેઇંગ 2. એગ ફોર્સ
ଶୁଖିଲା ଘାସ |,સૂકું ઘાસ
ଶୁଖିଲା ଫିଡ୍ |,શુષ્ક ફીડ
ganji,ગંજી
କୁହୁଡି,ઝાકળ
ଦୁର୍ବଳ,ધૂંધળું
1. ବାଲି 2. ସୀତା 3. ମୁଣ୍ଡକ 4. ଶୀର୍ଷ 5. ମୁଣ୍ଡ 6. ସିରା |,1. બાલી 2. સિત્ત 3. મુંડક 4. ટોપ 5. હેડ 6. સિરા
ଗଭୀରର ଶେଷ,ખાંચનો અંત
ଉପର ଛେଦନ,ટોચ કાપણી
ବାଡ଼,વાડ
ହେପାଜତ,કસ્ટડીમાં
କୁଣ୍ଡାଲିନି |,કુંડલિની
ହେମାଟାଇଟ୍ |,હેમેટાઇટ
1. b ଷଧ 2. b ଷଧ |,1. ઔષધિ 2. ઔષધિ
1. ବଟାନିକାଲ୍ କଲେକ୍ସନ୍ 2. ବଟାନିକାଲ୍ ସଂଗ୍ରହାଳୟ |,1.બોટનિકલ કલેક્શન 2.બોટનિકલ મ્યુઝિયમ
b ଷଧୀୟ,હર્બિસાઇડ
ବଂଶାନୁକ୍ରମିକ,આનુવંશિકતા
ବଂଶାନୁକ୍ରମିକ,આનુવંશિકતા
ସମଲିଙ୍ଗୀ,ઉભયલિંગી
ହେଟେରୋକ୍ରୋମାଟିକ୍ |,હેટરોક્રોમેટિક
ହେଟେରୋଫର୍ଟିଲାଇଜେସନ୍ |,હેટરોફર્ટિલાઇઝેશન
1. ହାଇବ୍ରିଡୋଜ 2. ହେଟେରୋସିସ୍ |,1. હાઇબ્રિડોઝ 2. હેટેરોસિસ
ସେକ୍ସକ୍ରୋମୋଜୋମ୍ |,લૈંગિક રંગસૂત્રો
ପୋଷଣ,ઉછેર
ଷୋଡେସିମାଲ୍ |,હેક્સાડેસિમલ
ଶୀତଳତା,ઠંડી નિષ્ક્રિયતા
ଉଚ୍ଚ ସାନ୍ଦ୍ରତା ବୃକ୍ଷ ରୋପଣ |,ઉચ્ચ ઘનતા વાવેતર
1. ପିଣ୍ଡଲକ୍ 2. ପାହାଡ (ଧାନ),1. પિંડલક 2. ટેકરી (ડાંગર)
