Malayalam,Gujarati
വിഗാസൺ,વિગાસન
"ധിക്കാരം, ധിക്കാരം","વ્યભિચાર, બદનામી"
"അശുദ്ധമാക്കുക (ver.), തരംതാഴ്ത്തുക (n.), തരംതാഴ്ത്തപ്പെടുക (v.)","અપવિત્ર થવું (વર.), અધોગતિ (n.), અધોગતિ (v.)"
മാലിന്യ വാതകം,કચરો ગેસ
"വ്യതിചലനം, അഫാസിയ, ഇല്ലായ്മ, ഇല്ലായ്മ","વિચલન, અફસીયા, વંચિતતા, વંચિતતા"
സന്തോഷിപ്പിക്കുന്നത്,સંતોષકારક
"ബിരുദം, ബിരുദം, മാഗ്നിറ്റ്യൂഡ്, ഡിഗ്രി, ഡിഗ്രി, അളവ്, ന്യൂമറേറ്റർ","ડિગ્રી, ડિગ્રી, તીવ્રતા, ડિગ્રી, ડિગ્રી, જથ્થો, અંશ"
ഏകാഗ്രത-വോളിയം,એકાગ્રતા-વોલ્યુમ
ഡിസോസിയേഷൻ അളവ്,વિયોજન જથ્થો
സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം. സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം,સ્વતંત્રતાની ડિગ્રી. સ્વતંત્રતાની ડિગ્રી
അയോണൈസേഷന്റെ അളവ്,આયનીકરણની માત્રા
ധ്രുവീകരണത്തിന്റെ വ്യാപ്തി,ધ્રુવીકરણની તીવ્રતા
കൃത്യതയുടെ അളവ്,ચોકસાઇ જથ્થો
dehumidification,ડિહ્યુમિડિફિકેશન
ഡീയോണൈസേഷൻ,ડીયોનાઇઝેશન
കാലതാമസം,વિલંબ
വൈകി,વિલંબિત
പ്രാദേശികവൽക്കരണം,સ્થાનિકીકરણ
ഡെൽറ്റ പ്രവർത്തനം,ડેલ્ટા કાર્ય
demagnetization,ડિમેગ્નેટાઇઝેશન
demagnetized curve,ડિમેગ્નેટાઇઝ્ડ વળાંક
demagnetizer,ડિમેગ્નેટાઇઝર
demodulation,ડિમોડ્યુલેશન
ഇടതൂർന്ന തിരക്ക്,ગાઢ ભીડ
സാന്ദ്രത ഗേജ്,ઘનતા માપક
"സാന്ദ്രത, സാന്ദ്രത","ઘનતા, ઘનતા"
മൂല്യത്തകർച്ച നില,અવમૂલ્યન સ્તર
ശോഷണ മേഖല,અવક્ષય ઝોન
ഡിപോളറൈസേഷൻ,વિધ્રુવીકરણ
ഡിപോളറൈസ്ഡ്,વિધ્રુવીકરણ
ഡിപോളറൈസർ,ડિપોલરાઇઝર
"ഫീൽഡിന്റെ ആഴം, ഫീൽഡിന്റെ തീവ്രത","ક્ષેત્રની ઊંડાઈ, ક્ષેત્રની તીવ્રતા"
"ഉരുത്തിരിഞ്ഞ പോളറോഗ്രാം, ഉരുത്തിരിഞ്ഞ ധ്രുവഗ്രാം","વ્યુત્પન્ન પોલેરોગ્રામ, વ્યુત્પન્ન પોલેરોગ્રામ"
ഉരുത്തിരിഞ്ഞത്,તારવેલી
"ഇറക്കം, ഇറക്കം","ઉતરતા, ઉતરતા"
"ഇറക്കം, ഇറക്കം","વંશ, વંશ"
"വിവരിക്കുക, നിർമ്മിക്കുക, വരയ്ക്കുക","વર્ણન કરો, બનાવો, દોરો"
ഡിനോമിനേറ്റർ,છેદ
"രൂപകൽപ്പന ചെയ്യാൻ, രൂപകൽപ്പന ചെയ്യാൻ (n.) രൂപകൽപ്പന ചെയ്യാൻ, രൂപകൽപ്പന ചെയ്യാൻ (n.)","ડિઝાઇન કરવી, ડિઝાઇન કરવી (n.) ડિઝાઇન કરવી, ડિઝાઇન કરવી (n.)"
നാശം,વિનાશ
വിനാശകരമായ ഇടപെടൽ,વિનાશક હસ્તક્ષેપ
"വിനാശകരമായ, വിനാശകരമായ","વિનાશક, વિનાશક"
"തിരിച്ചറിയൽ, കണ്ടെത്തൽ","ઓળખ, શોધ"
കളക്ടർ,કલેક્ટર
നിർണായകവാദം,નિશ્ચયવાદ
നിർണ്ണയിക്കുന്നയാൾ,નિર્ધારક
ദൃഢനിശ്ചയം,નિશ્ચય
നിർണ്ണയിക്കാൻ,નક્કી કરવા માટે
നിശ്ചയിച്ചു,નિર્ધારિત
ഡ്യൂറ്ററോൺ,ડ્યુટેરોન
"പ്രകടിപ്പിക്കുക, വികസിപ്പിക്കുക, വികസിപ്പിക്കുക","વ્યક્ત, વિકાસ, વિકાસ"
"ഡെവലപ്പർ, ഡെവലപ്പർ","વિકાસકર્તા, વિકાસકર્તા"
"വികസനം, വികസനം","વિકાસ, વિકાસ"
വ്യതിയാനം,વિચલન
മഞ്ഞു,ઝાકળ
മഞ്ഞു പോയിന്റ്,ઝાકળ બિંદુ
ദക്ഷിണ ധ്രുവീകരണം,દક્ષિણ ધ્રુવીકરણ
ഡയഗ്നോസ്റ്റിക് ടെസ്റ്റ്,ડાયગ્નોસ્ટિક ટેસ્ટ
ഡയഗണൽ,કર્ણ
ഡയഗ്രം,રેખાકૃતિ
ഡയഗ്രം,રેખાકૃતિ
ഡയൽ ചെയ്യുക,ડાયલ
ഡയമാഗ്നറ്റിക്,ડાયમેગ્નેટિક
"ഡയമാഗ്നറ്റോളജി, ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ","ડાયમેગ્નેટોલોજી, ડાયમેગ્નેટિક સામગ્રી"
ഡയമാഗ്നെറ്റിസം,ડાયમેગ્નેટિઝમ
വ്യാസം,વ્યાસ
വിപരീതമായി,ડાયમેટ્રિકલી વિરુદ્ધ
"വജ്രം, വജ്രം","હીરા, હીરા"
"ഡയഫ്രം, ഡയഫ്രം","ડાયાફ્રેમ, ડાયાફ્રેમ"
ചൂട് എക്സ്ചേഞ്ച്,હીટ એક્સચેન્જ
ചൂട് എക്സ്ചേഞ്ച്,હીટ એક્સચેન્જ
"ഡയറ്റോണിക് സ്വരഗ്രാം, ഡയറ്റോണിക് സ്വരഗ്രാം","ડાયટોનિક સ્વરગ્રામ, ડાયટોનિક સ્વરગ્રામ"
"വിഭജനം, അർദ്ധകല","વિભાજન, અર્ધ-કલા"
ഡൈക്രോമേറ്റ് സെൽ,ડાઈક્રોમેટ કોષ
"ദ്വിമുഖം, വിഷ്വൽ ദ്വിമുഖം, ലെവൽ ദ്വിമുഖം","દ્વિભાષા, દ્રશ્ય દ્વંદ્વ, સ્તર દ્વિભાષા"
ഡിക്ടഫോൺ,ડિક્ટાફોન
വൈദ്യുതചാലകം,ડાઇલેક્ટ્રિક
വൈദ്യുതചാലകങ്ങൾ,ડાઇલેક્ટ્રિક્સ
ഡീസൽ സൈക്കിൾ,ડીઝલ ચક્ર
വിടവ്,અંતર
"ഡിഫറൻഷ്യൽ ഫ്രീക്വൻസി, വ്യവകലന ആവൃത്തി","વિભેદક આવર્તન, વિચલન આવર્તન"
"വ്യത്യസ്‌ത, വ്യത്യസ്‌ത, വ്യത്യസ്‌ത, വ്യത്യസ്‌ത, ഇന്റർസ്റ്റീഷ്യൽ, ഡിഫറൻഷ്യൽ","વિભેદક, વિભેદક, વિભેદક, વિભેદક, મધ્યવર્તી, વિભેદક"
ഡിഫറൻഷ്യൽ ആഗിരണം,વિભેદક શોષણ
വ്യതിരിക്ത ആംപ്ലിഫയർ,ડિસ્ટિંક્શન એમ્પ્લીફાયર
"പെനിട്രേറ്റീവ് കലോറിമീറ്റർ, പെനിട്രേറ്റീവ് കലോറിമീറ്റർ","પેનિટ્રેટિવ કેલરીમીટર, પેનિટ્રેટિવ કેલરીમીટર"
ഡിഫറൻഷ്യൽ കപ്പാസിറ്റർ,વિભેદક કેપેસિટર
ഡിഫറൻഷ്യൽ സോൺ,વિભેદક ઝોન
ഡിഫറൻഷ്യൽ ഡിഫ്യൂഷൻ,વિભેદક પ્રસાર
ഡിഫറൻഷ്യൽ സമവാക്യം,વિભેદક સમીકરણ
ഡിഫറൻഷ്യൽ എക്സിറ്റിൻഷൻ കോഫിഫിഷ്യന്റ്,વિભેદક લુપ્તતા ગુણાંક
ഇന്റർമീറ്റർ അയോണൈസേഷൻ ചേമ്പർ,ઇન્ટરમીટર આયનીકરણ ચેમ્બર
ഡിഫറൻഷ്യൽ ഐസോടോപ്പ് രീതി,વિભેદક આઇસોટોપ પદ્ધતિ
ഡിഫറൻഷ്യൽ പ്രവേഗം,વિભેદક વેગ
വേർതിരിക്കുക,તફાવત કરવો
"വ്യത്യസ്തമായ, വ്യത്യസ്തമായ","ભિન્ન, ભિન્ન"
"വ്യത്യാസം, വ്യത്യാസം","ભેદભાવ, ભેદભાવ"
ഡിഫ്രാക്ഷൻ,વિવર્તન
ഡിഫ്രാക്റ്റോമീറ്റർ,ડિફ્રેક્ટોમીટર
"വ്യാപിച്ച, വ്യാപിച്ച","પ્રસરેલું, પ્રસરેલું"
വ്യാപിച്ചു,પ્રસરેલું
വ്യാപനം,પ્રસરણ
ഡിഫ്യൂസിവിറ്റി,પ્રસારતા
"അക്കം, വ്യാസം, വിരൽ","અંક, વ્યાસ, આંગળી"
ഡിജിറ്റൽ റെക്കോർഡിംഗ്,ડિજિટલ રેકોર્ડિંગ
ഡിജിറ്റൽ വോൾട്ട്മീറ്റർ,ડિજિટલ વોલ્ટમીટર
ദ്വി-ഐസോടോപിക് മൂലകങ്ങൾ,દ્વિ-આઇસોટોપિક તત્વો
വ്യാപനം,પ્રસરણ
വികാസ വൈകല്യം,વિસ્તરણ વિકૃતિ
എക്സോമീറ്റർ,એક્સોમીટર
വിസ്ഫരിണി,વિસ્ફારીની
"വിപുലീകരണം, നീളം-വീതി, അളവ്, ശക്തി","વિસ્તરણ, લંબાઈ-પહોળાઈ, પરિમાણ, શક્તિ"
ഡൈമൻഷണൽ,પરિમાણીય
മാനം,પરિમાણ
ഇൻഷുറൻസ് യൂണിറ്റ്,વીમા એકમ
അളവില്ലാത്ത മാനം,પરિમાણહીન પરિમાણ
"മൂല്യത്തകർച്ച, കുറവ്","અવમૂલ્યન, ઘટાડો"
പ്രസരിപ്പുള്ള,તેજસ્વી
ഡയോഡ്,ડાયોડ
ഡയോപ്റ്റർ,ડાયોપ્ટર
അപവർത്തന മേഖല,રીફ્રેક્શન ઝોન
റിഫ്രാക്റ്റിംഗ് ലെൻസ്,રીફ્રેક્ટીંગ લેન્સ
"കുമ്പിടുക, കുമ്പിടുക, തൊട്ടി","નમવું, નમવું, નમવું, ચાટ"
വീഴ്ചയുടെ ആംഗിൾ,પતનનો કોણ
ദ്വിധ്രുവം,દ્વિધ્રુવ
ബൈപോളാർ പാളി,દ્વિધ્રુવી સ્તર
dirac delta ഫംഗ്ഷൻ,ડીરાક ડેલ્ટા કાર્ય
"നേരായ, നേരായ, നേരായ, നേരിട്ടുള്ള, എതിർ","સીધો, સીધો, સીધો, સીધો, વિરુદ્ધ"
അനുലോം പരസ്പരബന്ധം,અનુલોમ સહસંબંધ
നേരിട്ടുള്ള കറന്റ്,સીધો પ્રવાહ
നേരിട്ട്,પ્રત્યક્ષ
"നേരിട്ടുള്ള അടി, നേരായ അടി","સીધો ફટકો, સીધો ફટકો"
"ദിശ, ദിശ","દિશા, દિશા"
ദിശാസൂചന,દિશાસૂચક
ബഹിരാകാശ സ്ഥിരത,જગ્યા સ્થિરતા
"ഡിക്കോസിൻ, ഡിക്കോസിൻ","ડીકોસિન, ડીકો-કોસાઇન"
"ദിശാസൂചകമായ, ദിശാസൂചകമായ, ദിശാസൂചകമായ","દિશાસૂચક, દિશાસૂચક, દિશાસૂચક"
ദിശാബോധം,દિશાસૂચકતા
സാധാരണ ലാറ്റിസ്,સામાન્ય જાળી
നേർരേഖ,સીધી લીટી
തുടർച്ചയായ അനുപാതം,અનુક્રમિક ગુણોત્તર
നേരിട്ടുള്ള രീതി,સીધી પદ્ધતિ
സംവിധാനം,દિશા
നേരിട്ടുള്ള വായന ഉപകരണം,ડાયરેક્ટ રીડિંગ ડિવાઇસ
മുന്നിൽ ദൂരദർശിനി,સામે ટેલિસ્કોપ
"ഒബ്ജക്റ്റ്, സർക്കിൾ, ഡിസ്ക്, ഡിസ്ക്","પદાર્થ, વર્તુળ, ડિસ્ક, ડિસ્ક"
"നിമജ്ജനം, എഫ്യൂഷൻ, ബ്ലീച്ചിംഗ്","નિમજ્જન, ઇફ્યુઝન, બ્લીચિંગ"
വെള്ളം നിമജ്ജനം,પાણીમાં નિમજ્જન
"നിർത്തലാക്കൽ, നിർത്തലാക്കൽ, ഒടിവ്","નિરંતરતા, નિરંતરતા, અસ્થિભંગ"
തുടർച്ചയായി,અવ્યવસ્થિત
"ഗവേഷണം, തിരയൽ","સંશોધન, શોધ"
പൊരുത്തക്കേട്,વિસંગતતા
കണികകൾ,રજકણ
"കോൺകേവ് ആന്റിന, ഡിഷ് ആന്റിന","અંતર્મુખ એન્ટેના, ડીશ એન્ટેના"
"പിരിച്ചുവിടൽ, ഗ്രാനുലേഷൻ","વિસર્જન, દાણાદાર"
പിരിച്ചുവിടൽ സ്ഥിരമായ,વિસર્જન સતત
വിസർജ്ജന ഊർജ്ജം,વિસર્જન ઊર્જા
പിരിച്ചുവിടൽ അർദ്ധായുസ്സ്,વિસર્જન અર્ધ જીવન
പിരിച്ചുവിടൽ ഗ്രേഡ്,વિસર્જન શ્રેણી
"സ്ഥാനഭ്രംശം, സ്ഥാനഭ്രംശം, സ്ഥാനഭ്രംശം, സ്ഥാനഭ്രംശം","ડિસલોકેશન, ડિસલોકેશન, ડિસલોકેશન, ડિસલોકેશન"
"ഫോൾട്ട് ലൈൻ, ഫോൾട്ട് കോർ","ફોલ્ટ લાઇન, ફોલ્ટ કોર"
തെറ്റ് ലൂപ്പ്,ફોલ્ટ લૂપ
"ക്രമക്കേട്, ക്രമക്കേട്, ക്രമക്കേട്","અવ્યવસ્થા, અવ્યવસ્થા, અવ્યવસ્થા"
കുഴപ്പം,અરાજકતા
"ആശയക്കുഴപ്പം, ആശയക്കുഴപ്പം","મૂંઝવણ, મૂંઝવણ"
"ചിതറി, ചിതറി","વિખરાયેલું, વિખરાયેલું"
"വിസരണം, ചിതറിക്കൽ","વિખેરવું, વિખેરવું"
പ്രൊജക്റ്റൈൽ,અસ્ત્ર
ചിതറിക്കിടക്കുന്ന,વિખેરી નાખનાર
പ്രതിഫലനം,પ્રતિબિંબ
സ്ഥാനമാറ്റാം,વિસ્થાપન
പ്രദർശനം,પ્રદર્શન
കൺസോൾ,કન્સોલ
വിച്ഛേദിക്കുന്ന ശക്തി,છૂટાછેડા બળ
അസമമായ,અસમાન
ശോഷണം ഗുണകം,સડો ગુણાંક
ദ്രവിക്കുന്ന,કાટ લગાડનાર
ശോഷണ സംവിധാനം,સડો સિસ્ટમ
വേർപെടുത്താവുന്ന,અલગ કરી શકાય તેવું
വേർപിരിഞ്ഞു,અલગ
സ്വഭാവം,સ્વભાવ
പൊരുത്തക്കേട്,અસંગતતા
ദൂരം,અંતર
അകലെ,દૂર
"വ്യതിരിക്തമായ, വ്യതിരിക്തമായ, വ്യതിരിക്തമായ, പ്രകടിപ്പിക്കുന്ന","અલગ, અલગ, અલગ, અભિવ્યક્ત"
വിവേചനം,ભેદભાવ
വ്യതിരിക്തമായ സ്വത്ത്,અલગ મિલકત
"വേർതിരിക്കുക, വേർതിരിക്കുക","ભેદ પાડવો, ભેદ પાડવો"
വികൃതമാക്കുക,વિકૃત
വൈകല്യം,વિકૃતિ
രൂപഭേദം ഇലാസ്തികത,વિરૂપતા સ્થિતિસ્થાપકતા
വിതരണം ചെയ്ത ആംപ്ലിഫയർ,વિતરિત એમ્પ્લીફાયર
"വിതരണം, വിതരണം","વિતરણ, વિતરણ"
"വിതരണ നിയമം, വിതരണ നിയമം","વિતરણ નિયમ, વિતરણ નિયમ"
അസ്വസ്ഥത,ખલેલ
"അസ്വസ്ഥമായ, അസ്വസ്ഥമായ സന്തുലിതാവസ്ഥ","વ્યથિત, વિક્ષેપિત સંતુલન"
ശല്യപ്പെടുത്തുന്ന ശക്തി,ખલેલ પહોંચાડનાર બળ
"അഹ്നിക്, ദിവാചർ, ദിവ, ഡെയ്‌ലി","આહનિક, દિવાચાર, દિવા, દૈનિક"
ദൈനംദിന വേഗത,દૈનિક ગતિ
ദ്വിമുഖം,બાયબેલેંટ
"ചിതറുക, ചിതറുക","વિખેરી નાખવું, વિખેરી નાખવું"
"വ്യതിചലനം, വ്യതിചലനം, വ്യതിചലനം","ભિન્નતા, ભિન્નતા, ભિન્નતા"
വിഭിന്ന,જુદીજુદી
വഴിതിരിച്ചുവിടൽ,ડાયવર્ઝન
"വിഭജിച്ചിരിക്കുന്നു, വിഭജിച്ചിരിക്കുന്നു","વિભાજિત, વિભાજિત"
"വിഭജനം, വിഭജനം, വിഭജനം","વિભાજન, વિભાજન, વિભાજન"
അയണോസ്ഫിയറിന്റെ ഡി പാളി,આયનોસ્ફિયરનું ડી સ્તર
"പ്രദേശം, പ്രവിശ്യ, പ്രദേശം, ഡൊമെയ്ൻ","પ્રદેશ, પ્રાંત, પ્રદેશ, ડોમેન"
"താഴികക്കുടം, താഴികക്കുടം","ગુંબજ, ગુંબજ"
സ്വാധീനമുള്ള സ്ഥാനം,પ્રભાવશાળી સ્થિતિ
ദാതാവിന്റെ തലം,દાતા સ્તર
മാഡിറ്റ് ഉടമ്പടി,મદિત સંધિ
"മായം ചേർക്കൽ, വ്യഭിചാരം","ભેળસેળ, ભેળસેળ"
ഡോപ്ലർ പ്രഭാവം,ડોપ્લર અસર
"അളവ്, അളവ്","ડોઝ, ડોઝ"
ക്വാണ്ടോമീറ്റർ,ક્વોન્ટોમીટર
"കുത്തുകളുള്ള, കുത്തുകളുള്ള","ડોટેડ, ડોટેડ"
"ഇരട്ട, ഡിപ്ലോയിഡ്, ജോഡി, ഇരട്ട, സാധാരണ, ദ്വിമുഖം","ડ્યુઅલ, ડિપ્લોઇડ, જોડી, દ્વિ, સામાન્ય, દ્વિભાષી"
ഇരട്ട ബോണ്ട്,ડબલ બોન્ડ
ബികോൺവെക്സ് ലെൻസ്,બાયકોન્વેક્સ લેન્સ
ബികോൺവെക്സ് ലെൻസ്,બાયકોન્વેક્સ લેન્સ
ബൈനറി ഡിഫറൻഷ്യൽ,દ્વિસંગી વિભેદક
ഇരട്ട അയോണൈസേഷൻ,ડબલ ionization
ഇരട്ട തന്മാത്ര,ડબલ પરમાણુ
ഇരട്ട കൃത്യത,ડબલ ચોકસાઇ
ഇരട്ട അപവർത്തനം,ડબલ રીફ્રેક્શન
ഇരട്ട പരമ്പര,ડબલ શ્રેણી
ജോടി നക്ഷത്രങ്ങൾ,જોડી તારા
ഇരട്ടി,ડબલ
അക്രോമാറ്റിക് ലെൻസ് ജോഡി,વર્ણહીન લેન્સ જોડી
"വ്യാപനം, വികാസം","પ્રસરણ, વિસ્તરણ"
ഇരട്ടി ചാർജുള്ള കണിക,બમણું ચાર્જ થયેલ કણ
ഉഭയജീവി അഴിമതി,ઉભયજીવી ભ્રષ્ટ
ഇരട്ട അയോണൈസ്ഡ്,ડબલ ionized
താഴേക്ക്,નીચે તરફ
ട്രാക്ഷൻ അയിര് സെമി കോംപാക്റ്റ്,ટ્રેક્શન ઓર અર્ધ કોમ્પેક્ટ
ട്രാക്ഷൻ ഫോഴ്സ്,ટ્રેક્શન બળ
"വാ, ഓട്ടം, അപ്പോദ്, ഡ്രിഫ്റ്റ് (ഖനനം), പഞ്ച് (ഭക്ഷണം), സ്ഥാനചലനം","વાહ, વહેણ, અપોધ, ડ્રિફ્ટ (ખાણકામ), પંજ (ખોરાક), વિસ્થાપન"
ഒഴുകുന്ന നീരൊഴുക്ക്,વહેતો પ્રવાહ
പ്രവർത്തനക്ഷമമായ,ઓપરેશનલ
ചാലക വോൾട്ടേജ്,વહન વોલ્ટેજ
ചെറിയ പന്ത്,નાનો બોલ
പെട്ടെന്നുള്ള ഇടവേള,અચાનક વિરામ
"ഡോട്ട്, മൈക്രോ പോയിന്റ്, തുള്ളി","બિંદુ, સૂક્ષ્મ બિંદુ, ટીપું"
വീഴ്ച,પડવું
ഉണക്കുക,શુષ્ક
ഡ്രൈ ഡ്രൈ ഹൈഗ്രോമീറ്റർ,શુષ્ક શુષ્ક હાઇગ્રોમીટર
പരാജയപ്പെട്ട കോൺടാക്റ്റ്,નિષ્ફળ સંપર્ક
"ഇരട്ട പ്രവർത്തനം, ഇരട്ട പ്രവർത്തനം","ડબલ ઓપરેશન, ડ્યુઅલ ઓપરેશન"
നാളി,નળી
ടാൻസൈൽ,તાણયુક્ત
ടാൻസൈൽ,તાણયુક્ત
മങ്ങിയ,મંદ
നിശബ്ദമാക്കുക,ચૂપ
നിക്ഷേപം,જુબાની
വാമൻ താര,વામન તારા
ഇരട്ട അക്ഷം,ડબલ અક્ષ
ചലനാത്മകം,ગતિશીલ
ചലനാത്മകം,ગતિશીલ
"ചലനാത്മകത, ചലനാത്മകത","ગતિશીલતા, ગતિશીલતા"
ഡൈനാമോ,ડાયનેમો
ഭക്ഷണം കഴിക്കുക,જમવું
"ഭൂമി, ഭൂമി","પૃથ્વી, પૃથ્વી"
ഭൂകമ്പ തീവ്രത,ભૂકંપની તીવ્રતા
ഭൂമി ഉപഗ്രഹം,પૃથ્વી ઉપગ્રહ
ഭൂമി കണക്ഷൻ സിസ്റ്റം,પૃથ્વી જોડાણ સિસ્ટમ
ഗ്രൗണ്ട് വയർ,જમીન વાયર
"കേന്ദ്രം, കേന്ദ്രാഭിമുഖം","કેન્દ્ર, કેન્દ્રબિંદુ"
ഉത്കേന്ദ്രത,તરંગીતા
എച്ചലോൺ,સોપારી
പ്രതിധ്വനി,પડઘો
അനുമാനം,ધારણા
വിപ്ലവം സർക്കുലർ കോർഡിനേറ്റുകൾ,પરિપત્ર કોઓર્ડિનેટ્સ
ചുഴി,વમળ
എഡ്ജ് തെറ്റ്,ધાર દોષ
കാതലായ പ്രഭാവം,મુખ્ય અસર
എഡിസൺ സെൽ,એડિસન સેલ
തിരുത്തുക,ફેરફાર કરો
ഫലപ്രദമായ,અસરકારક
കാര്യക്ഷമത,કાર્યક્ષમતા
ശ്രമം,પ્રયાસ
ഡിസ്ചാർജ്,સ્રાવ
"ആലങ്കാരിക, ഈജൻ","અલંકારિક, eigen"
അഷ്ടഭുജം,અષ્ટકોણ
ഐൻസ്റ്റീൻ-ബോസ് വിതരണ നിയമം,આઈન્સ્ટાઈન-બોઝ વિતરણ કાયદો
തൽക്ഷണ പ്രഭാവം,ત્વરિત અસર
ഐൻസ്റ്റീനിയം,આઈન્સ્ટાઈનિયમ
ഐൻസ്റ്റീൻ സ്മോലുചോവ്സ്കി സമവാക്യം,આઈન્સ્ટાઈન સ્મોલુચોસ્કી સમીકરણ
ഐൻസ്റ്റീൻ-ജനസംഖ്യ,આઈન્સ્ટાઈન-વસ્તી
പുറത്താക്കൽ,હકાલપટ્ટી
എജക്റ്റർ കാപ്സ്യൂൾ,ઇજેક્ટર કેપ્સ્યુલ
എജക്റ്റർ,ઇજેક્ટર
ക്ലിയറൻസ് ബോർഡ്,ક્લિયરન્સ બોર્ડ
വിപരീത കപ്പാസിറ്റൻസ്,વ્યસ્ત ક્ષમતા
ഇലാസ്റ്റിക്,સ્થિતિસ્થાપક
"ഇലാസ്റ്റിക് പ്രതികരണ പ്രഭാവം, ഇലാസ്റ്റിക് പിൻഭാഗം","સ્થિતિસ્થાપક મુદ્રા અસર, સ્થિતિસ્થાપક મુદ્રા"
ആന്ദോളന ശരീരം,ઓસીલેટરી બોડી
ഇലാസ്തികത,સ્થિતિસ્થાપકતા
"ഇലാസ്റ്റികോമീറ്റർ, ഇലാസ്റ്റികോമീറ്റർ","સ્થિતિસ્થાપક યંત્ર, સ્થિતિસ્થાપક યંત્ર"
ഇലാസ്റ്റിക് മെല്ലെബിലിറ്റി,સ્થિતિસ્થાપક અસ્થિરતા
അയണോസ്ഫിയറിന്റെ ഇ-പാളി,આયનોસ્ફીયર ઈ-લેયર
ഇലക്ട്രേറ്റ്,ઇલેક્ટ્રીટ
"വൈദ്യുത, വൈദ്യുത","ઇલેક્ટ્રિકલ, ઇલેક્ટ્રિકલ"
വൈദ്യുതി,વીજળી
"വൈദ്യുതീകരണം, ചാർജിംഗ്","વીજળીકરણ, ચાર્જિંગ"
വൈദ്യുതീകരിച്ചു,ઇલેક્ટ્રિફાઇડ
"ചാർജ്ജ് കണിക, ചാർജ്ജ് കണിക","ચાર્જ કણ, ચાર્જ કણ"
ഇലക്ട്രോകോസ്റ്റിക്,ઇલેક્ટ્રોએકોસ્ટિક
ഇലക്ട്രോ-അക്കോസ്റ്റിക്സ്,ઇલેક્ટ્રો-એકોસ્ટિક્સ
ഇലക്ട്രോ തെർമൽ,ઇલેક્ટ્રો-થર્મલ
ഇലക്ട്രോകെമിക്കൽ,ઇલેક્ટ્રોકેમિકલ
തത്തുല്യമായ,સમકક્ષ
ഇലക്ട്രോഡ്,ઇલેક્ટ્રોડ
ഇലക്ട്രോഡൈനാമിക്സ്,ઇલેક્ટ્રોડાયનેમિક્સ
ഇലക്ട്രോഡൈനാമിക് പ്രഭാവം,ઇલેક્ટ્રોડાયનેમિક અસર
ഗാൽവാനിക് ഒറ്റപ്പെടൽ,ગેલ્વેનિક અલગતા
ഇലക്ട്രോലൈറ്റ്,ઇલેક્ટ્રોલાઇટ
വൈദ്യുതവിശ്ലേഷണം,ઇલેક્ટ્રોલિટીક
"ഇലക്ട്രോഫോറെസിസ്, ഇലക്ട്രോഫോറെസിസ്","ઇલેક્ટ્રોફોરેસિસ, ઇલેક્ટ્રોફોરેસિસ"
വൈദ്യുതകാന്തികം,ઇલેક્ટ્રોમેગ્નેટ
വൈദ്യുതകാന്തിക മണ്ഡലം,ઇલેક્ટ્રોમેગ્નેટિક ક્ષેત્ર
വൈദ്യുതകാന്തികത,ઇલેક્ટ્રોમેગ્નેટિઝમ
വൈദ്യുതകാന്തികത,ઇલેક્ટ્રોમેગ્નેટિઝમ
"ഇലക്ട്രോമീറ്റർ നോസൽ, ഇലക്ട്രോമീറ്റർ വാൽവ്","ઇલેક્ટ્રોમીટર નોઝલ, ઇલેક્ટ્રોમીટર વાલ્વ"
ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്,ઇલેક્ટ્રોમોટિવ બળ
ഇലക്ട്രോൺ,ઇલેક્ટ્રોન
വായ്പ-വൈദ്യുതി,લોન વીજળી
ഇലക്ട്രോണിക്,ઇલેક્ટ્રોનિક
ഇലക്ട്രോണിക് ഈജൻഫംഗ്ഷൻ,ઇલેક્ટ્રોનિક ઇજનફંક્શન
ഇലക്ട്രോണിക് ഊർജ്ജം,ઇલેક્ટ્રોનિક ઊર્જા
ഇലക്ട്രോണിക്സ്,ઇલેક્ટ્રોનિક્સ
ഇലക്ട്രോൺ ഒപ്റ്റിക്സ്,ઇલેક્ટ્રોન ઓપ્ટિક્સ
ഇലക്ട്രോ ഒപ്റ്റിക്സ്,ઇલેક્ટ્રો-ઓપ્ટિક્સ
വൈദ്യുതകാന്തികത,ઇલેક્ટ્રોમેગ્નેટિઝમ
ഇലക്ട്രോസ്കോപ്പ്,ઇલેક્ટ્રોસ્કોપ
ഇലക്ട്രോസ്റ്റാറ്റിക്,ઇલેક્ટ્રોસ્ટેટિક
ഇലക്ട്രോസ്റ്റാറ്റിക്സ്,ઇલેક્ટ્રોસ્ટેટિક્સ
ഇലക്ട്രോഫോറെസിസ്,ઇલેક્ટ્રોફોરેસિસ
വൈദ്യുത ബന്ധം,વિદ્યુત જોડાણ
ഇലക്ട്രിക്കൽ കണക്റ്റർ,ઇલેક્ટ્રિકલ કનેક્ટર
"ഘടകങ്ങൾ, ന്യൂനപക്ഷങ്ങൾ, ഘടകങ്ങൾ","તત્વો, લઘુમતીઓ, ઘટકો"
