English,Assamese
diametrically opposite,ডায়েমেট্ৰিকভাৱে বিপৰীত
dice throw,"ক্ৰছফায়াৰ, পাশা নিক্ষেপ কৰা"
dichotomous classification,উভচৰ শ্ৰেণীবিভাজন
dichotomy,"bifurcation, আধা"
dictionary order,অভিধান
difference calculus,ডিফাৰেন্সিয়েল কেলকুলাছ
difference equation,অৱভেদ্য সমীকৰণ
difference formula,ডিফাৰেন্সিয়েল সূত্ৰ
difference method,ডিফাৰেন্সিয়েল পদ্ধতি
difference of sets,গোটৰ পাৰ্থক্য
differentiable,ভিন্নতামূলক
differentiable curve,ডিফাৰেন্সিয়েল কাৰ্ভ
differentiable function,ডিফাৰেন্সিয়েল ফাংচন
differential,"ডিফাৰেন্সিয়েল, ডিফাৰেন্সিয়েল, ডিফাৰেন্সিয়েল, আন্তঃপৰীক্ষামূলক, আন্তঃসংস্থা, পাৰ্থক্য"
differential calculus,ডিফাৰেন্সিয়েল মেথ
differential coefficient,ডিফাৰেন্সিয়েল সহগ
differential equation,অৱভেদ্য সমীকৰণ
differential form,ডিফাৰেন্সিয়েল কলিচন
differential formula,ডিফাৰেন্সিয়েল সূত্ৰ
differential function,ডিফাৰেন্সিয়েল ফাংচন
differential geometry,ডিফাৰেন্সিয়েল জ্যামিতি
differential of higher order,উচ্চ ক্ৰমৰ ডিফাৰেন্সিয়েল
differential quotient,ডিফাৰেন্সিয়েল ছেগমেণ্ট
differentiate,পাৰ্থক্য কৰা
differentiation,"পাৰ্থক্য, পাৰ্থক্য"
differentiation formula,ডিফাৰেন্সিয়েল সূত্ৰ
differentiation of vector,ভেক্টৰৰ পাৰ্থক্য
diffusion,"প্ৰসাৰণ, প্ৰসাৰণ"
digit,"সংখ্যা, ডায়েডেম, আঙুলি"
digital computer,ডিজিটেল কম্পিউটাৰ
digital data,অংকি দত্ত
dimension,"পৰিসৰ, প্ৰস্থ, মাত্ৰা, শক্তি"
dimensionality,মাত্ৰাগততা
dimensionless,মাত্ৰাহীন
dimension of an equation,সমীকৰণৰ মাত্ৰা
diophantine equation,ডাইঅ’ফেন্টাছৰ সমীকৰণ
dip angle,পতনৰ কোণ
dipolar coordinates,ডাইপোল স্থানাংক
dipole,ডাইপোল
dipyramid (bipyramid),বাইপিৰামিড
Dirac delta function,dirac ডেল্টা ফাংচন
direct common tangent,সাধাৰণ স্পৰ্শক
directed angle,সোঁকোণ
directed line,প্ৰত্যক্ষ ৰেখা
directional derivative,স্থান ব্যুৎপত্তি
direction cosine,"ডাইকোচিন, ডাইকো-কোচাইন"
direction of maxima,ৰ দিশটো সৰ্বোচ্চ
direction of projection,প্ৰজেকচন দিশ
direction ratio,দিশ অনুপাত
director circle,নিয়ন্ত্ৰণ বৃত্ত
director sphere,নিয়ন্ত্ৰক বৃত্ত
direct product,এনুলোমা প্ৰডাক্ট
direct proof,"প্ৰত্যক্ষ প্ৰমাণ, প্ৰত্যক্ষ প্ৰমাণ"
direct proportion,ক্ৰমিক অনুপাত
directrix,ভাগ্য
direct sum,anuloma যোগফল
disconncted sets,disjointed set
discontinuity,"discontinuity, বিচ্ছিন্নতা, বিচ্ছিন্নতা"
discontinuity of derivative,ডেৰাইভেটিভৰ বিচ্ছিন্নতা
discontinuity of the first kind,প্ৰথম ধৰণৰ বিচ্ছিন্নতা
discontinuity of the second kind,দ্বিতীয় প্ৰকাৰৰ বিচ্ছিন্নতা
discontinuous distribution,বিচ্ছিন্ন বিতৰণ
discontinuous function,বিচ্ছিন্ন কাৰ্য্য
discontinuous variate,বিচ্ছিন্ন ভ্যাৰিয়েন্স
discrete,কণা
discrete distribution,বিচ্ছিন্ন বিতৰণ
discrete probability distribution,বিচ্ছিন্ন সম্ভাৱনা বিতৰণ
discrete random variable,বিচ্ছিন্ন যাদৃচ্ছিক চলক
discrete sample space,বিচ্ছিন্ন নমুনা স্থান
discrete set,বিচ্ছিন্ন সমষ্টি
discrete space,বিচ্ছিন্ন জনসংখ্যা
discrete topology,বিচ্ছিন্ন অৱস্থা
discrete variate,বিচ্ছিন্ন ভ্যাৰিয়েন্স
discriminant,বিতৰণ কৰ
discriminatory analysis (=discriminant analysis),বৈষম্যমূলক বিশ্লেষণ
disjoint,disjointed
disjoint events,disjointed ইভেন্ট
disjoint sets,disjointed set
disjoint union,disjoint সন্নিৱিষ্ট কৰা
disjunction,"disjunction, যুক্তিসংগত যোগফল"
dispersion,"বিক্ষিপ্ততা, বিক্ষিপ্ততা"
dispersion chart,বিক্ষিপ্ততা লেখচিত্ৰ
dispersion constant,বিক্ষিপ্ততা সূচকাংক
dispersion diagram,বিক্ষিপ্ততা ডায়েগ্ৰাম
dispersion matrix (=covariance matrix),বিক্ষিপ্ততা মেট্ৰিক্স
displacement,স্থানচ্যুতি
display,প্ৰদৰ্শন
display unit (=consol),কনছ&#39;ল
dissimilar,"অসমান, অসমান"
dissipative forces,ক্ষয়কাৰী বল
distance function,দূৰত্বৰ ফলন
distance modulus,দূৰত্ব মডুলাছ
distribution-free method,অবিতৰণমূলক
distributive law,"বিতৰণ নিয়ম, বিতৰণ নিয়ম"
diverge,"to dissipate, বিসৰ্জন কৰা"
divergence,"বিচ্ছিন্নতা, বিচ্ছিন্নতা, বিচ্ছিন্নতা"
divergence theorem,বিচ্ছিন্নতা উপপাদ্য
divergent,ডাইভাৰ্জেন্ট
divergent series,বিচ্ছিন্ন পৰিসৰ
divided difference,বিভক্ত পাৰ্থক্য
divisibility,"বিভাজনযোগ্যতা, বিভাজনযোগ্যতা"
divisible,"বিভাজ্য, বিভাজ্য"
division,"বিভাজন, বিভাজন, বিভাজন"
division algorithm,বিভাজন এলগৰিদম
division ring,স্প্লিট ৰিং
dodecagon,চতুৰ্ভুজ
dodecahedron,decagon
domain,"ডমেইন, ডমেইন, প্ৰদেশ, ভূখণ্ড"
domain of a function,কাৰ্য্যৰ ডমেইন
domain of definition,সংজ্ঞা-প্ৰদেশ
domain of existence,অস্তিত্বৰ অৱস্থা
dominant strategy,অভাৰৰাইডিং ডিভাইচ
doppler effect,ডপলাৰ ইফেক্ট
dot product,"পইণ্ট প্ৰডাক্ট, স্কেলাৰ প্ৰডাক্ট"
dotted curve,বিন্দুযুক্ত বক্ৰ
double differentiation,ডুৱেল ডিফাৰেন্সিয়েল
double exponential distribution,ডাবল ঘাতীয় বিতৰণ
double helix,ডাবল কইল
double integral,বাইনাৰী অখণ্ড
double integration,বাইনাৰী সংহতি
double limit,ডাবল লিমিট
double sampling plan,ডাবল নমুনা সংগ্ৰহৰ ইভেন্ট
double sequence,ডাবল ক্ৰম
double series,ডাবল ছিৰিজ
double suffix notation,ডাবল-সংলগ্ন সংকেত
double summation,ডাবল কম্পাইলেচন
downward acceleration,তললৈ ত্বৰণ
downward displacement,তললৈ স্থানান্তৰিত হোৱা
downward motion,তললৈ গতি
downward velocity,তললৈ যোৱা বেগ
drag,ট্ৰেকচন
drag force,ট্ৰেকচন বল
dual,দ্বৈত দ্বৈততা
dual basis,ডুৱেল বেচ
dual inner product,দ্বৈত আভ্যন্তৰীণ উৎপাদন
dual linear programming problem,ডুৱেল ৰৈখিক প্ৰগ্ৰেমিং সমস্যা
dual operation,"ডাবল অপাৰেচন, ডুৱেল অপাৰেচন"
dual problem,দ্বৈত সমস্যা
dual simplex algorithm,ডুৱেল একক এলগৰিদম
dual simplex technique,দ্বৈত একক পদ্ধতি
dual space,দ্বৈত স্থান
dual variable,ডুৱেল ভেৰিয়েবল
dual vector space,দ্বৈত ভেক্টৰ স্থান
dummy index,নিৰৱ সূচকাংক
dummy subscript,নিৰৱ ফুটাৰ
dummy suffix,নীৰৱ চুক্তি
dummy variable,নিৰৱ চলক
duplicator process,ডুপ্লিকেচন
dynamical,গতিশীল
dynamical system,গতিশীল ব্যৱস্থা
dynamic demand function,গতিশীল চাহিদা কাৰ্য্য
dynamic model,গতিশীল আৰ্হি
dynamic programming,ডাইনামিক প্ৰগ্ৰেমিং
dynamic programming approach,ডাইনামিক প্ৰগ্ৰেমিং পদ্ধতি
dynamic programming technique,ডাইনামিক প্ৰগ্ৰেমিং কৌশল
dynamics,"গতিশীলতা, গতিশীলতা"
dynamics of a particle,কণা গতিবিদ্যা
dynamics of rigid bodies,কঠিন শৰীৰৰ গতিশীলতা
earth,"পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী সংস্পর্শ (ver.)"
earthquake intensity,ভূমিকম্পৰ তীব্ৰতা
eccentricity,কেন্দ্ৰীয়তা
eclipse,ধাৰণা
econometric forecast,অৰ্থনৈতিক পূৰ্বাভাস
econometrician,অৰ্থনীতিবিদ
econometrics,অৰ্থনীতি
economics,অৰ্থনীতি
edge,"কোৰ, প্ৰান্ত, ছিদ্ৰ"
edge of a convex set,সমষ্টিগত কোৰৰ সন্মুখীন হোৱা
efficiency factor,দক্ষতা সূচকাংক
eigen element,বৈশিষ্ট্যপূৰ্ণ উপাদান
eigen function,বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য
eigen value,"eigen মান, বৈশিষ্ট্যপূৰ্ণ মান"
eigen value equation,বৈশিষ্ট্যপূৰ্ণ মূল্য সমীকৰণ
eigen vector,"eigen ভেক্টৰ, বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ"
elastic,ইলাষ্টিক
elastic constant,ইলাষ্টিক ঢালাই
elastic equilibrium,ইলাষ্টিক ভাৰসাম্য
elasticity,ইলাষ্টিকতা
elasticity surface,ইলাষ্টিকতা পৃষ্ঠা
electronic computer,"ইলেক্ট্ৰনিক কম্পিউটাৰ, ইলেক্ট্ৰনিক কম্পিউটাৰ"
element,"উপাদান, উপাদান, উপাদান"
elementary column operation,প্ৰাৰম্ভিক স্তম্ভ কাৰ্য্য
elementary event,প্ৰাৰম্ভিক পৰিঘটনা
elementary function,প্ৰাৰম্ভিক কাৰ্য্য
elementary operation,প্ৰাৰম্ভিক কাৰ্য্য
elementary outcome,প্ৰাথমিক ফলাফল
elementary probability law,প্ৰাৰম্ভিক সম্ভাৱনা নিয়ম
elementary row operation,ষ্টাৰ্ট লাইন অপাৰেচন
eliminate,"to annihilate, নিঃশেষ কৰা"
elemination procedure,ৰিজ&#39;লিউচন প্ৰক্ৰিয়া
ellipse,"উপবৃত্তাকাৰ, উপবৃত্তাকাৰ"
ellipsoid,উপবৃত্তাকাৰ
ellipsoidal,উপবৃত্তাকাৰ
ellipsoidal surface,উপবৃত্তাকাৰ পৃষ্ঠ
elliptical body,উপবৃত্তাকাৰ শৰীৰ
embedding,এম্বেডিং
emission,নিৰ্গমন
empirical data,অভিজ্ঞতাভিত্তিক বিশ্বাস
empirical formula,অভিজ্ঞতাভিত্তিক সূত্ৰ
empirical probability,অভিজ্ঞতাভিত্তিক সম্ভাৱনা
empirical relation,অভিজ্ঞতাভিত্তিক সম্পৰ্ক
empty set,খালী ছেট
enclosed,বাধ্যতা
encoding,"এনকোডিং, ক&#39;ডিং"
endomorphism,আন্তঃকাৰ্য্যক্ষমতা
end point,শেষ বিন্দু
end point of class interval,শ্ৰেণীৰ ব্যৱধানৰ শেষ বিন্দু
energy,শক্তি
energy momentum component,শক্তি-প্ৰেৰণামূলক কাৰক
entering variable,প্ৰৱেশ চলক
enumerable set,গণনাযোগ্য ছেট
enumeration,"গণনা, গণনা"
equal,"সমান, সমান, সম, সমান"
equality,"সমতা, সমতা"
equally likely,সম্ভাৱনা
equal probability selection method (=epsem),আনকি সম্ভাৱনা নিৰ্বাচন পদ্ধতিও
equate,সমান কৰা
equation,"সমীকৰণ, সমীকৰণ"
equation of first degree,দ্বিঘাত সমীকৰণ
equation of second degree,দ্বিঘাত সমীকৰণ
equation of third degree,দ্বিঘাত সমীকৰণ
equator,"বিষুৱৰেখা, বিষুৱৰেখা, মধ্যৰেখা"
equicontinuous,অবিচলিত
equilateral,সমপক্ষীয়
equilibrium,"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
equilibrium of forces,বল ভাৰসাম্য
equilibrium point,ভাৰসাম্য বিন্দু
equivalence,সমতুল্যতা
equivalence class,সমতুল্যতা শ্ৰেণী
equivalence relation,সমতুল্যতা সম্পৰ্ক
equivalent,"সমতুল্য, সমতুল্য (v.), সমতুল্য (ed.)"
equivalent matrix,সমতুল্য মেট্ৰিক্স
equivalent set,সমতুল্য গোট
ergodicity,প্ৰৱণতা
error,"ভুল, ভুল, ভুল, ভুল"
error analysis,ভুল বিশ্লেষণ
error code,ভুল ক&#39;ড
error coefficient,ভুল সহগ
error of mean square,বৰ্গ গড় ভুল
error of the first kind,প্ৰথম ধৰণৰ ভুল
error of the second kind,দ্বিতীয় ধৰণৰ ভুল
escape probability,পলায়নৰ সম্ভাৱনা
escape velocity,পলায়নৰ বেগ
E. Schmidt's orthogonalization process,ই শ্বমিট সংগঠন প্ৰক্ৰিয়া
escribed circle,বহিৰ্মুখী
essential,"অপৰিহাৰ্য, অপৰিহাৰ্য"
essentially unique,কাৰ্যতঃ অনন্য
estimate,"মূল্যায়ন কৰা, মূল্যায়ন কৰা (ver.), মূল্যায়ন কৰা (ed.)"
estimation method,অনুমান পদ্ধতি
Euclidean coordinate,ইউক্লিডীয় স্থানাংক
Euclidean domain,ইউক্লিডিয়ান ডমেইন
Euclidean geometry,ইউক্লিডিয়ান জ্যামিতি
Euclidean n-space,ইউক্লিডীয় n-স্থান
Euclidean plane,ইউক্লিডীয় সমতল
Euler's theorem,অইলাৰৰ উপপাদ্য
evaluate,"মূল্যায়ন কৰা, মূল্যায়ন কৰা"
even,যুগ্ম
even curve,আনকি বক্ৰতাও
even function,আনকি কাৰ্য্যও
even multiple,আনকি অবাধ্যও
even number,যুগ্ম সংখ্যা
even odd symmetry,অদ্ভুত প্ৰতিসমতা
even permutation,আনকি ক্ৰমবিন্যাসও
event,"ইভেন্ট, এপিচ&#39;ড"
even term,সমৰূপতা
exact,"হুবহু, হুবহু, হুবহু"
exact chi-square test,সঠিক কাই-স্কেয়াৰ পৰীক্ষা
exact differential,সঠিক পাৰ্থক্য
exact equation,সঠিক সমীকৰণ
example,উদাহৰণ
exchange,বিনিময়
exhaustive event,নিৰ্দিষ্ট পৰিঘটনা
existence axiom,অস্তিত্বৰ স্বতন্ত্ৰতা
existence probability(= a priori probability),জীয়াই থকাৰ সম্ভাৱনা
existence theorem,অস্তিত্ব উপপাদ্য
exogenous variable,বাহ্যিক চলক
expansion,"spread, বিয়পি পৰা"
expectation function,প্ৰত্যাশাৰ কাৰ্য্য
expected frequency,আশা কৰা কম্পাঙ্ক
expected value,আশা কৰা মূল্য
experiment,পৰীক্ষণ
experimental error,"পৰীক্ষামূলক ভুল, পৰীক্ষামূলক ভুল"
explanation,"ব্যাখ্যা, ব্যাখ্যা"
explicit equation,স্পষ্ট সমীকৰণ
explicit form,স্পষ্টভাৱে
explicit function,ক্লিয়াৰ ফাংচন
explicit solution,স্পষ্ট সমাধান
exponent,ঘাতক
exponential curve,ঘাতীয় বক্ৰ
exponential density function,ঘাতীয় সম্ভাৱনা ফলন
exponential distribution,ঘাতীয় বিতৰণ
exponential equation,ঘাতীয় সমীকৰণ
exponential function,ঘাতীয় ফলন
exponential growth,"ঘাতীয় বৃদ্ধি, ঘাতীয় বৃদ্ধি"
exponential law,ঘাতীয় নিয়ম
exponential map,ঘাতীয় মানচিত্ৰ
exponential series,"ঘাতীয় শৃংখলা, ঘাতীয় শৃংখলা"
expression,"অভিব্যক্তি, অভিব্যক্তি, মুখৰ ভাব, অভিব্যক্তি"
extended interval,বৰ্ধিত ব্যৱধান
extended real line,বৰ্ধিত বাস্তৱ ৰেখা
extended real number system,সম্প্ৰসাৰিত বাস্তৱ সংখ্যা ব্যৱস্থা
extension of a mapping,মেপিং সম্প্ৰসাৰণ
exterior angle,বাহ্যিক কোণ
exterior area,বাহিৰৰ অঞ্চল
exterior point,বাহ্যিক বিন্দু
external,বাহ্যিক
extrapolation of trend value,প্ৰেডিকেট মানৰ এক্সট্ৰাপ&#39;লেচন
extrapolation technique,এক্সট্ৰাপলেচন কৌশল
extremal value,শীৰ্ষ মান
extreme,"extreme, end, extreme, শিখৰত উপনীত হোৱা"
extreme point,উচ্চ বিন্দু
extreme point of convex set,বিপৰীত গোটৰ চৰম বিন্দু
extremum of a function,ফাংচনৰ চৰম মান
extremum property,চৰম ধৰ্ম
face,"মুখ, কাষ, সন্মুখ"
face value,মুখমূল্য
factor,"উপাদান, কাৰক, কাৰক, দফা"
factor analysis,কাৰক বিশ্লেষণ
factored,খণ্ডিত
factorial,ফেক্টৰিয়েল
factorial design,একাধিক কাৰক ডিজাইন
factorization,ফ্যাক্টৰাইজেচন
factorise,to factor
fair game,ন্যায় খেল
FALSE,"ভাৰ্চুৱেল, মিছা, ক&#39;ড"
family,"পৰিয়াল, পৰিয়াল, বংশ, পৰিয়াল"
family of circles,বৃত্ত মুঠ
family curves,বক্ৰ মুঠ
family of functions,কাৰ্য্যসমূহৰ পৰিয়াল
family of lines,লাইন মুঠ
facsimile,প্ৰতিৰূপ
F-distribution,F-বিতৰণ
feasible basic solution,সামঞ্জস্যপূৰ্ণ ভিত্তি সমাধান
feasible solution,সামঞ্জস্যপূৰ্ণ সমাধান
feed back,"ৰিচাৰ্জ, পুনৰ বিনিয়োগ"
Fermat principle,ফাৰ্মাৰ নিয়ম
Fermat's theorem,ফাৰ্মাৰ উপপাদ্য
Fermi-Dirac statistics,ফাৰ্মি-ডাইৰাক-পৰিসংখ্যা
Fibonacci number,ফিবোনাচি সংখ্যা
Fibonacci series,ফিবোনাচি ৰেঞ্জ
field,"ক্ষেত্ৰ, পথাৰ, পথাৰ, পথাৰ"
final velocity,চূড়ান্ত বেগ
finite,"সসীম, সসীম"
finite basis,সসীম ভিত্তি
finite decimal,সসীম দশমিক
finite difference,সসীম পাৰ্থক্য
finite difference method,সসীম পাৰ্থক্য পদ্ধতি
finite dimensional,সসীম মাত্ৰিক
finite dimensional vector space,সসীম মাত্ৰিক ভেক্টৰ
finite game,সসীম খেল
finite geometry,সসীম জ্যামিতি
finite intersection,সসীম অখণ্ড
finite many,সসীমতা
finite Markov chain,সসীম মাৰ্কভ শৃংখল
finiteness proof,সসীমতা প্ৰমাণ
finite number,সসীম সংখ্যা
finite population,সসীম জনসংখ্যা
finite probability,সসীম সম্ভাৱনা
finite series,শেষ গ্ৰেড
finite set,সসীম গোট
finite velocity,সসীম বেগ
finite volume,সসীম আয়তন
fitting,"মিক্স, সামঞ্জস্য"
fitting of curve,বক্ৰ সমন্বয়
fitting of straight line,সৰলৰেখাৰ সমন্বয়
fixed point theorem,স্থিৰ বিন্দু উপপাদ্য
fixed sample,স্থিৰ নমুনা
flight velocity,উৰণৰ বেগ
floating point arithmetic,ভাসমান বিন্দু গণনা
floating point system,"ফ্লটিং পইণ্ট চিষ্টেম, ফ্লটিং পইণ্ট চিষ্টেম"
flow chart,ফ্ল&#39; চাৰ্ট
flow velocity,প্ৰবাহৰ বেগ
fluid dynamics,তৰল গতিবিদ্যা
focal,"ফ&#39;কেল, কনফ&#39;কেল, ফ&#39;কেল"
focal chord,ফোকাচ কৰ্ড
focal distance,ফোকাচ দূৰত্ব
focal length,ফোকাচ দৈৰ্ঘ্য
focus,"নাভি, ফোকাচ, উৎপত্তি"
foot,"ভৰি, ভৰি, ভৰি"
foot of perpendicular,অৰ্থগনেল
force of gravity,মহাকৰ্ষণ বল
forecasting,পুৰ্বানুমান
formula,সূত্ৰ
formulate,থ্ৰেডিং
formulation,"ফৰ্মেটিং, ফৰ্মেটিং, প্ৰণয়ন"
forward difference,আগলৈ
forward interpolation,আগলৈ সন্নিৱিষ্ট কৰা
foundation of mathematics,গণিতৰ ভেটি
Fourier's analysis,fourier বিশ্লেষণ
Fourier's series,fourier শৃংখলা
Fourier's transform,ফুৰিয়েৰ ৰূপান্তৰ
fraction,অন্য
fractional coordinate,ভগ্নাংশ স্থানাংক
fractional number,ভগ্নাংশ সংখ্যা
fractional programming,ভগ্নাংশ প্ৰগ্ৰেমিং
free path,মুক্ত পথ
free vector,মুক্ত ভেক্টৰ মুক্ত ভেক্টৰ
frequency,"কম্পাঙ্ক, কম্পাঙ্ক"
frequency column,কম্পাঙ্ক স্তম্ভ
frequency curve,"কম্পাঙ্ক বক্ৰ, কম্পাঙ্ক বক্ৰ"
frequency distribution,কম্পাঙ্ক বিতৰণ
frequency histogram,কম্পাঙ্ক হিষ্টোগ্ৰাম
frequency of occurrence,ইনচিডেন্স ফ্ৰিকুৱেন্সি
frequency polygon,কম্পাঙ্ক-বহুভুজ
frequency table,কম্পাঙ্ক টেবুল
frustum,frustum
frustum of a pyramid,পিৰামিড ফ্ৰষ্টাম
frustum of a sphere,খোলা frustum
full expansion,সম্পূৰ্ণ বিস্তাৰ
function,"কাৰ্য্যসমূহ, কাৰ্য্যসমূহ, বৈশিষ্ট্যসমূহ (গোটসমূহ)"
functional analysis,কাৰ্য্য বিশ্লেষণ
fundamental,"মূল, মূল"
fundamental theorem,মূল উপপাদ্য
fundamental theorem of algebra,বীজগণিতৰ মৌলিক উপপাদ্য
galaxy,"আকাশগঙ্গা, আকাশ-গংগা"
Galois field,Galois অঞ্চল
Galois group,গেল&#39;ইছ গ্ৰুপ
gambler's ruin,জুৱাৰীৰ বিত্তীয় অৱস্থা
game and move,খেল আৰু কৌশল
game of chance,খেলৰ সুযোগ
game of dice,পাশা খেলা
games theory,গেম তত্ত্ব
games with perfect recall,নিখুঁত স্মৃতিৰ খেল
game value,গেম মূল্য
gamma function,গামা ফাংচন
Gauss-Argand plane,গাউছ-আৰ্গন সমতল
Gaussian curve,গাউছ-বক্ৰ
Gaussian elimination,গাউছিয়ান সমাধান
Gaussian plane,গাউছ-প্লেন
Gauss-Jordan reduction,gauss-জোৰ সমন্বয়
general case,বহল অৱস্থান
general convergence theorem,সাধাৰণ অভিসৰণ উপপাদ্য
general equation,সাধাৰণ সমীকৰণ
general factor,ব্যাপক কাৰক
general form,"সাধাৰণ ৰূপ, বহল"
general formula,সাধাৰণ সূত্ৰ
general game,বহল খেল
general inference,সাধাৰণ অনুমান
general integral,ব্যাপক অখণ্ড
generalization,সাধাৰণীকৰণ
generalised associative law,সাধাৰণীকৃত সংগত নিয়ম
generalised continuum hypothesis,সাধাৰণীকৃত ধাৰাবাহিকতা অনুমান
generalised convex function,সাধাৰণীকৃত অৱনমিত ফলন
generalised coordinates,সাধাৰণীকৃত স্থানাংক
generalised eigen value problem,সাধাৰণীকৃত আইগেন মূল্যৰ সমস্যা
general convergence theorem,সাধাৰণ অভিসৰণ উপপাদ্য
general equation,সাধাৰণ সমীকৰণ
general factor,ব্যাপক কাৰক
general form,"সাধাৰণ, বহল"
general formula,সাধাৰণ সূত্ৰ
general game,বহল খেল
general inference,সাধাৰণ অনুমান
general integral,ব্যাপক অখণ্ড
generalization,সাধাৰণীকৰণ
generalised associative law,সাধাৰণীকৃত সংগত নিয়ম
generalised continuum hypothesis,সাধাৰণীকৃত ধাৰাবাহিকতা অনুমান
generalised convex function,সাধাৰণীকৃত অৱনমিত ফলন
generalised coordinates,সাধাৰণীকৃত স্থানাংক
generalised eigen value problem,সাধাৰণীকৃত আইগেন মূল্যৰ সমস্যা
generic name,"বংশৰ নাম, শ্ৰেণীৰ নাম, জাতিৰ নাম"
genus of surface,পৃষ্ঠা নম্বৰ
geodesic,"বিকল্প, জিঅ&#39;ডেচিক"
geometrical,জ্যামিতিক
geometrical construction,জ্যামিতিক ডিজাইন
geometrical mean,জ্যামিতিক গড়
geometrical multiplicity,জ্যামিতিক বহুগুণতা
geometrical probability,জ্যামিতিক সম্ভাৱনা
geometrical progression,জ্যামিতিক অগ্ৰগতি
geometrical series,জ্যামিতিক শৃংখলা
geometrical shape,জ্যামিতিক চিত্ৰ
geometrico arithmetic series,জ্যামিতিক গাণিতিক শৃংখলা
geometry,"জ্যামিতি, জ্যামিতি"
global maximum,সাৰ্বজনীন সৰ্বোচ্চ
global property,সাৰ্বজনীন নূন্যতম সম্পত্তি
global minimum,সাৰ্বজনীন নূন্যতম
global optimum,সাৰ্বজনীন অনুকূল
global property,সাৰ্বজনীন সম্পত্তি
global saddle point,ইউনিভাৰ্চেল এক্সেছ পইণ্ট
goodness of fit,মসৃণতা
grade correlation,ৰেংক সম্পৰ্ক
graded data,গোপনীয় তথ্য
gradient,"ঢাল, গ্ৰেডিয়েন্ট"
gradient density,ঢালৰ ঘনত্ব
gradient of line,ৰেখাৰ ঢাল
gradient of velocity,বেগৰ গ্ৰেডিয়েন্ট
gradient vector,ঢাল ভেক্টৰ
gradient velocity,ঢালৰ বেগ
grading,"গ্ৰেডিং, গ্ৰেডিং, গ্ৰেডিং, লেভেল বেলেন্সিং"
grading analysis,গ্ৰেডিং বিশ্লেষণ
gram,গ্ৰাম
Gram determinant,গ্ৰাম হৰ
Gram - Schmidt orthogonalization process,গ্ৰাম-শ্বমিটৰ সংগঠন প্ৰক্ৰিয়া
grand mean,গ্ৰেট মেইন
grand total,সৰ্বযোগ
graph,"গ্ৰাফ, গ্ৰাফ, গ্ৰাফ"
graphic,গ্ৰাফিক
graphical,গ্রাফিক্স
graphical computation,চিত্ৰাঙ্কিত গণনা
graphical construction,"গ্রাফিক ডিজাইন, গ্রাফিক ডিজাইন"
graphical integration,চিত্ৰাঙ্কিত সংহতি
graphical interpolation,চিত্ৰাঙ্কিত সন্নিৱিষ্ট
graphical method,গ্ৰাফিক পদ্ধতি
graphical representation,"চিত্ৰাংকিত উপস্থাপন, চিত্ৰাংকিত উপস্থাপন"
graphic expression,"গ্রাফিক ৰেচিপি, গ্রাফিক"
graph paper,"গ্ৰাফ পেপাৰ, বৰ্গ কাগজ, গ্ৰাফ পেপাৰ"
gravitation,"মাধ্যাকৰ্ষণ, মাধ্যাকৰ্ষণ"
gravitational accelaration,মহাকৰ্ষণীয় ত্বৰণ
gravitational attraction,"মাধ্যাকৰ্ষণ, মহাকৰ্ষণীয় আকৰ্ষণ"
gravitational constant,মহাকৰ্ষণীয় ধ্ৰুৱক
gravitational curvature,মহাকৰ্ষণীয় বক্ৰতা
gravitational force,মহাকৰ্ষণ বল
gravitational pull,মহাকৰ্ষণীয় টান
gravity,মাধ্যাকৰ্ষণ ক্ষমতা
great bear,সপ্তৰ্ষি
great circle,ডাঙৰ বৃত্ত
great - circle plane,ডাঙৰ বৃত্ত সমতল
great circle route,বহল বৃত্ত
greatest common measure,সৰ্বোচ্চ কাৰক
greatest element,শীৰ্ষ উপাদান
greatest lower bound,সৰ্বোচ্চ নিম্ন সীমা
great number,ভৰ সংখ্যা
great triangle,বহুভুজ
Gregorian calendar,গ্ৰেগৰিয়ান কেলেণ্ডাৰ
Gregorian correction,গ্ৰেগৰিয়ান সংশোধন
Gregory formula,গ্ৰেগৰিয়ান সূত্ৰ
Gregory - Newton formula,গ্ৰেগৰী-নিউটনৰ সূত্ৰ
Gregory series,গ্ৰেগৰিয়ান শ্ৰেণী
gross,"গ্ৰাছ, মুঠ (v.) গ্ৰাছ (n.)"
gross correlation,স্থূল সম্পৰ্ক
gross error,স্থূল ভুল
gross income,মুঠ আয়
group,"শ্ৰেণী, গোট, সংঘ"
group automorphism,গোট গ্ৰহণযোগ্যতা
group axiom,গোটৰ স্বতন্ত্ৰতা
group control,গোট নিয়ন্ত্ৰণ
grouped series,গোট কৰা শ্ৰেণী
group of symmetries,প্ৰতিসমতাৰ গোট
group of transformation,ৰূপান্তৰ গোট
groupoid,conglomerate
group theoretical assumption,গোট তত্ত্বৰ ধাৰণা
group theory,গোট তত্ত্ব
growth,বৃদ্ধি
growth formula,বৃদ্ধিৰ সূত্ৰ
growth rate,বৃদ্ধিৰ হাৰ
g-statistic,g-নমুনা
guessed average,আনুমানিক গড়
half adder,হাফ এডাৰ
