Kannada,Gujarati
ರೇಖಾಚಿತ್ರ,રેખાકૃતિ
ಡಯಲ್ ಮಾಡಿ,ડાયલ
ಡಯಲ್ ಲೈನ್,ડાયલ લાઇન
ಡಯಲ್ ಟೋನ್,ડાયલ ટોન
ಡಯಲ್ ಅಪ್ ಮಾಡಿ,ડાયલ અપ
"1. ಸಂಭಾಷಣೆ, 2. ಸಂಭಾಷಣೆ","1. સંવાદ, 2. વાતચીત"
ಸಂಭಾಷಣೆ ಕೊಠಡಿ,વાતચીત ખંડ
ಡಯಲಪ್ ಮೋಡೆಮ್,ડાયલઅપ મોડેમ
ವಿಮೆ,વીમા
ನಿಘಂಟು,શબ્દકોશ
"1. ಭೇದಾತ್ಮಕ, 2. ವ್ಯತ್ಯಾಸ","1. વિભેદક, 2. તફાવત"
ಸಂಖ್ಯಾತ್ಮಕ,સંખ્યાત્મક
ಡಿಜಿಟಲ್ ವ್ಯವಸ್ಥೆ,ડિજિટલ સિસ્ટમ
ಡಿಜಿಟಲ್ ಸರ್ಕ್ಯೂಟ್,ડિજિટલ સર્કિટ
ಡಿಜಿಟಲ್ ಕಂಪ್ಯೂಟರ್,ડિજિટલ કમ્પ્યુટર
"1.ಡಿಜಿಟಲ್ ಡೇಟಾ, 2.ಡಿಜಿಟಲ್ ಡೇಟಾ","1.ડિજિટલ ડેટા, 2.ડિજિટલ ડેટા"
ಡಿಜಿಟಲ್ ಸೌಲಭ್ಯ,ડિજિટલ સુવિધા
ಡಿಜಿಟಲ್ ಫಿಲ್ಟರ್,ડિજિટલ ફિલ્ટર
ಡಿಜಿಟಲ್ ಲೈಬ್ರರಿ,ડિજિટલ પુસ્તકાલય
ಡಿಜಿಟಲ್ ಮಾಡ್ಯುಲೇಷನ್,ડિજિટલ મોડ્યુલેશન
"1. ಡಿಜಿಟಲ್ ಡಿಸ್ಪ್ಲೇ, 2. ಡಿಜಿಟಲ್ ಮಾನಿಟರ್","1. ડિજિટલ ડિસ્પ્લે, 2. ડિજિટલ મોનિટર"
ಡಿಜಿಟಲ್ ಚಿತ್ರ,ડિજિટલ છબી
"1. ಡಿಜಿಟಲ್ ಸಿಗ್ನೇಚರ್, 2. ಡಿಜಿಟಲ್ ಸಿಗ್ನೇಚರ್","1. ડિજિટલ હસ્તાક્ષર, 2. ડિજિટલ હસ્તાક્ષર"
ಡಿಜಿಟಲ್ ಸ್ವಿಚ್,ડિજિટલ સ્વીચ
ಡಿಜಿಟಲ್ ಅನಲಾಗ್ ಪರಿವರ್ತಕ,ડિજિટલ એનાલોગ કન્વર્ટર
ಡಿಜಿಟಲೀಕರಣ,ડિજિટાઇઝેશન
ಡಿಜಿಟಲೀಕರಣ,ડિજિટાઇઝેશન
ಡಿಜಿಟೈಸರ್,ડિજિટાઇઝર
ಡಯೋಡ್,ડાયોડ
ಮೊದಲ ನೋಟ,પ્રથમ નજરે
ನೇರ ವಿಳಾಸ,સીધું સરનામું
ನೇರ ಪರಿವರ್ತನೆ,સીધું રૂપાંતર
ನೇರ ಜೋಡಣೆ,સીધું જોડાણ
"1. ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ, 2. ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA)","1. ડાયરેક્ટ મેમરી એક્સેસ, 2. ડાયરેક્ટ મેમરી એક્સેસ (DMA)"
ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA),ડાયરેક્ટ મેમરી એક્સેસ (DMA)
ನೇರ ವಿಧಾನ,સીધી પદ્ધતિ
ನಿರ್ದೇಶನಗಳು,દિશાઓ
ಡೈರೆಕ್ಟರಿ,ડિરેક્ટરી
"1. ಡೈರೆಕ್ಟರಿ ಸರ್ವರ್, 2. ಡೈರೆಕ್ಟರಿ ಸರ್ವರ್","1. ડિરેક્ટરી સર્વર, 2. ડિરેક્ટરી સર્વર"
ಡೈರೆಕ್ಟರಿ ಸೇವೆ,ડિરેક્ટરી સેવા
ಸಾಧ್ಯವಾಗುವುದಿಲ್ಲ,અસમર્થ
ಸಂಕೇತವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುವುದು,નિષ્ક્રિય સંકેત
"1. ಸಂಪರ್ಕ ಕಡಿತ, 2. ಸಂಪರ್ಕ ಕಡಿತ","1. ડિસ્કનેક્શન, 2. ડિસ્કનેક્શન"
"1. ಡಿಸ್ಕ್ರೀಟ್, 2. ಡಿಸ್ಕ್ರೀಟ್","1. અલગ, 2. અલગ"
"1. ಡಿಸ್ಕ್, 2. ಡಿಸ್ಕ್","1. ડિસ્ક, 2. ડિસ્ક"
"1. ಡಿಸ್ಕ್ ವಿಳಾಸ, 2. ಡಿಸ್ಕ್ ವಿಳಾಸ","1. ડિસ્ક સરનામું, 2. ડિસ્ક સરનામું"
"1. ಡಿಸ್ಕ್ ಅರೇ, 2. ಡಿಸ್ಕ್ ಅರೇ","1. ડિસ્ક એરે, 2. ડિસ્ક એરે"
"1. ಡಿಸ್ಕ್ ಸಾಮರ್ಥ್ಯ, 2. ಡಿಸ್ಕ್ ಸಾಮರ್ಥ್ಯ","1. ડિસ્ક ક્ષમતા, 2. ડિસ્ક ક્ષમતા"
"1. ಡಿಸ್ಕ್ ಡ್ರೈವರ್, 2. ಡಿಸ್ಕ್ ಡ್ರೈವ್","1. ડિસ્ક ડ્રાઈવર, 2. ડિસ્ક ડ્રાઈવ"
ಡಿಸ್ಕ್ ಫೈಲ್,ડિસ્ક ફાઇલ
"1. ಡಿಸ್ಕ್ ಮೆಮೊರಿ, 2. ಡಿಸ್ಕ್ ಮೆಮೊರಿ, 3. ಡಿಸ್ಕ್ ಮೆಮೊರಿ, 4. ಡಿಸ್ಕ್ ಮೆಮೊರಿ","1. ડિસ્ક મેમરી, 2. ડિસ્ક મેમરી, 3. ડિસ્ક મેમરી, 4. ડિસ્ક મેમરી"
ಡಿಸ್ಕ್ ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಮ್ (DoS),ડિસ્ક ઓપરેટિંગ સિસ્ટમ (DoS)
ಡಿಸ್ಕ್ ಪ್ಯಾಕೇಜ್,ડિસ્ક પેકેજ
"1.ಚಕ್ರಿಕಾ ಸರ್ವರ್, 2.ಡಿಸ್ಕ್ ಸರ್ವರ್","1.ચક્રિકા સર્વર, 2.ડિસ્ક સર્વર"
"1. ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ, 2. ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ","1. ડિસ્ક સંગ્રહ, 2. ડિસ્ક સંગ્રહ"
ಡಿಸ್ಕೆಟ್,ડિસ્કેટ
ಪ್ರದರ್ಶನ ಫೈಲ್,ડિસ્પ્લે ફાઇલ
ಚಿತ್ರವನ್ನು ಪ್ರದರ್ಶಿಸಿ,પ્રદર્શિત છબી
ವಿಲೇವಾರಿ,નિકાલ
ದೂರ,અંતર
ದೂರ ಕಾರ್ಯ,અંતર કાર્ય
ಅಸ್ಪಷ್ಟತೆ,વિકૃતિ
ವಿತರಿಸಲಾಯಿತು,વિતરિત
ವಿತರಿಸಿದ ಡೇಟಾ,વિતરિત ડેટા
ವಿತರಿಸಿದ ಸರ್ವರ್,વિતરિત સર્વર
"1.ಡಿಸ್ಟ್ರಿಬ್ಯೂಟೆಡ್ ಸಿಸ್ಟಮ್, 2.ಡಿಸ್ಟ್ರಿಬ್ಯೂಟೆಡ್ ಸಿಸ್ಟಮ್","1.વિતરિત સિસ્ટમ, 2.વિતરિત સિસ્ટમ"
ವಿತರಕ,વિતરક
ದಾಖಲೆ,દસ્તાવેજ
ಡಾಕ್ಯುಮೆಂಟ್ ಮಾನ್ಯತೆ ಪಡೆದಿದೆ,દસ્તાવેજ અધિકૃત
"1. ಡಾಕ್ಯುಮೆಂಟ್ ವಿಂಡೋ, 2. ಡಾಕ್ಯುಮೆಂಟ್ ವಿಂಡೋ","1. ડોક્યુમેન્ટ વિન્ડો, 2. ડોક્યુમેન્ટ વિન્ડો"
ದಸ್ತಾವೇಜನ್ನು,દસ્તાવેજીકરણ
"ಡೊಮೇನ್, ಡೊಮೇನ್","ડોમેન, ડોમેન"
ಕಾರ್ಯಕ್ಷೇತ್ರದ ಹೆಸರು,ડોમેન નામ
"1. ಡಾಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಪ್ರಿಂಟರ್, 2. ಡಾಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಪ್ರಿಂಟರ್","1. ડોટ મેટ્રિક્સ પ્રિન્ટર, 2. ડોટ મેટ્રિક્સ પ્રિન્ટર"
"ಕೆಳಗೆ, ಕೆಳಗೆ","નીચે, નીચે"
"1.ಅವಲಿಂಕ್, 2.ಚದರ","1.અવલિંક, 2.ચોરસ"
ಡೌನ್ಲೋಡ್,ડાઉનલોડ કરો
ಡೌನ್‌ಲೋಡ್ ಸಮಯ,ડાઉનલોડ સમય
ಎಳೆತ,ટ્રેક્શન
DRAM (ಡೈನಾಮಿಕ್ RAM),DRAM (ડાયનેમિક રેમ)
ಹರಿವು,વહેણ
ಚಾಲಕ,ડ્રાઈવર
ಎಲೆಗಳು,પાંદડા
ಡ್ರಾಪ್ ಪಟ್ಟಿ ಬಾಕ್ಸ್,ડ્રોપ લિસ્ટ બોક્સ
ಡ್ರಮ್ ಡ್ರೈವ್,ડ્રમ ડ્રાઇવ
"1.ಡ್ರಮ್ ಪ್ರಿಂಟರ್, 2.ಡ್ರಮ್ ಪ್ರಿಂಟರ್","1.ડ્રમ પ્રિન્ટર, 2.ડ્રમ પ્રિન્ટર"
"1. ಇಮ್ ಘಟಕ, 2. ಡ್ರಮ್ ಘಟಕ","1. ઇમ યુનિટ, 2. ડ્રમ યુનિટ"
"1. ದ್ವಂದ್ವತೆ, 2. ದ್ವಿ","1. દ્વૈત, 2. દ્વિ"
ಉಭಯ ಸಾಂದ್ರತೆ,બેવડી ઘનતા
"1. ಮೌನ ವಿಳಾಸ, 2. ನಕಲಿ ವಿಳಾಸ","1. મૌન સરનામું, 2. નકલી સરનામું"
ಡಂಪ್,ડમ્પ
ಡಬಲ್ ಸರ್ಕ್ಯೂಟ್,ડબલ સર્કિટ
ಕಾನೂನುಬದ್ಧಗೊಳಿಸುವಿಕೆ,કાયદેસરકરણ
ಪ್ರಮುಖ ಕೀ,કી કી
"1.ಡಿ ವಿ ಡಿ ಆರ್./ಡಬ್ಲ್ಯೂ, 2. ಡಿವಿಡಿ ಓದುವಿಕೆ, 3. ಬರವಣಿಗೆ","1.D V D R./W, 2. ડીવીડી વાંચન, 3. લેખન"
ಡಿವಿಡಿ ರಾಮ್,ડીવીડી રોમ
ಡೈನಾಮಿಕ್ ಸೂಚನೆ,ગતિશીલ સૂચના
"1.ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ, 2.ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ","1.ડાયનેમિક મેમરી, 2.ડાયનેમિક મેમરી"
"1. ಡೈನಾಮಿಕ್ಸ್, 2. ಡೈನಾಮಿಕ್ಸ್","1. ડાયનેમિક્સ, 2. ડાયનેમિક્સ"
ಇ ಬಿ ಸಿ ಡಿ ಐ ಸಿ,E B C D I C
ಇ-ವ್ಯವಹಾರ,ઈ-વ્યવસાય
ಪ್ರತಿಧ್ವನಿ,પડઘો
"1.ಇ-ಕಾಮರ್ಸ್, 2.ಇ-ಕಾಮರ್ಸ್","1.e-commerce, 2.e-commerce"
ಸಂಪಾದನೆ,સંપાદન
ಸಂಪಾದಕ,સંપાદક
ಶೈಕ್ಷಣಿಕ ತಂತ್ರಜ್ಞಾನ,શૈક્ષણિક ટેકનોલોજી
ಇ ಇ ಪಿ ರೋಮ್,e e p rom
"1. ಅರ್ಥಪೂರ್ಣ ವಿಳಾಸ, 2. ಪರಿಣಾಮಕಾರಿ ವಿಳಾಸ","1. અર્થપૂર્ણ સરનામું, 2. અસરકારક સરનામું"
ಅರ್ಥಪೂರ್ಣ ಕಾರ್ಯನಿರ್ವಹಣಾ ವಿಳಾಸ,અર્થપૂર્ણ ઓપરેન્ડ સરનામું
ಪರಿಣಾಮಕಾರಿ ಕ್ರಮ,અસરકારક કાર્યવાહી
ಪರಿಣಾಮಕಾರಿ UID,અસરકારક UID
ಪರಿಣಾಮಕಾರಿ ಪ್ರಸರಣ ಕಾರ್ಯಾಚರಣೆ,અસરકારક ટ્રાન્સમિશન કામગીરી
ಆಕ್ಟಲ್ ಬೈಟ್,ઓક્ટલ બાઈટ
"ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಕಲಿಕೆ, ಇ-ಕಲಿಕೆ","ઈલેક્ટ્રોનિક લર્નિંગ, ઈ-લર્નિંગ"
ಚುನಾವಣಾ ಅಲ್ಗಾರಿದಮ್,ચૂંટણી અલ્ગોરિધમ
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಮೇಲ್ ಸೇವೆ (ಇ-ಮೇಲ್),ઈલેક્ટ્રોનિક મેઈલ સર્વિસ (ઈ-મેલ)
"1.ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಪ್ರಿಂಟಿಂಗ್, 2.ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಪ್ರಿಂಟರ್","1.ઈલેક્ટ્રોનિક પ્રિન્ટિંગ, 2.ઈલેક્ટ્રોનિક પ્રિન્ટર"
ವಿದ್ಯುತ್ ಲೆಕ್ಕಪತ್ರ ಯಂತ್ರ,ઇલેક્ટ્રિકલ એકાઉન્ટિંગ મશીન
ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,ઈલેક્ટ્રોનિક્સ
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಎಕ್ಸಾಸ್ಟ್ ಸಿಸ್ಟಮ್ (ECS),ઇલેક્ટ્રોનિક એક્ઝોસ્ટ સિસ્ટમ (ECS)
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ವಿನಿಮಯ (EDI),ઇલેક્ટ્રોનિક ડેટા એક્સચેન્જ (EDI)
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,ઇલેક્ટ્રોનિક ડેટા પ્રોસેસિંગ
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಕರಪತ್ರ,ઇલેક્ટ્રોનિક બ્રોશર
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಫಂಡ್ ಟ್ರಾನ್ಸ್ಫರ್ ಮೆಕ್ಯಾನಿಸಂ (EFTS),ઇલેક્ટ્રોનિક ફંડ ટ્રાન્સફર મિકેનિઝમ (EFTS)
"1.ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಜರ್ನಲ್, 2.ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಜರ್ನಲ್","1.ઈલેક્ટ્રોનિક જર્નલ, 2.ઈલેક્ટ્રોનિક જર્નલ"
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಪ್ರಕಟಣೆ,ઇલેક્ટ્રોનિક પ્રકાશન
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸ್ವಿಚ್,ઇલેક્ટ્રોનિક સ્વીચ
"ಅಂಶ, ಅಂಶ","તત્વ, તત્વ"
ಇ-ಮೇಲ್,ઈ-મેલ
"1. ಇಮೇಲ್ ವಿಳಾಸ, 2. ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಮೇಲಿಂಗ್ ವಿಳಾಸ","1. ઈ-મેલ સરનામું, 2. ઈલેક્ટ્રોનિક મેઈલિંગ સરનામું"
ಎಂಬೆಡೆಡ್ ಸಿಸ್ಟಮ್,એમ્બેડેડ સિસ્ટમ
ಎಂಬೆಡಿಂಗ್,એમ્બેડિંગ
ಹೊರಸೂಸುವ ಕಪಲ್ಡ್ ಲಾಜಿಕ್ (ECL),એમિટર કમ્પલ્ડ લોજિક (ECL)
ಖಾಲಿ ಜಾಗ,ખાલી જગ્યા
"1. ಖಾಲಿ ಸರಪಳಿ, 2. ಖಾಲಿ ಸರಪಳಿ","1. ખાલી સાંકળ, 2. ખાલી સાંકળ"
ಯಾಂತ್ರೀಕರಣ,યાંત્રિકરણ
"1.ಕ್ಯಾಪ್ಸುಲೇಶನ್, 2.ಕ್ಯಾಪ್ಸುಲೇಶನ್","1.કેપ્સ્યુલેશન, 2.કેપ્સ્યુલેશન"
ಡಿಕೋಡರ್,ડીકોડર
ಎನ್ಕೋಡಿಂಗ್,એન્કોડિંગ
"1. ಎನ್‌ಕೋಡರ್, 2. ಕೊಡಾಕ್","1. એન્કોડર, 2. કોડક"
ಗುಪ್ತ ಡೇಟಾ,છુપાયેલ ડેટા
ಗುಪ್ತ ಫೈಲ್ ಸಿಸ್ಟಮ್,છુપાયેલ ફાઇલ સિસ્ટમ
"1. ಎನ್‌ಕ್ರಿಪ್ಶನ್, 2. ಕೋಡಿಂಗ್, 3. ಎನ್‌ಕೋಡಿಂಗ್","1. એન્ક્રિપ્શન, 2. કોડિંગ, 3. એન્કોડિંગ"
ಬ್ಲಾಕ್ ಅಂತ್ಯ,બ્લોક અંત
ಕಡತ-ಅಂತ್ಯ,ફાઇલ-એન્ડ
ಬಳಕೆದಾರ,વપરાશકર્તા
ನಮೂದಿಸಿ,દાખલ કરો
ಪ್ರವೇಶ ಕೀ,એન્ટ્રી કી
"1. ಉದ್ಯಮ ಸರ್ವರ್, 2. ಉದ್ಯಮ ಸೇವಕ","1. ઉદ્યમ સરવર, 2. ઉદ્યમ સેવક"
ಉದ್ಯಮ ವ್ಯವಸ್ಥೆ,એન્ટરપ્રાઇઝ સિસ્ટમ
ಶಕ್ತಿ,શક્તિ
ಶಕ್ತಿ ಬಾಂಧವ್ಯ,શક્તિ આકર્ષણ
ಪ್ರವೇಶ ಸಮಯ,પ્રવેશ સમય
ಇನ್ಪುಟ್ ವೇರಿಯಬಲ್,ઇનપુટ ચલ
ಎಣಿಸಬಹುದಾದ,ગણતરીપાત્ર
ಪರಿಸರ,પર્યાવરણ
"1.ಯುಗ, 2. ಯುಗ, 3. ಸೂಚನೆಯ ಕ್ಷಣ","1.યુગ, 2. યુગ, 3. સૂચના ક્ષણ"
EPRAM (ಹಣಕಾಸು ಪ್ರೋಗ್ರಾಮೆಬಲ್ ಓದಲು-ಮಾತ್ರ ಮೆಮೊರಿ),EPRAM (ફાઇનાન્સ પ્રોગ્રામેબલ રીડ-ઓન્લી મેમરી)
ಎಪ್ಸಿಲಾನ್ ಸಂಕೋಚಕ,એપ્સીલોન કન્સ્ટ્રક્ટર
ಈಕ್ವಲೈಜರ್,બરાબરી
ಉಪಕರಣ,સાધનસામગ્રી
ಸಮಾನತೆಯ ವರ್ಗ,સમાનતા વર્ગ
ಸಮಾನ ಸಂಬಂಧ,સમાન સંબંધ
"1. ಅಳಿವು, 2. ನಿರ್ಮೂಲನೆ","1. લુપ્તતા, 2. નાબૂદી"
ದೋಷ ತಿದ್ದುಪಡಿ ಕೋಡ್,ભૂલ સુધારણા કોડ
ದೋಷ ತಿದ್ದುಪಡಿ,ભૂલ સુધારણા
ದೋಷ ಪತ್ತೆ,ભૂલ શોધ
ದೋಷ ನಿರ್ವಹಣೆ,ભૂલ હેન્ડલિંગ
ತಪ್ಪು ಸಂದೇಶ,ક્ષતી સંદેશ
ದೋಷ ದರ,ભૂલ દર
ದೋಷ ಚೇತರಿಕೆ,ભૂલ પુનઃપ્રાપ્તિ
ದೋಷ ಹೆಸರು,ભૂલ નામ
ಪಾರು ಚಿಹ್ನೆ,એસ્કેપ પ્રતીક
ಈಥರ್ನೆಟ್,ઈથરનેટ
ಈವೆಂಟ್,ઘટના
ಈವೆಂಟ್ ಸರಣಿ,ઘટના સાંકળ
ಈವೆಂಟ್ ನಿಯಂತ್ರಣ,ઘટના નિયંત્રણ
ಈವೆಂಟ್ ಕೌಂಟರ್,ઇવેન્ટ કાઉન્ટર
ವಿನಾಯಿತಿ ನಿರ್ವಹಣೆ,અપવાદ હેન્ડલિંગ
ವಿನಿಮಯ ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ,એક્સચેન્જ ડિસ્ક સ્ટોરેજ
ಹೊರಗಿಡುವಿಕೆ,બાકાત
ವಿಶೇಷ ಮತ್ತು (x ಅಥವಾ),વિશિષ્ટ અને (x અથવા)
ಕಾರ್ಯಗತಗೊಳಿಸಬಹುದಾದ ಪ್ರೋಗ್ರಾಂ,એક્ઝિક્યુટેબલ પ્રોગ્રામ
ಮರಣದಂಡನೆ ಹೇಳಿಕೆ,અમલ નિવેદન
ಆಯ್ದ ಹುಡುಕಾಟ,પસંદગીયુક્ત શોધ
ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ,અસ્તિત્વમાં છે
ಸಮಸ್ಯೆ,મુદ્દો
ತಜ್ಞ ವ್ಯವಸ್ಥೆ,નિષ્ણાત સિસ્ટમ
"1. ಅಭಿವ್ಯಕ್ತಿ, 2. ಅಭಿವ್ಯಕ್ತಿ","1. અભિવ્યક્તિ, 2. અભિવ્યક્તિ"
ವಿಸ್ತೃತ ಗ್ರಾಫಿಕಲ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ (x g a),વિસ્તૃત ગ્રાફિકલ મેટ્રિક્સ (x g a)
ವಿಸ್ತೃತ ಕೈಗಾರಿಕಾ ಮಾನದಂಡಗಳು (EIS),વિસ્તૃત ઔદ્યોગિક ધોરણો (EIS)
ಓವರ್ಲೋಡ್ ಯಂತ್ರ,ઓવરલોડ મશીન
ವಿಸ್ತೃತ ಸ್ಮರಣೆ,વિસ્તૃત મેમરી
"1. ವಿಸ್ತೃತ ನಿಖರತೆ, 2. ವಿಸ್ತೃತ ನಿಖರತೆ","1. વિસ્તૃત ચોકસાઇ, 2. વિસ્તૃત ચોકસાઈ"
"1.ವಿಸ್ತರಿತ ವಿಂಗಡಣೆ, 2.ವಿಸ್ತರಿತ ಪ್ರತ್ಯೇಕತೆ","1.વિસ્તૃત સૉર્ટિંગ, 2.વિસ્તૃત વિભાજન"
ಕರೆ ಮಾಡಿ,કૉલ કરો
ಬಾಹ್ಯ ದೋಷ,બાહ્ય ભૂલ
ಬಾಹ್ಯ ಕಾರ್ಯ,બાહ્ય કાર્ય
ಬಾಹ್ಯ ಅಡಚಣೆ,બાહ્ય વિક્ષેપ
"1.ಬಾಹ್ಯ ಸ್ಮರಣೆ, 2.ಬಾಹ್ಯ ಸ್ಮರಣೆ","1.એક્સ્ટર્નલ મેમરી, 2.એક્સટર્નલ મેમરી"
ಬಾಹ್ಯ ಸ್ಮರಣೆ,બાહ્ય મેમરી
ಬಾಹ್ಯ ಮೋಡೆಮ್,બાહ્ય મોડેમ
ಬಾಹ್ಯ ಉಲ್ಲೇಖ,બાહ્ય સંદર્ભ
ಬಾಹ್ಯ ಹುಡುಕಾಟ,બાહ્ય શોધ
ಬಾಹ್ಯ ಶೇಖರಣಾ ಸಾಧನ,બાહ્ય સંગ્રહ ઉપકરણ
ಹೊರತೆಗೆಯುವಿಕೆ,નિષ્કર્ષણ
ಹೊರತೆಗೆಯುವಿಕೆ,એક્સ્ટ્રાપોલેશન
ಫಲಕ ಅಕ್ಷರ ಮುದ್ರಕ,પેનલ અક્ષર પ્રિન્ટર
ವೈಫಲ್ಯ-ಸುರಕ್ಷತಾ ಕಾರ್ಯಾಚರಣೆ,નિષ્ફળ-સુરક્ષા કામગીરી
ವಿಫಲತೆಯ ದರ,નિષ્ફળતા દર
ವೈಫಲ್ಯ ವಿಸರ್ಜನೆ,નિષ્ફળતા સ્રાવ
ತಪ್ಪು ಕೋಡ್,ખોટો કોડ
ತಪ್ಪು ದೋಷ,ખોટી ભૂલ
"1.ಹೂಡಿಕೆ, 2.ಹೂಡಿಕೆ ಅಂಕಗಳು","1.રોકાણ, 2.રોકાણ પોઈન્ટ્સ"
"1. ಸಂಚಿಕೆ, 2. ಸಂಚಿಕೆ ಸಂಖ್ಯೆ","1. અંક, 2. અંક નંબર"
"1. ರೆಪ್ಲಿಕೇಶನ್ I/O ಸಾಧನ, 2. ಪ್ರತಿಕೃತಿ ಇನ್‌ಪುಟ್ ಸಾಧನ/ಔಟ್‌ಪುಟ್","1. પ્રતિકૃતિ I/O ઉપકરણ, 2. પ્રતિકૃતિ ઇનપુટ ઉપકરણ/આઉટપુટ"
ಕ್ಷಿಪ್ರ ಫೋರ್ಯರ್ ವರ್ಗಾವಣೆ,ઝડપી ફોરિયર ટ્રાન્સફર
ಗಂಭೀರವಾದ ತಪ್ಪು,જીવલેણ ભૂલ
ದೋಷ ಪತ್ತೆ,ખામી શોધ
ದೋಷ ರೋಗನಿರ್ಣಯ,ખામી નિદાન
ದೋಷಸಹಿಷ್ಣುತೆ,સહનશીલતા દોષ
ಫ್ಯಾಕ್ಸ್,ફેક્સ
ಫ್ಯಾಕ್ಸ್ ಸಂದೇಶ,ફેક્સ સંદેશ
ಎಫ್ ಡಿಸಿ,f dc
ರೋಗಲಕ್ಷಣ ಪತ್ತೆ,લક્ષણ શોધ
ತುಂಬುವ ಚಕ್ರ,ફિલ વ્હીલ
ಮರುಹೂಡಿಕೆ,પુનઃરોકાણ
"1. ಪೂರೈಕೆದಾರ, 2. ಪೋಷಣೆ, 3. ಫೀಡರ್","1.સપ્લાયર, 2.પોષણ, 3.ફીડર"
ಯಾವುದೇ,કોઈપણ
ಫಿಬೊನಾಕಿ ಅನ್ವೇಷಣೆ,ફિબોનાકી શોધ
ಫಿಬೊನಾಕಿ ಅನುಕ್ರಮ,ફિબોનાકી ક્રમ
ಫಿಬೊನಾಕಿ ಸರಣಿ,ફિબોનાકી શ્રેણી
ಫೈಬರ್ ಆಪ್ಟಿಕ್ಸ್,ફાઇબર ઓપ્ટિક્સ
ಫಿಡೋ ಬಲೆ,ફિડો ટ્રેપ
ಪ್ರದೇಶ,પ્રદેશ
ಐದನೇ ತಲೆಮಾರಿನ ಕಂಪ್ಯೂಟರ್,પાંચમી પેઢીનું કમ્પ્યુટર
"1. ಫೈಲ್, 2. ಕಡತ","1.ફાઈલ, 2. ફાઇલ"
ಫೈಲ್ ಪ್ರವೇಶ ವಿಧಾನ,ફાઇલ એક્સેસ પદ્ધતિ
ಫೈಲ್ ಹಂಚಿಕೆ ಕೋಷ್ಟಕ,ફાઈલ ફાળવણી ટેબલ
ಫೈಲ್ ಕಂಪ್ರೆಷನ್,ફાઇલ કમ્પ્રેશન
ಫೈಲ್ ನಕಲು,ફાઇલ નકલ
ಫೈಲ್ ಕಾನ್ಫಿಗರೇಶನ್,ફાઇલ રૂપરેખાંકન
ಫೈಲ್ ವಿಲೀನ,ફાઇલ મર્જ
ಫೈಲ್ ಚೇತರಿಕೆ,ફાઇલ પુનઃપ્રાપ્તિ
ಫೈಲ್ ಸಂಗ್ರಹಣೆ,ફાઇલ સંગ્રહ
ಫೈಲ್ ರಚನೆ,ફાઇલ માળખું
ಕಡತ ವ್ಯವಸ್ಥೆ,ફાઇલ સિસ્ટમ
ಫೈಲ್ ವರ್ಗಾವಣೆ,ફાઇલ ટ્રાન્સફર
ಫೈಲ್ ವರ್ಗಾವಣೆ ಪ್ರೋಟೋಕಾಲ್ (FTP),ફાઇલ ટ્રાન્સફર પ્રોટોકોલ (FTP)
ಫಿಲ್ಟರ್,ફિલ્ટર
ಕೊನೆಯ ಸ್ಥಾನ,છેલ્લી સ્થિતિ
ಹುಡುಕಿ Kannada,શોધો
ಸೀಮಿತ ಸ್ಥಿತಿಯ ಯಂತ್ರ,મર્યાદિત રાજ્ય મશીન
ಬೆಂಕಿ ಗೋಡೆ,આગ દિવાલ
ಫರ್ಮ್ವೇರ್,ફર્મવેર
ಮೊದಲು ಬಂದವರಿಗೆ ಮೊದಲ ಸೇವೆ,વહેલા તે પહેલાં
