Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Commodity,"ପଣ୍ୟଦ୍ରବ୍ୟ, ଦ୍ରବ୍ୟ"
Common,"ସାଧାରଣ, ଜଣାଶୁଣା, କୋଠା, ଗୋଷ୍ଠୀଗତ"
Communal,ସାମ୍ପ୍ରଦାୟିକ
Communal harmony,ସାଂପ୍ରଦାୟିକ ସଦ୍ଭାବ
Communicate,"ଜଣାଇ ଦେବା, ସଂସୂଚିତ କରିବା, ସମ୍ବାଦ ଦେବା"
Communication,"ଯୋଗାଯୋଗ, ସଂସୂଚନା, ସଂସୂଚନା ପତ୍ର, ଭାବର ଆଦାନପ୍ରଦାନ"
Communication gap,ସମ୍ବାଦ ସଂପ୍ରେକ୍ଷଣ ଅଭାବ
Communique,ସରକାରୀ ବିଜ୍ଞପ୍ତି/ଇସ୍ତାହାର
Community,ଗୋଷ୍ଠୀ
Community centre,"ଗୋଷ୍ଠୀ କେନ୍ଦ୍ର, ଅବସରବିନୋଦନ କେନ୍ଦ୍ର"
Community development project,ଗୋଷ୍ଠୀ ଉନ୍ନୟନ ପରିଯୋଜନା
Community service,ଗୋଷ୍ଠୀ ସେବା
Commutation,"ଲଘୁ କରଣ, ପ୍ରତିବିନିମୟ, ପରିବର୍ତ୍ତନ"
Commuted leave,"ବଦଳା ଛୁଟି, ପରିବର୍ତ୍ତିତ ଛୁଟି"
Commuted value,ସାଂରାଣୀକୃତ ମୂଲ୍ୟ
Comparison,"ତୁଳନା, ମିଳାଣ"
Compassion,"କରୁଣା, ଅନୁକମ୍ପା"
Compassionate ground,ଅନୁକମ୍ପା ଭିତି
Compassionate leave,ଅନୁକମ୍ପା ଛୁଟି
Compatible,ସୁସଙ୍ଗତ
Compel,ବାଧ୍ୟ କରିବା
Compendium,ସାର ସଂଗ୍ରହ
Compensation,କ୍ଷତିପୂରଣ
Compensatory allowance,କ୍ଷତିପୂରକ ଭତ୍ତା
Compensatory leave,କ୍ଷତିପୂରକ ଛୁଟି
Competence,କାର୍ଯ୍ୟ ଦକ୍ଷତା
Competent,"କାର୍ଯ୍ୟଦକ୍ଷ, କ୍ଷମତାପନ୍ନ"
Competent authority,କ୍ଷମତାପନ୍ନ ଅଧିକାରୀ
Competition,ପ୍ରତିଯୋଗିତା
Competitive examination,ପ୍ରତିଯୋଗିତାମୂଳକ ପରୀକ୍ଷା
Compilation,ସଙ୍କଳନ
Complaint,"ଫରିଆଦ, ଫେରାଦ, ଅଭିଯୋଗ, ଆପତ୍ତି"
Complaint book,ଅଭିଯୋଗ ପୁସ୍ତିକା
Complement,ପୁରକ
Complementary,"ପରିପୂରକ, ପରସ୍ପରକୁ ସମର୍ଥନ କରୁଥିବା"
Complete,"ସମାପ୍ତ କରିବା, ପୂର୍ଣ୍ଣ କରିବା, ସମାପ୍ତସ ସଂପୂର୍ଣ୍ଣ"
Completion certificate,ସମାପ୍ତି ପ୍ରମାଣପତ୍ର
Compliance,"ଅନୁପାଳନ, ଆଦେଶ ପାଳନ"
Complicated,ଜଟିଳ
Compliment,"ଅଭିନନ୍ଦନ, ସମ୍ମାନ"
Complimentary copy,ବିନାମୂଲ୍ୟରେ ପ୍ରଦର ପୁସ୍ତକ
Comply with,ଅନୁପାଳନ
Composite culture,ମିଶ୍ର ସଂସ୍କୃତି
Composition,"ରଚନା, ମିଶ୍ରଣ, ରଫା, ଅକ୍ଷରଖଞ୍ଜା, ନିର୍ମାଣ"
Comprehensive,"ଅବୋଧ୍ୟ, ବ୍ୟାପକ, ବିସ୍କୃତ"
Comprehensive insurance,ବ୍ୟାପକ ବୀମା
Compromise,"ସାଲିସ କରିବା, ସାଲିସ"
Compulsory,"ବାଧ୍ୟତାମୂଳକ, ଅନିବାର୍ଯ୍ୟ"
Compulsory retirement,"ବାଧ୍ୟତାମୂଳକ ଅବସର, ଅନିବାର୍ଯ୍ୟ ସେବା ନିବୃତି"
Computer,"ସଂଗଣକ, କମ୍ପ୍ୟୁଟର"
Computer centre,କମ୍ପ୍ୟୁଟର କେନ୍ଦ୍ର
Computer friendly,କମ୍ପ୍ୟୁଟର ଅନୁକୁଳ
Computerization,କମ୍ପ୍ୟୁଟର କରଣ
Computer language,କମ୍ପ୍ୟୁଟର ଭାଷା
Computer literacy,କମ୍ପ୍ୟୁଟର ସାକ୍ଷରତା
Concept,ଧାରଣା
Concern,"ବିଷୟ, ସମ୍ପର୍କ, ବ୍ୟାପାର, ଉଦବେଗ, ସଂପୃକ୍ତ କରିବା, ସଂପୃକ୍ତ ହେବା"
Concession,"ରିଆତି, ରିହାତି"
Concessional rate,ରିହାତି ଦର
Concession certificate,ରିହାତି ପ୍ରମାଣପତ୍ର
Conciliation,"ମିଳାମିଶା, ତୋଷଣ"
Concluding remarks,ସମାପନ ମନ୍ତବ୍ୟ
Conclusion,"ସମାପ୍ତ, ଉପସଂହାର, ନିର୍ଣ୍ଣୟ"
Conclusive,ନିର୍ଣ୍ଣାୟକ
Concur,"ସହମତ ହେବା, ସମବର୍ତ୍ତୀ ହେବା, ସହଯୋଗୀ ହେବା"
Concurrence,"ସହମତି, ସମବର୍ତ୍ତିତା"
Condemn,"ଦୋଷ ଦେବା, ଅକାମୀ କରିବା"
Condition,"ସର୍ତ୍ତ, ଅବସ୍ଥା, ଦଶା"
Conditional,ସର୍ତ୍ତମୂଳକ
Conditional acceptance,ସର୍ତ୍ତମୂଳକ ସ୍ୱୀକୃତୀ
Conditions of contract,ଠିକା ସର୍ତ୍ତ
Conditions of service,ସେବା ମାଫି
Condolence,"ସମବେଦନା ଜଣାଇବା, ଶୋକ ପ୍ରକାଶ କରିବା"
Condone,"ମାଫ୍ କରିବା, କ୍ଷମା ଦେବା"
Conduct,"ଆଚରଣ, ସଞ୍ଚାଳନ, କାର୍ଯ୍ୟ ସଞ୍ଚାଳନ, ସଞ୍ଚାଳନ କରିବା, ଦିଗ ନିର୍ଦ୍ଦେଶ କରିବା"
Conduct rules,ଆଚରଣ ନିୟମାବଳୀ
Conference,ସମ୍ମିଳନୀ
Conference room,ସମ୍ମିଳନୀ କକ୍ଷ
Conferencing facility,"ସମ୍ମିଳନୀ ସୁବିଧା, ବାର୍ତ୍ତାଳାପ ସୁବିଧା"
Confer,"ଅର୍ପଣ କରିବା, କଥା ହେବା"
Confidential,ଗୋପନୀୟ
Confinement,"କୋରାରୋଧ, ପ୍ରସବାବସ୍ଥା"
Confirm,"କାଏମ କରିବା, ବାହାଲ କରିବା, ସ୍ଥାଯୀ କରିବା, ସତ୍ୟ-ପ୍ରମାଣ କରିବା"
Confirmation,"ସ୍ଥାୟୀକରଣ, ବାହାଲ, ଦୃଢ଼ୀକରଣ ସମର୍ଥନ"
Confirmation of service,ସେବା ସ୍ଥାଯୀ କରଣ
Confirmation order,ସ୍ଥାୟୀକରଣ ଆଦେଶ
Confiscation,"ବାଜ୍ୟାପ୍ତି, ଜବତ"
Conflict,ଦ୍ୱନ୍ଦ୍ୱ
Conflicting views,ବିରୋଧି ଦୃଷ୍ଟିପକ୍ଷ
Conformity,"ଅନୁରୂପତା, ସମ୍ମତି"
Congratulation,ଅଭିନନ୍ଦନ
Connection,"ସଂଯୋଗ, ସମ୍ବନ୍ଧ, ସଂପର୍କ"
Connivance,"ଭିତିରି ସହଯୋଗ, ମୌନ ସହମତି"
Conscience,ବିବେକ
Consensus,"ମତୈକ୍ୟ, ମତ-ଏକତା"
Consent,ସମ୍ମତି
Consequence,ପରିଣାମ
Consequent,"ପରିଣାମୀ, ଅନୁଶାରୀ, ଅନୁବର୍ତ୍ତୀ, ଆନୁଷଙ୍ଗିକ, ନ୍ୟାୟସଙ୍ଗତ"
Conservation,"ସଂରକ୍ଷଣ, ଅବ୍ୟୟନ, କ୍ଷୟ ନିବାରଣ"
Consideration zone,ବିଚାର କ୍ଷେତ୍ର
Consignee,"ମାଲ୍ ଗ୍ରାହୀତା, ମାଲ୍ ଗ୍ରାହୀ, ମାଲ୍ ପ୍ରାପକ"
Consignment,"ପ୍ରେରିତ ମାଲ୍, ମାଲ୍ ପ୍ରେରଣ, ପ୍ରେରଣ ପତ୍ର"
Consignment note,ପ୍ରେରଣ ନୋଟ୍/ଟିପ୍ପଣୀ
Consistent,"ଏକ ରୂପ, ସଂଗତ"
Consolidated fund,"ଏକତ୍ରୀକୃତ ନିଧି, ସଂଚିତ ନିଧି"
Consolidated pay,ଏକତ୍ରୀକୃତ ବେତନ
Consolidated statement,ଏକତ୍ରୀକୃତ ବିବରଣ
Consolidation,"ଏକତ୍ରୀକରଣ, ଚକବନ୍ଦୀ"
Conspicuous,"ସୁପ୍ରକଟ, ବିବେଚନାଯୋଗ୍ୟ, ଧ୍ୟାନାକର୍ଷୀ"
Conspiracy,ଷଡ଼ଯନ୍ତ୍ରକାରୀ ବ୍ୟକ୍ତି
Constant,"ସ୍ଥିର, ଅଟଳ, ଅବିରତ"
Constituency,ନିର୍ବାଚନ ମଣ୍ଡଳୀ
Constituent,"ନିର୍ବାଚକ, ସଂଘଟକ"
Constitution,"ସଂବିଧାନ, ଗଠନ, ସଂଘଟନ, ଗଢ଼ଣ, ସଂସ୍ଥାପନ"
Constraint,ବାଧ୍ୟବାଧ୍ୟତା
Construction,"ନିର୍ମାଣ, ଗଠନ, ଅନ୍ୱୟ କରିବା"
Consultant,ପରାମର୍ଶ କରିବା
Consultation,"ପରାମର୍ଶ, ମନ୍ତ୍ରଣା"
Consultative committee,ପରାମର୍ଶ କମିଟି
Consumable item,ଉପଭୋଗ୍ୟ ବସ୍ତୁ
Consume,"ଉପଭୋଗ କରିବା, ବ୍ୟୟ କରିବା, ବିନଷ୍ଟ କରିବା, ଖାଇବା"
Consumer's goods,ଖାଉଟି ମାଲ୍
Consumer forum/council,"ଖାଉଟି ବିଚାର ସ୍ଥଳ, ଖାଉଟି ପରିଷଦ"
Consumer orientation,ଖାଉଟି ପୂର୍ବିଭିମୂଖୀ କରଣ
Consumption,"ବ୍ୟବହାର, ଉପଭୋଗ, ଯକ୍ଷ୍ମା ରୋଗ, କ୍ଷୟ ରୋଗ"
Contact,"ସଂସର୍ଗ, ସଂପର୍କ, ସ୍ପର୍ଶ, ଯୋଗାଯୋଗ ସ୍ଥାପନ କରିବା"
Contact programme,"ସଂସର୍ଗ କାର୍ଯ୍ୟକ୍ରମ, ସମ୍ପର୍କ କାର୍ଯ୍ୟକ୍ରମ"
Contagious disease,ସାଂଗର୍ଗିକ ରୋଗ
Contain,"ଧାରଣ କରିବା, ସଂଯତ କରିବା, ଅନ୍ତର୍ଗତ କରିବା"
Contemplate,"ଅନୁଧ୍ୟାନ କରିବା, ମନନ କରିବା"
Contemporary,"ସମକାଳିକ, ସାଂପ୍ରତିକ, ସମସାମୟିକ"
Contempt of court,ଅଦାଲତ ଅବମାନନା
Contention,"ବିବାଦ, ଯୁକ୍ତି"
Contents,"ପ୍ରତିଯୋଗିତା କରିବା, ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା କରିବା, ଆପତ୍ତି ଉଠାଇବା, ବିବାଦ କରିବା, ପ୍ରତିଯୋଗିତା, ପ୍ରତିଦ୍ୱନ୍ଦିତା, ଆପତ୍ତି, ବିବାଦ"
Contest,ବିବାଦିତ. ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତାମୂଳକ
Context,"ପ୍ରସଙ୍ଗ, ପରିପ୍ରେକ୍ଷୀ"
Contingencies,ଆକସ୍ମିକବ୍ୟୟ
Contingency,"ଆକସ୍ମିକତା, ଅନିଶ୍ଟିତ ସମ୍ଭାବନା, ସମ୍ଭାବ୍ୟ ପରିସ୍ଥିତି, ଆକସ୍ମିକ ବ୍ୟୟ, ଆନୁଷଙ୍ଗିକ ଖର୍ଚ୍ଚ"
Contingency allowance,ଆକସ୍ମିକତା ଭତ୍ତା
Contingency fund,"ଆକସ୍ମିକତା ନିଧି, ସମ୍ଭାବ୍ୟ ନିଧି"
Contingency grant,ଆକସ୍ମିକ ଅନୁଦାନ
Contingency plan,ଆକସ୍ମିକ ଯୋଜନା
Contingent charges,"ଆକସ୍ମିକ ପ୍ରଭାର, ଅନିୟତ ଦାୟିତ୍ୱ"
Continuous appointment,ସତତ ନିଯୁକ୍ତି
Continuous development,ସତତ ବିକାସ
Continuous process,ସତତ ପ୍ରକ୍ରିୟା
Continuous service,ସତତ ସେବା
Contraband,"ନିଷିଦ୍ଧ ପଣ୍ୟଦ୍ରବ୍ୟ, ନିଷିଦ୍ଧ"
Contract,"ଚୁକ୍ତି କରିବା, ସଙ୍କୁଚିତ କରିବା, ଚୁକ୍ତି, ଠିକା"
Contract deed,"ଠକା ବିଲେଖ, ଚୁକ୍ତି ବିଲେଖ"
Contract of employment,ନିଯୁକ୍ତି ଠିକା
Contract period,"ଠିକା ଅବଧି, ଚୁକ୍ତିବଦ୍ଧ କାଳ"
Contractual document,"ଠିକା ପ୍ରଲେଖ, ଚୁକ୍ତି ବିଷୟକ ଦଲିଲ"
Contractual liability,"ଠିକା ଦେଯତା, ଚୁକ୍ତି ଦେଯତ"
Contractual service,"ଠିକା ସେବା, ଚୁକ୍ତି ସେବା"
Contradiction,"ଖଣ୍ଡନ, ପ୍ରତିବାଦ"
Contradictory statement,ବିରୋଧାତ୍ମକ ମନ୍ତବ୍ୟ
Contrary,"ପ୍ରତିକୂଳ, ବିରୋଧକାରୀ, ଓଲଟା"
Contravention,"ଉଲ୍ଲଘଂନ, ଖଣ୍ଡନ"
Contribution,"ଅଂଶ ଦାନ, ଲେଖା ପ୍ରଦାନ"
Contributory pension scheme,ଅଂଶଦାୟୀ ପେନ୍ସନ୍
Contributory provident fund,ଅଂଶଦାୟୀ ଭବିଷ୍ୟନିଧି
Control,"ନିୟନ୍ତ୍ରଣ, ନିୟନ୍ତ୍ରଣ କରିବା"
Controlling officer,ନିୟନ୍ତ୍ରଣ ଅଧିକାରୀ
Controversial,"ବିବାଦୀୟ, ବିବାଦମୂଳକ"
Controversial matter,ବିବାଦମୂଳକ ବିଷୟ
Controversy,ବାଦ- ବିବାଦ
Convenience,ସୁବିଧା
Convention,"ଲୋକାଚାରିକ, ସମ୍ମେଳନ, ଆନ୍ତଃରାଜ୍ୟ ଚୁକ୍ତି"
Conventional,"ଲୋକଚାରିକ, ପ୍ରଚଳିତ, ଗତାନୁଗତିକ, ପରଂପରାନୁମୋଦିତ"
Conversant,"ଅଭିଜ୍ଞ, ପରିଚିତ"
Convert,"ଧର୍ମାନ୍ତରିତ ବ୍ୟକ୍ତି, ପରିବର୍ତ୍ତନ କରିବା, ଧର୍ମାନ୍ତରଣ କରିବା"
Converted leave,ପରିବର୍ତ୍ତିତ ଛୁଟି
Conveyance,"ହସ୍ତାନ୍ତରଣ ପତ୍ର, ହସ୍ତାନ୍ତରଣ, ଯାନହାବାନ, ପ୍ରେରଣ"
Conveyance allowance,ଯାନବାହନ ଭତ୍ତା
Conveyance deed,ହସ୍ତାନ୍ତରତା ବିଲେଖ
Conveyance expenses,ବାହାନ ବ୍ୟୟ
Convict,"ଦୋଷୀ ପ୍ରମାଣିତ କରିବା, ଦଣ୍ଡିତ ଅପରାଧୀ, ସଜାପ୍ରାପ୍ତ ଆସାମୀ"
Conviction,"ଧାରଣା, ଦୋଷସିଦ୍ଧି, ଦୋଷୀ ସାବ୍ୟସ୍ତୀକରଣ"
Convocation,"ସମାବର୍ତ୍ତନ, ଦୀକ୍ଷାନ୍ତ ସମାରୋହ"
Cooling off period,ଉପଶମନ ଅବଧି
Cooperation,"ସହଯୋଗ, ସମବାୟ"
Cooperative,"ସହଯୋଗୀ, ସମବାୟ ଭିତ୍ତିକ"
Cooperative society,ସମବାୟ ସମିତି
Co-opt,ସହବରଣ କରିବା
Co-opted member,"ସହବରିତ ସଦସ୍ୟ, ସହଯୋଜିତ ସଭ୍ୟ"
Co-ordination,ସମନ୍ୱୟ
Co-owner,ସହ-ମାଲିକ
Co-partner,ସହ-ଭାଗୀଦାର
Copy,"ପ୍ରତିରୂପ, ପ୍ରତିଲିପି, ନକଲ, ଅଣ୍ଡ, ପାଣ୍ଡୁଲିପି, ନକଲ କରିବା"
Copying,"ନକଲକାର, ନକଲନବିସ୍, ପ୍ରତିଲିପିକାର"
Copyright,"ରଚନାସ୍ୱତ୍ୱ, ସ୍ୱତ୍ୱାଧିକାର, ଗ୍ରନ୍ଥସ୍ୱତ୍ୱ"
Cordial,"ହାର୍ଦ୍ଧିକ, ସ୍ଫୂତ୍ତିକାରକ, ସୈହାର୍ଦ୍ଦପୂର୍ଣ୍ଣ"
Coroner,ଅପମୃତ୍ୟୁ ତଦନ୍ତକାରୀ
Corporate body,ନିଗମ ନିକାୟ
Corporate planning,"କମ୍ପାନୀ ଆୟୋଜନା, କମ୍ପାନୀ ଯୋଜନା"
Corporation,"ନିଗମ, କରପୋରେସନ୍"
Corporation tax,ନିଗମ କର
Correction,"ସଂଶୋଧନ, ଭ୍ରମଶୁଦ୍ଧି"
Corrective measures (=correctives),"ସଂଶୋଧନ କ୍ଷମ, ସଂଶୋଧନ କାରକ, ସଂଶୋଧକ"
Correspondence,"ପତ୍ର ବିନିମୟ, ଅନୁରୂପତା, ସଦୃଶତା"
Correspondence course,ପତ୍ର ବିନିମୟ ପାଠ୍ୟକ୍ରମ
Correspondence portion,ପତ୍ର ବିନିମୟ ଭାଗ
Correspondent,"ସମ୍ୱାଦଦାତା, ପତ୍ର ବିନିମୟକାରୀ, ନିୟମିତ ପତ୍ର ପ୍ରେରକ"
Corresponding,"ଅନୁରୂପ, ତତସମ୍ୱନ୍ଧୀ"
Corrigendum,ଶୁଦ୍ଧିପତ୍ର
Corroborate,"ସମର୍ଥନ କରିବା, ପ୍ରମାଣିତ କରିବା"
Corroboration,"ସଂପୁଷ୍ଟି, ପୋଷକତା, ସମର୍ଥନ, ପ୍ରମାଣୀ କରଣ"
Corrupt,"ଭ୍ରଷ୍ଟ କରିବା, ଭ୍ରଷ୍ଟ, ଦୁର୍ନୀତିଗ୍ରସ୍ତ"
Corruption,"ଦୁର୍ନୀତି, ଅପଭ୍ରଂଶ, ଭ୍ରଷ୍ଟାଚାର, ନୀତିଭ୍ରଷ୍ଟତା"
Corrupt practice,ଭ୍ରଷ୍ଟ ଆଚରଣ
Cosmopolitan city,ବୈଶ୍ବିକ ସହର
Cost,"ଖର୍ଚ୍ଚା, ଦାମ୍, ବ୍ୟୟ, ପରିଚୟ, ଲଗୁତି, କ୍ଷତି"
Cost accountant,"ପରିବ୍ୟୟ ହିସାବବିତ୍, ପରିବ୍ୟୟ ଲେକାକାର"
Cost analysis,ପରିବ୍ୟୟ ବିଶ୍ଲେଷଣ
Cost ceiling,ପରିବ୍ୟୟ ସୀମା
Cost effectiveness,ପରିବ୍ୟୟ ପ୍ରଭାବିତ
Cost of living,ଜୀବନ ନିର୍ବାହ ବ୍ୟୟ
Cost overrun,ପରିବ୍ୟୟ ଅତିକ୍ରମଣ
Cottage industry,କୁଟୀର ଶିଳ୍ପ
Council,ପରିଷଦ
Council of ministers,ମନ୍ତ୍ରୀ ପରିଷଦ
Council of states,ରାଜ୍ୟସଭା
Counsel,"ମନ୍ତ୍ରଣା, ଓକିଲ, ମନ୍ତ୍ରଣାଦେବା"
Counselling,"ପରାମର୍ଶ ସେବା, ମନ୍ତ୍ରଣା ସେବା"
Counter,"ବିରୋଧ କରିବା, ଖଣ୍ଡନ କରିବା, କାଉଣ୍ଟର, ଗଣନାର ସାଧନ, ଖଣ୍ଡନପତ୍ର, ପ୍ରତିକୂଳ, ପାଲଟା"
Counter action,ପ୍ରତିକ୍ରିୟାମୂଳକ କାର୍ଯ୍ୟ
Counter affidavit,"ପ୍ରତି-ଶପଥପତ୍ର, ପ୍ରତି-ସତ୍ୟପାଠ"
Counter charge,ପାଲଟା ଦୋଷାରୋପ
Counter claim,ପାଲଟା ଦାବି
Counterfeit currency,ଜାଲ୍ ମୁଦ୍ରା
Counterfeiting,ଜାଲୀକରଣ
Counterfoil,"ମୁଣ୍ଡା ଚେକ୍, ପ୍ରତିପତ୍ର, ମୁଣ୍ଡା ରସିଦ"
Counter offer,"ପ୍ରତି-ପ୍ରସ୍ତାବ, ପାଲଟା ପ୍ରସ୍ତାବ"
Countersign,"ପ୍ରତି-ସ୍ୱାକ୍ଷର କରିବା, ପ୍ରମାଣୀକରଣ କରିବା"
Coup (de etat),ସଂଘାତ
Coupon,କୁପନ
Courier,"କ୍ଷିପ୍ରବାହକ, ସ୍ୱତନ୍ତ୍ର ବାର୍ତ୍ତାବହ"
Courier service,"କ୍ଷିପ୍ରବାହୀସେବା, ସ୍ୱତନ୍ତ୍ର ବାର୍ତ୍ତାବାହୀ ସେବା"
Course,"ମାର୍ଗ, ଅଗ୍ରଗତି, କ୍ରମ, ପାଠ୍ୟକ୍ରମ, ସ୍ତର, ରଦା"
Courses of study,ପାଠ୍ୟକ୍ରମ
Court case,"ଅଦାଲତ ମାମଲା, ନ୍ୟାୟାୟ ମାମବା"
Courtesy,ସୌଜନ୍ୟ
Court of small causes,ଲଘୁବାଦ ନ୍ୟାଯାଳୟ
Covenant,"ଅଙ୍ଗୀକାର, ଅଙ୍ଗୀକାର କରିବା"
Cover,"ମଲାଟ, ଲଫାପା, ଆଚରଣ, ଢ଼ାଙ୍କୁଣି, ଚଦର, ଆଶ୍ରୟ, ଢ଼ାଙ୍କିବା, ଅନ୍ତର୍ଭୁକ୍ତ ହେବା"
Coverage,"ସଂରକ୍ଷଣ, ବ୍ୟାପ୍ତି, ସମାବେଶନ"
Covering letter,"ବ୍ୟାଖ୍ୟାମୂଳକ ପତ୍ର, ସହପତ୍ର"
Covering memo,ସହଜ୍ଞାପନ
Covering note,ସହ ଟିପ୍ପଣୀ
Crash programme,"ଦ୍ରୃତ କାର୍ଯ୍ୟକ୍ରମ, ଜରୁରୀ କାର୍ଯ୍ୟକ୍ରମ"
Creamy layer,"ନବୋନ୍ନତ ବର୍ଗ, ନବୋନ୍ନତ ସ୍ତର"
Creation,"ସୃଷ୍ଟି, ସର୍ଜନା"
Creative,"ସର୍ଜନାତ୍ମକ, ସୃଷ୍ଟିଶୀଳ"
Creativity,"ସର୍ଜନ ଶୀଳତା, ସୃଷ୍ଟି ଶୀଳତା"
Creche,"ଶିଶୁ ସଦନ, ଶିଶୁ ଜଗାରଖା ନର୍ସରୀ"
Credentials committe,ପ୍ରତ୍ୟୟ ପତ୍ର ସମିତି
Credibility,"ପ୍ରତ୍ୟୟଯୋଗ୍ୟତା, ବିଶ୍ୱସନୀୟତା"
Credit,"ଜମା, ବିଶ୍ୱାସ, ଉଧାର, ବାକି, ଆକଳନ, ଖ୍ୟାତି, ଗୌରବ"
Creditable,"ପ୍ରଶଂସାଯୋଗ୍ୟ, ବିଶ୍ୱାସଯୋଗ୍ୟ"
Credit advice,"ଜମା ସଂଞ୍ଜାପନ, ମଜା ବିଜ୍ଞପ୍ତି"
Credit and thrift society,"ଜମା, ଉଧାର ସମିତି"
Credit card,"କ୍ରେଡିଟ କାର୍ଡ, ବାକିରେ ଜିନିଷପତ୍ର କିଣିବା ଅଧିକାରପ୍ରାପ୍ତ କାର୍ଡ"
Credit facilities,ଋଣ ସୁବିଧା ସମୂହ
Credit entry,ଜମା ପ୍ରବିଷ୍ଠ
Credit note,ଜମା ପତ୍ର
Creditor,ଋଣଦାତା
Cremation,ଶବ ଦାହ
Cremation ground,"ଶ୍ମଶାନ, ମଶାଣି"
Crew,"ନାବିକରଣ, କର୍ମୀ-ଦଳ"
Crime,ଅପରାଧ
Criminal breach of trust,ଅପରାଧିକ ବିଶ୍ୱାସ ଭଙ୍ଗ
Criminal court,ଫୌଜଦାରୀ ନ୍ୟାୟ
Criminal negligence,ଅପରାଧିକ ଉପେକ୍ଷା
Criminal offence,ଦଣ୍ଡନୀୟ ଅପରାଧ
Criminal procedure code,ଫୌଜଦାରୀ ପ୍ରକ୍ରିୟା ସଂହିତା
Crisis,ସଙ୍କଟ
Crisis management,ସଙ୍କଟ ପ୍ରବନ୍ଧନ
Criterion,"ମାନଦଣ୍ଡ, ଲକ୍ଷଣ, କଷଟି"
Criticism,ସମାଲୋଚନା
Cross,"ପାରିହେବା, ସଙ୍କର ସଙ୍ଗମ କରାଇବା, ଛକଚିହ୍ନ, ସଙ୍କର ଜାତି"
Cross breed,"ସଙ୍କର ଜାତି, ମିଶ୍ର ଜାତି"
Cross checking,"ଦ୍ୱିତରଫା ଜାଞ୍ଚ, ପ୍ରତି ପରୀକ୍ଷା ଜାଞ୍ଚ"
Crossed cheque,"ରେଖାଙ୍କିତ ଚେକ୍, କ୍ରସ ଚେକ୍"
Cross examination,"ଜେରା, ପ୍ରତି-ପରିକ୍ଷା"
Cross reference,"ପ୍ରତି-ନିର୍ଦ୍ଦେଶ, ପରସ୍ପର ପ୍ରସଙ୍ଗ, ବହିର ଏକ ଅଂଶ ସହ ଅନ୍ୟର ତୁଳନା"
Cross voting,ପ୍ରତି-ଭୋଟଦାନ
Crucial date,ନିର୍ଣ୍ଣାୟକ ଦିନ
Crude,"ଅପରିପକ୍ୱ, ଅଶୋଧିତ"
Culpable homicide,ଅପରାଧଜନକ ନରବଧ
Culprit,"ଦୋଷୀ, ଅପରାଧୀ"
Cultivation,"ଚାଷ, କୃଷି"
Cultural exchange programme,ସାଂସ୍କୃତିକ ବିନିମୟ କାର୍ଯ୍ୟକ୍ରମ
Cumulative,"କ୍ରମବର୍ଦ୍ଧିଷ୍ଣୁ, ସାମୂହିକ"
Currency,ପ୍ରଚଳିତ ମୁଦ୍ରା
Currency exchange,ମୁଦ୍ରା ବିନିମୟ
Currency note,"କରେନ୍ସି ନୋଟ, ପ୍ରଚଳିତ ନୋଟ"
Current,"ପ୍ରବାହ, ଚଳିତ, ଚାଲୁ"
Current account,"ଚାଲୁହିସାବ, ଚାଲୁ ଖାତା"
Current duties,ଚଳିତ କର୍ତ୍ତବ୍ୟ
Current session,ଚଳିତ ଅଧିବେଶନ
Curriculum vitae (cv),ଜୀବନ ବୃତ୍ତ
Curtail,"କାଟିବା, ଛୋଟ କରିବା, କମ୍ କରିବା"
Custodian,"ଅଭିରକ୍ଷକ, ଜିମାଦାର, ନ୍ୟାସୀ"
Custody,"ଅଭିରକ୍ଷା, ହାଜତ, ଜିମା, ମାର୍ଫତ"
Custom,"ଲୋକାଚାର, ପ୍ରଥା, ସୀମା, ଶୁଳ୍କ, ଆମଦାନୀ ଶୁଳ୍କ"
Custom(s),"ଲୋକାଚାର, ପ୍ରଥା, ସୀମା, ଶୁଳ୍କ, ଆମଦାନୀ ଶୁଳ୍କ"
Customary,"ଲୋକଚାରସିଦ୍ଧ, ପ୍ରଥାନୁଯାୟୀ, ପ୍ରଥାନୁମୋଦିତ"
Customary procedure,"ପ୍ରଥା ପ୍ରକ୍ରିୟା, ଲୋକାଚାର ପ୍ରକ୍ରିୟା"
Custom duty,ସୀମା ଶୁଳ୍କ
Customer,"ଗରାଖ, ଗ୍ରାହକ"
Customer friendly,ମିଳାମିଶା ଗ୍ରାହକ
Custom examination,ସୀମା ଶୁଳ୍କ ପରୀକ୍ଷା
Cut down,କମ କରିବା
Cut motion,କାଟ-ପ୍ରସ୍ତାବ
Cut off date,ବିଚ୍ଛେଦକତିଥି
Cycle,"ଚକ୍ର, ସାଇକେଲ୍"
Daily,"ଦୈନିକ, ପ୍ରତ୍ୟହ, ପ୍ରତିଦିନ, ଦୈନିକ ସମ୍ୱାଦପତ୍ର"
Daily allowance,ଦୈନିକ ଭତ୍ତା
Daily diary,"ଦୈନିକ ଡାଇରି, ଦିନଲିପି"
Daily register,ଦୈନିକ ରେଜିଷ୍ଟର
Daily report,ଦୈନିକ ବିବରଣୀ
Daily routine,ଦୈନିକ କାମ
