Kannada,Punjabi
ನಿಯಂತ್ರಣ ಸ್ವಿಚ್,ਕੰਟਰੋਲ ਸਵਿੱਚ
ನಿಯಂತ್ರಣ ಟೇಪ್,ਕੰਟਰੋਲ ਟੇਪ
"1. ಕಂಟ್ರೋಲ್ ಟರ್ಮಿನಲ್, 2. ಕಂಟ್ರೋಲ್ ಟರ್ಮಿನಲ್","1. ਕੰਟਰੋਲ ਟਰਮੀਨਲ, 2. ਕੰਟਰੋਲ ਟਰਮੀਨਲ"
"1. ನಿಯಂತ್ರಣ ಘಟಕ, 2. ನಿಯಂತ್ರಣ ಘಟಕ","1. ਕੰਟਰੋਲ ਯੂਨਿਟ, 2. ਕੰਟਰੋਲ ਯੂਨਿਟ"
ಒಮ್ಮುಖ,ਕਨਵਰਜੈਂਸ
ಸಂಭಾಷಣೆ,ਸੰਵਾਦ
ಸಂವಾದಾತ್ಮಕ ಕರೆ,ਗੱਲਬਾਤ ਕਾਲ
ಪರಿವರ್ತನೆ,ਤਬਦੀਲੀ
ಪರಿವರ್ತಕ,ਪਰਿਵਰਤਕ
ಕುಕ್ ಪ್ರಮೇಯ,ਕੁੱਕ ਦਾ ਸਿਧਾਂਤ
ಸಹ-ಸಂಸ್ಕಾರಕ,ਸਹਿ-ਪ੍ਰੋਸੈਸਰ
ನಕಲು,ਕਾਪੀ
ಕೃತಿಸ್ವಾಮ್ಯ,ਕਾਪੀਰਾਈਟ
ಬಳ್ಳಿಯ,ਰੱਸੀ
"1. ತಂತಿರಹಿತ ದೂರವಾಣಿ, 2. ನಿಸ್ತಂತು ದೂರವಾಣಿ, 3. ನಿಸ್ತಂತು ದೂರವಾಣಿ","1.ਤਾਰ ਰਹਿਤ ਟੈਲੀਫੋਨ, 2. ਵਾਇਰਲੈੱਸ ਟੈਲੀਫ਼ੋਨ, 3. ਵਾਇਰਲੈੱਸ ਟੈਲੀਫ਼ੋਨ"
ಉಪಪ್ರಮೇಯ,ਸਬਥੀਓਰਮ
ತಿದ್ದುಪಡಿ,ਸੋਧ
"1. ಬಳಸಲಾಗದ, 2. ವಿಕೃತ","1. ਬੇਕਾਰ, 2. ਵਿਗੜਿਆ"
ಲೆಕ್ಕಾಚಾರ,ਗਣਨਾ
ಸ್ಕೋರರ್,ਸਕੋਰਰ
ದೇಶದ ಕೋಡ್,ਦੇਸ਼ ਦਾ ਕੋਡ
ಸಹವರ್ತಿತ್ವ,ਸਹਿਵਿਹਾਰ
"1. ವ್ಯಾಪ್ತಿ ಪ್ರದೇಶ, 2. ಪ್ರಸಾರ","1. ਸਕੋਪ ਖੇਤਰ, 2. ਪ੍ਰਸਾਰਣ"
ಕುಸಿತ,ਢਹਿ
ನಿರ್ಣಾಯಕ ಮಾರ್ಗ,ਨਾਜ਼ੁਕ ਮਾਰਗ
ಕ್ರಿಟಿಕಲ್ ಪಾತ್ ಮೆಥಡ್ (CPM),ਨਾਜ਼ੁਕ ਮਾਰਗ ਵਿਧੀ (CPM)
"1.ಕ್ರಾಸ್ ಟೆಸ್ಟ್, 2.ಕ್ರಾಸ್ ಟೆಸ್ಟ್","1. ਕਰਾਸ ਟੈਸਟ, 2. ਕਰਾਸ ਟੈਸਟ"
"1.ಕ್ರಾಸ್ ಪ್ರೋಗ್ರಾಮೆಬಲ್-ವರ್ಗಾವಣೆ, 2. ಪ್ರತಿ ಪ್ರೋಗ್ರಾಮೆಬಲ್","1.ਕਰਾਸ ਪ੍ਰੋਗਰਾਮੇਬਲ-ਟ੍ਰਾਂਸਫਰ, 2. ਪ੍ਰਤੀ ਪ੍ਰੋਗਰਾਮੇਬਲ"
ಅಪ್ರಸ್ತುತ ಸಂಕೇತ,ਅਪ੍ਰਸੰਗਿਕ ਸਿਗਨਲ
ಅಪ್ರಸ್ತುತ ಮಾತು,ਬੇਲੋੜੀ ਗੱਲ
ಗುಪ್ತ ಲಿಪಿಶಾಸ್ತ್ರ,ਕ੍ਰਿਪਟੋਗ੍ਰਾਫੀ
"1. ಗುಪ್ತ ಲಿಪಿಶಾಸ್ತ್ರ, 2. ಗುಪ್ತ ಲಿಪಿಶಾಸ್ತ್ರ, 3. ಗುಪ್ತ ಲಿಪಿ ಶಾಸ್ತ್ರ","1. ਕ੍ਰਿਪਟੋਗ੍ਰਾਫੀ, 2. ਕ੍ਰਿਪਟੋਗ੍ਰਾਫੀ, 3. ਕ੍ਰਿਪਟੋਗ੍ਰਾਫੀ"
ಕರೆನ್ಸಿ ಚಿಹ್ನೆ,ਮੁਦਰਾ ਪ੍ਰਤੀਕ
ಪ್ರಸ್ತುತ ಡೈರೆಕ್ಟರಿ,ਮੌਜੂਦਾ ਡਾਇਰੈਕਟਰੀ
ಪ್ರಸ್ತುತ ವಿಂಡೋ,ਮੌਜੂਦਾ ਵਿੰਡੋ
ಕರ್ಸರ್,ਕਰਸਰ
ವಕ್ರರೇಖೆ,ਕਰਵ
"1. ಕಟ್ ಅಂಡ್ ಪೇಸ್ಟ್, 2. ಕಟ್ ಅಂಡ್ ಪೇಸ್ಟ್","1. ਕੱਟੋ ਅਤੇ ਪੇਸਟ ਕਰੋ, 2. ਕੱਟੋ ਅਤੇ ਪੇਸਟ ਕਰੋ"
ಕತ್ತರಿಸುವ ವಿಧಾನ,ਕੱਟਣ ਦਾ ਤਰੀਕਾ
ಸೈಬರ್,ਸਾਈਬਰ
ಸೈಬರ್ ಕೆಫೆ,ਸਾਈਬਰ ਕੈਫੇ
ಸೈಬರ್ ನಗದು,ਸਾਈਬਰ ਨਕਦ
ಸೈಬರ್ ಅಪರಾಧ,ਸਾਈਬਰ ਅਪਰਾਧ
ಸೈಬರ್ ಡೇಲೆಕ್ಸ್,ਸਾਈਬਰ ਡੇਲੇਕਸ
ಸೈಬರ್ ಕಾನೂನು,ਸਾਈਬਰ ਕਾਨੂੰਨ
ಸೈಬರ್ ಸೆಕ್ಸ್,ਸਾਈਬਰ ਸੈਕਸ
"1. ಸೈಬರ್ ಸೈನ್ಸ್, 2. ಸೈಬರ್ನೆಟಿಕ್ಸ್","1. ਸਾਈਬਰ ਸਾਇੰਸ, 2. ਸਾਈਬਰਨੇਟਿਕਸ"
"1.ಸೈಬರೀಕರಣ, 2. ಸೈಬರೀಕರಣ","1.ਸਾਈਬਰੀਕਰਨ, 2. ਸਾਈਬਰੀਕਰਨ"
ಸೈಕಲ್,ਚੱਕਰ
"1.ಚಕ್ರ ಸ್ಮರಣೆ, 2.ಚಕ್ರ ಸ್ಮರಣೆ","1. ਚੱਕਰ ਮੈਮੋਰੀ, 2. ਚੱਕਰ ਮੈਮੋਰੀ"
ಸೈಕಲ್ ನಷ್ಟ,ਚੱਕਰ ਦਾ ਨੁਕਸਾਨ
ಸೈಕಲ್ ಸಮಯ,ਚੱਕਰ ਵਾਰ
ಆವರ್ತಕ,ਚੱਕਰੀ
ಡೀಮನ್,ਡੈਮਨ
ಡೈಸಿ ಚಕ್ರ,ਡੇਜ਼ੀ ਚੱਕਰ
ಡೇಟಾ ನಿರ್ವಾಹಕ,ਡਾਟਾ ਪ੍ਰਬੰਧਕ
ಡೇಟಾ ಹಂಚಿಕೆ,ਡਾਟਾ ਵੰਡ
"1.ಡೇಟಾ ಕ್ಷೇತ್ರ, 2.ಡೇಟಾ ಕ್ಷೇತ್ರ","1.ਡਾਟਾ ਖੇਤਰ, 2.ਡਾਟਾ ਖੇਤਰ"
"1.ಡೇಟಾ ಅರೇ, 2. ಡೇಟಾ ಶ್ರೇಣಿ","1. ਡਾਟਾ ਐਰੇ, 2. ਡਾਟਾ ਐਰੇ"
"1.ಡೇಟಾ-ಬೇಸ್, 2.ಡೇಟಾಬೇಸ್","1.ਡਾਟਾ-ਬੇਸ, 2.ਡਾਟਾਬੇਸ"
ಡೇಟಾ ವಿಘಟನೆ,ਡਾਟਾ ਫਰੈਗਮੈਂਟੇਸ਼ਨ
"1. ಡೇಟಾ ಬಸ್, 2. ಡೇಟಾ ಬಸ್","1. ਡਾਟਾ ਬੱਸ, 2. ਡਾਟਾ ਬੱਸ"
"1.ಡೇಟಾ ಕ್ಯಾರಿಯರ್, 2.ಡೇಟಾ ಕ್ಯಾರಿಯರ್","1.ਡਾਟਾ ਕੈਰੀਅਰ, 2.ਡਾਟਾ ਕੈਰੀਅਰ"
ಡೇಟಾ ಸೆಲ್,ਡਾਟਾ ਸੈੱਲ
"1.ಡೇಟಾ ಸಿಸ್ಟಮ್, 2.ಡೇಟಾ ಚಾನಲ್","1.ਡਾਟਾ ਸਿਸਟਮ, 2.ਡਾਟਾ ਚੈਨਲ"
ಡೇಟಾ ಸಂವಹನ,ਡਾਟਾ ਸੰਚਾਰ
"1.ಡೇಟಾ ಕಂಪ್ರೆಷನ್, 2.ಡೇಟಾ ಕಂಪ್ರೆಷನ್","1.ਡਾਟਾ ਕੰਪਰੈਸ਼ਨ, 2.ਡਾਟਾ ਕੰਪਰੈਸ਼ਨ"
ಡೇಟಾ ಪ್ರದೇಶ,ਡਾਟਾ ਖੇਤਰ
ಡೇಟಾ ಫೈಲ್,ਡਾਟਾ ਫਾਇਲ
"1. ಡೇಟಾ ಫ್ಲೋ, 2. ಡೇಟಾ ಫ್ಲೋ","1. ਡੇਟਾ ਫਲੋ, 2. ਡੇਟਾ ਫਲੋ"
"1.ಡೇಟಾ ಫ್ಲೋಚಾರ್ಟ್, 2.ಚಾರ್ಟ್","1.ਡਾਟਾ ਫਲੋਚਾਰਟ, 2.ਚਾਰਟ"
ಡೇಟಾ ಕ್ರಮಾನುಗತ,ਡਾਟਾ ਲੜੀ
ಡೇಟಾ ಮಟ್ಟ,ਡਾਟਾ ਪੱਧਰ
"1.ಡೇಟಾ ಕಲೆಕ್ಷನ್, 2.ಡೇಟಾ ಲೈಬ್ರರಿ","1.ਡਾਟਾ ਕਲੈਕਸ਼ਨ, 2.ਡਾਟਾ ਲਾਇਬ੍ਰੇਰੀ"
ಡೇಟಾ ಲಿಂಕ್ ಲೇಯರ್,ਡਾਟਾ ਲਿੰਕ ਪਰਤ
ಡೇಟಾ ಲಿಂಕ್ ಲೇಯರ್ (DLL),ਡਾਟਾ ਲਿੰਕ ਲੇਅਰ (DLL)
"1.ಡೇಟಾ ಮ್ಯಾನೇಜ್ಮೆಂಟ್, 2.ಡೇಟಾ ಮ್ಯಾನೇಜ್ಮೆಂಟ್","1.ਡਾਟਾ ਪ੍ਰਬੰਧਨ, 2.ਡਾਟਾ ਪ੍ਰਬੰਧਨ"
"1.ಡೇಟಾ ಲೆಕ್ಕಾಚಾರ, 2.ಡೇಟಾ ಲೆಕ್ಕಾಚಾರ","1.ਡਾਟਾ ਗਣਨਾ, 2.ਡਾਟਾ ਗਣਨਾ"
ಡೇಟಾ ಸಂಸ್ಕರಣಾ ಭಾಷೆ (DML),ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ ਭਾਸ਼ਾ (DML)
ಡೇಟಾ ಮೋಡೆಮ್ ಡೇಟಾ ಮೋಡೆಮ್,ਡਾਟਾ ਮਾਡਮ ਡਾਟਾ ਮਾਡਮ
"1.ಡೇಟಾ ಮಾರ್ಪಾಡು, 2.ಡೇಟಾ ಮಾರ್ಪಾಡು","1.ਡਾਟਾ ਸੋਧ, 2.ਡਾਟਾ ਸੋਧ"
"1.ಡೇಟಾ ನೆಟ್‌ವರ್ಕ್, 2.ಡೇಟಾ ನೆಟ್‌ವರ್ಕ್","1.ਡਾਟਾ ਨੈੱਟਵਰਕ, 2.ਡਾਟਾ ਨੈੱਟਵਰਕ"
"1.ಡೇಟಾ ಕಾರ್ಯಾಚರಣೆ, 2.ಡೇಟಾ ಕಾರ್ಯಾಚರಣೆ","1.ਡਾਟਾ ਓਪਰੇਸ਼ਨ, 2.ਡਾਟਾ ਓਪਰੇਸ਼ਨ"
"1. ಡೇಟಾ ಸಂಸ್ಥೆಗಳು, 2. ಡೇಟಾ ಸಂಘಟನೆ","1. ਡਾਟਾ ਸੰਸਥਾਵਾਂ, 2. ਡਾਟਾ ਸੰਗਠਨ"
"1. ಡೇಟಾ ಔಟ್‌ಪುಟ್, 2. ಡೇಟಾ ಔಟ್‌ಪುಟ್","1. ਡਾਟਾ ਆਉਟਪੁੱਟ, 2. ਡਾਟਾ ਆਉਟਪੁੱਟ"
"1.ಡೇಟಾ ಪಾತ್, 2.ಡೇಟಾ ಪಾತ್","1.ਡਾਟਾ ਪਾਥ, 2.ਡਾਟਾ ਪਾਥ"
"1.ಡೇಟಾ ತಯಾರಿ, 2. ಡೇಟಾ ತಯಾರಿ","1. ਡੇਟਾ ਤਿਆਰੀ, 2. ਡੇਟਾ ਤਿਆਰੀ"
"1.ಡೇಟಾ ಗೌಪ್ಯತೆ, 2.ಡೇಟಾ ಗೌಪ್ಯತೆ","1.ਡਾਟਾ ਗੋਪਨੀਯਤਾ, 2.ਡਾਟਾ ਗੋਪਨੀਯਤਾ"
"1. ಡೇಟಾ ಪ್ರೊಸೆಸರ್, 2. ಡೇಟಾ ಪ್ರೊಸೆಸರ್","1. ਡੇਟਾ ਪ੍ਰੋਸੈਸਰ, 2. ਡੇਟਾ ਪ੍ਰੋਸੈਸਰ"
"1.ಡೇಟಾ ಪ್ರೊಟೆಕ್ಷನ್, 2.ಡೇಟಾ ಪ್ರೊಟೆಕ್ಷನ್","1.ਡਾਟਾ ਪ੍ਰੋਟੈਕਸ਼ਨ, 2.ਡਾਟਾ ਪ੍ਰੋਟੈਕਸ਼ਨ"
"1. ಡೇಟಾ ರೆಕಾರ್ಡ್, 2. ಡೇಟಾ ರೆಕಾರ್ಡ್","1. ਡਾਟਾ ਰਿਕਾਰਡ, 2. ਡਾਟਾ ਰਿਕਾਰਡ"
"1. ಡೇಟಾ ಮರುಪಡೆಯುವಿಕೆ, 2. ಡೇಟಾ ಮರುಪಡೆಯುವಿಕೆ","1. ਡਾਟਾ ਪ੍ਰਾਪਤੀ, 2. ਡਾਟਾ ਪ੍ਰਾਪਤੀ"
"1. ದತ್ತಾಂಶ ದಿನಚರಿ, 2. ಡೇಟಾ ದಿನಚರಿ","1. ਡੇਟਾ ਰੁਟੀਨ, 2. ਡੇਟਾ ਰੁਟੀਨ"
"1.ಡೇಟಾ ಭದ್ರತೆ, 2.ಡೇಟಾ ಭದ್ರತೆ","1.ਡਾਟਾ ਸੁਰੱਖਿਆ, 2.ਡਾਟਾ ਸੁਰੱਖਿਆ"
"1.ಡೇಟಾ ಸೆಟ್, 2. ಡೇಟಾ ಸೆಟ್","1.ਡਾਟਾ ਸੈੱਟ, 2. ਡਾਟਾ ਸੈੱਟ"
"1.ಡೇಟಾ ಸಿಗ್ನಲ್, 2.ಡೇಟಾ ಸಿಗ್ನಲ್","1.ਡਾਟਾ ਸਿਗਨਲ, 2.ਡਾਟਾ ਸਿਗਨਲ"
"1. ಡೇಟಾ ಪ್ರವೇಶ, 2. ಡೇಟಾ ಪ್ರವೇಶ","1. ਡੇਟਾ ਐਕਸੈਸ, 2. ਡੇਟਾ ਐਕਸੈਸ"
"1.ಡೇಟಾ ಮೂಲ, 2.ಡೇಟಾ ಮೂಲ","1.ਡਾਟਾ ਸਰੋਤ, 2.ਡਾਟਾ ਸਰੋਤ"
"1.ಡೇಟಾ ವಿವರಣೆ, 2. ಡೇಟಾ ನಿರ್ದಿಷ್ಟತೆ","1.ਡਾਟਾ ਨਿਰਧਾਰਨ, 2. ਡਾਟਾ ਨਿਰਧਾਰਨ"
"1.ಡೇಟಾ ಸೆಂಟರ್, 2.ಡೇಟಾ ಸೆಂಟರ್","1.ਡਾਟਾ ਸੈਂਟਰ, 2.ਡਾਟਾ ਸੈਂਟਰ"
"1. ಡೇಟಾ ಸಂಗ್ರಹಣೆ, 2. ಡೇಟಾ ಸಂಗ್ರಹಣೆ","1. ਡੇਟਾ ਸਟੋਰੇਜ, 2. ਡੇਟਾ ਸਟੋਰੇਜ"
ಡೇಟಾ ಶೇಖರಣಾ ರಚನೆ,ਡਾਟਾ ਸਟੋਰੇਜ਼ ਬਣਤਰ
"1. ಡೇಟಾ ರಚನೆ, 2. ಡೇಟಾ ರಚನೆ","1. ਡਾਟਾ ਸਟ੍ਰਕਚਰ, 2. ਡਾਟਾ ਸਟ੍ਰਕਚਰ"
"1.ಡೇಟಾ ಸ್ವಿಚ್, 2.ಡೇಟಾ ಸ್ವಿಚ್","1.ਡਾਟਾ ਸਵਿੱਚ, 2.ਡਾਟਾ ਸਵਿੱਚ"
"1.ಡೇಟಾ ಟೇಬಲ್, 2.ಡೇಟಾ ಟೇಬಲ್","1.ਡਾਟਾ ਸਾਰਣੀ, 2.ਡਾਟਾ ਸਾਰਣੀ"
"1.ಡೇಟಾ ಅಂತ್ಯ, 2. ಡೇಟಾ ಅಂತ್ಯ","1.ਡਾਟਾ ਅੰਤ, 2. ਡਾਟਾ ਖਤਮ"
"1. ಡೇಟಾ ಪ್ರತಿಲೇಖನ, 2. ಡೇಟಾ ಪ್ರತಿಲೇಖನ","1. ਡੇਟਾ ਟ੍ਰਾਂਸਕ੍ਰਿਪਸ਼ਨ, 2. ਡੇਟਾ ਟ੍ਰਾਂਸਕ੍ਰਿਪਸ਼ਨ"
"1.ಡೇಟಾ ವರ್ಗಾವಣೆ, 2. ಡೇಟಾ ವರ್ಗಾವಣೆ","1.ਡਾਟਾ ਟ੍ਰਾਂਸਫਰ, 2. ਡਾਟਾ ਸੰਚਾਰ"
"1. ದತ್ತಾಂಶ ಪ್ರಸರಣ, 2. ಮಾಹಿತಿ ಪ್ರಸರಣ","1. ਡਾਟਾ ਸੰਚਾਰ, 2. ਡਾਟਾ ਸੰਚਾਰ"
"1.ಡೇಟಾ ಟ್ರಾನ್ಸ್ಮಿಷನ್ ಸಿಸ್ಟಮ್, 2.ಡೇಟಾ ಟ್ರಾನ್ಸ್ಮಿಷನ್ ಸಿಸ್ಟಮ್","1.ਡਾਟਾ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਸਿਸਟਮ, 2.ਡਾਟਾ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਸਿਸਟਮ"
"1. ಡೇಟಾ ಫಾರ್ಮ್ಯಾಟ್, 2. ಡೇಟಾ ಫಾರ್ಮ್ಯಾಟ್","1. ਡੇਟਾ ਫਾਰਮੈਟ, 2. ਡੇਟਾ ਫਾਰਮੈਟ"
"1. ಡೇಟಾ ಘಟಕ, 2. ಡೇಟಾ ಘಟಕ","1. ਡੇਟਾ ਯੂਨਿਟ, 2. ਡੇਟਾ ਯੂਨਿਟ"
"1.ಡೇಟಾ ಮೌಲ್ಯೀಕರಣ, 2.ಡೇಟಾ ಮೌಲ್ಯೀಕರಣ","1.ਡਾਟਾ ਪ੍ਰਮਾਣਿਕਤਾ, 2.ਡਾਟਾ ਪ੍ਰਮਾਣਿਕਤਾ"
ಡೇಟಾಬೇಸ್,ਡਾਟਾਬੇਸ
ಡೇಟಾಬೇಸ್ ಆಡಳಿತ,ਡਾਟਾਬੇਸ ਪ੍ਰਸ਼ਾਸਨ
ಡೇಟಾಬೇಸ್ ವಿನ್ಯಾಸ,ਡਾਟਾਬੇਸ ਡਿਜ਼ਾਈਨ
ಡೇಟಾಬೇಸ್ ನಿರ್ವಹಣಾ ವ್ಯವಸ್ಥೆ,ਡਾਟਾਬੇਸ ਪ੍ਰਬੰਧਨ ਸਿਸਟਮ
"1.ಡೇಟಾಗ್ರೇವ್, 2.ಡೇಟಾಗ್ರೇವ್","1.ਡਾਟਾਗਰੇਵ, 2.ਡਾਟਾਗਰੇਵ"
"1. ಡೇಟಾ, 2. ಡೇಟಾ","1. ਡਾਟਾ, 2. ਡਾਟਾ"
"1. ನಿಷ್ಕ್ರಿಯ ವಲಯ, 2. ನಿಷ್ಕ್ರಿಯ ವಲಯ","1.ਅਕਿਰਿਆਸ਼ੀਲ ਜ਼ੋਨ, 2.ਅਕਿਰਿਆਸ਼ੀਲ ਜ਼ੋਨ"
ಬಿಕ್ಕಟ್ಟು,ਡੈੱਡਲਾਕ
ಡೆಡ್ಲಾಕ್ ತಡೆಗಟ್ಟುವಿಕೆ,ਡੈੱਡਲਾਕ ਦੀ ਰੋਕਥਾਮ
ದೋಷ ತೆರವು,ਨੁਕਸ ਕਲੀਅਰੈਂਸ
"1. ಜಡ್ಜ್‌ಮೆಂಟ್ ಸೆಲ್, 2. ಜಡ್ಜ್‌ಮೆಂಟ್ ಬಾಕ್ಸ್","1. ਜੱਜਮੈਂਟ ਸੈੱਲ, 2. ਜੱਜਮੈਂਟ ਬਾਕਸ"
ನಿರ್ಧಾರ ಪ್ರಕ್ರಿಯೆ,ਫੈਸਲਾ ਲੈਣ ਦੀ ਪ੍ਰਕਿਰਿਆ
ನಿರ್ಧಾರ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ,ਫੈਸਲੇ ਦਾ ਸਮਰਥਨ ਸਿਸਟਮ
ನಿರ್ಧಾರ ಮರ,ਫੈਸਲੇ ਦਾ ਰੁੱਖ
"1. ಡಿಕೋಡರ್, 2. ಡಿಕೋಡರ್","1. ਡੀਕੋਡਰ, 2. ਡੀਕੋਡਰ"
ವಿಸರ್ಜನೆಯ ತತ್ವ,ਭੰਗ ਅਸੂਲ
ಡಿಕೋಡಿಂಗ್,ਡੀਕੋਡਿੰਗ
ಮೀಸಲಾದ ವ್ಯವಸ್ಥೆ,ਸਮਰਪਿਤ ਸਿਸਟਮ
ಮೀಸಲಾದ ಪತ್ರಿಕಾ,ਸਮਰਪਿਤ ਪ੍ਰੈਸ
ಇಮ್ಯುನೈಸೇಶನ್ ಡೇಟಾ ನೆಟ್‌ವರ್ಕ್ (DDN),ਇਮਯੂਨਾਈਜ਼ੇਸ਼ਨ ਡਾਟਾ ਨੈੱਟਵਰਕ (DDN)
ರೋಗನಿರೋಧಕ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,ਇਮਿਊਨਾਈਜ਼ੇਸ਼ਨ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
ಏಕೀಕರಣ,ਏਕੀਕਰਣ
ವಿಳಂಬ,ਦੇਰੀ
ವಿಳಂಬ ಕೌಂಟರ್,ਦੇਰੀ ਕਾਊਂਟਰ
ವಿಳಂಬ ಸಮಯ,ਦੇਰੀ ਦਾ ਸਮਾਂ
"1.ಅಳಿಸು, 2.ಅಳಿಸು","1.ਮਿਟਾਓ, 2.ਮਿਟਾਓ"
ಅಳಿಸುವಿಕೆ ದಾಖಲೆ,ਮਿਟਾਉਣ ਦਾ ਰਿਕਾਰਡ
ಡಿಲಿಮಿಟರ್,ਡੀਲੀਮੀਟਰ
ಡೆಲ್ಟಾ ಮಾಡ್ಯುಲೇಶನ್,ਡੈਲਟਾ ਮੋਡੂਲੇਸ਼ਨ
ವಿನಂತಿ ಪುಟ,ਮੰਗ ਪੰਨਾ
ಪ್ರದರ್ಶನ,ਪ੍ਰਦਰਸ਼ਨ
ಡಿಮೋಡ್ಯುಲೇಶನ್,demodulation
ವಿ-ಮಲ್ಟಿಪ್ಲೆಕ್ಸರ್,ਵਿ- ਮਲਟੀਪਲੈਕਸਰ
ಅಸಾಧಾರಣೀಕರಣ,ਅਸਧਾਰਨਕਰਨ
"1. ಸಾಂದ್ರತೆ, 2. ಸಾಂದ್ರತೆ","1. ਘਣਤਾ, 2. ਘਣਤਾ"
"1. ಅವಲಂಬನೆ, 2. ಅವಲಂಬನೆ","1. ਨਿਰਭਰਤਾ, 2. ਨਿਰਭਰਤਾ"
ಅವಲಂಬಿತ ಘಟಕ,ਨਿਰਭਰ ਇਕਾਈ
ಸಾಲು,ਕਤਾਰ
"1. dereference, 2. dereference","1. ਸਤਿਕਾਰ, 2. ਸਤਿਕਾਰ"
ಪಡೆದ ಮರ,ਲਿਆ ਰੁੱਖ
ಪಡೆದ ಕ್ಷೇತ್ರ,ਪ੍ਰਾਪਤ ਖੇਤਰ
ಅವರೋಹಣ ರೀತಿಯ,ਘਟਦੀ ਲੜੀ
ವಿನ್ಯಾಸ,ਡਿਜ਼ਾਈਨ
ಮೇಜಿನ ಕ್ಯಾಲ್ಕುಲೇಟರ್,ਡੈਸਕ ਕੈਲਕੁਲੇਟਰ
ಡೆಸ್ಕ್ಟಾಪ್ ಕಂಪ್ಯೂಟರ್ಗಳು,ਡੈਸਕਟਾਪ ਕੰਪਿਊਟਰ
ಡೆಸ್ಕ್ಟಾಪ್ ಪ್ರಸ್ತುತಿ,ਡੈਸਕਟਾਪ ਪੇਸ਼ਕਾਰੀ
ಡೆಸ್ಕ್ಟಾಪ್ ಪಬ್ಲಿಷಿಂಗ್,ਡੈਸਕਟਾਪ ਪ੍ਰਕਾਸ਼ਨ
ಡೆಸ್ಕ್ಟಾಪ್ ವೀಡಿಯೊ,ਡੈਸਕਟਾਪ ਵੀਡੀਓ
ತಲುಪಬೇಕಾದ ವಿಳಾಸ,ਮੰਜ਼ਿਲ ਪਤਾ
"1. ವಿಧ್ವಂಸಕ, 2. ವಿಧ್ವಂಸಕ","1. ਵਿਨਾਸ਼ਕਾਰੀ, 2. ਵਿਨਾਸ਼ਕਾਰੀ"
ನಿರ್ಣಾಯಕ ಸ್ವಯಂಚಾಲಿತ,ਨਿਰਣਾਇਕ ਆਟੋਮੇਟਾ
ಡೆವಲಪರ್,ਵਿਕਾਸਕਾਰ
ಅಭಿವೃದ್ಧಿ ವ್ಯವಸ್ಥೆ,ਵਿਕਾਸ ਸਿਸਟਮ
ಸಾಧನ,ਜੰਤਰ
ಸಾಧನ ನಿಯಂತ್ರಣ ಘಟಕ,ਜੰਤਰ ਕੰਟਰੋਲ ਯੂਨਿਟ
ಸಾಧನ ನಿಯಂತ್ರಕ,ਜੰਤਰ ਕੰਟਰੋਲਰ
ಸಾಧನ ನಿರ್ವಹಣೆ,ਜੰਤਰ ਪ੍ਰਬੰਧਨ
ಸಾಧನ ಮೋಡ್,ਜੰਤਰ ਮੋਡ
ರೋಗನಿರ್ಣಯ,ਨਿਦਾਨ
ರೋಗನಿರ್ಣಯ ವ್ಯವಸ್ಥೆ,ਡਾਇਗਨੌਸਟਿਕ ਸਿਸਟਮ
"1. ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್, 2. ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್","1. ਡਾਇਗਨੌਸਟਿਕਸ, 2. ਡਾਇਗਨੌਸਟਿਕਸ"
ರೇಖಾಚಿತ್ರ,ਚਿੱਤਰ
ಡಯಲ್ ಮಾಡಿ,ਡਾਇਲ
ಡಯಲ್ ಲೈನ್,ਡਾਇਲ ਲਾਈਨ
ಡಯಲ್ ಟೋನ್,ਡਾਇਲ ਟੋਨ
ಡಯಲ್ ಅಪ್ ಮಾಡಿ,ਡਾਇਲ ਕਰੋ
"1. ಸಂಭಾಷಣೆ, 2. ಸಂಭಾಷಣೆ","1. ਵਾਰਤਾਲਾਪ, 2. ਗੱਲਬਾਤ"
ಸಂಭಾಷಣೆ ಕೊಠಡಿ,ਗੱਲਬਾਤ ਕਮਰੇ
ಡಯಲಪ್ ಮೋಡೆಮ್,ਡਾਇਲਅੱਪ ਮਾਡਮ
ವಿಮೆ,ਬੀਮਾ
ನಿಘಂಟು,ਸ਼ਬਦਕੋਸ਼
"1. ಭೇದಾತ್ಮಕ, 2. ವ್ಯತ್ಯಾಸ","1. ਅੰਤਰ, 2. ਭਿੰਨਤਾ"
ಸಂಖ್ಯಾತ್ಮಕ,ਸੰਖਿਆਤਮਕ
ಡಿಜಿಟಲ್ ವ್ಯವಸ್ಥೆ,ਡਿਜ਼ੀਟਲ ਸਿਸਟਮ
ಡಿಜಿಟಲ್ ಸರ್ಕ್ಯೂಟ್,ਡਿਜ਼ੀਟਲ ਸਰਕਟ
