abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
civil procedure code,"సివిల్ ప్రొసిజరు కోడ్, పౌరన్యాయ కార్యస్మృతి"
civil service,సివిల్ సర్వీసు/ఉద్యోగం
civil suit,సివిల్ దావా
civil supplies,పౌర సరఫరాలు
civil war,అంతర్యుద్ధం
claim,"క్లెయిం, హక్కు ప్రతిపాదన, అభ్యర్థన"
claim for refund,"డబ్బు వాపసు కోసం క్లెయిం, దావా"
claim form,దావా పత్రము
claimant,"క్లెయిందారు, హక్కుదారు, దావాదారు"
clarification,"స్పష్టీకరణ, వివరణ"
class,"వర్గం, తరగతి, రకం, శ్రేణి"
classified advertisement,వర్గీకరించిన ప్రకటన
classified documents,వర్గీకరించిన దస్తావేజులు
classified information,వర్గీకరించిన సమాచారము
classify,వర్గీకరించు
classwise,తరగతి వారీ
clause,"క్లాజు, ఖండం, నిబంధన"
clear vacancy,స్పష్టమైన ఖాళీ (ఉద్యోగ సం.)
clearance,"ఖాళీ, విమోచన పత్రం, అనుమతి పత్రం"
clerical,"గుమాస్తా సంబంధ, ఫాదరీ సంబంధ (క్రైస్తవ)"
clerical cadre,"గుమాస్తా కాడర్, గుమాస్తా వర్గం"
clerical error,రాత పొరపాటు
clerical staff,గుమాస్తా సిబ్బంది
clerical work,గుమాస్తా చేసే పని
client,"క్లయింటు, కార్యార్థి, సేవార్థి, కక్షిదారు (వకీలు సలహా పొందే వ్యక్తి)"
cloak room,"సామాను గది (రైల్వే సం.), సామను భద్రపరిచే గది"
close of the year,"సంవత్సరాంతము, ముగింపు"
closing balance,"ముగింపు నిల్వ, ఆఖరు నిల్వ"
closing date,"ముగింపు తేదీ, ఆఖరు తేదీ"
closure,"సమాప్తి, ముగింపు"
clue,"జాడ, సంకేతం, కీలకం"
co (as in 'co-chairman'),సహ
co-accused,"సహనిందితుడు, తోటి నేరస్తుడు"
co-opt,"కో ఆప్ట్ చేసుకొను, సహ ఎంపిక చేయు"
co-opted member,సహ ఎంపిక సభ్యుడు
co-ordination,సమన్వయం
co-owner,"తోటి యజమాని, సహయజమాని"
co-partner,"తోటి భాగస్థుడు, సహ భాగస్థుడు"
coaching,"తర్ఫీదు, శిక్షణ ఇచ్చుట"
coalition government,"సంకీర్ణ ప్రభుత్వం, మిశ్ర ప్రభుత్వం"
code,"సంహిత, స్మృతి, నియమావళి"
code number,సంకేత సంఖ్య
code of conduct,ప్రవర్తన నియమావళి
code word,సంకేత పదం
coding,"సూత్రీకరణ, సంహితగా రూపొందించుట"
coercion,"బలాత్కారం, బలప్రయోగం"
coexistence,సహజీవనం
cognizable,"గ్రాహ్యమైన, విచారణ యోగ్యమైన"
cognizable offence,"విచారణ యోగ్యనేరం, మేజిస్ట్రేటు విచారణ చేయదిగిన నేరం"
cognizance,అధికార రీత్యా కలిగించుకోవడం
coincidence,ఏకకాల సంఘటన
collaboration,"సహయోగం, సహకారం, సహాయము"
collateral security,అదనపు సెక్యూరిటీ/పూచీ/హామీ
colleague,సహ ఉద్యోగి
collective,"సమష్టి, సామూహిక, ఉమ్మడి"
collective responsibility,సమష్టి బాధ్యత
collectorate,కలెక్టరు కార్యాలయము
collusion,"కుట్ర, దుష్కార్యం కోసం రహస్య ఒప్పందం"
colony,"కాలనీ, వలస ప్రాంతం, జనావాసం"
colour blindness,"వర్ణాంధత, కొన్ని వర్ణాల భేదాన్ని గుర్తించలేకపోవడం"
column,"కాలమ్ (పత్రికా సం) వరస/నిలువు, గడి"
combing operation,గాలించే/వెతికే క్రియ
command,"ఆదేశం, అధికారం, సైనిక పటాలం"
commemoration,స్మారకోత్సవం
commendable,"ప్రశంసనీయ(0), ప్రశంసించదగిన"
commensurate,"సమరూప, సమవ్యాపక"
commentary,"వ్యాఖ్య, వివరణ"
comments,వ్యాఖ్యానాలు
commerce,వాణిజ్యం
commercial break,ప్రకటనల విరామం
commission,"కమీషను (పరిశీలన), కమీషను, సంఘం"
commissioning,"పని కల్పించు, అఘిరాపమిత్తు"
commit,"చేయు, నిర్భంధంలో ఉంచు, నిబద్ధుడవు"
commitment,నిబద్ధత
commodity,"సరుకు, దినుసు (వ్యాపార సం.)"
common,"సామాన్య, సాధారణ, మామూలు"
communal,"కుల, మత (సం.)"
communal harmony,మత సామరస్యము
communicate,"కబురుచేయు, వర్తమానం పంపు"
communication,"వార్తాలాపన, సంభాషణ, రాకపోకలు"
communication gap,చెప్పిన మాటను వేరే విధంగా అర్థం చేసుకొను
communique,ఆధికారిక సమాచారం
community,"సమూహం, సముదాయం"
community centre,సాముదాయక కేంద్రం
community development project,సామూహిక వికాస ప్రాజెక్టు
community service,"సామూహిక సేవ, సామాజిక సేవ"
commutation,"పరివర్తనం, మార్పు, వినిమయం"
commuted leave,మార్చుకునే సెలవు
commuted value,మదింపు విలువ
comparison,పోల్చి చూచుట
compassion,"దయ, కరుణ"
compassionate ground,కారుణ్య కారణాలు
compassionate leave,కారుణ్య సెలవు
compatible,"అనురూప, సంగత"
compel,బలవంతపెట్టు
compendium,"సంక్షిప్తరూపం, సంకలనం"
compensation,"పరిహారం, నష్టపరిహారం, నష్టపూరణం"
compensatory allowance,నష్టపరిహారక బత్తెం
compensatory leave,"పరిహార సెలవు, బదులు సెలవు"
competence,"సమర్థత, యోగ్యత"
competent,"అర్హత గల, సమర్థుడైన"
competent authority,సమర్థమైన అధికారవర్గం/అధికారి
competition,"పోటీ, స్పర్ధ, ప్రతిస్పర్ధ"
competitive examination,పోటీ పరీక్ష
compilation,"సంకలనం, పోగు చేయటం, కూర్చుటం"
complaint,ఫిర్యాదు
complaint book,ఫిర్యాది పుస్తకం
complement,"పూరకం, అనుబంధం"
complementary,పూరక
complete,సంపూర్ణమైన
completion certificate,సమాప్తి ధ్రువ పత్రం
compliance,"పాటింపు, అనుపాలనం"
complicated,"చిక్కు పడిన, క్లిష్టమైన"
compliment,"మెచ్చుకోలు, స్తుతి వాక్యం"
complimentary copy,అభినందన ప్రతి
comply with,"పాటించు, అనుపాలించు"
composite culture,"సమ్మిశ్ర సంస్కృతి, మిశ్ర సంస్కృతి"
composition,"రచన, పరిష్కారపు ఏర్పాటు"
comprehensive,సమగ్రమైన
comprehensive insurance,సమగ్ర భీమా
compromise,"రాజీ, సమాధానం, పరిష్కారం, తీర్మానం"
compulsory,"నిర్బంధ, తప్పనిసరి, అనివార్య"
compulsory retirement,నిర్బంధ పదవీ విరమణ
computer,"కంప్యూటర్, గణన యంత్రం"
computer centre,కంప్యూటర్ సెంటర్
computer friendly,కంప్యూటర్ అనుకూలత కలిగిన
computer language,కంప్యూటర్ భాష
computer literacy,కంప్యూటర్ అక్షరాస్యత
computerization,కంప్యూటరీకరణ
concept,"భావన, సంకల్పన"
concern,"సంబంధం, వ్యాపార సంస్థ"
concession,"రాయితీ, తగ్గింపు"
concession certificate,రాయితీ ధ్రువపత్రం
concessional rate,"రాయితీ రేటు, తగ్గింపు రేటు"
conciliation,"రాజీ, సమాధానం"
concluding remarks,ముగింపు వ్యాఖ్యానం
conclusion,"ఉపసంహారం, నిష్కర్ష, నిశ్చయించి చెప్పిన"
conclusive,"నిర్ణాయక, నిర్ణయించే, నమ్మకం కలిగించే"
concur,"ఏకిభవించు, సమ్మతించు"
concurrence,సమ్మతి
condemn,"నిందించు, ఖండించు"
condition,"షరతు, నిబంధన, నియమం"
conditional,షరతులతో కూడిన
conditional acceptance,షరతుపై అంగీ కారం
conditions of contract,కాంట్రాక్టు షరతులు
conditions of service,ఉద్యోగ/సర్వీసు షరతులు
condolence,సంతాపం
condone,"క్షమించు, మాఫీ చేయు"
conduct,"ప్రవర్తన, చర్య, నడవడి"
conduct rules,ప్రవర్తన నియమావళి
confer,"ప్రసాదించు, అర్పించు, ప్రదానంచేయు"
conference,సమావేశం
conference room,"సమావేశ శాల, సమ్మేళన గది"
conferencing facility,సమావేశాలు జరుపుకొనే సౌకర్యం
confidential,"గోప్యమైన, రహస్యమైన"
confinement,"నిర్బంధం, గర్భధారణ, పరిమితం"
confirm,"దృఢపరచు, బలపరుచు"
confirmation,"దృవీకరణ, స్థిరీకరణ, ఖాయపరచటం"
confirmation of service,ఉద్యోగ స్థిరీకరణ
confirmation order,స్థిరీకరణ ఉత్తరువు
confiscation,"జప్తు, ప్రభుత్వ పరం చేయటం, స్వాధీన పరచుకోటం"
conflict,పరస్పర సంఘర్షణ/విరోధం
conflicting views,పరస్పర విరుద్ధమైన అభిప్రాయాలు
conformity,"అనురూపత, కట్టు బాటు, అనుబద్ధం"
congratulation,అభినందనలు
connection,సంబంధం
connivance,"కుమ్మక్కు, రహస్య సమ్మతి"
conscience,"అంతరాత్మ, అంతర్ బుద్ధి"
consensus,"సర్వసమ్మతి, బహుజన సమ్మతి సాధారణాభిప్రాయం"
consent,"సమ్మతి, సమ్మతించు"
consequence,"పరిణామము, ఫలితము, పర్యవసానము"
consequent,అనుగామి సంఘటన
conservation,"సంరక్షణ, పరిరక్షణ (పురావస్తు, భూసార సం.)"
consideration zone,పర్యాలోచన మండలం
consignee,"పొందేవాడు, గ్రాహకుడు"
consignment,"రవాణా సరుకు, సరుకు అప్పగింత"
consignment note,"రవాణా పత్రం, రవాణా రసీదు"
consistent,"అనుకూలమైన, అవిరుద్ధమైన"
consolidated fund,సంచిత నిధి
consolidated pay,ఏకమొత్తపు జీతం
consolidated statement,ఏకీకృత వివరణ పత్రం
consolidation,ఏకీకరణ
conspicuous,"సువ్యక్త, తెలిసే, కనిపించే"
conspiracy,"కుట్ర, గూడుపుఠాణి"
constant,"స్థిరమైన, మార్పు లేని, ఎడ తెగని"
constituency,నియోజక వర్గం
constituent,"సంఘటక భాగం, అంతర్గత భాగం"
constitution,"రాజ్యాంగం, సంవిధానం"
constraint,"నిర్బంధం, అవరోధం, అడ్డము"
construction,"నిర్మాణం, కట్టడం, రచన, అన్వయం"
consultant,సంప్రదింపు నిపుణుడు
consultation,"సంప్రదింపు, సలహా"
consultative committee,సంప్రదించు మండలి/సంఘం
consumable item,ఉపభోజ్య వస్తువు/ఇతరుల ద్వారా తయారుచేయబడి
consume,"వినియోగించు, అనుభవించు, వాడుకొను"
consumer forum/council,వినియోగదారుల మండలి
consumer orientation,వినియోగదారు యొక్క పునశ్చరణ
consumer's goods,"నిత్యావసర వస్తువులు, వినియోగ సరుకులు"
consumption,"వినియోగం, వాడకం, సేవించడం, క్షయ"
contact,"సంపర్కం, స్పర్శ, పరిచయం"
contact programme,సంపర్క కార్యక్రమం
contagious disease,అంటు వ్యాధి
contain,"నిలుపుదల చేయు, అరికట్టు, కలిగి ఉండు"
contemplate,"ఆలోచించు, మననం చేయు"
contemporary,సమకాలిక
contempt of court,"కోర్టు ధిక్కరణ, న్యాయస్థాన ధిక్కారం"
contention,"వివాదాంశం, పోటీవాదం, విశ్వాసం"
contents,"విషయాలు, వస్తువులు, విషయ సూచిక"
contest,"పోటీ, ప్రతివాదం, ప్రతివాదం చేయు"
context,సందర్భం
contingencies,ఆగంతుక వ్యయాలు
contingency,"యాదృచ్ఛిక స్థితి, ఆకస్మికత"
contingency allowance,యాదృచ్ఛిక అవసరాల కోసం డబ్బు
contingency fund,"ఆకస్మిక ఖర్చుల నిధి, ఆగంతుక నిధి"
contingency grant,యాదృచ్ఛిక అవసరాల కోసం మంజూరు అయిన విరాళము
contingency plan,ఆకస్మిక అవసరాల కోసం ప్రణాళిక
contingent charges,"కంటింజెంట్ ఛార్జి, ఆకస్మిక కార్యవిధి"
continuous appointment,నిరంతర నియామకం
continuous development,నిరంతర వికాసం
continuous process,నిరంతర ప్రక్రియ
continuous service,నిరంతర సేవ/సర్వీసు
contraband,"నిషిద్ధ సరుకు, దొంగచాటు సరుకు"
contract,"కాంట్రాక్టు, కరారు, ఒప్పందం, ఒడం బడిక"
contract deed,ఒప్పందపు దస్తావేజు
contract of employment,ఉద్యోగపు ఒడంబడిక/కాంట్రాక్టు
contract period,"ఒప్పంద గడువు, ఒప్పంద సమయము"
contractual document,కాంట్రాక్టు దస్తావేజు
contractual liability,కాంట్రాక్టు నష్ట భరణ బాధ్యత
contractual service,కాంట్రాక్టు ఉద్యోగం
contradiction,"ఖండన, పరస్పర విరుద్ధం/ప్రతివాదం"
contradictory statement,విరుద్ధ కథనం
contrary,"విరుద్ధం, ప్రతికూల/విరుద్ధంగా"
contravention,"విరుద్ధత, ఉల్లంఘన"
contribution,"అంశదానం, అంశదాయం, సహాయం"
contributory pension scheme,అంశదాయి పెంషన్ పథకం
contributory provident fund,అంశదాయి భవిష్యనిధి
control,"నియంత్రణ, అదుపు, కంట్రోలు"
controlling officer,"నియంత్రణాధికారి, నిర్ణాయకాధికారి"
controversial,వివాదాస్పదమైన
controversial matter,వివాదాస్పద విషయం
controversy,వివాదం
convenience,"సౌకర్యం, వీలు, వెసులు బాటు"
convention,"సంప్రదాయం, ఆచారం, వాడుక"
conventional,"రూఢి అయిన, సంప్రదాయమైన, పరిపాటి అయిన"
conversant,"బాగా తెలిసిన, సుపరిచితమైన"
convert,"మార్పు చేయు, మార్చు"
converted leave,"మార్పిడి సెలవు, వినిమయ సెలవు"
conveyance,"వాహనం, అన్యాక్రాంత పత్రం, దస్తావేజు"
conveyance allowance,వాహన బత్తెం
conveyance deed,అన్యాక్రాంత దస్తావేజు
conveyance expenses,వాహన ఖర్చులు
convict,"దోషి, శిక్షితుడు, దోషిగా నిర్ణయించు"
conviction,"నేర నిర్ణయం, దోషిత్వ నిర్ణయం"
convocation,విశ్వవిద్యాలయ స్నాతకోత్సవం
cooling off period,స్థిమిత పడడానికి పట్టే సమయం
cooperation,"తోడ్పడు, సహకారం"
cooperative,సహకార
cooperative society,సహకార సంఘం
copy,"నకలు, ప్రతి, ప్రతిలిపి, ఒరవడి"
copying,నకలు/ప్రతులు తీయటం
copyright,"కాపీరైటు, గ్రంథ ప్రచురణ హక్కు"
cordial,సద్భావపూర్వక
coroner,దుర్మరణ విచారణాధికారి (పట్టణాలలో)
corporate body,"సంఘటిత సంస్థ, కార్పొరేట్ సంస్థ"
corporate planning,కార్పోరేట్ ప్రణాళికా రచన
corporation,"పాలక సంఘం, నిగమం, కార్పొరేషన్"
corporation tax,"పాలక సంఘ పన్ను, కంపెనీల ఆదాయం మీద విధించే పన్ను"
correction,"దిద్దుబాటు, సరిచేయడం"
corrective measures (=correctives),దిద్దుబాటు చర్యలు
correspondence,"అనుగుణ్యం, సరిపడటం, రాయటం"
correspondence course,పత్రాల ద్వారా శిక్షణ/కోర్సు
correspondence portion,ఉత్తర ప్రత్యుత్తరాల ద్వారా జరిగే భాగం
correspondent,"లేఖరి, పత్ర వ్యవహర్త, విలేఖరి"
corresponding,"అనురూపమైన, తుల్యమైన, ప్రతి అయిన"
corrigendum,తప్పొప్పుల పట్టిక
corroborate,"బలపరచు, ధృఢపరచు"
corroboration,"బలపరచడం, (అసలు సాక్ష్యాన్ని రూఢిచేయడం)"
corrupt,"అవినీతికరమైన, లంచగొండి"
corrupt practice,"అవినీతి, అవినీతి సాధన"
corruption,"అవినీతి, లంచగొండితనం"
cosmopolitan city,మహా నగరము
cost,"ఖర్చు, వ్యయం, ఖరీదు, ధర"
cost accountant,ఉత్పత్తి ఖర్చు లెక్క (వివిధ అంశాలకు) చెప్పువాడు
cost analysis,వ్యయవిశ్లేషణ
cost ceiling,ఉత్పత్తి గరిష్ఠ ఖర్చు హద్దు
cost effectiveness,ఉత్పత్తి ఖర్చు తగ్గించే విధానాలు
cost of living,జీవన వ్యయం
cost overrun,ఉత్పత్తి ఖర్చు అతిక్రమణ
cottage industry,కుటీర పరిశ్రమలు
council,"మండలి, పరిషత్తు, కౌన్సిల్"
council of ministers,మంత్రి మండలి
council of states,రాజ్యసభ
counsel,"సలహా వకీలు, సలహా, ఆలోచన"
counselling,"సలహా చెప్పుట, హిత బోధ చేయుట"
counter,"కౌంటరు, లెక్క యంత్రం, ప్రతివాదం"
counter action,"విరుగుడు, ప్రతివిధానం"
counter affidavit,ఎదురు ప్రమాణపత్రం
counter charge,"ఎదురు ఆరోపణ, ప్రత్యారోపణ"
counter claim,ఎదురు హక్కు ప్రతిపాదన
counter offer,ఎదురు ప్రతిపాదన
counterfeit currency,నకలీ నోట్లు/నాణాలు
counterfeiting,నకిలీ నోట్లు తయారు చేయుట
counterfoil,"ఎదురు ప్రతి, మారుప్రతి, ప్రతిపత్రకం"
countersign,"ధ్రువీకరణ సంతకం, గుర్తింపు సంతకం"
coup (de etat),విప్లవఘాతం
coupon,"చీటి, కూపను"
courier,వార్తాహరుడు
courier service,కొరియర్ సర్వీసు
course,"కోర్సు, నిర్దిష్ట క్రమం, క్రమరీతి"
courses of study,అధ్యయన పాఠ్య క్రమము
court case,కోర్టు కేసు
court of small causes,చిన్న కేసుల కోర్టు
courtesy,"మర్యాద, సౌజన్యం"
covenant,"లిఖిత ఒప్పందం, ఒడంబడిక, చట్టసమ్మతమైన"
cover,"కవరు, మూత/లకోటా, కవచం"
coverage,వ్యాప్తి రక్షణ కోసం క్షేత్రం లేదా నిధి
covering letter,"ప్రస్తావన లేఖ, సహా లేఖ"
covering memo,ప్రస్తావన తాకీదు/మెమో
covering note,ప్రస్తావన నోటు
crash programme,అతి త్వరగా ముగింపచేసే కార్యక్రమం
creamy layer,ఉన్నత వర్గం
creation,"కల్పన, నిర్మాణం, ఏర్పాటు, సృష్టి"
creative,సృజనాత్మకమైన
creativity,సృజనాత్మకత
creche,"శిశు సదనం, శిశువిహార్"
credentials committe,విశ్వసనీయ పత్రాల సమితి/సంఘం
credibility,"విశ్వసనీయత, నమ్మకము"
credit,"జమపద్దు, పరపతి, ప్రతిష్ట, ఉద్దెర/అరువు"
credit advice,క్రెడిట్ ఎడ్వైజ్
credit and thrift society,పరపతి పొదుపు సంఘం
credit card,క్రెడిట్ కార్డు
credit entry,జమ పద్దు/జమ నమోదు
credit facilities,పరపతి సౌకర్యం
credit note,"జమ రసీదు, పరపతి నోట్, ముజరాల నమోదు"
creditable,"నమ్మతగిన, విశ్వసింపదగిన"
creditor,"ఋణదాత, పరపతిదాత"
cremation,"అంత్యక్రియలు, దహన సంస్కారం"
cremation ground,"శ్మశాన వాటిక, శ్మశానం"
crew,"నావికా సమూహం, చోదకబృందం"
crime,"నేరం, అపరాధం"
criminal breach of trust,"విశ్వాస భంగ నేరం, నేరం కిందికి వచ్చే నమ్మక ద్రోహం"
criminal court,క్రిమినల్ న్యాయస్థానం
criminal negligence,"అశ్రద్ధ నేరం, నేరం కిందికి వచ్చే అశ్రద్ధ"
criminal offence,"శిక్షార్హ నేరం, క్రిమినల్ అపరాధం"
criminal procedure code,"క్రిమినల్ ప్రొసీజర్ కోడ్, నేర విచారణ స్మృతి/సంహిత"
crisis,"సంక్షోభం, సంకటావస్థ"
crisis management,సంకటావస్థ నిర్వహణ
criterion,నిర్ణయ ప్రమాణము
criticism,విమర్శ
cross,"పర సంపర్క(0), సంకర(0), ఎదురు, అడ్డు, ప్రతి"
cross breed,సంకరజాతి
cross checking,"ఎదురు తనిఖీ, ఒకదానితో ఒకటి సరిచూడటం"
cross examination,"అడ్డు పరీక్ష, సాక్షిని ప్రతివాది పరీక్షించడం"
cross reference,"పరస్పర నిర్దేశం, ప్రతి నిర్ధేశం"
cross voting,ప్రతికూల వోటింగు
crossed cheque,క్రాస్ చేసిన చెక్కు
crucial date,కీలకమైన తారీఖు
crude,"స్థూలమైన, అపరిణతమైన"
culpable homicide,అపరాధమైన మానవ హత్య
culprit,"నిందితుడు, నేరస్తుడు"
cultivation,"సేద్యం, వ్యవసాయం"
cultural exchange programme,పరస్పర సంస్కృతుల పరిచయ కార్యక్రమం
cumulative,"పోగైన, కూడుకొన్న, సంచితమైన"
currency,"చలామణి, కరెన్సీ, నాణెపు పద్దతి, ద్రవ్య విధానం"
currency exchange,కరెన్సీ వినిమయం
currency note,కరెన్సీ నోటు
current,"ప్రవాహం, విద్యుత్ప్రవాహం"
current account,"వాడకం ఖాతా, కరెంటు పద్దు, చలామణి పద్దు"
current duties,ప్రస్తుత విధులు
current session,ప్రస్తుత సమావేశం
curriculum vitae (cv),"ఆత్మ వృత్తాంతము, జీవన వృత్తాంతము"
curtail,"తగ్గించు, తృంచివేయు"
custodian,"సంరక్షకుడు, పదిలపరిచేవాడు"
custody,"సంరక్షణ, అధీనం, నిర్బంధం, అభిరక్ష"
custom,"ఆచారం, వాడుక, రివాజు"
custom duty,సీమా శుల్కం
custom examination,"సీమ సుంకాల పరీక్ష, పరిశీలన"
custom(s),సీమ సుంకాలు
customary,"మామూలైన వాడుకైన, ఆచారానుగుణమైన"
customary procedure,ఆచారానుగుణమైన కార్య పద్ధతి
customer,"గిరాకీదారు, ఖాతాదారు, కొనుగోలు దారు"
customer friendly,కొనుగోలు దారులకు సౌలభ్యం కలిగించే
cut down,"తగ్గించు, కోసివేయు"
cut motion,కోత ప్రతిపాదన/తీర్మానం (శాసన సభ సం.)
cut off date,చివరి తారీఖు
cycle,"ఆవృత్తి, తిరిగి తిరిగి వచ్చే కాల వ్యవధి"
daily,"రోజువారీ, దినసరి, రోజు, దినపత్రిక"
daily allowance,"రోజువారీ భత్యం/బత్తెం, దినసరి భత్యం"
daily diary,ప్రతిరోజూ దినచర్య రాసే పుస్తకం
daily register,"అనుదిన రిజిస్టరు, డైలీ రిజిస్టరు"
daily report,"దినసరి నివేదిక, రోజు వారీ నివేదిక"
daily routine,"రోజువారీ, మామూలు, నిత్యపరిపాటి"
daily wages,"రోజువారీ కూలి, దినసరి కూలి"
dak stage,"డాక్ స్టేజి, డాక్ స్థాయి"
dak tray,డాక్ ట్రే
damage,"నష్టం, నష్టపరచు"
damages,"హాని, నష్టము"
dangerous,"ప్రమాదకరమైన, అపాయకరమైన"
daring,"సాహసం కల, ధైర్యం కలిగిన"
data,"దత్తాంశం, భోగట్టా"
data bank,డాటా బ్యాంక్
data base,"డాటా బేస్, దత్తాంశ ఆధారము"
data collection,డాటా సేకరణ/సంకలనం
data feeding,"డాటా పోషణ, డాటా ఫీడింగ్"
data processing,దత్తాంశ అనుక్రమం/పరిశీలన ప్రక్రియ
date,తేదీ
date of arrival,"వచ్చె (చేరే) తేదీ, చేరుకునే తేది"
date of birth,పుట్టిన రోజు
date of departure,బయలుదేరిన తేదీ
date of discharge,"విడుదల తేదీ, విముక్తి చేసిన తేదీ"
date of maturity,"పరిణత తేదీ, చెల్లుబడి తేదీ"
date of receipt,"అందిన తేదీ, చేరిన తేదీ"
date stamp,"తేదీ ముద్ర, తేదీలు వేసేముద్ర"
day scholar,పగటి విద్యార్థి
day shift,"పగటి షిఫ్టు, పగటి మార్పిడి (కార్మిక సం.)"
day to day work,రోజువారీ పని
days of grace,ఉదార దినాలు
de facto,"వస్తుతః, వాస్తవానికి, వాస్తవంగా"
de novo,సరికొత్త
dead account,అమలులో లేని ఖాతా
dead line,ఆఖరి గడువు
dead stock register,అమ్మడానికి వీలు లేని వస్తువుల రిజిస్టరు
dead weight,"ఉత్పాదక హీనభారం, నిశ్చలభారం"
deadlock,ప్రతిష్టంభన
deal,"వ్యవహారం, వ్యవహరించు"
dealing,వ్యవహారము
dealing assistant,వ్యవహరించే సహాయకుడు
dearness allowance,కరువు బత్తెం (అధిక ధరల కారణంగా)
death anniversary,"వర్ధంతి, సాంవత్సరికం"
death benefit,మృత్యువు కారణంగా అందిన సహాయం
death in service,ఉద్యోగంలో ఉండగా మృతి చెందుట
death-cum-retirement gratuity,మరణ-ఉద్యోగ విరమణ ఉదారభృతి
deauthorizatioin,ఒకరి తరఫున వ్యవహిరంచడానికి ఇచ్చిన అధికారాన్ని ఉపసంహరించుకొనుట
debar,"డిబార్, ప్రతిబంధించు, నిషేధించు (హక్కు వగైరా)"
debit,"ఖర్చు, బాకీ, ఖర్చు వ్రాయు"
debit advice,ఖర్చు సలహా
debt,"అప్పు, ఋణం"
debt management,ఋణ వ్యవహారాల నిర్వహణ
debtor,"బాకీదారు, ఋణం తీసుకున్నవాడు"
deceased,"మృతుడు, మరణించిన"
decency,"సభ్యత, మర్యాద, ఔచిత్యం"
decentralization,వికేంధ్రీకరణ
deciding factor,"ఒక నిర్ణయానికి తెచ్చే అంశం, నిర్ణయించే అంశం"
decision,నిర్ణయం
decision making,నిర్ణయం చేయుట
decision making process,నిర్ణయం చేసే కార్య పద్ధతి
declaration,"వాజ్మూలం, వెల్లడి, ప్రకటన"
declaration of income,ఆదాయాన్ని వెల్లడించుట
declare on oath,ప్రమాణ పూర్వకంగా ప్రకటించు
declared value,వెల్లడించిన/ప్రకటించిన విలువ
decode,గూఢలిపి వెల్లడిచేయు
decontrol,"కంట్రోల్ తొలగింపు, నియంత్రణ తొలగింపు"
decorum,"ఔచిత్యం, మర్యాద"
decrease,"తగ్గింపు, తగ్గించు"
decree,"డిక్రీ, తీర్పు, నిర్ణయం, ఆజ్ఞ"
dedication,"అంకితం, సమర్పణ"
deductible,"తీసివేయదగిన, తగ్గించదగిన"
deduction,"మినహాయింపు, తీసివేత"
deduction at source,ఆధారం నుంచి తగ్గింపు/కోత
deduction from salary,జీతాల నుంచి మినహాయింపు
deed,దస్తావేజు
deed of mortgage,"తాకట్టు దస్తావేజు, తనఖా దస్తావేజు"
deemed university,"డీమ్డ్ విశ్వవిద్యాలయం, స్వయం ప్రతిపత్తి విశ్వవిద్యాలయం"
deface,"వికారం చేయు, విరూపంగా చేయు"
defalcation,"ద్రవ్యాపహరణ, దుర్వినియోగం"
defamation,"పేరు చెరచు, ఎవరిని గురించైనా చెడ్డగా మాట్లాడు"
default,"లోపం, తప్పు, అశ్రద్ధ, ఉపేక్ష"
defaulter,"ఉపేక్షకుడు, గైరుహాజరుదారు, అతిక్రమణదారు"
defective,లోపభూయిష్ఠ
defence,"రక్షణ, రక్షణదళ (సైనిక సం.)"
defence counsel,ప్రతివాది వకీలు
defence production,"రక్షణ సామగ్రి, ఉత్పత్తి"
defendant,"ప్రతివాది, సమాధానం చెప్పడానికి పిలువబడే కక్షిదారు"
defer,వాయిదా వేయు
deferred expenditure,వాయిదా వేసిన ఖర్చు
defiance,"ధిక్కారం, తృణీకారం"
deficit,లోటు
deficit budget,లోటు బడ్జెటు
define,నిర్వచించు
defy,ధిక్కరించు
degradation,"శ్రేణి తగ్గుంపు, దర్జా తగ్గింపు"
degree,"డిగ్రీ, విశ్వవిద్యాలయ పట్టా, కొలమానం"
dejure,న్యాయతః
delay,"జాప్యం, తాత్సారం, జాప్యం చేయు, తాత్సారం చేయు"
delegate,"ప్రతినిధి, డెలిగేటు"
delegated authority,ఇతరులకు ప్రాతినిధ్యం వహించడానికి పొందిన అధికారం
delegation,"ప్రతినిధి వర్గం, ప్రాతినిధ్యం"
delegation of powers,అధికారం అప్పగింత
delete,తొలగించు
deletion,తొలగింపు
deliberately,"ఉద్దేశ్యపూర్వకంగా, కావాలనే"
deliberation,"పర్యాలోచన, యుక్తాయుక్త వివేచన"
delicencing,లైసెన్సు అవసరమనే నియమాన్ని తొలగించుట
delimitation,"పరిమితి నిర్ణయం, సీమా నిర్ణయం, హద్దుల నిర్ణయం"
deliver,"అప్పగించు, బట్వాడా చేయు, ప్రసవించు"
delivery,"అప్పగింత, బట్వాడా, ప్రసవం, విమోచనం"
demand,"డిమాండు, అభ్యర్థన, కోరిక"
demand note,డిమాండు నోటు
demarcation,హద్దులు నిర్ణయించుట
demi-official,అర్ధాధికారిక
democracy,ప్రజాస్వామ్యం
demonstration,"ప్రత్యక్ష నిరూపణ, ప్రదర్శన"
demoralization,నీతిభ్రష్టత
demurrage,"ఆలస్య పన్ను, డిమరేజి"
denial,నిరాకరణ
denomination,"నామవర్గీకరణ, రకం"
deny,నిరాకరించు
depart,"తరలిపోవు, సెలవు తీసుకొను"
department,"శాఖ, విభాగం"
