Bengali,Tamil
তথ্য স্তর,தரவு நிலை
"1.ডেটা কালেকশন, 2.ডেটা লাইব্রেরি","1.தரவு சேகரிப்பு, 2.தரவு நூலகம்"
ডেটা লিঙ্ক স্তর,தரவு இணைப்பு அடுக்கு
ডেটা লিঙ্ক লেয়ার (DLL),தரவு இணைப்பு அடுக்கு (DLL)
"1.ডেটা ম্যানেজমেন্ট, 2.ডেটা ম্যানেজমেন্ট","1.தரவு மேலாண்மை, 2.தரவு மேலாண்மை"
"1.ডেটা ক্যালকুলেশন, 2.ডেটা ক্যালকুলেশন","1.தரவு கணக்கீடு, 2.தரவு கணக்கீடு"
ডেটা প্রসেসিং ল্যাঙ্গুয়েজ (DML),தரவு செயலாக்க மொழி (DML)
ডেটা মডেম ডেটা মডেম,தரவு மோடம் தரவு மோடம்
"1.ডেটা পরিবর্তন, 2.ডেটা পরিবর্তন","1.தரவு மாற்றம், 2.தரவு மாற்றம்"
"1.ডেটা নেটওয়ার্ক, 2.ডেটা নেটওয়ার্ক","1.டேட்டா நெட்வொர்க், 2.டேட்டா நெட்வொர்க்"
"1.ডেটা অপারেশন, 2.ডেটা অপারেশন","1.டேட்டா ஆபரேஷன், 2.டேட்டா ஆபரேஷன்"
"1.ডেটা সংস্থা, 2. তথ্য সংস্থা","1. தரவு நிறுவனங்கள், 2. தரவு அமைப்பு"
"1. ডেটা আউটপুট, 2. ডেটা আউটপুট","1. தரவு வெளியீடு, 2. தரவு வெளியீடு"
"1.ডেটা পাথ, 2.ডেটা পাথ","1.தரவு பாதை, 2.தரவு பாதை"
"1.ডেটা প্রিপারেশন, 2.ডেটা প্রিপারেশন","1.தரவு தயாரித்தல், 2. தரவு தயாரித்தல்"
"1.ডেটা প্রাইভেসি, 2.ডেটা প্রাইভেসি","1.தரவு தனியுரிமை, 2.தரவு தனியுரிமை"
"1. ডেটা প্রসেসর, 2. ডেটা প্রসেসর","1. தரவுச் செயலி, 2. தரவுச் செயலி"
"1.ডেটা সুরক্ষা, 2.ডেটা সুরক্ষা","1.தரவு பாதுகாப்பு, 2.தரவு பாதுகாப்பு"
"1. ডেটা রেকর্ড, 2. ডেটা রেকর্ড","1. தரவு பதிவு, 2. தரவு பதிவு"
"1. ডেটা পুনরুদ্ধার, 2. ডেটা পুনরুদ্ধার","1. தரவு மீட்டெடுப்பு, 2. தரவு மீட்டெடுப்பு"
"1. ডেটা রুটিন, 2. ডেটা রুটিন","1. தரவு வழக்கம், 2. தரவு வழக்கம்"
"1.ডেটা সিকিউরিটি, 2.ডেটা সিকিউরিটি","1.தரவு பாதுகாப்பு, 2.தரவு பாதுகாப்பு"
"1.ডেটা সেট, 2. ডেটা সেট","1.தரவு தொகுப்பு, 2. தரவு தொகுப்பு"
"1.ডেটা সিগন্যাল, 2.ডেটা সিগন্যাল","1.தரவு சமிக்ஞை, 2.தரவு சமிக்ஞை"
"1. ডেটা অ্যাক্সেস, 2. ডেটা অ্যাক্সেস","1. தரவு அணுகல், 2. தரவு அணுகல்"
"1.ডেটা সোর্স, 2.ডেটা সোর্স","1.தரவு ஆதாரம், 2.தரவு ஆதாரம்"
"1.ডেটা স্পেসিফিকেশন, 2. ডেটা স্পেসিফিকেশন","1.தரவு விவரக்குறிப்பு, 2. தரவு விவரக்குறிப்பு"
"1.ডেটা সেন্টার, 2.ডেটা সেন্টার","1.தரவு மையம், 2.தரவு மையம்"
"1. ডেটা স্টোরেজ, 2. ডেটা স্টোরেজ","1. தரவு சேமிப்பு, 2. தரவு சேமிப்பு"
ডেটা স্টোরেজ কাঠামো,தரவு சேமிப்பு அமைப்பு
"1. ডেটা স্ট্রাকচার, 2. ডেটা স্ট্রাকচার","1. தரவுக் கட்டமைப்பு, 2. தரவுக் கட்டமைப்பு"
"1.ডেটা স্যুইচ, 2.ডেটা সুইচ","1.டேட்டா ஸ்விட்ச், 2.டேட்டா ஸ்விட்ச்"
"1.ডেটা টেবিল, 2.ডেটা টেবিল","1.தரவு அட்டவணை, 2.தரவு அட்டவணை"
"1.ডেটা শেষ, 2. তথ্য শেষ","1.தரவு முடிவு, 2. தரவு முடிவு"
"1. ডেটা ট্রান্সক্রিপশন, 2. ডেটা ট্রান্সক্রিপশন","1. டேட்டா டிரான்ஸ்கிரிப்ஷன், 2. டேட்டா டிரான்ஸ்கிரிப்ஷன்"
"1.ডেটা ট্রান্সফার, 2. তথ্য স্থানান্তর","1.தரவு பரிமாற்றம், 2. தரவு பரிமாற்ற"
"1. ডাটা ট্রান্সমিশন, 2. ডাটা ট্রান্সমিশন","1. தரவு பரிமாற்றம், 2. தரவு பரிமாற்றம்"
"1.ডেটা ট্রান্সমিশন সিস্টেম, 2.ডেটা ট্রান্সমিশন সিস্টেম","1.டேட்டா டிரான்ஸ்மிஷன் சிஸ்டம், 2.டேட்டா டிரான்ஸ்மிஷன் சிஸ்டம்"
"1. ডেটা বিন্যাস, 2. ডেটা বিন্যাস","1. தரவு வடிவம், 2. தரவு வடிவம்"
"1. ডেটা ইউনিট, 2. ডেটা ইউনিট","1. தரவு அலகு, 2. தரவு அலகு"
"1.ডেটা ভ্যালিডেশন, 2.ডেটা ভ্যালিডেশন","1.தரவு சரிபார்ப்பு, 2.தரவு சரிபார்ப்பு"
তথ্যশালা,தரவுத்தளம்
ডাটাবেস প্রশাসন,தரவுத்தள நிர்வாகம்
ডাটাবেস ডিজাইন,தரவுத்தள வடிவமைப்பு
ডাটাবেস ম্যানেজমেন্ট সিস্টেম,தரவுத்தள மேலாண்மை அமைப்பு
"1.ডেটাগ্রেভ, 2.ডেটাগ্রেভ","1.டேட்டாகிரேவ், 2.டேட்டாகிரேவ்"
"1. ডেটাম, 2. ডেটা","1. தரவு, 2. தரவு"
"1. নিষ্ক্রিয় অঞ্চল, 2. নিষ্ক্রিয় অঞ্চল","1.செயலற்ற மண்டலம், 2.செயலற்ற மண்டலம்"
অচলাবস্থা,முட்டுக்கட்டை
অচলাবস্থা প্রতিরোধ,முட்டுக்கட்டை தடுப்பு
ফল্ট ক্লিয়ারেন্স,குறைபாடு நீக்கம்
"1. জাজমেন্ট সেল, 2. বিচার বাক্স","1. தீர்ப்பு செல், 2. தீர்ப்பு பெட்டி"
সিদ্ধান্ত গ্রহণের প্রক্রিয়া,முடிவெடுக்கும் செயல்முறை
সিদ্ধান্ত সমর্থন সিস্টেম,முடிவு ஆதரவு அமைப்பு
সিদ্ধান্ত গাছ,முடிவு மரம்
"1. ডিকোডার, 2. ডিকোডার","1. குறிவிலக்கி, 2. குறிவிலக்கி"
দ্রবীভূতকরণ নীতি,கலைப்பு கொள்கை
ডিকোডিং,டிகோடிங்
ডেডিকেটেড সিস্টেম,அர்ப்பணிக்கப்பட்ட அமைப்பு
ডেডিকেটেড প্রেস,அர்ப்பணிக்கப்பட்ட பத்திரிகை
ইমিউনাইজেশন ডেটা নেটওয়ার্ক (DDN),நோய்த்தடுப்பு தரவு நெட்வொர்க் (DDN)
ইমিউনাইজেশন তথ্য সিস্টেম,நோய்த்தடுப்பு தகவல் அமைப்பு
মিশ্রণ,ஒருங்கிணைப்பு
বিলম্ব,தாமதம்
বিলম্ব পাল্টা,தாமத கவுண்டர்
বিলম্ব সময়,தாமத நேரம்
"1.মুছুন, 2.মুছুন","1.நீக்கு, 2.நீக்கு"
মুছে ফেলার রেকর্ড,நீக்குதல் பதிவு
ডিলিমিটার,பிரிப்பான்
ডেল্টা মড্যুলেশন,டெல்டா பண்பேற்றம்
অনুরোধ পৃষ্ঠা,கோரிக்கை பக்கம்
কর্মক্ষমতা,செயல்திறன்
demodulation,டிமாடுலேஷன்
V- মাল্টিপ্লেক্সার,வி-மல்டிபிளெக்சர்
অস্বাভাবিককরণ,இயல்புநிலைப்படுத்தல்
"1. ঘনত্ব, 2. ঘনত্ব","1. அடர்த்தி, 2. அடர்த்தி"
"1. নির্ভরতা, 2. নির্ভরতা","1. சார்பு, 2. சார்பு"
নির্ভরশীল ইউনিট,சார்பு அலகு
কিউ,வரிசை
"1. dereference, 2. dereference","1. dereference, 2. dereference"
প্রাপ্ত গাছ,பெறப்பட்ட மரம்
প্রাপ্ত ক্ষেত্র,பெறப்பட்ட புலம்
সাজানো সাজানো,இறங்கு வகை
নকশা,வடிவமைப்பு
ডেস্ক ক্যালকুলেটর,மேசை கால்குலேட்டர்
ডেস্কটপ কম্পিউটার,டெஸ்க்டாப் கணினிகள்
ডেস্কটপ উপস্থাপনা,டெஸ்க்டாப் விளக்கக்காட்சி
ডেস্কটপ পাবলিশিং,டெஸ்க்டாப் வெளியீடு
ডেস্কটপ ভিডিও,டெஸ்க்டாப் வீடியோ
গন্তব্য ঠিকানা,இலக்கு முகவரி
"1. ধ্বংসকারী, 2. ধ্বংসকারী","1. அழிப்பவர், 2. அழிப்பவர்"
নির্ধারক স্বয়ংক্রিয়তা,தீர்மானிக்கும் தானியங்கு
বিকাশকারী,டெவலப்பர்
উন্নয়ন ব্যবস্থা,வளர்ச்சி அமைப்பு
যন্ত্র,சாதனம்
ডিভাইস নিয়ন্ত্রণ ইউনিট,சாதன கட்டுப்பாட்டு அலகு
ডিভাইস নিয়ামক,சாதனம் கட்டுப்படுத்தி
যন্ত্র ব্যবস্থাপনা,சாதன மேலாண்மை
ডিভাইস মোড,சாதன முறை
রোগ নির্ণয়,நோய் கண்டறிதல்
ডায়াগনস্টিক সিস্টেম,கண்டறியும் அமைப்பு
"1. ডায়াগনস্টিকস, 2. ডায়াগনস্টিকস","1. கண்டறிதல், 2. கண்டறிதல்"
চিত্র,வரைபடம்
ডায়াল,டயல்
ডায়াল লাইন,டயல் வரி
ডায়াল টোন,டயல் தொனி
ডায়াল আপ,அழைக்கவும்
"1. সংলাপ, 2. কথোপকথন","1. உரையாடல், 2. உரையாடல்"
কথোপকথন ঘর,உரையாடல் அறை
ডায়ালআপ মডেম,டயல்அப் மோடம்
বীমা,காப்பீடு
অভিধান,அகராதி
"1. ডিফারেনশিয়াল, 2. পৃথকীকরণ","1. வேறுபாடு, 2. வேறுபாடு"
সংখ্যাসূচক,எண்ணியல்
ডিজিটাল সিস্টেম,டிஜிட்டல் அமைப்பு
ডিজিটাল সার্কিট,டிஜிட்டல் சுற்று
ডিজিটাল কম্পিউটার,டிஜிட்டல் கணினி
"1.ডিজিটাল ডেটা, 2.ডিজিটাল ডেটা","1.டிஜிட்டல் டேட்டா, 2.டிஜிட்டல் டேட்டா"
ডিজিটাল সুবিধা,டிஜிட்டல் வசதி
ডিজিটাল ফিল্টার,டிஜிட்டல் வடிகட்டி
ডিজিটাল লাইব্রেরি,டிஜிட்டல் நூலகம்
ডিজিটাল মড্যুলেশন,டிஜிட்டல் பண்பேற்றம்
"1. ডিজিটাল ডিসপ্লে, 2. ডিজিটাল মনিটর","1. டிஜிட்டல் டிஸ்ப்ளே, 2. டிஜிட்டல் மானிட்டர்"
ডিজিটাল ইমেজ,டிஜிட்டல் படம்
"1. ডিজিটাল স্বাক্ষর, 2. ডিজিটাল স্বাক্ষর","1. டிஜிட்டல் கையொப்பம், 2. டிஜிட்டல் கையொப்பம்"
ডিজিটাল সুইচ,டிஜிட்டல் சுவிட்ச்
ডিজিটাল এনালগ রূপান্তরকারী,டிஜிட்டல் அனலாக் மாற்றி
ডিজিটাইজেশন,டிஜிட்டல் மயமாக்கல்
ডিজিটাইজেশন,டிஜிட்டல் மயமாக்கல்
ডিজিটাইজার,இலக்கமாக்கி
ডায়োড,டையோடு
প্রথম দৃষ্টিতে,முதன்மையான தோற்றம்
সরাসরি ঠিকানা,நேரடி முகவரி
সরাসরি রূপান্তর,நேரடி மாற்றம்
সরাসরি সংযোগ,நேரடி இணைப்பு
"1. সরাসরি মেমরি অ্যাক্সেস, 2. সরাসরি মেমরি অ্যাক্সেস (DMA)","1. நேரடி நினைவக அணுகல், 2. நேரடி நினைவக அணுகல் (DMA)"
সরাসরি মেমরি অ্যাক্সেস (DMA),நேரடி நினைவக அணுகல் (DMA)
সরাসরি পদ্ধতি,நேரடி முறை
দিকনির্দেশ,திசைகள்
ডিরেক্টরি,அடைவு
"1. ডিরেক্টরি সার্ভার, 2. ডিরেক্টরি সার্ভার","1. அடைவு சேவையகம், 2. அடைவு சேவையகம்"
ডিরেক্টরি সেবা,அடைவு சேவை
অক্ষম,முடியவில்லை
অক্ষম সংকেত,சமிக்ஞையை முடக்குகிறது
"1. সংযোগ বিচ্ছিন্ন, 2. সংযোগ বিচ্ছিন্ন","1. துண்டித்தல், 2. துண்டித்தல்"
"1. বিচ্ছিন্ন, 2. বিযুক্ত","1. தனித்தனி, 2. தனித்தனி"
"1. ডিস্ক, 2. ডিস্ক","1. வட்டு, 2. வட்டு"
"1. ডিস্ক ঠিকানা, 2. ডিস্ক ঠিকানা","1. வட்டு முகவரி, 2. வட்டு முகவரி"
"1. ডিস্ক অ্যারে, 2. ডিস্ক অ্যারে","1. வட்டு வரிசை, 2. வட்டு வரிசை"
"1. ডিস্ক ক্ষমতা, 2. ডিস্ক ক্ষমতা","1. வட்டு திறன், 2. வட்டு திறன்"
"1. ডিস্ক ড্রাইভার, 2. ডিস্ক ড্রাইভ","1. வட்டு இயக்கி, 2. வட்டு இயக்கி"
ডিস্ক ফাইল,வட்டு கோப்பு
"1. ডিস্ক মেমরি, 2. ডিস্ক মেমরি, 3. ডিস্ক মেমরি, 4. ডিস্ক মেমরি","1. வட்டு நினைவகம், 2. வட்டு நினைவகம், 3. வட்டு நினைவகம், 4. வட்டு நினைவகம்"
ডিস্ক অপারেটিং সিস্টেম (DoS),வட்டு இயக்க முறைமை (DoS)
ডিস্ক প্যাকেজ,வட்டு தொகுப்பு
"1.চক্রিকা সার্ভার, 2.ডিস্ক সার্ভার","1.சக்ரிகா சர்வர், 2.டிஸ்க் சர்வர்"
"1. ডিস্ক স্টোরেজ, 2. ডিস্ক স্টোরেজ","1. வட்டு சேமிப்பு, 2. வட்டு சேமிப்பு"
ডিস্কেট,வட்டு
প্রদর্শন ফাইল,காட்சி கோப்பு
প্রদর্শন চিত্র,காட்சி படத்தை
নিষ্পত্তি,அகற்றல்
দূরত্ব,தூரம்
দূরত্ব ফাংশন,தூர செயல்பாடு
বিকৃতি,திரித்தல்
বিতরণ করা,வழங்கப்பட்டது
বিতরণ করা তথ্য,விநியோகிக்கப்பட்ட தரவு
বিতরণ করা সার্ভার,விநியோகிக்கப்பட்ட சேவையகம்
"1.ডিস্ট্রিবিউটেড সিস্টেম, 2.ডিস্ট্রিবিউটেড সিস্টেম","1. விநியோகிக்கப்பட்ட அமைப்பு, 2. விநியோகிக்கப்பட்ட அமைப்பு"
পরিবেশক,விநியோகஸ்தர்
নথি,ஆவணம்
নথি স্বীকৃত,அங்கீகாரம் பெற்ற ஆவணம்
"1. ডকুমেন্ট উইন্ডো, 2. ডকুমেন্ট উইন্ডো","1. ஆவண சாளரம், 2. ஆவண சாளரம்"
ডকুমেন্টেশন,ஆவணங்கள்
"ডোমেইন, ডোমেইন","களம், களம்"
ডোমেন নাম,டொமைன் பெயர்
"1. ডট ম্যাট্রিক্স প্রিন্টার, 2. ডট ম্যাট্রিক্স প্রিন্টার","1. டாட் மேட்ரிக்ஸ் பிரிண்டர், 2. டாட் மேட்ரிக்ஸ் பிரிண்டர்"
"নীচে, নীচে","கீழ், கீழே"
"1.Avallink, 2.Square","1.அவலின்க், 2.சதுரம்"
ডাউনলোড,பதிவிறக்க Tamil
ডাউনলোড সময়,பதிவிறக்க நேரம்
আকর্ষণ,இழுவை
DRAM (ডাইনামিক RAM),DRAM (டைனமிக் ரேம்)
রানঅফ,ஓட்டம்
ড্রাইভার,இயக்கி
পাতা,இலைகள்
ড্রপ লিস্ট বক্স,டிராப் பட்டியல் பெட்டி
ড্রাম ড্রাইভ,டிரம் டிரைவ்
"1.ড্রাম প্রিন্টার, 2.ড্রাম প্রিন্টার","1.டிரம் பிரிண்டர், 2.டிரம் பிரிண்டர்"
"1. আইএম ইউনিট, 2. ড্রাম ইউনিট","1. இம் யூனிட், 2. டிரம் யூனிட்"
"1. দ্বৈততা, 2. দ্বি","1. இருமை, 2. இரு"
দ্বৈত ঘনত্ব,இரட்டை அடர்த்தி
"1. নীরব ঠিকানা, 2. জাল ঠিকানা","1. அமைதியான முகவரி, 2. போலி முகவரி"
ডাম্প,திணிப்பு
ডুপ্লেক্স সার্কিট,இரட்டை சுற்று
বৈধকরণ,சட்டப்பூர்வமாக்குதல்
কী কী,முக்கிய திறவுகோல்
"1.D V D R./W, 2. ডিভিডি রিডিং, 3. লেখা","1.டி வி டி ஆர்./டபிள்யூ, 2. டிவிடி படித்தல், 3. எழுதுதல்"
ডিভিডি রম,டிவிடி ரோம்
গতিশীল নির্দেশ,மாறும் அறிவுறுத்தல்
"1.ডাইনামিক মেমরি, 2.ডাইনামিক মেমরি","1.டைனமிக் மெமரி, 2.டைனமிக் மெமரி"
"1. গতিবিদ্যা, 2. গতিবিদ্যা","1. இயக்கவியல், 2. இயக்கவியல்"
E B C D I C,ஈ பி சி டி ஐ சி
ই-ব্যবসা,மின் வணிகம்
প্রতিধ্বনি,எதிரொலி
"1.e-commerce, 2.e-commerce","1.இ-காமர்ஸ், 2.இ-காமர்ஸ்"
সম্পাদনা,திருத்துதல்
সম্পাদক,ஆசிரியர்
শিক্ষাবিষয়ক প্রযুক্তি,கல்வி தொழில்நுட்பம்
e e p rom,e e p rom
"1. অর্থপূর্ণ ঠিকানা, 2. কার্যকর ঠিকানা","1. அர்த்தமுள்ள முகவரி, 2. பயனுள்ள முகவரி"
অর্থপূর্ণ অপারেন্ড ঠিকানা,அர்த்தமுள்ள செயல்பாட்டு முகவரி
কার্যকর পদক্ষেপ,பயனுள்ள நடவடிக்கை
কার্যকরী ইউআইডি,பயனுள்ள UID
কার্যকর ট্রান্সমিশন অপারেশন,பயனுள்ள பரிமாற்ற செயல்பாடு
অক্টাল বাইট,ஆக்டல் பைட்
"ইলেকট্রনিক লার্নিং, ই-লার্নিং","மின்னணு கற்றல், மின் கற்றல்"
নির্বাচন অ্যালগরিদম,தேர்தல் அல்காரிதம்
ইলেকট্রনিক মেইল সার্ভিস (ই-মেইল),மின்னணு அஞ்சல் சேவை (மின்னஞ்சல்)
"1.ইলেক্ট্রনিক প্রিন্টিং, 2.ইলেক্ট্রনিক প্রিন্টার","1.எலக்ட்ரானிக் பிரிண்டிங், 2.எலக்ட்ரானிக் பிரிண்டர்"
বৈদ্যুতিক অ্যাকাউন্টিং মেশিন,மின் கணக்கியல் இயந்திரம்
ইলেকট্রনিক্স,மின்னணுவியல்
ইলেকট্রনিক নিষ্কাশন সিস্টেম (ECS),மின்னணு வெளியேற்ற அமைப்பு (ECS)
ইলেকট্রনিক ডেটা এক্সচেঞ্জ (EDI),மின்னணு தரவு பரிமாற்றம் (EDI)
ইলেকট্রনিক তথ্য প্রক্রিয়াকরণ,மின்னணு தரவு செயலாக்கம்
ইলেকট্রনিক ব্রোশিওর,மின்னணு சிற்றேடு
ইলেকট্রনিক ফান্ড ট্রান্সফার মেকানিজম (EFTS),மின்னணு நிதி பரிமாற்ற வழிமுறை (EFTS)
"1.ইলেক্ট্রনিক জার্নাল, 2.ইলেক্ট্রনিক জার্নাল","1.எலக்ட்ரானிக் ஜர்னல், 2.எலக்ட்ரானிக் ஜர்னல்"
ইলেকট্রনিক প্রকাশনা,மின்னணு வெளியீடு
ইলেকট্রনিক সুইচ,மின்னணு சுவிட்ச்
"উপাদান, উপাদান","உறுப்பு, உறுப்பு"
ই-মেইল,மின்னஞ்சல்
"1. ই-মেইল ঠিকানা, 2. ইলেকট্রনিক মেইলিং ঠিকানা","1. மின்னஞ்சல் முகவரி, 2. மின்னணு அஞ்சல் முகவரி"
এমবেডেড সিস্টেম,உட்பொதிக்கப்பட்ட அமைப்பு
এমবেডিং,உட்பொதித்தல்
ইমিটার কাপলড লজিক (ইসিএল),உமிழ்ப்பான் இணைந்த தர்க்கம் (ECL)
ফাঁকা স্থান,காலியான இடம்
"1. ফাঁকা চেইন, 2. ফাঁকা চেইন","1. வெற்று சங்கிலி, 2. வெற்று சங்கிலி"
যান্ত্রিকীকরণ,இயந்திரமயமாக்கல்
"1.ক্যাপসুলেশন, 2.ক্যাপসুলেশন","1.கேப்சுலேஷன், 2.கேப்சுலேஷன்"
ডিকোডার,குறிவிலக்கி
এনকোডিং,குறியாக்கம்
"1. এনকোডার, 2. কোডাক","1. குறியாக்கி, 2. கோடாக்"
লুকানো তথ্য,மறைக்கப்பட்ட தரவு
লুকানো ফাইল সিস্টেম,மறைக்கப்பட்ட கோப்பு முறைமை
"1. এনক্রিপশন, 2. কোডিং, 3. এনকোডিং","1. என்க்ரிப்ஷன், 2. கோடிங், 3. என்கோடிங்"
ব্লক শেষ,தொகுதி முடிவு
ফাইল-এন্ড,கோப்பு-முடிவு
ব্যবহারকারী,பயனர்
প্রবেশ করা,நுழைய
এন্ট্রি কী,நுழைவு விசை
"1. উদ্যম সারওয়ার, 2. উদ্যম সেবক","1. உத்யம் சர்வர், 2. உத்யம் சேவக்"
এন্টারপ্রাইজ সিস্টেম,நிறுவன அமைப்பு
শক্তি,சக்தி
শক্তি সখ্যতা,சக்தி தொடர்பு
প্রবেশের সময়,நுழைவு நேரம்
ইনপুট পরিবর্তনশীল,உள்ளீடு மாறி
গণনার যোগ্য,எண்ணத்தக்க
পরিবেশ,சூழல்
"1.Epoch, 2. যুগ, 3. নির্দেশের মুহূর্ত","1. சகாப்தம், 2. சகாப்தம், 3. அறிவுறுத்தல் தருணம்"
EPRAM (ফাইনান্স প্রোগ্রামেবল রিড-ওনলি মেমরি),EPRAM (நிதி நிரல்படுத்தக்கூடிய படிக்க-மட்டும் நினைவகம்)
epsilon constrictor,epsilon constrictor
সমানকারী,சமநிலைப்படுத்தி
সরঞ্জাম,உபகரணங்கள்
সমতা শ্রেণী,சமநிலை வகுப்பு
সমতুল্য সম্পর্ক,சமமான உறவு
"1. বিলুপ্তি, 2. নির্মূল","1. அழிவு, 2. ஒழிப்பு"
ত্রুটি সংশোধন কোড,பிழை திருத்தம் குறியீடு
ত্রুটি সংশোধন,பிழை திருத்தம்
ত্রুটি সনাক্তকরণ,பிழை கண்டறிதல்
শিল্প খাত,பிழை கையாளுதல்
ভুল বার্তা,பிழை செய்தி
ত্রুটি হার,பிழை விகிதம்
ত্রুটি পুনরুদ্ধার,பிழை மீட்பு
ত্রুটির নাম,பிழை பெயர்
পালাবার প্রতীক,தப்பிக்கும் சின்னம்
ইথারনেট,ஈதர்நெட்
ঘটনা,நிகழ்வு
ইভেন্ট চেইন,நிகழ்வு சங்கிலி
ঘটনা নিয়ন্ত্রণ,நிகழ்வு கட்டுப்பாடு
ইভেন্ট কাউন্টার,நிகழ்வு கவுண்டர்
ব্যতিক্রম হ্যান্ডলিং,விதிவிலக்கு கையாளுதல்
বিনিময় ডিস্ক স্টোরেজ,பரிமாற்ற வட்டு சேமிப்பு
বর্জন,விலக்குதல்
একচেটিয়া এবং (x বা),பிரத்தியேக மற்றும் (x அல்லது)
এক্সিকিউটেবল প্রোগ্রাম,இயங்கக்கூடிய நிரல்
মৃত্যুদন্ড বিবৃতি,மரணதண்டனை அறிக்கை
নির্বাচনী অনুসন্ধান,தேர்ந்தெடுக்கப்பட்ட தேடல்
বিদ্যমান,இருக்கும்
সমস্যা,பிரச்சினை
দক্ষ পদ্ধতি,நிபுணர் அமைப்பு
"1. অভিব্যক্তি, 2. অভিব্যক্তি","1. வெளிப்பாடு, 2. வெளிப்பாடு"
বর্ধিত গ্রাফিক্যাল ম্যাট্রিক্স (x g a),விரிவாக்கப்பட்ட வரைகலை அணி (x g a)
বর্ধিত শিল্প মান (EIS),விரிவாக்கப்பட்ட தொழில்துறை தரநிலைகள் (EIS)
ওভারলোড মেশিন,அதிக சுமை கொண்ட இயந்திரம்
বর্ধিত মেমরি,நீட்டிக்கப்பட்ட நினைவகம்
"1. বর্ধিত নির্ভুলতা, 2. বর্ধিত নির্ভুলতা","1. விரிவாக்கப்பட்ட துல்லியம், 2. விரிவாக்கப்பட்ட துல்லியம்"
"1. বর্ধিত বাছাই, 2. বর্ধিত বিচ্ছেদ","1. விரிவாக்கப்பட்ட வரிசையாக்கம், 2. விரிவாக்கப்பட்ட பிரித்தல்"
ডাক,கூப்பிடு
বাহ্যিক ত্রুটি,வெளிப்புற பிழை
বাইরের ফাংশন,வெளிப்புற செயல்பாடு
বাহ্যিক বাধা,வெளிப்புற குறுக்கீடு
"1. বাহ্যিক মেমরি, 2. বহিরাগত মেমরি","1.புற நினைவகம், 2.புற நினைவகம்"
বাহ্যিক স্মৃতি,வெளிப்புற நினைவகம்
বাহ্যিক মডেম,வெளிப்புற மோடம்
বাহ্যিক রেফারেন্স,வெளிப்புற குறிப்பு
বাহ্যিক অনুসন্ধান,வெளிப்புற தேடல்
বাহ্যিক স্টোরেজ ডিভাইস,வெளிப்புற சேமிப்பக சாதனம்
নিষ্কাশন,பிரித்தெடுத்தல்
এক্সট্রাপোলেশন,எக்ஸ்ட்ராபோலேஷன்
প্যানেল অক্ষর প্রিন্টার,பேனல் எழுத்து அச்சுப்பொறி
ব্যর্থ-নিরাপত্তা অপারেশন,தோல்வி-பாதுகாப்பு செயல்பாடு
ব্যর্থতার হার,தோல்வி விகிதம்
ব্যর্থতা স্রাব,தோல்வி வெளியேற்றம்
মিথ্যা কোড,தவறான குறியீடு
মিথ্যা ত্রুটি,தவறான பிழை
"1.বিনিয়োগ, 2.বিনিয়োগ পয়েন্ট","1.முதலீடு, 2.முதலீட்டு புள்ளிகள்"
"1. ইস্যু, 2. ইস্যু নম্বর","1. வெளியீடு, 2. வெளியீடு எண்"
"1. প্রতিলিপি I/O ডিভাইস, 2. প্রতিরূপ ইনপুট ডিভাইস/আউটপুট","1. பிரதி I/O சாதனம், 2. பிரதி உள்ளீட்டு சாதனம்/வெளியீடு"
দ্রুত ফোরিয়ার স্থানান্তর,விரைவான நான்கு பரிமாற்றம்
মারাত্মক ত্রুটি,கொடிய பிழை
ত্রুটি সনাক্তকরণ,தவறு கண்டறிதல்
ত্রুটি নির্ণয়,தவறு கண்டறிதல்
দোষ সহনশীলতা,தவறு சகிப்புத்தன்மை
ফ্যাক্স,தொலைநகல்
ফ্যাক্স বার্তা,தொலைநகல் செய்தி
f dc,எஃப் டிசி
লক্ষণ সনাক্তকরণ,அறிகுறி கண்டறிதல்
ভরাট চাকা,நிரப்பு சக்கரம்
পুনঃবিনিয়োগ,மறு முதலீடு
"1. সরবরাহকারী, 2. পুষ্টি, 3. ফিডার","1.சப்ளையர், 2.ஊட்டச்சத்து, 3.ஊட்டி"
anan,அயன்
ফিবোনাচি আবিষ্কার,ஃபைபோனச்சி கண்டுபிடிப்பு
ফিবোনাচি ক্রম,ஃபைபோனச்சி வரிசை
ফিবোনাচি সিরিজ,ஃபைபோனச்சி தொடர்
ফাইবার অপটিক্স,ஃபைபர் ஆப்டிக்ஸ்
ফিডো ফাঁদ,ஃபிடோ பொறி
অঞ্চল,பிராந்தியம்
পঞ্চম প্রজন্মের কম্পিউটার,ஐந்தாம் தலைமுறை கணினி
"1. ফাইল, 2। ফাইল","1.கோப்பு, 2. கோப்பு"
ফাইল অ্যাক্সেস পদ্ধতি,கோப்பு அணுகல் முறை
ফাইল বরাদ্দ টেবিল,கோப்பு ஒதுக்கீடு அட்டவணை
ফাইল কম্প্রেশন,கோப்பு சுருக்கம்
ফাইল কপি করা,கோப்பு நகலெடுக்கிறது
ফাইল কনফিগারেশন,கோப்பு கட்டமைப்பு
ফাইল মার্জ,கோப்பு ஒன்றிணைத்தல்
ফাইল পুনরুদ্ধার,கோப்பு மீட்பு
ফাইল স্টোরেজ,கோப்பு சேமிப்பு
ফাইল গঠন,கோப்பு அமைப்பு
