Bengali,Assamese
"ডিফারেনশিয়াল, ডিফারেনশিয়াল, ডিফারেনশিয়াল, ইন্টারট্রায়াল, ইন্টারএজেন্সি, ডিফারেনশিয়াল","ডিফাৰেন্সিয়েল, ডিফাৰেন্সিয়েল, ডিফাৰেন্সিয়েল, আন্তঃপৰীক্ষামূলক, আন্তঃসংস্থা, পাৰ্থক্য"
ডিফারেনশিয়াল ম্যাথ,ডিফাৰেন্সিয়েল মেথ
ডিফারেনশিয়াল সহগ,ডিফাৰেন্সিয়েল সহগ
আঙ্গক,অৱভেদ্য সমীকৰণ
ডিফারেনশিয়াল সংঘর্ষ,ডিফাৰেন্সিয়েল কলিচন
ডিফারেনশিয়াল সূত্র,ডিফাৰেন্সিয়েল সূত্ৰ
ডিফারেনশিয়াল ফাংশন,ডিফাৰেন্সিয়েল ফাংচন
ডিফারেনশিয়াল জ্যামিতি,ডিফাৰেন্সিয়েল জ্যামিতি
উচ্চ ক্রম পার্থক্য,উচ্চ ক্ৰমৰ ডিফাৰেন্সিয়েল
ডিফারেনশিয়াল সেগমেন্ট,ডিফাৰেন্সিয়েল ছেগমেণ্ট
পার্থক্য করা,পাৰ্থক্য কৰা
"পার্থক্য, পার্থক্য","পাৰ্থক্য, পাৰ্থক্য"
ডিফারেনশিয়াল সূত্র,ডিফাৰেন্সিয়েল সূত্ৰ
ভেক্টরের পার্থক্য,ভেক্টৰৰ পাৰ্থক্য
"diffusion, diffusion","প্ৰসাৰণ, প্ৰসাৰণ"
"numeral, diadem, finger","সংখ্যা, ডায়েডেম, আঙুলি"
ডিজিটাল কম্পিউটার,ডিজিটেল কম্পিউটাৰ
অঙ্কিকা দত্ত,অংকি দত্ত
"ব্যাপ্তি, প্রস্থ, মাত্রা, শক্তি","পৰিসৰ, প্ৰস্থ, মাত্ৰা, শক্তি"
মাত্রিকতা,মাত্ৰাগততা
মাত্রাহীন,মাত্ৰাহীন
সমীকরণ মাত্রা,সমীকৰণৰ মাত্ৰা
ডায়োফ্যান্টাসের সমীকরণ,ডাইঅ’ফেন্টাছৰ সমীকৰণ
পতনের কোণ,পতনৰ কোণ
ডাইপোল স্থানাঙ্ক,ডাইপোল স্থানাংক
ডাইপোল,ডাইপোল
বাইপিরামিড,বাইপিৰামিড
ডিরাক ডেল্টা ফাংশন,dirac ডেল্টা ফাংচন
সাধারণ স্পর্শক,সাধাৰণ স্পৰ্শক
সমকোণ,সোঁকোণ
সরাসরি লাইন,প্ৰত্যক্ষ ৰেখা
স্থান ডেরিভেটিভ,স্থান ব্যুৎপত্তি
"ডিকোসাইন, ডিকো-কোসাইন","ডাইকোচিন, ডাইকো-কোচাইন"
সর্বোচ্চ দিক,ৰ দিশটো সৰ্বোচ্চ
অভিক্ষেপ দিক,প্ৰজেকচন দিশ
দিক অনুপাত,দিশ অনুপাত
নিয়ন্ত্রক চক্র,নিয়ন্ত্ৰণ বৃত্ত
নিয়ন্ত্রক বৃত্ত,নিয়ন্ত্ৰক বৃত্ত
অনুলোমা পণ্য,এনুলোমা প্ৰডাক্ট
"সরাসরি প্রমাণ, সরাসরি প্রমাণ","প্ৰত্যক্ষ প্ৰমাণ, প্ৰত্যক্ষ প্ৰমাণ"
অনুক্রমিক অনুপাত,ক্ৰমিক অনুপাত
নিয়তি,ভাগ্য
অনুলোমা যোগফল,anuloma যোগফল
বিচ্ছিন্ন সেট,disjointed set
"discontinuity, discontinuity, break","discontinuity, বিচ্ছিন্নতা, বিচ্ছিন্নতা"
ডেরিভেটিভের বিচ্ছিন্নতা,ডেৰাইভেটিভৰ বিচ্ছিন্নতা
প্রথম ধরনের বিরতি,প্ৰথম ধৰণৰ বিচ্ছিন্নতা
দ্বিতীয় প্রকার বিরতি,দ্বিতীয় প্ৰকাৰৰ বিচ্ছিন্নতা
অবিচ্ছিন্ন বিতরণ,বিচ্ছিন্ন বিতৰণ
অবিচ্ছিন্ন ফাংশন,বিচ্ছিন্ন কাৰ্য্য
অবিচ্ছিন্ন পার্থক্য,বিচ্ছিন্ন ভ্যাৰিয়েন্স
কণা,কণা
অবিচ্ছিন্ন বিতরণ,বিচ্ছিন্ন বিতৰণ
অবিচ্ছিন্ন সম্ভাব্যতা বন্টন,বিচ্ছিন্ন সম্ভাৱনা বিতৰণ
অবিচ্ছিন্ন এলোমেলো পরিবর্তনশীল,বিচ্ছিন্ন যাদৃচ্ছিক চলক
অবিচ্ছিন্ন নমুনা স্থান,বিচ্ছিন্ন নমুনা স্থান
বিযুক্ত সমষ্টি,বিচ্ছিন্ন সমষ্টি
বিচ্ছিন্ন জনসংখ্যা,বিচ্ছিন্ন জনসংখ্যা
পৃথক রাষ্ট্র,বিচ্ছিন্ন অৱস্থা
অবিচ্ছিন্ন পার্থক্য,বিচ্ছিন্ন ভ্যাৰিয়েন্স
বিতরণ কর,বিতৰণ কৰ
বৈষম্যমূলক বিশ্লেষণ,বৈষম্যমূলক বিশ্লেষণ
বিচ্ছিন্ন,disjointed
বিচ্ছিন্ন ঘটনা,disjointed ইভেন্ট
বিচ্ছিন্ন সেট,disjointed set
বিচ্ছিন্ন সন্নিবেশ,disjoint সন্নিৱিষ্ট কৰা
"disjunction, rational sum","disjunction, যুক্তিসংগত যোগফল"
"dispersion, scattering","বিক্ষিপ্ততা, বিক্ষিপ্ততা"
বিচ্ছুরণ চার্ট,বিক্ষিপ্ততা লেখচিত্ৰ
বিচ্ছুরণ সূচক,বিক্ষিপ্ততা সূচকাংক
বিচ্ছুরণ চিত্র,বিক্ষিপ্ততা ডায়েগ্ৰাম
বিচ্ছুরণ ম্যাট্রিক্স,বিক্ষিপ্ততা মেট্ৰিক্স
উত্পাটন,স্থানচ্যুতি
প্রদর্শনী,প্ৰদৰ্শন
কনসোল,কনছ&#39;ল
"অসম, অসম","অসমান, অসমান"
অপসারণ শক্তি,ক্ষয়কাৰী বল
দূরত্ব ফাংশন,দূৰত্বৰ ফলন
দূরত্ব মডুলাস,দূৰত্ব মডুলাছ
অ বিতরণকারী,অবিতৰণমূলক
"বন্টন নিয়ম, বন্টন নিয়ম","বিতৰণ নিয়ম, বিতৰণ নিয়ম"
"নষ্ট করা, নষ্ট করা","to dissipate, বিসৰ্জন কৰা"
"ভিন্নতা, বিচ্যুতি, বিচ্যুতি","বিচ্ছিন্নতা, বিচ্ছিন্নতা, বিচ্ছিন্নতা"
ভিন্নতা উপপাদ্য,বিচ্ছিন্নতা উপপাদ্য
ভিন্নমুখী,ডাইভাৰ্জেন্ট
ভিন্ন পরিসীমা,বিচ্ছিন্ন পৰিসৰ
বিভক্ত পার্থক্য,বিভক্ত পাৰ্থক্য
"বিভাজ্যতা, বিভাজ্যতা","বিভাজনযোগ্যতা, বিভাজনযোগ্যতা"
"বিভাজ্য, বিভাজ্য","বিভাজ্য, বিভাজ্য"
"বিভাগ, বিভাগ, বিভাগ","বিভাজন, বিভাজন, বিভাজন"
বিভাগ অ্যালগরিদম,বিভাজন এলগৰিদম
ভগ্ন চক্র,স্প্লিট ৰিং
চতুর্ভুজ,চতুৰ্ভুজ
দশভুজ,decagon
"ডোমেইন, ডোমেইন, প্রদেশ, অঞ্চল","ডমেইন, ডমেইন, প্ৰদেশ, ভূখণ্ড"
ফাংশনের ডোমেইন,কাৰ্য্যৰ ডমেইন
সংজ্ঞা-প্রদেশ,সংজ্ঞা-প্ৰদেশ
অস্তিত্বের অবস্থা,অস্তিত্বৰ অৱস্থা
ওভাররাইডিং ডিভাইস,অভাৰৰাইডিং ডিভাইচ
ডপলার এফেক্ট,ডপলাৰ ইফেক্ট
"পয়েন্ট পণ্য, স্কেলার পণ্য","পইণ্ট প্ৰডাক্ট, স্কেলাৰ প্ৰডাক্ট"
বিন্দুযুক্ত বক্ররেখা,বিন্দুযুক্ত বক্ৰ
দ্বৈত পার্থক্য,ডুৱেল ডিফাৰেন্সিয়েল
ডবল সূচকীয় বন্টন,ডাবল ঘাতীয় বিতৰণ
ডবল কুণ্ডলী,ডাবল কইল
বাইনারি অবিচ্ছেদ্য,বাইনাৰী অখণ্ড
বাইনারি ইন্টিগ্রেশন,বাইনাৰী সংহতি
দ্বিগুণ সীমা,ডাবল লিমিট
ডবল স্যাম্পলিং ইভেন্ট,ডাবল নমুনা সংগ্ৰহৰ ইভেন্ট
ডবল ক্রম,ডাবল ক্ৰম
ডবল সিরিজ,ডাবল ছিৰিজ
ডবল-সংযুক্ত স্বরলিপি,ডাবল-সংলগ্ন সংকেত
ডবল সংকলন,ডাবল কম্পাইলেচন
নিম্নগামী ত্বরণ,তললৈ ত্বৰণ
নিম্নগামী স্থানচ্যুতি,তললৈ স্থানান্তৰিত হোৱা
নিম্নগামী গতি,তললৈ গতি
নিম্নগামী বেগ,তললৈ যোৱা বেগ
আকর্ষণ,ট্ৰেকচন
ট্র্যাকশন বল,ট্ৰেকচন বল
"দ্বৈত দ্বৈততা,",দ্বৈত দ্বৈততা
দ্বৈত ভিত্তি,ডুৱেল বেচ
দ্বৈত অভ্যন্তরীণ পণ্য,দ্বৈত আভ্যন্তৰীণ উৎপাদন
ডুয়েল লিনিয়ার প্রোগ্রামিং সমস্যা,ডুৱেল ৰৈখিক প্ৰগ্ৰেমিং সমস্যা
"ডবল অপারেশন, ডুয়াল অপারেশন","ডাবল অপাৰেচন, ডুৱেল অপাৰেচন"
দ্বৈত সমস্যা,দ্বৈত সমস্যা
দ্বৈত একক অ্যালগরিদম,ডুৱেল একক এলগৰিদম
দ্বৈত একক পদ্ধতি,দ্বৈত একক পদ্ধতি
দ্বৈত স্থান,দ্বৈত স্থান
দ্বৈত পরিবর্তনশীল,ডুৱেল ভেৰিয়েবল
দ্বৈত ভেক্টর স্থান,দ্বৈত ভেক্টৰ স্থান
নীরব সূচক,নিৰৱ সূচকাংক
নীরব ফুটার,নিৰৱ ফুটাৰ
নীরব চুক্তি,নীৰৱ চুক্তি
নীরব পরিবর্তনশীল,নিৰৱ চলক
নকল,ডুপ্লিকেচন
গতিশীল,গতিশীল
গতিশীল সিস্টেম,গতিশীল ব্যৱস্থা
গতিশীল চাহিদা ফাংশন,গতিশীল চাহিদা কাৰ্য্য
গতিশীল মডেল,গতিশীল আৰ্হি
গতিশীল প্রোগ্রামিং,ডাইনামিক প্ৰগ্ৰেমিং
গতিশীল প্রোগ্রামিং পদ্ধতি,ডাইনামিক প্ৰগ্ৰেমিং পদ্ধতি
গতিশীল প্রোগ্রামিং কৌশল,ডাইনামিক প্ৰগ্ৰেমিং কৌশল
"গতিবিদ্যা, গতিবিদ্যা","গতিশীলতা, গতিশীলতা"
কণা গতিবিদ্যা,কণা গতিবিদ্যা
অনমনীয় শরীরের গতিবিদ্যা,কঠিন শৰীৰৰ গতিশীলতা
"পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবীর যোগাযোগ (ver.)","পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী সংস্পর্শ (ver.)"
ভূমিকম্পের তীব্রতা,ভূমিকম্পৰ তীব্ৰতা
উদ্ভটতা,কেন্দ্ৰীয়তা
ধৃষ্টতা,ধাৰণা
অর্থনৈতিক পূর্বাভাস,অৰ্থনৈতিক পূৰ্বাভাস
অর্থনীতিবিদ,অৰ্থনীতিবিদ
অর্থনীতি,অৰ্থনীতি
অর্থনীতি,অৰ্থনীতি
"কোর, প্রান্ত, টিয়ার","কোৰ, প্ৰান্ত, ছিদ্ৰ"
সামগ্রিক কোর সম্মুখীন,সমষ্টিগত কোৰৰ সন্মুখীন হোৱা
দক্ষতা সূচক,দক্ষতা সূচকাংক
চরিত্রগত উপাদান,বৈশিষ্ট্যপূৰ্ণ উপাদান
চরিত্রগত ফাংশন,বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য
"eigen মান, চরিত্রগত মান","eigen মান, বৈশিষ্ট্যপূৰ্ণ মান"
বৈশিষ্ট্যগত মান সমীকরণ,বৈশিষ্ট্যপূৰ্ণ মূল্য সমীকৰণ
"আইজেন ভেক্টর, চরিত্রগত ভেক্টর","eigen ভেক্টৰ, বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ"
ইলাস্টিক,ইলাষ্টিক
ইলাস্টিক ঢালাই,ইলাষ্টিক ঢালাই
ইলাস্টিক ভারসাম্য,ইলাষ্টিক ভাৰসাম্য
স্থিতিস্থাপকতা,ইলাষ্টিকতা
স্থিতিস্থাপকতা পৃষ্ঠা,ইলাষ্টিকতা পৃষ্ঠা
"ইলেকট্রনিক কম্পিউটার, ইলেকট্রনিক কম্পিউটার","ইলেক্ট্ৰনিক কম্পিউটাৰ, ইলেক্ট্ৰনিক কম্পিউটাৰ"
"উপাদান, উপাদান, উপাদান","উপাদান, উপাদান, উপাদান"
প্রাথমিক কলাম অপারেশন,প্ৰাৰম্ভিক স্তম্ভ কাৰ্য্য
প্রাথমিক ঘটনা,প্ৰাৰম্ভিক পৰিঘটনা
প্রাথমিক ফাংশন,প্ৰাৰম্ভিক কাৰ্য্য
প্রাথমিক অপারেশন,প্ৰাৰম্ভিক কাৰ্য্য
প্রাথমিক ফলাফল,প্ৰাথমিক ফলাফল
প্রাথমিক সম্ভাবনার নিয়ম,প্ৰাৰম্ভিক সম্ভাৱনা নিয়ম
লাইন অপারেশন শুরু,ষ্টাৰ্ট লাইন অপাৰেচন
"নির্মূল করা, নিশ্চিহ্ন করা,","to annihilate, নিঃশেষ কৰা"
রেজোলিউশন প্রক্রিয়া,ৰিজ&#39;লিউচন প্ৰক্ৰিয়া
"উপবৃত্ত, উপবৃত্ত","উপবৃত্তাকাৰ, উপবৃত্তাকাৰ"
উপবৃত্তাকার,উপবৃত্তাকাৰ
উপবৃত্তাকার,উপবৃত্তাকাৰ
উপবৃত্তাকার পাতা,উপবৃত্তাকাৰ পৃষ্ঠ
উপবৃত্তাকার শরীর,উপবৃত্তাকাৰ শৰীৰ
এমবেডিং,এম্বেডিং
নির্গমন,নিৰ্গমন
অভিজ্ঞতামূলক বিশ্বাস,অভিজ্ঞতাভিত্তিক বিশ্বাস
গবেষণামূলক সূত্র,অভিজ্ঞতাভিত্তিক সূত্ৰ
অভিজ্ঞতামূলক সম্ভাবনা,অভিজ্ঞতাভিত্তিক সম্ভাৱনা
অভিজ্ঞতামূলক সম্পর্ক,অভিজ্ঞতাভিত্তিক সম্পৰ্ক
ফাঁকা সেট,খালী ছেট
আবদ্ধ,বাধ্যতা
"এনকোডিং, কোডিং","এনকোডিং, ক&#39;ডিং"
আন্তঃকার্যক্ষমতা,আন্তঃকাৰ্য্যক্ষমতা
শেষপ্রান্ত,শেষ বিন্দু
ক্লাস ব্যবধানের শেষ বিন্দু,শ্ৰেণীৰ ব্যৱধানৰ শেষ বিন্দু
শক্তি,শক্তি
শক্তি-মোমেন্টাম উপাদান,শক্তি-প্ৰেৰণামূলক কাৰক
এন্ট্রি ভেরিয়েবল,প্ৰৱেশ চলক
গণনাযোগ্য সেট,গণনাযোগ্য ছেট
"গণনা, গণনা","গণনা, গণনা"
"সমান, সমান, সমান, সমান","সমান, সমান, সম, সমান"
"সমতা, সমতা","সমতা, সমতা"
সম্ভবত,সম্ভাৱনা
এমনকি সম্ভাব্যতা নির্বাচন পদ্ধতি,আনকি সম্ভাৱনা নিৰ্বাচন পদ্ধতিও
সমান করা,সমান কৰা
"সমীকরণ, সমীকরণ","সমীকৰণ, সমীকৰণ"
দ্বিঘাত সমীকরণ,দ্বিঘাত সমীকৰণ
দ্বিঘাত সমীকরণ,দ্বিঘাত সমীকৰণ
দ্বিঘাত সমীকরণ,দ্বিঘাত সমীকৰণ
"বিষুবরেখা, বিষুবরেখা, মধ্যরেখা","বিষুৱৰেখা, বিষুৱৰেখা, মধ্যৰেখা"
সামঞ্জস্যপূর্ণ,অবিচলিত
সমবাহু,সমপক্ষীয়
"ভারসাম্য, ভারসাম্য, ভারসাম্য","ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
বল ভারসাম্য,বল ভাৰসাম্য
ভারসাম্য বিন্দু,ভাৰসাম্য বিন্দু
সমতা,সমতুল্যতা
সমতা শ্রেণী,সমতুল্যতা শ্ৰেণী
সমতা সম্পর্ক,সমতুল্যতা সম্পৰ্ক
"সমতুল্য, সমতুল্য (v.), সমতুল্য (ed.)","সমতুল্য, সমতুল্য (v.), সমতুল্য (ed.)"
সমতুল্য ম্যাট্রিক্স,সমতুল্য মেট্ৰিক্স
সমতুল্য সেট,সমতুল্য গোট
প্রবণতা,প্ৰৱণতা
"ভুল, ভুল, ভুল, ভুল","ভুল, ভুল, ভুল, ভুল"
ত্রুটি বিশ্লেষণ,ভুল বিশ্লেষণ
ভুল সংকেত,ভুল ক&#39;ড
ত্রুটি সহগ,ভুল সহগ
বর্গক্ষেত্র মানে ত্রুটি,বৰ্গ গড় ভুল
প্রথম ধরনের ত্রুটি,প্ৰথম ধৰণৰ ভুল
দ্বিতীয় ধরনের ত্রুটি,দ্বিতীয় ধৰণৰ ভুল
পালানোর সম্ভাবনা,পলায়নৰ সম্ভাৱনা
মুক্তিবেগ,পলায়নৰ বেগ
ই. শ্মিড্টের সচলতা প্রক্রিয়া,ই শ্বমিট সংগঠন প্ৰক্ৰিয়া
বহির্মুখী,বহিৰ্মুখী
"অপরিহার্য, অপরিহার্য","অপৰিহাৰ্য, অপৰিহাৰ্য"
কার্যত অনন্য,কাৰ্যতঃ অনন্য
"মূল্যায়ন করা, মূল্যায়ন করা (ver.), মূল্যায়ন করা (ed.)","মূল্যায়ন কৰা, মূল্যায়ন কৰা (ver.), মূল্যায়ন কৰা (ed.)"
অনুমান পদ্ধতি,অনুমান পদ্ধতি
ইউক্লিডীয় স্থানাঙ্ক,ইউক্লিডীয় স্থানাংক
ইউক্লিডীয় ডোমেইন,ইউক্লিডিয়ান ডমেইন
ইউক্লিডীয় জ্যামিতি,ইউক্লিডিয়ান জ্যামিতি
ইউক্লিডিয়ান এন-স্পেস,ইউক্লিডীয় n-স্থান
ইউক্লিডীয় সমতল,ইউক্লিডীয় সমতল
অয়লারের উপপাদ্য,অইলাৰৰ উপপাদ্য
"মূল্যায়ন করা, মূল্যায়ন করা","মূল্যায়ন কৰা, মূল্যায়ন কৰা"
এমন কি,যুগ্ম
এমনকি বক্ররেখা,আনকি বক্ৰতাও
এমনকি ফাংশন,আনকি কাৰ্য্যও
এমনকি অবাধ্য,আনকি অবাধ্যও
জোড় সংখ্যা,যুগ্ম সংখ্যা
অদ্ভুত প্রতিসাম্য,অদ্ভুত প্ৰতিসমতা
এমনকি স্থানান্তর,আনকি ক্ৰমবিন্যাসও
"ঘটনা, পর্ব","ইভেন্ট, এপিচ&#39;ড"
আইসোমেট্রিক,সমৰূপতা
"সঠিক, সঠিক, ঠিক","হুবহু, হুবহু, হুবহু"
সঠিক চি-স্কয়ার পরীক্ষা,সঠিক কাই-স্কেয়াৰ পৰীক্ষা
সঠিক পার্থক্য,সঠিক পাৰ্থক্য
সঠিক সমীকরণ,সঠিক সমীকৰণ
উদাহরণ,উদাহৰণ
বিনিময়,বিনিময়
নির্দিষ্ট ঘটনা,নিৰ্দিষ্ট পৰিঘটনা
অস্তিত্বের স্বতঃসিদ্ধ,অস্তিত্বৰ স্বতন্ত্ৰতা
বেঁচে থাকার সম্ভাবনা,জীয়াই থকাৰ সম্ভাৱনা
অস্তিত্বের উপপাদ্য,অস্তিত্ব উপপাদ্য
বাহ্যিক পরিবর্তনশীল,বাহ্যিক চলক
"বিস্তার, বিস্তার","spread, বিয়পি পৰা"
প্রত্যাশা ফাংশন,প্ৰত্যাশাৰ কাৰ্য্য
প্রত্যাশিত ফ্রিকোয়েন্সি,আশা কৰা কম্পাঙ্ক
প্রত্যাশিত মান,আশা কৰা মূল্য
পরীক্ষা,পৰীক্ষণ
"পরীক্ষামূলক ত্রুটি, পরীক্ষামূলক ত্রুটি","পৰীক্ষামূলক ভুল, পৰীক্ষামূলক ভুল"
"ব্যাখ্যা, ব্যাখ্যা","ব্যাখ্যা, ব্যাখ্যা"
পরিষ্কার সমীকরণ,স্পষ্ট সমীকৰণ
পরিষ্কারভাবে,স্পষ্টভাৱে
পরিষ্কার ফাংশন,ক্লিয়াৰ ফাংচন
পরিষ্কার সমাধান,স্পষ্ট সমাধান
সূচক,ঘাতক
সূচকীয় বক্ররেখা,ঘাতীয় বক্ৰ
সূচকীয় সম্ভাব্যতা ফাংশন,ঘাতীয় সম্ভাৱনা ফলন
সূচকীয় বিতরণ,ঘাতীয় বিতৰণ
সূচকীয় সমীকরণ,ঘাতীয় সমীকৰণ
ব্যাখ্যামূলক কাজ,ঘাতীয় ফলন
"সূচকীয় বৃদ্ধি, সূচকীয় বৃদ্ধি","ঘাতীয় বৃদ্ধি, ঘাতীয় বৃদ্ধি"
সূচকীয় নিয়ম,ঘাতীয় নিয়ম
সূচকীয় মানচিত্র,ঘাতীয় মানচিত্ৰ
"সূচকীয় সিরিজ, সূচকীয় সিরিজ","ঘাতীয় শৃংখলা, ঘাতীয় শৃংখলা"
"অভিব্যক্তি, অভিব্যক্তি, মুখের অভিব্যক্তি, অভিব্যক্তি","অভিব্যক্তি, অভিব্যক্তি, মুখৰ ভাব, অভিব্যক্তি"
বর্ধিত ব্যবধান,বৰ্ধিত ব্যৱধান
বর্ধিত বাস্তব লাইন,বৰ্ধিত বাস্তৱ ৰেখা
বর্ধিত বাস্তব সংখ্যা সিস্টেম,সম্প্ৰসাৰিত বাস্তৱ সংখ্যা ব্যৱস্থা
ম্যাপিং এক্সটেনশন,মেপিং সম্প্ৰসাৰণ
বাহ্যিক কোণ,বাহ্যিক কোণ
বাইরের অঞ্চল,বাহিৰৰ অঞ্চল
বাহ্যিক বিন্দু,বাহ্যিক বিন্দু
বহিরাগত,বাহ্যিক
predicate মান এক্সট্রাপোলেশন,প্ৰেডিকেট মানৰ এক্সট্ৰাপ&#39;লেচন
এক্সট্রাপোলেশন কৌশল,এক্সট্ৰাপলেচন কৌশল
সর্বোচ্চ মূল্য,শীৰ্ষ মান
"চরম, শেষ, চরম, চূড়ান্ত","extreme, end, extreme, শিখৰত উপনীত হোৱা"
উচ্চ বিন্দু,উচ্চ বিন্দু
বিপরীত সেটের চরম বিন্দু,বিপৰীত গোটৰ চৰম বিন্দু
ফাংশনের চরম মান,ফাংচনৰ চৰম মান
চরম বৈশিষ্ট্য,চৰম ধৰ্ম
"মুখ, পাশে, সামনে","মুখ, কাষ, সন্মুখ"
পরিচিতি,মুখমূল্য
"উপাদান, গুণনীয়ক, গুণনীয়ক, ধারা,","উপাদান, কাৰক, কাৰক, দফা"
ফ্যাক্টর বিশ্লেষণ,কাৰক বিশ্লেষণ
খণ্ডিত,খণ্ডিত
ফ্যাক্টরিয়াল,ফেক্টৰিয়েল
একাধিক ফ্যাক্টর নকশা,একাধিক কাৰক ডিজাইন
ফ্যাক্টরাইজেশন,ফ্যাক্টৰাইজেচন
ফ্যাক্টর থেকে,to factor
ন্যায়বিচার খেলা,ন্যায় খেল
"ভার্চুয়াল, মিথ্যা, কোড","ভাৰ্চুৱেল, মিছা, ক&#39;ড"
"পরিবার, পরিবার, বংশ, পরিবার","পৰিয়াল, পৰিয়াল, বংশ, পৰিয়াল"
বৃত্ত মোট,বৃত্ত মুঠ
বক্ররেখা মোট,বক্ৰ মুঠ
ফাংশন পরিবার,কাৰ্য্যসমূহৰ পৰিয়াল
মোট রেখা,লাইন মুঠ
প্রতিরূপ,প্ৰতিৰূপ
F-বন্টন,F-বিতৰণ
সামঞ্জস্যপূর্ণ ভিত্তি সমাধান,সামঞ্জস্যপূৰ্ণ ভিত্তি সমাধান
সামঞ্জস্যপূর্ণ সমাধান,সামঞ্জস্যপূৰ্ণ সমাধান
"রিচার্জ, পুনঃবিনিয়োগ","ৰিচাৰ্জ, পুনৰ বিনিয়োগ"
ফার্মার আইন,ফাৰ্মাৰ নিয়ম
ফার্মার উপপাদ্য,ফাৰ্মাৰ উপপাদ্য
ফার্মি-ডিরাক-পরিসংখ্যান,ফাৰ্মি-ডাইৰাক-পৰিসংখ্যা
ফিবোনাচি সংখ্যা,ফিবোনাচি সংখ্যা
ফিবোনাচি পরিসীমা,ফিবোনাচি ৰেঞ্জ
"ক্ষেত্র, ক্ষেত্র, ক্ষেত্র, ক্ষেত্র","ক্ষেত্ৰ, পথাৰ, পথাৰ, পথাৰ"
চূড়ান্ত বেগ,চূড়ান্ত বেগ
"সসীম, সসীম","সসীম, সসীম"
সসীম ভিত্তি,সসীম ভিত্তি
সসীম দশমিক,সসীম দশমিক
সীমিত পার্থক্য,সসীম পাৰ্থক্য
সীমিত পার্থক্য পদ্ধতি,সসীম পাৰ্থক্য পদ্ধতি
সসীম মাত্রিক,সসীম মাত্ৰিক
সসীম মাত্রিক ভেক্টর,সসীম মাত্ৰিক ভেক্টৰ
সীমাবদ্ধ খেলা,সসীম খেল
সসীম জ্যামিতি,সসীম জ্যামিতি
সসীম অবিচ্ছেদ্য,সসীম অখণ্ড
সসীমতা,সসীমতা
সীমাবদ্ধ মার্কভ চেইন,সসীম মাৰ্কভ শৃংখল
সসীমতা প্রমাণ,সসীমতা প্ৰমাণ
সসীম সংখ্যা,সসীম সংখ্যা
সীমিত জনসংখ্যা,সসীম জনসংখ্যা
সীমিত সম্ভাবনা,সসীম সম্ভাৱনা
শেষ গ্রেড,শেষ গ্ৰেড
সসীম সেট,সসীম গোট
সীমিত বেগ,সসীম বেগ
সীমিত আয়তন,সসীম আয়তন
"মিশ্রিত করা, সামঞ্জস্য করা","মিক্স, সামঞ্জস্য"
বক্ররেখা সমন্বয়,বক্ৰ সমন্বয়
সরলরেখা সমন্বয়,সৰলৰেখাৰ সমন্বয়
স্থির বিন্দু উপপাদ্য,স্থিৰ বিন্দু উপপাদ্য
স্থির নমুনা,স্থিৰ নমুনা
ফ্লাইটের বেগ,উৰণৰ বেগ
ভাসমান পয়েন্ট গণনা,ভাসমান বিন্দু গণনা
"ফ্লোটিং পয়েন্ট সিস্টেম, ভাসমান পয়েন্ট সিস্টেম","ফ্লটিং পইণ্ট চিষ্টেম, ফ্লটিং পইণ্ট চিষ্টেম"
ফ্লো চার্ট,ফ্ল&#39; চাৰ্ট
গতির প্রবাহ,প্ৰবাহৰ বেগ
তরল গতিবিদ্যা,তৰল গতিবিদ্যা
"ফোকাল, কনফোকাল, ফোকাল","ফ&#39;কেল, কনফ&#39;কেল, ফ&#39;কেল"
ফোকাল জ্যা,ফোকাচ কৰ্ড
ফোকাল দূরত্ব,ফোকাচ দূৰত্ব
ফোকাস দৈর্ঘ্য,ফোকাচ দৈৰ্ঘ্য
"নাভি, ফোকাস, উৎপত্তি","নাভি, ফোকাচ, উৎপত্তি"
"পা, পা, পা","ভৰি, ভৰি, ভৰি"
অর্থোগোনাল,অৰ্থগনেল
মহাকর্ষীয় বল,মহাকৰ্ষণ বল
পূর্বাভাস,পুৰ্বানুমান
সূত্র,সূত্ৰ
থ্রেডিং,থ্ৰেডিং
"বিন্যাস, বিন্যাস, প্রণয়ন","ফৰ্মেটিং, ফৰ্মেটিং, প্ৰণয়ন"
এগিয়ে,আগলৈ
এগিয়ে সন্নিবেশ,আগলৈ সন্নিৱিষ্ট কৰা
গণিতের ভিত্তি,গণিতৰ ভেটি
চতুর্মুখী বিশ্লেষণ,fourier বিশ্লেষণ
ফুরিয়ার সিরিজ,fourier শৃংখলা
ফুরিয়ার রুপান্তর,ফুৰিয়েৰ ৰূপান্তৰ
ভিন্ন,অন্য
ভগ্নাংশ স্থানাঙ্ক,ভগ্নাংশ স্থানাংক
ভগ্নাংশ সংখ্যা,ভগ্নাংশ সংখ্যা
ভগ্নাংশ প্রোগ্রামিং,ভগ্নাংশ প্ৰগ্ৰেমিং
