Assamese,Punjabi
ডেল্টা ফাংচন,ਡੈਲਟਾ ਫੰਕਸ਼ਨ
বিচুম্বকীয়কৰণ,demagnetization
বিচুম্বকীয় বক্ৰ,demagnetized ਕਰਵ
ডিমেগনেটাইজাৰ,demagnetizer
ডিমডুলেচন,demodulation
ঘন ভিৰ,ਸੰਘਣੀ ਭੀੜ
ঘনত্ব গেজ,ਘਣਤਾ ਗੇਜ
"ঘনত্ব, ঘনত্ব","ਘਣਤਾ, ਘਣਤਾ"
মূল্য হ্ৰাসৰ স্তৰ,ਘਟਾਓ ਪੱਧਰ
ডিপ্লিচন জ&#39;ন,ਡਿਪਲੇਸ਼ਨ ਜ਼ੋਨ
বিমেৰুকৰণ,depolarization
ডিমেৰুকৃত,depolarized
ডিপোলাৰাইজাৰ,ਡੀਪੋਲਰਾਈਜ਼ਰ
"ক্ষেত্ৰৰ গভীৰতা, ক্ষেত্ৰৰ তীব্ৰতা","ਖੇਤਰ ਦੀ ਡੂੰਘਾਈ, ਖੇਤਰ ਦੀ ਤੀਬਰਤਾ"
"ব্যুৎপন্ন মেৰুগ্ৰাম, ব্যুৎপন্ন মেৰুগ্ৰাম","derived polarogram, derived polarogram"
ব্যুৎপত্তি কৰা হৈছে,ਲਿਆ ਗਿਆ
"অৱতৰণ কৰা, অৱতৰণ কৰা","ਉਤਰਦਾ, ਉਤਰਦਾ"
"বংশ, বংশ","ਵੰਸ਼, ਉਤਰਾਧਿਕਾਰੀ"
"বৰ্ণনা, নিৰ্মাণ, আঁকিব","ਵਰਣਨ ਕਰੋ, ਬਣਾਓ, ਖਿੱਚੋ"
হৰ,ਭਾਅ
"ডিজাইন কৰা, ডিজাইন কৰা (n.) ডিজাইন কৰা, ডিজাইন কৰা (n.)","ਡਿਜ਼ਾਈਨ ਕਰਨਾ, ਡਿਜ਼ਾਈਨ ਕਰਨਾ (n.) ਡਿਜ਼ਾਈਨ ਕਰਨਾ, ਡਿਜ਼ਾਈਨ ਕਰਨਾ (n.)"
ধ্বংস,ਤਬਾਹੀ
ধ্বংসাত্মক হস্তক্ষেপ,ਵਿਨਾਸ਼ਕਾਰੀ ਦਖਲਅੰਦਾਜ਼ੀ
"ধ্বংসাত্মক, ধ্বংসাত্মক","ਵਿਨਾਸ਼ਕਾਰੀ, ਵਿਨਾਸ਼ਕਾਰੀ"
"চিনাক্তকৰণ, ধৰা পেলোৱা","ਪਛਾਣ, ਖੋਜ"
সংগ্ৰাহক,ਕੁਲੈਕਟਰ
ডিটাৰ্মিনিজম,ਨਿਰਧਾਰਨਵਾਦ
নিৰ্ণায়ক,ਨਿਰਧਾਰਕ
সংকল্প,ਨਿਰਧਾਰਨ
নিৰ্ধাৰণ কৰিবলৈ,ਨਿਰਧਾਰਤ ਕਰਨ ਲਈ
নিৰূপিত,ਨਿਰਧਾਰਿਤ
ডিউটেৰন,ਡਿਊਟਰੋਨ
"প্ৰকাশ, বিকাশ, বিকাশ","ਪ੍ਰਗਟ, ਵਿਕਾਸ, ਵਿਕਾਸ"
"ডেভেলপাৰ, ডেভেলপাৰ","ਵਿਕਾਸਕਾਰ, ਵਿਕਾਸਕਾਰ"
"উন্নয়ন, উন্নয়ন","ਵਿਕਾਸ, ਵਿਕਾਸ"
বিচ্যুতি,ਭਟਕਣਾ
শিশিৰ,ਤ੍ਰੇਲ
শিশিৰ বিন্দু,ਤ੍ਰੇਲ ਬਿੰਦੂ
দক্ষিণ মেৰুকৰণকাৰী,ਦੱਖਣੀ ਪੋਲਰਾਈਜ਼ਰ
ডায়েগনষ্টিক পৰীক্ষা,ਡਾਇਗਨੌਸਟਿਕ ਟੈਸਟ
তিৰ্যক,ਵਿਕਰਣ
ডায়েগ্ৰাম,ਚਿੱਤਰ
ডায়েগ্ৰাম,ਚਿੱਤਰ
ডায়েল কৰক,ਡਾਇਲ
ডাইমেগনেটিক,ਡਾਇਮੈਗਨੈਟਿਕ
"ডাইমেগনেট&#39;লজী, ডাইমেগনেটিক পদাৰ্থ","ਡਾਇਮੈਗਨੇਟੋਲੋਜੀ, ਡਾਇਮੈਗਨੈਟਿਕ ਸਮੱਗਰੀ"
ডাইমেগনেটিজম,diamagnetism
ব্যাস,ਵਿਆਸ
ডায়েমেট্ৰিকভাৱে বিপৰীত,ਵਿਆਸ ਦੇ ਉਲਟ
"হীৰা, হীৰা","ਹੀਰਾ, ਹੀਰਾ"
ডায়েফ্ৰাম ডায়েফ্ৰাম,ਡਾਇਆਫ੍ਰਾਮ ਡਾਇਆਫ੍ਰਾਮ
তাপ বিনিময়,ਗਰਮੀ ਐਕਸਚੇਂਜ
তাপ বিনিময়,ਗਰਮੀ ਐਕਸਚੇਂਜ
"ডাইটনিক স্বৰাগ্ৰাম, ডাইটনিক স্বৰাগ্ৰাম","diatonic swaragram, diatonic swaragram"
"bifurcation, অৰ্ধ-কলা","ਵਿਭਾਜਨ, ਅਰਧ-ਕਲਾ"
ডাইক্ৰ&#39;মেট কোষ,dichromate ਸੈੱਲ
"দ্বৈততা, দৃশ্যমান দ্বৈততা, স্তৰৰ দ্বৈততা","ਦੁਚਿੱਤੀ, ਵਿਜ਼ੂਅਲ ਡਿਕੋਟੋਮੀ, ਲੈਵਲ ਡਿਕੋਟੋਮੀ"
ডিক্টাফোন,ਡਿਕਟਾਫੋਨ
ডাইলেক্ট্ৰিক,ਡਾਇਲੈਕਟ੍ਰਿਕ
ডাইলেক্ট্ৰিকছ,ਡਾਇਲੈਕਟ੍ਰਿਕਸ
ডিজেল চক্ৰ,ਡੀਜ਼ਲ ਚੱਕਰ
গেপ,ਪਾੜਾ
"ডিফাৰেন্সিয়েল ফ্ৰিকুৱেন্সি, বিয়োগ কম্পাঙ্ক","ਡਿਫਰੈਂਸ਼ੀਅਲ ਫ੍ਰੀਕੁਐਂਸੀ, ਡਿਵੀਏਸ਼ਨ ਬਾਰੰਬਾਰਤਾ"
"ডিফাৰেন্সিয়েল, ডিফাৰেন্সিয়েল, ডিফাৰেন্সিয়েল, ডিফাৰেন্সিয়েল, ইন্টাৰষ্টিচিয়েল, ডিফাৰেন্সিয়েল","ਅੰਤਰ, ਅੰਤਰ, ਅੰਤਰ, ਅੰਤਰ, ਅੰਤਰ, ਅੰਤਰ"
ভিন্নতামূলক শোষণ,ਵਿਭਿੰਨ ਸਮਾਈ
ডিষ্টিংচন এম্প্লিফায়াৰ,ਡਿਸਟਿੰਕਸ਼ਨ ਐਂਪਲੀਫਾਇਰ
"পেনেট্ৰেটিভ কেলৰিমিটাৰ, পেনেট্ৰেটিভ কেলৰিমিটাৰ","ਪ੍ਰਵੇਸ਼ਯੋਗ ਕੈਲੋਰੀਮੀਟਰ, ਪ੍ਰਵੇਸ਼ਯੋਗ ਕੈਲੋਰੀਮੀਟਰ"
ডিফাৰেন্সিয়েল কেপাচিটৰ,ਵਿਭਿੰਨ ਕੈਪਸੀਟਰ
ডিফাৰেন্সিয়েল জ&#39;ন,ਅੰਤਰ ਜ਼ੋਨ
ডিফাৰেন্সিয়েল প্ৰসাৰণ,ਵਿਭਿੰਨ ਪ੍ਰਸਾਰ
অৱভেদ্য সমীকৰণ,ਅੰਤਰ ਸਮੀਕਰਨ
ভিন্নতামূলক বিলুপ্তি সহগ,ਵਿਭਿੰਨ ਵਿਸਥਾਪਨ ਗੁਣਾਂਕ
ইন্টাৰমিটাৰ আয়নীয়কৰণ কক্ষ,ਇੰਟਰਮੀਟਰ ionization ਚੈਂਬਰ
ডিফাৰেন্সিয়েল আইছ’ট’প পদ্ধতি,ਵਿਭਿੰਨ ਆਈਸੋਟੋਪ ਵਿਧੀ
ডিফাৰেন্সিয়েল বেগ,ਅੰਤਰ ਵੇਗ
পাৰ্থক্য কৰা,ਵੱਖਰਾ
"পৃথক, পৃথক","ਵਿਭਿੰਨ, ਵਿਭਿੰਨਤਾ"
"পাৰ্থক্য, পাৰ্থক্য","ਭਿੰਨਤਾ, ਵਿਭਿੰਨਤਾ"
বিবৰ্তন,ਭਿੰਨਤਾ
বিবৰ্তনমাপক,ਡਿਫ੍ਰੈਕਟੋਮੀਟਰ
"বিক্ষিপ্ত, বিক্ষিপ্ত","ਫੈਲਿਆ ਹੋਇਆ, ਫੈਲਿਆ ਹੋਇਆ"
বিক্ষিপ্ত,ਫੈਲਿਆ
প্ৰসাৰণ,ਫੈਲਾ
বিস্তাৰ ক্ষমতা,ਵਿਭਿੰਨਤਾ
"অংক, ব্যাস, আঙুলি","ਅੰਕ, ਵਿਆਸ, ਉਂਗਲੀ"
ডিজিটেল ৰেকৰ্ডিং,ਡਿਜ਼ੀਟਲ ਰਿਕਾਰਡਿੰਗ
ডিজিটেল ভল্টমিটাৰ,ਡਿਜ਼ੀਟਲ ਵੋਲਟਮੀਟਰ
দ্বি-আইছ’ট’পিক মৌল,ਦੋ-ਆਈਸੋਟੋਪਿਕ ਤੱਤ
প্ৰসাৰণ,ਫੈਲਾ
প্ৰসাৰণ বিকৃতি,ਵਿਸਤਾਰ ਵਿਕਾਰ
বহিঃতাপমাপক,ਐਕਸੋਮੀਟਰ
ভিছফাৰিনি,ਵਿਸਫਾਰਿਨੀ
"সম্প্ৰসাৰণ, দৈৰ্ঘ্য-প্ৰস্থ, মাত্ৰা, শক্তি","ਐਕਸਟੈਂਸ਼ਨ, ਲੰਬਾਈ-ਚੌੜਾਈ, ਮਾਪ, ਸ਼ਕਤੀ"
মাত্ৰিক,ਆਯਾਮੀ
মাত্ৰাগততা,ਆਯਾਮ
বীমা ইউনিট,ਬੀਮਾ ਯੂਨਿਟ
মাত্ৰাহীন মাত্ৰা,ਅਯਾਮ ਰਹਿਤ ਅਯਾਮ
"মূল্য হ্ৰাস, হ্ৰাস","ਘਟਾਓ, ਕਮੀ"
উজ্জ্বল,ਚਮਕਦਾਰ
ডাইঅ&#39;ড,ਡਾਇਓਡ
ডাইঅপ্টাৰ,diopter
বিবৰ্তন অঞ্চল,ਅਪਵਰਤਨ ਜ਼ੋਨ
ৰিফ্ৰেক্টিং লেন্স,ਰਿਫ੍ਰੈਕਟਿੰਗ ਲੈਂਸ
"bow down, প্ৰণাম কৰা, ট্ৰাফ","ਝੁਕਣਾ, ਮੱਥਾ ਟੇਕਣਾ, ਕੁੰਡ"
পতনৰ কোণ,ਡਿੱਗਣ ਦਾ ਕੋਣ
ডাইপোল,dipole
বাইপোলাৰ স্তৰ,ਬਾਇਪੋਲਰ ਪਰਤ
dirac ডেল্টা ফাংচন,dirac ਡੈਲਟਾ ਫੰਕਸ਼ਨ
"পোন, পোন, পোন, প্ৰত্যক্ষ, বিপৰীত","ਸਿੱਧਾ, ਸਿੱਧਾ, ਸਿੱਧਾ, ਸਿੱਧਾ, ਉਲਟ"
anulom সম্পৰ্ক,ਅਨੁਲੋਮ ਸਬੰਧ
প্ৰত্যক্ষ বিদ্যুৎ প্ৰবাহ,ਸਿੱਧਾ ਮੌਜੂਦਾ
পোনপটীয়া,ਸਿੱਧਾ
"প্ৰত্যক্ষ প্ৰভাৱ, প্ৰত্যক্ষ প্ৰভাৱ","ਸਿੱਧੀ ਹਿੱਟ, ਸਿੱਧੀ ਹਿੱਟ"
"দিশ, দিশ","ਦਿਸ਼ਾ, ਦਿਸ਼ਾ"
দিশগত,ਦਿਸ਼ਾਤਮਕ
স্থানৰ স্থিৰতা,ਸਪੇਸ ਸਥਿਰਤਾ
"ডাইকোচিন, ডাইকো-কোচাইন","dicosine, dico-cosine"
"দিশগত, দিশগত, দিশগত","ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼, ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼, ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼"
দিশগততা,ਦਿਸ਼ਾ
সাধাৰণ জালি,ਆਮ ਜਾਲੀ
সৰলৰেখা,ਸਿੱਧੀ ਲਾਈਨ
ক্ৰমিক অনুপাত,ਕ੍ਰਮਵਾਰ ਅਨੁਪਾਤ
প্ৰত্যক্ষ পদ্ধতি,ਸਿੱਧੀ ਵਿਧੀ
দিশ,ਦਿਸ਼ਾ
প্ৰত্যক্ষ পঢ়া যন্ত্ৰ,ਡਾਇਰੈਕਟ ਰੀਡਿੰਗ ਡਿਵਾਈਸ
সন্মুখত টেলিস্কোপ,ਸਾਹਮਣੇ ਦੂਰਬੀਨ
"বস্তু, বৃত্ত, ডিস্ক, ডিস্ক","ਵਸਤੂ, ਚੱਕਰ, ਡਿਸਕ, ਡਿਸਕ"
"বিসৰ্জন, ইফিউচন, ব্লিচিং","ਇਮਰਸ਼ਨ, ਇਫਿਊਜ਼ਨ, ਬਲੀਚਿੰਗ"
পানীত ডুবাই ৰখা,ਪਾਣੀ ਵਿੱਚ ਡੁੱਬਣਾ
"বিচ্ছিন্নতা, বিচ্ছিন্নতা, ভাঙন","ਵਿਗਾੜ, ਵਿਗਾੜ, ਫ੍ਰੈਕਚਰ"
বিচ্ছিন্ন,ਲਗਾਤਾਰ
"গৱেষণা, অনুসন্ধান","ਖੋਜ, ਖੋਜ"
অমিল,ਅੰਤਰ
কণা,ਕਣ
"অৱতল এন্টেনা,ডিচ এন্টেনা","ਕਨਕੇਵ ਐਂਟੀਨਾ, ਡਿਸ਼ ਐਂਟੀਨਾ"
"দ্ৰৱণ, দানা","ਭੰਗ, granulation"
দ্ৰৱণ ধ্ৰুৱক,ਭੰਗ ਸਥਿਰ
অপচয় শক্তি,ਖਰਾਬੀ ਊਰਜਾ
দ্ৰৱীভূত আধাজীৱন,ਭੰਗ ਅੱਧਾ ਜੀਵਨ
দ্ৰৱণীয় পৰিসৰ,ਭੰਗ ਸੀਮਾ ਹੈ
"ডিচলকেচন, ডিচলকেচন, ডিচলকেচন, ডিচলকেচন","dislocation, dislocation, dislocation, dislocation"
"ফল্ট লাইন, ফল্ট কোৰ","ਫਾਲਟ ਲਾਈਨ, ਫਾਲਟ ਕੋਰ"
দোষ লুপ,ਨੁਕਸ ਲੂਪ
"বিকাৰ, বিকাৰ, বিকাৰ","ਵਿਕਾਰ, ਵਿਕਾਰ, ਵਿਕਾਰ"
বিশৃংখলতা,ਹਫੜਾ-ਦਫੜੀ
"বিভ্ৰান্তি, বিভ্ৰান্তি","ਉਲਝਣ, ਉਲਝਣ"
"বিক্ষিপ্ত, বিক্ষিপ্ত","ਖਿੰਡੇ ਹੋਏ, ਖਿੰਡੇ ਹੋਏ"
"বিক্ষিপ্ততা, বিক্ষিপ্ততা","ਖਿੰਡਾਉਣਾ, ਖਿੰਡਾਉਣਾ"
প্ৰজেক্টাইল,ਪ੍ਰੋਜੈਕਟਾਈਲ
বিক্ষিপ্তকাৰী,dispersant
প্ৰতিফলনশীলতা,ਪ੍ਰਤੀਬਿੰਬਤਾ
স্থানচ্যুতি,ਵਿਸਥਾਪਨ
প্ৰদৰ্শন,ਪ੍ਰਦਰਸ਼ਨੀ
কনছ&#39;ল,ਕੰਸੋਲ
বিচ্ছিন্নতা বল,ਬੰਦ ਕਰਨ ਦੀ ਤਾਕਤ
অসমান,ਅਸਮਾਨ
ক্ষয় সহগ,ਸੜਨ ਗੁਣਾਂਕ
জাৰণকাৰী,ਖਰਾਬ ਕਰਨ ਵਾਲਾ
ক্ষয় ব্যৱস্থা,ਸੜਨ ਸਿਸਟਮ
পৃথক কৰিব পৰা,ਵੱਖ ਕਰਨ ਯੋਗ
পৃথক কৰা হৈছে,ਵੱਖ ਕੀਤਾ
disposition,ਸੁਭਾਅ
অসংগততা,ਗੈਰ-ਅਨੁਕੂਲਤਾ
দূৰত্ব,ਦੂਰੀ
দূৰৈৰ,ਦੂਰ
"সুকীয়া, সুকীয়া, সুকীয়া, প্ৰকাশভংগী","ਵੱਖਰਾ, ਵੱਖਰਾ, ਵੱਖਰਾ, ਭਾਵਪੂਰਤ"
বৈষম্য,ਵਿਤਕਰਾ
বিচ্ছিন্ন সম্পত্তি,ਵੱਖਰੀ ਜਾਇਦਾਦ
"পাৰ্থক্য কৰা, পাৰ্থক্য কৰা","ਵੱਖਰਾ ਕਰਨਾ, ਵੱਖਰਾ ਕਰਨਾ"
বিকৃত,ਵਿਗਾੜਨਾ
বিকৃতি,ਵਿਕਾਰ
বিকৃতিৰ স্থিতিস্থাপকতা,deformation ਲਚਕਤਾ
বিতৰণ কৰা এম্প্লিফায়াৰ,ਵੰਡਿਆ ਐਂਪਲੀਫਾਇਰ
"বিতৰণ, বিতৰণ","ਵੰਡ, ਵੰਡ"
"বিতৰণ নিয়ম, বিতৰণ নিয়ম","ਵੰਡ ਨਿਯਮ, ਵੰਡ ਨਿਯਮ"
বিঘিনি,ਗੜਬੜ
"distressed, বিঘ্নিত ভাৰসাম্য","ਦੁਖੀ, ਵਿਗੜਿਆ ਸੰਤੁਲਨ"
বিৰক্তিকৰ শক্তি,ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲੀ ਤਾਕਤ
"আহনিক, দিবাচাৰ, দিবা, দৈনিক","ਅਹਨਿਕ, ਦਿਵਾਚਰ, ਦਿਵਾ, ਨਿੱਤ"
দৈনিক গতি,ਰੋਜ਼ਾਨਾ ਦੀ ਗਤੀ
দ্বিসম্বন্ধীয়,ਦੋ-ਪੱਖੀ
"dissipate, বিসৰ্জন","ਖਿਲਾਰਨਾ, ਵਿਗਾੜਨਾ"
"বিচ্ছিন্নতা, বিচ্ছিন্নতা, বিচ্ছিন্নতা","ਵਿਭਿੰਨਤਾ, ਵਿਭਿੰਨਤਾ, ਵਿਭਿੰਨਤਾ"
ডাইভাৰ্জেন্ট,ਵੱਖਰੇ
ডাইভাৰচন,ਡਾਇਵਰਸ਼ਨ
"বিভক্ত, বিভক্ত","ਵੰਡਿਆ, ਵੰਡਿਆ"
"বিভাজন, বিভাজন, বিভাজন","ਵੰਡ, ਵੰਡ, ਵੰਡ"
আয়নমণ্ডলৰ D স্তৰ,ਆਇਨੋਸਫੀਅਰ ਦੀ ਡੀ ਪਰਤ
"অঞ্চল, প্ৰদেশ, অঞ্চল, ডমেইন","ਖੇਤਰ, ਸੂਬਾ, ਖੇਤਰ, ਡੋਮੇਨ"
"গম্বুজ, গম্বুজ","ਗੁੰਬਦ, ਗੁੰਬਦ"
প্ৰভাৱশালী স্থান,ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਸਥਿਤੀ
দাতাৰ স্তৰত,ਦਾਨੀ ਪੱਧਰ
মদিত সন্ধি,ਮਦਿਤ ਸੰਧੀ
"ব্যভিচাৰ, ব্যভিচাৰ","ਮਿਲਾਵਟ, ਮਿਲਾਵਟ"
ডপলাৰ ইফেক্ট,ਡੋਪਲਰ ਪ੍ਰਭਾਵ
"ডোজ, ডোজ","ਖੁਰਾਕ, ਖੁਰਾਕ"
কোৱাণ্টোমিটাৰ,ਕੁਆਂਟੋਮੀਟਰ
"বিন্দুযুক্ত, বিন্দুযুক্ত","ਬਿੰਦੀ ਵਾਲਾ, ਬਿੰਦੀ ਵਾਲਾ"
"দ্বৈত, দ্বৈত, যোৰ, দ্বৈত, সাধাৰণ, দ্বৈত","ਡਬਲ, ਡਿਪਲੋਇਡ, ਜੋੜਾ, ਦੋਹਰਾ, ਆਮ, ਦੋਹਰਾ"
ডাবল বণ্ড,ਡਬਲ ਬਾਂਡ
দ্বি-উত্তল লেন্স,biconvex ਲੈਨਜ
দ্বি-উত্তল লেন্স,biconvex ਲੈਨਜ
বাইনাৰী ডিফাৰেন্সিয়েল,ਬਾਈਨਰੀ ਅੰਤਰ
ডাবল আয়নীয়কৰণ,ਡਬਲ ionization
ডাবল অণু,ਡਬਲ ਅਣੂ
ডাবল প্ৰিচিচন,ਡਬਲ ਸ਼ੁੱਧਤਾ
ডাবল ৰিফ্ৰেকচন,ਦੋਹਰਾ ਅਪਵਰਤਨ
ডাবল ছিৰিজ,ਡਬਲ ਸੀਰੀਜ਼
যোৰ তৰা,ਤਾਰਿਆਂ ਦੀ ਜੋੜੀ
দুণ্ডণ,ਡਬਲ
achromatic লেন্স যোৰ,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ ਜੋੜਾ
"প্ৰসাৰণ, প্ৰসাৰণ","ਫੈਲਾਉਣਾ, ਫੈਲਾਉਣਾ"
দুগুণ আধানযুক্ত কণা,ਦੁੱਗਣਾ ਚਾਰਜ ਵਾਲਾ ਕਣ
উভচৰ দুৰ্নীতিগ্ৰস্ত,ਭ੍ਰਿਸ਼ਟ
ডাবল আয়নীয়কৃত,ਡਬਲ ionized
তললৈ,ਹੇਠਾਂ ਵੱਲ
ট্ৰেকচন অক্সিজেন অক্সিজেন অৰ্ধ কম্পেক্ট,ਟ੍ਰੈਕਸ਼ਨ ਧਾਤੂ ਧਾਤੂ ਅਰਧ ਸੰਖੇਪ
ট্ৰেকচন বল,ਟ੍ਰੈਕਸ਼ਨ ਫੋਰਸ
"wah, runoff, apodh, drift (খনন), পাঞ্জ (খাদ্য), বিচ্যুতি","ਵਾਹ, ਵਹਾਅ, ਅਪੋਧ, ਵਹਿਣਾ (ਖਨਨ), ਪੰਝ (ਭੋਜਨ), ਵਿਸਥਾਪਨ"
ৰানঅফ ষ্ট্ৰিম,ਰਨਆਫ ਸਟ੍ਰੀਮ
কাৰ্য্যকৰী,ਕਾਰਜਸ਼ੀਲ
পৰিবাহী ভল্টেজ,ਸੰਚਾਲਨ ਵੋਲਟੇਜ
pety ball,ਛੋਟੀ ਗੇਂਦ
হঠাৎ বিৰতি,ਅਚਾਨਕ ਬਰੇਕ
"বিন্দু, মাইক্ৰ’ পইণ্ট, ড্ৰপলেট","ਬਿੰਦੀ, ਮਾਈਕ੍ਰੋ ਪੁਆਇੰਟ, ਬੂੰਦ"
পৰি যোৱা,ਗਿਰਾਵਟ
শুকান,ਸੁੱਕਾ
শুকান শুকান হাইগ্ৰ’মিটাৰ,ਸੁੱਕਾ ਸੁੱਕਾ ਹਾਈਗਰੋਮੀਟਰ
বিফল যোগাযোগ,ਅਸਫਲ ਸੰਪਰਕ
"ডাবল অপাৰেচন, ডুৱেল অপাৰেচন","ਡਬਲ ਓਪਰੇਸ਼ਨ, ਦੋਹਰੀ ਕਾਰਵਾਈ"
ডাক্ট,"ਨਲੀ, ਨਲਕੀ"
টান,ਤਣਾਅ ਵਾਲਾ
টান,ਤਣਾਅ ਵਾਲਾ
ডিম,ਮੱਧਮ
নিঃশব্দ,ਚੁੱਪ
নিক্ষেপ,ਪੇਸ਼ਗੀ
বমন তাৰা,ਵਾਮਨ ਤਾਰਾ
ডাবল অক্ষ,ਦੋਹਰਾ ਧੁਰਾ
গতিশীল,ਗਤੀਸ਼ੀਲ
গতিশীল,ਗਤੀਸ਼ੀਲ
"গতিশীলতা, গতিশীলতা","ਗਤੀਸ਼ੀਲਤਾ, ਗਤੀਸ਼ੀਲਤਾ"
ডাইনামো,ਡਾਇਨਾਮੋ
ডাইন কৰক,ਖਾਣਾ
"পৃথিৱী, পৃথিৱী","ਧਰਤੀ, ਧਰਤੀ"
ভূমিকম্পৰ তীব্ৰতা,ਭੂਚਾਲ ਦੀ ਤੀਬਰਤਾ
পৃথিৱী উপগ্ৰহ,ਧਰਤੀ ਸੈਟੇਲਾਈਟ
আৰ্থ সংযোগ ব্যৱস্থা,ਧਰਤੀ ਕੁਨੈਕਸ਼ਨ ਸਿਸਟਮ
মাটিৰ তাঁৰ,ਜ਼ਮੀਨੀ ਤਾਰ
"কেন্দ্ৰ, কেন্দ্ৰবিন্দু","ਕੇਂਦਰ, centripetal"
কেন্দ্ৰীয়তা,ਸਨਕੀਤਾ
echelon,Echelon
প্ৰতিধ্বনি,echo
ধাৰণা,ਧਾਰਨਾ
বিপ্লৱৰ বৃত্তাকাৰ স্থানাংক,ਸਰਕੂਲਰ ਕੋਆਰਡੀਨੇਟਸ
ঘূৰ্ণীবতাহ,ਵਰਲਪੂਲ
প্ৰান্তৰ দোষ,ਕਿਨਾਰੇ ਨੁਕਸ
মূল-প্ৰভাৱ,ਕੋਰ-ਪ੍ਰਭਾਵ
এডিছন কোষ,ਐਡੀਸਨ ਸੈੱਲ
সম্পাদনা কৰক,ਸੰਪਾਦਿਤ ਕਰੋ
কাৰ্যকৰী,ਅਸਰਦਾਰ
দক্ষতা,ਕੁਸ਼ਲਤਾ
চেষ্টা কৰা,ਕੋਸ਼ਿਸ਼
এৰি দিয়া,ਡਿਸਚਾਰਜ
"ৰূপক, eigen","ਅਲੰਕਾਰਿਕ, eigen"
অষ্টভুজ,ਅੱਠਭੁਜ
আইনষ্টাইন-বোজ বিতৰণ নিয়ম,ਆਈਨਸਟਾਈਨ-ਬੋਸ ਵੰਡ ਕਾਨੂੰਨ
তৎক্ষণাত প্ৰভাৱ,ਤੁਰੰਤ ਪ੍ਰਭਾਵ
আইনষ্টাইনিয়াম,ਆਈਨਸਟਾਈਨੀਅਮ
আইনষ্টাইন স্মোলুচ’ভস্কি সমীকৰণ,ਆਈਨਸਟਾਈਨ ਸਮੋਲੁਚੌਸਕੀ ਸਮੀਕਰਨ
আইনষ্টাইন-জনসংখ্যা,ਆਈਨਸਟਾਈਨ-ਜਨਸੰਖਿਆ
বহিষ্কাৰ কৰা,ਬਰਖਾਸਤਗੀ
ইজেক্টৰ কেপচুল,ਬਾਹਰ ਕੱਢਣ ਵਾਲਾ ਕੈਪਸੂਲ
ইজেক্টৰ,ਬਾਹਰ ਕੱਢਣ ਵਾਲਾ
ক্লিয়াৰেন্স বৰ্ড,ਕਲੀਅਰੈਂਸ ਬੋਰਡ
বিপৰীত ধাৰণক্ষমতা,ਉਲਟ ਸਮਰੱਥਾ
ইলাষ্টিক,ਲਚਕੀਲੇ
"ইলাষ্টিক ভংগীমাৰ প্ৰভাৱ, ইলাষ্টিক ভংগীমা","ਲਚਕੀਲੇ ਜਵਾਬ ਪ੍ਰਭਾਵ, ਲਚਕੀਲੇ ਪਿਛਲਾ"
দোলনীয় শৰীৰ,oscillatory ਸਰੀਰ
ইলাষ্টিকতা,ਲਚਕਤਾ
"ইলাষ্টিকমিটাৰ, ইলাষ্টিকমিটাৰ","ਇਲਾਸਟਿਕੋਮੀਟਰ, ਇਲਾਸਟਿਕੋਮੀਟਰ"
ইলাষ্টিক নমনীয়তা,ਲਚਕੀਲੇ ਖਰਾਬੀ
আয়নমণ্ডল ই-স্তৰ,ਆਇਨੋਸਫੀਅਰ ਦੀ ਈ-ਪਰਤ
ইলেক্ট্ৰেট,ਇਲੈਕਟ੍ਰੇਟ
"বৈদ্যুতিক, বৈদ্যুতিক","ਇਲੈਕਟ੍ਰੀਕਲ, ਇਲੈਕਟ੍ਰੀਕਲ"
বিদ্যুৎ,ਬਿਜਲੀ
"বিদ্যুৎকৰণ, চাৰ্জিং","ਬਿਜਲੀਕਰਨ, ਚਾਰਜਿੰਗ"
বিদ্যুৎস্পৃষ্ট,ਬਿਜਲੀ
"আধানযুক্ত কণা, আধানযুক্ত কণা","ਚਾਰਜ ਕੀਤਾ ਕਣ, ਚਾਰਜ ਕੀਤਾ ਕਣ"
ইলেক্ট্ৰ&#39;একাউষ্টিক,ਇਲੈਕਟ੍ਰੋਕੋਸਟਿਕ
ইলেক্ট্ৰ&#39;-একাউষ্টিকছ,ਇਲੈਕਟ੍ਰੋ-ਧੁਨੀ ਵਿਗਿਆਨ
ইলেক্ট্ৰ&#39;-থাৰ্মেল,ਇਲੈਕਟ੍ਰੋ-ਥਰਮਲ
ইলেক্ট্ৰ&#39;কেমিকেল,ਇਲੈਕਟ੍ਰੋਕੈਮੀਕਲ
সমান্তৰাল,ਬਰਾਬਰ
ইলেক্ট্ৰ&#39;ড,ਇਲੈਕਟ੍ਰੋਡ
ইলেক্ট্ৰ&#39;ডাইনেমিক্স,ਇਲੈਕਟ੍ਰੋਡਾਇਨਾਮਿਕਸ
