Marathi,Assamese
द्विगुणित,ডিপ্লয়ড
1. डिप्लोइड 2. डिप्लोइड,১.দ্বিগুণী ২.দ্বিগুণী
द्विध्रुव,ডাইপোল
1. उतारा 2. अंकुर काढणे,১.নিষ্কাশন ২.কলি আঁতৰোৱা
1. नांगरणी 2. कताई,১.হালোৱা হাল বাই ২.ঘূৰোৱা
सवलत,ৰেহাই
निर्जंतुकीकरण,বীজাণুনাশক
1. फैलाव 2. विखुरणे,১.বিক্ষিপ্ততা ২.বিক্ষিপ্ততা
1.विखुरणे 2.विविधता,1.বিক্ষিপ্ততা 2.ভেৰিয়েন্স
विविधीकरण,বৈচিত্ৰ্যতা
वैविध्यपूर्ण शेती,বৈচিত্ৰময় কৃষি
डीएनए पाऊल,dna পদক্ষেপ
डीएनए प्राप्तकर्ता,ডি এন এ ৰিচিভাৰ
डॉक भाड्याने,ডক ভাড়া
प्रभावी,কাৰ্যকৰী
सुप्तता,নিদ্ৰাহীনতা
1. प्रमाण 2. डोस 3. डोस,১/ পৰিমাণ ২. মাত্ৰা ৩. মাত্ৰা
दुहेरी सिग्मॉइड वक्र,ডাবল চিগম&#39;ইড বক্ৰ
1. झोडप 2. ताणणे,1. gust 2. টানিব পৰা
1. एक्झॉस्ट ड्रेन 2. सांडपाणी,1. এক্সজেষ্ট ড্ৰেইন 2. এফ্লুৱেণ্ট
ड्रेनेज,নিষ্কাশন
कर्षण,ট্ৰেকচন
1. औषध द्या 2. भिजवा,1. ঔষধ দিয়া 2. তিয়াই পেলোৱা
सौंदर्य प्रसाधने (बिया),প্ৰসাধন সামগ্ৰী (বীজ)
1. औगर 2. उथळ फॉल्ट 3. ड्रिल 4. औगर,1. অগাৰ 2. অগভীৰ দোষ 3. ড্ৰিল 4. অগাৰ
1. भोक 2. ड्रिल 3. ड्रिल,১. ফুটা ২. ড্ৰিল ৩. ড্ৰিল
1. ड्रिलिंग 2. ड्रिलसह पेरणी 3. ड्रिलसह ओतणे,১.ড্ৰিল কৰা ২.ড্ৰিলেৰে বীজ সিঁচা ৩.ড্ৰিলেৰে ঢালি দিয়া
ठिबक सिंचन,ড্ৰিপ জলসিঞ্চন
कोरडी शेती,শুকান খেতি কৰা
1.धूळ 2.बुकनी,১.ধূলি ২.বুকনি
1. डस्टर 2. स्कॅटरर,১.ডাষ্টাৰ ২.বিকিৰণকাৰী
शिंपडणे,ছটিয়াই দিয়া
1. बटू 2. वामन,১.বামন ২.ৱামন
वामन पिरॅमिड,বামন পিৰামিড
वामिनी भवन,বামিণী ভৱন
पर्यावरणशास्त्र,পৰিৱেশ বিজ্ঞান
अर्थमिति,অৰ্থনীতি
आर्थिक कार्यक्षमता,অৰ্থনৈতিক দক্ষতা
परिस्थितीजन्य प्रकार,পৰিস্থিতিগত ধৰণ
अतिरिक्त-स्तरीकृत,অতিৰিক্ত স্তৰযুক্ত
मऊ,কোমল
माती विज्ञान,soil বিজ্ঞান
1. ब्रिजिंग 2. एजिंग 3. स्ट्रँड क्लोजर,1. ব্ৰীজিং 2. এজিং 3. ষ্ট্ৰেণ্ড বন্ধ কৰা
अन्न भाग,খাদ্যৰ অংশ
मागणीची लवचिकता,চাহিদাৰ স্থিতিস্থাপকতা
उत्पादन लवचिकता,উৎপাদন স্থিতিস্থাপকতা
इलेक्ट्रोलिसिस,ইলেক্ট্ৰ&#39;লাইছিছ
इलेक्ट्रोफोरेसीस,ইলেক্ট্ৰ&#39;ফ&#39;ৰেচিছ
बाष्पीभवन,বাষ্পীভৱন
1. शिरच्छेद करणारा 2. निर्जंतुक करणारा 3. शिरच्छेद करणारा 4. निर्जंतुक करणारा,১.ডিকেপিটেটৰ ২.ষ্টেৰাইলাইজাৰ ৩.ডিকেপিটেটৰ ৪.ষ্টেৰাইলাইজাৰ
1. विर बंदी 2. स्ट्रॉबंडी,১/ ৱেইৰ বাণ্ডি ২.ষ্ট্ৰবন্দী
गर्भ,ভ্ৰূণ
1. भ्रूणशास्त्र 2. भौतिकशास्त्र,১.ভ্ৰূণবিজ্ঞান ২.পদাৰ্থ বিজ্ঞান
1. बाहेर पडा 2. बाहेर पडा,1. প্ৰস্থান 2. প্ৰস্থান
emulsifier,ইমালচাইফায়াৰ
अंतर्जात,অন্তৰ্জাতীয়
आंतर-बिंदू विभागणी,ইন্ট্ৰা-পইণ্ট ডিভিজন
आंतर-परजीवी,অন্তঃপৰজীৱী
एंडोस्पर्म,এণ্ডোস্পাৰ্ম
उपक्रम,উদ্যোগ
कीटकशास्त्र,পতংগবিজ্ঞান
वातावरण,পৰিৱেশ
1. एन्झाइम 2. एन्झाइम,১.এনজাইম ২.এনজাইম
क्लस्टर ग्राफ्टिंग,ক্লাষ্টাৰ গ্ৰাফটিং
1. एपिफाइट 2. एपिफाइट,১.এপিফাইট ২.এপিফাইট
इक्विटी,ন্যায়
निर्मूलन,নিৰ্মূলকৰণ
आवश्यक पोषक,প্ৰয়োজনীয় পুষ্টিকৰ উপাদান
1. मापन 2. उडी 3. मूल्यांकन,1. জোখ-মাখ 2. জাম্প 3. মূল্যায়ন
चातुर्य,সূক্ষ্মতা
सुजननिक,সুজাননিক
मूल्यमापन,মূল্যায়ন
स्टीम गेज,ভাপ গেজ
बाष्पीभवन,বাষ্পীভৱন
शाश्वत क्रांती,চিৰন্তন বিপ্লৱ
1. सदाहरित 2. सदाहरित,১.চিৰসেউজ ২.চিৰসেউজ
विकास,বিকাশ
कापला,কাটি পেলোৱা
परिक्षय (प्रजनन क्षमता),পৰীক্ষয় (উৰ্বৰতা)
शोषण,শোষণ
1. अन्वेषण 2. अन्वेषण,১.অন্বেষণ ২.অন্বেষণ
1. एक्सट्रूजन 2. उत्सर्जन,১.এক্সট্ৰুচন ২.নিগমন
डोळा,নয়ন
1. घटक 2. घटक 3. घटक 4. संसाधन,1. কাৰক 2. উপাদান 3. কাৰক 4. সম্পদ
घटक उत्पादकता,কাৰক উৎপাদনশীলতা
व्यापारी सवलत,ট্ৰেডছমেনৰ ৰেহাই
फॅक्टोरियल ब्लॉक डिझाइन,ফেক্টৰিয়েল ব্লক ডিজাইন
पर्यायी,বিকল্প
1. पट्टी 2. पालिहार,১.পট্টি ২.পালিহাৰ
स्थूल,গোটেই অংশ
फील्ड मूल्यांकन,ক্ষেত্ৰ মূল্যায়ন
शेती बजेट,ফাৰ্ম বাজেট
कृषी व्यवसाय,কৃষি ব্যৱসায়
क्षेत्र नियोजन,ক্ষেত্ৰ পৰিকল্পনা
1. शेतकरी 2. शेतकरी,১.কৃষক ২.কৃষক
1. शेती 2. शेती,১.কৃষি ২.খেতি কৰা
टक्कर,সংঘৰ্ষ
एकाधिक प्रजनन,একাধিক প্ৰজনন
किण्वन,কিম্বন
प्रजनन क्षमता,উৰ্বৰতা
खत,সাৰ
खत वापर कार्यक्षमता,সাৰৰ ব্যৱহাৰৰ কাৰ্যক্ষমতা
तंतुमय,আঁহযুক্ত
1. शेत 2. क्षेत्रफळ 3. ठिकाण,১.পাম ২.এলেকা ৩.অৱস্থান
माती पाणी धारण,মাটিৰ পানী ধৰি ৰখা
फील्ड प्रात्यक्षिक,ক্ষেত্ৰ প্ৰদৰ্শন
1. स्थिरीकरण 2. फिक्सेशन 3. फिक्सेशन,1. স্থিৰতা 2. স্থিৰকৰণ 3. স্থিৰতা
1. पूर 2. गर्भाधान,1. প্লাৱন 2. গৰ্ভধাৰণ
प्रवाह चित्र,ফ্ল&#39; ডায়াগ্ৰাম
अन्न मूल्य,খাদ্য মূল্য
चारा,পশুখাদ্য
अंदाज,পুৰ্বানুমান
वन,অৰণ্য
वनीकरण,বনানীকৰণ
1. तडपर्न 2. फॉर्म,১.তাদপৰ্ণ ২.ফৰ্ম
दंव प्रतिरोधक,হিম প্ৰতিৰোধী
1. पाला 2. अनिष्ट,১.পালা ২.ব্লাইট
1. गोठलेले 2. गोठलेले,1. ফ্ৰ&#39;জেন 2. ফ্ৰ&#39;জেন
कार्य,অনুষ্ঠান
1. फ्रुट फॉल 2. फ्रुट फॉल,১/ ফলৰ পতন ২.ফলৰ পতন
फळ बनणे,ফল হৈ পৰে
1. फ्युमिगेशन 2. फ्युमिगेशन,1. ধূমপান 2. ধূমপান
बुरशीनाशक,ভেঁকুৰনাশক
बुरशीविरोधी,এন্টিফাংগেল
बुरशी,ভেঁকুৰ
1. खुद 2. सीता,১.খুদ ২.সীতা
1. फ्यूजन 2. फ्यूजन,1. সংযোজন 2. সংযোজন
कापूस लोकर,কপাহী উল
केसाळ,লোমশ
1. झाडाचा व्रण 2. पिटिका,১/ গছৰ ঘা ২.পিতিকা
1. गेमेट्स 2. गेमेट्स,1. গেমেট 2. গেমেট
1. बाग 2. बाग,১.বাৰী ২.বাগিচা
1. पानसाल 2. हायड्रोमीटर,১.পান্সাল ২.হাইড্ৰমিটাৰ
जनुक संग्रह,জিন সংগ্ৰহ
जीन टॅगन,জিন টেগন
वंशावळी,বংশাৱলী
जनुक नकाशा,জিন মেপ
अनुवांशिक,জেনেটিক্স
1. जीनोम 2. सांगेन,১/ জিনম ২.সাংগেনে
संजिनी कलेक्शन,সঞ্জিনী সংগ্ৰহ
जीनोमिक्स,জিনমিক্স
जीनोटाइप,জিন প্ৰকাৰ
1. जीन स्ट्रक्चर 2. जीन प्रकार,১.জিনৰ গঠন ২.জিনৰ প্ৰকাৰ
लिनेज,বংশ
1. वंश 2. वंश,১. প্ৰজাতি ২. বংশ
1. जंतू 2. जंतू,১.বীজাণু ২.বীজাণু
जंतूनाशक,বীজাণুনাশক
उगवण,অংকুৰণ
1. जर्मप्लाझम 2. जर्मप्लाझम,১/ জীৱাণুপ্লাজম ২.জীৱাণুপ্লাজম
गिबेरेलिक ऍसिड,জিবেৰেলিক এচিড
गोळा करणे,গোটাওক
तुष,তুষ
1. ग्लूटेन 2. खादाड,১/ গ্লুটেন ২
ग्लायकोलिसिस,গ্লাইকোলাইছিছ
छान,বঢ়িয়া
सुवर्ण क्रांती,সোণালী বিপ্লৱ
1. वर्गीकरण 2. वर्गीकरण 3. स्तरीकरण,1. শ্ৰেণীবিভাজন 2. শ্ৰেণীবিভাজন 3. স্তৰবিন্যাস
1. कलमी वनस्पती 2. पेनम्ब्रल वनस्पती,1. গ্ৰাফ্ট কৰা উদ্ভিদ 2. পেনুম্ব্ৰেল উদ্ভিদ
पेन विसंगत,কলম অসামঞ্জস্যপূৰ্ণ
ग्राना,গ্ৰানা
दाणेदार,গ্ৰেনুলেচন
हिरवे खत,সেউজীয়া গোবৰ
हरित क्रांती,সেউজ বিপ্লৱ
वाढ आणि विकास,বৃদ্ধি আৰু বিকাশ
1. हिरड्या रोग,১/ আঁঠুৰ ৰোগ
विषमलिंगी,বিষমযৌন
1. प्रकृति 2. निसर्ग 3. रूपगुण 4. रूप,1. প্ৰকৃতি 2. প্ৰকৃতি 3. ৰূপগুণ 4. ৰূপ
1. ओला 2. कर्कपट 3. कर्का,১.অলা ২.কৰকাপাট ৩.কৰ্কা
रोमिलवॉच,ৰোমিলৱাচ
खारट गळू,চেলাইন চিষ্ট
हॅरो,harrow
1. कापणी निर्देशांक 2. कापणी निर्देशांक,১.চপোৱা সূচকাংক ২.চপোৱা সূচকাংক
1. कापणी 2. काढणी केलेले पीक 3. पूर्ण झालेले पीक 4. उत्पन्न,১.চপোৱা ২.চপোৱা শস্য ৩.সমাপ্ত শস্য ৪.উৎপাদন
1. तोडणे 2. कापणी करणे 3. तोडणे,১. ছিঙি যোৱা ২. চপোৱা ৩. ছিঙি যোৱা
1. अंडी घालणे 2. अंडी फोर्स,১/ কণী পৰা ২) কণী বল
सुकलेले गवत,শুকান ঘাঁহ
कोरडे खाद्य,শুকান খাদ্য
गंजी,গঞ্জি
धुके,কুঁৱলী
धुके,কুঁৱলীময়
1. बाली 2. सित्त 3. मुंडक 4. शीर्ष 5. डोके 6. सिरा,১.বালি ২.সিত্ত ৩.মুণ্ডক ৪.উপৰ ৫.মূৰ ৬.চিৰা
खोबणीचा शेवट,খাঁজৰ শেষ
शीर्ष रोपांची छाटणी,শীৰ্ষ ছাঁটনি
कुंपण,বেৰা
ताब्यात,জিম্মাত ৰখা
कुंडलिनी,কুণ্ডলিনী
हेमॅटाइट,হেমাটাইট
1. औषधी वनस्पती 2. औषधी वनस्पती,১.বনৌষধি ২.বনৌষধি
1.बॉटनिकल कलेक्शन 2.बॉटनिकल म्युझियम,১.উদ্ভিদ সংগ্ৰহ ২.উদ্ভিদ সংগ্ৰহালয়
तणनाशक,ঘাঁহনিনাশক
आनुवंशिकता,বংশগততা
आनुवंशिकता,বংশগততা
उभयलिंगी,উভলিংগী
heterochromatic,হেটেৰ&#39;ক্ৰ&#39;মেটিক
heterofertilization,হেটেৰ&#39;ফাৰ্টিলাইজেচন
1. हायब्रिडोज 2. हेटेरोसिस,১.হাইব্ৰিড’জ ২.হেটেৰ’ছিছ
सेक्सक्रोमोसोम,লিংগক্ৰম&#39;জম
पालनपोषण,লালন-পালন কৰা
हेक्साडेसिमल,হেক্সাডেচিমেল
थंड सुप्तता,ঠাণ্ডা নিদ্ৰা
उच्च घनता लागवड,উচ্চ ঘনত্বৰ ৰোপণ কৰা
1. पिंडलक 2. टेकडी (भात),১.পিণ্ডলক ২.পাহাৰ (ধান)
हिस्टोग्राम,হিষ্টোগ্ৰাম
उच्च तंत्रज्ञान फलोत्पादन,হাই টেক উদ্যান শস্য
1. दही 2. पोळ्या,১.দৈ ২.মৌচাক
1. खुरपणी 2. खुरपणी,1. অপতৃণ কাটিব পৰা 2. অপতৃণ কাটিব পৰা
धारण,ধৰি ৰখা
खाजगी शेत,ব্যক্তিগত পাম
होमिओस्टॅसिस,হোমিঅ&#39;ষ্টেছিছ
जन्मभुमी,গৃহভূমি
एकजिनसीपणा,সমতা
1. एकसंध 2. एकसंध,1. সমজাতীয় 2. সমজাতীয়
सहानुभूती,সহানুভূতিশীল
एकसंध,সমযোজী
1. खुर्लिका 2. अन्न कंटेनर 3. हापर,১.খুৰিকা ২.খাদ্যৰ পাত্ৰ ৩.হাপাৰ
1. थर 2. क्षितिज,১.স্তৰ ২.দিগন্ত
बागायती पिके,উদ্যান শস্য
1. फलोत्पादन 2. फलोत्पादन 3. फलोत्पादन 4. फलोत्पादन,১/ উদ্যান শস্য ২. উদ্যান শস্য ৩. উদ্যান শস্য ৪. উদ্যান শস্য
