Hindi,Tamil
विकल्पी,முகநூல்
"पड़ती, पलिहर",தரிசு நிலம்
कुल,குடும்பம்
प्रक्षेत्र मूल्यांकन,பண்ணை மதிப்பீடு
प्रक्षेत्र का बजट बनाना,பண்ணை பட்ஜெட்
कृषि व्यवसाय,பண்ணை வணிகம்
प्रक्षेत्र नियोजन,பண்ணை திட்டமிடல்
"किसान, कृषक",உழவர்
"कृषि, खेती",விவசாயம்
संपट्टन,திசைதிருப்பல்
बहुप्रजनन,மலம் கழித்தல்
किण्वन,நொதித்தல்
उर्वरता,கருவுறுதல்
उर्वरक,உரம்
उर्वरक उपयोग दक्षता,உரம் பயன்பாடு செயல்திறன்
रेशेदार,ஃபைப்ரஸ்
"खेत, क्षेत्र, स्थान",புலம்
मृदा जलधारिता,புல திறன்
प्रक्षेत्र प्रदर्शन,புலம் ஆர்ப்பாட்டம்
"स्थिरीकरण, यौगिकीकरण, निर्धारण",சரிசெய்தல்
"आप्लावन, अधिसिंचन",வெள்ளம்
प्रवाह आरेख,ஓட்ட வரைபடம்
खाद्य मान,உணவு மதிப்பு
चारा,தீவனம் (தீவனம்)
पूर्वानुमान,முன்னறிவிப்பு
वन,காடு
वनरोपण,ஃபேஸ்டேஷன்
"ताड़पर्ण, प्रपर्ण",ஃப்ராண்ட்
तुषार रोधी,உறைபனி எதிர்ப்பு
"पाला, तुषार",பனி
"हिमशीतित, हिमीकृत",உறைந்த (பழம் & காய்கறி)
फलन,Pructification
"फल पातन, फल का झड़ना",பழ வீழ்ச்சி
फल बनना,பழம்-தொகுப்பு (பழ அமைப்பு)
"धूमन, धूम देना",உமிழ்வு
कवकनाशी,பூஞ்சைக் கொல்லி
कवकरोधी,பூஞ்சை
कवक,பூஞ்சை
"खूड़, सीता",ஃபுரோ
"संलयन, संगलन",இணைவு
रूआं,குழப்பம்
रोएंदार,தெளிவில்லாமல்
सौंफ,"பெருஞ்சீரகம், சோம்பு"
मेथी,வெந்தயம்
अंजीर,படம்
कंगनी,விரல் தினை
दावी,தீ-துடிப்பு புஷ்
पलाश,காடுகளின் சுடர்
फ्रेंच बीन,பிரஞ்சு பீன்
पिस्सू,பிளே
लोमड़ी,நரி
फल मक्खी,பழ ஈ
"वृक्ष व्रण, पिटिका",பித்தப்பை (ஹார்ட்)
"युग्मक, गैमीट",கேமட்
"उद्यान, बाग",தோட்டம்
"पनसाल, जलमापी",அளவை (நீர்)
जीन संग्रह,மரபணு வங்கி
जीन टैगन,மரபணு குறிச்சொல்
वंशावली विज्ञान,மரபணு
जीन मानचित्र,மரபணு வரைபடம்
आनुवंशिकी,மரபியல்
"जीनोम, संजीन",மரபணு
संजीनी संग्रह,மரபணு நூலகம்
जीनोमिक्स,மரபணு
जीनप्ररूपी,மரபணு வகை
"जीनी संरचना, जीन प्ररूप",மரபணு வகை
वंश,வகை
"जीनस, वंश",வகை
"रोगाणु, जर्म",கிருமி
रोगाणुनाशी,கிருமி கொல்லி
अंकुरण,முளைப்பு
"जननद्रव्य, जर्मप्लाज्म",ஜெர்ம்ப்ளாஸ்
जिबरेलिक अम्ल,கிபெரெல்லிக் அமிலம்
ओटना,ஜின்னிங்
तुष,பளபளப்பு
"लसदार, ग्लूटिनी",குளுட்டினஸ்
ग्लाइकोलिसिस,கிளைகோலிசிஸ்
"नाइस, शैल",கெய்ஸ்
स्वर्णिम क्रांति,தங்க புரட்சி
"श्रेणीकरण, वर्गीकरण, स्तरीकरण",தரப்படுத்தல்
"कलमबंद पादप, कलमी पौधा",ஒட்டுதல் ஆலை
कलम असंगत,ஒட்டு-இணக்கமானது
ग्रैना,கிரன்னா
कणिकायन,குருணையாக்கம்
हरी खाद,பச்சை உரம்
हरित क्रांति,பசுமை புரட்சி
वृद्धि और परिवर्धन,வளர்ச்சி மற்றும் வளர்ச்சி
"गोंद रोग, गोंदार्ति",கம்மோசிஸ்
भिन्नस्थ - उभयस्त्रीलिंगी,கினோடியோசியஸ்
माजूफल,கால் நட்டு
लहसुन,பூண்டு
जरबेरा,ஜெர்பெரா
घरकिन,கெர்கின்
अदरक,இஞ்சி
ग्लेडियोलस,கிளாடியோலஸ்
महकुवा,ஆடு களை (ஏஜெரட்டம்)
"ग्रेप फ्रूट, चकोतरा",திராட்சைப்பழம்
अंगूर,திராட்சை
मूंग,பச்சை கிராம்
भीमल,க்ரூவியா
मूंगफली,நிலக்கடலை
अमरूद,கொய்யா
गिनी घास,கினியா புல்
पीटिका कीट,பித்தப்பை மிட்ஜ்
टिड्ड़ा,புல் ஹாப்பர்
गंधी कीट,குந்தி பிழை
"प्रकृति, स्वभाव, रूपगुण, स्वरूप",பழக்கம்
"ओला, करकापात, करका",ஆலங்கட்டி
रोमिलवैच,ஹேரிவெட்ச்
लवणमृदोद्भिद्,ஹாலோபைட்
हैरो,ஹாரோ
"तुड़ाई सूचकांक, कटाई सूचकांक",அறுவடை அட்டவணை
"कटाई, कटी फसल, तैयार फसल, उपज",அறுவடை
"तोड़ना, कटाई, तुड़ाई",அறுவடை
"अंडे से निकलना, अंडा सेना",ஹட்ச்
सूखी घास,வைக்கோல்
सूखा चारा,ஹேலேஜ்
गंजी,வைக்கோல்
धुंध,மூடுபனி
धुंधता,மங்கலான
"बाली, सिट्टा, मुंडक, शीर्ष, सिर, सिरा",தலை (வேளாண்)
सिरा (नाली का),தலை (சேனலின்)
शीर्ष छंटाई,பின்னோக்கி செல்வது
बाड़,ஹெட்ஜ்
अधिरक्षण,ஹெட்ஜிங்
कुंडलिनी,ஹெலிக்ஸ்
हेमैटाइट,ஹெமாடைட்
"शाक, बूटी",மூலிகை
"वनस्पति संग्रह, वनस्पति संग्रहालय",ஹெர்பேரியம்
शाकनाशी,களைக்கொல்லி
आनुवंशिकता,பரம்பரை
वंशागतित्व,ஹெர்டிலேஷன்
उभयलिंगी,ஹெர்மாஃப்ரோடைட்
विषमवर्णी,ஹீட்டோரோக்ரோமாடிக்
विषम-निषेचन,ஹீட்டோரோஃபெர்டைமயமாக்கல்
"संकरओज, हेटेरोसिस",ஹீட்டோரோசிஸ்
लिंगक्रोमोसोम,ஹீட்டோரோசோம்
परपोषित,ஹீட்டோரோட்ஃப்
षड्गुणित,ஹெக்ஸாபிளாய்டு
शीत निष्क्रियता,ஹைபர்னேட்
उच्च सघनता रोपण,அதிக அடர்த்தி நடவு
"पिंडलक, हिल (धान)",மலை (அரிசி)
आयतचित्र,ஹிஸ்டோகிராம்
उच्च तकनीकी औद्यानिकी,ஹிட்டெக் தோட்டக்கலை
"करंड, छत्ता",ஹைவ்
"गुड़ाई, गोड़ना",HOEING
जोत,வைத்திருத்தல்
निजी फार्म,வீட்டு பண்ணை
समस्थिति,ஹோமியோஸ்டாஸிஸ்
वासभूमि,ஹோம்ஸ்டெட்
समांगता,ஒருமைப்பாடு
"सजातीय, समांगी",ஒரே மாதிரியான
समधर्मी,ஹோமோலாஜஸ்
समयुग्मज,ஹோமோசைகோட்
"खुरलिका, खाद्यधानी, हापर",ஹாப்பர்
"संस्तर, क्षितिज",அடிவானம்
औद्यानिक फसलें,தோட்டக்கலை பயிர்கள்
"उद्यान विज्ञान, बागवानी, उद्यान कृषि, औद्यानिकी",தோட்டக்கலை
उद्यान वानिक पशुपाल्य खेती,ஹார்டி-சில்வி ஆயர் விவசாயம்
परपोषी,தொகுப்பாளர்
तप्त जलोपचार,சூடான நீர் சுத்திகரிப்பு
"हल, छिलका",ஹல்
आर्द्रता,ஈரப்பதம்
हयूमस,இயற்கையானது
भूसी,உமி
छिलका निकालने वाली मशीन,ஹஸ்கர்
छिलका उतारना,உமி
संकर,கலப்பின
संकरण,கலப்பினமாக்கல்
"जलयोजन, जलीयन",நீரேற்றம்
जल विज्ञान,நீர்நிலை
जल अपघटन,நீராற்பகுப்பு
"द्रवघनत्व मापी, हाइड्रोमीटर",ஹைட்ரோமீட்டர்
जल परागित,ஹைட்ரோபிலஸ்
जल संवर्धन,ஹைட்ரோபோனிக்ஸ்
जल मंडल,ஹைட்ரோஸ்பியர்
आर्द्रता-ग्राहयता,ஹைட்ரோஸ்கோபாரிட்டி
परात्पराजीवी,ஹைபராசைட்
अतिवृद्धि,ஹைப்பர் பிளேசியா
"कवक तंतु, हाइफा",ஹைபா
बीजपत्राधार,ஹைபோகோடைல்
परिकल्पना,கருதுகோள்
शैथिल्य (जल),கருப்பை ஒடுக்கி
"हेजल नट, अखरोट का फल",ஹேசல் நட்டு
भांग,சணல்
खुरासानी अजवाईन,ஹென்பேன்
मेंहदी,மருதாணி
गुड़हल,ஒளி வண்ண மலர்கள் கொண்ட ஒரு செடி
होप,ஹாப்
कुल्थी,குதிரை கிராம்
कवांच,குதிரை-கண்-பீன்
मधुमक्खी,தேனீ
फुदका,ஹாப்பர்
उद्यानविद्,தோட்டக்கலை நிபுணர்
जल विज्ञानी,நீர்நிலை நிபுணர்
स्व स्थाने कलम-बंधन,சிட்டு ஒட்டுதலில்
पात्रे,ஆய்வுக்கூட சோதனை முறையில்
जीवे,உயிருள்ள
अविवेकपूर्ण,கண்மூடித்தனமான
कीट,பூச்சி
कीट पीड़क,பூச்சி பூச்சி
कीटालय,பூச்சி
कीटनाशी,பூச்சிக்கொல்லி
कीटाहारी,பூச்சிக்கொல்லி
"सूर्यतापन, आतपन",இன்சோலேஷன்
अविलेय,கரையாத
"इन्स्टार (कीट), अंतरानिर्मोकीय अवस्था",இன்ஸ்டார் (பூச்சி)
रोधी,இன்சுலேட்டர்
समेकित रोग प्रबंधन,ஒருங்கிணைந்த நோய் மேலாண்மை
समेकित पोषक-तत्व प्रबंधन,ஒருங்கிணைந்த ஊட்டச்சத்து மேலாண்மை
समेकित पीड़क प्रबंधन,ஒருங்கிணைந்த பூச்சி மேலாண்மை
"सघनता, गहनता",தீவிரம்
"गहन, सघन",தீவிர
"बीच की फसल, अंतराफसल",இடைக்கால
"अंतः सस्य कर्षण, निराई, गुड़ाई",இடைக்கணிப்பு (இடைக்கால)
ब्याज,ஆர்வம்
"पर्व, पोरी",இன்டர்னோட்
अंतरा प्रावस्था (कोशिका विभाजन),இடைமுகம் (செல் பிரிவு)
अंतर्वेशन,இடைக்கணிப்பு
अंतर्बंध्य,இடை-மாடி
"विवरण, सूची",சரக்கு
प्रतिलोमीकरण,தலைகீழ்
"चक्र, सहपत्र",ஈடுபாடு
आयन,அயன்
किरणन,கதிர்வீச்சு
सिंचाई,நீர்ப்பாசனம்
समविकल्पी,ஐசோ அல்லீல்கள்
समोत्पाद वक्र,ஐஎஸ்ஓ தயாரிப்பு வளைவு
समदाब रेखा,ஐசோபார்
समयुग्मन,ஐசோகாமி
पृथक्करण दूरी,தனிமைப்படுத்தும் தூரம்
समगुणित,ஐசோப்ளாய்டு
समोत्पाद,ஐசோகண்ட்
"आइसोटोप, समस्थानिक",ஐசோடோப்
भोजपत्र,இந்திய பிர்ச்
कैल,இந்திய நீல பைன்
लसौड़ा,இந்திய செர்ரி
धूप,இந்திய ஜூனிபர்
बीजासर,இந்திய கினோ மரம்
"सुरपान, सुल्तान चंपा",இந்திய லாரல் மரம்
साया,இந்திய மேட்
मंजीठ,இந்திய மேட்லர்
पापड़ा,இந்திய போடோ பைலம்
नील,இண்டிகோ
काकुन,இத்தாலிய தினை
कुर्ची,தந்தம் மரம்
कुंदरू,ஐவி சுரைக்காய்/சிறிய சுண்டைக்காய்
"जैगरी, खंडसारी",வெல்லம்
जैपोनिका धान,ஜபோனிகா அரிசி
जैसिड,ஜாசிட்
जावाई धान (चावल),ஜவானிகா ரைஸ்
जेली बनाना,கூச்சலிடுதல்
झूम कृषि,ஜம் சாகுபடி
झंपक जीन,ஜம்பிங் மரபணு
अनुपयोगी डीएनए,குப்பை டி.என்.ஏ
वयस्कपूर्व प्रावस्था,சிறார் கட்டம்
नीली गुलमोहर,ஜகரந்தா
कटहल,ஜாக்ஃப்ரூட்
जामुन,ஜமுன்
"मोतिया, चमेली",மல்லிகை
जट्टी/खट्टी,ஜட்டி கட்டி
रतनजोत,ஜட்ரோஃபா
जूट,சணல்
जैसिड़,ஜாசிட்ஸ்
केओलिन,கயோலின்
"केओलिन मिट्टी, खडिया मिट्टी",கயோலினைட்
"केओलिनाइट, केओलिन मिट्टी, खडिया मिट्टी",கயோலினைட்
केंद्रककाइमा,கரியென்சிமா
केंद्रकबंध,Karyodesma
केंद्रक संलयन,கரியோகாமி
गुणसूत्र आरेख,கரியோகிராம் (இடைஜியோகிராம்)
सूत्री विभाजन,காரியோகினேசிஸ்
केंद्रक विज्ञान,கரியாலஜி
केंद्रकलयन,காரியோலிசிஸ்
केंद्रक,காரியோன்
" केंद्रक प्ररूप , गुणसूत्रप्ररूप",காரியோடைப்
केल्प (शैवाल),கெல்ப் (ஆல்கா)
केल्विन चक्र,கெல்வின் சுழற்சி
किरेटिन,கெராடின்
"गिरी, दाना",கர்னல்
खैरा रोग,கைரா நோய்
खरीफ,கரிப்
बकरी का ब्याना,விளையாடினேன்
काइनेटोकोर,கினெடோகோர்
"शाक-वाटिका, गृह वाटिका",சமையலறை தோட்டம்
क्लाइनफिल्टर संलक्षण,க்ளீன்ஃபில்டர் நோய்க்குறி
क्लिनो खंड,க்ளெனோ துண்டு
खांच लगाना,முடிச்சு
कॉच अभिगृहीत,கோச்சின் போஸ்டுலேட்
कोपन का वर्गीकरण (जलवायु),கோபனின் வகைப்பாடு (காலநிலை)
क्रेब का चक्र,கிரெப்ஸ் சுழற்சி
"करटोसिस, ककुदता",கர்டோசிஸ்
के वी के (कृषि विज्ञान केंद्र),கே.வி.கே (கிருஷி விஜியன் கேந்திரா)
कदंब,கதம்
केल,காலே
कांस घास,கன்ஸ் புல்
करौंदा,கரோண்டா
राजमा,"சிறுநீரக பீன், ராஜ்மா"
कीवी फल,கிவிஃப்ரியட்
गांठ गोभी,KNOL கோல்
विलायती इमली,கோடம்புலி
कोदो,கோடோ தினை
कोकम,கோகம் வெண்ணெய் மரம் (மங்கோஸ்டீன்)
खपरा भृंग,கப்ரா வண்டு
घातक मात्रा 50,L.D.50 (மரணம் டோஸ் 50)
प्रयोगशाला से खेत तक,தரையிறக்க ஆய்வகம்
अस्थिर,லேபிள்
"श्रम, मजदूर, श्रमिक",தொழிலாளர்
लैक प्रचालक प्रतिदर्श,லாக் ஓபரான் மாதிரி
दुग्ध स्रवण,பாலூட்டுதல்
दुग्धजनक हॉर्मोन (प्रोलैक्टिन),லாக்டோஜெனிக் ஹார்மோன் (புரோலாக்டின்)
लैक्टोस,லாக்டோஸ்
पश्च रज्जुक,பின்தங்கிய இழை
लैम्डा क्लोनन संवाहक,லாம்ப்டா குளோனிங் திசையன்
पटलीय वायु प्रवाह,லேமினார் காற்று ஓட்டம்
लैंपब्रश गुणसूत्र,விளக்கு தூரிகை குரோமோசோம்
"भूमि, जमीन, स्थल, प्रदेश",நில
भूमि समर्थता वर्गीकरण,நில திறன் வகைப்பாடு
भूमि समर्थता मानचित्र,நில திறன் வரைபடம்
भूमि निम्नीकरण,நில சீரழிவு
भूमि तुल्यांक अनुपात,நில சமமான விகிதம்
भूमि समतलीकरण,நில சமநிலை
भूमि सुधार,நில மீட்பு
भूदृश्य कला,இயற்கையை ரசித்தல்
भूमि उपयुक्तता,நில பொருந்தக்கூடிய தன்மை
भूमि उपयोग पद्धति,நில பயன்பாட்டு முறை
लैंगरहैंस कोशिकाएं,லாங்கர்ஹான்ஸ் செல்கள்
ह्रास दर,குறைவு வீதம்
"लार्वा, डिंभक",லார்வா
प्रसुप्तता,தாமதம்
गुप्त,உள்ளுறை
प्रसुप्त संक्रमण,மறைந்திருக்கும் தொற்று
"पार्श्व, पार्श्विक, पार्श्वीय",பக்கவாட்டு
लैटराइट मृदा,லேட்டரைட் மண்
"लेटेक्स, असंस्कृत रबड़",லேடெக்ஸ்
"लैथिरस रोग, लैथिरसता",லாடிரிசம்
लातीनी वर्ग अभिकल्पना (एल एस डी),லத்தீன் சதுர வடிவமைப்பு (எல்.எஸ்.டி)
जालक,நட்டு
तुलनात्मक लाभ नियम,முக்கிய நன்மை சட்டம்
स्थिर प्रतिफल का नियम,நிலையான வருமானத்தின் சட்டம்
ह्रासमान प्रतिफल का नियम,வருவாயைக் குறைக்கும் சட்டம்
वर्धमान प्रतिफल का नियम,மீண்டும் அதிகரிக்கும் சட்டம்
सीमित कारकों का नियम,கட்டுப்படுத்தும் காரணிகளின் சட்டம்
न्यूनता का नियम,குறைந்தபட்ச சட்டம்
प्रतिस्थापन का नियम,மாற்று சட்டம்
परिवर्ती अनुपात नियम,மாறி விகிதாச்சாரத்தின் சட்டம்
"दाब, परत, अंडे देने वाली मुर्गी",அடுக்கு
अभिन्यास,தளவமைப்பு
निक्षालित तत्व,லீகேட்
निक्षालन क्षमता,கசிவு திறன்
निक्षालन मांग,வெளியேறும் தேவை
अग्रग रज्जुक,முன்னணி ஸ்ட்ராண்ட்
पर्ण क्षेत्र अवधि,இலை பரப்பளவு காலம்
पर्णक्षेत्र सूचकांक,இலை பகுதி அட்டவணை
पर्ण क्षेत्र अनुपात,இலை பரப்பளவு விகிதம்
पर्ण सुरंगक,இலை சுரங்கத் தொழிலாளர்
पर्ण परीक्षण,இலை சோதனை
"पर्ण, पत्ती, पत्र, पत्ता",இலை
समाचारपत्रक,துண்டுப்பிரசுரம்
पट्टा,குத்தகை
शिंब फली,பருப்பு
निम्न ऊर्जा लागत संधारणीय कृषि,LEISA - (குறைந்த ஆற்றல் உள்ளீடு நிலையான விவசாயம்)
वातरंध्र,Lenticel
लेन्टो केशिका बिंदु,லென்டோ கேபிலரி புள்ளி
"तनुसूत्र, लेप्टोनीमा",லெப்டோனெமா
लेप्टोस्पाइरता,லெப்டோஸ்பிரோசிஸ்
शुष्करोधक आवारिकी,லீரோ-மோர்பிக்
विक्षति,புண்
घातक उत्परिवर्तन,மரணம் பிறழ்வு
अवर्णीलवक,லுகோபிளாஸ்ட்
समतल वेदिका,நிலை மொட்டை மாடி
"करहा, समतलक, पाटा",சமநிலையாளர் (லெவியர்)
समतलन (भूमि का),சமன் செய்தல் (நிலத்தின்)
"ले कृषि, चरागाह में कृषि",லே விவசாயம்
लीबिग का न्यूनतम नियम,லிபிக்கின் குறைந்தபட்ச சட்டம்
बंधन,லிகேஷன்
प्रकाश समायोजन बिंदु,ஒளி இழப்பீட்டு புள்ளி
प्रकाश संतृप्त सघनता,ஒளி செறிவு தீவிரம்
प्रकाश संचरण अनुपात,ஒளி பரிமாற்ற விகிதம்
प्रकाश पाश,ஒளி பொறி
चूना मिलाना,லிமிங்
"सीमा, सीमा बंधन",வரம்பு
सीमाकारी कारक,கட்டுப்படுத்தும் காரணி
लाइमोनाइट,லிமோனைட்
"रेखा, वंशक्रम",வரி
रैखिक अनुक्रिया,நேரியல் பதில்
सहलग्नता,இணைப்பு
सहलग्नी समूह,இணைப்புக் குழு
योजक,இணைப்பான்
रूई सूचकांक,லின்ட் இன்டெக்ஸ்
रोम,லின்டர்ஸ்
"वसा, लिपिड",கொழுமியம்
वसा-अपघटन,லிபோலிசிஸ்
परिसमापन,கலைப்பு
मेंडकारी,லிஸ்டர்
", लिस्टर (बक्खर)",லிஸ்டர்
मेंड़ बनाना,பட்டியல்
स्थल मंडल,லித்தோஸ்பியர்
" बिछाली, , संशाव",குப்பை
सजीव पलवार,நேரடி தழைக்கூளம்
लिवरवर्ट,லிவர்வார்ட்
पशुधन,கால்நடைகள்
स्थानीय नियंत्रण,உள்ளூர் கட்டுப்பாடு
"संस्थिति, निधान, विस्थल",இடம்
टिड्डी,வெட்டுக்கிளி
"अवशयन, गिरना (फसल का गिरना)",தங்குமிடம் (பயிர் உறைவிடம்)
लॉडिक्यूल,லோடிகுல்
"लोएस, चिकनी मिट्टी",Lodess
लघुगणकीय रूपांतरण,மடக்கை மாற்றம்
दीर्घ प्रदीप्तकाली पादप,நீண்ட - நாள் ஆலை
दीर्घ तरंगीय विकिरण,நீண்ட அலை கதிர்வீச்சு
पाश,லூப்
कर्तन,லோப்பிங்
कटि,மரம் வெட்டுதல்
"लक्स, लूक्रस",லக்ஸ்
विलासिता उपभोग (पोषक तत्व),ஆடம்பர நுகர்வு (ஊட்டச்சத்து)
विलासी जीन,சொகுசு மரபணுக்கள்
लाइकोपीन,லைகோபீன்
लसीका,நிணநீர்
लाइसीमीटर लिसजलमापी,லைசிமீட்டர்
कोशिकालयन,கலத்தின் லிசிஸ்
लयजनन,லைசோஜெனி
"लयनकाय, लाइसोसोम",லைசோசோம்
लाइसोजाइम,லைசோசைம்
कुसुम,லாக் மரம்
लाख,லாக்
भिंडी,"லேடிஸ் விரல், ஓக்ரா"
गोखरू,லேண்ட் கால்ட்ரோப்ஸ்
लेंटाना,லந்தானா
खेसारी,லாதிரஸ்
लीक,லீக்
नींबू घास,எலுமிச்சை புல்
"लेमन, नींबू",எலுமிச்சை
मसूर,பயறு
मुलैठी,லெக்வோர்ஸ்
सलाद,கீரை
"कमलिनी, कुमुदिनी",லில்லி
नींबू,சுண்ணாம்பு
अलसी,ஆளி விதை
लीची,லிச்சி
कुटकी,சிறிய தினை
ककड़ी,நீண்ட முலாம்பழம்
"पीप़र, पिपलामूल",நீண்ட மிளகு
लोकाट,லோகாட்
कमल,தாமரை
रिजका,லுர்சர்ன்
लाख कीट,லாக் பூச்சி
सोनपंखी,லேடி பேர்ட் வண்டு
पर्ण सुरंगक,இலை சுரங்கத் தொழிலாளர்
पत्ती लपेटक,இலை ரோலர்
पत्ती जाला कीट,இலை வெபர்
टिड्डी,வெட்டுக்கிளி
गुरु विकास,மைக்ரோ பரிணாமம்
विस्तृतक्षेत्री जलवायु,மேக்ரோக்ளைமேட்
वृहदणु,மேக்ரோமிகுலூல்
गुरु उत्परिवर्तन,மேக்ரோனேஷன்
प्रमुख पोषक-तत्व,மேக்ரோனூட்ரியண்ட்
दीर्घ छिद्र,மேக்ரோபோர்கள்
"मैगट, कृमि",மாகோட்
मैग्मा,மாக்மா
मैग्नीशिया,மெக்னீசியா
मैग्नीशियम,வெளிமம்
चुंबकीय विलोडक,காந்த அசை
परिमाण,அளவு
महुए की खली,மஹுவா கேக்
अनुरक्षक पंक्ति,பராமரிப்பாளர் வரி
"अनुरक्षण, संभाल, देखभाल",பராமரிப்பு
मक्का के दाने निकालने वाली मशीन,மக்காச்சோளம் ஷெல்லர்
नरबंध्य,ஆண் மலட்டு
"कुरूपता, कुरचना",செயலிழப்பு
दुर्दमता,வீரியம்
कुपोषण,ஊட்டச்சத்து குறைபாடு
कुरीति,முறைகேடு
माल्टन,மால்டிங்
नांद,மேலாளர்
"मैंग्रोव, गरान",சதுப்புநிலங்கள்
"मैनोमीटर, दाबांतरमापी",மனோமீட்டர்
"मैनोमीटर, दाबांतरमापी",மனோமீட்டர்
अपूर्णांश (लघुगणक का),மன்டிசா (மடக்கை)
खाद,உரம்
"खाद देना, खाद डालना",உரமாக்குதல்
"सीमांत, उपांत",ஓரளவு
सीमांत लागत,விளிம்பு செலவு
उपांत भूमि,விளிம்பு நிலம்
सीमांत उत्पाद,விளிம்பு தயாரிப்பு
सीमांत आय,விளிம்பு வருவாய்
समुद्री,மரைன்
चिह्नक (आनुवंशिक),குறிப்பாக்கி (மரபணு)
"बाजार, मंडी",சந்தை
"पण्य, विक्रेय, विपणन योग्य",சந்தைப்படுத்தக்கூடியது
विपणन-योग्य अधिशेष,சந்தைப்படுத்தக்கூடிய உபரி
विपणित अधिशेष,சந்தைப்படுத்தப்பட்ட உபரி
विपणन,சந்தைப்படுத்தல்
कच्छ,சதுப்பு நிலம்
द्रव्यमान बहाव,வெகுஜன ஓட்டம்
"महा चयन, व्यापक चयन, समूह चयन",வெகுஜன தேர்வு
द्रव्यमान स्पेक्ट्रोमीटर,வெகுஜன-ஸ்பெக்ட்ரோமீட்டர்
"दंड़, मस्तूल",மாஸ்ட்
मातृक वंशागति,தாய்வழி பரம்பரை
"मिलन, संगम",இனச்சேர்க்கை
मैट्रिक विभव,மெட்ரிக் ஆற்றல்
"तैयार होना, परिपक्वन",முதிர்வு
परिपक्वता (फसल),முதிர்ச்சி (பயிர்)
अधिकतम उपलब्ध जल,கிடைக்கும் அதிகபட்ச நீர்
अधिकतम सस्यन,அதிகபட்ச பயிர்
अधिकतम अवशेष सीमा,அதிகபட்ச எச்ச வரம்பு
अधिकतम संधारणीय उपज,அதிகபட்ச நிலையான மகசூல்
अधिकतम तापमापी,அதிகபட்ச வெப்பமானி
अधिकतम जलधारण क्षमता,அதிகபட்ச நீர் வைத்திருக்கும் திறன்
शाद्वल बागवानी,புல்வெளி பழத்தோட்டம்
चूर्णी,மீலி
माध्य विचलन,சராசரி விலகல்
माध्य जीवन (नाभिकीय),சராசரி வாழ்க்கை (அணு)
माध्य समुद्र तल,சராசரி கடல் மட்டம்
माध्य वर्ग,சராசரி சதுரம்
"माप, माप करना",அளவீடு
मापन,அளவீட்டு
यांत्रिक,இயந்திர
यांत्रिक विश्लेषण (मृदा),இயந்திர பகுப்பாய்வு (மண்)
यांत्रिक प्रतिबाधा,இயந்திர தடுப்பு
यांत्रिक कृषि,இயந்திரமயமாக்கப்பட்ட விவசாயம்
"मध्य, मध्यस्थ, मध्यिका",சராசரி
औषधीय पादप,மருத்துவ ஆலை
भूमध्यसागरीय जलवायु,மத்திய தரைக்கடல் காலநிலை
गुरुयुग्मकजनन,மெகாகமெடோஜெனெஸிஸ்
गुरु बीजाणुधानी,மெகாஸ்போரங்கியா
गुरु बीजाणु,மெகாஸ்போர் (மேக்ரோஸ்போர்)
गुरुबीजाणुजनन,மெகாஸ்போரோஜெனெஸிஸ்
"अर्धसूत्रण, अर्धसूत्री विभाजन",ஒடுக்கற்பிரிவு
नरम मृदा,மூத்த மண்
डीएनए विरज्जुकन,டி.என்.ஏ உருகுதல்
झिल्ली निस्यंदक,சவ்வு வடிகட்டி
मेन्डेलीय वंशागति,மெண்டிலியன் பரம்பரை
मेन्डेलवाद,மெண்டலிசம்
मेंडेल का वंशागति नियम,மெண்டலின் பரம்பரை விதி
"पण्यमाल, विक्रेयमाल",பொருட்கள்
"पारा, पारद",புதன்
विभज्योतक,மெரிஸ்டெம்
मध्य जलवायु,மீசோக்ளைமேட்
"मध्यचर्म, मध्यजनस्तर",மீசோடர்ர்
पर्ण मध्योतक,மெசோபில்
समोद्भिद,மெசோஃபைட்
मध्य छिद्र,மெசோ-போர்ஸ்
मध्यमंडल,மீசோஸ்பியர்
दूत आरएनए (एम-आरएनए),மெசஞ்சர் ஆர்.என்.ஏ (எம்-ஆர்.என்.ஏ)
उपापचय,வளர்சிதை மாற்றம்
उपापचयज,வளர்சிதை மாற்றங்கள்
धातु बांध,உலோக அணை
कायांतरित शैल,உருமாற்ற பாறைகள்
कायांतरण,உருமாற்றம்
मध्यावस्था,மெட்டாஃபேஸ்
अनुमदकाल,மெட்டாஸ்ட்ரஸ்
"परागानुप्रभाव, मेटाजीनिया",மெட்டாக்சீனியா
मौसम विज्ञान,வானிலை ஆய்வு
मेटहीमोग्लोबिनीमिया,மெத்தமோகுளோபினீமியா
विधि प्रदर्शन,முறை ஆர்ப்பாட்டம்
अभ्रक,மைக்கா
लघु द्रोणी,மைக்ரோ பேசின்
सूक्ष्म प्राणिजात,மைக்ரோ விலங்கினங்கள்
सूक्ष्मजीव,நுண்ணுயிர்
सूक्ष्मजीवी जैवभार कार्बन,நுண்ணுயிர் பயோமாஸ் கார்பன்
सूक्ष्मजीवी निम्नीकरण,நுண்ணுயிர் சீரழிவு
सूक्ष्मजीवी कीटनाशी,நுண்ணுயிர் பூச்சிக்கொல்லி
सूक्ष्मजीव विज्ञान,நுண்ணுயிரியல்
लघुजीवी,மைக்ரோபயாடிக்
सूक्ष्म जलवायु,மைக்ரோக்ளைமேட்
