Hindi,Assamese
वर्ण अभिनिर्धारण परीक्षण,চৰিত্ৰ চিনাক্তকৰণ পৰীক্ষা
"रंगांक, वर्णाक","ৰঞ্জক পদাৰ্থ, ৰঞ্জক পদাৰ্থ"
वर्ण उग्रता,চৰিত্ৰৰ উগ্ৰতা
वर्णतक परिपथ,ৰঙীনতা বৰ্তনী
"वर्ण किनेस्कोप, वर्ण चित्र नलिका","চৰিত্ৰৰ কাইনেস্কোপ, চৰিত্ৰৰ ছবিৰ নলী"
वर्णस्तर,ৰঙৰ স্তৰ
वर्ण अभिबंधक,চৰিত্ৰ পৰিচালক
वर्ण दीप्ति-संबंध,ৰঙীনতা সম্পৰ্ক
वर्ण-कांतिमान आरेख,ৰঙীনতা ডায়েগ্ৰাম
र्ण सुमेलन उत्तापमापी,ক্ৰ&#39;নোমিটাৰ
"रंग सुमेलन, वर्ण सुमेलन","ৰঙৰ মিল, ৰঙৰ মিল"
"रंग विधि, वर्ण विधि","ৰঙৰ পদ্ধতি, আখৰৰ পদ্ধতি"
वर्ण अप-अध्यारोपण,চৰিত্ৰ আপ-ইমপ্লাণ্টেচন
वर्ण-मिश्रित्र,চৰিত্ৰ মিশ্ৰণ
"रग प्रतिरूप, वर्ण विन्यास",ৰঙৰ আৰ্হি
वर्णावगम (वर्ण-अवगम),বৰ্ণৱগম (বৰ্ণ-অৱগম)
वर्ण कलान्तर,চিলেবলৰ পৰিৱৰ্তন
रंगीन फोटोग्राफी,ৰঙীন ফটোগ্ৰাফী
वर्ण-चित्र पट,ছবি বৰ্ড
रंग प्लेट,ৰঙৰ প্লেট
वर्ण सम्भाव्यताएँ,চৰিত্ৰৰ সম্ভাৱনা
रंगीन प्रिन्ट,ৰঙীন প্ৰিন্ট
"वर्ण छपाई, वर्ण मुद्रण","আখৰ প্ৰিন্টিং, আখৰ প্ৰিন্টিং"
वर्ण शोधी चुंबक,চৰিত্ৰ ডিটেক্টৰ
वर्ण अनुपात,আখৰৰ অনুপাত
वर्ण अभिक्रिया,চৰিত্ৰৰ বিক্ৰিয়া
वर्ण अध्यारोपण,চৰিত্ৰ আৰোপ কৰা
वर्ण प्रतिरोधी,ৰং প্ৰতিৰোধী
वर्ण प्रतिचयन दर,আখৰৰ নমুনা সংগ্ৰহৰ হাৰ
वर्ण प्रतिचयन अनुक्रम,আখৰৰ নমুনা সংগ্ৰহৰ ক্ৰম
ताप वर्ण मापक्रम,উষ্ণতা চৰিত্ৰ স্কেল
वर्ण आयोजना,চৰিত্ৰ পৰিকল্পনা
वर्ण वरक दर्पण,বৰ্ণ বৰাক দাপোন
वर्ण-संवेदन,চৰিত্ৰ সংবেদন
वर्ण सुग्राही परत,আখৰ সংবেদনশীল স্তৰ
वर्ण सुग्राहिता,চৰিত্ৰৰ সংবেদনশীলতা
रंग-पृथक्करण,ৰঙৰ পৃথকীকৰণ
रंग-पृथक्करण शीट,ৰং পৃথকীকৰণ শ্বীট
वर्ण समष्टि,আখৰৰ স্থান
वर्ण स्थायीकारी,চৰিত্ৰ স্থিতিশীলকাৰী
वर्ण-स्थायित्व,ৰঙৰ স্থিৰতা
वर्ण उद्दीपन फलन,ৰঙৰ উদ্দীপক কাৰ্য্য
वर्ण उद्दीपन विनिर्देश,চৰিত্ৰ উদ্দীপক নিৰ্দিষ্টকৰণ
"रंग प्राबल्य, वर्ण प्राबल्य","ৰং প্ৰধান, ৰং প্ৰধান"
वर्ण अध्यारोपण,চৰিত্ৰ আৰোপ কৰা
वर्ण निलंबक,চৰিত্ৰ নিলম্বন
वर्ण तुल्यकाली सिग्नल,আখৰ সমন্বয় সংকেত
त्रिवर्ण तंत्र,ত্ৰিবৰ্ণ ব্যৱস্থা
रंगीन टेलीविजन,ৰঙীন টেলিভিছন
रंगीन टेलीविजन प्रेषित्र,ৰঙীন টেলিভিছন ট্ৰেন্সমিটাৰ
"रंग ताप, वर्ण ताप","ৰঙৰ উষ্ণতা, ৰঙৰ উষ্ণতা"
"वर्ण-छवि, कलर टोन","চৰিত্ৰৰ ছবি, ৰঙৰ সুৰ"
"रंग अनुरेख, कलर ट्रेस","ৰঙৰ ট্ৰেচ, ৰঙৰ ট্ৰেচ"
"वर्ण प्रेषण, वर्ण संचरण","চৰিত্ৰ সংক্ৰমণ, চৰিত্ৰ সংক্ৰমণ"
रंगीन पारदर्शिका,ৰঙীন স্বচ্ছ
वर्ण त्रिक,চৰিত্ৰ ত্ৰিভুজ
"वर्ण त्रिभ्रुज, रंग त्रिभुज","ৰঙৰ ত্ৰিভুজ, ৰঙৰ ত্ৰিভুজ"
वर्ण नलिका,ৰঙৰ টিউব
वर्ण दर्शन,চৰিত্ৰ দৃষ্টি
वर्ण चक्र,আখৰৰ বৃত্ত
रंगीन क्रिस्टल,ৰঙীন স্ফটিক
रंगीन काँच,ষ্টেইনড গ্লাছ
"रंग कारक, वर्ण कारक","ৰঙৰ কাৰক, ৰঙৰ কাৰক"
"वर्णहीन, रंगहीन",ৰংহীন
"स्तंभ, कॉलम","স্তম্ভ, স্তম্ভ"
स्तंभ वर्ण लेखन,স্তম্ভৰ আখৰ লিখা
"स्तंभी, स्तंभाकार",স্তম্ভৰ দৰে
स्तंभ आयनन,স্তম্ভ আয়নীয়কৰণ
"कॉमा, रोमगुच्छ, पुच्छ, पूछ","কমা, টাফ্ট, ঠেং, সুধিব"
कॉमा पालि,কমা লোব
"कंघा ऐन्टेना, समान्तराली ऐन्टेनी","কম্ব এন্টেনা, সমান্তৰাল এন্টেনা"
"कंघा फिल्टर, समान्तराली फिल्टर","কম্ব ফিল্টাৰ, সমান্তৰাল ফিল্টাৰ"
सैन्य सुप्रचालनिक जाल,সামৰিক কাৰ্য্যকৰী নেট
"संयोग, संयोजन, संचय","সংমিশ্ৰণ, সংমিশ্ৰণ, সঞ্চয়"
संयुक्त रंग,সংমিশ্ৰিত ৰং
संयोजन त्रुटि,সংমিশ্ৰণৰ ভুল
संयोजन अन्तराल,সংযোগৰ ব্যৱধান
"संयोजन रेखा, पद संयोग रेखा","কম্বিনেচন লাইন, টাৰ্ম কম্বিনেচন লাইন"
संयुक्त माइक्रोफोन,কম্পোজিট মাইক্ৰ&#39;ফোন
संयुक्त गति,সংযুক্ত গতি
संयोजक प्लेट,সংযোগকাৰী প্লেট
पदसंयोग-सिद्धान्त,বাক্যাংশ
संयुक्त रेयॉन सूत्र,সংযুক্ত ৰেয়ন সূত্ৰ
संयुक्त अभिक्रिया,সংযুক্ত বিক্ৰিয়া
संचय प्रकीर्णन,সঞ্চয় বিক্ষিপ্তকৰণ
संयुक्त स्वर,সংমিশ্ৰিত স্বৰবৰ্ণ
संयुक्त ट्वील,কম্পোজিট টুইল
संयुक्त स्वर,সংমিশ্ৰিত স্বৰবৰ্ণ
समुदाय ऐन्टेना,কমিউনিটি এন্টেনা
उभयनिष्ठ क्षेत्र तकनीक,সাধাৰণ ক্ষেত্ৰ প্ৰযুক্তি
दहन-नोदन इंजन,দহন-প্ৰপালচন ইঞ্জিন
संयुक्त तंत्र,যৌথ ব্যৱস্থা
संयोजक,সংযোগ
मिश्रक परिपथ,মিক্সাৰ বৰ্তনী
दाह्यता,দায়িত্ব
दाह्यता,দায়িত্ব
दहन-नोदन इंजन,দহন-প্ৰপালচন ইঞ্জিন
दहन उपकरण,দহন সঁজুলি
दहन बम,দহন বোমা
दहन कक्ष,দহন কক্ষ
दहन ताप,দহনৰ উষ্ণতা
दहन नलिका,দহন নলী
दहन तंत्र,দহন ব্যৱস্থা
कॉमिट,অংগীকাৰ দিয়া
कॉमलॉगनेट,কলগনেট
समादेश,আদেশ
समादेश सिग्नल,কমাণ্ড সংকেত
विनाश समादेश सिग्नल,ধ্বংস আদেশ সংকেত
समादेशी निर्देशन,কমাণ্ড লাইন
समादेशी निर्देशन तंत्र,কমাণ্ড চিস্টেম
समादेश विचलन सीमा,কমাণ্ড বিচ্যুতি সীমা
समादेश सेट,কমাণ্ড ছেট
रोमगुच्छी,hairdo
व्यापारिक फेराइट,বাণিজ্যিক ফেৰাইট
व्यापारिक टेलीविजन,বাণিজ্যিক টেলিভিছন
व्यापारिक प्रोग्राम,ট্ৰেডিং প্ৰগ্ৰেম
"साधारण, सामान्य, सर्वनिष्ठ, सार्व, उभयनिष्ठ","সাধাৰণ, সাধাৰণ, সাধাৰণ, সাধাৰণ, সাধাৰণ"
समुदाय ऐन्टेना,কমিউনিটি এন্টেনা
"सर्वनिष्ठ आधार, उभयनिष्ठ बैस","সাধাৰণ ভিত্তি, সাধাৰণ ভিত্তি"
उभयी नाल,নাভিৰ ৰচী
उभयनिष्ठ संग्राही,সাধাৰণ সংগ্ৰাহক
उभयनिष्ठ संग्राही परिपथ,সাধাৰণ সংগ্ৰাহক বৰ্তনী
उभयनिष्ठ उत्सर्जक,সাধাৰণ এমিটাৰ
उभयनिष्ठ उत्सर्जक परिपथ,সাধাৰণ এমিটাৰ বৰ্তনী
उभयनिष्ठ क्षेत्र तकनीक,সাধাৰণ ক্ষেত্ৰ প্ৰযুক্তি
"सर्वनिष्ठ प्रतिबाध, उभयनिष्ठ प्रतिबाधा","সাধাৰণ প্ৰতিৰোধ, সাধাৰণ প্ৰতিৰোধ"
सम आयन प्रभाव,যোগ আয়ন প্ৰভাৱ
उभयनिष्ठ विधा निराकरण अमुपात,সাধাৰণ ধৰণ ৰিজ&#39;লিউচন অনুপাত
उभयनिष्ठ विधा सिग्नल,সাধাৰণ ধৰণ সংকেত
"सार्व गुणज, समापवर्त्य","সাধাৰণ বহুগুণ, সাধাৰণ"
सामान्य स्फटिक,স্বাভাৱিক স্ফটিক
उभयनिष्ठ सूक्ष्मकरण,সাধাৰণ পৰিশোধন
सर्वनिष्ठ संचय,সাধাৰণ ষ্টক
सामान्य सममिति,সাধাৰণ প্ৰতিসমতা
सामान्य सममिति अवयव,সাধাৰণ প্ৰতিসমতা মৌল
सर्वनिष्ठ पद,সাধাৰণ অৱস্থান
उभयनिष्ठ विधा निराकरण,সাধাৰণ ধৰণ ৰিজ&#39;লিউচন
संक्रामी अवस्थाएँ,সংক্ৰামক অৱস্থা
संचार,যোগাযোগ
संचार चैनल,যোগাযোগ চেনেলসমূহ
संचार भ्रान्ति,যোগাযোগৰ ভুল
संचार इंजीनियरी,যোগাযোগ অভিযান্ত্ৰিকী
संचार मानचित्र,যোগাযোগ মানচিত্ৰ
ऊर्जा संचरण,শক্তি সংবহন
संकेत ग्राही,সংকেত গ্ৰহণকাৰী
संचार उपग्रह,যোগাযোগ উপগ্ৰহ
संचार व्यवस्था,যোগাযোগ ব্যৱস্থা
समुदाय ऐन्टेना,কমিউনিটি এন্টেনা
"तार टेलीविजन, समुदाय टेलीविजन","টেলিগ্ৰাফ টেলিভিছন, কমিউনিটি টেলিভিছন"
दिक्परिवर्तन करना,ডাইভাৰ্ট কৰা
दिक्परिवर्तक संधारित्र,কনভাৰ্টাৰ কেপাচিটৰ
दिक्परिवर्ती क्षेत्र,ডাইভাৰচন জ&#39;ন
दिक्परिवर्ती ध्रुव,ৰিভাৰ্ছল মেৰু
दिक्परिवर्ती प्रतिघात,ৰেট্ৰ&#39;গ্ৰেড বিক্ৰিয়া
"दिक्परिवर्तन, दत्त परिवर्तन, क्रमविनिमय","বিক্ষেপণ, ডেটাম পৰিৱৰ্তন, ক্ৰমবিন্যাস"
दिक्परिवर्तक गुणांक,ৰূপান্তৰ সহগ
क्रमविनिमेय क्षेत्र,কমিউটেটিভ ফিল্ড
"क्रमविनिमेयक, दिक्परिवर्तक, कम्यूटेटर","কমিউটেটৰ, কমিউটেটৰ, কমিউটেটৰ"
दिक्परिवर्ती स्विच,পাৰস্পৰিক চুইচ
कोमॉल,কোমোল
मिक्ष स्वर,মিশ্ৰিত সুৰ
कम्पेक्ट्रान,কম্পেক্টন
संपीड-प्रसारण,কম্প্ৰেছন ট্ৰেন্সমিছন
संपीड-प्रसारित्र,কম্প্ৰেছাৰ
"तुलनित्र, कम्पेरेटर","তুলনাকাৰী, তুলনাকাৰী"
तुलनक परिपथ,তুলনাকাৰী বৰ্তনী
तुलना विधि,তুলনা পদ্ধতি
तुलना विधि,তুলনা পদ্ধতি
तुलनक ऐन्टेना,তুলনামূলক এন্টেনা
तुलना सेतु,তুলনামূলক দলং
तुलना एकक,তুলনামূলক একক
आवृतियों की तुलना,কম্পাঙ্কসমূহৰ তুলনা
तुलनाकारी स्पेक्ट्रमदर्शी,তুলনামূলক বৰ্ণালীবিজ্ঞান
तुलना स्पेक्ट्रम,স্পেকট্ৰম তুলনা কৰক
तुलना तारे,তুলনামূলক তৰা
तुलना परीक्षण,তুলনামূলক পৰীক্ষা
"कुतुबनुमा, दिक्सूचक, कम्पास","কম্পাছ, কম্পাছ, কম্পাছ"
कम्पास कार्ड,কম্পাছ কাৰ্ড
कम्पास डायल,কম্পাছ ডায়েল
दिक्सूचक अशुद्धि,সূচকৰ ভুল
"कम्पास उत्तर-कोण, कम्पास मुखदिशा","কম্পাছ উত্তৰ-কোণ, কম্পাছৰ দিশ"
"दिक्सूची, कुतुबनुमा की सुई","দিকলিস্তি, কুতুবনুমাৰ বেজী"
"सुसंगति, संगतता, निषेच्यता, संयोज्यता","সামঞ্জস্যতা, সামঞ্জস্যতা, সামঞ্জস্যতা, সামঞ্জস্যতা"
सुसंगत समीकरण,সুসংহত সমীকৰণ
सुसंगत त्वरण,সামঞ্জস্যপূৰ্ণ ত্বৰণ
सुसंगत रंगीन टेलिविजन,সামঞ্জস্যপূৰ্ণ ৰঙীন টেলিভিছন
सुसंगत एकल पार्श्व बैंड तंत्र,সামঞ্জস্যপূৰ্ণ একক কাষৰ বেণ্ড ব্যৱস্থা
सुसंगत स्टीरियो तंत्र,সুসংহত ষ্টেৰিঅ&#39; ব্যৱস্থা
"क्षतिपूर्ति करना, प्रतिकार करना","ক্ষতিপূৰণ দিয়া, প্ৰতিশোধ লোৱা"
प्रतिकारित प्रत्यावर्तक,কাউণ্টাৰবেলেন্সড অলটাৰেটৰ
प्रतिकारित प्रवर्धक,ক্ষতিপূৰণ দিয়া এম্প্লিফায়াৰ
प्रतिकारित बल,repulsive force
प्रतिकारित पाशदिशा निर्धारक,ঘড়ীৰ কাঁটাৰ বিপৰীত দিশত নিৰ্ণায়ক
प्रतिकारित लोलक,পেণ্ডুলাম প্ৰতিৰোধ কৰা
प्रतिकारित अर्धचालक,ক্ষতিপূৰণকাৰী অৰ্ধপৰিবাহী
प्रतिकारित वोल्टमापी,কাউণ্টাৰবেলেন্সড ভল্টমিটাৰ
प्रतिकारित प्रबलता नियंत्रक,কম্পেন্সেটিং লাউডনেছ কন্ট্ৰ&#39;লাৰ
प्रतिकारित वाटमापी,কাউণ্টাৰবেলেন্সড ৱাটমিটাৰ
प्रतिकारी आधार-दंड,প্ৰতিশোধমূলক গ্ৰাউণ্ড পেনাল্টি
प्रतिकारी अशुद्धि,শুদ্ধতা ক্ষতিপূৰণ কৰা
प्रतिकारी घटबढ़,কাউণ্টাৰভেইলিং মেনিপুলেচন
प्रतिकारी प्रणायक,প্ৰতিকাৰৰ ব্যৱস্থা
प्रतिपूरण जाल,ক্ষতিপূৰণ নেট
प्रतिकारी प्लेट,ক্ষতিপূৰণ দিয়া প্লেট
"क्षतिपूर्ति, प्रतिकार, प्रतिपूरण","ক্ষতিপূৰণ, ক্ষতিপূৰণ, ক্ষতিপূৰণ"
प्रतिकारित सूर्य विकिरण मापी,প্ৰতিফলিত সূৰ্য্যৰ বিকিৰণ জুখিলে
प्रतिकारी सिग्नल,ক্ষতিপূৰণ সংকেত
प्रतिकार प्रमेय,ৰেজিষ্টেন্স উপপাদ্য
प्रतिकारित्र,প্ৰতিকাৰৰ ব্যৱস্থা
प्रतिकारी प्रक्षेय,প্ৰতি-উদ্দেশ্য
"संकलन, अनुभाषण","সংকলন, ব্যাখ্যা"
संकलन चार्ट,সংকলন চাৰ্ট
संकलन सामग्री,সংগ্ৰহ সামগ্ৰী
"संकलन, अनुभाषण","সংকলন, ব্যাখ্যা"
"अनुभाषक, संकलक","দোভাষী, কম্পাইলাৰ"
अनुभाषण भाषा,ভাষাৰ ব্যাখ্যা কৰা
अनुभाषण,ব্যাখ্যা
पूरक परिवर्तित्र,পৰিপূৰক ৰূপান্তৰক
पूरकता,পৰিপূৰকতা
पूरकता,পৰিপূৰকতা
पूरक त्वरण,পৰিপূৰক ত্বৰণ
पूरक योग,পৰিপূৰক যোগ
पूरक कोण,পৰিপূৰক কোণ
पूरक ऐन्टेना,পৰিপূৰক এন্টেনা
पूरक आधार,পৰিপূৰক ভিত্তি
पूरक वर्णकता,পৰিপূৰক ৰং
पूरक रंग,পৰিপূৰক ৰং
पूरक घटना,পৰিপূৰক পৰিঘটনা
पूरक फिल्टर,পৰিপূৰক ফিল্টাৰ
पूरक जीन,পৰিপূৰক জিন
पूरक सामंजस्य,পৰিপূৰক সমন্বয়
पूरक ट्रांजिस्टर,পৰিপূৰক ট্ৰেঞ্জিষ্টৰ
पूरित जालक,পৰিপূৰক জালি
पूर्ण,সম্পূৰ্ণ কৰা
पूर्ण संकलक,সম্পূৰ্ণ কম্পাইলাৰ
पूर्ण विश्लेषण,সম্পূৰ্ণ বিশ্লেষণ
संपूर्ण हासिल,সম্পূৰ্ণ লাভ
पूर्ण समृद्धि,সম্পূৰ্ণ সমৃদ্ধি
पूर्ण जालक,সম্পূৰ্ণ জালি
पूर्ण विदारण,সম্পূৰ্ণ ভাঙি যোৱা
संपूरित कोश,সম্পূৰ্ণ কোষ
"सम्मिश्र, संकुल, जटिल, जटिल संघ, जटिल शैलसंघ","জটিল, জটিল, জটিল, জটিল সংঘ, জটিল শিলৰ সংযোগ"
सम्मिश्र प्रवेश्यता,সংমিশ্ৰিত অনুপ্ৰৱেশ
जटिल परमाणु,জটিল পৰমাণু
जटिल कैथोड,জটিল কেথ&#39;ড
सम्मिश्र अभिलक्षणिक फलन,জটিল বৈশিষ্ট্যপূৰ্ণ ফলন
सम्मिश्र अनुवृत्ति,জটিল অনুসৰণ
सम्मिश्र अचर,জটিল ধ্ৰুৱক
सम्मिश्र युग्मन,কম্পোজিট কাপলিং
जटिल आँकड़े,জটিল তথ্য
सम्मिश्र परावैद्युतांक,কম্পোজিট ডাইলেক্ট্ৰিক সূচকাংক
सम्मिश्र विस्थापन,সংমিশ্ৰিত বিচ্যুতি
सम्मिश्र प्रदर्श,কম্পোজিট প্ৰদৰ্শন
जटिल भ्रंश,জটিল দোষ
सम्मिश्र आवृति,কম্পোজিট ফ্ৰিকুৱেন্সি
सम्मिश्र फलन,জটিল ফলন
सम्मिश्र प्रतिबाधा,কম্পোজিট ইম্পিডেন্স
सम्मिश्र अपवर्तनांक,সংমিশ্ৰিত বিবৰ্তন সূচকাংক
जटिल क्रियाविधि,জটিল ব্যৱস্থা
सम्मिश्र मापांक,কম্পোজিট মডুলাছ
सम्मिश्र एकवर्णी घटक,জটিল একৰঙী উপাদান
मिश्र स्वर,মিশ্ৰিত সুৰ
सम्मिश्र संख्या,জটিল সংখ্যা
सम्मिश्र संकारक,জটিল অপাৰেটৰ
सम्मिश्र समतल,কম্পোজিট প্লেন
सम्मिश्र विभव,সংমিশ্ৰিত বিভৱ
सम्मिश्र विभव कूप मॉडल,কম্পোজিট বিভৱ ক্যুপ মডেল
सम्मिश्र राशि,জটিল যোগফল
सम्मिश्र विकिरण,সংমিশ্ৰিত বিকিৰণ
सम्मिश्र अपवर्तनांक,সংমিশ্ৰিত বিবৰ্তন সূচকাংক
सम्मिश्र प्रतिरोध,কম্পোজিট ৰেজিষ্টেন্স
सम्मिश्र परिणामी,সংমিশ্ৰিত ফলাফল
सम्मिश्र संरचना,সংমিশ্ৰিত গঠন
"सम्मिश्र प्रदिश क्षेत्र, सम्मिश्र टेन्सर क्षेत्र","কম্পোজিট টেনছৰ এৰিয়া, কমপ্লেক্স টেনছৰ এৰিয়া"
सम्मिश्र एकक,জটিল একক
सम्मिश्र चर,জটিল চলক
सम्मिश्र वेग,সংমিশ্ৰিত বেগ
सम्मिश्र वेग घटक,সংমিশ্ৰিত বেগ উপাদান
सम्मिश्र तरंग,সংমিশ্ৰিত তৰংগ
सम्मिश्र तरंग जनित्र,কম্পোজিট তৰংগ উৎপাদক
सम्मिश्र तरंग संख्या,জটিল তৰংগ সংখ্যা
जटिल जीमान प्रभाव,জটিল zeeman প্ৰভাৱ
संरूप,ফৰ্মেট
संकुल आयन,জটিল আয়ন
अनुवृति,খতিয়ান লোৱা
अनुवृति स्थिरांक,উত্তৰাধিকাৰ ধ্ৰুৱক
"जटिल लघु चित्र, जटिल शाट","জটিল ক্ষুদ্ৰচিত্ৰ, জটিল শ্বট"
"घटक, संबदध घटक","উপাদান, সম্পৰ্কীয় উপাদান"
घटक विश्लेषण,উপাদান বিশ্লেষণ
घटक परमाणु,গঠনকাৰী পৰমাণু
घटक पूरक विफलता,উপাদান পৰিপূৰক বিফলতা
घटक आश्रित विफलता,উপাদান নিৰ্ভৰশীল বিফলতা
घटक विस्थापन,উপাদানৰ বিচ্যুতি
घटक समीकरण,উপাদান সমীকৰণ
अवयव घटना,উপাদান ইভেন্ট
घटक अनाश्रित विफलता,উপাদান নিৰ্ভৰশীল বিফলতা
विस्थापन-घटक,বিচ্যুতি কাৰক
अन्योन्यक्रिया घटक,পাৰস্পৰিক ক্ৰিয়াৰ উপাদান
अदिश-घटक,স্কেলাৰ উপাদান
प्रतिबल-घटक,মানসিক চাপৰ কাৰক
प्रदिश-घटक,স্কেলাৰ উপাদান
प्रसरण-घटक,ভ্যাৰিয়েন্স ফ্যাক্টৰ
सदिश-घटक,ভেক্টৰ উপাদান
वेग-घटक,বেগ গুণক
घटक प्रक्षेप,উপাদান প্ৰক্ষেপণ
घटक संश्लेषण,উপাদান সংশ্লেষণ
घटकांशी विफलता,কাৰক বিফলতা
मिश्र ऐनोड,মিশ্ৰণ এনোড
संयुक्त दंड,যৌথ শাস্তি
मिश्र केबल,মিশ্ৰণ কেবল
संयुक्त परिपथ,সংযুক্ত বৰ্তনী
मिश्र वर्ण सिग्नल,মিশ্ৰিত আখৰৰ সংকেত
मिश्र प्रभ्रंश,মিশ্ৰিত দোষ
संघटित इलेक्ट्रोड,সংযুক্ত ইলেক্ট্ৰ&#39;ড
"संयुक्त घटना, मिश्र घटना","সংযুক্ত ইভেন্ট, মিশ্ৰিত ইভেন্ট"
संयुक्त फ़िल्टर,কম্পোজিট ফিল্টাৰ
मिश्र जालक,মিশ্ৰণ জালি
मिश्र माडुलन वोल्टता,এলয় মডুলেচন ভোল্টেজ
मिश्र चित्र,মিশ্ৰিত ছবি
मिश्र चित्र सिग्नल,মিশ্ৰিত ছবি সংকেত
मिश्र प्रक्षेप,কম্পোজিট প্ৰজেকচন
मिश्र स्पंद,মিশ্ৰিত নাড়ী
मिश्र व्युत्क्रम जालक,মিশ্ৰিত বিপৰীত জালি
"संग्रथित शाट, संग्रथित लघुचित्र","মন্টেজ শট, মন্টেজ ক্ষুদ্র"
मिश्र स्पेक्ट्रम,এলয় স্পেকট্ৰম
मिश्र तुल्यकालन,মিশ্ৰিত সমন্বয়
संयुक्त यमल,ইউনাইটেড য়ামল
मिश्र वीडियो सिग्नल,মিশ্ৰণ ভিডিঅ&#39; সংকেত
"संयोजन, रचना, संघटन","ৰচনা, ৰচনা, ৰচনা"
त्वरण का संयोजन नियम,ত্বৰণৰ সংমিশ্ৰণ নিয়ম
युग्म-संयोजन,যোৰ কৰা
बल-संयोजन,বলৰ সংমিশ্ৰণ
सदिश-संयोजनन,ভেক্টৰ সংমিশ্ৰণ
सम्मिश्र चालक,কম্পোজিট ড্ৰাইভাৰ
"मिश्र, आमिश्र, संयुक्त, विवृत्त","মিশ্ৰিত, মিশ্ৰিত, সংযুক্ত, মুকলি"
संयुक्त दंड,যৌথ শাস্তি
संयुक्त ज्वालक,যৌগিক প্ৰজ্বলক
यौगिक परिपथ,যৌগিক বৰ্তনী
संयुक्त क्रिस्टल,কম্পোজিট স্ফটিক
मिश्र प्रभ्रंश,মিশ্ৰিত দোষ
"यौगिक इंजन, द्विपदी इंजन","যৌগিক ইঞ্জিন, বাইনোমিয়াল ইঞ্জিন"
मिश्र भिन्न,মিশ্ৰিত ভগ্নাংশ
मिश्र बारंबारता बंटन,মিশ্ৰিত কম্পাঙ্ক বিতৰণ
"मिश्र फलन, संयुक्त फलन","যৌগিক ফলন, যৌগিক ফলন"
यौगिक जनित्र,যৌগিক জেনেৰেটৰ
"संयुक्त शृंग, यौगिक शृंग","যৌগিক শিং, যৌগিক শিং"
संयुक्त व्यतिकरणमापी,কম্পোজিট ইন্টাৰফেৰ&#39;মিটাৰ
मिश्र जालक,মিশ্ৰণ জালি
संयुक्त लेन्स,কম্পোজিট লেন্স
"संयुक्त उत्तोलक, संयुक्त लीवर","সংযুক্ত লিভাৰ, সংযুক্ত লিভাৰ"
संयुक्त सूक्ष्मदर्शी,যৌগিক মাইক্ৰস্কোপ
मिश्र माडुलन,মিশ্ৰিত মডুলেচন
यौगिक मोटर,যৌগিক মটৰ
मिश्र स्वर,মিশ্ৰিত সুৰ
"संयुक्त नाभिक, संलयज नाभिक","সংযুক্ত নিউক্লিয়াছ, সংযোজন নিউক্লিয়াছ"
संलयनी न्यूक्लियस मॉडल,সংযোজনীয় নিউক্লিয়াছ মডেল
मिश्र संख्या,মিশ্ৰিত সংখ্যা
मिश्र संक्रिया,মিশ্ৰিত অপাৰেচন
"असरल लोलक, पिंड लोलक",asral পেণ্ডুলাম
संयुक्त प्रकाश-विद्युत् प्रभाव,সংযুক্ত আলোকবিদ্যুৎ প্ৰভাৱ
संयुक्त पट्ट,যৌথ বৰ্ড
यौगिक टरबाइन,যৌগিক টাৰ্বাইন
मिश्र कुंडली,মিশ্ৰ কুণ্ডলী
मिश्र कुंडलित,মিশ্ৰণৰ কুণ্ডলী
संयुक्त ट्रान्जिस्टर,সংযুক্ত ট্ৰেঞ্জিষ্টৰ
संयुक्त प्रत्यास्थ परिक्षेत्र,সংযুক্ত ইলাষ্টিক পৰিসৰ
संयोजित वेग,সংযুক্ত বেগ
"प्रदिशों का संयोजन, टेन्सरों का संयोजन","টেৰিটৰীৰ সংমিশ্ৰণ, টেনছৰৰ সংমিশ্ৰণ"
वेग-संयोजन,বেগৰ সংমিশ্ৰণ
संपीज (सं.) संपीडन (क्रि.),সংকোচন (সম্পা.) সংকোচন (v.)
संपीडित,সংকোচিত কৰা হৈছে
संपीजित काय,সংকোচিত শৰীৰ
संपीजित गैस,সংকোচিত গেছ
संपीडयता,সংকোচন ক্ষমতা
संपीडयता संशोधन,সংকোচন ক্ষমতা পৰিৱৰ্তন
संपीडयता गुणांक,সংকোচন সহগ
संपीड्यता गुणांक,সংকোচন সহগ
संपीडय,সংকোচন
संपीडय पिंड,সংকোচনযোগ্য শৰীৰ
संपीडय प्रवाह,সংকোচনশীল প্ৰবাহ
संपीडय प्रक्षोभ,কম্প্ৰেছিভ টাৰ্বুলেন্স
संपीडक मशीन,কম্প্ৰেছাৰ মেচিন
संपीडन,সংকোচন
संपीडन सीमा,সংকোচন সীমা
संपीडन विधा,সংকোচন ধৰণ
संपीडन रिवेट,কম্প্ৰেছন ৰিভেট
संपीडन विकृति,সংকোচন বিকৃতি
संपीडन प्रतिबल,সংকোচন চাপ
संपीडन चरण,সংকোচন পৰ্যায়
संपीडन प्रणाली,সংকোচন ব্যৱস্থা
संपीडन बल,সংকোচন বল
संपीडन सिद्धान्त,সংকোচন নীতি
संपीडक बल,সংকোচন বল
संपीडन विकृति,সংকোচন বিকৃতি
संपीडन प्रतिबल,সংকোচন চাপ
संपीडन पराभव बल,সংকোচন ড্ৰপ বল
