Bengali,Punjabi
চাষকারী,ਕਾਸ਼ਤਕਾਰ
চাষ,ਕਾਸ਼ਤ
কৃষক,ਕਾਸ਼ਤਕਾਰ
সংস্কৃতি,ਸਭਿਆਚਾਰ
নিরাময়,ਕਰਿੰਗ
কার্লিং,ਕਰਲਿੰਗ
মুদ্রা,ਮੁਦਰਾ
কিউটিকাল,ਕਟੀਲ
কাটা,ਕੱਟਣਾ
সিস্ট,ਗੱਠ
সাইটোক্রোম,Cytochromo
সাইটোগ্যামি,ਸਾਈਨੋਗਮੀ
সাইটোজেনেসিস,Cytegeenesis
সাইটোজেনেটিক্স,ਸਾਇਟਾਈਜਨੇਟਿਕ
সাইটোকাইনেসিস,ਸਾਇਟੋਕਿਨੇਸਿਸ
সাইটোলজি,ਸਾਇਟੋਲੋਜੀ
সাইটোলাইসিস,ਸਾਈਂਟਾਈਸਿਸ
সাইটোমির,ਸਾਇਟੋਮਰੇ
সাইটোপ্লাজম,ਸਾਇਟੋਪਲਾਜ਼ਮ
বাঁধাকপি,ਪੱਤਾਗੋਭੀ
ক্যাকটাস,ਕੈਕਟਸ
ক্যালেন্ডুলা,ਕੈਲੰਡੁਲਾ
ক্যানারি ঘাস (ফালারিস),ਕੈਨਰੀ ਘਾਹ (ਤਾਰੀਆਂ)
ক্যানা,ਕੈਨਨਾ
ক্যাপারি,ਕੈਪਾਰਿਸ
ক্যাপসিকাম,ਕੈਪਸਿਕਮ
ক্যারামবোলা,ਕੈਰਮਬੋਲਾ
ক্যারপা,ਕੈਰਾਪਾ
এলাচ,ਕਾਰਡਮੋਮ
কার্নেশন,ਕੈਰੇਸ਼ਨ
গাজর,ਗਾਜਰ
হিজলি বাদাম,ਕਾਜੂ ਗਿਰੀ
ক্যাসিয়া,ਕਾਸੀਆ
ক্যাস্টর,ਕੈਸਟਰ
ফুলকপি,ਫੁੱਲ ਗੋਭੀ
সেলারি,ਅਜਵਾਇਨ
চ্যাম্প্যাক,ਚੈਂਪੈਕ
চেনোপোডিয়াম,ਚੇਨੋਪੋਡੀਅਮ
চেরি টমেটো,ਚੈਰੀ ਟਮਾਟਰ
চেরি,ਚੈਰੀ
"ছোলা, গ্রাম","Chickpea, ਗ੍ਰਾਮ"
মরিচ,ਮਿਰਚ
চীন টারপেনটাইন গাছ,ਚਾਈਨਾ ਟਰਪੇਨਟੀਨ ਟ੍ਰੀ
কুকুর কুকুর,ਚੋ-ਚੋਅ
ক্রিস্যান্থেমাম,ਕ੍ਰਾਈਸੈਂਥੇਮਮ
"চুফা, পৃথিবী বাদাম","ਚੁਫੀਆ, ਧਰਤੀ ਦਾ ਬਦਾਮ"
সিচরি,ਸਿਖਾਂ
দারুচিনি,ਦਾਲਚੀਨੀ
সিট্রন,ਸਿਟਰਨ
সিট্রোনেলা ঘাস,ਸਿਟਰੋਨਲਾ ਘਾਹ
জেসমিন আরোহণ,ਜਸਮੀਨ ਚੜ੍ਹਨਾ
লবঙ্গ,ਲੌਂਗ
ক্লাস্টার বিন,ਕਲੱਸਟਰ ਬੀਨ
কোকো,ਕੋਕੋ
নারকেল,ਨਾਰੀਅਲ
কফি,ਕਾਫੀ
কোলিয়াস,ਕੋਲੇਸ
কলোকাসিয়া,ਕੋਲੋਕੈਸੀਆ
"কলোকিন্থ, তিক্ত আপেল","ਕੋਲੋਸੀਥਾ, ਕੌੜਾ ਐਪਲ"
সাধারণ পার্সেলেন,ਆਮ ਸੇਵਾ
ধনে,ਧਨੀਆ
সুতি,ਸੂਤੀ
কাউপিয়া,ਕਾਵਾਂ
কিউব,ਕੁਬੇਬ
শসা,ਖੀਰਾ
Cucubits,ਖਰਕੀ
জিরা,ਜੀ
কারি পাতা,ਕਰੀ ਪੱਤੇ
আতা,ਕਸਟਾਰਡ ਐਪਲ
ক্যাপসুল বোরার,ਕੈਪਸੂਲ ਬੋਰਰ
ক্যাটারপিলার,ਕੈਟਰਪਿਲਰ
সাইট্রাস সাইক্ল্লা,ਨਿੰਬੂ ਸਾਈਂ
ক্রিকেট,ਕ੍ਰਿਕੇਟ
কাক,ਕਾਂ
কাটা কৃমি,ਕੀੜਾ ਕੱਟੋ
দুগ্ধ,ਡੇਅਰੀ
ডেয়ারিং,ਡੇਅਰੀ
বাঁধ,ਡੈਮ
দিন-নিরপেক্ষ,ਦਿਵਸ ਨਿਰਪੱਖ
ফুলের পরে দিন,ਫੁੱਲ ਆਉਣ ਤੋਂ ਬਾਅਦ
পুরো পুষ্প পরে দিন,ਪੂਰੇ ਖਿੜ ਦੇ ਬਾਅਦ ਦਿਨ
ডিব্লোসোমিং,ਡੀਬਲੋਸੋਮਿੰਗ
ডিক্যালসিফিকেশন,ਅਸਵੀਕਾਰ
ডিক্যান্ট,ਫੈਸਲਾ
ক্ষয়,ਵਿਗਾੜ
পাতলা,ਪਤਝੜ
দশমিক,ਦਸ਼ਮਲਵ
স্বল্পতা,ਘਾਟ
ডিফলোকুলেশন (মাটি),ਡੀਫਲੋਕੁਲੇਸ਼ਨ (ਮਿੱਟੀ)
Defloration,ਬਦਨਾਮੀ
ডিফোলিয়েশন,ਹੱਤਿਆ
বন নিধন,ਕਟਾਈ
অবক্ষয়,ਡੀਜਨਰੇਸ਼ਨ
অবক্ষয়,ਨਿਘਾਰ
ডিগ্রি দিন,ਡਿਗਰੀ ਦਿਨ
ডিগ্রি,ਡਿਗਰੀ
ডিহেসেন্স,ਡੀਹਿਸੈਂਸ
ডিহুলিং,ਦਹੁਣਾ
ডিহুসিং,ਡੀਹੁਸਕਿੰਗ
পানিশূন্যতা,ਡੀਹਾਈਡਰੇਸ਼ਨ
ডিহাইড্রেটর,ਡੀਹਾਈਡਰੇਟਰ
চাহিদা,ਮੰਗ
অবনতি,ਗਿਰਾਵਟ
অস্বীকার,ਘਟਨਾਵਾਂ
আমানত,ਜਮ੍ਹਾ
জবানবন্দি,ਜਮ੍ਹਾ
অবমূল্যায়ন বিচ্ছিন্নকরণ,ਕਮੀ
বিশৃঙ্খলা,Desiccation
নকশা,ਡਿਜ਼ਾਇਨ
ডেসিসেটর,ਡੈਸੀਕੇਟਰ
গন্তব্য,ਨਿਰਧਾਰਤ
Desuckering,ਡਿਸਿਕਰਿੰਗ
Desynapsis,Desynapis
ডেটাসেল,ਡੈਟਾਸਲ
ডিটাসেলিং,ਡੀਟਾਸਿੰਗ
নির্ধারক,ਨਿਰਧਾਰਤ
অবমূল্যায়ন,ਦੀ ਘਾਟ
দেভেজেটেশন,ਠਹਿਰਾਓ
বিচ্যুতি,ਭਟਕਣਾ
ডায়াড,ਡਿਆਡ
রোগ নির্ণয়,ਨਿਦਾਨ
Dichogamy,ਦੁਚਰਾ
দ্বৈতত্ত্ব,Dichotomy
ডিকোটাইলডন (বীজ),ਡਿਕੋਟਾਈਲਡਨ (ਬੀਜ)
ফিরে মারা (রোগ),ਮਰ ਜਾਓ (ਬਿਮਾਰੀ)
বিচ্ছুরণ,ਫੈਲਾ
হজমতা,ਪਾਚਨਤਾ
ডিহাইব্রিড,ਡਾਇਲਬ੍ਰਿਡ
ডাইক (ডাইক),ਡਾਈਕ (ਡਾਈਕ)
পাতলা,ਪਤਲਾ
ডাইওসিয়াস,Dioeous
ডিপ্লোড,ਡਿਪਲੋਇਡ
ডিপ্লোড,ਡਿਪਲੋਇਡ
ডিপ্লোনেমা,ਡਿਪਲੋਨੀਮਾ
অসন্তুষ্টি,ਡਿਸਬੋਡਿੰਗ
ডিস্কিং,ਡਿਸਕਿੰਗ
ছাড়,ਛੂਟ
নির্বীজন,ਰੋਗਾਣੂ-ਮੁਕਤ
বিচ্ছুরণ,ਫੈਲਾਅ
প্রচার,ਪ੍ਰਸਾਰ
বৈচিত্রতা,ਵਿਭਿੰਨਤਾ
বিবিধ কৃষিকাজ,ਵਿਭਿੰਨਤਾ
ডিএনএ মই,ਡੀ ਐਨ ਏ ਪੌੜੀ
ডিএনএ রিসেপ্টর,ਡੀ ਐਨ ਏ ਰੀਸੈਪਟਰ
ডকেজ,ਡੋਕੇਜ
প্রভাবশালী,ਪ੍ਰਭਾਵਸ਼ਾਲੀ
সুপ্ততা,ਸੁਸਤ
ডোজ,ਖੁਰਾਕ
ডাবল সিগময়েড বক্ররেখা,ਡਬਲ ਸਿਗੋਮਾਈਡ ਕਰਵ
খসড়া (খসড়া),ਡਰਾਫਟ (ਡਰਾਫਟ)
ড্রেন,ਡਰੇਨ
নিকাশী,ਡਰੇਨੇਜ
অঙ্কন,ਡਰਾਅ ਕਰੋ
ভিজে যাওয়া,ਖਾਈ
ড্রেসিং (বীজ),ਡਰੈਸਿੰਗ (ਬੀਜ)
ড্রিল (এন।),ਮਸ਼ਕ (ਐਨ.)
ড্রিলিং (এজি। ইঞ্জিন),ਡ੍ਰਿਲਿੰਗ (ਏਜੀ. ਇੰਜੀਨੀਅਰ)
ড্রিলিং (কৃষি),ਡ੍ਰਿਲੰਗ (ਖੇਤੀਬਾੜੀ)
ড্রিপ সেচ,ਡਰਿਪ ਸਿੰਚਾਈ
শুকনো কৃষিকাজ,ਡ੍ਰਾਇਵਲੈਂਡ ਖੇਤੀ
ধুলো,ਧੂੜ
ডাস্টার,ਡੱਸਟਰ
ধুলাবালি,ਧੂੜ
বামন,ਬੌਨੇ
বামন পিরামিড,Dwarf ਪਿਰਾਮਿਡ
বামন,Dwarfing
ডেইজি,ਡੇਜ਼ੀ
তারিখ,ਤਾਰੀਖਾਂ
ডে জেসমিন,ਦਿਨ ਜੈਸਮੀਨ
ডিল,ਡਿਲ
দিননাথ ঘাস,ਦੀਨਨਾਥ ਘਾਹ
ডড্ডার,ਡੂਡਡਰ
"ডুব ঘাস, বারমুডা ঘাস","ਡੂਬ ਘਾਹ, ਬਰਮੁਡਾ ਘਾਹ"
ড্রুস,ਬਰੂਸ
শুকনো আদা,ਸੁੱਕੇ ਅਦਰਕ
ডিফোলিয়েটিং বিটল,ਮੋਹਰਿੰਗ ਬੀਟਲ
ড্রোন,ਡਰੋਨ
হাঁস,ਬਤਖ਼
বাস্তুশাস্ত্র,ਵਾਤਾਵਰਣ
একনোমেট্রিক্স,Econometrics
অর্থনৈতিক দক্ষতা,ਆਰਥਿਕ ਕੁਸ਼ਲਤਾ
ইকোটাইপ,ਈਕੋਟਾਈਪ
অ্যাক্টোট্রফিক,ਐਲੀਕਟ੍ਰੋਫਿਕ
এড্যাফিক,ਏਡੋਫੇਿਕ
এড্যাফোলজি,ਐਡੀਫੋਲੋਜੀ
এজিং,ਐਡਜਿੰਗ
ভোজ্য অংশ,ਖਾਣ ਵਾਲੇ ਹਿੱਸੇ
চাহিদার স্থিতিস্থাপকতা,ਮੰਗ ਦੀ ਲਚਕਤਾ
উত্পাদন স্থিতিস্থাপকতা,ਉਤਪਾਦਨ ਦੀ ਲਚਕਤਾ
বৈদ্যুতিন বিশ্লেষণ,ਇਲੈਕਟ੍ਰੋਲੋਸਿਸ
ইলেক্ট্রোফোরসিস,ਇਲੈਕਟ੍ਰੋਫੋਰੇਸਿਸ
এলিউভিয়েশন,ਕਪੜੇ
ইমাসকুলেটর,Emasculator
এম্ব্যাঙ্কিং,ਤੇਜ਼
ভ্রূণ,ਭਰੂਣ
ভ্রূণতত্ত্ব,ਭਰੂਣ
উত্থান,ਉਭਰਨ
ইমুলিফায়ার,ਇਮਲਸੀਫਾਇਰ
অন্তঃসত্ত্বা,ਐਂਡੋਜੇਨਸ
এন্ডোমিটোসিস,ਹੋਂਦ
এন্ডোপারাসাইট,ਨਿਰਦੋਪਿਤ
এন্ডোস্পার্ম,ਐਂਡੋਸਪਰਮ
এন্টারপ্রাইজ,ਉੱਦਮ
এনটমোলজি,ਐਂਡੋਮੋਲੋਜੀ
পরিবেশ,ਵਾਤਾਵਰਣ
এনজাইম,ਪਾਚਕ
এপিকোটাইল গ্রাফটিং,ਐਪੀਸੋਤੀਲ ਗ੍ਰਾਫਟਿੰਗ
এপিফাইট,ਐਪੀਫਾਈਟ
ইক্যুইটি,ਇਕੁਇਟੀ
নির্মূল,ਖਾਤਮੇ
অত্যাবশ্যক পুষ্টি,ਜ਼ਰੂਰੀ ਪੌਸ਼ਟਿਕ ਤੱਤ
অনুমান,ਅਨੁਮਾਨ
Itiolation,ਈਟੀਓਲੇਸ਼ਨ
ইউজেনিক,ਯੂਗੇਨਿਕ
মূল্যায়ন,ਮੁਲਾਂਕਣ
বাষ্পীভবন,ਈਵੈਪੋਮੀਟਰ
বাষ্পী-স্থানান্তর,ਈਵੋ-ਟ੍ਰਾਂਸਪਿ .ਸ਼ਨ
চিরসবুজ বিপ্লব,ਸਦਾਬਹਾਰ ਇਨਕਲਾਬ
চিরসবুজ,ਸਦਾਬਹਾਰ
বিবর্তন,ਵਿਕਾਸ
আবগারি,ਆਬਕਾਰੀ
ক্লান্তি (উর্বরতা),ਥਕਾਵਟ (ਜਣਨ)
শোষণ,ਸ਼ੋਸ਼ਣ
অনুসন্ধান,ਖੋਜ
এক্সট্রুশন,ਬਾਹਰ ਕੱ .ਣ
চোখ (সুগারকেন/আলু),ਅੱਖ (ਸੋਗਕੈਨ / ਆਲੂ)
ভোজ্য পাইন,ਖਾਣ ਵਾਲੇ ਪਾਈਨ
"হাতি পা, ইয়াম","ਹਾਥੀ ਪੈਰ, ਯਮ"
ইউক্যালিপটাস,ਯੁਕਲਿਪਟਸ
কেঁচো,ਧਰਤੀ ਦਾ ਕੀੜਾ
এনটমোলজিস্ট,ਐਂਟਰੋਲੋਜਿਸਟ
পরিবেশবাদী,ਵਾਤਾਵਰਣਕ
ফ্যাক্টর,ਕਾਰਕ
ফ্যাক্টর উত্পাদনশীলতা,ਕਾਰਕ ਉਤਪਾਦਕਤਾ
ফ্যাক্টরেজ,ਫੈਕਟੋਰੇਜ
ফ্যাক্টরিয়াল ব্লক ডিজাইন,ਫੈਕਟੈਕਟਿਵ ਬਲਾਕ ਡਿਜ਼ਾਈਨ
ফ্যাক্টেটিভ,ਫੈਕਲਟੀਟੇਟਰਟੇਟਰੇਟਿਵ
পতন,ਪਰਦਾ
পরিবার,ਪਰਿਵਾਰ
খামার মূল্যায়ন,ਫਾਰਮ ਮੁਲਾਂਕਣ
খামার বাজেট,ਖੇਤ ਬਜਟ
খামার ব্যবসা,ਖੇਤ ਦਾ ਕਾਰੋਬਾਰ
খামার পরিকল্পনা,ਫਾਰਮ ਦੀ ਯੋਜਨਾਬੰਦੀ
কৃষক,ਕਿਸਾਨ
কৃষিকাজ,ਖੇਤੀ
ফ্যাসিয়েশন,ਸ਼ਮੂਲੀਅਤ
ফেকান্ডেশন,ਧੋਖਾਧੜੀ
গাঁজন,ਫਰਮੈਂਟੇਸ਼ਨ
উর্বরতা,ਜਣਨ
সার,ਖਾਦ
সার ব্যবহারের দক্ষতা,ਖਾਦ ਦੀ ਕੁਸ਼ਲਤਾ
তন্তু,ਰੇਸ਼ੇਦਾਰ
ক্ষেত্র,ਖੇਤਰ
ক্ষেত্রের ক্ষমতা,ਖੇਤਰ ਦੀ ਸਮਰੱਥਾ
ক্ষেত্র প্রদর্শন,ਖੇਤਰ ਪ੍ਰਦਰਸ਼ਨ
স্থিরকরণ,ਨਿਰਧਾਰਤ
বন্যা,ਹੜ੍ਹ
প্রবাহ চিত্র,ਵਹਾਅ ਡਾਇਗਰਾਮ
খাদ্য মান,ਭੋਜਨ ਦਾ ਮੁੱਲ
ঘাস (পশুর),ਚਾਰਾ (ਚਾਰਾ)
পূর্বাভাস,ਭਵਿੱਖਬਾਣੀ
বন। জংগল,ਜੰਗਲ
বনাঞ্চল,ਜੰਗਲਾਤ
ফ্রন্ড,ਫਰੌਡ
ফ্রস্ট প্রতিরোধী,ਠੰਡ ਰੋਧਕ
ফ্রস্ট,ਠੰਡ
হিমায়িত (ফল ও উদ্ভিজ্জ),ਫ੍ਰੋਜ਼ਨ (ਫਲ ਅਤੇ ਸਬਜ਼ੀਆਂ)
ফলস্বরূপ,ਫਰੂਟੇਸ਼ਨ
ফল ড্রপ,ਫਲ ਬੂੰਦ
ফল-সেট (ফল সেটিং),ਫਲ-ਸੈੱਟ (ਫਲ ਸੈਟਿੰਗ)
ধোঁয়াশা,ਧੁੰਦਲੀ
ছত্রাকনাশক,ਫੰਜਾਈਸਾਈਡ
ছত্রাকজনিত,ਮਜ਼ੇਦਾਰ
ছত্রাক,ਫੰਗਸ
ফুরো,Furown
একীকরণ,ਮਿਸ਼ਰਨ
ফুজ,ਫਜ਼
অস্পষ্ট,ਫਜ਼ੀ
"মৌরি, অ্যানিস","ਫੈਨਿਲ, ਅਨੀਸ"
ফেনুগ্রেক,Fenugreek
ডুমুর,ਅੰਜੀਰ
আঙুলের বাজরা,ਫਿੰਗਰ ਬਾਜਰੇ
ফায়ার-ফ্লেমে বুশ,ਅੱਗ-ਲਾਲ ਝਾੜੀ
বনের শিখা,ਜੰਗਲ ਦੀ ਲਾਟ
ফরাসি শিম,ਫ੍ਰੈਂਚ ਬੀਨ
ফ্লা,ਫਲੀ
ফক্স,ਲੂੰਬੜੀ
ফলের মাছি,ਫਲ ਉੱਡਦੇ ਹਨ
গল (হর্ট),Gall (ਹੋਰਟ)
গেমেট,ਗੇਮਟ
বাগান,ਗਾਰਡਨ
গেজ (জল),ਗੇਜ (ਪਾਣੀ)
জিন ব্যাংক,ਜੀਨ ਬੈਂਕ
জিন ট্যাগিং,ਜੀਨ ਟੈਗਿੰਗ
জিনোলজি,ਵਾਹਨ
জেনেটিক মানচিত্র,ਜੈਨੇਟਿਕ ਨਕਸ਼ਾ
জেনেটিক্স,ਜੈਨੇਟਿਕਸ
জিনোম,ਜੀਨੋਮ
জিনোমিক লাইব্রেরি,ਜੀਨੋਮਿਕ ਲਾਇਬ੍ਰੇਰੀ
জিনোমিক্স,ਜੇਨੋਮਿਕਸ
জিনোটাইপ,ਜੀਨੋਟਾਈਪ
জিনোটাইপ,ਜੀਨੋਟਾਈਪ
জেনাস,ਜੀਨਸ
জেনাস,ਜੀਨਸ
জীবাণু,ਕੀਟਾਣੂ
জীবাণু,ਗਠੀਏ
অঙ্কুরোদগম,ਉਗ
জীবাণু,Germpelsm
গিব্বেরেলিক অ্যাসিড,ਗਿਬਬੇਰੀਕਲਿਕ ਐਸਿਡ
জিনিং,ਗਿਲਿੰਗ
গ্লুম,Glumue
আঠালো,ਸ਼ਾਨਦਾਰ
গ্লাইকোলাইসিস,ਗਲਾਈਕੋਲਸਿਸ
Gneiss,ਗਲੇਸ
সোনার বিপ্লব,ਸੁਨਹਿਰੀ ਇਨਕਲਾਬ
গ্রেডিং,ਗਰੇਡਿੰਗ
গ্রাফ্টেড উদ্ভিদ,ਗ੍ਰੈਫਟਡ ਪੌਦਾ
গ্রাফ্ট-ইনমপ্যাটেবল,ਭ੍ਰਿਸ਼ਟਾਚਾਰ-ਅਨੁਕੂਲ
গ্রান্না,ਗ੍ਰਾਨਾ
গ্রানুলেশন,ਗ੍ਰੈਨੂਲੇਸ਼ਨ
সবুজ সার,ਹਰੀ ਖਾਦ
সবুজ বিপ্লব,ਹਰੀ ਕ੍ਰਾਂਤੀ
বৃদ্ধি এবং উন্নয়ন,ਵਿਕਾਸ ਅਤੇ ਵਿਕਾਸ
গুমোসিস,ਗਮਮੋਸਿਸ
Gynodioecious,Gynovioleive
গল বাদাম,ਗੈਲ ਗਿਰੀ
রসুন,ਲਸਣ
জেরবেরা,ਗਰਬੀਰਾ
ঘেরকিন,Gherkin
আদা,ਅਦਰਕ
গ্ল্যাডিওলাস,ਗਲੇਡੀਓਲਸ
ছাগলের আগাছা (আগেরেটাম),ਬਕਰੀ ਬੂਟੀ (ਏਜਰਾਥਮ)
আঙ্গুর,ਚਕੋਤਰਾ
আঙ্গুর,ਅੰਗੂਰ
সবুজ ছোলা,ਹਰੀ ਗ੍ਰਾਮ
গ্রুইয়া,ਗ੍ਰੇਵੀਆ
চিনাবাদাম,ਗਰਾਉਂਡ
পেয়ারা,ਹਰੂਦ
গিনি ঘাস,ਗਿੰਨੀ ਘਾਹ
গ্যাল মিড,ਗੈਲ ਮਿਜ
ঘাস হপার,ਘਾਹ ਹੌਪਰ
গুন্ডি বাগ,ਗੁੰਡ ਦਾ ਬੱਗ
অভ্যাস,ਆਦਤ
শিলাবৃষ্টি,ਗੜੇ
হেয়ারভেচ,ਵਾਲਾਂ ਵਾਲੇ
হ্যালোফাইট,ਹੈਲੋਫਾਈਟ
হ্যারো,ਹੈਰੋ
ফসল সূচক,ਵਾ vest ੀ ਦਾ ਇੰਡੈਕਸ
ফসল,ਵਾਢੀ
ফসল কাটা,ਕਟਾਈ
হ্যাচ,ਹੈਚ
খড়,ਸੁੱਕਾ ਘਾਹ
হেইলজ,ਹੇਲੇਜ
হেইস্টক,ਹਾਇਸਟੌਕ
ধোঁয়াশা,ਹੇਜ਼
আড়ম্বরপূর্ণ,ਹੁਸ਼ੀ
মাথা (কৃষি),ਸਿਰ (ਐਗਰੋ)
মাথা (চ্যানেলের),ਸਿਰ (ਚੈਨਲ ਦਾ)
পিছনে মাথা,ਵਾਪਸ ਜਾ ਰਿਹਾ ਹੈ
হেজ,ਹੇਜ
হেজিং,ਹੇਜਿੰਗ
হেলিক্স,ਹੇਲਿਕਸ
হেমাটাইট,ਹੇਮੇਟਾਈਟ
ভেষজ,ਹਰਬ
হার্বেরিয়াম,ਹਰਬਰਿਅਮ
হার্বিসাইড,ਹਰਬੀਸਾਈਡ
বংশগততা,ਧਾਰਕ
হেরেটিবিলিটি,ਇਸ ਨੂੰ
হার্মাফ্রোডাইট,ਹਰਮਫ੍ਰੋਡਾਈਟ
হিটারোক্রোমেটিক,ਹੇਟਰੋਕ੍ਰੋਮੋਮੇਟਿਕ
হেটেরোফেরটিলাইজেশন,ਹੇਟਰੋਫਰੀਕਰਨ
হিটারোসিস,ਹੇਟਰੋਸਿਸ
হেটেরোসোম,ਹੇਟਰੋਸੋਮ
হিটারোট্রফ,ਹੇਟਰੋਟ੍ਰੋਫ
হেক্সাপ্লয়েড,ਹੇਕਸਾਪਲਾਈਡ
হাইবারনেট,ਹਾਈਬਰਨੇਟ
উচ্চ ঘনত্ব রোপণ,ਉੱਚ ਘਣਤਾ ਲਾਉਣਾ
পাহাড় (চাল),ਪਹਾੜੀ (ਚਾਵਲ)
হিস্টোগ্রাম,ਹਿਸਟੋਗ੍ਰਾਮ
হিটেক হর্টিকালচার,ਹਿਟਚ ਬਾਗਬਾਨੀ
মুরগি,ਛਪਾਕੀ
হোয়িং,ਹੋਇਿੰਗ
ধারণ,ਹੋਲਡਿੰਗ
হোম ফার্ম,ਘਰ ਫਾਰਮ
হোমিওস্টেসিস,ਹੋਮਸੋਸਟਾਸਿਸ
হোমস্টেড,ਹੋਮਸਸਟੇਡ
সমজাতীয়তা,ਹੋਮਜਿਗੈਨਿਟੀ
সমজাতীয়,ਇਕੋ
হোমোলজাস,ਹੋਮੋਗਸ
হোমোজাইগোট,ਹੋਮੋਜ਼ੀਗੋਟ
হপার,ਹੌਪਰ
দিগন্ত,ਹਰੀਜੋਨ
উদ্যানতাত্ত্বিক ফসল,ਬਾਗਬਾਨੀ ਫਸਲਾਂ
উদ্যানতত্ত্ব,ਬਾਗਬਾਨੀ
হর্টি-সিলভি যাজকীয় কৃষিকাজ,ਹਾਰਟੀ-ਸਿਲਵੀ ਪੇਸਟੋਰਲ ਫਾਰਮਿੰਗ
হোস্ট,ਹੋਸਟ
গরম জল চিকিত্সা,ਗਰਮ ਪਾਣੀ ਦਾ ਇਲਾਜ
হাল,ਹੌਲ
আর্দ্রতা,ਨਮੀ
হুমাস,Humus
হুস্ক,ਭੁੱਕੀ
হকার,ਹੁਸਕ
হুংস,ਹਸਤਾਖਰ
হাইব্রিড,ਹਾਈਬ੍ਰਿਡ
সংকরকরণ,ਹਾਈਬ੍ਰਿਡਾਈਜ਼ੇਸ਼ਨ
হাইড্রেশন,ਹਾਈਡਰੇਸ਼ਨ
জলবিদ্যুৎ,ਹਾਈਡ੍ਰੋਲੋਜੀ
হাইড্রোলাইসিস,ਹਾਈਡ੍ਰੋਲਾਇਸਿਸ
হাইড্রোমিটার,ਹਾਈਡ੍ਰੋਮੀਟਰ
হাইড্রোফিলাস,ਹਾਈਡ੍ਰੋਫਿਲਸ
জলবিদ্যুৎ,ਹਾਈਡ੍ਰੋਪੋਨਿਕ
হাইড্রোস্ফিয়ার,ਹਾਈਡ੍ਰੋਸਫਾਇਰ
হাইড্রোস্কোপিসিটি,ਹਾਈਡ੍ਰੋਸਕੋਪਿਕਿਟੀ
হাইপারপ্যারাসাইট,ਹਾਈਪਰਪਰੇਸਾਈਟ
হাইপারপ্লাজিয়া,ਹਾਈਪਰਪਲਸੀਆ
হাইফা,ਹਾਈਫਾ
হাইপোকোটাইল,ਹਾਈਪੋਕੋਟੀਲ
হাইপোথিসিস,ਕਲਪਨਾ
হিস্টেরেসিস (জল),ਹਿਸਟਰੇਸਿਸ (ਪਾਣੀ)
হ্যাজেল বাদাম,ਹੇਜ਼ਲ ਗਿਰੀ
শিং,ਭੰਗ
হেনবেন,ਹੈਨਬੇਨ
হেনা,ਮਹਿੰਦਾ
হিবিস্কাস,ਹਿਬਿਸਕਸ
খোঁড়ান,ਹੌਪ
ঘোড়া গ্রাম,ਘੋੜਾ ਗ੍ਰਾਮ
হর্স-আই-শিম,ਘੋੜਾ-ਅੱਖ-ਬੀਨ
মৌমাছি,ਮਧੂ ਮੱਖੀ
হপার,ਹੌਪਰ
উদ্যানতত্ত্ববিদ,ਬਾਗਬਾਨੀ
হাইড্রোলজিস্ট,ਹਾਈਡ੍ਰੋਲੋਜਿਸਟ
সিটু গ্রাফটিংয়ে,ਸਥਿਤੀ ਵਿੱਚ
ভিট্রোতে,ਵਿਟਰੋ ਵਿੱਚ
ভিভোতে,ਵੀਵੋ ਵਿਚ
নির্বিচারে,ਅੰਨ੍ਹੇਵਾਹ
পোকামাকড়,ਕੀੜੇ
কীটপতঙ্গ,ਕੀੜੇ ਪੈੱਸਟ
পোকামাকড়,ਥੀਏਟਰ
কীটনাশক,ਕੀਟਨਾਸ਼ਕਾਂ
পোকামাকড়,ਕੀਟਨਾਸ਼ਕ
ইনসোলেশন,ਇਨਸੋਲੇਸ਼ਨ
অদৃশ্য,ਘੁਲਣਸ਼ੀਲ
ইনস্টর (পোকামাকড়),ਇੰਸਟਾਰ (ਕੀੜੇ)
ইনসুলেটর,ਇਨਸੂਲੇਟਰ
ইন্টিগ্রেটেড ডিজিজ ম্যানেজমেন্ট,ਏਕੀਕ੍ਰਿਤ ਬਿਮਾਰੀ ਪ੍ਰਬੰਧਨ
সংহত পুষ্টি ব্যবস্থাপনা,ਏਕੀਕ੍ਰਿਤ ਪੋਸ਼ਕ ਪ੍ਰਬੰਧਨ
সমন্বিত বালাই ব্যবস্থাপনা,ਏਕੀਕ੍ਰਿਤ ਕੀੜੇ ਪ੍ਰਬੰਧਨ
তীব্রতা,ਤੀਬਰਤਾ
নিবিড়,ਤੀਬਰ
ইন্টারক্রপ,ਇੰਟਰਕ੍ਰਾਪ
আন্তঃসংশ্লিষ্টতা (আন্তঃবিজ্ঞান),ਅੰਤਰਾਲ (ਅੰਤਰਾਲ)
স্বার্থ,ਦਿਲਚਸਪੀ
ইন্টারনোড,ਇੰਟਰਨਿਓ
ইন্টারফেজ (সেল বিভাগ),ਅੰਤਰਾਪਾ (ਸੈੱਲ ਡਿਵੀਜ਼ਨ)
ইন্টারপোলেশন,ਇੰਟਰਪੋਲੇਸ਼ਨ
আন্তঃমুখী,ਅੰਤਰ-ਨਿਰਜੀਵ
ইনভেন্টরি,ਵਸਤੂ ਸੂਚੀ
বিপর্যয়,ਉਲਟਾ
