Punjabi,Gujarati
ਕੌਂਸਲੇਟ,કોન્સ્યુલેટ
ਸਲਾਹ-ਮਸ਼ਵਰੇ ਦੀ ਕਿਤਾਬ,કન્સ્યુલેશન બુક
ਮਹਾਂਦੀਪੀ ਪ੍ਰਣਾਲੀ,કોન્ટિનેંટલ સિસ્ટમ
ਕਨਵੈਨਸ਼ਨ ਸੰਸਦ,સંમેલન સંસદ
ਕਾਪਰਹੈੱਡਸ (=ਪੀਸ ਡੈਮੋਕਰੇਟਸ),કોપરહેડ્સ (=પીસ ડેમોક્રેટ્સ)
ਕਾਪੀਹੋਲਡ,કોપીહોલ્ડ
ਘੇਰਾਬੰਦੀ,કોર્ડનિંગ
ਕਰੋਨਾ,કોરોના
ਤਾਜਪੋਸ਼ੀ,રાજ્યાભિષેક
ਤਾਜਪੋਸ਼ੀ ਪੱਥਰ,રાજ્યાભિષેક પથ્થર
ਕਾਰਪਸ,કોર્પસ
Corsair,કોર્સેર
Corsair,કોર્સેર
ਕੋਰਸੇਟ (=ਕੋਰਸਲੇਟ),કાંચળી (=કાંચળી)
ਕੋਰਟੇਸ,કોર્ટેસ
ਕੋਟਰ (=ਕੋਟੀਅਰ),કોટ્ટર (=કોટીયર)
ਕੋਟਰ (=ਕੋਟੀਅਰ),કોટ્ટર (=કોટીયર)
ਪੈਲੇਟਿਨੇਟ ਦੀ ਗਿਣਤੀ ਕਰੋ,કાઉન્ટ પેલેટિનેટ
ਦੇਸ਼ ਦਾ ਘਰ,દેશ ઘર
ਕਾਉਂਟੀ,કાઉન્ટી
ਕਾਉਂਟੀ ਬੋਰੋ,કાઉન્ટી બરો
ਕਾਉਂਟੀ ਅਦਾਲਤਾਂ,કાઉન્ટી કોર્ટ
ਕਾਉਂਟੀ ਪੈਲਾਟਾਈਨ,કાઉન્ટી પેલેટીન
ਅਦਾਲਤ,કોર્ટ
ਅਦਾਲਤ,કોર્ટ
ਅਦਾਲਤੀ ਸਰਕੂਲਰ,કોર્ટ પરિપત્ર
ਅਦਾਲਤੀ ਸ਼ਿਸ਼ਟਾਚਾਰ,કોર્ટ શિષ્ટાચાર
ਦਰਬਾਰੀ,દરબારી
ਕੇਸੇਸ਼ਨ ਦੀ ਅਦਾਲਤ,કેસેશન કોર્ટ
ਕੋਰਟ ਆਫ਼ ਡਾਇਰੈਕਟਰਜ਼ (EIC),કોર્ટ ઓફ ડિરેક્ટર્સ (EIC)
ਮਾਲਕਾਂ ਦੀ ਅਦਾਲਤ,માલિકોની કોર્ટ
ਦਰਬਾਰੀ ਕਵੀ,દરબાર કવિ
ਨੇਮਬੱਧ ਕੈਮਰੋਨੀਅਨ,કરારબદ્ધ કેમેરોનિયનો
ਤਾਜ,તાજ
ਤਾਜ,તાજ
ਤਾਜ,તાજ
ਤਾਜ ਜ਼ਮੀਨ,તાજ જમીન
ਤਾਜ ਜ਼ਮੀਨ,તાજ જમીન
ਕ੍ਰਾਊਨ ਪ੍ਰਿੰਸ,રાજકુંવર
ਕਰੂਸੇਡ,ધર્મયુદ્ધ
ਕਰੂਸੇਡਰ,ક્રુસેડર
ਕ੍ਰਿਪਟੋਗ੍ਰਾਮ,ક્રિપ્ટોગ્રામ
ਕੁਇਰਾਸ,કુઇરાસ
ਕੁਇਰਾਸੀਅਰ,ક્યુરાસીયર
ਪੰਥ ਦੇਵਤਾ,સંપ્રદાય દેવતા
ਕਰਿਆ,કુરિયા
ਕਰਿਆ,કુરિયા
ਜ਼ਾਰਵਾਦ,ઝારવાદ
ਹਨੇਰਾ ਮਹਾਂਦੀਪ,શ્યામ ખંડ
ਨਿਰਣੇ ਦਾ ਦਿਨ,ચુકાદાનો દિવસ
ਨਿਰਣੇ ਦਾ ਦਿਨ,ચુકાદાનો દિવસ
ਡੀਨ,ડીન
ਦਹਾਕਾ,દશક
ਡੇਨਾਰੀਅਸ,ડેનરિયસ
ਬਰਖਾਸਤ ਬਾਦਸ਼ਾਹ,પદભ્રષ્ટ રાજા
ਉਜਾੜ,બગાડ
ਬਰਬਾਦੀ,બગાડ
Dethrone,ડિથ્રોન
ਡਾਇਡੇਮ,ડાયડેમ
ਡਾਇਡੇਮ,ડાયડેમ
ਡਾਇਡੇਮ,ડાયડેમ
ਡਾਇਸੀਆ,ડાયસિયા
ਡਿਕੈਸਟਰੀਅਮ,ડિકાસ્ટેરિયમ
ਦਿਲੁਵੀਆਵਾਦੀ,ડિલુવિઆલિસ્ટ
ਡਾਇਓਸਿਸ,પંથક
ਡਾਇਓਸਿਸ,પંથક
ਨਿਰਦੇਸ਼ਕ (=ਡਾਇਰੈਕਟਰੀ),નિર્દેશક (=નિર્દેશક)
ਨਿਰਦੇਸ਼ਕ (=ਡਾਇਰੈਕਟਰੀ),નિર્દેશક (=નિર્દેશક)
ਦਿਰਹਾਮ,દિરહામ
ਬੇਵਫ਼ਾ,બેવફા
ਬੇਵਫ਼ਾ,બેવફા
ਭੁੱਲ ਦਾ ਸਿਧਾਂਤ,ક્ષતિનો સિદ્ધાંત
ਦਸਤਾਵੇਜ਼,દસ્તાવેજ
ਦਸਤਾਵੇਜ਼ੀ ਸਬੂਤ,દસ્તાવેજી પુરાવા
ਡੋਮੇਸਡੇ ਬੁੱਕ,ડોમ્સડે બુક
Constantine ਦਾ ਦਾਨ,કોન્સ્ટેન્ટાઇનનું દાન
ਕਿਆਮਤ,પ્રારબ્ધ
ਦਾਜ ਦੀ ਰਾਣੀ,ડોવગર રાણી
ਡਰੈਗਨ,ડ્રેગન
ਡਰੋਮੇਡੇਰੀਅਨ,ડ્રોમેડેરીયન
ਡਰੋਮੇਡਰੀ,ડ્રોમેડરી
ਡਰੋਮੰਡ,ડ્રોમોન્ડ
ਦੋਹਰਾ,ડ્યુઅલ
ਦੋਹਰਾ ਗਠਜੋੜ,બેવડા જોડાણ
ਦੋਹਰੀ entente,ડ્યુઅલ entente
ਦੋਹਰੀ ਪ੍ਰਣਾਲੀ (= ਦੋਹਰੀ ਸਰਕਾਰ),ડ્યુઅલ સિસ્ટમ (= બેવડી સરકાર)
ਡਿਊਕ,ડ્યુક
ਡੂਮਾ,ડુમા
ਬੌਣਾ ਅਵਤਾਰ,વામન અવતાર
ਰਾਜਵੰਸ਼,રાજવંશ
ਰਾਜਵੰਸ਼,રાજવંશ
ਇੱਲ,ગરુડ
ਬਜ਼ੁਰਗ ਆਦਮੀ,વૃદ્ધ માણસ
ਅਰਲ,અર્લ
ਅਰਲਡਮ,અર્લ્ડમ
ਸ਼ੁਰੂਆਤੀ ਗੁਪਤਾ,પ્રારંભિક ગુપ્તા
ਸ਼ੁਰੂਆਤੀ (ਇਤਿਹਾਸਕ) ਸਾਈਟਾਂ,પ્રારંભિક (ઐતિહાસિક) સાઇટ્સ
ਸ਼ੁਰੂਆਤੀ ਵੈਦਿਕ ਕਾਲ,પ્રારંભિક વૈદિક સમયગાળો
ਉਪਦੇਸ਼ਕ,એકલસિયા
ਬਹਾਲੀ ਦਾ ਹੁਕਮ,વળતરનો આદેશ
ਅੱਠ ਗੁਣਾ ਮਾਰਗ,આઠ ગણો રસ્તો
ਬਜ਼ੁਰਗ,વડીલો
ਬਜ਼ੁਰਗ ਰਾਜਨੇਤਾ (=ਜੀਨਰੋ),વડીલ રાજનેતા (= genro)
ਹਾਥੀ ਬੱਕਰਾ,હાથી ગોડ
ਗਿਆਰਾਂ ਸਾਲਾਂ ਦਾ ਜ਼ੁਲਮ,અગિયાર વર્ષનો જુલમ
ਐਲੀਸੀ (=ਐਲੀਸੀ),એલિસી (=એલિસી)
ਘੇਰਾਬੰਦੀ ਅੰਦੋਲਨ,બિડાણ ચળવળ
ਐਨਸਾਈਕਲਿਕ,એન્સાઇકલિકલ
ਐਨਸਾਈਕਲੋਪੀਡਿਸਟ ਲਹਿਰ,જ્ઞાનકોશવાદી ચળવળ
ਐਂਟੇਨਟੇ,એન્ટેન્ટે
ਏਨਟੇਂਟ ਕੋਰਡਿਆਲ,એન્ટેન્ટે કોર્ડિયેલ
ਰਾਜਗੱਦੀ,સિંહાસન
ਦਲ,નોકરચાકર
ਏਫ਼ੋਦ,એફોદ
ਈਫੋਰ,એફોર
ਮਹਾਂਕਾਵਿ ਯੁੱਗ,મહાકાવ્ય યુગ
ਮਹਾਂਕਾਵਿ ਹੀਰੋ,એપિક હીરો
ਐਪੀਗ੍ਰਾਫ,એપિગ્રાફ
ਐਪੀਸਕੋਪੇਸੀ,એપિસ્કોપેસી
ਐਪੀਸਕੋਪੇਟ,એપિસ્કોપેટ
ਪ੍ਰਸੰਗ,એપિસોડ
ਯੁਗ,યુગ
ਯੁੱਗ ਬਣਾਉਣ ਵਾਲੀ ਘਟਨਾ,યુગ-નિર્માણની ઘટના
ਯੁਗ-ਰਚਨ ਵਾਲਾ ਮਨੁੱਖ,યુગ-નિર્માતા માણસ
ਉਪਨਾਮ,ઉપનામ
ਇਕਵੇਰੀ,ઇક્વેરી
ਇਕਵੇਰੀ,ઇક્વેરી
ਘੋੜਸਵਾਰ ਦੀ ਮੂਰਤੀ,અશ્વારોહણ પ્રતિમા
ਯੁੱਗ,યુગ
ਅਰਗਸਟੁਲਮ,અર્ગાસ્ટુલમ
ਯੂਕੇਰਿਸਟ,યુકેરિસ્ટ
ਈਵੈਂਜਲਿਜ਼ਮ,ઇવેન્જેલિકલિઝમ
ਖੁਸ਼ਖਬਰੀ ਦੀ ਲਹਿਰ,ઇવેન્જેલિકલ ચળવળ
ਪ੍ਰਚਾਰਕ,પ્રચારક
Exarch,Exarch
Exilarch,એક્સિલર્ચ
ਫਲੰਗਿਸਟ,ફલાંગિસ્ટ
ਪਿਤਾ ਦੀ ਜ਼ਮੀਨ,પિતાની જમીન
ਪਿਤਾ ਦੀ ਜ਼ਮੀਨ,પિતાની જમીન
ਫੇਰੀਆ,ફેરિયા
ਫੈਟਿਸ਼,ફેટીશ
ਜਾਗੀਰਦਾਰੀ,સામન્તી હોલ્ડિંગ્સ
ਜਾਗੀਰਦਾਰੀ (=ਸਾਮੰਤੀ ਸਿਸਟਮ),સામંતવાદ (= સામંતશાહી વ્યવસ્થા)
ਜਗੀਰੂ ਸਿਸਟਮ,સામંતશાહી વ્યવસ્થા
ਜਾਗੀਰਦਾਰ,સામંતશાહી
ਫਿਦੀ ਡਿਫੈਂਸਰ (= ਵਿਸ਼ਵਾਸ ਦਾ ਰਖਵਾਲਾ),ફિદેઇ ડિફેન્સર (=વિશ્વાસના રક્ષક)
Fief,ફીફ
ਫੀਲਡ ਸਿਸਟਮ,ફીલ્ડ સિસ્ટમ
ਪੰਦਰਵਾਂ ਟੈਕਸ,પંદરમો કર
ਚਿੱਤਰ ਸਿਰ,આકૃતિ વડા
ਫਿਨ ਡੀ ਸੀਕਲ,ફિન ડી siecle
ਅੱਗ ਖਾਣ ਵਾਲਾ,અગ્નિ ખાનાર
ਪੰਜ ਮੀਲ ਐਕਟ,ફાઇવ માઇલ એક્ટ
ਝੰਡਾ,ધ્વજ
ਫਲੇਮੇਨ ਡਾਇਲਿਸ,ફ્લેમેન ડાયાલિસ
ਫਲੇਮੇਨ ਮਾਰਸ਼ਲਿਸ,ફ્લેમેન માર્શેલીસ
ਬਲਦੀ ਮਸ਼ਾਲ,જ્વલંત મશાલ
ਫਲੈਂਕ,ફ્લૅન્ક
ਫਲੈਂਕਿੰਗ ਅੰਦੋਲਨ,flanking ચળવળ
ਵਧਦੀ ਹੋਈ ਸੱਭਿਅਤਾ,વિકસતી સંસ્કૃતિ
ਪ੍ਰਵਾਹਵਾਦੀ ਵਿਸ਼ਵਾਸ,પ્રવાહવાદી માન્યતા
ਲੋਕ ਦੇਵਤਾ,લોક દેવ
ਲੋਕ ਦੇਵੀ,લોક દેવી
ਲੋਕ ਯਾਦ,લોક સ્મૃતિ
ਲੋਕ-ਕਥਾ (=ਲੋਕ ਕਥਾ),લોક પૌરાણિક કથા (=લોકકથા)
ਚਾਰਾ,ઘાસચારો
ਧੜਾਧੜ,ધાડ
ਪਹਿਲਾਂ ਤੋਂ,ફોરબિયર
ਪੂਰਵਜ,વડવા
ਅਗਲਾ,અગ્રદૂત
ਉਦਾਸ ਉਮੀਦ,નિરાશ આશા
ਰਚਨਾਤਮਕ ਪੜਾਅ,રચનાત્મક તબક્કો
ਕਿਲਾ,કિલ્લો
ਕਿਲਾਬੰਦੀ,કિલ્લેબંધી
ਕਿਲਾਬੰਦ ਸ਼ਹਿਰ,ફોર્ટિફાઇડ નગર
ਕਿਲ੍ਹਾ,કિલ્લો
Fortuna,ફોર્ચ્યુના
ਫੋਰਮ ਰੋਮਨਮ,ફોરમ રોમનમ
ਫਰਾਂਸਿਸਕਨ,ફ્રાન્સિસ્કન
ਫਰੈਂਕਲਿਨ,ફ્રેન્કલીન
ਭਰਾਤਰੀ ਜੰਗ,ભાઈચારો યુદ્ધ
ਮੁਫ਼ਤ ਚਰਚ,મફત ચર્ચ
ਫਰੀਹੋਲਡਰ,ફ્રીહોલ્ડર
ਫ੍ਰੀਲਾਂਸ ਸਿਪਾਹੀ,ફ્રીલાન્સ સૈનિક
ਫ੍ਰੀਲਾਂਸ ਸਿਪਾਹੀ,ફ્રીલાન્સ સૈનિક
ਫ੍ਰੀਮੈਨ,ફ્રીમેન
ਫ੍ਰੀਮੈਨ,ફ્રીમેન
ਫ੍ਰੀਪਾਸ,મફત પાસ
ਫਰਾਂਸੀਸੀ ਕ੍ਰਾਂਤੀ,ફ્રેન્ચ ક્રાંતિ
ਤਪੱਸਿਆ,તપસ્વી
ਫਰਿਆਸੀਅਨ ਕਿਰਾਏਦਾਰ,ફ્રિયાશિયન ભાડૂતી
ਸਰਹੱਦੀ ਆਦਮੀ,સરહદી માણસ
ਗੈਲੀਓਨ,ગેલિયન
ਗੈਲੀਕਨ (=ਗੈਲੀਕਨਿਸਟ),ગેલિકન (=ગેલિકનવાદી)
ਗੈਲੀਕਨਵਾਦ,ગેલિકનિઝમ
ਗੈਰੀਸਨ,ગેરિસન
ਗੌਲ,ગૌલ
ਗੌਂਟਲੇਟ,ગાઉન્ટલેટ
ਗੌਂਟਲੇਟ,ગાઉન્ટલેટ
ਗਾਜ਼ੇਬੋ,ગાઝેબો
ਗਾਜ਼ੇਬੋ,ગાઝેબો
ਗਾਜ਼ੇਬੋ,ગાઝેબો
ਵੰਸ਼ਾਵਲੀ ਇਤਿਹਾਸ,વંશાવળી ઇતિહાસ
ਵੰਸ਼ਾਵਲੀ ਰਿਕਾਰਡ,વંશાવળી રેકોર્ડ
ਵੰਸ਼ਾਵਲੀ ਸਾਰਣੀ,વંશાવળી કોષ્ટક
ਵੰਸ਼ਾਵਲੀ ਰੁੱਖ,વંશાવળી વૃક્ષ
ਵੰਸ਼ਾਵਲੀ,વંશાવળી
ਵੰਸ਼ਾਵਲੀ,વંશાવળી
ਪੀੜ੍ਹੀ,જનરેશન
ਨਸਲਕੁਸ਼ੀ,નરસંહાર
ਗ਼ੈਰ-ਯਹੂਦੀ,બિનજાતીય
ਗ਼ੈਰ-ਯਹੂਦੀ,બિનજાતીય
ਗ਼ੈਰ-ਯਹੂਦੀ,બિનજાતીય
ਗ਼ੈਰ-ਯਹੂਦੀ,બિનજાતીય
ਘੇਟੋ,ઘેટ્ટો
ਘੇਟੋ,ઘેટ્ટો
ਗਿੱਬਟ,ગીબેટ
ਗਿਲਡ (=ਗਿਲਡ),ગિલ્ડ (=ગિલ્ડ)
ਗਲੇਡੀਏਟਰ,ગ્લેડીએટર
ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ,ભવ્ય ક્રાંતિ
ਗੋਲਡਨ ਹੋਰਡ,ગોલ્ડન હોર્ડ
ਮਹਾਨ ਗਠਜੋੜ,ગ્રાન્ડ એલાયન્સ
ਗ੍ਰੈਂਡੀ,ગ્રાન્ડી
ਗ੍ਰੈਂਡ ਸਾਈਨਰ,ગ્રાન્ડ સિગ્નર
ਗ੍ਰੈਂਡ ਸਾਈਨਰ,ગ્રાન્ડ સિગ્નર
ਮਹਾਨ ਸਿਵਲ ਯੁੱਧ,મહાન ગૃહ યુદ્ધ
ਮਹਾਨ ਵਿਦਾਇਗੀ (ਬੁੱਧ ਦਾ),મહાન પ્રસ્થાન (બુદ્ધનું)
ਗ੍ਰੇਟਰ ਇੰਡੀਆ,બૃહદ ભારત
ਮਹਾਨ Hellas,ગ્રેટ હેલાસ
ਮਹਾਨ ਭੀੜ,મહાન લોકોનું મોટું ટોળું
ਮਹਾਨ ਤਿਆਗ (= ਮਹਾਨ ਰਵਾਨਗੀ),મહાન ત્યાગ (= મહાન પ્રસ્થાન)
ਮਹਾਨ ਸੀਲ,ગ્રેટ સીલ
ਮਹਾਨ ਟ੍ਰੈਕ,ગ્રેટ ટ્રૅક
ਮਹਾਨ ਵਾਹਨ,મહાન વાહન
ਚੀਨ ਦੀ ਮਹਾਨ ਕੰਧ,ચીનની મહાન દિવાલ
ਗ੍ਰੀਵ,ગ્રીવ
ਗਾਰਡ-ਚੰਬਰ,ગાર્ડ-ચેમ્બર
ਗਾਰਡ-ਚੰਬਰ,ગાર્ડ-ચેમ્બર
ਗਾਰਡ-ਚੰਬਰ,ગાર્ડ-ચેમ્બર
ਗੁਪਤਾ,ગુપ્તા
ਹੈਜੀਓਗ੍ਰਾਫੀ,હેગિઓગ્રાફી
ਹੈਜੀਓਗ੍ਰਾਫੀ,હેગિઓગ્રાફી
ਹੈਜੀਓਲੋਜੀ,હેગિઓલોજી
ਹੈਜੀਓਲੋਜੀ,હેગિઓલોજી
ਨਿੱਜੀ ਦਰਸ਼ਕਾਂ ਦਾ ਹਾਲ,ખાનગી પ્રેક્ષકોનો હોલ
ਜਨਤਕ ਦਰਸ਼ਕਾਂ ਦਾ ਹਾਲ,જાહેર પ્રેક્ષકોનો હોલ
ਹੈਚਮੈਂਟ,હેચમેન્ટ
ਈਥਨ,વિધર્મી
ਈਥਨ,વિધર્મી
ਹੇਥਨਿਜ਼ਮ,હીથેનિઝમ
ਹੇਗੀਰਾ (ਹੀਜਰਾ),હેગીરા (હેજેરા)
ਹੇਲੇਨਿਜ਼ਮ,હેલેનિઝમ
ਹੇਲੋਟ,હેલોટ
ਹੇਰਾਲਡਰੀ,હેરાલ્ડ્રી
ਵਿਰਾਸਤ,ધરોહર
ਹਾਇਰੋਗਲਿਫਿਕ ਰੇਖਿਕ ਅੱਖਰ,હિયેરોગ્લિફિક રેખીય અક્ષરો
ਹਾਇਰੋਗਲਿਫਿਕ ਲਿਪੀ,હિયેરોગ્લિફિક સ્ક્રિપ્ટ
ਉੱਚ ਚਰਚ,ઉચ્ચ ચર્ચ
ਉੱਚ ਲੈਂਡਰ,ઉચ્ચ લેન્ડર
ਹਿੰਦੂ ਧਰਮ,હિંદુ ધર્મ
ਇਤਿਹਾਸਕਾਰ,ઈતિહાસકાર
ਇਤਿਹਾਸਕਾਰ,ઈતિહાસકાર
ਇਤਿਹਾਸਕ ਪਦਾਰਥਵਾਦ,ઐતિહાસિક ભૌતિકવાદ
ਇਤਿਹਾਸਕ ਯੁੱਗ,ઐતિહાસિક યુગ
ਇਤਿਹਾਸਕ ਸਰਹੱਦ,ઐતિહાસિક સરહદ
ਇਤਿਹਾਸਕਾਰ,ઇતિહાસકાર
ਇਤਿਹਾਸਕਾਰ,ઇતિહાસકાર
ਇਤਿਹਾਸਕਾਰੀ,ઇતિહાસલેખન
ਇਤਿਹਾਸਕਾਰੀ,ઇતિહાસલેખન
ਇਤਿਹਾਸ,ઇતિહાસ
ਹਿੱਟੀ ਸਾਮਰਾਜ,હિટ્ટાઇટ સામ્રાજ્ય
ਪਵਿੱਤਰ ਗਠਜੋੜ,પવિત્ર જોડાણ
ਪਵਿੱਤਰ ਸ਼ਹਿਰ,પવિત્ર શહેર
ਪਵਿੱਤਰ ਸ਼ਹਿਰ,પવિત્ર શહેર
ਪਵਿੱਤਰ ਧਰਤੀ,પવિત્ર ભૂમિ
ਪਵਿੱਤਰ ਧਰਤੀ,પવિત્ર ભૂમિ
ਹੋਲੀ ਲੀਗ,પવિત્ર લીગ
ਹੋਲੀ ਲੀਗ,પવિત્ર લીગ
ਪਵਿੱਤਰ ਰੋਮਨ ਸਾਮਰਾਜ (= ਸਾਮਰਾਜ),પવિત્ર રોમન સામ્રાજ્ય (=ધ એમ્પાયર)
ਪਵਿੱਤਰ ਸਾਗਰ,પવિત્ર સમુદ્ર
ਪਵਿੱਤਰ ਸਾਗਰ,પવિત્ર સમુદ્ર
ਪਵਿੱਤਰ ਜੰਗ,પવિત્ર યુદ્ધ
ਪਵਿੱਤਰ ਜੰਗ,પવિત્ર યુદ્ધ
ਗ੍ਰਹਿ ਸਰਕਾਰ,ગૃહ સરકાર
ਹੋਮ ਗਾਰਡ,હોમગાર્ડ
ਹੋਮਲੈਂਡ,વતન
ਘਰੇਲੂ ਨਿਯਮ,ઘરનો નિયમ
ਹੋਮ ਰੂਲ,હોમ રૂલ
ਹੋਰਡ,લોકોનું મોટું ટોળું
Horde,લોકોનું મોટું ટોળું
ਦੁਸ਼ਮਣ ਦੇਸ਼,પ્રતિકૂળ દેશ
ਵਿਰੋਧੀ ਜ਼ਮੀਨ,પ્રતિકૂળ જમીન
ਗਰਮ ਪਿੱਛਾ,ગરમ પીછો
ਘਰ,ઘર
ਘਰ,ઘર
ਹਾਊਸ ਆਫ ਕਾਮਨਜ਼,હાઉસ ઓફ કોમન્સ
ਲਾਰਡਸ ਦਾ ਘਰ,હાઉસ ઓફ લોર્ડ્સ
ਪ੍ਰਤੀਨਿਧ ਸਦਨ,હાઉસ ઓફ રિપ્રેઝન્ટેટિવ્સ
ਹਿਊਗਨੋਟਸ,હ્યુગ્યુનોટ્સ
ਮਾਨਵਵਾਦ,માનવતાવાદ
ਮਾਨਵਵਾਦੀ,માનવતાવાદી
ਸੌ ਯਸਰਸ ਦੀ ਜੰਗ,સો યસર્સ વોર
ਹੰਕਾਰ,હુંકર
ਇਬਾਦਤ ਖਾਨਾ (ਪੂਜਾ ਘਰ),ઇબાદત ખાના (ઇબાદતનું ઘર)
ਆਈਕੋਨੋਕਲਾਸਟ,આઇકોનોક્લાસ્ટ
ਮੂਰਤੀਕਾਰ,મૂર્તિપૂજક
ਇਲਾਹੀ ਯੁੱਗ,ઇલાહી યુગ
ਗੈਰ-ਕਾਨੂੰਨੀ ਜੰਗ,ગેરકાયદેસર યુદ્ધ
ਪ੍ਰਕਾਸ਼ਿਤ ਖਰੜੇ,પ્રકાશિત હસ્તપ્રત
ਚਿੱਤਰਿਤ ਹੱਥ-ਲਿਖਤ,સચિત્ર હસ્તપ્રત
ਚਿੱਤਰਿਤ ਹੱਥ-ਲਿਖਤ,સચિત્ર હસ્તપ્રત
ਇਮਾਮ (ਇਮਾਮ),ઇમામ (ઇમામ)
ਇਮਾਮਤ,ઈમામત
ਇਮਾਮਤ,ઈમામત
ਇਮਾਮਬਾਰਾ,ઈમામબારહ
ਸ਼ਾਹੀ,શાહી
ਸ਼ਾਹੀ ਸ਼ਹਿਰ,શાહી શહેર
ਸਾਮਰਾਜਵਾਦ,સામ્રાજ્યવાદ
ਸ਼ਾਹੀ ਤਰਜੀਹ,શાહી પસંદગી
ਅਵਿਵਸਥਾ,અવ્યવસ્થિતતા
ਪਾਖੰਡੀ,ઢોંગી
ਕੈਦ,કેદ
ਕੈਦ,કેદ
ਘੁਸਪੈਠ,આક્રમણ
ਘੁਸਪੈਠ ਕਰਨ ਵਾਲਾ,આક્રમણ કરનાર
ਸੁਤੰਤਰਤਾ,સ્વતંત્રતા
ਅਜਾਦੀ ਦਿਵਸ,સ્વતંત્રતા દિવસ
ਸੁਤੰਤਰਤਾ ਹਾਲ,સ્વતંત્રતા હોલ
ਭਾਰਤੀ ਅਮਰੀਕਨ (= ਲਾਲ ਭਾਰਤੀ = ਅਮਰੀਕੀ ਭਾਰਤੀ),ભારતીય અમેરિકન (=રેડ ઇન્ડિયન=અમેરિકન ભારતીય)
ਇੰਡੀਅਨ ਹੋਮ ਰੂਲ ਲੀਗ,ઈન્ડિયન હોમ રૂલ લીગ
ਉਦਯੋਗਿਕ ਕ੍ਰਾਂਤੀ,ઔદ્યોગિક ક્રાંતિ
ਬੇਵਫ਼ਾਈ,બેવફાઈ
ਬੇਵਫ਼ਾਈ,બેવફાઈ
ਘੁਸਪੈਠ,ઘૂસણખોરી
ਘੁਸਪੈਠ ਕਰਨ ਵਾਲਾ,ઘૂસણખોર
ਸੂਚਨਾ ਦੇਣ ਵਾਲਾ,માહિતી આપનાર
ਸੂਚਨਾ ਦੇਣ ਵਾਲਾ,માહિતી આપનાર
ਸੂਚਨਾ ਦੇਣ ਵਾਲਾ,બાતમીદાર
ਸੂਚਨਾ ਦੇਣ ਵਾਲਾ,બાતમીદાર
ਪ੍ਰਵੇਸ਼,પ્રવેશ
ਪ੍ਰਵੇਸ਼,પ્રવેશ
ਪ੍ਰਵੇਸ਼,પ્રવેશ
ਨਿਵਾਸ,વસવાટ
ਵਾਸੀ,રહેવાસી
ਵਿਰਾਸਤ,વારસો
ਵਿਰਾਸਤ,વારસો
ਵਿਰਾਸਤ,વારસો
ਸ਼ਿਲਾਲੇਖ,શિલાલેખ
ਨਿਸ਼ਾਨ,ચિહ્ન
ਪਹੁੰਚ ਦਾ ਸਾਧਨ,પ્રવેશનું સાધન
ਸਰਕਾਰ ਦਾ ਸਾਧਨ,સરકારનું સાધન
ਬਗਾਵਤ (ਵਿਦਰੋਹ),બળવો (બળવો)
ਵਿਦਰੋਹੀ,બળવાખોર
ਬਗਾਵਤ,બળવો
ਬਗਾਵਤ,બળવો
ਏਕੀਕਰਣ,એકીકરણ
ਰਿਕਾਰਡ ਦੀ ਇਕਸਾਰਤਾ,રેકોર્ડની અખંડિતતા
ਰਾਜਾਂ ਦੀ ਅਖੰਡਤਾ,રાજ્યોની અખંડિતતા
ਬੁੱਧੀਜੀਵੀ (ਇੰਟੈਲੀਜੈਂਟਜ਼ੀਆ),ઇન્ટેલિજેન્ટ્સિયા (બુદ્ધિશાળી)
ਵਿਚੋਲਗੀ,મધ્યસ્થી
ਅੰਤਰਜਾਮੀ,મધ્યસ્થી
ਵਿਚੋਲਾ,મધ્યસ્થી
ਅੰਤਰਰਾਸ਼ਟਰੀਵਾਦ,આંતરરાષ્ટ્રીયવાદ
ਅੰਤਰਰਾਸ਼ਟਰੀਵਾਦ,આંતરરાષ્ટ્રીયવાદ
ਅੰਤਰਰਾਸ਼ਟਰੀਵਾਦੀ,આંતરરાષ્ટ્રીયવાદી
ਇੰਟਰਸੀਨ ਯੁੱਧ,આંતરીક યુદ્ધ
ਇੰਟਰਨੀ,ઈન્ટરની
ਇੰਟਰਨੀ,ઈન્ટરની
ਇੰਟਰਨੀ ਕੈਂਪ,ઈન્ટરની કેમ્પ
ਨਜ਼ਰਬੰਦੀ,નજરબંધ
ਨਜ਼ਰਬੰਦੀ,નજરબંધ
ਨਜ਼ਰਬੰਦੀ,નજરબંધ
ਇੰਟਰਨਨਸੀਓ,ઈન્ટર્નસિયો
ਦੁਭਾਸ਼ੀਏ,દુભાષિયા
ਦੁਭਾਸ਼ੀਏ,દુભાષિયા
ਦੁਭਾਸ਼ੀਏ,દુભાષિયા
ਦਖਲ,હસ્તક્ષેપ
ਅੰਤਰਜਾਮੀ,ઇન્ટેસ્ટેસી
ਇੰਟੇਸਟੇਟ,ઇન્ટેસ્ટેટ
ਸਾਜ਼ਸ਼,ષડયંત્ર
ਘੁਸਪੈਠੀਏ,ઘુસણખોર
ਘੁਸਪੈਠੀਏ,ઘુસણખોર
ਘੁਸਪੈਠ,ઘુસણખોરી
ਹਮਲਾ,આક્રમણ
ਹਮਲਾ,આક્રમણ
ਨਿਵੇਸ਼ ਕਰੋ,રોકાણ કરો
