Marathi,Kannada
"1. डीकोडर, 2. डीकोडर","1. ಡಿಕೋಡರ್, 2. ಡಿಕೋಡರ್"
विघटन तत्त्व,ವಿಸರ್ಜನೆಯ ತತ್ವ
डीकोडिंग,ಡಿಕೋಡಿಂಗ್
समर्पित प्रणाली,ಮೀಸಲಾದ ವ್ಯವಸ್ಥೆ
समर्पित प्रेस,ಮೀಸಲಾದ ಪತ್ರಿಕಾ
लसीकरण डेटा नेटवर्क (DDN),ಇಮ್ಯುನೈಸೇಶನ್ ಡೇಟಾ ನೆಟ್‌ವರ್ಕ್ (DDN)
लसीकरण माहिती प्रणाली,ರೋಗನಿರೋಧಕ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
एकीकरण,ಏಕೀಕರಣ
विलंब,ವಿಳಂಬ
विलंब काउंटर,ವಿಳಂಬ ಕೌಂಟರ್
विलंब वेळ,ವಿಳಂಬ ಸಮಯ
"1.हटवा, 2.हटवा","1.ಅಳಿಸು, 2.ಅಳಿಸು"
हटवणे रेकॉर्ड,ಅಳಿಸುವಿಕೆ ದಾಖಲೆ
परिसीमक,ಡಿಲಿಮಿಟರ್
डेल्टा मॉड्युलेशन,ಡೆಲ್ಟಾ ಮಾಡ್ಯುಲೇಶನ್
मागणी पृष्ठ,ವಿನಂತಿ ಪುಟ
कामगिरी,ಪ್ರದರ್ಶನ
demodulation,ಡಿಮೋಡ್ಯುಲೇಶನ್
V- मल्टीप्लेक्सर,ವಿ-ಮಲ್ಟಿಪ್ಲೆಕ್ಸರ್
विकृतीकरण,ಅಸಾಧಾರಣೀಕರಣ
"1. घनता, 2. घनता","1. ಸಾಂದ್ರತೆ, 2. ಸಾಂದ್ರತೆ"
"1. अवलंबित्व, 2. अवलंबित्व","1. ಅವಲಂಬನೆ, 2. ಅವಲಂಬನೆ"
अवलंबून युनिट,ಅವಲಂಬಿತ ಘಟಕ
रांग,ಸಾಲು
"1. dereference, 2. dereference","1. dereference, 2. dereference"
व्युत्पन्न झाड,ಪಡೆದ ಮರ
व्युत्पन्न फील्ड,ಪಡೆದ ಕ್ಷೇತ್ರ
उतरत्या क्रमवारी,ಅವರೋಹಣ ರೀತಿಯ
डिझाइन,ವಿನ್ಯಾಸ
डेस्क कॅल्क्युलेटर,ಮೇಜಿನ ಕ್ಯಾಲ್ಕುಲೇಟರ್
डेस्कटॉप संगणक,ಡೆಸ್ಕ್ಟಾಪ್ ಕಂಪ್ಯೂಟರ್ಗಳು
डेस्कटॉप सादरीकरण,ಡೆಸ್ಕ್ಟಾಪ್ ಪ್ರಸ್ತುತಿ
डेस्कटॉप प्रकाशन,ಡೆಸ್ಕ್ಟಾಪ್ ಪಬ್ಲಿಷಿಂಗ್
डेस्कटॉप व्हिडिओ,ಡೆಸ್ಕ್ಟಾಪ್ ವೀಡಿಯೊ
गंतव्य पत्ता,ತಲುಪಬೇಕಾದ ವಿಳಾಸ
"1. विनाशक, 2. विनाशक","1. ವಿಧ್ವಂಸಕ, 2. ವಿಧ್ವಂಸಕ"
निर्धारक ऑटोमेटा,ನಿರ್ಣಾಯಕ ಸ್ವಯಂಚಾಲಿತ
विकसक,ಡೆವಲಪರ್
विकास प्रणाली,ಅಭಿವೃದ್ಧಿ ವ್ಯವಸ್ಥೆ
साधन,ಸಾಧನ
डिव्हाइस नियंत्रण युनिट,ಸಾಧನ ನಿಯಂತ್ರಣ ಘಟಕ
डिव्हाइस नियंत्रक,ಸಾಧನ ನಿಯಂತ್ರಕ
डिव्हाइस व्यवस्थापन,ಸಾಧನ ನಿರ್ವಹಣೆ
डिव्हाइस मोड,ಸಾಧನ ಮೋಡ್
निदान,ರೋಗನಿರ್ಣಯ
निदान प्रणाली,ರೋಗನಿರ್ಣಯ ವ್ಯವಸ್ಥೆ
"1. निदान, 2. निदान","1. ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್, 2. ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್"
आकृती,ರೇಖಾಚಿತ್ರ
डायल,ಡಯಲ್ ಮಾಡಿ
डायल लाइन,ಡಯಲ್ ಲೈನ್
डायल टोन,ಡಯಲ್ ಟೋನ್
डायल करा,ಡಯಲ್ ಅಪ್ ಮಾಡಿ
"1. संवाद, 2. संभाषण","1. ಸಂಭಾಷಣೆ, 2. ಸಂಭಾಷಣೆ"
संभाषण कक्ष,ಸಂಭಾಷಣೆ ಕೊಠಡಿ
डायलअप मॉडेम,ಡಯಲಪ್ ಮೋಡೆಮ್
विमा,ವಿಮೆ
शब्दकोश,ನಿಘಂಟು
"1. भिन्नता, 2. भिन्नता","1. ಭೇದಾತ್ಮಕ, 2. ವ್ಯತ್ಯಾಸ"
संख्यात्मक,ಸಂಖ್ಯಾತ್ಮಕ
डिजिटल प्रणाली,ಡಿಜಿಟಲ್ ವ್ಯವಸ್ಥೆ
डिजिटल सर्किट,ಡಿಜಿಟಲ್ ಸರ್ಕ್ಯೂಟ್
डिजिटल संगणक,ಡಿಜಿಟಲ್ ಕಂಪ್ಯೂಟರ್
"1.डिजिटल डेटा, 2.डिजिटल डेटा","1.ಡಿಜಿಟಲ್ ಡೇಟಾ, 2.ಡಿಜಿಟಲ್ ಡೇಟಾ"
डिजिटल सुविधा,ಡಿಜಿಟಲ್ ಸೌಲಭ್ಯ
डिजिटल फिल्टर,ಡಿಜಿಟಲ್ ಫಿಲ್ಟರ್
डिजिटल लायब्ररी,ಡಿಜಿಟಲ್ ಲೈಬ್ರರಿ
डिजिटल मॉड्यूलेशन,ಡಿಜಿಟಲ್ ಮಾಡ್ಯುಲೇಷನ್
"1. डिजिटल डिस्प्ले, 2. डिजिटल मॉनिटर","1. ಡಿಜಿಟಲ್ ಡಿಸ್ಪ್ಲೇ, 2. ಡಿಜಿಟಲ್ ಮಾನಿಟರ್"
डिजिटल प्रतिमा,ಡಿಜಿಟಲ್ ಚಿತ್ರ
"1. डिजिटल स्वाक्षरी, 2. डिजिटल स्वाक्षरी","1. ಡಿಜಿಟಲ್ ಸಿಗ್ನೇಚರ್, 2. ಡಿಜಿಟಲ್ ಸಿಗ್ನೇಚರ್"
डिजिटल स्विच,ಡಿಜಿಟಲ್ ಸ್ವಿಚ್
डिजिटल अॅनालॉग कनवर्टर,ಡಿಜಿಟಲ್ ಅನಲಾಗ್ ಪರಿವರ್ತಕ
डिजिटायझेशन,ಡಿಜಿಟಲೀಕರಣ
डिजिटायझेशन,ಡಿಜಿಟಲೀಕರಣ
डिजिटायझर,ಡಿಜಿಟೈಸರ್
डायोड,ಡಯೋಡ್
प्रथमदर्शनी,ಮೊದಲ ನೋಟ
थेट पत्ता,ನೇರ ವಿಳಾಸ
थेट रूपांतरण,ನೇರ ಪರಿವರ್ತನೆ
थेट जोडणी,ನೇರ ಜೋಡಣೆ
"1. डायरेक्ट मेमरी ऍक्सेस, 2. डायरेक्ट मेमरी ऍक्सेस (DMA)","1. ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ, 2. ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA)"
डायरेक्ट मेमरी ऍक्सेस (DMA),ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA)
थेट पद्धत,ನೇರ ವಿಧಾನ
दिशानिर्देश,ನಿರ್ದೇಶನಗಳು
निर्देशिका,ಡೈರೆಕ್ಟರಿ
"1. निर्देशिका सर्व्हर, 2. निर्देशिका सर्व्हर","1. ಡೈರೆಕ್ಟರಿ ಸರ್ವರ್, 2. ಡೈರೆಕ್ಟರಿ ಸರ್ವರ್"
निर्देशिका सेवा,ಡೈರೆಕ್ಟರಿ ಸೇವೆ
अक्षम,ಸಾಧ್ಯವಾಗುವುದಿಲ್ಲ
सिग्नल अक्षम करणे,ಸಂಕೇತವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುವುದು
"1. डिस्कनेक्शन, 2. डिस्कनेक्शन","1. ಸಂಪರ್ಕ ಕಡಿತ, 2. ಸಂಪರ್ಕ ಕಡಿತ"
"1. स्वतंत्र, 2. स्वतंत्र","1. ಡಿಸ್ಕ್ರೀಟ್, 2. ಡಿಸ್ಕ್ರೀಟ್"
"1. डिस्क, 2. डिस्क","1. ಡಿಸ್ಕ್, 2. ಡಿಸ್ಕ್"
"1. डिस्क पत्ता, 2. डिस्क पत्ता","1. ಡಿಸ್ಕ್ ವಿಳಾಸ, 2. ಡಿಸ್ಕ್ ವಿಳಾಸ"
"1. डिस्क अॅरे, 2. डिस्क अॅरे","1. ಡಿಸ್ಕ್ ಅರೇ, 2. ಡಿಸ್ಕ್ ಅರೇ"
"1. डिस्क क्षमता, 2. डिस्क क्षमता","1. ಡಿಸ್ಕ್ ಸಾಮರ್ಥ್ಯ, 2. ಡಿಸ್ಕ್ ಸಾಮರ್ಥ್ಯ"
"1. डिस्क ड्रायव्हर, 2. डिस्क ड्राइव्ह","1. ಡಿಸ್ಕ್ ಡ್ರೈವರ್, 2. ಡಿಸ್ಕ್ ಡ್ರೈವ್"
डिस्क फाइल,ಡಿಸ್ಕ್ ಫೈಲ್
"1. डिस्क मेमरी, 2. डिस्क मेमरी, 3. डिस्क मेमरी, 4. डिस्क मेमरी","1. ಡಿಸ್ಕ್ ಮೆಮೊರಿ, 2. ಡಿಸ್ಕ್ ಮೆಮೊರಿ, 3. ಡಿಸ್ಕ್ ಮೆಮೊರಿ, 4. ಡಿಸ್ಕ್ ಮೆಮೊರಿ"
डिस्क ऑपरेटिंग सिस्टम (DoS),ಡಿಸ್ಕ್ ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಮ್ (DoS)
डिस्क पॅकेज,ಡಿಸ್ಕ್ ಪ್ಯಾಕೇಜ್
"1.चक्रिका सर्व्हर, 2.डिस्क सर्व्हर","1.ಚಕ್ರಿಕಾ ಸರ್ವರ್, 2.ಡಿಸ್ಕ್ ಸರ್ವರ್"
"1. डिस्क स्टोरेज, 2. डिस्क स्टोरेज","1. ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ, 2. ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ"
डिस्केट,ಡಿಸ್ಕೆಟ್
फाइल प्रदर्शित करा,ಪ್ರದರ್ಶನ ಫೈಲ್
प्रतिमा प्रदर्शित करा,ಚಿತ್ರವನ್ನು ಪ್ರದರ್ಶಿಸಿ
विल्हेवाट,ವಿಲೇವಾರಿ
अंतर,ದೂರ
अंतर कार्य,ದೂರ ಕಾರ್ಯ
विकृती,ಅಸ್ಪಷ್ಟತೆ
वितरित,ವಿತರಿಸಲಾಯಿತು
वितरित डेटा,ವಿತರಿಸಿದ ಡೇಟಾ
वितरित सर्व्हर,ವಿತರಿಸಿದ ಸರ್ವರ್
"1.वितरित प्रणाली, 2.वितरित प्रणाली","1.ಡಿಸ್ಟ್ರಿಬ್ಯೂಟೆಡ್ ಸಿಸ್ಟಮ್, 2.ಡಿಸ್ಟ್ರಿಬ್ಯೂಟೆಡ್ ಸಿಸ್ಟಮ್"
वितरक,ವಿತರಕ
दस्तऐवज,ದಾಖಲೆ
दस्तऐवज मान्यताप्राप्त,ಡಾಕ್ಯುಮೆಂಟ್ ಮಾನ್ಯತೆ ಪಡೆದಿದೆ
"1. दस्तऐवज विंडो, 2. दस्तऐवज विंडो","1. ಡಾಕ್ಯುಮೆಂಟ್ ವಿಂಡೋ, 2. ಡಾಕ್ಯುಮೆಂಟ್ ವಿಂಡೋ"
दस्तऐवजीकरण,ದಸ್ತಾವೇಜನ್ನು
"डोमेन, डोमेन","ಡೊಮೇನ್, ಡೊಮೇನ್"
डोमेनचे नाव,ಕಾರ್ಯಕ್ಷೇತ್ರದ ಹೆಸರು
"1. डॉट मॅट्रिक्स प्रिंटर, 2. डॉट मॅट्रिक्स प्रिंटर","1. ಡಾಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಪ್ರಿಂಟರ್, 2. ಡಾಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಪ್ರಿಂಟರ್"
"खाली, खाली","ಕೆಳಗೆ, ಕೆಳಗೆ"
"1.अवलिंक, 2.स्क्वेअर","1.ಅವಲಿಂಕ್, 2.ಚದರ"
डाउनलोड करा,ಡೌನ್ಲೋಡ್
डाउनलोड वेळ,ಡೌನ್‌ಲೋಡ್ ಸಮಯ
कर्षण,ಎಳೆತ
DRAM (डायनॅमिक रॅम),DRAM (ಡೈನಾಮಿಕ್ RAM)
प्रवाह,ಹರಿವು
चालक,ಚಾಲಕ
पाने,ಎಲೆಗಳು
ड्रॉप लिस्ट बॉक्स,ಡ್ರಾಪ್ ಪಟ್ಟಿ ಬಾಕ್ಸ್
ड्रम ड्राइव्ह,ಡ್ರಮ್ ಡ್ರೈವ್
"1.ड्रम प्रिंटर, 2.ड्रम प्रिंटर","1.ಡ್ರಮ್ ಪ್ರಿಂಟರ್, 2.ಡ್ರಮ್ ಪ್ರಿಂಟರ್"
"1. इम युनिट, 2. ड्रम युनिट","1. ಇಮ್ ಘಟಕ, 2. ಡ್ರಮ್ ಘಟಕ"
"1. द्वैत, 2. द्वि","1. ದ್ವಂದ್ವತೆ, 2. ದ್ವಿ"
दुहेरी घनता,ಉಭಯ ಸಾಂದ್ರತೆ
"1. मूक पत्ता, 2. बनावट पत्ता","1. ಮೌನ ವಿಳಾಸ, 2. ನಕಲಿ ವಿಳಾಸ"
डंप,ಡಂಪ್
डुप्लेक्स सर्किट,ಡಬಲ್ ಸರ್ಕ್ಯೂಟ್
कायदेशीरकरण,ಕಾನೂನುಬದ್ಧಗೊಳಿಸುವಿಕೆ
की की,ಪ್ರಮುಖ ಕೀ
"1.D V D R./W, 2. डीव्हीडी वाचन, 3. लेखन","1.ಡಿ ವಿ ಡಿ ಆರ್./ಡಬ್ಲ್ಯೂ, 2. ಡಿವಿಡಿ ಓದುವಿಕೆ, 3. ಬರವಣಿಗೆ"
डीव्हीडी रॉम,ಡಿವಿಡಿ ರಾಮ್
डायनॅमिक सूचना,ಡೈನಾಮಿಕ್ ಸೂಚನೆ
"1.डायनॅमिक मेमरी, 2.डायनॅमिक मेमरी","1.ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ, 2.ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ"
"1. डायनॅमिक्स, 2. डायनॅमिक्स","1. ಡೈನಾಮಿಕ್ಸ್, 2. ಡೈನಾಮಿಕ್ಸ್"
E B C D I C,ಇ ಬಿ ಸಿ ಡಿ ಐ ಸಿ
ई-व्यवसाय,ಇ-ವ್ಯವಹಾರ
प्रतिध्वनी,ಪ್ರತಿಧ್ವನಿ
"1.ई-कॉमर्स, 2.ई-कॉमर्स","1.ಇ-ಕಾಮರ್ಸ್, 2.ಇ-ಕಾಮರ್ಸ್"
संपादन,ಸಂಪಾದನೆ
संपादक,ಸಂಪಾದಕ
शैक्षणिक तंत्रज्ञान,ಶೈಕ್ಷಣಿಕ ತಂತ್ರಜ್ಞಾನ
e e p rom,ಇ ಇ ಪಿ ರೋಮ್
"1. अर्थपूर्ण पत्ता, 2. प्रभावी पत्ता","1. ಅರ್ಥಪೂರ್ಣ ವಿಳಾಸ, 2. ಪರಿಣಾಮಕಾರಿ ವಿಳಾಸ"
अर्थपूर्ण ऑपरेंड पत्ता,ಅರ್ಥಪೂರ್ಣ ಕಾರ್ಯನಿರ್ವಹಣಾ ವಿಳಾಸ
प्रभावी कृती,ಪರಿಣಾಮಕಾರಿ ಕ್ರಮ
प्रभावी UID,ಪರಿಣಾಮಕಾರಿ UID
प्रभावी ट्रांसमिशन ऑपरेशन,ಪರಿಣಾಮಕಾರಿ ಪ್ರಸರಣ ಕಾರ್ಯಾಚರಣೆ
ऑक्टल बाइट,ಆಕ್ಟಲ್ ಬೈಟ್
"इलेक्ट्रॉनिक शिक्षण, ई-लर्निंग","ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಕಲಿಕೆ, ಇ-ಕಲಿಕೆ"
निवडणूक अल्गोरिदम,ಚುನಾವಣಾ ಅಲ್ಗಾರಿದಮ್
इलेक्ट्रॉनिक मेल सेवा (ई-मेल),ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಮೇಲ್ ಸೇವೆ (ಇ-ಮೇಲ್)
"1.इलेक्ट्रॉनिक प्रिंटिंग, 2.इलेक्ट्रॉनिक प्रिंटर","1.ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಪ್ರಿಂಟಿಂಗ್, 2.ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಪ್ರಿಂಟರ್"
इलेक्ट्रिकल अकाउंटिंग मशीन,ವಿದ್ಯುತ್ ಲೆಕ್ಕಪತ್ರ ಯಂತ್ರ
इलेक्ट्रॉनिक्स,ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
इलेक्ट्रॉनिक एक्झॉस्ट सिस्टम (ECS),ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಎಕ್ಸಾಸ್ಟ್ ಸಿಸ್ಟಮ್ (ECS)
इलेक्ट्रॉनिक डेटा एक्सचेंज (EDI),ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ವಿನಿಮಯ (EDI)
इलेक्ट्रॉनिक डेटा प्रोसेसिंग,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ಸಂಸ್ಕರಣೆ
इलेक्ट्रॉनिक ब्रोशर,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಕರಪತ್ರ
इलेक्ट्रॉनिक निधी हस्तांतरण यंत्रणा (EFTS),ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಫಂಡ್ ಟ್ರಾನ್ಸ್ಫರ್ ಮೆಕ್ಯಾನಿಸಂ (EFTS)
"1.इलेक्ट्रॉनिक जर्नल, 2.इलेक्ट्रॉनिक जर्नल","1.ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಜರ್ನಲ್, 2.ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಜರ್ನಲ್"
इलेक्ट्रॉनिक प्रकाशन,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಪ್ರಕಟಣೆ
इलेक्ट्रॉनिक स्विच,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸ್ವಿಚ್
"घटक, घटक","ಅಂಶ, ಅಂಶ"
ई-मेल,ಇ-ಮೇಲ್
"1. ई-मेल पत्ता, 2. इलेक्ट्रॉनिक मेलिंग पत्ता","1. ಇಮೇಲ್ ವಿಳಾಸ, 2. ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಮೇಲಿಂಗ್ ವಿಳಾಸ"
एम्बेडेड प्रणाली,ಎಂಬೆಡೆಡ್ ಸಿಸ್ಟಮ್
एम्बेडिंग,ಎಂಬೆಡಿಂಗ್
एमिटर कपल्ड लॉजिक (ECL),ಹೊರಸೂಸುವ ಕಪಲ್ಡ್ ಲಾಜಿಕ್ (ECL)
मोकळी जागा,ಖಾಲಿ ಜಾಗ
"1. कोरी साखळी, 2. कोरी साखळी","1. ಖಾಲಿ ಸರಪಳಿ, 2. ಖಾಲಿ ಸರಪಳಿ"
यांत्रिकीकरण,ಯಾಂತ್ರೀಕರಣ
"1.कॅप्सुलेशन, 2.कॅप्सुलेशन","1.ಕ್ಯಾಪ್ಸುಲೇಶನ್, 2.ಕ್ಯಾಪ್ಸುಲೇಶನ್"
डिकोडर,ಡಿಕೋಡರ್
एन्कोडिंग,ಎನ್ಕೋಡಿಂಗ್
"1. एन्कोडर, 2. कोडॅक","1. ಎನ್‌ಕೋಡರ್, 2. ಕೊಡಾಕ್"
लपलेला डेटा,ಗುಪ್ತ ಡೇಟಾ
लपलेली फाइल सिस्टम,ಗುಪ್ತ ಫೈಲ್ ಸಿಸ್ಟಮ್
"1. एन्क्रिप्शन, 2. कोडिंग, 3. एन्कोडिंग","1. ಎನ್‌ಕ್ರಿಪ್ಶನ್, 2. ಕೋಡಿಂಗ್, 3. ಎನ್‌ಕೋಡಿಂಗ್"
ब्लॉक एंड,ಬ್ಲಾಕ್ ಅಂತ್ಯ
फाइल-एंड,ಕಡತ-ಅಂತ್ಯ
वापरकर्ता,ಬಳಕೆದಾರ
प्रविष्ट करा,ನಮೂದಿಸಿ
एंट्री की,ಪ್ರವೇಶ ಕೀ
"१.उद्यम सरवर, २.उद्यम सेवक","1. ಉದ್ಯಮ ಸರ್ವರ್, 2. ಉದ್ಯಮ ಸೇವಕ"
एंटरप्राइझ प्रणाली,ಉದ್ಯಮ ವ್ಯವಸ್ಥೆ
शक्ती,ಶಕ್ತಿ
शक्ती आत्मीयता,ಶಕ್ತಿ ಬಾಂಧವ್ಯ
प्रवेश वेळ,ಪ್ರವೇಶ ಸಮಯ
इनपुट व्हेरिएबल,ಇನ್ಪುಟ್ ವೇರಿಯಬಲ್
मोजण्यायोग्य,ಎಣಿಸಬಹುದಾದ
वातावरण,ಪರಿಸರ
"1.युग, 2. युग, 3. सूचना क्षण","1.ಯುಗ, 2. ಯುಗ, 3. ಸೂಚನೆಯ ಕ್ಷಣ"
EPRAM (फायनान्स प्रोग्राम करण्यायोग्य वाचनीय मेमरी),EPRAM (ಹಣಕಾಸು ಪ್ರೋಗ್ರಾಮೆಬಲ್ ಓದಲು-ಮಾತ್ರ ಮೆಮೊರಿ)
एप्सिलॉन कन्व्हेक्टर,ಎಪ್ಸಿಲಾನ್ ಸಂಕೋಚಕ
तुल्यकारक,ಈಕ್ವಲೈಜರ್
उपकरणे,ಉಪಕರಣ
समतुल्य वर्ग,ಸಮಾನತೆಯ ವರ್ಗ
समतुल्य संबंध,ಸಮಾನ ಸಂಬಂಧ
"1. विलोपन, 2. निर्मूलन","1. ಅಳಿವು, 2. ನಿರ್ಮೂಲನೆ"
त्रुटी सुधारणे कोड,ದೋಷ ತಿದ್ದುಪಡಿ ಕೋಡ್
त्रुटी सुधारणे,ದೋಷ ತಿದ್ದುಪಡಿ
त्रुटी शोधणे,ದೋಷ ಪತ್ತೆ
त्रुटी हाताळणी,ದೋಷ ನಿರ್ವಹಣೆ
त्रुटी संदेश,ತಪ್ಪು ಸಂದೇಶ
त्रुटी दर,ದೋಷ ದರ
त्रुटी पुनर्प्राप्ती,ದೋಷ ಚೇತರಿಕೆ
त्रुटी नाव,ದೋಷ ಹೆಸರು
सुटका प्रतीक,ಪಾರು ಚಿಹ್ನೆ
इथरनेट,ಈಥರ್ನೆಟ್
कार्यक्रम,ಈವೆಂಟ್
कार्यक्रम साखळी,ಈವೆಂಟ್ ಸರಣಿ
घटना नियंत्रण,ಈವೆಂಟ್ ನಿಯಂತ್ರಣ
कार्यक्रम काउंटर,ಈವೆಂಟ್ ಕೌಂಟರ್
अपवाद हाताळणी,ವಿನಾಯಿತಿ ನಿರ್ವಹಣೆ
एक्सचेंज डिस्क स्टोरेज,ವಿನಿಮಯ ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ
बहिष्कार,ಹೊರಗಿಡುವಿಕೆ
अनन्य आणि (x किंवा),ವಿಶೇಷ ಮತ್ತು (x ಅಥವಾ)
एक्झिक्युटेबल प्रोग्राम,ಕಾರ್ಯಗತಗೊಳಿಸಬಹುದಾದ ಪ್ರೋಗ್ರಾಂ
अंमलबजावणी विधान,ಮರಣದಂಡನೆ ಹೇಳಿಕೆ
निवडक शोध,ಆಯ್ದ ಹುಡುಕಾಟ
विद्यमान,ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ
समस्या,ಸಮಸ್ಯೆ
तज्ञ प्रणाली,ತಜ್ಞ ವ್ಯವಸ್ಥೆ
"1. अभिव्यक्ती, 2. अभिव्यक्ती","1. ಅಭಿವ್ಯಕ್ತಿ, 2. ಅಭಿವ್ಯಕ್ತಿ"
विस्तारित ग्राफिकल मॅट्रिक्स (x g a),ವಿಸ್ತೃತ ಗ್ರಾಫಿಕಲ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ (x g a)
विस्तारित औद्योगिक मानके (EIS),ವಿಸ್ತೃತ ಕೈಗಾರಿಕಾ ಮಾನದಂಡಗಳು (EIS)
ओव्हरलोड मशीन,ಓವರ್ಲೋಡ್ ಯಂತ್ರ
विस्तारित मेमरी,ವಿಸ್ತೃತ ಸ್ಮರಣೆ
"1. विस्तारित अचूकता, 2. विस्तारित अचूकता","1. ವಿಸ್ತೃತ ನಿಖರತೆ, 2. ವಿಸ್ತೃತ ನಿಖರತೆ"
"1.विस्तारित वर्गीकरण, 2.विस्तारित पृथक्करण","1.ವಿಸ್ತರಿತ ವಿಂಗಡಣೆ, 2.ವಿಸ್ತರಿತ ಪ್ರತ್ಯೇಕತೆ"
कॉल करा,ಕರೆ ಮಾಡಿ
बाह्य त्रुटी,ಬಾಹ್ಯ ದೋಷ
बाह्य कार्य,ಬಾಹ್ಯ ಕಾರ್ಯ
बाह्य व्यत्यय,ಬಾಹ್ಯ ಅಡಚಣೆ
"1.बाह्य मेमरी, 2.बाह्य मेमरी","1.ಬಾಹ್ಯ ಸ್ಮರಣೆ, 2.ಬಾಹ್ಯ ಸ್ಮರಣೆ"
बाह्य मेमरी,ಬಾಹ್ಯ ಸ್ಮರಣೆ
बाह्य मोडेम,ಬಾಹ್ಯ ಮೋಡೆಮ್
बाह्य संदर्भ,ಬಾಹ್ಯ ಉಲ್ಲೇಖ
बाह्य शोध,ಬಾಹ್ಯ ಹುಡುಕಾಟ
बाह्य स्टोरेज डिव्हाइस,ಬಾಹ್ಯ ಶೇಖರಣಾ ಸಾಧನ
काढणे,ಹೊರತೆಗೆಯುವಿಕೆ
एक्सट्रापोलेशन,ಹೊರತೆಗೆಯುವಿಕೆ
पॅनेल वर्ण प्रिंटर,ಫಲಕ ಅಕ್ಷರ ಮುದ್ರಕ
अयशस्वी-सुरक्षा ऑपरेशन,ವೈಫಲ್ಯ-ಸುರಕ್ಷತಾ ಕಾರ್ಯಾಚರಣೆ
अपयशाचा दर,ವಿಫಲತೆಯ ದರ
अयशस्वी डिस्चार्ज,ವೈಫಲ್ಯ ವಿಸರ್ಜನೆ
खोटा कोड,ತಪ್ಪು ಕೋಡ್
खोटी चूक,ತಪ್ಪು ದೋಷ
"1.गुंतवणूक, 2.गुंतवणुकीचे गुण","1.ಹೂಡಿಕೆ, 2.ಹೂಡಿಕೆ ಅಂಕಗಳು"
"1. अंक, 2. अंक क्रमांक","1. ಸಂಚಿಕೆ, 2. ಸಂಚಿಕೆ ಸಂಖ್ಯೆ"
"1. प्रतिकृती I/O डिव्हाइस, 2. प्रतिकृती इनपुट डिव्हाइस/आउटपुट","1. ರೆಪ್ಲಿಕೇಶನ್ I/O ಸಾಧನ, 2. ಪ್ರತಿಕೃತಿ ಇನ್‌ಪುಟ್ ಸಾಧನ/ಔಟ್‌ಪುಟ್"
जलद फोरियर हस्तांतरण,ಕ್ಷಿಪ್ರ ಫೋರ್ಯರ್ ವರ್ಗಾವಣೆ
गंभीर त्रुटी,ಗಂಭೀರವಾದ ತಪ್ಪು
दोष शोधणे,ದೋಷ ಪತ್ತೆ
दोष निदान,ದೋಷ ರೋಗನಿರ್ಣಯ
चुकीची सहनशीलता,ದೋಷಸಹಿಷ್ಣುತೆ
फॅक्स,ಫ್ಯಾಕ್ಸ್
फॅक्स संदेश,ಫ್ಯಾಕ್ಸ್ ಸಂದೇಶ
f dc,ಎಫ್ ಡಿಸಿ
लक्षण शोधणे,ರೋಗಲಕ್ಷಣ ಪತ್ತೆ
चाक भरणे,ತುಂಬುವ ಚಕ್ರ
पुनर्गुंतवणूक,ಮರುಹೂಡಿಕೆ
"1.पुरवठादार, 2.पोषण, 3.फीडर","1. ಪೂರೈಕೆದಾರ, 2. ಪೋಷಣೆ, 3. ಫೀಡರ್"
anyan,ಯಾವುದೇ
फिबोनाची शोध,ಫಿಬೊನಾಕಿ ಅನ್ವೇಷಣೆ
