Malayalam,Odiya
1. പരുക്കൻ 2. പരുക്കൻ 3. അസംസ്കൃതം 4. പരുക്കൻ,1. କଠିନ 2. ରୁଗ୍ 3. କଞ୍ଚା 4. ରୁଗ୍ |
1. കവർ 2. ലെതറെറ്റ്,1. କଭର 2. ଚମଡା
കോയ,କୋୟା
1. കോഎൻസൈം 2. കോ-എൻസൈം,1. କୋଏନଜାଇମ୍ 2. କୋ-ଏନଜାଇମ୍ |
കെട്ടുറപ്പ്,ମିଳନ
1. നാരുകൾ (ചണം ചണം) 2. കോക്കനട്ട് കോഴ്സ്,1. ଫାଇବର (ଜୁଟ୍ ଜଟ୍) 2. ନଡିଆ ନଡିଆ |
മുളങ്കൂർ ചോല,ମୁଲାନକୁର ଚୋଲା |
,
കൊളോയിഡ് (മണ്ണ്),କୋଲଏଡ୍ (ମାଟି)
1.നിര 2.കൊലുമെല്ല,1. ସ୍ତମ୍ଭ 2. କଲୁମେଲା
1. പെനാൽറ്റി 2. കോളം 3. കോളം,1. ଦଣ୍ଡ 2. ସ୍ତମ୍ଭ 3. ସ୍ତମ୍ଭ
കൂട്ടായ്മ,ଯୋଗାଯୋଗ
കൊമേഴ്സ്യൽ ബാങ്ക്,ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ |
1. ചരക്ക് 2. ചരക്ക്,1. ଦ୍ରବ୍ୟ 2. ବାଣିଜ୍ୟ
സമൂഹം,ସମ୍ପ୍ରଦାୟ
സങ്കോചം (മണ്ണിന്റെ),ସଙ୍କୋଚନ (ମାଟିର)
1. അനുയോജ്യത 2. അനുയോജ്യത,1. ସୁସଙ୍ଗତତା 2. ସୁସଙ୍ଗତତା |
അനുയോജ്യത,ସୁସଙ୍ଗତତା
1. നഷ്ടപരിഹാരം 2. നഷ്ടപരിഹാരം,1. କ୍ଷତିପୂରଣ 2. କ୍ଷତିପୂରଣ
മത്സരപരമായ ഇടപെടൽ,ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |
സപ്ലിമെന്റ് വിള,ଫସଲ ସପ୍ଲିମେଣ୍ଟ କରନ୍ତୁ |
1. സംയുക്തം 2. സങ്കീർണ്ണമായ,1. କମ୍ପୋଜିଟ୍ 2. କମ୍ପ୍ଲେକ୍ସ
ഘടകഭാഗം,ବିଧାନସଭା
രചന,ରଚନା
കമ്പോസ്റ്റ്,କମ୍ପୋଷ୍ଟ
കൂട്ടുപലിശ,ଯ ound ଗିକ ଆଗ୍ରହ |
കണക്കുകൂട്ടൽ,ଗଣନା
1. കമ്പ്യൂട്ടർ 2. കമ്പ്യൂട്ടർ,1. କମ୍ପ୍ୟୁଟର 2. କମ୍ପ୍ୟୁଟର
1. ഏകാഗ്രത 2. ഏകാഗ്രത,1. ଏକାଗ୍ରତା 2. ଏକାଗ୍ରତା
1. ഒപ്റ്റിമൈസർ 2. റിവൈറ്റലൈസർ,1. ଅପ୍ଟିମାଇଜର୍ 2. ପୁନର୍ଜୀବନ
ചാലകത,କଣ୍ଡକ୍ଟିଭିଟି
1. കോൺഫിഗറേഷൻ 2. കോൺഫിഗറേഷൻ,1. ବିନ୍ୟାସ 2. ବିନ୍ୟାସ କରନ୍ତୁ
1. അനുരൂപത 2. കോൺഫിഗറേഷൻ 3. അനുരൂപത,1. ଅନୁକୂଳତା 2. ବିନ୍ୟାସ 3. ସମାନତା |
1. സംയോജനം 2. ഹൈബ്രിഡൈസേഷൻ,1. ଏକୀକରଣ 2. ହାଇବ୍ରିଡାଇଜେସନ୍ |
സംയോജനം,ସଂଯୋଗ
1. അഡിറ്റീവ് 2. കണക്റ്റീവ്,1. ଯୋଗୀ 2. ସଂଯୋଜକ |
സംരക്ഷണം,ସୁରକ୍ଷା
ഏകീകരണം,ଏକୀକରଣ
1. ചേരുവ 2. ചേരുവകൾ,1. ଉପାଦାନ 2. ଉପାଦାନଗୁଡ଼ିକ |
ഉപഭോക്താവ്,ଗ୍ରାହକ
ഉപഭോഗം,ବ୍ୟବହାର
മലിനീകരണം,ପ୍ରଦୂଷଣ
കോണ്ടൂർ നടീൽ,କଣ୍ଟୁର ରୋପଣ |
കോണ്ടൂർ ലൈൻ,ବିଷୟବସ୍ତୁ ରେଖା |
1. കരാർ കൃഷി 2. കരാർ കൃഷി 3. കരാർ കൃഷി,1. ଚୁକ୍ତିନାମା ଚାଷ 2. ଚୁକ୍ତିନାମା ଚାଷ 3. ଚୁକ୍ତିନାମା ଚାଷ |
നിയന്ത്രിത അന്തരീക്ഷ സംഭരണം,ନିୟନ୍ତ୍ରିତ ବାୟୁମଣ୍ଡଳ ସଂରକ୍ଷଣ |
സഹകരണ ബാങ്ക്,ସମବାୟ ବ୍ୟାଙ୍କ
സഹകരണ സംഘം അംഗം,ସମବାୟ ସମାଜର ସଦସ୍ୟ |
ഗുൽമാവാൻ,ଗୁଲମାଭାନ୍ |
സമചതുര,କ୍ୟୁବ୍
1. ദൽപുഞ്ച് 2. കൊറോള,1. ଡାଲପୁଞ୍ଜ 2. କରୋଲା |
1. കോർട്ടെക്സ് 2. കോർട്ടക്സ്,1. କର୍ଟେକ୍ସ 2. କର୍ଟେକ୍ସ
ചെലവ്,ମୂଲ୍ୟ
കോട്ടിലിഡൺ,କୋଟିଲଡନ୍ |
ക്രെഡിറ്റ് കമ്മിറ്റി,କ୍ରେଡିଟ୍ କମିଟି
1. കടം കൊടുക്കൽ 2. ക്രെഡിറ്റ്,1. ending ଣ 2. କ୍ରେଡିଟ୍
1. കടം കൊടുക്കുന്നയാൾ 2. കടം കൊടുക്കുന്നയാൾ,1. ender ଣଦାତା 2. କ୍ରେଡିଟର୍
1. ശിഖരം 2. ശീർഷകം 3. ശിഖരം,1. କ୍ରେଷ୍ଟ 2. ଭର୍ଟେକ୍ସ 3. ସ୍ପାୟର୍ |
പിൻവലിക്കൽ,ପ୍ରତ୍ୟାହାର
പ്രശ്നം,ସମସ୍ୟା
പരീക്ഷ,ପରୀକ୍ଷା
വിമർശനാത്മകം,ଗୁରୁତର
വിള ഇൻഷുറൻസ്,ଫସଲ ବୀମା |
വിള വായ്പ,ଫସଲ loan ଣ
1. വിള 2. വിള,1. ଫସଲ 2. ଫସଲ
കൃഷി പ്രദേശം,ଚାଷ କ୍ଷେତ୍ର
ക്രോസ് പൊരുത്തമില്ലാത്ത,କ୍ରସ୍ ଅସଙ୍ଗତ |
1. കിരീടം 2. പിനാക്കിൾ (സസ്യം),1. ମୁକୁଟ 2. ଶିଖର (ଉଦ୍ଭିଦ)
മൃദുവായ കണങ്ങൾ,ନରମ କଣିକା |
പുറംതോട്,ଭୂତଳ
1. ക്രിപ്‌റ്റോഗാം 2. നോൺ-ഫ്ലോറിഫോം,1. କ୍ରିପ୍ଟୋଗାମ 2. ଅଣ-ଫ୍ଲୋରିଫର୍ମ |
അരിവാൾ (പഴം),ଛେଦନ (ଫଳ)
പേന,କଲମ
കൃഷി ഇനം,କୃଷି ପ୍ରକାର
1. ട്രാക്ഷൻ 2. കൃഷി 3. കൃഷി,1. ଟ୍ରାକ୍ସନ୍ 2. କୃଷି 3. ଚାଷ
1. കർഷകൻ 2. കൃഷിക്കാരൻ,1. କୃଷକ 2. କୃଷକ
1. കൃഷി 2. കൃഷി 3. വളർത്തൽ,1. ଚାଷ 2. ଚାଷ 3. ପାଳିବା |
1.വിഭവം 2.തയ്യാറെടുപ്പ്,1. ଉତ୍ସ 2. ପ୍ରସ୍ତୁତି
1.കുന്തളൻ 2.കുഞ്ചോൻ,1. କୁଣ୍ଟାଲାନ୍ 2. କୁଞ୍ଚନ୍ |
ഭാവം,ସ୍ଥିତି
1. പുറംതൊലി 2. പുറംതൊലി,1. ଏପିଡର୍ମିସ୍ 2. କଟିକଲ୍ |
1. പേന 2. മുറിക്കൽ 3. മുറിക്കൽ 4. മുറിക്കൽ 5. മുറിക്കൽ,1. କଲମ 2. କାଟିବା 3. କାଟିବା 4. କାଟିବା 5. କାଟିବା |
1. വിര കോർപ്പസ് 2. സിസ്റ്റ് 3. സിസ്റ്റ് 4. വികലമായ മുഴ 5. നിയോപ്ലാസം,1. ପୋକ କର୍ପସ୍ 2. ସିଷ୍ଟ 3. ସିଷ୍ଟ 4. ବିକୃତ ଲମ୍ପ 5. ନିଓପ୍ଲାଜମ୍ |
സൈറ്റോക്രോം,ସାଇଟୋକ୍ରୋମ୍ |
സെൽ കപ്ലിംഗ്,କକ୍ଷ ଯୋଡି
കോശ പുനരുൽപാദനം,କକ୍ଷ ପ୍ରଜନନ |
സെൽ ജനിതകശാസ്ത്രം,କୋଷ ଜେନେଟିକ୍ସ |
സൈറ്റോപ്ലാസ്മിക് ഡിവിഷൻ,ସାଇଟୋପ୍ଲାଜାମିକ୍ ବିଭାଜନ |
സെൽ ബയോളജി,କୋଷ ଜୀବ ବିଜ୍ଞାନ |
സെൽ ലിസിസ്,ସେଲ୍ ଲାଇସିସ୍ |
1. സൈറ്റോമിയർ 2. സെൽ സെഗ്മെന്റേഷൻ,1. ସାଇଟୋମେର୍ 2. ସେଲ୍ ସେଗମେଣ୍ଟେସନ୍ |
സൈറ്റോപ്ലാസം,ସାଇଟୋପ୍ଲାଜମ୍ |
1. ഡയറി 2. ഡയറി,1. ଦୁଗ୍ଧ 2. ଦୁଗ୍ଧ
ക്ഷീര വ്യവസായം,ଦୁଗ୍ଧ ଶିଳ୍ପ
1. ഡാം 2. ബ്രീഡർ,1. ବନ୍ଧ 2. ପ୍ରଜନକ
ദിവസം സമ്പൂർണ്ണ പ്ലാന്റ്,ଦିନ ସଂପୂର୍ଣ୍ଣ ଉଦ୍ଭିଦ |
പൂവിടുമ്പോൾ ദിവസം,ଫୁଲର ଦିନ ପରେ |
മുഴുവൻ പൂവിടുമ്പോൾ ഒരു ദിവസം,ପୂର୍ଣ୍ଣ ଫୁଲର ଦିନ ପରେ |
കാര്യക്ഷമതയില്ലായ്മ,ଅପାରଗତା |
ഡീകാൽസിഫിക്കേഷൻ,decalcification
1. ഡിസ്ലോഡ്ജ് 2. ഡിസ്ലോഡ്ജ്,1. ସ୍ଥାନାନ୍ତର 2. ସ୍ଥାନାନ୍ତର
ക്ഷയം,କ୍ଷୟ
ഇലപൊഴിയും,ପତଳା
1. ദശാംശം 2. ദശാംശം,1. ଦଶମିକ 2. ଦଶମିକ
അപകർഷത,ତୁଚ୍ଛତା
അനുരൻ (മണ്ണ്),ଅନୁରାନ୍ (ମୃତ୍ତିକା)
വിപുഷ്പൻ,ଭିପୁଷ୍ପନ୍ |
ബില്ലിംഗ്,ବିଲିଂ
വനനശീകരണം,ଜଙ୍ଗଲ ନଷ୍ଟ
അപമാനം,ଅପମାନ
തരംതാഴ്ത്തൽ,ଅବନତି |
ഭാഗം ദിവസം,ପାର୍ଟ ଦିନ
1. അളവ് 2. ഭാഗം,1. ପରିମାଣ 2. ଭାଗ
അപചയം,ଅବହେଳା |
തൊണ്ട നീക്കം,ହଳ ଅପସାରଣ |
തൊണ്ട നീക്കം,ହଳ ଅପସାରଣ |
നിർജ്ജലീകരണം,ଡିହାଇଡ୍ରେସନ୍
ജലരഹിതമായ,ଆନ୍ହାଇଡ୍ରସ୍
ആവശ്യം,ଚାହିଦା
1. ഡീനാറ്ററേഷൻ 2. ഗുണനം,1. ଅବନତି 2. ଗୁଣନ
അപകീർത്തിപ്പെടുത്തൽ,ନିନ୍ଦା
1. നിക്ഷേപം (മണ്ണ്) 2. നിക്ഷേപം (സാമ്പത്തികശാസ്ത്രം),1. ଜମା (ମୃତ୍ତିକା) 2. ଜମା (ଅର୍ଥନୀତି)
നിക്ഷേപം,ଜମା
1. മൂല്യത്തകർച്ച 2. മൂല്യത്തകർച്ച,1. ଅବନତି 2. ଅବନତି
ഉപ്പുനീക്കം,ନିଷ୍କାସନ
1. വെള്ളം ഉണക്കൽ 2. നിർജ്ജലീകരണം,1. ଜଳ ଶୁଖିବା 2. ଡିହାଇଡ୍ରେସନ୍ |
1. ഡിസൈൻ 2. ഡിസൈൻ,1. ଡିଜାଇନ୍ 2. ଡିଜାଇନ୍
വരണ്ട,ଶୁଖୁଆ |
കേർണൽ നീക്കം,କର୍ଣ୍ଣଲ ଅପସାରଣ
ഡി-ഇന്റർകലേഷൻ,ଡି-ଇଣ୍ଟରକାଲେସନ୍ |
സംയോജനം,ସଂଯୋଗ
1. ആൺ മഞ്ജരി വേർതിരിച്ചെടുക്കൽ (ചോളം) 2. ബല്ലാർ വേർതിരിച്ചെടുക്കൽ,1. ପୁରୁଷ ମଞ୍ଜରୀ ନିଷ୍କାସନ (ମକା) 2. ବଲାର୍ ନିଷ୍କାସନ |
ബല്ലാർ അല്ലെങ്കിൽ കുന്ദൻ മുറിക്കൽ,ବଲାର୍ କିମ୍ବା କୁନ୍ଦନ କାଟିବା |
നിർണ്ണയിക്കുന്നയാൾ,ନିର୍ଣ୍ଣୟକାରୀ
മൂല്യച്യുതി,ମୂଲ୍ୟ ହ୍ରାସ
സസ്യഭക്ഷണം,ଡି-ଶାକାହାରୀ |
വ്യതിയാനം,ବ୍ୟତିକ୍ରମ
ഇരട്ടി,ଦୁଇଥର |
രോഗനിർണയം,ନିରାକରଣ
വ്യത്യസ്ത പക്വത,ଭିନ୍ନ ପରିପକ୍ .ତା |
വിഭജനം,ବିଭାଜନ
1. ഡൈക്കോട്ടിലിഡൺ 2. ഡൈക്കോട്ടിലിഡൺ (വിത്ത്),1. ଡିକୋଟିଲଡନ୍ 2. ଡିକୋଟିଲଡନ୍ (ବିହନ)
പുറം രോഗം,ପିଠି ରୋଗ
1. ഡിഫ്യൂഷൻ 2. ഡിഫ്യൂഷൻ,1. ବିଭାଜନ 2. ବିଭେଦ |
ദഹനക്ഷമത,ହଜମ ଯୋଗ୍ୟତା |
ഡൈഹൈബ്രിഡ്,ଡିହାଇବ୍ରିଡ୍ |
1. ഡാം 2. ഡ്രെയിൻ 3. കുടുംബം,1. ଡ୍ୟାମ୍ 2. ଡ୍ରେନ୍ 3. ପରିବାର |
തുച്ഛമായ,ଅଳ୍ପ
1. ഏകഭാര്യ 2. ഏകഭാര്യ,1. ଏକମାତ୍ର 2. ଏକମାତ୍ର |
ഡിപ്ലോയിഡ്,ଡିପ୍ଲଏଡ୍ |
1. ഡിപ്ലോയിഡ് 2. ഡിപ്ലോയിഡ്,1. ଡିପ୍ଲଏଡ୍ 2. ଡିପ୍ଲଏଡ୍ |
ദ്വിധ്രുവം,ଡିପୋଲ୍
1. വേർതിരിച്ചെടുക്കൽ 2. ബഡ് നീക്കം,1. ନିଷ୍କାସନ 2. ବୁଡ୍ ଅପସାରଣ |
1. പ്ലോ പ്ലോവിംഗ് 2. സ്പിന്നിംഗ്,1. ହଳ ହଳ କରିବା 2. ଘୂର୍ଣ୍ଣନ |
കിഴിവ്,ରିହାତି
അണുനശീകരണം,ନିରାକରଣ
1. ഡിസ്പർഷൻ 2. ചിതറിക്കൽ,1. ବିଚ୍ଛେଦ 2. ବିଛାଇବା |
1.ചിതറിക്കൽ 2.വ്യതിയാനം,1. ବିଛାଇବା 2. ଭିନ୍ନତା |
വൈവിധ്യവൽക്കരണം,ବିବିଧକରଣ
വൈവിധ്യമാർന്ന കൃഷി,ବିବିଧ କୃଷି |
ഡിഎൻഎ ഘട്ടം,dna step
ഡിഎൻഎ റിസീവർ,DNA | ରସିଦ
ഡോക്ക് വാടകയ്ക്ക്,ଡକ୍ ନିଯୁକ୍ତି |
ഫലപ്രദമായ,ପ୍ରଭାବଶାଳୀ |
സുഷുപ്തി,ଶୋଇବା
1. അളവ് 2. അളവ് 3. അളവ്,1. ପରିମାଣ 2. ଡୋଜ୍ 3. ଡୋଜ
ഇരട്ട സിഗ്മോയിഡ് കർവ്,ଡବଲ୍ ସିଗମଏଡ୍ ବକ୍ର
1. കാറ്റ് 2. നീട്ടുക,1. ଗସ୍ତ 2. ବିସ୍ତାର
1. എക്‌സ്‌ഹോസ്റ്റ് ഡ്രെയിൻ 2. മലിനജലം,1. ନିଷ୍କାସନ ଡ୍ରେନ୍ 2. ପ୍ରବାହିତ
ഡ്രെയിനേജ്,ଜଳ ନିଷ୍କାସନ
ട്രാക്ഷൻ,ଟ୍ରାକ୍ସନ୍
1. മരുന്ന് കൊടുക്കുക 2. നനയ്ക്കുക,1. medicine ଷଧ ଦିଅ
സൗന്ദര്യവർദ്ധക വസ്തുക്കൾ (വിത്തുകൾ),ପ୍ରସାଧନ ସାମଗ୍ରୀ (ମଞ୍ଜି)
1. ആഗർ 2. ആഴം കുറഞ്ഞ തകരാർ 3. ഡ്രിൽ 4. ആഗർ,1. ଆଗର୍ 2. ଅସ୍ଥାୟୀ ଦୋଷ 3. ଡ୍ରିଲ୍ 4. ଆଗର୍ |
1. ദ്വാരം 2. ഡ്രിൽ 3. ഡ്രിൽ,1. ଛିଦ୍ର 2. ଡ୍ରିଲ୍ 3. ଡ୍ରିଲ୍ |
1. ഡ്രില്ലിംഗ് 2. ഡ്രിൽ ഉപയോഗിച്ച് വിതയ്ക്കൽ 3. ഡ്രിൽ ഉപയോഗിച്ച് ഒഴിക്കുക,1. ଡ୍ରିଲିଂ 2. ଡ୍ରିଲ ସହିତ ବୁଣିବା 3. ଡ୍ରିଲ ସହିତ ing ାଳିବା |
ഡ്രിപ്പ് ഇറിഗേഷൻ,ଡ୍ରପ୍ ଜଳସେଚନ
ഉണങ്ങിയ കൃഷി,ଶୁଖିଲା ଚାଷ
1.പൊടി 2.ബുക്നെ,1. ଧୂଳି 2. ବୁକନି |
1. ഡസ്റ്റർ 2. സ്കാറ്ററർ,1. ଧୂଳି 2. ଛିନ୍ନଛତ୍ରକାରୀ |
തളിക്കാൻ,ଛିଞ୍ଚିବା ପାଇଁ |
1. വാമനൻ 2. വാമനൻ,1. ବଧୂ 2. ଭାମନା |
വാമന പിരമിഡ്,ଭାମନା ପିରାମିଡ୍ |
വാമിനി ഭവൻ,ଭାମିନୀ ଭବନ
പരിസ്ഥിതി ശാസ്ത്രം,ପରିବେଶ
ഇക്കണോമെട്രിക്സ്,ଅର୍ଥନୀତି
സാമ്പത്തിക കാര്യക്ഷമത,ଅର୍ଥନ efficiency ତିକ ଦକ୍ଷତା |
സാഹചര്യ തരം,ପରିସ୍ଥିତି ପ୍ରକାର |
അധിക-സ്ട്രാറ്റിഫൈഡ്,ଅତିରିକ୍ତ ସ୍ତରୀୟ |
മൃദുവായ,ନରମ
മണ്ണ് ശാസ്ത്രം,ମୃତ୍ତିକା ବିଜ୍ଞାନ |
1. ബ്രിഡ്ജിംഗ് 2. എഡ്ജിംഗ് 3. സ്ട്രാൻഡ് ക്ലോഷർ,1. ବ୍ରିଜ୍ 2. ଏଡିଙ୍ଗ୍ 3. ଷ୍ଟ୍ରାଣ୍ଡ୍ ବନ୍ଦ |
ഭക്ഷണ ഭാഗം,ଖାଦ୍ୟ ଅଂଶ
ഡിമാൻഡിന്റെ ഇലാസ്തികത,ଚାହିଦା
ഉത്പാദന ഇലാസ്തികത,ଉତ୍ପାଦନ ଇଲାସ୍ଟିସିଟି |
വൈദ്യുതവിശ്ലേഷണം,ଇଲେକ୍ଟ୍ରୋଲାଇସିସ୍
ഇലക്ട്രോഫോറെസിസ്,ଇଲେକ୍ଟ୍ରୋଫୋରେସିସ୍ |
ആവിയായി,ବାଷ୍ପୀକରଣ
1. ശിരഛേദം 2. വന്ധ്യംകരണം 3. ശിരഛേദം 4. വന്ധ്യംകരണം,1. ଡିକାପିଟେଟର୍ 2. ଷ୍ଟେରିଲାଇଜର୍ 3. ଡେକାପିଟେଟର୍ 4. ଷ୍ଟେରିଲାଇଜର |
1. വീർ ബാൻഡി 2. സ്ട്രോബണ്ടി,1. ୱେର୍ ବାଣ୍ଡି 2. ଷ୍ଟ୍ରବାବାଣ୍ଡି |
ഭ്രൂണം,ଭ୍ରୁଣ
1. ഭ്രൂണശാസ്ത്രം 2. ഭൗതികശാസ്ത്രം,1. ଭ୍ରୁଣ ବିଜ୍ଞାନ 2. ପଦାର୍ଥ ବିଜ୍ଞାନ |
1. പുറത്തുകടക്കുക 2. പുറത്തുകടക്കുക,1. ପ୍ରସ୍ଥାନ 2. ପ୍ରସ୍ଥାନ
എമൽസിഫയർ,ଏମୁଲେସିଫାୟର୍ |
അന്തർജനകമായ,ଏଣ୍ଡୋଜେନସ୍ |
ഇൻട്രാ പോയിന്റ് ഡിവിഷൻ,ଆନ୍ତ a- ବିନ୍ଦୁ ବିଭାଜନ |
ഇൻട്രാ-പാരാസിറ്റിക്,ଆନ୍ତ a- ପରଜୀବୀ |
എൻഡോസ്പേം,ଏଣ୍ଡୋସ୍ପର୍ମ |
എന്റർപ്രൈസ്,ଉଦ୍ୟୋଗ
കീടശാസ്ത്രം,ଏଣ୍ଟୋମୋଲୋଜି |
പരിസ്ഥിതി,ପରିବେଶ
1. എൻസൈം 2. എൻസൈം,1. ଏନଜାଇମ୍ 2. ଏନଜାଇମ୍ |
ക്ലസ്റ്റർ ഗ്രാഫ്റ്റിംഗ്,କ୍ଲଷ୍ଟର ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ |
1. എപ്പിഫൈറ്റ് 2. എപ്പിഫൈറ്റ്,1. ଏପିଫାଇଟ୍ 2. ଏପିଫାଇଟ୍ |
ഇക്വിറ്റി,ଇକ୍ୱିଟି
ഉന്മൂലനം,ବିଲୋପ
അവശ്യ പോഷകങ്ങൾ,ଜରୁରୀ ପୋଷକ ତତ୍ତ୍ୱ |
1. അളവ് 2. ജമ്പ് 3. വിലയിരുത്തൽ,1. ମାପ 2. ଡେଇଁବା 3. ମୂଲ୍ୟାଙ୍କନ |
സൂക്ഷ്മത,ସୁନ୍ଦରତା
സുജനിക്,ସୁଜନିକ୍ |
മൂല്യനിർണ്ണയം,ମୂଲ୍ୟାଙ୍କନ
സ്റ്റീം ഗേജ്,ବାଷ୍ପ ଗେଜ୍ |
ബാഷ്പീകരണ പ്രചോദനം,ବାଷ୍ପୀକରଣ
ശാശ്വത വിപ്ലവം,ଅନନ୍ତ ବିପ୍ଳବ |
1. നിത്യഹരിതം 2. നിത്യഹരിതം,1. ଚିର ସବୁଜ 2. ଚିର ସବୁଜ |
വികസനം,ବିକାଶ
വിച്ഛേദിക്കുക,ବିଛିନ୍ନ ହେବା
പരീക്ഷയ് (ഫെർട്ടിലിറ്റി),ପାରିକଶାୟ (ଉର୍ବରତା)
ചൂഷണം,ଶୋଷଣ
1. പര്യവേക്ഷണം 2. പര്യവേക്ഷണം,1. ଅନୁସନ୍ଧାନ 2. ଅନୁସନ୍ଧାନ
1. എക്സ്ട്രൂഷൻ 2. എമിഷൻ,1. ନିର୍ବାହ 2. ନିର୍ଗମନ
കണ്ണ്,ଆଖି
1. ഘടകം 2. ഘടകം 3. ഘടകം 4. റിസോഴ്സ്,1. କାରକ 2. ଉପାଦାନ 3. କାରକ 4. ଉତ୍ସ |
ഘടകം ഉത്പാദനക്ഷമത,କାରକ ଉତ୍ପାଦକତା |
വ്യാപാരിയുടെ കിഴിവ്,ବ୍ୟବସାୟୀଙ୍କ ରିହାତି
ഫാക്‌ടോറിയൽ ബ്ലോക്ക് ഡിസൈൻ,ଫ୍ୟାକ୍ଟୋରିଆଲ୍ ବ୍ଲକ୍ ଡିଜାଇନ୍ |
ബദൽ,ବିକଳ୍ପ
1. പട്ടി 2. പലിഹാർ,1. ପାଟି 2. ପାଲିହାର |
മൊത്തത്തിലുള്ള,ମୋଟ
ഫീൽഡ് മൂല്യനിർണ്ണയം,କ୍ଷେତ୍ର ମୂଲ୍ୟାଙ୍କନ |
കാർഷിക ബജറ്റിംഗ്,ଚାଷ ବଜେଟ୍
കാർഷിക ബിസിനസ്സ്,କୃଷି ବ୍ୟବସାୟ
ഫീൽഡ് ആസൂത്രണം,କ୍ଷେତ୍ର ଯୋଜନା
1. കർഷകൻ 2. കർഷകൻ,1. କୃଷକ 2. କୃଷକ
1. കൃഷി 2. കൃഷി,1. କୃଷି 2. ଚାଷ
കൂട്ടിയിടി,ଧକ୍କା |
ഒന്നിലധികം പ്രജനനം,ଏକାଧିକ ପ୍ରଜନନ |
അഴുകൽ,fermentation
ഫെർട്ടിലിറ്റി,ଉର୍ବରତା |
വളം,ସାର
വളം ഉപയോഗം കാര്യക്ഷമത,ସାର ବ୍ୟବହାର ଦକ୍ଷତା |
നാരുകളുള്ള,ଫାଇବ୍ରସ୍ |
1. ഫാം 2. ഏരിയ 3. സ്ഥലം,1. ଚାଷ 2. କ୍ଷେତ୍ର 3. ସ୍ଥାନ
മണ്ണ് വെള്ളം പിടിക്കൽ,ମୃତ୍ତିକା ଜଳ ଧାରଣ
ഫീൽഡ് പ്രദർശനം,କ୍ଷେତ୍ର ପ୍ରଦର୍ଶନ
1. ഇമ്മൊബിലൈസേഷൻ 2. ഫിക്സേഷൻ 3. ഫിക്സേഷൻ,1. ଅସ୍ଥିରତା 2. ସ୍ଥିରତା 3. ସ୍ଥିରତା |
1. വെള്ളപ്പൊക്കം 2. ഇംപ്രെഗ്നേഷൻ,1. ଅବନତି 2. ଗର୍ଭଧାରଣ
ഒഴുക്ക് ഡയഗ്രം,ପ୍ରବାହ ଚିତ୍ର
ഭക്ഷണ മൂല്യം,ଖାଦ୍ୟ ମୂଲ୍ୟ
കാലിത്തീറ്റ,ଖାଇବାକୁ |
പ്രവചനം,ପୂର୍ବାନୁମାନ
വനം,ଜଙ୍ଗଲ
വനവൽക്കരണം,ବୃକ୍ଷରୋପଣ
1. ടാഡ്പാർൺ 2. ഫോം,1. ତାଡପର୍ନ୍ 2. ଫର୍ମ |
മഞ്ഞ് പ്രതിരോധം,ବରଫ ପ୍ରତିରୋଧକ |
1. പാലാ 2. ബ്ലൈറ്റ്,1. ପାଲା 2. ବ୍ଲାଇଟ୍ |
1. മരവിച്ച 2. മരവിച്ച,1. ଫ୍ରିଜ୍
പ്രവർത്തനം,କାର୍ଯ୍ୟ
1. ഫ്രൂട്ട് ഫാൾ 2. ഫ്രൂട്ട് ഫാൾ,1. ଫଳ ପତନ 2. ଫଳ ପତନ |
ഫലമായിത്തീരുന്നു,ଫଳ ପାଅ |
1. ഫ്യൂമിഗേഷൻ 2. ഫ്യൂമിഗേഷൻ,1. ଧୂମପାନ
കുമിൾനാശിനി,ଫଙ୍ଗିସାଇଡ୍ |
ആന്റിഫംഗൽ,ଆଣ୍ଟିଫଙ୍ଗାଲ୍ |
കുമിൾ,କବକ
1. ഖുദ് 2. സീത,1. ଖୁଦ୍ 2. ସୀତା |
1. ഫ്യൂഷൻ 2. ഫ്യൂഷൻ,1. ଫ୍ୟୁଜନ୍ 2. ଫ୍ୟୁଜନ୍ |
പഞ്ഞി,ସୂତା ଲୋମ
രോമമുള്ള,ଲୋମଶାଳୀ |
1. ട്രീ അൾസർ 2. പിടിക,1. ବୃକ୍ଷ ଅଲସର 2. ପିଟିକା |
1. ഗേമറ്റുകൾ 2. ഗെയിമറ്റുകൾ,1. ଗ୍ୟାମେଟସ୍
1. പൂന്തോട്ടം 2. പൂന്തോട്ടം,1. ଉଦ୍ୟାନ 2. ଉଦ୍ୟାନ
1. പൻസാൽ 2. ഹൈഡ്രോമീറ്റർ,1. ପାନ୍ସଲ୍ 2. ହାଇଡ୍ରୋମିଟର |
ജീൻ ശേഖരണം,ଜିନ୍ ସଂଗ୍ରହ
ജീൻ ടാഗൺ,ଜିନ୍ ଟ୍ୟାଗନ୍ |
വംശാവലി,ବଂଶାନୁକ୍ରମିକ
ജീൻ മാപ്പ്,ଜିନ୍ ମାନଚିତ୍ର
ജനിതകശാസ്ത്രം,ଜେନେଟିକ୍ସ
1. ജീനോം 2. സംഗീൻ,1. ଜେନୋମ୍ 2. ସାଙ୍ଗେନ |
