Gujarati,English
સડો વળાંક,decay curve
ભવ્ય કાર્ય,decent function
દેશીગ્રામ,decigram
દશાંશ,decile
"દશાંશ, દશાંશ",decimal
દશાંશ કોડ,decimal code
દશાંશ કોડેડ અંક,decimal coded digit
દશાંશ વિસ્તરણ,decimal expansion
દશાંશ અપૂર્ણાંક,decimal fraction
દશાંશ સંકેત સિસ્ટમ,decimal notation
દશાંશ સંકેત સિસ્ટમ,decimal numbering system
દશાંશ બિંદુ,decimal point
દશાંશ સ્કેલ,decimal scale
દશાંશ સિસ્ટમ,decimal system
ડેસીમીટર,decimeter
એન્કોડિંગ,deciphering
નિર્ણય મોડલ,decision model
નિર્ણય સિદ્ધાંત,decision theory
નિર્ણય ચલ,decision variable
"ડીકોડર, ડીકોડર",decoder
"એન્કોડિંગ, ડીકોડિંગ",decoding
અલગ કરી શકાય તેવો સમૂહ,decomposable set
ઘટતું,decreasing
ઘટતું કાર્ય,decreasing function
Dedekind-કટ,Dedekind's cut
ડેડકાઇન્ડ-પ્રમેય,Dedekind's theorem
સમાવિષ્ટ કરવું,deduce
કોર્પોરેટ પ્રેક્ટિસ,deductive method
ખોટું,defective
વ્યાખ્યાત્મક સમીકરણ,defining equation
ચોક્કસ અભિન્ન,definite integral
નિશ્ચિત મેટ્રિક્સ,definite matrix
"વ્યાખ્યા, સ્પષ્ટતા, નિશ્ચિતતા",definition
વિરૂપતા વળાંક,deformation curve
વિકૃત પૃષ્ઠ,deformed surface
"વ્યભિચાર, બદનામી",degeneracy
પરિવહન સમસ્યાઓમાં અસ્પષ્ટતા,degeneracy in transporation problems
"ડિગ્રી, ડિગ્રી, ડિગ્રી, ડિગ્રી, જથ્થો, તીવ્રતા, ડિગ્રી",degree
વિભેદક સમીકરણની શક્તિ,degree of differential equation
"સ્વતંત્રતાની ડિગ્રી, સ્વતંત્રતાની ડિગ્રી",degree of freedom
બહુપદીની શક્તિ,degree of polynomial
હાંકી કાઢવામાં આવેલ ટોળકી,deleted neighbourhood
ડેલ્ટા કાર્ય,delta function
માંગ અને ઉપયોગિતા વળાંક,demand and utility curve
માંગ સમીકરણ,demand equation
માંગ કાર્ય,demand function
વસ્તી વિષયક અભ્યાસ,demographic study
વસ્તી વિષયક,demography
મોવર પ્રમેય,De Moivre’s theorem
"દર્શાવવું, સાક્ષી આપવી, દર્શાવવું",demonstrate
"રજૂઆત, પુરાવો, પ્રદર્શન, પ્રદર્શન",demonstration
પ્રતિનિધિત્વ ભૂમિતિ,demonstrative geometry
દરેક,denominator
ગાઢ એકંદર,dense set
"ઘનતા, ઘનતા",density
ગણવાયોગ્ય સમૂહ,denumerable set
ચડતી સ્થિર,departing variables
આશ્રિત ઘટના,dependent event
આશ્રિત રેન્ડમ ચલ,dependent random variable
આશ્રિત ચલ,dependent variable
આશ્રિત ચલ,dependent variate
હતાશાનો કોણ,depression angle
"વ્યુત્પન્ન, વ્યુત્પન્ન, તફાવત",derivation
"વ્યુત્પન્ન, વ્યુત્પન્ન",derivative
વ્યુત્પન્ન શ્રેણી,derived series
મેળવેલ સમૂહ,derived set
"ઉતરતા, ઉતરતા",descending
ઉતરતા ક્રમમાં,descending order
ઉતરતી શ્રેણી,descending series
પ્રોજેક્ટિવ ભૂમિતિ,descriptive geometry
વર્ણનાત્મક મોડેલ,descriptive model
વર્ણનાત્મક આંકડા,descriptive statistics
"ડિઝાઇન કરવી, ડિઝાઇન કરવી, ડિઝાઇન કરવી (ed.), ડિઝાઇન કરવી, ડિઝાઇન કરવી (n.)",design
પ્રયોગની ડિઝાઇન,design of experiment
ડેસ્ક કેલ્ક્યુલેટર,desk calculator
"ઓળખ, શોધ",detection
"નિર્ધારક, નિર્ધારક, નિર્ધારક",determinant
નિર્ણાયક ક્રમ,determinant rank
નક્કી કરવા માટે,determine
નિર્ધારિત મોડેલ,deterministic model
નિર્ણાયક સમસ્યા,deterministic problem
વિચલન,deviation
વિચલન ગુણાંક,deviation coefficient
દ્વિસંગી સિસ્ટમ,diadic system
વિકર્ણ કર્ણ,diagonal
મેટ્રિક્સ કર્ણકરણ,diagonalization of a matrix
"વિકર્ણ મેટ્રિક્સ, વિકર્ણ મેટ્રિક્સ",diagonal matrix
કર્ણ સમાનતા,diagonal similarity
રેખાકૃતિ,diagram
ચિત્રકામ પદ્ધતિ,diagrammatic method
ગ્રાફિકલ રજૂઆત,diagrammatic presentation
વ્યાસ,diameter
વ્યાસ સેટ કરો,diameter of a set
ડાયમેટ્રિકલી વિરુદ્ધ,diametrically opposite
"ક્રોસફાયર, ડાઇસ ફેંકો",dice throw
ઉભયજીવી વર્ગીકરણ,dichotomous classification
"વિભાજન, અડધું",dichotomy
શબ્દકોશ,dictionary order
વિભેદક કલન,difference calculus
વિભેદક સમીકરણ,difference equation
વિભેદક સૂત્ર,difference formula
વિભેદક પદ્ધતિ,difference method
સેટનો તફાવત,difference of sets
વિભેદક,differentiable
વિભેદક વળાંક,differentiable curve
વિભેદક કાર્ય,differentiable function
"વિભેદક, વિભેદક, વિભેદક, આંતરપ્રાપ્તિ, આંતરવ્યક્તિ, વિભેદક",differential
વિભેદક ગણિત,differential calculus
વિભેદક ગુણાંક,differential coefficient
વિભેદક સમીકરણ,differential equation
વિભેદક અથડામણ,differential form
વિભેદક સૂત્ર,differential formula
વિભેદક કાર્ય,differential function
વિભેદક ભૂમિતિ,differential geometry
ઉચ્ચ ઓર્ડર તફાવત,differential of higher order
વિભેદક સેગમેન્ટ,differential quotient
તફાવત કરવો,differentiate
"ભેદભાવ, ભેદભાવ",differentiation
વિભેદક સૂત્ર,differentiation formula
વેક્ટરનો તફાવત,differentiation of vector
"પ્રસરણ, પ્રસરણ",diffusion
"અંક, મુદ્રા, આંગળી",digit
ડિજિટલ કમ્પ્યુટર,digital computer
અંકી દત્ત,digital data
"હદ, પહોળાઈ, પરિમાણ, શક્તિ",dimension
પરિમાણ,dimensionality
પરિમાણહીન,dimensionless
સમીકરણ પરિમાણ,dimension of an equation
ડાયોફન્ટસનું સમીકરણ,diophantine equation
પતનનો કોણ,dip angle
દ્વિધ્રુવ કોઓર્ડિનેટ્સ,dipolar coordinates
દ્વિધ્રુવ,dipole
બાયપીરામિડ,dipyramid (bipyramid)
ડીરાક ડેલ્ટા કાર્ય,Dirac delta function
સામાન્ય સ્પર્શક,direct common tangent
જમણો ખૂણો,directed angle
સીધી રેખા,directed line
જગ્યા વ્યુત્પન્ન,directional derivative
"ડીકોસિન, ડીકો-કોસાઇન",direction cosine
મહત્તમ દિશા,direction of maxima
પ્રક્ષેપણ દિશા,direction of projection
દિશા ગુણોત્તર,direction ratio
નિયમનકારી વર્તુળ,director circle
નિયમનકાર વર્તુળ,director sphere
અનુલોમા ઉત્પાદન,direct product
"સીધો પુરાવો, સીધો પુરાવો",direct proof
અનુક્રમિક ગુણોત્તર,direct proportion
નિયતિ,directrix
અનુલોમા સરવાળો,direct sum
અસંબંધિત સમૂહ,disconncted sets
"નિરંતરતા, નિરંતરતા, વિરામ",discontinuity
વ્યુત્પન્નતાની વિરામ,discontinuity of derivative
પ્રથમ પ્રકારનું વિરામ,discontinuity of the first kind
બીજા પ્રકારનું વિરામ,discontinuity of the second kind
અવ્યવસ્થિત વિતરણ,discontinuous distribution
અવ્યવસ્થિત કાર્ય,discontinuous function
અવ્યવસ્થિત તફાવત,discontinuous variate
રજકણ,discrete
અવ્યવસ્થિત વિતરણ,discrete distribution
અસંતુલિત સંભાવના વિતરણ,discrete probability distribution
અવ્યવસ્થિત રેન્ડમ ચલ,discrete random variable
અવિરત નમૂના જગ્યા,discrete sample space
અલગ એકંદર,discrete set
અલગ વસ્તી,discrete space
અલગ રાજ્ય,discrete topology
અવ્યવસ્થિત તફાવત,discrete variate
વિતરણ કર,discriminant
ભેદભાવપૂર્ણ વિશ્લેષણ,discriminatory analysis (=discriminant analysis)
અસંબંધિત,disjoint
અસંબદ્ધ ઘટના,disjoint events
અસંબંધિત સમૂહ,disjoint sets
અસંબંધિત નિવેશ,disjoint union
"વિભાજન, તર્કસંગત સરવાળો",disjunction
"વિખેરવું, વિખેરવું",dispersion
વિક્ષેપ ચાર્ટ,dispersion chart
વિક્ષેપ સૂચકાંક,dispersion constant
વિક્ષેપ રેખાકૃતિ,dispersion diagram
વિક્ષેપ મેટ્રિક્સ,dispersion matrix (=covariance matrix)
વિસ્થાપન,displacement
પ્રદર્શન,display
કન્સોલ,display unit (=consol)
"અસમાન, અસમાન",dissimilar
વિસર્જન બળ,dissipative forces
અંતર કાર્ય,distance function
અંતર મોડ્યુલસ,distance modulus
બિન-વિતરણકારક,distribution-free method
"વિતરણ નિયમ, વિતરણ નિયમ",distributive law
"વિખેરી નાખવું, વિખેરી નાખવું",diverge
"ભિન્નતા, ભિન્નતા, ભિન્નતા",divergence
વિચલન પ્રમેય,divergence theorem
જુદીજુદી,divergent
અલગ શ્રેણી,divergent series
વિભાજિત તફાવત,divided difference
"વિભાજ્યતા, વિભાજ્યતા",divisibility
"વિભાજ્ય, વિભાજ્ય",divisible
"વિભાજન, વિભાજન, વિભાજન",division
વિભાજન અલ્ગોરિધમ,division algorithm
વિભાજિત રિંગ,division ring
ચતુર્ભુજ,dodecagon
દશકોણ,dodecahedron
"ડોમેન, ડોમેન, પ્રાંત, પ્રદેશ",domain
કાર્યનું ડોમેન,domain of a function
વ્યાખ્યા-પ્રાંત,domain of definition
અસ્તિત્વની સ્થિતિ,domain of existence
ઓવરરાઇડિંગ ઉપકરણ,dominant strategy
ડોપ્લર અસર,doppler effect
"બિંદુ ઉત્પાદન, સ્કેલર ઉત્પાદન",dot product
ડોટેડ વળાંક,dotted curve
બેવડા તફાવત,double differentiation
ડબલ ઘાતાંકીય વિતરણ,double exponential distribution
ડબલ કોઇલ,double helix
દ્વિસંગી અભિન્ન,double integral
દ્વિસંગી એકીકરણ,double integration
ડબલ મર્યાદા,double limit
ડબલ સેમ્પલિંગ ઇવેન્ટ,double sampling plan
ડબલ ક્રમ,double sequence
ડબલ શ્રેણી,double series
ડબલ-જોડાયેલ નોટેશન,double suffix notation
ડબલ સંકલન,double summation
નીચે તરફ પ્રવેગક,downward acceleration
નીચે તરફનું વિસ્થાપન,downward displacement
નીચેની ગતિ,downward motion
નીચે તરફનો વેગ,downward velocity
ટ્રેક્શન,drag
ટ્રેક્શન બળ,drag force
"બેવડી દ્વૈતતા,",dual
ડ્યુઅલ બેઝ,dual basis
દ્વિ આંતરિક ઉત્પાદન,dual inner product
ડ્યુઅલ રેખીય પ્રોગ્રામિંગ સમસ્યા,dual linear programming problem
"ડબલ ઓપરેશન, ડ્યુઅલ ઓપરેશન",dual operation
બેવડી સમસ્યા,dual problem
ડ્યુઅલ સિંગલ અલ્ગોરિધમ,dual simplex algorithm
ડ્યુઅલ સિંગલ પદ્ધતિ,dual simplex technique
બેવડી જગ્યા,dual space
દ્વિ ચલ,dual variable
ડ્યુઅલ વેક્ટર જગ્યા,dual vector space
મૌન અનુક્રમણિકા,dummy index
મૌન ફૂટર,dummy subscript
મૌન કરાર,dummy suffix
શાંત ચલ,dummy variable
ડુપ્લિકેશન,duplicator process
ગતિશીલ,dynamical
ગતિશીલ સિસ્ટમ,dynamical system
ગતિશીલ માંગ કાર્ય,dynamic demand function
ગતિશીલ મોડેલ,dynamic model
ગતિશીલ પ્રોગ્રામિંગ,dynamic programming
ગતિશીલ પ્રોગ્રામિંગ અભિગમ,dynamic programming approach
ગતિશીલ પ્રોગ્રામિંગ તકનીકો,dynamic programming technique
"ગતિશીલતા, ગતિશીલતા",dynamics
કણ ગતિશીલતા,dynamics of a particle
સખત શરીરની ગતિશીલતા,dynamics of rigid bodies
"પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી સંપર્ક (ver.)",earth
ભૂકંપની તીવ્રતા,earthquake intensity
તરંગીતા,eccentricity
ધારણા,eclipse
ઇકોનોમેટ્રિક આગાહી,econometric forecast
અર્થશાસ્ત્રી,econometrician
અર્થશાસ્ત્ર,econometrics
અર્થશાસ્ત્ર,economics
"કોર, ધાર, આંસુ",edge
એકંદર કોરનો સામનો કરવો,edge of a convex set
કાર્યક્ષમતા સૂચકાંક,efficiency factor
લાક્ષણિક તત્વ,eigen element
લાક્ષણિક કાર્ય,eigen function
"eigen મૂલ્ય, લાક્ષણિકતા મૂલ્ય",eigen value
લાક્ષણિક મૂલ્ય સમીકરણ,eigen value equation
"ઇજેન વેક્ટર, લાક્ષણિક વેક્ટર",eigen vector
સ્થિતિસ્થાપક,elastic
સ્થિતિસ્થાપક કાસ્ટ,elastic constant
સ્થિતિસ્થાપક સંતુલન,elastic equilibrium
સ્થિતિસ્થાપકતા,elasticity
સ્થિતિસ્થાપકતા પાનું,elasticity surface
"ઇલેક્ટ્રોનિક કમ્પ્યુટર, ઇલેક્ટ્રોનિક કમ્પ્યુટર",electronic computer
"તત્વ, તત્વ, તત્વ",element
પ્રારંભિક કૉલમ કામગીરી,elementary column operation
પ્રારંભિક ઘટના,elementary event
પ્રારંભિક કાર્ય,elementary function
પ્રારંભિક કામગીરી,elementary operation
પ્રારંભિક પરિણામો,elementary outcome
પ્રારંભિક સંભાવના નિયમ,elementary probability law
શરૂઆતની લાઇન કામગીરી,elementary row operation
"નાશ કરવો, નાશ કરવો,",eliminate
રિઝોલ્યુશન પ્રક્રિયા,elemination procedure
"એલિપ્સ, એલિપ્સ",ellipse
લંબગોળ,ellipsoid
લંબગોળ,ellipsoidal
લંબગોળ સપાટી,ellipsoidal surface
લંબગોળ શરીર,elliptical body
એમ્બેડિંગ,embedding
ઉત્સર્જન,emission
પ્રયોગમૂલક વિશ્વાસ,empirical data
પ્રયોગમૂલક સૂત્ર,empirical formula
પ્રયોગમૂલક સંભાવના,empirical probability
પ્રયોગમૂલક સંબંધ,empirical relation
ખાલી સેટ,empty set
બંધાયેલ,enclosed
"એન્કોડિંગ, કોડિંગ",encoding
આંતરકાર્યક્ષમતા,endomorphism
અંતિમ બિંદુ,end point
વર્ગ અંતરાલનો અંતિમ બિંદુ,end point of class interval
ઊર્જા,energy
ઊર્જા-વેગ ઘટક,energy momentum component
પ્રવેશ ચલ,entering variable
ગણવાયોગ્ય સમૂહ,enumerable set
"ગણતરી, ગણતરી",enumeration
"સમાન, સમાન, સમાન, સમાન",equal
"સમાનતા, સમાનતા",equality
શક્યતા,equally likely
પણ સંભાવના પસંદગી પદ્ધતિ,equal probability selection method (=epsem)
બરાબરી,equate
"સમીકરણ, સમીકરણ",equation
ચતુર્ભુજ સમીકરણ,equation of first degree
ચતુર્ભુજ સમીકરણ,equation of second degree
ચતુર્ભુજ સમીકરણ,equation of third degree
"વિષુવવૃત્ત, વિષુવવૃત્ત, મધ્યરેખા",equator
સુસંગત,equicontinuous
સમભુજ,equilateral
"સંતુલન, સંતુલન, સંતુલન",equilibrium
બળ સંતુલન,equilibrium of forces
સંતુલન બિંદુ,equilibrium point
સમાનતા,equivalence
સમાનતા વર્ગ,equivalence class
સમાનતા સંબંધ,equivalence relation
"સમકક્ષ, સમકક્ષ (v.), સમકક્ષ (ed.)",equivalent
સમકક્ષ મેટ્રિક્સ,equivalent matrix
સમકક્ષ સમૂહ,equivalent set
વૃત્તિઓ,ergodicity
"ભૂલ, ભૂલ, ભૂલ, અચોક્કસતા",error
ભૂલ વિશ્લેષણ,error analysis
ભૂલ કોડ,error code
ભૂલ ગુણાંક,error coefficient
ચોરસ સરેરાશ ભૂલ,error of mean square
પ્રથમ પ્રકારની ભૂલ,error of the first kind
બીજા પ્રકારની ભૂલ,error of the second kind
બચવાની સંભાવના,escape probability
એસ્કેપ વેગ,escape velocity
ઇ. શ્મિટ મોબિલાઇઝેશન પ્રક્રિયા,E. Schmidt's orthogonalization process
બહિર્મુખ,escribed circle
"આવશ્યક, આવશ્યક",essential
વર્ચ્યુઅલ અનન્ય,essentially unique
"મૂલ્યાંકન કરવું, મૂલ્યાંકન કરવું (વેર.), મૂલ્યાંકન કરવું (સં.)",estimate
અંદાજ પદ્ધતિ,estimation method
યુક્લિડિયન કોઓર્ડિનેટ્સ,Euclidean coordinate
યુક્લિડિયન ડોમેન,Euclidean domain
યુક્લિડિયન ભૂમિતિ,Euclidean geometry
યુક્લિડિયન એન-સ્પેસ,Euclidean n-space
યુક્લિડિયન પ્લેન,Euclidean plane
યુલરનું પ્રમેય,Euler's theorem
"મૂલ્યાંકન, મૂલ્યાંકન",evaluate
સમ,even
પણ વળાંક,even curve
સમ કાર્ય,even function
પ્રત્યાવર્તન પણ,even multiple
બેકી સંખ્યા,even number
વિચિત્ર સમપ્રમાણતા,even odd symmetry
પણ ક્રમચય,even permutation
"ઘટના, એપિસોડ",event
આઇસોમેટ્રિક,even term
"બરાબર, બરાબર, બરાબર",exact
ચોક્કસ ચી-સ્ક્વેર ટેસ્ટ,exact chi-square test
ચોક્કસ તફાવત,exact differential
ચોક્કસ સમીકરણ,exact equation
ઉદાહરણ,example
વિનિમય,exchange
ચોક્કસ ઘટના,exhaustive event
અસ્તિત્વનો સ્વયંસિદ્ધ,existence axiom
જીવન ટકાવી રાખવાની સંભાવના,existence probability(= a priori probability)
અસ્તિત્વ પ્રમેય,existence theorem
બાહ્ય ચલ,exogenous variable
"ફેલાવો, ફેલાવો",expansion
અપેક્ષા કાર્ય,expectation function
અપેક્ષિત આવર્તન,expected frequency
અપેક્ષિત મૂલ્ય,expected value
પ્રયોગ,experiment
"પ્રાયોગિક ભૂલ, પ્રાયોગિક ભૂલ",experimental error
"સમજૂતી, સમજૂતી",explanation
સ્પષ્ટ સમીકરણ,explicit equation
સ્પષ્ટપણે,explicit form
સ્પષ્ટ કાર્ય,explicit function
સ્પષ્ટ ઉકેલ,explicit solution
ઘાત,exponent
ઘાતાંકીય વળાંક,exponential curve
ઘાતાંકીય સંભાવના કાર્ય,exponential density function
ઘાતાંકીય વિતરણ,exponential distribution
ઘાતાંકીય સમીકરણ,exponential equation
ઘાતાંકીય કાર્ય,exponential function
"ઘાતાંકીય વૃદ્ધિ, ઘાતાંકીય વૃદ્ધિ",exponential growth
ઘાતાંકીય નિયમ,exponential law
ઘાતાંકીય નકશો,exponential map
"ઘાતાંકીય શ્રેણી, ઘાતાંકીય શ્રેણી",exponential series
"અભિવ્યક્તિ, અભિવ્યક્તિ, ચહેરાના હાવભાવ, અભિવ્યક્તિ",expression
વિસ્તૃત અંતરાલ,extended interval
વિસ્તૃત વાસ્તવિક રેખા,extended real line
વિસ્તૃત વાસ્તવિક સંખ્યા સિસ્ટમ,extended real number system
મેપિંગ એક્સ્ટેંશન,extension of a mapping
બાહ્ય કોણ,exterior angle
બાહ્ય ઝોન,exterior area
બાહ્ય બિંદુ,exterior point
બાહ્ય,external
અનુમાન મૂલ્યનું એક્સ્ટ્રાપોલેશન,extrapolation of trend value
એક્સ્ટ્રાપોલેશન તકનીક,extrapolation technique
ટોચનું મૂલ્ય,extremal value
"આત્યંતિક, અંત, આત્યંતિક, પરાકાષ્ઠા",extreme
ઉચ્ચ બિંદુ,extreme point
વિરોધી સમૂહનો આત્યંતિક બિંદુ,extreme point of convex set
કાર્યનું આત્યંતિક મૂલ્ય,extremum of a function
આત્યંતિક ગુણધર્મો,extremum property
"ચહેરો, બાજુ, આગળ",face
ફેસ વેલ્યુ,face value
"ઘટક, પરિબળ, પરિબળ, કલમ,",factor
પરિબળ વિશ્લેષણ,factor analysis
ખંડિત,factored
ફેક્ટોરિયલ,factorial
બહુવિધ પરિબળ ડિઝાઇન,factorial design
ફેક્ટરીકરણ,factorization
પરિબળ માટે,factorise
ન્યાય રમત,fair game
"વર્ચ્યુઅલ, ખોટા, કોડ",FALSE
"કુટુંબ, કુટુંબ, કુળ, કુટુંબ",family
વર્તુળ કુલ,family of circles
વળાંક કુલ,family curves
કાર્યોનું કુટુંબ,family of functions
કુલ રેખા,family of lines
પ્રતિકૃતિ,facsimile
F-વિતરણ,F-distribution
સુસંગત આધાર ઉકેલ,feasible basic solution
સુસંગત ઉકેલ,feasible solution
"રિચાર્જ, પુનઃરોકાણ",feed back
ફર્મનો કાયદો,Fermat principle
ફર્માના પ્રમેય,Fermat's theorem
ફર્મી-ડિરાક-સ્ટેટિસ્ટિક્સ,Fermi-Dirac statistics
ફિબોનાકી નંબરો,Fibonacci number
ફિબોનાકી શ્રેણી,Fibonacci series
"ક્ષેત્ર, ક્ષેત્ર, ક્ષેત્ર, ક્ષેત્ર",field
અંતિમ વેગ,final velocity
"મર્યાદિત, મર્યાદિત",finite
મર્યાદિત આધાર,finite basis
મર્યાદિત દશાંશ,finite decimal
મર્યાદિત તફાવત,finite difference
મર્યાદિત તફાવત પદ્ધતિ,finite difference method
મર્યાદિત પરિમાણીય,finite dimensional
મર્યાદિત પરિમાણીય વેક્ટર,finite dimensional vector space
મર્યાદિત રમત,finite game
મર્યાદિત ભૂમિતિ,finite geometry
મર્યાદિત અભિન્ન,finite intersection
મર્યાદિતતા,finite many
મર્યાદિત માર્કોવ સાંકળ,finite Markov chain
મર્યાદિતતા પુરાવો,finiteness proof
મર્યાદિત સંખ્યા,finite number
મર્યાદિત વસ્તી,finite population
મર્યાદિત સંભાવના,finite probability
અંતિમ ગ્રેડ,finite series
મર્યાદિત સમૂહ,finite set
મર્યાદિત વેગ,finite velocity
મર્યાદિત વોલ્યુમ,finite volume
"ભળવું, ગોઠવવું",fitting
વળાંક ગોઠવણ,fitting of curve
સીધી રેખા ગોઠવણ,fitting of straight line
નિશ્ચિત બિંદુ પ્રમેય,fixed point theorem
નિશ્ચિત નમૂના,fixed sample
ફ્લાઇટ વેગ,flight velocity
ફ્લોટિંગ પોઈન્ટ ગણતરી,floating point arithmetic
"ફ્લોટિંગ પોઈન્ટ સિસ્ટમ, ફ્લોટિંગ પોઈન્ટ સિસ્ટમ",floating point system
ફ્લો ચાર્ટ,flow chart
પ્રવાહ વેગ,flow velocity
પ્રવાહી ગતિશીલતા,fluid dynamics
"ફોકલ, કોન્ફોકલ, ફોકલ",focal
કેન્દ્રીય તાર,focal chord
કેન્દ્રીય અંતર,focal distance
ફોકલ લંબાઈ,focal length
"નાભિ, ધ્યાન, મૂળ",focus
"પગ, પગ, પગ",foot
ઓર્થોગોનલ,foot of perpendicular
ગુરુત્વાકર્ષણ બળ,force of gravity
આગાહી,forecasting
ફોર્મ્યુલા,formula
થ્રેડીંગ,formulate
"ફોર્મેટિંગ, ફોર્મેટિંગ, ફોર્મ્યુલેશન",formulation
આગળ,forward difference
આગળ નિવેશ,forward interpolation
ગણિતનો પાયો,foundation of mathematics
ફોરિયર વિશ્લેષણ,Fourier's analysis
ફોરિયર શ્રેણી,Fourier's series
ફોરિયર ટ્રાન્સફોર્મ,Fourier's transform
અલગ,fraction
અપૂર્ણાંક કોઓર્ડિનેટ્સ,fractional coordinate
અપૂર્ણાંક સંખ્યા,fractional number
અપૂર્ણાંક પ્રોગ્રામિંગ,fractional programming
મુક્ત માર્ગ,free path
મુક્ત વેક્ટર મુક્ત વેક્ટર,free vector
"આવર્તન, આવર્તન",frequency
આવર્તન કૉલમ,frequency column
"આવર્તન વળાંક, આવર્તન વળાંક",frequency curve
આવર્તન વિતરણ,frequency distribution
આવર્તન હિસ્ટોગ્રામ,frequency histogram
ઘટના આવર્તન,frequency of occurrence
આવર્તન-બહુકોણ,frequency polygon
આવર્તન કોષ્ટક,frequency table
ફ્રસ્ટમ,frustum
પિરામિડ ફ્રસ્ટમ,frustum of a pyramid
શેલ ફ્રસ્ટમ,frustum of a sphere
સંપૂર્ણ ફેલાવો,full expansion
"કાર્યો, કાર્યો, લાક્ષણિકતાઓ (જૂથો)",function
કાર્ય વિશ્લેષણ,functional analysis
"મૂળ, મૂળ",fundamental
મૂળભૂત પ્રમેય,fundamental theorem
બીજગણિતનું મૂળભૂત પ્રમેય,fundamental theorem of algebra
"આકાશગંગા, આકાશ-ગંગા",galaxy
ગેલોઈસ પ્રદેશ,Galois field
ગેલોઈસ ગ્રુપ,Galois group
જુગારની નાણાકીય બાબતો,gambler's ruin
રમતો અને યુક્તિઓ,game and move
તકની રમત,game of chance
ડાઇસ રમત,game of dice
રમત સિદ્ધાંત,games theory
સંપૂર્ણ મેમરી રમતો,games with perfect recall
રમત મૂલ્ય,game value
ગામા કાર્ય,gamma function
ગૌસ-આર્ગોન ફ્લેટ,Gauss-Argand plane
ગૌસ-વળાંક,Gaussian curve
ગૌસીયન સોલ્યુશન,Gaussian elimination
ગૌસ-વિમાન,Gaussian plane
ગૌસ-ભાર ગોઠવણ,Gauss-Jordan reduction
વ્યાપક સ્થિતિ,general case
સામાન્ય કન્વર્જન્સ પ્રમેય,general convergence theorem
સામાન્ય સમીકરણ,general equation
વ્યાપક પરિબળ,general factor
"સામાન્ય સ્વરૂપ, વ્યાપક",general form
સામાન્ય સૂત્ર,general formula
વિશાળ રમત,general game
સામાન્ય અંદાજ,general inference
વ્યાપક અભિન્ન,general integral
સામાન્યીકરણ,generalization
સામાન્યકૃત સહયોગી નિયમ,generalised associative law
સામાન્યકૃત સાતત્ય પૂર્વધારણા,generalised continuum hypothesis
સામાન્યકૃત ઉતરતા કાર્ય,generalised convex function
સામાન્યકૃત કોઓર્ડિનેટ્સ,generalised coordinates
સામાન્યકૃત eigen મૂલ્ય સમસ્યા,generalised eigen value problem
સામાન્ય કન્વર્જન્સ પ્રમેય,general convergence theorem
સામાન્ય સમીકરણ,general equation
વ્યાપક પરિબળ,general factor
"સામાન્ય સ્વરૂપ, વ્યાપક",general form
સામાન્ય સૂત્ર,general formula
વિશાળ રમત,general game
સામાન્ય અંદાજ,general inference
વ્યાપક અભિન્ન,general integral
સામાન્યીકરણ,generalization
સામાન્યકૃત સહયોગી નિયમ,generalised associative law
સામાન્યકૃત સાતત્ય પૂર્વધારણા,generalised continuum hypothesis
સામાન્યકૃત ઉતરતા કાર્ય,generalised convex function
સામાન્યકૃત કોઓર્ડિનેટ્સ,generalised coordinates
સામાન્યકૃત eigen મૂલ્ય સમસ્યા,generalised eigen value problem
"કુળનું નામ, વર્ગનું નામ, જાતિનું નામ",generic name
પૃષ્ઠ નંબર,genus of surface
"વૈકલ્પિક, જીઓડેસિક",geodesic
ભૌમિતિક,geometrical
ભૌમિતિક ડિઝાઇન,geometrical construction
ભૌમિતિક સરેરાશ,geometrical mean
ભૌમિતિક ગુણાકાર,geometrical multiplicity
ભૌમિતિક સંભાવના,geometrical probability
ભૌમિતિક પ્રગતિ,geometrical progression
ભૌમિતિક શ્રેણી,geometrical series
ભૌમિતિક આકૃતિ,geometrical shape
ભૌમિતિક અંકગણિત શ્રેણી,geometrico arithmetic series
"ભૂમિતિ, ભૂમિતિ",geometry
સાર્વત્રિક મહત્તમ,global maximum
સાર્વત્રિક ઓછામાં ઓછી મિલકત,global property
સાર્વત્રિક લઘુત્તમ,global minimum
સાર્વત્રિક શ્રેષ્ઠ,global optimum
સાર્વત્રિક મિલકત,global property
સાર્વત્રિક ઍક્સેસ બિંદુ,global saddle point
સરળતા,goodness of fit
ક્રમ સહસંબંધ,grade correlation
વર્ગીકૃત ડેટા,graded data
"ઢાળ, ઢાળ",gradient
ઢોળાવની ઘનતા,gradient density
રેખા ઢોળાવ,gradient of line
વેગ ઢાળ,gradient of velocity
ઢાળ વેક્ટર,gradient vector
ઢાળ વેગ,gradient velocity
"ગ્રેડિંગ, ગ્રેડિંગ, ગ્રેડિંગ, લેવલ બેલેન્સિંગ",grading
ગ્રેડિંગ વિશ્લેષણ,grading analysis
ગ્રામ,gram
ગ્રામ છેદ,Gram determinant
ગ્રામ-શ્મિટ ગતિશીલતા પ્રક્રિયા,Gram - Schmidt orthogonalization process
મહાન સરેરાશ,grand mean
સર્વયોગ,grand total
