ab initio,"મૂળથી, પ્રારંભથી"
civil supplies,નાગરિક પુરવઠો
civil war,આંતર વિગ્રહ
claim,"દાવો, દાવો કરવો, માગણી કરવી"
claim for refund,રકમ પરત મેળવવાનો દાવો
claim form,હક્ક દાવા પત્રક
claimant,"દાવેદાર, દાવો કરનાર, હકની રૂએ માગનાર"
clarification,સ્પષ્ટીકરણ
class,"વર્ગ, શ્રેણી, કક્ષા, પ્રકાર"
classified advertisement,વર્ગીકૃત જાહેરાત
classified documents,વર્ગીકૃત દસ્તાવેજો
classified information,વર્ગીકૃત માહિતી
classify,વર્ગીકૃત કરવું
classwise,"વર્ગવાર, વર્ગાનુસાર"
clause,"ઉપવાક્ય, પેટાફકરો, પેટાકલમ"
clear vacancy,"સ્પષ્ટ ખાલી જગ્યા, નિર્વિવાદ ખાલી જગ્યા"
clearance,"ચોખવટ, સ્પષ્ટતા"
clerical,કારકૂની
clerical cadre,કારકૂની કક્ષા
clerical error,"કારકૂની ભૂલ, લેખન ચૂક, લેખન દોષ"
clerical staff,કારકૂની સ્ટાફ
clerical work,"કારકૂની કાર્ય, કર્મચારીઓ"
client,"અસીલ, ગ્રાહક, ઘરાક"
cloak room,અમાનતી સામાન ઘર
close of the year,વર્ષાંત
closing balance,"બંધ થતી સિલક, પુરાંત બાકી"
closing date,છેલ્લી તારીખ
closure,"સમાપ્તિ, સમાપન"
clue,"ચાવી, કડી"
co (as in 'co-chairman'),"સહ, સાથેનું"
co-accused,"સહતહોમતદાર, સહઆરોપી"
co-existence,સહ-અસ્તિત્વ
co-opt,"સહવરણી કરવી, સહયોજિત કરવું, કો-ઑપ્ટ કરવું"
co-opted member,નિમંત્રિત સદસ્ય
co-ordination,"સમન્વય, સંકલન, સુમેળ, તાલમેળ"
co-owner,સહમાલિક
co-partner,સહભાગીદાર
coaching,"શૈક્ષણિક માર્ગદર્શન, વિષય વિશેષની તાલીમ"
coalition government,સંયુક્ત સરકાર
code,"સંહિતા, કાયદો, કૂટ સંકેત, ઇંગિત"
code number,સંહિતા ક્રમ
code of conduct,આચારસંહિતા
code word,"સંકેત, સંકેત શબ્દ"
coding,કૂટ લેખન
coercion,"સખ્તી, સખ્તાઈ, જબરદસ્તી"
cognizable,"બોધગમ્ય, દખલગીરીક્ષમ"
cognizable offence,પોલીસ અધિકારનો ગુનો
cognizance,"જાણકારી, ધ્યાન, સંજ્ઞાન"
coincidence,"સંયોગ, જોગાનુજોગ"
collaboration,"સહયોગ, સહલેખન"
collateral security,"સંપાર્શ્વિક સુરક્ષા, પ્રાસંગિક સુરક્ષા"
colleague,"મિત્ર, સહકર્મી, સહયોગી, સમાનધર્મા"
collective,"સાથે-સાથે, સામૂહિક"
collective responsibility,"સામૂહિક જવાબદારી, સામુહિક ઉત્તરદાયિત્વ"
collectorate,"કલેક્ટર, કચેરી, સમાહર્તા કાર્યાલય"
collusion,"કપટી સામેલ ગીરી, મેળાપીપણું, મળતિયાપણું"
colony,"વસાહત, સંસ્થાન"
colour blindness,"વણાઁધતા, રંગાંધતા"
column,"કોલમ, ખાનું, કતાર (લશ્કરની), કટાર (વર્તમાનપત્રની) સ્તંભ, થાંભલો"
combing operation,"સખત શોધ અભિયાન, સકલ તપાસ અભિયાન"
command,"હુકમ, આજ્ઞા, નિર્દેશ દેવો, લશ્કરનું એકમ, કમાન"
commemoration,"સ્મારક, સ્મરણોત્સવ"
commendable,"પ્રશંસનીય, સરાહનીય"
commensurate,અનુરૂપ
commentary,"ટીકા-ટિપ્પણ, સમાલોચના, વિવરણ"
comments,ટીકા-ટિપ્પણ
commerce,"વાણિજ્ય, વ્યાપાર"
commercial break,જાહેરાતનો સમય
commission,"આયોગ, કમિશન, દલાલી, આડત, મારફત"
commissioning,"આરંભ કરવું, વ્યવહારમાં લાવવું, ઉપયોગમાં લેવું"
commit,"વચનબદ્ધ, પ્રતિબદ્ધ"
commitment,"સ્વીકાર, વચનબદ્ધતા, પ્રતિબદ્ધતા"
commodity,"ચીજવસ્તુ, વસ્તુ, જણસ"
common,"સામાન્ય, સાધારણ"
communal,"કોમી, સાંપ્રદાયિક"
communal harmony,સાંપ્રદાયિક સૌહાર્દ
communicate,સંચારિત કરવું
communication,"સંદેશા વ્યવહાર, સંદેશ, સમાચાર, માહિતી, માર્ગ, પત્રવ્યવહાર, સંપર્ક, સંચાર"
communication gap,"સંપર્કનો અભાવ, માહિતીનો અભાવ"
communique,"સરકારી યાદી, સત્તાવાર યાદી, સરકારી સૂચના"
community,"સંપ્રદાય, સમાજ, સમુદાય"
community centre,સામુદાયિક કેન્દ્ર
community development project,સમૂહ વિકાસ પરિયોજના
community service,સામુદાયિક સેવા
commutation,"પરિવર્તન, રૂપાંતરણ"
commuted leave,રૂપાંતરિત રજા
commuted value,પરિવર્તિત મૂલ્ય
comparison,તુલના
compassion,"અનુકંપા, દયા"
compassionate ground,અનુકંપા આધાર
compassionate leave,અનુકંપા રજા
compatible,"અનુકૂળ, સંગત"
compel,"દબાણ કરવું, વિવશ કરવું"
compendium,"સાર સંગ્રહ, સંક્ષિપ્ત રૂપ"
compensation,"વળતર, બદલો, નુકસાની"
compensatory allowance,ક્ષતિપૂરક ભથ્થું
compensatory leave,વળતર રજા
competence,"સક્ષમતા, સમર્થતા, સામર્થ્ય, ક્ષમતા"
competent,સક્ષમ
competent authority,સક્ષમ અધિકારી
competition,"સ્પર્ધા, પ્રતિયોગિતા, હરિફાઈ"
competitive examination,"સ્પર્ધા પરીક્ષા, સ્પર્ધાત્મક પરીક્ષા"
compilation,"સંકલન, સંપાદન"
complaint,"ફરિયાદી, ફરિયાદ માંડનાર"
complaint book,ફરિયાદપોથી
complement,"પૂરક, સંપૂરક"
complementary,"પૂરક, પૂરવણી, સંપૂરક, સૌહાર્દરૂપ"
complete,"પૂર્ણ, સંપૂર્ણ, સમાપ્ત કરવું"
completion certificate,"કામ પૂર્ણ થયાનું પ્રમાણપત્ર, પૂર્ણતા પ્રમાણપત્ર, સમાપ્તિ પ્રમાણપત્ર"
compliance,"પાલન, અનુપાલન"
complicated,"ગૂંચવણભર્યું, જટિલ, પેચીદું"
compliment,અભિનંદન
complimentary copy,માનાર્થ પ્રત
comply with,અનુપાલન કરવું
composite culture,સામાસિક સંસ્કૃતિ
composition,"રચના, સંઘટન, સંયોજન, સ્વરનિયોજન, દૃશ્યયોજના"
comprehensive,"વ્યાપક, બૃહદ, સમાવિષ્ટ"
comprehensive insurance,વ્યાપક વીમો
compromise,સમાધાન
compulsory,ફરજિયાત
compulsory retirement,ફરજિયાત નિવૃત્તિ
computer,કૉમ્પ્યૂટર
computer centre,કૉમ્પ્યૂટર કેન્દ્ર
computer friendly,કૉમ્પ્યૂટર અનુકુલન
computer language,કૉમ્પ્યૂટર ભાષા
computer literacy,કૉમ્પ્યૂટર સાક્ષરતા
computerization,કૉમ્પ્યૂટરીકરણ
concept,"વિભાવના, સંકલ્પના"
concern,"સંબંધ, નિસબત, ફિકર, પેઢી, સંસ્થા, ની સાથે સંબંધ હોવો, સંબંધકર્તા હોવું"
concession,"છૂટછાટ, રાહત, સવલત"
concession certificate,રાહત પ્રમાણપત્ર
concessional rate,રાહતદર
conciliation,"સમજૂતી, સમાધાન, સુલેહ"
concluding remarks,"ઉપસંહાર, સમાપન"
conclusion,"ઉપસંહાર, નિષ્કર્ષ, સમાપ્તિ"
conclusive,"નિર્ણાયક, નિર્ણયાત્મક, અંતિમ, આખરી, છેવટનું"
concur,સહમત થવું
concurrence,સહમતિ
condemn,"સજાપાત્ર જાહેર કરવું, નિંદા કરવી"
condition,શરત
conditional,સશર્ત
conditional acceptance,શરતી સ્વીકૃતિ
conditions of contract,શરતી કરાર
conditions of service,શરતી સેવા
condolence,"આશ્વાસન, સહાનુભૂતિ"
condone,"માફ કરવું, દરગુજર કરવું, જતું કરવું"
conduct,"વર્તણૂક, સંચાલન કરવું"
conduct rules,આચારસંહિતા
confer,"પરામર્શન, સલાહ-મસલત, ચુકાદો, વિચાર-વિનિમય"
conference,પરિષદ
conference room,પરિષદ ખંડ
conferencing facility,પરિષદીય સુવિધા
confidential,"ખાનગી, ગોપનીય"
confinement,"કેદ, અટક, બંધન, પ્રસવાવસ્થા, પ્રસૂતિ, સુવાવડ"
Confirm,"કાયમ કરવું (નોકરીમાં), સમર્થન કરવું, સમર્થિત કરવું, પુષ્ટિ આપવી"
confirmation,કાયમી કરવું
confirmation of service,નોકરીમાં કાયમી થવું
confirmation order,કાયમી નોકરીનો હુકમ
confiscation,જપ્તી
conflict,"સંઘર્ષ, વિરોધ, અથડામણ"
conflicting views,પરસ્પર વિરોધી વિચાર
conformity,અનુરૂપતા
congratulation,અભિનંદન
connection,"સંબંધ, જોડાવું, સંયોજન"
connivance,"ચશ્મપોશી, આંખ આડા કાન કરવા, આંખમીંચામણાં કરવાં, મૌન સહમતી"
conscience,અનુકરણ
consensus,"સર્વસંમતિ, સર્વાનુમતિ, એકરૂપતા"
consent,"સંમતિ, સહમતિ"
consequence,"પરિણામ, ફળ"
consequent,"પરિણામી, અનુવર્તી"
conservation,"સંરક્ષણ, રક્ષણ"
consideration zone,"વિચારક્ષેત્ર, ધ્યાન ક્ષેત્ર"
consignee,"માલ લેનાર, જેને માલ મોકલાયો, રવાના કરાયો હોય તે"
consignment,"મોકલેલો, રવાના કરેલો માલ"
consignment note,પ્રેષક નોંધ
consistent,"એકરૂપ, સ્થિર, અવિરોધી"
consolidated fund,એકત્રિત નિધિ
consolidated pay,એકત્રિત પગાર
consolidated statement,સંકલિત પત્રક
consolidation,"એકત્રીકરણ, દૃઢીકરણ"
conspicuous,"ધ્યાનાકર્ષક, નામાંકિત, સ્પષ્ટ"
conspiracy,"કાવતરું, ષડ્યંત્ર"
constant,"સતત, નિરંતર"
constituency,મતવિસ્તાર
constituent,"અંગભૂત, ઘટક, અંગ, અંગભૂત ભાગ, અવયવ"
constitution,"સંવિધાન, બંધારણ, રચના"
constraint,મજબૂરી
construction,"બાંધકામ, નિર્માણ"
consultant,"સલાહકાર, પરામર્શક"
consultation,"સલાહ, ચર્ચા-વિચારણા, વિચાર વિનિમય, પરામર્શ"
consultative committee,પરામર્શન સમિતિ
consumable item,"ઉપભોગ્ય ચીજ, વાપરી શકાય તેવી વસ્તુ"
consume,"વાપરવું, ઉપયોગ કરવો"
consumer forum/council,"ગ્રાહક મંડળ, ગ્રાહક પરિષદ"
consumer orientation,ઉપભોક્તા અભિમુખીકરણ
consumer's goods,વપરાશી માલસામાન
consumption,"વપરાશ, ખપત, ઉપભોગ"
contact,સંપર્ક
contact programme,"સંપર્ક કાર્યક્રમ, મ"
contagious disease,સંસર્ગજન્ય રોગ
contain,"સમાવવું, સ્થિર રાખવું, રોકવું"
contemplate,"ધ્યાનપૂર્વક વિચાર કરવો, ચિંતનપૂર્વકનો વિચાર"
contemporary,સમકાલીન
contempt of court,"કોર્ટની અવગણના, ન્યાયાલયની અવગણના"
contention,"વિવાદ, દાવો"
contents,"વિષયસૂચિ, અનુક્રમણિકા"
contest,"પ્રતિયોગિતા, સ્પર્ધા, હરિફાઇ, પ્રતિસ્પર્ધા"
context,પ્રસંગ સંદર્ભ
contingencies,આકસ્મિક ખર્ચ
contingency,"આકસ્મિકતા, પ્રાસંગિકતા"
contingency allowance,આકસ્મિકતા ભથ્થું
contingency fund,આકસ્મિક નિધિ
contingency grant,આકસ્મિક અનુદાન
contingency plan,આપતકાલીન યોજના
contingent charges,આકસ્મિક ખર્ચ/
continuous appointment,સળંગ નિયુક્તિ
continuous development,સાતત્યપૂર્ણ વિકાસ
continuous process,સળંગ પ્રક્રિયા
continuous service,"સાતત્યપૂર્ણ સેવા, નોકરી"
contraband,"પ્રતિબંધિત, નિષિદ્ધ"
contract,"કોન્ટ્રાકટ, કરાર"
contract deed,"કરાર પત્ર, કરારનામું"
contract of employment,કરાર નિયુક્તિ
contract period,કરાર અવધિ
contractual document,કરારગત દસ્તાવેજ
contractual liability,કરારગત જવાબદારી
contractual service,કરાર આધારિત સેવા
contradiction,વિરોધાભાસ
contradictory statement,વિરોધાભાસી કથન
contrary,"પ્રતિકૂળ, વિપરીત"
contravention,ઉલ્લંઘન
contribution,"યોગદાન, અંશદાન, ફાળો"
contributory pension scheme,અંશદાયી પેંશન યોજના
contributory provident fund,અંશદાયી ભવિષ્યનિધિ
control,"નિયંત્રણ, અંકુશ"
controlling officer,નિયંત્રણ અધિકારી
controversial,વિવાદાસ્પદ
controversial matter,વિવાદાસ્પદ મામલો
controversy,વિવાદ
convenience,"સુવિધા, અનુકુળતા"
convention,"પ્રથા, પરિપાટી, રૂઢિ"
conventional,"રૂઢ, રૂઢિગત"
conversant,"નિપુણ, કુશળ, દક્ષ"
convert,"રૂપાંતરિત કરવું, પરિવર્તિત કરવું, બદલવું"
converted leave,પરિવર્તિત રજા
conveyance,"પરિવહન, વાહન"
conveyance allowance,વાહન ભથ્થું
conveyance deed,હસ્તાંતરણ પત્ર
conveyance expenses,"વાહનખર્ચ, મુસાફરી ખર્ચ"
convict,"દોષી સાબિત કરવું, અપરાધી, દોષી વ્યક્તિ"
conviction,"દૃઢવિશ્વાસ, દોષ સિદ્ધિ, દૃઢ પ્રતીતિ"
convocation,પદવીદાન/દીક્ષાંત સમારંભ
cooling off period,ઉપશમન અવધિ
cooperation,"સહકાર, સહયોગ"
cooperative,સહકારી
cooperative society,સહકારી મંડળી
copy,"નકલ, પ્રત, પ્રતિલિપિ"
copying,"પ્રતિલિપિકરણ, પ્રતો બનાવવી"
copyright,"સ્વત્વાધિકાર, ઉત્તરાધિકાર"
cordial,"મૈત્રીપૂર્ણ, સ્નેહપૂર્ણ, હાર્દિક"
coroner,મૃત્યુ સમીક્ષક
corporate body,"સંસ્થાપિત મંડળ, નિયમ સંબંધી મંડળ"
corporate planning,કંપની આયોજન
corporation,નિગમ
corporation tax,નિગમકર
correction,"શુદ્ધિ, સુધાર"
corrective measures (=correctives),સંશોધિત ઉપાય
correspondence,પત્ર-વ્યવહાર
correspondence course,"પત્રાચાર પાઠ્યક્રમ, પત્રવ્યવહાર, અભ્યાસક્રમ"
correspondence portion,પત્રાચાર અંશ/ખંડ
correspondent,સંવાદદાતા
corresponding,"અનુરૂપ, તદનુરૂપ"
corrigendum,શુદ્ધિપત્ર
corroborate,"પ્રમાણિત કરવું, પુષ્ટ કરવું"
corroboration,પરિપુષ્ટિ કરવી
corrupt,"ભ્રષ્ટ, ભ્રષ્ટ કરવું"
corrupt practice,"ગેરરીતિ, ભ્રષ્ટ આચરણ"
corruption,"લાંચરુશ્વત, ભ્રષ્ટાચાર"
cosmopolitan city,વૈશ્વિક નગર
cost,"કિંમત, મૂલ્ય નક્કી કરવું, ભાડું નક્કી કરવું, ખર્ચ થવું"
cost accountant,હિસાબનીશ
cost analysis,મૂલ્યવિશ્લેષણ
cost ceiling,મૂલ્યસીમા
cost effectiveness,"યોગ્યકિંમત, યોગ્ય મૂલ્ય, પ્રભાવી મૂલ્ય"
cost of living,જીવનજરૂરી ખર્ચ
cost overrun,મૂલ્ય અતિક્રમણ
cottage industry,કુટિર ઉદ્યોગ
council,પરિષદ
council of ministers,"મંત્રી પરિષદ, મંત્રી મંડળ"
council of states,રાજ્યસભા
counsel,"સલાહસૂચન, વકીલ, સલાહકાર, કાયદા સલાહકાર"
counselling,પરામર્શન
counter,"ગલ્લો, થડો, કાઉન્ટર, વિરોધી, વિરુદ્ધ, પ્રતિ, જવાબી"
counter action,જવાબી કાર્યવાહી
counter affidavit,પ્રતિ-સોગંદનામુ
counter charge,પ્રતિ આરોપ
counter claim,પ્રતિદાવો
counter offer,પ્રતિપ્રસ્તાવ
counterfeit currency,નકલી ચલણ
counterfeiting,"છેતરપીંડી, ઠગાઈ"
counterfoil,અડધિયું
countersign,ટૂંકી સહી
coup (de etat),"હિંસક રાજપલટો, રાજ્ય વિપ્લવ"
coupon,કુપન
courier,"કુરિયર, સંદેશાવાહક સેવા"
courier service,પત્રસંદેશાદિની સેવા
course,"અભ્યાસક્રમ, માર્ગ, દિશા, પ્રક્રિયા"
courses of study,અભ્યાસ માટેનો પાઠ્યક્રમ
court case,"કોર્ટકેસ, અદાલતી મામલો"
court of small causes,પરચુરણ દાવા માટેની અદાલત
courtesy,"સૌજન્ય, શિષ્ટાચાર"
covenant,પ્રતિજ્ઞાપત્ર
cover,"પરબીડિયું, કવર"
coverage,"આવરણ, કવરેજ, સંરક્ષણ"
covering letter,સહપત્ર
covering memo,સહજ્ઞાપન મેમો
covering note,આવરણ નોંધ
crash programme,દ્રુત કાર્યક્રમ
creamy layer,સંપત્તિવાન પછાત વર્ગ
creation,"સર્જન, નિર્માણ, રચના"
creative,"સર્જનાત્મક, રચનાત્મક"
creativity,સર્જનાત્મકતા
creche,"ઘોડિયાઘર, બાલવાડી, શિશુસદન"
credentials committe,શાખપત્ર સમિતિ
credibility,"શાખ, ઈજ્જત, વિશ્વસનીયતા"
credit,"જમા, શાખ, ધીરાણ, શ્રેય, પ્રતિષ્ઠા"
credit advice,જમા-ખબર
credit and thrift society,બચત અને ઉધાર સમિતિ
credit card,"ક્રેડિટ કાર્ડ, શાખપત્ર"
credit entry,જમા પ્રવિષ્ટિ
credit facilities,ઉધાર સુવિધા
credit note,"જમાપત્ર, શાખપત્ર"
creditable,"પ્રશંસનીય, વખાણવાલાયક"
creditor,"લેણદાર, ઋણધારક"
cremation,"અગ્નિદાહ, અગ્નિસંસ્કાર"
cremation ground,સ્મશાન ભૂમિ
crew,કર્મચારી સમૂહ
crime,"ગુનો, અપરાધ"
criminal breach of trust,ગુનાહિત વિશ્વાસઘાત
criminal court,ફોજદારી અદાલત
criminal negligence,ગુનાહિત ઉપેક્ષા
criminal offence,ફોજદારી ગુનો
criminal procedure code,ફોજદારી કાર્યરીતિ અધિનિયમ
crisis,"સંકટ, મુશ્કેલી"
crisis management,સંકટ-પ્રબંધન
criterion,"માપદંડ, ધોરણ"
criticism,"વિવેચન, સમાલોચના, આલોચના"
cross,"ક્રોસ લગાવવો, કાપવું"
cross breed,"વર્ણસંકર, સંકર જાતિનું"
cross checking,ઉલટતપાસ
cross examination,ઉલટ-તપાસ
cross reference,"ઉલટ-સંદર્ભ, અન્યોન્ય સંદર્ભ"
cross voting,પક્ષાંતર મતદાન
crossed cheque,"રેખિત ચેક, ક્રોસ્ડ ચેક"
crucial date,નિર્ણાયક તિથિ
crude,"કાચું, અપરિષ્કૃત"
culpable homicide,સદોષ મનુષ્યવધ
culprit,"ગુનેગાર, દોષી"
cultivation,સંવર્ધિત ખેતી
cultural exchange programme,સાંસ્કૃતિક વિનિમય કાર્યક્રમ
cumulative,"એકત્રિત, સંગ્રહિત"
currency,ચલણ
currency exchange,ચલણ વિનિમય
currency note,ચલણી નોટ
current,"ચાલુ, વર્તમાન, પ્રચલિત"
current account,"ચાલુ હિસાબ, ખાતું"
current duties,વર્તમાન ફરજો
current session,ચાલુ સત્ર
curriculum vitae (cv),જીવન વૃત્ત
curtail,ઓછું કરવું
custodian,"કબજેદાર, અધિરક્ષક"
custody,"કબજો, જાપ્તો, કસ્ટડી, અભિરક્ષણ"
custom,"રૂઢિ, રિવાજ, શિરસ્તો, જકાત, સીમાશુલ્ક, સીમાવેરો"
custom duty,સીમા શુલ્ક
custom examination,સીમાશુલ્કની તપાસ
custom(s),સીમાભાડું
customary,"રૂઢિમુજબ, પરમ્પરા પ્રમાણે, પરંપરાનુસાર"
customary procedure,"પરંપરાપ્રક્રિયા, રૂઢિગત પ્રક્રિયા, રૂઢિગત"
customer,"ગ્રાહક, ખરીદદાર"
customer friendly,"ગ્રાહક હિતેચ્છુ, ગ્રાહક અનુકૂળ"
cut down,"કાપવું, વાઢવું, ઓછું કરવું, ન્યૂનીકરણ"
cut motion,કાપ દરખાસ્ત
cut off date,"નાણા કાપ-તિથિ, અંતિમ તારીખ"
cycle,"ચક્ર, વર્તુળ"
daily,"હંમેશા, દરરોજ, દૈનિક"
daily allowance,દૈનિક ભથ્થું
daily diary,"રોજનીશી, દૈનિકનોંધ"
daily register,"દૈનિક રજિસ્ટર, દૈનિક નોંધપોથી"
daily report,"દૈનિક રિપોર્ટ, દૈનિક અહેવાલ"
daily routine,"રોજનું કામ, રાબેતા મુજબનું કામ"
daily wages,"રોજી, દાડી, મજૂરી"
dak stage,મેજ સ્તર
dak tray,મેજ ટ્રે
damage,"હાનિ, નુકશાન, ક્ષતિ, ખરાબી"
damages,"નુકસાન, બગાડ, ભાંગતૂટ"
dangerous,ખતરનાક
daring,"દરમ્યાન, હિંમત, સાહસ"
data,"આધાર-સામગ્રી, માહિતી"
data bank,આંકડા સમૂહ
data base,"આંકડા સંચય, નાણા બચાવ"
data collection,માહિતી એકત્રીકરણ
data feeding,આંકડા ભરણ
data processing,આંકડા અથવા માહિતી પર કરાતી પ્રક્રિયા
date,તારીખ
date of arrival,આગમન તારીખ
date of birth,જન્મતારીખ
date of departure,"ગમન તારીખ, પ્રસ્થાન તારીખ"
date of discharge,કાર્યમુક્તિ તારીખ
date of maturity,પરિપક્વતા તારીખ
date of receipt,પ્રાપ્તિ તારીખ
date stamp,તારીખ મહોર
day scholar,અસ્થાયી વિદ્યાર્થી
day shift,દિવસ પાળી
day to day work,રોજિંદુ કાર્ય
days of grace,છૂટના દિવસો
de facto,વસ્તુતઃ
de novo,નવેસરથી
dead account,નિષ્ક્રિય ખાતું
dead line,સમય રેખા
dead stock register,સ્ટોક રજિસ્ટર
dead weight,"કુલ ભાર, સમગ્ર વજન"
deadlock,"મડાગાંઠ, ગતિરોધ"
deal,"વેપાર, વ્યવહાર, સમજૂતી"
dealing,"વ્યવહાર, લેણદેણ"
dealing assistant,વ્યવહાર સંભાળનાર સહાયક
dearness allowance,મોંઘવારી ભથ્થું
death anniversary,"પુણ્યતિથિ, નિર્વાણ તિથિ"
death benefit,મૃત્યુ હિતલાભ
death in service,સેવા દરમ્યાન મૃત્યુ
death-cum-retirement gratuity,"મૃત્યુ-નિવૃત્તિ ઉપદાન, ગ્રેચ્યુઇટી"
deauthorizatioin,અધિકાર ભંગ
debar,"રોકવું, બહાર કરવું"
debit,"ને નામે, ખાતે ઉધારવું, ખર્ચ પાડવું, ઉધાર નોંધ, ઉધારેલી રકમ"
debit advice,નામે સંજ્ઞાપન
debt,"દેવું, કરજ, લેણું"
debt management,ઋણ પ્રબંધન
debtor,"ઋણી, દેણદાર"
deceased,સ્થગિત કરેલું
decency,શિષ્ટતા
decentralization,વિકેન્દ્રીકરણ
deciding factor,નિર્ણાયક તત્વ
decision,"નિર્ણય, ફેંસલો"
decision making,નિર્ણય લેવાની પ્રક્રિયા
decision making process,નિર્ણયન પ્રક્રિયા
declaration,"ઘોષણા, નિવેદન"
declaration of income,આવક ઘોષણા
declare on oath,શપથપૂર્વક જાહેર કરવું
declared value,ઘોષિત મૂલ્ય
decode,કૂટ વાચન
decontrol,"અંકુશ નાબુદી, અંકુશ નાબૂદ કરવો"
decorum,"શિષ્ટતા, મર્યાદા"
decrease,"ઘટત, ઘટતા અનુપાતમાં"
decree,હુકમનામું
dedication,"અર્પણ, સમર્પણ"
deductible,કપાતપાત્ર
deduction,કપાત
deduction at source,સ્રોત પર કપાત
deduction from salary,પગારમાંથી કપાત
deed,"ખત, ખતપત્ર, દસ્તાવેજ, લેખ"
deed of mortgage,બંધક દસ્તાવેજ
deemed university,માન્ય વિશ્વવિદ્યાલય
deface,"વિરૂપિત કરવુ, સિક્કો મારવો"
defalcation,"નાણાકીય ગોટાળો, નાણાકીય ઘાલમેલ, ઉચાપત"
defamation,"બદનક્ષી, બદનામી"
default,"કસૂર, ચૂક, બાકી"
defaulter,"કસૂરદાર, કસૂર કરનાર, ચૂક કરનાર, બાકીદાર"
defective,દોષયુક્ત
defence,"રક્ષણ, સંરક્ષણ, બચાવ"
defence counsel,બચાવ કાઉન્સિલ
defence production,રક્ષા ઉત્પાદન
defendant,પ્રતિવાદી
defer,"આસ્થગિત કરવું, વિચાર ભેદ, મતભેદ"
deferred expenditure,સ્થગિત ખર્ચ
defiance,"અવજ્ઞા, આજ્ઞાનું ઉલ્લંઘન"
deficit,"ખાધ, ઘટ"
deficit budget,ખાધ અંદાજપત્ર
define,વ્યાખ્યાયિત કરવું
defy,અવજ્ઞા કરવી
degradation,પાયરી ઉતાર
degree,"પદવી, ઉપાધિ"
dejure,કાયદેસર
delay,મોડું
delegate,"પ્રતિનિધિ, સત્તા સોંપવી"
delegated authority,પ્રત્યાયોજિત પ્રાધિકાર
delegation,"પ્રતિનિધિ મંડળ, શિષ્ટ મંડળ"
delegation of powers,સત્તાની સોંપણી
delete,રદ કરવું
deletion,લોપ
deliberately,"હેતુ પૂર્વક, જાણી જોઈને"
deliberation,વિચારવિમર્શ
delicencing,લાઈસન્સ રદ કરવું
delimitation,સીમાંકન
deliver,"આપવું, સોંપવું, જન્મ આપવો, પહોંચાડવું"
delivery,"સોંપણી, પ્રસૂતિ"
demand,"માંગું, માંગણી"
demand note,"માંગણી નોંધ, માંગ સંબંધી નોંધ"
demarcation,સીમાંકન
demi-official,અર્ધશાસકીય
democracy,"લોકશાહી, પ્રજાતંત્ર, લોકતંત્ર"
demonstration,"નિદર્શન, પ્રસ્તુતિ"
demoralization,"નૈતિક પતન, નીતિમત્તા નબળી પડવી"
demurrage,વિલંબ શુલ્ક
denial,"અસ્વીકૃતિ, અસ્વીકાર"
denomination,"મૂલ્યવર્ગ, પંથ"
deny,નકારવું
depart,"પ્રસ્થાન કરવું, રવાનગી"
department,વિભાગ
departmental,વિભાગીય
departmental action,વિભાગીય કાર્યવાહી
departmental enquiry,વિભાગીય પૂછપરછ
departmental investigation,"વિભાગીય જાંચપડતાલ, વિભાગીય તપાસ"
departmental irregularity,વિભાગીય અનિયમિતતાઓ
departmental library,વિભાગીય ગ્રંથાલય
departmental negligence,વિભાગીય ઉપેક્ષા
departmental permission,"વિભાગીય અનુમતિ, વિભાગીય મંજૂરી"
departmental qualifying examination,વિભાગીય યોગ્યતા કસોટી
departure,"રવાનગી, પ્રસ્થાન"
dependency certificate,આશ્રિતતા પ્રમાણપત્ર
dependent,આશ્રિત
dependent children,આશ્રિત સંતાનો
deploy,"નિયોજિત કરવું, ખપમાં લેવું, કામે લગાડવું"
deponent,સ્વયંસાક્ષી
deportation,"તડીપાર, હદપાર"
depose,અભિસાક્ષી આપવી
deposit,જમા (કરવું) સંગ્રહ
depot,"મથક, સંગ્રહસ્થાન"
depreciation,મૂલ્યહ્રાસ
depressed class,"દલિત વર્ગ, શોષિત વર્ગ, કચડાયેલો વર્ગ, દમિત વર્ગ (સમાજનો)"
deprive,"વંચિત કરવું, વિશેષ"
deputation,"પ્રતિનિયુક્તિ, પ્રતિનિધિ મંડળ"
deputation allowance,પ્રતિનિયુક્તિ ભથ્થું
deputy,"સહાયક, ઉપ-કર્મી"
deregistered,નોંધણી રદ્દીકરણ
dereliction of duty,કર્તવ્યની અવહેલના
dereservation,બિન અનામતીકરણ
derogation,અનાદર
derogatory,અનાદરસૂચક
derogatory remark,અનાદરસૂચક નોંધ
descendant,વંશજ
description,વિવરણ
deserving,"સુપાત્ર, યોગ્ય, લાયક, સુયોગ્ય"
design,"અભિકલ્પના, ડિઝાઈન"
designate,"મનોનયન, નામાંકન"
designation,"પદનામ, હોદ્દો"
despatch,"પ્રેષણ, રવાનગી"
despatch note,પ્રેષણ નોંધ
despatch register,"પ્રેષણ રજિસ્ટર, પ્રેષણ નોંધપત્રક"
destination,"મંઝિલ, ગંતવ્યસ્થાન"
destitute,નિરાશ્રિત
detail,"હેવાલ, વિગતો, કામ પર મોકલવું"
detailed,વિસ્તૃત
detect,"સંશોધન, શોધી કાઢવું, પગેરું મેળવવું"
detention,અટકાયત
detenu,અટકાયતી
