Marathi,Kannada
कंसिस्टरी,ಸಂಯೋಜಿತ
षडयंत्र,ಪಿತೂರಿ
षडयंत्र,ಪಿತೂರಿ
वाणिज्य दूतावास,ದೂತಾವಾಸ
सल्लामसलत पुस्तक,ಸಮಾಲೋಚನೆ ಪುಸ್ತಕ
खंडीय प्रणाली,ಕಾಂಟಿನೆಂಟಲ್ ಸಿಸ್ಟಮ್
अधिवेशन संसद,ಕನ್ವೆನ್ಷನ್ ಪಾರ್ಲಿಮೆಂಟ್
कॉपरहेड्स (=पीस डेमोक्रॅट्स),ಕಾಪರ್ ಹೆಡ್ಸ್ (=ಶಾಂತಿ ಪ್ರಜಾಪ್ರಭುತ್ವವಾದಿಗಳು)
कॉपीहोल्ड,ಕಾಪಿಹೋಲ್ಡ್
कोर्डनिंग,ಕಾರ್ಡನಿಂಗ್
कोरोना,ಕರೋನಾ
राज्याभिषेक,ಪಟ್ಟಾಭಿಷೇಕ
राज्याभिषेक दगड,ಪಟ್ಟಾಭಿಷೇಕದ ಕಲ್ಲು
कॉर्पस,ಕಾರ್ಪಸ್
Corsair,ಕೋರ್ಸೇರ್
Corsair,ಕೋರ್ಸೇರ್
कॉर्सेट (=कॉर्सलेट),ಕಾರ್ಸೆಟ್ (=ಕಾರ್ಸೆಲೆಟ್)
कोर्टेस,ಕಾರ್ಟೆಸ್
कोटर (=कोटीर),ಕೋಟರ್ (=ಕೋಟಿಯರ್)
कोटर (= cottier),ಕೋಟರ್ (=ಕೋಟಿಯರ್)
काउंट पॅलेटिनेट,ಕೌಂಟ್ ಪ್ಯಾಲಟಿನೇಟ್
देशाचे घर,ಹಳ್ಳಿ ಮನೆ
परगणा,ಕೌಂಟಿ
काउंटी बरो,ಕೌಂಟಿ ಬರೋ
काउंटी न्यायालये,ಕೌಂಟಿ ನ್ಯಾಯಾಲಯಗಳು
काउंटी पॅलाटिन,ಕೌಂಟಿ ಪ್ಯಾಲಟೈನ್
कोर्ट,ನ್ಯಾಯಾಲಯ
कोर्ट,ನ್ಯಾಯಾಲಯ
न्यायालयाचे परिपत्रक,ನ್ಯಾಯಾಲಯದ ಸುತ್ತೋಲೆ
न्यायालयीन शिष्टाचार,ನ್ಯಾಯಾಲಯದ ಶಿಷ್ಟಾಚಾರ
दरबारी,ಆಸ್ಥಾನಿಕ
कोर्ट ऑफ कॅसेशन,ಕ್ಯಾಸೇಶನ್ ನ್ಯಾಯಾಲಯ
कोर्ट ऑफ डायरेक्टर्स (EIC),ನಿರ್ದೇಶಕರ ನ್ಯಾಯಾಲಯ (EIC)
मालकांचे न्यायालय,ಮಾಲೀಕರ ನ್ಯಾಯಾಲಯ
दरबारी कवी,ಆಸ್ಥಾನ ಕವಿ
करार केला कॅमेरोनियन,ಒಪ್ಪಂದದ ಕ್ಯಾಮರೋನಿಯನ್ನರು
मुकुट,ಕ್ರೌನ್
मुकुट,ಕ್ರೌನ್
मुकुट,ಕ್ರೌನ್
मुकुट जमीन,ಕ್ರೌನ್ ಭೂಮಿ
मुकुट जमीन,ಕ್ರೌನ್ ಭೂಮಿ
राजकुमार,ಕ್ರೌನ್ ಪ್ರಿನ್ಸ್
धर्मयुद्ध,ಧರ್ಮಯುದ್ಧ
धर्मयुद्ध,ಕ್ರುಸೇಡರ್
क्रिप्टोग्राम,ಕ್ರಿಪ್ಟೋಗ್ರಾಮ್
कुइरास,ಕ್ಯುರಾಸ್
क्युरासियर,ಕ್ಯುರಾಸಿಯರ್
पंथ देवता,ಆರಾಧನಾ ದೇವತೆ
कुरिया,ಕ್ಯೂರಿಯಾ
कुरिया,ಕ್ಯೂರಿಯಾ
झारवाद,ಜಾರಿಸಂ
गडद खंड,ಡಾರ್ಕ್ ಖಂಡ
न्यायाचा दिवस,ತೀರ್ಪಿನ ದಿನ
न्यायाचा दिवस,ತೀರ್ಪಿನ ದಿನ
डीन,ಡೀನ್
दशक,ದಶಕ
दिनारियस,ಡೆನಾರಿಯಸ್
पदच्युत सम्राट,ಪದಚ್ಯುತ ದೊರೆ
उध्वस्त करा,ಹಾಳುಮಾಡು
उध्वस्त,ಹಾಳಾಗುವಿಕೆ
डिथ्रोन,ಸಿಂಹಾಸನವನ್ನು ಇಳಿಸು
डायडेम,ಡೈಡೆಮ್
डायडेम,ಡೈಡೆಮ್
डायडेम,ಡೈಡೆಮ್
डायशिया,ಡಯಾಸಿಯಾ
डिकॅस्टेरियम,ಡಿಕಾಸ್ಟರಿಯಮ್
डिलुवालिस्ट,ಡಿಲುವಿಯಲಿಸ್ಟ್
बिशपच्या अधिकारातील प्रदेश,ಧರ್ಮಪ್ರಾಂತ್ಯ
बिशपच्या अधिकारातील प्रदेश,ಧರ್ಮಪ್ರಾಂತ್ಯ
डायरेक्टरी (=निर्देशिका),ಡೈರೆಕ್ಟರಿ (=ಡೈರೆಕ್ಟರಿ)
डायरेक्टरी (=निर्देशिका),ಡೈರೆಕ್ಟರಿ (=ಡೈರೆಕ್ಟರಿ)
दिरहाम,ದಿರ್ಹಮ್
अविश्वासू,ವಿಶ್ವಾಸದ್ರೋಹಿ
अविश्वासू,ವಿಶ್ವಾಸದ್ರೋಹಿ
चूकीचा सिद्धांत,ವಿಳಂಬದ ಸಿದ್ಧಾಂತ
दस्तऐवज,ಡಾಕ್ಯುಮೆಂಟ್
कागदोपत्री पुरावा,ಸಾಕ್ಷ್ಯಚಿತ್ರ ಸಾಕ್ಷ್ಯ
डोम्सडे बुक,ಡೋಮ್ಸ್‌ಡೇ ಪುಸ್ತಕ
कॉन्स्टंटाईनचे दान,ಕಾನ್ಸ್ಟಂಟೈನ್ ಕೊಡುಗೆ
नशिबात,ಡೂಮ್
डोगर राणी,ವರದಕ್ಷಿಣೆ ರಾಣಿ
ड्रॅगन,ಡ್ರ್ಯಾಗನ್
ड्रोमेडरियन,ಡ್ರೋಮೆಡಿಯನ್
ड्रोमेडरी,ಡ್ರೊಮೆಡರಿ
ड्रोमंड,ಡ್ರೊಮಂಡ್
दुहेरी,ದ್ವಂದ್ವ
दुहेरी युती,ಉಭಯ ಮೈತ್ರಿ
दुहेरी entente,ಡ್ಯುಯಲ್ ಎಂಟೆಂಟೆ
दुहेरी प्रणाली (= दुहेरी सरकार),ಉಭಯ ವ್ಯವಸ್ಥೆ (=ದ್ವಿ ಸರ್ಕಾರ)
सरदार,ಡ್ಯೂಕ್
ड्यूमा,ಡುಮಾ
बटू अवतार,ಕುಬ್ಜ ಅವತಾರ
राजवंश,ರಾಜವಂಶ
राजवंश,ರಾಜವಂಶ
गरुड,ಹದ್ದು
मोठा माणूस,ಹಿರಿಯ ಮನುಷ್ಯ
अर्ल,ಅರ್ಲ್
अर्लडम,ಅರ್ಲ್ಡಮ್
लवकर गुप्त,ಆರಂಭಿಕ ಗುಪ್ತರು
प्रारंभिक (ऐतिहासिक) साइट,ಆರಂಭಿಕ (ಐತಿಹಾಸಿಕ) ತಾಣಗಳು
प्रारंभिक वैदिक काळ,ಆರಂಭಿಕ ವೇದ ಕಾಲ
उपदेशक,ಎಕ್ಲೇಷಿಯಾ
पुनर्स्थापना आदेश,ಮರುಸ್ಥಾಪನೆಯ ಶಾಸನ
आठ पट मार्ग,ಎಂಟು ಪಟ್ಟು ಮಾರ್ಗ
वडीलधारे,ಹಿರಿಯರು
ज्येष्ठ राजकारणी (= genro),ಹಿರಿಯ ರಾಜಕಾರಣಿ (=ಜೆರೋ)
हत्तीचा गोडा,ಆನೆ ಮೇಡು
अकरा वर्षांचा जुलूम,ಹನ್ನೊಂದು ವರ್ಷಗಳ ದಬ್ಬಾಳಿಕೆ
एलिसी (=एलिसी),ಎಲಿಸೇ (=ಎಲಿಸೀ)
बंदिस्त चळवळ,ಆವರಣ ಚಳುವಳಿ
एनसायकिकल,ಎನ್ಸೈಕ್ಲಿಕಲ್
विश्वकोशवादी चळवळ,ಎನ್ಸೈಕ್ಲೋಪೀಡಿಸ್ಟ್ ಚಳುವಳಿ
एंटेंट,ಎಂಟೆಂಟೆ
एंटेंट कॉर्डियल,ಎಂಟೆಂಟೆ ಕಾರ್ಡಿಯಾಲ್
सिंहासन,ಸಿಂಹಾಸನ
दलाल,ಪರಿವಾರ
एफोद,ಎಫೋಡ್
एफोर,ಎಫೋರ್
महाकाव्य युग,ಮಹಾಕಾವ್ಯ ಯುಗ
महाकाव्य नायक,ಮಹಾಕಾವ್ಯದ ನಾಯಕ
एपिग्राफ,ಎಪಿಗ್ರಾಫ್
एपिस्कोपसी,ಎಪಿಸ್ಕೋಪಸಿ
एपिस्कोपेट,ಎಪಿಸ್ಕೋಪೇಟ್
भाग,ಸಂಚಿಕೆ
युग,ಯುಗ
युग निर्माण करणारी घटना,ಯುಗ ನಿರ್ಮಾಣದ ಘಟನೆ
युग निर्माण करणारा माणूस,ಯುಗಪುರುಷ
उपनाम,ನಾಮಪದ
इक्वरी,ಇಕ್ವೆರಿ
इक्वरी,ಇಕ್ವೆರಿ
अश्वारूढ पुतळा,ಅಶ್ವಾರೋಹಿ ಪ್ರತಿಮೆ
युग,ಯುಗ
एर्गस्टुलम,ಎರ್ಗಸ್ಟುಲಮ್
युकेरिस्ट,ಯೂಕರಿಸ್ಟ್
इव्हेंजेलिकलिझम,ಸುವಾರ್ತಾಬೋಧನೆ
इव्हँजेलिकल चळवळ,ಇವಾಂಜೆಲಿಕಲ್ ಚಳುವಳಿ
प्रचारक,ಸುವಾರ್ತಾಬೋಧಕ
Exarch,ಎಕ್ಸಾರ್ಚ್
Exilarch,ಎಕ್ಸಿಲಾರ್ಚ್
फालंगिस्ट,ಫಾಲಂಗಿಸ್ಟ್
वडिलांची जमीन,ತಂದೆ ಭೂಮಿ
वडिलांची जमीन,ತಂದೆ ಭೂಮಿ
फेरी,ಫೆರಿಯಾ
फेटिश,ಫೆಟಿಶ್
जहागीरदार धारण,ಊಳಿಗಮಾನ್ಯ ಹಿಡುವಳಿಗಳು
सरंजामशाही (=सामंत व्यवस्था),ಊಳಿಗಮಾನ್ಯ ಪದ್ಧತಿ (=ಊಳಿಗಮಾನ್ಯ ಪದ್ಧತಿ)
सरंजामशाही व्यवस्था,ಊಳಿಗಮಾನ್ಯ ವ್ಯವಸ್ಥೆ
सामंत,ಊಳಿಗಮಾನ್ಯ
फिदेई बचावकर्ता (=विश्वासाचा रक्षक),ಫಿಡೆ ಡಿಫೆನ್ಸರ್ (=ನಂಬಿಕೆಯ ರಕ್ಷಕ)
फिफ,ಫೈಫ್
फील्ड सिस्टम,ಕ್ಷೇತ್ರ ವ್ಯವಸ್ಥೆ
पंधरावा कर,ಹದಿನೈದನೇ ತೆರಿಗೆ
आकृती डोके,ಚಿತ್ರ ತಲೆ
फिन डी siecle,ಫಿನ್ ಡಿ ಸೈಕಲ್
आग भक्षक,ಬೆಂಕಿ ತಿನ್ನುವವನು
पाच मैल कायदा,ಐದು ಮೈಲಿ ಕಾಯಿದೆ
झेंडा,ಧ್ವಜ
फ्लेमेन डायलिस,ಫ್ಲೇಮೆನ್ ಡಯಾಲಿಸ್
फ्लेमेन मार्शियलिस,ಫ್ಲೇಮೆನ್ ಮಾರ್ಟಿಯಾಲಿಸ್
ज्वलंत मशाल,ಉರಿಯುವ ಟಾರ್ಚ್
पार्श्वभाग,ಪಾರ್ಶ್ವ
flanking चळवळ,ಪಾರ್ಶ್ವ ಚಲನೆ
भरभराट होत असलेली सभ्यता,ಪ್ರವರ್ಧಮಾನಕ್ಕೆ ಬರುತ್ತಿರುವ ನಾಗರಿಕತೆ
प्रवाही विश्वास,ಫ್ಲೂವಿಯಲಿಸ್ಟಿಕ್ ನಂಬಿಕೆ
लोकदेवता,ಜನಪದ ದೇವರು
लोकदेवता,ಜನಪದ ದೇವತೆ
लोक स्मृती,ಜಾನಪದ ಸ್ಮರಣೆ
लोककथा (=लोककथा),ಜಾನಪದ ಪುರಾಣ (=ಜಾನಪದ)
चारा,ಆಹಾರ ಹುಡುಕುವುದು
धाड,ಮುನ್ನುಗ್ಗಿ
पूर्वापार,ಮುಂದಾಳು
पूर्वज,ಪೂರ್ವಜ
अग्रदूत,ಮುಂದಾಳು
उदासीन आशा,ನಿರಾಶಾದಾಯಕ ಭರವಸೆ
निर्मितीचा टप्पा,ರಚನಾತ್ಮಕ ಹಂತ
किल्ला,ಕೋಟೆ
तटबंदी,ಕೋಟೆ
तटबंदी असलेले शहर,ಕೋಟೆಯ ಪಟ್ಟಣ
किल्ला,ಕೋಟೆ
फॉर्च्युना,ಫಾರ್ಚುನಾ
फोरम रोमनम,ಫೋರಮ್ ರೋಮನಮ್
फ्रान्सिस्कन,ಫ್ರಾನ್ಸಿಸ್ಕನ್
फ्रँकलिन,ಫ್ರಾಂಕ್ಲಿನ್
भ्रातृसंहारक युद्ध,ಭ್ರಾತೃಹತ್ಯಾ ಯುದ್ಧ
मोफत चर्च,ಉಚಿತ ಚರ್ಚ್
फ्रीहोल्डर,ಫ್ರೀಹೋಲ್ಡರ್
फ्रीलान्स सैनिक,ಸ್ವತಂತ್ರ ಸೈನಿಕ
फ्रीलान्स सैनिक,ಸ್ವತಂತ್ರ ಸೈನಿಕ
फ्रीमॅन,ಫ್ರೀಮನ್
फ्रीमॅन,ಫ್ರೀಮನ್
मोफत पास,ಫ್ರೀಪಾಸ್
फ्रेंच क्रांती,ಫ್ರೆಂಚ್ ಕ್ರಾಂತಿ
तपस्वी,ಫ್ರಿಯರ್
फ्रियाशियन भाडोत्री,ಫ್ರೇಸಿಯನ್ ಕೂಲಿ ಸೈನಿಕರು
सीमावर्ती माणूस,ಗಡಿನಾಡಿನ ಮನುಷ್ಯ
गॅलिओन,ಗ್ಯಾಲಿಯನ್
गॅलिकन (=गॅलिकनिस्ट),ಗ್ಯಾಲಿಕನ್ (=ಗ್ಯಾಲಿಕಾನಿಸ್ಟ್)
गॅलिकनिझम,ಗ್ಯಾಲಿಕಾನಿಸಂ
गॅरिसन,ಗ್ಯಾರಿಸನ್
गॉल,ಗೌಲ್
गॉन्टलेट,ಗೌಂಟ್ಲೆಟ್
गॉन्टलेट,ಗೌಂಟ್ಲೆಟ್
गॅझेबो,ಗೆಜೆಬೋ
गॅझेबो,ಗೆಜೆಬೋ
गॅझेबो,ಗೆಜೆಬೋ
वंशावळीचा इतिहास,ವಂಶಾವಳಿಯ ಇತಿಹಾಸ
वंशावळी रेकॉर्ड,ವಂಶಾವಳಿಯ ದಾಖಲೆ
वंशावळी सारणी,ವಂಶಾವಳಿಯ ಕೋಷ್ಟಕ
वंशावळीचे झाड,ವಂಶಾವಳಿಯ ಮರ
वंशावळी,ವಂಶಾವಳಿ
वंशावळी,ವಂಶಾವಳಿ
पिढी,ಪೀಳಿಗೆ
नरसंहार,ನರಮೇಧ
परराष्ट्रीय,ಅನ್ಯಜಾತಿ
परराष्ट्रीय,ಅನ್ಯಜಾತಿ
परराष्ट्रीय,ಅನ್ಯಜಾತಿ
परराष्ट्रीय,ಅನ್ಯಜಾತಿ
वस्ती,ಘೆಟ್ಟೋ
वस्ती,ಘೆಟ್ಟೋ
गिबेट,ಗಿಬೆಟ್
गिल्ड (=गिल्ड),ಗಿಲ್ಡ್ (=ಗಿಲ್ಡ್)
ग्लॅडिएटर,ಗ್ಲಾಡಿಯೇಟರ್
गौरवशाली क्रांती,ಅದ್ಭುತ ಕ್ರಾಂತಿ
गोल्डन हॉर्डे,ಗೋಲ್ಡನ್ ಹಾರ್ಡ್
महाआघाडी,ಮಹಾಮೈತ್ರಿಕೂಟ
ग्रँडी,ಗ್ರ್ಯಾಂಡಿ
ग्रँड सिग्नर,ಗ್ರ್ಯಾಂಡ್ ಸಿಗ್ನರ್
ग्रँड सिग्नर,ಗ್ರ್ಯಾಂಡ್ ಸಿಗ್ನರ್
महान गृहयुद्ध,ಮಹಾ ಅಂತರ್ಯುದ್ಧ
महान प्रस्थान (बुद्धाचे),ಮಹಾ ನಿರ್ಗಮನ (ಬುದ್ಧನ)
ग्रेटर इंडिया,ಬೃಹತ್ ಭಾರತ
ग्रेट हेलास,ಗ್ರೇಟ್ ಹೆಲ್ಲಾಸ್
ग्रेट होर्डे,ಗ್ರೇಟ್ ಹೋರ್ಡ್
महान त्याग (=महान प्रस्थान),ಮಹಾತ್ಯಾಗ (=ಮಹಾನ್ ನಿರ್ಗಮನ)
ग्रेट सील,ಗ್ರೇಟ್ ಸೀಲ್
ग्रेट ट्रॅक,ಗ್ರೇಟ್ ಟ್ರ್ಯಾಕ್
उत्तम वाहन,ದೊಡ್ಡ ವಾಹನ
चीनची महान भिंत,ಚೀನಾದ ಮಹಾಗೋಡೆ
ग्रीव्ह,ಗ್ರೀವ್
गार्ड-चेंबर,ಗಾರ್ಡ್-ಚೇಂಬರ್
गार्ड-चेंबर,ಗಾರ್ಡ್-ಚೇಂಬರ್
गार्ड-चेंबर,ಗಾರ್ಡ್-ಚೇಂಬರ್
गुप्ता,ಗುಪ್ತರು
हॅगिओग्राफी,ಹ್ಯಾಜಿಯೋಗ್ರಫಿ
हॅगिओग्राफी,ಹ್ಯಾಜಿಯೋಗ್ರಫಿ
हॅगिओलॉजी,ಹ್ಯಾಜಿಯಾಲಜಿ
हॅगिओलॉजी,ಹ್ಯಾಜಿಯಾಲಜಿ
खाजगी प्रेक्षकांचा हॉल,ಖಾಸಗಿ ಪ್ರೇಕ್ಷಕರ ಹಾಲ್
सार्वजनिक प्रेक्षकांचा हॉल,ಸಾರ್ವಜನಿಕ ಪ್ರೇಕ್ಷಕರ ಸಭಾಂಗಣ
हॅचमेंट,ಹ್ಯಾಚ್ಮೆಂಟ್
हिथन,ಹೀತೆನ್
हिथन,ಹೀಥೆನ್
हिथिनिझम,ಹೀಥೆನಿಸಂ
हेगिरा (हेजेरा),ಹೆಗಿರಾ (ಹೆಜೆರಾ)
हेलेनिझम,ಹೆಲೆನಿಸಂ
हेलोट,ಹೆಲೋಟ್
हेरलड्री,ಹೆರಾಲ್ಡ್ರಿ
वारसा,ಪರಂಪರೆ
चित्रलिपी रेखीय वर्ण,ಚಿತ್ರಲಿಪಿಯ ರೇಖೀಯ ಅಕ್ಷರಗಳು
चित्रलिपी लिपी,ಚಿತ್ರಲಿಪಿ ಲಿಪಿ
उच्च चर्च,ಹೈ ಚರ್ಚ್
उंच लँडर,ಹೈ ಲ್ಯಾಂಡರ್
हिंदू धर्म,ಹಿಂದೂ ಧರ್ಮ
इतिहासकार,ಇತಿಹಾಸಕಾರ
इतिहासकार,ಇತಿಹಾಸಕಾರ
ऐतिहासिक भौतिकवाद,ಐತಿಹಾಸಿಕ ಭೌತವಾದ
ऐतिहासिक युग,ಐತಿಹಾಸಿಕ ಯುಗ
ऐतिहासिक सीमा,ಐತಿಹಾಸಿಕ ಗಡಿ
इतिहासकार,ಇತಿಹಾಸಕಾರ
इतिहासकार,ಇತಿಹಾಸಕಾರ
इतिहासलेखन,ಇತಿಹಾಸಶಾಸ್ತ್ರ
इतिहासलेखन,ಇತಿಹಾಸಶಾಸ್ತ್ರ
इतिहास,ಇತಿಹಾಸ
हिटाइट साम्राज्य,ಹಿಟ್ಟೈಟ್ ಸಾಮ್ರಾಜ್ಯ
पवित्र युती,ಪವಿತ್ರ ಮೈತ್ರಿ
पवित्र शहर,ಪವಿತ್ರ ನಗರ
पवित्र शहर,ಪವಿತ್ರ ನಗರ
पवित्र भूमी,ಪವಿತ್ರ ಭೂಮಿ
पवित्र भूमी,ಪವಿತ್ರ ಭೂಮಿ
होली लीग,ಹೋಲಿ ಲೀಗ್
होली लीग,ಹೋಲಿ ಲೀಗ್
पवित्र रोमन साम्राज्य (=द एम्पायर),ಪವಿತ್ರ ರೋಮನ್ ಸಾಮ್ರಾಜ್ಯ (=ಸಾಮ್ರಾಜ್ಯ)
पवित्र समुद्र,ಪವಿತ್ರ ಸಮುದ್ರ
पवित्र समुद्र,ಪವಿತ್ರ ಸಮುದ್ರ
पवित्र युद्ध,ಪವಿತ್ರ ಯುದ್ಧ
पवित्र युद्ध,ಪವಿತ್ರ ಯುದ್ಧ
गृह सरकार,ಗೃಹ ಸರ್ಕಾರ
होमगार्ड,ಗೃಹರಕ್ಷಕ
जन्मभुमी,ತಾಯ್ನಾಡು
घरचा नियम,ಗೃಹ ನಿಯಮ
होम रूल,ಹೋಮ್ ರೂಲ್
होर्डे,ತಂಡ
होर्डे,ತಂಡ
शत्रु देश,ಪ್ರತಿಕೂಲ ದೇಶ
प्रतिकूल जमीन,ಪ್ರತಿಕೂಲ ಭೂಮಿ
गरम पाठलाग,ಬಿಸಿ ಅನ್ವೇಷಣೆ
घर,ಮನೆ
घर,ಮನೆ
हाऊस ऑफ कॉमन्स,ಹೌಸ್ ಆಫ್ ಕಾಮನ್ಸ್
हाऊस ऑफ लॉर्ड्स,ಹೌಸ್ ಆಫ್ ಲಾರ್ಡ್ಸ್
प्रतिनिधीगृह,ಹೌಸ್ ಆಫ್ ರೆಪ್ರೆಸೆಂಟೇಟಿವ್ಸ್
Huguenots,ಹುಗೆನೋಟ್ಸ್
मानवतावाद,ಮಾನವತಾವಾದ
मानवतावादी,ಮಾನವತಾವಾದಿ
शंभर येसर्स युद्ध,ಹಂಡ್ರೆಡ್ ಯೆಸರ್ಸ್ ವಾರ್
हुंकार,ಹಂಕರ್
इबादत खाना (पूजागृह),ಇಬಾದತ್ ಖಾನಾ (ಆರಾಧನೆಯ ಮನೆ)
आयकॉनोक्लास्ट,ಐಕಾನೊಕ್ಲಾಸ್ಟ್
मूर्तिपूजक,ವಿಗ್ರಹಾರಾಧಕ
इलाही युग,ಇಲಾಹಿ ಯುಗ
बेकायदेशीर युद्ध,ಕಾನೂನುಬಾಹಿರ ಯುದ್ಧ
प्रकाशित हस्तलिखित,ಪ್ರಕಾಶಿತ ಹಸ್ತಪ್ರತಿ
सचित्र हस्तलिखित,ಸಚಿತ್ರ ಹಸ್ತಪ್ರತಿ
सचित्र हस्तलिखित,ಸಚಿತ್ರ ಹಸ್ತಪ್ರತಿ
इमाम (इम्माम),ಇಮಾಮ್ (ಇಮ್ಮಾಮ್)
इमामते,ಇಮಾಮತ್
इमामते,ಇಮಾಮತ್
इमामबारा,ಇಮಾಂಬರಃ
शाही,ಸಾಮ್ರಾಜ್ಯಶಾಹಿ
शाही शहर,ಇಂಪೀರಿಯಲ್ ನಗರ
साम्राज्यवाद,ಸಾಮ್ರಾಜ್ಯಶಾಹಿ
शाही प्राधान्य,ಸಾಮ್ರಾಜ್ಯಶಾಹಿ ಆದ್ಯತೆ
बेधडकपणा,ಅಸಮರ್ಥತೆ
ढोंगी,ವಂಚಕ
तुरुंगवास,ಸೆರೆವಾಸ
तुरुंगवास,ಸೆರೆವಾಸ
घुसखोरी,ಆಕ್ರಮಣ
घुसखोर,ಆಕ್ರಮಣಕಾರ
स्वातंत्र्य,ಸ್ವಾತಂತ್ರ್ಯ
स्वातंत्र्यदिन,ಸ್ವಾತಂತ್ರ್ಯ ದಿನ
इंडिपेंडन्स हॉल,ಸ್ವಾತಂತ್ರ್ಯ ಸಭಾಂಗಣ
भारतीय अमेरिकन (=रेड इंडियन=अमेरिकन भारतीय),ಇಂಡಿಯನ್ ಅಮೆರಿಯನ್ (=ರೆಡ್ ಇಂಡಿಯನ್=ಅಮೇರಿಕನ್ ಇಂಡಿಯನ್)
इंडियन होम रूल लीग,ಇಂಡಿಯನ್ ಹೋಮ್ ರೂಲ್ ಲೀಗ್
औद्योगिक क्रांती,ಕೈಗಾರಿಕಾ ಕ್ರಾಂತಿ
काफिर,ನಾಸ್ತಿಕ
काफिर,ನಾಸ್ತಿಕ
घुसखोरी,ಒಳನುಸುಳುವಿಕೆ
घुसखोर,ಒಳನುಸುಳುವವನು
माहिती देणारा,ಮಾಹಿತಿದಾರ
माहिती देणारा,ಮಾಹಿತಿದಾರ
माहिती देणारा,ಮಾಹಿತಿದಾರ
माहिती देणारा,ಮಾಹಿತಿದಾರ
प्रवेश,ಪ್ರವೇಶ
प्रवेश,ಪ್ರವೇಶ
प्रवेश,ಪ್ರವೇಶ
वस्ती,ವಾಸಸ್ಥಾನ
रहिवासी,ನಿವಾಸಿ
वारसा,ಆನುವಂಶಿಕತೆ
वारसा,ಆನುವಂಶಿಕತೆ
वारसा,ಆನುವಂಶಿಕತೆ
शिलालेख,ಶಾಸನ
बोधचिन्ह,ಲಾಂಛನ
प्रवेशाचे साधन,ಪ್ರವೇಶದ ಉಪಕರಣ
शासनाचे साधन,ಸರ್ಕಾರದ ಉಪಕರಣ
बंड (बंड),ದಂಗೆ (ದಂಗೆ)
बंडखोर,ದಂಗೆಕೋರ
बंड,ದಂಗೆ
बंड,ದಂಗೆ
एकत्रीकरण,ಏಕೀಕರಣ
रेकॉर्डची अखंडता,ದಾಖಲೆಗಳ ಸಮಗ್ರತೆ
राज्यांची अखंडता,ರಾಜ್ಯಗಳ ಸಮಗ್ರತೆ
बुद्धिमत्ता (बुद्धिमान),ಬುದ್ಧಿಜೀವಿಗಳು (ಬುದ್ಧಿವಂತರು)
मध्यस्थी,ಮಧ್ಯಸ್ಥಿಕೆ
मध्यस्थी करणारा,ಮಧ್ಯಸ್ಥಗಾರ
मध्यस्थ,ಮಧ್ಯವರ್ತಿ
आंतरराष्ट्रीयवाद,ಅಂತರಾಷ್ಟ್ರೀಯತೆ
आंतरराष्ट्रीयवाद,ಅಂತರಾಷ್ಟ್ರೀಯತೆ
आंतरराष्ट्रीयवादी,ಅಂತರಾಷ್ಟ್ರೀಯವಾದಿ
परस्पर युद्ध,ಆಂತರಿಕ ಯುದ್ಧ
इंटर्नी,ಇಂಟರ್ನಿ
इंटर्नी,ಇಂಟರ್ನಿ
इंटर्नी कॅम्प,ಇಂಟರ್ನಿ ಶಿಬಿರ
नजरबंदी,ಅಂತಃಕರಣ
नजरबंदी,ಅಂತಃಕರಣ
नजरबंदी,ಅಂತಃಕರಣ
Internuncio,ಇಂಟರ್‌ನನ್ಸಿಯೋ
दुभाषी,ಇಂಟರ್ಪ್ರಿಟರ್
दुभाषी,ಇಂಟರ್ಪ್ರಿಟರ್
दुभाषी,ಇಂಟರ್ಪ್ರಿಟರ್
हस्तक्षेप,ಹಸ್ತಕ್ಷೇಪ
Intestacy,ಕರುಳುವಾಳ
Intestate,ಕರುಳು
कारस्थान,ಒಳಸಂಚು
घुसखोर,ಒಳನುಗ್ಗುವವರು
घुसखोर,ಒಳನುಗ್ಗುವವರು
घुसखोरी,ಒಳನುಗ್ಗುವಿಕೆ
आक्रमण,ಆಕ್ರಮಣ
आक्रमण,ಆಕ್ರಮಣ
गुंतवणूक करा,ಹೂಡಿಕೆ ಮಾಡಿ
गुंतवणूक करा,ಹೂಡಿಕೆ ಮಾಡಿ
गुंतवणूक करा,ಹೂಡಿಕೆ ಮಾಡಿ
गुंतवणूक करा,ಹೂಡಿಕೆ ಮಾಡಿ
गुंतवणूक,ಹೂಡಿಕೆ
गुंतवणूक,ಹೂಡಿಕೆ
गुंतवणूक,ಹೂಡಿಕೆ
गुंतवणूक समारंभ,ಹೂಡಿಕೆ ಸಮಾರಂಭ
राष्ट्रीयत्वासह गुंतवणूक करा,ರಾಷ್ಟ್ರೀಯತೆಯೊಂದಿಗೆ ಹೂಡಿಕೆ ಮಾಡಿ
अजिंक्य आरमार,ಅಜೇಯ ನೌಕಾಪಡೆ
उल्लंघन (राज्याचे),ಉಲ್ಲಂಘನೆ (ರಾಜ್ಯದ)
उल्लंघन स्थिती,ಉಲ್ಲಂಘಿಸುವ ಸ್ಥಿತಿ
अभेद्य किल्ला,ಅವೇಧನೀಯ ಕೋಟೆ
लोह वय,ಕಬ್ಬಿಣದ ಯುಗ
लोखंडी पडदा,ಕಬ್ಬಿಣದ ಪರದೆ
लोखंडी रक्षक,ಕಬ್ಬಿಣದ ಕಾವಲು
