Malayalam,English
സേവനത്തിൽ മരണം,Death in service
ഡീയോത്തോരിസാറ്റിയോയിൻ,Deauthorizatioin
ദെബര്ട്ട്,Debar
അപരാതം,Debit
ഉപദേശം,Debit advice
കടം,Debt
ഡെറ്റ് മാനേജുമെന്റ്,Debt management
കടക്കാരൻ,Debtor
മരിച്ച,Deceased
അന്തസ്സ്,Decency
വികേന്ദ്രീകരണം,Decentralization
തീരുമാനിക്കുന്ന ഘടകം,Deciding factor
തീരുമാനം,Decision
തീരുമാനമെടുക്കൽ,Decision making
തീരുമാനമെടുക്കൽ പ്രക്രിയ,Decision making process
പഖാപനം,Declaration
വരുമാന പ്രഖ്യാപനം,Declaration of income
പ്രഖ്യാപിത മൂല്യം,Declared value
സത്യപ്രതിജ്ഞ ചെയ്യുക,Declare on oath
വിസങ്കേതനം,Decode
ഡീകോൺട്രോൾ,Decontrol
ആവര്ച്ച,Decorum
കുറയുക,Decrease
കൽപന,Decree
സമര്പ്പണം,Dedication
കിഴിവ്,Deductible
കുറയ്ക്കല്,Deduction
ഉറവിടത്തിൽ കിഴിവ്,Deduction at source
ശമ്പളത്തിൽ നിന്നുള്ള കിഴിവ്,Deduction from salary
പമാണം,Deed
പണയത്തിന്റെ കരാർ,Deed of mortgage
കരുതലർ യൂണിവേഴ്സിറ്റി,Deemed university
വികൃതമാക്കുക,Deface
മാനസികം,De facto
മലിനീകരണം,Defalcation
വിസമ്മതം,Defamation
കുറ്റം,Default
തകർച്ച,Defaulter
കുറവുള്ള,Defective
രാജരക്ഷ,Defence
പ്രതിരോധ ഉപദേശം,Defence counsel
പ്രതിരോധ നിർമ്മാണം,Defence production
എതൃകക്ഷി,Defendant
മാറ്റിവയ്ക്കുക,Defer
മാറ്റിവച്ച ചെലവ്,Deferred expenditure
എതിര്പ്പ്,Defiance
കമ്മി,Deficit
കമ്മി ബജറ്റ്,Deficit budget
നിര്വചിക്കുക,Define
വിസമ്മതിക്കുക,Defy
അധalal അപലതം,Degradation
ഡിഗ്രി,Degree
ദമ്പര്നം,Dejure
താമസിക്കുക,Delay
പതിനിധി,Delegate
ഏറ്റെടുത്ത അതോറിറ്റി,Delegated authority
പതിനിധിസംഘം,Delegation
അധികാരങ്ങളുടെ പ്രതിനിധി,Delegation of powers
ഇല്ലാതാക്കുക,Delete
ദീപീകരണം,Deletion
കരുതിക്കൂട്ടി,Deliberately
അപലപിക്കല്,Deliberation
വിശദീകരിക്കുന്നു,Delicencing
പവൃത്തി,Delimitation
മോചിപ്പിക്കുക,Deliver
പസവം,Delivery
അവകാശം,Demand
ആവശ്വാസ കുറിപ്പ്,Demand note
നിര്മതി,Demarcation
ഡെമി-ഉദ്യോഗസ്ഥൻ,Demi-official
ജനാധിപത്യം,Democracy
വിശദീകരണം,Demonstration
നാശ്ചരം,Demoralization
കലഹം,Demurrage
നിഷേധിക്കല്,Denial
വിഭാഗത്തെ,Denomination
ഡി നോവോ,De novo
നിഷേധിക്കുക,Deny
വേര്പിരിയുക,Depart
വകുപ്പ്,Department
വകുപകമായ,Departmental
വകുപ്പുതല പ്രവർത്തനം,Departmental action
വകുപ്പുതല അന്വേഷണം,Departmental enquiry
ഡിപ്പാർട്ട്മെന്റൽ അന്വേഷണം,Departmental investigation
ഡിപ്പാർട്ട്മെന്റൽ ക്രമക്കേട്,Departmental irregularity
ഡിപ്പാർട്ട്മെന്റൽ ലൈബ്രറി,Departmental library
വകുപ്പുതല അശ്രദ്ധ,Departmental negligence
വകുപ്പുതല അനുമതി,Departmental permission
വകുപ്പുതല യോഗ്യതാ പരീക്ഷ,Departmental qualifying examination
വേര്പാട്,Departure
ഡിപൻഡൻസി സർട്ടിഫിക്കറ്റ്,Dependency certificate
ആശയിക്കുന്ന,Dependent
ആശ്രിതരായ കുട്ടികൾ,Dependent children
വിനസിക്കുക,Deploy
പപ്പോന്ദ്ദം,Deponent
നാടുകടത്തല്,Deportation
ഉദാത്തൊരു,Depose
നിക്ഷേപം,Deposit
ഡിപ്പോ,Depot
മൂല്യത്തകർച്ച,Depreciation
വിഷാദമുള്ള ക്ലാസ്,Depressed class
കവരുക,Deprive
ആവരണം,Deputation
ഡെപ്യൂട്ടേഷൻ അലവൻസ്,Deputation allowance
ഡെപ്യൂട്ടി,Deputy
ധൈര്യമുള്ളവർ,Deregistered
ഡ്യൂട്ടിയുടെ ഡെറൽ,Dereliction of duty
ഉറിപ്പ്,Dereservation
ദുരന്തം,Derogation
അവശിഷ്ടപരമായ,Derogatory
അവഹേളനപരമായ പരാമർശം,Derogatory remark
പിന്ഗാമി,Descendant
വിവരണം,Description
അര്ഹത,Deserving
ചിതണം,Design
പഖാപിക്കുക,Designate
പദവി,Designation
അയക്കുക,Despatch
അയണി കുറിപ്പ്,Despatch note
പാസ്ചാർച്ച് രജിസ്റ്റർ,Despatch register
ഉദ്ദിഷ്ടസ്ഥലം,Destination
നിര്ഗതിയായ,Destitute
പതേകവിവരം,Detail
വിശദമായ,Detailed
കണ്ടുപിടിക്കുക,Detect
തടങ്കല്,Detention
ഡിറ്റനോ,Detenu
നിശ്ചയം,Determination
തടയല്,Deterrence
ദോഷം,Detriment
ദോഷകരമായ,Detrimental
വിലകുറയ്ക്കല്,Devaluation
നാശക്കേട്,Devastation
വികസനം,Development
വതിചലിക്കുക,Deviate
ഉപായം,Device
ഭക്തി,Devotion
രോഗംനിര്ണയിക്കുക,Diagnose
രേഖാലേഖം,Diagram
ഡയറി,Diary
ശാസന,Dictation
ഇതര മരിക്കുന്നു,Dies non
പഥാഹാരകമം,Diet
ദഹിപ്പിക്കുക,Digest
അന്തസ്സോടെ,Dignified
പതാപം,Dignity
വ്യതിരിക്ത,Digression
ഹിച്ചഹം,Dilatory
വൈഷമം,Dilemma
അധാനശീലനായ,Diligent
പരിമാണം,Dimension
ബിരുദപതം,Diploma
നയതന്ത്ര്യം,Diplomacy
നയതന്ത്ര പ്രതിരോധശേഷി,Diplomatic immunity
നേരിട്ട്,Direct
നേരിട്ടുള്ള മത്സരം,Direct competition
നേരിട്ടുള്ള അഭിമുഖം,Direct interview
സംവിധാനം,Direction
മേല്വിലാസപ്പട്ടിക,Directory
നേരിട്ടുള്ള റിക്രൂട്ട്,Direct recruit
അനുവദിക്കരുത്,Disallow
വികലത,Disability
വികലാംഗ വ്യക്തി,Disabled person
പ്രവർത്തനരഹിതമായ ആനുകൂല്യങ്ങൾ,Disablement benefit
അസൗകരം,Disadvantage
വിസമ്മതിക്കുക,Disagree
അനുവദനീയമല്ല,Disallowed
വിസമ്മതം,Disapproval
അതാഹിതം,Disaster
ദുരന്ത നിവാരണം,Disaster management
പിരിച്ചുവിടുക,Disband
അസംബ്ലി,Disbursement
ഉപേക്ഷിക്കുക,Discard
ഒഴിവാക്കുക,Discharge
ഡിസ്ചാർജ് സ്ലിപ്പ്,Discharge slip
അച്ചടക്ക നടപടി,Disciplinary action
അച്ചടക്ക നടപടിക്രമം,Disciplinary procedure
അച്ചടക്കം,Discipline
വിവേകം,Disclaim
പകാശനം,Disclosure
അസംതൃപ്തിയുള്ള,Discontent
നിർണ്ണയിക്കുക,Discontinuance
നിറുത്തുക,Discontinue
തരുക,Discord
കിഴിവ്,Discount
കണ്ടെത്തുക,Discover
അപമാനിക്കുക,Discredit
പൊരുത്തക്കേട്,Discrepancy
വിവേകം,Discretion
വിവേചനാധികാര ഗ്രാന്റ്,Discretionary grant
വിവേചനാധികാരശക്തി,Discretionary power
വിവേചനം,Discrimination
സംവാദം,Discussion
ആത്മാര്ഥതയില്ലാത്ത,Dishonest
അപമാനം,Dishonour
ശിഥിലത,Disintegration
ചകം,Disk
സ്ഥാനഭാവം,Dislocation
അവിശ്വസ്ത,Disloyal
പുറംതള്ളുക,Dismiss
പുറംതള്ളല്,Dismissal
പിരിച്ചുവിടൽ നടപടിക്രമം,Dismissal procedure
ധിക്കരിക്കുക,Disobey
അവവസ്ഥ,Disorder
അചന്തരമായ,Disorganise
അസമതം,Disparity
ഡിസ്പാച്ച് വിഭാഗം,Dispatch section
വിശദീകരിക്കാനാകും,Dispensable
ചിതറുക,Disperse
സ്ഥലംമാറ്റി,Displaced
പദര്ശനം,Display
അനിഷ്ടം,Displeasure
പങ്കുമാറ്റം,Disposal
പുറന്തള്ളുന്നു,Dispose of
സ്ഥാനം,Disposition
പുറംതൊലി,Dispossess
തര്ക്കം,Dispute
അഭാവം,Disqualification
അവഗണിക്കുക,Disregard
വേര്പിരിയല്,Disruption
അസംതൃപ്തി,Dissatisfaction
വിയോജിപ്പ്,Dissent
അപമാനകരമായ,Disservice
പിത്തരുത്,Dissociate
പിരിച്ചുവിടുക,Dissolution
അലിയിക്കുക,Dissolve
വിദൂര പഠനം,Distance learning
ദൈർഘ്യമേറിയ,Distillery
വ്യത്യസ്തരായ,Distinct
വിവേചിക്കുക,Distinguish
വളച്ചൊടിക്കൽ,Distortion
ദുരിതം,Distress
വിതരണം ചെയ്യുക,Distribute
വിതരണ,Distribution
ജില്ല,District
ജില്ലാ കേന്ദ്രം,District centre
ശലം,Disturbance
ഡിറ്റോ,Ditto
വതിചലനം,Diversion
ലാഭിക്കുക,Dividend
ഡിവിഷൻ,Division
വിവാഹമോചനം,Divorce
ഡോക്കറ്റ്,Docket
ഡോക്ടര്,Doctor
രേഖ,Document
ഡോക്യുമെന്ററി തെളിവുകൾ,Documentary evidence
പ്രമാണീകരണം,Documentation
വാസസ്ഥലം,Domicile
ഡൊമിസൈൽ സർട്ടിഫിക്കറ്റ്,Domicile certificate
പബലമായ,Dominant
സംഭാവന,Donation
ഡോസിയർ,Dossier
സംശയകരമായ,Doubtful
ഡ ove ടെയ്ലിംഗ്,Dove tailing
താഴേക്ക്,Down grade
കരട്,Draft
ഡ്രാഫ്റ്റ് മറുപടി,Draft reply
കടുത്ത നടപടി,Drastic measure
വര്ണിക്കുക,Draw
ഡ്രോക്കർ,Drawer
ഡ്രോയിംഗ്,Drawing
വരള്ച്ച,Drought
വരണ്ട പ്രമോഷൻ,Dry promotion
ഇരട്ട ചാർജ്,Dual charge
ഇരട്ട പൗരത്വം,Dual citizenship
കുടിശ്ശിക,Due
കൃത്യമായ ശ്രദ്ധ,Due diligence
കുടിശ്ശിക,Dues
ശരിക്കൊണ്ടാക്കുക,Duly
പകര്പ്പെടുക്കുക,Duplicate
കാലയളവ്,Duration
ദരക്ഷകർ,Duress
കടമ,Duty
ഡ്യൂട്ടി അലവൻസ്,Duty allowance
ഡ്യൂട്ടി ചാർട്ട്,Duty chart
നികുതി അവധി,Duty leave
കടപ്പാട്,Duty room
മരിക്കുന്ന പ്രഖ്യാപനം,Dying declaration
ചലനാത്മകത,Dynamics
പകാശിത,Earmark
സമ്പാദിച്ച അവധി,Earned leave
വരുമാനം,Earnings
പരിസ്ഥിതി സൗഹൃദ,Eco-friendly
പരിസ്ഥിതിവിജ്ഞാനം,Ecology
സാന്വത്തികമായ,Economic
സാമ്പത്തിക ചൂഷണം,Economical exploitation
സമ്പദ്,Economy
ഇക്കണോമി ക്ലാസ്,Economy class
എഡിറ്റിംഗ്,Editing
പതിപ്പ്,Edition
എഡിറ്റോറിയൽ,Editorial
പഠനം,Education
വിദ്യാഭ്യാസ ജീവിതം,Educational career
വിദ്യാഭ്യാസ ഇൻസ്റ്റിറ്റ്യൂട്ട്,Educational institute
വിദ്യാഭ്യാസ യോഗ്യത,Educational qualification
ഫലം,Effect
സഫലമായ,Effective
ഫലപ്രദമായ തീയതി,Effective date
ഇഫക്റ്റുകൾ,Effects
ഫലപ്ലയം,Efficacy
കാര്യക്ഷമത,Efficiency
കഴിവുള്ള,Efficient
പുറത്താക്കൽ,Ejectment
വിപുലീകരിക്കുക,Elaborate
ഭീഷണിപ്പെടുത്തുക,Elapse
തിരഞ്ഞെടുക്കപ്പെട്ട പ്രതിനിധി,Elected representative
തിരഞ്ഞെടുപ്പ്,Election
ഇലക്ടറൽ കോളേജ്,Electoral college
വചയിതാവ്,Electorate
വൈദ്യുതീകരണം,Electrification
ഇലക്ട്രോണിക് മാധ്യമങ്ങൾ,Electronic media
മൂലകം,Elementary
യോഗം,Eligibility
യോഗ്യതാ പരീക്ഷ,Eligibility test
ഉന്മേഷം,Elimination
വാചാലത,Eloquence
ശലപ്പെടുത്തുക,Embarrass
വഞ്ചന,Embezzlement
മുദ,Emblem
എംബോസിംഗ് മുദ്ര,Embossing seal
അടിയന്തരാവസ്ഥ,Emergency
അടിയന്തര ആശ്വാസം,Emergency relief
വേര്പെട്ടു,Emergent
കുടിയേറിപാര്പ്പ്,Emigration
നീളമുള്ള,Emoluments
എംപാനൽമെന്റ്,Empanelment
സമാനുഭാവം,Empathy
നിയമിക്കുക,Employ
തൊഴിലാളി,Employee
ജീവനക്കാരുടെ പങ്കാളിത്തം,Employee participation
ജീവനക്കാരന്റെ സംഭാവന,Employee’s contribution
ജീവനക്കാരുടെ പ്രൊവിഡന്റ് ഫണ്ട്,Employee’s provident fund
തൊഴിലുടമ,Employer
തൊഴില്,Employment
തൊഴിൽ കൈമാറ്റം,Employment exchange
തൊഴിൽ അറിയിപ്പ്,Employment notice
തൊഴിൽ ഓഫീസ്,Employment office
ശക്തിപ്പെടുത്തുന്ന,Empower
ശാക്തീകരണ,Empowerment
നടക്കുക,Enact
നടന്നാൽ,Enactment
En ബ്ലോക്ക്,En bloc
ഇകാഷ്,Encash
അടക്കംചെയ്യുക,Enclose
ധൈരം,Encouragement
കയ്യേറു,Encroachment
ല്യൂബ്രൻസ്,Encumbrance
മേലൊപ്പുവയ്ക്കുക,Endorse
നിരോധനം,Endowment
അവസാന ഉൽപ്പന്നം,End product
ഊര്ജം,Energy
നിര്ബന്ധിക്കുക,Enforce
ഇടപഴകുക,Engage
മെച്ചപ്പെടുത്തൽ,Enhancement
പഴുതുക,Enjoin
En മാസിൽ,En masse
അനേഷണം,Enquiry
പേരെഴുതുക,Enrol
എൻറോൾമെന്റ് (= എൻറോൾമെന്റ്),Enrolment (=enrollment)
എൻറോൾമെന്റ് നമ്പർ,Enrolment number
വഴിയിൽ,Enroute
ഉറപ്പാക്കുന്നത്,Ensuing
ഉറപ്പാക്കുക,Ensure
പവേശിക്കുക,Enter
എന്റർപ്രൈസ്,Enterprise
വിനോദിപ്പിക്കുക,Entertain
വിനോദം,Entertainment
സ്ഥാപകരം,Entitle
അർഹതയുണ്ട്,Entitled
അധികാരാവകാശം,Entitlement
പ്രവേശനം,Entrance
ചതിക്കുന്ന,Entrant
പവേശം,Entry
എൻട്രി ലെവൽ ജോലി,Entry level job
എണ്ണക്കല്ല്,Enumeration
പരിസ്ഥിതി,Environment
പ്രതിനിധി,Envoy
സാംക്രമികരോഗം,Epidemic
ശീതനം,Epitome
സമതം,Equality
സന്തുലിതാവസ്ഥ,Equilibrium
സജ്ജീകരണം,Equipment
ഇക്വിറ്റി,Equity
തുലതയുള്ള,Equivalent
വക്രത,Equivocal
ഉന്ബങ്ങുക,Eradicate
എറാറ്റ,Errata
പിശക്,Error
വർദ്ധനവ്,Escalation
അകന്വടി,Escort
സത്തായ,Essential
സ്ഥാപനം,Establishment
വിലമതിക്കുക,Estimate
കണക്കാക്കിയ ചെലവ്,Estimated cost
നീതിശാസ്ത്രം,Ethics
മരാദ,Etiquette
ഒഴിപ്പിക്കല്,Evacuation
ഒഴിഞ്ഞുമാറുക,Evade
മൂല്യനിർണ്ണയം,Evaluation
ഇരട്ട സംഖ്യ,Even number
അന്തിമമായ,Eventual
കുടിയിറക്കല്,Eviction
തെളിവ്,Evidence
വികസിക്കുക,Evolve
സൂക്ഷ്മമായ,Exact
പരീക്ഷ,Examination
പരീക്ഷണി,Examinee
പരീക്ഷകന്,Examiner
ഉദാഹരണം,Example
ഖനനം,Excavation
ഉല്കൃഷ്ടമയ,Excellent
ഒഴിവാക്കല്,Exception
അസാധാരണമായ,Exceptional
ആധികം,Excess
കൈമാറുക,Exchange
Icequer,Exchequer
എക്സൈസ് (= എക്സൈസ് ഡ്യൂട്ടി),Excise (=excise duty)
പെടുത്തിയിട്ടില്ല,Exclude
ഒഴികെയുള്ള,Exclusive
ക്ഷമ,Excuse
കൊല്ലുക,Execute
എക്സിക്യൂട്ടീവ്,Executive
പ്രവർത്തക സമിതി,Executive committee
എക്സിക്യൂട്ടീവ് പവർ,Executive power
എക്സിക്യൂട്ടീവുകൾ,Executives
എക്സിക്യൂട്ടീവ് സ്റ്റാഫ്,Executive staff
ഒഴിവാക്കപ്പെട്ട,Exempt
ഒഴിവാക്കല്,Exemption
ശീലിക്കുക,Exercise
മുൻ ഗ്രാറ്റേ,Ex-gratia
മുൻ ഗ്രാറ്റിയ പേയ്മെന്റ്,Ex-gratia payment
ഉപയോഗിച്ചുതീരുക,Exhaust
സമരഹിതം,Exhaustive
പദര്ശിപ്പിക്കുക,Exhibit
വിശിപ,Exigency
എക്സിം നയം,Exim policy
പുറത്ത്,Exit
അഭിമുഖത്തിൽ നിന്ന് പുറത്തുകടക്കുക,Exit interview
പോളിസിയിൽ നിന്ന് പുറത്തുകടക്കുക,Exit policy
വോട്ടെടുപ്പ് പുറത്തുകടക്കുക,Exit poll
മുൻ ഓഫീസിയോ,Ex-officio
രാജകീയത,Exonerate
വികസനം,Expansion
മുൻ ഭാഗം,Ex-parte
പ്രവാസി,Expatriation
ഉചിതമായ,Expedient
വേഗത്തിലാക്കുക,Expedite
പുറത്താക്കുക,Expel
ചെലവ്,Expenditure
പരിചയം,Experience
പരീക്ഷണം,Experiment
വിദഗ്ധന്,Expert
കാലഹരണപ്പെടൽ,Expiry
കാലഹരണപ്പെടുന്ന തീയതി,Expiry date
വിശദീകരണം,Explanation
സ്പഷ്ടമായ,Explicit
ചൂഷണം,Exploitation
ആരായുക,Explore
സ്ഫോടനം,Explosion
കയറ്റുമതി,Export
മുൻഗാമിയുടെ ഭാഗമോ,Ex-post facto
പകടിപ്പിക്കുക,Express
മുഖഭാവം,Expression
പുറത്താക്കൽ,Expulsion
പുറന്തള്ളുക,Expunge
നീട്ടുക,Extend
പരിധിവരെ,Extent
പുറമേയുള്ള,External
കൊള്ളയുള്ള,Extortion
അധികമായ,Extra
എക്സ്ട്രാക്ട് ചെയ്യുക,Extract
അസാധാരണമായ,Extraordinary
അതിരുകടന്ന,Extravagant
തീവ്രവാദി,Extremist
പുറംതള്ളമുള്ള,Extrovert
നേത്ര സാക്ഷ്യം,Eye witness
കെട്ടിച്ചമയ്ക്കുക,Fabricate
മുഖവില,Face value
സുഗമമാക്കുക,Facilitate
സൗകര്യം,Facility
ഫേസിമൈലി,Facsimile
വസ്തുത,Fact
ഭക്താത്മകത,Factionalism
ഘടകം,Factor
തൊഴില്ശാല,Factory
തൊഴില്പരമായ,Factual
ശേഷി,Faculty
പരാജയപ്പെടുക,Fail
മേള,Fair
വിശാസത,Faith
വ്യാജ,Fake
കുടുംബം,Family
ക്ഷാമം,Famine
കൂലി,Fare
വിടവാങ്ങല്,Farewell
കൃഷി,Farming
തളര്ച്ച,Fatigue
കുറ്റം,Fault
പീതി,Favour
സാദ്ധാച്ഛകക്ഷണം,Feasibility
സംയുക്തഭരണം,Federation
പതിഫലം,Fee
തിരികെ കൊടുക്കുക,Feed back
വികാരം,Feeling
അനുമോദിക്കല്,Felicitate
ദീപ,Fellow
സൗഹൃദം,Fellowship
സ്തൈണമായ,Female
സമൃദ്ധമായ,Fertile
കെട്ടുകഥയായ,Fictitious
വിശാസത,Fidelity
വയല്,Field
ആകൃതി,Figure
ഫയല്,File
ഫയലിംഗ്,Filing
ചലച്ചിതം,Film
അന്തിമം,Final
ധനകാരം,Finance
ധനസംബന്ധമായ,Financial
ധനപാനി,Financier
കണ്ടെത്തലുകൾ,Findings
പിഴ,Fine
ഫൈൻ ആർട്സ്,Fine arts
വിരൽ പ്രിന്റ്,Finger print
പൂർത്തിയായ സാധനങ്ങൾ,Finished goods
തീ,Fire
വെടിവയ്പ്പ്,Firing
ഉറപ്പായ,Firm
പ്രഥമ ശ്രുശ്രൂഷ,First aid
ഒന്നാം തരം,First class
ആദ്യ ഡിവിഷൻ,First division
ആദ്യ വിവര റിപ്പോർട്ട്,First information report
സാമ്പത്തിക വർഷങ്ങൾ,Fiscal
ഫിഷറീസ്,Fisheries
യോജമാക്കുക,Fit
ക്ഷമത,Fitness
ഉറപ്പിക്കുക,Fix
പരിഹാരം,Fixation
നിശ്ചിത,Fixed
കൊടി,Flag
പുറംപാളി,Flap
പരന്ന,Flat
വിമാനനിര,Fleet
സ lexവിശരിക്കുക,Flexibility
പറക്കല്,Flight
വെള്ളപ്പൊക്കം,Flood relief
തറ,Floor
ഒഴുകുക,Flow
ചാഞ്ചലം,Fluctuation
ഭ്രൂണരക്ഷ,Foeticide
മടക്കിയകടലാസ്,Folder
ഫോളിയോ,Folio
പിന്തുടരുക,Follow
പിന്തുടരുന്ന,Following
അനുയായി,Follower
അസംതൃപ്തി,Foment
കാൽ കുറിപ്പ്,Foot note
നിർബന്ധിത തൊഴിൽ,Forced labour
പവചിക്കുക,Forecast
മുൻകൂട്ടി ചിന്തിക്കുക,Foregone conclusion
അനമായ,Foreign
കെയ്മാന്,Foreman
മുൻപന്,Forenoon
ദീര്ഘദൃഷ്ടി,Foresight
ടൈപ്രർഡ്,Foreword
നഷ്ടപ്പെടുന്നു,Forfeit
കെട്ടിച്ചമയല്,Forged
കള്ളപമാണമുണ്ടാക്കല്,Forgery
രൂപം,Form
Formപചാരികമായ,Formal
രൂപകല്പന,Format
കഴിഞ്ഞ,Former
പമാണസൂതം,Formula
ഉടൻ തന്നെ,Forthwith
മുന്നോട്ട്,Forward
കൈമാറുന്ന കത്ത്,Forwarding letter
അടിത്തറ,Foundation
ഭിചനമുള്ള,Fraction
ഫ്രാഞ്ചൈസി,Franchise
തട്ടിപ്പ്,Fraud
സൗ ജന്യം,Free
മരവിക്കുക,Freeze
ചരക്കുകൂലി,Freight
ആവര്ത്തനം,Frequency
ഇന്ധനം,Fuel
പൂർണ്ണ സ്കെയിൽ,Full-scale
പവര്ത്തിക്കുക,Function
ധനം,Fund
മതമസമൂദ്ധം,Fundamentalism
നല്കുക,Furnish
തുടർ നടപടി,Further action
ലാഭകരമായ തൊഴിൽ,Gainful employment
ലാഭകരമായ തൊഴിൽ,Gainful occupation
ഗേറ്റ് പാസ്,Gate pass
ഗസറ്റഡ്,Gazetted
ഗസറ്റഡ് അവധി,Gazetted holiday
പൊതുവായ,General
പൊതുഭരണം,General administration
പൊതുശരീകാരം,General body
പൊതു തിരഞ്ഞെടുപ്പ്,General election
പൊതുയോഗം,General meeting
പൊതു പരിശീലനം,General practice
പൊതു നടപടിക്രമം,General procedure
പൊതു നിയമം,General rule
പൊതു വാർഡ്,General ward
തലമുറ,Generation
പതിഭ,Genius
കലര്പ്പില്ലാത്ത,Genuine
സമ്മാനം,Gift
ചേര്ച്ച,Gist
ആഗോള ടെണ്ടർ,Global tender
നിഘണ്ടു,Glossary
ലക്ഷം,Goal
താഴേക്കു പോകുക,Godown
ഗോൾഡൻ ഹാൻഡ്ഷേക്ക് (= ഗോൾഡൻ പാരച്യൂട്ട്),Golden handshake(=golden parachute)
നല്ല,Good
നല്ല പെരുമാറ്റം,Good conduct
നല്ല വിശ്വാസം,Good faith
നല്ല ഓഫീസുകൾ,Good offices
ദയ,Goodwill
ഭരിക്കുക,Govern
ഭരണം,Governance
സര്ക്കാര്,Government
ഇന്ത്യാ ഗവൺമെന്റ്,Government of India
ഇന്ത്യാ ഗവൺമെന്റ് ആശങ്ക,Government of India Concern
ഇന്ത്യാ ഗവൺമെന്റ് ഏറ്റെടുക്കുന്നു,Government of India Undertaking
സർക്കാർ പ്രസ്സ്,Government press
സർക്കാർ ദാസന്മാർ നിയമങ്ങൾ നടത്തുന്നു,Government servants conduct rules
സർക്കാർ സേവനം,Government service
ഗ്രഡേഷൻ,Gradation
വര്ഗീകരിക്കുക,Grade
ഗ്രേഡിംഗ്,Grading
ബിരുദധാരി,Graduate
ബിരുദം നേടിയ വേതനം,Graduated wages
ഗ്രാജുഭൂമി ട്രെയിനി,Graduate trainee
കോഴകൊടുക്കുക,Graft
ആകെ തുക,Grand total
സഹായധനം,Grant
ഗ്രാന്റ്-ഇൻ-എയ്ഡ്,Grant-in-aid
മുന്തിരിവന്,Grapevine
രേഖാചിതം,Graph
ഗ്രാഫോളജി,Graphology
നന്ദിയുള്ള,Grateful
ഗ്രാനുശേഷവണ,Gratuity
പച്ച കൈ,Green hand
അഭിവാദം,Greeting
സങ്കടം,Grievance
കഠിനമായ,Grievous
കടും,Gross
ആകെ തുക,Gross amount
മൊത്ത ദുരാചാരം,Gross misconduct
മൊത്തം അശ്രദ്ധ,Gross negligence
മൊത്തം ലാഭം,Gross profit
മൊത്ത വരുമാനം,Gross revenue
മൊത്തം ആകെ,Gross total
അടിത്തറയില്ലാത്ത,Groundless
നിലത്ത് വാടക,Ground rent
മൈതാനം,Grounds
ചേരി,Group
ഗ്രൂപ്പിംഗും ഗ്രേഡിംഗും,Grouping and grading
ഗ്യാരണ്ടി,Guarantee
ഗ്യാരണ്ടർ,Guarantor
അംഗരക്ഷകന്,Guard
ഗാർഡ് ഫയൽ,Guard file
രക്ഷാകര്ത്താവ്,Guardian
ഗസ്റ്റ് ഹൗസ്,Guest house
വഴികാണിക്കുക,Guide
മാര്ഗ്ഗരേഖകള്,Guidelines
കുറ്റം,Guilt
ശീലം,Habit
പതിവായി,Habitual
അർദ്ധ അവധി,Half-holiday
പകുതി ശമ്പളം,Half pay
വിശാലമായമുറി,Hall
തടഞ്ഞ,Halt
കൈ,Hand
കൈവിളി,Handbill
സംഗഹഗന്ഥം,Handbook
വൈകല്യത്തിന്,Handicap
കൈപ്പിടി,Handle
കൈത്തറി,Handloom
കയ്യിലൊതുങ്ങുന്ന,Handy
കൈമാറുക,Hand-over
കയ്യെഴുത്ത്,Handwriting
പീഡനം,Harassment
തുറമുഖം,Harbour
കഠിനാധ്വാനം,Hard labour
ഹാർഡ്വെയർ,Hardware
കഠിനാദ്ധ്വാനിയായ,Hard working
യാചിക്കല്,Haulage
ഹോക്കർ,Hawker
ആപത്ത്,Hazard
തല,Head
ഹെഡ് ഓഫീസ്,Head office
ആസ്ഥാനം,Headquarter
ആരോഗ്യ സർട്ടിഫിക്കറ്റ്,Health certificate
ശവണം,Hearing
കേൾക്കുക,Hearsay
കനത്ത വാഹനം,Heavy vehicle
അവകാശി,Heir
പിടിച്ചു,Held up
ഇവിടെ,Herewith
പൈതൃക,Heritage
അധികാരശ്രേണി,Hierarchy
ഉയർന്ന അധികാരം,Higher authority
ഉയർന്ന നിലവാരം,High grade
ഉയർന്ന നിലവാരം,High level
ഉയർന്ന തലത്തിലുള്ള തീരുമാനം,High level decision
ഹൈലൈറ്റുകൾ,Highlights
ഉന്നതം,High official
ഉയർന്ന പ്രിയോർട്ടി,High priorty
ഹൈസ്കൂൾ,High school
ഹിന്ദി പതിപ്പ്,Hindi version
വാടകയ്ക്കെടുക്കുക,Hire
വാടകയ്ക്കെടുക്കുക,Hiring
ചരിത്ര ഷീറ്റ്,History sheet
ശേഖരിക്കുന്നത്,Hoarding
പിടിക്കുക,Holding
അവധിദിവസം,Holiday
ആരാധന,Homage
വീട്,Home
നരഹത,Homicide
നെറിയുള്ള,Honest
ഓണറേരിയം,Honorarium
കാരരേഖ,Honorary
ബഹുമതി,Honour
ഹോസ്റ്റൽ,Hostel
എതിര്പ്പുള്ള,Hostile
വീട് വാടക,House rent
വീട് വാടക അലവൻ,House rent allowance
വീട്ടുനികുതി,House tax
പാർപ്പിട,Housing
ഭവന സൊസൈറ്റി,Housing society
"ഹ്യൂ, കരയുക",Hue and cry
ദയയുള്ള,Humane
മനുഷ്യാവകാശം,Human rights
അപമാനം,Humiliation
