Kannada,Telugu
ಸಿಲಿಯರಿ ಚಳುವಳಿ,సిలియరీ కదలిక
ಸಿಲಿಯದಾರ್ಧ,సిలియరీ
ನುಗ್ಗುವ,సిలియేట్
ಸಿಲಿಯಂ (ಸಿಲಿಯಾ),గోళ్ళు
ಸಿಂಚು,సిన్చోనా
ಸಿಯೋನ,సియోనా
ಸಿಪ್ರೊಫ್ಲಾಕ್ಸಾಸ್,సిప్రోఫ్లోక్సాసిన్
ಪ್ರಸರಣ,ప్రసరణ
ರಕ್ತಪರಿಚಲನೆ,ప్రసరణ వ్యవస్థ
ಪರಸ್ಪರ ಕ್ರಿಯಾಶೀಲ ಆಯೋಗ,సర్కోఎసోఫాగియల్ కమీషర్
ಸಿರೊಹಸ್,సిరోస్
ಸಿರಹತೆ,సిరోసిస్
ಸೈರ್ರಿನ,సిరస్
ಗುದ್ದು,సిస్టెర్నా
ಗೈರು,సిస్ట్రాన్
ಸಿಟ್ರಾ,సిట్రూలిన్
ಸಿಟ್ರಸ್ ಹಣ್ಣು,సిట్రస్ పండు
ವ್ಯಾಪಕವಾದ,క్లాడిస్టిక్స్
ಕ್ಲಾಡೋಡ್,క్లాడోడ్
ಕ್ಲಾಸೆಫೊರಾ,క్లాడోఫోరా
ಕ್ಲಾರಿಯಾಸ್ ಗ್ಯಾರೀಪಿನಸ್,క్లారియాస్ గారిపినస్
ವರ್ಗ,తరగతి
ವರ್ಗ,తరగతి
ವರ್ಗೀಕರಣ,వర్గీకరణ
ಕ್ಲಾವಿಸೆಪ್ಸ್,క్లావిసెప్స్
ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ,క్లావికిల్
ಪಂಜುರಹಿತ ಅಂಕಿಯ,పంజా లేని అంకె
ಮಣ್ಣಿನ,మట్టి
ಸೀಳು ಉಬ್ಬು,క్లీవేజ్ కణుపు
ಕ್ಸೂಯಿ,క్లిస్టోగామస్
ಕಾದು,క్లెమాటిస్
ವಶ,వాతావరణం
ಹವಾಮಾನ ವಲಯ,వాతావరణ జోన్
ಹವಾಮಾನದ ನಿಯತಾಂಕ,వాతావరణ పరామితి
ಪರಾಕಾಷ್ಠೆ ಸಮುದಾಯ,క్లైమాక్స్ కమ్యూనిటీ
ಪರ್ವತಾರೋಹಣ,అధిరోహకుడు
ಹತ್ತುವುದು,ఎక్కడం
ಕ್ಲಿನಿಕಲ್ ಅವಧಿ,క్లినికల్ కాలం
ಚಿರತೆ,క్లిటెల్లార్
ಕಣ್ಣುಹಣ್ಣು,క్లిటెల్లమ్
ಕ್ಲೈಟ್ರೀ,క్లిటోరియా
ಚಂದ್ರನಾಡಿ,స్త్రీగుహ్యాంకురము
ಗಡಿಯಾರದ,క్లోకా
ತಾರಯ ಕಪ್ಪೆ,క్లోనల్ ఫ్రాగ్
ಕ್ಲೋನಲ್ ಪ್ರಸಾರ,క్లోనల్ ప్రచారం
ಕ್ಲೋನಲ್ ಆಯ್ಕೆ,క్లోనల్ ఎంపిక
ತದ್ರೂಪಿ,క్లోన్
ಅಬೀಜ,క్లోనింగ్
ಮದುವೆ ಮುಚ್ಚಿ,దగ్గరి వివాహం
ಮುಚ್ಚಿದ ವ್ಯವಸ್ಥೆ,క్లోజ్డ్ సిస్టమ్
ನುಗ್ಗಿ,క్లోస్ట్రిడియం
ಕ್ಲೋಸ್ಟ್ರಿಡಿಯಮ್ ಬ್ಯುಟೈಲಿಸಿಯಮ್,క్లోస్ట్రిడియం బ్యూటిలిసియం
ಹೆಪ್ಪುಗಟ್ಟಿದ ಬಸ್ಟರ್,క్లాట్ బస్టర్
ರಕ್ತದ ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ,రక్తం గడ్డకట్టడం
ಕ್ಲೋವರ್ ಹುರುಳಿ,క్లోవర్ బీన్
ಕ್ಲೋವರ್-ಎಲೆ ಮಾದರಿ,క్లోవర్-లీఫ్ మోడల్
ಕಾಗರ ಮೀನು,విదూషకుడు చేప
ಸಿನಿಡೇರಿಯನ್ನರು,Cnidarians
ಸಿಎನ್‌ಡೋಬ್ಲಾಸ್ಟ್,Cnidoblist
ಸ ೦ ಚಿಸು,కోజర్వేట్
ಒರಟಾದ ಹೊಂದಾಣಿಕೆ ಗುಬ್ಬಿ,ముతక సర్దుబాటు నాబ్
ಒರಟಾದ ಮರಳು,ముతక ఇసుక
ಕರಾವಳಿ ದಿಬ್ಬ,తీరప్రాంత డూన్
ಕರಾವಳಿ ಸೀಗಡಿ ಸಂಸ್ಕೃತಿ ಫಾರ್ಮ್,వంశము
ಚಮಚ,కోబాల్ట్
ಕಶೇನು,కొకైన్
ಕಕ್ಷಿಯಿಸ್,కోకిడియోసిస్
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,కోకస్
ಕಂಡಯಿಗಳು,కోకిక్స్
ಕೋಕ್ಲಿಯಾ,కోక్లియా
ಕೋಕ್ಲಿಯಾ,కోక్లియా
ಕೋಕೂನ್,కోకన్
ಕೋಡೆಡ್ ಆನುವಂಶಿಕ ಕಾರ್ಯಕ್ರಮ,కోడెడ్ జన్యు కార్యక్రమం
ಕೋಡಿನ್,కోడైన్
ಕೋಡಿಂಗ್,కోడింగ్
ಕೋಡಿಂಗ್,కోడింగ్
ಕೋಡಿಂಗ್,కోడింగ్
ಎಳೆಗ,కోడింగ్ స్ట్రాండ్
ಚಾಚು,కోడోమైనాన్స్
ಕೋಡಾನ್,కోడాన్
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,సహకారం
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,కోలెంటెరాన్
ಉದರದ ಮರಳು,సెలియక్ గ్యాంగ్లియన్
ಸಹಕೋನ,కోలోమేట్
ಕೋಲಾಹಲ,కోలోమ్
ಕೋಲಿಕಾ ಎಪಿತೀಲಿಯಂ,కోలోమిక్ ఎపిథీలియం
ಕೋಲೋರಿಕ್ ದ್ರವ,కోయిలోమిక్ ఫ్లూయిడ్
ಕೊಯೆಲೋಮೊ ಚೀಲ,కోలోమో సాక్
ಕೊಯೆನೊಸೈಟಿಕ್,కోనోసైటిక్
ಕೊಯೆನೋಪೊಡಿಯಾಸಿ,కోనోపోడియాసి
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,కోఎంజైమ్
ಸಹ-ವಿಕಸನ,సహ పరిణామం
ಸಹ-ವಿಸ್ತರಣೆ,సహ-విస్తరణ
ಸಹಕಾರ,సహ-కారకం
ಒಗ್ಗಟ್ಟು,సమన్వయం
ಒಗ್ಗಟ್ಟು ಬಲ,సమన్వయ శక్తి
ಒಗ್ಗೂಡಿಸುವಿಕೆ ಸಿದ್ಧಾಂತ,సమన్వయ సిద్ధాంతం
ಒಗ್ಗಟ್ಟು-ತೆಳುವಾದ-ಪ್ರಸರಣ,సమన్వయ-టెన్షన్-ట్రాన్స్పిరేషన్
ಸಹಕಾರ,కోహోర్ట్
ಸುರುಳಿಯಾಗಿ ಅಥವಾ ಹೀರಿಕೊಳ್ಳುವಿಕೆಯಿಂದ ಸುರುಳಿಯಾಗಿ,స్పైరల్‌గా లేదా హెలిక్‌గా కాయిల్డ్
ಸುರುಳಿಯಾಗಿರುವ,కాయిల్డ్
ಕಹಳೆ,కోయిటస్
ಕೋಯಿಟಸ್ ಇಂಟರಪ್ಟಸ್ (ವಾಪಸಾತಿ),కోయిటస్ అంతరాయం (ఉపసంహరణ)
ಕೊಂಚುಸಾದ,కొల్చిసిన్
ಕೋಲ್ಚಿಕಮ್ ಶರತ್ಕಾಲ,కొల్చికమ్ శరదృతువు
ತಣ್ಣನೆಯ ರಕ್ತದ,కోల్డ్ బ్లడెడ్
ತೌಡು ಮರುಭೂಮಿ,కోల్డ్ ఎడారి
ಶೀತಲ ಗ್ರಾಹಕ,కోల్డ్ రిసెప్టర్
ಕೊಲಿಯಪ್ಟರ,కోలియోప్టెరాన్
ಕೊಲಿಯೊಪ್ಟಿನ,కోలియోప్టైల్
ಕೊಲಿಯರ್ಹಿಜಾ,కోలియోర్హిజా
ಕೊಲಿಯಸ್,కోలియస్
ಕಾಲಜ,కొల్లాజెన్
ಕಾಲಜನ ನಾರು,కొల్లాజెన్ ఫైబర్
ಕತ್ತುಪಟ್ಟಿ,కాలర్
ಮೇಲಾಧಾರ ಗ್ರಂಥಿ,అనుషంగిక గ్రంథి
ಟ್ಯೂಬುಲ್ ಸಂಗ್ರಹಿಸುವುದು,గొట్టం సేకరించడం
ನಾಳವನ್ನು ಸಂಗ್ರಹಿಸುವುದು,వాహిక సేకరణ
ಕೊಲೆಟೊಟ್ರಿಚಮ್,కొల్లెటోట్రిచమ్
ಕೊಲೊಬ್ಲಾಸ್ಟ್ ಕೋಶ,కొలోబ్లాస్ట్ సెల్
ಕೊಲರೆ,ఘర్షణ
ಕೊಲರೆ,ఘర్షణ
ಕೊಲೊಕಾಸಿಯಾ,కోలోకాసియా
ಪಲಗರು,పెద్దప్రేగు
ವಸಾಹತುಶಾಹಿ ರೂಪ,వలస రూపం
ವಸಾಹತುಶಾಹಿ ನಾಸ್ಟಾಕ್,కలోనియల్ నోస్టాక్
ಸಮರೀಕರಣ,వలసరాజ్యం
ವಸಾಹತು,కాలనీ
ಕೊಲೆಗಡುಕ,కొలొస్ట్రమ్
ಬಣ್ಣ ಕುರುಡುತನ,రంగు అంధత్వం
ಕಾಲಮ್ ಕ್ರೊಕ್ಕಳ ನಿರೂಪಣೆ,కాలమ్ క్రోమాటోగ్రఫీ
ಬರ್ಟಿನಿಯ ಕಾಲಮ್,బెర్టిని కాలమ్
ಸ್ತನಪಭಲ,స్తంభ ఎపిథీలియం
ಬಾಚಣಿಗೆ,దువ్వెన ప్లేట్
ಸಂಯೋಜಿತ ರೋಗನಿರೋಧಕ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್,సంయోజక్రియ
ಸಂಯೋಜಿತ ತೂಕ,సంయుక్త బరువు
ಬೆಸುಗದ ಜೆಲ್ಲಿ,దువ్వెన-జెల్లీ
ದಹನ,దహన
ದಹನ ಪ್ರಕ್ರಿಯೆ,దహన ప్రక్రియ
ಅಲ್ಪವಿರಾಮ,కామా
ಆರಂಭದ ಆರಂಭ,ప్రారంభం
ಕಾಗರ ಹಡಗು,కమీసురల్ నౌక
ಸಾಮಾನ್ಯ ಪೂರ್ವಜ,సాధారణ పూర్వీకుడు
ಸಾಮಾನ್ಯ ಶೀರ್ಷಧಮನಿ ಅಪಧಮನಿ,సాధారణ కరోటిడ్ ధమని
ಸಾಮಾನ್ಯ ಭಾರತೀಯ ಟೋಡ್,కామన్ ఇండియన్ టోడ్
ಸಮುದಾಯ ವೈವಿಧ್ಯತೆ,కమ్యూనిటీ వైవిధ్యం
ಸಮುದಾಯ ಸಂವಹನ,కమ్యూనిటీ ఇంటరాక్షన్
ಸಂಕುಚಿತಗೊಳಿಸುವಿಕೆ,సంపీడనం
ಒಡನಾಡಿ ಕೋಶ,కంపానియన్ సెల్
ತುಲನಾತ್ಮಕ ಅಂಗರಚನೆ,తులనాత్మక శరీర నిర్మాణ శాస్త్రం
ತುಲನಾತ್ಮಕ ರೂಪವಿಜ್ಞಾನ,తులనాత్మక పదనిర్మాణం
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,అనుకూలత
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,అనుకూలత
ಸರಿದೂಗನೆ ಪುನರುತ್ಪಾದನೆ,పరిహార పునరుత్పత్తి
ಸಮರ್ಥ ಕೋಶ,సమర్థ సెల్
ಸಮರ್ಥ ಹೋಸ್ಟ್,సమర్థ హోస్ట్
ಸ್ಪರ್ಧೆ,పోటీ
ಸ್ಪರ್ಧಾತ್ಮಕ ಪ್ರತಿಬಂಧ,పోటీ నిరోధం
ಸ್ಪರ್ಧಾತ್ಮಕ ಪ್ರತಿರೋಧಕ,పోటీ నిరోధకం
ಪೂರಕತೆ,పరిపూరత
ಪೂರಕ ಫಿಲ್ಟರ್,కాంప్లిమెంటరీ ఫిల్టర్
ಪೂರಕ ಜೀನ್,పరిపూరకరమైన జన్యువు
ಪೂರಕ ಜೋಡಿ,పరిపూరకరమైన జత
ಸಂಪೂರ್ಣ ಜೀರ್ಣಾಂಗವ್ಯೂಹ,పూర్తి జీర్ణవ్యవస్థ
ಸಂಪೂರ್ಣ ಸಂಪರ್ಕ,పూర్తి అనుసంధానం
ಸಂಪೂರ್ಣ ಆಕ್ಸಿಡೀಕರಣ,పూర్తి ఆక్సీకరణ
ಸಂಕೀರ್ಣ,క్లిష్టమైన
ಸಂಕೀರ್ಣ,క్లిష్టమైన
ಸಂಕೀರ್ಣ,క్లిష్టమైన
ಸಂಕೀರ್ಣ ಅಂಗಾಂಶ,సంక్లిష్ట కణజాలం
ಸಂಯೋಜಿತ,మిశ్రమ
ಸಂಯುಕ್ತ ಕೋರಿಎಂಬಿ,కాంపౌండ్ కోరిఎంబి
ಕಾಂಪೌಂಡ್,సమ్మేళనం ఎపిథీలియం
ಕಾಂಪೌಂಡ್ ಕಣ್ಣುಗಳು,కాంపౌండ్ కళ్ళు
ಸಂಯುಕ್ತ ಉಕ್ಕು,సమ్మేళనం అంబెల్
ಕಂಪಲ್ಸಿವ್ ಕ್ರಿಯೆ,కంపల్సివ్ చర్య
ಕಂಪ್ಯೂಟೇಶನಲ್ ಜೀವಶಾಸ್ತ್ರ,గణన జీవశాస్త్రం
ಕಂಪ್ಯೂಟೆಡ್ ಟೊಮೊಗ್ರಫಿ,కంప్యూటెడ్ టోమోగ్రఫీ
ಗಣಕಯಂತ್ರ ಪರದೆ,కంప్యూటర్ స్క్రీన్
ಕೇಂದ್ರೀಕರಿಸಿದ,సాంద్రీకృత మూత్రం
ಏಕಾಗ್ರತೆ,ఏకాగ్రత
ಏಕಾಗ್ರತೆ ಗ್ರೇಡಿಯಂಟ್,ఏకాగ్రత ప్రవణత
ಕಲ್ಪನಾ,భావన
ಘನೀಕರಣ,సంగ్రహణ
ಘನೀಕರಣ,సంగ్రహణ
ಘನೀಕರಣ ಡಿಕೋಂಡೆನ್ಸೇಷನ್ ಚಕ್ರ,సంగ్రహణ డీకోండెన్సేషన్ చక్రం
ಮಂದಬುದ್ಧಿಯ ಸ್ಥಿತಿ,ఘనీకృత రాష్ట్రం
ದನಕ ಮಸೂರ,కండెన్సర్ లెన్స్
ಷರತ್ತುಬದ್ಧ,షరతులతో
ಷರತ್ತುಬದ್ಧ,షరతులతో
ನರ ಪ್ರಚೋದನೆಯ ವಹನ,నాడిలో ప్రేరణ
ನೀರಿನ ವಾಹಕ,నీటి ప్రసరణ
ವಾಹಕ ವಿದ್ಯುದ್ವಿಚ್ g ೇದ್ಯ ಜೆಲ್,కండక్టివ్ ఎలక్ట్రోలైట్ జెల్
ಸಮಾಧಿ,కోన్
ಅನುಗುಣವಾಗಿ,అనుగుణంగా
ರೂಪರೇಖೆ,కన్ఫార్మర్
ಸಂಯೋಗದ,పుట్టుకతో వచ్చేది
ಶಂಕುವಿನಾಕಾರದ ಮೂಲ,శంఖాకార మూలం
ಶಂಕುವಿನಾಕಾರದ,శంఖాకార
ಕೋನೀದಿ,కోనిడియా
ಗೋಪುರ,కోనిఫెర్
ಕನ್ಯೆ,కోనిఫెరే
ಕೋನಿಫರೋಪ್ಸಿಡ,కోనిఫెరోప్సిడా
ನಾಳದ ಬಂಡಲ್,కన్ఫాయింట్ వాస్కులర్ బండిల్
ಸಂಯೋಜಿತ,సంయోగం
ಸಂಯೋಗ,సంయోగం
ಚಿರತೆ,కంజుంక్టివా
ಸಂಯೋಗದ ಅಂಗಾಂಶ,కంజుక్టివ్ టిష్యూ
ಸಂಯೋಜಕ ಅಂಗಾಂಶದ,బంధన కణజాలము
ಕೊನೆಲ್ ಅವರ ಪ್ರಯೋಗ,కొన్నెల్ యొక్క ప్రయోగం
ಸಂರಕ್ಷಣಾ ಅರಣ್ಯ,పరిరక్షణ అటవీ
ಸಂಪ್ರದಾಯಬದ್ಧ ಬೇಸಾಯ,కన్జర్వేషనల్ టైజ్
ಸ್ಥಿರತೆ,స్థిరాంకం
ಸಂಪ್ರದಾಯ,రాజ్యాంగం
ರಚನಾತ್ಮಕ ಕಿಣ್ವ,నిర్మాణాత్మక ఎంజైమ్
ಗ್ರಾಹಕ,వినియోగదారు
ಸಂಪರ್ಕ ಪ್ರತಿಬಂಧಕ,సంప్రదింపు నిరోధం
ಸಾಂಕ್ರಾಮಿಕ ರೋಗ,అంటు వ్యాధి
ಕಲುಷಿತಗೊಳಿಸು,కలుషితం
ಮಾಲಿನ್ಯ,కాలుష్యం
ಸಮಕಾಲೀನ ಜೀವಿ,సమకాలీన జీవశాస్త్రం
ಖಂಡ,ఖండం
ಬಾಹ್ಯರೇಖೆ ಉಳುಮೆ,ఆకృతి దున్నుతున్నది
ಸಂಕುಚಿತತೆ,కాంట్రాక్టిబిలిటీ
ಗುತ್ತಿಗೆ ನಾರು,సంకోచ ఫైబర్
ಗುತ್ತಿಗೆ ಪ್ರೋಟೀನ್,సంకోచ ప్రోటీన్
ಸಂಕೋಚಕ ಪ್ರತಿಕ್ರಿಯೆ,సంకోచ ప్రతిస్పందన
ಸಂಕೋಚಕ ನಿರ್ವಾತ,సంకోచ వాక్యూల్
ಕಾಂಟ್ರಾಸ್ಟ್ ಏಜೆಂಟ್,కాంట్రాస్ట్ ఏజెంట్
ಕಾಂಟ್ರಾಸ್ಟ್ ಏಜೆಂಟ್,కాంట్రాస్ట్ ఏజెంట్
ಕಾಂಟ್ರಾಸ್ಟ್ ಏಜೆಂಟ್,కాంట్రాస్ట్ ఏజెంట్
ವ್ಯತಿರಿಕ್ತ ಲಕ್ಷಣ,విరుద్ధమైన లక్షణం
ಕೇಂದ್ರಾಪಗಾಮಿ ಬಲದ,సెంట్రిఫ్యూగల్ ఫోర్స్
ನಿಯಂತ್ರಣ,నియంత్రణ కారకం
ನಿಯಂತ್ರಿತ ಪ್ರಯೋಗ,నియంత్రిత ప్రయోగం
ಗಾಡಿ,కోనస్
ಕನ್ಯೆ,కోనస్ ఆర్టెరియోసస్
ಸಾಂಪ್ರದಾಯಿಕ ಬೇಸಾಯ,సాంప్రదాయ పండించడం
ಒಮ್ಮುಖವಾಗಿಸು,కలుస్తుంది
ಒಗ್ಗೂಡಿ,కన్వర్జెంట్
ಒಮ್ಮುಖ (ವಿಕಾಸ),భోగశనకు సంబంధించిన
ಕಾಸಿನ,Cancolvulaceae
ಸುರುಳಿಯಾಕಾರದ ಕೊಳವೆಯ,మెలికలు తిరిగిన గొట్టం
ಸಮಾಲೋಚನೆ,సమన్వయ
ಕೊಲೆಗುಂದೆಯ,కోపాలిమర్
ತಾಮ್ರ,రాగి
ನುಗ್ಗಿ,కోప్రోలైట్
ಕಾಲ್ಚಾಪನಕ,కోప్రొఫిలస్
ಹದಿಕಟ್ಟಿಸು,కంపోలేట్ చేయండి
ಕವಣೆ,కాపులేషన్
ಕವಣೆ,కాపులేషన్
ಕಪೃತ್ವ,కాపులేటరీ ప్యాడ్
ಹವಳದ ಬಂಡೆಯ ಸಮುದಾಯ,పగడపు రీఫ్ కమ్యూనిటీ
ಹವಳದ,పగడపు
ಕರ್ಟೇಟ್,కార్డేట్
ಕೋರ್ ಪ್ರದೇಶ,కోర్ ప్రాంతం
ಕೋರೆ ವಲಯ,కోర్ జోన్
ತಿರುಳು,కోర్ప్రెస్సర్
ಕೊಳೆ,కొరిఫాస్ఫిన్
ಗಾಡಿ,కార్క్
ಕಾರ್ಕ್ ಕ್ಯಾಂಬಿಯಂ,కార్క్ కాంబియం
ಚರಿತ್ರೆ,కార్క్ స్క్రూ
ಗಂಡಿ,కార్మ్
ಜೋಳದ ಕೊರೆ,మొక్కజొన్న బోరర్
ಕಾರ್ನಾ,కార్నియా
ಕಾರ್ನಾಜೆನ್ ಕೋಶ,కార్నిజెన్ సెల్
ಕಾರ್ನಿಯಲ್ ಲೆನ್ಸ್,కార్నియల్ లెన్స్
ಹುಲ್ಲುಗಾವಲು,కొరోల్లా
ಕರೋನ,కరోనా
ಕರೋನಾ ನುಗ್ಗುವ ಕಿಣ್ವ,కరోనా చొచ్చుకుపోయే ఎంజైమ్
ಕರೋನ ರೇಡಿಯಾಟಾ,కరోనా రేడియేటా
ಕೊರೊನಾರಿಯ,కరోనారియే
ಪರಿಧಮನಿಯ,కొరోనరీ ఆర్టరీ
ಪರಿಧಮನಿಯ ಬೈಪಾಸ್,కొరోనరీ ఆర్టరీ బైపాస్
ಪರಿಧಮನಿಯ ಕಾಯಿಲೆ,కొరోనరీ ఆర్టరీ డిసీజ్
ಪರಿಧಮನಿಯ ಸಲ್ಕಸ್,కొరోనరీ సల్కస్
ಕಾರ್ಪೋರಾ ಕಾವರ್ನೊಸಾ (ಶಿಶ್ನ),కార్పోరా కావెర్నోసా (పురుషాంగం)
ಕಾರ್ಪ್‌ವಾಲ್ಜೆಮಿನಾ,కార్పోరా క్వాడ్రిజెమినా
ದಳ,కార్పస్
ಕಾರ್ಪಸ್ ಅಲ್ಬಿಕಾನ್ಸ್,కార్పస్ అల్బికాన్స్
ಕಾರ್ಪಸ್ ಕ್ಯಾಲೋಸಮ್,కార్పస్ కాలోసమ్
ಕಾರು ಲುಟಿಯಮ್,కార్పస్ లూటియం
ಕಾರ್ಪಸ್ ಸ್ಪಂಜಿಯಾಸಂ,కార్పస్ స్పాంజియోసమ్
ಕರಿಚಾಲ,కార్పస్ స్ట్రియాటం
ನಾಶಮಾಡು,క్షీణించింది
ಕಂದುಬಣ್ಣ,కార్టెక్స్
ಕಾರ್ಟಿಕಲ್ ನೆಫ್ರಾನ್,కార్టికల్ నెఫ్రాన్
ಆರ್ಟಿಕೊಸ್ಟೆರಾನ್,కార్టికోస్టెరాన్
ಆರ್ಟಿಕೊಟ್ರೋಫಿಕ್,కార్టికోట్రోఫిక్
ನಾರುಬಟ್ಟೆ,కార్టిసాల్
ನುಗ್ಗಿ,కార్టిసోన్
ಕರ್ಮ,కార్వస్
ಕೋರಿಎಂಬಿ,Corymb
ಕಾಸ್ಮಿಕ್ ಮೂಲ,విశ్వ మూలం
ಕಾಸ್ಮಿಕ್ ಕಿರಣ,కాస్మిక్ రే
ಕಾಸ್ಮಜ,కాస్మిడ్
ಕಾಸ್ಮೊಜಾನ್ ಸಿದ್ಧಾಂತ,కాస్మోజోవాన్ సిద్ధాంతం
ಹತ್ತಿ ಬೋಲ್ವರ್ಮ್,కాటన్ బోల్వార్మ్
ಸಮಾಲೋಚನೆ,కౌన్సెలింగ్
ಪ್ರತಿಲಶವಾಕೃತಿ,కౌంటర్-కరెంట్ సిస్టమ్
ಸೋದರಸಂಬಂಧಿ ವಿವಾಹ,కజిన్ వివాహం
ಕೋವೆಲನ್ಸಿಯ ಬಂಡಿ,సమయోజనీయ బంధం
ಹೊದಿಕೆ,కవర్
ಎಪಿಥೀಲಿಯಂ ಅನ್ನು ಒಳಗೊಂಡಿದೆ,ఎపిథీలియం కవర్
ಕೌಪರ್‌ನ ಗ್ರಂಥಿ,కౌపర్స్ గ్రంథి
ಕಾದು,కాక్సా
ಕಾದು,కాక్సా
ಕಾಕ್ಸಲ್ ಮೂಳೆ,కాక్సల్ ఎముక
ಕಾಕ್ಸಲ್ ಪ್ರಕ್ರಿಯೆ,కాక్సల్ ప్రక్రియ
ಬಿರುಕು,క్రాక్
ಕ್ರ್ಯಾಕರ್ ಸ್ಫೋಟಕ,క్రాకర్ బ్లాస్టింగ్
ಕಪಾಲದ ಮೂಳೆ,కపాల ఎముక
ಕಪಾಲದ ಮೆನಿಂಜುಗಳು,కపాల మెనింజెస్
ಕಪಾಲದ ನರ,కపాల నాడి
ಕ್ರ್ಯಾನಿಯೋಸಸ್ಯಲ್ ಹೊರಹರಿವು,క్రానియోసాక్రాల్ low ట్‌ఫ్లో
ಕಾಂಡ,కపాలం
ಕ್ರಾಸ್ಲೂಸಿಯನ್ ಆಸಿಡ್ ಚಯಾಪಚಯ,క్రాసూలేసియన్ యాసిడ్ జీవక్రియ
ಮೀನು,క్రే ఫిష్
ರಾಸಾಯನಿಕ,క్రియేటినిన్
ಜೀವಿ,జీవి
ಬಳ್ಳಿ,లత
ಚಿರತೆ,క్రెన్యులేషన్
ಚಿರತೆ,క్రెన్యులేషన్
ಕ್ರಿಟೇಶಿಯಸ್ ಅವಧಿ,క్రెటేషియస్ కాలం
ಕ್ರೆಟಿನ್ ತತ್ತ್ವ,క్రెటినిజం
ಕ್ರಿ-ಚಾಟ್ ಸಿಂಡ್ರೋಮ್,క్రి-డు-చాట్ సిండ్రోమ్
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,క్రిస్టే
ವಿಮರ್ಶಾತ್ಮಕ ಲಿಂಕ್ ಪ್ರಭೇದಗಳು,క్లిష్టమైన లింక్ జాతులు
ನಿರ್ಣಾಯಕ ಪ್ರಕ್ರಿಯೆ,క్లిష్టమైన ప్రక్రియ
ವಿಮರ್ಶಾತ್ಮಕವಾಗಿ ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ ಪ್ರಭೇದಗಳು,విమర్శనాత్మకంగా అంతరించిపోతున్న జాతులు
ಬೆಳೆ,పంట
ಬೆಳೆ ಎಂಜಿನಿಯರಿಂಗ್,పంట ఇంజనీరింగ్
ಬೆಳೆಭೂಮಿ,పంట భూములు
ಶಿಲುಬೆ,క్రాస్
ಮಿಶ್ರ ತಳಿ,క్రాస్ బ్రీడింగ్
ಅಡ್ಡ ಸೇತುವೆ,క్రాస్-బ్రిడ్జ్
ಒಂದಕ್ಕೊಂದು ಸಂಯೋಜಿಸಿದ,క్రాస్ లింక్
ಅಡ್ಡ ಪರಾಗಸ್ಪರ್ಶ,క్రాస్ పరాగసంపర్కం
ಅಡ್ಡ -ಪರಾಗಸ್ಪರ್ಶ,క్రాస్ పరాగసంపర్కం
ದಾಟಿದೆ,దాటి వెళ్ళడం
ಕ್ರೊಟಲೇರಿಯ,క్రోటేరియా
ಚಾಚು,క్రోటన్
ಕಿರೀಟ ಪಿತ್ತದ ಗೆಡ್ಡೆ,కిరీటం పిత్తాశయం కణితి
ಕಿರೀಟ ಕಸಿ,కిరీటం అంటుకట్టుట
ಶಿಲಸಕ್ತ,క్రుసిఫాం
ಕಚ್ಚಾ ಜನನ ಪ್ರಮಾಣ,ముడి జనన రేటు
ಕಚ್ಚಾ ಸಾವಿನ ಪ್ರಮಾಣ,ముడి మరణం రేటు
ಕಠಿಣಚೋನೆ,క్రస్టేసియన్
ಕ್ರೈ ಐಎ ಸಿ,క్రై ఇయా సి
ಕ್ರೈ ಐಯಾ ಬಿ,క్రై iia b
ಕ್ರೈಪ್ರೆಸರ್ವ,క్రియోప్రెజర్వేషన్
ಕ್ರದಾವಿತ್ತ,క్రియోసర్జరీ
ರಹಸ್ಯವಾದ,నిగూ
ರಹಸ್ಯ ನೋಟ,నిగూ geeption ప్రదర్శన
ರಹಸ್ಯವಾದ ಬಣ್ಣ,నిగూ color రంగు
ರಹಸ್ಯವಾಗಿ - ಬಣ್ಣ,క్రిప్టిక్‌గా - రంగు
ಕ್ರಿಪ್ಟಾಗಾಮ,క్రిప్టోమాగా
ಕ್ರಿಪ್ಟಾಗಾಮ,క్రిప్టోగామియా
ಲೈಬರ್‌ಕುನ್‌ನ ಕ್ರಿಪ್ಟ್‌ಗಳು,లైబెర్కుహ్న్ యొక్క క్రిప్ట్స్
ಸ್ಫಟಿಕ,క్రిస్టల్
ಸ್ಫಟಿಕದ,స్ఫటికాకార
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,Ctenophorans
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,Ctenophore
