Assamese,English
ডিফাৰেন্সিয়েল ছেগমেণ্ট,differential quotient
পাৰ্থক্য কৰা,differentiate
"পাৰ্থক্য, পাৰ্থক্য",differentiation
ডিফাৰেন্সিয়েল সূত্ৰ,differentiation formula
ভেক্টৰৰ পাৰ্থক্য,differentiation of vector
"প্ৰসাৰণ, প্ৰসাৰণ",diffusion
"সংখ্যা, ডায়েডেম, আঙুলি",digit
ডিজিটেল কম্পিউটাৰ,digital computer
অংকি দত্ত,digital data
"পৰিসৰ, প্ৰস্থ, মাত্ৰা, শক্তি",dimension
মাত্ৰাগততা,dimensionality
মাত্ৰাহীন,dimensionless
সমীকৰণৰ মাত্ৰা,dimension of an equation
ডাইঅ’ফেন্টাছৰ সমীকৰণ,diophantine equation
পতনৰ কোণ,dip angle
ডাইপোল স্থানাংক,dipolar coordinates
ডাইপোল,dipole
বাইপিৰামিড,dipyramid (bipyramid)
dirac ডেল্টা ফাংচন,Dirac delta function
সাধাৰণ স্পৰ্শক,direct common tangent
সোঁকোণ,directed angle
প্ৰত্যক্ষ ৰেখা,directed line
স্থান ব্যুৎপত্তি,directional derivative
"ডাইকোচিন, ডাইকো-কোচাইন",direction cosine
ৰ দিশটো সৰ্বোচ্চ,direction of maxima
প্ৰজেকচন দিশ,direction of projection
দিশ অনুপাত,direction ratio
নিয়ন্ত্ৰণ বৃত্ত,director circle
নিয়ন্ত্ৰক বৃত্ত,director sphere
এনুলোমা প্ৰডাক্ট,direct product
"প্ৰত্যক্ষ প্ৰমাণ, প্ৰত্যক্ষ প্ৰমাণ",direct proof
ক্ৰমিক অনুপাত,direct proportion
ভাগ্য,directrix
anuloma যোগফল,direct sum
disjointed set,disconncted sets
"discontinuity, বিচ্ছিন্নতা, বিচ্ছিন্নতা",discontinuity
ডেৰাইভেটিভৰ বিচ্ছিন্নতা,discontinuity of derivative
প্ৰথম ধৰণৰ বিচ্ছিন্নতা,discontinuity of the first kind
দ্বিতীয় প্ৰকাৰৰ বিচ্ছিন্নতা,discontinuity of the second kind
বিচ্ছিন্ন বিতৰণ,discontinuous distribution
বিচ্ছিন্ন কাৰ্য্য,discontinuous function
বিচ্ছিন্ন ভ্যাৰিয়েন্স,discontinuous variate
কণা,discrete
বিচ্ছিন্ন বিতৰণ,discrete distribution
বিচ্ছিন্ন সম্ভাৱনা বিতৰণ,discrete probability distribution
বিচ্ছিন্ন যাদৃচ্ছিক চলক,discrete random variable
বিচ্ছিন্ন নমুনা স্থান,discrete sample space
বিচ্ছিন্ন সমষ্টি,discrete set
বিচ্ছিন্ন জনসংখ্যা,discrete space
বিচ্ছিন্ন অৱস্থা,discrete topology
বিচ্ছিন্ন ভ্যাৰিয়েন্স,discrete variate
বিতৰণ কৰ,discriminant
বৈষম্যমূলক বিশ্লেষণ,discriminatory analysis (=discriminant analysis)
disjointed,disjoint
disjointed ইভেন্ট,disjoint events
disjointed set,disjoint sets
disjoint সন্নিৱিষ্ট কৰা,disjoint union
"disjunction, যুক্তিসংগত যোগফল",disjunction
"বিক্ষিপ্ততা, বিক্ষিপ্ততা",dispersion
বিক্ষিপ্ততা লেখচিত্ৰ,dispersion chart
বিক্ষিপ্ততা সূচকাংক,dispersion constant
বিক্ষিপ্ততা ডায়েগ্ৰাম,dispersion diagram
বিক্ষিপ্ততা মেট্ৰিক্স,dispersion matrix (=covariance matrix)
স্থানচ্যুতি,displacement
প্ৰদৰ্শন,display
কনছ&#39;ল,display unit (=consol)
"অসমান, অসমান",dissimilar
ক্ষয়কাৰী বল,dissipative forces
দূৰত্বৰ ফলন,distance function
দূৰত্ব মডুলাছ,distance modulus
অবিতৰণমূলক,distribution-free method
"বিতৰণ নিয়ম, বিতৰণ নিয়ম",distributive law
"to dissipate, বিসৰ্জন কৰা",diverge
"বিচ্ছিন্নতা, বিচ্ছিন্নতা, বিচ্ছিন্নতা",divergence
বিচ্ছিন্নতা উপপাদ্য,divergence theorem
ডাইভাৰ্জেন্ট,divergent
বিচ্ছিন্ন পৰিসৰ,divergent series
বিভক্ত পাৰ্থক্য,divided difference
"বিভাজনযোগ্যতা, বিভাজনযোগ্যতা",divisibility
"বিভাজ্য, বিভাজ্য",divisible
"বিভাজন, বিভাজন, বিভাজন",division
বিভাজন এলগৰিদম,division algorithm
স্প্লিট ৰিং,division ring
চতুৰ্ভুজ,dodecagon
decagon,dodecahedron
"ডমেইন, ডমেইন, প্ৰদেশ, ভূখণ্ড",domain
কাৰ্য্যৰ ডমেইন,domain of a function
সংজ্ঞা-প্ৰদেশ,domain of definition
অস্তিত্বৰ অৱস্থা,domain of existence
অভাৰৰাইডিং ডিভাইচ,dominant strategy
ডপলাৰ ইফেক্ট,doppler effect
"পইণ্ট প্ৰডাক্ট, স্কেলাৰ প্ৰডাক্ট",dot product
বিন্দুযুক্ত বক্ৰ,dotted curve
ডুৱেল ডিফাৰেন্সিয়েল,double differentiation
ডাবল ঘাতীয় বিতৰণ,double exponential distribution
ডাবল কইল,double helix
বাইনাৰী অখণ্ড,double integral
বাইনাৰী সংহতি,double integration
ডাবল লিমিট,double limit
ডাবল নমুনা সংগ্ৰহৰ ইভেন্ট,double sampling plan
ডাবল ক্ৰম,double sequence
ডাবল ছিৰিজ,double series
ডাবল-সংলগ্ন সংকেত,double suffix notation
ডাবল কম্পাইলেচন,double summation
তললৈ ত্বৰণ,downward acceleration
তললৈ স্থানান্তৰিত হোৱা,downward displacement
তললৈ গতি,downward motion
তললৈ যোৱা বেগ,downward velocity
ট্ৰেকচন,drag
ট্ৰেকচন বল,drag force
"দ্বৈত দ্বৈততা,",dual
ডুৱেল বেচ,dual basis
দ্বৈত আভ্যন্তৰীণ উৎপাদন,dual inner product
ডুৱেল ৰৈখিক প্ৰগ্ৰেমিং সমস্যা,dual linear programming problem
"ডাবল অপাৰেচন, ডুৱেল অপাৰেচন",dual operation
দ্বৈত সমস্যা,dual problem
ডুৱেল একক এলগৰিদম,dual simplex algorithm
দ্বৈত একক পদ্ধতি,dual simplex technique
দ্বৈত স্থান,dual space
ডুৱেল ভেৰিয়েবল,dual variable
দ্বৈত ভেক্টৰ স্থান,dual vector space
নিৰৱ সূচকাংক,dummy index
নিৰৱ ফুটাৰ,dummy subscript
নীৰৱ চুক্তি,dummy suffix
নিৰৱ চলক,dummy variable
ডুপ্লিকেচন,duplicator process
গতিশীল,dynamical
গতিশীল ব্যৱস্থা,dynamical system
গতিশীল চাহিদা কাৰ্য্য,dynamic demand function
গতিশীল আৰ্হি,dynamic model
ডাইনামিক প্ৰগ্ৰেমিং,dynamic programming
ডাইনামিক প্ৰগ্ৰেমিং পদ্ধতি,dynamic programming approach
ডাইনামিক প্ৰগ্ৰেমিং কৌশল,dynamic programming technique
"গতিশীলতা, গতিশীলতা",dynamics
কণা গতিবিদ্যা,dynamics of a particle
কঠিন শৰীৰৰ গতিশীলতা,dynamics of rigid bodies
"পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী সংস্পর্শ (ver.)",earth
ভূমিকম্পৰ তীব্ৰতা,earthquake intensity
কেন্দ্ৰীয়তা,eccentricity
ধাৰণা,eclipse
অৰ্থনৈতিক পূৰ্বাভাস,econometric forecast
অৰ্থনীতিবিদ,econometrician
অৰ্থনীতি,econometrics
অৰ্থনীতি,economics
"কোৰ, প্ৰান্ত, ছিদ্ৰ",edge
সমষ্টিগত কোৰৰ সন্মুখীন হোৱা,edge of a convex set
দক্ষতা সূচকাংক,efficiency factor
বৈশিষ্ট্যপূৰ্ণ উপাদান,eigen element
বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য,eigen function
"eigen মান, বৈশিষ্ট্যপূৰ্ণ মান",eigen value
বৈশিষ্ট্যপূৰ্ণ মূল্য সমীকৰণ,eigen value equation
"eigen ভেক্টৰ, বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ",eigen vector
ইলাষ্টিক,elastic
ইলাষ্টিক ঢালাই,elastic constant
ইলাষ্টিক ভাৰসাম্য,elastic equilibrium
ইলাষ্টিকতা,elasticity
ইলাষ্টিকতা পৃষ্ঠা,elasticity surface
"ইলেক্ট্ৰনিক কম্পিউটাৰ, ইলেক্ট্ৰনিক কম্পিউটাৰ",electronic computer
"উপাদান, উপাদান, উপাদান",element
প্ৰাৰম্ভিক স্তম্ভ কাৰ্য্য,elementary column operation
প্ৰাৰম্ভিক পৰিঘটনা,elementary event
প্ৰাৰম্ভিক কাৰ্য্য,elementary function
প্ৰাৰম্ভিক কাৰ্য্য,elementary operation
প্ৰাথমিক ফলাফল,elementary outcome
প্ৰাৰম্ভিক সম্ভাৱনা নিয়ম,elementary probability law
ষ্টাৰ্ট লাইন অপাৰেচন,elementary row operation
"to annihilate, নিঃশেষ কৰা,",eliminate
ৰিজ&#39;লিউচন প্ৰক্ৰিয়া,elemination procedure
"উপবৃত্তাকাৰ, উপবৃত্তাকাৰ",ellipse
উপবৃত্তাকাৰ,ellipsoid
উপবৃত্তাকাৰ,ellipsoidal
উপবৃত্তাকাৰ পৃষ্ঠ,ellipsoidal surface
উপবৃত্তাকাৰ শৰীৰ,elliptical body
এম্বেডিং,embedding
নিৰ্গমন,emission
অভিজ্ঞতাভিত্তিক বিশ্বাস,empirical data
অভিজ্ঞতাভিত্তিক সূত্ৰ,empirical formula
অভিজ্ঞতাভিত্তিক সম্ভাৱনা,empirical probability
অভিজ্ঞতাভিত্তিক সম্পৰ্ক,empirical relation
খালী ছেট,empty set
বাধ্যতা,enclosed
"এনকোডিং, ক&#39;ডিং",encoding
আন্তঃকাৰ্য্যক্ষমতা,endomorphism
শেষ বিন্দু,end point
শ্ৰেণীৰ ব্যৱধানৰ শেষ বিন্দু,end point of class interval
শক্তি,energy
শক্তি-প্ৰেৰণামূলক কাৰক,energy momentum component
প্ৰৱেশ চলক,entering variable
গণনাযোগ্য ছেট,enumerable set
"গণনা, গণনা",enumeration
"সমান, সমান, সম, সমান",equal
"সমতা, সমতা",equality
সম্ভাৱনা,equally likely
আনকি সম্ভাৱনা নিৰ্বাচন পদ্ধতিও,equal probability selection method (=epsem)
সমান কৰা,equate
"সমীকৰণ, সমীকৰণ",equation
দ্বিঘাত সমীকৰণ,equation of first degree
দ্বিঘাত সমীকৰণ,equation of second degree
দ্বিঘাত সমীকৰণ,equation of third degree
"বিষুৱৰেখা, বিষুৱৰেখা, মধ্যৰেখা",equator
অবিচলিত,equicontinuous
সমপক্ষীয়,equilateral
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য",equilibrium
বল ভাৰসাম্য,equilibrium of forces
ভাৰসাম্য বিন্দু,equilibrium point
সমতুল্যতা,equivalence
সমতুল্যতা শ্ৰেণী,equivalence class
সমতুল্যতা সম্পৰ্ক,equivalence relation
"সমতুল্য, সমতুল্য (v.), সমতুল্য (ed.)",equivalent
সমতুল্য মেট্ৰিক্স,equivalent matrix
সমতুল্য গোট,equivalent set
প্ৰৱণতা,ergodicity
"ভুল, ভুল, ভুল, ভুল",error
ভুল বিশ্লেষণ,error analysis
ভুল ক&#39;ড,error code
ভুল সহগ,error coefficient
বৰ্গ গড় ভুল,error of mean square
প্ৰথম ধৰণৰ ভুল,error of the first kind
দ্বিতীয় ধৰণৰ ভুল,error of the second kind
পলায়নৰ সম্ভাৱনা,escape probability
পলায়নৰ বেগ,escape velocity
ই শ্বমিট সংগঠন প্ৰক্ৰিয়া,E. Schmidt's orthogonalization process
বহিৰ্মুখী,escribed circle
"অপৰিহাৰ্য, অপৰিহাৰ্য",essential
কাৰ্যতঃ অনন্য,essentially unique
"মূল্যায়ন কৰা, মূল্যায়ন কৰা (ver.), মূল্যায়ন কৰা (ed.)",estimate
অনুমান পদ্ধতি,estimation method
ইউক্লিডীয় স্থানাংক,Euclidean coordinate
ইউক্লিডিয়ান ডমেইন,Euclidean domain
ইউক্লিডিয়ান জ্যামিতি,Euclidean geometry
ইউক্লিডীয় n-স্থান,Euclidean n-space
ইউক্লিডীয় সমতল,Euclidean plane
অইলাৰৰ উপপাদ্য,Euler's theorem
"মূল্যায়ন কৰা, মূল্যায়ন কৰা",evaluate
যুগ্ম,even
আনকি বক্ৰতাও,even curve
আনকি কাৰ্য্যও,even function
আনকি অবাধ্যও,even multiple
যুগ্ম সংখ্যা,even number
অদ্ভুত প্ৰতিসমতা,even odd symmetry
আনকি ক্ৰমবিন্যাসও,even permutation
"ইভেন্ট, এপিচ&#39;ড",event
সমৰূপতা,even term
"হুবহু, হুবহু, হুবহু",exact
সঠিক কাই-স্কেয়াৰ পৰীক্ষা,exact chi-square test
সঠিক পাৰ্থক্য,exact differential
সঠিক সমীকৰণ,exact equation
উদাহৰণ,example
বিনিময়,exchange
নিৰ্দিষ্ট পৰিঘটনা,exhaustive event
অস্তিত্বৰ স্বতন্ত্ৰতা,existence axiom
জীয়াই থকাৰ সম্ভাৱনা,existence probability(= a priori probability)
অস্তিত্ব উপপাদ্য,existence theorem
বাহ্যিক চলক,exogenous variable
"spread, বিয়পি পৰা",expansion
প্ৰত্যাশাৰ কাৰ্য্য,expectation function
আশা কৰা কম্পাঙ্ক,expected frequency
আশা কৰা মূল্য,expected value
পৰীক্ষণ,experiment
"পৰীক্ষামূলক ভুল, পৰীক্ষামূলক ভুল",experimental error
"ব্যাখ্যা, ব্যাখ্যা",explanation
স্পষ্ট সমীকৰণ,explicit equation
স্পষ্টভাৱে,explicit form
ক্লিয়াৰ ফাংচন,explicit function
স্পষ্ট সমাধান,explicit solution
ঘাতক,exponent
ঘাতীয় বক্ৰ,exponential curve
ঘাতীয় সম্ভাৱনা ফলন,exponential density function
ঘাতীয় বিতৰণ,exponential distribution
ঘাতীয় সমীকৰণ,exponential equation
ঘাতীয় ফলন,exponential function
"ঘাতীয় বৃদ্ধি, ঘাতীয় বৃদ্ধি",exponential growth
ঘাতীয় নিয়ম,exponential law
ঘাতীয় মানচিত্ৰ,exponential map
"ঘাতীয় শৃংখলা, ঘাতীয় শৃংখলা",exponential series
"অভিব্যক্তি, অভিব্যক্তি, মুখৰ ভাব, অভিব্যক্তি",expression
বৰ্ধিত ব্যৱধান,extended interval
বৰ্ধিত বাস্তৱ ৰেখা,extended real line
সম্প্ৰসাৰিত বাস্তৱ সংখ্যা ব্যৱস্থা,extended real number system
মেপিং সম্প্ৰসাৰণ,extension of a mapping
বাহ্যিক কোণ,exterior angle
বাহিৰৰ অঞ্চল,exterior area
বাহ্যিক বিন্দু,exterior point
বাহ্যিক,external
প্ৰেডিকেট মানৰ এক্সট্ৰাপ&#39;লেচন,extrapolation of trend value
এক্সট্ৰাপলেচন কৌশল,extrapolation technique
শীৰ্ষ মান,extremal value
"extreme, end, extreme, শিখৰত উপনীত হোৱা",extreme
উচ্চ বিন্দু,extreme point
বিপৰীত গোটৰ চৰম বিন্দু,extreme point of convex set
ফাংচনৰ চৰম মান,extremum of a function
চৰম ধৰ্ম,extremum property
"মুখ, কাষ, সন্মুখ",face
মুখমূল্য,face value
"উপাদান, কাৰক, কাৰক, দফা,",factor
কাৰক বিশ্লেষণ,factor analysis
খণ্ডিত,factored
ফেক্টৰিয়েল,factorial
একাধিক কাৰক ডিজাইন,factorial design
ফ্যাক্টৰাইজেচন,factorization
to factor,factorise
ন্যায় খেল,fair game
"ভাৰ্চুৱেল, মিছা, ক&#39;ড",FALSE
"পৰিয়াল, পৰিয়াল, বংশ, পৰিয়াল",family
বৃত্ত মুঠ,family of circles
বক্ৰ মুঠ,family curves
কাৰ্য্যসমূহৰ পৰিয়াল,family of functions
লাইন মুঠ,family of lines
প্ৰতিৰূপ,facsimile
F-বিতৰণ,F-distribution
সামঞ্জস্যপূৰ্ণ ভিত্তি সমাধান,feasible basic solution
সামঞ্জস্যপূৰ্ণ সমাধান,feasible solution
"ৰিচাৰ্জ, পুনৰ বিনিয়োগ",feed back
ফাৰ্মাৰ নিয়ম,Fermat principle
ফাৰ্মাৰ উপপাদ্য,Fermat's theorem
ফাৰ্মি-ডাইৰাক-পৰিসংখ্যা,Fermi-Dirac statistics
ফিবোনাচি সংখ্যা,Fibonacci number
ফিবোনাচি ৰেঞ্জ,Fibonacci series
"ক্ষেত্ৰ, পথাৰ, পথাৰ, পথাৰ",field
চূড়ান্ত বেগ,final velocity
"সসীম, সসীম",finite
সসীম ভিত্তি,finite basis
সসীম দশমিক,finite decimal
সসীম পাৰ্থক্য,finite difference
সসীম পাৰ্থক্য পদ্ধতি,finite difference method
সসীম মাত্ৰিক,finite dimensional
সসীম মাত্ৰিক ভেক্টৰ,finite dimensional vector space
সসীম খেল,finite game
সসীম জ্যামিতি,finite geometry
সসীম অখণ্ড,finite intersection
সসীমতা,finite many
সসীম মাৰ্কভ শৃংখল,finite Markov chain
সসীমতা প্ৰমাণ,finiteness proof
সসীম সংখ্যা,finite number
সসীম জনসংখ্যা,finite population
সসীম সম্ভাৱনা,finite probability
শেষ গ্ৰেড,finite series
সসীম গোট,finite set
সসীম বেগ,finite velocity
সসীম আয়তন,finite volume
"মিক্স, সামঞ্জস্য",fitting
বক্ৰ সমন্বয়,fitting of curve
সৰলৰেখাৰ সমন্বয়,fitting of straight line
স্থিৰ বিন্দু উপপাদ্য,fixed point theorem
স্থিৰ নমুনা,fixed sample
উৰণৰ বেগ,flight velocity
ভাসমান বিন্দু গণনা,floating point arithmetic
"ফ্লটিং পইণ্ট চিষ্টেম, ফ্লটিং পইণ্ট চিষ্টেম",floating point system
ফ্ল&#39; চাৰ্ট,flow chart
প্ৰবাহৰ বেগ,flow velocity
তৰল গতিবিদ্যা,fluid dynamics
"ফ&#39;কেল, কনফ&#39;কেল, ফ&#39;কেল",focal
ফোকাচ কৰ্ড,focal chord
ফোকাচ দূৰত্ব,focal distance
ফোকাচ দৈৰ্ঘ্য,focal length
"নাভি, ফোকাচ, উৎপত্তি",focus
"ভৰি, ভৰি, ভৰি",foot
অৰ্থগনেল,foot of perpendicular
মহাকৰ্ষণ বল,force of gravity
পুৰ্বানুমান,forecasting
সূত্ৰ,formula
থ্ৰেডিং,formulate
"ফৰ্মেটিং, ফৰ্মেটিং, প্ৰণয়ন",formulation
আগলৈ,forward difference
আগলৈ সন্নিৱিষ্ট কৰা,forward interpolation
গণিতৰ ভেটি,foundation of mathematics
fourier বিশ্লেষণ,Fourier's analysis
fourier শৃংখলা,Fourier's series
ফুৰিয়েৰ ৰূপান্তৰ,Fourier's transform
অন্য,fraction
ভগ্নাংশ স্থানাংক,fractional coordinate
ভগ্নাংশ সংখ্যা,fractional number
ভগ্নাংশ প্ৰগ্ৰেমিং,fractional programming
মুক্ত পথ,free path
মুক্ত ভেক্টৰ মুক্ত ভেক্টৰ,free vector
"কম্পাঙ্ক, কম্পাঙ্ক",frequency
কম্পাঙ্ক স্তম্ভ,frequency column
"কম্পাঙ্ক বক্ৰ, কম্পাঙ্ক বক্ৰ",frequency curve
কম্পাঙ্ক বিতৰণ,frequency distribution
কম্পাঙ্ক হিষ্টোগ্ৰাম,frequency histogram
ইনচিডেন্স ফ্ৰিকুৱেন্সি,frequency of occurrence
কম্পাঙ্ক-বহুভুজ,frequency polygon
কম্পাঙ্ক টেবুল,frequency table
frustum,frustum
পিৰামিড ফ্ৰষ্টাম,frustum of a pyramid
খোলা frustum,frustum of a sphere
সম্পূৰ্ণ বিস্তাৰ,full expansion
"কাৰ্য্যসমূহ, কাৰ্য্যসমূহ, বৈশিষ্ট্যসমূহ (গোটসমূহ)",function
কাৰ্য্য বিশ্লেষণ,functional analysis
"মূল, মূল",fundamental
মূল উপপাদ্য,fundamental theorem
বীজগণিতৰ মৌলিক উপপাদ্য,fundamental theorem of algebra
"আকাশগঙ্গা, আকাশ-গংগা",galaxy
Galois অঞ্চল,Galois field
গেল&#39;ইছ গ্ৰুপ,Galois group
জুৱাৰীৰ বিত্তীয় অৱস্থা,gambler's ruin
খেল আৰু কৌশল,game and move
খেলৰ সুযোগ,game of chance
পাশা খেলা,game of dice
গেম তত্ত্ব,games theory
নিখুঁত স্মৃতিৰ খেল,games with perfect recall
গেম মূল্য,game value
গামা ফাংচন,gamma function
গাউছ-আৰ্গন সমতল,Gauss-Argand plane
গাউছ-বক্ৰ,Gaussian curve
গাউছিয়ান সমাধান,Gaussian elimination
গাউছ-প্লেন,Gaussian plane
gauss-জোৰ সমন্বয়,Gauss-Jordan reduction
বহল অৱস্থান,general case
সাধাৰণ অভিসৰণ উপপাদ্য,general convergence theorem
সাধাৰণ সমীকৰণ,general equation
ব্যাপক কাৰক,general factor
"সাধাৰণ ৰূপ, বহল",general form
সাধাৰণ সূত্ৰ,general formula
বহল খেল,general game
সাধাৰণ অনুমান,general inference
ব্যাপক অখণ্ড,general integral
সাধাৰণীকৰণ,generalization
সাধাৰণীকৃত সংগত নিয়ম,generalised associative law
সাধাৰণীকৃত ধাৰাবাহিকতা অনুমান,generalised continuum hypothesis
সাধাৰণীকৃত অৱনমিত ফলন,generalised convex function
সাধাৰণীকৃত স্থানাংক,generalised coordinates
সাধাৰণীকৃত আইগেন মূল্যৰ সমস্যা,generalised eigen value problem
সাধাৰণ অভিসৰণ উপপাদ্য,general convergence theorem
সাধাৰণ সমীকৰণ,general equation
ব্যাপক কাৰক,general factor
"সাধাৰণ, বহল",general form
সাধাৰণ সূত্ৰ,general formula
বহল খেল,general game
সাধাৰণ অনুমান,general inference
ব্যাপক অখণ্ড,general integral
সাধাৰণীকৰণ,generalization
সাধাৰণীকৃত সংগত নিয়ম,generalised associative law
সাধাৰণীকৃত ধাৰাবাহিকতা অনুমান,generalised continuum hypothesis
সাধাৰণীকৃত অৱনমিত ফলন,generalised convex function
সাধাৰণীকৃত স্থানাংক,generalised coordinates
সাধাৰণীকৃত আইগেন মূল্যৰ সমস্যা,generalised eigen value problem
"বংশৰ নাম, শ্ৰেণীৰ নাম, জাতিৰ নাম",generic name
পৃষ্ঠা নম্বৰ,genus of surface
"বিকল্প, জিঅ&#39;ডেচিক",geodesic
জ্যামিতিক,geometrical
জ্যামিতিক ডিজাইন,geometrical construction
জ্যামিতিক গড়,geometrical mean
জ্যামিতিক বহুগুণতা,geometrical multiplicity
জ্যামিতিক সম্ভাৱনা,geometrical probability
জ্যামিতিক অগ্ৰগতি,geometrical progression
জ্যামিতিক শৃংখলা,geometrical series
জ্যামিতিক চিত্ৰ,geometrical shape
জ্যামিতিক গাণিতিক শৃংখলা,geometrico arithmetic series
"জ্যামিতি, জ্যামিতি",geometry
সাৰ্বজনীন সৰ্বোচ্চ,global maximum
সাৰ্বজনীন নূন্যতম সম্পত্তি,global property
সাৰ্বজনীন নূন্যতম,global minimum
সাৰ্বজনীন অনুকূল,global optimum
সাৰ্বজনীন সম্পত্তি,global property
ইউনিভাৰ্চেল এক্সেছ পইণ্ট,global saddle point
মসৃণতা,goodness of fit
ৰেংক সম্পৰ্ক,grade correlation
গোপনীয় তথ্য,graded data
"ঢাল, গ্ৰেডিয়েন্ট",gradient
ঢালৰ ঘনত্ব,gradient density
ৰেখাৰ ঢাল,gradient of line
বেগৰ গ্ৰেডিয়েন্ট,gradient of velocity
ঢাল ভেক্টৰ,gradient vector
ঢালৰ বেগ,gradient velocity
"গ্ৰেডিং, গ্ৰেডিং, গ্ৰেডিং, লেভেল বেলেন্সিং",grading
গ্ৰেডিং বিশ্লেষণ,grading analysis
গ্ৰাম,gram
গ্ৰাম হৰ,Gram determinant
গ্ৰাম-শ্বমিটৰ সংগঠন প্ৰক্ৰিয়া,Gram - Schmidt orthogonalization process
গ্ৰেট মেইন,grand mean
সৰ্বযোগ,grand total
"গ্ৰাফ, গ্ৰাফ, গ্ৰাফ",graph
গ্ৰাফিক,graphic
গ্রাফিক্স,graphical
চিত্ৰাঙ্কিত গণনা,graphical computation
"গ্রাফিক ডিজাইন, গ্রাফিক ডিজাইন",graphical construction
চিত্ৰাঙ্কিত সংহতি,graphical integration
চিত্ৰাঙ্কিত সন্নিৱিষ্ট,graphical interpolation
গ্ৰাফিক পদ্ধতি,graphical method
"চিত্ৰাংকিত উপস্থাপন, চিত্ৰাংকিত উপস্থাপন",graphical representation
"গ্রাফিক ৰেচিপি, গ্রাফিক",graphic expression
"গ্ৰাফ পেপাৰ, বৰ্গ কাগজ, গ্ৰাফ পেপাৰ",graph paper
"মাধ্যাকৰ্ষণ, মাধ্যাকৰ্ষণ",gravitation
মহাকৰ্ষণীয় ত্বৰণ,gravitational accelaration
"মাধ্যাকৰ্ষণ, মহাকৰ্ষণীয় আকৰ্ষণ",gravitational attraction
মহাকৰ্ষণীয় ধ্ৰুৱক,gravitational constant
মহাকৰ্ষণীয় বক্ৰতা,gravitational curvature
মহাকৰ্ষণ বল,gravitational force
মহাকৰ্ষণীয় টান,gravitational pull
মাধ্যাকৰ্ষণ ক্ষমতা,gravity
সপ্তৰ্ষি,great bear
ডাঙৰ বৃত্ত,great circle
ডাঙৰ বৃত্ত সমতল,great - circle plane
বহল বৃত্ত,great circle route
সৰ্বোচ্চ কাৰক,greatest common measure
শীৰ্ষ উপাদান,greatest element
সৰ্বোচ্চ নিম্ন সীমা,greatest lower bound
ভৰ সংখ্যা,great number
বহুভুজ,great triangle
গ্ৰেগৰিয়ান কেলেণ্ডাৰ,Gregorian calendar
গ্ৰেগৰিয়ান সংশোধন,Gregorian correction
গ্ৰেগৰিয়ান সূত্ৰ,Gregory formula
গ্ৰেগৰী-নিউটনৰ সূত্ৰ,Gregory - Newton formula
গ্ৰেগৰিয়ান শ্ৰেণী,Gregory series
"গ্ৰাছ, মুঠ (v.) গ্ৰাছ (n.)",gross
স্থূল সম্পৰ্ক,gross correlation
স্থূল ভুল,gross error
মুঠ আয়,gross income
"শ্ৰেণী, গোট, সংঘ",group
গোট গ্ৰহণযোগ্যতা,group automorphism
গোটৰ স্বতন্ত্ৰতা,group axiom
গোট নিয়ন্ত্ৰণ,group control
গোট কৰা শ্ৰেণী,grouped series
প্ৰতিসমতাৰ গোট,group of symmetries
ৰূপান্তৰ গোট,group of transformation
conglomerate,groupoid
গোট তত্ত্বৰ ধাৰণা,group theoretical assumption
গোট তত্ত্ব,group theory
বৃদ্ধি,growth
বৃদ্ধিৰ সূত্ৰ,growth formula
বৃদ্ধিৰ হাৰ,growth rate
g-নমুনা,g-statistic
আনুমানিক গড়,guessed average
হাফ এডাৰ,half adder
অৰ্ধ-বন্ধ ব্যৱধান,half open interval
আধা জনসংখ্যা,half space
হেমিল্টন কেলি উপপাদ্য,Hamilton Cayley Theorem
hamiltoni অপাৰেটৰ,Hamiltonian operator
hamilton&#39;s চতুৰ্ভুজ,Hamilton's quaternion algebra
"হাৰমনিক, হাৰমনিক, হাৰমনিক, হাৰমনিক",harmonic
হাৰমনিক কভাৰ,harmonic envelope
হাৰমনিক গড়,harmonic mean
হাৰমনিক প্ৰগ্ৰেছন,harmonic progression
"পাৰস্পৰিক বিশ্লেষণ, গুণগত মান",harmonics
হাৰমনিক ৰেঞ্জ,harmonic series
"উচ্চতা, উচ্চতা, উচ্চতা",height
"গোলাৰ্ধ, গোলাৰ্ধ",hemisphere
গোলাৰ্ধীয়,hemispherical
গোলাৰ্ধীয় প্ৰক্ষেপণ,hemispherical projection
হেপ্টাগন,heptagon
hermit কনজুগেট অপাৰেটৰ,Hermitian conjugate operator
হাৰ্মেটিক যুদ্ধ,Hermitian form
হাৰ্মেটিক মেট্ৰিক্স,Hermitian matrix
হাৰ্মেটিক অপাৰেটৰ,Hermitian operator
hermit product,Hermitian product
হাৰ্মেটিক গ্ৰুপ,Hermitian semigroup
হাৰ্মিটেজ জনসংখ্যা,Hermitian space
হাৰ্মেটিক ৰূপান্তৰ,Hermitian transformation
hess ডায়াগ্ৰাম,Hess diagram
হেচিয়ান মেট্ৰিক্স,Hessian matrix
hessian of function,Hessian of function
বৈষম্য পৰীক্ষা,heterogeneity test
