English,Telugu
Control operator's terminal,కంట్రోల్ ఆపరేటర్ యొక్క టెర్మినల్
Control panel,నియంత్రణ ప్యానెల్
Control point,నియంత్రణ పాయింట్
Control printing,నియంత్రణ ముద్రణ
Control program,నియంత్రణ కార్యక్రమం
Control punch,కంట్రోల్ పంచ్
Control record,నియంత్రణ రికార్డు
Control register,నియంత్రణ రిజిస్టర్
Control routine,నియంత్రణ దినచర్య
Control section,నియంత్రణ విభాగం
Control sequence,నియంత్రణ క్రమం
Control specification,నియంత్రణ స్పెసిఫికేషన్
Control stack,కంట్రోల్ స్టాక్
Control standard,నియంత్రణ ప్రమాణం
Control statement,నియంత్రణ ప్రకటన
Control station,కంట్రోల్ స్టేషన్
Control storage,నియంత్రణ నిల్వ
Control storage save,నియంత్రణ నిల్వ సేవ్
Control switch,నియంత్రణ స్విచ్
Control system,నియంత్రణ వ్యవస్థ
Control tape,కంట్రోల్ టేప్
Control technique,నియంత్రణ సాంకేతికత
Control terminal,నియంత్రణ టెర్మినల్
Control total,మొత్తం నియంత్రణ
Control transfer statement,నియంత్రణ బదిలీ ప్రకటన
Control unit,నియంత్రణ యూనిట్
Control variable,నియంత్రణ వేరియబుల్
Control volume,నియంత్రణ వాల్యూమ్
Control word,నియంత్రణ పదం
Convention,కన్వెన్షన్
Convention equipment,కన్వెన్షన్ పరికరాలు
Convergence,కన్వర్జెన్స్
Conversation,సంభాషణ
Conversational,సంభాషణ
Conversational algebraic language,సంభాషణ బీజగణిత భాష
Conversational compiler,సంభాషణ కంపైలర్
Conversational computing,సంభాషణ కంప్యూటింగ్
Conversational language,సంభాషణ భాష
Conversational mode,సంభాషణ మోడ్
Conversational system,సంభాషణ వ్యవస్థ
Conversational terminal,సంభాషణ టెర్మినల్
Conversational time sharing,సంభాషణ సమయం భాగస్వామ్యం
Conversion,మార్పిడి
Conversion cost,మార్పిడి ఖర్చు
Conversion device,మార్పిడి పరికరం
Conversion mode,మార్పిడి మోడ్
Conversion routine,మార్పిడి దినచర్య
Convert,మార్చండి
Converter,కన్వర్టర్
Convex programming,కుంభాకార ప్రోగ్రామింగ్
Coordinate addressed memory,కోఆర్డినేట్ చిరునామా మెమరీ
Coordinate data,డేటాను సమన్వయం చేయండి
Coordinate geometry language,జ్యామితి భాష సమన్వయం
Coordinate graphics,గ్రాఫిక్స్ సమన్వయం
Coordinate network,సమన్వయ నెట్‌వర్క్
Coordinate time scale,సమన్వయ సమయ స్కేల్
Copy,కాపీ
Cordless plug,కార్డ్‌లెస్ ప్లగ్
Cordonnier system,కార్డోనియర్ వ్యవస్థ
Core,కోర్
Core dump,కోర్ డంప్
Core image,కోర్ చిత్రం
Core image library,కోర్ ఇమేజ్ లైబ్రరీ
Core memory,కోర్ మెమరీ
Core network,కోర్ నెట్‌వర్క్
Co-resident,సహ-నివాస
Core storage,కోర్ నిల్వ
Core system,కోర్ సిస్టమ్
Co-routine,సహ-రూటిన్
Correct and copy,సరైనది మరియు కాపీ
Correcting feature,ఫీచర్ సరిదిద్దడం
Correction,దిద్దుబాటు
Correction information,దిద్దుబాటు సమాచారం
Corrective maintenance,దిద్దుబాటు నిర్వహణ
Corrective maintenance time,దిద్దుబాటు నిర్వహణ సమయం
Cost analysis,వ్యయ విశ్లేషణ
Cost-center accounting,ఖర్చు-కేంద్రం అకౌంటింగ్
Count,కౌంట్
Counter,కౌంటర్
Counter inhibit,కౌంటర్ ఇన్హిబిట్
Count-key-data device,కౌంట్-కీ-డేటా పరికరం
Country code,దేశం కోడ్
Critical path method,క్లిష్టమైన మార్గం పద్ధతి
Cross bar switch,క్రాస్ బార్ స్విచ్
Cross bar system,క్రాస్ బార్ సిస్టమ్
Cross check,మరొక్కసారి పరిశీలించు
Cross compiler,క్రాస్ కంపైలర్
Cross domain communication,క్రాస్ డొమైన్ కమ్యూనికేషన్
Cross fire,క్రాస్ ఫైర్
Cross foot,క్రాస్ ఫుట్
Cross footing test,క్రాస్ ఫుటింగ్ పరీక్ష
Cross point array,క్రాస్ పాయింట్ అర్రే
Cross sectional testing,క్రాస్ సెక్షనల్ పరీక్ష
Cross section of an array,శ్రేణి యొక్క క్రాస్ సెక్షన్
Cross software,క్రాస్ సాఫ్ట్‌వేర్
Cross subarea link,క్రాస్ సబ్‌రియా లింక్
Cross talk,క్రాస్ టాక్
Cross tracking,క్రాస్ ట్రాకింగ్
Crowding,రద్దీ
Cryogenics,క్రయోజెనిక్స్
Cryogenic storage,క్రయోజెనిక్ నిల్వ
Cryogenic store,క్రయోజెనిక్ స్టోర్
Cryostat,క్రియోస్టాట్
Cryotron,క్రియోట్రాన్
Cryptographic,క్రిప్టోగ్రాఫిక్
Cryptographic algorithm,క్రిప్టోగ్రాఫిక్ అల్గోరిథం
Cryptography,క్రిప్టోగ్రఫీ
Cumulative index,సంచిత సూచిక
Currency symbol,కరెన్సీ చిహ్నం
Current beam position,ప్రస్తుత బీమ్ స్థానం
Current connect group,ప్రస్తుత కనెక్ట్ సమూహం
Current generation,ప్రస్తుత తరం
Current instruction  Register,ప్రస్తుత సూచన  రిజిస్టర్
Current line  Pointer,ప్రస్తుత లైన్  పాయింటర్
Current loop (=  Current antinode),ప్రస్తుత లూప్ (=  ప్రస్తుత యాంటినోడ్)
Current mode logic,ప్రస్తుత మోడ్ లాజిక్
Current record,ప్రస్తుత రికార్డు
Cursor,కర్సర్
Cursor control key,కర్సర్ కంట్రోల్ కీ
Curtate,కర్టేట్
Curve follower,కర్వ్ అనుచరుడు
Cushion,కుషన్
Customer access area,కస్టమర్ యాక్సెస్ ప్రాంతం
Customer information control system,కస్టమర్ ఇన్ఫర్మేషన్ కంట్రోల్ సిస్టమ్
Customer premises equipment,కస్టమర్ ప్రాంగణ పరికరాలు
Customer switching system,కస్టమర్ స్విచింగ్ సిస్టమ్
Cut form,కట్ ఫారం
Cut forms mode,ఫారమ్ మోడ్ కట్
Cut method,కట్ పద్ధతి
Cut off,కత్తిరించిన
Cybernation,సైబర్‌నేషన్
Cybernetics,సైబర్‌నెటిక్స్
Cycle,చక్రం
Cycle count,చక్రాల సంఖ్య
Cycle index,సైకిల్ సూచిక
Cycle memory,సైకిల్ మెమరీ
Cycle microprogramming,సైకిల్ మైక్రోప్రోగ్రామింగ్
Cycle reset,సైకిల్ రీసెట్
Cycle sharing,సైకిల్ షేరింగ్
Cycle steal,సైకిల్ స్టీల్
Cycle stealing,సైకిల్ దొంగిలించడం
Cycle time,సైకిల్ సమయం
Cyclic code,చక్రీయ కోడ్
Cyclic redundancy check,చక్రీయ పునరావృతం చెక్
Cyclic shift,చక్రీయ షిఫ్ట్
Cyclic storage,చక్రీయ నిల్వ
Cyclic transfer,చక్రీయ బదిలీ
Cylinder concept,సిలిండర్ కాన్సెప్ట్
Character,పాత్ర
Coded decimal,కోడెడ్ దశాంశం
Daisy chain,డైసీ గొలుసు
Daisy print wheel,డైసీ ప్రింట్ వీల్
Daisy wheel,డైసీ వీల్
Damping,డంపింగ్
Data,సమాచారం
Data above voice,వాయిస్ పైన ఉన్న డేటా
Data access arrangement,డేటా యాక్సెస్ అమరిక
Data acquisition,డేటా సేకరణ
Data acquisition computer,డేటా సముపార్జన కంప్యూటర్
Data adaption unit,డేటా అనుసరణ యూనిట్
Data administrator,డేటా నిర్వాహకుడు
Data aggregate,డేటా మొత్తం
Data area,డేటా ప్రాంతం
Data array,డేటా శ్రేణి
Data attribute,డేటా లక్షణం
Data bank,డేటా బ్యాంక్
Database,డేటాబేస్
Database administration,డేటాబేస్ పరిపాలన
Database management,డేటాబేస్ నిర్వహణ
Database management system,డేటాబేస్ నిర్వహణ వ్యవస్థ
Data block,డేటా బ్లాక్
Data break (=direct memory access),డేటా విరామం (= ప్రత్యక్ష మెమరీ యాక్సెస్)
Data buffer register,డేటా బఫర్ రిజిస్టర్
Data capture,డేటా క్యాప్చర్
Data card,డేటా కార్డ్
Data carrier,డేటా క్యారియర్
Data cell,డేటా సెల్
Data channel,డేటా ఛానెల్
Data channel multiplexer,డేటా ఛానల్ మల్టీప్లెక్సర్
Data circuit,డేటా సర్క్యూట్
Data circuit transparency,డేటా సర్క్యూట్ పారదర్శకత
Data code,డేటా కోడ్
Data collection,వివరాల సేకరణ
Data collection station,డేటా సేకరణ స్టేషన్
Data collection system,డేటా సేకరణ వ్యవస్థ
Data   Communication,సమాచారం  కమ్యూనికేషన్
Data  Communication  Channel,సమాచారం  కమ్యూనికేషన్  ఛానెల్
Data  Communication  Equipment,సమాచారం  కమ్యూనికేషన్  పరికరాలు
Data  Communication  Interface,సమాచారం  కమ్యూనికేషన్  ఇంటర్ఫేస్
Data  Communication  Network,సమాచారం  కమ్యూనికేషన్  నెట్‌వర్క్
Data  Communication  Service,సమాచారం  కమ్యూనికేషన్  సేవ
Data compaction,డేటా సంపీడనం
Data compression,డేటా కుదింపు
Data connection,డేటా కనెక్షన్
Data constant,డేటా స్థిరాంకం
Data  Contamination,సమాచారం  కాలుష్యం
Data control,డేటా నియంత్రణ
Data control block,డేటా కంట్రోల్ బ్లాక్
Data conversion,డేటా మార్పిడి
Data convertor,డేటా కన్వర్టర్
Data declaration,డేటా డిక్లరేషన్
Data declaration  Statement,డేటా డిక్లరేషన్  ప్రకటన
Data definition,డేటా నిర్వచనం
Data definition  Name,డేటా నిర్వచనం  పేరు
Data definition  Statement,డేటా నిర్వచనం  ప్రకటన
Data delay,డేటా ఆలస్యం
Data delimiter,డేటా డీలిమిటర్
Data density,డేటా సాంద్రత
Data description   Entry,డేటా వివరణ  ప్రవేశం
Data description   Language,డేటా వివరణ  భాష
Data design,డేటా డిజైన్
Data device,డేటా పరికరం
Data dictionary,డేటా నిఘంటువు
Data directed transmission,డేటా దర్శకత్వం వహించింది
Data display unit,డేటా డిస్ప్లే యూనిట్
Data distribution system,డేటా పంపిణీ వ్యవస్థ
Data division,డేటా విభాగం
Data element,డేటా మూలకం
Data element chain,డేటా ఎలిమెంట్ చైన్
Data encryption  Key,డేటా గుప్తీకరణ  కీ
Data encryption  Standard,డేటా గుప్తీకరణ  ప్రమాణం
Data entry,సమాచారం పొందుపరచు
Data entry device,డేటా ఎంట్రీ పరికరం
Data error,డేటా లోపం
Data evaluation,డేటా మూల్యాంకనం
Data examination,డేటా పరీక్ష
Data exchange,డేటా మార్పిడి
Data field,డేటా ఫీల్డ్
Data file,సమాచార దస్తా
Data flow,డేటా ప్రవాహం
Data flow chart,డేటా ఫ్లో చార్ట్
Data flow control,డేటా ప్రవాహ నియంత్రణ
Data flow diagram,డేటా ప్రవాహ రేఖాచిత్రం
Data format,డేటా ఫార్మాట్
Data format item,డేటా ఫార్మాట్ అంశం
Data generator,డేటా జనరేటర్
Datagram,డేటాగ్రామ్
Datagram service,డేటాగ్రామ్ సేవ
Data graphics,డేటా గ్రాఫిక్స్
Data graphoscope,డేటా గ్రాఫోస్కోప్
Data handling,డేటా నిర్వహణ
Data handling  Capacity,డేటా నిర్వహణ  సామర్థ్యం
Data hierarchy,డేటా సోపానక్రమం
Data host (= host),డేటా హోస్ట్ (= హోస్ట్)
Data independence,డేటా స్వాతంత్ర్యం
Data input,డేటా ఇన్పుట్
Data input station,డేటా ఇన్పుట్ స్టేషన్
Data integrity,డేటా సమగ్రత
Data interchange,డేటా ఇంటర్‌చేంజ్
Data in voice,వాయిస్‌లో డేటా
Data I/O  Instruction,డేటా I/O  సూచన
Data item,డేటా అంశం
Data level,డేటా స్థాయి
Data library,డేటా లైబ్రరీ
Data link control  Character,డేటా లింక్ నియంత్రణ  పాత్ర
Data link escape  Character,డేటా లింక్ ఎస్కేప్  పాత్ర
Data link layer,డేటా లింక్ లేయర్
Data list,డేటా జాబితా
Data logging,డేటా లాగింగ్
Data management,సమాచార నిర్వహణ
Data management  Program,సమాచార నిర్వహణ  ప్రోగ్రామ్
Data management  System,సమాచార నిర్వహణ  వ్యవస్థ
Data manipulating,డేటా మానిప్యులేటింగ్
Data manipulation  Language,డేటా మానిప్యులేషన్  భాష
Data masking,డేటా మాస్కింగ్
Datamatic computer,డేటామాటిక్ కంప్యూటర్
Datamation,డేటామేషన్
Data medium,డేటా మాధ్యమం
Data migration,డేటా వలస
Data mode,డేటా మోడ్
Data move  Instruction,డేటా కదలిక  సూచన
Data multiplexer,డేటా మల్టీప్లెక్సర్
Data name,డేటా పేరు
Data network,డేటా నెట్‌వర్క్
Data operation,డేటా ఆపరేషన్
Data organisation,డేటా సంస్థ
Data origination,డేటా మూలం
Data output,డేటా అవుట్పుట్
Data path,డేటా మార్గం
Data phase,డేటా దశ
Dataphone,డేటాఫోన్
Data plotter,డేటా ప్లాటర్
Data pointer,డేటా పాయింటర్
Data preparation,డేటా తయారీ
Data preparation  Device,డేటా తయారీ  పరికరం
Data processing,డేటా ప్రాసెసింగ్
Data processing  Centre,డేటా ప్రాసెసింగ్  కేంద్రం
Data processing  Cycle,డేటా ప్రాసెసింగ్  చక్రం
Data processing  Machine,డేటా ప్రాసెసింగ్  యంత్రం
Data processing  Node,డేటా ప్రాసెసింగ్  నోడ్
Data processing  Station,డేటా ప్రాసెసింగ్  స్టేషన్
Data processing  System,డేటా ప్రాసెసింగ్  వ్యవస్థ
Data processor,డేటా ప్రాసెసర్
Data protection,సమాచార రక్షణ
Data purification,డేటా శుద్దీకరణ
Data radio,డేటా రేడియో
Data receiver,డేటా రిసీవర్
Data record,డేటా రికార్డ్
Data reduction,డేటా తగ్గింపు
Data register,డేటా రిజిస్టర్
Data reliability,డేటా విశ్వసనీయత
Data  Representation,సమాచారం  ప్రాతినిథ్యం
Data reproduction,డేటా పునరుత్పత్తి
Data retrieval,డేటా తిరిగి పొందడం
Data review  Control,డేటా సమీక్ష  నియంత్రణ
Data security,డేటా భద్రత
Data separator,డేటా సెపరేటర్
Data set,డేటా సెట్
Data set clocking,డేటా సెట్ క్లాకింగ్
Data set definition  Table,డేటా సెట్ నిర్వచనం  పట్టిక
Data set label,డేటా సెట్ లేబుల్
Data set name,డేటా సెట్ పేరు
Data set  Organisation,డేటా సెట్  సంస్థ
Data set reference  Number,డేటా సెట్ రిఫరెన్స్  సంఖ్య
Data set security,డేటా సెట్ భద్రత
Data set utility  Program,డేటా సెట్ యుటిలిటీ  ప్రోగ్రామ్
Data signal,డేటా సిగ్నల్
Data signalling rate,డేటా సిగ్నలింగ్ రేటు
Data sink,డేటా సింక్
Data source,సమాచార మూలం
Data specification,డేటా స్పెసిఫికేషన్
Data station,డేటా స్టేషన్
Data storage,డేటా నిల్వ
Data storage  Structure,డేటా నిల్వ  నిర్మాణం
Data stream,డేటా స్ట్రీమ్
Data structure,డేటా నిర్మాణం
Data structure  Diagram,డేటా నిర్మాణం  రేఖాచిత్రం
Data switch,డేటా స్విచ్
Data switching  Centre,డేటా స్విచింగ్  కేంద్రం
Data switching  Exchange,డేటా స్విచింగ్  మార్పిడి
Data tablet,డేటా టాబ్లెట్
Data terminal,డేటా టెర్మినల్
Data terminal  Equipment,డేటా టెర్మినల్  పరికరాలు
Data time,డేటా సమయం
Data transcription,డేటా ట్రాన్స్క్రిప్షన్
Data transcription  Device,డేటా ట్రాన్స్క్రిప్షన్  పరికరం
Data transfer,సమాచార బదిలీ
Data transfer  Phase,సమాచార బదిలీ  దశ
Data transfer rate,డేటా బదిలీ రేటు
Data transfer  Register,సమాచార బదిలీ  రిజిస్టర్
Data transmission,డేటా ప్రసారం
Data transmission  Channel,డేటా ప్రసారం  ఛానెల్
Data transmission  Facility,డేటా ప్రసారం  సౌకర్యం
Data transmission  Interface,డేటా ప్రసారం  ఇంటర్ఫేస్
Data transmission  Line,డేటా ప్రసారం  లైన్
Data transmission  Service,డేటా ప్రసారం  సేవ
Data transmission  Trap,డేటా ప్రసారం  ఉచ్చు
Datatron,డేటాట్రాన్
Data type,సమాచార తరహా
Data under voice,వాయిస్ కింద డేటా
Data unit,డేటా యూనిట్
Data validation,సమాచారం ప్రామాణీకరణ
Data word,డేటా పదం
Dating routine,డేటింగ్ దినచర్య
Datum,డేటా
Datum line,డేటా లైన్
Decimal point,దశాంశ బిందువు
Deactivation,క్రియారహితం
Dead band,డెడ్ బ్యాండ్
Dead file,డెడ్ ఫైల్
Dead lock,డెడ్ లాక్
Dead time,డెడ్ టైమ్
Dead zone,డెడ్ జోన్
Dead zone unit,డెడ్ జోన్ యూనిట్
Deblock,డెబ్లాక్
Debug,డీబగ్
Debugger,డీబగ్గర్
Debugging aid,డీబగ్గింగ్ సహాయం
Debugging aid  Routine,డీబగ్గింగ్ సహాయం  దినచర్య
Debugging   Language,డీబగ్గింగ్  భాష
Debugging memory dump,డీబగ్గింగ్ మెమరీ డంప్
Debugging output,డీబగ్గింగ్ అవుట్పుట్
Debug macros,డీబగ్ మాక్రోస్
Debug statement,డీబగ్ స్టేట్మెంట్
Decade,దశాబ్దం
Decade counter,దశాబ్దం కౌంటర్
Decision table language,నిర్ణయం పట్టిక భాష
Deceleration time,క్షీణత సమయం
Decentralised  Information  System,వికేంద్రీకృత  సమాచారం  వ్యవస్థ
Decibel,డెసిబెల్
Decidability,నిర్ణయాత్మకత
Decimal arithmetic operation,దశాంశ అంకగణిత ఆపరేషన్
Decimal alignment,దశాంశ అమరిక
Decimal digit,దశాంశ అంకె
Decimal marker,దశాంశ మార్కర్
Decimal notation,దశాంశ సంజ్ఞామానం
Decimal numeral,దశాంశ సంఖ్య
Decimal  Numeration  System,దశాంశం  సంఖ్య  వ్యవస్థ
Decimal picture  Data,దశాంశ చిత్రం  సమాచారం
Decimal symbol,దశాంశ చిహ్నం
Decipher,డెసిఫర్
Decision,నిర్ణయం
Decision box,డెసిషన్ బాక్స్
Decision circuit,నిర్ణయం సర్క్యూట్
Decision content,నిర్ణయం కంటెంట్
Decision element,నిర్ణయం మూలకం
Decision  Instruction,నిర్ణయం  సూచన
Decision  Kmechanism,నిర్ణయం  Kmechanism
Decision language,నిర్ణయం భాష
Decision logic,నిర్ణయం తర్కం
Decision logic  Translator,నిర్ణయం తర్కం  అనువాదకుడు
Decision principle,నిర్ణయం సూత్రం
Decision rule,నిర్ణయం నియమం
Decision  Simulation,నిర్ణయం  అనుకరణ
Decision structure,నిర్ణయ నిర్మాణం
Decision table,నిర్ణయం పట్టిక
Decision theory,నిర్ణయం సిద్ధాంతం
Decision constant,నిర్ణయం స్థిరాంకం
Decoder,డీకోడర్
Decoding  Instruction,డీకోడింగ్  సూచన
Decollate,డికౌలేట్ చేయండి
Decollator,డికాల్
Deconcentration,డీకోనెంట్రేషన్
Decrement,తగ్గుదల
Decrypt,డీక్రిప్ట్
Decurl,DECURL
Dedicated channel,అంకితమైన ఛానెల్
Dedicated circuit,అంకితమైన సర్క్యూట్
Dedicated  Connection,అంకితం  కనెక్షన్
Dedicated deviced,అంకితమైనది
Dedicated line,అంకితమైన పంక్తి
Dedicated port,అంకితమైన పోర్ట్
Dedicated register,అంకితమైన రిజిస్టర్
Default,డిఫాల్ట్
Default group,డిఫాల్ట్ సమూహం
Default option,డిఫాల్ట్ ఎంపిక
Default parameter,డిఫాల్ట్ పరామితి
Default value,డిఫాల్ట్ విలువ
Deferred  Addressing,వాయిదా వేయబడింది  చిరునామా
Deferred entry,వాయిదాపడిన ప్రవేశం
Deferred exit,వాయిదాపడిన నిష్క్రమణ
Deferred  Maintenance,వాయిదా వేయబడింది  నిర్వహణ
Deferred Maintenance Time,వాయిదా వేయబడింది నిర్వహణ సమయం
Deferred  Processing,వాయిదా వేయబడింది  ప్రాసెసింగ్
Deferred restart,వాయిదాపడిన పున art ప్రారంభం
Defined item,నిర్వచించిన అంశం
Definite network,ఖచ్చితమైన నెట్‌వర్క్
Deflection plate,విక్షేపం ప్లేట్
Degauss,డీగస్
Degausser,డీగాస్సర్
Degeneracy,క్షీణత
Degradation factor,క్షీణత కారకం
Degree of multi-  Programming,బహుళ-డిగ్రీ యొక్క డిగ్రీ  ప్రోగ్రామింగ్
Delay,ఆలస్యం
Delay counter,ఆలస్యం కౌంటర్
Delay differential,ఆలస్యం అవకలన
Delay digit,ఆలస్యం అంకె
Delay distortion,ఆలస్యం వక్రీకరణ
Delay element,ఆలస్యం మూలకం
Delay equaliser,ఆలస్యం ఈక్వలైజర్
Delayline,ఆలస్యం
Delay line memory,లైన్ మెమరీ ఆలస్యం
Delay line register,ఆలస్యం లైన్ రిజిస్టర్
Delay line storage,ఆలస్యం లైన్ నిల్వ
Delay loop store,ఆలస్యం లూప్ స్టోర్
Delay  Programming,ఆలస్యం  ప్రోగ్రామింగ్
Delay time,సమయం ఆలస్యం
Deleave  (= Decollate),డీలేవ్  (= డికాల్)
Delete,తొలగించు
Delete character,అక్షరాన్ని తొలగించండి
Delete key,కీని తొలగించండి
Deletion record,తొలగింపు రికార్డు
Delimiter,డీలిమిటర్
Delimiter  Statement,డీలిమిటర్  ప్రకటన
Delivery time,డెలివరీ సమయం
Delta modulation,డెల్టా మాడ్యులేషన్
Delta noise,డెల్టా శబ్దం
Demand,డిమాండ్
Demand fetching,డిమాండ్ పొందడం
Demand paging,డిమాండ్ పేజింగ్
Demand  Processing,డిమాండ్  ప్రాసెసింగ్
Demand staging,డిమాండ్ స్టేజింగ్
Demarcation strip,సరిహద్దు స్ట్రిప్
Demodulation,డెమోడ్యులేషన్
Demodulator,డెమోడ్యులేటర్
Demographic  Application,జనాభా  అప్లికేషన్
Demount,డెమౌంట్
Demultiplexing,డెమల్టిప్లెక్సింగ్
Dense list,దట్టమైన జాబితా
Density,సాంద్రత
Dependency theory,డిపెండెన్సీ సిద్ధాంతం
Dependent  Segment,ఆధారపడి ఉంటుంది  విభాగం
Dependent unit,డిపెండెంట్ యూనిట్
Deque,DEQUE
Derning,డెర్నింగ్
Descender,అవరోహణ
Descending sort,అవరోహణ విధమైన
Description,వివరణ
Description list,వివరణ జాబితా
Descriptor,వివరణ
Design,రూపకల్పన
Designating device,పరికరాన్ని నియమించడం
Design modem,డిజైన్ మోడెమ్
Design  Optimization,రూపకల్పన  సర్వోత్తమీకరణం
Design secrecy,డిజైన్ గోప్యత
Design simulation,డిజైన్ అనుకరణ
Desired value,కావలసిన విలువ
Desk calculator,డెస్క్ కాలిక్యులేటర్
Desk checking,డెస్క్ తనిఖీ
Desk top computer,డెస్క్టాప్ కంప్యూటర్
Despatch,డెస్పాచ్
Destination,గమ్యం
Destination  Address,గమ్యం  చిరునామా
Destination code,గమ్యం కోడ్
Destination field,గమ్యం ఫీల్డ్
Destination file,గమ్యం ఫైల్
Destination station,గమ్యం స్టేషన్
Destrucaddition,విధ్వంసం
Destructive cursor,విధ్వంసక కర్సర్
Destructive read,విధ్వంసక చదవండి
Destructive storage,విధ్వంసక నిల్వ
Detab,Detab
Detail card,వివరాలు కార్డు
Detail file,వివరాల ఫైల్
Detap,డిటాప్
Detectable element,గుర్తించదగిన మూలకం
Deterministic  Automata,నిర్ణయాత్మక  ఆటోమాటా
Deterministic  Machine,నిర్ణయాత్మక  యంత్రం
Deterministic  Model,నిర్ణయాత్మక  మోడల్
Deterministic  Problem,నిర్ణయాత్మక  సమస్య
Deterministic  Process,నిర్ణయాత్మక  ప్రక్రియ
Deterministic  Program,నిర్ణయాత్మక  ప్రోగ్రామ్
Deterministic  Programming,నిర్ణయాత్మక  ప్రోగ్రామింగ్
Deterministic  Sequencing  Problem,నిర్ణయాత్మక  సీక్వెన్సింగ్  సమస్య
Deterministic  Situation,నిర్ణయాత్మక  పరిస్థితి
Development  System,అభివృద్ధి  వ్యవస్థ
Development time,అభివృద్ధి సమయం
Development tool,అభివృద్ధి సాధనం
Deviation from  Linearity,నుండి విచలనం  సరళత
Device,పరికరం
Device address,పరికర చిరునామా
Device backup,పరికర బ్యాకప్
Device control  Character,పరికర నియంత్రణ  పాత్ర
Device controller,పరికర నియంత్రిక
Device control unit,పరికర నియంత్రణ యూనిట్
Device coordinate,పరికర సమన్వయం
Device-dependent,పరికర-ఆధారిత
Device dependent  Program,పరికరం ఆధారపడి ఉంటుంది  ప్రోగ్రామ్
Device flag,పరికర జెండా
Device  Independence,పరికరం  స్వాతంత్ర్యం
Device   Independent,పరికరం  స్వతంత్ర
Device  Independence  Program,పరికరం  స్వాతంత్ర్యం  ప్రోగ్రామ్
Device line  (=Display line),పరికర రేఖ  (= ప్రదర్శన రేఖ)
Device media  Control language,పరికర మీడియా  నియంత్రణ భాష
Device name,పరికర పేరు
Device number,పరికర సంఖ్య
Device queue,పరికర క్యూ
Device status word,పరికర స్థితి పదం
Device type,పరికరం రకం
Diadic boolean  Operation,డయాడిక్ బూలియన్  ఆపరేషన్
Diagnosis,రోగ నిర్ధారణ
Diagnostic check,డయాగ్నొస్టిక్ చెక్
Diagnostic function  Test,విశ్లేషణ ఫంక్షన్  పరీక్ష
Diagnostic mechanism,విశ్లేషణ విధానం
Diagnostic  Message,విశ్లేషణ  సందేశం
Diagnostic  Program,విశ్లేషణ  ప్రోగ్రామ్
Diagnostic routine,విశ్లేషణ దినచర్య
Diagnostics,విశ్లేషణ
Diagnostic  Technique,విశ్లేషణ  టెక్నిక్
Diagnostic test,విశ్లేషణ పరీక్ష
Diagram,రేఖాచిత్రం
Dial,డయల్
Dialed line,డయల్ చేసిన లైన్
Dial exchange,డయల్ ఎక్స్ఛేంజ్
Dialing,డయలింగ్
Dial line,డయల్ లైన్
Dialog,డైలాగ్
Dial pulse,డయల్ పల్స్
Dial repeating  Trunk,డయల్ చేయండి పునరావృతం  ట్రంక్
Dial tone,డయల్ టోన్
Dial tone delay,టోన్ ఆలస్యం డయల్ చేయండి
Dial transfer,డయల్ బదిలీ
Dial-up,డయల్ చేయు
Dial-up terminal,డయల్-అప్ టెర్మినల్
Dibit,డిబిట్
Dichotomising search,డైకోటోమైజింగ్ శోధన
Dichotomy,డైకోటోమి
Dictionary,నిఘంటువు
Difference engine,తేడా ఇంజిన్
Difference  Operation,తేడా  ఆపరేషన్
Difference report,తేడా నివేదిక
Differential  Analyzer,అవకలన  ఎనలైజర్
Differential delay,అవకలన ఆలస్యం
Differential gear,అవకలన గేర్
Differential  Modulation,అవకలన  మాడ్యులేషన్
Differentiator,భేదం
Digit,అంకె
Digital block,డిజిటల్ బ్లాక్
Digital carrier  System,డిజిటల్ క్యారియర్  వ్యవస్థ
Digital  Characteristic,డిజిటల్  లక్షణం
Digital computer,డిజిటల్ కంప్యూటర్
Digital data`,డిజిటల్ డేటా`
Digital data  Switching,డిజిటల్ డేటా  మారడం
Digital data system,డిజిటల్ డేటా సిస్టమ్
Digital facility,డిజిటల్ సౌకర్యం
Digital facility  Terminal,డిజిటల్ సౌకర్యం  టెర్మినల్
Digital filter,డిజిటల్ ఫిల్టర్
Digital graphics,డిజిటల్ గ్రాఫిక్స్
Digital incremental  Plotter,డిజిటల్ ఇంక్రిమెంటల్  ప్లాటర్
Digital line path,డిజిటల్ లైన్ మార్గం
Digital line section,డిజిటల్ లైన్ విభాగం
Digital multiplex  Equipment,డిజిటల్ మల్టీప్లెక్స్  పరికరాలు
Digital optical  Recording,డిజిటల్ ఆప్టికల్  రికార్డింగ్
Digital picture,డిజిటల్ చిత్రం
Digital radio path,డిజిటల్ రేడియో మార్గం
Digital radio section,డిజిటల్ రేడియో విభాగం
Digital read-out,డిజిటల్ రీడ్-అవుట్
Digital recorder,డిజిటల్ రికార్డర్
Digital  Representation,డిజిటల్  ప్రాతినిథ్యం
Digital section,డిజిటల్ విభాగం
Digital signal,డిజిటల్ సిగ్నల్
Digital signature,డిజిటల్ సంతకం
Digital sort,డిజిటల్ క్రమబద్ధీకరణ
Digital storage  Element,డిజిటల్ నిల్వ  మూలకం
Digital storage  Media,డిజిటల్ నిల్వ  మీడియా
Digital switching,డిజిటల్ మారడం
Digital termination  System,డిజిటల్ ముగింపు  వ్యవస్థ
