Hindi,English
आधार-संग्राही जंक्शन,Collector-base junction
"वर्ण, रंग",Colour
वर्ण विष्लेषक,Colour analyzer
वर्ण संतुलन,Colour balance
वर्ण प्रस्फोट,Colour burst
वर्ण चार्ट,Colour chart
वर्ण संयोजन,Colour combination
वर्णांक,Colour constant
वर्ण नियंत्रण,Colour control      (chrome control)
"रंग गहराई, वर्ण गभीरता",Colour depth
वर्ण श्रांति,Colour fatigue
"वर्ण फिल्टर, वर्ण निस्यंदक",Colour filter
वर्णांतक परिपथ,Colour killer circuit
"वर्ण चित्रनलिका,",Colour kinescope
वर्ण मिश्रक,Colour mixer
"वर्ण विन्यास, वर्ण प्रतिरूप",Colour pattern
वर्णावगम,Colour perception
"वर्ण चित्रपट्ट, वर्ण चित्र स्क्रीन",Colour picture screen
रंग समष्टि,Colour space
रंग उपवाहक,Colour subcarrier
"रंग ताप, वर्ण ताप",Colour temperature
"रंगीन प्रसारण, कलर ट्रांसमिशन",Colour transmission
वर्ण नलिका,Colour tube
रंजन,Colouration
वर्णहीन,Colourless
संयोजन,Combination
संयोजक,Combiner
संयोजन प्रक्रम,Combining process
दहन,Combustion
"समादेश, कमान",Command
प्रारंभ,Commencement
वाणिज्यिक प्रसारण,Commercial broadcasting
"वाणिज्यिक टेलीविजन, वाणिज्यिक दूरदर्शन",Commercial television
उभयनिष्ठ संग्राही परिपथ,Common collector circuit
संचार,Communication
संचार उपग्रह,Communication satellite
सामुदायिक रेडियो केंद्र,Community radio centre
"सामुदायिक रेडियो स्टेशन, सामुदायिक रेडियो केंद्र",Community radio station
कॉम्पैक्ट डिस्क (सीडी),Compact disc (CD)
कॉम्पैक्ट डिस्क प्लेयर,Compact disc player
संपीडन-प्रसारित्र,Compander
संपीडन-प्रसारण,Companding
सुसंगतता,Compatibility
सुसंगत,Compatible
" संकलक , क्रमादेश अंतरक",Compiler
पूरक,Complementary
पूरक ट्रांजिस्टर,Complementary transistor
सम्मिश्र तरंग,Complex wave
घटक,Component
"संयुक्त, ,संयोजित, ,सम्मिश्र",Composite
संयुक्त परिपथ,Composite circuit
संयुक्त डिजिटल,Composite digital
संयुक्त रेडियो आवृत्ति संकेत,Composite radio frequency signal
संयुक्त संकेत,Composite signal
संयुक्त वीडियो,Composite video
संयुक्त –श्य संकेत,Composite video signal
"बनावट, रचना",Composition
संपीडित आंकड़ा,Compressed data
संपीडित अंकीकृत –श्य,Compressed digitized video
संपीडित वीडियो,Compressed video
संपीडन,Compression
संपीडन विरूपण साक्ष्य,Compression artifact
संपीडन संकट,Compression hazard
संपीडन तकनीक,Compression technique
संपीडित्र,Compressor
अभिकलन,Compute
"अभिकलित्र, कंप्यूटर",Computer
कंप्यूटर आधारित बहुमाध्यम,Computer based multimedia
कंप्यूटर प्रोग्रामन,Computer programming
कंप्यूटर प्रौद्योगिकी,Computer technology
अवतल लेन्स,Concave lens
अवतल दर्पण,Concave mirror
"प्रच्छादन, गोपन",Concealment
"सांद्रित, गाढ़ा, संकेंद्रित",Concentrated
"संकेंद्रण, सांद्रण",Concentration
संकेंद्रिक लेन्स,Concentric lens
"संधारित्र माइक्रोफोन, कन्डेंसर माइक्रोफोन",Condenser microphone
साम्यावस्था,Condition of equilibrium
चालन,Conduction
चालन धारा,Conduction current
चालकता,Conductivity
चालक,Conductor
"संरूपण, विन्यास",Configuration
"संबंधन, संयोजन",Connection
"संबद्धता, योजकता",Connectivity
"संबंधक, योजक",Connector
सुसंगति,Consistency
सुसंगततः,Consistently
कन्सोल,Console
" स्थिर , नियतांक, स्थिरांक   , नियत",Constant
" अचर कोणांक  , अचर आयाम",Constant  amplitude
संपर्क माइक्रोफोन,Contact microphone
पात्र आरूप,Container format
संदूषण,Contamination
" अंतर्वस्तु , अंश",Content
" निकटस्थ, समीपस्थ  , संलग्न , संस्पशब",Contiguous
"सांतत्य, सातत्य, निरंतरता",Continuity
सातत्य बूथ,Continuity booth
सातत्य घुंडी,Continuity knob
"सतत, निरंतर, अविरल, अविच्छिन्न",Continuous
"सतत चाप, अविच्छिन्न चाप",Continuous arc
सतत तरंग,Continuous wave
समोच्च रेखा,Contour line
समोच्च रेखीय योजना,Contour plan
" संविदा  , संकुचित करना",Contract
संकुचन,Contraction
विपर्यास अनुपात,Contrast ratio
नियंत्रण परिपथ,Control circuit
नियंत्रण इलेक्ट्रोड,Control electrode
नियंत्रण उपस्कर,Control equipment
नियंत्रण ग्रिड,Control grid
नियंत्रण रेखा,Control line
नियंत्रण पैनल,Control panel
नियंत्रण कक्ष,Control room
नियंत्रण सारणी,Control table
"नियंत्रण मीनार, नियंत्रण टावर",Control tower
नियंत्रक,Controller
अभिसरण,Convergence
अभिसारी लेन्स,Convergent lens
परिवर्तक,Convertor
उत्तल लेन्स,Convex lens
संवलन,Convolution
संवलन कोडित,Convolution coded
"संवलनात्मक अंतरापत्र, संवलनीय अंतरापत्र",Convolutional interleave
"संवलनात्मक अंतरापत्रण, संवलनीय अंतरापत्रण",Convolutional interleaving
कुकी,Cookie
कुकियर,Cookier
सहप्रक्रमक,Coprocessor
"डोरी, कॉर्ड",Cord
"किरीट, कोरोना",Corona
किरीट विसर्जन,Corona discharge
सहसंबंधन,Correlation
"कोसाइन घटक, कोज्या घटक",Cosine component
"कोज्या तरंग, कोसाइन तरंग",Cosine wave
अंतरिक्ष रव,Cosmic noise
"गणक, काउंटर",Counter
वामावर्त,Counter clockwise
युग्मक,Coupler
युग्मन,Coupling
युग्मन संधारित्र,Coupling condenser
"युग्मन जालक्रम, युग्मन नेटवर्क",Coupling network
युग्मन प्रतिरोध,Coupling resistance
सहसंयोजी आबंध,Covalent bond
"व्याप्ति, कवरेज",Coverage
ध्वंस,Crash
क्रांतिक बैंड,Critical band
क्रांतिक अवस्था,Critical condition
क्रांतिक युग्मन,Critical coupling
क्रांतिक आवृत्ति,Critical frequency
क्रांतिक प्राचल,Critical parameter
मकरदंती क्लिप,Crocodile clip
पार मंदन,Cross fading
क्रॉस मॉडुलन,Cross modulation
"क्रॉस वार्ता, क्रॉस टाक, संकर वार्ता",Cross talk
पारमंद,Crossfade
" गूढ़लेखन  , गूढ़लेखिकी,  क्रिप्टोग्राफी",Cryptography
क्रिस्टल,Crystal
क्रिस्टल फिल्टर,Crystal filter
"अनुसंकेत, इंगित",Cue
अनुसंकेत चिह्न,Cue marks
अनुसंकेत युक्ति,Cueing device
धारा अपवाह,Current drain
धारामापी,Current meter
धारा ट्रांसफार्मर,Current transformer
"प्रसंकेतक, कर्सर",Cursor
वक्र,Curve
अंतक आवृत्ति,Cut off frequency
कर्तक,Cutter
साइबर कैफे,Cyber cafe
साइबर सुरक्षा,Cyber security
साइबर स्पेस,Cyber space
"चक्र, आवर्तन",Cycle
चक्रीय,Cyclic
डी.सी. (दिष्टधारा) घटक,D.c. component
डी.सी. प्लेट षक्ति,D.c. plate power
डी.सी. पुनः स्थापन,D.c. restoration
अवमंदक डायोड,Damper diode
अवमंदन,Damping
अदीप्त,Dark
"आंकड़ा, डाटा",Data
आंकड़ा प्रसारण,Data broadcasting
आंकड़ा संपीडन,Data compression
"आंकड़ा प्रवेधन, डाटा प्रवेधन",Data drilling
"डाटा कूटलेखन, आंकड़ा कूटलेखन",Data encryption
आंकड़ा संचिका,Data file
"डाटा संचालन, आंकड़ा संचालन",Data handling
आंकड़ा खनन,Data mining
"आंकड़ा प्रक्रमण, डाटा प्रक्रमण",Data processing
"डाटा प्रक्रमक, आंकड़ा प्रक्रमक",Data processor
आंकड़ा लघुकृत बिट तंत्र,Data reduced bit system
आंकड़ा सेवा,Data service
"डाटा पत्र, आंकड़ा पत्र, डाटा शीट",Data sheet
"डाटा भंडारण, आंकड़ा भंडारण",Data storage
"डाटा प्रवाह, आंकड़ा प्रवाह",Data stream
आंकड़ा रूपांतरण,Data transformation
"डाटा संचरण, आंकड़ा संचरण",Data transmission
"आंकड़ा आधार,  डाटा बेस",Database
आंकड़ा प्रसारण,Datacasting
"आंकड़ा-लेख, डाटाग्राम",Datagram
"डेसिबल मीटर, dB मीटर",DB meter
अमॉडुलित प्रसारण,Dead air
पूर्ण लघु परिपथ,Dead short circuit
मूक स्थल,Dead spot
गतिरोध,Deadlock
दोषमार्जन कार्यक्रम,Debug programme
"डीबगिंग, दोषमार्जन",Debugging
ध्वनि-क्षय,Decay of sound
डेसिबल,Decibel (dB)
"दशमलव, दशमिक",Decimal
दशमिक कोड,Decimal code
दशमिक डिजिट,Decimal digit
कूटवाचन,Deciphering
"कूट वाचक, विकोडक",Decoder
"कूट वाचन, विकोडन",Decoding
अंकीय संचरण विकोडन,Decoding in digital transmission
विसंपीडन,Decompression
वियुग्मन,Decoupling
वियुग्मन परिपथ,Decoupling circuit
"वियुग्मन जालक्रम, वियुग्मन नेटवर्क",Decoupling network
"विकोडन, विकूटन, विगोपन",Decryption
समर्पित लाइन,Dedicated line
वि-अंतः स्थापन,De-embedding
विप्रबलन,De-emphasis
"स्वतः निर्धारित, डिफाल्ट",Default
गुणता दोष,Defect in quality
"सदोष, दोषपूर्ण",Defective
"सदोष एकक, दोषपूर्ण एकक",Defective unit
"परिभाषा, स्पष्टता",Definition
विक्षेपण,Deflection
"विरूपण, विकृति",Deformation
एकीकरण,Defragmentation
"चुंबकीय विक्षेत्रण कुंडली, विगासिंग कुंडली",De-gaussing coil
"डिग्री, अंश",Degree
वि-अंतरापत्रक,De-interleaver
डिले लाइन,Delay line
विलंब काल,Delay time
विलंबित फ्रेम स्मृति,Delayed frame memory
विलंबित क्रमवीक्षण,Delayed scanning
विलंबित तुल्यकालन संकेत,Delayed synchronization signal
"प्रदान, प्रस्तुति",Delivery
"वितरण तंत्र, वितरण प्रणाली, प्रदान तंत्र, प्रदान प्रणाली",Delivery system
विमॉडुलन,Demodulation
विमॉडुलक कार्ड,Demodulator card
विबहुसंकेतक,Demultiplexer
क्षेत्र गहराई,Depth of field
अवरोहण,Descending
अभिकल्प विनिर्देश,Design specification
डेस्कटॉप,Desktop
"संसूचक उत्पाद, संसूचक निर्गत",Detector output
विचलन,Deviation
"युक्ति, साधन",Device
युक्ति चालक,Device driver
नैदानिकी,Diagnostics
आरेख,Diagram
संवाद पथ,Dialog track
व्यासीय विधा,Diameteral mode
"हीरक स्टाइलस, हीरक सुई",Diamond stylus
"मध्यपट, तनुपट",Diaphragm
तनुपटीय अवशोषक,Diaphragmatic absorber
द्विशाखी श्रवण,Dichotic listening
"डाइइलेक्ट्रिक, परावैद्युत",Dielectric
"डाइइलेक्ट्रिक भंग, परावैद्युत भंग",Dielectric break- down
परावैद्युत हानि,Dielectric loss
अंतर आवृत्ति,Difference frequency
अंतर आवृत्ति विरूपण,Difference frequency distortion (DFD)
"अंतर स्वरक, अंतर टोन",Difference tone
विभेदी प्रवर्धक,Differential amplifier
विवर्तन,Diffraction
विसारक,Diffuser
अंक,Digit
"अंकीय, डिजिटल",Digital
अंकीय विरूपण साक्ष्य,Digital artifact
अंकीय श्रव्य,Digital audio
"डिजिटल ऑडियो फिल्टर, अंकीय श्रव्य फिल्टर",Digital audio filter
"डिजिटल ऑडियो कार्य स्टेशन, अंकीय श्रव्य कार्य केन्द्र",Digital audio work station
"अंकीय कैमरा, डिजिटल कैमरा",Digital camera
"अंकीय कंप्यूटर, डिजिटल कंप्यूटर",Digital computer
"अंकीय आंकड़ा, अंकीय डाटा",Digital data
अंकीय संपादन,Digital editing
"अंकीय उत्तेजक, डिजिटल एक्साइटर",Digital exciter
"अंकीय फिल्टर, अंकीय निस्यंदक",Digital filter
अंकीय फ्रेम तुल्यकालक,Digital frame synchronizer
अंकीय विरासत,Digital heritage
अंकीय प्रतिबिंब,Digital image
अंकीय लाइबेरी,Digital library
"डिजिटल मीटर, अंकीयमापी",Digital meter
अंकीय मॉडुलन,Digital modulation
अंकीय बहुसंकेत,Digital multiplex
अंकीय जालक्रम,Digital network
अंकीय निर्गत,Digital output
"अंकीय प्रतिश्रवण, अंकीय प्लेबैक",Digital playback
विष्वव्यापी अंकीय रेडियो,Digital Radio Mondiale (DRM)
अंकीय अभिलेखन,Digital recording
अंकीय क्रांति,Digital revolution
अंकीय संकेत,Digital signal
डिजिटल सिगनल प्रक्रमण,Digital signal processing (DSP)
"अंकीय हस्ताक्षर, अंकीय चिd",Digital signature
"अंकीय प्रौद्योगिकी , डिजिटल प्रौद्योगिकी",Digital technology
अंकीय-अनुरूप परिवर्तक,Digital to analog converter
"अंकीय –ष्य, डिजिटल वीडियो",Digital video
अंकीय वोल्टतामापी,Digital voltmeter
अंकरूपण,Digitalization
"अंकरूपण, अंकीकरण",Digitization
"अंकीकृत –ष्य, अंकीकृत वीडियो",Digitized video
"अंकक, अंकरूपक",Digitizer
मंद,Dim
"विमा, विस्तार",Dimension
मंदक,Dimmer
डायोड,Diode
नति,Dip
द्विसंकेतक,Diplexer
द्विधुवी ऐन्टेना,Dipole antenna
सीधा प्रसारण,Direct broadcast
दिष्टधारा (डी सी),Direct current (d c)
"सीधा पिकअप, पकड़ना",Direct pick up
प्रत्यक्ष पठन यंत्र,Direct reading instrument
प्रत्यक्ष अभिलेखन,Direct recording
दिशिक ऐन्टेना,Directional antenna
दिशिक युग्मक,Directional coupler
दिशिक माइक्रोफोन,Directional microphone
"दिशात्मकता, दिशिकता",Directivity
निर्देशिका,Directory
असमर्थ,Disable
डिस्क ऐन्टेना,Disc antenna
डिस्क आधारित भंडारण,Disc based storage
"अलग, विविक्त, भिन्न",Discrete
"डिस्क, चक्रिका",Disk
"डिस्क ड्राइव, चालक",Disk drive
डिस्क नियतांश,Disk quota
डिस्केट,Diskette
"विस्थापन, प्रभ्रंश",Dislocation
"प्रकीर्णन, परिक्षेपण",Dispersion
विस्थापन,Displacement
प्रदर्शित करना; प्रदर्श,Display
प्रदर्श एकक (कन्सोल),Display unit (console)
क्षय,Dissipation
"बेसुरापन, असंनादिता",Dissonance
आसुत जल,Distilled water
विरूपण,Distortion
वितरण,Distribution
वितरण प्रवर्धक,Distribution amplifier
"विभाजन, प्रभाग",Division
भाजक,Divisor
"प्रलेख, दस्तावेज",Document
"डोल्बी अंकीय, डोल्बी डिजिटल",Dolby digital
प्रक्षेत्र,Domain
प्रक्षेत्र नियंत्रक,Domain controller
डॉप्लर प्रभाव,Doppler effect
द्विधुव,Double pole (dipole)
द्विधुव एकल क्षेप स्विच,Double pole single throw switch
"द्विपार्ष्व चक्रिका, द्विपार्ष्व डिस्क",Double sided disk
द्विक,Doublet
अधोगामी तरंग,Down coming wave
अनुप्रवाह,Down stream
"अधोयोजन, डाउनलिंक",Downlink
"डाउनलोड, अधोभार",Download
अधोभारण,Downloading
" आरेखण , आहरण",Drawing
"प्रवेधन बिट, बरमा अणी",Drilling bit
प्रवेधन यंत्र,Drilling machine
"चालन, ड्राइव",Drive
"ड्रम, ढोल",Drum
शुष्क बल्ब तापमान,Dry bulb temperature
शुष्क सेल,Dry cell
"ड्राई सोल्डर, विफल सोल्डर",Dry solder
द्वि चैनल विधा,Dual channel mode
"डबीकरण, काट-छाँट, अंतरण",Dubbing
"निष्फल, निरर्थक",Dud
निपात,Dump
द्वैध,Duplex
अवधि,Duration
"धूल, धूलि",Dust
धूलि दोष,Dust bug
धूलि रोधी,Dust proof
"झाड़न, धूलित्र",Duster
"गतिक, गतिशील",Dynamic
गतिक बिट नियतन,Dynamic bit allocation
गतिक अंतरामॉडुलन विरूपण,Dynamic intermodulation distortion (DIM)
"गतिक क्वांटमन, गतिक क्वांटमीकरण",Dynamic quantization
गतिक परास,Dynamic range
गतिक परास नियंत्रण,Dynamic range control
डाइनेमो,Dynamo
"कर्णफोन, ईयरफोन",Ear phone
भूमि,Earth
भू-उभार,Earth bulge
भू-प्रतिरोध,Earth resistance
भू-छड़,Earth rod
भू-उपग्रह,Earth satellite
भू-केंद्र,Earth station
भू-टर्मिनल,Earth terminal
"भू-संपर्क करना, भू-संपर्कन",Earthing
प्रतिध्वनि,Echo
प्रतिध्वनि कक्ष,Echo chamber
भंवर धारा,Eddy current
भंवर धारा हानि,Eddy current loss
"एजवाइज मीटर, अधिकोर मापी",Edgewise meter
संपादन,Editing
प्रभावी ऐन्टेना ऊंचाई,Effective antenna height
प्रभावी ऐन्टेना लंबाई,Effective antenna length
प्रभावी वोल्टता,Effective voltage
दक्षता,Efficiency
प्रत्यास्थता,Elasticity
विद्युत् विसर्जन,Electric discharge
विद्युत् क्षेत्र,Electric field
विद्युत् फ्लैश,Electric flash
विद्युत् तापक,Electric heater
विद्युत् मापी,Electric meter
विद्युत् मोटर,Electric motor
"बिजली का झटका, विद्युत् प्रघात",Electric shock
"विद्युत् चिनगारी, विद्युत् स्फुलिंग",Electric spark
विद्युत् उपकरण,Electrical appliance
विद्युत् रव,Electrical noise
विद्युत् तूफान,Electrical storm
विद्युत् चालित वाद्यसंगीत यंत्र,Electrically operated musical instrument
विद्युत्,Electricity
विद्युत् प्रदाय,Electricity supply
विद्युत् गतिक,Electrodynamic
विद्युत् अपघटनी संधारित्र,Electrolytic capacitor
विद्युत्चुंबकीय,Electromagnetic
विद्युत्चुंबकीय विक्षोभ,Electromagnetic disturbance
विदयुतचुंबकीय व्यतिकरण,Electromagnetic interferrence
विद्युत्चुंबकीय स्पेक्ट्रम/वर्णक्रम,Electromagnetic spectrum
विद्युत्चुंबकीय तरंग,Electromagnetic wave
विद्युतचुंबकीय तरंग संचरण,Electromagnetic wave propagtion
इलेक्ट्रॉन बहु फोटोट्यूब,Electron multiple phototube
"इलेक्ट्रॉनिक परिकलित्र, कैलकुलेटर",Electronic calculator
"इलेक्ट्रॉनिक आंकड़ा संसाधन, इलेक्ट्रॉनिक आंकड़ा प्रक्रमण",Electronic data processing (EDP)
इलेक्ट्रॉनिक मेल (ई-मेल),Electronic mail (e-mail)
इलेक्ट्रॉनिक स्विचन तंत्र,Electronic switching system
इलेक्ट्रॉनिकी,Electronics
विद्युत्ल्ेपन,Electroplating
स्थिर-वैद्युत,Electrostatic
"उन्नयन, उच्चता",Elevation
अंतः स्थापित,Embedded
अंतः स्थापित श्रव्य,Embedded audio
अंतः स्थापित तंत्र,Embedded system
"प्रतीक, चिह्न",Emblem
"आविर्भावी प्रवृत्तियां, आविर्भावी चलन",Emerging trends
उत्सर्जन,Emission
उत्सर्जक,Emitter
उत्सर्जक अनुगामी,Emitter follower
उत्सर्जक टर्मिनल,Emitter terminal
उत्सर्जक-आधार संधि,Emitter-base-junction
समर्थ बनाना,Enable
इनेमलित तार,Enamelled wire
कूटलेखक,Encipher
संलग्नक,Enclosure
कोडित करना,Encode
"कूटलेखक, कोडक",Encoder
"कूटलेखन, कोडन",Encoding
गूढ़ लेखन,Encryption
अंत चिह्न,End mark
अंतिम प्रयोक्ता,End user
ऊर्जा,Energy
ऊर्जा परिक्षेपण,Energy dispersal
ऊर्जा वितरण,Energy distribution
प्रवर्तन; लागू करना,Enforcement
इंजन,Engine
"इंजीनियर, अभियंता",Engineer
"इंजीनियरी, अभियांत्रिकी",Engineering
अभियांत्रिकी भंडार,Engineering store
उत्कीर्णन,Engraving
बढ़ाना; वर्धन,Enhance
समूहन,Ensemble
प्रवेश कुंजी,Enter key
उद्यम संरचना,Enterprise architecture
एन्थैल्पी,Enthalpy
एन्ट्रॉपी,Entropy
एन्ट्रॉपी कोडन,Entropy coding
एन्ट्रॉपी अतिरिक्तता,Entropy redundancy
"समकरण, तुल्यकरण",Equalising
"समकरण, तुल्यकरण",Equalization
"तुल्यकारी, समकारी",Equalizer
उपस्कर,Equipment
उपस्कर आवरण,Equipment cover
तुल्य; तुल्यांक,Equivalent
मिटाना,Erase
व्यामार्जन शीर्ष,Erase head
अपरदन,Erosion
अनियमित,Erratic
"त्रुटि, अशुद्धि, भूल",Error
त्रुटि नियंत्रण कोडन,Error control coding
"त्रुटि संशोधन, भूल सुधार",Error correction
त्रुटि संसूचन,Error detection
त्रुटि संशोधन प्रक्रिया,Error handling
त्रुटि प्रायिकता,Error probability
ईथरनेट,Ethernet
ईथरनेट केबल/ईथरनेट तार,Ethernet cable
"सुजननिकी, सुजनन विज्ञान",Eugenics
रिक्त करना; खाली कराना,Evacuate
" केंद्र  , आदान प्रदान",Exchange
उत्तेजक,Exciter
निष्पादन करना,Execute
"निष्पादन काल, निष्पादन समय",Execution time
"निष्कासन, रेचन करना",Exhaust
निर्गम,Exit
प्रसारित,Expanded
प्रसार वाल्व,Expansion valve
प्रयोग,Experiment
विशेषज्ञ प्रणाली,Expert system
अन्वेषण करना,Explore
अन्वेषक,Explorer
प्रदर्शनी,Expo(exhibition)
विद्युत् आपूर्ति विस्तार,Extension of power supply
बाह्य नियंत्रण,External control
बाह्य स्मृति,External memory
बाह्य भंडारण,External storage
बाह्य चूड़ी,External thread
निष्कर्ष,Extract
एक्सट्रानेट,Extranet
संविरचन,Fabricate
"फलकिका, लघु चेहरा",Facet
"प्रतिकृति, अनुलिपि",Facsimile
" कारक , गुणक",Factor
मंदन,Fade
उत्तीव्रण,Fade in
अवतीव्रण,Fade out
"अवतीव्रक, मंदक",Fader
अवतीव्रण,Fading
मंदन क्षेत्र,Fading zone
"फैंटम, आभासी",Fantom (=phantom)
फास्ट फूरिये रूपांतर कलनविधि,Fast fourier transform (FFT) algorithm
घातक त्रुटि,Fatal error
दोष,Fault
लक्षण,Feature
"प्रभरण, भरण",Feed
"प्रतिपुष्टि, पुनर्भरण, फीडबैक, पष्चभरण",Feedback
पुनर्भरण प्रवर्धक,Feedback amplifier
पुनर्भरण परिपथ,Feedback circuit
पुनःनिविष्ट वोल्टता,Feedback voltage
"प्रभरक, फीडर, पोषक",Feeder
"प्रभरक केबल, फीडर  केबल",Feeder cable
"प्रभरक कुटीर, फीडर हट",Feeder hut
"प्रभरक लाइन, फीडर लाइन",Feeder line
"प्रभरक तंत्र, फीडर सिस्टम",Feeder system
प्रभरक तार,Feeder wire
"फाइबर, तंतु",Fibre
तंतु प्रकाशिकी,Fibre optics
" तद्रूपता  , निष्ठा, वफादारी",Fidelity
तद्रूपता परास विस्तार,Fidelity range extension
क्षेत्र,Field
"क्षेत्र ड्राइव, क्षेत्र चालन",Field drive
क्षेत्र प्रभाव ट्रांजिस्टर,Field effect transistor
क्षेत्र तीव्रता,Field strength
क्षेत्र तीव्रतामापी,Field strength meter
क्षेत्र तीव्रता सर्वेक्षण,Field strength survey
" आकृति, चित्र  , अंक",Figure
दक्षतांक,Figure of merit
तंतु,Filament
"संचिका, फाइल",File
"संचिका परिसेवक, फाइल सर्वर",File server
"संचिका तंत्र, फाइल तंत्र",File system
पूरक,Filler
फिल्म अभिलेखित्र,Film recorder
फिल्म चाल,Film speed
"फिल्टर, निस्यंदक",Filter
फिल्टर चोक,Filter choke
फिल्टर परिपथ,Filter circuit
"फिल्टरन, निस्यंदन",Filtering
सूक्ष्म समस्वरण नियंत्रण,Fine tuning control
परिमित क्षेत्र,Finite field
"फायर-वाल, रक्षक भित्ति",Fire wall
फायरफॉक्स,Firefox
"गेट कोण, फायरिंग कोण",Firing angle
फर्मवेयर,Firmware
"फिटिंग्स, अन्वायqिक्त",Fittings
नियत समय चार्ट,Fixed point chart
नियत समय मद,Fixed point item
फ्लैश,Flash
"सपाट, चपटा",Flat
"टिमटिमाना, स्फुरण",Flicker
फ्लिप फ्लॉप,Flip flop
"फ्लोट वाल्व, प्लव वाल्व",Float valve
प्लवमान,Floating
पार्ष्वपूरक बैटरी,Floating  battery
चल बिंदु,Floating point
"चल द्वार, फ्लोटिंग पोर्ट",Floating port
पूर प्रदीप्ति,Flood light
पूर प्रदीपन,Flood lighting
"फर्श, तल",Floor
फ्लॉपी,Floppy
"प्रवाह संचित्र, प्रवाह चार्ट",Flow chart
"उतार-चढ़ाव, उच्चावचन, घट-बढ़",Fluctuation
तरल,Fluid
प्रतिदीप्ति लैम्प,Fluorescent lamp
"प्रतिदीप्ति नलिका, प्रतिदीप्ति ट्यूब",Fluorescent tube
फडफ़ड़ाना,Flutter
"फ्लक्स, अभिवाह",Flux
फ्लक्सबद्धता,Flux linkage
"एफ एम जालक्रम, FM जालक्रम",FM network
"एफ एम टावर, FM टावर",FM tower
फोकस,Focus
फोकस-नियंत्रक,Focus control
"फोकसन, फोकसीकरण",Focussing
फोकसी चुंबक,Focussing magnet
कोहरा,Fog
"पन्नी, पत्रक, पर्णिका",Foil
"प्रत्यावर्तन, फोल्ड बैक",Fold back
वलित द्विधुव,Folded dipole
"चौपन्ना, फोल्डर",Folder
असंपादित सामग्री,Footage
"पाद-उपांत, फुटर",Footer
प्रणोदित दोलन,Forced oscillation
प्रणोदित संवातन,Forced ventilation
प्रणोदित कंपन,Forced vibration
फोर्ज,Forge
"आरूप, फॉर्मेट",Format
आरूप विस्थापन,Format shifting
आरूप समस्वर,Format tunes
"संरूपण, आरूपण",Formatting
"अग्र बायस, अग्र अभिनति",Forward bias
अग्र अभिनत,Forward biased
अग्र धारा,Forward current
अग्र दिशा,Forward direction
अग्र प्रतिरोध,Forward resistance
फूरिये रूपांतर,Fourier transform
"आंशिक, फ्रैक्टल",Fractal
विखंडन,Fragmentation
"फ्रेम, ढांचा",Frame
फ्रेम आरूपण,Frame formatting
फ्रेम तुल्यकालक,Frame synchroniser
"फ्रेमन, फ्रेमीकरण",Framing
मुक्त इलेक्ट्रॉन,Free electron
मुक्त अंतरिक्ष हानि,Free space loss
मुक्त अंतरिक्ष पथ हानि,Free space path loss
आवृत्ति,Frequency
आवृत्ति नियतन,Frequency allocation
आवृत्ति परिवर्तक,Frequency changer
आवृत्ति परिवर्तक,Frequency converter
"आवृत्ति गणक, आवृत्ति काउंटर",Frequency counter
आवृत्ति विकृति,Frequency distortion
आवृत्ति विभाजक,Frequency divider
आवृत्ति प्रक्षेत्र,Frequency domain
आवृत्ति द्विगुणक,Frequency doubler
आवृत्ति मॉडुलन,Frequency modulation
आवृत्ति मॉनीटर,Frequency monitor
आवृत्ति बहुसंकेत,Frequency multiplex
आवृत्ति गुणक,Frequency multiplier
आवृत्ति परास,Frequency range
आवृत्ति अनुक्रिया,Frequency response
आवृत्ति विस्थापन,Frequency shift
आवृत्ति स्पेक्ट्रम/आवृत्ति वर्णक्रम,Frequency spectrum
आवृत्ति संश्लेषित्र,Frequency synthesizer
आवृत्ति सहिष्णुता,Frequency tolerance
आवृत्ति अंतरक पेटी,Frequency translator box
आवृत्ति परिवर्तन,Frequency variation
फ्रेनल जोन,Fresnel zone
उपांत प्रदेश,Fringe-area
अग्र अंतराल,Front porch
पूर्ण योजक,Full adder
पूर्ण तरंग दिष्टकरण,Full wave rectification
पूर्ण तरंग दिष्टकारी,Full wave rectifier
"प्रकार्य, फलन, फंक्शन",Function
प्रकार्य कुंजी,Function key
प्रकार्यात्मक परीक्षण,Functional testing
"मौलिक, मूल",Fundamental
मूल आवृत्ति,Fundamental frequency
मूल वेग,Fundamental velocity
"कीप, फनल",Funnel
फ्यूज,Fuse
फ्यूज तार,Fuse wire
"स्वानुशासित तर्क, फजी तर्क",Fuzzy logic
"लाभ, लब्धि",Gain
लब्धि नियंत्रण,Gain control
गाल्वा क्षेत्र,Galois field
वर्ण उपसमुच्चय,Gamut
गुंफित संधारित्र,Gang condenser
अंतराल,Gap
द्वारपथ,Gateway
"प्रमापी, प्रमाप",Gauge
गाउसी वक्र,Gaussian curve
गाउसी श्वेत रव,Gaussian white noise
जनित्र,Generator
वर्ग नाम,Generic name
भू-तुल्यकाली उपग्रह,Geostationary satellite
भू-तुल्यकालिक उपग्रह,Geosynchronous satellite
"व्यवधान, ग्लिच",Glitch
ग्राफीय कला,Graphic art
"ग्राफीय समकारक, ग्राफीय समकारी",Graphic equalizer
"आलेखिकी, ग्राफिक्स",Graphics
रेखाजाल,Graticule
गुरूत्वीय त्वरण,Gravitational acceleration
गे-स्केल,Gray scale
