Marathi,English
कोर ट्रिगर कुंडी,Edge -triggered latch
एडिसन प्रभाव,Edison effect
संपादक,Editor
प्रभावी क्षेत्र,Effective area
प्रभावी प्रवाह,Effective current
प्रभावी ग्राउंड त्रिज्या,Effective earth radius
प्रभावी उंची,Effective height
प्रभावी लांबी,Effective length
प्रभावी वस्तुमान,Effective mass
प्रभावी विकिरण शक्ती,Effective radiated power
प्रभावी व्होल्टेज,Effective voltage
कार्यक्षमता,Efficiency
E.E.P. रॉम,EFP ROM
आयकॉनल समीकरण,Eiconal equation
व्यस्त क्षमता,Elastance
ई-स्तर,E-layer
विद्युतप्रवाह,Electric current
विद्युत क्षेत्र,Electric field
विद्युत क्षेत्राची तीव्रता,Electric field strength
विद्युत प्रवाह ओळी,Electric line of force
विद्युत क्षमता,Electric potential
विद्युत शॉक,Electric shock
इलेक्ट्रो-सोल्डर,Electric solder
विद्युत लहर,Electric wave
विद्युत लांबी,Electrical length
विद्युत शक्ती,Electrical power
वीज,Electricity
ईसीजी,Electro cardiograph (ECG)
इलेक्ट्रिक डायनॅमो मीटर,Electro dynamometer
इलेक्ट्रोड,Electrode
इलेक्ट्रोड प्रवाह,Electrode current
इलेक्ट्रोल्युमिनेसन्स,Electroluminescence
इलेक्ट्रोल्युमिनेसेंट डिस्प्ले,Electroluminescent display
गॅल्व्हनिक अलगाव,Electrolysis
इलेक्ट्रोलाइट,Electrolyte
इलेक्ट्रोलाइटिक कॅपेसिटर,Electrolytic capacitor
इलेक्ट्रोलाइटिक कॅपेसिटर,Electrolytic capacitor
इलेक्ट्रोमॅग्नेट,Electromagnet
इलेक्ट्रोमॅग्नेटिक ऊर्जा,Electromagnetic energy
इलेक्ट्रोमॅग्नेटिक प्रेरण,Electromagnetic induction
"इलेक्ट्रोमॅग्नेटिक हस्तक्षेप, EMI",Electromagnetic interference (EMI)
इलेक्ट्रोमॅग्नेटिक स्पेक्ट्रम,Electromagnetic spectrum
इलेक्ट्रोमॅग्नेटिक लहर,Electromagnetic waves
विद्युत चुंबकत्व,Electromagnetism
इलेक्ट्रो मेकॅनिकल फिल्टर,Electromechanical filter
इलेक्ट्रोमीटर,Electrometer
विद्युतचुंबकिय बल,Electromotive force
इलेक्ट्रॉन,Electron
इलेक्ट्रॉन बीम,Electron beam
इलेक्ट्रॉन चार्ज,Electron charge
इलेक्ट्रॉन उत्सर्जन,Electron emission
इलेक्ट्रॉन प्रवाह,Electron flow
इलेक्ट्रॉन वायू,Electron gas
इलेक्ट्रॉन उपकरण,Electron gun
इलेक्ट्रॉन भोक जोडी,Electron hole pair
इलेक्ट्रॉन मायक्रोस्कोप,Electron microscope
इलेक्ट्रॉन कक्षा,Electron orbit
इलेक्ट्रॉन शेल,Electron shell
इलेक्ट्रॉन व्होल्ट,Electron volt
इलेक्ट्रॉन वेव्ह ट्यूब,Electron wave tube
इलेक्ट्रॉनिक चार्ज,Electronic charge
इलेक्ट्रॉनिक डेटा ताण,Electronic data interchange (EDI)
इलेक्ट्रॉनिक डेटा प्रोसेसिंग,Electronic data processing (EDP)
इलेक्ट्रॉनिक की,Electronic key
इलेक्ट्रॉनिक मेल (ई-मेल),Electronic mail (E-mail)
इलेक्ट्रॉनिक वस्तुमान,Electronic mass
इलेक्ट्रॉनिक अंकीय,Electronic numerical
इलेक्ट्रॉनिक स्विचिंग,Electronic switching
इलेक्ट्रॉनिक व्होल्टमीटर,Electronic voltmeter
इलेक्ट्रॉनिक ट्यून केलेला रिसीव्हर,Electronically tuned receiver (ETR)
इलेक्ट्रॉनिक्स उद्योग संघटना,Electronics industry association (EIA)
इलेक्ट्रोप्लेटिंग,Electroplating
इलेक्ट्रोस्कोप,Electroscope
विद्युत चुंबकत्व,Electrostatic deflection
इलेक्ट्रोस्टॅटिक प्रवाह,Electrostatic flux
इलेक्ट्रोस्टॅटिक संरक्षक,Electrostatic shield
घटक,Element
श्रेणीसुधारित करा,Elevation
प्रगती कोन,Elevation angle
लंबवर्तुळाकार परावर्तक,Ellipsodial reflector
लंबवर्तुळाकार फिल्टर,Elliptical filter
लंबवर्तुळाकार ध्रुव,Elliptical polarisation
एम्बेडेड प्रणाली,Embedded system
abssidic कोड,EMCDIC code
उत्सर्जक,Emitter
एमिटर ओरिएंटेशन कॉन्फिगरेशन,Emitter bias configuration
एमिटर बायपास कॅपेसिटर,Emitter bypass capacitor
उत्सर्जित वैशिष्ट्ये,Emitter characteristics
एमिटर जोडलेले अॅम्प्लीफायर,Emitter coupled amplifier
उत्सर्जक प्रसार,Emitter diffusion
उत्सर्जक अनुगामी,Emitter follower
उत्सर्जक प्रतिरोधक,Emitter resister
emitter स्थिर अभिमुखता कॉन्फिगरेशन,Emitter stabilized bias configuration
एमिटर बेस जंक्शन,Emitter-base junction
"emitter कपल्ड लॉजिक, ECL",Emitter-coupled logic (ECL)
यंत्रीकृत,Emulator
सक्षम करा,Enable
encapsulation,Encapsulation
कोडित्रा,Encoder
एनक्रिप्शन,Encryption
वर्तुळाकार लाभ,End around carry
रूपांतरण,End of conversion (EOC)
पद्धतशीर,End of file (EOF)
गोलाकार विस्थापन,End-around shift
रेखांशाचा अँटेना,End-fire antenna
अनुदैर्ध्य अॅरे,End-fire arrays
ऊर्जा,Energy
ऊर्जा बार,Energy band
बँड अंतर,Energy gap
ऊर्जा पातळी,Energy level
ऊर्जा पातळी आकृती,Energy level diagram
वर्धित विस्तारित वस्तुमान तपशील,Enhanced expanded memory specification (EEMS)
वाढवलेला लेख निबंधक,Enhanced graphics adapter (EGA)
वाढ,Enhancement
वाढ नमुना,Enhancement type
वर्धित Mosfet,Enhancement typeMOSFET
एन्ट्रॉपी,Entropy
लिफाफा डिमॉड्युलेटर,Envelope demodulator
वातावरण,Environment
"एपिटॅक्सी वाढ, चढत्या वाढ",Epitaxial growth
"epitracheal स्तर, चढत्या थर",Epitaxial layer
"epitaxy, overriding",Epitaxy
इपॉक्सी-फायबर ग्लास पातळी,Epoxy-fiber glass laminate
EP-ROM,EPROM
एप्सिलॉन,Epsilon
समानीकरण,Equalisation
समानीकरण सर्किट,Equalising circuit
समानता,Equality
समीकरण,Equalization
तुल्यकारक फिल्टर,Equalizer filter
समीकरण,Equation
विषुववृत्त विमान,Equatorial plane
isopotential लाइन,Equipotential line
समतुल्य पृष्ठ,Equipotential surface
समतुल्य सर्किट,Equivalent circuit
समतुल्य इनपुट आवाज जनरेटर,Equivalent input noise generator
समतुल्य इनपुट आवाज प्रतिकार,Equivalent input noise resistance
समतुल्य समस्थानिक विकिरण शक्ती,Equivalent isotropic radiated power (ETRP)
हटवा,Erase
ऊर्जा प्रक्रिया,Ergodic process
त्रुटी नियंत्रण कोडिंग,Error control coding
त्रुटी सुधारणे कोड,Error correcting code
त्रुटी शोध कोड,Error detecting code
त्रुटी हाताळणी,Error handling
त्रुटी दर,Error rate
त्रुटी व्होल्टेज,Error voltage
एरर एम्पलीफायर,Error amplifier
इसाकी डायोड,ESAKI diode
नक्षीकाम,Etching
इथरनेट,Ethernet
युलरचे प्रमेय,Euler's Theorem
परिमाण कमी करणारा मोड,Evanescent mode
बाष्पीभवन प्रक्रिया,Evaporation process
ई-वेक्टर,E-vector
समता,Even parity
अपवाद हाताळणी,Exception handling
अतिरिक्त आवाज प्रमाण,Excess noise ratio (ENR)
तिहेरी कोड,Excess-3-code
उत्तेजना सारणी,Excitation table
इको XOR गेट,Exclusive-OR-gate
अंमलबजावणी सॉफ्टवेअर,Executions software
अंमलबजावणी हलवा,Executions speed
अंमलबजावणी वेळ,Executions time
अनन्य नॉर गेट,EX-NOR gate (exclusive NOR)
प्रसारक,Expander
घातांकीय क्षय,Exponential decay
घातांक डायोड,Exponential diode
एक्सपोनेन्शियल फूरियर मालिका,Exponential fourier series
घातांकीय कार्य,Exponential function
बाह्य वारंवारता प्रतिकार,External frequency compensation
खूप उच्च वारंवारता,Extremely high frequency (EHF)
उच्च क्षमता,Extremely high tension (EHT)
खूप लहान वारंवारता,Extremely low frequency (ELF)
अभेद्य सेमीकंडक्टर,Extrinsic semiconductor
फाईल उघडा,F.O. (opening a file)
सेमीकंडक्टर फॅब्रिकेशन,Fabrication of semiconductor
फॅब्रि पेरो रेझोनेटर,Fabry-pirot resonator
पटल,Face
गुणक,Factor
तथ्यात्मक,Factorial
कमतरता,Fade out
क्षीणन,Fading
क्षीणन,Fading
फही एकतर्फी पारगम्यता मापक,FAHY simplex permeability meter
अपयश,Failure
अयशस्वी मोड,Failure mode
अपयशाचा दर,Failure rate
फेअर चाइल्ड सेमीकंडक्टर,Fair child semiconductors
गडी बाद होण्याचा क्रम,Fall time
पाटी कलाड कोर,Falling clock edge
पॅट कोर,Falling edge
कोसळणे,Fallout
खोटे,FALSE
दुमडलेला कागद,Fan fold paper
इनपुट,Fan-in
अंक क्रमांक,Fan-out
फरद,Farad
फॅराडे प्रभाव,Faraday effect
फॅराडे रोटेशन,Faraday rotation
फॅराडे स्क्रीन,Faraday screen
फॅराडे स्थिरांक,Faraday's constant
फॅरेडेचा कायदा,Faraday's law
प्रतिकृती,Facsimile
प्रतिकृती प्राप्तकर्ता,Facsimile receiver
प्रतिकृती कम्युनिकेटर,Facsimile transmitter
प्रतिकृती,Facsinite
प्रतिकृती सिग्नल,Facsinite signal
तीक्ष्ण कोर,Fast edge
द्रुत फोरियर ट्रान्सफॉर्म,Fast fourier transform
जहाजाची पावती दिनकरी,Fast recovery rectifier
फाइल वाटप वेळापत्रक,FAT (file allocation table)
गंभीर त्रुटी,Fatal error
मूळ फाइल,Father file
इनपुट,Fau-in
"दोष, दोष",Fault
दोष विश्लेषण,Fault analysis
दोष रेटिंग,Fault grading
दोष स्थानिकीकरण,Fault localization
दोष स्थानिक पूल,Fault localizing bridge
फॉल्ट फिल्टर टॉगल,Fault node toggle
पडणे सहिष्णुता,Fault tolerance
फॅनोचे अल्गोरिदम,Fauo's alogrithm
अंक क्रमांक,Fau-out
अंक क्रमांक वृक्ष,Fau-out tree
फॅक्स,Fax
फाइल संयोजन,Fc (combining file)
F कनेक्टर,F-connector
वारंवारता विभाग मल्टीप्लेक्सर,FDM (frequency division multiplexer)
FEC कोड,FEC code
फेडरल कम्युनिकेशन्स कमिशन,Federal communications commission (FCC)
पुनर्गुंतवणूक लूप लाभ,Feedback loop gain
कमी झालेले चुंबकीय पदार्थ,Feebly magnetic material
इनपुट,Feed
पुनर्गुंतवणूक उत्पन्न,Feed back gain
निर्वाह नुकसान,Feed through loss
पुनर्गुंतवणूक,Feedback
पुनर्गुंतवणूक अॅम्प्लिफायर,Feedback amplifier
पुन्हा परिचय विकृती,Feedback amplifier distortion
पुनर्गुंतवणूक ब्लॉक आकृती,Feedback block diagram
पुनर्गुंतवणूक प्रवाह आकृती,Feedback current diagram
पुनर्स्थापना लूप,Feedback loop
पुनर्गुंतवणूक ऑसिलेटर,Feedback oscillator
पुनर्गुंतवणूक शर्यत,Feedback racing
पुनर्गुंतवणूक विस्थापन नोंदणी,Feedback shift-register
पुनर्गुंतवणूक तत्त्व आकृती,Feedback theory diagram
पुन्हा परिचय व्होल्टेज आकृती,Feedback voltage diagram
फर्मी पातळी,Fermi level
फेरीक प्रेरक,Ferric induction
फेराइट,Ferrite
फेराइट अँटेना,Ferrite antenna
फेराइट तण,Ferrite bealt
फेराइट स्पिनर,Ferrite circulator
फेराइट विभाजक,Ferrite isolator
फेराइट लाइन विस्तार,Ferrite line width
फेराइट-कोर ट्रान्सफॉर्मर,Ferrite-core transformer
फेरो क्रोम टेप,Ferro-chrome tape
फेरोमॅग्नेटिझम,Ferromagnetism
नशीब,FET
फील्ड इफेक्ट ट्रान्झिस्टर (FET),FET (field-effect transistor)
फॅट बूस्टर,FET amplifier
fret पूरक सममिती,FET complementary symmetry
चरबी कमी करण्याचा मोड,FET depletion mode
"fate duality gate, duality gate",FET dual gate
फॅट ग्रोथ मोड,FET enhancement mode
fret वारंवारता प्रतिसाद,FET frequency response
फॅट ग्राफिक विश्लेषण,FET graphical analysis
भाग्य गुंतवणूक सुरक्षा,FET input protection
चरबी उलट,FET inverter
भाग्य करार,FET junction
चरबी mosfet,FET MOSFET
चरबी चालकता,FET trans conductance
झोपेची वेळ,Fetch time
फाइल आयात,FI (importing a file)
फायबर,Fiber
फायबर कनेक्टर,Fiber connector
फायबर वितरित डेटा इंटरफेस,Fiber distributed data interface (FDDI)
फायबर ग्लास,Fiber glass
फायबर ऑप्टिक लिंक,Fiber optic link
फायबर ऑप्टिक्स ट्रान्समिशन विंडो,Fiber optics propagation window
फायबर लाइट डिटेक्टर,Fiber photo detector
फायबर बाँडिंग,Fiber splicing
फिबोनाची संख्या,Fibonocci numbers
आभासी आवाज जनरेटर,Fictitious noise generator
प्राप्तकर्त्याची निष्ठा,Fidelity of receiver
बनावट,Fidelity
क्षेत्र सहाय्यित,Field aiding
फील्ड इफेक्ट डिव्हाइस,Field effect device
फील्ड इफेक्ट स्विच,Field effect switch
फील्ड प्रभावी ट्रान्झिस्टर,Field effect transistor
फील्ड उत्सर्जन,Field emission
लीड बॉडी,Field forward system
फील्ड वारंवारता,Field frequency
फील्ड तीव्रता,Field intensity
फील्ड प्रोग्राम लॉजिक अॅरे,Field programmable logic array (FPLA)
क्षेत्र चाचणी,Field test
फील्ड निरसन,Fields cancelling
FIFO मेमरी,FIFO memory
कार्यक्षमता निर्देशांक,Figure of merit
फाइल,File
फाइल फिलर,File backup
फाइल कमांड,File command
फाइल सर्व्हर,File server
थर कॅपेसिटर,Film capacitor
थर रेझिस्टर,Film type register
फिल्टर,Filter
फिल्टर वैशिष्ट्ये,Filter characteristic
फिल्टर सर्किट,Filter circuit
संकलन,Filter communication data
फिल्टर डिझाइन,Filter design
संप्रेषण डेटा,Filter link
फिल्टर पद्धत,Filter method
फिल्टर पुनर्रचना,Filter reconstruction
अंतिम एकत्रीकरण,Final assembly
फिंगर प्रिंट,Finger print
मर्यादित आवेगपूर्ण अहवाल फिल्टर,Finite impulse response filter
मर्यादित पॅरामीटर,Finite parameters
मर्यादित राज्य मशीन,Finite state machine
फायरिंग कोन,Firing angle
फर्मवेअर,Firmware
प्रथम आकृती शब्द,First data word
प्रथम ऑर्डर प्राश,First order loop
फिशर लूप चाचणी,Fisher loop test
स्थिर,Fixed
स्थिर attenuator,Fixed attenuator
निश्चित अभिमुखता,Fixed bias
निश्चित कॅल्क्युलेटर,Fixed counter
निश्चित क्षेत्र,Fixed field
असाइनमेंट मशीन,Fixed instruction machine
निश्चित वेळ नियंत्रक,Fixed timer
झेंडा,Flag
बाहेरील कडा,Flange
फडफड attenuator,Flap attenuator
चमक,Flash
ब्राइटनेस कन्व्हर्टर,Flash converter
चमक,Flashing
फ्लॅट फ्लोर स्कॅनिंग,Flat bed scanning
सपाट कॉइल,Flat coil
फ्लॅट फाइल,Flat file
सपाट फिल्टर,Flat filter
फ्लॅट पॅक,Flat pack
सपाट रिबन केबल,Flat ribbon cable
फ्लॅट टॉप सॅम्पलिंग,Flat-topped sampling
F-स्तर,F-layer
एफ-लेयर आयनोस्फीअर,F-layer ionosphere
फ्लेमिंग,Fleming
फ्लेमिंग आणि क्लिंटन विचलन पद्धत,Fleming and Clinton commutator method
फडफड,Flicker
फडफड आवाज,Flicker noise
फ्लटर फोटोमीटर,Flicker photometer
फ्लिप फ्लॉप,Flip flop
फ्लिप फ्लॉप असिंक्रोनस गुंतवणूक,Flip flop asynchronous input
फ्लिप फ्लॉप वैशिष्ट्ये,Flip flop characteristic
फ्लिप फ्लॉप कॉल सिग्नल,Flip flop clock signal
फ्लिप फ्लॉप टाइमलाइन,Flip flop clocked
फ्लिप फ्लॉप कोर-ट्रिगर,Flip flop edge-triggered
फ्लिप फ्लॉप jK ट्रिगर,Flip flop J-K triggered
फ्लिप फ्लॉप कुंडी,Flip flop latch
फ्लिप फ्लॉप मास्टर-स्लेव्ह,Flip flop master-slave
फ्लिप फ्लॉप RS,Flip flop R-S
फ्लिप फ्लॉप स्टार्टअप रीस्टार्ट सेट रीसेट (SR),Flip flop set reset (SR)
फ्लिप फ्लॉप सिंक्रोनस गुंतवणूक,Flip flop synchronous input
फ्लोटेशन चार्ज,Float charging
फ्लोट निर्मिती,Floating construction
फ्लोटिंग गेट,Floating gate
डिव्हेस्टिचर,Floating input
असंबद्ध भार,Floating load
असंबंधित स्रोत,Floating supply
पूर्ण रोषणाई,Flood lightening
फ्लॉपी,Floppy
फ्लॉपी डिस्क,Floppy disk
प्रवाह,Flow
प्रवाह चार्ट,Flow chart
ग्रेडियंट आकृती,Flow diagram
प्रवाह दिशा,Flow direction
प्रवाह ओळ,Flow line
फ्लोमीटर,Flow meter
FLT U2 फिल्टर,FLT-U2 filter
अनेकवचन क्षय प्रमेय,Fluctuation dissipation theorem
द्रव घर्षण ओलसर,Fluid friction damping
द्रव मजला,Fluid level
फ्लोरोसेन्स इफेक्ट ट्यूब,Fluorescence effect tube
फ्लोरोसेंट,Fluorescent
फडफड,Flutter
प्रवाह घनता,Flux density
फ्लक्स दरवाजा मॅग्नेटोमीटर,Flux gate magnetometer
प्रवाह बंधनकारक,Flux linkage
"फ्लक्स मीटर, फ्लक्स मीटर",Flux meter
फ्लक्स सोल्डर,Flux soldering
काउंटर इजा,Flyback
प्रतिक्रिया उच्च व्होल्टेज,Flyback high voltage
काउंटरकरंट ट्रान्सफॉर्मर,Flyback transformer
संचय प्रभाव,Flywheel effect
वारंवारता मॉड्यूलेशन डिजिटल डिटेक्टर,FM digital detector
फ्रिक्वेंसी मॉड्युलेशन पीक डिटेक्टर,FM peak detector
लिफाफा मॉड्युलेशन आर्ट अॅडेड लूप डिटेक्टर,FM phase locked loop detector
एफएम आवाज वारंवारता तार,FMVFT (FM voice frequency telegraph)
फोकल,Focal
लक्ष केंद्रित,Focus
फोकस कॅमेरा,Focus camera
फोकस एरर अॅम्प्लिफायर,Focus error amplifier
फोकस पिक्चर ट्यूब,Focus picture tube
फोकस सर्वो,Focus servo
फोकस आणि फॉलोअप,Focussing and tracking coil
लक्ष केंद्रित करा आणि शरीराचा पाठपुरावा करा,Focussing and tracking system
फॉइल-प्रकार गेज,Foil type guage
प्रथम क्रॅक,Foistbreakdown
फोल्ड बॅक व्होल्टेज लिमिटर,Fold back voltage limiting
व्हाईट लाइन मूल्य,Fold over value
वर्तमान लिमिटर परत फोल्ड करा,Fold back current limiting
दुमडलेला आर्किटेक्चर,Folded architecture
दुमडलेला द्विध्रुव,Folded dipole
दुमडलेला द्विध्रुव,Folded dipole
दुमडलेला घटक,Folded element
पिछाडीवर,Follower
फॉन्ट डिस्प्ले,Font for display
फूड प्रिंट,Foot print
निषिद्ध बँड,Forbidden band
निषिद्ध ऊर्जा अंतर,Forbidden gap energy
प्रतिबंधित क्षेत्र,Forbidden region
सक्ती,Force
प्रवर्तक कनवर्टर,Forced commutator
परदेशी वस्तू,Foreign object
फॉर्म फॅक्टर,Form factor
पृष्ठ भरा,Form feed
औपचारिक तर्क,Formal logic
स्वरूप क्रमांक,Format number
फोरट्रान,Fortran
अपघाती विकृती,Fortuitous distortion
फॉरवर्ड पूर्वाग्रह,Forward bias
फॉरवर्ड पूर्वाग्रह,Forward bias
फॉरवर्ड बायस संयुक्त,Forward biased junction
फॉरवर्ड ब्लॉकिंग स्टेट,Forward blocking state
फॉरवर्ड ब्रेक व्होल्टेज,Forward breakdown voltage
अग्रेषित त्रुटी सुधारणे,Forward error correction
फ्रंट लूप लाभ,Forward loop gain
समोरचा रस्ता लाभ,Forward path gain
फॉरवर्ड ध्रुवीयता,Forward polarity
पुढे चालकता,Forward trans conductance
फॉरवर्ड ट्रान्झिट वेळ,Forward transist time
फास्टर सिली विवेककर,Foster-Seely discriminator
चौपट एन्कोडिंग,Four bit coding
चतुष्पाद,Four inputs
क्वाड्रॅचर डिजिटल ट्रान्समिशन,Four state digital transmission
चतुर्भुज नेटवर्क,Four terminal network
चतुर्थांश नेटवर्क,Four terminal network
क्वाड ट्यूब कॅमेरा,Four tube camera
फोरियर गुणांक,Fourier coefficient
फूरियर एकत्रीकरण,Fourier integral
फोरियर उलटा,Fourier inverse
फोरियर मालिका,Fourier series
संसर्ग,Fourier transmission
फूरियर त्रिकोणमितीय मालिका,Fouriertrigonometric series
फोरियर प्रमेय,Fourier's theorem
चौपट उपकरण,Four-layer device
चतुर्थांश डायोड,Four-layer diode
मोबाइल पॉइंट प्रोसेसर,FPP (floating point processor)
फ्लोटिंग पॉइंट युनिट,FPU/floating point unit
फाइल बदलणे,FR (retriever a file)
अंशात्मक त्रुटी,Fractional error
विभेदक प्रेषण,Fractional transmissibility
फ्रेम,Frame
फ्रेम बफर चिप,Frame buffer chip
फ्रेम कॅप्चर,Frame capture
फ्रेम पासवर्ड,Frame code word
फ्रेम स्वरूप,Frame format
फ्रेम वारंवारता,Frame frequency
फ्रेम जमीन,Frame ground
फ्रेम सिंक्रोनस पॉइंट्स,Frame synchronising bit
फ्रेम सिंक्रोनाइझेशन,Frame synchronization
फ्रेम सिंक्रोनस सिग्नल,Frame synchronizing signal
फ्रँक कोड,Frank code
मुक्त इलेक्ट्रॉन,Free electron
मुक्त क्षेत्र,Free field
फ्री मूव्हिंग ऑसिलेटर,Free running oscillator
मुक्त अंतर प्रतिबाधा,Free space impedance
मोकळे अंतर,Free space path loss
फ्री मूव्हिंग मल्टीव्हायब्रेटर,Free-running multivibrator
वारंवारता,Frequency
वारंवारता,Frequency
वारंवारता,Frequency
वारंवारता,Frequency
वारंवारता संलग्न चॅनेल,Frequency adjacent channel
वारंवारता असाइनमेंट,Frequency allocation
वारंवारता बँड,Frequency bands
वारंवारता कनवर्टर,Frequency changer
वारंवारता भरपाई,Frequency compensation
वारंवारता भरपाई,Frequency compensation
वारंवारता नियंत्रित ऑसिलेटर,Frequency controlled oscillator
वारंवारता रूपांतरण,Frequency conversion
वारंवारता मॉड्यूलेशन,Frequency demodulation
वारंवारता शोधक,Frequency detector
वारंवारता विचलन,Frequency deviation
वारंवारता विचलन,Frequency deviation
वारंवारता भिन्नता,Frequency discrimination
वारंवारता भेदक,Frequency discriminator
वारंवारता विकृती,Frequency distortion
वारंवारता भिन्नता,Frequency diversity
वारंवारता विभाजक,Frequency divider
मल्टीप्लेक्सर वारंवारता विभाग,Frequency division multiplexing
वारंवारता दुप्पट,Frequency doubler
वारंवारता स्विचिंग,Frequency frogging
वारंवारता निर्मिती,Frequency generation
वारंवारता अवलंबून अँटेना,Frequency independent antenna
वारंवारता इंटरफेस,Frequency interface
वारंवारता हस्तक्षेप,Frequencyinterference
वारंवारता व्यस्त,Frequency inversion
वारंवारता मॉड्यूलेशन,Frequency modulation
वारंवारता मॉड्यूलेशन निर्देशांक,Frequency modulation index
वारंवारता मॉड्युलेटर,Frequency modulator
वारंवारता अरुंद बँड,Frequency narrow band
वारंवारता आवाज,Frequency noise
वारंवारता श्रेणी,Frequency range
वारंवारता प्रतिक्रिया मॉड्यूलेटर,Frequency reactance modulator
वारंवारता संदर्भ,Frequency reference
वारंवारता प्रतिसाद,Frequency response
वारंवारता प्रतवारी,Frequency scaling
वारंवारता ध्वनी सर्किट,Frequency sound circuit
वारंवारता स्पेक्ट्रम,Frequency spectrum
वारंवारता स्थिरता,Frequency stability
वारंवारता मानक,Frequency standards
वारंवारता दोष,Frequency swing
वारंवारता संश्लेषण,Frequency synthesis
वारंवारता संश्लेषण,Frequency synthesis
वारंवारता संश्लेषण ट्यूनिंग,Frequency synthesized tuning
वारंवारता व्होल्टेज बदल,Frequency to voltage conversion
वारंवारता ते व्होल्टेज कनवर्टर,Frequency to voltage converter
वारंवारता-व्होल्टेज कनवर्टर,Frequency to voltage converter
वारंवारता-व्होल्टेज कनवर्टर,Frequency to voltage converter
वारंवारता पत्करणे,Frequency tolerance
वारंवारता हस्तांतरण,Frequency translation
वारंवारता प्रसारण,Frequency transmission
वारंवारता ट्यूनर,Frequency tuner
वर्ण मॉड्युलेटर,Frequency varactor modulator
वारंवारता विस्तृत बँड,Frequency wide band
फ्रेस्नेल डिग्रेडेशन वारंवारता,Fresnel loss frequency
घर्षण त्रुटी,Friction error
वर्तुळ वर्ण,Fringing colour
समोर बोर्ड नियंत्रण,Front panel control
समोरचा पोर्च,Front porch
दंव बिंदू हायग्रोमीटर,Frost-point hygrometer
फाइल स्टोरेज,FS (saving a file)
फू मांचू व्हायरस,Fu Manchu virus
इंधन पंप हस्तक्षेप,Fuel pump interference
फुजी लवचिकता ऑपरेशन,Fugi hard disk drive
पूर्ण जोडणारा,Full adder
संपूर्णत: दुमजली,Full duplex
पूर्ण डुप्लेक्स सेटअप,Full duplex setting
पूर्ण डुप्लेक्स ट्रान्समिशन,Full duplex transmission
पूर्ण लोड व्होल्टेज,Full load voltage
पूर्ण शक्ती,Full power
पूर्ण पॉवर बँड विस्तार,Full power band width
परिपूर्ण स्केल विक्षेपण,Full scale deflection
पूर्ण स्क्रीन,Full screen
परिपूर्ण संयुग,Full substractor
पूर्ण गळती बफरिंग,Full track buffering
पूर्ण लहर,Full wave
पूर्ण वेव्ह ब्रिज रेक्टिफायर,Full wave bridge rectifier
पूर्ण लहर रेक्टिफायर,Function wave rectifier
फंक्शन कोड,Function code
फंक्शन जनरेटर,Function generator
फंक्शन लायब्ररी,Function library
फंक्शन स्विच,Function switch
कार्यात्मक अनुकरण,Functional simulator
मूळ,Fundamental
मूलभूत वारंवारता,Fundamental frequency
मूलभूत मोड,Fundamental mode
मूळ अनुनाद,Fundamental resonance
फ्यूज,Fuse
फ्यूज प्रभाव,Fuse effect
फ्यूज नकाशा,Fuse map
विद्रव्य दुवा,Fusible link
भविष्यातील कल,Future trend
"फजी लॉजिक, फजी लॉजिक",Fuzzy logic
"अस्पष्ट तर्क, बोगस तर्क",Fuzzy logic
फाइल काढणे,Fx (extracting a file)
पुनर्गुंतवणूक संवेदनशीलता,Feedback sensitivity
मिळवणे,Gain
मार्गदर्शित लेसर मिळवा,Gain guided laser
नफा मर्यादा,Gain margin
बँड विस्तार गुणाकार मिळवा,Gain-bandwidth product
संक्रमण वारंवारता मिळवा,Gain-cross over frequency
गॅलाघर कोड,Gallagar code
गॅलियम आर्सेनाइड,Galleium arsenide
गॅल्व्हॅनिक सेल,Galvanic cell
गॅल्व्हानोमीटर,Galvanometer
गॅल्वनाइज्ड रेकॉर्डर,Galvanometric recorder
गॅमा,Gamma
गॅमा-किरण,Gamma ray
आवाज ट्यूनिंग,Ganged tuning
मध्यांतर,Gap
गॅस विसर्जन दिवा,Gas discharge lamp
गॅस लेसर,Gas laser
"गेट, गेट",Gate
गेट अॅरे,Gate array
गेट अॅरे,Gate array
गेट कॅपेसिटन्स / गेट कॅपेसिटर,Gate capacitance
गेट इन्सुलेट,Gate insulation
गेट ऑसिलेटर,Gate oscillator
गेट सुरक्षा,Gate protection
गेट संरक्षण डायोड,Gate protection diode
गेट लॉक स्विच,Gate turn-off switch
गेट नियंत्रित स्विच,Gate-controlled switch
गेट पोस्टिंग नेटवर्क,Gate-lag network
गेट ऑक्साईड कॅपेसिटर,Gate-oxide capacitance
उघडताना त्रुटी,Gating error
गेज,Gauge
गेज गुणक,Gauge factor
गॉस मीटर,Gauss meter
गॉसियन घनता कार्य,Gaussian density function
गॉसियन प्रसार,Gaussian diffusion
गॉसियन वितरण,Gaussian distribution
गॉसियन वितरण,Gaussian distribution
गॉसियन आवाज,Gaussian noise
गॉसियन आवाज,Gaussian noise
गॉसियन प्रक्रिया,Gaussian process
गॉसियन नाडी,Gaussian pulse
गॉसियन कायदा,Gauss's law
गिग हर्ट्झ,Gega Hertz
सामान्य उद्देश प्रतिकार,General purpose resister
आवाज निर्माण केला,Generated noise
जनरेटर,Generator
"पालक, सामान्य",Generic
भौमितिक सरासरी,Geometric mean
