Kannada,English
ಕ್ರಿಪ್ಟೋಗ್ರಾಮ್,Cryptogram
ಕ್ಯುರಾಸ್,Cuirass
ಕ್ಯುರಾಸಿಯರ್,Cuirassier
ಆರಾಧನಾ ದೇವತೆ,Cult deity
ಕ್ಯೂರಿಯಾ,Curia
ಕ್ಯೂರಿಯಾ,Curia
ಜಾರಿಸಂ,Czarism
ಡಾರ್ಕ್ ಖಂಡ,Dark continent
ತೀರ್ಪಿನ ದಿನ,Day of judgement
ತೀರ್ಪಿನ ದಿನ,Day of judgement
ಡೀನ್,Dean
ದಶಕ,Decade
ಡೆನಾರಿಯಸ್,Denarius
ಪದಚ್ಯುತ ದೊರೆ,Deposed monarch
ಹಾಳುಮಾಡು,Despoil
ಹಾಳಾಗುವಿಕೆ,Despoilation
ಸಿಂಹಾಸನವನ್ನು ಇಳಿಸು,Dethrone
ಡೈಡೆಮ್,Diadem
ಡೈಡೆಮ್,Diadem
ಡೈಡೆಮ್,Diadem
ಡಯಾಸಿಯಾ,Diasia
ಡಿಕಾಸ್ಟರಿಯಮ್,Dicasterium
ಡಿಲುವಿಯಲಿಸ್ಟ್,Diluvialist
ಧರ್ಮಪ್ರಾಂತ್ಯ,Diocese
ಧರ್ಮಪ್ರಾಂತ್ಯ,Diocese
ಡೈರೆಕ್ಟರಿ (=ಡೈರೆಕ್ಟರಿ),Directoire (=Directry)
ಡೈರೆಕ್ಟರಿ (=ಡೈರೆಕ್ಟರಿ),Directoire (=Directry)
ದಿರ್ಹಮ್,Dirham
ವಿಶ್ವಾಸದ್ರೋಹಿ,Disloyal
ವಿಶ್ವಾಸದ್ರೋಹಿ,Disloyal
ವಿಳಂಬದ ಸಿದ್ಧಾಂತ,Doctrine of lapse
ಡಾಕ್ಯುಮೆಂಟ್,Document
ಸಾಕ್ಷ್ಯಚಿತ್ರ ಸಾಕ್ಷ್ಯ,Documentary evidence
ಡೋಮ್ಸ್‌ಡೇ ಪುಸ್ತಕ,Domesday Book
ಕಾನ್ಸ್ಟಂಟೈನ್ ಕೊಡುಗೆ,Donation of Constantine
ಡೂಮ್,Doom
ವರದಕ್ಷಿಣೆ ರಾಣಿ,Dowager queen
ಡ್ರ್ಯಾಗನ್,Dragoon
ಡ್ರೋಮೆಡಿಯನ್,Dromedarian
ಡ್ರೊಮೆಡರಿ,Dromedary
ಡ್ರೊಮಂಡ್,Dromond
ದ್ವಂದ್ವ,Dual
ಉಭಯ ಮೈತ್ರಿ,Dual alliance
ಡ್ಯುಯಲ್ ಎಂಟೆಂಟೆ,Dual entente
ಉಭಯ ವ್ಯವಸ್ಥೆ (=ದ್ವಿ ಸರ್ಕಾರ),Dual system (=dual government)
ಡ್ಯೂಕ್,Duke
ಡುಮಾ,Duma
ಕುಬ್ಜ ಅವತಾರ,Dwarf incarnation
ರಾಜವಂಶ,Dynasty
ರಾಜವಂಶ,Dynasty
ಹದ್ದು,Eagle
ಹಿರಿಯ ಮನುಷ್ಯ,Ealder man
ಅರ್ಲ್,Earl
ಅರ್ಲ್ಡಮ್,Earldom
ಆರಂಭಿಕ ಗುಪ್ತರು,Early Guptas
ಆರಂಭಿಕ (ಐತಿಹಾಸಿಕ) ತಾಣಗಳು,Early (historic) sites
ಆರಂಭಿಕ ವೇದ ಕಾಲ,Early Vedic period
ಎಕ್ಲೇಷಿಯಾ,Ecclesia
ಮರುಸ್ಥಾಪನೆಯ ಶಾಸನ,Edict of Restitution
ಎಂಟು ಪಟ್ಟು ಮಾರ್ಗ,Eight fold path
ಹಿರಿಯರು,Elders
ಹಿರಿಯ ರಾಜಕಾರಣಿ (=ಜೆರೋ),Elder statesman (=genro)
ಆನೆ ಮೇಡು,Elephant goad
ಹನ್ನೊಂದು ವರ್ಷಗಳ ದಬ್ಬಾಳಿಕೆ,Eleven Years' Tyranny
ಎಲಿಸೇ (=ಎಲಿಸೀ),Elysae (=Elysee)
ಆವರಣ ಚಳುವಳಿ,Enclosure Movement
ಎನ್ಸೈಕ್ಲಿಕಲ್,Encyclical
ಎನ್ಸೈಕ್ಲೋಪೀಡಿಸ್ಟ್ ಚಳುವಳಿ,Encyclopaedist movement
ಎಂಟೆಂಟೆ,Entente
ಎಂಟೆಂಟೆ ಕಾರ್ಡಿಯಾಲ್,Entente cordiale
ಸಿಂಹಾಸನ,Enthrone
ಪರಿವಾರ,Entourage
ಎಫೋಡ್,Ephod
ಎಫೋರ್,Ephor
ಮಹಾಕಾವ್ಯ ಯುಗ,Epic age
ಮಹಾಕಾವ್ಯದ ನಾಯಕ,Epic hero
ಎಪಿಗ್ರಾಫ್,Epigraph
ಎಪಿಸ್ಕೋಪಸಿ,Episcopacy
ಎಪಿಸ್ಕೋಪೇಟ್,Episcopate
ಸಂಚಿಕೆ,Episode
ಯುಗ,Epoch
ಯುಗ ನಿರ್ಮಾಣದ ಘಟನೆ,Epoch-making event
ಯುಗಪುರುಷ,Epoch-making man
ನಾಮಪದ,Eponym
ಇಕ್ವೆರಿ,Equerry
ಇಕ್ವೆರಿ,Equerry
ಅಶ್ವಾರೋಹಿ ಪ್ರತಿಮೆ,Equestrian statue
ಯುಗ,Era
ಎರ್ಗಸ್ಟುಲಮ್,Ergastulum
ಯೂಕರಿಸ್ಟ್,Eucharist
ಸುವಾರ್ತಾಬೋಧನೆ,Evangelicalism
ಇವಾಂಜೆಲಿಕಲ್ ಚಳುವಳಿ,Evangelical movement
ಸುವಾರ್ತಾಬೋಧಕ,Evangelist
ಎಕ್ಸಾರ್ಚ್,Exarch
ಎಕ್ಸಿಲಾರ್ಚ್,Exilarch
ಫಾಲಂಗಿಸ್ಟ್,Falangist
ತಂದೆ ಭೂಮಿ,Father land
ತಂದೆ ಭೂಮಿ,Father land
ಫೆರಿಯಾ,Feriae
ಫೆಟಿಶ್,Fetish
ಊಳಿಗಮಾನ್ಯ ಹಿಡುವಳಿಗಳು,Feudal holdings
ಊಳಿಗಮಾನ್ಯ ಪದ್ಧತಿ (=ಊಳಿಗಮಾನ್ಯ ಪದ್ಧತಿ),Feudalism (=feudal system)
ಊಳಿಗಮಾನ್ಯ ವ್ಯವಸ್ಥೆ,Feudal system
ಊಳಿಗಮಾನ್ಯ,Feudatory
ಫಿಡೆ ಡಿಫೆನ್ಸರ್ (=ನಂಬಿಕೆಯ ರಕ್ಷಕ),Fidei defensor (=Defender of the Faith)
ಫೈಫ್,Fief
ಕ್ಷೇತ್ರ ವ್ಯವಸ್ಥೆ,Field system
ಹದಿನೈದನೇ ತೆರಿಗೆ,Fifteenth tax
ಚಿತ್ರ ತಲೆ,Figure head
ಫಿನ್ ಡಿ ಸೈಕಲ್,Fin de siecle
ಬೆಂಕಿ ತಿನ್ನುವವನು,Fire eater
ಐದು ಮೈಲಿ ಕಾಯಿದೆ,Five Mile Act
ಧ್ವಜ,Flag
ಫ್ಲೇಮೆನ್ ಡಯಾಲಿಸ್,Flamen Dialis
ಫ್ಲೇಮೆನ್ ಮಾರ್ಟಿಯಾಲಿಸ್,Flamen Martialis
ಉರಿಯುವ ಟಾರ್ಚ್,Flaming torch
ಪಾರ್ಶ್ವ,Flank
ಪಾರ್ಶ್ವ ಚಲನೆ,Flanking movement
ಪ್ರವರ್ಧಮಾನಕ್ಕೆ ಬರುತ್ತಿರುವ ನಾಗರಿಕತೆ,Flourishing civilization
ಫ್ಲೂವಿಯಲಿಸ್ಟಿಕ್ ನಂಬಿಕೆ,Fluvialistic belief
ಜನಪದ ದೇವರು,Folk god
ಜನಪದ ದೇವತೆ,Folk goddess
ಜಾನಪದ ಸ್ಮರಣೆ,Folk memory
ಜಾನಪದ ಪುರಾಣ (=ಜಾನಪದ),Folk myth (=folklore)
ಆಹಾರ ಹುಡುಕುವುದು,Foraging
ಮುನ್ನುಗ್ಗಿ,Foray
ಮುಂದಾಳು,Forebear
ಪೂರ್ವಜ,Forefather
ಮುಂದಾಳು,Forerunner
ನಿರಾಶಾದಾಯಕ ಭರವಸೆ,Forlorn hope
ರಚನಾತ್ಮಕ ಹಂತ,Formative stage
ಕೋಟೆ,Fort
ಕೋಟೆ,Fortification
ಕೋಟೆಯ ಪಟ್ಟಣ,Fortified town
ಕೋಟೆ,Fortress
ಫಾರ್ಚುನಾ,Fortuna
ಫೋರಮ್ ರೋಮನಮ್,Forum Romanum
ಫ್ರಾನ್ಸಿಸ್ಕನ್,Franciscan
ಫ್ರಾಂಕ್ಲಿನ್,Franklin
ಭ್ರಾತೃಹತ್ಯಾ ಯುದ್ಧ,Fratricidal war
ಉಚಿತ ಚರ್ಚ್,Free Church
ಫ್ರೀಹೋಲ್ಡರ್,Freeholder
ಸ್ವತಂತ್ರ ಸೈನಿಕ,Freelance soldier
ಸ್ವತಂತ್ರ ಸೈನಿಕ,Freelance soldier
ಫ್ರೀಮನ್,Freeman
ಫ್ರೀಮನ್,Freeman
ಫ್ರೀಪಾಸ್,Freepass
ಫ್ರೆಂಚ್ ಕ್ರಾಂತಿ,French Revolution
ಫ್ರಿಯರ್,Friar
ಫ್ರೇಸಿಯನ್ ಕೂಲಿ ಸೈನಿಕರು,Friasian mercenaries
ಗಡಿನಾಡಿನ ಮನುಷ್ಯ,Frontier'a man
ಗ್ಯಾಲಿಯನ್,Galleon
ಗ್ಯಾಲಿಕನ್ (=ಗ್ಯಾಲಿಕಾನಿಸ್ಟ್),Gallican (=Gallicanist)
ಗ್ಯಾಲಿಕಾನಿಸಂ,Gallicanism
ಗ್ಯಾರಿಸನ್,Garrison
ಗೌಲ್,Gaul
ಗೌಂಟ್ಲೆಟ್,Gauntlet
ಗೌಂಟ್ಲೆಟ್,Gauntlet
ಗೆಜೆಬೋ,Gazebo
ಗೆಜೆಬೋ,Gazebo
ಗೆಜೆಬೋ,Gazebo
ವಂಶಾವಳಿಯ ಇತಿಹಾಸ,Genealogical history
ವಂಶಾವಳಿಯ ದಾಖಲೆ,Genealogical record
ವಂಶಾವಳಿಯ ಕೋಷ್ಟಕ,Genealogical table
ವಂಶಾವಳಿಯ ಮರ,Genealogical tree
ವಂಶಾವಳಿ,Genealogy
ವಂಶಾವಳಿ,Genealogy
ಪೀಳಿಗೆ,Generation
ನರಮೇಧ,Genocide
ಅನ್ಯಜಾತಿ,Gentile
ಅನ್ಯಜಾತಿ,Gentile
ಅನ್ಯಜಾತಿ,Gentile
ಅನ್ಯಜಾತಿ,Gentile
ಘೆಟ್ಟೋ,Ghetto
ಘೆಟ್ಟೋ,Ghetto
ಗಿಬೆಟ್,Gibbet
ಗಿಲ್ಡ್ (=ಗಿಲ್ಡ್),Gild (=guild)
ಗ್ಲಾಡಿಯೇಟರ್,Gladiater
ಅದ್ಭುತ ಕ್ರಾಂತಿ,Glorious Revolution
ಗೋಲ್ಡನ್ ಹಾರ್ಡ್,Golden Horde
ಮಹಾಮೈತ್ರಿಕೂಟ,Grand Alliance
ಗ್ರ್ಯಾಂಡಿ,Grandee
ಗ್ರ್ಯಾಂಡ್ ಸಿಗ್ನರ್,Grand Signor
ಗ್ರ್ಯಾಂಡ್ ಸಿಗ್ನರ್,Grand Signor
ಮಹಾ ಅಂತರ್ಯುದ್ಧ,Great Civil War
ಮಹಾ ನಿರ್ಗಮನ (ಬುದ್ಧನ),Great Departure (of Buddha)
ಬೃಹತ್ ಭಾರತ,Greater India
ಗ್ರೇಟ್ ಹೆಲ್ಲಾಸ್,Great Hellas
ಗ್ರೇಟ್ ಹೋರ್ಡ್,Great Horde
ಮಹಾತ್ಯಾಗ (=ಮಹಾನ್ ನಿರ್ಗಮನ),Great Renunciation (=great departure)
ಗ್ರೇಟ್ ಸೀಲ್,Great Seal
ಗ್ರೇಟ್ ಟ್ರ್ಯಾಕ್,Great Trak
ದೊಡ್ಡ ವಾಹನ,Great Vehicle
ಚೀನಾದ ಮಹಾಗೋಡೆ,Great Wall of China
ಗ್ರೀವ್,Greave
ಗಾರ್ಡ್-ಚೇಂಬರ್,Guard-chamber
ಗಾರ್ಡ್-ಚೇಂಬರ್,Guard-chamber
ಗಾರ್ಡ್-ಚೇಂಬರ್,Guard-chamber
ಗುಪ್ತರು,Guptas
ಹ್ಯಾಜಿಯೋಗ್ರಫಿ,Hagiography
ಹ್ಯಾಜಿಯೋಗ್ರಫಿ,Hagiography
ಹ್ಯಾಜಿಯಾಲಜಿ,Hagiology
ಹ್ಯಾಜಿಯಾಲಜಿ,Hagiology
ಖಾಸಗಿ ಪ್ರೇಕ್ಷಕರ ಹಾಲ್,Hall of private audience
ಸಾರ್ವಜನಿಕ ಪ್ರೇಕ್ಷಕರ ಸಭಾಂಗಣ,Hall of public audience
ಹ್ಯಾಚ್ಮೆಂಟ್,Hatchment
ಹೀತೆನ್,Heathen
ಹೀಥೆನ್,Heathen
ಹೀಥೆನಿಸಂ,Heathenism
ಹೆಗಿರಾ (ಹೆಜೆರಾ),Hegira (Hejera)
ಹೆಲೆನಿಸಂ,Hellenism
ಹೆಲೋಟ್,Helot
ಹೆರಾಲ್ಡ್ರಿ,Heraldry
ಪರಂಪರೆ,Heritage
ಚಿತ್ರಲಿಪಿಯ ರೇಖೀಯ ಅಕ್ಷರಗಳು,Hieroglyphic linear characters
ಚಿತ್ರಲಿಪಿ ಲಿಪಿ,Hieroglyphic script
ಹೈ ಚರ್ಚ್,High Church
ಹೈ ಲ್ಯಾಂಡರ್,High Lander
ಹಿಂದೂ ಧರ್ಮ,Hinduism
ಇತಿಹಾಸಕಾರ,Historian
ಇತಿಹಾಸಕಾರ,Historian
ಐತಿಹಾಸಿಕ ಭೌತವಾದ,Historical materialism
ಐತಿಹಾಸಿಕ ಯುಗ,Historic era
ಐತಿಹಾಸಿಕ ಗಡಿ,Historic frontier
ಇತಿಹಾಸಕಾರ,Historiographer
ಇತಿಹಾಸಕಾರ,Historiographer
ಇತಿಹಾಸಶಾಸ್ತ್ರ,Historiography
ಇತಿಹಾಸಶಾಸ್ತ್ರ,Historiography
ಇತಿಹಾಸ,History
ಹಿಟ್ಟೈಟ್ ಸಾಮ್ರಾಜ್ಯ,Hittite empire
ಪವಿತ್ರ ಮೈತ್ರಿ,Holy Alliance
ಪವಿತ್ರ ನಗರ,Holy city
ಪವಿತ್ರ ನಗರ,Holy city
ಪವಿತ್ರ ಭೂಮಿ,Holy land
ಪವಿತ್ರ ಭೂಮಿ,Holy land
ಹೋಲಿ ಲೀಗ್,Holy League
ಹೋಲಿ ಲೀಗ್,Holy League
ಪವಿತ್ರ ರೋಮನ್ ಸಾಮ್ರಾಜ್ಯ (=ಸಾಮ್ರಾಜ್ಯ),Holy Roman Empire (=The Empire)
ಪವಿತ್ರ ಸಮುದ್ರ,Holy Sea
ಪವಿತ್ರ ಸಮುದ್ರ,Holy Sea
ಪವಿತ್ರ ಯುದ್ಧ,Holy war
ಪವಿತ್ರ ಯುದ್ಧ,Holy war
ಗೃಹ ಸರ್ಕಾರ,Home Government
ಗೃಹರಕ್ಷಕ,Home Guard
ತಾಯ್ನಾಡು,Homeland
ಗೃಹ ನಿಯಮ,Home rule
ಹೋಮ್ ರೂಲ್,Home Rule
ತಂಡ,Horde
ತಂಡ,Horde
ಪ್ರತಿಕೂಲ ದೇಶ,Hostile country
ಪ್ರತಿಕೂಲ ಭೂಮಿ,Hostile land
ಬಿಸಿ ಅನ್ವೇಷಣೆ,hot pursuit
ಮನೆ,House
ಮನೆ,House
ಹೌಸ್ ಆಫ್ ಕಾಮನ್ಸ್,House of Commons
ಹೌಸ್ ಆಫ್ ಲಾರ್ಡ್ಸ್,House of Lords
ಹೌಸ್ ಆಫ್ ರೆಪ್ರೆಸೆಂಟೇಟಿವ್ಸ್,House of Representatives
ಹುಗೆನೋಟ್ಸ್,Huguenots
ಮಾನವತಾವಾದ,Humanism
ಮಾನವತಾವಾದಿ,Humanist
ಹಂಡ್ರೆಡ್ ಯೆಸರ್ಸ್ ವಾರ್,Hundred Yesrs' War
ಹಂಕರ್,Hunker
ಇಬಾದತ್ ಖಾನಾ (ಆರಾಧನೆಯ ಮನೆ),Ibadat Khana (House of Worship)
ಐಕಾನೊಕ್ಲಾಸ್ಟ್,Iconoclast
ವಿಗ್ರಹಾರಾಧಕ,Idolater
ಇಲಾಹಿ ಯುಗ,Ilahi era
ಕಾನೂನುಬಾಹಿರ ಯುದ್ಧ,Illegal war
ಪ್ರಕಾಶಿತ ಹಸ್ತಪ್ರತಿ,Illuminated manuscript
ಸಚಿತ್ರ ಹಸ್ತಪ್ರತಿ,Illustrated manuscript
ಸಚಿತ್ರ ಹಸ್ತಪ್ರತಿ,Illustrated manuscript
ಇಮಾಮ್ (ಇಮ್ಮಾಮ್),Imam (Immaum)
ಇಮಾಮತ್,Imamate
ಇಮಾಮತ್,Imamate
ಇಮಾಂಬರಃ,Imambarah
ಸಾಮ್ರಾಜ್ಯಶಾಹಿ,Imperial
ಇಂಪೀರಿಯಲ್ ನಗರ,Imperial city
ಸಾಮ್ರಾಜ್ಯಶಾಹಿ,Imperialism
ಸಾಮ್ರಾಜ್ಯಶಾಹಿ ಆದ್ಯತೆ,Imperial preference
ಅಸಮರ್ಥತೆ,Impolicy
ವಂಚಕ,Impostor
ಸೆರೆವಾಸ,Imprisonment
ಸೆರೆವಾಸ,Imprisonment
ಆಕ್ರಮಣ,Incursion
ಆಕ್ರಮಣಕಾರ,Incursionist
ಸ್ವಾತಂತ್ರ್ಯ,Independence
ಸ್ವಾತಂತ್ರ್ಯ ದಿನ,Independence day
ಸ್ವಾತಂತ್ರ್ಯ ಸಭಾಂಗಣ,Independence Hall
ಇಂಡಿಯನ್ ಅಮೆರಿಯನ್ (=ರೆಡ್ ಇಂಡಿಯನ್=ಅಮೇರಿಕನ್ ಇಂಡಿಯನ್),Indian Amerian (=Red Indian=American Indian)
ಇಂಡಿಯನ್ ಹೋಮ್ ರೂಲ್ ಲೀಗ್,Indian Home Rule League
ಕೈಗಾರಿಕಾ ಕ್ರಾಂತಿ,Industrial Revolution
ನಾಸ್ತಿಕ,Infidel
ನಾಸ್ತಿಕ,Infidel
ಒಳನುಸುಳುವಿಕೆ,Infiltration
ಒಳನುಸುಳುವವನು,Infiltrator
ಮಾಹಿತಿದಾರ,Informant
ಮಾಹಿತಿದಾರ,Informant
ಮಾಹಿತಿದಾರ,Informer
ಮಾಹಿತಿದಾರ,Informer
ಪ್ರವೇಶ,Ingress
ಪ್ರವೇಶ,Ingress
ಪ್ರವೇಶ,Ingress
ವಾಸಸ್ಥಾನ,Inhabitance
ನಿವಾಸಿ,Inhabitant
ಆನುವಂಶಿಕತೆ,Inheritance
ಆನುವಂಶಿಕತೆ,Inheritance
ಆನುವಂಶಿಕತೆ,Inheritance
ಶಾಸನ,Inscription
ಲಾಂಛನ,Insignia
ಪ್ರವೇಶದ ಉಪಕರಣ,Instrument of Accession
ಸರ್ಕಾರದ ಉಪಕರಣ,Instrument of Government
ದಂಗೆ (ದಂಗೆ),Insurgence (insurgency)
ದಂಗೆಕೋರ,Insurgent
ದಂಗೆ,Insurrection
ದಂಗೆ,Insurrection
ಏಕೀಕರಣ,Integration
ದಾಖಲೆಗಳ ಸಮಗ್ರತೆ,Integrity of records
ರಾಜ್ಯಗಳ ಸಮಗ್ರತೆ,Integrity of states
ಬುದ್ಧಿಜೀವಿಗಳು (ಬುದ್ಧಿವಂತರು),Intelligentsia (Intelligentzia)
ಮಧ್ಯಸ್ಥಿಕೆ,Intercession
ಮಧ್ಯಸ್ಥಗಾರ,Intercessor
ಮಧ್ಯವರ್ತಿ,Intermediary
ಅಂತರಾಷ್ಟ್ರೀಯತೆ,Internationalism
ಅಂತರಾಷ್ಟ್ರೀಯತೆ,Internationalism
ಅಂತರಾಷ್ಟ್ರೀಯವಾದಿ,Internationalist
ಆಂತರಿಕ ಯುದ್ಧ,Internecine war
ಇಂಟರ್ನಿ,Internee
ಇಂಟರ್ನಿ,Internee
ಇಂಟರ್ನಿ ಶಿಬಿರ,Internee camp
ಅಂತಃಕರಣ,Internment
ಅಂತಃಕರಣ,Internment
ಅಂತಃಕರಣ,Internment
ಇಂಟರ್‌ನನ್ಸಿಯೋ,Internuncio
ಇಂಟರ್ಪ್ರಿಟರ್,Interpreter
ಇಂಟರ್ಪ್ರಿಟರ್,Interpreter
ಇಂಟರ್ಪ್ರಿಟರ್,Interpreter
ಹಸ್ತಕ್ಷೇಪ,Intervention
ಕರುಳುವಾಳ,Intestacy
ಕರುಳು,Intestate
ಒಳಸಂಚು,Intrigue
ಒಳನುಗ್ಗುವವರು,Intruder
ಒಳನುಗ್ಗುವವರು,Intruder
ಒಳನುಗ್ಗುವಿಕೆ,Intrusion
ಆಕ್ರಮಣ,Invasion
ಆಕ್ರಮಣ,Invasion
ಹೂಡಿಕೆ ಮಾಡಿ,Invest
ಹೂಡಿಕೆ ಮಾಡಿ,Invest
ಹೂಡಿಕೆ ಮಾಡಿ,Invest
ಹೂಡಿಕೆ ಮಾಡಿ,Invest
ಹೂಡಿಕೆ,Investiture
ಹೂಡಿಕೆ,Investiture
ಹೂಡಿಕೆ,Investiture
ಹೂಡಿಕೆ ಸಮಾರಂಭ,Investiture ceremony
ರಾಷ್ಟ್ರೀಯತೆಯೊಂದಿಗೆ ಹೂಡಿಕೆ ಮಾಡಿ,Invest with nationality
ಅಜೇಯ ನೌಕಾಪಡೆ,Invincible Armada
ಉಲ್ಲಂಘನೆ (ರಾಜ್ಯದ),Inviolateness (of state)
ಉಲ್ಲಂಘಿಸುವ ಸ್ಥಿತಿ,Inviolate state
ಅವೇಧನೀಯ ಕೋಟೆ,Invulnerable castle
ಕಬ್ಬಿಣದ ಯುಗ,Iron age
ಕಬ್ಬಿಣದ ಪರದೆ,Iron curtain
ಕಬ್ಬಿಣದ ಕಾವಲು,Iron guard
ಕಬ್ಬಿಣದ ಪಡಿತರ,Iron rations
ಕಬ್ಬಿಣದ ಬದಿಗಳು,Iron sides
ಕಬ್ಬಿಣದ ತುದಿಯ ಬಾಣ,Iron tipped arrow
ಇಸ್ತಮಿಯನ್ ಆಟಗಳು,Isthmian games
ಜನಿಸರಿ,Janissary
ದ್ವಾರಪಾಲಕ,Janitor
ದ್ವಾರಪಾಲಕ,Janitor
ಜಾವೆಲಿನ್,Javelin
ಜಿಮ್ ಕ್ರೌ ಕಾನೂನುಗಳು,Jim Crow Laws
ಜಿಂಗೊ,Jingo
ಜಿಂಗೊ,Jingo
ಜಿಂಗೊ,Jingo
ಜಿಂಗೋಯಿಸಂ,Jingoism
ಜಂಟಿ ಕ್ರಿಯೆ,Joint action
ಜಂಟಿ ನಿಯಂತ್ರಣ,Joint control
ಜಂಟಿ ಆಕ್ಯುಪೆನ್ಸಿ,Joint occupancy
ತೀರ್ಪುಗಾರರು,Jury
ಕೇವಲ ಕಾರಣ,Just cause
ಇರಿಸಿಕೊಳ್ಳಿ,Keep
ಆರ್ಕೈವ್ಸ್ ಕೀಪರ್,Keeper of Archives
ಕೆಟಲ್-ಡ್ರಮ್,Kettle-drum
ಪ್ರಮುಖ ಪದ,Key word
ರಾಜ,King
ಸಾಮ್ರಾಜ್ಯ,Kingdom
ಕಿಂಗ್ಲೆಟ್,Kinglet
ಕಿಂಗ್ ಮೇಕರ್,King maker
ರಾಜತ್ವ,Kingship
ರಾಜತ್ವ,Kingship
ಕಿಚನ್ ಕ್ಯಾಬಿನೆಟ್,Kitchen cabinet
ನೈಟ್,Knight
ರಾಜತ್ವ,Kinghthood
ಕಿಂಗ್ಟ್ಸ್ ಆಸ್ಪತ್ರೆಗಳು,Kinghts hospitalers
ನೈಟ್ಸ್ ಆಫ್ ಸೇಂಟ್ ಜಾನ್,Knights of Saint John
ನೈಟ್ ಟೆಂಪ್ಲರ್,Knight Templar
ಕು ಕ್ಲಕ್ಸ್ ಕ್ಲಾನ್ (ಕೆಕೆಕೆ),Ku Klux Klan (K.K.K.)
ಕುಮಿಂಟಾಂಗ್,Kumintang
ಲೌಕಿಕ,Laity
ಲ್ಯಾನ್ಸ್,Lance
ಲ್ಯಾನ್ಸರ್,Lancer
ನಂತರ ಗುಪ್ತರು,Later Guptas
ಕಾನೂನುಬದ್ಧ ಉತ್ತರಾಧಿಕಾರಿ,Lawful heir
ಕಾನೂನುಬಾಹಿರತೆ (=ಅಸ್ವಸ್ಥತೆ),Lawlessness (=disorder)
ಕಾನೂನುಬಾಹಿರತೆ (=ಅಸ್ವಸ್ಥತೆ),Lawlessness (=disorder)
ಕಾನೂನು ಪ್ರಭುಗಳು,Law lords
ಧರ್ಮನಿಷ್ಠೆಯ ಕಾನೂನು,Law of Piety
ಲೀಗ್ ಆಫ್ ನೇಷನ್ಸ್,League of Nations
ಪರಂಪರೆ (=ಬಿಕ್ವೆಸ್ಟ್),Legacy (=bequest)
ಪರಂಪರೆ (=ಬಿಕ್ವೆಸ್ಟ್),Legacy (=bequest)
ಕಾನೂನು ಉತ್ತರಾಧಿಕಾರಿ,Legal heir
ಕಾನೂನುಬದ್ಧ,Legate
ಕಾನೂನುಬದ್ಧ,Legate
ಕಾನೂನುಬದ್ಧ,Legate
ದಂತಕಥೆ,Legend
ದಂತಕಥೆ,Legend
ಲೀಜನ್,Legion
ಲೀಜನ್,Legion
ಲೀಜನ್ ಆಫ್ ಆನರ್,Legion of Honour
ಲೆಸ್ ಮೆಜೆಸ್ಟಿ (=ಲೆಸ್ ಮೆಜೆಸ್ಟೆ),Lese majesty (=lese majeste)
ಕಡಿಮೆ ರಾಜ್ಯಗಳು,Lesser states
ರುಜುವಾತು ಪತ್ರಗಳು,Letters of credence
ಲೀಜ್-ಲಾರ್ಡ್,Liege-lord
ಲೀಜ್ ಮನುಷ್ಯ,Liege man
ಲೀಜ್ ಮನುಷ್ಯ,Liege man
ಜೀವಾವಧಿ ಶಿಕ್ಷೆ,Life imprisonment
ವಂಶಾವಳಿ,Lineage
ಲಿಟಲ್ ಇಂಗ್ಲೆಂಡರ್,Little Englander
ಚಿಕ್ಕ ವಾಹನ (=ಕಡಿಮೆ ವಾಹನ),Little Vehicle (=lesser vehicle)
ಸಮುದ್ರತೀರ ರಾಜ್ಯ,Littoral state
ಪ್ರಾರ್ಥನೆಗಳು,Liturgies
ಧರ್ಮಾಚರಣೆ,Liturgy
ಸ್ಥಳೀಯ ನಿಷ್ಠೆ,Local allegiance
ಸ್ಥಳೀಯ-ಸ್ವಯಂ ಸರ್ಕಾರ,Local-self government
ದೀರ್ಘ ಸಂಸತ್ತು,Long Parliament
ಕಡಿಮೆ ದೇಶಗಳು,Low Countries
ನಿಷ್ಠಾವಂತ,Loyal
ನಿಷ್ಠೆ,Loyalty
ಮ್ಯಾಕಿಯಾವೆಲಿಯನ್ ನೀತಿ,Machiavellian policy
ಮ್ಯಾಗ್ನ ಕಾರ್ಟ,Magna Carta
ಮ್ಯಾಗ್ನಮ್ ಕಾನ್ಸಿಲಿಯಮ್,Magnum Concillium
ಮಾಲುಮ್ ನಿಷೇಧ,Malum prohibitum
ಮ್ಯಾಂಡಮಸ್,Mandamus
ಆದೇಶ,Mandate
"ಆದೇಶ, ವರ್ಗ &#39;ಎ&#39;","Mandate, class 'A'"
"ಆದೇಶ, ವರ್ಗ &#39;ಬಿ&#39;","Mandate, class 'B'"
"ಆದೇಶ, ವರ್ಗ &#39;ಸಿ&#39;","Mandate, class 'C'"
ಆದೇಶ ವ್ಯವಸ್ಥೆ,Mandate system
ಕಡ್ಡಾಯ ರಾಜ್ಯ,Mandatory state
ಮ್ಯಾಂಗೋನೆಲ್,Mangonel
ಪ್ರಣಾಳಿಕೆ,Manifesto
ಕುಶಲತೆಗಳು,Manoeuvres
ಮ್ಯಾನ್ ಆಫ್ ವಾರ್,Man-of-war
ಮ್ಯಾನರ್,Manor
ಮ್ಯಾನರ್,Manor
ಮಾನವ ಶಕ್ತಿ,Man-power
