English,Tamil
Emitter characteristics,உமிழும் பண்புகள்
Emitter coupled amplifier,உமிழ்ப்பான் இணைந்த பெருக்கி
Emitter diffusion,உமிழ்ப்பான் பரவல்
Emitter follower,உமிழ்ப்பான் பின்னிணைப்பு
Emitter resister,உமிழ்ப்பான் மின்தடை
Emitter stabilized bias configuration,உமிழ்ப்பான் நிலைப்படுத்தப்பட்ட நோக்குநிலை கட்டமைப்பு
Emitter-base junction,உமிழ்ப்பான் அடிப்படை சந்திப்பு
Emitter-coupled logic (ECL),"உமிழ்ப்பான் இணைந்த தர்க்கம், ECL"
Emulator,இயந்திரமயமாக்கப்பட்டது
Enable,செயல்படுத்த
Encapsulation,அடைப்பு
Encoder,கொடித்ரா
Encryption,குறியாக்கம்
End around carry,வட்ட ஆதாயம்
End of conversion (EOC),மாற்றம்
End of file (EOF),அமைப்பு ரீதியான
End-around shift,வட்ட இடப்பெயர்ச்சி
End-fire antenna,நீளமான ஆண்டெனா
End-fire arrays,நீளமான வரிசை
Energy,ஆற்றல்
Energy band,ஆற்றல் பட்டை
Energy gap,பட்டை இடைவெளியை
Energy level,ஆற்றல் நிலை
Energy level diagram,ஆற்றல் நிலை வரைபடம்
Enhanced expanded memory specification (EEMS),மேம்படுத்தப்பட்ட விரிவாக்கப்பட்ட நிறை விவரக்குறிப்பு
Enhanced graphics adapter (EGA),அதிகரிக்கப்பட்ட கட்டுரைப் பதிவாளர்
Enhancement,வளர்ச்சி
Enhancement type,வளர்ச்சி முறை
Enhancement typeMOSFET,மேம்படுத்தப்பட்ட Mosfet
Entropy,என்ட்ரோபி
Envelope demodulator,உறை demodulator
Environment,சூழல்
Epitaxial growth,"எபிடாக்ஸி வளர்ச்சி, ஏறுமுக வளர்ச்சி"
Epitaxial layer,"எபிட்ராசியல் அடுக்கு, ஏறுவரிசை அடுக்கு"
Epitaxy,"எபிடாக்ஸி, மேலெழுதுதல்"
Epoxy-fiber glass laminate,எபோக்சி-ஃபைபர் கண்ணாடி நிலை
EPROM,EP-ROM
Epsilon,எப்சிலான்
Equalisation,சமப்படுத்துதல்
Equalising circuit,சமநிலை சுற்று
Equality,சமத்துவம்
Equalization,சமன்பாடு
Equalizer filter,சமநிலை வடிகட்டி
Equation,சமன்பாடு
Equatorial plane,பூமத்திய ரேகை விமானம்
Equipotential line,ஐசோபோடென்ஷியல் கோடு
Equipotential surface,equipotential பக்கம்
Equivalent circuit,சமமான சுற்று
Equivalent input noise generator,சமமான உள்ளீடு இரைச்சல் ஜெனரேட்டர்
Equivalent input noise resistance,சமமான உள்ளீடு இரைச்சல் எதிர்ப்பு
Equivalent isotropic radiated power (ETRP),சமமான ஐசோடோபிக் கதிர்வீச்சு சக்தி
Erase,அழி
Ergodic process,ஆற்றல் செயல்முறை
Error control coding,பிழை கட்டுப்பாட்டு குறியீட்டு முறை
Error correcting code,பிழை திருத்தம் குறியீடு
Error detecting code,பிழை கண்டறிதல் குறியீடு
Error handling,பிழை கையாளுதல்
Error rate,பிழை விகிதம்
Error voltage,பிழை மின்னழுத்தம்
Error amplifier,பிழை பெருக்கி
ESAKI diode,இசக்கி டையோடு
Etching,பொறித்தல்
Ethernet,ஈதர்நெட்
Euler's Theorem,யூலரின் தேற்றம்
Evanescent mode,வீச்சு குறைப்பு முறை
Evaporation process,ஆவியாதல் செயல்முறை
E-vector,மின் திசையன்
Even parity,சமத்துவம்
Exception handling,விதிவிலக்கு கையாளுதல்
Excess noise ratio (ENR),கூடுதல் இரைச்சல் விகிதம்
Excess-3-code,மூன்று குறியீடு
Excitation table,தூண்டுதல் அட்டவணை
Exclusive-OR-gate,எதிரொலி XOR வாயில்
Executions software,செயல்படுத்தும் மென்பொருள்
Executions speed,மரணதண்டனை நகர்வு
Executions time,செயல்படுத்தும் நேரம்
EX-NOR gate (exclusive NOR),பிரத்தியேக நார் கேட்
Expander,ஒளிபரப்பாளர்
Exponential decay,அதிவேக சிதைவு
Exponential diode,அதிவேக டையோடு
Exponential fourier series,அதிவேக ஃபோரியர் தொடர்
Exponential function,அதிவேக செயல்பாடு
External frequency compensation,வெளிப்புற அதிர்வெண் எதிர்ப்பு
Extremely high frequency (EHF),மிக அதிக அதிர்வெண்
Extremely high tension (EHT),உயர் திறன்
Extremely low frequency (ELF),மிகக் குறுகிய அதிர்வெண்
Extrinsic semiconductor,கடத்தாத குறைக்கடத்தி
F.O. (opening a file),திறந்த கோப்பு
Fabrication of semiconductor,குறைக்கடத்தி உற்பத்தி
Fabry-pirot resonator,ஃபேப்ரி பெரோ ரெசனேட்டர்
Face,குழு
Factor,பெருக்கி
Factorial,காரணியான
Fade out,லாகுனா
Fading,தணிவு
Fading,தணிவு
FAHY simplex permeability meter,ஃபாஹி ஒருதலைப்பட்ச ஊடுருவல் அளவிடுபவர்
Failure,தோல்வி
Failure mode,தோல்வி முறை
Failure rate,தோல்வி விகிதம்
Fair child semiconductors,சிகப்பு குழந்தை செமிகண்டக்டர்
Fall time,வீழ்ச்சி காலம்
Falling clock edge,பதி கலாட் கோர்
Falling edge,பேட் கோர்
Fallout,சரிவு
FALSE,பொய்
Fan fold paper,மடித்த காகிதம்
Fan-in,உள்ளீடு
Fan-out,வெளியீட்டு எண்
Farad,ஃபாரட்
Faraday effect,ஃபாரடே விளைவு
Faraday rotation,ஃபாரடே சுழற்சி
Faraday screen,ஃபாரடே திரை
Faraday's constant,ஃபாரடே மாறிலி
Faraday's law,ஃபாரடேயின் சட்டம்
Facsimile,பிரதி
Facsimile receiver,பிரதி பெறுபவர்
Facsimile transmitter,பிரதி தொடர்பாளர்
Facsinite,பிரதி
Facsinite signal,பிரதி சமிக்ஞை
Fast edge,கூர்மையான கோர்
Fast fourier transform,விரைவான நான்கு உருமாற்றம்
Fast recovery rectifier,கப்பல் ரசீது டிங்காரி
FAT (file allocation table),கோப்பு ஒதுக்கீடு அட்டவணை
Fatal error,கொடிய பிழை
Father file,பெற்றோர் கோப்பு
Fau-in,உள்ளீடு
Fault,"தவறு, தவறு"
Fault analysis,தவறு பகுப்பாய்வு
Fault grading,தவறு மதிப்பீடு
Fault localization,தவறு உள்ளூர்மயமாக்கல்
Fault localizing bridge,உள்ளூர் பாலத்தின் தவறு
Fault node toggle,தவறு வடிகட்டி மாற்று
Fault tolerance,வீழ்ச்சி சகிப்புத்தன்மை
Fauo's alogrithm,ஃபேனோவின் அல்காரிதம்
Fau-out,வெளியீட்டு எண்
Fau-out tree,வெளியீடு எண் மரம்
Fax,தொலைநகல்
Fc (combining file),கோப்பு கலவை
F-connector,எஃப் இணைப்பான்
FDM (frequency division multiplexer),அதிர்வெண் பிரிவு மல்டிபிளெக்சர்
FEC code,FEC குறியீடு
Federal communications commission (FCC),ஃபெடரல் கம்யூனிகேஷன்ஸ் கமிஷன்
Feedback loop gain,மறு முதலீட்டு வளைய ஆதாயம்
Feebly magnetic material,வலுவிழந்த காந்தப் பொருள்
Feed,உள்ளீடு
Feed back gain,மறு முதலீட்டு மகசூல்
Feed through loss,வாழ்வாதார இழப்பு
Feedback,மறு முதலீடு
Feedback amplifier,மறு முதலீட்டு பெருக்கி
Feedback amplifier distortion,மறு அறிமுகம் சிதைவு
Feedback block diagram,மறு முதலீட்டுத் தொகுதி வரைபடம்
Feedback current diagram,மறுமுதலீடு ஸ்ட்ரீம் வரைபடம்
Feedback loop,மறுசீரமைப்பு வளையம்
Feedback oscillator,மறுமுதலீடு ஆஸிலேட்டர்
Feedback racing,மறு முதலீட்டு இனம்
Feedback shift-register,மறுமுதலீடு இடப்பெயர்ச்சிப் பதிவு
Feedback theory diagram,மறு முதலீட்டு கொள்கை வரைபடம்
Feedback voltage diagram,மறு அறிமுகம் மின்னழுத்த வரைபடம்
Fermi level,ஃபெர்மி நிலை
Ferric induction,பெர்ரிக் தூண்டி
Ferrite,ஃபெரைட்
Ferrite antenna,ஃபெரைட் ஆண்டெனா
Ferrite bealt,ஃபெரைட் களை
Ferrite circulator,ஃபெரைட் ஸ்பின்னர்
Ferrite isolator,ஃபெரைட் பிரிப்பான்
Ferrite line width,ஃபெரைட் வரி நீட்டிப்பு
Ferrite-core transformer,ஃபெரைட்-கோர் மின்மாற்றி
Ferro-chrome tape,ஃபெரோ குரோம் டேப்
Ferromagnetism,ஃபெரோ காந்தவியல்
FET,விதி
FET (field-effect transistor),ஃபீல்டு எஃபெக்ட் டிரான்சிஸ்டர் (FET)
FET amplifier,கொழுப்பு பூஸ்டர்
FET complementary symmetry,fret complement symmetry
FET depletion mode,கொழுப்பு குறைப்பு முறை
FET dual gate,"விதி இருமை வாயில், இருமை வாயில்"
FET enhancement mode,கொழுப்பு வளர்ச்சி முறை
FET frequency response,fret அதிர்வெண் பதில்
FET graphical analysis,கொழுப்பு கிராஃபிக் பகுப்பாய்வு
FET input protection,ஃபேட் இன்வெஸ்ட்மென்ட் பாதுகாப்பு
FET inverter,கொழுப்பு தலைகீழ்
FET junction,விதி ஒப்பந்தம்
FET MOSFET,கொழுப்பு மொஸ்ஃபெட்
FET trans conductance,கொழுப்பு கடத்துத்திறன்
Fetch time,உறக்க நேரம்
FI (importing a file),கோப்பு இறக்குமதி
Fiber,நார்ச்சத்து
Fiber connector,ஃபைபர் இணைப்பு
Fiber distributed data interface (FDDI),ஃபைபர் விநியோகிக்கப்பட்ட தரவு இடைமுகம்
Fiber glass,இழை கண்ணாடி
Fiber optic link,ஃபைபர் ஆப்டிக் இணைப்பு
Fiber optics propagation window,ஃபைபர் ஆப்டிக்ஸ் டிரான்ஸ்மிஷன் சாளரம்
Fiber photo detector,ஃபைபர் லைட் டிடெக்டர்
Fiber splicing,நார் பிணைப்பு
Fibonocci numbers,ஃபைபோனச்சி எண்கள்
Fictitious noise generator,மெய்நிகர் இரைச்சல் ஜெனரேட்டர்
Fidelity of receiver,பெறுநரின் விசுவாசம்
Fidelity,போலி
Field aiding,பகுதி உதவி
Field effect device,புல விளைவு சாதனம்
Field effect switch,புல விளைவு சுவிட்ச்
Field effect transistor,புல பயனுள்ள டிரான்சிஸ்டர்
Field emission,புல உமிழ்வு
Field forward system,முன்னணி உடல்
Field frequency,புல அதிர்வெண்
Field intensity,புல தீவிரம்
Field programmable logic array (FPLA),புல நிரல் தர்க்க வரிசை
Field test,கள சோதனை
Fields cancelling,கள ரத்து
FIFO memory,FIFO நினைவகம்
Figure of merit,செயல்திறன் குறியீடு
File,கோப்பு
File backup,கோப்பு நிரப்பு
File command,கோப்பு கட்டளை
File server,கோப்பு சேவையகம்
Film capacitor,அடுக்கு மின்தேக்கி
Film type register,அடுக்கு மின்தடை
Filter,வடிகட்டி
Filter characteristic,வடிகட்டி பண்புகள்
Filter circuit,வடிகட்டி சுற்று
Filter communication data,சேகரிப்பு
Filter design,வடிகட்டி வடிவமைப்பு
Filter link,தொடர்பு தரவு
Filter method,வடிகட்டி முறை
Filter reconstruction,வடிகட்டி புனரமைப்பு
Final assembly,இறுதி அசெம்பிளிங்
Finger print,கைரேகை
Finite impulse response filter,வரையறுக்கப்பட்ட மனக்கிளர்ச்சி அறிக்கை வடிகட்டி
Finite parameters,வரையறுக்கப்பட்ட அளவுரு
Finite state machine,வரையறுக்கப்பட்ட நிலை இயந்திரம்
Firing angle,துப்பாக்கி சூடு கோணம்
Firmware,நிலைபொருள்
First data word,முதல் உருவ வார்த்தை
First order loop,முதல் வரிசை பிரஷ்
Fisher loop test,பிஷ்ஷர் லூப் சோதனை
Fixed,நிலையான
Fixed attenuator,நிலையான அட்டென்யூட்டர்
Fixed bias,நிலையான நோக்குநிலை
Fixed counter,நிலையான கால்குலேட்டர்
Fixed field,நிலையான பகுதி
Fixed instruction machine,ஒதுக்கீட்டு இயந்திரம்
Fixed timer,நிலையான நேரக் கட்டுப்படுத்தி
Flag,கொடி
Flange,விளிம்பு
Flap attenuator,மடல் அட்டென்யூட்டர்
Flash,ஒளிரும்
Flash converter,பிரகாசம் மாற்றி
Flashing,ஒளிரும்
Flat bed scanning,தட்டையான தரை ஸ்கேனிங்
Flat coil,தட்டையான சுருள்
Flat file,பிளாட் கோப்பு
Flat filter,தட்டையான வடிகட்டி
Flat pack,பிளாட் பேக்
Flat ribbon cable,தட்டையான ரிப்பன் கேபிள்
Flat-topped sampling,தட்டையான மேல் மாதிரி
F-layer,F-அடுக்கு
F-layer ionosphere,F-அடுக்கு அயனோஸ்பியர்
Fleming,ஃப்ளெமிங்
Fleming and Clinton commutator method,ஃப்ளெமிங் மற்றும் கிளிண்டன் வேறுபாடு முறை
Flicker,படபடப்பு
Flicker noise,படபடப்பு சத்தம்
Flicker photometer,படபடப்பு போட்டோமீட்டர்
Flip flop,புரட்டல்
Flip flop asynchronous input,ஃபிளிப் ஃப்ளாப் ஒத்திசைவற்ற முதலீடு
Flip flop characteristic,ஃபிளிப் ஃப்ளாப் பண்புகள்
Flip flop clock signal,ஃபிளிப் ஃப்ளாப் அழைப்பு சமிக்ஞை
Flip flop clocked,ஃபிளிப் ஃப்ளாப் காலவரிசை
Flip flop edge-triggered,ஃபிளிப் ஃப்ளாப் கோர்-தூண்டப்பட்டது
Flip flop J-K triggered,flip flop jK தூண்டுதல்
Flip flop latch,ஃபிளிப் ஃப்ளாப் தாழ்ப்பாள்
Flip flop master-slave,புரட்டுதல் மாஸ்டர்-அடிமை
Flip flop R-S,ஃபிளிப் ஃப்ளாப் ஆர்எஸ்
Flip flop set reset (SR),Flip Flop Startup Restart Set Reset (SR)
Flip flop synchronous input,ஃபிளிப் ஃப்ளாப் சின்க்ரோனஸ் முதலீடு
Float charging,மிதவை கட்டணம்
Floating construction,மிதவை உருவாக்கம்
Floating gate,மிதக்கும் வாயில்
Floating input,விலகல்
Floating load,இணைக்கப்படாத சுமை
Floating supply,தொடர்பில்லாத ஆதாரம்
Flood lightening,முழு வெளிச்சம்
Floppy,நெகிழ்
Floppy disk,நெகிழ் வட்டு
Flow,ஓட்டம்
Flow chart,ஓட்ட விளக்கப்படம்
Flow diagram,சாய்வு வரைபடம்
Flow direction,ஓட்டம் திசை
Flow line,ஓட்ட வரி
Flow meter,ஓட்டமானி
FLT-U2 filter,FLT U2 வடிகட்டி
Fluctuation dissipation theorem,பன்மை சிதைவு தேற்றம்
Fluid friction damping,திரவ உராய்வு தணிப்பு
Fluid level,திரவ தளம்
Fluorescence effect tube,ஃப்ளோரசன்ஸ் விளைவு குழாய்
Fluorescent,ஃப்ளோரசன்ட்
Flutter,படபடப்பு
Flux density,ஃப்ளக்ஸ் அடர்த்தி
Flux gate magnetometer,ஃப்ளக்ஸ் கதவு காந்தமானி
Flux linkage,ஃப்ளக்ஸ் பிணைப்பு
Flux meter,"ஃப்ளக்ஸ் மீட்டர், ஃப்ளக்ஸ் மீட்டர்"
Flux soldering,ஃப்ளக்ஸ் சாலிடர்
Flyback,எதிர் காயம்
Flyback high voltage,எதிர்வினை உயர் மின்னழுத்தம்
Flyback transformer,எதிர் மின்மாற்றி
Flywheel effect,குவிப்பு விளைவு
FM digital detector,அதிர்வெண் பண்பேற்றம் டிஜிட்டல் டிடெக்டர்
FM peak detector,அதிர்வெண் மாடுலேஷன் பீக் டிடெக்டர்
FM phase locked loop detector,என்வலப் செய்யப்பட்ட மாடுலேஷன் ஆர்ட் சேர்க்கப்பட்ட லூப் டிடெக்டர்
FMVFT (FM voice frequency telegraph),எப்.எம் குரல் அதிர்வெண் தந்தி
Focal,குவிய
Focus,கவனம்
Focus camera,ஃபோகஸ் கேமரா
Focus error amplifier,கவனம் பிழை பெருக்கி
Focus picture tube,கவனம் பட குழாய்
Focus servo,ஃபோகஸ் சர்வோ
Focussing and tracking coil,கவனம் மற்றும் பின்தொடர்தல்
Focussing and tracking system,கவனம் மற்றும் உடல் பின்பற்ற
Foil type guage,படலம்-வகை அளவீடு
Foistbreakdown,முதல் விரிசல்
Fold back voltage limiting,மீண்டும் மடி மின்னழுத்த வரம்பு
Fold over value,வெள்ளை வரி மதிப்பு
Fold back current limiting,மின்னோட்ட வரம்பைத் திரும்ப மடக்கு
Folded architecture,மடிந்த கட்டிடக்கலை
Folded dipole,மடிந்த இருமுனையம்
Folded dipole,மடிந்த இருமுனையம்
Folded element,மடிந்த உறுப்பு
Follower,பின்தங்கி
Font for display,எழுத்துரு காட்சி
Foot print,உணவு அச்சு
Forbidden band,தடை இசைக்குழு
Forbidden gap energy,தடைசெய்யப்பட்ட ஆற்றல் இடைவெளி
Forbidden region,தடை செய்யப்பட்ட மண்டலம்
Force,படை
Forced commutator,உந்துதல் மாற்றி
Foreign object,வெளிநாட்டு பொருள்
Form factor,வடிவம் காரணி
Form feed,பக்க நிரப்பு
Formal logic,முறையான தர்க்கம்
Format number,வடிவமைப்பு எண்
Fortran,ஃபோர்ட்ரான்
Fortuitous distortion,தற்செயலான சிதைவு
Forward bias,முன்னோக்கி சார்பு
Forward bias,முன்னோக்கி சார்பு
Forward biased junction,முன்னோக்கி சார்பு கூட்டு
Forward blocking state,முன்னோக்கி தடுக்கும் நிலை
Forward breakdown voltage,முன்னோக்கி முறிவு மின்னழுத்தம்
Forward error correction,முன்னோக்கி பிழை திருத்தம்
Forward loop gain,முன் வளைய ஆதாயம்
Forward path gain,முன் சாலை ஆதாயம்
Forward polarity,முன்னோக்கி துருவமுனைப்பு
Forward trans conductance,முன்னோக்கி கடத்துத்திறன்
Forward transist time,முன்னோக்கி போக்குவரத்து நேரம்
Foster-Seely discriminator,ஃபாஸ்டர் சில்லி விவேகர்
Four bit coding,நான்கு மடங்கு குறியாக்கம்
Four inputs,நான்குமுனை
Four state digital transmission,நாற்கர டிஜிட்டல் பரிமாற்றம்
Four terminal network,நாற்கர வலையமைப்பு
Four terminal network,குவாட்டர்னரி நெட்வொர்க்
Four tube camera,குவாட் டியூப் கேமரா
Fourier coefficient,ஃபோரியர் குணகம்
Fourier integral,ஃபோரியர் ஒருங்கிணைப்பு
Fourier inverse,ஃபோரியர் தலைகீழ்
Fourier series,நான்கு தொடர்
Fourier transmission,பரவும் முறை
Fouriertrigonometric series,ஃபோரியர் முக்கோணவியல் தொடர்
Fourier's theorem,ஃபோரியர் தேற்றம்
Four-layer device,நான்கு மடங்கு சாதனம்
Four-layer diode,குவாட்டர்னரி டையோடு
FPP (floating point processor),மொபைல் புள்ளி செயலி
FPU/floating point unit,மிதக்கும் புள்ளி அலகு
FR (retriever a file),கோப்பு மாற்று
Fractional error,பகுதியளவு பிழை
Fractional transmissibility,வேறுபட்ட பரிமாற்றம்
Frame,சட்டகம்
Frame buffer chip,சட்ட இடையக சிப்
Frame capture,சட்ட பிடிப்பு
Frame code word,சட்ட கடவுச்சொல்
Frame format,சட்ட வடிவம்
Frame frequency,சட்ட அதிர்வெண்
Frame ground,சட்ட நிலம்
Frame synchronising bit,சட்ட ஒத்திசைவு புள்ளிகள்
Frame synchronization,சட்ட ஒத்திசைவு
Frame synchronizing signal,சட்ட ஒத்திசைவான சமிக்ஞை
Frank code,வெளிப்படையான குறியீடு
Free electron,இலவச எலக்ட்ரான்கள்
Free field,இலவச மண்டலம்
Free running oscillator,இலவச நகரும் ஆஸிலேட்டர்
Free space impedance,இலவச இடைவெளி மின்மறுப்பு
Free space path loss,இலவச இடைவெளி
Free-running multivibrator,இலவச நகரும் மல்டிவிபிரேட்டர்
Frequency,அதிர்வெண்
Frequency,அதிர்வெண்
Frequency,அதிர்வெண்
Frequency,அதிர்வெண்
Frequency adjacent channel,அதிர்வெண் இணைக்கப்பட்ட சேனல்
Frequency allocation,அதிர்வெண் ஒதுக்கீடு
Frequency bands,அலைவரிசை
Frequency changer,அதிர்வெண் மாற்றி
Frequency compensation,அதிர்வெண் இழப்பீடு
Frequency compensation,அதிர்வெண் இழப்பீடு
Frequency controlled oscillator,அதிர்வெண் கட்டுப்படுத்தப்பட்ட ஆஸிலேட்டர்
Frequency conversion,அதிர்வெண் மாற்றம்
Frequency demodulation,அதிர்வெண் பண்பேற்றம்
Frequency detector,அதிர்வெண் கண்டறிதல்
Frequency deviation,அதிர்வெண் விலகல்
Frequency deviation,அதிர்வெண் விலகல்
Frequency discrimination,அதிர்வெண் வேறுபாடு
Frequency discriminator,அதிர்வெண் பாகுபடுத்துபவர்
Frequency distortion,அதிர்வெண் சிதைவு
Frequency diversity,அதிர்வெண் மாறுபாடு
Frequency divider,அதிர்வெண் பிரிப்பான்
Frequency division multiplexing,மல்டிபிளெக்சர் அதிர்வெண் பிரிவு
Frequency doubler,அதிர்வெண் இரட்டிப்பாகிறது
Frequency frogging,அதிர்வெண் மாறுதல்
Frequency generation,அதிர்வெண் உருவாக்கம்
Frequency independent antenna,அதிர்வெண் சார்ந்த ஆண்டெனா
Frequency interface,அதிர்வெண் இடைமுகம்
Frequencyinterference,அதிர்வெண் குறுக்கீடு
Frequency inversion,அதிர்வெண் தலைகீழ்
Frequency modulation,அதிர்வெண் பண்பேற்றம்
Frequency modulation index,அதிர்வெண் பண்பேற்றம் குறியீடு
Frequency modulator,அதிர்வெண் மாடுலேட்டர்
Frequency narrow band,அதிர்வெண் குறுகிய இசைக்குழு
Frequency noise,அதிர்வெண் இரைச்சல்
Frequency range,அதிர்வெண் வரம்பு
Frequency reactance modulator,அதிர்வெண் எதிர்வினை மாடுலேட்டர்
Frequency reference,அதிர்வெண் குறிப்பு
Frequency response,அதிர்வெண் பதில்
Frequency scaling,அதிர்வெண் தரப்படுத்தல்
Frequency sound circuit,அதிர்வெண் ஒலி சுற்று
Frequency spectrum,அதிர்வெண் நிறமாலை
Frequency stability,அதிர்வெண் நிலைத்தன்மை
Frequency standards,அதிர்வெண் தரநிலை
Frequency swing,அதிர்வெண் தவறு
Frequency synthesis,அதிர்வெண் தொகுப்பு
Frequency synthesis,அதிர்வெண் தொகுப்பு
Frequency synthesized tuning,அதிர்வெண் தொகுக்கப்பட்ட டியூனிங்
Frequency to voltage conversion,அதிர்வெண் மின்னழுத்த மாற்றம்
Frequency to voltage converter,மின்னழுத்த மாற்றிக்கு அதிர்வெண்
Frequency to voltage converter,அதிர்வெண்-மின்னழுத்த மாற்றி
Frequency to voltage converter,அதிர்வெண்-மின்னழுத்த மாற்றி
Frequency tolerance,அதிர்வெண் தாங்கி
Frequency translation,அதிர்வெண் பரிமாற்றம்
Frequency transmission,அதிர்வெண் பரிமாற்றம்
Frequency tuner,அதிர்வெண் ட்யூனர்
Frequency varactor modulator,எழுத்து மாடுலேட்டர்
Frequency wide band,அதிர்வெண் பரந்த இசைக்குழு
Fresnel loss frequency,ஃப்ரெஸ்னல் சிதைவு அதிர்வெண்
Friction error,உராய்வு பிழை
Fringing colour,வட்ட பாத்திரம்
Front panel control,முன் பலகை கட்டுப்பாடு
Front porch,முன் தாழ்வாரம்
Frost-point hygrometer,பனி புள்ளி ஹைக்ரோமீட்டர்
FS (saving a file),கோப்பு சேமிப்பு
Fu Manchu virus,ஃபூ மஞ்சு வைரஸ்
Fuel pump interference,எரிபொருள் பம்ப் குறுக்கீடு
Fugi hard disk drive,fuji நெகிழ்வின்மை செயல்பாடு
Full adder,முழு சேர்ப்பான்
Full duplex,முழு இரட்டை
Full duplex setting,முழு இரட்டை அமைப்பு
Full duplex transmission,முழு இரட்டை பரிமாற்றம்
Full load voltage,முழு சுமை மின்னழுத்தம்
Full power,முழு சக்தி
Full power band width,முழு பவர் பேண்ட் நீட்டிப்பு
Full scale deflection,முழுமையான அளவிலான விலகல்
Full screen,முழு திரை
Full substractor,சரியான கலவை
Full track buffering,முழு கசிவு தாங்கல்
Full wave,முழு அலை
Full wave bridge rectifier,முழு அலை பாலம் திருத்தி
Function wave rectifier,முழு அலை திருத்தி
Function code,செயல்பாட்டு குறியீடு
Function generator,செயல்பாடு ஜெனரேட்டர்
Function library,செயல்பாட்டு நூலகம்
Function switch,செயல்பாடு சுவிட்ச்
Functional simulator,செயல்பாட்டு உருவகப்படுத்துதல்
Fundamental,அசல்
Fundamental frequency,அடிப்படை அதிர்வெண்
Fundamental mode,அடிப்படை முறை
Fundamental resonance,அசல் அதிர்வு
Fuse,உருகி
Fuse effect,உருகி விளைவு
Fuse map,உருகி வரைபடம்
Fusible link,கரையக்கூடிய இணைப்பு
Future trend,எதிர்கால போக்கு
Fuzzy logic,"தெளிவற்ற தர்க்கம், தெளிவற்ற தர்க்கம்"
Fuzzy logic,"தெளிவற்ற தர்க்கம், போலி தர்க்கம்"
Fx (extracting a file),கோப்பு பிரித்தெடுத்தல்
Feedback sensitivity,மறு முதலீட்டு உணர்திறன்
Gain,ஆதாயம்
Gain guided laser,வழிகாட்டப்பட்ட லேசரைப் பெறுங்கள்
Gain margin,இலாப வரம்பு
Gain-bandwidth product,ஆதாய பேண்ட் விரிவாக்க பெருக்கல்
Gain-cross over frequency,மாறுதல் அதிர்வெண்ணைப் பெறுங்கள்
Gallagar code,கல்லாகர் குறியீடு
Galleium arsenide,காலியம் ஆர்சனைடு
Galvanic cell,கால்வனிக் செல்
Galvanometer,கால்வனோமீட்டர்
Galvanometric recorder,கால்வனேற்றப்பட்ட ரெக்கார்டர்
Gamma,காமா
Gamma ray,காமா கதிர்
Ganged tuning,குரல் ட்யூனிங்
Gap,இடைவெளி
Gas discharge lamp,எரிவாயு மூழ்கும் விளக்கு
Gas laser,வாயு லேசர்
Gate,"வாயில், வாயில்"
Gate array,வாயில் வரிசை
Gate array,வாயில் வரிசை
Gate capacitance,கேட் கொள்ளளவு / கேட் கேபாசிட்டர்
Gate insulation,வாயில் இன்சுலேடிங்
Gate oscillator,வாயில் ஆஸிலேட்டர்
Gate protection,வாயில் பாதுகாப்பு
Gate protection diode,வாயில் பாதுகாப்பு டையோடு
Gate turn-off switch,வாயில் பூட்டு சுவிட்ச்
Gate-controlled switch,வாயில் கட்டுப்படுத்தப்பட்ட சுவிட்ச்
Gate-lag network,கேட் போஸ்டிங் நெட்வொர்க்
Gate-oxide capacitance,கேட் ஆக்சைடு மின்தேக்கி
Gating error,திறப்பு பிழை
Gauge,அளவு
Gauge factor,அளவு பெருக்கி
Gauss meter,காஸ் மீட்டர்
Gaussian density function,காசியன் அடர்த்தி செயல்பாடு
Gaussian diffusion,காஸியன் பரவல்
Gaussian distribution,காஸியன் விநியோகம்
Gaussian distribution,காஸியன் விநியோகம்
Gaussian noise,காஸியன் சத்தம்
Gaussian noise,காஸியன் சத்தம்
Gaussian process,காசியன் செயல்முறை
Gaussian pulse,காசியன் துடிப்பு
Gauss's law,காசியன் சட்டம்
Gega Hertz,கிக் ஹெர்ட்ஸ்
General purpose resister,பொது நோக்க எதிர்ப்பு
Generated noise,உருவாக்கப்பட்ட சத்தம்
Generator,ஜெனரேட்டர்
Generic,"பெற்றோர், பொதுவான"
Geometric mean,வடிவியல் சராசரி
Geometric ray tracing,வடிவியல் கதிர் அனுரேஷ்
Geostationary orbit,புவிநிலை அறை
Gerber format,gerber foment
Germanium,ஜெர்மானியம்
Germanium diode,ஜெர்மானியம் டையோடு
Gettering treatment,கெட்ரான் சிகிச்சை
Ggiger counter,கீசர் கால்குலேட்டர்
Ghost memory images,போலி நினைவக பிரதிபலிப்பு
Gibbs phenomenon,கிப்ஸ் நிகழ்வு
Giga,கிகா
Gimmick,வித்தை
Glare filter,கண்ணை கூசும் வடிகட்டி
Glass capacitor,கண்ணாடி மின்தேக்கி
Glitch,தடுமாற்றம்
Global positioning satellite,பூமியின் நிலை செயற்கைக்கோள்
Glow discharge,பிரகாசம் மூழ்குதல்
Golay code,ஷெல் குறியீடு
Gold code,தங்க குறியீடு
Goniometer,கோனியோமீட்டர்
G-parameters,ஜி-ஆபரேஷன்
Grade,தரம்
Graded index fiber,தொடர் குறியீட்டு ஃபைபர்
Gradient,சாய்வு
Ground noise rejection,பூமியின் இரைச்சல் தீர்மானம்
Granular noise,துகள் சத்தம்
Granular noise,சிறுமணி சத்தம்
