Hindi,English
विसरणशील आयन,Diffusible ion
"विसरणमापी, विसार-मापी",Diffusiometer
"विसरण, विसार",Diffusion
विसरण बैटरी,Diffusion battery
विसरण धारिता,Diffusion capacitance
विसरण कोष्ठ,Diffusion chamber
विसरण अभ्रकोष्ठक,Diffusion cloud chamber
विसरण-गुणांक,Diffusion coefficient
विसरण-स्थिरांक,Diffusion constant
विसरण नियंत्रण,Diffusion control
विसरण नियंत्रित प्रक्रम,Diffusion controlled process
विसरण धारा,Diffusion current
विसरण इलेक्ट्रोड,Diffusion electrode
विसरण समीकरण,Diffusion equation
विसरण ज्वाला,Diffusion flame
विसरण प्रवाह,Diffusion flow
विसरण प्रवणता,Diffusion gradient
"विसरण दैर्ध्य, विसरण लंबाई",Diffusion length
विसरणी गति,Diffusion motion
भ्रमिलता विसरण,Diffusion of vorticity
विसरण परिघटना,Diffusion phenomenon
विसरण ध्रुवण,Diffusion polarization
विसरण रंध्रमापी,Diffusion porometer
"विसरण विभव, विसरण पोटेन्शियल",Diffusion potential
विसरण दाब न्यूनता,Diffusion pressure deficit
विसरण प्रक्रम,Diffusion process
विसरण पम्प,Diffusion pump
विसरण प्रतिरोध,Diffusion resistance
विसरणी ताप प्रभाव,Diffusion thermoeffect
विसरणी पृथक्करण,Diffusional separation
विसरण क्षमता,Diffusive capacity
विसरणशील पदार्थ,Diffusive substances
विसरणशीलता,Diffusivity
"विसारक, विसारित्र",Diffusor
"अंक, व्यास का द्वादशांश, अंगुलि",Digit
अंक अभिज्ञापित्र,Digit recogniser
अंक वरणित्र,Digit selector
अंक काल पथ,Digit time track
अंक काल स्पंद,Digit timing pulse
अंक काल वलय,Digit timing ring
अंकक वोल्टतामापी,Digital coltmeter
अंकीय अभिकलित्र,Digital computer
अंकीय दत्त,Digital data
अंकक सूचक यंत्र,Digital indicator instrument
अंकरूप निर्गम,Digital output
अंकीय प्रतिश्रवण,Digital playback
अंकीय अभिलेखन,Digital recording
अंकीय अनुकार,Digital simulation
अंकीय अनुकार सिद्धांत,Digital simulation theory
अंकीय छांट,Digital sort
"अंकरूपक, अंकीकरण यंत्र",Digitar (=digitiser)
"अंकरूपण, अंकीकरण",Digitize
अंकरूपक,Digitizer
डिजिट्रॉन,Digitron
अंक अनुरूपक,Digiverter
द्विसप्तकी आधार,Diheptal base
विस्फारण,Dilatation
आयतन प्रसार घटक,Dilatational component
आयतन प्रसार तरंग,Dilatational wave
विस्फार विकृति,Dilation strain
विस्फारमापी,Dilatometer
विस्फारिणी,Dilator
"विस्तार, लंबाई-चौड़ाई, विमा, घात",Dimension
परिपथ का विस्तार (साइज),Dimension (size) of circuit
समीकरण विमा,Dimension of an equation
दिक काल की विमा,Dimension of space time
विमीय,Dimensional
विमीय समीकरण,Dimensional equation
विमीय सूत्र,Dimensional formula
विमीय संख्या,Dimensional number
विमीय अभिविन्यास,Dimensional orientation
विमीय राशि,Dimensional quantity
विमीय स्थायित्व,Dimensional stability
विमा सिद्धांत,Dimensional theory
विमीय सहयता,Dimensional tolerance
विमीय प्रकार,Dimensional type
विमा-इकाई,Dimensional unit
विमीयता,Dimensionalilty
विमीयता नियंत्रण,Dimensionalilty restriction
विमापित विन्यास,Dimensioned plan
"विमाहीन, अविम",Dimensionless
अविम निर्देशांक,Dimensionless coordinates
विमाहीन समीकरण,Dimensionless equation
अविम विकृति घटक,Dimensionless strain component
अविम प्रणोद,Dimensionless thrust
अविम वेग,Dimensionless velocity
"ह्रास, न्यूनीकरण",Diminution
दीप्तिमंदक,Dimmer
द्विन्यूट्रान,Dineutron
डायोड,Diode
डायोड बंधक,Diode clamper
डायोड कर्तक,Diode clipper
डायोड हेप्टोड,Diode heptode
डायोड लेसर,Diode laster
डायोड मिश्रक,Diode mixer
डायोड पेन्टोड,Diode pentode
डायोड प्रतिरोधक,Diode resistors
डायोड निर्वात नली तर्क,Diode vacuum bube logic
डायोड वाल्व,Diode valve
डाइऑप्टर,Diopter
डाइऑप्टर स्केल,Diopter scale
अपवर्तनी लेन्स,Dioptric lens (=drum lens)
अपवर्तनीय भाग,Dioptric part
अपवर्तनी तंत्र,Dioptric system
अपवर्तनी दूरबीन,Dioptric telescope
अपवर्तन क्षेत्र,Dioptrical region
"नमन, नति, निमज्जन, गर्त",Dip
नति कोण,Dip angle
नतिमापी,Dip circle
नति सूची,Dip needle
क्षितिज नति,Dip of horizon
निमज्जनी झालन,Dip soldering
द्वैध प्रचालन,Diplex operation
द्वियुग्मक,Diplexer
द्विध्रुव,Dipole
द्विक ऐन्टेना,Dipole (=doublet antenna)
द्विध्रुवी एरियल,Dipole aerial
द्विध्रुव संगुणन,Dipole association
द्विध्रुव केन्द्र,Dipole centre
द्विध्रुव निर्देशांक पद्धति,Dipole coordinate system
द्विध्रुव वैद्युत आघूर्ण,Dipole electric moment
द्विध्रुव-क्षेत्र,Dipole field
द्विध्रुव अन्योन्यक्रिया,Dipole interaction
द्विध्रुवी परत,Dipole layer (=electric double layer)
द्विध्रुव आघूर्ण,Dipole moment
द्विध्रुव विकिरण,Dipole radiation
द्विध्रुव विश्रान्ति,Dipole raelaxation
द्विध्रुव पद,Dipole term
द्विध्रुव तरंग,Dipole wave
द्विध्रुव-द्विध्रुव अन्योन्यक्रिया,Dipole-dipole interaction
द्विध्रुव-द्विध्रुव अनुनाद बल,Dipole-dipole resonance forece
द्विध्रुव-द्विध्रुव पद,Dipole-dipole term
डिरैक डेल्टा फलन,Dirac delta function
डिरैक समीकरण,Dirac equation
डिरैक क्षेत्र,Dirac field
डिरैक-मैक्सवेल समीकरण,Dirac Maxwell equation
डिरैक पद्धति,Dirac method
डिरैक सापेक्षिकीय तरंग,Dirac's relativistic wave
"सरल, सीधा, ऋजु, प्रत्यक्ष, समक्ष",Direct
"प्रत्यक्ष पता, प्राथमिक पता",Direct address (=first level address)
प्रत्यक्ष द्वयाधारी संकेतन,Direct binary coding
अनुलोम सहसंबंध,Direct correlation
प्रत्यक्ष युग्मित प्रवर्धक,Direct coupled amplifier
दिष्ट धारा,Direct current
दिष्ट धारा प्रवर्धक,Direct current amplifier
सीधा निवेश,Direct feed
"सीधा समाघात,सीधी टक्कर",Direct impact
प्रत्यक्ष प्रेरणी युग्मन,Direct inductive coupling
सीधा व्यतिहार,Direct interchange
अंतरा इलेक्ट्रोडी धारिता,Direct interelectrode capacitance (=inter electrode capacitance)
सामान्य जालक,Direct lattice
सीधी लाइन,Direct lilne
प्रत्यक्ष चुम्बकीय विकृतिक प्रभाव,Direct magnetostrictive effect
प्रत्यक्ष यांत्रिक संचरण,Direct mechnical transmission
प्रत्यक्ष विधि,Direct method
मार्गी गति,Direct motion (of planets)
प्रत्यक्ष प्रेक्षण,Direct observation
सीधी फोटोग्राफी,Direct photography
"सीधी पिकअप, सीधा उद्ग्रहण",Direct pickup
सीधी दाब-विद्युत प्रभाव,Direct piezoelectric effect
प्रत्यक्ष विकिरक लाउडस्पीकर,Direct radiator loudspeaker
"प्रत्यक्ष पाठी चालकता सेतु, प्रत्यक्ष पाठी चालकता ब्रिज",Direct reading conductance-bridge
प्रत्यक्ष पाठी यंत्र,Direct reading instrument
प्रत्यक्ष पाठी विभवमापी,Direct reading potentiometer
सीधा अभिलेखन,Direct recording
प्रत्यक्ष प्रतिचयन,Direct sampling
प्रत्यक्ष क्रमवीक्षण,Direct scanning
प्रत्यक्ष क्रमवीक्षण कैमरा,Direct scanning camera
सीधी प्राप्त ध्वनि तरंग,Direct sound wave
समक्षदर्शी नलिका,Direct view tube (=direct vision tube)
प्रत्यक्ष दृष्टि,Direct vision
समक्षदर्शी प्रिज्म,Direct vision prism
समक्ष स्पेक्ट्रमदर्शी,Direct vision spectroscope
समक्ष दूरदर्शक,Direct vision telescope
साधारण तोलन,Direct weighing
दिष्ट धारा,Directed
दिष्ट पाश,Directed loop
दिष्ट क्रमवीक्षण,Directed scan
"दिशा, दिक्",Direction
दिशा-कोण,Direction angle
दिग्गुणांक,Direction coefficient
"दिक्कोज्या, दिक्-कोसाइन",Direction cosine
दिशा निर्धारक,Direction finder
दिशा निर्धारक विचलन,Direction finder deviation
दिशा निर्धारण,Direction finding
दिशा निर्धारण विधि,Direction finding method
दिशिक फोकसन,Direction focusing
दिक् संख्याएँ,Direction numbers
सहज चुम्बकन दिशा,Direction of easy magnetisation
उच्चिष्ठ की दिशा,Direction of maxima
प्रक्षेपण दिशा,Direction of projection
दिक्-अनुपात,Direction ratio
दिशा-अभेदी गणित्र,Direction-insensitive counter
"दिशात्मक, दिशिक",Directional
दिशिक ऐन्टेना,Directional antenna
दिशिक (ऐन्टेना) व्यूह,Directional arrays
दिशिक किरणपुंज,Directional beam
दिशिक आबंध,Directional bond
दिशात्मक अभिलक्षण,Directional characteristics
दिशिक युग्मक,Directional coupler
दिक्-अवकलज,Directional derivative
दिशात्मक फ़ोकसन,Directional focussing
दिशिक लब्धि,Directional gain (=directivity index)
दिशीय ग्राफ,Directional graph
दिशात्मक जाइरो,Directional gyro
दिक-विषमता,Directional heterogeneity
दिशिक अभिलक्ष्यन,Directional homing
दिक्-समता,Directional homogeneity
दिशिक तीव्रता,Directional intensity
दिशिक माइक्रोफोन,Directional microphone
दिशिक चित्राम,Directional pattern
दिशात्मक गुणधर्म,Directional property
दिशिक अभिग्रहण,Directional reception
दिशात्मक परावर्तकता,Directional reflectance
दिशिक सुग्राहिता,Directional sensitivity
दिशिय सुग्राहिता चित्राम,Directional sensitivity pattern
दिक् स्थायित्व,Directional stabililty
"दैशिक, दिशिक, दिशात्मक",Directive
दिशात्मक एरियल,Directive aerial
दिशिक आरेख,Directive diagram
"दिशिक लब्धि, दिशात्मक लब्धि",Directive gain (of antennas)
दिशिकता,Directivity
दिशिकता आरेख,Directivity diagram (=directivity pattern)
दिशिकता गुणांक,Directivity factor
दिशिक लब्धि,Directivity index (=directional gain
"दिशिकता आरेख, दिशिकता चित्राम",Directivity pattern (=directivity diagram)
"स्वतापित वाल्व, प्रत्यक्ष तप्त वाल्व",Directly heated valve
अनुक्रमानुपात,Directly proportional
दिशक,Director
दिशक क्रिया,Director action
नियामक वृत्त,Director circle
नियंत्रण डेस्क,Director controls
अस्वच्छ बम,Dirty bomb
असमर्थकारी स्पन्द,Disabling pulse
निरस्त्रीकरण,Disarming (unrming)
"बिंब, मंडलक, डिस्क, चक्रिका",Disc
डिस्क ऐनोड,Disc anode
"डिस्क ऐन्टेना, मंडलक ऐन्टेना",Disc antenna
डिस्क आर्मेचर,Disc armature
चक्रिका द्वि-अपवर्तन,Disc double refraction
डिस्क रिकार्ड,Disc record (of sound)
डिस्क सील नलिका,Disc seal tube
डिस्कमय तरंग पथक,Disc-loaded waveguide
"विसर्जन, आस्राव, विरंजन",Discharge
विसर्जन संशोधन गुणांक,Discharge correction factor
सोपानी विसर्जन,Discharge in cascade
"विसर्जन कुंजी, विसर्जन कुंचिका",Discharge key
विसर्जन लैंप,Discharge lamp
विसर्जन विभव,Discharge potential
विसर्जन नलिका,Discharge tube
विसर्जन धारा,Discharging current
शंकुडिस्क ऐन्टेना,Discone antenna
असांतत्य धारिता,Discontinuity capacitance
असांतत्य प्रेरकत्व,Discontinuity inductance
प्रथम प्रकार का असांतत्य,Discontinuity of the first kind
असंतत वितरण,Discontinuous distribution
असंतत फलन,Discontinuous function
विच्छिन्न प्रकाश,Discontinuous light
असंतत लोड,Discontinuous load
"असंतत प्रावस्था, असंतत कला",Discontinuous phase
असंतत स्पेक्ट्रम,Discontinuous spectrum
असंतत वेग,Discontinuous velocity
"विसंगति, विस्वरता",Discord
"विसंगति, विस्वरता",Discordance
"विसंगत, विस्वर, अननुस्तरी",Discordant
द्वितीय प्रकार का असांतत्य,Discountinuity of the second kind
"शोध, खोज",Discovery
"विसंगति, विस्वरता",Discrepancy
विश्वसनीयतांक,Discrepancy factor (=reliability factor)
विसंगत घनत्व,Discrepant density
विविक्त,Discrete
विविक्त प्रणाल,Discrete channel
विविक्त घटक,Discrete component
असंतत बंटन,Discrete distribution
विविक्त ऊर्जा अवस्था,Discrete energy state
विविक्त जालक,Discrete lattice
असंतत संहति,Discrete mass
विविक्त कक्षा,Discrete orbit
उच्चरित शब्द बोधगम्यता,Discrete word intelligibility (=word articulation)
विविक्तीकरण,Discrimination
विभेदन घातांक,Discrimination I ndex
विविक्तकर,Discriminator
विविक्तकर अभिलेखी,Discriminator recorder
विविक्तकर परिणामित्र,Discriminator transformer
विविक्त कण,Discrrete particle
अव्यवहृत लाइन,Disengaged line
अवखंडन,Disgregation
अवखंडन ऊर्जा,Disgregation energy
अवतल ऐन्टेना,Dish antenna
विघटन कारक,Disintegrating agent
"विघटन, कणीकरण",Disintegration
विघटन-स्थिरांक,Disintegration constant
विघटन ऊर्जा,Disintegration energy
विघटन अर्धायु,Disintegration half-life
विघटन श्रेणी,Disintegration series
वियुक्त गति,Disjunct motion
तर्कसंगत योगात्मक खोज,Disjunctive search
डिस्क कपाट,Disk shutter
डिस्क वाल्व,Disk valve
"स्थान-भ्रंश, विस्थापन, प्रभ्रंश, संधिच्युति",Dislocation
प्रभ्रंश जाल,Dislocation forest or network
प्रभ्रंश शैथिल्य,Dislocation hysteresis
"प्रभ्रंश रेखा, प्रभ्रंश कोर",Dislocation line
प्रभ्रंश पाश,Dislocation loop
प्रभ्रंश मॉडल,Dislocation model
प्रभ्रंश जाल,Dislocation network
प्रभ्रंश नोड,Dislocation node
प्रभ्रंश पुंज,Dislocation pile-up
संकोच्य मस्तूल,Dismountable mast (=collapsible mast)
"अव्यवस्था, अक्रम, विकार",Disorder
अव्यवस्था दाब,Disorder pressure
अव्यवस्थित विकिरण,Disordered radiation
अव्यवस्थापन,Disordering
अव्यवस्थापन परिघटना,Disordering phenomenon
"अपविन्यास, स्थितिभ्रान्ति",Disorientation
संप्रेषक,Dispatcher
पोषक कैथोड,Dispenser (replenishing) cathode
"परिक्षेप माध्यम, विक्षेपी माध्यम",Disperse medium
परिक्षिप्त कण,Disperse particle
परिक्षिप्त अवस्था,Disperse state
परिक्षेपी तंत्र,Disperse system
"परिक्षेपित, परिक्षिप्त",Dispersed
परिक्षेपणता,Dispersibility
परिक्षेपमापी,Dispersimeter
परिक्षेपक,Dispersing agent
परिक्षेपी तंत्र,Dispersing system
"परिक्षेपण, प्रकीर्णन",Dispersion
परिक्षेपण संचित्र,Dispersion chart
परिक्षेपणांक,Dispersion constant
परिक्षेपण-आरेख,Dispersion diagram
परिक्षेपण प्रभाव,Dispersion effect
परिक्षेपणी इलेक्ट्रान,Dispersion electron
परिक्षेपण कारक,Dispersion factor
परिक्षेपण बल,Dispersion forces
परिक्षेपण परस्पर-क्रिया,Dispersion interaction
परिक्षेपण सोपान,Dispersion ladder
परिक्षेपण नियम,Dispersion law
परिक्षेपण माध्यम,Dispersion medium
परिक्षेपण विधि,Dispersion method
अनुगामी विक्षेपण,Dispersion of satelliites
परिक्षेपण बिंदु,Dispersion point
परिक्षेपण परीक्षण,Dispersion test
परिक्षेपकता,Dispersitvity
परिक्षेप्यता,Dispersity
परिक्षेपी,Dispersive
परिक्षेपी प्रभाव,Dispersive effect
परिक्षेपी माध्यम,Dispersive medium
परिक्षेपण क्षमता,Dispersive power
विस्थापित पद,Displaced term
विस्थापन,Displacement
विस्थापन प्रस्पन्द,Displacement antinode
विस्थापन प्रतिअनुनाद,Displacement antiresonance
विस्थापन धारा,Displacement current
विस्थापन जाइरोदर्शी,Displacement gyroscope
विस्थापन नियम,Displacement law
विस्थापन निस्पंद,Displacement node
प्रतिबिम्ब-विस्थापन,Displacement of image
विस्थापन अनुनाद,Displacement resonance
विस्थापन नियम,Displacement rule
"विस्थापन स्पाइक, विस्थापन शूक",Displacement spike
विस्थापन-काल ग्राफ,Displacement time graph
विस्थापक सिलिंडर,Displacer cylinder
प्रदर्श,Display
प्रदर्शन बत्ती,Display lighter
प्रदर्श मूलवर्ण,Display primaries
प्रदर्शन स्विच,Display switch
कन्सोल,Display unit (=console)
द्विबीजाणुकोरकीय,Disporoblastic
विदारण बल,Disrupting force
विदारी विसर्जन,Disruptive discharge
विदारी बल,Disruptive force
विदारी स्फुलिंग विसर्जन,Disruptive spark discharge
विदारी प्रवृतत्ति,Disruptive tendency
विच्छेद्य डायनेमो,Dissectible dynamo
विच्छेदन डिश,Dissecting dish
विच्छेदन सूक्षमदर्शी,Dissecting microscope
प्रकीर्णक कीट,Disseminating insects
"असमरूप, असमान",Dissimilar
क्षय गुणांक,Dissipation coefficient
"क्षयहीन लाइन, ह्रासरहित लाइन",Dissipation factor
क्षयकारी बल,Dissipation of energy
ऊर्जा-क्षय,Dissipationless line
क्षयिक फलन,Dissipative forces
क्षयी तंत्र,Dissipative function
क्षयिक पद,Dissipative system
"वियोजनी, वियोज्य",Dissipative term
वियोजित,Dissociable
वियोजित अणु,Dissociated molecule
वियोजन,Dissociation
वियोजन स्थिरांक,Dissociation constant
वियोजन सीमा,Dissociation limit
वियोजन-दाब,Dissociation pressure
वियोजन सिद्धांत,Dissociation theory
वियोजनी प्रग्रहण,Dissociative capture
वियोजनी विसरण,Dissociative diffusion
वियोजनी आयनन,Dissociative ionisation
असंवादिता,Dissonance
असंवादी,Dissonant
विसममित,Dissymmetric
विसममित परिपथ जाल,Dissymmetrical network
विसममित ट्रांसड्यूसर,Dissymmetrical transducer
विसममिति,Dissymmetry
विसममिति-गुणांक,Dissymmetry factor
दूरस्थ द्विशाख,Distal fork
दूरी,Distance
दूरी त्रुटि,Distance error
दूरी-फलन,Distance function
दूरी -सूचक,Distance indicator
दूरी चिह्न,Distance marks = range marks
दूरी मापक उपस्कर,Distance measuring equipment
अधिकेन्द्र दूरी,Distance of epicentre
दूरी विभेदन,Distance resolution
दूरस्थ संघटट,Distant collision
"भिन्न, अलग, सुस्पष्ट सुव्यक्त",Distinct
सुस्पष्ट प्रतिबिम्ब,Distinct image
विभेद,Distinction
विविक्तकारी गुणधर्म,Distinctive property
सुस्पष्ट दर्शन,Distinet vision
"विभेदन, भेद करना",Distinguish
विभेद्य वितरण,Distinguishable distribution
विविक्तिकर समय,Distinguishing time
डिस्तोर्सियोनी,Distorsioni
विकृत प्रतिबिम्ब,Distorted image
"विकृति, विरूपण",Distortion
विकृति वक्र,Distortion curve
विरूपण गुणक,Distortion factor
प्रक्षेप-विरूपण,Distortion of projection
विरूपण प्रमेय,Distortion theorem
विरूपण प्रत्यास्थता,Distortional elasticity
विरूपणहीन प्रवर्धन,Distortionless amplification
विरूपणहीन मॉडुलन,Distortionless modulation
विरूपणमापी,Distortionmeter
संकट आवृत्ति,Distress frequency
संकट संकेत,Distress signal
"वितरित अभिलाक्षणिक, वितरित स्थिरांक",Distribted constants
"वितरित प्रवर्धन, योज्य प्रवर्धन",Distributed ampllification
वितरित प्रवर्धक,Distributed ampllifier
वितरित धारिता,Distributed capacitance
वितरित धारिता,Distributed capacity
वितरित उत्सर्जन फोटोडायोड,Distributed emission photodiode
"वितरित बोझ, वितरित लोड",Distributed load
वितरित परिपथजाल,Distributed network
वितरित प्राचल तंत्र,Distributed parameter system
"वितरण, बंटन",Distribution
वितरण अनुपात,Distribution (partition) ratio
वितरण प्रवर्धक,Distribution amplifier
वितरण गुणांक,Distribution coefficient
बंटन वक्र,Distribution curve
वितरण समीकरण,Distribution equation
"स्थान-वितरण, स्थानगत वितरण",Distribution in space
"काल-वितरण, कालगत वितरण",Distribution in time
वितरण हानि,Distribution loss
तीव्रता-वितरण,Distribution of intensity
वेग वितरण,Distribution of velocities
बंटन प्राचल,Distribution parameter
वितरण सिद्धांत,Distribution theory
बंटनात्मक स्थायित्व,Distributional stability
बंटनात्मक जालक,Distributive lattice
"वितरण-नियम, बंटन-नियम",Distributive law
"विक्षुब्ध-संतुलन, विक्षुब्ध साम्यावस्था",Distrubed equillibrium
विक्षोभ,Disturbance
विक्षोभ-तरंग-संख्या,Disturbance wave number
विक्षुब्ध प्रसंवादी प्रक्रम,Disturbed harmonic process
विक्षुब्ध क्षैतिज उड़ान,Disturbed horizontal flight
विक्षुब्ध गति,Disturbed motion
विक्षुब्ध कक्षा,Disturbed orbit
विक्षुब्ध दोलन,Disturbed oscillation
विक्षोभी बल,Disturbing force
विक्षोभी फलन,Disturbing function
विक्षोभी विभव,Disturbing potential
डिस्क संचय,Disx storage
"असांतत्य, असातत्य, भंग",Disxontinuity
अवपात युक्ति,Ditching device
"अह्निक, दिवा, दिवाचर, दैनिक",Diurnal
दैनिक अपेरण,Diurnal aberration
दैनिक अपेरण,Diurnal aberration
दैनिक परिवर्तन,Diurnal change
दैनिक वृत्त,Diurnal circle
"दैनिक चक्र, दिवाचक्र",Diurnal cycle
दैनिक उच्चावचन,Diurnal fluctuation
दैनिक ऊष्मा तरंग,Diurnal heat wave
दैनिक असमता,Diurnal inequality
दैनिक गति,Diurnal motion
दैनिक लंबन,Diurnal parallax
"दैनिक ताप, दैनिक तापमान",Diurnal temperature
"आह्निक परिवर्तन, दैनिक परिवर्तन",Diurnal variation
दैनिक दृष्टि,Diurnal vision
द्विरिक्तता,Divacancy
द्विसंयोजक,Divalent
द्विसंयोजक आयन,Divalent ion
द्विचर तंत्र,Divariant system
अवरोही पल्ला,Dive flap
"उपसारित करना, अपसारित होना",Diverge
"अपसरण, अपसारिता, डाइवर्जेन्स",Divergence
अपसरण हानि,Divergence loss
वेग अपसरण,Divergence of velocity
अपसरण दर,Divergence rate
अपसरण प्रमेय,Divergence theorem
अपसारी,Divergent
अपसारी प्रणाल,Divergent channel
अपसारी अभिसारी तुंड,Divergent convergent nozzle
अपसारी प्रवाह,Divergent flow
अपसारी लेन्स,Divergent lens
अपसारी प्रकाश,Divergent light
अपसारी गति,Divergent motion
अपसारी किरणें,Divergent rays
अपसारी लेन्स,Diverging lens
डाइवर्स द्रव,Divers' liquid
दिक्परिवर्तन,Diversion
विभिन्नता ऐन्टेना,Diversity antenna
विभिन्नता रेडार,Diversity radar
विभिन्नता अभिग्राही,Diversity receiver
विभिन्नता तंत्र,Diversity system
"विभाजक (सं.), विभाजित करना, भाग देना, बाँटना (क्रि.)",Divide
"विभाजित, विभक्त",Divided
विभक्त परिपथ,Divided circuit
विभक्त स्पर्श,Divided touch
विभक्त स्पर्श विधि,Divided touch method
"विभाजनी, डिवाइडर्स",Dividers (instrument)
"संक्रमण जाल, विभाजक जाल",Dividing network (=crossover network)
"निमज्जन-घंटा, निमज्जन पात्र",Diving bell
"भाग, प्रभाग, विभाजन",Division
विभाजन रव,Division noise
मापनी-विभाजन,Division of scale
दूरीमापक उपकरण,Dme (distance measuring equipment)
वृत्त चलचित्र,Documentary film
"यंत्र-कक्ष, यंत्रघर",Dog house
दूरी घटाना,Dolly in (=track in)
दूरी बढ़ाना,Dolly out (=track out)
"प्रक्षेत्र, डोमेन, प्रान्त, प्रदेश",Domain
"डोमेन-सिद्धांत, प्रांत-सिद्धांत",Domain theory
"डोम, गुम्बद",Dome
पंचम (संगीत),Dominant
प्रभावशाली पद,Dominant term
प्रधान तरंग,Dominant wave
प्रभावी तरंगदैर्घ्य,Dominant wave length
दाता,Donor
दाता स्तर,Donor level
द्वार-मूठ संधारित्र,Door knob capacitor
मादित,Doped
मादित संधि,Doped junction
"मादन, अपमिश्रण",Doping
मादन प्रतिकार,Doping compensation
डॉप्लर-पृथुलन,Doppler broadening
डॉप्लर-क्रोड,Doppler core
डॉप्लर प्रभाव,Doppler effect
डॉप्लर-फ़ीजो प्रभाव,Doppler Fizeau effect
डॉप्लर रेडार,Doppler radar
डॉप्लर विस्थापन,Doppler shift
डॉप्लर स्पेक्ट्रम,Doppler spectrum
डॉप्लर पद्धति,Doppler system
डॉप्लर पृथुता,Doppler width doran
"डोरान, डॉप्लर परासन तंत्र",Dosage
"मात्रा निर्धारण, मात्रा व्यवस्था",Dosage monitor
"डोज़, मात्रा",Dose
मात्रा दर,Dose rate
मात्रा दर प्रभाव,Dose rate effect
मात्रा दर-मापी,Dose rate meter
मात्रा प्रभाव,Dose-effect
मात्रामापी,Dosimeter
मात्रामिति,Dosimetry
"बिन्दु, बिन्दी",Dot
"गर्र और गट, बिन्दु और रेखा",Dot and dash (in Morse Code)
बिन्दु चक्र,Dot cycle
बिन्दु जनित्र,Dot generator
बिन्दु अन्तर्गरथन,Dot interlacing
बिन्दुकित चित्राम,Dot pattern
बिन्दु अनुक्रमी रंगीन दूरदर्शन,Dot sequential colour television
बिन्दु अनुक्रमिक तंत्र,Dot sequential system
"बिन्दुकित, छिटकी",Dotted
बिन्दुकित वक्र,Dotted curve
"द्वि, द्विगुण, युग्म, द्विक, उभय, द्विधा",Double
द्विगुण स्वीकारी,Double acceptor
शिखर-शिखर आयाम,Double amplitude
द्विक बैंड,Double band
द्विदंड,Double bar
द्विईधनी प्रणोदक,Double base propellant
द्विदंडी तुला,Double beam balance
द्विकिरण कैथोड नलिका,Double beam cathode ray tube
द्वि-किरण दोलन लेखी,Double beam oscillograph
द्वि-आबंध सृति,Double bond shift
द्वि-आबंध,Double bonds
द्वि-सेतु,Double bridge
द्वि-बटन कार्बन माइक्रोफ़ोन,Double button corbon microphone
द्विक्लैम्प,Double clamp
द्विसंपात,Double coincidence
उभयावतल लेन्स,Double concave lens
"द्वि-संपर्क कुंजी, द्वि संपर्क कुंचिका",Double contact key
उभयोत्तल लेन्स,Double convex lens
द्वि-व्यतिसर्पण,Double cross-slip
द्विशः अवकलन,Double differentiation
द्वि-विसरित ट्रांजिस्टर,Double diffused transistor
द्विडायोड ट्रायोड,Double diode triode
द्विडायोड चर म्यू पेन्टोड,Double diode variable mu pentode
द्विचक्रिका इलैक्ट्रोड,Double disc electrode
द्विइलेक्ट्रॉनी जंप,Double electorn jump
द्विइलेक्ट्रॉनी उत्तेजन,Double electron excitation
"उभयमुख-प्रेक्षण, दोपास-प्रेक्षण",Double face observation
द्वि-फ़ोकसन,Double focusing
द्वि-फ़ोकसी द्रव्यमान स्पेक्ट्रमलेखी,Double focusing mass spectrograph
द्विबल,Double forces
द्विप्रणोदन,Double forcing
द्वि-हाइपेरानी खंड,Double hyperfragment
द्वि-प्रतिबिम्बी प्रिज़्म,Double image prism
द्वितः आयनित,Double ionised
द्वि आयनन,Double ionization
द्विस्तर,Double layer
"द्विलाइन, द्विक रेखा",Double line
अतिस्थायित्व संख्या,Double magic numbers
द्विनवचन्द्रक संशोधन,Double meniscus correction
द्विक दर्पण,Double mirror
द्विगुण मॉडुलन,Double modulation
द्वि-अणु,Double molecule
द्विक लोलक,Double pendulum
द्विक बिन्दु,Double point
द्विक ध्रुव,Double pole (dipole)
द्विध्रुवी द्विक्षेपी स्विच,Double pole double throw switch
द्विक परिशुद्धता,Double precision
द्विस्पंदन,Double pulsing
द्वि-चतुष्क,Double quartet
द्वि-चतुष्क संक्रण,Double quartet transition
द्विदरमापी,Double rate meter
द्विअपवर्तन,Double refraction
द्वि-प्रकीर्णन,Double scattering
द्विक श्रेणी,Double series
द्विविस्थापन नियम,Double shift rule
द्विक चिह्न,Double sign
"द्वि-साइरन, डबल सिरन",Double siren
द्विक गोलीय लोलक,Double spherical pendulum
द्विस्थानी समस्वरण,Double spot tuning
युग्म तारे,Double stars
द्वि-धारायी प्रवर्धक,Double stream amplifier
द्विसुपरहेटेरोडाइन,Double super heterodyne
द्विपृष्ठीय ट्रांजिस्टर,Double surface transistor
द्विस्पर्श,Double thouch
द्विस्पर्श विधि,Double touch method
द्विपथ,Double track
द्विपथी टेप अभिलेखन,Double track tape recording
द्वि-संचार प्रभाव,Double transmission effect
द्विट्रायोड,Double triode
द्विसमस्वरित प्रवर्धक,Double tuned ampllifier
द्विसमस्वरित परिपथ,Double tuned circuits
द्विक तरंग,Double wave
द्विशः तोलन,Double weithing
द्वि-फ़ोकसी नलिका,Double-focus tube
