Marathi,Malayalam
अवलंबून युनिट,ആശ്രിത യൂണിറ്റ്
रांग,ക്യൂ
"1. dereference, 2. dereference","1. dereference, 2. dereference"
व्युत्पन्न झाड,ഉരുത്തിരിഞ്ഞ വൃക്ഷം
व्युत्पन्न फील्ड,ഉരുത്തിരിഞ്ഞ ഫീൽഡ്
उतरत्या क्रमवारी,അവരോഹണ തരം
डिझाइन,ഡിസൈൻ
डेस्क कॅल्क्युलेटर,ഡെസ്ക് കാൽക്കുലേറ്റർ
डेस्कटॉप संगणक,ഡെസ്ക്ടോപ്പ് കമ്പ്യൂട്ടറുകൾ
डेस्कटॉप सादरीकरण,ഡെസ്ക്ടോപ്പ് അവതരണം
डेस्कटॉप प्रकाशन,ഡെസ്ക്ടോപ്പ് പ്രസിദ്ധീകരണം
डेस्कटॉप व्हिडिओ,ഡെസ്ക്ടോപ്പ് വീഡിയോ
गंतव्य पत्ता,ലക്ഷ്യസ്ഥാന വിലാസം
"1. विनाशक, 2. विनाशक","1. ഡിസ്ട്രോയർ, 2. ഡിസ്ട്രോയർ"
निर्धारक ऑटोमेटा,ഡിറ്റർമിനിസ്റ്റിക് ഓട്ടോമാറ്റ
विकसक,ഡെവലപ്പർ
विकास प्रणाली,വികസന സംവിധാനം
साधन,ഉപകരണം
डिव्हाइस नियंत्रण युनिट,ഉപകരണ നിയന്ത്രണ യൂണിറ്റ്
डिव्हाइस नियंत्रक,ഉപകരണ കൺട്രോളർ
डिव्हाइस व्यवस्थापन,ഉപകരണ മാനേജ്മെന്റ്
डिव्हाइस मोड,ഉപകരണ മോഡ്
निदान,രോഗനിർണയം
निदान प्रणाली,ഡയഗ്നോസ്റ്റിക് സിസ്റ്റം
"1. निदान, 2. निदान","1. ഡയഗ്നോസ്റ്റിക്സ്, 2. ഡയഗ്നോസ്റ്റിക്സ്"
आकृती,ഡയഗ്രം
डायल,ഡയൽ ചെയ്യുക
डायल लाइन,ഡയൽ ലൈൻ
डायल टोन,ഡയൽ ടോണ്
डायल करा,ഡയൽ അപ്
"1. संवाद, 2. संभाषण","1. സംഭാഷണം, 2. സംഭാഷണം"
संभाषण कक्ष,സംഭാഷണ മുറി
डायलअप मॉडेम,ഡയലപ്പ് മോഡം
विमा,ഇൻഷുറൻസ്
शब्दकोश,നിഘണ്ടു
"1. भिन्नता, 2. भिन्नता","1. ഡിഫറൻഷ്യൽ, 2. വ്യത്യാസം"
संख्यात्मक,സംഖ്യാപരമായ
डिजिटल प्रणाली,ഡിജിറ്റൽ സംവിധാനം
डिजिटल सर्किट,ഡിജിറ്റൽ സർക്യൂട്ട്
डिजिटल संगणक,ഡിജിറ്റൽ കമ്പ്യൂട്ടർ
"1.डिजिटल डेटा, 2.डिजिटल डेटा","1.ഡിജിറ്റൽ ഡാറ്റ, 2.ഡിജിറ്റൽ ഡാറ്റ"
डिजिटल सुविधा,ഡിജിറ്റൽ സൗകര്യം
डिजिटल फिल्टर,ഡിജിറ്റൽ ഫിൽട്ടർ
डिजिटल लायब्ररी,ഡിജിറ്റൽ ലൈബ്രറി
डिजिटल मॉड्यूलेशन,ഡിജിറ്റൽ മോഡുലേഷൻ
"1. डिजिटल डिस्प्ले, 2. डिजिटल मॉनिटर","1. ഡിജിറ്റൽ ഡിസ്പ്ലേ, 2. ഡിജിറ്റൽ മോണിറ്റർ"
डिजिटल प्रतिमा,ഡിജിറ്റൽ ചിത്രം
"1. डिजिटल स्वाक्षरी, 2. डिजिटल स्वाक्षरी","1. ഡിജിറ്റൽ സിഗ്നേച്ചർ, 2. ഡിജിറ്റൽ സിഗ്നേച്ചർ"
डिजिटल स्विच,ഡിജിറ്റൽ സ്വിച്ച്
डिजिटल अॅनालॉग कनवर्टर,ഡിജിറ്റൽ അനലോഗ് കൺവെർട്ടർ
डिजिटायझेशन,ഡിജിറ്റൈസേഷൻ
डिजिटायझेशन,ഡിജിറ്റൈസേഷൻ
डिजिटायझर,ഡിജിറ്റൈസർ
डायोड,ഡയോഡ്
प्रथमदर्शनी,പ്രഥമദൃഷ്ട്യാ
थेट पत्ता,നേരിട്ടുള്ള വിലാസം
थेट रूपांतरण,നേരിട്ടുള്ള പരിവർത്തനം
थेट जोडणी,നേരിട്ടുള്ള സംയോജനം
"1. डायरेक्ट मेमरी ऍक्सेस, 2. डायरेक्ट मेमरी ऍक्सेस (DMA)","1. ഡയറക്ട് മെമ്മറി ആക്സസ്, 2. ഡയറക്ട് മെമ്മറി ആക്സസ് (DMA)"
डायरेक्ट मेमरी ऍक्सेस (DMA),ഡയറക്ട് മെമ്മറി ആക്സസ് (DMA)
थेट पद्धत,നേരിട്ടുള്ള രീതി
दिशानिर्देश,ദിശകൾ
निर्देशिका,ഡയറക്ടറി
"1. निर्देशिका सर्व्हर, 2. निर्देशिका सर्व्हर","1. ഡയറക്ടറി സെർവർ, 2. ഡയറക്ടറി സെർവർ"
निर्देशिका सेवा,ഡയറക്ടറി സേവനം
अक्षम,സാധ്യമല്ല
सिग्नल अक्षम करणे,സിഗ്നൽ പ്രവർത്തനരഹിതമാക്കുന്നു
"1. डिस्कनेक्शन, 2. डिस्कनेक्शन","1. വിച്ഛേദിക്കൽ, 2. വിച്ഛേദിക്കൽ"
"1. स्वतंत्र, 2. स्वतंत्र","1. ഡിസ്ക്രീറ്റ്, 2. ഡിസ്ക്രീറ്റ്"
"1. डिस्क, 2. डिस्क","1. ഡിസ്ക്, 2. ഡിസ്ക്"
"1. डिस्क पत्ता, 2. डिस्क पत्ता","1. ഡിസ്ക് വിലാസം, 2. ഡിസ്ക് വിലാസം"
"1. डिस्क अॅरे, 2. डिस्क अॅरे","1. ഡിസ്ക് അറേ, 2. ഡിസ്ക് അറേ"
"1. डिस्क क्षमता, 2. डिस्क क्षमता","1. ഡിസ്ക് ശേഷി, 2. ഡിസ്ക് ശേഷി"
"1. डिस्क ड्रायव्हर, 2. डिस्क ड्राइव्ह","1. ഡിസ്ക് ഡ്രൈവർ, 2. ഡിസ്ക് ഡ്രൈവ്"
डिस्क फाइल,ഡിസ്ക് ഫയൽ
"1. डिस्क मेमरी, 2. डिस्क मेमरी, 3. डिस्क मेमरी, 4. डिस्क मेमरी","1. ഡിസ്ക് മെമ്മറി, 2. ഡിസ്ക് മെമ്മറി, 3. ഡിസ്ക് മെമ്മറി, 4. ഡിസ്ക് മെമ്മറി"
डिस्क ऑपरेटिंग सिस्टम (DoS),ഡിസ്ക് ഓപ്പറേറ്റിംഗ് സിസ്റ്റം (DoS)
डिस्क पॅकेज,ഡിസ്ക് പാക്കേജ്
"1.चक्रिका सर्व्हर, 2.डिस्क सर्व्हर","1.ചക്രിക സെർവർ, 2.ഡിസ്ക് സെർവർ"
"1. डिस्क स्टोरेज, 2. डिस्क स्टोरेज","1. ഡിസ്ക് സംഭരണം, 2. ഡിസ്ക് സംഭരണം"
डिस्केट,ഡിസ്കെറ്റ്
फाइल प्रदर्शित करा,ഫയൽ പ്രദർശിപ്പിക്കുക
प्रतिमा प्रदर्शित करा,ചിത്രം പ്രദർശിപ്പിക്കുക
विल्हेवाट,നിർമാർജനം
अंतर,ദൂരം
अंतर कार्य,ദൂരം പ്രവർത്തനം
विकृती,വളച്ചൊടിക്കൽ
वितरित,എത്തിച്ചു
वितरित डेटा,വിതരണം ചെയ്ത ഡാറ്റ
वितरित सर्व्हर,വിതരണം ചെയ്ത സെർവർ
"1.वितरित प्रणाली, 2.वितरित प्रणाली","1.ഡിസ്ട്രിബ്യൂട്ടഡ് സിസ്റ്റം, 2.ഡിസ്ട്രിബ്യൂട്ടഡ് സിസ്റ്റം"
वितरक,വിതരണക്കാരൻ
दस्तऐवज,പ്രമാണം
दस्तऐवज मान्यताप्राप्त,പ്രമാണം അംഗീകൃത
"1. दस्तऐवज विंडो, 2. दस्तऐवज विंडो","1. ഡോക്യുമെന്റ് വിൻഡോ, 2. ഡോക്യുമെന്റ് വിൻഡോ"
दस्तऐवजीकरण,പ്രമാണീകരണം
"डोमेन, डोमेन","ഡൊമെയ്ൻ, ഡൊമെയ്ൻ"
डोमेनचे नाव,ഡൊമെയ്ൻ നാമം
"1. डॉट मॅट्रिक्स प्रिंटर, 2. डॉट मॅट्रिक्स प्रिंटर","1. ഡോട്ട് മാട്രിക്സ് പ്രിന്റർ, 2. ഡോട്ട് മാട്രിക്സ് പ്രിന്റർ"
"खाली, खाली","താഴെ, താഴെ"
"1.अवलिंक, 2.स्क्वेअर","1.അവലിങ്ക്, 2.ചതുരം"
डाउनलोड करा,ഡൗൺലോഡ്
डाउनलोड वेळ,ഡൗൺലോഡ് സമയം
कर्षण,ട്രാക്ഷൻ
DRAM (डायनॅमिक रॅम),DRAM (ഡൈനാമിക് റാം)
प्रवाह,ഒഴുക്ക്
चालक,ഡ്രൈവർ
पाने,ഇലകൾ
ड्रॉप लिस्ट बॉक्स,ഡ്രോപ്പ് ലിസ്റ്റ് ബോക്സ്
ड्रम ड्राइव्ह,ഡ്രം ഡ്രൈവ്
"1.ड्रम प्रिंटर, 2.ड्रम प्रिंटर","1.ഡ്രം പ്രിന്റർ, 2.ഡ്രം പ്രിന്റർ"
"1. इम युनिट, 2. ड्रम युनिट","1. Im യൂണിറ്റ്, 2. ഡ്രം യൂണിറ്റ്"
"1. द्वैत, 2. द्वि","1. ദ്വൈതത, 2. ദ്വി"
दुहेरी घनता,ഇരട്ട സാന്ദ്രത
"1. मूक पत्ता, 2. बनावट पत्ता","1. നിശബ്ദ വിലാസം, 2. വ്യാജ വിലാസം"
डंप,തള്ളുക
डुप्लेक्स सर्किट,ഇരട്ട സർക്യൂട്ട്
कायदेशीरकरण,നിയമവിധേയമാക്കൽ
की की,കീ കീ
"1.D V D R./W, 2. डीव्हीडी वाचन, 3. लेखन","1.D V D R./W, 2. ഡിവിഡി വായന, 3. എഴുത്ത്"
डीव्हीडी रॉम,ഡിവിഡി റോം
डायनॅमिक सूचना,ചലനാത്മക നിർദ്ദേശം
"1.डायनॅमिक मेमरी, 2.डायनॅमिक मेमरी","1.ഡൈനാമിക് മെമ്മറി, 2.ഡൈനാമിക് മെമ്മറി"
"1. डायनॅमिक्स, 2. डायनॅमिक्स","1. ഡൈനാമിക്സ്, 2. ഡൈനാമിക്സ്"
E B C D I C,ഇ ബി സി ഡി ഐ സി
ई-व्यवसाय,ഇ-ബിസിനസ്
प्रतिध्वनी,പ്രതിധ്വനി
"1.ई-कॉमर्स, 2.ई-कॉमर्स","1.ഇ-കൊമേഴ്‌സ്, 2.ഇ-കൊമേഴ്‌സ്"
संपादन,എഡിറ്റിംഗ്
संपादक,എഡിറ്റർ
शैक्षणिक तंत्रज्ञान,വിദ്യാഭ്യാസ സാങ്കേതികവിദ്യ
e e p rom,ഇ ഇ പി റോം
"1. अर्थपूर्ण पत्ता, 2. प्रभावी पत्ता","1. അർത്ഥവത്തായ വിലാസം, 2. ഫലപ്രദമായ വിലാസം"
अर्थपूर्ण ऑपरेंड पत्ता,അർത്ഥവത്തായ പ്രവർത്തന വിലാസം
प्रभावी कृती,ഫലപ്രദമായ പ്രവർത്തനം
प्रभावी UID,ഫലപ്രദമായ യുഐഡി
प्रभावी ट्रांसमिशन ऑपरेशन,ഫലപ്രദമായ ട്രാൻസ്മിഷൻ പ്രവർത്തനം
ऑक्टल बाइट,ഒക്ടൽ ബൈറ്റ്
"इलेक्ट्रॉनिक शिक्षण, ई-लर्निंग","ഇലക്ട്രോണിക് പഠനം, ഇ-ലേണിംഗ്"
निवडणूक अल्गोरिदम,തിരഞ്ഞെടുപ്പ് അൽഗോരിതം
इलेक्ट्रॉनिक मेल सेवा (ई-मेल),ഇലക്ട്രോണിക് മെയിൽ സേവനം (ഇ-മെയിൽ)
"1.इलेक्ट्रॉनिक प्रिंटिंग, 2.इलेक्ट्रॉनिक प्रिंटर","1.ഇലക്‌ട്രോണിക് പ്രിന്റിംഗ്, 2.ഇലക്‌ട്രോണിക് പ്രിന്റർ"
इलेक्ट्रिकल अकाउंटिंग मशीन,ഇലക്ട്രിക്കൽ അക്കൗണ്ടിംഗ് മെഷീൻ
इलेक्ट्रॉनिक्स,ഇലക്ട്രോണിക്സ്
इलेक्ट्रॉनिक एक्झॉस्ट सिस्टम (ECS),ഇലക്ട്രോണിക് എക്‌സ്‌ഹോസ്റ്റ് സിസ്റ്റം (ഇസിഎസ്)
इलेक्ट्रॉनिक डेटा एक्सचेंज (EDI),ഇലക്ട്രോണിക് ഡാറ്റ എക്സ്ചേഞ്ച് (EDI)
इलेक्ट्रॉनिक डेटा प्रोसेसिंग,ഇലക്ട്രോണിക് ഡാറ്റ പ്രോസസ്സിംഗ്
इलेक्ट्रॉनिक ब्रोशर,ഇലക്ട്രോണിക് ബ്രോഷർ
इलेक्ट्रॉनिक निधी हस्तांतरण यंत्रणा (EFTS),ഇലക്ട്രോണിക് ഫണ്ട് ട്രാൻസ്ഫർ മെക്കാനിസം (ഇഎഫ്ടിഎസ്)
"1.इलेक्ट्रॉनिक जर्नल, 2.इलेक्ट्रॉनिक जर्नल","1.ഇലക്‌ട്രോണിക് ജേണൽ, 2.ഇലക്‌ട്രോണിക് ജേണൽ"
इलेक्ट्रॉनिक प्रकाशन,ഇലക്ട്രോണിക് പ്രസിദ്ധീകരണം
इलेक्ट्रॉनिक स्विच,ഇലക്ട്രോണിക് സ്വിച്ച്
"घटक, घटक","ഘടകം, ഘടകം"
ई-मेल,ഇ-മെയിൽ
"1. ई-मेल पत्ता, 2. इलेक्ट्रॉनिक मेलिंग पत्ता","1. ഇ-മെയിൽ വിലാസം, 2. ഇലക്ട്രോണിക് മെയിലിംഗ് വിലാസം"
एम्बेडेड प्रणाली,എംബഡഡ് സിസ്റ്റം
एम्बेडिंग,ഉൾച്ചേർക്കൽ
एमिटर कपल्ड लॉजिक (ECL),എമിറ്റർ കപ്പിൾഡ് ലോജിക് (ECL)
मोकळी जागा,ശൂന്യമായ ഇടം
"1. कोरी साखळी, 2. कोरी साखळी","1. ബ്ലാങ്ക് ചെയിൻ, 2. ബ്ലാങ്ക് ചെയിൻ"
यांत्रिकीकरण,യന്ത്രവൽക്കരണം
"1.कॅप्सुलेशन, 2.कॅप्सुलेशन","1.ക്യാപ്സുലേഷൻ, 2.ക്യാപ്സുലേഷൻ"
डिकोडर,ഡീകോഡർ
एन्कोडिंग,എൻകോഡിംഗ്
"1. एन्कोडर, 2. कोडॅक","1. എൻകോഡർ, 2. കൊഡാക്ക്"
लपलेला डेटा,മറച്ച ഡാറ്റ
लपलेली फाइल सिस्टम,മറഞ്ഞിരിക്കുന്ന ഫയൽ സിസ്റ്റം
"1. एन्क्रिप्शन, 2. कोडिंग, 3. एन्कोडिंग","1. എൻക്രിപ്ഷൻ, 2. കോഡിംഗ്, 3. എൻകോഡിംഗ്"
ब्लॉक एंड,ബ്ലോക്ക് അവസാനം
फाइल-एंड,ഫയൽ-അവസാനം
वापरकर्ता,ഉപയോക്താവ്
प्रविष्ट करा,നൽകുക
एंट्री की,എൻട്രി കീ
"१.उद्यम सरवर, २.उद्यम सेवक","1. ഉദ്യം സർവാർ, 2. ഉദ്യം സേവക്"
एंटरप्राइझ प्रणाली,എന്റർപ്രൈസ് സിസ്റ്റം
शक्ती,ശക്തി
शक्ती आत्मीयता,ശക്തി ബന്ധം
प्रवेश वेळ,പ്രവേശന സമയം
इनपुट व्हेरिएबल,ഇൻപുട്ട് വേരിയബിൾ
मोजण्यायोग्य,എണ്ണാവുന്ന
वातावरण,പരിസ്ഥിതി
"1.युग, 2. युग, 3. सूचना क्षण","1.യുഗം, 2. യുഗം, 3. നിർദ്ദേശ നിമിഷം"
EPRAM (फायनान्स प्रोग्राम करण्यायोग्य वाचनीय मेमरी),EPRAM (ഫിനാൻസ് പ്രോഗ്രാമബിൾ റീഡ്-ഓൺലി മെമ്മറി)
एप्सिलॉन कन्व्हेक्टर,എപ്സിലോൺ കൺസ്ട്രക്റ്റർ
तुल्यकारक,സമനില
उपकरणे,ഉപകരണങ്ങൾ
समतुल्य वर्ग,തുല്യതാ ക്ലാസ്
समतुल्य संबंध,തുല്യമായ ബന്ധം
"1. विलोपन, 2. निर्मूलन","1. വംശനാശം, 2. ഉന്മൂലനം"
त्रुटी सुधारणे कोड,പിശക് തിരുത്തൽ കോഡ്
त्रुटी सुधारणे,തെറ്റ് തിരുത്തൽ
त्रुटी शोधणे,പിശക് കണ്ടെത്തൽ
त्रुटी हाताळणी,പിശക് കൈകാര്യം ചെയ്യൽ
त्रुटी संदेश,പിശക് സന്ദേശം
त्रुटी दर,പിശക് നിരക്ക്
त्रुटी पुनर्प्राप्ती,പിശക് വീണ്ടെടുക്കൽ
त्रुटी नाव,പിശക് പേര്
सुटका प्रतीक,രക്ഷപ്പെടൽ ചിഹ്നം
इथरनेट,ഇഥർനെറ്റ്
कार्यक्रम,സംഭവം
कार्यक्रम साखळी,ഇവന്റ് ചെയിൻ
घटना नियंत्रण,ഇവന്റ് നിയന്ത്രണം
कार्यक्रम काउंटर,ഇവന്റ് കൗണ്ടർ
अपवाद हाताळणी,ഒഴിവാക്കൽ കൈകാര്യം ചെയ്യൽ
एक्सचेंज डिस्क स्टोरेज,എക്സ്ചേഞ്ച് ഡിസ്ക് സംഭരണം
बहिष्कार,ഒഴിവാക്കൽ
अनन्य आणि (x किंवा),എക്സ്ക്ലൂസീവ് കൂടാതെ (x അല്ലെങ്കിൽ)
एक्झिक्युटेबल प्रोग्राम,എക്സിക്യൂട്ടബിൾ പ്രോഗ്രാം
अंमलबजावणी विधान,നിർവ്വഹണ പ്രസ്താവന
निवडक शोध,തിരഞ്ഞെടുത്ത തിരയൽ
विद्यमान,നിലവിലുള്ള
समस्या,ഇഷ്യൂ
तज्ञ प्रणाली,വിദഗ്ധ സംവിധാനം
"1. अभिव्यक्ती, 2. अभिव्यक्ती","1. എക്സ്പ്രഷൻ, 2. ആവിഷ്കാരം"
विस्तारित ग्राफिकल मॅट्रिक्स (x g a),വിപുലീകരിച്ച ഗ്രാഫിക്കൽ മാട്രിക്സ് (x g a)
विस्तारित औद्योगिक मानके (EIS),വിപുലീകരിച്ച വ്യാവസായിക മാനദണ്ഡങ്ങൾ (EIS)
ओव्हरलोड मशीन,ഓവർലോഡഡ് മെഷീൻ
विस्तारित मेमरी,വിപുലീകരിച്ച മെമ്മറി
"1. विस्तारित अचूकता, 2. विस्तारित अचूकता","1. എക്സ്റ്റൻഡഡ് പ്രിസിഷൻ, 2. എക്സ്റ്റൻഡഡ് കൃത്യത"
"1.विस्तारित वर्गीकरण, 2.विस्तारित पृथक्करण","1.എക്സ്റ്റെൻഡഡ് സോർട്ടിംഗ്, 2.എക്സ്റ്റെൻഡഡ് സെപ്പറേഷൻ"
कॉल करा,സഹായത്തിനായി വിളിക്കുക
बाह्य त्रुटी,ബാഹ്യ പിശക്
बाह्य कार्य,ബാഹ്യ പ്രവർത്തനം
बाह्य व्यत्यय,ബാഹ്യ തടസ്സം
"1.बाह्य मेमरी, 2.बाह्य मेमरी","1. ബാഹ്യ മെമ്മറി, 2. ബാഹ്യ മെമ്മറി"
बाह्य मेमरी,ബാഹ്യ മെമ്മറി
बाह्य मोडेम,ബാഹ്യ മോഡം
बाह्य संदर्भ,ബാഹ്യ റഫറൻസ്
बाह्य शोध,ബാഹ്യ തിരയൽ
बाह्य स्टोरेज डिव्हाइस,ബാഹ്യ സംഭരണ ഉപകരണം
काढणे,വേർതിരിച്ചെടുക്കൽ
एक्सट्रापोलेशन,എക്സ്ട്രാപോളേഷൻ
पॅनेल वर्ण प्रिंटर,പാനൽ പ്രതീക പ്രിന്റർ
अयशस्वी-सुरक्षा ऑपरेशन,പരാജയപ്പെടാത്ത പ്രവർത്തനം
अपयशाचा दर,പരാജയതോത്
अयशस्वी डिस्चार्ज,പരാജയം ഡിസ്ചാർജ്
खोटा कोड,തെറ്റായ കോഡ്
खोटी चूक,തെറ്റായ പിശക്
"1.गुंतवणूक, 2.गुंतवणुकीचे गुण","1.നിക്ഷേപം, 2.നിക്ഷേപ പോയിന്റുകൾ"
"1. अंक, 2. अंक क्रमांक","1. ലക്കം, 2. ലക്കം നമ്പർ"
"1. प्रतिकृती I/O डिव्हाइस, 2. प्रतिकृती इनपुट डिव्हाइस/आउटपुट","1. റെപ്ലിക്കേഷൻ I/O ഉപകരണം, 2. റെപ്ലിക്ക ഇൻപുട്ട് ഉപകരണം/ഔട്ട്‌പുട്ട്"
जलद फोरियर हस्तांतरण,ദ്രുത ഫോർയർ ട്രാൻസ്ഫർ
गंभीर त्रुटी,മാരകമായ തെറ്റ്
दोष शोधणे,തെറ്റ് കണ്ടെത്തൽ
दोष निदान,തെറ്റ് രോഗനിർണയം
चुकीची सहनशीलता,തെറ്റ് സഹിഷ്ണുത
फॅक्स,ഫാക്സ്
फॅक्स संदेश,ഫാക്സ് സന്ദേശം
f dc,എഫ് ഡിസി
लक्षण शोधणे,ലക്ഷണം കണ്ടുപിടിക്കൽ
चाक भरणे,ചക്രം നിറയ്ക്കുക
पुनर्गुंतवणूक,പുനർനിക്ഷേപം
"1.पुरवठादार, 2.पोषण, 3.फीडर","1.വിതരണക്കാരൻ, 2. പോഷകാഹാരം, 3. തീറ്റ"
anyan,ഏതെങ്കിലും
फिबोनाची शोध,ഫിബൊനാച്ചിയുടെ കണ്ടെത്തൽ
फिबोनाची क्रम,ഫിബൊനാച്ചി സീക്വൻസ്
फिबोनाची मालिका,ഫിബൊനാച്ചി സീരീസ്
फायबर ऑप्टिक्स,ഫൈബർ ഒപ്റ്റിക്സ്
फिडो ट्रॅप,ഫിഡോ കെണി
प्रदेश,പ്രദേശം
पाचव्या पिढीचा संगणक,അഞ്ചാം തലമുറ കമ്പ്യൂട്ടർ
"1.फाइल, 2. फाइल","1. ഫയൽ, 2. ഫയൽ"
फाइल प्रवेश पद्धत,ഫയൽ ആക്സസ് രീതി
फाइल वाटप सारणी,ഫയൽ അലോക്കേഷൻ പട്ടിക
फाइल कॉम्प्रेशन,ഫയൽ കംപ്രഷൻ
फाइल कॉपी करणे,ഫയൽ പകർത്തൽ
फाइल कॉन्फिगरेशन,ഫയൽ കോൺഫിഗറേഷൻ
फाइल विलीन करा,ഫയൽ ലയിപ്പിക്കുക
फाइल पुनर्प्राप्ती,ഫയൽ വീണ്ടെടുക്കൽ
फाइल स्टोरेज,ഫയൽ സംഭരണം
फाइल संरचना,ഫയൽ ഘടന
फाइल सिस्टम,ഫയൽ സിസ്റ്റം
फाइल हस्तांतरण,ഫയൽ കൈമാറ്റം
फाइल ट्रान्सफर प्रोटोकॉल (FTP),ഫയൽ ട്രാൻസ്ഫർ പ്രോട്ടോക്കോൾ (FTP)
फिल्टर,ഫിൽട്ടർ
शेवटची स्थिती,അവസാന സ്ഥാനം
शोधा,തിരയുക
मर्यादित राज्य मशीन,പരിമിത സംസ്ഥാന യന്ത്രം
आग भिंत,അഗ്നി മതിൽ
फर्मवेअर,ഫേംവെയർ
प्रथम येणाऱ्यास प्रथम सेवा,ആദ്യം വരുന്നവർക്ക് ആദ്യം നൽകുക
पहिल्या पिढीचा संगणक,ആദ്യ തലമുറ കമ്പ്യൂട്ടർ
फर्स्ट इनपुट फर्स्ट इश्यू (FIFO),ആദ്യ ഇൻപുട്ട് ആദ്യ ലക്കം (FIFO)
प्रथम ऑर्डर युक्तिवाद,ആദ്യ ഓർഡർ വാദം
प्रथम ऑर्डर तत्त्व,ആദ്യ ഓർഡർ തത്വം
निश्चित विभागणी,നിശ്ചിത വിഭജനം
सही करा,അടയാളം
लवचिक डिस्क,ഫ്ലെക്സിബിൾ ഡിസ്ക്
फ्लॉपी डिस्क,ഫ്ലോപ്പി ഡിസ്ക്
फ्लॉपी डिस्क ड्राइव्ह (FDD),ഫ്ലോപ്പി ഡിസ്ക് ഡ്രൈവ് (FDD)
प्रवाह चार्ट,ഫ്ലോ ചാർട്ട്
नियंत्रण प्रवाह,നിയന്ത്രണം ഒഴുക്ക്
पहाट,മുന്നേ
फोल्डर,ഫോൾഡർ
फॉन्ट,ഫോണ്ട്
फॉन्ट कुटुंब,ഫോണ്ട് കുടുംബം
बाह्य की,ബാഹ്യ കീ
फॉर्म,ഫോം
प्रतीकात्मक भाषा,പ്രതീകാത്മക ഭാഷ
प्रतीकात्मक पद्धत,പ്രതീകാത്മക രീതി
"1.स्वरूप, 2.फॉर्म","1.ഫോർമാറ്റ്, 2.ഫോം"
रेखाचित्र,ഡ്രോയിംഗ്
फोर्टॉन,ഫോർട്രോൺ
"1. Fortran (एक संगणक भाषा) प्रोग्राम, 2. Fortran प्रोग्रामिंग","1.ഫോർട്രാൻ (ഒരു കമ്പ്യൂട്ടർ ഭാഷ) പ്രോഗ്രാം, 2. ഫോർട്രാൻ പ്രോഗ്രാമിംഗ്"
पुढे झुकणारी तिरकी रेष,ഫോർവേഡ് സ്ലാഷ്
चौथ्या पिढीचा संगणक,നാലാം തലമുറ കമ്പ്യൂട്ടർ
विभाग,വിഭാഗം
फ्रेम,ഫ്രെയിം
"1.फ्री नेट, 2.फ्री नेट","1.സ്വതന്ത്ര വല, 2.സൗജന്യ വല"
मोफत सॉफ्टवेअर ट्रस्ट,സ്വതന്ത്ര സോഫ്റ്റ്‌വെയർ ട്രസ്റ്റ്
विनामूल्य संचयन,സൗജന്യ സംഭരണം
फ्रीवेअर,ഫ്രീവെയർ
समोर,മുന്നിൽ
"1. फ्रंट पॅनल, 2. फ्रंट पॅनल","1.ഫ്രണ്ട് പാനൽ, 2.ഫ്രണ്ട് പാനൽ"
"1.कार्ये, 2. कार्य","1. പ്രവർത്തനങ്ങൾ, 2. പ്രവർത്തനം"
फंक्शन की,ഫംഗ്ഷൻ കീ
कार्य संदर्भ,ഫംഗ്ഷൻ റഫറൻസ്
कार्यात्मक अवलंबित्व,പ്രവർത്തനപരമായ ആശ്രിതത്വം
कार्य चाचणी,ഫംഗ്ഷൻ ടെസ്റ്റ്
"1.अस्पष्ट तर्क, 2.अस्पष्ट तर्क","1.അവ്യക്തമായ യുക്തി, 2.അവ്യക്തമായ യുക്തി"
"1.अस्पष्ट संच, 2.अस्पष्ट संच","1. ഫസി സെറ്റ്, 2. ഫസി സെറ്റ്"
मिळवणे,നേട്ടം
क्रीडा वृक्ष,കായിക വൃക്ഷം
मध्यांतर वर्ण,ഇടവേള പ്രതീകം
कचरा,മാലിന്യം
कचरा गोळा करणे,മാലിന്ന്യ ശേഖരണം
कचरा गोळा करणे,മാലിന്ന്യ ശേഖരണം
कचरा आत कचरा बाहेर (Gigo),ട്രാഷ് ഔട്ട് ഇൻസൈഡ് ട്രാഷ് (ജിഗോ)
दरवाजा,വാതിൽ
दरवाजाचा मार्ग (नेटवर्कच्या संदर्भात),വാതിൽ പാത (നെറ്റ്‌വർക്കിന്റെ പശ്ചാത്തലത്തിൽ)
सर्वसमावेशक कार्यक्रम,സമഗ്രമായ പ്രോഗ്രാം
सर्वसमावेशक कार्यक्रम,സമഗ്രമായ പ്രോഗ്രാം
व्यापक उद्देश संगणक,വിശാലമായ ഉദ്ദേശ്യ കമ്പ്യൂട്ടർ
सामान्य उद्देश संगणक,പൊതു ഉദ്ദേശ്യ കമ്പ്യൂട്ടർ
सामान्य नोंदणी,പൊതു രജിസ്റ്റർ
सामान्यीकरण,പൊതുവൽക്കരണം
सामान्यीकरण,പൊതുവൽക്കരണം
विस्तृत ऑब्जेक्ट भाषा,വിശാലമായ വസ്തു ഭാഷ
ब्रॉड पर्पज ऑपरेशन सिस्टम,ബ്രോഡ് പർപ്പസ് ഓപ്പറേഷൻ സിസ്റ്റം
सर्वसमावेशक उद्देश नोंदणी,സമഗ്രമായ ഉദ്ദേശ്യ രജിസ്റ്റർ
त्रुटी निर्माण झाली,പിശക് സൃഷ്ടിച്ചു
