Kannada,Assamese
ನಿಯಂತ್ರಣ ಸರ್ಕ್ಯೂಟ್,নিয়ন্ত্ৰণ বৰ্তনী
ನಿಯಂತ್ರಣ ಚಕ್ರ,নিয়ন্ত্ৰণ চকা
"1. ಕಂಟ್ರೋಲ್ ಇಂಜಿನಿಯರಿಂಗ್, 2. ಕಂಟ್ರೋಲ್ ಇಂಜಿನಿಯರಿಂಗ್","১/ নিয়ন্ত্ৰণ অভিযান্ত্ৰিকী, ২/ নিয়ন্ত্ৰণ অভিযান্ত্ৰিক"
ನಿಯಂತ್ರಣ ಕೀ,নিয়ন্ত্ৰণ কি&#39;
ನಿಯಂತ್ರಣ ತರ್ಕ,নিয়ন্ত্ৰণ যুক্তি
ನಿಯಂತ್ರಣ ಲೂಪ್,নিয়ন্ত্ৰণ লুপ
ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ,নিয়ন্ত্ৰণ চিন
ನಿಯಂತ್ರಣ ಕಾರ್ಯಾಚರಣೆ,নিয়ন্ত্ৰণ কাৰ্য্য
ನಿಯಂತ್ರಣಫಲಕ,নিয়ন্ত্ৰণ পেনেল
ನಿಯಂತ್ರಣ ಸಂಕೇತ,নিয়ন্ত্ৰণ সংকেত
ನಿಯಂತ್ರಣ ಸ್ವಿಚ್,নিয়ন্ত্ৰণ চুইচ
ನಿಯಂತ್ರಣ ಟೇಪ್,নিয়ন্ত্ৰণ টেপ
"1. ಕಂಟ್ರೋಲ್ ಟರ್ಮಿನಲ್, 2. ಕಂಟ್ರೋಲ್ ಟರ್ಮಿನಲ್","1. নিয়ন্ত্ৰণ টাৰ্মিনেল, 2. নিয়ন্ত্ৰণ টাৰ্মিনেল"
"1. ನಿಯಂತ್ರಣ ಘಟಕ, 2. ನಿಯಂತ್ರಣ ಘಟಕ","১.নিয়ন্ত্ৰণ একক, ২. নিয়ন্ত্ৰণ একক"
ಒಮ್ಮುಖ,অভিসৰণ
ಸಂಭಾಷಣೆ,সংলাপ
ಸಂವಾದಾತ್ಮಕ ಕರೆ,কথোপকথনমূলক কল
ಪರಿವರ್ತನೆ,ৰূপান্তৰ
ಪರಿವರ್ತಕ,ৰূপান্তৰক
ಕುಕ್ ಪ್ರಮೇಯ,কুকৰ উপপাদ্য
ಸಹ-ಸಂಸ್ಕಾರಕ,সহ-প্ৰচেছৰ
ನಕಲು,কপি কৰক
ಕೃತಿಸ್ವಾಮ್ಯ,কপিৰাইট
ಬಳ್ಳಿಯ,কৰ্ড
"1. ತಂತಿರಹಿತ ದೂರವಾಣಿ, 2. ನಿಸ್ತಂತು ದೂರವಾಣಿ, 3. ನಿಸ್ತಂತು ದೂರವಾಣಿ","1.কৰ্ডলেছ টেলিফোন, 2. বেতাঁৰ টেলিফোন, 3. বেতাঁৰ টেলিফোন"
ಉಪಪ್ರಮೇಯ,উপপাপপাতি
ತಿದ್ದುಪಡಿ,সংশোধনী
"1. ಬಳಸಲಾಗದ, 2. ವಿಕೃತ","১.ব্যৱহাৰযোগ্য, ২.বিকৃত"
ಲೆಕ್ಕಾಚಾರ,গণনা কৰা
ಸ್ಕೋರರ್,স্ক&#39;ৰাৰ
ದೇಶದ ಕೋಡ್,দেশৰ কোড
ಸಹವರ್ತಿತ್ವ,সহাৱস্থান
"1. ವ್ಯಾಪ್ತಿ ಪ್ರದೇಶ, 2. ಪ್ರಸಾರ","১/ পৰিসৰৰ ক্ষেত্ৰফল, ২. সম্প্ৰচাৰ"
ಕುಸಿತ,পতন হোৱা
ನಿರ್ಣಾಯಕ ಮಾರ್ಗ,জটিল পথ
ಕ್ರಿಟಿಕಲ್ ಪಾತ್ ಮೆಥಡ್ (CPM),জটিল পথ পদ্ধতি (CPM)
"1.ಕ್ರಾಸ್ ಟೆಸ್ಟ್, 2.ಕ್ರಾಸ್ ಟೆಸ್ಟ್","১.ক্ৰছ টেষ্ট, ২.ক্ৰছ টেষ্ট"
"1.ಕ್ರಾಸ್ ಪ್ರೋಗ್ರಾಮೆಬಲ್-ವರ್ಗಾವಣೆ, 2. ಪ್ರತಿ ಪ್ರೋಗ್ರಾಮೆಬಲ್","1.ক্ৰছ প্ৰগ্ৰেমেবল-স্থানান্তৰ, 2. প্ৰতি প্ৰগ্ৰেমেবল"
ಅಪ್ರಸ್ತುತ ಸಂಕೇತ,অপ্রাসংগিক সংকেত
ಅಪ್ರಸ್ತುತ ಮಾತು,অপ্রাসংগিক কথা
ಗುಪ್ತ ಲಿಪಿಶಾಸ್ತ್ರ,ক্ৰিপ্টোগ্ৰাফী
"1. ಗುಪ್ತ ಲಿಪಿಶಾಸ್ತ್ರ, 2. ಗುಪ್ತ ಲಿಪಿಶಾಸ್ತ್ರ, 3. ಗುಪ್ತ ಲಿಪಿ ಶಾಸ್ತ್ರ","1. ক্ৰিপ্টোগ্ৰাফী, 2. ক্ৰিপ্টোগ্ৰাফী, 3. ক্ৰিপ্টোগ্ৰাফী"
ಕರೆನ್ಸಿ ಚಿಹ್ನೆ,মুদ্ৰাৰ চিহ্ন
ಪ್ರಸ್ತುತ ಡೈರೆಕ್ಟರಿ,বৰ্তমান ডাইৰেকটৰি
ಪ್ರಸ್ತುತ ವಿಂಡೋ,বৰ্তমান উইন্ডো
ಕರ್ಸರ್,কাৰ্চাৰ
ವಕ್ರರೇಖೆ,বক্ৰ
"1. ಕಟ್ ಅಂಡ್ ಪೇಸ್ಟ್, 2. ಕಟ್ ಅಂಡ್ ಪೇಸ್ಟ್","১/ কাটি পেষ্ট কৰক, ২) কাটি পেষ্ট কৰক"
ಕತ್ತರಿಸುವ ವಿಧಾನ,ছিয়াৰিং পদ্ধতি
ಸೈಬರ್,চাইবাৰ
ಸೈಬರ್ ಕೆಫೆ,চাইবাৰ কেফে
ಸೈಬರ್ ನಗದು,চাইবাৰ নগদ ধন
ಸೈಬರ್ ಅಪರಾಧ,চাইবাৰ অপৰাধ
ಸೈಬರ್ ಡೇಲೆಕ್ಸ್,চাইবাৰ ডেলেক্স
ಸೈಬರ್ ಕಾನೂನು,চাইবাৰ আইন
ಸೈಬರ್ ಸೆಕ್ಸ್,চাইবাৰ যৌনতা
"1. ಸೈಬರ್ ಸೈನ್ಸ್, 2. ಸೈಬರ್ನೆಟಿಕ್ಸ್","১/ চাইবাৰ বিজ্ঞান, ২. চাইবাৰনেটিক্স"
"1.ಸೈಬರೀಕರಣ, 2. ಸೈಬರೀಕರಣ","1.চাইবাৰাইজেচন, 2. চাইবাৰাইজেচন"
ಸೈಕಲ್,চক্ৰ
"1.ಚಕ್ರ ಸ್ಮರಣೆ, 2.ಚಕ್ರ ಸ್ಮರಣೆ","১.চক্ৰ স্মৃতি, ২.চক্ৰ স্মৃতি"
ಸೈಕಲ್ ನಷ್ಟ,চক্ৰ ক্ষতি
ಸೈಕಲ್ ಸಮಯ,চক্ৰৰ সময়
ಆವರ್ತಕ,চক্ৰীয়
ಡೀಮನ್,ডেমন
ಡೈಸಿ ಚಕ್ರ,ডেইজী চক্ৰ
ಡೇಟಾ ನಿರ್ವಾಹಕ,ডাটা প্ৰশাসক
ಡೇಟಾ ಹಂಚಿಕೆ,তথ্য আবণ্টন
"1.ಡೇಟಾ ಕ್ಷೇತ್ರ, 2.ಡೇಟಾ ಕ್ಷೇತ್ರ","1.ডাটা ফিল্ড, 2.ডাটা ফিল্ড"
"1.ಡೇಟಾ ಅರೇ, 2. ಡೇಟಾ ಶ್ರೇಣಿ","1.ডাটা এৰে, 2. ডাটা এৰে"
"1.ಡೇಟಾ-ಬೇಸ್, 2.ಡೇಟಾಬೇಸ್","১.ডাটা-বেছ, ২.ডাটাবেছ"
ಡೇಟಾ ವಿಘಟನೆ,তথ্যৰ খণ্ডিতকৰণ
"1. ಡೇಟಾ ಬಸ್, 2. ಡೇಟಾ ಬಸ್","১.ডাটা বাছ, ২.ডাটা বাছ"
"1.ಡೇಟಾ ಕ್ಯಾರಿಯರ್, 2.ಡೇಟಾ ಕ್ಯಾರಿಯರ್","1.ডাটা কেৰিয়াৰ, 2.ডাটা কেৰিয়াৰ"
ಡೇಟಾ ಸೆಲ್,ডাটা চেল
"1.ಡೇಟಾ ಸಿಸ್ಟಮ್, 2.ಡೇಟಾ ಚಾನಲ್","১.ডাটা চিষ্টেম, ২.ডাটা চেনেল"
ಡೇಟಾ ಸಂವಹನ,ডাটা যোগাযোগ
"1.ಡೇಟಾ ಕಂಪ್ರೆಷನ್, 2.ಡೇಟಾ ಕಂಪ್ರೆಷನ್","1.ডাটা কম্প্ৰেছন, 2.ডাটা কম্প্ৰেছন"
ಡೇಟಾ ಪ್ರದೇಶ,ডাটা ফিল্ড
ಡೇಟಾ ಫೈಲ್,ডাটা ফাইল
"1. ಡೇಟಾ ಫ್ಲೋ, 2. ಡೇಟಾ ಫ್ಲೋ","১.ডাটা ফ্ল’, ২.ডাটা ফ্ল’"
"1.ಡೇಟಾ ಫ್ಲೋಚಾರ್ಟ್, 2.ಚಾರ್ಟ್","১.ডাটা ফ্ল’চাৰ্ট, ২.চাৰ্ট"
ಡೇಟಾ ಕ್ರಮಾನುಗತ,ডাটা হাইৰাৰ্কি
ಡೇಟಾ ಮಟ್ಟ,তথ্যৰ স্তৰ
"1.ಡೇಟಾ ಕಲೆಕ್ಷನ್, 2.ಡೇಟಾ ಲೈಬ್ರರಿ","১.তথ্য সংগ্ৰহ, ২.তথ্য লাইব্ৰেৰী"
ಡೇಟಾ ಲಿಂಕ್ ಲೇಯರ್,ডাটা লিংক স্তৰ
ಡೇಟಾ ಲಿಂಕ್ ಲೇಯರ್ (DLL),ডাটা লিংক স্তৰ (DLL)
"1.ಡೇಟಾ ಮ್ಯಾನೇಜ್ಮೆಂಟ್, 2.ಡೇಟಾ ಮ್ಯಾನೇಜ್ಮೆಂಟ್","১.ডাটা মেনেজমেণ্ট, ২.ডাটা মেনেজমেণ্ট"
"1.ಡೇಟಾ ಲೆಕ್ಕಾಚಾರ, 2.ಡೇಟಾ ಲೆಕ್ಕಾಚಾರ","১.তথ্য গণনা, ২.তথ্য গণনা"
ಡೇಟಾ ಸಂಸ್ಕರಣಾ ಭಾಷೆ (DML),তথ্য প্ৰক্ৰিয়াকৰণ ভাষা (DML)
ಡೇಟಾ ಮೋಡೆಮ್ ಡೇಟಾ ಮೋಡೆಮ್,ডাটা মডেম ডাটা মডেম
"1.ಡೇಟಾ ಮಾರ್ಪಾಡು, 2.ಡೇಟಾ ಮಾರ್ಪಾಡು","১.তথ্য পৰিৱৰ্তন, ২.তথ্য পৰিৱৰ্তন"
"1.ಡೇಟಾ ನೆಟ್‌ವರ್ಕ್, 2.ಡೇಟಾ ನೆಟ್‌ವರ್ಕ್","১.ডাটা নেটৱৰ্ক, ২.ডাটা নেটৱৰ্ক"
"1.ಡೇಟಾ ಕಾರ್ಯಾಚರಣೆ, 2.ಡೇಟಾ ಕಾರ್ಯಾಚರಣೆ","1.ডাটা অপাৰেচন, 2.ডাটা অপাৰেচন"
"1. ಡೇಟಾ ಸಂಸ್ಥೆಗಳು, 2. ಡೇಟಾ ಸಂಘಟನೆ","1.ডাটা সংস্থাসমূহ, 2. ডাটা সংস্থাপন"
"1. ಡೇಟಾ ಔಟ್‌ಪುಟ್, 2. ಡೇಟಾ ಔಟ್‌ಪುಟ್","1. ডাটা আউটপুট, 2. ডাটা আউটপুট"
"1.ಡೇಟಾ ಪಾತ್, 2.ಡೇಟಾ ಪಾತ್","1.ডাটা পাথ, 2.ডাটা পাথ"
"1.ಡೇಟಾ ತಯಾರಿ, 2. ಡೇಟಾ ತಯಾರಿ","1.তথ্য প্ৰস্তুত কৰা, 2. তথ্য প্ৰস্তুত কৰা"
"1.ಡೇಟಾ ಗೌಪ್ಯತೆ, 2.ಡೇಟಾ ಗೌಪ್ಯತೆ","1.ডাটা গোপনীয়তা, 2.ডাটা গোপনীয়তা"
"1. ಡೇಟಾ ಪ್ರೊಸೆಸರ್, 2. ಡೇಟಾ ಪ್ರೊಸೆಸರ್","1. ডাটা প্ৰচেছৰ, 2. ডাটা প্ৰচেছৰ"
"1.ಡೇಟಾ ಪ್ರೊಟೆಕ್ಷನ್, 2.ಡೇಟಾ ಪ್ರೊಟೆಕ್ಷನ್","1.তথ্য সুৰক্ষা, 2.তথ্য সুৰক্ষা"
"1. ಡೇಟಾ ರೆಕಾರ್ಡ್, 2. ಡೇಟಾ ರೆಕಾರ್ಡ್","১.ডাটা ৰেকৰ্ড, ২.ডাটা ৰেকৰ্ড"
"1. ಡೇಟಾ ಮರುಪಡೆಯುವಿಕೆ, 2. ಡೇಟಾ ಮರುಪಡೆಯುವಿಕೆ","1. তথ্য উদ্ধাৰ, 2. তথ্য উদ্ধাৰ"
"1. ದತ್ತಾಂಶ ದಿನಚರಿ, 2. ಡೇಟಾ ದಿನಚರಿ","১.ডাটা ৰুটিন, ২.ডাটা ৰুটিন"
"1.ಡೇಟಾ ಭದ್ರತೆ, 2.ಡೇಟಾ ಭದ್ರತೆ","1.ডাটা সুৰক্ষা, 2.ডাটা সুৰক্ষা"
"1.ಡೇಟಾ ಸೆಟ್, 2. ಡೇಟಾ ಸೆಟ್","1.ডাটা ছেট, 2. ডাটা ছেট"
"1.ಡೇಟಾ ಸಿಗ್ನಲ್, 2.ಡೇಟಾ ಸಿಗ್ನಲ್","1.ডাটা সংকেত, 2.ডাটা সংকেত"
"1. ಡೇಟಾ ಪ್ರವೇಶ, 2. ಡೇಟಾ ಪ್ರವೇಶ","1. ডাটা এক্সেছ, 2. ডাটা এক্সেছ"
"1.ಡೇಟಾ ಮೂಲ, 2.ಡೇಟಾ ಮೂಲ","১.তথ্যৰ উৎস, ২.তথ্যৰ উৎস"
"1.ಡೇಟಾ ವಿವರಣೆ, 2. ಡೇಟಾ ನಿರ್ದಿಷ್ಟತೆ","1.ডাটা স্পেচিফিকেশন, 2. তথ্যৰ নিৰ্দিষ্টকৰণ"
"1.ಡೇಟಾ ಸೆಂಟರ್, 2.ಡೇಟಾ ಸೆಂಟರ್","১.ডাটা চেণ্টাৰ, ২.ডাটা চেণ্টাৰ"
"1. ಡೇಟಾ ಸಂಗ್ರಹಣೆ, 2. ಡೇಟಾ ಸಂಗ್ರಹಣೆ","1. তথ্য সংৰক্ষণ, 2. তথ্য সংৰক্ষণ"
ಡೇಟಾ ಶೇಖರಣಾ ರಚನೆ,তথ্য সংৰক্ষণ গঠন
"1. ಡೇಟಾ ರಚನೆ, 2. ಡೇಟಾ ರಚನೆ","1. তথ্যৰ গঠন, 2. তথ্যৰ গঠন"
"1.ಡೇಟಾ ಸ್ವಿಚ್, 2.ಡೇಟಾ ಸ್ವಿಚ್","১.ডাটা চুইচ, ২.ডাটা চুইচ"
"1.ಡೇಟಾ ಟೇಬಲ್, 2.ಡೇಟಾ ಟೇಬಲ್","1.তথ্য টেবুল, 2.তথ্য টেবুল"
"1.ಡೇಟಾ ಅಂತ್ಯ, 2. ಡೇಟಾ ಅಂತ್ಯ","1.ডাটা শেষ, 2. ডাটা শেষ"
"1. ಡೇಟಾ ಪ್ರತಿಲೇಖನ, 2. ಡೇಟಾ ಪ್ರತಿಲೇಖನ","১.ডাটা ট্ৰান্সক্ৰিপচন, ২.ডাটা ট্ৰান্সক্ৰিপচন"
"1.ಡೇಟಾ ವರ್ಗಾವಣೆ, 2. ಡೇಟಾ ವರ್ಗಾವಣೆ","1.ডাটা স্থানান্তৰ, 2. ডাটা ট্ৰেন্সফাৰ"
"1. ದತ್ತಾಂಶ ಪ್ರಸರಣ, 2. ಮಾಹಿತಿ ಪ್ರಸರಣ","1. ডাটা ট্ৰেন্সমিছন, 2. ডাটা ট্ৰেন্সমিছন"
"1.ಡೇಟಾ ಟ್ರಾನ್ಸ್ಮಿಷನ್ ಸಿಸ್ಟಮ್, 2.ಡೇಟಾ ಟ್ರಾನ್ಸ್ಮಿಷನ್ ಸಿಸ್ಟಮ್","1.ডাটা ট্ৰেন্সমিছন চিষ্টেম, 2.ডাটা ট্ৰেন্সমিছন চিষ্টেম"
"1. ಡೇಟಾ ಫಾರ್ಮ್ಯಾಟ್, 2. ಡೇಟಾ ಫಾರ್ಮ್ಯಾಟ್","1. ডাটা ফৰ্মেট, 2. ডাটা ফৰ্মেট"
"1. ಡೇಟಾ ಘಟಕ, 2. ಡೇಟಾ ಘಟಕ","১.ডাটা ইউনিট, ২.ডাটা ইউনিট"
"1.ಡೇಟಾ ಮೌಲ್ಯೀಕರಣ, 2.ಡೇಟಾ ಮೌಲ್ಯೀಕರಣ","1.তথ্য বৈধকৰণ, 2.তথ্য বৈধকৰণ"
ಡೇಟಾಬೇಸ್,ডাটাবেছ
ಡೇಟಾಬೇಸ್ ಆಡಳಿತ,ডাটাবেছ প্ৰশাসন
ಡೇಟಾಬೇಸ್ ವಿನ್ಯಾಸ,ডাটাবেছ ডিজাইন
ಡೇಟಾಬೇಸ್ ನಿರ್ವಹಣಾ ವ್ಯವಸ್ಥೆ,ডাটাবেছ ব্যৱস্থাপনা ব্যৱস্থা
"1.ಡೇಟಾಗ್ರೇವ್, 2.ಡೇಟಾಗ್ರೇವ್","১.ডাটাগ্ৰেভ, ২.ডাটাগ্ৰেভ"
"1. ಡೇಟಾ, 2. ಡೇಟಾ","1. ডেটাম, 2. ডাটা"
"1. ನಿಷ್ಕ್ರಿಯ ವಲಯ, 2. ನಿಷ್ಕ್ರಿಯ ವಲಯ","১.নিষ্ক্ৰিয় অঞ্চল, ২.নিষ্ক্ৰিয় অঞ্চল"
ಬಿಕ್ಕಟ್ಟು,ডেডলক
ಡೆಡ್ಲಾಕ್ ತಡೆಗಟ್ಟುವಿಕೆ,ডেডলক প্ৰতিৰোধ
ದೋಷ ತೆರವು,দোষ নিষ্কাশন
"1. ಜಡ್ಜ್‌ಮೆಂಟ್ ಸೆಲ್, 2. ಜಡ್ಜ್‌ಮೆಂಟ್ ಬಾಕ್ಸ್","১/ বিচাৰ কোষ, ২/ বিচাৰ বাকচ"
ನಿರ್ಧಾರ ಪ್ರಕ್ರಿಯೆ,সিদ্ধান্ত গ্ৰহণ প্ৰক্ৰিয়া
ನಿರ್ಧಾರ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ,সিদ্ধান্ত সমৰ্থন ব্যৱস্থা
ನಿರ್ಧಾರ ಮರ,সিদ্ধান্ত গছ
"1. ಡಿಕೋಡರ್, 2. ಡಿಕೋಡರ್","১.ডিকোডাৰ, ২.ডিকোডাৰ"
ವಿಸರ್ಜನೆಯ ತತ್ವ,দ্ৰৱণ নীতি
ಡಿಕೋಡಿಂಗ್,ডিকোডিং
ಮೀಸಲಾದ ವ್ಯವಸ್ಥೆ,ডেডিকেটেড চিষ্টেম
ಮೀಸಲಾದ ಪತ್ರಿಕಾ,ডেডিকেটেড প্ৰেছ
ಇಮ್ಯುನೈಸೇಶನ್ ಡೇಟಾ ನೆಟ್‌ವರ್ಕ್ (DDN),প্ৰতিষেধক ডাটা নেটৱৰ্ক (DDN)
ರೋಗನಿರೋಧಕ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,টিকাকৰণ তথ্য ব্যৱস্থা
ಏಕೀಕರಣ,সংহতি
ವಿಳಂಬ,পলম কৰা
ವಿಳಂಬ ಕೌಂಟರ್,বিলম্ব কাউণ্টাৰ
ವಿಳಂಬ ಸಮಯ,বিলম্বৰ সময়
"1.ಅಳಿಸು, 2.ಅಳಿಸು","১.মচি পেলোৱা, ২.মচি পেলোৱা"
ಅಳಿಸುವಿಕೆ ದಾಖಲೆ,ডিলিচন ৰেকৰ্ড
ಡಿಲಿಮಿಟರ್,সীমা নিৰ্ধাৰণকাৰী
ಡೆಲ್ಟಾ ಮಾಡ್ಯುಲೇಶನ್,ডেল্টা মডুলেচন
ವಿನಂತಿ ಪುಟ,ৰিকুইজিচন পৃষ্ঠা
ಪ್ರದರ್ಶನ,প্ৰদৰ্শন
ಡಿಮೋಡ್ಯುಲೇಶನ್,ডিমডুলেচন
ವಿ-ಮಲ್ಟಿಪ್ಲೆಕ್ಸರ್,ভি-মাল্টিপ্লেক্সাৰ
ಅಸಾಧಾರಣೀಕರಣ,ডিনৰ্মেলাইজেচন
"1. ಸಾಂದ್ರತೆ, 2. ಸಾಂದ್ರತೆ","১.ঘনত্ব, ২.ঘনত্ব"
"1. ಅವಲಂಬನೆ, 2. ಅವಲಂಬನೆ","১/ নিৰ্ভৰশীলতা, ২/ নিৰ্ভৰশীলতা"
ಅವಲಂಬಿತ ಘಟಕ,নিৰ্ভৰশীল একক
ಸಾಲು,লানি পতা
"1. dereference, 2. dereference","১.ডিৰেফাৰেন্স, ২.ডিৰেফাৰেন্স"
ಪಡೆದ ಮರ,ব্যুৎপত্তি কৰা গছ
ಪಡೆದ ಕ್ಷೇತ್ರ,ব্যুৎপত্তি কৰা ক্ষেত্ৰ
ಅವರೋಹಣ ರೀತಿಯ,অৱনমিত সজাই পৰাই তোলা
ವಿನ್ಯಾಸ,ডিজাইন
ಮೇಜಿನ ಕ್ಯಾಲ್ಕುಲೇಟರ್,ডেস্ক কেলকুলেটৰ
ಡೆಸ್ಕ್ಟಾಪ್ ಕಂಪ್ಯೂಟರ್ಗಳು,ডেস্কটপ কম্পিউটাৰ
ಡೆಸ್ಕ್ಟಾಪ್ ಪ್ರಸ್ತುತಿ,ডেস্কটপ উপস্থাপন
ಡೆಸ್ಕ್ಟಾಪ್ ಪಬ್ಲಿಷಿಂಗ್,ডেস্কটপ প্ৰকাশন
ಡೆಸ್ಕ್ಟಾಪ್ ವೀಡಿಯೊ,ডেস্কটপ ভিডিঅ&#39;
ತಲುಪಬೇಕಾದ ವಿಳಾಸ,গন্তব্যস্থানৰ ঠিকনা
"1. ವಿಧ್ವಂಸಕ, 2. ವಿಧ್ವಂಸಕ","১.ধ্বংসী, ২.নাশক"
ನಿರ್ಣಾಯಕ ಸ್ವಯಂಚಾಲಿತ,ডিটাৰ্মিনিষ্টিক automata
ಡೆವಲಪರ್,ডেভেলপাৰ
ಅಭಿವೃದ್ಧಿ ವ್ಯವಸ್ಥೆ,উন্নয়ন ব্যৱস্থা
ಸಾಧನ,ডিভাইচ
ಸಾಧನ ನಿಯಂತ್ರಣ ಘಟಕ,ডিভাইচ নিয়ন্ত্ৰণ একক
ಸಾಧನ ನಿಯಂತ್ರಕ,ডিভাইচ নিয়ন্ত্ৰক
ಸಾಧನ ನಿರ್ವಹಣೆ,ডিভাইচ ব্যৱস্থাপনা
ಸಾಧನ ಮೋಡ್,ডিভাইচ ধৰণ
ರೋಗನಿರ್ಣಯ,নিদান
ರೋಗನಿರ್ಣಯ ವ್ಯವಸ್ಥೆ,ডায়েগনষ্টিক চিষ্টেম
"1. ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್, 2. ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್","১/ ডায়েগনষ্টিকছ, ২.ডায়েগনষ্টিকছ"
ರೇಖಾಚಿತ್ರ,ডায়েগ্ৰাম
ಡಯಲ್ ಮಾಡಿ,ডায়েল কৰক
ಡಯಲ್ ಲೈನ್,ডায়েল লাইন
ಡಯಲ್ ಟೋನ್,ডায়েল টোন
ಡಯಲ್ ಅಪ್ ಮಾಡಿ,ডায়েল আপ কৰক
"1. ಸಂಭಾಷಣೆ, 2. ಸಂಭಾಷಣೆ","১/ সংলাপ, ২/ কথোপকথন"
ಸಂಭಾಷಣೆ ಕೊಠಡಿ,কথোপকথন কক্ষ
ಡಯಲಪ್ ಮೋಡೆಮ್,ডায়েলআপ মডেম
ವಿಮೆ,বীমা
ನಿಘಂಟು,অভিধান
"1. ಭೇದಾತ್ಮಕ, 2. ವ್ಯತ್ಯಾಸ","১.ডিফাৰেন্সিয়েল, ২. পাৰ্থক্য"
ಸಂಖ್ಯಾತ್ಮಕ,সংখ্যাগত
ಡಿಜಿಟಲ್ ವ್ಯವಸ್ಥೆ,ডিজিটেল ব্যৱস্থা
ಡಿಜಿಟಲ್ ಸರ್ಕ್ಯೂಟ್,ডিজিটেল বৰ্তনী
ಡಿಜಿಟಲ್ ಕಂಪ್ಯೂಟರ್,ডিজিটেল কম্পিউটাৰ
"1.ಡಿಜಿಟಲ್ ಡೇಟಾ, 2.ಡಿಜಿಟಲ್ ಡೇಟಾ","1.ডিজিটেল ডাটা, 2.ডিজিটেল ডাটা"
ಡಿಜಿಟಲ್ ಸೌಲಭ್ಯ,ডিজিটেল সুবিধা
ಡಿಜಿಟಲ್ ಫಿಲ್ಟರ್,ডিজিটেল ফিল্টাৰ
ಡಿಜಿಟಲ್ ಲೈಬ್ರರಿ,ডিজিটেল লাইব্ৰেৰী
ಡಿಜಿಟಲ್ ಮಾಡ್ಯುಲೇಷನ್,ডিজিটেল মডুলেচন
"1. ಡಿಜಿಟಲ್ ಡಿಸ್ಪ್ಲೇ, 2. ಡಿಜಿಟಲ್ ಮಾನಿಟರ್","1. ডিজিটেল প্ৰদৰ্শন, 2. ডিজিটেল মনিটৰ"
ಡಿಜಿಟಲ್ ಚಿತ್ರ,ডিজিটেল ইমেজ
"1. ಡಿಜಿಟಲ್ ಸಿಗ್ನೇಚರ್, 2. ಡಿಜಿಟಲ್ ಸಿಗ್ನೇಚರ್","১/ ডিজিটেল স্বাক্ষৰ, ২/ ডিজিটেল স্বাক্ষৰ"
ಡಿಜಿಟಲ್ ಸ್ವಿಚ್,ডিজিটেল চুইচ
ಡಿಜಿಟಲ್ ಅನಲಾಗ್ ಪರಿವರ್ತಕ,ডিজিটেল এনালগ কনভাৰ্টাৰ
ಡಿಜಿಟಲೀಕರಣ,ডিজিটাইজেচন
ಡಿಜಿಟಲೀಕರಣ,ডিজিটাইজেচন
ಡಿಜಿಟೈಸರ್,ডিজিটাইজাৰ
ಡಯೋಡ್,ডাইঅ&#39;ড
ಮೊದಲ ನೋಟ,পোনপটীয়া
ನೇರ ವಿಳಾಸ,প্ৰত্যক্ষ ঠিকনা
ನೇರ ಪರಿವರ್ತನೆ,প্ৰত্যক্ষ ৰূপান্তৰ
ನೇರ ಜೋಡಣೆ,প্ৰত্যক্ষ সংযোজন
"1. ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ, 2. ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA)","1. প্ৰত্যক্ষ মেমৰি অভিগম, 2. প্ৰত্যক্ষ মেমৰি অভিগম (DMA)"
ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA),প্ৰত্যক্ষ মেমৰি অভিগম (DMA)
ನೇರ ವಿಧಾನ,প্ৰত্যক্ষ পদ্ধতি
ನಿರ್ದೇಶನಗಳು,দিশ নিৰ্দেশনা
ಡೈರೆಕ್ಟರಿ,ডাইৰেকটৰী
"1. ಡೈರೆಕ್ಟರಿ ಸರ್ವರ್, 2. ಡೈರೆಕ್ಟರಿ ಸರ್ವರ್","1. ডাইৰেকটৰি চাৰ্ভাৰ, 2. ডাইৰেকটৰি চাৰ্ভাৰ"
ಡೈರೆಕ್ಟರಿ ಸೇವೆ,ডাইৰেকটৰি সেৱা
ಸಾಧ್ಯವಾಗುವುದಿಲ್ಲ,অক্ষম
ಸಂಕೇತವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುವುದು,সংকেত নিষ্ক্ৰিয় কৰা
"1. ಸಂಪರ್ಕ ಕಡಿತ, 2. ಸಂಪರ್ಕ ಕಡಿತ","১.সংযোগ বিচ্ছিন্ন কৰা, ২.সংযোগ বিচ্ছিন্ন কৰা"
"1. ಡಿಸ್ಕ್ರೀಟ್, 2. ಡಿಸ್ಕ್ರೀಟ್","১.বিচ্ছিন্ন, ২.বিচ্ছিন্ন"
"1. ಡಿಸ್ಕ್, 2. ಡಿಸ್ಕ್","১.ডিস্ক, ২.ডিস্ক"
