Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Deserving,ਸੁਪਾਤਰ
Design,"ਖਾਕਾ ਖਿਚਣਾ, ਡਿਜਾਇਨ"
Designate,"ਨਾਂ ਮਿਖਣਾ, ਨਾਂ ਰਖਣਾ, ਮਨੋਨੀਤ ਕਰਨਾ, ਉੱਲੇਖ ਕਰਨਾ"
Designation,"ਪਦਵੀ, ਪਦ ਨਾਂ"
Despatch,"ਭੇਜਣਾ, ਘੱਲਣਾ, ਰਵਾਨਗੀ"
Despatch note,"ਰਵਾਨਗੀ ਨੋਟ, ਰਵਾਨਗੀ ਪੱਤਰ"
Despatch register,ਰਵਾਨਗੀ ਰਜਿਸਟਰ
Destination,"ਮੰਜਿਲ, ਲਕਸ਼"
Destitute,"ਅਨਾਥ, ਨਿਆਸਰਾ"
Detail,"ਵੇਰਵਾ, ਕੰਮ ਤੇ ਭੇਜਣਾ"
Detailed,"ਵਿਸਤਾਰ ਨਾਲ, ਵੇਰਵੇਵਾਰ"
Detect,ਪਤਾ ਲਗਾਣਾ
Detention,ਰੇਲ ਨੂੰ ਰੋਕ ਦੇਣਾ
Detenu,ਨਜਰਬੰਦ
Determination,"ਨਿਰਧਾਰਣ, ਅਵਧਾਰਣ, ਸੰਕਲਪ"
Deterrence,"ਰੁਕਾਵਟ, ਠੱਲ੍ਹ"
Detriment,"ਹਾਨੀ, ਨੁਕਸਾਨ ਅਹਿਤ"
Detrimental,"ਹਾਨੀਕਾਰਕ, ਹਰਜੇ ਵਾਲਾ"
Devaluation,"ਵਿਮੁੱਲਣ, ਅਵਮੁੱਲਣ"
Devastation,"ਤਬਾਹੀ, ਵਿਨਾਸ"
Development,ਵਿਕਾਸ
Deviate,ਵਿਚਲਿਤ ਹੋਣਾ
Device,"ਵਿਉਂਤ, ਜੁਗਤ, ਸਾਧਨ"
Devotion,ਨਿਸ਼ਠਾਂ
Diagnose,"ਤਸ਼ਖੀਸ ਕਰਨਾ, ਨਿਦਾਨ ਕਰਨਾ"
Diagram,ਖਾਕਾ
Diary,"ਡਾਇਰੀ, ਦੈਨਿਕੀ, ਰੋਜਨਾਮਚਾ"
Dictation,"ਸ਼ਰੁਤਲੇਖ, ਬੋਲੇ ਅਨੁਸਾਰ ਲਿਖਿਤ"
Dies non,"ਜਿਸ ਦਿਨ ਕੋਈ ਕੰਮ ਨਾ ਹੋਏ, ਬਿਨਾ ਕੰਮ ਦਾ ਦਿਨ"
Diet,"ਖੁਰਾਕ, ਆਹਾਰ"
Digest,"ਸੰਖਿਪਤ ਕਰਨਾ, ਸਾਰ-ਸੰਖੇਪ, ਸੰਖਿਪਤ ਪੁਸਤਕ"
Dignified,"ਗੌਰਵਮਈ, ਗੌਰਵਪੂਰਨ"
Dignity,"ਗਰਿਮਾ, ਵਡਿਆਈ"
Digression,"ਵਿਸ਼ੇ ਤੌ ਭਟਕਣ, ਥਿੜਕਣ"
Dilatory,ਦੇਹ ਕਰਨ ਵਾਲਾ
Dilemma,ਦੁਬਿਧਾ
Diligent,"ਉੱਦਮੀ, ਮਿਹਨਤੀ"
Dimension,ਵਿਸਤਾਰ ਘੇਰਾ
Diploma,"ਡਿਪਲੋਮਾ, ਸਨਦ"
Diplomacy,"ਰਾਜਨੀਤੀ, ਕੂਟਨੀਤੀ"
Diplomatic immunity,ਕੂਟਨੀਤਿਦ ਸੁਰਖਿਆ(ਮੁਕਤੀ)
Direct,"ਪ੍ਰਤੱਖ, ਸਿੱਧਾ, ਨਿਰਦੇਸ਼ਨ ਦੇਣਾ"
Direct competition,"ਸਿੱਧਾ ਮੁਕਾਬਲਾ, ਸਿਧੀ ਪ੍ਰਤਿਯੋਗਿਤਾ"
Direct interview,"ਸਿੱਧਾ ਇੰਟਰਵੀਊ, ਸਿੱਧਾ ਸਾਖਿਤਾਕਾਰ"
Direction,ਨਿਰਦੇਸ਼ਨ
Directory,ਨਿਰਦੇਸ਼ਿਕਾ
Direct recruit,ਸਿੱਧੀ ਭਰਤੀ
Disallow,"ਅਸਵੀਕਾਰ ਕਰਨਾ, ਨਾਮੰਜੂਰੀ"
Disability,"ਸ਼ਕਤੀਹੀਣ, ਅਸਮਰਥਤਾ, ਅਯੋਗ ਠਹਰਾਉਣਾ"
Disabled person,ਸ਼ਕਤੀਹੀਣ ਆਦਮੀ
Disablement benefit,"ਸ਼ਕਤੀਹੀਣਤਾ ਦਾ ਹਿਤ ਲਾਭ, ਅਪਾਹਿਜ ਹੋਣ ਦਾ ਹਿਤ ਲਾਭ"
Disadvantage,ਅਲਾਭ
Disagree,"ਮਤਭੇਦ, ਅਸੰਮਤੀ ਰਖਣਾ"
Disallowed,ਨਾ-ਮਨਜੂਰ
Disapproval,"ਅਸੰਮਤੀ, ਅਸਵੀਕ੍ਰਿਤੀ"
Disaster,"ਬਿਪਦਾ, ਆਫਤ"
Disaster management,"ਬਿਪਦਾ ਇੰਤਜਾਮ, ਬਿਪਦਾ ਦਾ ਪ੍ਰਬੰਧ"
Disband,"ਤੋੜ ਦੇਨਾ, ਭੰਗ ਕਰਣਾ"
Disbursement,"ਪੈਸੇ ਦੀ ਵੰਡ, ਭੁਗਤਾਨ ਕਰਨਾ"
Discard,"ਅਲਗ ਕਰਨਾ, ਹਟਾ ਦੇਨਾ, ਕੱਢ ਦੇਨਾ, ਤਿਆਗ ਕਰਨਾ"
Discharge,"ਕੰਮ ਦਾ ਪਾਣ ਕਰਨਾ, ਕਰਜ ਦੀ ਅਦਾਇਗੀ, ਸੇਵਾ-ਮੁਕਤੀ, ਕੰਮ ਤੌਂ ਮੁਕਤੀ, ਹਸਪਤਾਲ ਤੌ ਛੁੱਟੀ"
Discharge slip,ਛੁੱਟੀ ਦੀ ਪਰਚੀ
Disciplinary action,ੳਨੁਸ਼ਾਸਨ ਸੰਬੰਧੀ ਕਾਰਵਾਈ
Disciplinary procedure,ਅਨੁਸ਼ਾਸਨ ਸੰਬੰਧੀ ਪ੍ਰਕ੍ਰਿਆ(ਕਨੂੰਨੀ)
Discipline,ਅਨੁਸ਼ਾਸਨ
Disclaim,"ਦਾਅਵਾ ਛੱਡਣਾ, ਦਾਅਵਾ ਤਿਆਗਣਾ, ਅਸਵੀਕਾਰ ਕਰਨਾ"
Disclosure,"ਪ੍ਰਗਟਾਉ, ਜਾਹਿਰ ਕਰਨਾ"
Discontent,ਅਸੰਤੋਸ਼
Discontinuance,"ਵਿਰਾਮ, ਸਮਾਪਤੀ, ਰੋਕ, ਕ੍ਰਮ ਭੰਗ"
Discontinue,"ਬੰਦ ਕਰਨਾ, ਰੌਕਣਾ, ਸਮਾਪਤ ਕਰਣਾ"
Discord,"ਅਣ-ਬਣ, ਅਸਹਿਮਤੀ, ਮਤਭੇਦ"
Discount,"ਕਟੌਤੀ, ਛੁੱਟ"
Discover,"ਖੋਕ ਕਰਨੀ, ਪਤਾ ਲਗਾਣਾ, ਪਤਾ ਕਰਨਾ"
Discredit,"ਬੇਇਤਬਾਰੀ, ਅਪਯਸ਼, ਸ਼ਾਖ ਗਿਰਨੀ"
Discrepancy,ਅਣਮੇਲ
Discretion,"ਵਿਵੇਕ, ਸਿਆਣਪ"
Discretionary grant,ਵਿਵੇਕ ਅਨੁਦਾਨ
Discretionary power,ਵਿਵੇਕ ਅਧਿਕਾਰ
Discrimination,"ਭੇਦਭਾਵ, ਮਤ ਭੇਦ"
Discussion,"ਵਿਚਾਰ-ਵਟਾਂਡਰਾ, ਚਰਚਾ, ਬਹਸ"
Dishonest,ਬੇਈਮਾਨ
Dishonour (a cheque),"ਅਸਵੀਕਾਰ ਕਰਨਾ, ਮਨਾ ਕਰਨਾ, ਨਿਰਾਦਰ ਕਰਨਾ, ਆਦਰ ਨ ਕਰਨਾ"
Disintegration,ਵਿਘਟਨ
Disk,ਡਿਸਕ
Dislocation,"ਵਿਸਥਾ।ਨ, ਉੱਖੜਿਆ, ਸਾਸਨ ਜਾਂ ਸਿਲਸਿਲੇ ਵਿਚ ਖਲਲ ਪਾਉਣਾ"
Disloyal,"ਬੇਵਫਾ, ਵਿਸਵਾਸ ਘਾਤੀ, ਨਿਸ਼ਠਾਹੀਨ"
Dismiss,"ਪਦਵੀ ਤੌਂ ਹਟਾਉਣਾ, ਬਰਖਾਸਤਕਰਨਾ, ਖਾਰਿਜ ਕਰਨਾ"
Dismissal,"ਪਦ ਤੌਂ ਹਟਾਉਣਾ, ਬਰਖਾਸਤਗੀ"
Dismissal procedure,ਬਰਖਾਸਤ ਕਰਨ ਦੀ ਪ੍ਰਕਿਰਿਆ
Disobey,"ਅਵੱਗਿਆ ਕਰਨਾ, ਨਾ ਮੰਨਣਾ, ਨਾਫੁਰਮਾਨੀ ਕਰਨਾ"
Disorder,"ਬੇਤਰਤੀਬੀ, ਉਲਟ ਪੁਲਟ, ਰਾੜਬੜੀ, ਸ਼ਾਂਤੀ ਭਗ"
Disorganise,"ਖੇਰੂੰ-ਖੇਰੂੰ ਕਰਨਾ, ਹੁੱਲੜ ਮਚਾਉਣਾ, ਅਵਿਵਸਥਿਤ ਕਰਨਾ"
Disparity,ਅਸਮਾਨਤਾ
Dispatch section,ਭੇਜਣ/ਘੱਲਣ ਦਾ ਵਿਭਾਗ
Dispensable,"ਬੇਲੋੜਾ, ਗੈਰਜਰੂਰੀ"
Disperse,"ਵਿਸਰਜਿਤ ਕਰਨਾ, ਖਿੰਡ-ਪੁੰਡ ਕਰਨਾ, ਤਿਤਰ-ਬਿਤਰ ਕਰਨਾ"
Displaced,ਵਿਸਥਾਪਿਤ
Display,"ਸੱਜਾ, ਸਜਾਵਟ, ਪ੍ਰਦਰਸ਼ਨ, ਵਿਖਲਾਣਾ"
Displeasure,"ਅਪ੍ਰਸੰਨਤਾ, ਨਾਰਾਜਗੀ"
Disposal,"ਨਿਬੇੜਾ, ਖਰਚ ਕਰਨਾ, ਪਰਤਾਣਾ, ਵਾਪਸ ਕਰਨਾ"
Dispose of,"ਨਿਪਟਾਨਾ, ਵਿੱਕਰੀ"
Disposition,"ਸ਼ੁਭਾ, ਮਿਜਾਜ"
Dispossess,"ਬੇਦਖਲ ਕਰਨਾ, ਵਾਂਜਿਆ ਰਖਣਾ, ਮਹਿਰੂਮ ਕਰਨਾ, ਕਬਜਾ ਖੋਹਿਣਾ"
Dispute,"ਵਿਵਾਦ, ਝਗੜਾ, ਪੁਆੜਾ"
Disqualification,ਅਯੋਗਤਾ
Disregard,"ਉਪੇਖਿਆ, ਅਵਹੇਲਨਾ"
Disruption,"ਤੋੜ-ਫੋੜ, ਪੁੱਟ-ਸਪੁੱਟ, ਰੁਕਾਵਟ, ਭੰਗ, ਭੰਗ ਕਰਨਾ"
Dissatisfaction,ਅਸੰਤੋਸ਼
Dissent,"ਅਸੰਮਤੀ ਰਖਣਾ, ਮਤਭੇਦ ਰਖਣਾ, ਅਸਹਿਮਤੀ ਪ੍ਰਗਟ ਕਰਨਾ"
Disservice,"ਅਸੇਵਾ, ਅਣ ਉਪਕਾਰ"
Dissociate,"ਵਿਯੁਕਤ ਕਰਨਾ, ਵਖਰਿਆਉਣਾ, ਵਖ ਵਖ ਕਰ ਲੈਣਾ"
Dissolution,"ਭੰਗ, ਵਿਘਟਨ"
Dissolve,"ਭੰਗ ਕਰਣਾ, ਵਿਘਟਿਤ ਕਰਨਾ"
Distance learning,ਦੂਰ ਸਿਖਿਆ
Distillery,"ਸ਼ਰਾਬ ਦੀ ਭੱਠੀ, ਸ਼ਰਾਬ ਦਾ ਕਾਰਖਾਨਾ"
Distinct,"ਵੱਖ, ਵੱਖਰਾ, ਅੱਡਗ, ਸਪਸ਼ਟ"
Distinguish,"ਭੇਦ ਕਰਨਾ, ਪ੍ਰਸਿੱਧ ਹੋਣਾ"
Distortion,"ਵਿਗਾੜ, ਭੰਨ-ਤੋੜ"
Distress,"ਦੁਖ, ਕਸ਼ਟ, ਬਿਪਤਾ"
Distribute,"ਵੰਡਣਾ, ਵਰਤਾਉਣਾ"
Distribution,"ਵੰਡਣਾ, ਬਟਵਾਰਾ, ਵਿਭਾਗੀ ਵੰਡ"
District,"ਜਿਲ੍ਹਾ, ਜਨਪਦ"
District centre,"ਡਿਸ਼ਟ੍ਰਿਕਟ ਸੇਂਟਰ, ਕਾਰੋਬਾਰੀ ਕੇਂਦ੍ਰ, ਜਿਲਾ ਕੇਂਦ੍ਰ, ਪ੍ਰਧਾਨ ਕੇਂਦ੍ਰ"
Disturbance,"ਫਸਾਦ, ੳਪੱਦਰ, ਰਾੜਬੜੀ, ਅਸ਼ਾਂਤੀ, ਰੁਕਾਵਟ"
Ditto,"ਉਪਰੋਕਤ, ਉਕਤ, ਪਹਿਲੇ ਦੀ ਨਕਲ"
Diversion,"ਵਿਸ਼ਾ ਤੋ ਹਟਣਾ, ਵਿਪਥ ਗਮਨ, ਫੰਡ ਨੂੰ ਹੋਰ ਪਾਸੇ ਵਰਤਣਾ"
Dividend,ਲਾਭ-ਅੰਸ਼ (ਮੰਤਰਾਲਿਆ)
Division,"(ਆਦਿ) ਵਿਭਾਗ, ਮੰਡਲ, ਡਿਵੀਜ਼ਨ"
Divorce,"ਤਲਾਕ, ਵਿਆਹ-ਵਿੱਛੇਦ, ਤਲਾਕ ਦੇਣਾ, ਵਿਆਹ ਵਿੱਛੇਦ ਕਰਨਾ"
Docket,"ਡਾਕਿੱਟ, ਫੈਸਲੇ ਦਾ ਰਜਿਸਟਰ"
Doctor,"ਡਾਕਟਰ, ਹਕੀਮ, ਵੈਦ, ਚਿਕਿਤਸਕ"
Document,"ਪ੍ਰਲੇਖ, ਦਸਤਾਵੇਜ, ਲਿਖਤੀ ਪ੍ਰਮਾਣ"
Documentary evidence,ਦਸਤਾਵੇਜੀ ਸਾਖੀ
Documentation,"ਦਸਤਾਵੇਜ ਦੁਆਰਾ ਪ੍ਰਮਾਣ, ਪ੍ਰਲੇਖਨਨ"
Domicile,ਅਧਿਵਾਸ
Domicile certificate,ਅਧਿਵਾਸ ਪ੍ਰਮਾਣ ਪੱਤਰ
Dominant,"ਪ੍ਰਬਲ, ਪ੍ਰਧਾਨ, ਪ੍ਰਭੁਤਾਸ਼ਾਲੀ"
Donation,"ਦਾਨ, ਉਪਹਾਰ, ਚੰਦਾ"
Dossier,"ਕਾਗਜ਼ਾਂ ਦੀ ਫਾਈਲ, ਡਾਸਿਅਰ"
Doubtful,"ਸੰਦਿਗਧ, ਸੰਦੇਹ ਪੂਰਨ"
Dove tailing,ਕ੍ਰਮ ਬੱਧ
Down grade,"ਪਦ ਅਵੁਨਤੀ, ਦਰਜਾ ਘਟਾਉਣਾ"
Draft,"ਖਰੜਾ, ਮਸੌਦਾ, ਡ੍ਰਾਫਟ(ਬੈਂਕ), ਦਸਤਾ, ਟੁਕੜੀ(ਫੌਜ ਦੀ)"
Draft reply,ਜਵਾਬੀ ਮਸੌਦਾ
Drastic measure,ਕਠੋਰ ਉਪਾਅ
Draw,"(ਤਨਖਾਹ ਦਾ) ਉਧਾਲਾ, ਲਾਟਰੀ ਕੱਢਣ ਦੀ ਕ੍ਰਿਆ, (ਚੇਕ) ਕੱਟਣਾ, ਲਿਖਣਾ"
Drawer,"ਚੇਕ ਕੱਟਣ ਵਾਲਾ, ਲਿਖਣ ਵਾਲਾ, ਆਹਰਤਾ, ਦਰਾਜ"
Drawing,"ਡ੍ਰਾਇੰਗ, ਰੇਖਾ ਚਿੱਤਰ, ਆਹਰਣ"
Drought,"ਅਨਾਵ੍ਰਿਸ਼ਟੀ, ਖੁਸ਼ਕਸਾਲੀ, ਮਹਿਂਦੀ ਅਣਹੋਂਦ"
Dry promotion,ਬਿਨਾ ਲਾਭ ਪਦ ਉੱਨਤੀ
Dual charge,"ਦੁਹਰਾ ਪ੍ਰਭਾਰ, ਦੁਹਰਾ ਕਾਰਜ-ਭਾਰ"
Dual citizenship,ਦੁਹਰੀ ਨਾਗਰਿਕਤਾ
Due,"ਦੇਣ ਯੋਗ, ਦੇਣਾ ਬਾਕੀ, ਨਿਯਤ"
Due diligence,ਉਥਿਤ ਤਤਪਰਤਾ
Dues,ਦੇਣ ਜੋਗ ਰਾਸ਼ੀ(ਪੈਸਾ)
Duly,"ਵਿਧੀਵਤ, ਉਚਿਤ ਰੂਪ ਵਿਚ"
Duplicate,"ਉਤਾਰਾ, ਨਕਲ, ਪ੍ਰਤਿਲਿਪੀ, ਅਨੁਲਿਪੀ"
Duration,"ਅਵਧੀ, ਮਿਆਦ"
Duress,ਦਬਾਉ
Duty,"ਡਯੂਟਿ, ਫਰਜ, ਕਾਰਜ, ਕੰਮ, ਸ਼ੁਲਕ"
Duty allowance,ਡਯੂਟੀ ਭੱਤਾ
Duty chart,ਡਯੂਟੀ ਚਾਰਟ
Duty leave,ਹੋਰ ਕੰਮਾਂ ਵਾਸਤੇ ਛੁੱਟੀ
Duty room,ਡਯੂਟੀ ਕਮਰਾ
Dying declaration,"ਅੰਤ ਵੇਲੇ ਦਾ ਕਥਨ, ਮਰਨ ਵੇਲੇ ਦਾ ਕਥਨ"
Dynamics,ਗਤੀ-ਵਿਗਿਆਨ
Earmark,"ਚਿਤਵਿਆ, ਉਕਤ"
Earned leave,"ਅਰਜਿਤ ਅਵਕਾਸ਼, ਅਰਜਿਤ ਛੁੱਟੀ"
Earnings,"ਆਮਦਨੀ, ਕਮਾਈ"
Eco-friendly,ਪਰਯਾਵਰਣ-ਅਨੁਕੂਲ
Ecology,ਪਰਸਿਥਤੀ ਵਿਗਿਆਨ
Economic,"ਆਰਥਿਕ, ਅਰਥ-ਸ਼ਾਸ਼ਤਰੀ"
Economical exploitation,ਆਰਥਿਕ ਸ਼ੋਸ਼ਣ
Economy,ਅਰਥ ਪ੍ਰਬੰਧ (ਵਿਵਸਥਾ)
Economy class,ਕਿਫਾਇਤੀ ਦਰਜਾ
Editing,ਸੰਪਾਦਨ
Edition,ਸੰਸਕਰਣ
Editorial,ਸੰਪਾਦਕੀ
Education,ਸਿਖਿਆ
Educational career,ਸਿਖਿਅਕ ਵਿਵਸਾਇ
Educational institute,ਸਿਖਿਅਕ ਸੰਸਥਾ
Educational qualification,ਸਿਖਿਅਕ ਯੋਗਤਾ
Effect,ਪਰਭਾਵ
Effective,"ਪ੍ਰਭਾਵੀ, ਕਾਰਗਰ, ਵਾਸਤਵਿਕ"
Effective date,ਪ੍ਰਭਾਵੀ ਤਰੀਖ
Effects,ਮਾਲਮੱਤਾ
Efficacy,ਪ੍ਰਭਾਵ- ਉਤਪਾਦਕਤਾ
Efficiency,ਕਾਰਜ ਕੁਸ਼ਲਤਾ
Efficient,ਸਮਰਥ
Ejectment,ਬੇਦਖਲੀ
Elaborate,"ਵਿਸਤਾਰ ਨਾਲ ਕਹਿਣਾ, ਵਿਸ਼ਦ"
Elapse,ਬੀਤਣਾ
Elected representative,ਨਿਰਵਾਚਿਤ ਪ੍ਰਤਿਨਿਧਿ
Election,ਚੌਣ
Electoral college,ਨਿਰਵਾਚਨ ਮੰਡਲ
Electorate,ਨਿਰਵਾਚਨ ਖੇਤਰ
Electrification,ਬਿਜਲੀਕਰਣ
Electronic media,ਇਲੋਕਟ੍ਰਾਨਿਕ ਸੰਚਾਰ ਮਾਧਿਅਮ
Elementary,ਆਰੰਭਿਕ
Eligibility,"ਕਾਬਲੀਅਤ, ਪਾਤਰਤਾ"
Eligibility test,ਕਾਬਲੀਅਤ ਪਰੀਖਿਆ
Elimination,"ਕਢ ਦੇਣਾ, ਲੋਪ"
Eloquence,"ਸੁਣਕਤਤਾ, ਸੁਭਾਸ਼ਿਤਾ"
Embarrass,ਉਲਝਨ ਵਿਚ ਪਾਣਾ
Embezzlement,ਗ਼ਬਨ
Emblem,"ਨਿਸ਼ਾਨ, ਮਾਅਰਕਾ"
Embossing seal,ਉਭਰੀ ਹੋਈ ਮੁਹਰ
Emergency,"ਸੰਕਟ, ਅਪਾਤ ਕਾਲ"
Emergency relief,ਅਪਾਤ ਰਾਹਤ
Emergent,"ਫੌਰੀ, ਬਹੁੱਤ ਜਰੂਰੀ"
Emigration,ਪਰਵਾਮਨ
Emoluments,ਕੁਲ ਵੇਤਨ
Empanelment,ਸੂਚੀ ਬਣਾਉਣਾ
Empathy,"ਹਮਦਰਦੀ, ਸੰਵੇਦਨਾ"
Employ,"ਰੋਜਗਾਰ ਉੱਤੇ ਲਾਉਣਾ, ਕੰਮ ਲਾਉਣਾ"
Employee,ਮੁਲਾਜਿਮ
Employee participation,"ਕਰਮਚਾਰੀ ਮਹਭਾਗਿਤਾ, ਕਰਮਚਾਰੀ"
Employee’s contribution,ਕਰਮਚਾਰੀ ਯੋਗਦਾਨ
Employees provident fund,ਕਰਮਚਾਰੀ ਭਵਿੱਖ ਨਿਧੀ
Employer,"ਨਿਯੋਜਕ, ਨੌਕਰ ਰਖਣ ਵਾਲਾ"
Employment,ਰੁਜਗਾਰ
Employment exchange,ਰੁਜਗਾਰ ਦਫ਼ਤਰ
Employment notice,ਰੁਜਗਾਰ ਸੂਚਨਾ
Employment office,ਰੁਜਗਾਰ ਦਫ਼ਤਰ
Empower,ਅਧਿਕਾਰ ਦੇਣਾ
Empowerment,ਸ਼ਕਤੀਕਰਣ
Enact,"ਕਨੂੰਨ ਬਣਾਉਣਾ, ਐਕਟ ਬਣਾਉਣਾ"
Enactment,"ਕਨੂੰਨ ਬਣਾਉਣਾ, ਕਾਨੂੰ ਦਾ ਰੂਪ"
En bloc,ਸਮੂਹਕ ਰੂਪ ਵਿਚ
Encash,(ਚੈਕ) ਭੁਨਾਣਾ
Enclose,ਨਾਲ ਜੋੜਨਾ
Encouragement,ਉਤਸਾਹ ਵਧਾਉਣਾ
Encroachment,ਨਾਜਾਇਜ ਦਖਲ
Encumbrance,"ਭਾਰ, ਦੇਨ ਦਰੀ"
Endorse,"ਪਿਠਾਕਨ ਕਰਨਾ, ਸਮਰਥਨ ਕਰਨਾ"
Endowment,ਸਮਰਥ ਨਿਧੀ
End product,ਅਂਤਿਮ ਉਤਪਾਦ
Energy,ਸ਼ਕਤੀ ਊਰਜਾ
Enforce,ਪ੍ਰਚਲਿਤ ਕਰਨਾ
Engage,"ਕੱਮ ਤੇ ਲਗਾਉਣਾ, ਨਿਯੁਕਤ ਕਰਨਾ"
Enhancement,ਵਾਧਾ
Enjoin,ਹੁਕਮ ਦੇਣਾ
En masse,ਸਮੂਹਿਕ ਰੂਪ ਵਿਚ
Enquiry,"ਪੁੱਛ-ਗਿਚ, ਜਾਂਚ"
Enrol,ਭਰਤੀ ਕਰਨਾ
Enrolment (=enrollment),"ਭਰਤੀ, ਅੰਦਰਾਜ"
Enrolment number,ਅਂਦਰਾਜ
En route,ਬਰਾਸਤਾ
Ensuing,ਆਗਾਮੀ
Ensure,"ਣਕੀਨ ਦਿਲਾਉਣਾ, ਨਿਸ਼ਚਿਤ ਕਰਨਾ"
Enter,ਦਰਜ ਕਰਨਾ
Enterprise,ਉੱਦਮ
Entertain,"ਗ੍ਰਹਿਣ ਕਰਨਾ, ਮਨਿਰੰਜਨ ਕਰਨਾ, ਦਰਜ ਕਰਨਾ"
Entertainment,"ਸਤਕਾਰ, ਮਨੋਰੰਜਨ"
Entitle,"ਹਕਦਾਰ ਹੋਣਾ, ਹਕਦਾਰ ਬਣਾਨਾ"
Entitled,ਹਕਦਾਰ
Entitlement,ਹਕਦਾਰੀ
Entrance,ਦਾਖਿਲਾ
Entrant,ਪ੍ਰਵੇਸ਼ ਕਰਨ ਵਾਲਾਅ
Entry,"ਅਂਦਰਾਜ, ਦਾਖ਼ਲਾ"
Entry level job,ਮੁਢਲੀ(ਸ਼ੁਰੁਆਤੀ) ਨੌਕਰੀ
Enumeration,"ਗਿਣਤੀ, ਗਣਨਾ"
Environment,ਵਾਤਾਵਰਣ
Envoy,"ਕਾਸਦ, ਦੂਤ"
Epidemic (disease),ਮਹਾਮਾਰੀ ਮਹਾਮਾਰੀ
Epitome,"ਸਾਰ, ਨਿਚੋੜ"
Equality,"ਸਮਤਾ, ਸਮਾਨਤਾ"
Equilibrium,ਸੰਤੁਲਨ
Equipment,ਸਮਗਰੀ
Equity,"ਨਿਰਪੇਖਤਾ, ਇਕਵੀਟੀ"
Equivalent,"ਤੁੱਲਰਾਸ਼ੀ, ਸਮਾਨਾਰਥਕ"
Equivocal,ਦੋ-ਅਰਥੀ
Eradicate,ਨਿਰਮੂਲ ਕਰਨਾ
Errata,ਸੁੱਧੀ ਪੱਤਰ
Error,"ਭੁੱਲ, ਗਲਤੀ"
Escalation,ਵਾਧਾ
Escort,ਰੱਖਿਅਕ
Essential,ਅਵੱਸ਼ਕ
Establishment,ਸਥਾਪਨਾ
Estimate,"ਅਨੁਮਾਨ, ਅੰਦਾਜਾ"
Estimated cost,ਅਨੁਮਾਨਿਤ ਲਾਗਤ
Ethics,ਨੀਤੀ ਵਿਗਿਆਨ
Etiquette,ਸਿਸ਼ਟਾਚਾਰ
Evacuation,ਨਿਕਾਸ
Evade,ਟਾਲ ਜਾਣਾ
Evaluation,ਮੁਲਾਂਕਨ
Even number,ਸਮਸਂਖਿਆ
Eventual,ਸਂਭਾਵਿਤ
Eviction,ਬੇਦਖਲੀ
Evidence,ਸਬੂਤ
Evolve,ਵਿਕਸਿਤ ਕਰਨਾ
Exact,"ਯਥਾਰਥ, ਢੁੱਕਵਾ, ਨਿਸ਼ਚਿਤ"
Examination,ਪਰੀਖਿਆ
Examinee,ਪਰੀਖਿਆਰਥੀ
Examiner,ਪਰੀਖਿਅਕ
Example,ਉਦਾਹਰਨ
Excavation,ਖੁਦਾਈ
Excellent,ਉਤਕ੍ਰਿਸ਼ਟ
Exception,ਅਪਵਾਦ
Exceptional,ਅਸਾਧਾਰਨ
Excess,"ਅਧਿਕਤਾ, ਬਹੁਤਾਇਤ"
Exchange,"ਆਦਾਨ-ਪ੍ਰਦਾਨ, ਵਟਾਂਦਰਾ"
Exchequer,ਰਾਜਕੋਸ਼
Excise (=excise duty),ਉਤਪਾਦਨ ਕਰ
Exclude,"ਪਰੈ ਰਖਣਾ, ਕੱਢ ਦਣਾ"
Exclusive,ਨਿਵੇਕਤਾ
Excuse,"ਸਾਫ਼ ਕਰਨਾ, ਬਹਾਨਾ"
Execute,"ਅਸਲ ਕਰਨਾ, ਨਿਮਪਾਦਨ ਕਰਨਾ"
Executive,"ਕਾਰਜਪਾਲਿਕਾ, ਕਰਜਪਾਲਕ, ਪ੍ਰਬੰਦਕ, ਪ੍ਰਬੰਧਕ(ਸਮਿਤੀ)"
Executive committee,ਪ੍ਰਬੰਧਕ ਸਮਿਤੀ
Executive power,ਪ੍ਰਬੰਧਕ ਸ਼ਕਤੀ
Executives,"ਅਧਿਕਾਰੀ ਵਰਗ, ਪ੍ਰਬੰਦਕੀ ਵਰਗ"
Executive staff,"ਕਾਰਜਪਾਲਕ ਸਟਾਫ਼, ਪ੍ਰਬੰਧਕ ਸਟਾਫ਼"
Exempt,ਛੂਟ ਦੇਣਾ
Exemption,"ਮੁਕਤ, ਛੂਟ"
Exercise,"ਪਰਯੋਗ, ਪਰਯੋਗ ਕਰਨਾ"
Ex gratia,ਬੱਖਸ਼ਸ਼ ਵਜੋਂ
Ex gratia payment,ਬੱਖਸ਼ਸ਼ ਅਦਾਇਗੀ
Exhaust,"ਸ਼ੱਖਣਾ ਕਰਨਾ, ਮੁਕ ਦੇਣਾ"
Exhaustive,ਸਰਵਾਂਗੀਣ
Exhibit,ਨੁਮਾਇਸ਼ ਕਰਨੀ
Exigency,"ਫੌਰੀ ਲੋੜ, ਮੁਤਾਲਬਾ"
Exim policy,ਆਯਾਤ-ਨਿਰਯਾਤ ਨੀਤੀ
