Assamese,English
ৰেগুৰ বা ক’লা কপাহী মাটি,Regur or black cotton soil
ৰিপেমেণ্ট চুক্তি,Repayment contract
অৱশিষ্ট সংকোচন,Residual shrinkage
অৱশিষ্ট মাটি,Residual soil
প্ৰকাশ কৰা,Reveal
পিন প্ৰকাশ কৰক,Reveal pin
টাই প্ৰকাশ কৰক,Reveal tie
ৰিজ,Ridge
ৰিজ কেপিং,Ridge capping
নদী,River
ৰোড ষ্টেড,Road stead
ৰুক্ষ প্লাষ্টাৰ,Rough plaster
ধ্বংসাৱশেষ,Rubble
ধ্বংসাৱশেষৰ শিলৰ কাম,Rubble masonry
ধ্বংসাৱশেষৰ দেৱাল,Rubble walling
চলি থকা জোখ-মাখ,Running measurement
নিৰাপদ বহন ক্ষমতা,Safe bearing capacity
নিমখৰ গ্লেজ,Salt glaze
নমুনাৰ আকাৰ,Sample size
নমুনা বিতৰণ,Sampling distribution
নমুনা সংগ্ৰহৰ ভুল,Sampling error
বালি,Sand
বালিৰ ফিনিচিং,Sand finish
বালিৰ হাতৰ মল্ডিং,Sand hand moulding
ছেণ্ডিং,Sanding
সংপৃক্ত মাটি,Saturated soil
সংপৃক্ত মাটিৰ পেষ্ট,Saturated soil paste
চেচুৰেচন এক্সট্ৰেক্ট,Saturation extract
চেচুৰেচন শতাংশ,Saturation percentage
চচৰ গম্বুজ,Saucer dome
মৰাপাট,Scaffold
শ্বিষ্ট,Schist
সাগৰীয় বন্দৰ,Sea port
গোপন নালা,Secret gutter
দ্বিতীয়,Second
পলস বিশ্লেষণ,Sedimentation analysis
অৰ্ধকৃত্ৰিম বন্দৰ,Semi-artificial harbour
অৰ্ধ জোৱাৰ-ভাটাৰ ডক,Semi tidal dock
চেনিল,Senile
শ্বেল,Shale
শ্বীটৰ স্তূপ,Sheet pile
সংকোচনৰ সীমা,Shrinkage limit
শ্বাটাৰিং,Shuttering
চিয়ালিটিক মাটি,Siallitic soil
ছিয়েৰ’জেম,Sierozem
চিল,Sill
পলি,Silt
একক ফ্লেমিছ তেজ,Single flemish blood
একক দানাযুক্ত গঠন,Single grained structure
কংকালৰ মাটি,Skeletal soil
স্কাৰ্টিং,Skirting
স্লিপাৰ ৱাল,Sleeper wall
কাষৰ নালা,Side gutter
স্লাইড নিয়ম,Slide rule
স্লিপ ডক,Slip dock
স্মোনিজা,Smoniza
তিয়াই থোৱা,Soaking
মাটিৰ সংঘ,Soil association
মাটিৰ শ্ৰেণী,Soil class
মাটিৰ জটিলতা,Soil complex
মাটিৰ স্থায়িত্ব,Soil consistency
মাটি পৰিয়াল,Soil family
মাটিৰ ফ্ৰেমৰ কাম,Soil frame work
মাটিৰ আৰ্দ্ৰতা,Soil moisture
মাটিৰ আৰ্দ্ৰতা বৃদ্ধি,Soil moisture accretion
মাটিৰ আৰ্দ্ৰতাৰ ঘাটি,Soil moisture deficit
মাটিৰ আকৃতিবিজ্ঞান,Soil morphology
মাটিৰ কণা,Soil particle
মাটিৰ পৰ্যায়,Soil phase
মাটিৰ প্ৰফাইল,Soil profile
মাটিৰ বিক্ৰিয়া,Soil reaction
মাটি পৃথক হয়,Soil separates
মাটিৰ শৃংখলা,Soil series
মাটিৰ দ্ৰৱ,Soil solution
মাটিৰ গঠন,Soil structure
মাটিৰ টেক্সচাৰ,Soil texture
মাটিৰ প্ৰকাৰ,Soil type
ছলুম,Solum
শোষণ,Sorption
Spalls,Spalls
নিৰ্দিষ্ট আয়ন প্ৰভাৱ,Specific ion effect
বৰ্গক্ষেত্ৰৰ কোৰ্চযুক্ত ধ্বংসাৱশেষৰ শিলৰ কাম,Squared coursed rubble masonry
বৰ্গক্ষেত্ৰৰ নিয়মীয়া কোৰ্চযুক্ত ধ্বংসাৱশেষ শিলৰ কাম,Squared regular coursed rubble masonry
স্থিৰ প্ৰবাহ,Steady flow
ফিচফিচাই ষ্টেপ কৰিলে,Stepped flashing
আঠাযুক্ততা,Stickiness
ষ্টিক পইণ্ট,Sticking point
শিল,Stone
স্লপ হেণ্ড মল্ডিং,Slop hand moulding
ষ্ট্ৰেপ হিঞ্জ,Strap hinge
ষ্ট্ৰ’ বৰ্ড,Straw board
নিজৰা,Stream
চাপ,Stress
ষ্ট্ৰেচাৰ,Stretcher
ষ্ট্ৰেচাৰ বণ্ড,Stretcher bond
ষ্ট্ৰেচাৰ কোৰ্চ,Stretcher course
তাঁৰ,String
ষ্ট্ৰিং কোৰ্চ,String course
গঠন কাৰক,Structure factor
গঠন সূচকাংক,Structure index
ষ্টুকো,Stucco
ষ্টড,Stud
ষ্টাইলবেট,Stylobate
উপ মাটি,Sub soil
উপ গঠন,Sub structure
যোগফল বক্ৰ,Summation curve
সূৰ্য্যৰ মাইকা,Sun mica
চুপাৰ ষ্ট্ৰাকচাৰ,Super structure
জৰীপকাৰী,Surveyor
S-মান,S-value
লুট,Swag
হাঁসৰ ডিঙি,Swan neck
তম্বু,Tabernacle
টেবুল হেণ্ড মল্ডিং,Table hand moulding
টেংকিং,Tanking
টেম্পিয়েট্টো,Tempietto
টেম্পাৰিং,Tempering
টেমপ্লেট,Template
টেমপ্লেট,Template
টেপিডাৰিয়াম,Tepidarium
টেৰাকোটা,Terracotta
টেৰা ৰোজা,Terra rosa
টেৰাজো,Terrazzo
টেট্ৰা ষ্টাইল,Tetra style
থ্ৰেছহ&#39;ল্ড সীমা মান,Threshold limit value
নেলু,Throat
শিলৰ মাজেৰে,Through stone
জোৱাৰ-ভাটাৰ অৱবাহিকা,Tidal basin
টাই বাৰ,Tie bar
টাই বিম,Tie beam
টাই ৰড,Tie rod
তিৰছ,Tirs
সহনশীলতা,Tolerance
দাঁত ওলোৱা,Toothing
ওপৰৰ মাটি বা পৃষ্ঠৰ মাটি,Top soil or surface soil
মুঠ ছিদ্ৰতা,Total porosity
ট্ৰেচাৰী,Tracery
ট্ৰেইন ৰেজিষ্টেন্স,Train resistance
ট্ৰেন্সেপ্ট,Transept
সংক্ৰমণকালীন মাটি,Transitional soil
ট্ৰেন্সম,Transom
পৰিবহণ মাটি,Transport soil
ট্ৰিবিউটাৰী,Tributary
ট্ৰাইফ’ৰিয়াম,Triforium
ট্ৰিগ্লিফ,Triglyph
ছেদ কৰা মাটি,Truncated soil
অশান্ত প্ৰবাহ,Turbulent flow
টাৰেট,Turret
টিম্পাৰ num,Tympar num
চূড়ান্ত বহন ক্ষমতা,Ultimate bearing capacity
চূড়ান্ত ph,Ultimate ph
আনকোৰ্চড ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,Uncoursed random rubble masonry
আনকোৰ্চড বৰ্গক্ষেত্ৰৰ ধ্বংসাৱশেষৰ শিলৰ কাম,Uncoursed squared rubble masonry
আণ্ডাৰক্ৰফ্ট,Undercroft
ভৰোৱা নোহোৱা ছিদ্ৰতা,Unfilled porosity
একেধৰণৰ প্ৰবাহ,Uniform flow
ইউনিট ফ্ৰেম ধৰণৰ মৰাপাট,Unit frame type scaffold
অনুত্পাদনশীল কাম,Unproductive work
অসংপৃক্ত মাটি,Unsaturated soil
অস্থিৰ প্ৰবাহ,Unsteady flow
প্লাষ্টিকৰ ওপৰৰ সীমা,Upper plastic limit
উপত্যকাৰ নালা,Valley gutter
ভল্ট,Vault
ভেটেৰিয়াম,Vetarium
বায়ু চলাচল কৰা,Ventilation
ভেন্টিলেটৰ,Ventilator
ভেৰামদহ,Veramdah
ভেষ্টিবুল,Vestibule
ভিলা,Villa
