Marathi,Bengali
प्रस्थान,প্রস্থান
अवलंबित्व प्रमाणपत्र,নির্ভরতা শংসাপত্র
अवलंबून,নির্ভরশীল
अवलंबून मुले,নির্ভরযোগ্য শিশু
तैनात करणे,মোতায়েন
अनुयायी,ডিপেন্টেন্ট
हद्दपारी,নির্বাসন
डिपोज,ডিপোজ
ठेव,আমানত
डेपो,ডিপো
घसारा,অবচয়
उदास वर्ग,হতাশ শ্রেণি
वंचित,বঞ্চিত
प्रतिनियुक्ती,ডেপুটেশন
प्रतिनियुक्ती भत्ता,ডেপুটেশন ভাতা
डेप्युटी,সহকারী
नोंदणीकृत,নিয়ন্ত্রিত
कर्तव्याचा विकृती,দায়িত্ব পালনে অবহেলা
Dedereservation,Ereveration
अपमान,অবমাননা
अपमानास्पद,অবমাননাকর
अपमानास्पद टीका,অবমাননাকর মন্তব্য
वंशज,বংশোদ্ভূত
वर्णन,বর্ণনা
पात्र,যোগ্য
डिझाइन,নকশা
नियुक्त करा,মনোনীত
पदनाम,উপাধি
पाठवा,প্রেরণ
पाठवा नोट,প্রাণবধ নোট
पाठवा नोंदणी,প্রেরণ নিবন্ধ
गंतव्य,গন্তব্য
निराधार,নিঃস্ব
तपशील,বিশদ
तपशीलवार,বিশদ
शोध,সনাক্ত করুন
ताब्यात,আটক
डीटेनु,ডিটেনু
निर्धार,সংকল্প
निरोधक,বাধা
हानिकारक,ক্ষতি
हानिकारक,ক্ষতিকারক
अवमूल्यन,অবমূল্যায়ন
विध्वंस,ধ্বংস
विकास,উন্নয়ন
विचलित करा,বিচ্যুত
साधन,যন্ত্র
भक्ती,ভক্তি
निदान,নির্ণয়
आकृती,চিত্র
डायरी,ডায়েরি
डिक्टेशन,ডিক্টেশন
मरणार नाही,মারা যায় না
आहार,ডায়েট
पचवणे,পরিপাক করা
प्रतिष्ठित,মর্যাদাপূর্ণ
प्रतिष्ठा,মর্যাদা
डिग्रीशन,ডিগ্রেশন
सौम्य,Dilatory
कोंडी,দ্বিধা
मेहनती,পরিশ্রমী
परिमाण,মাত্রা
डिप्लोमा,ডিপ্লোমা
मुत्सद्दीपणा,কূটনীতি
मुत्सद्दी प्रतिकारशक्ती,কূটনৈতিক অনাক্রম্যতা
थेट,সরাসরি
थेट स्पर्धा,সরাসরি প্রতিযোগিতা
थेट मुलाखत,সরাসরি সাক্ষাত্কার
दिशा,অভিমুখ
निर्देशिका,ডিরেক্টরি
थेट भरती,সরাসরি নিয়োগ
परवानगी नाही,অস্বীকার করুন
दिव्यांग,অক্ষমতা
अपंग व्यक्ती,প্রতিবন্ধী ব্যক্তি
अपंगत्व लाभ,অক্ষম সুবিধা
गैरसोय,অসুবিধা
सहमत नाही,একমত
परवानगी नाही,অস্বীকার করা
नकार,অস্বীকৃতি
आपत्ती,বিপর্যয়
आपत्ती व्यवस्थापन,দুর্যোগ ব্যবস্থাপনা
विघटन,ডিসব্যান্ড
वितरण,বিতরণ
टाकून द्या,বাতিল করা
डिस्चार्ज,স্রাব
डिस्चार्ज स्लिप,স্রাব স্লিপ
शिस्तबद्ध कारवाई,শাস্তিমূলক ব্যবস্থা
शिस्तबद्ध प्रक्रिया,শৃঙ্খলাবদ্ধ পদ্ধতি
शिस्त,শৃঙ্খলা
अस्वीकरण,অস্বীকার করুন
प्रकटीकरण,প্রকাশ
असंतोष,অসন্তুষ্টি
विघटन,বিচ্ছিন্নতা
बंद करा,বন্ধ করুন
मतभेद,মতবিরোধ
सूट,ছাড়
शोधा,আবিষ্কার
बदनामी,কুখ্যাত
विसंगती,তাত্পর্য
विवेक,বিচক্ষণতা
विवेकी अनुदान,বিচক্ষণ অনুদান
विवेकी शक्ती,বিবেচনামূলক ক্ষমতা
भेदभाव,বৈষম্য
चर्चा,আলোচনা
अप्रामाणिक,অসাধু
अनादर,অসম্মান
विघटन,বিভাজন
डिस्क,ডিস্ক
विस्थापन,স্থানচ্যুতি
विश्वासघात,অসাধু
काढून टाकणे,বরখাস্ত
बाद,বরখাস্ত
डिसमिसल प्रक्रिया,বরখাস্ত পদ্ধতি
आज्ञा पाळ,অমান্য
डिसऑर्डर,ব্যাধি
अव्यवस्थित,বিশৃঙ্খলা
असमानता,বৈষম্য
पाठवण्याचा विभाग,প্রেরণ বিভাগ
डिस्पेंसेबल,বিতরণযোগ্য
विखुरले,ছড়িয়ে ছিটিয়ে
विस्थापित,বাস্তুচ্যুত
प्रदर्शन,প্রদর্শন
नाराजी,অসন্তুষ্টি
विल्हेवाट,নিষ্পত্তি
विल्हेवाट लावणे,নিষ্পত্তি
स्वभाव,স্বভাব
विल्हेवाट,নিষ্পত্তি
वाद,বিতর্ক
अपात्रता,অযোগ্যতা
दुर्लक्ष,উপেক্ষা
व्यत्यय,ভাঙ্গন
असंतोष,অসন্তুষ্টি
मतभेद,মতবিরোধ
डिसव्हिसिस,বিপর্যয়
पृथक्करण,বিচ্ছিন্ন
विघटन,দ্রবীভূত
विरघळ,দ্রবীভূত
अंतर शिक्षण,দূর শিক্ষন
डिस्टिलरी,ডিস্টিলি
भिन्न,স্বতন্ত্র
वेगळे करा,পার্থক্য
विकृती,বিকৃতি
त्रास,সঙ্কট
वितरण,বিতরণ
वितरण,বিতরণ
जिल्हा,জেলা
जिल्हा केंद्र,জেলা কেন্দ্র
त्रास,ঝামেলা
Ditto,ডিট্টো
विचलन,ডাইভার্সন
लाभांश,লভ্যাংশ
विभागणी,বিভাগ
घटस्फोट,বিবাহবিচ্ছেদ
डॉकेट,ডকেট
डॉक्टर,ডাক্তার
दस्तऐवज,নথি
कागदोपत्री पुरावा,দালিলিক প্রমাণ
दस्तऐवजीकरण,ডকুমেন্টেশন
अधिवास,আবাস
अधिवास प्रमाणपत्र,আবাসিক শংসাপত্র
प्रबळ,প্রভাবশালী
देणगी,অনুদান
डॉसियर,ডসিয়ার
संशयास्पद,সন্দেহজনক
कबुतराची टेलिंग,ডোভ টেলিং
डाउन ग्रेड,ডাউন গ্রেড
मसुदा,খসড়া
मसुदा प्रत्युत्तर,খসড়া উত্তর
कठोर उपाय,কঠোর পরিমাপ
काढा,অঙ্কন
ड्रॉवर,ড্রয়ার
रेखांकन,অঙ্কন
दुष्काळ,খরা
कोरडे जाहिरात,শুকনো প্রচার
ड्युअल शुल्क,দ্বৈত চার্জ
दुहेरी नागरिकत्व,দ্বৈত নাগরিকত্ব
देय,বাকি
देय परिश्रम,যথাযথ পরিশ্রম
थकबाकी,বকেয়া
योग्यरित्या,যথাযথভাবে
नक्कल,নকল
कालावधी,সময়কাল
ड्युरेस,ডুরেস
कर्तव्य,ডিউটি
कर्तव्य भत्ता,শুল্ক ভাতা
कर्तव्य चार्ट,ডিউটি ​​চার্ট
कर्तव्य रजा,শুল্ক ছুটি
ड्यूटी रूम,ডিউটি ​​রুম
मरणार घोषित,মারা যাওয়ার ঘোষণা
गतिशीलता,গতিশীলতা
Sermone,ইয়ারমার্ক
कमाईची रजा,অর্জিত ছুটি
कमाई,উপার্জন
पर्यावरणास अनुकूल,পরিবেশ বান্ধব
पर्यावरणशास्त्र,বাস্তুশাস্ত্র
अर्थिक,অর্থনৈতিক
आर्थिक शोषण,অর্থনৈতিক শোষণ
अर्थव्यवस्था,অর্থনীতি
अर्थव्यवस्था वर्ग,অর্থনীতি শ্রেণি
संपादन,সম্পাদনা
संस्करण,সংস্করণ
संपादकीय,সম্পাদকীয়
शिक्षण,শিক্ষা
शैक्षणिक कारकीर्द,শিক্ষামূলক ক্যারিয়ার
शैक्षणिक संस्था,শিক্ষা প্রতিষ্ঠান
शैक्षणिक पात्रता,শিক্ষাগত যোগ্যতা
प्रभाव,প্রভাব
प्रभावी,কার্যকর
प्रभावी तारीख,কার্যকর দিন
परिणाम,প্রভাব
कार्यक्षमता,কার্যকারিতা
कार्यक्षमता,দক্ষতা
कार्यक्षम,দক্ষ
इजेक्शन,বহিষ্কার
विस्तृत,বিস্তৃত
बाहेर पडला,Elapse
निवडलेले प्रतिनिधी,নির্বাচিত প্রতিনিধি
निवडणूक,নির্বাচন
निवडणूक महाविद्यालय,নির্বাচনী কলেজ
मतदार,ভোটার
विद्युतीकरण,বিদ্যুতায়ন
इलेक्ट्रॉनिक मीडिया,ইলেকট্রনিক মিডিয়া
प्राथमिक,প্রাথমিক
पात्रता,যোগ্যতা
पात्रता चाचणी,যোগ্যতা পরীক্ষা
निर्मूलन,নির্মূল
वक्तृत्व,স্পষ্টতা
लाजिरवाणे,বিব্রত করা
भुयारीपणा,আত্মসাৎ
प्रतीक,প্রতীক
एम्बॉसिंग सील,এমবসিং সিল
आणीबाणी,জরুরী
आपत्कालीन आराम,জরুরী ত্রাণ
उदय,জরুরী
इमिग्रेशन,অভিবাসন
Emoluments,ইমোলমেন্টস
एम्पिनेलमेंट,এম্প্যানেলমেন্ট
सहानुभूती,সহমর্মিতা
रोजगार,নিয়োগ
कर्मचारी,কর্মচারী
कर्मचार्‍यांचा सहभाग,কর্মচারী অংশগ্রহণ
कर्मचार्‍यांचे योगदान,কর্মচারীর অবদান
कर्मचार्‍यांचा भविष्य निर्वाह निधी,কর্মচারীর প্রভিডেন্ট ফান্ড
मालक,নিয়োগকর্তা
रोजगार,কর্মসংস্থান
रोजगार विनिमय,কর্মসংস্থান বিনিময়
रोजगाराची सूचना,কর্মসংস্থান বিজ্ঞপ্তি
रोजगार कार्यालय,কর্মসংস্থান অফিস
सक्षम,ক্ষমতায়ন
सशक्तीकरण,ক্ষমতায়ন
कायदे करा,আইন
अधिनियम,আইন
एन ब्लॉक,সব একসাথে
एन्कॅश,এনক্যাশ
संलग्न,ঘিরা
प्रोत्साहन,উত্সাহ
अतिक्रमण,সীমালঙ্ঘন
अडचण,Encumbrance
मान्यता,অনুমোদন করা
देणगी,এন্ডোমেন্ট
शेवटचे उत्पादन,শেষ পণ্য
ऊर्जा,শক্তি
अंमलबजावणी,প্রয়োগ
व्यस्त,জড়িত
वर्धित,বর্ধন
आग्रह,নির্দেশ দিন
एन मॅसे,En মাস
चौकशी,অনুসন্ধান
नावनोंदणी,তালিকাভুক্ত
नावनोंदणी (= नोंदणी),তালিকাভুক্তি (= তালিকাভুক্তি)
नावनोंदणी क्रमांक,তালিকাভুক্তি নম্বর
Entre,Enroute
आगामी,আগত
खात्री करा,নিশ্চিত করা
प्रविष्ट करा,প্রবেশ করুন
उपक्रम,এন্টারপ্রাইজ
मनोरंजन,বিনোদন
करमणूक,বিনোদন
हक्क,এনটাইটেল
पात्र,অধিকারী
हक्क,এনটাইটেলমেন্ট
प्रवेश,প্রবেশদ্বার
प्रवेशद्वार,প্রবেশকারী
प्रविष्टी,প্রবেশ
एंट्री लेव्हल जॉब,অনভিজ্ঞ স্তরের চাকরি
गणना,গণনা
वातावरण,পরিবেশ
राजदूत,দূত
साथरोग,মহামারী
एपिटोम,এপিটোম
समानता,সমতা
समतोल,ভারসাম্য
उपकरणे,সরঞ্জাম
इक्विटी,ইক্যুইটি
समतुल्य,সমতুল্য
समतुल्य,সমতুল্য
निर्मूलन,নির্মূল
ERRATA,এরতা
त्रुटी,ত্রুটি
एस्केलेशन,ক্রমবর্ধমান
एस्कॉर्ट,এসকর্ট
अत्यावश्यक,অপরিহার্য
स्थापना,প্রতিষ্ঠা
अंदाज,অনুমান
अंदाजे किंमत,আনুমানিক খরচ
नीतिशास्त्र,নীতিশাস্ত্র
शिष्टाचार,শিষ্টাচার
निर्वासन,অপসারণ
टाळता,এড়ানো
मूल्यांकन,মূল্যায়ন
सम संख्या,জোড় সংখ্যা
अखेरीस,শেষ
बेदखल,উচ্ছেদ
पुरावा,প্রমান
विकसित,বিবর্তিত
अचूक,ঠিক
परीक्षा,পরীক্ষা
परीक्षार्थी,পরীক্ষা
परीक्षक,পরীক্ষক
उदाहरण,উদাহরণ
उत्खनन,খনন
उत्कृष्ट,দুর্দান্ত
अपवाद,ব্যতিক্রম
अपवादात्मक,ব্যতিক্রমী
जादा,অতিরিক্ত
एक्सचेंज,বিনিময়
Execequer,এক্সিকিউয়ার
उत्पादन शुल्क (= उत्पादन शुल्क),আবগারি (= আবগারি শুল্ক)
वगळा,বাদ দিন
अनन्य,এক্সক্লুসিভ
माफ करा,ক্ষমা
अंमलबजावणी,এক্সিকিউট
कार्यकारी,কার্যনির্বাহী
कार्यकारी समिती,কার্যনির্বাহী কমিটি
कार्यकारी शक्ती,নির্বাহী ক্ষমতা
कार्यकारी,এক্সিকিউটিভস
कार्यकारी कर्मचारी,এক্সিকিউটিভ স্টাফ
सूट,ছাড়
सूट,ছাড়
व्यायाम,অনুশীলন
माजी ग्रॅटिया,প্রাক্তন গ্র্যাটিয়া
माजी ग्रॅटिया पेमेंट,প্রাক্তন গ্রেটিয়া পেমেন্ট
दमट,নিষ্কাশন
परिपूर्ण,সম্পূর্ণ
प्रदर्शन,প্রদর্শন
एक्झीजेंसी,এক্সিজেন্সি
एक्झिम पॉलिसी,এক্সিম নীতি
बाहेर पडा,প্রস্থান
एक्झिट मुलाखत,প্রস্থান সাক্ষাত্কার
एक्झिट पॉलिसी,প্রস্থান নীতি
एक्झिट पोल,প্রস্থান জরিপ
एक्स-ऑफिसिओ,পদাধিকারবলে
निर्दोष,বহিষ্কার
विस्तार,সম্প্রসারণ
माजी भाग,প্রাক্তন অংশ
प्रवासी,প্রবাসী
फायदेशीर,সমীচীন
वेगवान,ত্বরান্বিত করা
बाहेर काढा,বহিষ্কার করা
खर्च,ব্যয়
अनुभव,অভিজ্ঞতা
प्रयोग,পরীক্ষা
तज्ञ,বিশেষজ্ঞ
समाप्ती,মেয়াদোত্তীর্ণ
कालबाह्यता तारीख,মেয়াদোত্তীর্ণ তারিখ
स्पष्टीकरण,ব্যাখ্যা
स्पष्ट,স্পষ্ট
शोषण,শোষণ
अन्वेषण,অন্বেষণ
स्फोट,বিস্ফোরণ
निर्यात,রফতানি
माजी पोस्ट फॅक्टो,প্রাক্তন পোস্ট ফ্যাক্টো
व्यक्त,প্রকাশ করা
अभिव्यक्ती,অভিব্যক্তি
हद्दपार,তাড়ানো
निर्वासित,প্রসারণ
वाढवणे,প্রসারিত করা
व्याप्ती,ব্যাপ্তি
बाह्य,বাহ্যিক
खंडणी,চাঁদাবাজি
अतिरिक्त,অতিরিক্ত
काढा,নির্যাস
विलक्षण,অসাধারণ
विलक्षण,অসংযত
अतिरेकी,চরমপন্থী
बहिर्मुख,এক্সট্রোভার্ট
डोळा साक्षीदार,চোখের সাক্ষী
बनावट,বানোয়াট
दर्शनी मूल्य,পরিচিতি
सुलभ करा,সহজতর করা
सुविधा,সুবিধা
फॅसिमिले,ফ্যাসিমাইল
खरं,সত্য
गटवाद,দলীয়তা
घटक,ফ্যাক্টর
कारखाना,কারখানা
वास्तविक,সত্য
प्राध्यापक,অনুষদ
अपयशी,ব্যর্থ
योग्य,মেলা
विश्वास,বিশ্বাস
बनावट,নকল
कुटुंब,পরিবার
दुष्काळ,দুর্ভিক্ষ
भाडे,ভাড়া
निरोप,বিদায়কালীন অনুষ্ঠান
शेती,কৃষিকাজ
थकवा,ক্লান্তি
दोष,দোষ
अनुकूलता,আনুকূল্য
व्यवहार्यता,সম্ভাব্যতা
फेडरेशन,ফেডারেশন
फी,ফি
परत खायला द्या,ফিরে ফিড
भावना,অনুভূতি
सत्यापित करा,ফেলিসিট
फेलो,ফেলো
फेलोशिप,ফেলোশিপ
मादी,মহিলা
सुपीक,উর্বর
काल्पनिक,কল্পিত
निष्ठा,বিশ্বস্ততা
फील्ड,ক্ষেত্র
आकृती,চিত্র
फाईल,ফাইল
दाखल,ফাইলিং
चित्रपट,ফিল্ম
अंतिम,চূড়ান্ত
वित्त,অর্থায়ন
आर्थिक,আর্থিক
फायनान्सर,ফিনান্সার
निष्कर्ष,অনুসন্ধান
छान,ভাল
ललित कला,চারুকলা
बोटाचे मुद्रण,আঙুলের মুদ্রণ
समाप्त वस्तू,সমাপ্ত পণ্য
आग,আগুন
गोळीबार,গুলি চালানো
टणक,দৃঢ়
प्रथमोपचार,প্রাথমিক চিকিৎসা
प्रथम श्रेणी,প্রথম শ্রেণি
प्रथम विभाग,প্রথম বিভাগ
पहिला माहिती अहवाल,প্রথম তথ্য প্রতিবেদন
वित्तीय,রাজকোষ
मत्स्यपालन,ফিশারি
फिट,ফিট
तंदुरुस्ती,ফিটনেস
निराकरण,ঠিক আছে
निर्धारण,স্থিরকরণ
निश्चित,স্থির
झेंडा,পতাকা
फडफड,ফ্ল্যাপ
फ्लॅट,সমান
फ्लीट,বহর
लवचिकता,নমনীয়তা
उड्डाण,ফ্লাইট
पूर आराम,বন্যা ত্রাণ
मजला,মেঝে
प्रवाह,প্রবাহ
चढ - उतार,ওঠানামা
भ्रूणक,ভ্রূণের
फोल्डर,ফোল্ডার
फोलिओ,ফোলিও
अनुसरण करा,অনুসরণ করুন
खालील,অনুসরণ
अनुयायी,অনুগামী
Foment,Foment
पाऊल टीप,পা নোট
सक्तीने कामगार,জোরকৃত দিনমজুর
अंदाज,পূর্বাভাস
अग्रगण्य निष्कर्ष,পুর্বসিদ্ধান্ত
परदेशी,বিদেশী
फोरमॅन,ফোরম্যান
फोरनून,ফরেনুন
दूरदृष्टी,দূরদর্শিতা
अग्रलेख,ফোরওয়ার্ড
जप्त,জালিয়াতি
बनावट,জাল
बनावट,জালিয়াতি
फॉर्म,ফর্ম
औपचारिक,আনুষ্ঠানিক
स्वरूप,ফর্ম্যাট
माजी,প্রাক্তন
सुत्र,সূত্র
त्वरित,অবিলম্বে
पुढे,ফরোয়ার্ড
अग्रेषित पत्र,ফরোয়ার্ডিং লেটার
पाया,ভিত্তি
अपूर्णांक,ভগ্নাংশ
फ्रेंचायझी,ফ্র্যাঞ্চাইজি
फसवणूक,জালিয়াতি
फुकट,বিনামূল্যে
गोठवा,বরফে পরিণত করা
मालवाहतूक,ফ্রেইট
वारंवारता,ফ্রিকোয়েন্সি
इंधन,জ্বালানী
पूर्ण-प्रमाणात,পূর্ণ-স্কেল
कार्य,ফাংশন
निधी,তহবিল
कट्टरतावाद,মৌলবাদ
सुसज्ज,সজ্জিত
पुढील कारवाई,আরও কর্ম
फायदेशीर रोजगार,লাভজনক কর্মসংস্থান
फायदेशीर व्यवसाय,লাভজনক পেশা
गेट पास,গেট পাস
राजपत्रित,গেজেটেড
राजपत्रित सुट्टी,গেজেটেড ছুটি
सामान्य,সাধারণ
सामान्य प्रशासन,সাধারণ প্রশাসন
सामान्य शरीर,সাধারণ দেহ
सार्वत्रिक निवडणूक,সাধারণ নির্বাচন
सर्वसाधारण सभा,সাধারন সভা
सामान्य सराव,সাধারণ অভ্যাস
सामान्य प्रक्रिया,সাধারণ পদক্ষেপ
सामान्य नियम,সাধারণ নিয়ম
सामान्य वॉर्ड,জেনারেল ওয়ার্ড
पिढी,প্রজন্ম
अलौकिक बुद्धिमत्ता,প্রতিভা
खरा,অকৃত্রিম
भेट,উপহার
सार,গিস্ট
जागतिक निविदा,গ্লোবাল টেন্ডার
शब्दकोष,শব্দকোষ
ध्येय,লক্ষ্য
खाली जा,নামা
गोल्डन हँडशेक (= गोल्डन पॅराशूट),গোল্ডেন হ্যান্ডশেক (= গোল্ডেন প্যারাসুট)
चांगले,ভাল
चांगले आचरण,ভাল ব্যবহার
चांगला विश्वास,ভাল বিশ্বাস
चांगली कार्यालये,ভাল অফিস
सद्भावना,শুভেচ্ছা
शासन,শাসন
कारभार,শাসন
शासन,সরকার
भारत सरकार,ভারত সরকার
भारत सरकार चिंता,ভারত সরকার উদ্বেগ
भारत सरकार उपक्रम,ভারত সরকার উদ্যোগ
सरकारी प्रेस,সরকারী প্রেস
सरकारी नोकर नियम आयोजित करतात,সরকারী কর্মচারীরা বিধি পরিচালনা করে
सरकारी सेवा,সরকারী পরিসেবা
श्रेणीकरण,গ্রেডেশন
ग्रेड,শ্রেণী
ग्रेडिंग,গ্রেডিং
पदवीधर,স্নাতক
पदवीधर वेतन,স্নাতক মজুরি
पदवीधर प्रशिक्षणार्थी,স্নাতক প্রশিক্ষণার্থী
कलम,ঘুস
ग्रँड टोटल,সর্বমোট
अनुदान,প্রদান
अनुदान-सहाय्य,অনুদান-সহায়তা
द्राक्षे,আঙ্গুর
आलेख,চিত্রলেখ
ग्राफोलॉजी,গ্রাফোলজি
कृतज्ञ,কৃতজ্ঞ
कृतज्ञता,গ্র্যাচুয়িটি
हिरवा हात,সবুজ হাত
शुभेच्छा,শুভেচ্ছা
तक्रार,অভিযোগ
गंभीर,গুরুতর
स्थूल,স্থূল
एकूण रक्कम,মোট পরিমাণ
एकूण गैरवर्तन,স্থূল অসদাচরণ
एकूण दुर्लक्ष,অমার্জিত অবহেলা
निव्वळ नफा,পুরো লাভ
एकूण महसूल,মোট আয়
एकूण एकूण,সর্ব মোট
निराधार,গ্রাউন্ডলেস
ग्राउंड भाडे,সর্বনিম্ন মূল্য
मैदान,মাঠ
गट,গ্রুপ
गटबद्ध आणि ग्रेडिंग,গ্রুপিং এবং গ্রেডিং
हमी,গ্যারান্টি
हमी,গ্যারান্টর
रक्षक,প্রহরী
गार्ड फाईल,গার্ড ফাইল
पालक,অভিভাবক
गेस्ट हाऊस,অতিথিশালা
मार्गदर्शन,গাইড
मार्गदर्शक तत्त्वे,নির্দেশিকা
दोषी,অপরাধবোধ
सवय,অভ্যাস
सवय,অভ্যাসগত
अर्ध्या सुट्टीचा,হাফ-হলিডে
अर्धा वेतन,অর্ধেক বেতন
हॉल,হল
थांबवा,থামো
हात,হাত
हँडबिल,হ্যান্ডবিল
हँडबुक,হ্যান্ডবুক
अपंग,প্রতিবন্ধী
हँडल,হাতল
हातमाग,হ্যান্ডলুম
सुलभ,সহজ
हस्तांतरण,হস্তান্তর
हस्ताक्षर,হস্তাক্ষর
छळ,হয়রানি
हार्बर,হারবার
कठोर कामगार,কঠিন পরিশ্রম
हार्डवेअर,হার্ডওয়্যার
कठोर परिश्रम करणारा,কঠোর পরিশ্রম
हाउलाज,হোলেজ
फेरीवाला,হকার
धोका,বিপত্তি
डोके,মাথা
मुख्य कार्यालय,সদর দফতর
मुख्यालय,সদর দফতর
आरोग्य प्रमाणपत्र,স্বাস্থ্য শংসাপত্র
सुनावणी,শ্রবণ
सुनावणी,শ্রবণ
जड वाहन,ভারী যান
वारस,উত্তরাধিকারী
आयोजित,রাখা
यासह,এখানে
हेरिटेज,Heritage তিহ্য
पदानुक्रम,হায়ারার্কি
उच्च अधिकार,উচ্চতর কর্তৃপক্ষ
उच्च दर्जाचा,উঁচু শ্রেণী
उच्चस्तरीय,উচ্চস্তর
उच्च स्तरीय निर्णय,উচ্চ স্তরের সিদ্ধান্ত
हायलाइट्स,হাইলাইটস
उच्च अधिकारी,উচ্চ আধিকারিক
उच्च प्रॉर्टी,উচ্চ priorty
हायस्कूल,উচ্চ বিদ্যালয
हिंदी आवृत्ती,হিন্দি সংস্করণ
भाड्याने द्या,ভাড়া
भाड्याने देणे,নিয়োগ
इतिहास पत्रक,ইতিহাস শীট
होर्डिंग,হোর্ডিং
होल्डिंग,ধারণ
सुट्टी,ছুটি
श्रद्धांजली,শ্রদ্ধা
मुख्यपृष्ठ,বাড়ি
हत्याकांड,হত্যাকাণ্ড
प्रामाणिक,সৎ
मानधन,অনারারিয়াম
मानद,অনারারি
सन्मान,সম্মান
वसतिगृहात,ছাত্রাবাস
विरोधी,প্রতিকূল
घराचे भाडे,ঘর ভাড়া
घराचे भाडे भत्ता,বাড়ি ভাড়া ভাতা
घर कर,হাউস ট্যাক্স
गृहनिर्माण,হাউজিং
गृहनिर्माण संस्था,হাউজিং সোসাইটি
ह्यू आणि रडणे,হিউ এবং কান্না
मानवी,মানবিক
मानवी हक्क,মানবাধিকার
अपमान,অপমান
स्वच्छता,স্বাস্থ্যবিধি
हायपोथेकेशन,হাইপোথেকশন
मनुष्यबळाचा हॉर्टेज,জনশক্তি হর্টেজ
कल्पना,ধারণা
आदर्श,আদর্শ
एकसारखे,অভিন্ন
ओळख,পরিচয়
ओळख,পরিচয়
ओळखपत्र,পরিচয় কার্ড
अज्ञान,অজ্ঞতা
दुर्लक्ष करा,উপেক্ষা
बेकायदेशीर,অবৈধ
बेकायदेशीर संप,অবৈধ ধর্মঘট
अयोग्य,অযৌক্তিক
दुर्दैवी भावना,অসুস্থ বোধ
बेकायदेशीर,অবৈধ
निरक्षरता,নিরক্ষরতা
अतार्किक,অযৌক্তিক
उदाहरण,চিত্রণ
प्रतिमा,চিত্র
असंतुलन,ভারসাম্যহীনতা
अपरिपक्व,অপরিণত
त्वरित,তাত্ক্ষণিক
त्वरित कारवाई,অবিলম্বে ব্যবস্থা
तत्काळ अधिकारी,তাত্ক্ষণিক কর্মকর্তা
परदेशातून कायमची वस्ती करण्यासाठी येणारा किंवा आलेला,অভিবাসী
अनैतिक,অনৈতিক
अचल,স্থাবর
रोगप्रतिकारक,অনাক্রম্য
प्रतिकारशक्ती,অনাক্রম্যতা
प्रभाव,প্রভাব
निःपक्षपाती,নিরপেক্ষ
महाभियोग,অভিশংসন
अडथळा,প্রতিবন্ধকতা
अत्यावश्यक,অনুজ্ঞাসূচক
तोतयागिरी,ছদ্মবেশ
अंमलबजावणी,বাস্তবায়ন
गुंतागुंत,জড়িত
पूर्ण,অন্তর্নিহিত
आयात,আমদানি
महत्वाचे,গুরুত্বপূর্ণ
आयातकर्ता,আমদানিকারক
इंडेल,ইমপোস্ট
उधळपट्टी,অভিযুক্ত
छाप,ছাপ
अर्थपूर्ण,ইমপ্রেস্ট
अयोग्य,অনুপযুক্ত
सुधारित करा,উন্নতি
सुधारणा,উন্নতি
सुधारणा,ইম্প্রোভাইজেশন
दोष,অভিপ্রায়
बेबनाव मध्ये,স্থগিত এ
असमर्थता,অক্ষমতা
प्रवेश करण्यायोग्य,দুর্গম
अपरिवर्तनीय,অগ্রহণযোগ্য
अनवधानाने,অসাবধানতাবসত
उद्घाटन,উদ্বোধন
रोख मध्ये,নগদ
प्रोत्साहन,উত্সাহ
प्रासंगिक,ঘটনামূলক
उतार,বাঁক
समावेशक,অন্তর্ভুক্ত
गुप्त,ছদ্মবেশী
उत्पन्न,আয়
आयकर,আয়কর
आयकर मंजुरी प्रमाणपत्र,আয়কর ছাড়পত্র শংসাপত্র
आयकर परतावा,আয়কর রিটার্ন
इनकमिंग,আগত
अक्षमता,অযোগ্যতা
अक्षम,অযোগ্য
अपूर्ण,অসম্পূর্ণ
अनिश्चित,অনির্বচনীয়
विसंगत,অসম্পূর্ণ
विसंगती,অসঙ্গতি
गैरसोयी,অসুবিধা
समावेश,অন্তর্ভূক্ত
चुकीचे,ত্রুটিপূর্ণ
अविश्वसनीय,অবিশ্বাস্য
वाढ,বৃদ্ধি
विद्यमान,শায়িত্ব
गुंतागुंत,অনর্থক
नुकसान भरपाई,ক্ষতিপূরণ
इंडेंट,ইন্ডেন্ট
स्वातंत्र्यदिन,স্বাধীনতা দিবস
स्वतंत्र,স্বতন্ত্র
अनुक्रमणिका,সূচক
निर्देशांक कार्ड,সূচক কার্ড
संकेत,ইঙ্গিত
दोषारोप,অভিযোগ
निष्क्रियता,উদাসীনতা
अप्रत्यक्ष,পরোক্ষ
अनुशासन,ইন্ডিসিপলাইন
अदृश्य,উদাসীনতা
अंदाधुंदी,নির্বিচারে
निर्विवाद,নির্বিচারে
अस्पष्ट,ইন্ডিস্টিন্ট
Indorsement,Indorsement
वैयक्तिक,স্বতন্ত্র
प्रेरण,আনয়ন
डुप्लिकेट मध्ये,সদৃশ
औद्योगिकीकरण,শিল্পায়ন
औद्योगिक कर्मचारी,শিল্প কর্মীরা
मेहनती,পরিশ্রমী
उद्योग,শিল্প
अकार्यक्षमता,অদক্ষতা
असमानता,বৈষম্য
अपरिहार्य,অনিবার্য
अनियंत्रित,অনভিজ্ঞ
