Bengali,Marathi
সুসংগত মড্যুলেশন,सुसंगत मॉड्यूलेशन
কয়েল,कॉइल
সহযোগিতা,सहयोग
ধসে,कोसळणे
সংগ্রাহক,जिल्हाधिकारी
সংগ্রাহক বর্তমান,जिल्हाधिकारी करंट
বেস কন্ডাক্টেন্সে সংগ্রাহক,बेस कंडक्टन्स टू कलेक्टर
সংগ্রাহক-বেস জংশন,कलेक्टर-बेस जंक्शन
রঙ,रंग
রঙ বিশ্লেষক,रंग विश्लेषक
রঙ ভারসাম্য,रंग शिल्लक
রঙ ফেটে,रंग फुटला
রঙ চার্ট,रंग चार्ट
রঙ সংমিশ্রণ,रंग संयोजन
রঙ ধ্রুবক,रंग स्थिर
রঙ নিয়ন্ত্রণ (ক্রোম নিয়ন্ত্রণ),कलर कंट्रोल (क्रोम कंट्रोल)
রঙ গভীরতা,रंग खोली
রঙ ক্লান্তি,रंग थकवा
রঙ ফিল্টার,रंग फिल्टर
রঙিন কিলার সার্কিট,कलर किलर सर्किट
রঙিন কাইনেসপ,रंग किनेस्कोप
রঙ মিশ্রণ,रंग मिक्सर
রঙিন প্যাটার্ন,रंग नमुना
রঙ উপলব্ধি,रंग समज
রঙিন চিত্রের স্ক্রিন,रंग चित्र स्क्रीन
রঙ স্থান,रंग जागा
রঙ সাবকারিয়ার,रंग सबकारियर
রঙের তাপমাত্রা,रंग तापमान
রঙ সংক্রমণ,रंग संप्रेषण
রঙ টিউব,रंग ट्यूब
রঙিন,रंगरंगोटी
বর্ণহীন,रंगहीन
সংমিশ্রণ,संयोजन
কম্বাইনার,संयोजक
সংমিশ্রণ প্রক্রিয়া,प्रक्रिया एकत्रित
দহন,ज्वलन
কমান্ড,आज्ञा
শুরু,प्रारंभ
বাণিজ্যিক সম্প্রচার,व्यावसायिक प्रसारण
বাণিজ্যিক টেলিভিশন,व्यावसायिक टेलिव्हिजन
সাধারণ সংগ্রাহক সার্কিট,सामान्य कलेक्टर सर्किट
যোগাযোগ,संप्रेषण
যোগাযোগ স্যাটেলাইট,संप्रेषण उपग्रह
সম্প্রদায় রেডিও কেন্দ্র,कम्युनिटी रेडिओ सेंटर
সম্প্রদায় রেডিও স্টেশন,कम्युनिटी रेडिओ स्टेशन
কমপ্যাক্ট ডিস্ক (সিডি),कॉम्पॅक्ट डिस्क (सीडी)
কমপ্যাক্ট ডিস্ক প্লেয়ার,कॉम्पॅक्ट डिस्क प्लेयर
সামরিক,कॉम्पॅन्डर
তুলনা করা,कंपँडिंग
সামঞ্জস্যতা,सुसंगतता
উপযুক্ত,सुसंगत
সংকলক,कंपाईलर
পরিপূরক,पूरक
পরিপূরক ট্রানজিস্টর,पूरक ट्रान्झिस्टर
জটিল তরঙ্গ,कॉम्प्लेक्स वेव्ह
উপাদান,घटक
সংমিশ্রণ,संमिश्र
যৌগিক সার্কিট,संमिश्र सर्किट
যৌগিক ডিজিটাল,संमिश्र डिजिटल
যৌগিক রেডিও ফ্রিকোয়েন্সি সিগন্যাল,संमिश्र रेडिओ फ्रिक्वेन्सी सिग्नल
যৌগিক সংকেত,संमिश्र सिग्नल
যৌগিক ভিডিও,संमिश्र व्हिडिओ
যৌগিক ভিডিও সংকেত,संमिश्र व्हिडिओ सिग्नल
গঠন,रचना
সংকুচিত ডেটা,संकुचित डेटा
সংকুচিত ডিজিটাইজড ভিডিও,संकुचित डिजिटलाइज्ड व्हिडिओ
সংকুচিত ভিডিও,संकुचित व्हिडिओ
সঙ্কোচন,कम्प्रेशन
সংক্ষেপণ শিল্পকর্ম,कॉम्प्रेशन आर्टिफॅक्ट
সংকোচনের ঝুঁকি,कॉम्प्रेशन धोका
সংক্ষেপণ কৌশল,कॉम्प्रेशन तंत्र
সংক্ষেপক,कंप्रेसर
গণনা,गणना
কম্পিউটার,संगणक
কম্পিউটার ভিত্তিক মাল্টিমিডিয়া,संगणक आधारित मल्टीमीडिया
কম্পিউটার প্রোগ্রামিং,संगणक प्रोग्रामिंग
কম্পিউটার প্রযুক্তি,संगणक तंत्रज्ञान
অবতল লেন্স,अवतल लेन्स
অবতল আয়না,अवतल आरसा
গোপন,लपवून ठेवणे
কেন্দ্রীভূত,एकाग्र
একাগ্রতা,एकाग्रता
কেন্দ্রীভূত লেন্স,कॉन्सेन्ट्रिक लेन्स
কনডেনসার মাইক্রোফোন,कंडेन्सर मायक्रोफोन
ভারসাম্য শর্ত,समतोल स्थिती
চালনা,वाहक
পরিবাহিতা বর্তমান,वाहक चालू
পরিবাহিতা,वाहकता
কন্ডাক্টর,कंडक्टर
কনফিগারেশন,कॉन्फिगरेशन
সংযোগ,कनेक्शन
সংযোগ,कनेक्टिव्हिटी
সংযোগকারী,कनेक्टर
ধারাবাহিকতা,सुसंगतता
ধারাবাহিকভাবে,सातत्याने
কনসোল,कन्सोल
ধ্রুবক,स्थिर
ধ্রুবক প্রশস্ততা,सतत मोठेपणा
মাইক্রোফোনের সাথে যোগাযোগ করুন,मायक्रोफोनशी संपर्क साधा
ধারক ফর্ম্যাট,कंटेनर स्वरूप
দূষণ,दूषित
বিষয়বস্তু,सामग्री
সংলগ্ন,संमिश्र
ধারাবাহিকতা,सातत्य
ধারাবাহিকতা বুথ,सातत्य बूथ
ধারাবাহিকতা গিঁট,सातत्य नॉब
একটানা,सतत
অবিচ্ছিন্ন চাপ,सतत कंस
অবিচ্ছিন্ন তরঙ্গ,सतत लाट
কনট্যুর লাইন,समोच्च ओळ
কনট্যুর পরিকল্পনা,समोच्च योजना
চুক্তি,करार
সংকোচন,आकुंचन
বৈপরীত্য অনুপাত,कॉन्ट्रास्ट गुणोत्तर
নিয়ন্ত্রণ বর্তনী,नियंत्रण सर्किट
বৈদ্যুতিন নিয়ন্ত্রণ করুন,इलेक्ट्रोड नियंत्रित करा
নিয়ন্ত্রণ সরঞ্জাম,नियंत्रण उपकरणे
গ্রিড নিয়ন্ত্রণ করুন,नियंत्रण ग्रीड
নিয়ন্ত্রণ লাইন,नियंत्रण ओळ
নিয়ন্ত্রণ প্যানেল,नियंत्रण पॅनेल
নিয়ন্ত্রণ কক্ষ,नियंत्रण कक्ष
নিয়ন্ত্রণ টেবিল,नियंत्रण सारणी
নিয়ন্ত্রণ টাওয়ার,नियंत्रण टॉवर
নিয়ামক,नियंत्रक
রূপান্তর,अभिसरण
কনভারজেন্ট লেন্স,कन्व्हर्जंट लेन्स
রূপান্তরকারী,कन्व्हर्टर
উত্তল লেন্স,बहिर्गोल लेन्स
সমঝোতা,कन्व्होल्यूशन
কনভোলিউশন কোডড,कन्व्होल्यूशन कोड
কনভোলিউশনাল ইন্টারলিভ,कॉन्व्होल्यूशनल इंटरलीव्ह
কনভোলিউশনাল ইন্টারলিভিং,कॉन्व्होल्यूशनल इंटरलीव्हिंग
কুকি,कुकी
কুকিয়ার,कुकीयर
Coprocessor,कॉप्रोसेसर
কর্ড,दोरखंड
করোনা,कोरोना
করোনার স্রাব,कोरोना डिस्चार्ज
পারস্পরিক সম্পর্ক,परस्परसंबंध
কোসাইন উপাদান,कोसाइन घटक
কোসাইন ওয়েভ,कोसाइन वेव्ह
মহাজাগতিক শব্দ,वैश्विक आवाज
কাউন্টার,काउंटर
ঘড়ির কাঁটার বিপরীতে,घड्याळाच्या दिशेने काउंटर
কাপলার,कपलर
কাপলিং,जोड्या
কাপলিং কনডেনসার,कपलिंग कंडेन्सर
কাপলিং নেটওয়ার্ক,कपलिंग नेटवर्क
কাপলিং প্রতিরোধের,कपलिंग प्रतिकार
সমযোজী বন্ধন,सहसंयोजक बंध
কভারেজ,कव्हरेज
ক্র্যাশ,आपटी
সমালোচনামূলক ব্যান্ড,गंभीर बँड
গুরুতর অবস্থায়,चिंताजनक स्थिती
সমালোচনামূলক কাপলিং,गंभीर जोड्या
সমালোচনামূলক ফ্রিকোয়েন্সি,गंभीर वारंवारता
সমালোচনামূলক প্যারামিটার,गंभीर मापदंड
কুমির ক্লিপ,मगर क्लिप
ক্রস বিবর্ণ,क्रॉस फिकट
ক্রস মড্যুলেশন,क्रॉस मॉड्यूलेशन
ক্রস টক,क्रॉस टॉक
ক্রসফ্যাড,क्रॉसफेड
ক্রিপ্টোগ্রাফি,क्रिप्टोग्राफी
স্ফটিক,क्रिस्टल
স্ফটিক ফিল্টার,क्रिस्टल फिल्टर
কিউ,क्यू
কিউ চিহ্ন,क्यू मार्क्स
কিউইং ডিভাইস,क्यूइंग डिव्हाइस
বর্তমান ড্রেন,चालू नाले
বর্তমান মিটার,चालू मीटर
বর্তমান ট্রান্সফরমার,वर्तमान ट्रान्सफॉर्मर
কার্সার,कर्सर
বক্ররেখা,वक्र
ফ্রিকোয়েন্সি কেটে ফেলুন,वारंवारता कट करा
কাটার,कटर
সাইবার ক্যাফে,सायबर कॅफे
সাইবার নিরাপত্তা,सायबर सुरक्षा
সাইবার স্পেস,सायबर स्पेस
সাইকেল,चक्र
চক্রীয়,चक्रीय
ডিসি উপাদান,डी.सी. घटक
ডিসি প্লেট পাওয়ার,डी.सी. प्लेट पॉवर
ডিসি পুন: প্রতিষ্ঠা,डी.सी. जीर्णोद्धार
ড্যাম্পার ডায়োড,डॅम्पर डायोड
স্যাঁতসেঁতে,ओलसर
অন্ধকার,गडद
ডেটা,डेटा
ডেটা সম্প্রচার,डेटा प्रसारण
তথ্য সংকোচন,डेटा कॉम्प्रेशन
ডেটা ড্রিলিং,डेटा ड्रिलिंग
তথ্য এনক্রিপশন,डेटा कूटबद्धीकरण
আমার স্নাতকের,डेटा फाइल
ডেটা হ্যান্ডলিং,डेटा हाताळणी
ডেটা মাইনিং,डेटा खाण
তথ্য প্রক্রিয়াজাতকরণ,डेटा प्रक्रिया
ডাটা প্রসেসর,डेटा प्रोसेसर
ডেটা হ্রাস বিট সিস্টেম,डेटा कमी बिट सिस्टम
তথ্য সেবা,डेटा सेवा
তথ্য তালিকা,माहिती पत्रक
তথ্য ভান্ডার,डेटा संचयन
তথ্য প্রবাহ,डेटा प्रवाह
ডেটা রূপান্তর,डेटा परिवर्तन
ডেটা ট্রান্সমিশন,डेटा ट्रान्समिशन
তথ্যশালা,डेटाबेस
ডেটাকাস্টিং,डेटाकास्टिंग
ডেটাগ্রাম,डेटाग्राम
ডিবি মিটার,डीबी मीटर
মৃত বায়ু,मृत हवा
মৃত শর্ট সার্কিট,मृत शॉर्ट सर्किट
ডেড স্পট,मृत जागा
অচলাবস্থা,डेडलॉक
ডিবাগ প্রোগ্রাম,डीबग प्रोग्राम
ডিবাগিং,डीबगिंग
শব্দ ক্ষয়,आवाजाचा क्षय
ডেসিবেল (ডিবি),डेसिबल (डीबी)
দশমিক,दशांश
দশমিক কোড,दशांश कोड
দশমিক অঙ্ক,दशांश अंक
ডেসিফারিং,उलगडा
ডিকোডার,डीकोडर
ডিকোডিং,डीकोडिंग
ডিজিটাল সংক্রমণে ডিকোডিং,डिजिटल ट्रान्समिशनमध्ये डीकोडिंग
ডিকম্প্রেশন,विघटन
ডিকোপলিং,डीकोपलिंग
ডিকোপলিং সার্কিট,डिकॉपलिंग सर्किट
ডিকোপলিং নেটওয়ার্ক,डिकॉपलिंग नेटवर्क
ডিক্রিপশন,डिक्रिप्शन
ডেডিকেটেড লাইন,समर्पित ओळ
ডি-এমবেডিং,डी-एम्बेडिंग
ডি-জোর,डी-जोर
ডিফল্ট,डीफॉल्ट
গুণমান ত্রুটি,गुणवत्तेत दोष
ত্রুটিযুক্ত,सदोष
ত্রুটিযুক্ত ইউনিট,सदोष युनिट
সংজ্ঞা,व्याख्या
ডিফ্লেশন,विक्षेप
বিকৃতি,विकृती
ডিফ্র্যাগমেন্টেশন,डीफ्रॅगमेंटेशन
ডি-গাউসিং কয়েল,डी-गॉसिंग कॉइल
ডিগ্রি,पदवी
ডি-ইন্টারলিভার,डी-इंटरलीव्हर
বিলম্ব লাইন,विलंब ओळ
বিলম্ব সময়,विलंब वेळ
বিলম্বিত ফ্রেম মেমরি,विलंब फ्रेम मेमरी
বিলম্বিত স্ক্যানিং,विलंब स्कॅनिंग
বিলম্বিত সিঙ্ক্রোনাইজেশন সংকেত,विलंब सिंक्रोनाइझेशन सिग्नल
বিতরণ,वितरण
বিতরণ ব্যবস্থাপনা,वितरण प्रणाली
ডিমোডুলেশন,डिमोड्युलेशन
ডেমোডুলেটর কার্ড,डेमोड्युलेटर कार्ड
ডেমাল্টিপ্লেক্সার,डेमल्टिप्लेक्सर
মাঠের গভীরতা,फील्डची खोली
অবতরণ,उतरत्या
নকশার সবিস্তার বিবরণী,डिझाइन तपशील
ডেস্কটপ,डेस्कटॉप
ডিটেক্টর আউটপুট,डिटेक्टर आउटपुट
বিচ্যুতি,विचलन
যন্ত্র,साधन
ডিভাইস ড্রাইভার,डिव्हाइस ड्राइव्हर
কারণ নির্ণয়,डायग्नोस्टिक्स
চিত্র,आकृती
ডায়ালগ ট্র্যাক,संवाद ट्रॅक
ব্যাস মোড,व्यासाचा मोड
ডায়মন্ড স্টাইলাস,डायमंड स्टाईलस
ডায়াফ্রাম,डायाफ्राम
ডায়াফ্রাম্যাটিক শোষণকারী,डायाफ्रामॅटिक शोषक
ডাইচোটিক শ্রবণ,डायकोटिक ऐकणे
ডাইলেট্রিক,डायलेक्ट्रिक
ডাইলেট্রিক ব্রেক- ডাউন,डायलेक्ट्रिक ब्रेक- डाउन
ডাইলেট্রিক ক্ষতি,डायलेक्ट्रिक तोटा
পার্থক্য ফ্রিকোয়েন্সি,फरक वारंवारता
পার্থক্য ফ্রিকোয়েন্সি বিকৃতি (ডিএফডি),फरक वारंवारता विकृती (डीएफडी)
পার্থক্য টোন,फरक टोन
ডিফারেনশিয়াল এম্প্লিফায়ার,विभेदक एम्पलीफायर
বিচ্ছুরণ,विवर्तन
ডিফিউজার,डिफ्यूझर
অঙ্ক,अंक
ডিজিটাল,डिजिटल
ডিজিটাল আর্টিফ্যাক্ট,डिजिटल कलाकृती
ডিজিটাল অডিও,डिजिटल ऑडिओ
ডিজিটাল অডিও ফিল্টার,डिजिटल ऑडिओ फिल्टर
ডিজিটাল অডিও ওয়ার্ক স্টেশন,डिजिटल ऑडिओ वर्क स्टेशन
ডিজিটাল ক্যামেরা,डिजिटल कॅमेरा
ডিজিটাল কম্পিউটার,डिजिटल संगणक
ডিজিটাল ডেটা,डिजिटल डेटा
ডিজিটাল সম্পাদনা,डिजिटल संपादन
ডিজিটাল এক্সাইটার,डिजिटल एक्झिटर
ডিজিটাল ফিল্টার,डिजिटल फिल्टर
ডিজিটাল ফ্রেম সিঙ্ক্রোনাইজার,डिजिटल फ्रेम सिंक्रोनाइझर
ডিজিটাল heritage তিহ্য,डिजिटल वारसा
ডিজিটাল চিত্র,डिजिटल प्रतिमा
ডিজিটাল লাইব্রেরি,डिजिटल लायब्ररी
ডিজিটাল মিটার,डिजिटल मीटर
ডিজিটাল মড্যুলেশন,डिजिटल मॉड्यूलेशन
ডিজিটাল মাল্টিপ্লেক্স,डिजिटल मल्टिप्लेक्स
ডিজিটাল নেটওয়ার্ক,डिजिटल नेटवर्क
ডিজিটাল ফলাফল,डिजिटल आउटपुट
ডিজিটাল প্লেব্যাক,डिजिटल प्लेबॅक
ডিজিটাল রেডিও মন্ডিয়াল (ডিআরএম),डिजिटल रेडिओ मोंडिएल (डीआरएम)
ডিজিটাল রেকর্ডিং,डिजिटल रेकॉर्डिंग
ডিজিটাল বিপ্লব,डिजिटल क्रांती
ডিজিটাল সিগন্যাল,डिजिटल सिग्नल
ডিজিটাল সিগন্যাল প্রসেসিং (ডিএসপি),डिजिटल सिग्नल प्रक्रिया (डीएसपी)
ডিজিটাল স্বাক্ষর,डिजिटल स्वाक्षरी
ডিজিটাল প্রযুক্তি,डिजिटल तंत्रज्ञान
অ্যানালগ রূপান্তরকারী ডিজিটাল,डिजिटल टू एनालॉग कन्व्हर्टर
ডিজিটাল ভিডিও,डिजिटल व्हिडिओ
ডিজিটাল ভোল্টমিটার,डिजिटल व्होल्टमीटर
ডিজিটালাইজেশন,डिजिटलायझेशन
ডিজিটাইজেশন,डिजिटलायझेशन
ডিজিটাইজড ভিডিও,डिजिटलाइज्ड व्हिडिओ
ডিজিটাইজার,डिजिटायझर
ম্লান,अंधुक
মাত্রা,परिमाण
ডিমার,डिमर
ডায়োড,डायोड
ডুব,बुडविणे
ডিপ্লেক্সার,डिप्लेक्सर
ডিপোল অ্যান্টেনা,द्विध्रुवीय अँटेना
সরাসরি সম্প্রচার,थेट प्रसारण
সরাসরি কারেন্ট (ডি সি),थेट करंट (डी सी)
সরাসরি বাছাই,डायरेक्ट पिक अप
সরাসরি পড়ার যন্ত্র,थेट वाचन साधन
সরাসরি রেকর্ডিং,थेट रेकॉर्डिंग
দিকনির্দেশক অ্যান্টেনা,दिशात्मक ten न्टीना
দিকনির্দেশক কাপলার,दिशात्मक कपलर
দিকনির্দেশক মাইক্রোফোন,दिशात्मक मायक्रोफोन
নির্দেশিকা,निर्देश
ডিরেক্টরি,निर्देशिका
অক্ষম করুন,अक्षम करा
ডিস্ক অ্যান্টেনা,डिस्क अँटेना
ডিস্ক ভিত্তিক স্টোরেজ,डिस्क आधारित स्टोरेज
বিচ্ছিন্ন,वेगळा
ডিস্ক,डिस्क
তথ্য ধারণ করে যে চাকতি,डिस्क ड्राइव्ह
ডিস্ক কোটা,डिस्क कोटा
ডিস্কেট,डिस्केट
স্থানচ্যুতি,विस्थापन
বিচ্ছুরণ,फैलाव
উত্পাটন,विस्थापन
প্রদর্শন,प्रदर्शन
প্রদর্শন ইউনিট (কনসোল),प्रदर्शन युनिट (कन्सोल)
অপচয়,अपव्यय
বিচ্ছিন্নতা,असंतोष
বিশুদ্ধ পানি,डिस्टिल्ड वॉटर
বিকৃতি,विकृती
বিতরণ,वितरण
বিতরণ পরিবর্ধক,वितरण एम्पलीफायर
বিভাগ,विभागणी
বিভাজক,विभाजक
নথি,दस्तऐवज
Dolby ডিজিটাল,डॉल्बी डिजिटल
ডোমেইন,डोमेन
ডোমেন নিয়ন্ত্রক,डोमेन नियंत्रक
ডপলার এফেক্ট,डॉपलर प्रभाव
ডাবল মেরু (ডিপোল),डबल पोल (द्विध्रुवीय)
ডাবল মেরু একক থ্রো সুইচ,डबल पोल सिंगल थ्रो स्विच
ডাবল পার্শ্বযুক্ত ডিস্ক,डबल साइड डिस्क
ডাবল্ট,दुहेरी
ডাউন ওয়েভ ডাউন,खाली येणारी लाट
ডাউন স্ট্রিম,खाली प्रवाह
ডাউনলিংক,डाउनलिंक
ডাউনলোড,डाउनलोड करा
ডাউনলোড করা,डाउनलोड करीत आहे
অঙ্কন,रेखांकन
ড্রিলিং বিট,ड्रिलिंग बिट
ড্রিলিং মেশিন,ड्रिलिंग मशीन
ড্রাইভ,चालवा
ড্রাম,ड्रम
শুকনো বাল্ব তাপমাত্রা,कोरडे बल्ब तापमान
শুকনো সেল,कोरडे सेल
শুকনো সোল্ডার,कोरडे सोल्डर
দ্বৈত চ্যানেল মোড,ड्युअल चॅनेल मोड
ডাবিং,डबिंग
ডুড,डड
ডাম্প,डंप
দ্বৈত,दुहेरी
সময়কাল,कालावधी
ধুলো,धूळ
ডাস্ট বাগ,धूळ बग
ধুলা প্রমাণ,धूळ पुरावा
ডাস্টার,डस्टर
গতিশীল,डायनॅमिक
গতিশীল বিট বরাদ্দ,डायनॅमिक बिट वाटप
গতিশীল ইন্টারমোডুলেশন বিকৃতি (ডিম),डायनॅमिक इंटरमोडुलेशन विकृती (डीआयएम)
গতিশীল পরিমাণ,डायनॅमिक क्वांटिझेशन
গতিশীল পরিসীমা,डायनॅमिक श्रेणी
গতিশীল পরিসীমা নিয়ন্ত্রণ,डायनॅमिक श्रेणी नियंत्रण
ডায়নামো,डायनामो
কানের ফোন,कान फोन
পৃথিবী,पृथ्वी
পৃথিবী বাল্জ,पृथ्वी बल्ज
পৃথিবী প্রতিরোধ,पृथ्वी प्रतिकार
আর্থ রড,पृथ्वी रॉड
আর্থ স্যাটেলাইট,पृथ्वी उपग्रह
আর্থ স্টেশন,पृथ्वी स्टेशन
আর্থ টার্মিনাল,पृथ्वी टर्मिनल
আর্থিং,अर्थिंग
প্রতিধ্বনি,प्रतिध्वनी
প্রতিধ্বনির কামরা,इको चेंबर
এডি কারেন্ট,एडी करंट
এডি বর্তমান ক্ষতি,एडी चालू तोटा
এজওয়াইজ মিটার,एजवाइज मीटर
সম্পাদনা,संपादन
কার্যকর অ্যান্টেনা উচ্চতা,प्रभावी अँटेना उंची
কার্যকর অ্যান্টেনার দৈর্ঘ্য,प्रभावी अँटेना लांबी
কার্যকর ভোল্টেজ,प्रभावी व्होल्टेज
দক্ষতা,कार्यक्षमता
স্থিতিস্থাপকতা,लवचिकता
বৈদ্যুতিক স্রাব,इलेक्ट्रिक डिस्चार्ज
বৈদ্যুতিক ক্ষেত্র,विद्युत क्षेत्र
বৈদ্যুতিন ফ্ল্যাশ,इलेक्ट्रिक फ्लॅश
বৈদ্যুতিক চুলা,विद्युत उष्मक
বৈদ্যুতিক মিটার,इलेक्ट्रिक मीटर
বৈদ্যুতিক মটর,विद्युत मोटर
বৈদ্যুতিক শক,विजेचा धक्का
বৈদ্যুতিক স্পার্ক,इलेक्ट्रिक स्पार्क
বৈদ্যুতিক সরঞ্জাম,विद्युत उपकरण
বৈদ্যুতিক শব্দ,विद्युत आवाज
বৈদ্যুতিক ঝড়,विद्युत वादळ
বৈদ্যুতিকভাবে পরিচালিত বাদ্যযন্ত্র,इलेक्ट्रिकली ऑपरेट केलेले संगीत वाद्य
বিদ্যুৎ,वीज
বিদ্যুৎ সরবরাহ,वीजपुरवठा
ইলেক্ট্রোডাইনামিক,इलेक्ट्रोडायनामिक
তড়িৎ - ধারক,इलेक्ट्रोलाइटिक कॅपेसिटर
বৈদ্যুতিন চৌম্বক,इलेक्ट्रोमॅग्नेटिक
বৈদ্যুতিন চৌম্বকীয় ব্যাঘাত,इलेक्ट्रोमॅग्नेटिक त्रास
বৈদ্যুতিন চৌম্বকীয় হস্তক্ষেপ,इलेक्ट्रोमॅग्नेटिक इंटरफेरेन्स
ইলেক্ট্রোম্যাগনেটিক বর্ণালী,इलेक्ट्रोमॅग्नेटिक स्पेक्ट्रम
ইলেক্ট্রোম্যাগনেটিক তরঙ্গ,इलेक्ट्रोमॅग्नेटिक वेव्ह
বৈদ্যুতিন চৌম্বকীয় তরঙ্গ প্রচার,इलेक्ट्रोमॅग्नेटिक वेव्ह प्रसार
ইলেক্ট্রন একাধিক ফটোোট ्यूब,इलेक्ट्रॉन एकाधिक फोटोट्यूब
বৈদ্যূতিক গণকযন্ত্র,इलेक्ट्रॉनिक कॅल्क्युलेटर
বৈদ্যুতিন ডেটা প্রসেসিং (ইডিপি),इलेक्ट्रॉनिक डेटा प्रक्रिया (ईडीपी)
বৈদ্যুতিন মেল (ই-মেইল),इलेक्ट्रॉनिक मेल (ई-मेल)
বৈদ্যুতিন স্যুইচিং সিস্টেম,इलेक्ट्रॉनिक स्विचिंग सिस्टम
ইলেকট্রনিক্স,इलेक्ट्रॉनिक्स
ইলেক্ট্রোপ্লেটিং,इलेक्ट्रोप्लेटिंग
ইলেক্ট্রোস্ট্যাটিক,इलेक्ट्रोस्टेटिक
উচ্চতা,उत्थान
এম্বেড,एम्बेड केलेले
এম্বেডড অডিও,एम्बेड केलेले ऑडिओ
এম্বেডেড সিস্টেম,एम्बेडेड प्रणाली
প্রতীক,प्रतीक
উঠতি প্রবণতা,उदयोन्मुख ट्रेंड
নিঃসরণ,उत्सर्जन
ইমিটার,एमिटर
ইমিটার অনুসরণকারী,एमिटर अनुयायी
ইমিটার টার্মিনাল,एमिटर टर्मिनल
ইমিটার-বেস-জংশন,एमिटर-बेस-जंक्शन
সক্ষম করুন,सक्षम करा
Enamelled তার,Enamelled वायर
এনসিফার,एन्किफर
ঘের,संलग्न
এনকোড,एन्कोड
এনকোডার,एन्कोडर
এনকোডিং,एन्कोडिंग
জোড়া লাগানো,कूटबद्धीकरण
শেষ চিহ্ন,शेवटचा चिन्ह
শেষ ব্যবহারকারী,अंतिम वापरकर्ता
শক্তি,ऊर्जा
শক্তি ছত্রভঙ্গ,उर्जा विखुरलेले
শক্তি বিতরণ,उर्जा वितरण
প্রয়োগ,अंमलबजावणी
ইঞ্জিন,इंजिन
প্রকৌশলী,अभियंता
প্রকৌশল,अभियांत्रिकी
ইঞ্জিনিয়ারিং স্টোর,अभियांत्रिकी स्टोअर
খোদাই করা,खोदकाम
উন্নত,वाढविण्यासाठी
এনসেম্বল,एकत्रित
কী প্রবেশ করান,की प्रविष्ट करा
এন্টারপ্রাইজ আর্কিটেকচার,एंटरप्राइझ आर्किटेक्चर
এনথালপি,एन्थॅल्पी
এনট্রপি,एन्ट्रोपी
এনট্রপি কোডিং,एन्ट्रोपी कोडिंग
এনট্রপি অপ্রয়োজনীয়তা,एन्ट्रोपी रिडंडंसी
সমান,समतुल्य
সমতা,समानता
সমতুল্য,इक्वेलायझर
সরঞ্জাম,उपकरणे
সরঞ্জাম কভার,उपकरणे कव्हर
সমতুল্য,समतुल्य
মুছুন,मिटवा
মাথা মুছুন,डोके मिटवा
ক্ষয়,इरोशन
অনিশ্চিত,अनियमित
ত্রুটি,त्रुटी
ত্রুটি নিয়ন্ত্রণ কোডিং,त्रुटी नियंत्रण कोडिंग
ত্রুটি সংশোধন,त्रुटी सुधारणे
ত্রুটি সনাক্তকরণ,त्रुटी शोध
শিল্প খাত,त्रुटी हाताळणी
ত্রুটি সম্ভাবনা,त्रुटी संभाव्यता
ইথারনেট,इथरनेट
ইথারনেট তারের,इथरनेट केबल
ইউজেনিক্স,युजेनिक्स
খালি করা,खाली करा
বিনিময়,एक्सचेंज
উত্তেজনাপূর্ণ,एक्झिटर
এক্সিকিউট,अंमलबजावणी
সঞ্চালনের সময়,अंमलबजावणीची वेळ
নিষ্কাশন,दमट
প্রস্থান,बाहेर पडा
প্রসারিত,विस्तारित
সম্প্রসারণ ভালভ,विस्तार वाल्व
পরীক্ষা,प्रयोग
দক্ষ পদ্ধতি,तज्ञ प्रणाली
অন্বেষণ,अन्वेषण
অনুসন্ধানকারী,एक्सप्लोरर
এক্সপো (প্রদর্শনী),एक्सपो (प्रदर्शन)
বিদ্যুৎ সরবরাহের বর্ধন,वीजपुरवठा वाढवणे
বাহ্যিক নিয়ন্ত্রণ,बाह्य नियंत्रण
বাহ্যিক স্মৃতি,बाह्य मेमरी
বাহ্যিক সংগ্রহস্থল,बाह्य संचय
বাহ্যিক থ্রেড,बाह्य धागा
নির্যাস,काढा
এক্সট্রানেট,बाह्य
বানোয়াট,बनावट
দিক,पैलू
ফ্যাসিমাইল,फॅसिमिले
ফ্যাক্টর,घटक
বিবর্ণ,फिकट
বিবর্ণ,ठळक होत जाणे
বিবর্ণ,फिकट बाहेर
ফাদার,फॅडर
বিবর্ণ,लुप्त होत आहे
বিবর্ণ অঞ্চল,फिकट झोन
ফ্যান্টম (= ফ্যান্টম),फॅन्टॉम (= फॅंटम)
ফাস্ট ফুরিয়ার ট্রান্সফর্ম (এফএফটি) অ্যালগরিদম,फास्ट फुरियर ट्रान्सफॉर्म (एफएफटी) अल्गोरिदम
মারাত্মক ত্রুটি,गंभीर त्रुटी
দোষ,दोष
বৈশিষ্ট্য,वैशिष्ट्य
ফিড,अन्न देणे
প্রতিক্রিয়া,अभिप्राय
প্রতিক্রিয়া পরিবর্ধক,अभिप्राय एम्पलीफायर
প্রতিক্রিয়া সার্কিট,अभिप्राय सर्किट
প্রতিক্রিয়া ভোল্টেজ,अभिप्राय व्होल्टेज
ফিডার,फीडर
ফিডার কেবল,फीडर केबल
ফিডার হাট,फीडर झोपडी
ফিডার লাইন,फीडर लाइन
ফিডার সিস্টেম,फीडर सिस्टम
