English,Telugu
Illegal war,చట్టవిరుద్ధమైన యుద్ధం
Illuminated manuscript,ప్రకాశవంతమైన మాన్యుస్క్రిప్ట్
Illustrated manuscript,ఇలస్ట్రేటెడ్ మాన్యుస్క్రిప్ట్
Illustrated manuscript,ఇలస్ట్రేటెడ్ మాన్యుస్క్రిప్ట్
Imam (Immaum),ఇమామ్ (ఇమ్మామ్)
Imamate,ఇమామత్
Imamate,ఇమామత్
Imambarah,ఇమాంబరః
Imperial,ఇంపీరియల్
Imperial city,ఇంపీరియల్ నగరం
Imperialism,సామ్రాజ్యవాదం
Imperial preference,ఇంపీరియల్ ప్రాధాన్యత
Impolicy,అసంబద్ధం
Impostor,మోసగాడు
Imprisonment,జైలు శిక్ష
Imprisonment,జైలు శిక్ష
Incursion,చొరబాటు
Incursionist,చొరబాటుదారుడు
Independence,స్వాతంత్ర్యం
Independence day,స్వాతంత్ర్య దినోత్సవం
Independence Hall,ఇండిపెండెన్స్ హాల్
Indian Amerian (=Red Indian=American Indian),ఇండియన్ అమెరియన్ (=రెడ్ ఇండియన్=అమెరికన్ ఇండియన్)
Indian Home Rule League,ఇండియన్ హోమ్ రూల్ లీగ్
Industrial Revolution,పారిశ్రామిక విప్లవం
Infidel,అవిశ్వాసం
Infidel,అవిశ్వాసం
Infiltration,చొరబాటు
Infiltrator,చొరబాటుదారుడు
Informant,సమాచారం ఇచ్చేవాడు
Informant,సమాచారం ఇచ్చేవాడు
Informer,ఇన్ఫార్మర్
Informer,ఇన్ఫార్మర్
Ingress,ప్రవేశము
Ingress,ప్రవేశము
Ingress,ప్రవేశము
Inhabitance,నివాసం
Inhabitant,నివాసి
Inheritance,వారసత్వం
Inheritance,వారసత్వం
Inheritance,వారసత్వం
Inscription,శాసనం
Insignia,చిహ్నము
Instrument of Accession,ప్రవేశ పరికరం
Instrument of Government,ప్రభుత్వ సాధనం
Insurgence (insurgency),తిరుగుబాటు (తిరుగుబాటు)
Insurgent,తిరుగుబాటుదారుడు
Insurrection,తిరుగుబాటు
Insurrection,తిరుగుబాటు
Integration,అనుసంధానం
Integrity of records,రికార్డుల సమగ్రత
Integrity of states,రాష్ట్రాల సమగ్రత
Intelligentsia (Intelligentzia),మేధావి (ఇంటెలిజెంట్జియా)
Intercession,మధ్యవర్తిత్వం
Intercessor,మధ్యవర్తి
Intermediary,మధ్యవర్తి
Internationalism,అంతర్జాతీయవాదం
Internationalism,అంతర్జాతీయవాదం
Internationalist,అంతర్జాతీయవాది
Internecine war,అంతర్గత యుద్ధం
Internee,ఇంటర్నీ
Internee,ఇంటర్నీ
Internee camp,ఇంటర్నీ క్యాంపు
Internment,ఇంటర్న్మెంట్
Internment,ఇంటర్న్మెంట్
Internment,ఇంటర్న్మెంట్
Internuncio,ఇంటర్నేషనల్
Interpreter,వ్యాఖ్యాత
Interpreter,వ్యాఖ్యాత
Interpreter,వ్యాఖ్యాత
Intervention,జోక్యం
Intestacy,ఇంటస్టేసి
Intestate,పేగు
Intrigue,చమత్కారం
Intruder,చొరబాటుదారుడు
Intruder,చొరబాటుదారుడు
Intrusion,చొరబాటు
Invasion,దండయాత్ర
Invasion,దండయాత్ర
Invest,పెట్టుబడి
Invest,పెట్టుబడి
Invest,పెట్టుబడి
Invest,పెట్టుబడి
Investiture,పెట్టుబడి
Investiture,పెట్టుబడి
Investiture,పెట్టుబడి
Investiture ceremony,పెట్టుబడి వేడుక
Invest with nationality,జాతీయతతో పెట్టుబడి పెట్టండి
Invincible Armada,ఇన్విన్సిబుల్ ఆర్మడ
Inviolateness (of state),ఉల్లంఘన (రాష్ట్రం)
Inviolate state,ఉల్లంఘించిన స్థితి
Invulnerable castle,అభేద్యమైన కోట
Iron age,ఇనుప యుగం
Iron curtain,ఇనుప తెర
Iron guard,ఐరన్ గార్డ్
Iron rations,ఇనుము రేషన్లు
Iron sides,ఇనుప వైపులా
Iron tipped arrow,ఇనుప చిట్కా బాణం
Isthmian games,ఇస్త్మియన్ ఆటలు
Janissary,జానిసరీ
Janitor,కాపలాదారు
Janitor,కాపలాదారు
Javelin,జావెలిన్
Jim Crow Laws,జిమ్ క్రో చట్టాలు
Jingo,జింగో
Jingo,జింగో
Jingo,జింగో
Jingoism,జింగోయిజం
Joint action,ఉమ్మడి చర్య
Joint control,ఉమ్మడి నియంత్రణ
Joint occupancy,ఉమ్మడి ఆక్యుపెన్సీ
Jury,జ్యూరీ
Just cause,కారణం మాత్రమే
Keep,ఉంచండి
Keeper of Archives,ఆర్కైవ్స్ కీపర్
Kettle-drum,కెటిల్-డ్రమ్
Key word,కీలక పదం
King,రాజు
Kingdom,రాజ్యం
Kinglet,కింగ్లెట్
King maker,కింగ్ మేకర్
Kingship,రాజ్యాధికారం
Kingship,రాజ్యాధికారం
Kitchen cabinet,కిచెన్ క్యాబినెట్
Knight,నైట్
Kinghthood,రాజ్యం
Kinghts hospitalers,కింగ్స్ హాస్పిటల్స్
Knights of Saint John,నైట్స్ ఆఫ్ సెయింట్ జాన్
Knight Templar,నైట్ టెంప్లర్
Ku Klux Klan (K.K.K.),కు క్లక్స్ క్లాన్ (KKK)
Kumintang,కుమింటాంగ్
Laity,లౌకికత్వం
Lance,లాన్స్
Lancer,లాన్సర్
Later Guptas,తరువాత గుప్తులు
Lawful heir,చట్టబద్ధమైన వారసుడు
Lawlessness (=disorder),చట్టవిరుద్ధం (=అక్రమం)
Lawlessness (=disorder),చట్టవిరుద్ధం (=అక్రమం)
Law lords,చట్ట ప్రభువులు
Law of Piety,భక్తి చట్టం
League of Nations,దేశముల సమాహారం
Legacy (=bequest),లెగసీ (=బిక్వెస్ట్)
Legacy (=bequest),లెగసీ (=బిక్వెస్ట్)
Legal heir,చట్టపరమైన వారసుడు
Legate,చట్టబద్ధత
Legate,చట్టబద్ధత
Legate,చట్టబద్ధత
Legend,లెజెండ్
Legend,లెజెండ్
Legion,లెజియన్
Legion,లెజియన్
Legion of Honour,లెజియన్ ఆఫ్ ఆనర్
Lese majesty (=lese majeste),లెస్ మెజెస్టి (=లెస్ మెజెస్టే)
Lesser states,తక్కువ రాష్ట్రాలు
Letters of credence,విశ్వసనీయత లేఖలు
Liege-lord,లీజ్-లార్డ్
Liege man,లీజ్ మనిషి
Liege man,లీజ్ మనిషి
Life imprisonment,జీవిత ఖైదు
Lineage,వంశం
Little Englander,లిటిల్ ఇంగ్లాండు
Little Vehicle (=lesser vehicle),చిన్న వాహనం (=తక్కువ వాహనం)
Littoral state,లిటోరల్ రాష్ట్రం
Liturgies,ప్రార్ధనలు
Liturgy,ప్రార్ధన
Local allegiance,స్థానిక విధేయత
Local-self government,స్థానిక-స్వయం ప్రభుత్వం
Long Parliament,సుదీర్ఘ పార్లమెంటు
Low Countries,తక్కువ దేశాలు
Loyal,విశ్వాసపాత్రుడు
Loyalty,విధేయత
Machiavellian policy,మాకియవెల్లియన్ విధానం
Magna Carta,మాగ్నా కార్టా
Magnum Concillium,మాగ్నమ్ కన్సిలియం
Malum prohibitum,మలం నిషేధం
Mandamus,మాండమస్
Mandate,ఆదేశం
"Mandate, class 'A'","ఆదేశం, తరగతి &#39;A&#39;"
"Mandate, class 'B'","ఆదేశం, తరగతి &#39;B&#39;"
"Mandate, class 'C'","ఆదేశం, తరగతి &#39;సి&#39;"
Mandate system,ఆదేశ వ్యవస్థ
Mandatory state,తప్పనిసరి స్థితి
Mangonel,మాంగోనెల్
Manifesto,మేనిఫెస్టో
Manoeuvres,యుక్తులు
Man-of-war,మ్యాన్ ఆఫ్ వార్
Manor,మనోర్
Manor,మనోర్
Man-power,మానవ శక్తి
Man-power,మానవ శక్తి
Manumission,మాన్యుమిషన్
Manumit,మనుమిత్
Manuscript,మాన్యుస్క్రిప్ట్
Manuscript,మాన్యుస్క్రిప్ట్
Manuscript,మాన్యుస్క్రిప్ట్
Marauder,మారౌడర్
Maritime belt,సముద్ర బెల్ట్
Maritime civilization,సముద్ర నాగరికత
Maritime flag,సముద్ర జెండా
Maritime powers,సముద్ర శక్తులు
Maritime soverignty,సముద్ర సార్వభౌమాధికారం
Maritime war,సముద్ర యుద్ధం
Marquis,మార్క్విస్
Marquisate,మార్క్విసేట్
Martial law,మార్షల్ లా
Martial races,మార్షల్ రేసులు
Martyr,అమరవీరుడు
Massacre,నరమేధం
Mass of manoeuvre,మాస్ యుక్తి
Master-at-arms,మాస్టర్-ఎట్-ఆర్మ్స్
Master of ceremonies,మాస్టర్ ఆఫ్ వేడుకలు
Master of Household,ఇంటి యజమాని
Master of the Horse,మాస్టర్ ఆఫ్ ది హార్స్
Master of the Rolls,మాస్టర్ ఆఫ్ ది రోల్స్
Match,మ్యాచ్
Match,మ్యాచ్
Matchlock,అగ్గిపెట్టె
Matrimonial alliance,వైవాహిక మైత్రి
Mediterranian powers,మధ్యధరా శక్తులు
Menshevik,మెన్షెవిక్
Mercenary army,కిరాయి సైన్యం
Mercenary soldier,కిరాయి సైనికుడు
Merchantman,వ్యాపారి
Middle ages,మధ్య యుగాలు
Middle East,మధ్యప్రాచ్యం
Middle passage,మధ్య మార్గము
Middle path,మధ్య మార్గం
Middle way (=middle course),మధ్య మార్గం (=మిడిల్ కోర్సు)
Migrant,వలసదారు
Migration,వలస
Migration,వలస
Migration,వలస
Militarism,మిలిటరిజం
Militarism,మిలిటరిజం
Militarism,మిలిటరిజం
Militarism,మిలిటరిజం
Militarist,మిలిటరిస్ట్
Militarist,మిలిటరిస్ట్
Militarization,సైనికీకరణ
Militarization,సైనికీకరణ
Militarization,సైనికీకరణ
Military tactician (=tactician),సైనిక వ్యూహకర్త (= వ్యూహకర్త)
Military tactician (=tactician),సైనిక వ్యూహకర్త (= వ్యూహకర్త)
Military tactics (=tactics),సైనిక వ్యూహాలు (=వ్యూహాలు)
Militia,మిలిషియా
Militia,మిలిషియా
Misrule,దుష్పరిపాలన
Missing link,లింక్ లేదు
Mission,మిషన్
Mission,మిషన్
Mission,మిషన్
Mixed race,మిశ్రమ జాతి
modern history,ఆధునిక చరిత్ర
Modus vivendi,మోడ్స్ వీవెండి
Monachism,మోనాకిజం
Monarch,చక్రవర్తి
Monarch,చక్రవర్తి
Monarchism,రాచరికం
Monarchism,రాచరికం
Monarchist,రాచరికవాది
Monarchy,రాచరికం
Monastery,మఠం
Monastery,మఠం
Monastery,మఠం
Monasticism,సన్యాసం
Monasticism,సన్యాసం
Monk,సన్యాసి
Mother country,మాతృదేశం
Motherland,మాతృభూమి
Mother of Parliaments,పార్లమెంటుల తల్లి
Muckrakers,ముక్రాకర్స్
Mummy,మమ్మీ
Museum,మ్యూజియం
Musket,మస్కెట్
Musketeer,మస్కటీర్
Musketry,మస్కెట్రీ
Musketry,మస్కెట్రీ
Muster master,మస్టర్ మాస్టర్
Muster-roll,మస్టర్-రోల్
Muster-roll,మస్టర్-రోల్
Mutiny,తిరుగుబాటు
Mutiny Act,తిరుగుబాటు చట్టం
Mystery ship,మిస్టరీ షిప్
Narrative,కథనం
Nation,దేశం
Native,స్థానికుడు
Native state,స్థానిక రాష్ట్రం
Naturalism,సహజత్వం
Natural rights,సహజ హక్కులు
Nazi,నాజీ
Nazi revolution,నాజీ విప్లవం
Nazism,నాజీయిజం
Near East,తూర్పు సమీపంలో
Negro,నీగ్రో
Negrophil,నీగ్రోఫిల్
Negrophilism,నీగ్రోఫిలిజం
Negrophobia,నీగ్రోఫోబియా
Neutral,తటస్థ
Neutral country,తటస్థ దేశం
New Deal,నూతన ఒప్పందం
New World,కొత్త ప్రపంచం
Nobility,ప్రభువు
Noble,కీర్తిగల
Noble,కీర్తిగల
Nomad,సంచార జాతులు
Nomadic horde,సంచార గుంపు
Nomadism,సంచారము
Non-aggression pact,దురాక్రమణ రహిత ఒప్పందం
Non-aggression treaty,దురాక్రమణ రహిత ఒప్పందం
Non-belligerent state,యుద్ధం చేయని రాష్ట్రం
Non-co-operation,నాన్-కో-ఆపరేషన్
Non co-operation movement,సహాయ నిరాకరణ ఉద్యమం
Obverse,ఎదురుగా
Obverse,ఎదురుగా
Ochlocracy (=mobocracy),ఓక్లోక్రసీ (=మొబోక్రసీ)
Ochlocrat,ఓక్లోక్రాట్
Official document,అధికారిక పత్రం
Old world,పాత ప్రపంచం
Oligarchy,ఒలిగార్కీ
Onslaught,దాడి
Open negotiation,బహిరంగ చర్చలు
Open question,ఓపెన్ ప్రశ్న
Open records,రికార్డులను తెరవండి
Orient,ఓరియంట్
Orientalism,ఓరియంటలిజం
Orientalism,ఓరియంటలిజం
Orientalist,ఓరియంటలిస్ట్
Origin,మూలం
Origin,మూలం
Orthography,ఆర్థోగ్రఫీ
Outbreak of hostilities,శత్రుత్వాలు చెలరేగడం
Out-post,అవుట్-పోస్ట్
Over-lord,పైగా ప్రభువు
Over-ride,ఓవర్ రైడ్
Over-ride,ఓవర్ రైడ్
Pagan,పాగన్
Pagan,పాగన్
Paganism,పాగనిజం
Paganism,పాగనిజం
Pagoda,పగోడా
Pagoda,పగోడా
Pagoda,పగోడా
Palace intrigues,ప్యాలెస్ కుట్రలు
Palatinate,పాలటినేట్
Palm-leaf,తాటి ఆకు
Palm Sunday,పామ్ ఆదివారం
Panegyrist,పానెజిరిస్ట్
Panic,భయాందోళనలు
Panic,భయాందోళనలు
Panic-monger,భయాందోళనలు కలిగించేవాడు
Papacy,పాపసీ
Papacy,పాపసీ
Papacy,పాపసీ
Papacy,పాపసీ
Papal bull,పాపల్ ఎద్దు
Papalism,పాపాలిజం
Papalism,పాపాలిజం
Papalist,పాపాలిస్ట్
Papal state,పాపల్ రాష్ట్రం
Papism (=papistry),పాపిజం (=పాపిస్ట్రీ)
Papist,పాపిస్ట్
Papyrus,పాపిరస్
Parable,ఉపమానం
Paramount,పారామౌంట్
Paramountcy (=paramount power),పారామౌంట్సీ (=పారామౌంట్ పవర్)
Paramount lady,పారామౌంట్ లేడీ
Paramount lord,పరమ ప్రభువు
Parchment,పార్చ్మెంట్
Parchment,పార్చ్మెంట్
Parchment,పార్చ్మెంట్
Pardon,క్షమించు
Parleys,పార్లేస్
Parleys,పార్లేస్
Parliament (=parlement),పార్లమెంట్ (=పార్లమెంట్)
Parliament,పార్లమెంట్
Parliament,పార్లమెంట్
Parliament,పార్లమెంట్
Parliament Act,పార్లమెంట్ చట్టం
Parliamentarian,పార్లమెంటేరియన్
Parliamentarian,పార్లమెంటేరియన్
Parliamentary agent,పార్లమెంటరీ ఏజెంట్
Parnellism,పార్నెలిజం
Parole,పెరోల్
Parole,పెరోల్
Parricide,పారిసిడ్
Parricide,పారిసిడ్
Partisan,పక్షపాతం
Partisan,పక్షపాతం
Partisan,పక్షపాతం
Pass,పాస్
Pass word (=watch word),పాస్ వర్డ్ (=వాచ్ వర్డ్)
Patriarch,జాతిపిత
Patriarchs,పితృదేవతలు
Patrician,పాట్రిషియన్
Patrimony,పితృస్వామ్యం
Pax Britannica,పాక్స్ బ్రిటానికా
Pax Romana,పాక్స్ రొమానా
Pedigree,పూర్వీకుల నుండి వంశక్రమము
Pedigree,పూర్వీకుల నుండి వంశక్రమము
Pedigreed person,వంశపారంపర్య వ్యక్తి
Peer,పీర్
Peer,పీర్
Peerage,పీరేజ్
Peerage,పీరేజ్
Peerage,పీరేజ్
Peers of Ireland,ఐర్లాండ్ సహచరులు
Peers of Scotland,స్కాట్లాండ్ సహచరులు
Peninsular Campaign,పెనిన్సులర్ ప్రచారం
Peninsular war,ద్వీపకల్ప యుద్ధం
Pennant,పెన్నెంట్
People's Charter (=National Charter),పీపుల్స్ చార్టర్ (=నేషనల్ చార్టర్)
People's front (=popular front),పీపుల్స్ ఫ్రంట్ (=పాపులర్ ఫ్రంట్)
Perfidy,అపవిత్రత
Period,కాలం
Period,కాలం
Periphery,పెరిఫెరీ
Permanent Settlement,శాశ్వత పరిష్కారం
Perpetual fief,శాశ్వత ఫైఫ్
Phalanx,ఫాలాంక్స్
Phalanx,ఫాలాంక్స్
Phraoh,ఫారో
Pictogram,పిక్టోగ్రామ్
Pictograph,పిక్టోగ్రాఫ్
Pictograph,పిక్టోగ్రాఫ్
Pilgrim,యాత్రికుడు
Pilgrim fathers,యాత్రికుల తండ్రులు
Pillage,దోపిడీ
Pillage,దోపిడీ
Pillar,పిల్లర్
Pillar Edicts (of Ashoka),స్తంభ శాసనాలు (అశోకుని)
Pillar Edicts (of Ashoka),స్తంభ శాసనాలు (అశోకుని)
Pillar Edicts (of Ashoka),స్తంభ శాసనాలు (అశోకుని)
Pirate,పైరేట్
Pirate,పైరేట్
Pitched battle,పిచ్ యుద్ధం
Plot,ప్లాట్లు
Polis,పోలిస్
Polis,పోలిస్
Politarch,రాజనీతిజ్ఞుడు
Political Agent,రాజకీయ ఏజెంట్
Political asylum,రాజకీయ ఆశ్రయం
Political Resident,రాజకీయ నివాసి
Political terrorism,రాజకీయ ఉగ్రవాదం
Poll tax,ఎన్నికల పన్ను
Pontoon,పాంటూన్
Premier,ప్రీమియర్
Premier,ప్రీమియర్
Premiership,ప్రీమియర్‌షిప్
Presidency,ప్రెసిడెన్సీ
Presidency,ప్రెసిడెన్సీ
President,అధ్యక్షుడు
President,అధ్యక్షుడు
Presidium,ప్రెసిడియం
Prime Minister,ప్రధాన మంత్రి
Primogeniture,ప్రిమోజెనిచర్
Prince,యువరాజు
Prince,యువరాజు
Prince Bishop,ప్రిన్స్ బిషప్
Prince Consort,ప్రిన్స్ కన్సార్ట్
Prince Regent,ప్రిన్స్ రీజెంట్
Pince regnant,పిన్స్ రెగ్నెంట్
Princess Regent,ప్రిన్సెస్ రీజెంట్
Princess Royal,ప్రిన్సెస్ రాయల్
Principality,ప్రిన్సిపాలిటీ
Principality,ప్రిన్సిపాలిటీ
Principality,ప్రిన్సిపాలిటీ
Prize,బహుమతి
Prize,బహుమతి
Prize money,నగదు బహుమతి
Professional soldier,వృత్తిపరమైన సైనికుడు
Promise,ప్రామిస్
Promontory fort,ప్రమోన్టరీ కోట
Protectorate,రక్షించు
Protectorate,రక్షించు
Protectorate,రక్షించు
Protégé,ఆశ్రితుడు
Provenance,మూలాధారం
Provenance,మూలాధారం
Provenance system,మూలాధార వ్యవస్థ
Pro-zionist,ప్రో-జియోనిస్ట్
Public enemy,ప్రజా శత్రువు
Public enemy,ప్రజా శత్రువు
Punctations,పంక్టేషన్స్
Punic wars,ప్యూనిక్ యుద్ధాలు
Puritan,ప్యూరిటన్
Putsch,పుట్చ్
Quadriga,చతుర్భుజం
Quadruple alliance,చతుర్భుజ కూటమి
Quaker,క్వేకర్
Queen,రాణి
Queen consort,రాణి భార్య
Queen dowager,క్వీన్ వరుడు
Queendom,క్వీన్డమ్
Queendom,క్వీన్డమ్
Queen mother,రాణి తల్లి
Queen regnant,రాణి రాణి
Quisling,క్విస్లింగ్
Quisling,క్విస్లింగ్
Quit rent,అద్దె మానేయండి
Quiver,వణుకు
Quo warranto,వారెంటో
Race,జాతి
Racial supremacy,జాతి ఆధిపత్యం
Rack,ర్యాక్
Rack,ర్యాక్
Raid,రైడ్
Raid,రైడ్
Rampart,ప్రాకారము
Rampart,ప్రాకారము
Ransack,దోపిడీ
Ransom,విమోచన క్రయధనం
Ransom,విమోచన క్రయధనం
Ravage,విధ్వంసం
Ravages,విధ్వంసం
Realm,రాజ్యం
Rear guard,వెనుక గార్డు
Rear guard action,వెనుక రక్షణ చర్య
Rebel,తిరుగుబాటుదారుడు
Rebellion,తిరుగుబాటు
Recognition of insurgency,తిరుగుబాటుకు గుర్తింపు
Reconduction,రీకండక్షన్
Reconnaissance,నిఘా
Reconstruction,పునర్నిర్మాణం
Record,రికార్డ్ చేయండి
Record office,రికార్డు కార్యాలయం
Record retirement,రికార్డ్ రిటైర్మెంట్
Red shirts,ఎర్ర చొక్కాలు
Reformation,సంస్కరణ
Refugee,శరణార్థ
Regalia,రెగాలియా
Regalia,రెగాలియా
Regalia,రెగాలియా
Regency,రీజెన్సీ
Regent,రీజెంట్
Regent queen,రీజెంట్ రాణి
Regicide,రెజిసైడ్
Regicides,రెజిసైడ్లు
Regime,పాలన
Regime,పాలన
Region,ప్రాంతం
Regnal year,రెగ్నల్ సంవత్సరం
Regnant,రెగ్నెంట్
Regnum,రెగ్నమ్
Reich,రీచ్
Reign,పాలన
Reign,పాలన
Reigning family,పాలించే కుటుంబం
Reign of terror,భయానక పాలన
Reign of terror,భయానక పాలన
Reinforce,బలపరచు
Reinforcement,అదనపుబల o
Reinstatement,పునఃస్థాపన
Reinvest,తిరిగి పెట్టుబడి పెట్టండి
Relay post,రిలే పోస్ట్
Relay route,రిలే మార్గం
Relay system,రిలే వ్యవస్థ
Release,విడుదల
Release,విడుదల
Renunciation,త్యజించుట
Renunciation,త్యజించుట
Repertory (=inventory),రెపర్టరీ (=ఇన్వెంటరీ)
Repository,రిపోజిటరీ
Repository,రిపోజిటరీ
Republic,రిపబ్లిక్
Republic Day,గణతంత్ర దినోత్సవం
Rescript,రిస్క్రిప్ట్
Rescript,రిస్క్రిప్ట్
Resident,నివాసి
Restoration,పునరుద్ధరణ
Resurrection,పునరుత్థానం
Resurrection,పునరుత్థానం
Retreat,తిరోగమనం
Reverse (of a coin),రివర్స్ (నాణెం)
Revolt,తిరుగుబాటు
Revolution,విప్లవం
"Revolution, French","విప్లవం, ఫ్రెంచ్"
Revolution Glorious,విప్లవం గ్లోరియస్
"Revolution, Industrial","విప్లవం, పారిశ్రామిక"
Rising,రైజింగ్
Rotten-borough,రాటెన్-బరో
Rough Riders,రఫ్ రైడర్స్
Round-heads,గుండ్రని తలలు
Rout,రూట్
Royal audience,రాయల్ ప్రేక్షకులు
Royal charter,రాయల్ చార్టర్
Royal crest,రాయల్ క్రెస్ట్
Royal crest,రాయల్ క్రెస్ట్
Royal decree,రాయల్ డిక్రీ
Rubric,రూబ్రిక్
Ruins,శిథిలాలు
Runner,రన్నర్
Sabotage,విధ్వంసం
Sabre,సాబెర్
Sabres,సాబర్స్
Sacrifice,త్యాగం
Sacrifice,త్యాగం
Sacrifice,త్యాగం
Safe conduct,సురక్షితమైన ప్రవర్తన
Safeguard,రక్షణ
Safeguard,రక్షణ
Safeguarding duties,రక్షణ విధులు
Sally,సాలీ
Sally-port,సాలీ-పోర్ట్
Sceptre,రాజదండం
Scimitar,స్కిమిటార్
Second estate,రెండవ ఎస్టేట్
Sect,శాఖ
Sect,శాఖ
Seizure,నిర్భందించటం
Seizure,నిర్భందించటం
Senate,సెనేట్
Senate,సెనేట్
Senate,సెనేట్
Senate,సెనేట్
Serf (=bordar or villein),సెర్ఫ్ (=బోర్డార్ లేదా విల్లెన్)
Serf (=bordar or villein),సెర్ఫ్ (=బోర్డార్ లేదా విల్లెన్)
Serfdom (serfhood or serfage),సెర్ఫోడమ్ (సెర్ఫ్‌హుడ్ లేదా సెర్ఫేజ్)
Serfdom (serfhood or serfage),సెర్ఫోడమ్ (సెర్ఫ్‌హుడ్ లేదా సెర్ఫేజ్)
Shadow king,నీడ రాజు
Ship Money,షిప్ మనీ
Shock troops (=storm troops),షాక్ దళాలు (=తుఫాను దళాలు)
Short Parliament,పొట్టి పార్లమెంట్
Skirmish,వాగ్వివాదం
Slave,బానిస
Slavery,బానిసత్వం
Slavery,బానిసత్వం
Soldier statesman,సైనిక రాజనీతిజ్ఞుడు
Spear,ఈటె
Spear-head,ఈటె-తల
Sphere,గోళము
Sphragistics,స్ఫ్రాగిస్టిక్స్
Spoils system,వ్యవస్థను పాడు చేస్తుంది
Squire,స్క్వైర్
Squire,స్క్వైర్
Squirearchy,Squirearchy
Squirearchy,Squirearchy
Standard,ప్రామాణికం
Standard-bearer,స్టాండర్డ్ బేరర్
Standing army,స్టాండింగ్ ఆర్మీ
Standing orders,స్టాండింగ్ ఆర్డర్లు
Standing orders,స్టాండింగ్ ఆర్డర్లు
Statesman,రాజనీతిజ్ఞుడు
Stone inscription,రాతి శాసనం
Storm troops,తుఫాను దళాలు
Stratagem,వ్యూహం
Strategy,వ్యూహం
Strategy,వ్యూహం
Strategy,వ్యూహం
Stratocracy,స్ట్రాటోక్రసీ
Strife,కలహాలు
Strife,కలహాలు
Strong hold,బలమైన పట్టు
Strong hold,బలమైన పట్టు
Subsidiary talliance,అనుబంధ టాలయన్స్
Succession,వారసత్వం
Successor,వారసుడు
Suffrage,ఓటు హక్కు
Suffragist,ఓటు హక్కుదారుడు
Sultanate,సుల్తానేట్
Sultanate period,సుల్తానేట్ కాలం
Surrender,లొంగిపో
Suzerain,సుజెరైన్
Suzerain state,సుజరైన్ రాష్ట్రం
Swordsman,ఖడ్గవీరుడు
Tammany Society,తమ్మనీ సొసైటీ
Tempered sword,కోపముగల కత్తి
Tenant,అద్దెదారు
Tenant,అద్దెదారు
Territory,భూభాగం
Territory,భూభాగం
Territory government,భూభాగం ప్రభుత్వం
Terrorism,తీవ్రవాదం
Third estate,థర్డ్ ఎస్టేట్
Three estates,మూడు ఎస్టేట్లు
Toll,టోల్
Toll house,టోల్ హౌస్
Tomb,సమాధి
Tory,టోరీ
Totem,టోటెమ్
Tower,టవర్
Tower,టవర్
Tower of victory,విజయ టవర్
Traitor,దేశద్రోహి
Treachery,ద్రోహం
Treason,రాజద్రోహం
Treaty,సంధి
Trial by battle (=trail by combat),యుద్ధం ద్వారా విచారణ (=యుద్ధం ద్వారా కాలిబాట)
Tribute,నివాళి
Tribute,నివాళి
Tribute land,నివాళి భూమి
Triple alliance,ట్రిపుల్ కూటమి
Triple entente,ట్రిపుల్ entente
Triumph,విజయం
Triumph,విజయం
Turmoil,అలజడి
Tyrannicide,నిరంకుశ హత్య
Tyrannicide,నిరంకుశ హత్య
Tyranny,దౌర్జన్యం
Tyranny,దౌర్జన్యం
Tyrant,నిరంకుశుడు
Uhlan,ఉహ్లాన్
Ukase,ఉకాసే
Ukase,ఉకాసే
Ulema,ఉలేమా
Ultimatum,అల్టిమేటం
Ultimatum,అల్టిమేటం
Uncle sam,సామ్ మామయ్య
Under-king,అండర్-కింగ్
United Irishmen,యునైటెడ్ ఐరిష్ మెన్
United Nations,ఐక్యరాజ్యసమితి
United Provinces,యునైటెడ్ ప్రావిన్స్
United Provinces,యునైటెడ్ ప్రావిన్స్
Univallated fort,అసమానమైన కోట
Universal monarch,సార్వత్రిక చక్రవర్తి
Universal suffrage,సార్వత్రిక ఓటు హక్కు
Uprising,తిరుగుబాటు
Usurpation,దోపిడీ
Usurper,దోపిడీదారుడు
Utopia,ఆదర్శధామం
Vandal,విధ్వంసం
Vandalism,విధ్వంసం
Vanguard,వాన్గార్డ్
Vanguard,వాన్గార్డ్
Vanguard,వాన్గార్డ్
Varangian,వరంజియన్
Varangian guard,వరంజియన్ గార్డు
Vassal,వాసల్
Vassal,వాసల్
Vassal state,వాసల్ రాష్ట్రం
Vatican Council,వాటికన్ కౌన్సిల్
Vessel,ఓడ
Vessel,ఓడ
Vessel,ఓడ
Vice-king,ఉపరాజు
Viceroy,వైస్రాయ్
Viceroyalty=viceroyship,వైస్రాయిల్టీ=వైస్రాయ్‌షిప్
Victor,విక్టర్
Victory,విజయం
Villein,విలన్
Voyage,సముద్రయానం
Vulnerable fortress,దుర్బలమైన కోట
Wall painting,వాల్ పెయింటింగ్
Wall painting,వాల్ పెయింటింగ్
War,యుద్ధం
War-lord,యుద్ధ ప్రభువు
Warrior,యోధుడు
Warrior,యోధుడు
Warrior,యోధుడు
Warship,యుద్ధనౌక
Watch-word,వాచ్-వర్డ్
Welfare state,సంక్షేమ రాజ్యం
Welfare Work,సంక్షేమ పనులు
Whig,విగ్
White flag,తెల్ల జెండా
Whitemen's burden,తెల్లవారి భారం
World empire,ప్రపంచ సామ్రాజ్యం
World movement,ప్రపంచ ఉద్యమం
World politics,ప్రపంచ రాజకీయాలు
World power,ప్రపంచ శక్తి
World war,ప్రపంచ యుద్ధం
