Gujarati,Tamil
સહ-પ્રોસેસર,இணை செயலி
નકલ,நகல்
કૉપિરાઇટ,பதிப்புரிமை
દોરી,தண்டு
"1.કોર્ડલેસ ટેલિફોન, 2. વાયરલેસ ટેલિફોન, 3. વાયરલેસ ટેલિફોન","1. கம்பியில்லா தொலைபேசி, 2. கம்பியில்லா தொலைபேசி, 3. கம்பியில்லா தொலைபேசி"
સબથિયોરમ,துணை தேற்றம்
સુધારો,திருத்தம்
"1. બિનઉપયોગી, 2. વિકૃત","1. பயன்படுத்த முடியாத, 2. சிதைக்கப்பட்ட"
ગણતરી,கணக்கீடு
સ્કોરર,அடித்தவர்
દેશનો કોડ,நாட்டின் குறியீடு
સહપ્રવૃત્તિ,இணை மாறுபாடு
"1. કાર્યક્ષેત્ર, 2. પ્રસારણ","1. நோக்கம் பகுதி, 2. ஒளிபரப்பு"
પતન,சரிவு
મુશ્કેલ રસ્તો,முக்கியமான பாதை
ક્રિટિકલ પાથ મેથડ (CPM),முக்கியமான பாதை முறை (CPM)
"1.ક્રોસ ટેસ્ટ, 2.ક્રોસ ટેસ્ટ","1.குறுக்கு சோதனை, 2.குறுக்கு சோதனை"
"1.ક્રોસ પ્રોગ્રામેબલ-ટ્રાન્સફર, 2. પ્રોગ્રામેબલ દીઠ","1.கிராஸ் புரோகிராமபிள்-பரிமாற்றம், 2. நிரல்படுத்தக்கூடியது"
અપ્રસ્તુત સંકેત,பொருத்தமற்ற சமிக்ஞை
અપ્રસ્તુત વાત,பொருத்தமற்ற பேச்சு
સંકેતલિપી,குறியாக்கவியல்
"1. સંકેતલિપી, 2. સંકેતલિપી, 3. સંકેતલિપી","1. மறைநூல், 2. மறைநூல், 3. மறைநூல்"
ચલણ પ્રતીક,நாணய சின்னம்
વર્તમાન ડિરેક્ટરી,தற்போதைய அடைவு
વર્તમાન વિન્ડો,தற்போதைய சாளரம்
કર્સર,கர்சர்
વળાંક,வளைவு
"1. કટ અને પેસ્ટ, 2. કટ અને પેસ્ટ","1. கட் அண்ட் பேஸ்ட், 2. கட் அண்ட் பேஸ்ட்"
કાપવાની પદ્ધતિ,வெட்டுதல் முறை
સાયબર,சைபர்
સાયબર કાફે,கணணி மையம்
સાયબર રોકડ,இணைய பணம்
સાયબર અપરાધ,சைபர்
સાયબર ડાલેક્સ,சைபர் டேலெக்ஸ்
સાયબર કાયદો,இணைய சட்டம்
સાયબર સેક્સ,இணைய செக்ஸ்
"1. સાયબર સાયન્સ, 2. સાયબરનેટિક્સ","1. சைபர் சயின்ஸ், 2. சைபர்நெடிக்ஸ்"
"1.સાયબરાઇઝેશન, 2. સાયબરાઇઝેશન","1.சைபரைசேஷன், 2. இணையமயமாக்கல்"
ચક્ર,மிதிவண்டி
"1.ચક્ર મેમરી, 2.ચક્ર મેમરી","1.சக்ரா நினைவகம், 2.சக்கர நினைவகம்"
ચક્ર નુકશાન,சுழற்சி இழப்பு
ચક્ર સમય,சுழற்சி நேரம்
ચક્રીય,சுழற்சி
ડિમન,டீமான்
ડેઝી વર્તુળ,டெய்சி வட்டம்
ડેટા એડમિનિસ્ટ્રેટર,தரவு நிர்வாகி
ડેટા ફાળવણી,தரவு ஒதுக்கீடு
"1.ડેટા ફીલ્ડ, 2.ડેટા ફીલ્ડ","1.தரவு புலம், 2.தரவு புலம்"
"1.ડેટા એરે, 2. ડેટા એરે","1.தரவு வரிசை, 2. தரவு வரிசை"
"1.ડેટા-બેઝ, 2.ડેટાબેઝ","1.தரவுத்தளம், 2.தரவுத்தளம்"
ડેટા ફ્રેગમેન્ટેશન,தரவு துண்டு துண்டாக
"1. ડેટા બસ, 2. ડેટા બસ","1. டேட்டா பஸ், 2. டேட்டா பஸ்"
"1.ડેટા કેરિયર, 2.ડેટા કેરિયર","1.டேட்டா கேரியர், 2.டேட்டா கேரியர்"
ડેટા સેલ,தரவு செல்
"1.ડેટા સિસ્ટમ, 2.ડેટા ચેનલ","1.டேட்டா சிஸ்டம், 2.டேட்டா சேனல்"
ડેટા કમ્યુનિકેશન,தரவு தொடர்பு
"1.ડેટા કમ્પ્રેશન, 2.ડેટા કમ્પ્રેશન","1.தரவு சுருக்கம், 2.தரவு சுருக்கம்"
માહિતી ક્ષેત્ર,தரவு புலம்
ડેટા ફાઇલ,தரவு கோப்பு
"1. ડેટા ફ્લો, 2. ડેટા ફ્લો","1. தரவு ஓட்டம், 2. தரவு ஓட்டம்"
"1.ડેટા ફ્લોચાર્ટ, 2.ચાર્ટ","1.தரவு ஃப்ளோசார்ட், 2. விளக்கப்படம்"
ડેટા વંશવેલો,தரவு படிநிலை
ડેટા સ્તર,தரவு நிலை
"1.ડેટા કલેક્શન, 2.ડેટા લાઇબ્રેરી","1.தரவு சேகரிப்பு, 2.தரவு நூலகம்"
ડેટા લિંક સ્તર,தரவு இணைப்பு அடுக்கு
ડેટા લિંક લેયર (DLL),தரவு இணைப்பு அடுக்கு (DLL)
"1.ડેટા મેનેજમેન્ટ, 2.ડેટા મેનેજમેન્ટ","1.தரவு மேலாண்மை, 2.தரவு மேலாண்மை"
"1.ડેટા ગણતરી, 2.ડેટા ગણતરી","1.தரவு கணக்கீடு, 2.தரவு கணக்கீடு"
ડેટા પ્રોસેસિંગ લેંગ્વેજ (DML),தரவு செயலாக்க மொழி (DML)
ડેટા મોડેમ ડેટા મોડેમ,தரவு மோடம் தரவு மோடம்
"1.ડેટા ફેરફાર, 2.ડેટા ફેરફાર","1.தரவு மாற்றம், 2.தரவு மாற்றம்"
"1.ડેટા નેટવર્ક, 2.ડેટા નેટવર્ક","1.டேட்டா நெட்வொர்க், 2.டேட்டா நெட்வொர்க்"
"1.ડેટા ઓપરેશન, 2.ડેટા ઓપરેશન","1.டேட்டா ஆபரேஷன், 2.டேட்டா ஆபரேஷன்"
"1.ડેટા સંસ્થાઓ, 2. ડેટા સંસ્થા","1. தரவு நிறுவனங்கள், 2. தரவு அமைப்பு"
"1. ડેટા આઉટપુટ, 2. ડેટા આઉટપુટ","1. தரவு வெளியீடு, 2. தரவு வெளியீடு"
"1.ડેટા પાથ, 2.ડેટા પાથ","1.தரவு பாதை, 2.தரவு பாதை"
"1. ડેટા તૈયારી, 2. ડેટા તૈયારી","1.தரவு தயாரித்தல், 2. தரவு தயாரித்தல்"
"1.ડેટા ગોપનીયતા, 2.ડેટા ગોપનીયતા","1.தரவு தனியுரிமை, 2.தரவு தனியுரிமை"
"1. ડેટા પ્રોસેસર, 2. ડેટા પ્રોસેસર","1. தரவுச் செயலி, 2. தரவுச் செயலி"
"1.ડેટા પ્રોટેક્શન, 2.ડેટા પ્રોટેક્શન","1.தரவு பாதுகாப்பு, 2.தரவு பாதுகாப்பு"
"1. ડેટા રેકોર્ડ, 2. ડેટા રેકોર્ડ","1. தரவு பதிவு, 2. தரவு பதிவு"
"1. ડેટા પુનઃપ્રાપ્તિ, 2. ડેટા પુનઃપ્રાપ્તિ","1. தரவு மீட்டெடுப்பு, 2. தரவு மீட்டெடுப்பு"
"1. ડેટા રૂટીન, 2. ડેટા રૂટીન","1. தரவு வழக்கம், 2. தரவு வழக்கம்"
"1.ડેટા સુરક્ષા, 2.ડેટા સુરક્ષા","1.தரவு பாதுகாப்பு, 2.தரவு பாதுகாப்பு"
"1.ડેટા સેટ, 2. ડેટા સેટ","1.தரவு தொகுப்பு, 2. தரவு தொகுப்பு"
"1.ડેટા સિગ્નલ, 2.ડેટા સિગ્નલ","1.தரவு சமிக்ஞை, 2.தரவு சமிக்ஞை"
"1. ડેટા એક્સેસ, 2. ડેટા એક્સેસ","1. தரவு அணுகல், 2. தரவு அணுகல்"
"1.ડેટા સ્ત્રોત, 2.ડેટા સ્ત્રોત","1.தரவு ஆதாரம், 2.தரவு ஆதாரம்"
"1.ડેટા સ્પષ્ટીકરણ, 2. ડેટા સ્પષ્ટીકરણ","1.தரவு விவரக்குறிப்பு, 2. தரவு விவரக்குறிப்பு"
"1.ડેટા સેન્ટર, 2.ડેટા સેન્ટર","1.தரவு மையம், 2.தரவு மையம்"
"1. ડેટા સ્ટોરેજ, 2. ડેટા સ્ટોરેજ","1. தரவு சேமிப்பு, 2. தரவு சேமிப்பு"
માહિતી સંગ્રહ માળખું,தரவு சேமிப்பு அமைப்பு
"1. ડેટા સ્ટ્રક્ચર, 2. ડેટા સ્ટ્રક્ચર","1. தரவுக் கட்டமைப்பு, 2. தரவுக் கட்டமைப்பு"
"1.ડેટા સ્વિચ, 2.ડેટા સ્વિચ","1.டேட்டா ஸ்விட்ச், 2.டேட்டா ஸ்விட்ச்"
"1.ડેટા ટેબલ, 2.ડેટા ટેબલ","1.தரவு அட்டவணை, 2.தரவு அட்டவணை"
"1.ડેટા અંત, 2. ડેટા અંત","1.தரவு முடிவு, 2. தரவு முடிவு"
"1. ડેટા ટ્રાન્સક્રિપ્શન, 2. ડેટા ટ્રાન્સક્રિપ્શન","1. டேட்டா டிரான்ஸ்கிரிப்ஷன், 2. டேட்டா டிரான்ஸ்கிரிப்ஷன்"
"1.ડેટા ટ્રાન્સફર, 2. ડેટા ટ્રાન્સફર","1.தரவு பரிமாற்றம், 2. தரவு பரிமாற்ற"
"1. ડેટા ટ્રાન્સમિશન, 2. ડેટા ટ્રાન્સમિશન","1. தரவு பரிமாற்றம், 2. தரவு பரிமாற்றம்"
"1.ડેટા ટ્રાન્સમિશન સિસ્ટમ, 2.ડેટા ટ્રાન્સમિશન સિસ્ટમ","1.டேட்டா டிரான்ஸ்மிஷன் சிஸ்டம், 2.டேட்டா டிரான்ஸ்மிஷன் சிஸ்டம்"
"1. ડેટા ફોર્મેટ, 2. ડેટા ફોર્મેટ","1. தரவு வடிவம், 2. தரவு வடிவம்"
"1. ડેટા યુનિટ, 2. ડેટા યુનિટ","1. தரவு அலகு, 2. தரவு அலகு"
"1.ડેટા માન્યતા, 2.ડેટા માન્યતા","1.தரவு சரிபார்ப்பு, 2.தரவு சரிபார்ப்பு"
ડેટાબેઝ,தரவுத்தளம்
ડેટાબેઝ વહીવટ,தரவுத்தள நிர்வாகம்
ડેટાબેઝ ડિઝાઇન,தரவுத்தள வடிவமைப்பு
ડેટાબેઝ મેનેજમેન્ટ સિસ્ટમ,தரவுத்தள மேலாண்மை அமைப்பு
"1.ડેટાગ્રેવ, 2.ડેટાગ્રેવ","1.டேட்டாகிரேவ், 2.டேட்டாகிரேவ்"
"1. ડેટમ, 2. ડેટા","1. தரவு, 2. தரவு"
"1.નિષ્ક્રિય ઝોન, 2.નિષ્ક્રિય ઝોન","1.செயலற்ற மண்டலம், 2.செயலற்ற மண்டலம்"
મડાગાંઠ,முட்டுக்கட்டை
ડેડલોક નિવારણ,முட்டுக்கட்டை தடுப்பு
ફોલ્ટ ક્લિયરન્સ,குறைபாடு நீக்கம்
"1. જજમેન્ટ સેલ, 2. જજમેન્ટ બોક્સ","1. தீர்ப்பு செல், 2. தீர்ப்பு பெட்டி"
નિર્ણય લેવાની પ્રક્રિયા,முடிவெடுக்கும் செயல்முறை
નિર્ણય સપોર્ટ સિસ્ટમ,முடிவு ஆதரவு அமைப்பு
નિર્ણય વૃક્ષ,முடிவு மரம்
"1. ડીકોડર, 2. ડીકોડર","1. குறிவிலக்கி, 2. குறிவிலக்கி"
વિસર્જન સિદ્ધાંત,கலைப்பு கொள்கை
ડીકોડિંગ,டிகோடிங்
સમર્પિત સિસ્ટમ,அர்ப்பணிக்கப்பட்ட அமைப்பு
સમર્પિત પ્રેસ,அர்ப்பணிக்கப்பட்ட பத்திரிகை
ઇમ્યુનાઇઝેશન ડેટા નેટવર્ક (DDN),நோய்த்தடுப்பு தரவு நெட்வொர்க் (DDN)
રોગપ્રતિકારક માહિતી સિસ્ટમ,நோய்த்தடுப்பு தகவல் அமைப்பு
એકીકરણ,ஒருங்கிணைப்பு
વિલંબ,தாமதம்
વિલંબ કાઉન્ટર,தாமத கவுண்டர்
વિલંબ સમય,தாமத நேரம்
"1.કાઢી નાખો, 2.કાઢી નાખો","1.நீக்கு, 2.நீக்கு"
કાઢી નાખવાનો રેકોર્ડ,நீக்குதல் பதிவு
સીમાંકક,பிரிப்பான்
ડેલ્ટા મોડ્યુલેશન,டெல்டா பண்பேற்றம்
વિનંતી પાનું,கோரிக்கை பக்கம்
કામગીરી,செயல்திறன்
ડિમોડ્યુલેશન,டிமாடுலேஷன்
વી-મલ્ટિપ્લેક્સર,வி-மல்டிபிளெக்சர்
વિકૃતિકરણ,இயல்புநிலைப்படுத்தல்
"1. ઘનતા, 2. ઘનતા","1. அடர்த்தி, 2. அடர்த்தி"
"1. અવલંબન, 2. અવલંબન","1. சார்பு, 2. சார்பு"
આશ્રિત એકમ,சார்பு அலகு
કતાર,வரிசை
"1. ડિરેફરન્સ, 2. ડિરેફરન્સ","1. dereference, 2. dereference"
વ્યુત્પન્ન વૃક્ષ,பெறப்பட்ட மரம்
વ્યુત્પન્ન ક્ષેત્ર,பெறப்பட்ட புலம்
ઉતરતા ક્રમ,இறங்கு வகை
ડિઝાઇન,வடிவமைப்பு
ડેસ્ક કેલ્ક્યુલેટર,மேசை கால்குலேட்டர்
ડેસ્કટોપ કમ્પ્યુટર્સ,டெஸ்க்டாப் கணினிகள்
ડેસ્કટોપ પ્રસ્તુતિ,டெஸ்க்டாப் விளக்கக்காட்சி
ડેસ્કટોપ પ્રકાશન,டெஸ்க்டாப் வெளியீடு
ડેસ્કટોપ વિડિઓ,டெஸ்க்டாப் வீடியோ
ગંતવ્ય સરનામું,இலக்கு முகவரி
"1. ડિસ્ટ્રોયર, 2. ડિસ્ટ્રોયર","1. அழிப்பவர், 2. அழிப்பவர்"
નિર્ધારિત ઓટોમેટા,தீர்மானிக்கும் தானியங்கு
વિકાસકર્તા,டெவலப்பர்
વિકાસ પ્રણાલી,வளர்ச்சி அமைப்பு
ઉપકરણ,சாதனம்
ઉપકરણ નિયંત્રણ એકમ,சாதன கட்டுப்பாட்டு அலகு
ઉપકરણ નિયંત્રક,சாதனம் கட்டுப்படுத்தி
ઉપકરણ સંચાલન,சாதன மேலாண்மை
ઉપકરણ મોડ,சாதன முறை
નિદાન,நோய் கண்டறிதல்
ડાયગ્નોસ્ટિક સિસ્ટમ,கண்டறியும் அமைப்பு
"1. ડાયગ્નોસ્ટિક્સ, 2. ડાયગ્નોસ્ટિક્સ","1. கண்டறிதல், 2. கண்டறிதல்"
રેખાકૃતિ,வரைபடம்
ડાયલ,டயல்
ડાયલ લાઇન,டயல் வரி
ડાયલ ટોન,டயல் தொனி
ડાયલ અપ,அழைக்கவும்
"1. સંવાદ, 2. વાતચીત","1. உரையாடல், 2. உரையாடல்"
વાતચીત ખંડ,உரையாடல் அறை
ડાયલઅપ મોડેમ,டயல்அப் மோடம்
વીમા,காப்பீடு
શબ્દકોશ,அகராதி
"1. વિભેદક, 2. તફાવત","1. வேறுபாடு, 2. வேறுபாடு"
સંખ્યાત્મક,எண்ணியல்
ડિજિટલ સિસ્ટમ,டிஜிட்டல் அமைப்பு
ડિજિટલ સર્કિટ,டிஜிட்டல் சுற்று
ડિજિટલ કમ્પ્યુટર,டிஜிட்டல் கணினி
"1.ડિજિટલ ડેટા, 2.ડિજિટલ ડેટા","1.டிஜிட்டல் டேட்டா, 2.டிஜிட்டல் டேட்டா"
ડિજિટલ સુવિધા,டிஜிட்டல் வசதி
ડિજિટલ ફિલ્ટર,டிஜிட்டல் வடிகட்டி
ડિજિટલ પુસ્તકાલય,டிஜிட்டல் நூலகம்
ડિજિટલ મોડ્યુલેશન,டிஜிட்டல் பண்பேற்றம்
"1. ડિજિટલ ડિસ્પ્લે, 2. ડિજિટલ મોનિટર","1. டிஜிட்டல் டிஸ்ப்ளே, 2. டிஜிட்டல் மானிட்டர்"
ડિજિટલ છબી,டிஜிட்டல் படம்
"1. ડિજિટલ હસ્તાક્ષર, 2. ડિજિટલ હસ્તાક્ષર","1. டிஜிட்டல் கையொப்பம், 2. டிஜிட்டல் கையொப்பம்"
ડિજિટલ સ્વીચ,டிஜிட்டல் சுவிட்ச்
ડિજિટલ એનાલોગ કન્વર્ટર,டிஜிட்டல் அனலாக் மாற்றி
ડિજિટાઇઝેશન,டிஜிட்டல் மயமாக்கல்
ડિજિટાઇઝેશન,டிஜிட்டல் மயமாக்கல்
ડિજિટાઇઝર,இலக்கமாக்கி
ડાયોડ,டையோடு
પ્રથમ નજરે,முதன்மையான தோற்றம்
સીધું સરનામું,நேரடி முகவரி
સીધું રૂપાંતર,நேரடி மாற்றம்
સીધું જોડાણ,நேரடி இணைப்பு
"1. ડાયરેક્ટ મેમરી એક્સેસ, 2. ડાયરેક્ટ મેમરી એક્સેસ (DMA)","1. நேரடி நினைவக அணுகல், 2. நேரடி நினைவக அணுகல் (DMA)"
ડાયરેક્ટ મેમરી એક્સેસ (DMA),நேரடி நினைவக அணுகல் (DMA)
સીધી પદ્ધતિ,நேரடி முறை
દિશાઓ,திசைகள்
ડિરેક્ટરી,அடைவு
"1. ડિરેક્ટરી સર્વર, 2. ડિરેક્ટરી સર્વર","1. அடைவு சேவையகம், 2. அடைவு சேவையகம்"
ડિરેક્ટરી સેવા,அடைவு சேவை
અસમર્થ,முடியவில்லை
નિષ્ક્રિય સંકેત,சமிக்ஞையை முடக்குகிறது
"1. ડિસ્કનેક્શન, 2. ડિસ્કનેક્શન","1. துண்டித்தல், 2. துண்டித்தல்"
"1. અલગ, 2. અલગ","1. தனித்தனி, 2. தனித்தனி"
"1. ડિસ્ક, 2. ડિસ્ક","1. வட்டு, 2. வட்டு"
"1. ડિસ્ક સરનામું, 2. ડિસ્ક સરનામું","1. வட்டு முகவரி, 2. வட்டு முகவரி"
"1. ડિસ્ક એરે, 2. ડિસ્ક એરે","1. வட்டு வரிசை, 2. வட்டு வரிசை"
"1. ડિસ્ક ક્ષમતા, 2. ડિસ્ક ક્ષમતા","1. வட்டு திறன், 2. வட்டு திறன்"
"1. ડિસ્ક ડ્રાઈવર, 2. ડિસ્ક ડ્રાઈવ","1. வட்டு இயக்கி, 2. வட்டு இயக்கி"
ડિસ્ક ફાઇલ,வட்டு கோப்பு
"1. ડિસ્ક મેમરી, 2. ડિસ્ક મેમરી, 3. ડિસ્ક મેમરી, 4. ડિસ્ક મેમરી","1. வட்டு நினைவகம், 2. வட்டு நினைவகம், 3. வட்டு நினைவகம், 4. வட்டு நினைவகம்"
ડિસ્ક ઓપરેટિંગ સિસ્ટમ (DoS),வட்டு இயக்க முறைமை (DoS)
ડિસ્ક પેકેજ,வட்டு தொகுப்பு
"1.ચક્રિકા સર્વર, 2.ડિસ્ક સર્વર","1.சக்ரிகா சர்வர், 2.டிஸ்க் சர்வர்"
"1. ડિસ્ક સંગ્રહ, 2. ડિસ્ક સંગ્રહ","1. வட்டு சேமிப்பு, 2. வட்டு சேமிப்பு"
ડિસ્કેટ,வட்டு
ડિસ્પ્લે ફાઇલ,காட்சி கோப்பு
પ્રદર્શિત છબી,காட்சி படத்தை
નિકાલ,அகற்றல்
અંતર,தூரம்
અંતર કાર્ય,தூர செயல்பாடு
વિકૃતિ,திரித்தல்
વિતરિત,வழங்கப்பட்டது
વિતરિત ડેટા,விநியோகிக்கப்பட்ட தரவு
વિતરિત સર્વર,விநியோகிக்கப்பட்ட சேவையகம்
"1.વિતરિત સિસ્ટમ, 2.વિતરિત સિસ્ટમ","1. விநியோகிக்கப்பட்ட அமைப்பு, 2. விநியோகிக்கப்பட்ட அமைப்பு"
વિતરક,விநியோகஸ்தர்
દસ્તાવેજ,ஆவணம்
દસ્તાવેજ અધિકૃત,அங்கீகாரம் பெற்ற ஆவணம்
"1. ડોક્યુમેન્ટ વિન્ડો, 2. ડોક્યુમેન્ટ વિન્ડો","1. ஆவண சாளரம், 2. ஆவண சாளரம்"
દસ્તાવેજીકરણ,ஆவணங்கள்
"ડોમેન, ડોમેન","களம், களம்"
ડોમેન નામ,டொமைன் பெயர்
"1. ડોટ મેટ્રિક્સ પ્રિન્ટર, 2. ડોટ મેટ્રિક્સ પ્રિન્ટર","1. டாட் மேட்ரிக்ஸ் பிரிண்டர், 2. டாட் மேட்ரிக்ஸ் பிரிண்டர்"
"નીચે, નીચે","கீழ், கீழே"
"1.અવલિંક, 2.ચોરસ","1.அவலின்க், 2.சதுரம்"
ડાઉનલોડ કરો,பதிவிறக்க Tamil
ડાઉનલોડ સમય,பதிவிறக்க நேரம்
ટ્રેક્શન,இழுவை
DRAM (ડાયનેમિક રેમ),DRAM (டைனமிக் ரேம்)
વહેણ,ஓட்டம்
ડ્રાઈવર,இயக்கி
પાંદડા,இலைகள்
ડ્રોપ લિસ્ટ બોક્સ,டிராப் பட்டியல் பெட்டி
ડ્રમ ડ્રાઇવ,டிரம் டிரைவ்
"1.ડ્રમ પ્રિન્ટર, 2.ડ્રમ પ્રિન્ટર","1.டிரம் பிரிண்டர், 2.டிரம் பிரிண்டர்"
"1. ઇમ યુનિટ, 2. ડ્રમ યુનિટ","1. இம் யூனிட், 2. டிரம் யூனிட்"
"1. દ્વૈત, 2. દ્વિ","1. இருமை, 2. இரு"
બેવડી ઘનતા,இரட்டை அடர்த்தி
"1. મૌન સરનામું, 2. નકલી સરનામું","1. அமைதியான முகவரி, 2. போலி முகவரி"
ડમ્પ,திணிப்பு
ડબલ સર્કિટ,இரட்டை சுற்று
કાયદેસરકરણ,சட்டப்பூர்வமாக்குதல்
કી કી,முக்கிய திறவுகோல்
"1.D V D R./W, 2. ડીવીડી વાંચન, 3. લેખન","1.டி வி டி ஆர்./டபிள்யூ, 2. டிவிடி படித்தல், 3. எழுதுதல்"
ડીવીડી રોમ,டிவிடி ரோம்
ગતિશીલ સૂચના,மாறும் அறிவுறுத்தல்
"1.ડાયનેમિક મેમરી, 2.ડાયનેમિક મેમરી","1.டைனமிக் மெமரி, 2.டைனமிக் மெமரி"
"1. ડાયનેમિક્સ, 2. ડાયનેમિક્સ","1. இயக்கவியல், 2. இயக்கவியல்"
E B C D I C,ஈ பி சி டி ஐ சி
ઈ-વ્યવસાય,மின் வணிகம்
પડઘો,எதிரொலி
"1.e-commerce, 2.e-commerce","1.இ-காமர்ஸ், 2.இ-காமர்ஸ்"
સંપાદન,திருத்துதல்
સંપાદક,ஆசிரியர்
શૈક્ષણિક ટેકનોલોજી,கல்வி தொழில்நுட்பம்
e e p rom,e e p rom
"1. અર્થપૂર્ણ સરનામું, 2. અસરકારક સરનામું","1. அர்த்தமுள்ள முகவரி, 2. பயனுள்ள முகவரி"
અર્થપૂર્ણ ઓપરેન્ડ સરનામું,அர்த்தமுள்ள செயல்பாட்டு முகவரி
અસરકારક કાર્યવાહી,பயனுள்ள நடவடிக்கை
અસરકારક UID,பயனுள்ள UID
અસરકારક ટ્રાન્સમિશન કામગીરી,பயனுள்ள பரிமாற்ற செயல்பாடு
ઓક્ટલ બાઈટ,ஆக்டல் பைட்
"ઈલેક્ટ્રોનિક લર્નિંગ, ઈ-લર્નિંગ","மின்னணு கற்றல், மின் கற்றல்"
ચૂંટણી અલ્ગોરિધમ,தேர்தல் அல்காரிதம்
ઈલેક્ટ્રોનિક મેઈલ સર્વિસ (ઈ-મેલ),மின்னணு அஞ்சல் சேவை (மின்னஞ்சல்)
"1.ઈલેક્ટ્રોનિક પ્રિન્ટિંગ, 2.ઈલેક્ટ્રોનિક પ્રિન્ટર","1.எலக்ட்ரானிக் பிரிண்டிங், 2.எலக்ட்ரானிக் பிரிண்டர்"
ઇલેક્ટ્રિકલ એકાઉન્ટિંગ મશીન,மின் கணக்கியல் இயந்திரம்
ઈલેક્ટ્રોનિક્સ,மின்னணுவியல்
ઇલેક્ટ્રોનિક એક્ઝોસ્ટ સિસ્ટમ (ECS),மின்னணு வெளியேற்ற அமைப்பு (ECS)
ઇલેક્ટ્રોનિક ડેટા એક્સચેન્જ (EDI),மின்னணு தரவு பரிமாற்றம் (EDI)
ઇલેક્ટ્રોનિક ડેટા પ્રોસેસિંગ,மின்னணு தரவு செயலாக்கம்
ઇલેક્ટ્રોનિક બ્રોશર,மின்னணு சிற்றேடு
ઇલેક્ટ્રોનિક ફંડ ટ્રાન્સફર મિકેનિઝમ (EFTS),மின்னணு நிதி பரிமாற்ற வழிமுறை (EFTS)
"1.ઈલેક્ટ્રોનિક જર્નલ, 2.ઈલેક્ટ્રોનિક જર્નલ","1.எலக்ட்ரானிக் ஜர்னல், 2.எலக்ட்ரானிக் ஜர்னல்"
ઇલેક્ટ્રોનિક પ્રકાશન,மின்னணு வெளியீடு
ઇલેક્ટ્રોનિક સ્વીચ,மின்னணு சுவிட்ச்
"તત્વ, તત્વ","உறுப்பு, உறுப்பு"
ઈ-મેલ,மின்னஞ்சல்
"1. ઈ-મેલ સરનામું, 2. ઈલેક્ટ્રોનિક મેઈલિંગ સરનામું","1. மின்னஞ்சல் முகவரி, 2. மின்னணு அஞ்சல் முகவரி"
એમ્બેડેડ સિસ્ટમ,உட்பொதிக்கப்பட்ட அமைப்பு
એમ્બેડિંગ,உட்பொதித்தல்
એમિટર કમ્પલ્ડ લોજિક (ECL),உமிழ்ப்பான் இணைந்த தர்க்கம் (ECL)
ખાલી જગ્યા,காலியான இடம்
"1. ખાલી સાંકળ, 2. ખાલી સાંકળ","1. வெற்று சங்கிலி, 2. வெற்று சங்கிலி"
યાંત્રિકરણ,இயந்திரமயமாக்கல்
"1.કેપ્સ્યુલેશન, 2.કેપ્સ્યુલેશન","1.கேப்சுலேஷன், 2.கேப்சுலேஷன்"
ડીકોડર,குறிவிலக்கி
એન્કોડિંગ,குறியாக்கம்
"1. એન્કોડર, 2. કોડક","1. குறியாக்கி, 2. கோடாக்"
છુપાયેલ ડેટા,மறைக்கப்பட்ட தரவு
છુપાયેલ ફાઇલ સિસ્ટમ,மறைக்கப்பட்ட கோப்பு முறைமை
"1. એન્ક્રિપ્શન, 2. કોડિંગ, 3. એન્કોડિંગ","1. என்க்ரிப்ஷன், 2. கோடிங், 3. என்கோடிங்"
બ્લોક અંત,தொகுதி முடிவு
ફાઇલ-એન્ડ,கோப்பு-முடிவு
વપરાશકર્તા,பயனர்
દાખલ કરો,நுழைய
એન્ટ્રી કી,நுழைவு விசை
"1. ઉદ્યમ સરવર, 2. ઉદ્યમ સેવક","1. உத்யம் சர்வர், 2. உத்யம் சேவக்"
એન્ટરપ્રાઇઝ સિસ્ટમ,நிறுவன அமைப்பு
શક્તિ,சக்தி
શક્તિ આકર્ષણ,சக்தி தொடர்பு
પ્રવેશ સમય,நுழைவு நேரம்
ઇનપુટ ચલ,உள்ளீடு மாறி
ગણતરીપાત્ર,எண்ணத்தக்க
પર્યાવરણ,சூழல்
"1.યુગ, 2. યુગ, 3. સૂચના ક્ષણ","1. சகாப்தம், 2. சகாப்தம், 3. அறிவுறுத்தல் தருணம்"
EPRAM (ફાઇનાન્સ પ્રોગ્રામેબલ રીડ-ઓન્લી મેમરી),EPRAM (நிதி நிரல்படுத்தக்கூடிய படிக்க-மட்டும் நினைவகம்)
એપ્સીલોન કન્સ્ટ્રક્ટર,epsilon constrictor
બરાબરી,சமநிலைப்படுத்தி
સાધનસામગ્રી,உபகரணங்கள்
સમાનતા વર્ગ,சமநிலை வகுப்பு
સમાન સંબંધ,சமமான உறவு
"1. લુપ્તતા, 2. નાબૂદી","1. அழிவு, 2. ஒழிப்பு"
ભૂલ સુધારણા કોડ,பிழை திருத்தம் குறியீடு
ભૂલ સુધારણા,பிழை திருத்தம்
ભૂલ શોધ,பிழை கண்டறிதல்
ભૂલ હેન્ડલિંગ,பிழை கையாளுதல்
ક્ષતી સંદેશ,பிழை செய்தி
ભૂલ દર,பிழை விகிதம்
ભૂલ પુનઃપ્રાપ્તિ,பிழை மீட்பு
ભૂલ નામ,பிழை பெயர்
એસ્કેપ પ્રતીક,தப்பிக்கும் சின்னம்
