Marathi,Gujarati
ब्लॉक सिंक्रोनाइझेशन,બ્લોક સુમેળ
ब्लॉक ट्रान्सफर,અવરોધ -તબદીલી
ब्लॉक ट्रान्सफर फंक्शन,અવરોધ -તબદીલી કાર્ય
फटका,ફૂંકવું
परत उडवा,પટકવું
शिट्टी,વધી રહેલું
निळा रिबन प्रोग्राम,વાદળી રંગનો કાર્યક્રમ
ठळक चेहरा,હિંમતવાન ચહેરો
पुस्तक,પુસ્તક
पुस्तक संदेश,પુસ્તક સંદેશ
बुलियन पूरक,ભૌતિક પૂરક
बुलियन कनेक्टिव्ह,જોડાયેલ
बुलियन डेटा प्रकार,બુલિયન ડેટા પ્રકાર
बुलियन फंक्शन,ફોજત કાર્ય
बुलियन ऑपरेशन,રાંતિકરણ કામગીરી
बुलियन ऑपरेशन टेबल,રસ્તાનો operationપસી
बुलियन ऑपरेटर,ફોલ્લીન ઓપરેટર
बूटलेग प्रोग्राम,તોપ
बूट स्ट्रॅप लोडर,બૂટ લોડર
बूट स्ट्रॅप मेमरी,બૂટ સ્ટ્રેપ મેમરી
बूट स्ट्रॅपिंग,બંધબેસતી પટ્ટી
बूट स्ट्रॅपिंग एनालॉग संगणक,બુટ સ્ટ્રેપિંગ એનાલોગ કમ્પ્યુટર
बूट स्ट्रॅपिंग भाषा प्रोसेसर,બુટ સ્ટ્રેપિંગ ભાષા પ્રોસેસર
कर्ज घ्या,ઉધાર
कर्ज घ्या,અંકિત અંક
संचार,પણ
संचालन,હાર્વે ઓપરેશન
तळ-अप पद्धत (= कपात पद्धत),બોટમ-અપ પદ્ધતિ (= ઘટાડો પદ્ધતિ)
बाउन्सिंग,Ingતરતું
बंधनकारक,બંધાયેલું
सीमा,હદ
सीमा संरेखन,સીમા -ગોઠવણી
सीमा चाचणी,સીમા -કસોટી
व्यस्त तास बाउंडिंग,વ્યસ્ત સમય બાઉન્ડિંગ
सीमा नोंदणी,હંગામો પત્રક
शाखा,શાખા
शाखा आणि बाउंड पद्धत,શાખા અને બાઉન્ડ પદ્ધતિ
शाखा केबल,શાખા કેબલ
शाखा,શાખા
शाखा नेटवर्क,શાખા -નેટવર્ક
शाखा सूचना,શાખા સૂચના
शाखा बिंदू,શાખાબિંદુ
शाखा प्रक्रिया,શાખા પ્રક્રિયા
शाखा टेबल,શાખાખાં
ब्रेक,તૂટી પડવી
ब्रेक की,તોડવાની ચાવી
ब्रेक पॉईंट,વિરામ બિંદુ
ब्रेक पॉईंट हॉल्ट,વિરામ બિંદુ અટક
ब्रेक पॉईंट सूचना,વિરામ બિંદુ સૂચના
ब्रेक पॉईंट स्विच,વિરામ બિંદુ સ્વીચ
ब्रेक सीक्वेन्स,વિરામ ક્રમ
ब्रिज टॅप,તામસી નળ
ब्रिजवेअर,પુષ્પકોણ
ब्रिजिंग,શરાબ
ब्राइटनेस रेशो,તેજ ગુણોત્તર
ब्रॉड बँड,વ્યાપક બેન્ડ
प्रसारण मोड,પ્રસારણ -પદ્ધતિ
प्रसारण उपग्रह,ઉપગ્રહ
ब्रुसेल्स वर्गीकरण प्रणाली,બ્રસેલ વર્ગીકરણ પદ્ધતિ
क्रूर-शक्ती दृष्टीकोन,ઘાતકી શક્તિ અભિગમ
बी-ट्री,બીક-વૃક્ષ
बबल मेमरी,બબલ મેમરી
बबल क्रमवारी,બબલ
बादली,ડોલવું
बफर,બફર
बफर चॅनेल,બફર ચેરી
बफरर्ड एम्पलीफायर,બફર એમ્પ્લીફાયર
बफर संगणक,બફર્ડ કમ્પ્યુટર
बफर डिव्हाइस,બફરડ
बफर इनपुट,બફર ઇનપુટ
बफर संदेश,બફર કરેલું સંદેશ
बफरिंग,ધક્કો
बफर I/O डिव्हाइस,બફર I/O ઉપકરણ
बफर व्यवस्थापन,બફરનું સંચાલન
बफर आउटपुट,બફર આઉટપુટ
बफर पॅड वर्ण,બફર પેડ પાત્ર
बफर पूल,બફર પૂલ
बफर पूलिंग,બફર પૂલિંગ
बफर रजिस्टर,બફર રજિસ્ટર
बफर स्टोरेज,બફર સંગ્રહ
बफर स्टोअर,બફર ભંડાર
किडा,કણ
बग्गी,ખડતલ
अंगभूत कार्य,વિધેય
अंगभूत प्रक्रिया,બાંધકામ કાર્યપદ્ધતિ
ब्रेस्ट मोड,વિસ્ફોટ
ब्रेस्ट ट्रान्समिशन,વિસ્ફોટ
बस,બસ
बस बार,બસ બાર
बस नियंत्रक,બસ નિયંત્રક
बस चालक,બસ ચાલક
बस विस्तारक,બસ વધારનાર
व्यवसाय डेटा प्रक्रिया,વ્યાપાર -પ્રક્રિયા
व्यवसाय माहिती प्रणाली,ધંધાકીય માહિતી પદ્ધતિ
व्यवसाय मशीन,ધંધાનું યંત્ર
व्यवसाय मशीन क्लॉकिंग,ધંધાનું મશીન -ક્લોકિંગ
व्यवसाय नियोजन भाषा,ધંધાકીય આયોજન ભાષા
व्यवसाय सेवा,ધંધાકીય સેવા
बसबॅक,બસ
बस समाप्ती,સમાપ્તિ
बस वेअर,બસનો વેર
बस वायर,બસ
व्यस्त तास,વ્યસ્ત સમય
व्यस्त सिग्नल,વ્યસ્ત સિધ્ધાંત
व्यस्त टोन,વ્યસ્ત સ્વર
बायपास प्रक्रिया,બાયપાસ કાર્યપદ્ધતિ
उप -उत्पादन,પાટપાથ
बाइट,પહાડ
बाइट मॅनिपुलेशन,બાઇટ હેરાફેરી
बाइट मोड,બોટ્ટ મોડ
बाइट मल्टीप्लेक्सर चॅनेल,મલ્ટિપ્લેક્સર ચેનલ
बाइट मल्टीप्लेक्सर मोड,બાઇટ મલ્ટિપ્લેક્સર મોડ
बाइट मल्टीप्लेक्सिंग,ગુણાકાર
केबल,કેબલ
केबल कास्टिंग,કેબલ
केबल टेलिव्हिजन सेवा,કેબલ ટેલિવિઝન સેવા
केबल वॉल्ट,તામસી
कॅशे,કળશ
कॅशे-कॅशे मेमरी,કેશ કેશ મેમરી
गणना,ગણતરી
गणना पंच,ગણતરી પંચ
कॅल्क्युलेटर,ગણક
कॅल्क्युलेटर चिप,ગણતરીકાર
बीजगणित लॉजिकसह कॅल्क्युलेटर,બીજગણિત તર્ક સાથેની ગણતરી
अंकगणित लॉजिकसह कॅल्क्युलेटर,અંકગણિત તર્ક સાથે કેલ્ક્યુલેટર
प्रोग्रामबिलिटीशिवाय कॅल्क्युलेटर,પ્રોગ્રામેબિલિટી વિના ગણતરી
प्रोग्रामबिलिटीसह कॅल्क्युलेटर,પ્રોગ્રામિબિલિટી સાથેની ગણતરી
भिन्नतेचे कॅल्क्युलस,વિવિધતા
कॉल,ઉઠાવવું
संदर्भानुसार कॉल करा,સંદર્ભ દ્વારા ક call લ કરવો
व्हॅल्यूद्वारे कॉल करा,મૂલ્યથી ક call લ કરો
कॉल डायरेक्टिंग कोड,દિગ્દર્શન કોડ ક .લ કરો
कॉल आस्थापना,સંસ્થા
कॉल अग्रेषित,ક call લ ફોરવર્ડિંગ
कॅलिग्राफिक प्लॉटर,સુલેખનકાર
कॉलिंग,ક callingપન
कॉलिंग युक्तिवाद,દલીલ
कॉलिंग प्रोग्राम,કાર્યક્રમ
कॉलिंग क्रम,ક callingનલ -ક્રમ
कॉलिंग सबप्रोग्राम,ક calling લ કરીને સબપ્રોગ્રામ
कॉल नंबर,ક call લ નંબર
कॉल प्रोसेसर,ક call લ પ્રોસેસર
कॉल प्रगती सिग्नल,પ્રગતિ સિગ્નલ ક .લ કરો
कॉल स्टोअर,ક callલ સ્ટોર
कॉल प्रतीक्षा करा,કોલ પ્રતીક્ષા માં છે
रद्द करा,રદ કરવું
वर्ण रद्द करा,રદ કરવું
की रद्द करा,રદ કરો
कॅन केलेला परिच्छेद,તૈયાર ફકરો
कॅन केलेला सॉफ्टवेअर,તૈયાર સોફ્ટવેર
कॅनॉनिक पिढी,ગ્રામીણ પે generation ી
कॅपेसिटर स्टोरेज,મૂડી -સંગ્રહ
क्षमता,શક્તિ
कॅपस्टन,એક જાતનો છોડ
कॅप्चर,પકડવું
कार्ड,પ cardપન
कार्ड पिंजरा,કાર્ડ પાંજરા
कार्ड चेसिस,કાર્ડ ચેસિસ
कार्ड तपासणी,કાર્ડ તપાસ
कार्ड कोड,કાર્ડ સંહિતા
कार्ड कॉलम,કાર્ડ -સ્તંભ
कार्ड चक्र,કાર્ડ
कार्ड डेक,કાર્ડ તૂતક
कार्ड त्रुटी तपासणी,કાર્ડ ભૂલ ચકાસણી
कार्ड फील्ड,કાર્ડ મેદાન
कार्ड फाइल,કાર્ડ ફાઇલ
कार्ड फॉर्म,કાર્ડ -ફોર્મ
कार्ड स्वरूप,કાર્ડ ફોર્મેટ
कार्ड हॉपर,કાર્ડ હ opper પર
कार्ड प्रतिमा,કાર્ડ
कार्ड इनपुट,પત્રકાર
कार्ड जाम,કાર્ડ જામ
कार्ड लोडर,કાર્ડ લોડર
कार्ड पॅक,પેકર
कार्ड पथ,કાર્ડ -પાથ
कार्ड प्रोग्राम केलेले कॅल्क्युलेटर,કાર્ડ પ્રોગ્રામ કરેલ કેલ્ક્યુલેટર
कार्ड प्रोग्राम केलेले संगणक,કાર્ડ -પ્રોગ્રામ કમ્પ્યુટર
कार्ड पंच,કાર્ડની પંચ
कार्ड पंचिंग तंत्र,કાર્ડ પંચીંગ તકનીક
कार्ड रीडर,કાર્ડ રીડર
कार्ड पुनरुत्पादक,કાર્ડ પ્રજનન કરનાર
कार्ड पंक्ती,કાર્ડ હરોળ
कार्ड सेट,કાર્ડનો સમૂહ
कार्ड सॉर्टर,કાર્ડ સોર્ટર
कार्ड स्टॅकर,કાર્ડ સ્ટackક બનાવનાર
कार्ड स्टोरेज,કાર્ડ
कार्ड-टू-डिस्क युटिलिटी,કાર્ડ-થી-ડિસ્ક ઉપયોગિતા
कार्ड-टू-मॅग्नेटिक टेप रूपांतरण,કાર્ડ-થી-ગાંઠડીનું ટેપ રૂપાંતર
कार्ड-टू-प्रिंट प्रोग्राम,કાર્ડ થી છાપકામ કાર્યક્રમ
टेप कन्व्हर्टरवर कार्ड,ટેપ કન્વર્ટર માટે કાર્ડ
कार्ड ट्रॅक,કાર્ડ -પાટા
कार्ड सत्यापन,ચકાસણી
CARET,કરડું
कॅरोझेल,કાટમાળ
गाडी,વાહન
कॅरेज कंट्रोल कॅरेक्टर,વાહન નિયંત્રણ -પાત્ર
कॅरेज कंट्रोल टेप,વાહન -નિયંત્રણ ટેપ
गाडी परत,વાહન વળતર
कॅरेज रिटर्न कॅरेक्टर,વાહન
वाहक,માલવાહક
कॅरियर होल,વાહક
कॅरियर लोड,વાહક
कॅरियर रिटर्न कॅरेक्टर,કેરિયર રીટર્ન પાત્ર
कॅरियरचे कॅरियर,વાહક -વાહક
कॅरियर सिग्नल,વાહક સંકેત
वाहक प्रणाली,વાહક પદ્ધતિ
कॅरियर-टू-आवाज गुणोत्तर,વાહક થી અવાજ
कॅरियर वेव्ह,વાહક
कॅरी,વહન કરવું
संपूर्ण सिग्नल घेऊन जा,સંપૂર્ણ સિગ્નલ વહન કરો
पूर्ण सेन्सिंग घेऊन जा,પૂર્ણતા સંવેદના
अंक घेऊन जा,અંકિત
ध्वजांकन करा,ધ્વજ
वेळ घेऊन जा,સમયનો વહન કરવો
काडतूस,કારતૂસ
काडतूस डिस्क,વાહન -છાપ
कॅसकेड कनेक्शन,કાસ્કેડ જોડાણ
कॅसकेड नियंत्रण,કોશિક નિયંત્રણ
कॅसकेड विलीनीकरण,મર્જ
कॅसकेड विलीनीकरण,કાસ્કેડ મર્જ કરવું
कॅशलाइक दस्तऐवज,કેશ જેવા દસ્તાવેજ
कॅशलाइक निविदा (= कॅशसारखे दस्तऐवज),કેશ જેવા ટેન્ડર (= કેશ જેવા દસ્તાવેજ)
कॅसेट,કેસેટ
कास्टिंग नाइन,નાઇન્સ કાસ્ટિંગ
कॅटा भाषा (= ऑब्जेक्ट भाषा),કાટા ભાષા (= object બ્જેક્ટ ભાષા)
कॅटलॉग,સૂચિ
कॅटलॉग केलेला डेटा सेट,કેટલોગ ડેટા સેટ
कॅटलॉग निर्देशिका,સૂચિબદ્ધ ડિરેક્ટરી
कॅटलॉग प्रक्रिया,ક્યાવાજ -કાર્યપદ્ધતિ
आपत्तीजनक त्रुटी,આપત્તિજનક ભૂલ
कॅटेना,એક જાતની catંચી
केटनेट,મોરી
कॅथोड रे स्टोरेज,કેટોડ રે સ્ટોરેજ
कॅथोड रे ट्यूब,કેથોડ રે ટ્યુબ
कॅथोड रे ट्यूब प्रदर्शन,કેથોડ રે ટ્યુબ ડિસ્પ્લે
सेल,ઓરડું
सेल्युलर मोबाइल टेलिफोन नेटवर्क,સેલ્યુલર મોબાઇલ ટેલિફોન નેટવર્ક
सेल्युलर रेशो,કોષ -ગુણોત્તર
सेल्युलर स्प्लिटिंग,કોષ -વિભાજન
मध्यवर्ती,કેન્દ્રમાં રાખવું
मध्य रेषा,મધ્ય રેખા
सेंट्रल कंट्रोल युनिट,કેન્દ્રીય નિયંત્રણ એકમ
केंद्रीकृत स्वयंचलित संदेश लेखा,કેન્દ્રિય સ્વચાલિત સંદેશ હિસાબ
केंद्रीकृत डेटा प्रक्रिया,કેન્દ્રીયકૃત ડેટા પ્રોસેસિંગ
केंद्रीकृत नेटवर्क,કેન્દ્રીયકૃત નેટવર્ક
मध्यवर्ती मेमरी,કેન્દ્રી યાદશક્તિ
मध्यवर्ती कार्यालय,કેન્દ્રીય કચેરી
केंद्रीय कार्यालय कोड,કેન્દ્રીય કચેરી સંહિતા
केंद्रीय कार्यालयीन कामाचा आदेश,કેન્દ્રીય કચેરી કાર્ય હુકમ
सेंट्रल प्रोसेसिंग युनिट,કેન્દ્રીય પ્રક્રિયા એકમ
केंद्रीय प्रक्रिया युनिट लूप,કેન્દ્રીય પ્રક્રિયા એકમ લૂપ
केंद्रीय प्रोसेसर,કેન્દ્રીય પ્રોસેસર
सेंट्रल स्कॅनिंग लूप,કેન્દ્રીય સ્કેનીંગ લૂપ
सेंट्रल स्टेशन (= नियंत्रण स्टेशन),સેન્ટ્રલ સ્ટેશન (= નિયંત્રણ સ્ટેશન)
केंद्रीय कार्यालयीन कामाचा आदेश,કેન્દ્રીય કચેરી કાર્ય હુકમ
प्रमाणित टेप,પ્રમાણિત ટેપ
चाड,શણગારવું
चाडलेस टेप,ચાદર
साखळी,સાંકળ
साखळी जोड कार्यक्रम,સાંકળ -વધારા
साखळी कोड,સાંકડો
साखळी फाइल,સાંકળ ફાઇલ
साखळी यादी,સાંકળ યાદી
साखळी रेकॉर्ड,સાંધાનો વિક્રમ
चेनिंग,શેરો
ओव्हरफ्लो साखळी,છલકાઇને સાંકળ
साखळी शोध,શેરી શોધ
साखळी दुवा,સાંકળ કડી
साखळी देखभाल कार्यक्रम,સાંકળ જાળવણી કાર્યક્રમ
साखळी प्रिंटर,સાંકળ મુદ્રક
वर्ण बदला,પાત્ર બદલો
डंप बदला,બદલો ડમ્પ
फाईल बदला,ફાઈલ બદલો
रेकॉर्ड बदला,ફેરફાર
चिन्ह बदला,બદલો સંકેત
टेप बदला,ટેપ બદલો
चॅनल,માર્ગ
चॅनेल अ‍ॅडॉप्टर,ચેનલ એડેપ્ટર
चॅनेल पत्ता शब्द,ચેનલ સરનામું શબ્દ
चॅनेल-संलग्न,ચેનલ સાથે જોડાયેલું
चॅनेल-संलग्न स्टेशन,ચેનલ સાથે જોડાયેલ સ્ટેશન
चॅनेल बँक,ચુસ્ત બેંક
चॅनेल व्यस्त टोन,ચેનલ વ્યસ્ત સ્વર
चॅनेल क्षमता,નૈતિક ક્ષમતા
चॅनेल कमांड,ચેનલ આદેશ
चॅनेल कमांड शब्द,ચેનલ આદેશ શબ્દ
चॅनेल नियंत्रक,ચેનલ નિયંત્રક
चॅनेल नियंत्रण शब्द,ચેનલ નિયંત્રણ શબ્દ
चॅनेल डेटा,ચેનલ ડેટા
चॅनेल एंड,ચેનલ
चॅनेल त्रुटी,ચેનલ ભૂલ
चॅनेल विलंब,પ્રણાલી
चॅनेल मुखवटा,માસ્ક
चॅनेल ओव्हरलोड,ચેનલ
चॅनेल प्रिंटर,ચેનલ મુદ્રક
चॅनेल प्रोग्राम,માર્ગ -કાર્યક્રમ
चॅनेल प्रोग्राम भाषांतर,ચેનલ કાર્યક્રમ
चॅनेल रांग,ચેનલ
चॅनेल विश्वसनीयता,ચેનલ વિશ્વસનીયતા
चॅनेल सेवा युनिट,ચેનલ સેવા એકમ
चॅनेल सेट,ચેનલ સમૂહ
चॅनेल स्थिती शब्द,ચેનલ સ્થિતિ શબ્દ
चॅनेल सिंक्रोनाइझर,ચેનલ સુમેળ કરનાર
चॅनेल-टू-चॅनेल अ‍ॅडॉप्टर,ચેનલ થી ચેનલ એડેપ્ટર
वर्ण,પાત્ર
चारित्र्य पत्ता,પાત્ર
वर्ण व्यवस्था,વર્તનની વ્યવસ્થા
वर्ण असेंब्ली,પાત્ર વિધાનસભા
कॅरेक्टर-ए-ए-टाइम प्रिंटर,પાત્ર
वर्ण लुकलुक,પાત્ર ઝબકવું
वर्ण सीमा,અક્ષર -સીમા
वर्ण सेल,અક્ષર
वर्ण तपासणी,અક્ષર તપાસ
वर्ण कोड,પાત્ર સંહિતા
वर्ण संभोग,અક્ષર
वर्ण गर्दी,પાત્ર ભીડ
वर्ण डेटा प्रकार,પાત્ર ડેટા પ્રકાર
कॅरेक्टर-डिलीशन-कॅरेक्टर,અક્ષુક
चारित्र्य डिलिमीटर,ચારિત્ર્યશામક
वर्ण घनता,પાત્ર ઘનતા
वर्ण डिव्हाइस नियंत्रण,પાત્ર ઉપકરણ નિયંત્રણ
वर्ण प्रदर्शन डिव्हाइस,પાત્ર પ્રદર્શન ઉપકરણ
वर्ण प्रदर्शन टर्मिनल,પાત્ર પ્રદર્શન ટર્મિનલ
वर्ण धार,અક્ષર
वर्ण घटक,પાત્ર તત્વ
चारित्र्य एमिटर,પાત્ર ખરબચડી
वर्ण त्रुटी दर,પાત્ર ભૂલ દર
वर्ण अभिव्यक्ती,અક્ષરનું અભિવ્યક્તિ
वर्ण भरण,પાત્ર ભચવો
कॅरेक्टर फॉरमॅट मेमरी,પાત્ર બંધારણ
वर्ण जनरेटर,અક્ષર -જનરેટ
वर्ण माहिती दर,અક્ષર માહિતી દર
वर्ण सूचना,અક્ષર -સૂચના
वैशिष्ट्यपूर्ण,લાક્ષણિકતા
वैशिष्ट्यपूर्ण विकृती,લાક્ષણિકતા
वैशिष्ट्यपूर्ण प्रतिबिंब,લાક્ષણિકતા
वर्ण की,પાત્ર ચાવી
वर्ण म्हणजे एन्ट्रोपी,પાત્રનો અર્થ
वर्ण म्हणजे माहिती सामग्री = वर्ण म्हणजे एन्ट्रोपी),અક્ષર મીન માહિતી સામગ્રી = પાત્રનો અર્થ એન્ટ્રોપી)
वर्णभिमुख,પાત્ર
वर्ण बाह्यरेखा,અક્ષર - રૂપરેખા
वर्ण स्थिती,વીનાત સ્થિતિ
वर्ण प्रिंटर,પાત્ર મુદ્રક
वर्ण वाचक,પાત્ર વાચકો
वर्ण ओळख,પાત્ર માન્યતા
वर्ण संबंध,પાત્ર
वर्ण पंक्ती,અક્ષર -પંક્તિ
वर्ण संच,અક્ષર -સમૂહ
वर्ण आकार,અક્ષરનું કદ
चारित्र्य स्क्यू,પાત્ર
वर्ण स्ट्रिंग,અક્ષર -તાર
वर्ण स्ट्रिंग स्थिर,પાત્ર શબ્દમાળા
वर्ण स्ट्रोक,અક્ષર -સ્ટ્રોક
वर्ण शैली,અક્ષર શૈલી
वर्ण सबसेट,અક્ષરનો સબસેટ
वर्ण टेप,અક્ષર -ટેપ
चार्ट,ચાર્ટ
चार्ट बनविणे,ચાર્ટ બનાવટ
चार्ट रीडर,ચાર્ટ વાચક
चेसिस,ચેસિસ
चेसिस असेंब्ली,ચેસિસ સભા
चेबीशेव अंदाजे,ચેબીશેવ અંદાજ
बिट तपासा,તપાસવું
बस चेक करा,ચેક બસ
चेक कार्ड,ચેક કાર્ડ
वर्ण तपासा,તપાસનું અક્ષર
कोड तपासा,તપાસનો સંકેત
अट तपासा,તપાસની સ્થિતિ
निदान तपासा,ડાયગ્નોસ્ટિક તપાસો
अंक तपासा,અંકિત
निर्देशक तपासा,સૂચક સૂચક
निर्देशक सूचना तपासा,સૂચક સૂચના
तपासणी कार्यक्रम,કાર્યક્રમ
तपासणी तंत्र,તપાસની તકનીક
की तपासा,ચેક કી
चेक नंबर (= अंजी चेक),નંબર તપાસો (= અંકો તપાસો)
(= डीबग) पहा,તપાસો (= ડિબગ)
दिनचर्या पहा,રૂટિન તપાસો
चेक पॉईंट,ચેક પોઇન્ટ
बिंदू डेटा सेट तपासा,પોઇન્ટ ડેટા સેટ તપાસો
बिंदू डंप चेक करा,ચેક પોઇન્ટ ડમ્પ
बिंदू रेकॉर्ड चेक करा,ચેક પોઇન્ટ રેકોર્ડ
चेक पॉईंट रीस्टार्ट करा,ચેક પોઇન્ટ ફરીથી પ્રારંભ કરો
बिंदू दिनचर्या तपासा,નિત્યક્રમ તપાસો
पॉईंट सॉर्टिंग चेक करा,ચેક પોઇન્ટ સ ing ર્ટિંગ
समस्या तपासा,તપાસની સમસ્યા
नोंदणी करा,તપાસ -રજિસ્ટર
रीसेट की तपासा,રીસેટ કી તપાસો
दिनचर्या तपासा,દિનચર્યા
पंक्ती तपासा,પંક્તિ
समाधान तपासा,તપાસનો ઉકેલ
बेरीज तपासा,તપાસની રકમ
एकूण तपासा,કુલ તપાસ
शब्द तपासा,તપાસનો શબ્દ
मूल विभाग,બાળ -ક્ષેત્ર
चिनी बायनरी (स्तंभ बायनरी),ચાઇનીઝ દ્વિસંગી (સ્તંભ દ્વિસંગી)
चिप,ક chંગું
चिप कॅरियर,ચિપ વાહક
चिप मायक्रोप्रोसेसर,માઇક્રોપ્રોસેસર
चिप प्रक्रिया,ચિપ પ્રક્રિયા
चिप रजिस्टर आर्किटेक्चर,ચિપ રજિસ્ટર આર્કિટેક્ચર
चिप निवडा,ચિપ પસંદ કરો
निवड डिव्हाइस,પસંદગી -ઉપકરણ
सिफर,સંદિગ્ધતા
सिफर मजकूर (= एन्किफर्ड डेटा),સાઇફર ટેક્સ્ટ (= એન્કિફર્ડ ડેટા)
सर्किट,સરકીટ
सर्किट बोर्ड,સર્કિટ બોર્ડ
सर्किट ब्रेकर,ઘાતકી તોડનાર
सर्किट कार्ड,સરકીટ કાર્ડ
सर्किट ग्रेड,સરકીટ ગ્રેડ
सर्किट लोड,સરકીટ લોડ
सर्किट ऑर्डर,સરકીટ હુકમ
सर्किट विश्वसनीयता,સર્કિટની વિશ્વસનીયતા
सर्किट स्विच,સર્કિટ -સ્વિચ
सर्किट-स्विच कनेक्शन,સર્કિટ સ્વીચ જોડાણ
सर्किट स्विचिंग,સરકીટ ફેરબદલ
सर्किट स्विचिंग युनिट,સર્કિટ સ્વિચિંગ એકમ
सर्किट युनिट असेंब्ली,સરકીટ એકમ વિધાનસભા
परिपत्रक बफरिंग,ગોળ બફર
परिपत्रक यादी,ગોળ યાદી
परिपत्रक शिफ्ट,ગોળ પામી
प्रसारित नोंदणी,ફરતું રજિસ્ટર
प्रसारित स्टोरेज,ફરતું સંગ્રહ
उद्धरण,પ્રશંસાપત્ર
क्लेडिंग,આવરણ ચઢાવવુ
वर्ग,વર્ગ
वर्ग 5 कार्यालय,વર્ગ 5 office ફિસ
वर्ग अट,વર્ગની સ્થિતિ
वर्गीकरण,વર્ગીકરણ
साफसफाईचे ऑपरेशन,સફાઈ -કામગીરી
स्पष्ट,ચોખ્ખુ
स्पष्ट क्षेत्र,સ્પષ્ટ વિસ્તાર
क्लियर बँड (= स्पष्ट क्षेत्र,સ્પષ્ટ બેન્ડ (= સ્પષ્ટ ક્ષેત્ર
साफ चॅनेल,નિર્ભર માટા
माहिती पुसून टाका,માહિતી રદ્દ કરો
स्पष्ट प्रदर्शन,સ્પષ્ટ પ્રદર્શન
मेमरी साफ करा (= क्लियर स्टोरेज),મેમરી સાફ કરો (= સ્પષ્ટ સંગ્રહ)
स्पष्ट सत्र,સ્પષ્ટ સત્ર
साफ स्टोरेज,સંગ્રહ
क्लिपिंग,ક્લેઇપિંગ
घड्याळ,ઘડિયાળ
घड्याळ सर्किट,ઘડિયાળની સર્કિટ
घड्याळ काउंटर,ઘડિયાળ કાઉન્ટર
घड्याळ वारंवारता,ઘડિયાળ આવર્તન
क्लॉकिंग,ઘડિયાળ
घड्याळ व्यत्यय,ઘડિયાળ વિક્ષેપ
घड्याळ नाडी,ઘડિયાળની પલ્સ
घड्याळ दर,ઘડિયાળ દર
घड्याळ नोंदणी (= टाइमर),ઘડિયાળ રજિસ્ટર (= ટાઈમર)
घड्याळ सिग्नल,ઘડિયાળનો સંકેત
घड्याळ सिम्युलेशन,ઘડિયાળ સિમ્યુલેશન
घड्याळ वेळ,ઘડિયાળનો સમય
घड्याळ ट्रॅक,ઘડિયાળનો માર્ગ
वर्गीकरण बंद करा,નજીકનું વર્ગીકરણ
बंद अ‍ॅरे,બંધ એરે
बंद फाइल,બંધ ફાઈલ
बंद पळवाट,બંધ લૂપ
बंद लूप (नियंत्रण) प्रणाली,બંધ લૂપ (નિયંત્રણ) સિસ્ટમ
बंद दिनचर्या,દિનચર્યા
बंद दुकान ऑपरेशन,બંધ ઓપરેશન
बंद सबरूटिन,બંધ સુબ્રોઉટીન
बंद-वापरकर्ता गट,બંધનકર્તા જૂથ
जवळून जोडले,નજીકથી જોડાયેલ
टर्मिनल बंद करणे,ટર્મિનલ બંધ કરવું
फाईल बंद करणे,ફાઇલ બંધ કરવી
क्लस्टर,ઝગડો
क्लस्टर विश्लेषण,રંગદ્રવ
क्लस्टर कंट्रोलर,ક્લસ્ટર નિયંત્રક
क्लस्टर कंट्रोलर नोड,ક્લસ્ટર નિયંત્રક નોડ
क्लस्टर कंट्रोल युनिट,ક્લસ્ટર નિયંત્રણ એકમ
क्लस्टर केलेली फाईल,છીનવાઈ ગયેલી ફાઈલ
क्लस्टरिंग अल्गोरिदम,ગંલા
COELESCE,એકરૂપ થવું
कोटेड कार्ड,કોટેડ કાર્ડ
कोएक्सियल केबल,કો - એક્ષેલ કેબલ
कोबोल,એકસાળ
कोबोल कॅरेक्टर,કોબોલનું પાત્ર
कोबोल प्रोग्रामिंग,કોબોલ કાર્યક્રમ
कोडासिल,અવસાન
कोड,સંહિતા
कोड क्षेत्र,સંકેત -વિસ્તાર
कोड साखळी,સંકેત
कोड तपासणी,સંકેત -દરખાસ્ત
कोड केलेले अंकगणित डेटा,કોડેડ અંકગણિત ડેટા
कोडेड कॅरेक्टर सेट,કોડેડ પાત્ર સમૂહ
कोडेड कन्व्हर्टर,કોડેડ કન્વર્ટર
कोडित दशांश नोटेशन,કોડેડ દશાંશ સંકેત
कोड अवलंबून प्रणाली,આધારિત પદ્ધતિ
कोडित ग्राफिक्स,કોડેડ ગ્રાફિક્સ
कोडित प्रतिमा जागा,કોડેડ છબી
कोड डायरेक्टिंग कॅरेक्टर,સંકેત -પાત્ર
कोडेड प्रोग्राम,કોડેડ કાર્યક્રમ
कोड केलेले प्रतिनिधित्व,કોડેડ પ્રતિનિધિત્વ
कोड स्टॉप,કોડેડ સ્ટોપ
कोड घटक,સંકેત -તત્વ
कोड विस्तार वर्ण,સંહિતા
कोड फ्रेम,શબ્દભંડોળ
कोड होल,સંકેત -છિદ્ર
कोड-स्वतंत्र डेटा संप्रेषण,સ્વતંત્ર ડેટા સંદેશાવ્યવહાર
कोड-स्वतंत्र प्रणाली,સ્વતંત્ર પદ્ધતિ
कोड-असंवेदनशील प्रणाली (= कोड-इन-आश्रित  प्रणाली),કોડ-સંવેદનશીલ સિસ્ટમ (= કોડ-ઇન-આશ્રિત  સિસ્ટમ)
