Telugu,Bengali
అవినీతి,দুর্নীতিগ্রস্থ
అవినీతి,দুর্নীতি
అవినీతి సాధన,দুর্নীতিবাজ অনুশীলন
కాస్మోపాలిటన్ సిటీ,বিশ্বজনীন শহর
ధర,ব্যয়
ఖర్చు అకౌంటెంట్,খরচ হিসাবরক্ষক
వ్యయ విశ్లేషణ,খরচ বিশ্লেষণ
ఖర్చు పైకప్పు,ব্যয় সিলিং
వ్యయ ప్రభావం,ব্যয় কার্যকারিতা
జీవన వ్యయం,জীবনযাত্রার খরচ
ఖర్చును అధిగమిస్తుంది,ব্যয় ছাড়
కుటీర పరిశ్రమ,থরাইজেসহন
కౌన్సిల్,পরিষদ
మంత్రుల మండలి,মন্ত্রিপরিষদ
కౌన్సిల్ ఆఫ్ స్టేట్స్,রাজ্য কাউন্সিল
న్యాయవాది,পরামর্শ
కౌన్సెలింగ్,পরামর্শ
కౌంటర్,কাউন্টার
కౌంటర్ చర్య,কাউন্টার অ্যাকশন
కౌంటర్ అఫిడవిట్,কাউন্টার হলফনামা
కౌంటర్ ఛార్జ్,কাউন্টার চার্জ
కౌంటర్ దావా,পাল্টা দাবি
నకిలీ కరెన్సీ,জাল মুদ্রা
నకిలీ,জাল
కౌంటర్ ఫాయిల్,জালিয়াতি
కౌంటర్ ఆఫర్,পাল্টা প্রস্তাব
కౌంటర్సైన్,কাউন্টারসাইন
తిరుగుబాటు,অভ্যুত্থান
కూపన్,কুপন
కొరియర్,কুরিয়ার
కొరియర్ సేవ,কুরিয়ার সার্ভিস
కోర్సు,অবশ্যই
అధ్యయనం యొక్క కోర్సులు,অধ্যয়নের কোর্স
కోర్టు కేసు,আদালত মামলা
మర్యాద,শ্লীলতা
చిన్న కారణాల న్యాయస్థానం,ছোট কারণ আদালত
ఒడంబడిక,চুক্তি
కవర్,আবরণ
కవరేజ్,কভারেজ
కవరింగ్ లెటర్,চিঠি covering াকনা
కవరింగ్ మెమో,মেমো covering েকে রাখা
గమనిక,কভার নোট
క్రాష్ ప్రోగ్రామ్,ক্র্যাশ প্রোগ্রাম
క్రీము పొర,ক্রিমি স্তর
సృష్టి,সৃষ্টি
సృజనాత్మక,সৃজনশীল
సృజనాత్మకత,সৃজনশীলতা
క్రీచ్,ক্রেচে
క్రెడెన్షియల్స్ కమిట్,শংসাপত্র কমিটি
విశ్వసనీయత,বিশ্বাসযোগ্যতা
క్రెడిట్,ক্রেডিট
విశ్వసనీయమైనది,বিশ্বাসযোগ্য
క్రెడిట్ సలహా,ক্রেডিট পরামর্শ
క్రెడిట్ మరియు పొదుపు సమాజం,ক্রেডিট এবং থ্রিফ্ট সোসাইটি
క్రెడిట్ కార్డు,ক্রেডিট কার্ড
ఋణ వసతులు,ঋণ সুবিধা
క్రెడిట్ ఎంట్రీ,ক্রেডিট এন্ট্রি
క్రెడిట్ గమనిక,ক্রেডিট নোট
రుణదాత,পাওনাদার
శ్మశానవాటిక,শ্মশান
శ్మశానవాటిక గ్రౌండ్,শ্মশান স্থল
సిబ్బంది,নাবিকদল
నేరం,অপরাধ
నమ్మకంతో నేరస్థుడిని ఉల్లంఘించడం,বিশ্বাস লঙ্ঘন
క్రిమినల్ కోర్ట్,ফৌজদারি আদালত
నేర నిర్లక్ష్యం,অপরাধী অবহেলা
క్రిమినల్ నేరం,ফৌজদারি অপরাধ
క్రిమినల్ ప్రొసీజర్ కోడ్,ফৌজদারি কার্যবিধি কোড
సంక్షోభం,সংকট
సంక్షోభ నిర్వహణ,দুর্যোগ ব্যাবস্থাপনা
ప్రమాణం,মানদণ্ড
విమర్శ,সমালোচনা
క్రాస్,ক্রস
క్రాస్ బ్రీడ్,ক্রস ব্রিড
క్రాస్ చెకింగ్,ভুল চেক করা
క్రాస్డ్ చెక్,ক্রস চেক
క్రాస్ ఎగ్జామినేషన్,ক্রস পরীক্ষা
ఆధార సూచిక,প্রতিনির্দেশ
క్రాస్ ఓటింగ్,ক্রস ভোটদান
కీలకమైన తేదీ,গুরুত্বপূর্ণ তারিখ
ముడి,অপরিশোধিত
అపరాధ నరహత్య,দোষাবহ নরহত্যা
అపరాధి,অপরাধী
సాగు,চাষ
సాంస్కృతిక మార్పిడి కార్యక్రమం,সাংস্কৃতিক বিনিময় প্রোগ্রাম
సంచిత,ক্রমবর্ধমান
కరెన్సీ,মুদ্রা
ద్రవ్య మారకం,মুদ্রা বিনিময়
కరెన్సీ గమనిక,মুদ্রা নোট
ప్రస్తుత,কারেন্ট
వాడుక ఖాతా,চলতি হিসাব
ప్రస్తుత విధులు,বর্তমান কর্তব্য
ప్రస్తుత సెషన్,বর্তমান অধিবেশন
కరికులం విటే,জীবন বৃত্তান্ত
కర్లేట్,কার্টেল
సంరక్షకుడు,কাস্টোডিয়ান
కస్టడీ,হেফাজত
ఆచారం,কাস্টম
ఆచారం,কাস্টম
ఆచారం,গতানুগতিক
ఆచారం విధానం,প্রথাগত পদ্ধতি
కస్టమ్ డ్యూటీ,শুল্ক
కస్టమర్,ক্রেতা
కస్టమర్ ఫ్రెండ్లీ,গ্রাহক বান্ধব
అనుకూల పరీక్ష,কাস্টম পরীক্ষা
కత్తిరించండి,কেটে ফেলা
కట్ మోషన్,কাটা গতি
తేదీని కత్తిరించండి,তারিখ কাটা
చక్రం,সাইকেল
రోజువారీ,প্রতিদিন
రోజువారీ భత్యం,দৈনিক ভাতা
రోజువారీ డైరీ,দৈনিক ডায়েরি
రోజువారీ రిజిస్టర్,দৈনিক নিবন্ধন
రోజువారీ నివేదిక,দৈনিক প্রতিবেদন
దినచర్య,প্রাত্যহিক কাজ
రోజువారీ వేతనాలు,দৈনিক মজুরি
డాక్ స్టేజ్,ডাক স্টেজ
డాక్ ట్రే,ডাক ট্রে
నష్టం,ক্ষতি
నష్టాలు,ক্ষতি
ప్రమాదకరమైనది,বিপজ্জনক
ధైర్యం,সাহসী
సమాచారం,ডেটা
డేటా బ్యాంక్,ডাটা
డేటా బేస్,তথ্যশালা
వివరాల సేకరణ,তথ্য সংগ্রহ
డేటా దాణా,ডেটা খাওয়ানো
డేటా ప్రాసెసింగ్,তথ্য প্রক্রিয়াজাতকরণ
తేదీ,তারিখ
రాక తేదీ,পৌছানোর তারিখ
పుట్టిన తేది,জন্ম তারিখ
బయలుదేరే తేదీ,বহির্গমনের তারিখ
ఉత్సర్గ తేదీ,স্রাবের তারিখ
పరిపక్వత తేదీ,পরিপক্কতার তারিখ
రశీదు తేదీ,প্রাপ্তির তারিখ
తేదీ స్టాంప్,তারিখ স্ট্যাম্প
రోజు పండితుడు,দিন পণ্ডিত
డే షిఫ్ట్,দিন শিফট
దయ యొక్క రోజులు,অনুগ্রহের দিন
రోజు నుండి రోజు పని,প্রতিদিনের কাজ
డెడ్ ఖాతా,মৃত অ্যাকাউন্ট
గడువు,শেষ তারিখ
డెడ్లాక్,অচলাবস্থা
డెడ్ స్టాక్ రిజిస్టర్,মৃত স্টক রেজিস্টার
చనిపోయిన బరువు,মৃত ওজন
ఒప్పందం,ডিল
వ్యవహార సహాయకుడు,সহকারী ডিলিং
వ్యవహారం,ডিলিং
మరణ వార్షికోత్సవం,মৃত্যু বার্ষিকী
ప్రియమైన భత్యం,মহার্ঘ ভাতা
మరణ ప్రయోజనం,মৃত্যুর সুবিধা
డెత్-కమ్-రిటైర్మెంట్ గ్రాట్యుటీ,মৃত্যু-কাম-অবসর গ্রহণের গ্র্যাচুয়িটি
సేవలో మరణం,সেবায় মৃত্যু
Deauthorizatioin,Deauthorizatioin
డెబార్,দেবর
డెబిట్,ডেবিট
డెబిట్ సలహా,ডেবিট পরামর্শ
అప్పు,Debt ণ
రుణ నిర్వహణ,Debt ণ ব্যবস্থাপনা
రుణగ్రహీత,Deb ণগ্রহীতা
మరణించిన,মৃত
మర్యాద,শালীনতা
వికేంద్రీకరణ,বিকেন্দ্রীকরণ
నిర్ణయాత్మక కారకం,সিদ্ধান্ত ফ্যাক্টর
నిర్ణయం,সিদ্ধান্ত
నిర్ణయం తీసుకోవడం,সিদ্ধান্ত গ্রহণ
నిర్ణయం తీసుకునే ప్రక్రియ,সিদ্ধান্ত গ্রহণ প্রক্রিয়া
ప్రకటన,ঘোষণা
ఆదాయ ప్రకటన,আয়ের ঘোষণা
ప్రకటించిన విలువ,ঘোষিত মান
ప్రమాణం చేయండి,শপথ ঘোষণা
డీకోడ్,ডিকোড
డీకోంట్రోల్,ডিকন্ট্রোল
డెకోరం,সজ্জা
తగ్గుదల,হ্রাস
డిక్రీ,ডিক্রি
అంకితం,উত্সর্গ
మినహాయింపు,বাদ
మినహాయింపు,ছাড়
మూలం వద్ద మినహాయింపు,উত্স এ ছাড়
జీతం నుండి మినహాయింపు,বেতন থেকে ছাড়
దస్తావేజు,কাজ
తనఖా యొక్క దస్తావేజు,বন্ধকের দলিল
డీమ్డ్ విశ్వవిద్యాలయం,গণ্য বিশ্ববিদ্যালয়
Deface,ডিফেস
వాస్తవ,ডি ফ্যাক্টো
డీప్లేషన్,ডিফলেশন
పరువు నష్టం,মানহানি
డిఫాల్ట్,ডিফল্ট
డిఫాల్టర్,খেলাপি
లోపభూయిష్ట,ত্রুটিযুক্ত
రక్షణ,প্রতিরক্ষা
రక్షణ న్యాయవాది,প্রতিরক্ষা পরামর্শ
రక్షణ ఉత్పత్తి,প্রতিরক্ষা উত্পাদন
ప్రతివాది,প্রতিবাদী
వాయిదా వేయండి,স্থগিত
వాయిదా వేసిన వ్యయం,স্থগিত ব্যয়
ధిక్కరణ,ডিফায়েন্স
లోటు,ঘাটতি
లోటు బడ్జెట్,ঘাটতি বাজেট
నిర్వచించండి,সংজ্ঞায়িত
ధిక్కరించండి,অস্বীকার করুন
క్షీణత,অবক্ষয়
డిగ్రీ,ডিগ্রি
Dejure,দেজুরে
ఆలస్యం,বিলম্ব
ప్రతినిధి,প্রতিনিধি
అప్పగించిన అధికారం,প্রতিনিধি কর্তৃপক্ষ
ప్రతినిధి బృందం,প্রতিনিধি
అధికారాల ప్రతినిధి బృందం,ক্ষমতার প্রতিনিধি
తొలగించు,মুছে ফেলা
తొలగింపు,মুছে ফেলা
ఉద్దేశపూర్వకంగా,ভেবেচিন্তে
చర్చ,আলোচনা
రుచికరమైన,ডেলিসেন্সিং
డీలిమిటేషన్,সীমানা
బట్వాడా,বিতরণ
డెలివరీ,বিতরণ
డిమాండ్,চাহিদা
డిమాండ్ గమనిక,চাহিদা নোট
సరిహద్దు,সীমানা
డెమి-అఫీషియల్,ডেমি-সরকারী
ప్రజాస్వామ్యం,গণতন্ত্র
ప్రదర్శన,প্রদর্শন
అవమానం,ডিমোরালাইজেশন
డెమరేజ్,ডেমিউরেজ
తిరస్కరణ,অস্বীকার
విలువ కలిగిన,ডিনোমিনেশন
డి నోవో,ডি নভো
తిరస్కరించండి,অস্বীকার
బయలుదేరండి,প্রস্থান
విభాగం,বিভাগ
డిపార్ట్‌మెంటల్,বিভাগীয়
డిపార్ట్‌మెంటల్ చర్య,বিভাগীয় ক্রিয়া
డిపార్ట్‌మెంటల్ ఎంక్వైరీ,বিভাগীয় তদন্ত
విభాగ దర్యాప్తు,বিভাগীয় তদন্ত
డిపార్ట్‌మెంటల్ అవకతవకలు,বিভাগীয় অনিয়ম
డిపార్ట్‌మెంటల్ లైబ్రరీ,বিভাগীয় গ্রন্থাগার
విభాగ నిర్లక్ష్యం,বিভাগীয় অবহেলা
విభాగ అనుమతి,বিভাগীয় অনুমতি
డిపార్ట్‌మెంటల్ క్వాలిఫైయింగ్ ఎగ్జామినేషన్,বিভাগীয় যোগ্যতা পরীক্ষা
నిష్క్రమణ,প্রস্থান
డిపెండెన్సీ సర్టిఫికేట్,নির্ভরতা শংসাপত্র
ఆధారపడి ఉంటుంది,নির্ভরশীল
ఆధారపడిన పిల్లలు,নির্ভরযোগ্য শিশু
మోహరించేందుకు,মোতায়েন
డిపోనెంట్,ডিপেন্টেন্ট
బహిష్కరణ,নির্বাসন
డిసెజ్,ডিপোজ
డిపాజిట్,আমানত
డిపో,ডিপো
తరుగుదల,অবচয়
అణగారిన తరగతి,হতাশ শ্রেণি
కోల్పోతారు,বঞ্চিত
డిప్యుటేషన్,ডেপুটেশন
డిప్యుటేషన్ భత్యం,ডেপুটেশন ভাতা
డిప్యూటీ,সহকারী
పునర్నిర్మించబడింది,নিয়ন্ত্রিত
విధి యొక్క విడదీయడం,দায়িত্ব পালনে অবহেলা
డెజర్వేషన్,Ereveration
అవమానకరమైన,অবমাননা
అవమానకరమైన,অবমাননাকর
అవమానకరమైన వ్యాఖ్య,অবমাননাকর মন্তব্য
వారసుడు,বংশোদ্ভূত
వివరణ,বর্ণনা
అర్హమైనది,যোগ্য
రూపకల్పన,নকশা
నియమించండి,মনোনীত
హోదా,উপাধি
డెస్పాచ్,প্রেরণ
డెస్పాచ్ నోట్,প্রাণবধ নোট
డెస్పాచ్ రిజిస్టర్,প্রেরণ নিবন্ধ
గమ్యం,গন্তব্য
నిరాశ్రయుల,নিঃস্ব
వివరాలు,বিশদ
వివరంగా,বিশদ
గుర్తించడం,সনাক্ত করুন
నిర్బంధ,আটক
డిటెనూ,ডিটেনু
సంకల్పం,সংকল্প
నిరోధం,বাধা
హాని,ক্ষতি
హానికరం,ক্ষতিকারক
విలువ తగ్గింపు,অবমূল্যায়ন
వినాశనం,ধ্বংস
అభివృద్ధి,উন্নয়ন
విడదీయండి,বিচ্যুত
పరికరం,যন্ত্র
భక్తి,ভক্তি
రోగ నిర్ధారణ,নির্ণয়
రేఖాచిత్రం,চিত্র
డైరీ,ডায়েরি
డిక్టేషన్,ডিক্টেশন
చనిపోతుంది,মারা যায় না
ఆహారం,ডায়েট
డైజెస్ట్,পরিপাক করা
గౌరవప్రదమైన,মর্যাদাপূর্ণ
గౌరవం,মর্যাদা
డైగ్రెషన్,ডিগ্রেশন
డైలేటరీ,Dilatory
సందిగ్ధత,দ্বিধা
శ్రద్ధ,পরিশ্রমী
పరిమాణం,মাত্রা
డిప్లొమా,ডিপ্লোমা
దౌత్యం,কূটনীতি
దౌత్య రోగనిరోధక శక్తి,কূটনৈতিক অনাক্রম্যতা
డైరెక్ట్,সরাসরি
ప్రత్యక్ష పోటీ,সরাসরি প্রতিযোগিতা
ప్రత్యక్ష ఇంటర్వ్యూ,সরাসরি সাক্ষাত্কার
దిశ,অভিমুখ
డైరెక్టరీ,ডিরেক্টরি
ప్రత్యక్ష నియామకం,সরাসরি নিয়োগ
అనుమతించవద్దు,অস্বীকার করুন
వైకల్యం,অক্ষমতা
వికలాంగుడు,প্রতিবন্ধী ব্যক্তি
డిసేబుల్మెంట్ ప్రయోజనం,অক্ষম সুবিধা
ప్రతికూలత,অসুবিধা
అంగీకరించలేదు,একমত
అనుమతించబడలేదు,অস্বীকার করা
నిరాకరణ,অস্বীকৃতি
విపత్తు,বিপর্যয়
విపత్తూ నిర్వహణ,দুর্যোগ ব্যবস্থাপনা
రద్దు,ডিসব্যান্ড
పంపిణీ,বিতরণ
విస్మరించండి,বাতিল করা
ఉత్సర్గ,স্রাব
ఉత్సర్గ స్లిప్,স্রাব স্লিপ
క్రమశిక్షణా చర్య,শাস্তিমূলক ব্যবস্থা
క్రమశిక్షణా విధానం,শৃঙ্খলাবদ্ধ পদ্ধতি
క్రమశిక్షణ,শৃঙ্খলা
నిరాకరణ,অস্বীকার করুন
బహిర్గతం,প্রকাশ
అసంతృప్తి,অসন্তুষ্টি
నిలిపివేత,বিচ্ছিন্নতা
నిలిపివేయండి,বন্ধ করুন
అసమ్మతి,মতবিরোধ
డిస్కౌంట్,ছাড়
కనుగొనండి,আবিষ্কার
అపఖ్యాతి,কুখ্যাত
వ్యత్యాసం,তাত্পর্য
అభీష్టానుసారం,বিচক্ষণতা
విచక్షణ మంజూరు,বিচক্ষণ অনুদান
విచక్షణ శక్తి,বিবেচনামূলক ক্ষমতা
వివక్ష,বৈষম্য
చర్చ,আলোচনা
నిజాయితీ,অসাধু
అవమానం,অসম্মান
విచ్ఛిన్నం,বিভাজন
డిస్క్,ডিস্ক
తొలగుట,স্থানচ্যুতি
నమ్మకద్రోహం,অসাধু
రద్దుచేసే,বরখাস্ত
తొలగింపు,বরখাস্ত
తొలగింపు విధానం,বরখাস্ত পদ্ধতি
అవిధేయత,অমান্য
రుగ్మత,ব্যাধি
అస్తవ్యస్తత,বিশৃঙ্খলা
అసమానత,বৈষম্য
డిస్పాచ్ విభాగం,প্রেরণ বিভাগ
పంపిణీ చేయదగినది,বিতরণযোগ্য
చెదరగొట్టండి,ছড়িয়ে ছিটিয়ে
స్థానభ్రంశం,বাস্তুচ্যুত
ప్రదర్శన,প্রদর্শন
అసంతృప్తి,অসন্তুষ্টি
పారవేయడం,নিষ্পত্তি
పారవేసేందుకు,নিষ্পত্তি
స్థానభ్రంశం,স্বভাব
తొలగింపు,নিষ্পত্তি
వివాదం,বিতর্ক
అనర్హత,অযোগ্যতা
విస్మరించండి,উপেক্ষা
అంతరాయం,ভাঙ্গন
అసంతృప్తి,অসন্তুষ্টি
అసమ్మతి,মতবিরোধ
అపచారం,বিপর্যয়
డిసోసియేట్,বিচ্ছিন্ন
రద్దు,দ্রবীভূত
కరిగించండి,দ্রবীভূত
దూరవిద్య,দূর শিক্ষন
డిస్టిలరీ,ডিস্টিলি
విభిన్న,স্বতন্ত্র
వేరు,পার্থক্য
వక్రీకరణ,বিকৃতি
బాధ,সঙ্কট
పంపిణీ,বিতরণ
పంపిణీ,বিতরণ
జిల్లా,জেলা
జిల్లా కేంద్రం,জেলা কেন্দ্র
భంగం,ঝামেলা
డిట్టో,ডিট্টো
మళ్లింపు,ডাইভার্সন
డివిడెండ్,লভ্যাংশ
విభజన,বিভাগ
విడాకులు,বিবাহবিচ্ছেদ
డాకెట్,ডকেট
వైద్యుడు,ডাক্তার
పత్రం,নথি
డాక్యుమెంటరీ సాక్ష్యం,দালিলিক প্রমাণ
డాక్యుమెంటేషన్,ডকুমেন্টেশন
నివాసం,আবাস
నివాస ధృవీకరణ పత్రం,আবাসিক শংসাপত্র
ఆధిపత్యం,প্রভাবশালী
విరాళం,অনুদান
డోసియర్,ডসিয়ার
సందేహాస్పదంగా,সন্দেহজনক
డోవ్ టైలింగ్,ডোভ টেলিং
డౌన్ గ్రేడ్,ডাউন গ্রেড
ముసాయిదా,খসড়া
ముసాయిదా ప్రత్యుత్తరం,খসড়া উত্তর
తీవ్రమైన కొలత,কঠোর পরিমাপ
డ్రా,অঙ্কন
డ్రాయర్,ড্রয়ার
డ్రాయింగ్,অঙ্কন
కరువు,খরা
పొడి ప్రమోషన్,শুকনো প্রচার
ద్వంద్వ ఛార్జ్,দ্বৈত চার্জ
ద్వంద్వ పౌరసత్వం,দ্বৈত নাগরিকত্ব
గడువు,বাকি
తగిన శ్రద్ధ,যথাযথ পরিশ্রম
బకాయిలు,বকেয়া
సరిగా,যথাযথভাবে
నకిలీ,নকল
వ్యవధి,সময়কাল
డ్యూరెస్,ডুরেস
విధి,ডিউটি
విధి భత్యం,শুল্ক ভাতা
డ్యూటీ చార్ట్,ডিউটি ​​চার্ট
డ్యూటీ సెలవు,শুল্ক ছুটি
డ్యూటీ రూమ్,ডিউটি ​​রুম
డైయింగ్ డిక్లరేషన్,মারা যাওয়ার ঘোষণা
డైనమిక్స్,গতিশীলতা
కేటాయింపు,ইয়ারমার্ক
సంపాదించిన సెలవు,অর্জিত ছুটি
ఆదాయాలు,উপার্জন
పర్యావరణ అనుకూలమైనది,পরিবেশ বান্ধব
ఎకాలజీ,বাস্তুশাস্ত্র
ఆర్థిక,অর্থনৈতিক
ఆర్థిక దోపిడీ,অর্থনৈতিক শোষণ
ఆర్థిక వ్యవస్థ,অর্থনীতি
ఎకానమీ తరగతి,অর্থনীতি শ্রেণি
ఎడిటింగ్,সম্পাদনা
ఎడిషన్,সংস্করণ
సంపాదకీయం,সম্পাদকীয়
చదువు,শিক্ষা
విద్యా వృత్తి,শিক্ষামূলক ক্যারিয়ার
ఎడ్యుకేషనల్ ఇన్స్టిట్యూట్,শিক্ষা প্রতিষ্ঠান
అర్హతలు,শিক্ষাগত যোগ্যতা
ప్రభావం,প্রভাব
ప్రభావవంతమైనది,কার্যকর
ప్రభావవంతమైన తేదీ,কার্যকর দিন
ప్రభావాలు,প্রভাব
సమర్థత,কার্যকারিতা
సామర్థ్యం,দক্ষতা
సమర్థవంతమైనది,দক্ষ
ఎజెక్ట్మెంట్,বহিষ্কার
విస్తృతమైన,বিস্তৃত
సాపేక్ష,Elapse
ఎన్నుకోబడిన ప్రతినిధి,নির্বাচিত প্রতিনিধি
ఎన్నికల,নির্বাচন
ఎలక్టోరల్ కాలేజీ,নির্বাচনী কলেজ
ఓటర్లు,ভোটার
విద్యుదీకరణ,বিদ্যুতায়ন
ఎలక్ట్రానిక్ మీడియా,ইলেকট্রনিক মিডিয়া
ప్రాథమిక,প্রাথমিক
అర్హత,যোগ্যতা
అర్హత పరీక్ష,যোগ্যতা পরীক্ষা
ఎలిమినేషన్,নির্মূল
వాగ్ధాటి,স্পষ্টতা
ఇబ్బంది,বিব্রত করা
అపహరణ,আত্মসাৎ
చిహ్నం,প্রতীক
ఎంబోసింగ్ సీల్,এমবসিং সিল
అత్యవసర పరిస్థితి,জরুরী
అత్యవసర ఉపశమనం,জরুরী ত্রাণ
ఎమర్జెంట్,জরুরী
వలస,অভিবাসন
ఎమోల్యూమెంట్స్,ইমোলমেন্টস
ఎంపానెల్మెంట్,এম্প্যানেলমেন্ট
సానుభూతిగల,সহমর্মিতা
ఉద్యోగం,নিয়োগ
ఉద్యోగి,কর্মচারী
ఉద్యోగుల భాగస్వామ్యం,কর্মচারী অংশগ্রহণ
ఉద్యోగి సహకారం,কর্মচারীর অবদান
ఉద్యోగి యొక్క ప్రావిడెంట్ ఫండ్,কর্মচারীর প্রভিডেন্ট ফান্ড
యజమాని,নিয়োগকর্তা
ఉపాధి,কর্মসংস্থান
ఉపాధి మార్పిడి,কর্মসংস্থান বিনিময়
ఉపాధి నోటీసు,কর্মসংস্থান বিজ্ঞপ্তি
ఉపాధి కార్యాలయం,কর্মসংস্থান অফিস
సాధికారత,ক্ষমতায়ন
సాధికారత,ক্ষমতায়ন
అమలు,আইন
చట్టం,আইন
ఎన్ బ్లాక్,সব একসাথে
ENCASH,এনক্যাশ
పరివేష్టిత,ঘিরা
ప్రోత్సాహం,উত্সাহ
ఆక్రమణ,সীমালঙ্ঘন
ఎన్‌కంబ్రాన్స్,Encumbrance
ఎండోర్స్,অনুমোদন করা
ఎండోమెంట్,এন্ডোমেন্ট
ముగింపు ఉత్పత్తి,শেষ পণ্য
శక్తి,শক্তি
అమలు,প্রয়োগ
నిమగ్నమవ్వండి,জড়িত
మెరుగుదల,বর্ধন
ఆంథ్యం,নির্দেশ দিন
ఎన్ మాస్సే,En মাস
విచారణ,অনুসন্ধান
నమోదు,তালিকাভুক্ত
నమోదు (= నమోదు),তালিকাভুক্তি (= তালিকাভুক্তি)
నమోదు సంఖ్య,তালিকাভুক্তি নম্বর
దారిలో,Enroute
తరువాత,আগত
నిర్ధారించడానికి,নিশ্চিত করা
నమోదు చేయండి,প্রবেশ করুন
ఎంటర్ప్రైజ్,এন্টারপ্রাইজ
వినోదం,বিনোদন
వినోదం,বিনোদন
అర్హత,এনটাইটেল
అర్హత,অধিকারী
అర్హత,এনটাইটেলমেন্ট
ప్రవేశం,প্রবেশদ্বার
ప్రవేశం,প্রবেশকারী
ప్రవేశం,প্রবেশ
ప్రవేశ స్థాయి ఉద్యోగం,অনভিজ্ঞ স্তরের চাকরি
గణన,গণনা
పర్యావరణం,পরিবেশ
రాయబారి,দূত
అంటువ్యాధి,মহামারী
ఎపిటోమ్,এপিটোম
సమానత్వం,সমতা
సమతౌల్య,ভারসাম্য
పరికరాలు,সরঞ্জাম
ఈక్విటీ,ইক্যুইটি
సమానం,সমতুল্য
సమస్యాత్మక,সমতুল্য
నిర్మూలించేందుకు,নির্মূল
లోపటా,এরতা
లోపం,ত্রুটি
ఎస్కలేషన్,ক্রমবর্ধমান
ఎస్కార్ట్,এসকর্ট
అవసరం,অপরিহার্য
స్థాపన,প্রতিষ্ঠা
అంచనా,অনুমান
అంచనా ఖర్చు,আনুমানিক খরচ
నీతి,নীতিশাস্ত্র
మర్యాద,শিষ্টাচার
తరలింపు,অপসারণ
తప్పించుకుంటుంది,এড়ানো
మూల్యాంకనం,মূল্যায়ন
సరి సంఖ్య,জোড় সংখ্যা
చివరికి,শেষ
తొలగింపు,উচ্ছেদ
సాక్ష్యం,প্রমান
పరిణామం,বিবর্তিত
ఖచ్చితమైనది,ঠিক
పరీక్ష,পরীক্ষা
ఎగ్జామినే,পরীক্ষা
ఎగ్జామినర్,পরীক্ষক
ఉదాహరణ,উদাহরণ
తవ్వకం,খনন
అద్భుతమైన,দুর্দান্ত
మినహాయింపు,ব্যতিক্রম
అసాధారణమైనది,ব্যতিক্রমী
అదనపు,অতিরিক্ত
మార్పిడి,বিনিময়
ఖజానా,এক্সিকিউয়ার
ఎక్సైజ్ (= ఎక్సైజ్ డ్యూటీ),আবগারি (= আবগারি শুল্ক)
మినహాయించండి,বাদ দিন
ప్రత్యేకమైనది,এক্সক্লুসিভ
సాకు,ক্ষমা
అమలు చేయండి,এক্সিকিউট
ఎగ్జిక్యూటివ్,কার্যনির্বাহী
కార్య నిర్వాహక కమిటీ,কার্যনির্বাহী কমিটি
ఎగ్జిక్యూటివ్ పవర్,নির্বাহী ক্ষমতা
ఎగ్జిక్యూటివ్స్,এক্সিকিউটিভস
ఎగ్జిక్యూటివ్ సిబ్బంది,এক্সিকিউটিভ স্টাফ
మినహాయింపు,ছাড়
మినహాయింపు,ছাড়
వ్యాయామం,অনুশীলন
మాజీ గ్రాటియా,প্রাক্তন গ্র্যাটিয়া
మాజీ గ్రాటియా చెల్లింపు,প্রাক্তন গ্রেটিয়া পেমেন্ট
ఎగ్జాస్ట్,নিষ্কাশন
సమగ్ర,সম্পূর্ণ
ప్రదర్శన,প্রদর্শন
బహిర్గతం,এক্সিজেন্সি
ఎక్సిమ్ పాలసీ,এক্সিম নীতি
బయటకి దారి,প্রস্থান
నిష్క్రమణ ఇంటర్వ్యూ,প্রস্থান সাক্ষাত্কার
నిష్క్రమణ విధానం,প্রস্থান নীতি
ఎగ్జిట్ పోల్,প্রস্থান জরিপ
మాజీ ఉద్యోగి,পদাধিকারবলে
ఎక్సోనెరేట్,বহিষ্কার
విస్తరణ,সম্প্রসারণ
మాజీ పార్టే,প্রাক্তন অংশ
బహిష్కరణ,প্রবাসী
ప్రయోజనకరమైన,সমীচীন
వేగవంతం చేయండి,ত্বরান্বিত করা
బహిర్గతం,বহিষ্কার করা
వ్యయం,ব্যয়
అనుభవం,অভিজ্ঞতা
ప్రయోగం,পরীক্ষা
నిపుణుడు,বিশেষজ্ঞ
గడువు,মেয়াদোত্তীর্ণ
గడువు తీరు తేదీ,মেয়াদোত্তীর্ণ তারিখ
వివరణ,ব্যাখ্যা
స్పష్టంగా,স্পষ্ট
దోపిడీ,শোষণ
అన్వేషించండి,অন্বেষণ
పేలుడు,বিস্ফোরণ
ఎగుమతి,রফতানি
మాజీ పోస్ట్ వాస్తవం,প্রাক্তন পোস্ট ফ্যাক্টো
ఎక్స్‌ప్రెస్,প্রকাশ করা
వ్యక్తీకరణ,অভিব্যক্তি
బహిష్కరణ,তাড়ানো
ఎక్స్‌క్గెన్స్,প্রসারণ
విస్తరించండి,প্রসারিত করা
విస్తృతమైన,ব্যাপ্তি
బాహ్య,বাহ্যিক
దోపిడీ,চাঁদাবাজি
అదనపు,অতিরিক্ত
సారం,নির্যাস
అసాధారణ,অসাধারণ
విపరీత,অসংযত
ఉగ్రవాది,চরমপন্থী
