Malayalam,Marathi
ഹൈഡ്രോഫിലിക് കൊളോയിഡ്,हायड्रोफिलिक कोलाइड
ഹൈഡ്രോഫോബിക് കൊളോയിഡ്,हायड्रोफोबिक कोलाइड
ഹൈഡ്രോസ്റ്റാറ്റിക് മർദ്ദം അനുപാതം,हायड्रोस्टॅटिक दाब प्रमाण
ഹൈഗ്രോസ്കാപ്റ്റിക് ഗുണകം,हायग्रोस्केप्टिक गुणांक
ഹൈഗ്രോസ്കോപ്പിക് ഈർപ്പം,हायग्रोस्कोपिक ओलावा
ഹൈഡ്രോസ്കോപ്പിസിറ്റി,हायड्रोस्कोपीसिटी
ഹൈഗ്രോസ്കോപ്പിക് ഈർപ്പം,हायग्रोस्कोपिक ओलावा
ഹൈപ്പർബാറിക് ചേംബർ,हायपरबेरिक चेंबर
ഹൈപ്പർസ്റ്റാറ്റിക് ഫ്രെയിം,हायपरस्टॅटिक फ्रेम
ഹൈപ്സോമീറ്റർ,हायपोमीटर
പ്രകാശം,रोषणाई
ഇംബിബേഷൻ ഈർപ്പം,इबिबेशन ओलावा
പാകമാകാത്ത മണ്ണ്,अपरिपक्व माती
പിടിച്ചെടുത്ത ഡോക്ക്,जप्त डॉक
ഭൂമിയുടെ വരുമാനം വർദ്ധിപ്പിക്കുക,जमीन महसुलात वाढ
സ്വതന്ത്ര സ്കാർഫോൾഡ്,स्वतंत्र मचान
ഇൻഡുറേറ്റഡ്,इन्ड्युरेटेड
പ്രാരംഭ പ്രിസ്ട്രെസ്,प्रारंभिक prestress
പ്രാരംഭ ടെൻഷൻ,सुरुवातीचा ताण
ഉൾനാടൻ ജലപാത തുറമുഖം,अंतर्देशीय जलमार्ग बंदर
ഇൻസുലേറ്റിംഗ് ബോർഡ്,इन्सुलेट बोर्ड
ഇന്റർമീഡിയറ്റ് പോർട്ട്,मध्यवर्ती बंदर
ആന്തരിക ഘർഷണം,अंतर्गत घर्षण
ഇൻട്രാസോണൽ മണ്ണ്,इंट्राझोनल माती
അയോൺ,आयन
അയോൺ എക്സ്ചേഞ്ച്,आयन एक्सचेंज
ഇരുമ്പ് പാൻ,लोखंडी तवा
ജലസേചന ഭൂമി,बागायती जमीन
ജലസേചനം,सिंचन
ജലസേചന സെസ്,सिंचन उपकर
ജാംബ്,जांब
ജോഗിൾ,धडपडणे
ജോഗിൾ പിൻ,जॉगल पिन
ജൂൾ,जौल
ജമ്പർ,जम्पर
കിലോഗ്രാം,किलोग्रॅम
കിലോഗ്രാം ശക്തി,किलोग्राम बल
കിലോഗ്രാം ഫോഴ്സ് മീറ്റർ,किलोग्राम फोर्स मीटर
കിലോവാട്ട് മണിക്കൂർ,किलोवॅट तास
രാജാവ് അടച്ചുപൂട്ടൽ,राजा बंद
അടുക്കള,स्वयंपाकघर
ലേസ്ഡ് കോളം,लेस केलेला स्तंभ
ലാഗിംഗ്,मागे पडणे
ലാമെല്ല റൂട്ട്,लॅमेला रूट
ലാമിനാർ ഒഴുക്ക്,पातळ थरांचा बनवलेला प्रवाह
വിളക്ക് ദ്വാരം,दिवा भोक
ഭൂമി ശേഖരിക്കൽ,जमीन संवर्धन
ലാൻഡ് സ്ലൈഡിംഗ്,लँड स्लाइडिंग
ലാറ്ററൈറ്റ്,लॅटराइट
ലാറ്ററൈറ്റ് മണ്ണ്,लॅटराइट माती
വലിയ സംഖ്യകളുടെ നിയമം,मोठ्या संख्येचा कायदा
ലേഔട്ട് പ്ലാൻ,लेआउट योजना
ലെഡ്ജർ,लेजर
നാരങ്ങ പാൻ,चुना पॅन
ലിന്റൽ,लिंटेल
ദ്രാവക പരിധി,द्रव मर्यादा
ലൈവ് ലോഡ്,थेट भार
പശിമരാശി,चिकणमाती
പ്രാദേശിക എക്‌സ്‌ഹോസ്റ്റ് വെന്റിലേഷൻ,स्थानिक एक्झॉस्ट वेंटिलेशन
ലോക്കോ യാർഡ്,लोको यार्ड
ലോസ്,लॉस
കുറഞ്ഞ പ്ലാസ്റ്റിക് പരിധി,कमी प्लास्टिक मर्यादा
കുറഞ്ഞ ചൂട് സിമന്റ്,कमी उष्णता सिमेंट
മെഷീൻ മോൾഡിംഗ്,मशीन मोल्डिंग
മാക്രോസ്ട്രക്ചർ,मॅक्रोस्ट्रक्चर
പ്രധാന ഹെഡ് റെഗുലേറ്റർ,मुख्य हेड रेग्युलेटर
പ്രധാന തുറമുഖം,मुख्य बंदर
മേക്കപ്പ് എയർ,मेकअप हवा
മാൻസാർഡ്,मॅनसार्ड
മാർഷലിംഗ് യാർഡ്,मार्शलिंग यार्ड
കൊത്തുപണി,दगडी बांधकाम
പക്വത താപനില,परिपक्व तापमान
മെസാനൈൻ തറ,मेझानाइन मजला
മെക്കാനിക്കൽ വിശകലനം,यांत्रिक विश्लेषण
മെക്കാനിക്കൽ വെന്റിലേഷൻ,यांत्रिक वायुवीजन
മെട്രിക് സിസ്റ്റം,मेट्रिक प्रणाली
മൈക്രോസ്ട്രക്ചർ,मायक्रोस्ट्रक्चर
മില്ലി തുല്യം,मिली समतुल्य
ഒരു ലിറ്ററിന് തുല്യമായ മില്ലി,मिली समतुल्य प्रति लिटर
ധാതു,खनिज
ധാതു മണ്ണ്,खनिज माती
ചെറിയ തുറമുഖം,किरकोळ बंदर
മിട്രഡ് ക്ലോഷർ,Mitred बंद
മൊബൈൽ മണ്ണ് കൊളോയിഡ്,मोबाइल माती कोलाइड
ഈർപ്പത്തിന്റെ ഉള്ളടക്കം,आर्द्रतेचा अंश
ഈർപ്പം ഗ്രേഡിയന്റ്,ओलावा ग्रेडियंट
മോണോലിത്ത്,मोनोलिथ
മോണോറെയിൽ,मोनोरेल
നാഷണൽ ഹാർബർ കൗൺസിൽ,राष्ट्रीय बंदर परिषद
സ്വാഭാവിക കിടക്ക,नैसर्गिक पलंग
സ്വാഭാവിക ഫിനിഷ്,नैसर्गिक समाप्त
സ്വാഭാവിക തുറമുഖം,नैसर्गिक बंदर
സ്വാഭാവിക വെന്റിലേഷൻ,नैसर्गिक वायुवीजन
നാവിക തുറമുഖം,नौदल बंदर
ന്യൂട്ടൺ,न्यूटन
ഏകീകൃതമല്ലാത്ത ഒഴുക്ക്,एकसमान प्रवाह नसतो
ജലനിരക്ക് ഉൾക്കൊള്ളുന്നു,पाण्याचा दर व्यापतो
ഓയിൽ പെയിന്റ്,तेल रंग
എണ്ണ കിണർ സിമന്റ്,तेल विहीर सिमेंट
ചാനൽ ഫ്ലോ തുറക്കുക,चॅनेल प्रवाह उघडा
ഒപ്റ്റിമൽ ഈർപ്പം,इष्टतम ओलावा
ജൈവ മണ്ണ്,सेंद्रिय माती
ഓറിയന്റേഷൻ,अभिमुखता
ഓർത്തോഗണൽ,ऑर्थोगोनल
ഒർട്ട്സ്റ്റീൻ,ऑर्टस्टीन
ബാഹ്യ സിഗ്നൽ,बाह्य सिग्नल
ഓക്സിഡേഷൻ,ऑक्सिडेशन
കലവറ,पँट्री
പാരപെറ്റ്,पॅरापेट
പാരപെറ്റ് മതിൽ,पॅरापेट भिंत
പാരന്റ് മെറ്റീരിയൽ,पालक साहित्य
പെബിൾ കാസ്റ്റ് പ്ലാസ്റ്റർ,पेबल कास्ट प्लास्टर
പെഡൽഫർ,पेडलफर
പെഡോക്കൽ,पेडोकल
പെഡോജെനിസിസ്,पेडोजेनेसिस
പെഡോളജി,पेडॉलॉजी
പെഡോസ്ഫിയർ,पेडोस्फियर
പെനെട്രോമീറ്റർ,पेनेट्रोमीटर
പെന്റ് മേൽക്കൂര,पेन्ट छत
പെപ്റ്റിസിംഗ് ഏജന്റ്,पेप्टायझिंग एजंट
വിശകലന കാലയളവ്,विश्लेषण कालावधी
പെർപെൻഡ്,पर्पेंड
പെർസോർപ്ഷൻ,शोषण
പിയർ,घाट
പിലാസ്റ്റർ,पिलास्टर
പിച്ച്,खेळपट्टी
പിച്ചിട്ട മേൽക്കൂര,खड्डे पडलेले छत
പ്ലെയിൻ കോൺക്രീറ്റ്,साधा काँक्रीट
തലം ആംഗിൾ,विमान कोन
സമതല മുറ്റം,साधे अंगण
പ്ലാൻസോൾ,प्लॅनसोल
പ്ലാസ്റ്റിക് സ്ഥിരത,प्लास्टिकची सुसंगतता
പ്ലാസ്റ്റിറ്റി,प्लॅस्टिकिटी
പ്ലാസ്റ്റിറ്റി സൂചിക,प्लॅस्टिकिटी निर्देशांक
പ്ലാസ്റ്റിറ്റി പരിധി,प्लॅस्टिकिटी मर्यादा
പ്ലാസ്റ്റിറ്റി ശ്രേണി,प्लॅस्टिकिटी श्रेणी
പ്ലാറ്റി ഘടന,प्लेट रचना
സ്തംഭം,प्लिंथ
ഉഴുതുമണ്ണ്,नांगरलेली माती
പ്ലം കല്ല്,मनुका दगड
പോഡ്സോൾ,पॉडझोल
ചൂണ്ടിക്കാണിക്കുന്നു,पॉइंटिंग
ബഹുഭുജ മതിൽ,बहुभुज भिंत
പോർ സ്പേസ്,छिद्र जागा
തുറമുഖം,बंदर
പോസിറ്റീവ് വെന്റിലേഷൻ,सकारात्मक वायुवीजन
പുൽമേടുള്ള മണ്ണ്,प्रेयरी माती
കൃത്യത,सुस्पष्टता
പ്രാഥമിക കണിക,प्राथमिक कण
പ്രിസ്മാറ്റിക് ഘടന,प्रिझमॅटिक रचना
ഉൽപ്പാദനപരമായ ജോലി,उत्पादक कार्य
പദ്ധതിയുടെ ന്യായീകരണം,प्रकल्पाचे औचित्य
സംരക്ഷണ പ്രവർത്തനം,संरक्षणात्मक कार्य
കപട-മൈസീലിയം,स्यूडो-मायसेलियम
പുഡിൽ,डबके
പഗ്ഗിംഗ്,पगिंग
പ്യൂമിസ്,प्युमिस
പഞ്ച്യോൺ,पंचन
പാവ,कठपुतळी
പുട്ട്ലോഗ്,पुटलॉग
പുട്ട്ലോഗ് സ്കാർഫോൾഡ്,पुटलॉग मचान
അളവ് തൂക്ക നിരീക്ഷകൻ,सामग्री सर्वेक्षक
ക്വാറി സ്രവം,खणाचा रस
കടവ,क्वे
രാജ്ഞി അടച്ചുപൂട്ടൽ,राणी बंद
ക്വോയിൻ,Quoin
റാഫ്റ്റ് അടിത്തറ,तराफा पाया
റാക്കർ,राकर
റാക്കിംഗ്,रेकिंग
റാക്കിംഗ് ബോണ്ട്,रॅकिंग बाँड
റാക്കിംഗ് ഫ്ലാഷിംഗ്,Raking फ्लॅशिंग
അതിവേഗം മാറിക്കൊണ്ടിരിക്കുന്ന ഒഴുക്ക്,वेगाने बदलणारा प्रवाह
വീണ്ടെടുക്കാവുന്ന പേയ്മെന്റ്,वसूल करण्यायोग्य पेमेंट
ചുവന്ന ഭൂമി,लाल पृथ्वी
ചുവന്ന പശിമരാശി,लाल चिकणमाती
റെഗുലേറ്റർ,नियामक
റെഗുർ അല്ലെങ്കിൽ കറുത്ത പരുത്തി മണ്ണ്,रेगुर किंवा काळी कापूस माती
തിരിച്ചടവ് കരാർ,परतफेड करार
ശേഷിക്കുന്ന ചുരുങ്ങൽ,अवशिष्ट संकोचन
ശേഷിക്കുന്ന മണ്ണ്,अवशिष्ट माती
വെളിപ്പെടുത്തുക,प्रकट करा
പിൻ വെളിപ്പെടുത്തുക,पिन प्रकट करा
സമനില വെളിപ്പെടുത്തുക,टाय प्रकट करा
റിഡ്ജ്,रिज
റിഡ്ജ് ക്യാപ്പിംഗ്,रिज कॅपिंग
നദി,नदी
റോഡ് സ്റ്റെഡ്,रस्ता स्थिर
പരുക്കൻ പ്ലാസ്റ്റർ,खडबडीत मलम
അവശിഷ്ടങ്ങൾ,ढिगारा
അവശിഷ്ടങ്ങൾ,भंगार दगडी बांधकाम
അവശിഷ്ടങ്ങൾ ചുവരുകൾ,कचऱ्याची भिंत
റണ്ണിംഗ് മെഷർമെന്റ്,चालू मोजमाप
സുരക്ഷിതമായ വഹിക്കാനുള്ള ശേഷി,सुरक्षित पत्करण्याची क्षमता
ഉപ്പ് ഗ്ലേസ്,मीठ ग्लेझ
സാമ്പിൾ വലിപ്പം,नमुन्याचा आकार
സാമ്പിൾ വിതരണം,नमुना वितरण
സാമ്പിൾ പിശക്,नमुना त्रुटी
മണല്,वाळू
സാൻഡ് ഫിനിഷ്,वाळू समाप्त
മണൽ കൈ മോൾഡിംഗ്,वाळू हात मोल्डिंग
സാൻഡിംഗ്,सँडिंग
പൂരിത മണ്ണ്,संतृप्त माती
പൂരിത മണ്ണ് പേസ്റ്റ്,संतृप्त माती पेस्ट
സാച്ചുറേഷൻ എക്സ്ട്രാക്റ്റ്,संपृक्तता अर्क
സാച്ചുറേഷൻ ശതമാനം,संपृक्तता टक्केवारी
സോസർ ഡോം,बशी घुमट
സ്കാർഫോൾഡ്,मचान
ഷിസ്റ്റ്,शिस्ट
കടൽ തുറമുഖം,सागरी बंदर
രഹസ്യ ഗട്ടർ,गुप्त गटार
രണ്ടാമത്,दुसरा
സെഡിമെന്റേഷൻ വിശകലനം,अवसादन विश्लेषण
അർദ്ധ കൃത്രിമ തുറമുഖം,अर्ध-कृत्रिम बंदर
സെമി ടൈഡൽ ഡോക്ക്,अर्ध भरतीची गोदी
സെനൈൽ,वृद्ध
ഷെയ്ൽ,शेल
ഷീറ്റ് കൂമ്പാരം,पत्र्याचा ढीग
ചുരുങ്ങൽ പരിധി,संकोचन मर्यादा
ഷട്ടറിംഗ്,शटरिंग
സിയാലിറ്റിക് മണ്ണ്,सियालिटिक माती
സീറോസെം,सिएरोझेम
സിൽ,खिंडी
ചെളി,गाळ
ഏക മാംസ രക്തം,सिंगल फ्लेमिश रक्त
ഒറ്റ തരി ഘടന,एकल दाणेदार रचना
എല്ലിൻറെ മണ്ണ്,कंकाल माती
സ്കിർട്ടിംഗ്,स्कर्टिंग
സ്ലീപ്പർ മതിൽ,स्लीपर भिंत
സൈഡ് ഗട്ടർ,बाजूचे गटर
സ്ലൈഡ് നിയമം,स्लाइड नियम
സ്ലിപ്പ് ഡോക്ക്,स्लिप डॉक
സ്മോനിസ,स्मोनिझा
കുതിർക്കുന്നു,भिजवणे
മണ്ണ് അസോസിയേഷൻ,मातीचा सहवास
മണ്ണ് ക്ലാസ്,माती वर्ग
മണ്ണിന്റെ സമുച്ചയം,माती कॉम्प्लेक्स
മണ്ണിന്റെ സ്ഥിരത,मातीची सुसंगतता
മണ്ണിന്റെ കുടുംബം,माती कुटुंब
മണ്ണ് ഫ്രെയിം വർക്ക്,मातीच्या चौकटीचे काम
മണ്ണിലെ ഈർപ്പം,माती ओलावा
മണ്ണിലെ ഈർപ്പം ശേഖരിക്കൽ,जमिनीतील ओलावा वाढणे
മണ്ണിന്റെ ഈർപ്പം കുറവ്,जमिनीतील आर्द्रतेची कमतरता
മണ്ണിന്റെ രൂപഘടന,माती आकारविज्ञान
മണ്ണിന്റെ കണിക,मातीचा कण
മണ്ണിന്റെ ഘട്ടം,मातीचा टप्पा
മണ്ണിന്റെ പ്രൊഫൈൽ,माती प्रोफाइल
മണ്ണിന്റെ പ്രതികരണം,मातीची प्रतिक्रिया
മണ്ണ് വേർതിരിക്കുന്നു,माती वेगळी होते
മണ്ണ് പരമ്പര,माती मालिका
മണ്ണ് പരിഹാരം,माती समाधान
മണ്ണിന്റെ ഘടന,मातीची रचना
മണ്ണിന്റെ ഘടന,मातीचा पोत
മണ്ണിന്റെ തരം,मातीचा प्रकार
സോലം,सोलम
സോർപ്ഷൻ,वर्गीकरण
സ്പാൾസ്,spalls
പ്രത്യേക അയോൺ പ്രഭാവം,विशिष्ट आयन प्रभाव
ചതുരാകൃതിയിലുള്ള പാടശേഖരം,स्क्वेअर कोर्स्ड रबल चिनाई
ചതുരാകൃതിയിലുള്ള പതിവ് കോഴ്‌സ് ചെയ്ത അവശിഷ്ടങ്ങൾ,चौरस नियमित कोर्स्ड मलबा दगडी बांधकाम
സ്ഥിരതയുള്ള ഒഴുക്ക്,स्थिर प्रवाह
സ്റ്റെപ്പ് ഫ്ലാഷിംഗ്,स्टेप्ड फ्लॅशिंग
ഒട്ടിപ്പിടിക്കുക,चिकटपणा
സ്റ്റിക്കിംഗ് പോയിന്റ്,स्टिकिंग पॉइंट
കല്ല്,दगड
സ്ലോപ്പ് ഹാൻഡ് മോൾഡിംഗ്,स्लॉप हात मोल्डिंग
സ്ട്രാപ്പ് ഹിഞ്ച്,पट्टा बिजागर
വൈക്കോൽ ബോർഡ്,स्ट्रॉ बोर्ड
ധാര,प्रवाह
സമ്മർദ്ദം,ताण
സ്ട്രെച്ചർ,स्ट्रेचर
സ്ട്രെച്ചർ ബോണ്ട്,स्ट्रेचर बाँड
സ്ട്രെച്ചർ കോഴ്സ്,स्ट्रेचर कोर्स
സ്ട്രിംഗ്,स्ट्रिंग
സ്ട്രിംഗ് കോഴ്സ്,स्ट्रिंग कोर्स
ഘടന ഘടകം,रचना घटक
ഘടനാ സൂചിക,रचना निर्देशांक
സ്റ്റക്കോ,स्टुको
സ്റ്റഡ്,स्टड
സ്റ്റൈലോബേറ്റ്,स्टायलोबेट
ഉപ മണ്ണ്,पोट माती
ഉപ ഘടന,उप रचना
സമ്മേഷൻ വക്രം,बेरीज वक्र
സൺ മൈക്ക,सूर्य अभ्रक
സൂപ്പർ ഘടന,सुपर रचना
സർവേയർ,सर्वेक्षक
എസ്-മൂല്യം,एस-मूल्य
കൊള്ളമുതൽ,स्वॅग
സ്വാൻ കഴുത്ത്,हंस मान
കൂടാരം,तंबू
ടേബിൾ ഹാൻഡ് മോൾഡിംഗ്,टेबल हँड मोल्डिंग
ടാങ്കിംഗ്,टँकिंग
ടെമ്പിയറ്റോ,टेम्पिएट्टो
ടെമ്പറിംഗ്,टेंपरिंग
ടെംപ്ലേറ്റ്,साचा
ടെംപ്ലേറ്റ്,साचा
ടെപ്പിഡാരിയം,Tepidarium
ടെറാക്കോട്ട,टेराकोटा
ടെറ റോസ,टेरा रोझा
ടെറാസോ,टेराझो
ടെട്ര ശൈലി,टेट्रा शैली
പരിധി പരിധി മൂല്യം,थ्रेशोल्ड मर्यादा मूल्य
തൊണ്ട,घसा
കല്ലിലൂടെ,दगडातून
ടൈഡൽ ബേസിൻ,भरतीचे खोरे
ടൈ ബാർ,टाई बार
ബീം കെട്ടുക,टाय बीम
വടി കെട്ടുക,टाय रॉड
ടയർ,तीर्स
സഹിഷ്ണുത,सहिष्णुता
പല്ലുവേദന,दात काढणे
മുകളിലെ മണ്ണ് അല്ലെങ്കിൽ ഉപരിതല മണ്ണ്,वरची माती किंवा पृष्ठभागाची माती
ആകെ പൊറോസിറ്റി,एकूण सच्छिद्रता
ട്രേസറി,ट्रेसरी
ട്രെയിൻ പ്രതിരോധം,ट्रेन प्रतिकार
ട്രാൻസെപ്റ്റ്,ट्रान्सेप्ट
പരിവർത്തന മണ്ണ്,संक्रमणकालीन माती
ട്രാൻസോം,ट्रान्सम
മണ്ണ് ഗതാഗതം,वाहतूक माती
പോഷകനദി,उपनदी
ട്രിഫോറിയം,ट्रायफोरियम
ട്രൈഗ്ലിഫ്,ट्रायग्लिफ
വെട്ടിച്ചുരുക്കിയ മണ്ണ്,कापलेली माती
പ്രക്ഷുബ്ധമായ ഒഴുക്ക്,अशांत प्रवाह
ടററ്റ്,बुर्ज
ടൈംപാർ നമ്പർ,Tympar संख्या
ആത്യന്തികമായി വഹിക്കാനുള്ള ശേഷി,अंतिम पत्करण्याची क्षमता
ആത്യന്തിക പിഎച്ച്,अंतिम पीएच
ക്രമരഹിതമായ റാൻഡം അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ,uncoursed यादृच्छिक भंगार दगडी बांधकाम
കോഴ്‌സ് ചെയ്യാത്ത ചതുരാകൃതിയിലുള്ള അവശിഷ്ടങ്ങൾ,Uncoursed स्क्वेअर मलबे दगडी बांधकाम
അണ്ടർക്രോഫ്റ്റ്,अंडरक्रॉफ्ट
നിറയാത്ത സുഷിരം,अपूर्ण सच्छिद्रता
ഏകീകൃത ഒഴുക്ക്,एकसमान प्रवाह
യൂണിറ്റ് ഫ്രെയിം തരം സ്കാർഫോൾഡ്,युनिट फ्रेम प्रकार मचान
ഉൽപ്പാദനക്ഷമമല്ലാത്ത ജോലി,अनुत्पादक काम
അപൂരിത മണ്ണ്,असंतृप्त माती
അസ്ഥിരമായ ഒഴുക്ക്,अस्थिर प्रवाह
മുകളിലെ പ്ലാസ്റ്റിക് പരിധി,वरची प्लास्टिक मर्यादा
താഴ്വര ഗട്ടർ,दरी गटर
നിലവറ,तिजोरी
വെറ്റേറിയം,व्हेटेरिअम
വെന്റിലേഷൻ,वायुवीजन
വെന്റിലേറ്റർ,व्हेंटिलेटर
വരംദഹ്,वरमदाह
വെസ്റ്റിബ്യൂൾ,वेस्टिब्युल
വില്ല,व्हिला
