Punjabi,Malayalam
ਪੈਸਿਵ ਹਿੱਸਾ,നിഷ്ക്രിയ ഭാഗം
ਚੁੱਪ ਸਥਾਨ,നിശബ്ദ സ്ഥലം
ਡੀ ਬ੍ਰਾਗਲੀ ਤਰੰਗ-ਲੰਬਾਈ,ഡി ബ്രാഗ്ലി തരംഗദൈർഘ്യം
Debye ਵਿਸ਼ੇਸ਼ਤਾ ਦਾ ਤਾਪਮਾਨ,Debye സ്വഭാവ താപനില
"ਡੇਬੀ ਲੰਬਾਈ, ਡੇਬਾਈ ਦੂਰੀ","ഡെബൈ നീളം, ഡെബി ദൂരം"
ਕਰਜ਼ਾ-ਵਿਰਾਮ,കടം-അവധി
ਸੜਨ,ക്ഷയം
ਸੜਨ ਸੂਚਕਾਂਕ,ശോഷണ സൂചിക
ਪਤਲਾ,നേർപ്പിക്കുന്ന
ਪਿੱਛੇ ਹਟਣਾ,മന്ദബുദ്ധി
ਵਿਰਾਮ ਸਮਾਂ,സമയം താൽക്കാലികമായി നിർത്തുക
ਡੈਸੀਬਲ,ഡെസിബെൽ
ਡੈਸੀਬੇਲੋਮੀਟਰ,ഡെസിബെലോമീറ്റർ
"ਦਸ਼ਮਲਵ, ਦਸ਼ਮਲਵ","ദശാംശം, ദശാംശം"
ਵਰਗੀਕਰਨ,വർഗ്ഗീകരണം
"ਉਥਲ-ਪੁਥਲ, ਇਨਕਲਾਬ, ਉੱਦਮ, ਪਤਨ","പ്രക്ഷോഭം, വിപ്ലവം, ഏറ്റെടുക്കൽ, തകർച്ച"
isometric ਚੱਕਰ,ഐസോമെട്രിക് സർക്കിൾ
ਡੀਕੋਡਰ,ഡീകോഡർ
"ਸੜਨ, ਭੰਗ","വിഘടനം, പിരിച്ചുവിടൽ"
decompression,ഡീകംപ്രഷൻ
ਗੰਦਗੀ,അണുവിമുക്തമാക്കൽ
ਸਜਾਵਟ,അലങ്കാരം
ਸੰਜੋਗ,സംയോജനം
ਘਟਾਉਣ ਵਾਲਾ ਫੰਕਸ਼ਨ,പ്രവർത്തനം കുറയുന്നു
ਮੌਸਮ,കാലാവസ്ഥ
ਉਲੰਘਣਾ,ലംഘനം
ਸਬਫਲੋਰ,സബ്ഫ്ലോർ
ਡੂੰਘੀ ਸਪੇਸ,ആഴമുള്ള സ്ഥലം
ਵਿਉਤਪੱਤੀ,വ്യുൽപ്പന്നം
"ਨੁਕਸ, ਗਲਤੀ, ਨੁਕਸਾਨ, ਕਮੀ","വൈകല്യം, പിശക്, ക്ഷതം, കുറവ്"
ਗਲਤ,തെറ്റായ
ਇਮਿਊਨਿਟੀ,പ്രതിരോധശേഷി
ਸੀਮਾ ਦਰਵਾਜ਼ਾ,ലിമിറ്റർ വാതിൽ
"ਪਰਿਭਾਸ਼ਾ, ਸਪਸ਼ਟਤਾ, ਦ੍ਰਿੜ੍ਹਤਾ","നിർവചനം, വ്യക്തത"
ਉਲਟਾਉਣਾ,വ്യതിചലിപ്പിക്കുക
ਡਿਫਲੈਕਟਰ,deflector
"ਭਟਕਣਾ, ਭਟਕਣਾ","വ്യതിചലനം, വ്യതിചലനം"
ਖਰਾਬ ਫੋਕਸ,ഡിഫ്ലെക്റ്റീവ് ഫോക്കസ്
deflection-doublet mirror,വ്യതിചലനം-ഇരട്ട കണ്ണാടി
ਡਿਫਲੈਕਸ਼ਨ ਜ਼ੋਨ,വ്യതിചലന മേഖല
ਗੁਰੂਤਾ-ਪ੍ਰਭਾਵਿਤ ਵਿਘਨ,ഗുരുത്വാകർഷണം ബാധിച്ച വ്യതിചലനം
ਸੰਖੇਪ ਪਲੇਟਾਂ,ചുരുക്കെഴുത്ത് പ്ലേറ്റുകൾ
ਫੋਕਸ,ശ്രദ്ധ കേന്ദ്രീകരിക്കുക
ਵਿਕਾਰ,വൈകല്യം
"ਵਿਗਾੜ, ਵਿਗਾੜ","വക്രീകരണം, വക്രീകരണം"
ਵਿਗਾਸਨ,വിഗാസൺ
"debauchery, debauchery","ധിക്കാരം, ധിക്കാരം"
"ਅਪਵਿੱਤਰ ਹੋਣਾ (ਵਰ.), ਅਪਮਾਨਿਤ (ਐਨ.), ਘਟੀਆ (ਵੀ.)","അശുദ്ധമാക്കുക (ver.), തരംതാഴ്ത്തുക (n.), തരംതാഴ്ത്തപ്പെടുക (v.)"
ਗੈਸ ਦੀ ਰਹਿੰਦ,മാലിന്യ വാതകം
"aberration, aphasia, deprivation, deprivation","വ്യതിചലനം, അഫാസിയ, ഇല്ലായ്മ, ഇല്ലായ്മ"
ਸੰਤੁਸ਼ਟੀਜਨਕ,സന്തോഷിപ്പിക്കുന്നത്
"ਡਿਗਰੀ, ਡਿਗਰੀ, ਵਿਸ਼ਾਲਤਾ, ਡਿਗਰੀ, ਡਿਗਰੀ, ਮਾਤਰਾ, ਅੰਕ","ബിരുദം, ബിരുദം, മാഗ്നിറ്റ്യൂഡ്, ഡിഗ്രി, ഡിഗ്രി, അളവ്, ന്യൂമറേറ്റർ"
ਇਕਾਗਰਤਾ-ਆਵਾਜ਼,ഏകാഗ്രത-വോളിയം
ਵਿਭਾਜਨ ਮਾਤਰਾ,ഡിസോസിയേഷൻ അളവ്
ਆਜ਼ਾਦੀ ਦੀ ਡਿਗਰੀ. ਆਜ਼ਾਦੀ ਦੀ ਡਿਗਰੀ,സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം. സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം
ionization ਦੀ ਮਾਤਰਾ,അയോണൈസേഷന്റെ അളവ്
ਧਰੁਵੀਕਰਨ ਦੀ ਤੀਬਰਤਾ,ധ്രുവീകരണത്തിന്റെ വ്യാപ്തി
ਸ਼ੁੱਧਤਾ ਦੀ ਮਾਤਰਾ,കൃത്യതയുടെ അളവ്
dehumidification,dehumidification
ਡੀਓਨਾਈਜ਼ੇਸ਼ਨ,ഡീയോണൈസേഷൻ
ਦੇਰੀ,കാലതാമസം
ਦੇਰੀ ਨਾਲ,വൈകി
ਸਥਾਨੀਕਰਨ,പ്രാദേശികവൽക്കരണം
ਡੈਲਟਾ ਫੰਕਸ਼ਨ,ഡെൽറ്റ പ്രവർത്തനം
demagnetization,demagnetization
demagnetized ਕਰਵ,demagnetized curve
demagnetizer,demagnetizer
demodulation,demodulation
ਸੰਘਣੀ ਭੀੜ,ഇടതൂർന്ന തിരക്ക്
ਘਣਤਾ ਗੇਜ,സാന്ദ്രത ഗേജ്
"ਘਣਤਾ, ਘਣਤਾ","സാന്ദ്രത, സാന്ദ്രത"
ਘਟਾਓ ਪੱਧਰ,മൂല്യത്തകർച്ച നില
ਡਿਪਲੇਸ਼ਨ ਜ਼ੋਨ,ശോഷണ മേഖല
depolarization,ഡിപോളറൈസേഷൻ
depolarized,ഡിപോളറൈസ്ഡ്
ਡੀਪੋਲਰਾਈਜ਼ਰ,ഡിപോളറൈസർ
"ਖੇਤਰ ਦੀ ਡੂੰਘਾਈ, ਖੇਤਰ ਦੀ ਤੀਬਰਤਾ","ഫീൽഡിന്റെ ആഴം, ഫീൽഡിന്റെ തീവ്രത"
"derived polarogram, derived polarogram","ഉരുത്തിരിഞ്ഞ പോളറോഗ്രാം, ഉരുത്തിരിഞ്ഞ ധ്രുവഗ്രാം"
ਲਿਆ ਗਿਆ,ഉരുത്തിരിഞ്ഞത്
"ਉਤਰਦਾ, ਉਤਰਦਾ","ഇറക്കം, ഇറക്കം"
"ਵੰਸ਼, ਉਤਰਾਧਿਕਾਰੀ","ഇറക്കം, ഇറക്കം"
"ਵਰਣਨ ਕਰੋ, ਬਣਾਓ, ਖਿੱਚੋ","വിവരിക്കുക, നിർമ്മിക്കുക, വരയ്ക്കുക"
ਭਾਅ,ഡിനോമിനേറ്റർ
"ਡਿਜ਼ਾਈਨ ਕਰਨਾ, ਡਿਜ਼ਾਈਨ ਕਰਨਾ (n.) ਡਿਜ਼ਾਈਨ ਕਰਨਾ, ਡਿਜ਼ਾਈਨ ਕਰਨਾ (n.)","രൂപകൽപ്പന ചെയ്യാൻ, രൂപകൽപ്പന ചെയ്യാൻ (n.) രൂപകൽപ്പന ചെയ്യാൻ, രൂപകൽപ്പന ചെയ്യാൻ (n.)"
ਤਬਾਹੀ,നാശം
ਵਿਨਾਸ਼ਕਾਰੀ ਦਖਲਅੰਦਾਜ਼ੀ,വിനാശകരമായ ഇടപെടൽ
"ਵਿਨਾਸ਼ਕਾਰੀ, ਵਿਨਾਸ਼ਕਾਰੀ","വിനാശകരമായ, വിനാശകരമായ"
"ਪਛਾਣ, ਖੋਜ","തിരിച്ചറിയൽ, കണ്ടെത്തൽ"
ਕੁਲੈਕਟਰ,കളക്ടർ
ਨਿਰਧਾਰਨਵਾਦ,നിർണായകവാദം
ਨਿਰਧਾਰਕ,നിർണ്ണയിക്കുന്നയാൾ
ਨਿਰਧਾਰਨ,ദൃഢനിശ്ചയം
ਨਿਰਧਾਰਤ ਕਰਨ ਲਈ,നിർണ്ണയിക്കാൻ
ਨਿਰਧਾਰਿਤ,നിശ്ചയിച്ചു
ਡਿਊਟਰੋਨ,ഡ്യൂറ്ററോൺ
"ਪ੍ਰਗਟ, ਵਿਕਾਸ, ਵਿਕਾਸ","പ്രകടിപ്പിക്കുക, വികസിപ്പിക്കുക, വികസിപ്പിക്കുക"
"ਵਿਕਾਸਕਾਰ, ਵਿਕਾਸਕਾਰ","ഡെവലപ്പർ, ഡെവലപ്പർ"
"ਵਿਕਾਸ, ਵਿਕਾਸ","വികസനം, വികസനം"
ਭਟਕਣਾ,വ്യതിയാനം
ਤ੍ਰੇਲ,മഞ്ഞു
ਤ੍ਰੇਲ ਬਿੰਦੂ,മഞ്ഞു പോയിന്റ്
ਦੱਖਣੀ ਪੋਲਰਾਈਜ਼ਰ,ദക്ഷിണ ധ്രുവീകരണം
ਡਾਇਗਨੌਸਟਿਕ ਟੈਸਟ,ഡയഗ്നോസ്റ്റിക് ടെസ്റ്റ്
ਵਿਕਰਣ,ഡയഗണൽ
ਚਿੱਤਰ,ഡയഗ്രം
ਚਿੱਤਰ,ഡയഗ്രം
ਡਾਇਲ,ഡയൽ ചെയ്യുക
ਡਾਇਮੈਗਨੈਟਿਕ,ഡയമാഗ്നറ്റിക്
"ਡਾਇਮੈਗਨੇਟੋਲੋਜੀ, ਡਾਇਮੈਗਨੈਟਿਕ ਸਮੱਗਰੀ","ഡയമാഗ്നറ്റോളജി, ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ"
diamagnetism,ഡയമാഗ്നെറ്റിസം
ਵਿਆਸ,വ്യാസം
ਵਿਆਸ ਦੇ ਉਲਟ,വിപരീതമായി
"ਹੀਰਾ, ਹੀਰਾ","വജ്രം, വജ്രം"
ਡਾਇਆਫ੍ਰਾਮ ਡਾਇਆਫ੍ਰਾਮ,"ഡയഫ്രം, ഡയഫ്രം"
ਗਰਮੀ ਐਕਸਚੇਂਜ,ചൂട് എക്സ്ചേഞ്ച്
ਗਰਮੀ ਐਕਸਚੇਂਜ,ചൂട് എക്സ്ചേഞ്ച്
"diatonic swaragram, diatonic swaragram","ഡയറ്റോണിക് സ്വരഗ്രാം, ഡയറ്റോണിക് സ്വരഗ്രാം"
"ਵਿਭਾਜਨ, ਅਰਧ-ਕਲਾ","വിഭജനം, അർദ്ധകല"
dichromate ਸੈੱਲ,ഡൈക്രോമേറ്റ് സെൽ
"ਦੁਚਿੱਤੀ, ਵਿਜ਼ੂਅਲ ਡਿਕੋਟੋਮੀ, ਲੈਵਲ ਡਿਕੋਟੋਮੀ","ദ്വിമുഖം, വിഷ്വൽ ദ്വിമുഖം, ലെവൽ ദ്വിമുഖം"
ਡਿਕਟਾਫੋਨ,ഡിക്ടഫോൺ
ਡਾਇਲੈਕਟ੍ਰਿਕ,വൈദ്യുതചാലകം
ਡਾਇਲੈਕਟ੍ਰਿਕਸ,വൈദ്യുതചാലകങ്ങൾ
ਡੀਜ਼ਲ ਚੱਕਰ,ഡീസൽ സൈക്കിൾ
ਪਾੜਾ,വിടവ്
"ਡਿਫਰੈਂਸ਼ੀਅਲ ਫ੍ਰੀਕੁਐਂਸੀ, ਡਿਵੀਏਸ਼ਨ ਬਾਰੰਬਾਰਤਾ","ഡിഫറൻഷ്യൽ ഫ്രീക്വൻസി, വ്യവകലന ആവൃത്തി"
"ਅੰਤਰ, ਅੰਤਰ, ਅੰਤਰ, ਅੰਤਰ, ਅੰਤਰ, ਅੰਤਰ","വ്യത്യസ്‌ത, വ്യത്യസ്‌ത, വ്യത്യസ്‌ത, വ്യത്യസ്‌ത, ഇന്റർസ്റ്റീഷ്യൽ, ഡിഫറൻഷ്യൽ"
ਵਿਭਿੰਨ ਸਮਾਈ,ഡിഫറൻഷ്യൽ ആഗിരണം
ਡਿਸਟਿੰਕਸ਼ਨ ਐਂਪਲੀਫਾਇਰ,വ്യതിരിക്ത ആംപ്ലിഫയർ
"ਪ੍ਰਵੇਸ਼ਯੋਗ ਕੈਲੋਰੀਮੀਟਰ, ਪ੍ਰਵੇਸ਼ਯੋਗ ਕੈਲੋਰੀਮੀਟਰ","പെനിട്രേറ്റീവ് കലോറിമീറ്റർ, പെനിട്രേറ്റീവ് കലോറിമീറ്റർ"
ਵਿਭਿੰਨ ਕੈਪਸੀਟਰ,ഡിഫറൻഷ്യൽ കപ്പാസിറ്റർ
ਅੰਤਰ ਜ਼ੋਨ,ഡിഫറൻഷ്യൽ സോൺ
ਵਿਭਿੰਨ ਪ੍ਰਸਾਰ,ഡിഫറൻഷ്യൽ ഡിഫ്യൂഷൻ
ਅੰਤਰ ਸਮੀਕਰਨ,ഡിഫറൻഷ്യൽ സമവാക്യം
ਵਿਭਿੰਨ ਵਿਸਥਾਪਨ ਗੁਣਾਂਕ,ഡിഫറൻഷ്യൽ എക്സിറ്റിൻഷൻ കോഫിഫിഷ്യന്റ്
ਇੰਟਰਮੀਟਰ ionization ਚੈਂਬਰ,ഇന്റർമീറ്റർ അയോണൈസേഷൻ ചേമ്പർ
ਵਿਭਿੰਨ ਆਈਸੋਟੋਪ ਵਿਧੀ,ഡിഫറൻഷ്യൽ ഐസോടോപ്പ് രീതി
ਅੰਤਰ ਵੇਗ,ഡിഫറൻഷ്യൽ പ്രവേഗം
ਵੱਖਰਾ,വേർതിരിക്കുക
"ਵਿਭਿੰਨ, ਵਿਭਿੰਨਤਾ","വ്യത്യസ്തമായ, വ്യത്യസ്തമായ"
"ਭਿੰਨਤਾ, ਵਿਭਿੰਨਤਾ","വ്യത്യാസം, വ്യത്യാസം"
ਭਿੰਨਤਾ,ഡിഫ്രാക്ഷൻ
ਡਿਫ੍ਰੈਕਟੋਮੀਟਰ,ഡിഫ്രാക്റ്റോമീറ്റർ
"ਫੈਲਿਆ ਹੋਇਆ, ਫੈਲਿਆ ਹੋਇਆ","വ്യാപിച്ച, വ്യാപിച്ച"
ਫੈਲਿਆ,വ്യാപിച്ചു
ਫੈਲਾ,വ്യാപനം
ਵਿਭਿੰਨਤਾ,ഡിഫ്യൂസിവിറ്റി
"ਅੰਕ, ਵਿਆਸ, ਉਂਗਲੀ","അക്കം, വ്യാസം, വിരൽ"
ਡਿਜ਼ੀਟਲ ਰਿਕਾਰਡਿੰਗ,ഡിജിറ്റൽ റെക്കോർഡിംഗ്
ਡਿਜ਼ੀਟਲ ਵੋਲਟਮੀਟਰ,ഡിജിറ്റൽ വോൾട്ട്മീറ്റർ
ਦੋ-ਆਈਸੋਟੋਪਿਕ ਤੱਤ,ദ്വി-ഐസോടോപിക് മൂലകങ്ങൾ
ਫੈਲਾ,വ്യാപനം
ਵਿਸਤਾਰ ਵਿਕਾਰ,വികാസ വൈകല്യം
ਐਕਸੋਮੀਟਰ,എക്സോമീറ്റർ
ਵਿਸਫਾਰਿਨੀ,വിസ്ഫരിണി
"ਐਕਸਟੈਂਸ਼ਨ, ਲੰਬਾਈ-ਚੌੜਾਈ, ਮਾਪ, ਸ਼ਕਤੀ","വിപുലീകരണം, നീളം-വീതി, അളവ്, ശക്തി"
ਆਯਾਮੀ,ഡൈമൻഷണൽ
ਆਯਾਮ,മാനം
ਬੀਮਾ ਯੂਨਿਟ,ഇൻഷുറൻസ് യൂണിറ്റ്
ਅਯਾਮ ਰਹਿਤ ਅਯਾਮ,അളവില്ലാത്ത മാനം
"ਘਟਾਓ, ਕਮੀ","മൂല്യത്തകർച്ച, കുറവ്"
ਚਮਕਦਾਰ,പ്രസരിപ്പുള്ള
ਡਾਇਓਡ,ഡയോഡ്
diopter,ഡയോപ്റ്റർ
ਅਪਵਰਤਨ ਜ਼ੋਨ,അപവർത്തന മേഖല
ਰਿਫ੍ਰੈਕਟਿੰਗ ਲੈਂਸ,റിഫ്രാക്റ്റിംഗ് ലെൻസ്
"ਝੁਕਣਾ, ਮੱਥਾ ਟੇਕਣਾ, ਕੁੰਡ","കുമ്പിടുക, കുമ്പിടുക, തൊട്ടി"
ਡਿੱਗਣ ਦਾ ਕੋਣ,വീഴ്ചയുടെ ആംഗിൾ
dipole,ദ്വിധ്രുവം
ਬਾਇਪੋਲਰ ਪਰਤ,ബൈപോളാർ പാളി
dirac ਡੈਲਟਾ ਫੰਕਸ਼ਨ,dirac delta ഫംഗ്ഷൻ
"ਸਿੱਧਾ, ਸਿੱਧਾ, ਸਿੱਧਾ, ਸਿੱਧਾ, ਉਲਟ","നേരായ, നേരായ, നേരായ, നേരിട്ടുള്ള, എതിർ"
ਅਨੁਲੋਮ ਸਬੰਧ,അനുലോം പരസ്പരബന്ധം
ਸਿੱਧਾ ਮੌਜੂਦਾ,നേരിട്ടുള്ള കറന്റ്
ਸਿੱਧਾ,നേരിട്ട്
"ਸਿੱਧੀ ਹਿੱਟ, ਸਿੱਧੀ ਹਿੱਟ","നേരിട്ടുള്ള അടി, നേരായ അടി"
"ਦਿਸ਼ਾ, ਦਿਸ਼ਾ","ദിശ, ദിശ"
ਦਿਸ਼ਾਤਮਕ,ദിശാസൂചന
ਸਪੇਸ ਸਥਿਰਤਾ,ബഹിരാകാശ സ്ഥിരത
"dicosine, dico-cosine","ഡിക്കോസിൻ, ഡിക്കോസിൻ"
"ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼, ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼, ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼","ദിശാസൂചകമായ, ദിശാസൂചകമായ, ദിശാസൂചകമായ"
ਦਿਸ਼ਾ,ദിശാബോധം
ਆਮ ਜਾਲੀ,സാധാരണ ലാറ്റിസ്
ਸਿੱਧੀ ਲਾਈਨ,നേർരേഖ
ਕ੍ਰਮਵਾਰ ਅਨੁਪਾਤ,തുടർച്ചയായ അനുപാതം
ਸਿੱਧੀ ਵਿਧੀ,നേരിട്ടുള്ള രീതി
ਦਿਸ਼ਾ,സംവിധാനം
ਡਾਇਰੈਕਟ ਰੀਡਿੰਗ ਡਿਵਾਈਸ,നേരിട്ടുള്ള വായന ഉപകരണം
ਸਾਹਮਣੇ ਦੂਰਬੀਨ,മുന്നിൽ ദൂരദർശിനി
"ਵਸਤੂ, ਚੱਕਰ, ਡਿਸਕ, ਡਿਸਕ","ഒബ്ജക്റ്റ്, സർക്കിൾ, ഡിസ്ക്, ഡിസ്ക്"
"ਇਮਰਸ਼ਨ, ਇਫਿਊਜ਼ਨ, ਬਲੀਚਿੰਗ","നിമജ്ജനം, എഫ്യൂഷൻ, ബ്ലീച്ചിംഗ്"
ਪਾਣੀ ਵਿੱਚ ਡੁੱਬਣਾ,വെള്ളം നിമജ്ജനം
"ਵਿਗਾੜ, ਵਿਗਾੜ, ਫ੍ਰੈਕਚਰ","നിർത്തലാക്കൽ, നിർത്തലാക്കൽ, ഒടിവ്"
ਲਗਾਤਾਰ,തുടർച്ചയായി
"ਖੋਜ, ਖੋਜ","ഗവേഷണം, തിരയൽ"
ਅੰਤਰ,പൊരുത്തക്കേട്
ਕਣ,കണികകൾ
"ਕਨਕੇਵ ਐਂਟੀਨਾ, ਡਿਸ਼ ਐਂਟੀਨਾ","കോൺകേവ് ആന്റിന, ഡിഷ് ആന്റിന"
"ਭੰਗ, granulation","പിരിച്ചുവിടൽ, ഗ്രാനുലേഷൻ"
ਭੰਗ ਸਥਿਰ,പിരിച്ചുവിടൽ സ്ഥിരമായ
ਖਰਾਬੀ ਊਰਜਾ,വിസർജ്ജന ഊർജ്ജം
ਭੰਗ ਅੱਧਾ ਜੀਵਨ,പിരിച്ചുവിടൽ അർദ്ധായുസ്സ്
ਭੰਗ ਸੀਮਾ ਹੈ,പിരിച്ചുവിടൽ ഗ്രേഡ്
"dislocation, dislocation, dislocation, dislocation","സ്ഥാനഭ്രംശം, സ്ഥാനഭ്രംശം, സ്ഥാനഭ്രംശം, സ്ഥാനഭ്രംശം"
"ਫਾਲਟ ਲਾਈਨ, ਫਾਲਟ ਕੋਰ","ഫോൾട്ട് ലൈൻ, ഫോൾട്ട് കോർ"
ਨੁਕਸ ਲੂਪ,തെറ്റ് ലൂപ്പ്
"ਵਿਕਾਰ, ਵਿਕਾਰ, ਵਿਕਾਰ","ക്രമക്കേട്, ക്രമക്കേട്, ക്രമക്കേട്"
ਹਫੜਾ-ਦਫੜੀ,കുഴപ്പം
"ਉਲਝਣ, ਉਲਝਣ","ആശയക്കുഴപ്പം, ആശയക്കുഴപ്പം"
"ਖਿੰਡੇ ਹੋਏ, ਖਿੰਡੇ ਹੋਏ","ചിതറി, ചിതറി"
"ਖਿੰਡਾਉਣਾ, ਖਿੰਡਾਉਣਾ","വിസരണം, ചിതറിക്കൽ"
ਪ੍ਰੋਜੈਕਟਾਈਲ,പ്രൊജക്റ്റൈൽ
dispersant,ചിതറിക്കിടക്കുന്ന
ਪ੍ਰਤੀਬਿੰਬਤਾ,പ്രതിഫലനം
ਵਿਸਥਾਪਨ,സ്ഥാനമാറ്റാം
ਪ੍ਰਦਰਸ਼ਨੀ,പ്രദർശനം
ਕੰਸੋਲ,കൺസോൾ
ਬੰਦ ਕਰਨ ਦੀ ਤਾਕਤ,വിച്ഛേദിക്കുന്ന ശക്തി
ਅਸਮਾਨ,അസമമായ
ਸੜਨ ਗੁਣਾਂਕ,ശോഷണം ഗുണകം
ਖਰਾਬ ਕਰਨ ਵਾਲਾ,ദ്രവിക്കുന്ന
ਸੜਨ ਸਿਸਟਮ,ശോഷണ സംവിധാനം
ਵੱਖ ਕਰਨ ਯੋਗ,വേർപെടുത്താവുന്ന
ਵੱਖ ਕੀਤਾ,വേർപിരിഞ്ഞു
ਸੁਭਾਅ,സ്വഭാവം
ਗੈਰ-ਅਨੁਕੂਲਤਾ,പൊരുത്തക്കേട്
ਦੂਰੀ,ദൂരം
ਦੂਰ,അകലെ
"ਵੱਖਰਾ, ਵੱਖਰਾ, ਵੱਖਰਾ, ਭਾਵਪੂਰਤ","വ്യതിരിക്തമായ, വ്യതിരിക്തമായ, വ്യതിരിക്തമായ, പ്രകടിപ്പിക്കുന്ന"
ਵਿਤਕਰਾ,വിവേചനം
ਵੱਖਰੀ ਜਾਇਦਾਦ,വ്യതിരിക്തമായ സ്വത്ത്
"ਵੱਖਰਾ ਕਰਨਾ, ਵੱਖਰਾ ਕਰਨਾ","വേർതിരിക്കുക, വേർതിരിക്കുക"
ਵਿਗਾੜਨਾ,വികൃതമാക്കുക
ਵਿਕਾਰ,വൈകല്യം
deformation ਲਚਕਤਾ,രൂപഭേദം ഇലാസ്തികത
ਵੰਡਿਆ ਐਂਪਲੀਫਾਇਰ,വിതരണം ചെയ്ത ആംപ്ലിഫയർ
"ਵੰਡ, ਵੰਡ","വിതരണം, വിതരണം"
"ਵੰਡ ਨਿਯਮ, ਵੰਡ ਨਿਯਮ","വിതരണ നിയമം, വിതരണ നിയമം"
ਗੜਬੜ,അസ്വസ്ഥത
"ਦੁਖੀ, ਵਿਗੜਿਆ ਸੰਤੁਲਨ","അസ്വസ്ഥമായ, അസ്വസ്ഥമായ സന്തുലിതാവസ്ഥ"
ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲੀ ਤਾਕਤ,ശല്യപ്പെടുത്തുന്ന ശക്തി
"ਅਹਨਿਕ, ਦਿਵਾਚਰ, ਦਿਵਾ, ਨਿੱਤ","അഹ്നിക്, ദിവാചർ, ദിവ, ഡെയ്‌ലി"
ਰੋਜ਼ਾਨਾ ਦੀ ਗਤੀ,ദൈനംദിന വേഗത
ਦੋ-ਪੱਖੀ,ദ്വിമുഖം
"ਖਿਲਾਰਨਾ, ਵਿਗਾੜਨਾ","ചിതറുക, ചിതറുക"
"ਵਿਭਿੰਨਤਾ, ਵਿਭਿੰਨਤਾ, ਵਿਭਿੰਨਤਾ","വ്യതിചലനം, വ്യതിചലനം, വ്യതിചലനം"
ਵੱਖਰੇ,വിഭിന്ന
ਡਾਇਵਰਸ਼ਨ,വഴിതിരിച്ചുവിടൽ
"ਵੰਡਿਆ, ਵੰਡਿਆ","വിഭജിച്ചിരിക്കുന്നു, വിഭജിച്ചിരിക്കുന്നു"
"ਵੰਡ, ਵੰਡ, ਵੰਡ","വിഭജനം, വിഭജനം, വിഭജനം"
ਆਇਨੋਸਫੀਅਰ ਦੀ ਡੀ ਪਰਤ,അയണോസ്ഫിയറിന്റെ ഡി പാളി
"ਖੇਤਰ, ਸੂਬਾ, ਖੇਤਰ, ਡੋਮੇਨ","പ്രദേശം, പ്രവിശ്യ, പ്രദേശം, ഡൊമെയ്ൻ"
"ਗੁੰਬਦ, ਗੁੰਬਦ","താഴികക്കുടം, താഴികക്കുടം"
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਸਥਿਤੀ,സ്വാധീനമുള്ള സ്ഥാനം
ਦਾਨੀ ਪੱਧਰ,ദാതാവിന്റെ തലം
ਮਦਿਤ ਸੰਧੀ,മാഡിറ്റ് ഉടമ്പടി
"ਮਿਲਾਵਟ, ਮਿਲਾਵਟ","മായം ചേർക്കൽ, വ്യഭിചാരം"
ਡੋਪਲਰ ਪ੍ਰਭਾਵ,ഡോപ്ലർ പ്രഭാവം
"ਖੁਰਾਕ, ਖੁਰਾਕ","അളവ്, അളവ്"
ਕੁਆਂਟੋਮੀਟਰ,ക്വാണ്ടോമീറ്റർ
"ਬਿੰਦੀ ਵਾਲਾ, ਬਿੰਦੀ ਵਾਲਾ","കുത്തുകളുള്ള, കുത്തുകളുള്ള"
"ਡਬਲ, ਡਿਪਲੋਇਡ, ਜੋੜਾ, ਦੋਹਰਾ, ਆਮ, ਦੋਹਰਾ","ഇരട്ട, ഡിപ്ലോയിഡ്, ജോഡി, ഇരട്ട, സാധാരണ, ദ്വിമുഖം"
ਡਬਲ ਬਾਂਡ,ഇരട്ട ബോണ്ട്
biconvex ਲੈਨਜ,ബികോൺവെക്സ് ലെൻസ്
biconvex ਲੈਨਜ,ബികോൺവെക്സ് ലെൻസ്
ਬਾਈਨਰੀ ਅੰਤਰ,ബൈനറി ഡിഫറൻഷ്യൽ
ਡਬਲ ionization,ഇരട്ട അയോണൈസേഷൻ
ਡਬਲ ਅਣੂ,ഇരട്ട തന്മാത്ര
ਡਬਲ ਸ਼ੁੱਧਤਾ,ഇരട്ട കൃത്യത
ਦੋਹਰਾ ਅਪਵਰਤਨ,ഇരട്ട അപവർത്തനം
ਡਬਲ ਸੀਰੀਜ਼,ഇരട്ട പരമ്പര
ਤਾਰਿਆਂ ਦੀ ਜੋੜੀ,ജോടി നക്ഷത്രങ്ങൾ
ਡਬਲ,ഇരട്ടി
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ ਜੋੜਾ,അക്രോമാറ്റിക് ലെൻസ് ജോഡി
"ਫੈਲਾਉਣਾ, ਫੈਲਾਉਣਾ","വ്യാപനം, വികാസം"
