English,Gujarati
Colour transmission,રંગ -પ્રસારણ
Colour tube,રંગીન નળી
Colouration,રંગ
Colourless,રંગહીન
Combination,સંયોજન
Combiner,વારાફરતી
Combining process,સંયોજન પ્રક્રિયા
Combustion,દહન
Command,આદેશ આપવો
Commencement,પ્રારંભ
Commercial broadcasting,વેપારી પ્રસારણ
Commercial television,વાણિજ્ય ટેલિવિઝન
Common collector circuit,સામાન્ય કલેકટર સર્કિટ
Communication,વાતચીત
Communication satellite,સંચાર ઉપગ્રહ
Community radio centre,સાર્વજનિક રેડિયો કેન્દ્ર
Community radio station,સામુદાયિક રેડિયો સ્ટેશન
Compact disc (CD),કોમ્પેક્ટ ડિસ્ક (સીડી)
Compact disc player,કોમ્પેક્ટ ડિસ્ક ખેલાડી
Compander,સાન્ત્વન
Companding,સરખામણી
Compatibility,સુસંગતતા
Compatible,સુસંગત
Compiler,સંકલન કરનાર
Complementary,પૂરક
Complementary transistor,પૂરક ટ્રાંસિસ્ટર
Complex wave,સંકુલ
Component,ઘટક
Composite,સંયુક્ત
Composite circuit,સંયુક્ત
Composite digital,સંયુક્ત ડિજિટલ
Composite radio frequency signal,સંયુક્ત રેડિયો આવર્તન સંકેત
Composite signal,સંયુક્ત સંકેત
Composite video,સંયુક્ત વિડિઓ
Composite video signal,સંયુક્ત વિડિઓ સિગ્નલ
Composition,-નું જોડાણ
Compressed data,સંકુચિત ડેટા
Compressed digitized video,સંકુચિત ડિજિટાઇઝ્ડ વિડિઓ
Compressed video,સંકુચિત વિડિઓ
Compression,સંકોચન
Compression artifact,સંકોચન કલા
Compression hazard,સંકોચન
Compression technique,સંકોચનની તકનીક
Compressor,સંકુચિત
Compute,ગણતરી
Computer,કોમ્પ્યુટર
Computer based multimedia,કમ્પ્યુટર આધારિત મલ્ટિમીડિયા
Computer programming,કોમ્પ્યુટર પ્રોગ્રામીંગ
Computer technology,કમ્પ્યુટર પ્રૌદ્યોગિકી
Concave lens,અંતરાલ
Concave mirror,અંતરીલ અરીસો
Concealment,છુપાવવું તે
Concentrated,કેન્દ્રિત
Concentration,એકાગ્રતા
Concentric lens,કેન્દ્રિત લેન્સ
Condenser microphone,કન્ડેન્સર માઇક્રોફોન
Condition of equilibrium,સંતુલનની શરત
Conduction,ઉધાર
Conduction current,વહન પ્રવાહ
Conductivity,વાહકતા
Conductor,વ્યવસ્થાપક
Configuration,ગોઠવણી
Connection,જોડાણ
Connectivity,જોડાણ
Connector,સંલગ્ન
Consistency,સુસંગતતા
Consistently,એક સ્થિરતાપૂર્વક
Console,ને આશ્વાસન આપવું
Constant,સતત
Constant  amplitude,સતત કંપનવિસ્તાર
Contact microphone,માઇક્રોફોનનો સંપર્ક કરો
Container format,કન્ટેન ફોર્મેટ
Contamination,દૂષણ
Content,સંતુષ્ટ
Contiguous,સંલગ્ન
Continuity,સતતપણું
Continuity booth,સાતત્ય કેન્દ્ર
Continuity knob,સાતત્ય knાંકણ
Continuous,સતત
Continuous arc,સતત ચાપ
Continuous wave,સતત તરંગ
Contour line,સમોચ્ચ રેખા
Contour plan,સમોચ્ચ યોજના
Contract,કરાર
Contraction,સંકોચન
Contrast ratio,વિપરીત ગુણોત્તર
Control circuit,નિયંત્રણ વર્તુળ
Control electrode,નિયંત્રણ વીજળી
Control equipment,અંકુશ
Control grid,નિયંત્રણ ગ્રીસ
Control line,નિયંત્રણ રેખા
Control panel,કંટ્રોલ પેનલ
Control room,નિયંત્રણ કક્ષ
Control table,અંકુશ
Control tower,નિયંત્રણ ટાવર
Controller,નિયંત્રક
Convergence,એકતરફી
Convergent lens,એકતરતી લેન્સ
Convertor,રૂપાંતર કરનાર
Convex lens,બહિર્મુખ લેન્સ
Convolution,માર્ગ
Convolution coded,સંકટ
Convolutional interleave,મરણોત્તર
Convolutional interleaving,મંતવ્ય
Cookie,કૂકી
Cookier,કૂકીટર
Coprocessor,કોપરો
Cord,દોરી
Corona,કોથળી
Corona discharge,કોરોના -વિસર્જન
Correlation,સંબંધ
Cosine component,કોસિન ઘટક
Cosine wave,કોસિન તરંગ
Cosmic noise,બ્રહ્માંડિક અવાજ
Counter,કાઉન્ટર
Counter clockwise,પ્રતિવિશેષ
Coupler,જોડીદાર
Coupling,જોડાણ
Coupling condenser,જોડાણ કરનાર
Coupling network,જોડાણ નેટવર્ક
Coupling resistance,સંલગ્ન પ્રતિકાર
Covalent bond,સહ સંયોજક બંધન
Coverage,કવરેજ
Crash,ભડકો
Critical band,વિવેચક
Critical condition,નિર્ણાયક શરત
Critical coupling,વિવેચક
Critical frequency,વિવેચક આવર્તન
Critical parameter,નિર્ણાયક પરિમાણ
Crocodile clip,મગરો
Cross fading,ફાલ
Cross modulation,Crossલટ -મોડ્યુલેશન
Cross talk,આતુરતા
Crossfade,ક્રોસફેક
Cryptography,ભંડાર
Crystal,ક્રિસ્ટલ
Crystal filter,ક્રિસ્ટલ ફિલ્ટર
Cue,સંકેત
Cue marks,કયડ -નિશાન
Cueing device,ક્વોરી ઉપકરણ
Current drain,પ્રવાહ
Current meter,વર્તમાન મીટર
Current transformer,વર્તમાન ટ્રાન્સફોર્મર
Cursor,શબ
Curve,વળાંક
Cut off frequency,આવર્તન બંધ કરવું
Cutter,કટર
Cyber cafe,કોયરો
Cyber security,સાયબર સુરક્ષા
Cyber space,કોયરાની જગ્યા
Cycle,ચક્ર
Cyclic,સાધનસંપત્તિ
D.c. component,ડીસી. ઘટક
D.c. plate power,ડીસી. પ્લેટની વીજળી
D.c. restoration,ડીસી. પુન: સ્થાપન
Damper diode,વિધ્વંસ
Damping,ભીનાશ
Dark,અંધારું
Data,માહિતી
Data broadcasting,માહિતી પ્રસારણ
Data compression,આધારપ્રણી
Data drilling,માહિતી શારકામ
Data encryption,આધાર -એન્ક્રિપ્શન
Data file,આધારપત્રક
Data handling,આધાર -નિયંત્રણ
Data mining,માહિતી ખાણકામ
Data processing,આંકડા
Data processor,ડેટા પ્રોસેસર
Data reduced bit system,ડેટા ઘટાડ્યો બીટ સિસ્ટમ
Data service,માહિતી સેવા
Data sheet,આધાર સામગ્રી
Data storage,માહિતી સંગ્રાહક
Data stream,આંકડા
Data transformation,આંકડાકીય પરિવર્તન
Data transmission,આંકડા
Database,ડેટાબેઝ
Datacasting,ઓળખપત્ર
Datagram,ડબ્બા
DB meter,ડી.બી. મીટર
Dead air,મડાગાંઠ
Dead short circuit,મૃત શોર્ટ સર્કિટ
Dead spot,મૃત સ્થળ
Deadlock,મડાગાંઠ
Debug programme,ડીબગ કાર્યક્રમ
Debugging,ઉઘાડું
Decay of sound,અવાજનો સડો
Decibel (dB),ડેસિબેલ (ડીબી)
Decimal,દશાંશ
Decimal code,દશાંશ સંહિતા
Decimal digit,દશાંશ
Deciphering,સ્પષ્ટીકરણ
Decoder,ડીકોડર
Decoding,ડીકોડિંગ
Decoding in digital transmission,ડિજિટલ ટ્રાન્સમિશનમાં ડીકોડિંગ
Decompression,વિઘટન
Decoupling,શોક
Decoupling circuit,ડિક્યુપલિંગ સર્કિટ
Decoupling network,ડિક્યુપલિંગ નેટવર્ક
Decryption,ડિક્રિપેશન
Dedicated line,સમર્પિત રેખા
De-embedding,દાદર
De-emphasis,દહન
Default,ચૂક
Defect in quality,ગુણવત્તામાં ખામી
Defective,ખામીયુક્ત
Defective unit,ખામીયુક્ત એકમ
Definition,વ્યાખ્યા
Deflection,સુશોભન
Deformation,શૃય
Defragmentation,અવકાશ
De-gaussing coil,કોઇલ
Degree,પ્રમાણ
De-interleaver,દખલ
Delay line,વિલંબ -રેખા
Delay time,વિલંબ સમય
Delayed frame memory,વિલંબિત ફ્રેમ મેમરી
Delayed scanning,વિલંબિત સ્કેનીંગ
Delayed synchronization signal,વિલંબિત સુમેળ સંકેત
Delivery,ડિલિવરી
Delivery system,વિતરણ પદ્ધતિ
Demodulation,નશાખોરી
Demodulator card,નામંજૂર કરનાર કાર્ડ
Demultiplexer,બેભાન વ્યક્તિ
Depth of field,ક્ષેત્રની .ંડાઈ
Descending,ઉતરતું
Design specification,નિયમાની વિશિષ્ટતા
Desktop,ડેસ્કટ .પ
Detector output,તપાસ -ઉત્પાદન
Deviation,વિચલનો
Device,સાધન
Device driver,ઉપકારની ચાલક
Diagnostics,રોગનિવાર
Diagram,ચિત્ર
Dialog track,સંવાદ ટ્રેક
Diameteral mode,વ્યતાના
Diamond stylus,હીરાની સ્ટાઇલસ
Diaphragm,પાટા
Diaphragmatic absorber,ડાયફ્ર ra મેટિક શોષક
Dichotic listening,અલગ -અલગ વાત
Dielectric,શિખાઉ
Dielectric break- down,ડાઇલેક્ટ્રિક બ્રેક- ડાઉન
Dielectric loss,ડાઇલેક્ટ્રિક નુકસાન
Difference frequency,તફાવત આવર્તન
Difference frequency distortion (DFD),તફાવત આવર્તન વિકૃતિ (ડીએફડી)
Difference tone,ફરક
Differential amplifier,વિભેદક એમ્પ્લીફાયર
Diffraction,પરિબળ
Diffuser,વિસારક
Digit,અંક
Digital,ડિજિટલ
Digital artifact,ડિજિટલ આર્ટિફેક્ટ
Digital audio,ડિજિટલ audio ડિઓ
Digital audio filter,ડિજિટલ audio ડિઓ ફિલ્ટર
Digital audio work station,ડિજિટલ audio ડિઓ વર્ક સ્ટેશન
Digital camera,ડીજીટલ કેમેરા
Digital computer,ડિજિટલ કમ્પ્યુટર
Digital data,ડિજિટલ ડેટા
Digital editing,ડિજિટલ સંપાદન
Digital exciter,ડિજિટિહાઇટર
Digital filter,ડિજિટલ ફિલ્ટર
Digital frame synchronizer,ડિજિટલ ફ્રેમ સિંક્રોનાઇઝર
Digital heritage,ડિજિટલ હેરિટેજ
Digital image,ડિજિટલ છબી
Digital library,ડિજિટલ ગ્રંથાલય
Digital meter,ડિજિટલ મીટર
Digital modulation,ડિજિટલ મોડ્યુલેશન
Digital multiplex,ડિજિટલ મલ્ટીપ્લેક્સ
Digital network,ડિજિટલ નેટવર્ક
Digital output,Digitalપચારિક outputપટી
Digital playback,ડિજિટલ પ્લેબેક
Digital Radio Mondiale (DRM),ડિજિટલ રેડિયો મોન્ડિલે (ડીઆરએમ)
Digital recording,ડિજિટલ રેકોર્ડિંગ
Digital revolution,ડિજિટલ ક્રાંતિ
Digital signal,ડિજિટલ સંકેત
Digital signal processing (DSP),ડિજિટલ સિગ્નલ પ્રોસેસીંગ (ડીએસપી)
Digital signature,ડિજિટલ સહી
Digital technology,ડિજિટલ પ્રૌદ્યોગિકી
Digital to analog converter,ડિજિટલથી એનાલોગ કન્વર્ટર
Digital video,ડિજિટલ વિડિઓ
Digital voltmeter,ડિજિટલ વોલ્ટમીટર
Digitalization,વિભાજન
Digitization,અંશે
Digitized video,ડિજિટાઇઝ્ડ વિડિઓ
Digitizer,સિધ્ધાંત
Dim,ઝાંખું
Dimension,પરિમાણ
Dimmer,ઝાંખું
Diode,પશુ -વ્યવસ્થા
Dip,ડૂબકી મારવી
Diplexer,દ્વિપક્ષી
Dipole antenna,દ્વિધ્રુવ
Direct broadcast,પ્રત્યક્ષ પ્રસારણ
Direct current (d c),ડાયરેક્ટ વર્તમાન (ડી સી)
Direct pick up,સીધું પસંદ કરવું
Direct reading instrument,પ્રત્યક્ષ વાંચન સાધન
Direct recording,પ્રત્યક્ષ રેકોર્ડિંગ
Directional antenna,દિશાત્મક એન્ટેના
Directional coupler,દિશાત્મક દંપતી
Directional microphone,દિશાત્મક માઇક્રોફોન
Directivity,ઉદ્ધતા
Directory,ડિરેક્ટરી
Disable,અપંગ કરવું
Disc antenna,છટણી
Disc based storage,ડિસ્ક આધારિત સંગ્રહ
Discrete,અંધકારમય
Disk,ઝૂંપડી
Disk drive,ડિસ્ક ડ્રાઇવ
Disk quota,છળ
Diskette,વિઘટન
Dislocation,વિઘટન
Dispersion,વિક્ષેપ
Displacement,વિસ્થાપન
Display,પ્રદર્શન
Display unit (console),પ્રદર્શન એકમ (કન્સોલ)
Dissipation,અપરાધ
Dissonance,જુસ્સો
Distilled water,નિસ્યંદિત પાણી
Distortion,વિકૃતિ
Distribution,વિતરણ
Distribution amplifier,વિતરણ એમ્પંતક
Division,ભાગ
Divisor,ભાજક
Document,દસ્તાવેજ
Dolby digital,ડોલ્બી
Domain,ક્ષેત્ર
Domain controller,ક્ષેત્રમાં
Doppler effect,ધૂમ્રપાનની અસર
Double pole (dipole),ડબલ ધ્રુવ (દ્વિધ્રુવી)
Double pole single throw switch,ડબલ ધ્રુવ સિંગલ થ્રો સ્વીચ
Double sided disk,બે બાજુવાળી ડિસ્ક
Doublet,બેવડું
Down coming wave,નીચે આવવાનું તરંગ
Down stream,નીચેનો પ્રવાહ
Downlink,ડાઉનલિંક
Download,ડાઉનલોડ કરવું
Downloading,ડાઉનલોડનું
Drawing,ચિત્ર
Drilling bit,ડ્રોલીંગ બીટ
Drilling machine,શારકામ યંત્ર
Drive,ઝુંબેશ
Drum,ડ્રમ
Dry bulb temperature,સુકા બલ્બનું તાપમાન
Dry cell,સૂકકો
Dry solder,સૂકા સોલ્ડર
Dual channel mode,ડ્યુઅલ ચેનલ મોડ
Dubbing,ડબ
Dud,નાવિક
Dump,ફેંકડી
Duplex,બેવડી
Duration,સમયગાળો
Dust,ધૂળ
Dust bug,ક dustંગ
Dust proof,ધૂળની સાબિતી
Duster,ડસ્ટર
Dynamic,ગતિશીલ
Dynamic bit allocation,ગતિશીલ બીટ ફાળવણી
Dynamic intermodulation distortion (DIM),ગતિશીલ ઇન્ટરમોડ્યુલેશન વિકૃતિ (ડીઆઈએમ)
Dynamic quantization,ગતિશીલ જથ્થો
Dynamic range,ગતિશીલ શ્રેણી
Dynamic range control,ગતિશીલ શ્રેણી નિયંત્રણ
Dynamo,પર્યટક
Ear phone,કાનનો ફોન
Earth,પૃથ્વી
Earth bulge,પૃથ્વીના મણકા
Earth resistance,પૃથ્વીનો પ્રતિકાર
Earth rod,માટીનો લાકડી
Earth satellite,પૃથ્વી ઉપગ્રહ
Earth station,ભૂસ્તર
Earth terminal,માટીનું
Earthing,વસ્તુ
Echo,પડઘો
Echo chamber,ગુંજ
Eddy current,પ્રક્ષેપો
Eddy current loss,એડી વર્તમાન ખોટ
Edgewise meter,ધારદાર મીટર
Editing,સંપાદન
Effective antenna height,અસરકારક એન્ટેના height ંચાઇ
Effective antenna length,અસરકારક એન્ટેના લંબાઈ
Effective voltage,અસરકારક વોલ્ટેજ
Efficiency,કાર્યક્ષમતા
Elasticity,સ્થિતિસ્થાપકતા
Electric discharge,વિદ્યુત સ્રાવ
Electric field,વિદ્યુત ક્ષેત્ર
Electric flash,વિદ્યુત ફ્લેશ
Electric heater,વીજળી
Electric meter,વિદ્યુત -મીટર
Electric motor,વિદ્યુત મોટર
Electric shock,વીજળી આંચકો
Electric spark,વીજળી ફેલાવી
Electrical appliance,વિદ્યુત -સાધન
Electrical noise,વિદ્યુત અવાજ
Electrical storm,વિદ્યુત -તોફાન
Electrically operated musical instrument,વિદ્યુત દ્વારા સંચાલિત સંગીત સાધન
Electricity,વીજળી
Electricity supply,વીજળી પુરવઠો
Electrodynamic,વિદ્યુત -વિસ્ફોટ સંબંધી
Electrolytic capacitor,વિદ્યુતપ્રવાહ
Electromagnetic,વીજળીનું
Electromagnetic disturbance,વિદ્યુત વિક્ષેપ
Electromagnetic interferrence,વીજળીકાત
Electromagnetic spectrum,વિદ્યુત -વર્ણપટ
Electromagnetic wave,વિદ્યુત -તરંગ
Electromagnetic wave propagtion,વિદ્યુત -પ્રચાર
Electron multiple phototube,ઇલેક્ટ્રોન મલ્ટીપલ ફોટોટ્યુબ
Electronic calculator,વિદ્યુત -ગણતરી
Electronic data processing (EDP),ઇલેક્ટ્રોનિક ડેટા પ્રોસેસિંગ (ઇડીપી)
Electronic mail (e-mail),ઇલેક્ટ્રોનિક મેઇલ (ઇ-મેઇલ)
Electronic switching system,વિદ્યુત -ફેરબદલ પદ્ધતિ
Electronics,વિદ્યુત -વિચ્છેદન
Electroplating,વીજળીકરણ
Electrostatic,વિદ્યુત -વિસ્ફોટ વિષયક
Elevation,Elevંચું
Embedded,જડિત
Embedded audio,એમ્બેડ કરેલું audio ડિઓ
Embedded system,જડિત પદ્ધતિ
Emblem,મુદ્રા
Emerging trends,Ingંચી રહેલા વલણો
Emission,ઉત્સર્જન
Emitter,ખ્યાતિ
Emitter follower,ઉત્સુક અનુયાયી
Emitter terminal,ઉત્સર્જક
Emitter-base-junction,ઉત્સર્જક-જંકશન
Enable,સક્ષમ કરવું
Enamelled wire,દંડ
Encipher,અકસ્માત
Enclosure,વાડો
Encode,વિકૃતિ
Encoder,એન્કોડર
Encoding,ઉન્માદ
Encryption,એન્ક્રિપ્શન
End mark,અંત
End user,અંતિમ વપરાશકર્તા
Energy,શક્તિ
Energy dispersal,Energyર્જા વિખેરી
Energy distribution,E ર્જા વિતરણ
Enforcement,અમલ
Engine,એન્જિન
Engineer,ઇજનેર
Engineering,ઈજનેરી
Engineering store,ઈજનેર ભંડાર
Engraving,કોતરણી
Enhance,વધારવું
Ensemble,દાણ
Enter key,દાખલ કરો કી
Enterprise architecture,સાહસિક આર્કિટેક્ચર
Enthalpy,Enthંચું
Entropy,પ્રાણ
Entropy coding,કોડી
Entropy redundancy,પ્રક્ષેપણ
Equalising,સરખું
Equalization,એકરૂપ કરવું તે
Equalizer,એકરૂપ વ્યક્તિ
Equipment,સામાન
Equipment cover,સાધનસામગ્રીનો coverાંકણ
Equivalent,સમાન
Erase,ભુસવું
Erase head,માથું કાaseવું
Erosion,ધોવાણ
Erratic,અનિયમિત
Error,ભૂલ
Error control coding,ભૂલ નિયંત્રણ કોડિંગ
Error correction,ભૂલ સુધારણા
Error detection,ભૂલ તપાસ
Error handling,ભૂલ
Error probability,ભૂલ સંભાવના
Ethernet,અલંકાર
Ethernet cable,અશિષ્ટ કેબલ
Eugenics,જ્ eાનવિજ્icsાન
Evacuate,ખાલી કરાવું છું
Exchange,વિનિમય
Exciter,બહાર નીકળવું
Execute,અમલમાં મૂકવું
Execution time,અમલનો સમય
Exhaust,અઘોષ
Exit,બહાર નીકળવું
Expanded,વિસ્તૃત
Expansion valve,વિસ્તરણ વાલ્વ
Experiment,પ્રયોગ
Expert system,નિષ્ણાત પદ્ધતિ
Explore,અન્વેષણ કરવું
Explorer,સંશોધન કરનાર
Expo(exhibition),એક્સ્પો (પ્રદર્શન)
Extension of power supply,વીજ પુરવઠો વધારવો
External control,બાહ્ય નિયંત્રણ
External memory,બાહ્ય સ્મૃતિ
External storage,બાહ્ય સંગ્રહ
External thread,બાહ્ય થ્રેડ
Extract,અર્ક
Extranet,વધારા
Fabricate,રચના કરવી
Facet,પાસું
Facsimile,પ્રેક્ષય
Factor,પરિબળ
Fade,ઝાંખર કરવું
Fade in,પથરવું
Fade out,ફાળવું
Fader,નિસ્તેજ
Fading,નિસ્તેજ
Fading zone,ઝાંખું ક્ષેત્ર
Fantom (=phantom),ફ ant ન્ટમ (= ફેન્ટમ)
Fast fourier transform (FFT) algorithm,ફાસ્ટ ફ્યુરિયર ટ્રાન્સફોર્મ (એફએફટી) એલ્ગોરિધમનો
Fatal error,જીવલેણ ભૂલ
Fault,દોષ
Feature,લક્ષણ
Feed,ખવડાવવું
Feedback,પ્રતિસાદ
Feedback amplifier,પ્રતિસાદ એમ્પ્લીફાયર
Feedback circuit,પ્રતિસાદ
Feedback voltage,પ્રતિસાદ વોલ્ટેજ
Feeder,ફીડર
Feeder cable,ફીડર કેબલ
Feeder hut,ફીડર ઝૂંપડી
Feeder line,ફીણ -રેખા
Feeder system,ફીડર પદ્ધતિ
Feeder wire,ફીડર વાયર
Fibre,રેસા
Fibre optics,રેસા -ઓપવિજ્icsાન
Fidelity,વફાદારી
Fidelity range extension,વફાદારી શ્રેણીના વિસ્તરણ
Field,ક્ષેત્ર
Field drive,મેદાન
Field effect transistor,ક્ષેત્ર -અસર ટ્રાંઝિસ્ટર
Field strength,ક્ષેત્ર શક્તિ
Field strength meter,ક્ષેત્ર શક્તિ શક્તિ મીટર
Field strength survey,ક્ષેત્ર તાકાત મોજણી
Figure,આંકડો
Figure of merit,યોગ્યતા
Filament,ફિલામેન્ટ
File,ફાઈલ
File server,ફાઈલ સર્જક
File system,ફાઇલ સિસ્ટમ
Filler,રોપનાર
Film recorder,ફિલ્મ રેકોર્ડર
Film speed,ફિલ્મ -ગતિ
Filter,ફિલ્ટર કરવું
Filter choke,ફિલ્ટર ગૂંગળામણ
Filter circuit,ફિલ્ટર સર્કિટ
Filtering,ગડબડ
Fine tuning control,સરસ ટ્યુનિંગ નિયંત્રણ
Finite field,મર્યાદિત ક્ષેત્ર
Fire wall,અગ્નિશામક
Firefox,અગ્નિશામક
Firing angle,ફાયરિંગ ખૂણો
Firmware,હદા
Fittings,ફિટિંગ
Fixed point chart,નિયત બિંદુ ચાર્ટ
Fixed point item,નિયત બિંદુ વસ્તુ
Flash,ફ્લેશ
Flat,ફ્લેટ
Flicker,ફ્લિકર
Flip flop,ફલીપ ફલોપ
Float valve,તરતી વાલ્વ
Floating,તરતું
Floating  battery,અસ્થાયી બ batteryતી
Floating point,ફ્લોટિંગ પોઇન્ટ
Floating port,અસ્થાયી
Flood light,પૂર
Flood lighting,પૂરની પ્રકાશ
Floor,માળા
Floppy,ફ્લોપી
Flow chart,પ્રવાહ ચાર્ટ
Fluctuation,વધઘટ
Fluid,પ્રવાહી
Fluorescent lamp,ફ્લોરોસન્ટ દીવો
Fluorescent tube,ફ્લોરોસન્ટ નળી
Flutter,ફફડાટ
Flux,પ્રવાહ
Flux linkage,પ્રવાહ જોડાણ
FM network,એફએમ નેટવર્ક
FM tower,એફ.એમ. ટાવર
Focus,ફોકસ
Focus control,ફોકસ નિયંત્રણ
Focussing,ધ્યાન કેન્દ્રિત
Focussing magnet,કેન્દ્રિત ચુંબક
Fog,ધુમ્મસ
Foil,વરખ
Fold back,પાછી ખેંચી લેવી
Folded dipole,ગડી દીપડો
Folder,ફોલ્ડર
Footage,ફૂટેજ
Footer,પગરખાં
Forced oscillation,ફરજ પડી ઓસિલેશન
Forced ventilation,બળજબરી વેન્ટિલેશન
Forced vibration,ફરજ પડી કંપન
Forge,બનાવટ
Format,અનુરોધ
Format shifting,ફોર્મેટ બદલવું
Format tunes,ફોર્મેટ ધૂન
Formatting,ફોર્મેટિંગ
Forward bias,આગળનો પક્ષપાત
Forward biased,આગળ પક્ષપાતી
Forward current,આગળનો વર્તમાન
Forward direction,આગળની દિશા
Forward resistance,આગળનો પ્રતિકાર
Fourier transform,ફ્યુરિયર પરિવર્તન
Fractal,ખંડિત
Fragmentation,વિભાજન
Frame,ક્રમાંક
Frame formatting,માળખું ફોર્મેટિંગ
Frame synchroniser,સુમેળકાર
Framing,ઘડતર
Free electron,મફત વિદ્યુત
Free space loss,ખાલી જગ્યા ખોટ
Free space path loss,ખાલી જગ્યા પાથ ખોટ
Frequency,આવર્તન
Frequency allocation,આવર્તન ફાળવણી
Frequency changer,આવર્તન ચેન્જર
Frequency converter,આવર્તન કન્વર્ટર
Frequency counter,આવર્તન કાઉન્ટર
Frequency distortion,આવર્તન વિકૃતિ
Frequency divider,આવર્તન વિભાજક
Frequency domain,આવર્તન ક્ષેત્ર
Frequency doubler,આવર્તન ડબલ
Frequency modulation,આવર્તન -મોડ્યુલેશન
Frequency monitor,આવર્તન નિરીક્ષણ
Frequency multiplex,ગુણાકાર
Frequency multiplier,આવર્તન ગુણાકાર
Frequency range,આવર્તન શ્રેણી
Frequency response,આવૃત્તિ પ્રતિક્રિયાને
Frequency shift,આવર્તન -પાળી
Frequency spectrum,આવર્તન વર્ણ
Frequency synthesizer,આવર્તન -સંશ્લેષણ
Frequency tolerance,આવર્તન સહનશીલતા
Frequency translator box,આવર્તન અનુવાદક બ box ક્સ
Frequency variation,આવર્તન ફેરફાર
Fresnel zone,અનિયંત્રિત ક્ષેત્ર
Fringe-area,મરણોત્તર
Front porch,આગળનો મંડપ
Full adder,સંપૂર્ણ વાહક
Full wave rectification,સંપૂર્ણ તરંગ સુધારણા
Full wave rectifier,સંપૂર્ણ તરંગ સુધારણા
Function,કાર્ય
Function key,વિધેય ચાવી
Functional testing,કાર્યાત્મક પરીક્ષણ
Fundamental,મૂળભૂત
Fundamental frequency,મૂળભૂત આવર્તન
Fundamental velocity,મૂળભૂત વેગ
Funnel,ગળી જવું
Fuse,Fંચે મારવું
Fuse wire,ફ્યુઝ વાયર
Fuzzy logic,અસ્પષ્ટ તર્ક
Gain,લાભ
Gain control,લાભ
Galois field,ગેલિઓસ ક્ષેત્ર
Gamut,ખેલ
Gang condenser,ગેંગલ કન્ડેન્સર
Gap,અંતર
Gateway,પ્રવેશદ્વાર
Gauge,માપ
Gaussian curve,ગૌસિયન વળાંક
Gaussian white noise,ગૌસિયન સફેદ અવાજ
Generator,જનરેટર
Generic name,સામાન્ય નામ
Geostationary satellite,ભૂસ્તર ઉપગ્રહ
Geosynchronous satellite,ભૌગોલિક ઉપગ્રહ
Glitch,ભૂલ
Graphic art,આલેખક કલા
Graphic equalizer,ગ્રાફિક બરાબરી
Graphics,ગ્રાજક
Graticule,છીપ
Gravitational acceleration,ગુફાવિવેશન પ્રવેગક
Gray scale,રાખોડી
Grid,ગ્રીડ
Grid bias,ગ્રિડનો પક્ષપાત
Grid driving power,ગ્રિડ ડ્રાઇવિંગ પાવર
Grid emission,ગ્રીક ઉત્સર્જન
Grid modulated class C amplifier,ગ્રીડ મોડ્યુલેટેડ વર્ગ સી એમ્પ્લીફાયર
Grill,જાળી
Grinding,ગ્રાઇન્ડિંગ
Groove,ખાંચો
Ground conductivity,જમીનની વાહકતા
Ground return circuit,ભૂમિ વળતર સર્કિટ
Ground rod (earth rod),ગ્રાઉન્ડ લાકડી (પૃથ્વી લાકડી)
Ground scatter propagation,ભૂમિ -છૂટાછવાયા પ્રચાર
Ground segment,જમીન ક્ષેત્ર
Ground wave,જમીન
Ground wave propagation,જમીન તરંગનો પ્રચાર
Ground wave signal,ભૂમિ -તરંગ સંકેત
Grounded,આધારભૂત
Group delay,સમૂહ વિલંબ
Growth of network & coverage,નેટવર્ક અને કવરેજની વૃદ્ધિ
Guard band,બચાવેલા પટ્ટા
Guard interval,બચ્ચારનો અંતરાલ
Gunn diode,ગન ડાયોડ
Guy,વ્યક્તિ
Guy wire,ગાય વાયર
Guyed aerial mast (guyed antenna mast),ગાયડ એરિયલ માસ્ટ (ગાયડ એન્ટેના માસ્ટ)
Hack,ઘા
Hacker,હેકર
Half adder,અર્ધ -વાહક
Half duplex,અર્ધ -બેકડી
Half power bandwidth,અડધી પાવર બેન્ડવિડ્થ
Half wave dipole,અર્ધ તરંગ દ્વિધ્રુવ
Half wave rectification,અર્ધ તરંગ સુધારણા
Halftone,હાટટોન
Hamming distance,હેમિંગ અંતર
Hard disc crash,હાર્ડ ડિસ્ક
Hard disk based audio delivery system,હાર્ડ ડિસ્ક આધારિત audio ડિઓ ડિલિવરી સિસ્ટમ
Hard disk based recording,હાર્ડ ડિસ્ક આધારિત રેકોર્ડિંગ
Hardware,હાર્ડવેર
Hardware address,હાર્ડવેર સરનામું
Harmonic,સુનિશ્ચિત
Harmonic distortion,સ્વરિત વિકૃતિ
Harmonic emission,સ્વરિત ઉત્સર્જન
Harmonic filter unit,સ્વરિત ફિલ્ટર એકમ
Harmonic generator,સ્વરિત જનરેટર
Harmonic suppressor,સ્વરિત -દમન કરનાર
Harmonics,સુમેળ
Hazard,જોખમ
Head phone,મુખ્ય ફોન
Head room,મુખ્ય ખંડ
Headend,મથાળા
Header,ખડક
Hearing mechanism,સુનાવણી પદ્ધતિ
Heat absorber,ગરમીથી શોષક
Heat balance,ગરમી -સિલક
Heat barrier,ગરમીનો અવરોધ
Heat conductor,ગરમી વાહક
