Gujarati,Odiya
દ્વિ સમાંતર વર્તુળ કુલ,ଦ୍ୱିପାକ୍ଷିକ ବୃତ୍ତ ସମୁଦାୟ |
"સુસંગત, સમ","ସମାନ, ଏପରିକି"
સમકક્ષ મેટ્રિક્સ,ସମାନ ମାଟ୍ରିକ୍ସ |
"શંકુદ્રુપ, શંકુદ્રુપ","conic, conic"
શંક્વાકાર ફ્રસ્ટમ,conical frustum |
શંકુ-કુંડલિની,conical kundalini
"કોનિક કટ, કોનિક","କୋନିକ୍ କଟ୍, କୋନିକ୍ |"
શંકુ ગણિત,କୋନିକ୍ ଗଣିତ |
"શંકુ-કટ, શંકુ-વિભાગ","କୋଣ-କଟା, କୋଣ-ବିଭାଗ |"
"સંયોજિત થવું (વિ.), જોડવું (વિ.)","କଞ୍ଜୁଗେଟେଡ୍ ହେବା (v।), କଞ୍ଜୁଗେଟେଡ୍ ହେବା (v।)"
સંયોજક કોણ,କଞ୍ଜୁଗେଟ୍ କୋଣ |
સંયુક્ત અક્ષ,କଞ୍ଜୁଗେଟ୍ ଅକ୍ଷ |
સંયોજન જટિલ સંખ્યાઓ,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକୁ ସଂଯୋଗ କରନ୍ତୁ |
સંયુક્ત દિશા,ସଂଯୋଗ ଦିଗ
સંયુક્ત કાર્ય,କଞ୍ଜୁଗେଟ୍ ଫଙ୍କସନ୍ |
મેટ્રિક્સનું જોડાણ,ମ୍ୟାଟ୍ରିକ୍ସର କଞ୍ଜୁଗେଟ୍ |
સંયુક્ત ક્રમચય,conjugate permutation
સંયોજક ચલ,କଞ୍ଜୁଗେଟ୍ ଭେରିଏବଲ୍ |
"યોગ, સંયોજન","ଯୋଗ, ମିଶ୍ରଣ"
સળંગ,ଲଗାତାର
સળંગ સંખ્યાઓ,କ୍ରମାଗତ ସଂଖ୍ୟା
ઊર્જા સંરક્ષણ,ଶକ୍ତି ସଂରକ୍ଷଣ
સામૂહિક સંરક્ષણ,ଜନ ସଂରକ୍ଷଣ |
આશ્રયદાતા,ପୃଷ୍ଠପୋଷକ
"સુસંગતતા, સુસંગતતા, સુસંગતતા, સુસંગતતા","ସ୍ଥିରତା, ସ୍ଥିରତା, ସ୍ଥିରତା, ସ୍ଥିରତା |"
સુસંગતતા પ્રતિબંધો,ସ୍ଥିରତା ପ୍ରତିବନ୍ଧକ |
"સુસંગત અંદાજ, વિપરીત અંદાજ","ସୁସଙ୍ଗତ ଆକଳନ, ବିପରୀତ ଆକଳନ |"
"સુસંગત અંદાજકાર, બિન-વિરોધાભાસી અંદાજકાર","ସ୍ଥିର ଆକଳନକାରୀ, ବିରୋଧୀ ନୁହେଁ |"
"બિન-વિરોધાભાસી નમૂના, સુસંગત નમૂના","ବିପରୀତ ନମୁନା, ସ୍ଥିର ନମୁନା |"
"સુસંગત એન્ટિટીઝ, બિન-વિરોધાભાસી એન્ટિટીઝ","ସୁସଙ୍ଗତ ସଂସ୍ଥା, ଅଣ-ବିବାଦୀୟ ସଂସ୍ଥା |"
કન્સોલ,କୋନସୋଲ
"સ્થિર, સ્થિર, સ્થિર, સ્થાવર, અપરિવર્તનશીલ, સમાન","ସ୍ଥିର, ସ୍ଥିର, ସ୍ଥିର, ଅସ୍ଥାବର, ପରିବର୍ତ୍ତନଶୀଳ, ୟୁନିଫର୍ମ |"
સમાન પ્રવેગક,ସମାନ ତ୍ୱରଣ
સતત કાર્ય,ସ୍ଥିର କାର୍ଯ୍ୟ
ગુરુત્વાકર્ષણ બિંદુ,ମାଧ୍ୟାକର୍ଷଣ ବିନ୍ଦୁ |
એકીકરણ સતત,ଏକୀକରଣ ସ୍ଥିର |
પ્રમાણસરતા સ્થિર,ଆନୁପାତିକତା ସ୍ଥିର |
સતત પરિમાણ,ସ୍ଥିର ପାରାମିଟର |
સતત બહુપદી,କ୍ରମାଗତ ବହୁଭୂତ |
નિશ્ચિત પ્રમાણ,ସ୍ଥିର ଅନୁପାତ
સમાન ચાલ,ସମାନ ପଦକ୍ଷେପ
સતત મુદત,ସ୍ଥିର ଅବଧି
સમાન વેગ,ସମାନ ବେଗ
સર્જકનું સમીકરણ,ସୃଷ୍ଟିକର୍ତ୍ତାଙ୍କ ସମୀକରଣ |
અવરોધ,ପ୍ରତିବନ୍ଧକ
"બનાવવા માટે, બનાવવા માટે","ସୃଷ୍ଟି କରିବାକୁ, ସୃଷ୍ଟି କରିବାକୁ |"
રચના,ଗଠନ
ગ્રાહક પસંદગીઓ,ଗ୍ରାହକ ପସନ୍ଦ
વપરાશ કાર્ય,ବ୍ୟବହାର କାର୍ଯ୍ୟ
સ્પર્શકોણ,ଟାଙ୍ଗେଣ୍ଟ୍ କୋଣ |
સંપર્ક બિંદુ,ଯୋଗାଯୋଗ ବିନ୍ଦୁ
સમાયેલ,ଧାରଣ କରିଛି |
જોડાણ ટેબલ,ଅନୁବନ୍ଧିତ ସାରଣୀ |
સાતત્ય મિકેનિક્સ,ନିରନ୍ତର ଯାନ୍ତ୍ରିକ |
અલગ નાણા,ବିଭିନ୍ନ ଅର୍ଥ
નાણાકીય ઉત્પાદન,ଆର୍ଥିକ ଉତ୍ପାଦ
"સાતત્ય, સાતત્ય","ନିରନ୍ତର, ନିରନ୍ତର |"
કાર્યોનું સાતત્ય,କାର୍ଯ୍ୟଗୁଡ଼ିକର ନିରନ୍ତର |
સાતત્ય પરીક્ષણ,ନିରନ୍ତର ପରୀକ୍ଷା |
"સતત, અખંડ, અખંડ, સતત, સતત","ନିରନ୍ତର, ଅବିଭକ୍ତ, ଭଙ୍ଗା, ନିରନ୍ତର, ନିରନ୍ତର |"
સતત વ્યુત્પન્ન,କ୍ରମାଗତ ଡେରିଭେଟିଭ୍ |
સતત વિતરણ,ନିରନ୍ତର ବଣ୍ଟନ |
સતત ઉપર,କ୍ରମାଗତ ଉପରେ |
સતત કાર્ય,ନିରନ୍ତର କାର୍ଯ୍ୟ
સતત વિભેદક,କ୍ରମାଗତ ଭାବରେ ଭିନ୍ନକ୍ଷମ |
સતત નકશો,ନିରନ୍ତର ମାନଚିତ୍ର
સતત મેપિંગ,କ୍ରମାଗତ ମ୍ୟାପିଙ୍ଗ୍ |
સતત સંભાવના ઘનતા કાર્ય,ନିରନ୍ତର ସମ୍ଭାବ୍ୟତା ସାନ୍ଧ୍ରତା କାର୍ଯ୍ୟ |
સતત સંભાવના વિતરણ,ନିରନ୍ତର ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ |
સતત રેન્ડમ ચલ,କ୍ରମାଗତ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
સતત નમૂના જગ્યા,ନିରନ୍ତର ନମୁନା ସ୍ଥାନ |
સતત ચલ,କ୍ରମାଗତ ଭେରିଏବଲ୍ |
સતત તરંગ,କ୍ରମାଗତ ତରଙ୍ଗ |
"સાતત્ય, સાતત્ય","ନିରନ୍ତର, ନିରନ୍ତର |"
અખંડ સ્વયંસિદ્ધ,କ୍ରମାଗତ ଆକ୍ସିୟମ୍ |
વાસ્તવિક સંખ્યા સમૂહ,ପ୍ରକୃତ ସଂଖ୍ୟା ସେଟ୍ |
સાતત્ય સિદ્ધાંત,ନିରନ୍ତର ନୀତି |
સમોચ્ચ એકીકરણ,ବିଷୟବସ୍ତୁ ସଂଯୋଗ
સંકોચન મેપિંગ,ସଂକୋଚନ ମ୍ୟାପିଂ |
વિરોધ કરો,ବିରୋଧ କରନ୍ତୁ |
પ્રતિબિંબ,ପ୍ରତିଫଳନ
નિયંત્રણ,ନିୟନ୍ତ୍ରଣ
નિયંત્રણ ચાર્ટ,ନିୟନ୍ତ୍ରଣ ଚାର୍ଟ
સરેરાશ નિયંત્રણ ચાર્ટ,ଅର୍ଥର ନିୟନ୍ତ୍ରଣ ଚାର୍ଟ |
ખામીઓનું નિયંત્રણ,ତ୍ରୁଟି ନିୟନ୍ତ୍ରଣ |
જગ્યાનું નિયંત્રણ,ପରିସର ନିୟନ୍ତ୍ରଣ |
ચલોનું નિયંત્રણ,ଭେରିଏବଲ୍ସର ନିୟନ୍ତ୍ରଣ
"એકરૂપ થવું, એકરૂપ થવું","ଏକତ୍ର କରିବାକୁ, ଏକତ୍ର କରିବାକୁ |"
અર્થ સંકલન,ଅର୍ଥ ସମ୍ମିଶ୍ରଣ |
ચોરસ અર્થ કન્વર્જન્સ,ବର୍ଗର ଅର୍ଥ ସମ୍ମିଶ୍ରଣ |
સંભાવનામાં સંકલન,ସମ୍ଭାବ୍ୟତାରେ ସମ୍ମିଶ୍ରଣ |
કન્વર્જન્સ મર્યાદા,ସମ୍ମିଶ୍ରଣ ସୀମା |
કન્વર્જન્સ ત્રિજ્યા,ସମ୍ମିଶ୍ରଣ ବ୍ୟାସାର୍ଦ୍ଧ |
કન્વર્જન્સ પ્રદેશ,ସମ୍ମିଶ୍ରଣ ଅଞ୍ଚଳ |
"કન્વર્જ (વર.), કન્વર્જ (n.)","ଏକତ୍ର କର (ver।), ଏକତ୍ର କର (n।)"
કન્વર્જન્ટ ક્રમ,ସମ୍ମିଳିତ କ୍ରମ |
કન્વર્જન્ટ શ્રેણી,ସମ୍ମିଳିତ କ୍ରମ |
"વિરુદ્ધ, વિરુદ્ધ","ବିପରୀତ, ବିପରୀତ"
"તેનાથી વિપરીત, વૈત્યસને","ଅପରପକ୍ଷେ, Vytyasane"
રૂપાંતર અપૂર્ણાંક,ରୂପାନ୍ତର ଭଗ୍ନାଂଶ |
રૂપાંતર કોષ્ટક,ରୂପାନ୍ତର ସାରଣୀ |
દૂર સામનો કરવો,ଦୂରକୁ ମୁହାଁଇଲେ |
શરીરનો સામનો કરવો,ଶରୀର ଆଡକୁ |
વિરોધી સંયોજન,ବିପରୀତ ମିଶ୍ରଣ |
સામનો આવરણ,ମୁହାଁ କଭର |
વિચલિત કાર્ય,ବିଭ୍ରାନ୍ତିକର କାର୍ଯ୍ୟ |
રેખીય સંચયનો સામનો કરવો,ର ar ଖ୍ୟ ସଂଗ୍ରହର ସମ୍ମୁଖୀନ |
રેખીય પ્રોગ્રામિંગનો સામનો કરવો,ର line ଖ୍ୟ ପ୍ରୋଗ୍ରାମିଂର ସମ୍ମୁଖୀନ |
અંતરની વસ્તીનો સામનો કરી રહ્યા છે,ଦୂରତା ଜନସଂଖ୍ୟା
પોલિહેડ્રોનનો સામનો કરવો,ପଲିହେଡ୍ରନ୍ ସମ୍ମୁଖୀନ |
પ્રોગ્રામિંગનો સામનો કરવો,ଅଗ୍ରଗାମୀ ପ୍ରୋଗ୍ରାମିଂ |
સામનો પ્રદેશ,ମୁହାଁମୁହିଁ ଅଞ୍ଚଳ |
ફેસિંગ સેટ,ମୁହାଁ ସେଟ୍ |
સંવહન,ସଂକଳନ
સંકલન અભિન્ન,ସମ୍ମିଶ୍ରଣ ଅବିଚ୍ଛେଦ୍ୟ |
કમ્પ્રેશન પ્રમેય,ସଙ୍କୋଚନ ଥିଓରେମ୍ |
"સંકલન, સંકલન, સહસંકલન","ସଂଯୋଜନା, ସଂଯୋଜନା, କୋଭାରିଆନ୍ସ |"
ડિરેક્ટર અક્ષ,ନିର୍ଦ୍ଦେଶକ ଅକ୍ଷ
સંકલન ભૂમિતિ,ଜ୍ୟାମିତିକୁ ସଂଯୋଜନା କରନ୍ତୁ |
સંકલન વિમાન,ସମତଳ ବିମାନ
સંકલન,ସଂଯୋଜନା
"સંકલન સિસ્ટમ, સૂચના સિસ્ટમ","ସଂଯୋଜନା ପ୍ରଣାଳୀ, ନିର୍ଦ୍ଦେଶ ପ୍ରଣାଳୀ |"
કોપરનિકસ-બોડી,କପର୍ନିକସ୍-ଶରୀର |
પ્લેનર,ପ୍ଲାନାର୍ |
કોપ્લાનર ફોર્સ,କପ୍ଲାନାର୍ ଫୋର୍ସ |
સપાટતા,ସମତଳତା |
અવિભાજ્ય સંખ્યા,ମୌଳିକ ସଂଖ୍ୟା
"સુધારણા ગુણક, સુધારણા ગુણક","ସଂଶୋଧନ ଗୁଣକର୍ତ୍ତା, ସଂଶୋଧନ ଗୁଣକର୍ତ୍ତା |"
સાચો ઉકેલ,ସଠିକ୍ ସମାଧାନ |
સહ-સંબંધ,ସହ-ସମ୍ପର୍କ
સહસંબંધ ગુણાંક,ସଂଶୋଧନ ଗୁଣବତ୍ତା
સહસંબંધ રેખાકૃતિ,ସମ୍ପର୍କ ଚିତ୍ର
સહસંબંધ કાર્ય,ସମ୍ପର୍କ କାର୍ଯ୍ୟ
"સહસંબંધ મેટ્રિક્સ, સહસંબંધ મેટ્રિક્સ","ସମ୍ପର୍କ ମେଟ୍ରିକ୍ସ, ସମ୍ପର୍କ ମେଟ୍ରିକ୍ସ |"
સહસંબંધ ગુણોત્તર,ସମ୍ପର୍କ ଅନୁପାତ |
સહસંબંધ રેખાકૃતિ,ସମ୍ପର୍କ ଚିତ୍ର
સહસંબંધ-ચિત્ર વિશ્લેષણ,ସମ୍ପର୍କ-ଚିତ୍ର ବିଶ୍ଳେଷଣ |
"પત્રવ્યવહાર કરવો, પત્રવ્યવહાર કરવો","to correspond, to correspond"
સંગઠનના નિયમો,ସଙ୍ଗଠନର ନିୟମ |
અનુરૂપ કોણ,ଅନୁରୂପ କୋଣ |
સુસંગત બાજુ,ସୁସଙ୍ଗତ ପାର୍ଶ୍ୱ |
સેટ,ସେଟ୍ କରନ୍ତୁ |
"cosine, cotizya","କୋସାଇନ୍, କୋଟିଜିଆ"
કોસાઇન્સ નિયમ,କୋସାଇନ୍ ନିୟମ |
ખર્ચ વિશ્લેષણ,ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
ખર્ચ મહત્તમ,ମୂଲ୍ୟ ସର୍ବାଧିକ
ગણતરીક્ષમતા સ્વયંસિદ્ધ,ଗଣନା ଯୋଗ୍ୟତା
ગણતરીપાત્ર,ଗଣନାଯୋଗ୍ୟ
ગણતરીપાત્ર ઉમેરણ,ଗଣନା ଯୋଗ୍ୟ ଯୋଗୀ |
ગણતરીપાત્ર આધાર,ଗଣନାଯୋଗ୍ୟ ଆଧାର |
ગણતરીપાત્ર આધાર,ଗଣନାଯୋଗ୍ୟ ଆଧାର |
ગણવાયોગ્ય સમૂહ,ଗଣନାଯୋଗ୍ୟ ସେଟ୍ |
ગણતરીપૂર્વક અનંત,ଅସଂଖ୍ୟ |
"કેલ્ક્યુલેટર, પેનલ, કાઉન્ટર","କାଲକୁଲେଟର, ପ୍ୟାନେଲ୍, କାଉଣ୍ଟର |"
કાઉન્ટરક્લોકવાઇઝ બગાડ,ଘଣ୍ଟା ବୁଲାଇ ଅପଚୟ |
પ્રતિઉદાહરણ,କାଉଣ୍ଟର ନମୁନା |
સહપ્રવૃત્તિ,କୋଭାରିଆନ୍ସ |
સહપ્રવર્તન નિયમ,କୋଭାରିଆନ୍ସ ନିୟମ |
સહપ્રવર્તન મેટ્રિક્સ,କୋଭାରିଆନ୍ସ ମ୍ୟାଟ୍ରିକ୍ସ |
સહપ્રવર્તન પદ્ધતિ,କୋଭାରିଆନ୍ସ ପଦ୍ଧତି |
સહપ્રવર્તન પદ્ધતિ,କୋଭାରିଆନ୍ସ ପଦ୍ଧତି |
ક્રેમરનો કાયદો,କ୍ରାମରଙ୍କ ନିୟମ |
ક્રેમર-રાવ અસમાનતા,କ୍ରାମର-ରାଓ ଅସମାନତା |
ઉદ્દેશ્ય કાર્ય,ଅବଜେକ୍ଟିଭ୍ ଫଙ୍କସନ୍
નિર્ણાયક કોણ,ଜଟିଳ କୋଣ
નિર્ણાયક બિંદુ,ଜଟିଳ ବିନ୍ଦୁ |
કાર્યનો નિર્ણાયક મુદ્દો,କାର୍ଯ୍ୟର ଜଟିଳ ବିନ୍ଦୁ |
નિર્ણાયક મૂલ્ય,ଜଟିଳ ମୂଲ୍ୟ
નિર્ણાયક વેગ,ଜଟିଳ ବେଗ
વ્યસ્ત સહસંબંધ કાર્ય,ଓଲଟା ସମ୍ପର୍କ କାର୍ଯ୍ୟ |
"વેક્ટર-ઉત્પાદન, વેક્ટર-ઉત્પાદન","ଭେକ୍ଟର-ଉତ୍ପାଦ, ଭେକ୍ଟର-ଉତ୍ପାଦ |"
થન્ડરબોલ્ટ રેશિયો,ବଜ୍ରପାତ ଅନୁପାତ |
ક્રોસ વિભાગ,କ୍ରସ୍ ବିଭାଗ
સંકેતલિપી,କ୍ରିପ୍ଟୋଗ୍ରାଫି
"ક્યુબ, ક્યુબ","କ୍ୟୁବ୍, କ୍ୟୁବ୍"
ક્યુબ નંબર,କ୍ୟୁବ୍ ନମ୍ବର |
ઘનમૂળ,କ୍ୟୁବ୍ ମୂଳ |
"ઘન, ઘન, ઘન, ચતુર્ભુજ, ત્રિકોણીય, ઘન","କ୍ୟୁବ୍, ଘନ, ଘନ, ଚତୁର୍ଥାଂଶ, ଟ୍ରାଇଗୋନାଲ୍, ଘନ |"
"ક્યુબ, ક્યુબ, ક્યુબિક","କ୍ୟୁବ୍, କ୍ୟୁବ୍, ଘନ |"
ચતુર્ભુજ સમીકરણ,ଚତୁର୍ଭୁଜ ସମୀକରଣ |
ઘન ઇંચ,ଘନ ଇଞ୍ଚ |
ઘન મીટર,ଘନ ମିଟର
ચતુર્ભુજ પેરાબોલા,ଚତୁର୍ଭୁଜ ପାରାବୋଲା |
ઘનમૂળ,କ୍ୟୁବ୍ ମୂଳ |
ટ્રિપલ ટર્મ,ତ୍ରିଗୁଣ ଅବଧି
ઓર્થોગોનલ સમાંતર,orthogonal ସମାନ୍ତରାଳ |
"સંચિત સંકલિત,",ସଂକଳିତ ସଂକଳିତ
સંચિત વળાંક,ସଂକଳନ ବକ୍ର
સંચિત વિતરણ કાર્ય,ସଂକଳନ ବଣ୍ଟନ କାର୍ଯ୍ୟ
સંચિત આવર્તન,ସଂଗୃହିତ ଫ୍ରିକ୍ୱେନ୍ସି |
સંચિત આવર્તન કાર્ય,ସଂକଳନ ଫ୍ରିକ୍ୱେନ୍ସି ଫଙ୍କସନ୍
સંચિત આવર્તન ગ્રાફ સંચિત આવર્તન ગ્રાફ,ସଂଗୃହିତ ଫ୍ରିକ୍ୱେନ୍ସି ଗ୍ରାଫ୍ କ୍ୟୁମୁଲେଟିଭ୍ ଫ୍ରିକ୍ୱେନ୍ସି ଗ୍ରାଫ୍ |
સંચિત સંભાવના કાર્ય,ସଂକଳନ ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ
"કાર્લ, કુંતલ","କର୍ଲ, କ୍ୱିଣ୍ଟାଲ୍ |"
બાયસમાંતર વળાંક,ଦ୍ୱିପାକ୍ଷିକ ବକ୍ର
વેક્ટર કર્લ,ଭେକ୍ଟର୍ କର୍ଲ୍ |
"ધનુષ્ય, કમાન","ଧନୁ ବନ୍ଧନୀ, ଆର୍"
પ્રવાહ,stream ରଣା
ગતિશીલ બિંદુ,ଚଳନ ବିନ୍ଦୁ |
વક્રતા,ବକ୍ରତା
વક્રતા અસર,ବକ୍ର ପ୍ରଭାବ
વળાંક,ବକ୍ର
વક્ર રેખા,ବକ୍ର ରେଖା
વળાંક ટ્રેસિંગ,ବକ୍ର ଅନୁସନ୍ଧାନ
વક્રીય એસિમ્પ્ટોટ,curvilinear asymptote |
વક્રીય કોઓર્ડિનેટ્સ,curvilinear coordinates
વક્રીકૃત રીગ્રેશન,କର୍ଭିଲାଇନ୍ ରିଗ୍ରେସନ୍ |
"અસ્પષ્ટ, કુશળ","ଅସ୍ପଷ୍ଟ, କସପ |"
"વ્હીલ, પરિભ્રમણ, ચક્ર, કાસ્ટિંગ વ્હીલ, કોમ્પેક્શન વ્હીલ","ଚକ, ଘୂର୍ଣ୍ଣନ, ଚକ୍ର, କାଷ୍ଟିଂ ଚକ, ସଙ୍କୋଚନ ଚକ |"
ચક્રીય વિચલન,ଚକ୍ରବର୍ତ୍ତୀ ଭିନ୍ନତା |
ચક્રીય વેક્ટર ઉત્પાદન,ସାଇକ୍ଲିକ୍ ଭେକ୍ଟର ଉତ୍ପାଦ |
ચક્રીય માંગ,ଚକ୍ରବର୍ତ୍ତୀ ଚାହିଦା |
ચક્રીય અભિવ્યક્તિ,ଚକ୍ରବର୍ତ୍ତୀ ଅଭିବ୍ୟକ୍ତି |
ચક્રીય જૂથ,ଚକ୍ରବର୍ତ୍ତୀ ଗୋଷ୍ଠୀ |
ચક્રીય ક્રમચય,ଚକ୍ରବ୍ୟୁହ
"ચક્રવાત, ચક્રવાત","ସାଇକ୍ଲୋଏଡ୍, ସାଇକ୍ଲୋଏଡ୍ |"
"સિલિન્ડર, સિલિન્ડર","ସିଲିଣ୍ଡର, ସିଲିଣ୍ଡର"
"નળાકાર, સિલિન્ડર, નળાકાર, સિલિન્ડર","ସିଲିଣ୍ଡ୍ରିକ୍, ସିଲିଣ୍ଡର, ସିଲିଣ୍ଡ୍ରିକ୍, ସିଲିଣ୍ଡର |"
સિલિન્ડર પૃષ્ઠ,ସିଲିଣ୍ଡର ପୃଷ୍ଠା |
"શૂન્ય, સાઇફર","ଶୂନ, ସାଇଫର୍"
ડિલ્બર્ટનો સિદ્ધાંત,ଦିଲବର୍ଟଙ୍କ ଉପଦେଶ |
ભીની સરળ હાર્મોનિક ગતિ,ସରଳ ହରମୋନିକ୍ ଗତି
સતત ભીનાશ,ଡମ୍ପିଂ ସ୍ଥିର |
"દત્ત, ઉપત્તા, ડેટા, ટ્રસ્ટ","ଦତ୍ତ, ଉପାଟା, ତଥ୍ୟ, ବିଶ୍ୱାସ |"
દત્ત ઉપક્રમ,ଦତ୍ତ କାର୍ଯ୍ୟ
સંસાધન સિસ્ટમ પર વિશ્વાસ કરો,ବିଶ୍ୱାସ ଉତ୍ସ ପ୍ରଣାଳୀ
ડેટા પ્રોસેસર,ଡାଟା ସଞ୍ଚାଳକ
ડેટા શીટ,ତଥ୍ୟ ଫର୍ଦ୍ଦ
દશકોણ,ଡିକାଗନ୍ |
ડેકગ્રામ,ଡେକାଗ୍ରାମ୍ |
ડેકેમીટર,ଡ଼େସିମିଟର |
સડો સૂચકાંક,କ୍ଷୟ ସୂଚକାଙ୍କ |
સડો વળાંક,କ୍ଷୟ ବକ୍ର
ભવ્ય કાર્ય,ସୁନ୍ଦର କାର୍ଯ୍ୟ
દેશીગ્રામ,desigram
દશાંશ,ଦଶମିକ
"દશાંશ, દશાંશ","ଦଶମିକ, ଦଶମିକ"
દશાંશ કોડ,ଦଶମିକ କୋଡ୍
દશાંશ કોડેડ અંક,ଦଶମିକ କୋଡେଡ୍ ଅଙ୍କ |
દશાંશ વિસ્તરણ,ଦଶମିକ ବିସ୍ତାର
દશાંશ અપૂર્ણાંક,ଦଶମିକ ଭଗ୍ନାଂଶ
દશાંશ સંકેત સિસ્ટમ,ଦଶମିକ ନୋଟେସନ୍ ସିଷ୍ଟମ୍ |
દશાંશ સંકેત સિસ્ટમ,ଦଶମିକ ନୋଟେସନ୍ ସିଷ୍ଟମ୍ |
દશાંશ બિંદુ,ଦଶମିକ ବିନ୍ଦୁ |
દશાંશ સ્કેલ,ଦଶମିକ ସ୍କେଲ
દશાંશ સિસ્ટમ,ଦଶମିକ ସିଷ୍ଟମ୍ |
ડેસીમીટર,ଡ଼ିସିମିଟର |
એન્કોડિંગ,ଏନକୋଡିଂ
નિર્ણય મોડલ,ନିଷ୍ପତ୍ତି ମଡେଲ୍
નિર્ણય સિદ્ધાંત,ନିଷ୍ପତ୍ତି ସିଦ୍ଧାନ୍ତ |
નિર્ણય ચલ,ନିଷ୍ପତ୍ତି ଭେରିଏବଲ୍ |
"ડીકોડર, ડીકોડર","ଡିକୋଡର୍, ଡିକୋଡର୍ |"
"એન્કોડિંગ, ડીકોડિંગ","ଏନକୋଡିଂ, ଡିକୋଡିଂ |"
અલગ કરી શકાય તેવો સમૂહ,ପୃଥକ ସେଟ୍ |
ઘટતું,ହ୍ରାସ ପାଉଛି
ઘટતું કાર્ય,ହ୍ରାସ କାର୍ଯ୍ୟ
Dedekind-કટ,ଡେଡେକିଣ୍ଡ-କଟ୍ |
ડેડકાઇન્ડ-પ્રમેય,ଡେଡେକିଣ୍ଡ-ଥିଓରେମ୍ |
સમાવિષ્ટ કરવું,ଅନ୍ତର୍ଭୂକ୍ତ କରିବାକୁ
કોર્પોરેટ પ્રેક્ટિસ,କର୍ପୋରେଟ୍ ଅଭ୍ୟାସ |
ખોટું,ଭୁଲ
વ્યાખ્યાત્મક સમીકરણ,ସଂଜ୍ଞା ସମୀକରଣ |
ચોક્કસ અભિન્ન,ନିର୍ଦ୍ଦିଷ୍ଟ ଅବିଚ୍ଛେଦ୍ୟ |
નિશ્ચિત મેટ્રિક્સ,ସ୍ଥିର ମ୍ୟାଟ୍ରିକ୍ସ |
"વ્યાખ્યા, સ્પષ્ટતા, નિશ્ચિતતા","ସଂଜ୍ଞା, ସ୍ୱଚ୍ଛତା, ନିଶ୍ଚିତତା |"
વિરૂપતા વળાંક,ବିକୃତି ବକ୍ର
વિકૃત પૃષ્ઠ,ବିକୃତ ପୃଷ୍ଠା |
"વ્યભિચાર, બદનામી","ଖରାପ, ଅବମାନନା |"
પરિવહન સમસ્યાઓમાં અસ્પષ્ટતા,ପରିବହନ ସମସ୍ୟାରେ ଅସ୍ପଷ୍ଟତା |
"ડિગ્રી, ડિગ્રી, ડિગ્રી, ડિગ્રી, જથ્થો, તીવ્રતા, ડિગ્રી","ଡିଗ୍ରୀ, ଡିଗ୍ରୀ, ଶକ୍ତି, ଡିଗ୍ରୀ, ପରିମାଣ, ପରିମାଣ, ଡିଗ୍ରୀ |"
વિભેદક સમીકરણની શક્તિ,ଭିନ୍ନକ୍ଷମ ସମୀକରଣର ଶକ୍ତି |
"સ્વતંત્રતાની ડિગ્રી, સ્વતંત્રતાની ડિગ્રી","ସ୍ୱାଧୀନତାର ଡିଗ୍ରୀ, ସ୍ୱାଧୀନତାର ଡିଗ୍ରୀ |"
બહુપદીની શક્તિ,ବହୁଜନର ଶକ୍ତି |
હાંકી કાઢવામાં આવેલ ટોળકી,ବହିଷ୍କୃତ
ડેલ્ટા કાર્ય,ଡେଲଟା ଫଙ୍କସନ୍
માંગ અને ઉપયોગિતા વળાંક,ଚାହିଦା ଏବଂ ଉପଯୋଗିତା ବକ୍ର
માંગ સમીકરણ,ଚାହିଦା ସମୀକରଣ |
માંગ કાર્ય,ଚାହିଦା କାର୍ଯ୍ୟ
વસ્તી વિષયક અભ્યાસ,ଜନସଂଖ୍ୟା ଅଧ୍ୟୟନ |
વસ્તી વિષયક,ଜନସଂଖ୍ୟା
મોવર પ્રમેય,ମାଉର୍ ଥିଓରେମ୍ |
"દર્શાવવું, સાક્ષી આપવી, દર્શાવવું","ପ୍ରଦର୍ଶନ କରିବାକୁ, ସାକ୍ଷ୍ୟ ଦେବାକୁ, ପ୍ରଦର୍ଶନ କରିବାକୁ |"
"રજૂઆત, પુરાવો, પ્રદર્શન, પ્રદર્શન","ପ୍ରତିନିଧିତ୍ୱ, ପ୍ରମାଣ, ପ୍ରଦର୍ଶନ, ପ୍ରଦର୍ଶନ"
પ્રતિનિધિત્વ ભૂમિતિ,ଉପସ୍ଥାପନା ଜ୍ୟାମିତି |
દરેક,ପ୍ରତ୍ୟେକ
ગાઢ એકંદર,ଘନ ଏଗ୍ରିଗେଟ୍ |
"ઘનતા, ઘનતા","ଘନତା, ଘନତା"
ગણવાયોગ્ય સમૂહ,ଗଣନାଯୋଗ୍ୟ ସେଟ୍ |
ચડતી સ્થિર,ଉପର ସ୍ଥିର
આશ્રિત ઘટના,ନିର୍ଭରଶୀଳ ଘଟଣା |
આશ્રિત રેન્ડમ ચલ,ନିର୍ଭରଶୀଳ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
